-0.00098959+0.00013789i,-0.0010465+3.1076e-05i,-0.0017747-0.000761i,-0.00095525-0.001323i,-0.00075886-0.00066522i,-0.0018694+0.00029908i,-0.0017515+0.00056928i,-0.0011116+0.00091771i,-0.00055337+0.0008227i,-2.9574e-05+0.00032366i,0.00020377+0.00020062i,0.00061509-3.0457e-06i,0.0002795-0.00023599i,-0.0006264-0.00031015i,-0.00060846-0.00082605i,0.00023401-0.00037867i,0.00062546+9.8276e-06i,0.00031272-0.00070708i,-9.275e-05-0.00052391i,-0.00042088-0.00052688i,3.9147e-05-0.0010895i,0.00014462-0.00086262i,-0.00044315-0.00044211i
0.00013484-0.0013749i,-0.00053212-0.0014981i,-0.0010373-0.00049977i,-9.9906e-05+1.714e-05i,0.00086712+8.4755e-05i,0.0015451+0.00045234i,0.0017176+0.00065608i,0.0010408+0.00070898i,0.00029105+0.00070678i,-0.00019511+0.00062541i,-0.00050648-6.6345e-05i,0.00023252-6.025e-05i,0.0010372+0.00028007i,0.00060105-0.00048662i,-0.00026441-0.00038754i,-0.0005473+0.00024528i,-0.00039095+0.00022939i,-0.00055469+0.00029635i,-0.0003343+0.00032853i,0.0004728-0.00017527i,0.00086756+0.0003291i,0.0012534+0.0003734i,0.0012553-0.000379i
-0.0012604-0.00036259i,-0.0020348+0.00034373i,-0.0018655+0.00067857i,-0.00067925-0.00096104i,0.00010535-0.0015788i,0.00021401-0.001233i,0.00036302-0.0011216i,0.00050816-0.00091449i,-0.00010059-0.00036185i,-0.001187+0.00021282i,-0.00045687+0.00052226i,0.00084079+0.00064818i,0.0016611+0.00029542i,0.002083+0.00050461i,0.0015182+0.00079347i,0.00079445+0.00053658i,0.00065039+0.0002086i,0.00065109-0.00023653i,0.00066649-0.00019423i,0.00085351+1.0864e-05i,0.0010196-0.00038523i,0.0007709-0.00094208i,0.0003284-0.00067594i
-0.00052751+0.00052592i,0.00056566+0.00061366i,0.0017113+0.00027479i,0.0020978+0.00035759i,0.0022599-0.00024191i,0.0015501-0.0013507i,-0.00018717-0.0011439i,-0.0012947-0.00036905i,-0.0016029-5.8975e-05i,-0.00078666-3.582e-05i,0.00022311+0.00012786i,0.00044079-0.00048358i,-0.00010333-0.0010653i,3.3646e-06-0.00015096i,0.00085771-1.9178e-05i,0.0005337-0.00043887i,0.00019748-0.00031494i,-0.00019289-0.00095384i,-0.00083831-0.00096211i,-0.00088552+0.00011829i,-0.00071807+0.0010228i,-0.00087276+0.000773i,-0.00042662-2.9135e-05i
-0.0016468-0.0021748i,-0.0018246-0.0010204i,-0.0013736-0.00019928i,-0.00078203-0.00032657i,0.00056452+0.00010651i,0.0018797+0.0011313i,0.0011821+0.00073839i,-0.00012949-0.00015451i,-0.00073204+0.00010284i,-0.00050583+0.00019272i,0.00010596+0.00040776i,-0.00049086+0.0008764i,-0.00068548+0.0005137i,0.00064963-0.0004126i,0.0017371-0.00088824i,0.0011388-0.00098255i,0.000364-0.00068932i,-0.00027655-0.00020548i,-0.0011281+0.00064094i,-0.0010523+0.00088525i,0.0002236+0.0003918i,0.00099592+0.0002801i,0.00090041+7.2172e-05i
0.0010285-0.00039591i,0.0013295-0.00029707i,0.0010412+0.00012035i,0.00067842+0.00073977i,0.00059461+0.00071706i,0.0009108+5.0721e-05i,0.00058389-8.0882e-05i,0.00013451-2.6866e-05i,-0.00042877-0.00016894i,-0.0009347+0.00055093i,-0.00040175+0.00093513i,-0.00043748+0.00071597i,-0.00058208+0.00095607i,-4.3866e-05+0.00084488i,0.00048017+0.0002002i,3.9083e-05-0.00041187i,-0.0003257-0.00077507i,-6.601e-05-0.00052258i,0.00068445-0.00026387i,0.0011376+8.2048e-05i,0.00090418+0.00010242i,0.00046448-0.00018081i,0.00064982+0.00010445i
-0.00092374-0.00025283i,-0.00056826-0.00042168i,0.00032033-0.00085691i,0.0006078-0.00072322i,0.00076514-5.7405e-05i,0.00052745+0.00081245i,8.6744e-05+0.00035135i,-0.00040557-0.00084547i,-0.001359-0.00073305i,-0.00092885-0.00024251i,3.4918e-05+0.00037801i,4.4639e-05+0.0013157i,0.00021188+0.001353i,0.00033364+0.0011091i,-5.3889e-05+0.0011886i,-9.7088e-05+0.00027988i,0.0009251-0.00043606i,0.0023865-7.6687e-06i,0.0012709-0.00040541i,-0.00024862-0.00064931i,-0.00038938+0.0002569i,-0.00056512+0.00066785i,-0.00040399+0.00030883i
0.00012166+0.0027706i,0.0004437+0.0030026i,0.00080224+0.0017164i,0.0020676-0.00080431i,0.0030966-0.0020577i,0.0023828-0.0016844i,0.00036054-0.00034917i,-0.00049409-0.00016625i,-0.00015573+0.00014658i,-0.00033838+0.00058203i,-0.00050792+0.00030896i,-0.0001289+0.00015343i,0.00067343-0.00078626i,6.0176e-05-0.00044877i,-0.00081762+0.00017644i,-0.00022308-7.937e-05i,0.00065567-0.00028371i,0.0010423-0.00061772i,0.00013854-0.0012178i,-0.00023309-0.0016708i,0.0010686-0.00084554i,0.0013165+0.00038277i,0.00075185+0.00014569i
-0.00026876-0.0022101i,0.00079086-0.0033793i,0.00058412-0.0028619i,0.00026612-0.0021288i,0.0011894-0.0024095i,0.0020118-0.0020142i,0.0021435-0.00078708i,0.0011374-0.00022355i,-0.00026413-0.00010385i,-0.000914-2.1207e-05i,-0.0010767+0.00014457i,-0.00083948+0.00014458i,-0.00019883+0.00014849i,0.00054673+0.00021703i,0.00044571+0.00043302i,0.00074674-0.00018108i,0.00084526-0.00046298i,0.00059753-0.00098171i,0.00045307-0.0012853i,0.00042412-0.00065842i,0.00087841+9.7224e-05i,0.00072766+0.00058582i,0.00019839+0.00041406i
0.0029524-0.0024117i,0.0018972-0.0031145i,0.0011787-0.0035858i,8.7561e-05-0.0030636i,-0.00076786-0.0026845i,-0.00036126-0.0015771i,0.00039669-0.00040031i,0.00051936+0.00034011i,-0.00043698+0.00024613i,-0.00079794+0.00018957i,-0.00083834+0.000972i,-0.0013631+0.001481i,-0.0018254+0.0016523i,-0.0010891+0.00082749i,0.00034338+0.00014809i,0.00079526-0.00044736i,-2.5709e-05-0.00072071i,-0.0008519-8.9222e-05i,-0.00075799+0.00049688i,-0.00080837+0.00055093i,-0.00064814+0.00053055i,-0.00029874+0.00063462i,0.00033148+0.00017373i
0.0021509-0.0018027i,0.0018195-0.002928i,0.001345-0.0037781i,0.00051015-0.0037694i,-0.00019832-0.0025242i,-0.00042125+0.00017712i,-9.0031e-05+0.0014026i,-0.00022791+0.00042256i,-0.00097883+0.00019657i,-0.0011799+0.00096832i,-0.00085139+0.00068478i,-0.00068734+0.00029795i,-0.00074554+8.232e-05i,-0.00043972+2.5646e-05i,0.00020531-2.0802e-05i,0.00013503-0.00046521i,0.00049765-0.00058097i,0.00055973-0.00033058i,0.00048496-2.1549e-05i,0.00031467+0.0002666i,0.00072412+9.5803e-05i,0.00094099+0.00026148i,-0.00020048+4.0817e-05i
0.00016523+0.0017404i,-0.00096092+0.0010985i,-0.00048736-0.00013545i,0.0013477-0.0014201i,0.0014055-0.0017312i,0.00039729-0.0014776i,6.5838e-05-0.00052184i,-0.00010153+0.00029389i,2.0365e-07-1.2802e-05i,-0.00032664-0.00039814i,-0.00052577-0.00034531i,-0.00021558+0.00055942i,1.2814e-05+0.00093666i,0.00043074+0.0004524i,0.00049985+0.0005146i,0.00039863+0.00053819i,-0.00022418+0.00081942i,-0.00042277+0.00059692i,0.00018645-8.7291e-05i,0.00022251-0.00038913i,0.0010026-0.00047764i,0.0015654-9.3505e-05i,0.0010375+0.000581i
0.0020121-0.00038975i,0.00059629-0.0012714i,0.0011154-0.002249i,0.0021723-0.0030212i,0.0020789-0.0023336i,0.0013057-0.00035011i,0.0015035+0.00061392i,0.0014857-0.00029336i,0.0005118-0.00099497i,-0.00019881-0.00064042i,0.00014276-0.00017011i,0.00074831-4.3001e-05i,0.00050077+0.00031141i,0.00038022+0.00042966i,0.00015581+0.00078845i,1.5444e-05+0.00076528i,0.00027841+0.00027578i,0.00056859+0.00032374i,0.00079968+0.00018502i,0.00042314-6.6404e-05i,0.00044549-0.00037321i,0.00041267-0.00036257i,0.0002384+5.8697e-05i
-0.00025023-0.00049223i,0.00018594+0.00099472i,0.0002325+0.00064263i,0.0010199+0.0001034i,0.0016849+7.9472e-05i,0.0022195-0.00042662i,0.0015119-0.001001i,0.0003767-0.00086049i,7.8344e-05-0.00050204i,-0.00020539-0.00025803i,-0.00015741+0.00024711i,0.00029018-0.00016365i,-0.00011281-0.0017839i,-8.6249e-05-0.0026413i,0.00056158-0.0015751i,0.00079273+6.9297e-05i,0.00095876+0.00067285i,0.0010569+0.00021822i,0.00096622-0.0004657i,0.00045691-0.00024959i,2.5257e-05-3.2304e-05i,-0.00054459-0.00035225i,-0.00016988-0.00035873i
0.0012919+0.0034317i,0.0029584+0.0016382i,0.0047562-9.3196e-05i,0.0055675-0.0013782i,0.004839-0.0020282i,0.0032789-0.0018776i,0.0010839-0.00057455i,-0.00036327-0.00033113i,-0.00091247-0.00059097i,-0.00092358+0.00024502i,-0.00068338+0.00080289i,-0.00071748+0.00079188i,-0.00037267+0.00066101i,-0.00053118-1.3164e-05i,-0.00079068-0.00071071i,-0.00028296-0.00096548i,-0.00011282-0.0005707i,3.3939e-05-4.8825e-05i,2.7193e-05-0.0001245i,-0.00021806-0.00065012i,-0.00032146-0.0010262i,0.00013233-0.00033004i,-0.00014476+0.00036547i
-0.0024297-0.00013337i,-0.0022476+0.00015025i,-0.0012737-5.5435e-05i,-0.00026637-0.00072611i,0.00053166-0.00087477i,0.001528+4.8479e-05i,0.0014428+0.00081645i,0.00060477+0.00080976i,-0.00016466+0.00020815i,-0.00077975+0.00043821i,-0.0011227+0.00042934i,-0.00080651+0.00031765i,-0.00032197+0.00034803i,-0.00028542-0.0003316i,-0.00083578-0.0011544i,-0.0004182-0.0012814i,0.00056056-0.00074723i,0.00030817+0.00016907i,-0.00036155+0.00091879i,-0.00062806+0.0010368i,-0.00052485+0.00043234i,-0.00016567-0.0001708i,-0.00014099-0.00021307i
0.00012501-0.0014016i,0.00025476-0.0018391i,0.00013702-0.0011986i,0.00056447-0.0010985i,0.0015477-0.00063464i,0.0015327-0.00023885i,0.0014842-7.6938e-05i,0.0013167+2.1722e-05i,0.00082822-0.00028242i,-0.00025384-0.00024885i,-0.0010811-1.2008e-05i,-0.00026678+0.00064113i,0.00075943+0.0015585i,0.00028494+0.0016091i,-0.00021631+0.00045172i,3.1084e-06-0.00055237i,-0.00028897-0.00089202i,-0.00020146-0.0005635i,2.9122e-05+0.00047133i,-0.00032131+0.00075007i,-0.00016811+0.0012284i,0.00039561+0.0010006i,-0.00042047-0.00038128i
0.0020838-0.0012419i,0.0013708-0.00071873i,0.00077023-0.0010816i,-0.00023935-0.0015393i,-0.0010411-0.0012847i,-0.0010335-0.00087486i,-0.00062605-0.000184i,0.00011515+0.00062528i,0.00024507+0.00030125i,-0.0002504-0.00051347i,-0.00065153-0.00033814i,-0.00052922-0.0002353i,0.00024982+7.1319e-06i,0.00077346+0.00040662i,0.00090869+0.00058867i,0.0010981-0.00010005i,0.001231-0.0010664i,0.00088632-0.00096483i,0.0004343-0.00084645i,0.00067588-0.00069482i,0.0005674-0.00056778i,-8.123e-05-0.00073434i,-2.8711e-05-0.00064136i
0.0014719-0.00073561i,0.0016188-0.00050116i,0.00028725-0.0012898i,-0.0012784-0.0013588i,-0.0014923-0.00058911i,-0.00014571-7.6065e-05i,0.00074254+0.00042535i,9.4535e-05-0.00081245i,-0.00061108-0.00145i,-0.00074636-0.0010063i,-0.00044344-0.00023085i,-0.00060689+0.00031771i,-0.00052015-0.00061575i,-8.3837e-05-0.0012135i,7.8383e-05-0.00054149i,0.00089485+0.00034375i,0.0017531+0.00039768i,0.00036402+4.892e-05i,-0.00048767+2.0857e-05i,-0.00028462+0.00039163i,-0.00027033-0.00051612i,-0.00033078-0.00099167i,-0.0004287+0.00013105i
0.0016074-0.00090352i,0.00042971-0.0015202i,0.00047486-0.002742i,0.00090585-0.0030653i,0.001092-0.0027334i,0.0011289-0.0014314i,0.00026901+2.7525e-05i,-0.00057602+0.00098341i,-0.0014839+0.00037835i,-0.0023399+0.00015251i,-0.0015214+0.00064376i,-0.00097031+0.0013864i,-0.00042643+0.0017548i,0.00023816+0.0011783i,0.00043561-6.9431e-05i,0.0011386-0.00058385i,0.0010653-0.00040016i,0.00025464-0.00046826i,8.4613e-05-0.00054892i,0.00014125-0.00048252i,-0.00018146+0.00044612i,0.00012279+0.00059349i,8.6547e-05+0.00014847i
-0.00058781-0.0008151i,-0.0010895-0.00052895i,-0.0011477+0.00049645i,0.00026643+0.00061783i,0.0013116-5.4314e-05i,0.00030393-0.00068768i,-0.00092078-0.00099963i,-0.0010733-0.00037333i,-0.0010929+0.00062466i,-0.001165+0.00091304i,-0.00029535+0.00063454i,0.00020073+0.00073908i,-0.00014173+0.00036678i,6.3867e-07-0.00027646i,0.00016077-0.00012813i,-0.00017515+0.00018236i,-0.0001816-0.00024504i,0.00011398-0.00010178i,-1.7272e-05+4.2616e-05i,-0.00017683+0.00010907i,-0.00023898+0.00082742i,-0.00011088+0.0002809i,-0.00011266-0.00012628i
0.0023103-0.001403i,0.0028023-0.0021927i,0.002802-0.0035628i,0.0010056-0.0034273i,-0.00013193-0.0021446i,-0.00014428-0.00074616i,0.00070781-0.00022656i,0.0013099+0.00019326i,0.00058702-9.9501e-05i,-0.00012767-0.00071549i,-0.00033234-0.00020181i,0.00017943-8.5824e-05i,0.00074359+0.00020418i,0.00076607+0.00019078i,0.00083709-4.9344e-05i,0.00012952+0.0003266i,-0.00023185+0.0008249i,0.00030763+0.0010527i,0.00053376+0.00076276i,-5.5218e-05+0.00069444i,-0.00034927+0.0001805i,-0.00028654-0.0008369i,-0.00019961-0.00075119i
-0.00040941+0.0017237i,0.00061233+0.0014717i,0.0013139+0.0015155i,0.00091717+7.9083e-05i,0.00096054-0.00060811i,0.001766-0.00020829i,0.0018978+0.00019956i,0.0011043-0.00058183i,0.00056864-0.00081015i,5.9251e-05+0.00021299i,-0.00079749-0.00010119i,-0.00058468-0.0014205i,0.00086476-0.0014608i,0.00095153-0.00064251i,-8.4722e-05+0.00028441i,-0.00051722+0.00051308i,-0.00084282-5.5002e-05i,-0.00097171+1.961e-05i,-0.00019654+0.00066188i,0.00093433+0.00019675i,0.0010497-0.00034382i,0.00084428-0.0010568i,0.0012145-0.0009306i
-0.0012918-0.000574i,-0.0011421+0.00021555i,0.00053859-0.00074138i,0.0018965-0.00072804i,0.0025241+0.00013828i,0.0023992+0.00053326i,0.0018557+0.00026456i,0.00013747-0.00041011i,-0.00023563-0.00020433i,0.00025766-0.00043215i,-0.00044639-0.00048132i,-0.0011522-0.00033641i,-0.0010658-0.00038921i,-0.00016748-2.3921e-05i,0.00025219+6.1941e-05i,0.0002308-0.00035156i,-8.8897e-05-0.0010915i,-0.00013815-0.0010538i,0.00035434-0.0011631i,0.00014008-0.00099836i,-0.00014994-0.00037916i,0.00013952-0.00033446i,0.00028679-0.00077135i
-0.0012386+0.0010917i,0.00027784+0.00030466i,0.0017638-0.00049127i,0.0021919-0.0012639i,0.0023423-0.0013305i,0.0022284-0.0016287i,0.00054754-0.0018004i,-0.00085793-0.0013524i,-0.0011367-0.00055366i,-0.00061468-0.0001063i,0.00030347-8.4245e-05i,0.0001208+0.0007511i,-0.00026422+0.00077564i,0.00021915+0.00024515i,0.00042346+6.6995e-05i,0.00024176-0.00065219i,5.4153e-05-0.00046313i,1.285e-06+0.00040323i,3.4631e-06+5.4271e-05i,0.00012365-0.00033588i,0.00036581-0.0004197i,0.00038814-0.00077374i,0.00041908-0.00083105i
0.00054852-0.00027869i,0.0020453-0.0006074i,0.0015806-0.0010566i,0.00063222-0.0013897i,0.0010656-0.0014577i,0.0012341-0.0013335i,4.252e-05-0.00077185i,-0.00024968-0.00049937i,-0.0004075+0.00033754i,-0.0010745+0.00086024i,-0.00085903+0.00036696i,0.00016653+0.00063849i,0.00057249+0.0011075i,0.00027435+0.00037926i,-0.00042911-0.00068767i,7.2269e-05-0.0013035i,0.00060406-0.001129i,-0.00032697-0.00033087i,-0.00054673+9.7348e-05i,-0.00030578+8.9612e-05i,-0.000355+0.00064586i,3.1021e-05+0.00085461i,0.00043072+0.00064981i
0.00031523+0.0015882i,0.00035422+0.0011051i,0.00049791+0.00046573i,0.0011511-6.1095e-05i,0.0018983-0.00015157i,0.0013302-0.00059822i,0.00054325-0.00034508i,-3.1855e-05+0.00040293i,-0.0014475+0.00031935i,-0.0016464-7.0503e-06i,-0.00089391+0.0004446i,-0.00058778+0.00055446i,0.00019629+0.00043334i,0.0008685+8.2913e-05i,0.00032317-0.00033158i,-7.1792e-05-0.00013783i,-0.0003864-0.00015209i,-0.00066453-0.00035633i,9.4387e-05+0.0001717i,-0.00020008+0.0012145i,-0.00025897+0.0012929i,0.00026956+0.00091465i,0.00040853+0.00093871i
-0.00034636-0.00044261i,0.00025504-0.0016258i,0.00032505-0.0016099i,0.00065065-0.0004919i,0.0017923+0.00025112i,0.0017093+0.00042471i,0.00072315+0.0003169i,0.00036138+5.2026e-05i,2.5813e-05-0.00028293i,-0.001021-0.00031854i,-0.001197-0.00045513i,-8.1616e-05-0.001175i,0.0010919-0.0018182i,0.0016661-0.0012792i,0.0016097-0.00073037i,0.0015503-0.00053299i,0.0010064-0.00068873i,-3.5892e-05-0.0011117i,3.3716e-05-0.00067705i,0.00029017-0.00010828i,0.00026196-9.0083e-05i,0.00036517-0.00054724i,0.00023645-0.00089467i
0.0014413-0.00093877i,0.00010955-0.0011423i,-0.00022466-0.0016981i,-8.4929e-05-0.0022766i,0.00082561-0.0015335i,0.0014905-0.0001365i,0.0014067+0.0007774i,0.00080881+0.00011739i,0.00014348-0.0012852i,0.00021616-0.0010713i,0.00043328-4.2801e-05i,-0.00032379-2.0937e-05i,-0.00046428+7.1665e-05i,-0.00035738+0.00076963i,-0.00024321+0.00062521i,0.00051062-0.00042444i,0.00077827-0.0015571i,0.0011486-0.0010316i,0.0011083+0.00058472i,0.0003134+0.00051942i,0.00039249-0.00063984i,0.0010819-0.0004235i,0.00099236+0.00021137i
-0.0018927+0.00012328i,-0.00097292-0.00015396i,6.8478e-05+8.4836e-05i,0.0015799+0.00043744i,0.0026307+0.00052103i,0.002492-0.0004447i,0.00141-0.0013544i,-6.8684e-05-0.00072282i,-0.00076711+2.178e-05i,-0.00073071+2.2313e-05i,-0.00086536-0.00030758i,-0.00061404-0.00076624i,-0.00069722-0.00047605i,-0.0010576-0.00046266i,-0.00068802-0.00068863i,7.5859e-05-0.0008684i,0.00023704-0.00084159i,0.00058833-0.00026415i,0.00012425-5.2182e-05i,-0.00050804-0.00015689i,-0.00059351+0.00024826i,-0.0006036+0.00087159i,-0.00052939+0.0012698i
0.00027436-0.00039684i,0.0015015-0.00062294i,0.0014459-0.0004268i,0.0015936-0.00086284i,0.0019077-0.00076965i,0.0018779-0.00070978i,0.0012791-0.001335i,0.00014142-0.0011525i,-0.00088166-0.00050164i,-0.0016878+0.00027426i,-0.0017264+0.00050937i,-0.00081688+0.0014242i,-0.00011448+0.0012758i,0.00027626-8.8416e-05i,-0.00030281-0.00015152i,-0.0010805+0.00034415i,-0.00064644+0.00082181i,0.00015223+0.00080238i,0.00013183+0.00020394i,-6.5733e-05-0.00033914i,0.00041627-0.00036874i,0.0010019-0.00068366i,0.00045044-0.00058863i
0.0030044-0.0011113i,0.001797-0.0010249i,0.00090089-0.0017835i,0.00044231-0.0020534i,-8.5253e-05-0.0011151i,0.00019435+0.0005482i,0.00050104+0.00083023i,0.00078849-4.9063e-05i,0.0002719-0.00072397i,-0.00017114-0.00077743i,-0.00018971+0.00018776i,3.5696e-05+0.0014305i,0.0005185+0.0015964i,0.00033415+0.0014767i,0.00034103+0.0011374i,0.00058625+0.00069716i,0.00059631+0.00036152i,0.0008414+0.00067134i,0.00012435+0.00098505i,1.2961e-05+0.00056584i,0.00015758-0.00025311i,-0.0001273-0.0004608i,-1.0567e-05-0.00033416i
-0.00099164-0.00063119i,7.6967e-05+0.00026956i,0.0012454+0.0010086i,0.0018157+0.00051898i,0.0017186+5.7774e-05i,0.0017712+0.00025399i,0.0010219+0.00052783i,0.00070984-0.00030311i,0.00063175-0.00087176i,-6.7448e-05-0.00045407i,4.1947e-05-0.00043094i,0.0013998-0.00032032i,0.0016849+0.00058697i,0.0011584-4.648e-05i,0.00085125-0.0010321i,0.00072214-0.00076267i,0.00044406+6.9503e-06i,-0.00036154+0.0010198i,-0.00070091+0.00082482i,-0.00056207-7.762e-05i,0.00019052-0.00036167i,0.00056496-0.00074384i,0.00014705-0.00087893i
-0.00085053-0.0011457i,-0.00017285-0.00067977i,-0.00044373-8.1324e-05i,0.00059507-5.2153e-05i,0.0024774-0.00060251i,0.0027771-0.00060438i,0.0014529-0.00033964i,3.4928e-05-0.00022906i,-0.00093023+0.00044484i,-0.0015266+0.00056724i,-0.0010843+0.00046366i,-0.00034987+0.00013313i,-0.00010698-0.00098524i,0.00044344-0.0018912i,0.00027049-0.0018106i,2.4513e-05-0.0021671i,-0.00012026-0.0018454i,-0.0010234-0.0011281i,-0.00087782-0.0011275i,-3.3268e-05-0.00017951i,-0.00052304+8.4341e-05i,-0.001298+0.00028447i,-0.0010987+0.00041761i
0.00066878-0.0019111i,0.00033482-0.0019573i,-0.00094908-0.0024108i,-0.0019385-0.0015434i,-0.0008326-0.00070424i,0.00046507+0.00077292i,0.00022967+0.0010641i,-3.1367e-05-0.00052622i,-0.0017738-0.00059707i,-0.0027437+0.00043883i,-0.0013928+0.00061234i,-0.00064695+0.00016395i,-2.9794e-05+0.00027187i,0.00084619+0.00032054i,0.00033431+0.00029638i,-0.00049292-0.00044451i,-0.00081434-0.00055625i,-0.00074456+0.0003133i,-0.00058027+0.00035465i,-0.00034854+0.0006377i,0.00077807+0.0010077i,0.0015559+0.00026261i,0.0011636+3.2462e-05i
0.00024164+0.00056363i,-0.00038509+0.00066975i,-0.00013938+0.0001188i,0.0003742+9.4936e-05i,0.0010314-0.00036384i,0.00091308-0.00067021i,-4.3541e-05-0.00048372i,-0.0010463-0.00018737i,-0.00091653+2.4874e-05i,-0.00064589-1.4295e-05i,-0.00068959-5.3376e-05i,-0.0012194+0.00015957i,-0.00094955+0.00054369i,-0.00047177+0.00079348i,0.0002954+0.00099577i,0.0011315+7.5827e-05i,0.00091936-0.00045932i,0.00031885-0.00033499i,-2.9548e-05-0.00058055i,0.00046202-0.00061877i,0.00039427+0.00019479i,0.00027385+0.00042108i,0.00033449-0.00013544i
0.00062468-0.00035252i,0.0018015-0.0022393i,0.0028317-0.0032086i,0.0036222-0.0026344i,0.0034217-0.0017199i,0.0023596-0.0011779i,0.0011319-0.00038943i,0.00047531+0.00054291i,-7.9746e-05+0.00098536i,-0.00082607+0.00074529i,-0.00085969+0.00045023i,-0.00095799+0.00044103i,-0.00047737+0.00027273i,5.2998e-05+0.00029566i,-0.00031268+0.00034878i,0.00056644+0.00048406i,0.0013107+0.00067472i,0.00067953+0.0002592i,0.00066886-3.7885e-05i,0.00086869+0.00048459i,0.00015136+0.0010071i,0.00017189+0.0001056i,0.00065944-0.00074579i
0.00080991-0.0011864i,-5.4174e-07-0.0013146i,-0.00066397-0.0010165i,-0.00050403-0.00071503i,-0.00017575-0.0009994i,0.00060785-0.0010093i,0.0013728-0.00045394i,0.00089222-0.00084883i,0.00017813-0.001354i,-0.00058012-0.0011387i,-0.0015751+0.00018682i,-0.0018877+0.0013404i,-0.00055719+0.00096511i,0.00051715-4.9078e-05i,0.00025164-0.00065393i,0.00069641-0.00048665i,0.00057145-0.00046027i,0.00014997-0.00062183i,0.00024779+8.5529e-05i,0.00071471+0.00076822i,0.00039738-2.1871e-05i,-0.000169-0.00025562i,-0.00027762-0.00027453i
-7.9283e-05-0.0024151i,0.00045385-0.0021384i,0.00039733-0.0021446i,0.00023962-0.00169i,-0.00024661-0.00077339i,0.00013238+0.00087458i,0.00063079+0.00085114i,0.00079411-0.00037132i,0.00054434-0.00069336i,-0.0003105+0.00035864i,-0.00029442+0.0012961i,0.00092485+0.00099935i,0.0013018-3.6174e-06i,0.00069661-0.00047089i,0.00049679-0.0010003i,0.00065454-0.0013785i,0.00064662-0.00022798i,0.0002777+0.00025931i,0.00018448+0.00012049i,0.00032363+0.00049375i,1.9224e-05+0.00027979i,-0.00011105-0.00014313i,8.9272e-05-0.00034078i
4.5553e-05-0.00052596i,-0.00016447-0.00099976i,0.00084148-0.0013i,0.0017924-0.0011787i,0.0015235-0.0010491i,0.0006865-0.0015757i,9.6697e-05-0.0018274i,-0.00030642-0.0017388i,-0.0010097-0.0012331i,-0.0010897-0.00057901i,-0.00030816-7.7708e-05i,0.00017969-0.00016045i,-0.00019334-0.00054104i,0.00032986-0.00082319i,0.00062517-0.00086728i,5.1852e-05-0.00032033i,-0.0012966-0.00039625i,-0.0016572-0.0010581i,-0.00012588-0.0011437i,0.00040749-0.00010735i,0.00011875+0.00074944i,0.00042615+0.0010425i,0.00029104+0.00048428i
7.3661e-05+0.00062856i,0.000337+3.843e-05i,0.00040577-0.00075466i,0.0010971-0.00066626i,0.0015658-9.4628e-05i,0.0011894-0.00060277i,0.00042676-0.0010739i,-0.00018757-0.00073801i,-0.00089832-0.00024545i,-0.0013662-0.00080323i,-0.001148-0.0010511i,-0.0015796-0.00081504i,-0.0017938-0.00042197i,-0.0011285-0.0007189i,0.00018888-0.0012333i,0.0009049-0.00033921i,-0.00014626+8.9308e-05i,-0.001061+4.9645e-05i,-0.00022046+0.00022482i,1.1086e-05+0.00079433i,-0.00079584+0.0011089i,-0.00096647+0.00058275i,-0.00072882+0.00032736i
-0.0017392-0.0010185i,-0.0010095+0.00025497i,-0.0011481+0.0017148i,-0.00051287+0.0016477i,0.0016383+0.0011899i,0.0024821+0.0011186i,0.0016009+0.00053532i,-0.00070119-0.00031008i,-0.0022351-0.0001283i,-0.0021358+0.00047943i,-0.0013696+0.00026079i,-0.0008242+0.00020584i,-0.0010669-4.6566e-05i,-0.0013999-6.2658e-05i,-0.0012542-7.5818e-05i,-0.00031733+0.00011264i,0.00053171+0.00044175i,0.00036005+0.00068863i,-2.5241e-05+0.00051741i,0.00055463-8.9659e-06i,0.00065991+0.00031456i,0.00039231+0.00011206i,0.0002699-0.00081261i
-0.0017784-0.00074904i,-0.0023342-0.00050318i,-0.0012506-0.00047655i,0.0012038-0.00048855i,0.0029328-0.00062752i,0.0029877-0.00033854i,0.00205+0.00028646i,0.0011337+8.2644e-05i,-0.00024186-0.00054151i,-0.0018762+0.00028775i,-0.0016037+0.0014547i,-1.2138e-05+0.0023075i,0.00039774+0.0030665i,0.0002392+0.0025746i,7.1781e-06+0.0015888i,-0.00039564+9.7319e-05i,-0.00030293-0.00098044i,-0.00024163-0.0008777i,-0.00048208-0.0010213i,-0.00070441-0.00078739i,-0.00066413-0.00059318i,-1.4696e-05-0.00091899i,0.0009119-0.00034713i
0.0021207+0.00063905i,0.0028119-0.00013239i,0.0030545-0.00059686i,0.0030139-0.0013846i,0.0023906-0.0021676i,0.00093715-0.0015924i,0.00025579-0.00086682i,0.00066582-0.00025152i,0.00073024+0.00010452i,0.00043231+0.00050031i,0.00066157+0.0012423i,0.00096353+0.0013521i,0.00045926+0.00067228i,0.00045997+0.00052599i,0.00072932+0.00044593i,0.00033915+1.0609e-05i,-0.0002015-0.00024269i,-0.00080528-0.00084301i,-0.00065617-0.00094073i,0.00013683-0.00081183i,0.00044251-0.0008356i,0.00019737-0.00083227i,9.9446e-05-0.00084691i
