-0.0042225-8.0237e-05i,-0.0023852+0.00043451i,-0.0011405+0.0023453i,-0.00037799+0.0029515i,0.00013205+0.0027681i,-2.9683e-05+0.002554i,-0.00068371+0.0022361i,-0.00037698+0.0023018i,0.00048199+0.0027503i,0.00070062+0.0022834i,0.00078684+0.0011621i,0.00071012-4.811e-05i,6.7296e-05-0.0011666i,-0.0007446-0.00082521i,-0.00045671-0.00058518i,-0.00029524-0.00095315i,-0.00029918-0.00089203i,-0.00021497-0.00069918i,0.00040625-0.00032741i,0.00064548-0.00011759i,-0.00034209-1.7366e-05i,-0.00091683+3.7605e-05i,-0.00071709+0.00040362i
0.00036414-0.00092521i,0.00080865-0.0010646i,0.00069635+2.8348e-05i,-4.2342e-05+0.0013309i,0.00048181+0.0015027i,0.0010087+0.0014398i,0.0004601+0.00067142i,-0.00040826-8.4758e-05i,-0.00032971-2.3886e-05i,0.00022586+0.00036007i,-0.00017492+0.00073084i,-0.00021686+0.00069862i,1.1279e-05+0.00019933i,-5.8048e-05+7.9879e-05i,0.00023924+1.0382e-05i,-0.00013278-8.6786e-05i,-0.00080498-0.00049103i,-0.00051574-0.0010746i,0.00024047-0.0011356i,6.4369e-05-0.00081372i,-0.00069493-0.00039364i,-3.5497e-05+9.8361e-05i,0.00040553+0.0002019i
-0.0019935+0.0010768i,-0.00032197+0.0028146i,0.00052853+0.0029542i,0.00045803+0.0020376i,0.0011557+0.00077903i,0.0023339-0.00040391i,0.0015776-0.00062912i,-0.00065747+0.00018711i,-0.001441+0.00096278i,-0.00094051+0.00053071i,-0.00111+0.0008493i,-0.00060889+0.0011021i,0.00054173+0.0010748i,0.00060008+0.0011514i,0.00068997+0.00024606i,0.00033713-0.00091159i,-0.00031385-0.00049463i,-8.8072e-05-2.5744e-05i,0.00011436-0.00035972i,-0.00014283-0.00078799i,-0.00085348-0.00034354i,-0.00067779+0.00054469i,-5.1382e-05+0.00066027i
7.5776e-05-0.0016268i,-0.0003405-1.6017e-05i,-0.00030132+0.00066977i,-0.00054856+0.00089014i,-0.0012892+0.0013236i,-0.00097474+0.00056995i,-1.8354e-05-0.00035558i,1.8005e-05-0.00023637i,-0.00015363+0.00018464i,-0.0006255+0.001228i,1.9826e-05+0.0015489i,0.0001646+0.0014571i,-0.00026974+0.001637i,-3.385e-05+0.0015099i,-0.00010218+0.00084605i,-0.00018938+0.000757i,0.00037108+0.00052196i,0.0013998-0.00012672i,0.001204-0.0002914i,0.00031798-4.1113e-05i,-0.00011682-0.00035694i,6.1982e-05+7.3824e-05i,-0.00017373+0.00033373i
-0.00011647-0.00078949i,0.00068129-0.00036637i,0.0012967-0.00083519i,0.001071+0.0001157i,2.806e-05+0.0018139i,-0.00048626+0.0010923i,-0.00072288+0.00027927i,-0.00087833+0.00033025i,-0.0012079+0.00027874i,-0.0011905+0.00045685i,-0.00030075+0.00053569i,0.00033615+0.0014433i,0.00056413+0.0016405i,0.0013425+0.00061157i,0.00176-4.3704e-05i,0.00080713+2.6287e-05i,-0.00048055-0.00010877i,-5.5608e-05-0.00082699i,1.464e-05-0.00040253i,-0.00060395-0.00058273i,-0.00024107-0.001109i,0.00034339-0.00071197i,0.00032016-0.00042644i
0.00083003+7.6845e-05i,0.00026668-0.00026205i,0.00048997-0.00032294i,0.0001441-0.00032403i,-5.3477e-05+0.00066844i,0.00033326+0.0019272i,7.9693e-05+0.0014993i,-0.00027502+0.00039988i,-0.0002823+0.0013328i,-0.00047275+0.0020188i,-0.00014943+0.00093792i,0.0001645+0.00040909i,0.00035762+0.00077034i,0.00017806+0.0012577i,0.00024624+0.00038937i,0.00081352-4.8406e-05i,0.00053587-0.00010746i,0.00043917-0.0006083i,-5.7004e-06-0.00024834i,-0.00034896-3.669e-05i,-0.00052222+1.9243e-05i,-0.00096131+0.00043887i,-0.00083135+0.00021079i
-0.0010356+5.8213e-05i,-0.0010976+0.0016181i,-0.0019183+0.002281i,-0.0013917+0.0017756i,1.7786e-05+0.0015335i,0.00097287+0.00059293i,0.0011289-0.0009257i,0.00046665-0.00073664i,0.00038637+5.5489e-05i,0.00066252+0.00059658i,6.7877e-05+0.00078472i,-0.0009789+0.00067139i,-0.00089833+0.00023988i,0.00035739+0.00031531i,0.00053456+0.00040905i,-4.4688e-05-1.8282e-05i,-0.00054484+0.00042051i,-0.00057103+0.0004736i,-0.00035675-0.0003281i,-0.00039425-0.00015858i,-0.00067987+0.00034246i,-0.00072263+0.00055485i,-0.00061898+0.00067369i
-0.00030908+0.00018323i,-6.3917e-05+0.00012586i,0.0011143+0.00077841i,0.0014097+0.0020024i,0.00098858+0.0022606i,0.001383+0.0015254i,0.0012181+0.00050409i,0.00035003+0.00024192i,-0.00044287+0.00029289i,-0.00062272+0.00080838i,-0.0011795+0.0015324i,-0.0011895+0.00057647i,-0.00058523-0.00052847i,0.00020973-0.00059635i,0.00010766+0.00041682i,-0.00054273+0.00052144i,0.00019826+0.00021186i,0.00066562+0.00046594i,0.00018661-4.31e-05i,-1.3052e-05-0.00055447i,1.1348e-05-0.00061871i,0.00015621-0.00048958i,0.00013922-2.2384e-05i
-0.0023108+0.00021383i,-0.0026381-1.9348e-05i,-0.0019402-0.00037104i,-0.0004906+0.0010066i,0.00035094+0.0023527i,0.00031473+0.0014538i,-0.00011463+0.00094498i,-0.00058778+0.0016074i,-0.00042847+0.001673i,-0.00033478+0.0014607i,-0.00044488+0.0011897i,5.0649e-05+0.0010396i,0.00052793+0.00065098i,0.00040341+0.00014017i,0.00016199-0.00018243i,-9.0626e-05-0.00011155i,-0.00021031-0.00051402i,-0.00013686-0.00069734i,-0.00022853-0.00069811i,-4.241e-05-0.00053749i,-0.00015458-4.8634e-05i,-0.00031185+0.00017466i,-0.00043414-0.00027761i
-0.00038239+0.00061252i,-0.0011418+0.00061448i,-0.0007019+0.0016072i,0.00030104+0.0017183i,0.00069946+0.00084975i,0.00073007+0.0012879i,0.0004093+0.0014535i,-0.00019377+0.00076107i,-0.0005147+0.00095693i,-0.00036918+0.0013516i,-0.00036543+0.0011359i,-0.00065764+0.0011761i,-0.00067627+0.00087075i,-0.00084092+0.00057221i,-0.00096009-0.00029822i,-0.00085882-0.0011229i,-0.00080166-0.0013822i,-0.00016054-0.00099802i,-4.3467e-05-0.00042859i,-0.00020749+5.8723e-06i,-0.00057124-0.00026614i,-0.00011022-0.00045835i,0.00052385-0.00022885i
-0.001052-0.0011106i,-0.00057586-0.00078702i,0.00042443-0.00016726i,0.00011986+0.0013139i,-0.00033002+0.0027684i,-6.7943e-05+0.0012285i,0.00012915-6.4142e-05i,-0.00039716+0.0001989i,-0.00095988+0.00068478i,-0.00018805+0.0010455i,0.00043014+0.00068502i,3.4321e-05+0.00075737i,-0.00068878+0.00059066i,-0.00014648+0.00032602i,0.00041507+0.00062867i,0.00019989+0.00029227i,3.2125e-05-2.3144e-05i,-0.00029929-0.00057982i,-0.00057859-0.00085386i,-0.00069658-0.0009509i,9.4245e-06-0.00019102i,0.00022089+0.00062806i,0.00084308-2.4952e-05i
-0.0014826-0.00074164i,-0.00054681+0.0001043i,4.178e-05+0.00095959i,0.00045188+0.0014897i,0.00044406+0.0014051i,0.0005653+0.0010005i,0.00017216+0.00074806i,-0.00038033+0.0013466i,-6.4245e-05+0.0023249i,-4.4653e-05+0.0022143i,-0.00093611+0.0016199i,-0.00085557+0.0011801i,0.00032614+0.00086017i,0.00038704+0.00016244i,-5.6003e-05-0.00051164i,0.00018388-0.0010439i,0.00057368-0.00093871i,-4.7545e-05-0.00091718i,-0.00011493-0.0010032i,-5.3738e-05-0.00075422i,-0.00097025-0.001055i,-0.0010544-0.0013553i,-0.00016737-0.0011325i
0.00012639+0.00040505i,0.00039986-9.3918e-05i,0.00075899+0.00037609i,0.0010839+0.0013441i,0.00053676+0.0021654i,-0.00015054+0.0012513i,-0.00050091+0.00027818i,-0.0015248+0.00022205i,-0.00089494+0.00063499i,0.00031351+0.0010853i,0.0008191+0.0010021i,0.00048504+0.00049333i,-0.00012421+9.2695e-05i,-0.00042853-0.00027287i,-5.1125e-05+0.00032958i,6.9731e-05-0.00011795i,0.00025904-0.00078718i,0.00070671-6.5728e-05i,0.00079249-4.7973e-05i,0.0007801-0.00084298i,0.00018502-0.000963i,-0.00033733-0.00016766i,-0.00046027+0.00023827i
0.0011113-0.0020772i,0.001144-0.0026158i,0.0006566-0.0034731i,-0.00036753-0.0022453i,-0.0010582-0.00072334i,-0.00064359+0.00063235i,-0.00022279+0.00088079i,-0.0006696+0.00043403i,-0.0012413+0.00069906i,-0.0015657+0.00069769i,-0.001446+0.00020022i,-0.00051933+0.0002845i,8.4084e-05+0.00049607i,0.00029153+0.00043766i,0.00015951+4.7647e-05i,7.001e-05+0.00011764i,0.00080532-0.00042596i,0.001511-0.0010875i,0.00044777-0.00086198i,-0.0008088-6.1345e-05i,-0.00066449-0.00040967i,-5.529e-05-0.00049212i,0.0005773+0.0001005i
0.00085358+0.0013079i,0.0015639+0.0015217i,0.0023749+0.0017109i,0.0026636+0.0011574i,0.0021435+0.00084698i,0.0010639+0.00047703i,-0.00016681+0.00023753i,-0.00033776+0.00058393i,0.00052402+0.0014559i,0.00096984+0.0014883i,0.00054698+0.0010556i,-3.067e-05+0.0013065i,-0.00076971+0.0010844i,-0.00096504+0.00077485i,-0.00042824+0.00054203i,8.5874e-05+0.00075554i,0.00053882-0.00026626i,0.00054604-0.0015623i,9.7971e-05-0.0014263i,6.4442e-05-0.0019209i,-0.00046984-0.0012109i,-0.00095809+5.7923e-05i,-0.00077734+0.00027858i
0.00060604+5.9541e-05i,1.4641e-05-0.00079223i,0.000464-0.0014733i,0.00028615-0.00079858i,-0.00068659+0.00030574i,-0.00036301+0.00024447i,0.00023558-0.00079479i,-0.00025532-0.00083326i,-0.00039268-0.00016319i,0.00053957-8.4799e-05i,0.00064027-0.00025917i,-0.00085026+0.00027395i,-0.0010244+0.0011238i,-5.1188e-06+0.0020987i,0.00021029+0.0020832i,-7.9413e-05+0.0010392i,-0.00020112+0.00020933i,-0.00018627-0.00043691i,-0.0004538-0.00069375i,-0.0005925-0.00057738i,-0.00060411-0.00026668i,-0.00085679-0.0003284i,-0.0008143-0.00083234i
0.0012147-0.0006606i,0.00053818-3.6362e-05i,8.1854e-05-0.00059374i,0.00038746-0.00097237i,0.00085296-0.00066272i,0.00019903-0.00064408i,-0.00029292-0.00041615i,-0.00074311+4.3744e-05i,-0.0009034+0.00051651i,-0.00092655+0.00048573i,-0.0012685+0.00011605i,-0.0010344+5.7413e-05i,9.1233e-05+0.00073793i,0.00087896+0.0012563i,0.0007566+0.0010401i,0.0010074+3.5257e-05i,0.0013391-0.00099182i,0.0010088-0.0013814i,0.00034952-0.001112i,-1.6397e-05-0.0008504i,-0.00034108-0.00059883i,-0.00027756+3.7407e-05i,0.00019714+0.00029911i
-0.00069182+3.8604e-05i,0.00037185+0.00010328i,0.00063659+0.00038819i,0.00060401+0.00081642i,0.00067743+0.0018307i,2.3584e-05+0.0025263i,-0.0018394+0.0038078i,-0.0027365+0.0062972i,-0.00064401+0.0074553i,0.0024304+0.0056211i,0.0036548+0.0034689i,0.0031776+0.0020403i,0.0021767+0.0010125i,0.0011704+0.00038337i,0.00011187-0.0007435i,-0.00073873-0.00098874i,-0.0012153+0.0001973i,-0.00085424+0.00085407i,5.7313e-05+0.00027784i,0.0001449-0.0013567i,3.6165e-05-0.0021596i,0.00037529-0.0012831i,0.00095593+0.00011301i
0.0005353+0.0018398i,0.00089124+0.001514i,0.0012865+0.0018755i,0.001392+0.0013683i,0.00078+0.00091918i,0.00011723+0.00072743i,-0.00052324+0.00039181i,-0.0010458+0.00068514i,-0.00080643+0.0018305i,-0.00016334+0.002009i,0.00061513+0.001282i,0.00073007+0.0011492i,0.00028582+0.00091238i,0.0002388+0.00055955i,0.00073102+0.00029146i,0.00069947-0.00021331i,0.00048905+0.00019666i,0.00071104+0.00051931i,0.0006454+0.00039661i,0.00020321-4.0525e-05i,4.135e-05-0.00094398i,-0.00049578-0.0010559i,-0.0004742-0.0002757i
0.00034376+0.0016312i,-0.00010999+0.0017139i,-0.00038074+0.002042i,0.0003176+0.001067i,0.0011649-0.00038002i,0.00064885-0.00066926i,-0.00062231-0.00090182i,-0.00060049-0.00065936i,-0.00045005+0.00095574i,-0.00041465+0.0013667i,0.00026584+0.0004869i,0.0006423-0.00064126i,0.00062473-0.00064515i,0.00041328+0.00013636i,0.00032546+0.00034854i,9.9937e-05+0.00023093i,-0.00023117+8.5633e-05i,0.00029687-8.9869e-05i,0.00038646-0.00051917i,-0.00039203-0.00074129i,-0.00088934-4.956e-05i,-0.00090651+0.00054831i,-0.00048959-0.00013029i
-0.0010742-0.0019383i,-0.0011519-0.0016741i,-0.0011473+0.00011303i,-0.001419+0.0019179i,0.00015176+0.0019603i,0.00092589+0.001711i,-0.0010168+0.001678i,-0.0023668+0.00064487i,-0.0015689+0.00034111i,-0.00025484+0.0021324i,9.3428e-05+0.0024634i,0.00011953+0.0010223i,0.00070397+0.00014086i,0.00092088+0.00078085i,0.00027484+0.0011745i,0.00035933+0.00044638i,0.00032204+7.7081e-05i,-0.00011008+0.00019948i,-7.8015e-06+0.00032056i,0.00029657+0.0011001i,-0.00028789+0.0011811i,-0.00075293-0.00010637i,0.00039207-0.00057259i
-0.0003074-0.00085206i,5.6943e-05-0.00094914i,-0.00048968-0.00079003i,-0.00085917+0.00013775i,-0.00061333+0.0010538i,-0.00012947+0.0013584i,5.5668e-05+0.00016263i,-0.00042141-0.0003757i,-0.00085316+0.00035247i,-0.00093909+0.00080073i,-0.0002745+0.00099769i,0.0005085+0.00079891i,0.0003658+0.00077029i,-0.00024183+0.0012182i,0.00015736+0.00090228i,0.00033578+0.00058218i,0.00010991-0.00022661i,0.0006226-0.00056018i,0.0010471-0.000365i,0.00056703-0.00083462i,-1.8955e-05-0.00087509i,6.5004e-05+4.2265e-05i,0.0005611+0.00047502i
0.00011016+0.00017559i,8.6178e-05+0.0001835i,-0.0013499+0.00095075i,-0.0011441+0.00095639i,0.00013234+0.0014841i,0.0009048+0.0014249i,0.00019851+0.00054405i,-0.00072068+0.0002807i,-0.00080157+0.0009703i,-0.00069137+0.0010532i,-0.00069657+0.00096507i,-0.00055327+0.0014995i,9.3443e-06+0.0014793i,0.00041245+0.00059626i,0.00097109-0.00039528i,0.0011025-0.0012213i,0.00078206-0.0016168i,4.8147e-05-0.0014828i,-0.00083775-0.0012629i,-0.0010064-0.0013128i,-0.00088382-0.0012685i,-0.00084121-0.0011491i,7.8161e-05-0.00096321i
-0.0018191-0.00080014i,-0.001725+0.00089552i,-0.00095932+0.0014451i,0.0002403+0.0015605i,0.00079976+0.00074422i,0.0013709+0.00019802i,0.00084715-0.00010111i,-0.0004876+0.00014119i,-0.00057578+0.00058286i,-0.00067946+0.00075038i,-0.00083222+0.00056476i,-0.00020425+0.00075561i,0.0004766+0.0011441i,0.00050741+0.00084379i,-0.00054909+0.00016157i,-0.00074433-0.00054516i,0.0001275-0.00057035i,-0.00024544-0.0010936i,-0.00060156-0.0014979i,-0.0004527-0.00086817i,-0.0004246-0.00050303i,0.00016108-0.0002983i,0.00033303+1.733e-05i
0.0026504-0.00060173i,0.0015594-0.0015145i,0.00023901-0.0022119i,-0.00094147-0.0014502i,-0.0015819+0.00052274i,-0.0016835+0.0024481i,-0.001347+0.0019954i,-0.00097436+0.0005375i,-0.000583-0.00019151i,-0.00074339+0.00090068i,-0.0012701+0.001227i,-0.00084953+0.00059895i,-5.9513e-05+0.00086327i,0.00044049+0.00083693i,0.00048945+0.00019376i,-0.0002627-0.00038221i,-0.00047633-0.00019962i,0.00019543-0.00041881i,0.0010673-0.0013899i,0.0011021-0.0014321i,-6.626e-07-0.00063953i,-0.00090037-0.00010938i,-0.00046908+0.00014987i
0.0015986-0.00056489i,0.0026758-0.00068624i,0.0024812-0.00041117i,0.0018258-0.00035943i,0.00046071+0.00019092i,5.9924e-05-9.0063e-05i,0.00017809-0.0012904i,-0.00028368-0.00073061i,-3.3063e-05+0.00029917i,2.509e-05+0.0004407i,-0.0003255+0.0011653i,-0.00060728+0.0016848i,-0.00025241+0.00073948i,5.5791e-05+0.00023494i,-0.00019054+0.00032807i,-0.00027228+0.00038963i,-9.4796e-05+3.385e-05i,0.00036183-0.00016648i,0.00019768-0.00083833i,-0.0002773-0.0013682i,-0.00017906-0.0013276i,-0.00016031-0.00068615i,-0.00021618+0.00015586i
-0.00012763+0.00083826i,-0.0010234-0.00039892i,-0.0010791-0.00074856i,-0.00015272+0.0010547i,0.00070366+0.0020507i,0.00089022+0.00090948i,0.00025841+0.00042745i,-0.00039115+0.00059113i,-0.00069984+0.00085542i,-0.00095504+0.00079112i,-0.0010104+0.00064639i,-0.0010462+0.00097532i,-0.00037955+0.00094873i,0.00069569+0.00041329i,0.00048196-0.00058495i,-0.00033631-0.0011558i,-0.00026511-0.00036228i,0.00040646+0.00030079i,0.00058322-0.00052725i,-0.00012262-0.0017309i,-0.00080976-0.0015652i,-0.00035473-0.00093473i,-0.00017152-0.00054858i
-0.000709-0.0003354i,-0.00016163+0.00054538i,0.00017719+0.0016396i,-2.8251e-05+0.0009105i,0.00037233-7.7332e-05i,0.00048576-0.00035593i,0.00046734-0.00043399i,7.9373e-05-4.1313e-05i,-0.0010234+0.00096963i,-0.00067027+0.0016462i,0.00030688+0.0011425i,0.00016338+8.5883e-05i,-0.00017786-0.00072021i,-0.00019515-0.00047424i,-0.00025631+0.00086848i,-0.0001774+0.00077251i,8.3223e-05-0.00027136i,0.00019328-0.00076648i,-0.000142-0.00055544i,-6.1391e-05-9.7989e-05i,6.0093e-05-0.0001392i,-0.00036771-0.00010391i,-0.00056465-0.00023089i
-0.00021578-0.0016779i,-0.0016807-0.0016495i,-0.0028493-0.0015957i,-0.0020327-0.00032893i,-0.00075746+0.00085221i,-0.00069579+0.00095735i,-0.00079082+0.00031018i,-0.00099595+5.6794e-05i,-0.00054801+0.00097419i,-0.00048179+0.0017594i,-0.00043254+0.0013269i,0.00012086+0.00084832i,0.00025608+0.00064246i,-0.00027492-0.0002552i,0.00011781-0.00046043i,0.00081932+7.501e-05i,0.0011133-0.00031321i,0.00099547-0.0014435i,0.00024156-0.0014751i,-0.00039102-0.00073175i,-0.00025629-0.00020872i,2.1197e-05+2.333e-05i,0.00017816+9.1094e-05i
-0.0010803-0.0011306i,-0.00052723-0.00056874i,0.00028149+0.00063012i,0.0011607+0.0017779i,-0.00012927+0.0019616i,-0.00070445+0.0013661i,-0.00086578+0.0017705i,-0.0016226+0.0023847i,-0.0011341+0.0021542i,-0.00083665+0.0021946i,-0.0014204+0.0013338i,-0.0014662+4.0775e-05i,-0.00090128-0.0001413i,-0.00011007+0.00059839i,0.00094921+0.0011396i,0.0015038+0.00080066i,0.00081079+0.00031391i,0.00047957-0.00023073i,0.00088296-0.00080458i,0.00082658-0.0013854i,-7.9928e-05-0.00082275i,-0.00062609-6.2416e-05i,0.00029779-0.00061816i
-0.00054117+0.00023369i,-0.0014597+0.00076695i,-0.0021062+0.0012783i,-0.0017504+0.0014154i,-0.00086737+0.00096666i,-0.00027464+0.00017053i,-9.0526e-05-0.00011224i,-0.00049413+0.00036332i,-0.00069115+0.00099305i,-0.00067034+0.0012336i,-0.00043552+0.00098162i,-0.0001067+0.00060197i,-0.00031898+6.3476e-05i,-0.00033838-0.00044438i,0.00027854+0.00010318i,0.00022012+0.00016013i,-0.00075582-0.00049889i,-0.00082853+6.7792e-06i,4.5068e-05-0.00062194i,2.2296e-05-6.4592e-05i,-0.00069027+0.0012678i,-0.00060871+0.00059408i,-0.00016825+8.2963e-05i
-0.00023173+0.00064482i,0.00061895+0.0005366i,0.00054783+0.001526i,0.0003368+0.0023043i,0.0007725+0.0018483i,0.00052665+0.0012536i,-0.00050707+0.00065947i,-0.0016435+0.00093307i,-0.0018321+0.001383i,-0.0013117+0.0016862i,-0.001576+0.0017864i,-0.0012652+0.0011777i,4.1237e-05+0.00028512i,0.00091027+0.00033452i,0.00046639+1.0251e-05i,-0.00062075-0.00071221i,-0.00091205-0.00053558i,-0.00058514-0.00069453i,-0.00033085-0.0011918i,-0.00032713-0.00077929i,-0.00081001+0.00011149i,-0.00037482+0.00046632i,0.0003826+6.7393e-05i
-0.0017175-0.0015717i,-0.0015704-0.00088552i,-0.0015541+0.00024524i,-0.0013639+0.001755i,-0.00022879+0.0027768i,0.0010619+0.0027077i,0.00024611+0.0015372i,-0.00077882+0.00070897i,-0.00035893+0.00020114i,-0.00037886-0.00012166i,0.00015622+0.00059595i,0.00063705+0.00081364i,0.00050339+0.00051977i,0.0013097+0.00035829i,0.00099363+6.9532e-05i,0.00072251+3.4461e-05i,0.00090497+0.0001724i,0.00069245-0.00012418i,0.00085228-0.001209i,0.0005868-0.0017454i,-0.0003361-0.0015368i,-0.00093535-0.00088368i,-0.00035017+2.7557e-05i
0.0028067+0.00017649i,0.0037413-0.00037336i,0.0040946-0.00061501i,0.003438-0.00047098i,0.0017785+0.00054579i,0.00047857+0.00077162i,-0.00084369+0.00044923i,-0.0014859+0.00095186i,-0.0011764+0.0010105i,-0.00031987+0.00070785i,0.00025129+0.00099691i,0.00026912+0.00092202i,0.0002176+0.00017826i,-0.00013193+5.4999e-06i,-0.00065324-0.00075708i,-0.00031474-0.0010058i,0.00029684-0.00034851i,0.00054458+3.7775e-05i,0.00060473-0.00014331i,-8.6861e-06-0.00033608i,-0.0011076-0.00025996i,-0.0010438-0.00065728i,-0.00031829-0.00063388i
-0.00068499-0.00060265i,-0.0017186-0.0014145i,-0.0025294-0.0010148i,-0.0023213-0.00041332i,-0.0014377+0.00034645i,-0.00057091+0.0011215i,-0.00042788+0.00072834i,-0.00090108+0.00098404i,-0.00061063+0.001925i,-0.00046336+0.0017505i,-0.00025746+0.0010571i,0.00010045+0.0005335i,0.00020959+0.00017339i,-0.00016509-0.00031598i,-0.00037588-0.00025506i,0.00055384+0.00019894i,0.00070212-4.0605e-05i,0.00028338-0.00024019i,0.00026891-0.00044522i,-0.00025442-0.00070124i,-0.00095019-0.00044573i,4.5658e-05-0.00011894i,0.00054614+0.00062874i
-0.00040983+0.00025911i,-0.0011667+0.00081595i,-0.0017501+0.0017559i,-0.00058975+0.0016205i,0.0010723+0.0016164i,0.0012252+0.0013033i,0.00060928+0.00043426i,-0.00070979+0.0007631i,-0.0014432+0.0012518i,-0.00086326+0.00091033i,-0.00021695+9.7445e-05i,-0.00060323+0.00027838i,-0.0015563+0.00023987i,-0.0013321-0.00035373i,-0.00084692-5.0999e-05i,-0.00049379+0.00076632i,-0.00024123+0.0011174i,0.00020069+0.00072864i,0.00032161+9.0313e-05i,0.00023466-0.00013159i,-0.0001762+4.2191e-06i,-0.00057108+0.00015743i,-0.00029386+0.00021748i
-0.0011844+0.00033319i,-0.00013687-0.00040709i,0.00017108-8.7712e-05i,-9.7136e-05+0.00073568i,8.4198e-05+0.0011796i,-0.00010692+0.00025763i,-0.00034018-0.0008579i,-0.0011472-0.00035813i,-0.0010512+0.0011553i,-0.00074268+0.0016388i,-0.00041623+0.00071716i,0.00032783-0.00031337i,-5.6087e-05+5.5789e-05i,-0.00067595+0.00067275i,-0.00050217-0.00015474i,-0.00020152-0.00022572i,0.00024192+0.00024496i,0.00077343-0.0010263i,0.0012896-0.0020338i,0.00043608-0.001099i,4.3797e-05-0.00023326i,0.00069-0.00041235i,0.0004838-0.00057618i
-0.0016476+0.0019076i,-0.0013108+0.0024009i,-0.00088916+0.0029824i,0.00034484+0.002537i,0.0019501+0.0018532i,0.0020007+0.00036772i,0.00087776-0.0012978i,1.9454e-05-0.0012679i,-0.00024905+0.0002048i,0.00025546+0.0013232i,0.00035537+0.0012765i,-0.00058494+0.00085468i,-0.00054107+0.00059885i,-4.1448e-05+0.00061813i,-7.3823e-05-0.00020072i,-0.00040663-0.00076119i,-0.00079036-0.00042557i,-0.0011197-0.00054034i,-0.00097545-0.00094425i,0.00017929-0.00091121i,0.00037753-0.00088267i,-0.00019981-0.00073825i,9.8427e-05-0.00027669i
0.00090873+0.00095085i,0.00071192+0.00080734i,0.0012954+0.0010688i,0.0025315+0.00068335i,0.0018127+0.00020048i,-0.00043574+0.00041223i,-0.0016099+0.00064662i,-0.0012461+0.00070693i,-0.00017188+0.00075705i,0.00028622+0.00062835i,-0.0003677+0.00079191i,-0.00020723+0.00036917i,0.00029698-0.00012213i,0.00015326+0.00016596i,0.00057535+0.0011055i,0.0009216+0.00083146i,0.00022124-0.00060054i,0.00062015-0.00075513i,0.00062005-3.1345e-06i,0.0001941+0.00023873i,-0.00032118-0.00050251i,-0.0010034-0.0010467i,-0.00097605-0.0002142i
-0.00026669-0.0017514i,-0.0025916-0.0019264i,-0.0036271-0.0011912i,-0.0028233+0.00084955i,-0.00071349+0.0015965i,0.00027925+0.0018301i,-0.00043049+0.0017501i,-0.00084483+0.001082i,-0.00047907+0.001191i,-0.00052935+0.0018522i,-0.00062138+0.0017286i,-0.00041787+0.00064248i,0.00036354+0.00064088i,0.00058184+0.0013791i,0.0006907+0.0013806i,0.00099373+0.00050107i,0.00065964+0.00019985i,5.6151e-05+0.00020679i,-0.00045566-0.00018824i,-0.00085172-0.0004176i,-0.0013679-0.00021784i,-0.0012033+0.00013941i,-0.00035063+0.00028592i
-0.0032669+5.9045e-05i,-0.0028544+0.00080989i,-0.0016974+0.0015801i,-0.00066606+0.0020855i,0.00046692+0.0027329i,0.00084973+0.0021146i,0.00022087+0.00097193i,-0.00037915+0.00054708i,-0.0012043+0.00080473i,-0.0014438+0.0013462i,-0.00032006+0.00094468i,0.00013305-0.00038746i,-0.00030988-0.0011957i,-0.0001163-0.0007706i,0.00029778-0.00028382i,-8.633e-05-0.00036924i,-0.0010909-0.00044116i,-0.00020449-0.00053456i,0.0012301-0.0005836i,0.00090105-0.0005979i,-0.0004053-0.00093327i,-0.0011122-0.00049057i,-0.00088886+4.4287e-05i
0.0002293+0.0020442i,0.00095539+0.0026847i,0.0018124+0.0029143i,0.0020998+0.002784i,0.0015176+0.0012616i,0.0012739-0.00015539i,0.0004081-0.00062439i,-0.0005343-0.00065618i,-0.0011523+0.00044483i,-0.00084518+0.0013656i,0.00033964+0.00098861i,0.00072952+0.00016217i,3.3739e-05-0.00038321i,-0.00023657-0.00042751i,0.00043086-0.00012839i,0.00013966-0.00022503i,-0.00058011-0.00041128i,-0.00059146-0.00031927i,-0.00066436+4.5731e-05i,0.00012863+0.00019413i,0.00015181+0.00027797i,-0.00039616+0.00073189i,-0.00049286+8.6748e-05i
-0.00026372-0.00025496i,-0.0004084-0.0002045i,0.00040223+0.0010859i,0.0010632+0.0011131i,0.00063835+0.0010134i,0.00030491+0.0011724i,-0.00011447+0.00017923i,-0.0010136+1.0687e-06i,-0.0013866+0.00098562i,-0.0011745+0.0012579i,-0.00089999+0.0010577i,-0.0010715+0.0011164i,-0.00042092+0.00085285i,0.00078498+9.9139e-06i,0.00080774-0.0005154i,-9.0365e-05-0.00097342i,-2.8569e-05-0.0013193i,0.0008194-0.00087355i,0.00058556-0.001106i,-9.5649e-05-0.0012321i,-0.00076472-0.00073117i,-0.00076145+0.00010838i,6.0716e-05+0.00043023i
