-0.00157-0.00065033i,-0.00028614-0.00022783i,0.00020006+0.0010778i,0.0010962+0.001854i,0.0016382+0.0017552i,0.00092843+0.0016744i,0.00043355+0.0015051i,0.0002714+0.001053i,0.00045896+0.0011059i,-5.517e-05+0.00099591i,-0.00023197-0.0001749i,-0.00046246-0.00084939i,-0.0011559-2.6648e-05i,-0.00096299+0.00023737i,-0.00042237-0.00023946i,0.00026824-5.5821e-07i,0.00049536+0.00021138i,-0.00013631+0.00019489i,-0.00047461+0.00027729i,-0.0001981+0.00070329i,-0.0005209+0.00055009i,-0.0004528-0.00025193i,-0.00020929-0.00054327i
-0.012287-0.0093442i,-0.019442-0.0070436i,-0.020607-0.0020585i,-0.014542+0.00059491i,-0.0078015+0.0011934i,-0.0033136+0.0019599i,-0.0001807+0.00071992i,-0.0002259-0.0016644i,-0.0011965-0.001961i,-0.00088268-0.00043712i,-0.0011491+0.00010152i,-0.0019921-0.0008393i,-0.0015484-0.00097689i,-0.0010093-0.00099111i,-0.0019409-0.00099689i,-0.0021984-0.00097294i,-0.00095831-0.00050476i,-6.023e-05+0.00037772i,-6.6165e-05+0.00017161i,0.000176+0.00034624i,9.995e-05+0.00072211i,-4.8668e-05+0.00025923i,0.00028473-0.00026679i
-0.010902+0.0078303i,-0.01152+0.01351i,-0.0081203+0.016308i,-0.0040691+0.013759i,-0.0015482+0.0097139i,8.462e-05+0.007214i,-0.00026261+0.0039885i,-0.0011663+0.0014597i,-0.0013261+0.0009892i,-0.001176+0.001313i,-0.00094828+0.0012061i,-0.00096494+0.00094688i,-0.0017963+0.00031678i,-0.0023927+0.00026988i,-0.001465+0.00062908i,-0.00040363+0.00082974i,-8.7756e-05+0.00069734i,0.00018544+0.00012929i,0.00014795-0.00016933i,0.00017687-9.5076e-05i,-0.00013651-0.00033565i,-0.00074125-0.00049496i,-0.0014224-0.00019663i
0.0090065+0.0047511i,0.0139+0.0061274i,0.013292+0.0053606i,0.0090544+0.0055646i,0.0051184+0.0055228i,0.0033124+0.0033572i,0.002811+0.0020714i,0.0025596+0.0023643i,0.0014569+0.0019997i,9.7968e-05+0.0022205i,-0.00016089+0.0022469i,0.0009101+0.0019907i,0.0022181+0.0022798i,0.0025921+0.001956i,0.0018517+0.00090259i,0.00065629+0.0003665i,0.00021657+0.00021128i,0.0005127+0.00016107i,0.00069251+0.0004733i,0.00031241+0.0010566i,-0.0003369+0.0014155i,-0.00082564+0.001309i,-0.00050983+0.001046i
0.0095519-0.011584i,0.0083302-0.018043i,0.0043821-0.018538i,0.0030861-0.013013i,0.002481-0.0068759i,0.00013737-0.0029336i,-8.6754e-05-0.00079532i,0.0018309-3.7791e-06i,0.0019564+0.00054681i,0.0011054+0.00025957i,0.00074402-0.00091436i,0.0010278-0.0014253i,0.0015503-0.0011684i,0.0012003-0.0011641i,0.00072728-0.0016872i,0.00030882-0.0017916i,-0.00023791-0.00075143i,-0.00068386-7.5667e-05i,-0.00040536+0.0005795i,0.00052186+0.00088084i,0.0010992+0.0010654i,0.00078687+0.001074i,8.9732e-05+0.00056497i
-0.0096133-0.0073493i,-0.016946-0.0060493i,-0.017459-0.0019582i,-0.012973+4.4139e-05i,-0.0084341-0.00063151i,-0.0048556+0.00012303i,-0.0021326+0.0004179i,-0.0010108-0.0017811i,-0.001336-0.0019928i,-0.00071048-0.0004472i,5.2714e-05-4.9329e-05i,-0.00068246-0.00050493i,-0.0018763-0.0014504i,-0.0019906-0.001656i,-0.0013159-0.0011267i,-0.00069585-0.00071674i,-0.00062981+1.3159e-05i,-0.00048059+0.0010469i,0.00057542+0.0013457i,0.001235+0.0013085i,0.00074801+0.00042232i,0.00031955-0.0015327i,0.00010966-0.0020457i
-0.0082056+0.0087936i,-0.0058167+0.016162i,-0.0021196+0.019974i,4.092e-06+0.016725i,0.001142+0.011533i,0.0026015+0.0061656i,0.002287+0.0019446i,0.00010965+0.0011212i,-0.0010458+0.0024518i,-0.00070544+0.0035004i,-0.00091536+0.0028022i,-0.001939+0.0014484i,-0.0022207+0.00079114i,-0.0015644+0.0016469i,-0.0013228+0.0026112i,-0.0013324+0.0018123i,-0.001039+0.00016483i,-0.00058239-0.00027588i,-0.00085677-1.2419e-05i,-0.0013088+0.00042113i,-0.00096302+0.00042871i,-0.00093377+0.00058377i,-0.0014056+0.00073571i
0.0078795+0.0077845i,0.013407+0.0079901i,0.014194+0.005712i,0.01012+0.0048811i,0.0061246+0.0047081i,0.0036676+0.0020936i,0.0018435-0.00059306i,0.00099791-0.00023429i,0.00082344+0.00040081i,0.00094875+0.00098295i,0.00053712+0.0018338i,-0.00026824+0.001746i,0.0007191+0.0020711i,0.0024977+0.0022169i,0.0026393+0.0011686i,0.0014705+0.00011349i,0.00057303-0.00069071i,0.00041697-0.00088736i,0.00011145-0.000419i,0.00035541+2.2758e-05i,0.00078723+0.00052471i,0.0012311+0.00079525i,0.0015229+0.00068074i
0.0074004-0.0096349i,0.0044232-0.017351i,0.0008285-0.018681i,0.00080991-0.01249i,0.0012601-0.0062681i,-0.00053155-0.0034558i,-0.00086776-0.0019291i,0.00093856-0.0011949i,0.0013743-0.00034762i,0.00034022+0.00045073i,0.00061999+0.00065224i,0.001003+0.00090498i,0.0012586+0.00030019i,0.00099452-0.0013105i,0.00075879-0.0020102i,0.00028807-0.0012462i,-0.00058211+0.00014999i,-0.00073612+0.0012175i,-0.001321+0.00087989i,-0.00078046-0.00015824i,0.00030027-2.7655e-05i,0.00082723+0.00034499i,0.001096-0.00016549i
-0.0087175-0.0061131i,-0.016815-0.0033962i,-0.01756+0.0015485i,-0.010522+0.0031216i,-0.0045162+0.0018526i,-0.0026362+0.003092i,-0.0018368+0.0038612i,-0.0015354+0.00055465i,-0.0017946-0.0013446i,-0.0014096-0.00035138i,-0.00082759-2.3417e-05i,-0.00050339-0.00024403i,-0.00060193-0.00066048i,-0.0010665-0.0014465i,-0.0012768-0.00086589i,-0.0011058+0.00021235i,-0.00084006+0.0011044i,-0.00060572+0.00129i,-0.00011045+8.0383e-05i,0.00048497-0.00020326i,0.00083246+0.00058487i,0.00027031-6.8056e-05i,-0.00066893-0.00058257i
-0.011911+0.0096081i,-0.008633+0.017643i,-0.0032602+0.021381i,-0.00088256+0.017599i,0.0004579+0.011383i,0.003834+0.0066411i,0.0044389+0.0028351i,0.0012871+0.00024428i,-0.0013799+0.00019038i,-0.0012467+0.0015932i,0.00013602+0.0018647i,3.4596e-05+0.0017584i,-0.00080433+0.0011709i,-0.0011442+0.00068629i,-0.00057591+0.0016918i,5.6626e-05+0.001988i,0.0002973+0.0014774i,-0.0001401+0.00077934i,-0.00056012+0.00024924i,-0.00052748+0.00025433i,-0.00089962+0.0009281i,-0.0017401+0.001781i,-0.0016656+0.001641i
0.0073758+0.0085099i,0.01342+0.0075569i,0.014459+0.0046461i,0.0097398+0.0042203i,0.0051665+0.0046038i,0.0033745+0.0011145i,0.001783-0.0014491i,8.0533e-05-0.0005756i,0.00013388+0.0013157i,0.0011185+0.0020314i,0.0014304+0.0010823i,0.00138+0.00071471i,0.0012143+0.0015913i,0.0015218+0.0022337i,0.0027056+0.0019069i,0.002487+0.00080759i,0.00097055+0.00025099i,-0.00032732+0.0010221i,-0.00010457+0.0014878i,0.00036299+0.00077343i,-8.2562e-06+8.4018e-05i,0.0003496+0.00030314i,0.00084221+0.00016219i
0.0081628-0.010209i,0.0050403-0.01679i,-0.001159-0.016877i,-0.0023994-0.010669i,-9.4387e-05-0.0045122i,-0.00057756-0.001309i,-0.0015155+0.00065395i,-0.00015059+0.0012456i,0.0013274+0.000267i,0.0014051+0.00013309i,0.0011574-0.00013033i,0.0011842-0.00046697i,0.0016977-0.00065036i,0.0023846-0.0015198i,0.0019839-0.0022876i,0.00060556-0.0020347i,-0.00050983-0.00071064i,-0.00054871+0.00044621i,1.9973e-05+0.0010065i,0.00046908+0.001511i,0.00036876+0.0018857i,-0.00018672+0.00097697i,-7.1212e-05-0.0010207i
-0.0062747-0.0083248i,-0.012537-0.0047636i,-0.015249+0.0019141i,-0.010386+0.0034399i,-0.0034971+0.0015375i,0.0001284+0.0021621i,0.0011919+0.0030974i,0.0012179+0.0014288i,0.00038469+0.00017153i,-0.00027653+0.0003211i,-0.00026171+0.00021944i,-0.00024138-4.5345e-05i,-0.00014484-0.00088406i,-0.00058966-0.0017889i,-0.0017274-0.0016713i,-0.0021444-0.0004059i,-0.001287+0.00046212i,-0.00021017+0.00021357i,0.00057056-2.3605e-05i,0.0007516+9.8194e-05i,0.00034521-9.7802e-05i,6.3573e-05+0.00017307i,-0.00043674+0.00032692i
-0.0069645+0.0059355i,-0.0053042+0.012172i,-0.00021458+0.016485i,0.0016745+0.013973i,0.000181+0.0082365i,0.0016207+0.0036098i,0.0042014+4.9057e-05i,0.0028516-0.0018006i,-0.00013032-0.0015459i,-0.00036796-0.0003808i,0.00071652-2.199e-05i,0.00021051+0.00021694i,-0.00065726+0.00090386i,-0.0011518+0.0011742i,-0.00073593+0.0011642i,-0.0002181+0.0019644i,-0.00020099+0.0020737i,-0.00056082+0.00085214i,-0.00098924+9.7884e-06i,-0.001303-0.00058504i,-0.0014888-0.00019572i,-0.0010821+0.00036153i,-0.00022374+0.00090247i
0.0065233+0.010312i,0.01377+0.0088816i,0.015421+0.0032457i,0.010083+0.00055826i,0.0046787+0.00084656i,0.0016515-0.00074224i,-0.00073463-0.0029828i,-0.0025206-0.0020901i,-0.0027473+8.732e-05i,-0.0014379+0.00063425i,0.00011534+0.0002784i,0.00056536+0.00032108i,0.00062381+0.00069985i,0.0016224+0.001079i,0.0020997+0.00037845i,0.0017859-0.00044931i,0.0010469-0.00092444i,0.00041206-0.00026444i,0.00033135+0.00067357i,0.0005388+0.0007724i,0.00016392+0.00094955i,1.1827e-05+0.00078698i,0.00051105+0.00033597i
0.0038849-0.0066454i,0.0009414-0.011466i,-0.0047949-0.011279i,-0.004507-0.0057185i,-0.00022306+1.387e-05i,-7.417e-05+0.002288i,-0.0013386+0.003546i,-0.00080949+0.004194i,0.00024039+0.0029146i,0.00092094+0.0020475i,0.00030462+0.0013537i,9.0508e-05+0.00078165i,0.00067295+0.00011061i,0.001538-0.00071969i,0.0014365-0.0012818i,0.00041852-0.0010654i,1.2536e-05-0.00010613i,-0.00024082+0.00026224i,0.00018938-0.00017299i,0.00028246-0.00045959i,8.1614e-05+0.00011666i,0.00015843+0.00048819i,6.706e-05-0.00086762i
-0.0059697-0.006454i,-0.012273-0.0025917i,-0.01496+0.0044908i,-0.010014+0.0058484i,-0.0030847+0.0028482i,0.0011279+0.0029421i,0.0034715+0.0050919i,0.003422+0.0036228i,0.0015742+0.00089024i,0.00053738+0.00071976i,0.000414+0.00090258i,0.0011076+0.00041153i,0.0014003-0.00090577i,0.00044779-0.0020714i,-0.0012832-0.0021099i,-0.0019048-0.001052i,-0.0014301-1.4585e-05i,-0.00074444-4.9622e-05i,-0.00088631-0.00018511i,-0.0017587+0.00021846i,-0.0015175+0.00063613i,-0.00090578+0.00065646i,-0.00066487+0.0012006i
-0.0077413+0.0025731i,-0.0055025+0.011277i,4.2464e-05+0.015511i,0.0022952+0.011377i,0.00162+0.0055746i,0.0030647+0.0018453i,0.0048588-0.0019113i,0.0027428-0.0038715i,-0.00065452-0.0019577i,-0.0014249-4.8381e-05i,-0.00043161+0.00050076i,1.2264e-05+0.00048344i,-0.00014089+0.00026131i,-0.00097381+0.0010675i,-0.0018707+0.0015221i,-0.0017457+0.0010382i,-0.0011778+0.00061828i,-0.0014171+0.00015867i,-0.0013361+0.00079041i,-0.0002718+0.00073183i,-0.0003545-0.00020789i,-0.00055339-0.0004565i,0.00044599-0.00050867i
0.0072462+0.0057382i,0.012418+0.0042728i,0.013001-0.00049928i,0.0079438-0.0016711i,0.002399+0.00056905i,-0.00027189-0.00012524i,-0.002909-0.0031087i,-0.0048485-0.0034373i,-0.0037548-0.0015457i,-0.0016557+0.00021794i,-0.00036485+0.00069891i,-0.00022546+0.0010875i,-0.00017578+0.0014997i,0.00028661+0.0012743i,0.00092666+0.0015549i,0.0017077+0.0015452i,0.00075227+0.0014672i,-0.00024021+0.001157i,0.0003598+0.00017409i,0.0007148+0.00018052i,0.00016928+0.00037486i,-4.5219e-05-2.5778e-05i,0.0005806-0.00029446i
0.0035942-0.0046293i,-0.00037901-0.0092352i,-0.0076893-0.010915i,-0.0074631-0.0064542i,-0.0022794-0.00085743i,-0.0014812+0.0024861i,-0.0038691+0.0044271i,-0.0032615+0.0055304i,-0.0005394+0.004308i,0.00082678+0.0030191i,0.0012729+0.0020469i,0.0012155+0.0010891i,0.0015568+0.00070491i,0.0022568-0.00010409i,0.0012697-0.0015502i,-0.00016882-0.0022108i,-0.00045687-0.0015484i,0.00015289-0.001039i,0.00072842-0.00097614i,0.00062094-0.0012303i,0.00021722-0.00074487i,-1.2542e-05+6.8451e-05i,-0.00022721-0.00022594i
-0.0027642-0.0047786i,-0.0068218-0.00013668i,-0.010064+0.0075801i,-0.0071454+0.0092016i,-0.0013682+0.0049557i,0.0020443+0.0032362i,0.0045842+0.0040807i,0.0058624+0.0024797i,0.0047276+0.00086702i,0.0025618+0.00080791i,0.0012911+0.00028908i,0.00078675-0.00012138i,0.00018078-0.0008137i,2.2884e-05-0.0015624i,-0.00048557-0.0014564i,-0.0013554-0.0011922i,-0.00094799-0.0010229i,0.00017619-0.00069186i,0.00021496-3.2305e-05i,-2.3494e-05-0.0001757i,0.00089473-0.00046955i,0.00089073-6.704e-05i,0.00021707+0.00032478i
-0.0082973+0.0022961i,-0.0059195+0.0096585i,0.0014134+0.013564i,0.0037889+0.010611i,0.0010192+0.0054022i,0.0018303+0.001304i,0.0037992-0.0021018i,0.002041-0.0041613i,-0.001083-0.0033012i,-0.0014976-0.001357i,-0.00022202-0.00037474i,0.00014678-0.00010682i,-0.00099434-0.00047363i,-0.0021471+0.00012009i,-0.002733+0.0010347i,-0.0028458+0.0013481i,-0.0019572+0.0010246i,-0.0011724+0.00084377i,-0.0011739+0.0012785i,-0.00086395+0.0010584i,-0.00064084-7.5945e-05i,0.00030636-0.00085779i,0.0011565-0.00043471i
0.0057123+0.0054853i,0.011201+0.00092588i,0.012399-0.006346i,0.0082166-0.0056423i,0.0034292-0.00033212i,-1.9212e-05-0.00069782i,-0.002447-0.0029364i,-0.0040811-0.0017139i,-0.0037496+0.0007048i,-0.0016559+0.0010237i,0.00013845+0.00012964i,-0.00088234+0.0011378i,-0.0019286+0.0020138i,-0.00093375+0.0018775i,0.00070456+0.0016548i,0.0011989+0.0019222i,-0.00016356+0.0011832i,-0.00013775+0.00028012i,0.00050325+0.00029712i,0.00080274+0.00023949i,0.0009168+0.00084554i,0.0009135+0.0017617i,0.00063367+0.001374i
0.0035502-0.0026159i,-0.0012497-0.0063309i,-0.0062373-0.0070879i,-0.0050244-0.0031761i,8.7715e-07+0.00087636i,0.0006635+0.0031865i,-0.00078008+0.0052353i,9.8984e-05+0.0053837i,0.00087143+0.0041086i,0.00036369+0.0030079i,7.4851e-05+0.0026798i,0.00086492+0.0018569i,0.0026882+0.00073514i,0.0030565+8.3787e-05i,0.0023489-0.00062608i,0.0012101-0.001335i,0.00020142-0.0016074i,0.00025937-0.00080101i,0.00040912-0.00026011i,0.00035719+4.3457e-05i,-0.00013064+4.7165e-05i,-0.0004229-0.00015134i,-0.00057008+0.00024499i
-0.001603-0.0044344i,-0.0054496-1.2441e-05i,-0.008633+0.0079311i,-0.0058208+0.0081698i,-0.0011578+0.0031683i,0.00082147+0.0020714i,0.0033784+0.0023227i,0.0038486+0.00092807i,0.0016188-0.00015144i,0.0001446-0.00021465i,0.00012944+0.00010401i,0.001098+0.00019211i,0.0013334-0.00019923i,0.00027286-0.0011336i,-0.00079809-0.0017032i,-0.0015775-0.0014435i,-0.0018449-0.0008918i,-0.0017249-0.00013978i,-0.001414+0.00021677i,-0.0006002+0.00036651i,-6.0554e-05+9.3786e-05i,0.00015734+0.00030066i,0.00053193+0.0010706i
-0.0075234-0.00027521i,-0.0071227+0.0048967i,0.00018842+0.0089888i,0.0029483+0.0080196i,-0.00083859+0.0042449i,-0.0012737+0.0019568i,0.0011866-0.00076084i,0.00056598-0.0028732i,-0.00040944-0.0017542i,-0.00052093+5.9181e-05i,-0.00044358+9.0328e-05i,-0.0010567-0.00061168i,-0.0023001-0.00085567i,-0.00267+9.1977e-05i,-0.0027727+0.00092048i,-0.0018042+0.001505i,-0.0006597+0.0020911i,-0.0003468+0.0020326i,5.5468e-05+0.0017399i,0.00021279+0.00095502i,0.00028314+3.0267e-05i,0.0005929-0.00021418i,0.00092225+0.00082129i
0.0024822+0.0050271i,0.0049465+6.0737e-05i,0.005538-0.0055962i,0.0032143-0.0040269i,0.0010975+0.0019363i,0.00074188+0.0024635i,-0.0003293-7.0507e-05i,-0.0016055+2.9671e-05i,-0.0016914+0.0016938i,-0.0012635+0.0022212i,-0.00058679+0.0011374i,-0.0005623+0.00064521i,-0.00037286+0.0013285i,0.00045163+0.0019217i,0.0014312+0.0019086i,0.0017899+0.0017478i,0.0017746+0.0011944i,0.0013419+0.00018944i,0.000719-0.00030935i,0.00029337-0.00046396i,3.193e-05-0.00092262i,0.00036981-0.00084562i,3.5819e-05-0.00025789i
0.0022332-0.0023867i,-0.00066355-0.0026459i,-0.0074521-0.0021597i,-0.0057233+0.0014253i,0.001402+0.0049005i,0.0032216+0.0046289i,0.0017949+0.0024105i,0.00050677+0.0013472i,-0.00077359+0.00057256i,-0.0010578-0.0001665i,5.722e-05+0.00027626i,0.0012163+0.0013606i,0.0024507+0.0010901i,0.0020753-0.00014477i,0.0006985-0.0009112i,0.00021332-0.0014985i,-0.00019617-0.0017233i,-0.00060019-0.0015977i,-0.00074072-0.00047053i,-0.00093494+0.00082082i,-0.00080878+0.00053506i,-0.00033288-0.00024518i,-0.00046801-0.0003988i
0.0025365-0.0053722i,-0.00048669-0.0024586i,-0.002684+0.0041702i,-0.0013032+0.0042344i,0.00023413-0.0015037i,-0.00051009-0.002767i,0.00014455-0.00057499i,0.00064546+0.00062771i,-0.00077015+0.00036623i,-0.00071488-0.00020666i,-2.4217e-05-0.00061407i,0.00037339-0.00072966i,0.00059758-0.00040517i,-0.0001818-0.0011064i,-0.0011828-0.0017241i,-0.0014927-0.0015778i,-0.0012543-0.00044263i,-0.0014544+0.00066188i,-0.00061502+0.001712i,0.00056356+0.0021931i,0.00022612+0.0014645i,0.00037106+0.0010351i,0.00024234+0.0012363i
-0.0059996-0.0026941i,-0.0036878+0.0001763i,0.0013028+0.0029448i,0.00051306+0.0017113i,-0.0049345+0.00053553i,-0.0049727+0.00089601i,-0.0021116+0.00095609i,-0.0013704+0.0019178i,-0.0019134+0.0022734i,-0.0015756+0.0015433i,5.5511e-05+0.0012405i,0.00054868+0.00054071i,-0.00049242+0.00040693i,-0.0013989+0.001311i,-0.00099291+0.0019187i,0.00020112+0.0021383i,0.00060015+0.0023515i,0.00051866+0.0024713i,0.0011229+0.001719i,0.0017231+0.0008902i,0.0015319+0.00060382i,0.00074724+0.00011912i,-0.00027739-0.00026687i
0.0016197+0.0045612i,0.002374+0.0017763i,0.0010358-0.001906i,-0.0013653+0.0010421i,-0.0012163+0.007236i,0.00044282+0.0077544i,0.0011129+0.0047083i,0.0014896+0.0019621i,0.0026251+0.00096007i,0.0025681+0.0015671i,0.0014133+0.0013735i,0.00043879+0.00082444i,0.00061863+0.00090937i,0.0018455+0.0014471i,0.0023439+0.0012744i,0.0023983+0.00061226i,0.0019084+1.3088e-05i,0.0020925-0.00062739i,0.0021118-0.00099372i,0.0011899-0.0016697i,0.00016496-0.0013261i,5.346e-05-0.0012124i,0.00046049-0.0012585i
0.0051964+0.0032898i,0.0012721+0.003572i,-0.0040105+0.0044564i,-0.00084536+0.0042475i,0.0071131+0.0031176i,0.0083466+0.0013968i,0.0052235+5.9845e-05i,0.0021303-0.0016985i,0.00016345-0.0029088i,-0.00040688-0.0011644i,-0.00077086+0.00017294i,-0.00086155+0.00022169i,-1.5893e-05-4.8475e-05i,0.00018543-0.00070837i,-0.00059728-0.0018296i,-0.00075782-0.001879i,-0.0010199-0.00087638i,-0.0010705-0.00087127i,-0.0013666-0.0010215i,-0.001545+0.0001019i,-0.0011169+0.000634i,-0.00077125+7.5946e-06i,-0.00058182-0.00054237i
0.0022626-0.0070464i,0.0018579-0.0052212i,0.0031892+0.00067252i,0.0040015+0.00098097i,0.0030243-0.0047687i,0.00044824-0.0064485i,-0.0013375-0.0034843i,-0.0019805-0.001846i,-0.0030306-0.0011798i,-0.002085-0.00012715i,-0.0013564-0.00021804i,-0.0017206-0.00084107i,-0.00093732-0.00036095i,-0.0010949+3.9257e-05i,-0.0014641-0.00016543i,-0.0019533+0.00022209i,-0.0028749+0.00079669i,-0.0027036+0.0010755i,-0.0011519+0.0017196i,0.00047933+0.0026605i,0.00017962+0.002769i,-0.00036953+0.0022141i,-0.00092164+0.0013311i
-0.007423-0.0021134i,-0.0062046-0.00047369i,-0.0025484-0.00086853i,-0.0032487-0.0017375i,-0.0074997-9.8034e-06i,-0.006926+0.0012718i,-0.0038943+0.0011133i,-0.0028264+0.0025897i,-0.001854+0.0051519i,-0.00035482+0.0054939i,0.00071603+0.0042944i,0.0011135+0.0022349i,0.00044977+0.0012395i,0.0001504+0.0013621i,0.00036686+0.0015029i,0.0001804+0.0014486i,0.000497+0.0014127i,0.00029904+0.0018045i,0.00092629+0.0018047i,0.0018113+0.00069372i,0.0012668-0.00067692i,0.0012695-0.00071602i,0.0013655+8.0184e-05i
-0.0051685+0.003643i,-0.0067937+0.0030662i,-0.0089628+0.0021399i,-0.0091554+0.0075116i,-0.0056712+0.014689i,-0.00085352+0.013735i,0.0023701+0.0080547i,0.0040449+0.0033702i,0.0046403+0.0011952i,0.0031058+0.00079879i,0.001916+0.00030022i,0.0023087-0.00018704i,0.0027596-0.00081026i,0.0027933-0.00082698i,0.0018875-0.0011574i,0.00062695-0.0017238i,0.00037644-0.0014557i,0.00096025-0.00049099i,0.0011736-0.00029929i,0.00092014-0.0016366i,0.00073116-0.002445i,0.00076317-0.0016494i,0.00083587-0.0004099i
0.0029471+0.0088246i,0.0026705+0.011977i,0.0019722+0.014791i,0.0061011+0.0145i,0.01296+0.009727i,0.013202+0.0034716i,0.0078614-0.00019015i,0.0033023-0.0028208i,0.00067901-0.0030786i,0.00066769-0.00088582i,0.0015753-0.00029365i,0.0009179-0.00096498i,-0.00011914-0.0013482i,-6.629e-05-0.0017917i,-0.00024577-0.0012084i,-0.00099419-7.352e-05i,-0.0011071-0.00013327i,-0.00099573-0.00038563i,-0.0015664+0.00019185i,-0.0021064+0.00060694i,-0.0019683+0.00085118i,-0.0018599+0.0012727i,-0.0016527+0.00097263i
0.004408-0.0071984i,0.0043976-0.0067893i,0.0060999-0.0047901i,0.0067111-0.0066587i,0.0048924-0.011339i,0.0019534-0.0097207i,-5.9446e-05-0.0052412i,-0.0013446-0.0025831i,-0.0032161-0.00089427i,-0.0038323-0.00033238i,-0.0031741+0.00018287i,-0.0028061+0.00039946i,-0.0022533+0.00034758i,-0.0012691+0.00023471i,-0.00050288+0.00063921i,-0.00012116+0.00069799i,-3.0019e-05+0.00090746i,-0.00039796+0.0017545i,8.431e-05+0.001788i,0.0014661+0.0016832i,0.0012712+0.0017477i,0.00020531+0.0015223i,-0.00091213+0.0013682i
-0.0056624-0.0082692i,-0.0073461-0.0086215i,-0.0078101-0.0092395i,-0.010268-0.0081433i,-0.014687-0.0032223i,-0.01346+0.00054892i,-0.0072785+0.0019021i,-0.0031411+0.003268i,-0.0010445+0.004216i,-7.4891e-05+0.0033959i,0.00044997+0.0026162i,0.0010098+0.0030837i,0.00071621+0.0026371i,8.9223e-05+0.0020129i,0.00051714+0.0013737i,0.0011086+0.0011566i,0.0015449+0.0011313i,0.0019383+0.00060743i,0.0019138-0.0001884i,0.0024563-0.00058656i,0.0031475-4.7347e-05i,0.002393+0.0010589i,0.0014913+0.00071264i
-0.0020725+0.0022964i,-0.0059623+0.0044958i,-0.010815+0.0069178i,-0.011323+0.011943i,-0.0066922+0.016254i,-0.0024189+0.013639i,0.00050361+0.0075116i,0.0029414+0.0033939i,0.0036471+0.00086403i,0.0026969-1.6761e-05i,0.0013536-6.7453e-07i,0.0011257+0.00031242i,0.0013795+0.0004379i,0.001525-0.00042984i,0.001214-0.0010062i,0.00066862-0.00069347i,0.00030244-3.6935e-05i,0.00071684-0.00052796i,0.00058146-0.00099838i,-0.0011557-0.0016959i,-0.0021022-0.0022582i,-0.0017533-0.0020376i,-0.00037967-0.0015656i
0.0054137+0.0094286i,0.00853+0.011674i,0.010559+0.016007i,0.013982+0.016364i,0.017766+0.010392i,0.014583+0.0029349i,0.0072315-0.0010668i,0.0021586-0.0030168i,0.00045101-0.0034866i,0.00050138-0.0014123i,0.00028369-0.00086641i,-0.00091079-0.0024976i,-0.0014419-0.0021251i,-0.0014263-0.0015782i,-0.0016086-0.0012002i,-0.0016253+0.00013336i,-0.0016398+0.00087544i,-0.0011837+0.00064363i,-0.0012124+0.00012369i,-0.002127+0.00093372i,-0.0019726+0.0014424i,-0.0016341+0.00063291i,-0.0014223-2.0548e-05i
0.0033229-0.0030196i,0.0043363-0.0068666i,0.0090382-0.010388i,0.011019-0.013255i,0.0071201-0.016122i,0.0023751-0.014039i,0.00026493-0.0078916i,-0.0010483-0.0029714i,-0.0023255+0.0004651i,-0.0019471+0.0017814i,-0.0012531+0.0011668i,-0.0013724+0.0012322i,-0.0017148+0.001382i,-0.0015186+0.0011195i,-0.0005327+0.0015483i,-0.00030589+0.002495i,-0.0013753+0.0018948i,-0.00076164+0.0010764i,0.0004789+0.0012562i,0.00054545+0.0018318i,0.0010876+0.0019242i,0.0014859+0.0019941i,0.0009498+0.0019308i
-0.0027702-0.0070683i,-0.0068864-0.0083854i,-0.012455-0.010535i,-0.016925-0.010301i,-0.018484-0.0046421i,-0.014281+2.2596e-05i,-0.0074454+0.0011744i,-0.0026883+0.0018087i,-0.00021503+0.0026412i,-0.00024935+0.002445i,-0.00021247+0.0021409i,0.0010308+0.0012311i,0.0013618+0.00041629i,0.00069529+0.00012564i,5.5932e-05-0.00085646i,-0.00018948-0.0012149i,0.00014218-0.00081204i,0.00025212-0.00076628i,0.00046387-0.0014224i,0.00073653-0.002309i,0.0010516-0.0029564i,0.0013846-0.0020095i,0.0016131-0.00025576i
-0.0069164+0.00020437i,-0.010535+0.0073906i,-0.014824+0.01543i,-0.01495+0.022374i,-0.0089092+0.024671i,-0.0024806+0.01989i,0.00071058+0.011361i,0.0016794+0.0046915i,0.0013156+0.00061184i,0.00040543-0.0004684i,0.00091573+7.4806e-05i,0.0014349+0.00014074i,0.0016288+0.00023787i,0.0016049-0.00052952i,-0.00013296-0.001305i,-0.0012748-0.00072146i,-0.00092078+0.0004608i,-0.0005899+0.00054175i,-0.001103-0.00019043i,-0.0023847-0.00030121i,-0.0031432-0.00052814i,-0.0018271-0.00076278i,-0.00066725-0.0010812i
0.001477+0.002073i,0.0083869+0.0044293i,0.015179+0.010415i,0.02036+0.012484i,0.021447+0.0066668i,0.016159+0.0009715i,0.0088604-0.0012917i,0.0030354-0.0028205i,-0.00015501-0.0024787i,-0.0010236-0.00094852i,-0.00061695-0.00096335i,-0.00019276-0.0016744i,0.0007491-0.0012865i,0.0014217-9.5767e-05i,0.0004432+0.00098625i,-0.00077626+0.001325i,-0.0012389+0.00059428i,-0.0014683+0.0002961i,-0.00070604+0.0012408i,4.8924e-06+0.0027582i,-0.00014429+0.0033932i,-0.00068408+0.0022906i,-0.0010264+0.0010618i
