-0.00066193-0.00054885i,-9.822e-05-0.00069527i,-0.00099989-0.00090596i,-0.00065374-0.0010924i,-0.00022306-0.0012015i,-0.00013844-0.00083606i,0.00039076-0.00062867i,0.0009232-0.00052147i,0.0011559-0.00047814i,0.00071452-0.00061591i,0.0004833-0.00056575i,0.0008333-0.00019636i,0.000519-0.00013099i,-1.3321e-07+0.00014888i,-0.00035638+0.00044786i,-0.00038702+0.00061709i,-0.00027121+0.00019709i,-0.00022643-0.00041546i,0.00010403-0.00024691i,-0.00014268-0.00021548i,-0.00054156-0.00065196i,-0.00087091-0.00030087i,-0.00071008+0.00011408i
-4.8451e-05-0.0018113i,-0.00030489-0.0013784i,-0.0011958-0.00092429i,-0.000873-0.0017582i,0.00047389-0.0015724i,0.00036734-0.00077447i,-0.00076825-0.00094509i,-0.000853-0.0017478i,-0.00033496-0.0013954i,-0.00015103+6.9979e-05i,-0.00025894+0.00063391i,5.6134e-05+8.3757e-05i,0.00036337+0.00011844i,0.00044338+0.0004811i,0.00075248+0.00057912i,0.00080776+0.0010621i,0.0001311+0.00080022i,1.0199e-05+0.0010351i,-0.00042168+0.00070348i,-0.0002661+1.1379e-05i,0.00012277+3.2462e-05i,4.7083e-05-3.6562e-05i,-6.6966e-05+0.00032804i
0.0020845-0.00021054i,0.0020084-0.0017152i,0.0014184-0.0027677i,0.0010357-0.0025737i,1.8031e-05-0.0023088i,-0.0004137-0.0019345i,-0.00075277-0.0012127i,-0.001127-0.00066544i,-0.0011906-0.00061244i,-0.0011633-0.00042772i,-0.00094973-0.00059793i,-0.00065067-0.00071613i,0.00013835+0.00018592i,0.00052554+0.0003937i,0.0010743+0.00044873i,0.0008354+0.00094226i,-0.00027034+0.0013891i,-0.00029114+0.00092908i,0.00028829+0.00040714i,-8.7037e-05+0.00081959i,-0.00043872+0.0013688i,-0.00068846+0.00080641i,-0.00080667+9.7732e-05i
-0.00043594+0.00078454i,0.00021151+0.00049254i,0.0011136+0.00034507i,0.001116-0.00023074i,0.0014095-0.00075587i,0.00062889-0.0012029i,-0.00069499-0.00085935i,-0.0013475+0.00011296i,-0.0014349-0.00016102i,-0.00074208-0.00039574i,-0.00029882-0.00048499i,-9.8045e-05-0.00057122i,-0.00021242+0.00011253i,-0.00023892+0.00064759i,0.0002693+0.00078757i,0.00029688+0.0011097i,0.0001873+0.0007273i,0.00075488+4.4514e-05i,0.00073824+6.9715e-05i,0.00023994+0.00023857i,-1.1686e-05+0.00074545i,-0.00039301+0.0012668i,-0.00057095+0.0010512i
0.0012486-1.1331e-06i,0.0014189+0.00049983i,0.0010243+0.00061667i,0.00098082+0.00015358i,0.00093429-9.8191e-05i,0.00053778-0.00061712i,0.00012757-0.00072514i,0.0001978-0.0010464i,1.3847e-06-0.0013784i,-1.4343e-05-0.0012933i,3.1353e-05-0.0010367i,-0.00044218-0.00018121i,-0.00083376+0.00014514i,-0.00057605+3.9914e-05i,0.00024787+2.7655e-05i,0.00012828+0.00049265i,-0.0004972+0.00080044i,-0.00054425+0.00073324i,0.00027409+0.00096367i,0.00079394+0.0014533i,0.00045204+0.001692i,-0.00032208+0.0013703i,-0.00088958+0.00072873i
0.0014207-0.0003004i,0.0016182-0.0009533i,0.0011067-0.0012861i,0.00039037-0.00050382i,0.00027619-7.6483e-06i,0.00062031-0.00043273i,0.00072149-0.00088626i,0.00049337-0.0010432i,0.00032408-0.0008542i,-0.00053399-0.00051553i,-0.00063149-0.00083898i,-0.00011112-0.00072954i,-0.00020594-0.00030013i,-0.00039946+0.00027176i,-0.00029181+0.00029819i,0.00036029-0.00015285i,0.00088335-0.00012511i,0.0011974-0.00063679i,0.00055275-0.00039215i,-0.00032031+0.0001803i,-0.00061886+0.0011521i,-0.00055115+0.00077363i,0.00013644-0.00056417i
0.00053677-0.0011221i,0.00075073-0.0017915i,0.00068667-0.0015201i,0.00035678-0.00037367i,-0.00023333-0.00062066i,-0.00027787-0.0012586i,-2.9218e-05-0.00051447i,-0.00031136+0.00019106i,-0.0001181-0.00051121i,3.6793e-05-0.00097112i,-7.4493e-05-4.9374e-05i,0.00014237+0.00068577i,-2.6529e-05+0.00096724i,0.000115+0.0014047i,0.00069326+0.00097272i,0.00035621+0.00048351i,-0.00029456-0.00019046i,-0.00030757-0.0010977i,-2.8887e-05-0.00049813i,-0.00020937+0.0011684i,-0.00023568+0.0011924i,0.00049092+0.00025945i,0.0006905+0.00073273i
-0.00072973-0.00032994i,-0.001041-0.0005672i,-0.00082003+5.6119e-05i,0.00077131-3.5894e-05i,0.0028531-0.0010897i,0.0017939-0.0014288i,-5.6749e-05-0.0014304i,-0.00035054-0.0014864i,-0.00013817-0.00068498i,-2.4915e-05+0.00011792i,-0.00036795-0.00034853i,-0.00017705-0.0010117i,-0.00012634-0.00089632i,0.00017932-7.4644e-05i,0.00092896+0.00010584i,0.00088544+7.3529e-06i,0.00015973+8.0035e-05i,-0.00024752+0.00014146i,5.8874e-05-9.2553e-05i,0.0005792-0.00041031i,0.00045796-0.00048071i,0.00017833-0.00046984i,-8.9291e-05-0.00043433i
0.0015576-0.0016699i,0.0017086-0.0010625i,0.00028109-0.001619i,-0.00042477-0.0019825i,-0.00070264-0.0019596i,-0.000984-0.0017057i,-0.00055315-0.001146i,-0.00065789-0.0012723i,-0.0015477-0.0017215i,-0.0017461-0.0013252i,-0.00079501-0.00067082i,-0.00023369-0.00026636i,0.00016052+0.00047946i,0.00041075+0.00084577i,-0.00031129+0.00033612i,-0.00066632+1.4644e-05i,7.4343e-05+0.00021203i,0.00048199+0.00018234i,0.00052897-0.00025014i,0.00072953+6.0227e-05i,0.00046249+0.00072548i,-0.00042443+0.00049587i,-0.00060803+0.00091227i
0.0012348-0.0020098i,0.001207-0.0017783i,-0.00013293-0.00087478i,-0.00096682+1.6711e-05i,-0.00020178-3.4704e-06i,0.00022536-0.0002996i,0.00019592-0.00032027i,2.5898e-05-0.00048438i,-0.00022091-0.00049652i,0.00016738-0.00049225i,0.00044876-0.00082331i,0.00024227-0.00023363i,-0.00014514+0.0007429i,-0.00011938+0.00026226i,0.00067074-0.00030236i,0.00109-0.00011939i,-4.5063e-06+0.00033687i,-0.00099846+0.00080011i,-0.00022293+0.00068602i,0.00031229+0.0007946i,-0.00017711+0.0013732i,0.00011607+0.00084571i,0.00074931+0.00022177i
0.00095208-0.00025011i,0.0016571-0.0015409i,0.00094155-0.0024165i,-0.00023324-0.0017004i,-0.0001334-0.00030755i,0.00039555+0.00042305i,-0.00023333-0.00011317i,-0.00032217-0.00051894i,-0.00056251-0.00093233i,-0.00029507-0.0016241i,-6.2496e-05-0.0015853i,-0.00044107-0.0013668i,-0.00064493-0.00052102i,-0.00059415-0.00032593i,-0.00012007-0.00015009i,-0.00056072+1.5252e-05i,-0.00084737-0.00048823i,-0.00030562-0.00029296i,0.00016292+7.8931e-05i,0.00069112+0.00026745i,0.0011491+1.8201e-06i,0.0011529-0.00017016i,0.00053634+2.9432e-05i
