-0.0020247-0.00090177i,-0.0015717-0.00070396i,-0.0014129-0.00029353i,0.00015764+7.5657e-05i,0.0012682+5.9717e-05i,0.0012237-0.0002057i,0.00049637-0.00035154i,-0.00055247-0.00031605i,-0.0010523+0.00011272i,-0.00084125+0.00097875i,-0.00078089+0.001506i,-0.0001949+0.0013729i,5.6203e-05+0.00083624i,-0.00041934+0.00036465i,-0.00021409+0.00025785i,0.00024204+0.00052509i,0.0005914+0.00022384i,0.00066656-0.00018512i,0.00021705-0.00040311i,-0.00028224-0.00031309i,-0.0009827+7.3666e-05i,-0.0010015-0.00012993i,-0.00052427+0.00031934i
0.0015704-0.00032171i,0.00077325+0.00011609i,0.00049403-0.00081366i,0.00094907-0.0017646i,0.0010629-0.0016026i,0.00068473-0.0017154i,0.00020702-0.0013524i,-0.00011762-0.00042258i,-0.00026901-6.6252e-05i,-0.0011315+7.2164e-05i,-0.0014457+4.503e-05i,-0.00052985+0.00013722i,-1.8723e-05+0.00034104i,0.00025073+9.1981e-05i,0.00053529-0.00030814i,0.00057038-0.00041663i,0.00094461-0.00018921i,0.00047405+5.1626e-06i,-1.3281e-05+0.00059558i,-0.00061552+0.00062989i,-0.00087674-0.00050229i,2.9732e-05-0.00097379i,0.00010697-0.00044768i
-0.0013303+0.00078157i,-0.0015192+0.00072546i,0.00013292+0.00012481i,0.00093507-0.00071006i,0.00015045-0.0013386i,0.00035803-0.0010056i,0.00055037-0.00092821i,0.00051757-0.0010594i,0.00053497-0.00020198i,0.00083519+0.00055655i,0.00067449+0.00054294i,0.00084344+1.2487e-05i,0.001188-9.7443e-05i,0.00084584+0.00036347i,0.00072763+0.00018145i,0.00015663-0.0002571i,-0.00022285-0.00063436i,0.00035449-0.00075976i,0.00038398-0.00025903i,-0.00016446-0.00031023i,-0.00048787-0.0003803i,-0.00029927-0.00067626i,-0.0007241-0.0005906i
-0.0012002-0.00018188i,-0.00022848-0.00018006i,5.0299e-05-0.0016457i,0.00029078-0.0022907i,4.9838e-05-0.0015477i,8.8288e-05-0.0014691i,-0.00054533-0.0017587i,-0.0016697-0.0013585i,-0.0015905-0.00076906i,-0.00092389-1.0192e-05i,-0.00075836+0.00090513i,-0.00047507+0.00043741i,0.00044968-0.00021436i,0.00058471+0.00042227i,0.00081849+0.00057271i,0.0012126+0.00045967i,0.00071673+6.0714e-05i,0.00049398-0.00028552i,0.00085706-0.00045006i,0.0010664-0.00061516i,0.00015865-0.00054372i,-0.00027351-0.00070914i,0.0003999+0.00016539i
0.00013076-0.00026534i,0.00050901-0.00079919i,0.00068539-0.00077534i,-0.00024986-0.00062955i,1.8756e-05-0.00096533i,0.00040319-0.0024179i,0.00033975-0.0019826i,0.00011621-0.00058738i,0.00047875+0.00023086i,0.00070518+0.0012323i,0.00039876+0.0017355i,-0.00021388+0.0018477i,-0.00043466+0.0010979i,-4.4981e-05+0.0005706i,0.00022814+0.00047383i,0.00023643+0.00027558i,0.00015274-0.0001191i,4.8746e-05-0.00020633i,0.00015727-0.00045443i,0.00016649-0.00044501i,9.3174e-06-8.7069e-05i,-7.5323e-05+3.1688e-05i,-0.00073347-0.00049108i
0.0023705+0.0013678i,0.0030151+0.0013022i,0.0032401+0.00046382i,0.0022577-0.00085879i,0.00019642-0.0021056i,-0.00035271-0.0021241i,-4.1161e-05-0.0010806i,0.00018156-0.00055929i,-0.00016189+0.0001528i,-0.00071684+0.00038677i,-0.0007614-0.0003599i,-0.00053989-0.00046871i,-0.00031254+5.5929e-05i,-0.00038042-4.0417e-05i,-0.00011786-0.00038665i,0.00061275-0.00011035i,0.0010082-7.0051e-05i,0.00050443-0.0004183i,-0.00052055+0.00035161i,-0.00076096+0.0012373i,-8.4888e-05+0.00055586i,-4.8091e-05+7.3978e-05i,-0.00020928+0.00013027i
0.001421-0.00016307i,0.00067636-0.0005714i,0.00064819-0.0011626i,0.00053595-0.0012351i,-0.00025767-0.0011511i,-0.00047995-0.0013587i,0.00011863-0.0010246i,0.00025954-0.00092094i,0.00018143-0.00069583i,-0.00023305-2.3232e-05i,-0.00077259+0.000436i,-0.000715+0.00070641i,-0.00047615+0.00067554i,-0.00035192+5.4182e-05i,-7.725e-05+0.00018789i,0.00018113+0.0010026i,0.00033254+0.00062341i,0.00025956-0.00030007i,3.1487e-05+0.00037605i,-0.00032029+0.00065601i,-0.00027042-0.00026124i,-7.32e-05-0.00047779i,-0.00015058-6.4039e-05i
-0.00047488+0.00047641i,-0.00075075-0.00028094i,-0.00052003-0.0010087i,-0.00081582-0.0012549i,-0.0010922-0.0021342i,-0.00051172-0.0023305i,-7.4237e-06-0.0014446i,0.00024159-0.00056357i,-3.2407e-05-0.00043505i,-0.00023972+9.2169e-05i,-0.00045483+0.00050181i,-0.0004825+0.00019999i,-8.7544e-05+0.00076694i,4.4406e-05+0.00080028i,0.00037826+0.00043861i,-8.4987e-05+0.00058084i,-0.0004409+0.00028659i,3.6279e-06-0.00015064i,-0.00013036-2.4524e-06i,-0.00052308+0.00019861i,-0.00091074-0.00025615i,-0.0010776+5.1593e-06i,-0.001089-0.00011491i
-0.0012583+0.00093011i,-0.0013382+0.0017731i,-0.0014714+0.0013763i,-0.0001003+0.00065421i,0.00058938+3.5807e-05i,0.00016948-0.00037582i,-0.00044111-0.00056208i,-2.6691e-05-0.00016114i,0.00064153+0.00043596i,0.00027666+0.00059847i,0.00029216+0.00091255i,0.0006403+0.00062723i,0.0011054+0.00022145i,0.0011878+0.00031322i,0.0011218-1.4275e-05i,0.00095494-0.00036842i,0.00032306-0.00065751i,0.00011447-0.00087432i,0.00028054-0.0011569i,0.0003781-0.00098215i,5.878e-05-0.00068781i,-0.00013801-0.00081757i,8.682e-05-0.00061565i
0.00027039-0.00074806i,0.00014841+0.00019817i,0.00043407-0.00026476i,0.00023387-0.0011698i,0.00012318-0.0025412i,0.00039078-0.0026727i,0.00017973-0.0017499i,-6.507e-05-0.00012i,5.1256e-05+0.00082314i,0.00045307+0.00034563i,0.00061913+0.000101i,9.6535e-05+0.00060127i,0.00032981+0.00068476i,0.00047083-0.00029645i,-0.00023909-0.00048031i,-0.00011143-0.00017298i,0.00019732+0.00020114i,4.1631e-05+0.0008264i,-0.00020511+0.00084629i,-0.00037646+0.00021311i,-0.00050496-0.00078228i,-0.00048072-0.00047613i,-0.0006329+0.00037528i
-0.00041702+0.00053779i,-0.0003203+0.00029468i,0.00028454-0.00031075i,0.00084006-0.0011709i,0.00061587-0.0019008i,-8.2266e-05-0.0017532i,-0.00017653-0.00097476i,4.8004e-05-0.00063503i,-1.7851e-06-7.0332e-05i,-0.00074949-0.00016851i,-0.0012891-0.00046421i,-0.00096785+3.0355e-05i,-3.6062e-05+0.0002998i,0.00015736+0.00059838i,-0.00026393+0.00052716i,-0.00024323+0.00020189i,-3.2868e-05+0.00010365i,9.7724e-05-0.00024378i,-0.0001618-0.00013534i,-0.00041858-0.00035698i,-0.00064424-0.00035732i,-0.0010562+0.000133i,-0.00078673-0.00025677i
-0.00012941-0.0011172i,-0.00033416-0.00087534i,-0.00052159+0.00044194i,0.00049681+0.00042671i,0.001454+0.00032478i,0.0013275-4.885e-05i,0.00011467-0.00045081i,-0.001146-0.00053893i,-0.0010935-0.0012876i,-8.8459e-05-0.00087266i,0.00023547+2.623e-05i,0.00019114+0.00020496i,0.000301-3.6971e-05i,0.00057418+0.00026331i,0.00089859-1.606e-05i,0.00073558-0.00064745i,0.00031167+5.1995e-05i,0.00061204+0.00056945i,0.0011466+0.00031169i,0.00063213-0.0003069i,-4.6812e-05-0.00039782i,0.00013262+7.7501e-05i,0.00071181-0.00010974i
