-0.0013102+0.000607i,-0.0015078+0.00074542i,-0.0039218-0.00064524i,-0.0060382-0.0028359i,-0.0054251-0.002156i,-0.0023887+0.00077731i,8.9689e-05+0.001968i,0.0010067+0.0015862i,0.0013531+0.00091071i,0.0012225+7.4385e-07i,8.8641e-05-0.00036061i,-0.00045932-0.00055727i,0.00024095-0.00061669i,0.00029502-0.00051341i,-0.00052389-0.00060269i,-0.00087074-5.533e-05i,-0.00049006-0.00027728i,-0.00029838-0.00062145i,0.00029625-0.0009613i,0.00072464-0.0011115i,-0.00041842-0.00034185i,-0.00058042-0.00027042i,0.0002582-0.00023627i
-0.0164-0.022461i,-0.018513-0.030285i,-0.015733-0.026456i,-0.0095675-0.014155i,-0.0035872-0.0037337i,-1.3189e-05-0.0004028i,0.0020671-0.00060391i,0.0044121-0.0015412i,0.0053588-0.0034892i,0.0031578-0.0041202i,0.00068394-0.0020874i,0.00054776-0.00015069i,-2.551e-05+0.0003097i,-0.0012045+0.0010964i,-0.0016797+0.0010855i,-0.0014052+0.0005987i,-0.0012455+0.00025818i,-0.00089118-0.00053681i,-3.8825e-05-0.0013391i,0.0005726-0.00089659i,0.00082124+0.00011885i,4.8823e-05+0.00052906i,-0.0010999+0.0014602i
-0.015983+0.018331i,-0.020521+0.023567i,-0.018116+0.019496i,-0.0098746+0.0074382i,-0.0035083-0.001091i,-0.0023754-0.003368i,-0.0018935-0.0040249i,-0.0019712-0.0042114i,-0.003486-0.0033527i,-0.0034081-0.0019878i,-0.0016298-0.0010658i,-0.00057351-0.00092099i,-0.00032186+0.00051724i,9.6185e-05+0.0020683i,-0.00028007+0.0019213i,-0.0010884+0.0013076i,-0.0016022+0.0011718i,-0.0007374+0.0010033i,0.00059172+0.00074111i,0.00075547+0.00078254i,0.00048098+0.00070866i,0.00076397+0.00027166i,0.0009363-0.0006869i
0.027112+0.0094765i,0.031687+0.010293i,0.027602+0.0064133i,0.01366+0.0010904i,0.00075016-0.00048469i,-0.0025726+0.00065919i,-0.0022638+0.00073499i,-0.0031579+0.0019848i,-0.0028176+0.004007i,-0.00043223+0.0036735i,0.00056552+0.001758i,-0.00079386+0.00034379i,-0.0011038-0.00040355i,0.00096805-0.0011812i,0.0023452-0.0011748i,0.0021875-0.00015007i,0.0020093+0.00065625i,0.0013696+0.00063266i,0.00064808+0.00058619i,0.00076982+0.00025208i,0.00057536+0.00035994i,-0.00057652+0.00039588i,-0.0011184-0.00050079i
0.0086939-0.025294i,0.006733-0.031617i,0.0026751-0.02904i,0.00099173-0.017261i,0.00017134-0.0057468i,0.0010148-0.0016172i,0.001903-0.00015208i,0.0022972+0.0021656i,0.0037602+0.0018211i,0.0040151-0.00080456i,0.0020979-0.0011888i,0.00084658-9.2393e-05i,0.00039986-0.00060531i,-0.00032329-0.0010794i,-0.0010969-0.0013841i,-0.00058696-0.001574i,0.00023125-0.0012569i,0.00036227-0.00059437i,-7.6779e-05-0.00049168i,-0.00036663-0.0010583i,-0.00043704-0.001255i,-0.00055939-0.00053009i,-0.00090989+0.00074407i
-0.023141+0.0025931i,-0.030556+0.0029093i,-0.027014+0.0032741i,-0.014667-9.1393e-05i,-0.0047967-0.0035812i,-0.0017071-0.0037071i,0.00033569-0.0023068i,0.0028198-0.0020703i,0.0025529-0.003032i,-0.00066783-0.0023248i,-0.0019141-0.00052089i,-0.0009934+0.00069213i,-0.0012717+0.0015856i,-0.0021001+0.0021547i,-0.0013787+0.0020828i,-0.00050479+0.0018566i,-0.00062437+0.0023076i,-0.00050747+0.001382i,4.9669e-05+0.00045872i,-0.00020674+0.00026761i,0.00018235-0.0002061i,0.00096664-0.0004946i,0.00069611-0.00038121i
0.0083369+0.023538i,0.011958+0.024517i,0.012665+0.019197i,0.0050891+0.0082983i,-0.0022841+0.00076865i,-0.0029517+0.0011653i,-0.00086857+0.00070889i,-0.0012638-0.0017222i,-0.0024025-0.0013593i,-0.0014955+0.0005123i,0.00017857+0.0010685i,0.00099449+0.00113i,0.0010968+0.00094076i,0.0016762+3.3443e-05i,0.0016583-0.00018525i,0.0012796+0.00016263i,0.0010515+0.00016786i,0.00081628-0.00028388i,0.00092588-0.00073439i,0.00064478-0.00050736i,1.2035e-05-0.00035944i,0.00031751-0.0010151i,9.5858e-05-0.0014271i
0.024178-0.011328i,0.026909-0.019169i,0.020594-0.022401i,0.010429-0.015027i,0.0043596-0.0048263i,0.0033757-0.00014855i,0.0016417+0.0011491i,-0.0009339+0.0023239i,-0.00046338+0.0025358i,0.0012947+0.00094033i,0.0017837-0.00029597i,0.0014187-0.00037018i,0.00096915-0.00041241i,0.00012316-0.00058057i,-0.00051592-0.0010726i,-0.00016208-0.0014686i,0.00043788-0.00089693i,0.00086294+0.00040643i,0.00082598+0.0015638i,0.00020931+0.0011229i,-0.00030409-0.00013984i,-0.00036436-0.00091246i,-0.0010287-0.00071731i
-0.018292-0.017691i,-0.025115-0.019133i,-0.026036-0.014952i,-0.016642-0.010903i,-0.0062304-0.0073885i,-0.0015609-0.0041629i,7.0157e-05-0.0008152i,0.0015994+0.0011142i,0.00315+0.00034521i,0.0021058-0.0011337i,-0.00054551-0.0019381i,-0.0010607-0.0014703i,-0.00021021-0.00045223i,-0.00045678+0.00034197i,-0.0012244+0.00060041i,-0.0010926+0.00050062i,7.1327e-05+0.00036257i,0.00083631+0.0009691i,0.000198+0.0010717i,0.0006829+0.00066296i,0.0016687+0.00061084i,0.0009005+0.00068839i,0.00079194+0.00028181i
-0.01479+0.023879i,-0.0087182+0.029521i,-0.0018404+0.027081i,-0.00051638+0.015391i,-0.003132+0.0060649i,-0.0036418+0.0036717i,-0.00089173+0.0013576i,0.0014848-0.0014841i,0.0011262-0.0015406i,-0.0014799-0.00015607i,-0.001255+0.00087621i,0.00017528+0.0017358i,0.00026961+0.0013838i,0.00099312+0.00082619i,0.0011738+0.00094158i,0.0003495+0.00084156i,0.00027506+7.3746e-06i,0.00075847-0.00042274i,0.00045762-0.00078293i,0.00030896-0.0013011i,0.00016173-0.0014561i,0.00028537-0.001791i,-0.00018977-0.001617i
0.02602+0.010898i,0.031151+0.0018585i,0.030316-0.0086066i,0.019775-0.0093642i,0.0087505-0.0046523i,0.0041803-0.0015727i,0.0013727-0.00086621i,-0.0021423-0.0010209i,-0.0020399+0.0003328i,0.0007437+0.0014121i,0.0016623+0.00088292i,0.0010233+0.00081776i,0.0013309+0.00137i,0.0017995+0.00061374i,0.0014608-0.00030559i,2.0308e-05-0.00047051i,-0.0010839-0.00050186i,-0.0016411+0.00014424i,-0.0015349+0.00049483i,-0.00095024+0.00030613i,-0.00047001-0.00038558i,-1.3739e-06-0.00037724i,-0.00051937+0.00039488i
0.0045588-0.028853i,-0.0065899-0.030022i,-0.016352-0.027691i,-0.014411-0.020947i,-0.0076708-0.012195i,-0.0036787-0.0060888i,-0.0028165-0.0016185i,-0.0021487+0.001528i,-0.0011201+0.0015384i,-0.00054606-0.00056691i,-0.00010288-0.0018451i,0.00046059-0.0016528i,0.00090229-0.00077987i,0.00032337-4.6927e-05i,-0.00044857+0.00028096i,-0.00030822+0.00055458i,2.1583e-05+0.0011396i,0.00058464+0.0019935i,0.0010038+0.0018297i,0.00079121+0.0011302i,0.00034176+0.00084743i,0.00043336+0.0002159i,0.00075161+4.9289e-05i
-0.02355+0.0018546i,-0.020958+0.010899i,-0.014908+0.017787i,-0.010713+0.012413i,-0.0092266+0.0047889i,-0.0071453+0.0031145i,-0.0024722+0.0031374i,0.0015772+0.0019854i,0.0024456+0.00091047i,0.0011363-0.00017863i,-0.00043957+0.00046176i,-0.0018485+0.0014328i,-0.0022448+0.00066341i,-0.0012464+0.00037558i,-0.0002518+0.00049819i,0.0003133+0.0007983i,0.00090078+0.00042527i,0.0015607-0.0003462i,0.0014726-0.00047354i,0.00079434-0.00058149i,2.851e-05-0.00042688i,-0.00047223-0.00045981i,-0.00077168-0.00021213i
0.0066808+0.024526i,0.015062+0.017165i,0.02242+0.0075627i,0.018985+0.0032427i,0.010136+0.0040183i,0.0052264+0.0039255i,0.002673+0.00017262i,0.00050961-0.0027552i,-0.0001174-0.0027501i,0.00045554-0.0015129i,0.0010738-0.00025649i,0.0010933+0.00017939i,0.00063907+0.00050183i,0.00044311+0.00051196i,0.00098001-0.00030491i,0.00054896-0.00053294i,-0.00057819-0.00075429i,-0.0012632-0.0015937i,-0.0022718-0.0017672i,-0.0022186-0.0012976i,-0.00056465-0.00091935i,0.00089477-0.00076013i,0.00085326-0.0011432i
0.021213-0.0087993i,0.01318-0.018183i,0.0032105-0.026347i,-0.00021343-0.023903i,0.0021057-0.01567i,0.0025766-0.009954i,-0.0013944-0.0056792i,-0.0046287-0.0019982i,-0.0047588-0.00050741i,-0.0027695-0.00096789i,-0.00050389-0.0013116i,0.00070023-0.00061719i,0.0016767+0.00024519i,0.000887+0.0004103i,0.00014349+0.00026341i,0.00062665+0.00097557i,0.00033065+0.0024996i,-0.00053181+0.0030338i,-0.00078775+0.0030499i,-6.0043e-05+0.0025448i,0.00031294+0.0012865i,0.00063981+0.00014944i,0.00036618+7.6573e-05i
-0.012873-0.022654i,-0.0186-0.012526i,-0.023175-0.0016792i,-0.022556-0.00030264i,-0.018995-0.0031542i,-0.014184-0.00047926i,-0.007574+0.0036702i,-0.0018941+0.0047449i,0.00048727+0.0035561i,-0.00032621+0.0020863i,-0.0011575+0.0013376i,-0.00070154+0.00042469i,0.00059171-0.0013622i,0.0013637-0.0017321i,0.0014997-0.0014597i,0.0021087-0.0012077i,0.0025691-0.0007305i,0.002946-3.7213e-06i,0.0029868-0.0001169i,0.0023879-0.00063717i,0.00095899-0.00054034i,0.00058772+0.00010895i,0.00024433+0.00018945i
-0.020077+0.016887i,-0.0049066+0.018325i,0.0094639+0.017716i,0.0090577+0.015045i,0.0027236+0.014319i,0.0017429+0.012179i,0.0036369+0.005232i,0.0037315-0.00096072i,0.0030827-0.0029724i,0.0017172-0.0021639i,0.00074362-0.00022826i,0.00039043+8.008e-05i,-0.001123-0.00029581i,-0.0023488-0.00071424i,-0.0018231-0.0019544i,-0.0013324-0.0023979i,-0.00099108-0.002886i,-0.00097132-0.0030501i,-0.0010812-0.0021308i,-0.00020339-0.0013874i,0.00049125-0.0010288i,0.0010043-0.00024051i,0.00048683+0.00017119i
0.018764+0.0196i,0.017436+0.00063465i,0.015546-0.017484i,0.015132-0.019486i,0.01471-0.013225i,0.010354-0.010129i,0.003158-0.0088399i,-0.0017699-0.0068936i,-0.0028885-0.0046023i,-0.002195-0.0028946i,-0.0010169-0.0019894i,-0.0009407-0.00020286i,-0.0012314+0.0015179i,-0.0007837+0.0022917i,-0.00066079+0.0022187i,-0.00023617+0.0020463i,-0.00047886+0.0015871i,-0.0023444+0.0015277i,-0.0023225+0.0020557i,-0.00051585+0.0014632i,0.00065329+0.00030207i,0.00083839-0.00023644i,0.0010592-0.00026576i
0.011121-0.018689i,-0.0021965-0.011485i,-0.015999-0.0055749i,-0.0187-0.0094554i,-0.015926-0.014752i,-0.014005-0.011323i,-0.011108-0.0028864i,-0.0071289+0.0021328i,-0.0044667+0.0031616i,-0.0029439+0.0021179i,-0.001818+0.0016457i,-0.00013385+0.00073349i,0.0022253-0.00050855i,0.0031118+0.00029486i,0.0029189+0.0011457i,0.0037298+0.0011628i,0.003582+0.001066i,0.002467+0.0013843i,0.0017692+0.0018174i,0.00064822+0.0012058i,4.6347e-06+0.00012755i,-0.00043093-0.00037627i,-0.00025685-0.00078329i
-0.024008-0.014659i,-0.011133-0.0038158i,-0.00089036+0.008497i,-0.0033453+0.012551i,-0.010879+0.012794i,-0.010625+0.012786i,-0.0030288+0.0095167i,0.0036942+0.0051501i,0.0053727+0.0026877i,0.003801+0.0023854i,0.002324+0.0020341i,0.0017305-0.00013464i,0.00052536-0.0019746i,-0.00034684-0.0023915i,-0.00021142-0.0023836i,-0.00096976-0.0029706i,-0.00116-0.0032297i,0.00030358-0.0037247i,0.0012293-0.0036375i,0.0015313-0.0024384i,0.0013907-0.00091825i,0.00054367+9.6536e-05i,-0.00049358+8.9488e-05i
-0.010562+0.024419i,0.00052511+0.0099057i,0.010496-0.0064227i,0.013925-0.0082475i,0.014477-0.00046832i,0.013767+0.00017794i,0.0091824-0.0043781i,0.0034149-0.0064909i,0.00039551-0.0060775i,-0.00036675-0.0053488i,3.1335e-05-0.0047698i,-0.00055404-0.0025007i,-0.0021133+0.0003259i,-0.0030689+0.0011438i,-0.0030156+0.0018198i,-0.0020632+0.0024156i,-0.0016744+0.0016679i,-0.0020808+0.0012716i,-0.0020565+0.0012506i,-0.0019323+0.00078264i,-0.0012929+0.00048679i,0.00011449+0.00062843i,0.00065881+0.00047997i
0.028391+0.0085318i,0.01395+0.0019007i,-0.0022197-0.0049434i,-0.0051895-0.011992i,-0.00066553-0.018718i,-0.001435-0.019118i,-0.0067297-0.012104i,-0.0089542-0.0039859i,-0.0072781+0.00059634i,-0.0047333+0.00128i,-0.0029593+0.00074181i,-0.0014167+0.0012158i,0.00049598+0.0021936i,0.0026924+0.0022953i,0.0032677+0.0023203i,0.0031745+0.0027987i,0.0025842+0.0027141i,0.0017731+0.0023421i,0.0012915+0.0024676i,0.00068086+0.0023979i,-0.00049989+0.0014182i,-0.001106+0.00027672i,-0.00058404-0.00062164i
0.0027961-0.026363i,0.003435-0.011565i,0.0040668+0.0041823i,-0.0022318+0.006938i,-0.012486+0.0013532i,-0.014598+0.00087964i,-0.0082507+0.0051025i,-0.0015095+0.0078523i,0.0023935+0.0068092i,0.0030886+0.0042901i,0.0022187+0.00343i,0.001975+0.0017058i,0.0023387-0.0012924i,0.0030318-0.0019688i,0.0028647-0.0024269i,0.0019552-0.0033234i,0.0021091-0.0026975i,0.002441-0.0024571i,0.0023894-0.0023871i,0.0017376-0.0015186i,0.00066078-0.0010643i,-0.00033541-0.00043534i,-0.0012922+0.00025052i
-0.030597-0.00019791i,-0.013806-0.0041779i,0.0027485-0.0099906i,0.0072401-0.007495i,0.0042473+0.0029002i,0.0051549+0.0069638i,0.0080261+0.0021285i,0.0074599-0.0040826i,0.0048302-0.0059635i,0.0032294-0.0042445i,0.0032052-0.0033046i,0.0017077-0.0035596i,-0.00086798-0.0022695i,-0.002388-0.00022179i,-0.0033218+0.00055129i,-0.0032448+0.00074034i,-0.0032274-0.00039846i,-0.0040261-0.0016076i,-0.0036312-0.0012476i,-0.0026376-0.00085896i,-0.001554-0.00066049i,-0.00038999+0.00039255i,-6.5694e-05+0.0011929i
0.0054047+0.030722i,-0.00073429+0.014926i,-0.010046-0.00024815i,-0.0091029-0.0069978i,0.0014569-0.0081353i,0.0049705-0.0091846i,0.00031688-0.0098133i,-0.0046602-0.0071102i,-0.0069416-0.0032622i,-0.005701-0.0020252i,-0.0047202-0.0021378i,-0.0036434+7.7136e-05i,-0.0016358+0.0022791i,-0.00061855+0.0029987i,-0.00033894+0.0030946i,0.00026223+0.0032957i,0.00089017+0.0036212i,0.00024017+0.0042571i,-0.00072874+0.0038492i,-0.00095473+0.0025148i,-0.00062202+0.0015734i,0.00027179-7.1027e-05i,0.00048197-0.0012158i
0.03075-0.011249i,0.022131-0.0034653i,0.011259+0.0073304i,0.0028157+0.0062921i,-0.0015546-0.0029475i,-0.005454-0.0060774i,-0.0071461-0.001477i,-0.0044703+0.0046918i,-0.001753+0.0078718i,-0.0017174+0.0060946i,-0.001609+0.0035324i,0.00052248+0.0024756i,0.002495+0.0016213i,0.0028975+0.00080853i,0.0035358-0.00022275i,0.0037702-0.0015647i,0.0036691-0.0026007i,0.003888-0.0023203i,0.00312-0.0018339i,0.0026463-0.0016964i,0.0013382-0.0008952i,-0.00086968-0.0002784i,-0.0016773-0.00088928i
-0.016941-0.028451i,-0.0054209-0.019823i,0.0083981-0.014933i,0.010616-0.012137i,0.0018531-0.0053184i,-0.0019627+0.00062644i,0.0024741+0.0021598i,0.0075107+0.0001033i,0.0086409-0.0024864i,0.0064568-0.0031283i,0.0042903-0.002064i,0.0028438-0.0015274i,0.0012264-0.0017913i,7.0825e-05-0.0021639i,-0.00046453-0.0026861i,-0.001423-0.0031276i,-0.0019504-0.0028754i,-0.0019361-0.0021807i,-0.00194-0.0026875i,-0.0014249-0.0032791i,-0.00081712-0.0024034i,-0.0003683-0.00071029i,-0.00048257+0.0010975i
-0.029245+0.022975i,-0.021959+0.011654i,-0.018313-0.0046041i,-0.014595-0.011315i,-0.0047457-0.0061355i,0.0027328-0.0045256i,0.0029171-0.0076368i,-0.00038672-0.0093683i,-0.0029047-0.0082992i,-0.002902-0.006799i,-0.0022852-0.0058055i,-0.001964-0.0038058i,-0.0023594-0.00089254i,-0.0023562+0.00057826i,-0.0015625+0.0019984i,-0.0013777+0.0036599i,-0.00043989+0.0037924i,-0.00011952+0.0031716i,-0.0015458+0.0024566i,-0.0017424+0.0019775i,-0.0010402+0.0014626i,-0.0002196+0.00066418i,0.0015249-8.4024e-05i
0.026729+0.025371i,0.019208+0.021513i,0.0069+0.022009i,-0.00065882+0.018833i,7.109e-05+0.0081048i,-0.00010769+0.00015889i,-0.0038195-0.001273i,-0.0062822+0.0011792i,-0.0054759+0.0042746i,-0.0042757+0.0046934i,-0.0038237+0.0033217i,-0.0024835+0.0030663i,-0.0011181+0.0030536i,0.00011706+0.0021782i,0.0017886+0.0010657i,0.0034328+0.00062248i,0.0040406-0.00019227i,0.0037393-0.00087775i,0.0038089-9.9907e-05i,0.003267+0.00072227i,0.0019572+3.1453e-05i,0.00090578-0.00082279i,9.7514e-05-0.0011195i
0.019513-0.035576i,0.01764-0.026771i,0.02244-0.016409i,0.023064-0.011326i,0.011822-0.0086042i,0.0036097-0.0035788i,0.0031086+0.0019461i,0.0048035+0.004773i,0.0061451+0.0041096i,0.0047226+0.0022287i,0.0030701+0.0013422i,0.0031118+0.00024394i,0.0029296-0.0014137i,0.0019521-0.0016229i,0.00058186-0.0017149i,-0.00047273-0.002729i,-0.0019061-0.0033573i,-0.0023003-0.0037188i,-0.001135-0.003783i,-0.00065944-0.0033289i,-0.0011215-0.0022593i,-0.0013291-0.00075931i,-0.0014712+0.00052018i
-0.033625-0.016458i,-0.02757-0.014522i,-0.021501-0.022429i,-0.017553-0.026391i,-0.012003-0.017169i,-0.0042961-0.0076194i,0.0015577-0.0049165i,0.0048115-0.0061009i,0.0041689-0.0075083i,0.001737-0.0062604i,0.00089372-0.0041528i,-0.00025233-0.002294i,-0.0014168-0.0011759i,-0.0013831-0.00089147i,-0.0012745+0.00034149i,-0.0021596+0.0019604i,-0.0028061+0.0025302i,-0.0023081+0.0020367i,-0.0023034+0.00094906i,-0.0027223+0.00048907i,-0.0024092-9.511e-05i,-0.0021219-0.00068843i,-0.00065376-0.00038136i
-0.0063359+0.040089i,-0.0020625+0.032464i,-0.0078537+0.028648i,-0.012602+0.024294i,-0.0078301+0.015453i,-0.0022492+0.0058909i,-0.002386-0.00041331i,-0.0043657-0.0034452i,-0.0059775-0.0029177i,-0.0058818-0.0011235i,-0.0041258-0.00087167i,-0.0030575-0.00032154i,-0.0021285+0.00079359i,-0.00088339+0.0011789i,0.001217+0.0016854i,0.0031678+0.0022991i,0.003488+0.002045i,0.0036702+0.0011176i,0.0042277+0.0015761i,0.0039666+0.0024247i,0.0026651+0.0018591i,0.0022221+0.00079207i,0.0021917-0.0004803i
0.040586+0.00094278i,0.031687-0.0057418i,0.030421-0.0043529i,0.029305+0.00087127i,0.019632+0.00054171i,0.008343-0.00057828i,0.0023445+0.00044505i,0.00073714+0.0028148i,0.0015528+0.0042424i,0.00078942+0.0032405i,-0.00042739+0.0014i,0.00029572+0.0010109i,0.0015142+0.0014992i,0.0019243+0.00057323i,0.00092909-0.00069871i,-5.1267e-05-0.0014077i,-0.00023853-0.0031633i,-0.00054185-0.003699i,0.00013397-0.0036009i,0.001396-0.0047559i,0.00075125-0.0051231i,-0.0007901-0.003091i,-0.0016404-0.0013837i
-0.0043252-0.04291i,-0.010187-0.034301i,-0.0094591-0.033388i,-0.0053262-0.033872i,-0.0038816-0.024931i,-0.0016525-0.012437i,0.001882-0.0044752i,0.0048005-0.001137i,0.0059362-0.00092905i,0.0051047-0.0020527i,0.0033578-0.0021598i,0.0016052-0.0023305i,0.00072566-0.0028316i,9.3113e-05-0.0015616i,-0.00099356+0.0002105i,-0.0022394+0.00088048i,-0.0032847+0.00077263i,-0.0033868+0.00089533i,-0.0031072+0.0011308i,-0.0035+0.00083776i,-0.0032258-0.0005376i,-0.0017251-0.00020541i,-0.0012608+0.0020181i
-0.034466+0.012368i,-0.020333+0.018718i,-0.019217+0.018267i,-0.024957+0.01382i,-0.020422+0.0090522i,-0.009774+0.004326i,-0.0023335+0.0008519i,0.0006851-0.0023455i,0.00013654-0.004436i,-0.0019132-0.0043563i,-0.0025524-0.0030975i,-0.001759-0.001706i,-0.0011409-0.00033865i,-0.00062611+0.0004855i,0.00050675+0.0011844i,0.0017732+0.0026373i,0.0025542+0.0040238i,0.0034327+0.0038222i,0.0032441+0.0025453i,0.0027314+0.0023107i,0.0027993+0.0026217i,0.0020075+0.0021522i,0.0014293+0.00059766i
0.019035+0.032202i,0.024213+0.013869i,0.028042+0.010106i,0.025851+0.01505i,0.018286+0.012899i,0.0096027+0.0071788i,0.0043761+0.002343i,0.0010976-0.00092359i,-0.0010178-0.00054695i,-0.0021108+0.0014335i,-0.0016919+0.0014096i,-0.00011193+0.0009574i,-3.8589e-05+0.0013264i,-0.0012323+0.0013614i,-0.00048849+0.0001577i,0.0011998-0.0018525i,0.0021352-0.0035282i,0.0023545-0.0044654i,0.0022228-0.0044807i,0.0027509-0.0043148i,0.0025724-0.0041654i,0.0016212-0.0036346i,0.00097902-0.0023551i
0.034229-0.021504i,0.013154-0.024659i,0.0054433-0.033308i,0.0085804-0.036031i,0.0091924-0.025562i,0.0060084-0.012767i,0.0022088-0.0052464i,6.4657e-05-0.00069357i,0.0014405+0.0023829i,0.0036396+0.0027446i,0.002908+0.0011342i,0.0014418-0.00016133i,0.001099-0.00063047i,2.4156e-05-0.00057766i,-0.0016932+8.5996e-05i,-0.0033681-0.00011158i,-0.0046913-0.0010208i,-0.0058159-0.0011253i,-0.0057255-0.0012283i,-0.0044151-0.00097345i,-0.0033954-0.00072133i,-0.0030198-0.00091904i,-0.0028685-0.00027476i
-0.022838-0.031152i,-0.025328-0.0080527i,-0.030297+0.0030144i,-0.033021+0.00044551i,-0.026973-0.0026127i,-0.015079-0.00118i,-0.0055592+0.0019753i,-1.1507e-05+0.0026685i,0.0038829+0.00054018i,0.0042416-0.0023555i,0.001582-0.0037908i,-0.00020785-0.0024306i,-0.0010679-0.00059144i,-0.00033325+0.00037402i,0.00054523+0.0012295i,0.00088517+0.0030808i,0.0012702+0.00426i,0.0018836+0.0042249i,0.0021899+0.0044413i,0.0019023+0.0044074i,0.0016906+0.0038517i,0.0017929+0.0034287i,0.0010184+0.0028345i
-0.017851+0.028379i,0.0092773+0.019536i,0.024526+0.019854i,0.020004+0.022562i,0.0099787+0.01964i,0.0037817+0.011344i,0.0039842+0.0043769i,0.0042554-0.00077845i,0.00047664-0.0040308i,-0.0020757-0.0031758i,-0.0024418-0.0012045i,-0.0019872+0.00023727i,-0.00099381+0.0010576i,-0.00022078+0.00013716i,-6.7724e-05-0.00078894i,0.00069354-0.00081765i,0.0025847-0.0014602i,0.0034574-0.0029017i,0.0035508-0.0039679i,0.0040747-0.0039389i,0.0041915-0.0033634i,0.0035713-0.0025687i,0.0022984-0.0014356i
0.036803+0.022062i,0.019963-0.0080405i,0.015686-0.029815i,0.019559-0.032809i,0.016881-0.02229i,0.0089733-0.0099113i,0.0029029-0.0042864i,-0.0010507-0.0022243i,-0.0033449+0.0011294i,-0.0022127+0.0032859i,-0.00037511+0.0024865i,0.001063+0.0015701i,0.0014439+0.00064618i,0.0006273-0.00068503i,-0.00014689-0.00098257i,-0.0015174-0.00095792i,-0.0030405-0.002175i,-0.0043902-0.0029074i,-0.0048524-0.0023644i,-0.0046998-0.0024707i,-0.0041431-0.0023864i,-0.0036625-0.0019166i,-0.0030031-0.001932i
0.022674-0.029463i,-0.0061972-0.010128i,-0.028569-0.0046362i,-0.034212-0.0086304i,-0.027056-0.0095999i,-0.014297-0.0047509i,-0.006445+0.0018372i,-0.003269+0.0057148i,0.0019318+0.0050632i,0.0055513+0.0012323i,0.0046972-0.0022749i,0.0020664-0.0033617i,0.00054024-0.0026535i,-0.00012753-0.00064974i,-0.00055031+0.0012402i,-0.00042504+0.0025588i,-0.00053343+0.0037435i,-0.00045738+0.0044042i,-0.00011449+0.0045173i,2.889e-05+0.0043889i,-0.00094448+0.0037242i,-0.0015527+0.0029441i,-0.0012323+0.0027705i
-0.032109-0.013302i,-0.0013945+0.0072627i,0.013497+0.025497i,0.009765+0.02875i,0.0016872+0.021279i,0.0001351+0.011429i,0.0034556+0.0064777i,0.0065281+0.0038487i,0.0062877-0.0014265i,0.002885-0.0045843i,-0.0012982-0.0032127i,-0.0028154-0.0016337i,-0.001997-0.0013927i,-0.0018791-0.0011203i,-0.00034436-0.00053537i,0.0017195-0.0001498i,0.0031068-0.00015958i,0.0044032-0.0005836i,0.005004-0.001284i,0.0047997-0.0021321i,0.0046634-0.0015272i,0.0032726-0.00027078i,0.0020309-0.00061466i
-0.013228+0.039878i,0.0013474+0.00049344i,0.018387-0.024606i,0.025096-0.025941i,0.019954-0.015849i,0.010562-0.0071069i,0.0047666-0.0044133i,0.0014833-0.0046394i,-0.0031908-0.0029801i,-0.0055211+0.00075487i,-0.0034916+0.0030772i,-0.00073512+0.0030184i,0.00058598+0.0019317i,0.00036669+0.00063173i,-0.00060252-0.00054104i,-0.00059542-0.0012172i,-0.00080925-0.0020077i,-0.0018164-0.0026615i,-0.0030951-0.0037089i,-0.0031648-0.0040718i,-0.0022619-0.0031046i,-0.0018196-0.0029907i,-0.0014175-0.0030382i
0.042057+0.0091092i,0.0020956+0.0013973i,-0.02662-0.010478i,-0.032142-0.017901i,-0.023422-0.015646i,-0.013489-0.0065802i,-0.0080479-0.00094987i,-0.0064333+0.0021826i,-0.0033395+0.005862i,0.0017844+0.0060555i,0.0030888+0.0033066i,0.002131+0.00046965i,0.0025323-0.0010077i,0.0019543+6.3083e-05i,0.00051346+0.0017105i,0.00032731+0.0014811i,-0.00027802+0.0018909i,-0.001345+0.0027438i,-0.0021984+0.0033593i,-0.0028962+0.0036347i,-0.0034441+0.0026424i,-0.0024501+0.0016663i,-0.0014061+0.001024i
0.0087367-0.043776i,0.011111-0.0030096i,0.0075518+0.025318i,0.00038729+0.028952i,-0.0054916+0.019213i,-0.0051551+0.0099919i,-0.0018824+0.007444i,0.0020664+0.0068097i,0.0052054+0.003109i,0.0050412-0.0020194i,0.0027435-0.0040466i,0.0004932-0.0032077i,-9.3551e-05-0.0022971i,0.00085066-0.0016755i,0.001008-0.0002887i,0.00038985+0.0012615i,0.0012744+0.002349i,0.0033368+0.0016936i,0.0049842+0.00051601i,0.0051511+0.00021597i,0.0042992-0.00023041i,0.0028747-0.00044032i,0.0018476+0.00060275i
-0.052554-0.00029861i,-0.010494-0.014326i,0.021936-0.022356i,0.029423-0.019797i,0.021733-0.011232i,0.010795-0.0053482i,0.0050612-0.0025893i,0.0031669-0.0032708i,-8.5091e-05-0.005767i,-0.004203-0.0042815i,-0.0051508-0.0012305i,-0.0037136-8.3559e-05i,-0.0018372+0.00053599i,-0.0014534+0.00079298i,-0.0014629-0.00040538i,-6.9366e-05-0.0015385i,0.0015963-0.001663i,0.0017626-0.0025103i,0.00015692-0.0038822i,-0.0009274-0.0040039i,-0.0011731-0.0029896i,-0.00015526-0.0021289i,0.00066001-0.0021345i
