-0.0054491+0.00038318i,-0.0046932+0.0036773i,-0.0036071+0.0056988i,-0.0010823+0.0059584i,0.00077807+0.0049823i,0.001122+0.0037727i,0.00045012+0.0031376i,5.2072e-05+0.0030457i,-7.1805e-05+0.002694i,0.00010458+0.0013463i,0.0010277-1.7287e-05i,0.0020107-0.00037922i,0.00086526-0.00042916i,-0.00015309-0.00040269i,-0.00052784+0.00032068i,-0.00086263+0.00035911i,-0.00067084+0.00014336i,-0.00029952-4.8641e-05i,0.00024292-0.00064583i,0.00055946-0.000331i,3.9093e-06-0.00020076i,-0.00068363-0.0003906i,-0.00045699-0.0011207i
0.00081558-0.00033111i,0.0016963-0.0010505i,0.0020455+2.7073e-05i,0.00048069+0.0004858i,-0.00049293-0.0017144i,-0.00027602-0.0017764i,-0.00048491-1.9356e-05i,-0.00020201+0.00037226i,0.00034484+0.00038702i,0.00028684+0.00031394i,0.00017793+0.00034643i,0.00055145+0.0005917i,0.00086482+0.00071395i,0.00052686+0.00033098i,0.00020381-1.5006e-05i,0.00010886+0.00013056i,-9.1835e-05-5.4508e-05i,0.00044173-0.00013983i,0.001048+0.00037825i,0.00016912+0.00037472i,-0.0001355-9.8211e-05i,0.00016643-0.00017443i,5.7786e-05-0.00049535i
-0.001528+0.0010058i,-0.0015624+0.0019562i,-0.0016499+0.0027241i,0.0001058+0.0029114i,0.001086+0.0029127i,0.0013706+0.0023501i,0.0018327+0.001209i,0.0013411+0.00030908i,-0.0004172-0.0002332i,-0.0012278-5.3808e-05i,-0.00045355+0.00089246i,0.0002887+0.00077518i,-0.00017581+0.00014667i,-0.00043543+5.2894e-06i,0.0001503-0.00060487i,0.00027742-0.0012097i,0.00063691-0.00059624i,0.00077785+0.00018758i,0.00018366+0.00026022i,-7.4475e-05-6.9153e-05i,0.00060569-0.00013697i,0.00058083-0.00014245i,0.00051689+0.00042986i
0.00052953-0.00040933i,-2.2006e-05-0.00046046i,8.6746e-06-0.00048136i,-0.00036404-0.00033387i,-0.00054062+0.00013551i,-3.2079e-05+0.00054211i,2.7314e-05+0.0003919i,-0.00017206-0.00067571i,-0.00032499-0.00086548i,-0.00048443+8.3297e-05i,-0.00054562+0.0011113i,-0.00084239+0.00068207i,-0.00081382+6.3554e-05i,1.7519e-05+0.00045404i,0.00023873+0.00092556i,1.3506e-06+0.0011588i,-0.00015244+0.00082787i,0.00014405-0.00049346i,0.00083868-0.00083253i,0.0012329-0.00018313i,0.00025405-0.00045256i,-0.00051636-0.00046946i,-0.00055986+0.00044694i
-0.00071981-0.0010301i,-0.00064075-0.00075317i,-0.00077064+0.00047849i,-0.0010339+0.0016792i,-0.00029516+0.0017983i,0.00049188+0.00097103i,0.00048095-0.00037862i,-0.0003233-0.00097462i,-0.0010946-0.00060302i,-0.0014353+0.00022731i,-0.0016103+0.00044858i,-0.00026835+0.00044765i,0.00057384+0.0013688i,0.00014809+0.0018581i,-0.00024208+0.0015683i,-0.00054403+0.001358i,-0.00063925+0.0003147i,-0.00047756-0.00046335i,3.8105e-05-0.0001569i,-0.00018517+0.00028411i,0.00027612+0.00029182i,0.00070406+1.6151e-05i,7.3773e-05-0.00023174i
0.0012655+0.0017372i,0.00083053+0.001339i,0.0016495+0.00098951i,0.0015942+0.00057189i,0.00077611+0.00021096i,0.00024975+0.00035236i,0.00011794+0.00048809i,-0.00026027+0.0001755i,-0.00032976+0.00012663i,0.00016828-0.00014668i,1.6296e-05-0.00022341i,-0.00012332+0.00026965i,-7.9758e-05+0.00041152i,0.00019717+0.00075893i,0.00017341+0.0014059i,0.00011767+0.001181i,-0.00045124+0.00029289i,-0.0010967-0.00011157i,-0.00050427-0.00042043i,-1.1949e-05-0.00018916i,-0.00058969+0.00014554i,-0.00059502-0.0002011i,-0.00029253-0.00042518i
0.00038265-0.0013258i,-0.00044155-0.001044i,-0.0016965-0.0015117i,-0.002204-0.000822i,-0.0027975+0.0015628i,-0.0032823+0.0018121i,-0.0017648+0.00091197i,-0.00077507+0.00020199i,-0.00044147-0.0008017i,-4.1353e-05-0.0013168i,-0.0004852-0.00054028i,0.00015522+0.0002661i,0.0013846-0.00040224i,0.0012994-0.00030085i,0.00090928+0.00046154i,0.00024782+0.00090533i,-0.00016722+0.00026866i,0.00034263+4.1314e-05i,0.00051779+0.00079857i,-0.00019737+0.00093539i,-0.00055161+0.00056862i,3.0134e-05+0.00024953i,0.00068932+0.00013829i
0.001422-0.0015435i,0.0010952-0.0019981i,-0.00013246-0.0020796i,6.3008e-05-0.0016448i,0.00088044-0.00066078i,0.00084101-0.00052837i,0.00069219-0.00036352i,0.00045587+0.00018242i,-3.8906e-05-0.00033959i,-0.00071399-0.00033834i,-0.0010311+0.00044756i,-0.00093942+0.00032902i,-0.00062005-3.9149e-05i,-0.00018139+0.00033947i,0.00038437+0.00032854i,0.00039795-0.00039365i,0.00054433-0.00010046i,0.00081293-0.00058751i,0.00073671-0.00096835i,0.00039611-0.00042079i,0.00055575-0.00011624i,0.00079159-3.5822e-05i,-0.00029531-0.00017498i
0.00029005+0.00051152i,-4.1877e-05+0.00049706i,-0.0011387+0.0012364i,-0.0018656+0.0024371i,-0.0013233+0.0026099i,3.3044e-05+0.0021818i,0.00042867+0.0013311i,-0.00050868+0.00033612i,-0.00083965+0.00015732i,-0.00082422+0.00019124i,-0.00056133+1.3691e-05i,-0.00047071+0.00037119i,-0.00031703+5.0088e-05i,-0.00032371-0.00026341i,-0.00028162-5.1453e-05i,0.00017608-0.00041596i,0.00077472-0.00050375i,0.0010949-0.00018461i,0.00082498+0.00017805i,0.00043021-2.2577e-05i,0.00074718-0.00033154i,0.00073001-0.0010622i,-0.00048299-0.001192i
-0.0010354-0.00050727i,-0.00098166+0.0004585i,-9.2364e-05+0.0011234i,-0.00068539+0.001393i,-0.0014334+0.0019548i,-0.00039671+0.0012451i,0.00050421+6.8957e-05i,-0.00018517+3.8734e-05i,-0.00024574+0.00036694i,0.00034809-0.00016682i,-0.00022109+0.00040807i,-0.0004514+0.0018328i,-0.00036676+0.0020974i,-0.0010795+0.0010695i,-0.0012733+0.00077923i,-0.0010375+0.0004457i,-0.00050947-0.0008195i,2.5613e-06-0.00045109i,-1.7549e-05+0.00048551i,-4.2222e-05+0.00019949i,0.00079108-0.00063098i,0.00084988-0.00031863i,-0.00033275+0.00048621i
0.00048854+0.0012155i,0.00097859+0.00047101i,0.0012907+0.00032895i,0.0017808+0.00030369i,0.0019156-0.00015862i,0.0014257-0.00023949i,0.00050921+0.0003468i,-0.00043353-9.4154e-06i,-0.00060006-0.0001903i,-0.0011781+0.00064065i,-0.001656+0.00055658i,-0.0011248+0.00021484i,-0.00099866+8.8316e-05i,-0.0012663+0.00031942i,-0.0018077+0.0012576i,-0.0019215+0.0013672i,-0.00069988+6.9932e-05i,0.00024293+0.00039913i,0.00043247+0.00087732i,0.00085132+0.00071294i,0.0016216+1.2438e-06i,0.00073571-0.00052052i,-0.0008143-3.7492e-05i
-0.00083977-0.00017356i,-0.0015032-0.00059697i,-0.002565-0.00089451i,-0.0030173-0.0007181i,-0.0018064+0.00036799i,-0.00018054+0.00037093i,0.00016993+1.62e-05i,-0.00028539+9.7515e-05i,-0.00092085-0.00010153i,-0.00099727+0.00028966i,-0.00037152+0.00069398i,-0.00026876+0.00029332i,-0.00047871-5.7549e-05i,-0.00015518-0.00092602i,0.0003808-0.0010457i,8.6858e-05-0.00045489i,-0.00068781-0.00050928i,-0.00051497-0.00055919i,0.00012863+6.6473e-05i,8.8081e-05+0.00058404i,0.00018899+0.00016014i,0.0003039-0.00031087i,-0.00027381-0.00064322i
-0.0011824-0.0013055i,-0.00067657+0.00045854i,-0.0013303+0.00095155i,-0.0011934+0.0015213i,0.00054581+0.0022254i,0.0015527+0.001372i,0.0012725-0.0002187i,0.0005196-0.00050377i,-0.0003159+3.2647e-05i,-0.00064396+0.00055235i,-9.5418e-05+0.00036438i,0.00064172+0.00018551i,0.00065382+0.00060644i,0.00086789+0.00023191i,0.00092352-0.00014249i,0.00027422+0.00024929i,-0.00022115+0.00015169i,-0.00023712-0.0003906i,-1.2279e-05-7.9925e-05i,0.00026371+0.00010191i,-0.00013417+2.7968e-05i,-0.00029427+0.00021655i,3.7074e-06-5.5576e-05i
-0.00086162-0.00091176i,-0.0011454-0.00011654i,-0.001003+0.0013556i,-0.00019868+0.00134i,0.0011905+0.0013065i,0.0013583+0.0018488i,0.00035129+0.0012231i,-0.00037716+0.00031592i,-0.0010129+0.00062396i,-0.0011164+0.0012565i,0.00015838+0.0015818i,0.00058988+0.00095057i,0.00051781+0.00024368i,0.00048379+0.0003389i,0.00036559+0.00024307i,0.00048739+0.00021898i,0.0008088-0.00050524i,0.0009228-0.00033835i,0.00013889+0.00039747i,-0.00040085-0.00016865i,-0.00050459-0.00016903i,-0.00039583+0.00029953i,0.00010153+0.00014817i
-0.002628-0.00076861i,-0.0019702+0.00080779i,-0.0012307+0.0019089i,-0.00032381+0.0018946i,-8.6245e-05+0.0012952i,0.00095319+1.7628e-05i,0.0014663-0.0011176i,0.00029154-0.00061792i,-0.00018019+0.00042753i,0.00041362+0.00066871i,0.00013297+0.00029111i,-0.00040993-0.00011877i,7.3168e-05-0.00066204i,0.00020077-0.00068445i,0.00034314-0.0005535i,0.0013917-0.0004645i,0.00098163-4.6109e-05i,-6.3756e-05-7.3556e-05i,-0.00025871-0.00049982i,0.00010017-0.00068975i,0.0012764-0.00024304i,0.001693+0.00059307i,0.0015357+0.00028431i
0.00040165+7.3316e-05i,0.00086719+0.00036928i,0.00047296+0.00068295i,0.00054812+0.00062494i,0.00093622+0.0002119i,0.00030448+0.00018748i,-0.00042637+0.00079696i,-0.000659+0.0011977i,-0.00096172+0.00020577i,-0.001353-0.00066476i,-0.0016793+9.5688e-05i,-0.00073699+0.00091241i,0.00021262+0.0013386i,8.9542e-05+0.00068112i,0.00010063-1.4829e-05i,-0.0006286-0.00050067i,-0.0013724-0.00095509i,-0.00087169-0.00085201i,-0.00079379+0.00018068i,-0.00096151+0.00029851i,-0.00017272-0.00020122i,8.7624e-05+0.00066018i,0.00012865+0.00048935i
-0.0020582+0.0013261i,-0.0021927+0.0010332i,-0.0016991+0.00094966i,-0.0014724+0.0012857i,-0.0010497+0.0014778i,-5.8115e-05+0.00069014i,0.00044473-0.00045986i,-0.00015818-0.00082562i,-0.00088127-0.00018434i,-0.00078874+0.00026755i,-0.00059847+0.00030783i,-0.00067746+0.00039744i,-0.00083469+0.00037451i,-0.0012464+0.0002494i,-0.00084289+0.00039747i,-0.00052165-1.7966e-05i,-0.00035195-0.00037151i,-1.841e-05-0.00048908i,-0.00012687-0.00039966i,-0.0005375-0.00030578i,4.0596e-05-0.0004426i,0.00033659-0.0007911i,-0.00046135-0.0013164i
-0.00056001+0.0018332i,0.00020025+0.0028548i,0.0015459+0.0036073i,0.0016182+0.0032858i,0.001062+0.0034239i,0.00090144+0.0021115i,0.00028319+0.00082729i,-0.00022172+0.00059259i,0.00016475+0.00029326i,0.00031912+0.00074224i,-0.00033716+0.0012176i,-0.00036337+0.00063856i,-2.2889e-05+0.00038577i,-4.897e-05+0.00026025i,-0.00033092+0.0002519i,-1.5946e-05+0.00049483i,0.00017731-0.00020517i,-0.00034048-0.00094089i,-0.00052295-0.00046011i,-0.00024776-0.00017885i,9.563e-05-4.4515e-05i,0.00017211-0.00020434i,0.00023292+9.9955e-05i
0.00028848-0.00072592i,6.0265e-06-0.00024639i,-0.0010502+0.0012203i,-0.0010906+0.0014998i,-0.00011546+0.00061158i,0.00055431-0.0001069i,0.00099053-0.00022117i,0.00069102+0.00015484i,-2.2871e-05+0.00026148i,-0.000431+0.00016162i,-0.00034532+0.00055945i,-0.00016905+0.0011753i,-0.00011323+0.0013289i,-0.00040444+0.000478i,-3.6969e-05-0.00037807i,0.00014014-0.000494i,-0.00041878+0.00018195i,-9.1244e-05+0.00078589i,0.000918+0.00045585i,0.00070096+9.5124e-06i,-0.0001539-4.9251e-05i,-0.0006659-0.00028063i,-0.00080321+0.00030385i
0.0015311+0.001411i,0.0018242+0.00017545i,0.0019217-0.00036535i,0.00069846+0.00027261i,0.00026915+0.00016319i,0.00061964-0.00026144i,0.0002183+0.00051995i,-0.00018919+0.00072311i,0.00011528+0.00044777i,-0.0004874-4.4542e-05i,-0.0011405-6.3967e-05i,-0.000742-0.00031822i,0.000246-0.00060813i,1.5198e-05+2.5737e-05i,-0.00093785+0.0004531i,-0.00048085+0.00057756i,0.00018191+0.0012945i,-0.00025205+0.0016533i,-0.00026073+0.00072579i,0.00032903+0.00036642i,0.00026848+0.00066349i,0.00046268+0.00081472i,0.00088326+0.00093451i
-0.00095056-0.00098798i,-0.00087958-0.0022043i,-0.00036511-0.0020595i,-0.00033426-0.00048878i,-0.00033362-0.00023597i,0.00037953+0.0003406i,0.00076422+0.00040774i,0.00058552-0.0002361i,0.00015941-0.00019834i,-0.00025723+7.2571e-06i,-8.8335e-06-0.0001332i,0.00016498-0.00013122i,-0.00011504-0.00037995i,-0.0010634-0.00061992i,-0.00087029-0.00069077i,-0.00046801-0.00093481i,-0.00022082-0.0011088i,0.00047595-0.0007363i,0.00065564-0.00042473i,0.0009282+0.00027461i,0.0010818+0.00028408i,0.00055382-0.0003204i,0.00028889-0.00035784i
0.0012608+0.00021648i,0.0017941+0.00068368i,0.00095359+0.00047301i,-0.00057749+0.00075251i,-0.001445+0.0014015i,-0.00068762+0.00088295i,-0.00036457-0.00019734i,-0.00044284-0.00077906i,-0.00023839-0.00045033i,5.3005e-05+0.00018739i,0.00039565+0.0007401i,5.7326e-05+0.00090665i,-0.00029426+0.0012117i,-0.0004323+0.00062562i,-0.00044901-0.00012794i,4.9299e-05-0.00046749i,0.00040367-0.00051425i,1.6518e-05+7.0253e-05i,-0.00024589-0.00026823i,0.00017561-0.00052842i,-0.00019938+0.00049689i,-0.00085458+0.0002334i,-0.00048051-7.1551e-05i
-0.0010941+0.0001631i,-0.001365+0.00037403i,-0.0014619-0.00050625i,-0.0010455+0.00063184i,-0.00021667+0.0022535i,0.00079852+0.0013561i,0.0013832+0.00012342i,0.0010892-4.7972e-05i,0.00041388-0.00069499i,4.2762e-05-0.00097252i,8.2847e-05-0.00020322i,0.00028667+0.00070862i,0.00015806+0.00072629i,-0.0005241+0.0010281i,-0.00033946+0.0015372i,0.00075379+0.00093837i,0.001304+0.00025389i,0.001374+0.00062914i,0.0011545+0.00063464i,0.00010733-0.00041633i,-0.00022891-0.00077641i,0.00029824-8.3543e-06i,-0.00025117+0.000648i
-2.0219e-05-0.00081657i,-0.00028475-0.00076865i,-0.0013418-0.00045352i,-0.00089869+0.00041514i,-0.00029432+0.0010422i,0.00065311+0.0010513i,0.0011672+0.0003747i,0.00064053+0.00010963i,0.00027583+0.0001533i,-0.0006677-0.00073846i,-0.00072374-0.00055876i,-0.00015654+0.0005716i,-0.00017182+0.0013164i,0.00055736+0.0010136i,0.00074038+0.00099342i,-0.00022045+0.00092243i,-0.00092885+0.00047796i,-0.00049604-9.2269e-05i,-1.675e-06-0.0005524i,5.7175e-05-0.00038041i,-5.8413e-05-0.00018268i,5.3777e-05-0.00040773i,0.00025719-0.00010425i
-0.0015138-0.00024097i,-0.00073844-0.00065948i,-0.0011085-0.00066788i,-0.00146+0.00018313i,-0.00076052+0.00075835i,0.00013865+0.00045207i,0.00025704-0.00078078i,-0.00017466-0.0010518i,-0.00052503+8.9073e-06i,-0.0010391-4.5907e-06i,-0.00091125-0.00060068i,0.00021576-0.00085045i,8.7892e-05-0.0011135i,0.00031151-0.0010181i,0.00036725-0.0002362i,-9.9803e-05+0.00047049i,-4.9199e-05+0.00076836i,0.00012413+0.00097659i,0.00017841+0.00051491i,-0.00013542+7.641e-05i,6.3057e-05-0.0001175i,-0.00013009-0.00039028i,-1.5113e-06-0.00037023i
0.00013682+0.00011161i,0.00023157+0.0010972i,0.00046714+0.0019914i,0.00024255+0.0021124i,-1.4623e-05+0.0013036i,0.00086267+0.0013395i,0.0011958+0.001245i,0.0010938+0.00021333i,0.00057956+0.00022279i,-0.00055361+0.00044031i,-0.00080201+0.00090089i,-1.5392e-05+0.00063497i,0.00054189+6.3282e-05i,0.00029731+0.00044235i,0.00077685+6.7469e-05i,0.00051876-0.00037248i,-0.00073963-0.00012165i,-0.00035976+0.0001121i,0.00056802+2.3176e-05i,-0.00012625-0.00029188i,-0.00086712-0.00052865i,-0.00030916-0.00023338i,0.0011048-0.00075479i
-0.00097052-0.00074583i,-0.0018845-0.00095209i,-0.0030455-0.00042263i,-0.0039396+0.00087198i,-0.0022088+0.0018845i,-0.0009189+0.0011455i,-0.0011265+0.00033243i,-0.00044659-0.00020146i,0.00032356-0.00044114i,9.4348e-05-0.00022268i,-0.00016724+0.00055123i,0.00018749+0.00030599i,0.00011544-0.00020676i,0.00024117-0.00013727i,0.0004272-0.00064933i,0.00040165-0.00072702i,-0.00029108-0.00058588i,-0.00024183-0.00074422i,0.00017703-0.00088668i,-6.675e-05-0.00083251i,0.00013635-0.0004863i,-0.00047509-0.00038959i,-0.00044834-0.00066994i
0.0014853+0.00028989i,0.0017405-0.00051937i,0.0015307-0.0012814i,0.0015408-0.001517i,0.0011181-0.0012909i,0.00053236-0.00033552i,5.2881e-05+7.2344e-05i,-0.00060711+0.00057466i,-0.0009318+0.0010778i,-0.00054307+0.00086957i,-0.00055511+0.00014271i,-0.00081154-0.00010524i,-0.0010469-0.00020794i,-0.0011212+1.147e-05i,-0.0006801+0.00076733i,-0.00026195+0.00081278i,0.0002746+0.00040325i,0.00090102+0.00019334i,0.00061574+0.00018095i,0.00012723+0.00042261i,0.00026437+1.2892e-06i,0.00022998-0.00027507i,-0.00010664+0.00024966i
-0.001956+0.0014513i,-0.00030444+0.0013559i,0.00053821+0.0023068i,0.00089107+0.0029059i,0.0012557+0.0022548i,0.00060564+0.0007482i,-0.00055409-0.00030911i,-0.0015915-8.8188e-05i,-0.0013444+1.6313e-05i,-0.00094999+7.327e-05i,-0.0010307+0.00049337i,-0.00095228-9.8984e-06i,-0.00067984-0.00023871i,-0.00020246+9.754e-05i,-0.00051933+0.00035534i,-0.0008097+0.00032673i,0.00048874-0.00028522i,0.0012129-0.00054307i,0.00065865-0.00039882i,0.00041894-5.4324e-05i,0.00042465+0.00010789i,5.6513e-05+0.00014483i,-3.4438e-05+0.00012981i
0.00076487+0.00078516i,0.0018188+0.00083218i,0.0021577+0.00040305i,0.00083181-0.00044409i,0.00030581-0.00031381i,0.00043762+0.00092577i,0.00033634+0.00032427i,-0.00024201-0.00079351i,-0.00075518-0.00070011i,-0.00079607+4.1927e-05i,-0.0011101-3.1e-05i,-0.00089181-5.6802e-05i,-0.00029654+0.00093598i,0.00037679+0.0011338i,0.00075734+0.00064935i,0.00042932+0.00049812i,-0.00083469-5.8207e-05i,-0.0011651-0.00058583i,-0.00040098-0.00055274i,0.00031432-0.0003216i,0.0002279+0.000279i,3.4333e-05+0.00072993i,0.00021448-0.00013045i
-3.0914e-07+0.0011405i,-0.00082728+0.00010657i,-0.0020145-0.00027661i,-0.0021041+3.0209e-05i,-0.001085+0.00053318i,-0.00033276+0.00034738i,0.00010037-0.00017598i,-0.00038172+0.00011851i,-0.00073762+0.0010559i,-0.00069619+0.00072732i,-0.00083394+3.1535e-06i,-0.00085411+0.0004079i,-0.00073848+0.00061419i,0.00017655+0.00063272i,0.0012192+0.00050159i,0.0017764-0.00017303i,0.0018991-0.00024926i,0.0015855+0.00026133i,0.00074146-0.0001793i,0.00053458-0.00072231i,0.0011257-0.0004721i,0.00071673-0.00042092i,0.00047806-0.0003875i
0.00067578-0.00037106i,0.0011143-0.00029788i,0.0015171-0.00026808i,0.0013713+6.9793e-05i,0.00047029-7.957e-05i,-0.00027197-0.00058797i,0.00030722-0.00134i,0.00074366-0.0017432i,4.091e-05-0.0012126i,-0.00018942-0.00075698i,0.00028389+0.00011466i,0.00013726+0.0006153i,0.00017386+0.00047252i,-0.00029789+0.00011876i,1.4758e-07-0.00028933i,0.0010126-3.9685e-05i,9.637e-05+7.9254e-05i,-0.00013718-0.00046403i,0.00022406-0.00027545i,-0.00037539-1.755e-05i,-0.00022659-0.00026153i,0.00018296-0.00027786i,0.00050738-0.00056513i
-0.0004372-0.00029789i,-0.0009997-0.00077811i,-0.00051788-0.00078242i,-0.00043624+0.00041425i,-0.00082618+0.00093953i,-0.00095684+0.001101i,-0.00054432-3.5739e-06i,-0.00054801-0.0021065i,-0.0015324-0.0025047i,-0.002436-0.0023149i,-0.001972-0.0012853i,-0.00093621+0.00060135i,-0.0011212+0.0017507i,-0.0016467+0.0020145i,-0.0011642+0.0012427i,-0.00059316+0.00014694i,0.00021293-0.00065033i,0.0014449-0.0002886i,0.0010708+0.00034754i,-0.00032514+0.00039248i,-0.0010894+0.00077173i,-0.0010212+0.00031584i,-0.00040346-0.00032652i
-0.00041142-0.00052693i,0.00049974-0.00038323i,0.00059825-0.00048961i,-7.8483e-05+0.00045008i,0.00021199+0.0019708i,0.00097691+0.0027298i,0.0014063+0.0037749i,0.0031541+0.0045893i,0.0041275+0.0036158i,0.0038029+0.0019266i,0.0033654+0.00054149i,0.0031198-0.00059329i,0.0019412-0.0013457i,0.00017604-0.0014927i,-0.00099846-0.0013434i,-0.0013185-0.001112i,-9.4116e-05+6.4179e-05i,0.0010495-2.6732e-05i,0.00093685-0.00053901i,0.00013415-0.00033899i,-0.00012801-0.00064483i,-0.00023077-0.00049639i,-0.00066648-0.00049722i
-0.00049993-0.0013744i,-0.0012484-0.0007886i,-0.0015515+0.0011591i,-0.0023314+0.0021104i,-0.0024147+0.0013633i,-0.00045039+0.0013131i,0.001275+0.001278i,0.001073+0.00086374i,0.00039272+0.0010688i,0.00078204+0.00097388i,0.000576+0.00072673i,-0.00015875+0.00028645i,0.0002014+0.00083571i,1.3525e-05+0.0010948i,-0.00029077+0.00042726i,-0.00037715+2.6161e-05i,-0.00014776-0.00029877i,0.00013204-0.00021076i,0.00080343-0.0002711i,0.0013979-1.3047e-05i,0.0015682+0.00048019i,0.0010533+0.00048062i,0.00025264-4.3843e-05i
-0.00031263-0.00078958i,-0.0013501-0.00022974i,-0.0021198+0.00044467i,-0.0018562+0.00069852i,-0.0007319+0.0021346i,-0.00014895+0.0020378i,-0.00014282+0.00056776i,0.00032192-0.00035536i,-0.00015539-0.0006147i,-0.0015669+0.00019271i,-0.0023341+0.0007548i,-0.0011071+0.0006708i,0.0005839+0.000681i,0.0013201+0.0002983i,0.0013303+0.00037584i,0.0010977+0.00091747i,0.00091531+0.00079303i,0.00060921-9.2604e-05i,0.00040013-0.00081159i,5.8523e-05-0.00049601i,-8.4397e-05-0.00012069i,3.1399e-05-4.4326e-05i,0.00066263-9.619e-06i
0.00078168-0.0016476i,0.00035476-0.0021261i,3.1461e-05-0.0014183i,-0.0012003-0.00039213i,-0.0016789+6.9176e-05i,-0.00086365+0.00075121i,-0.00015749+0.0012203i,0.00026258+0.0012838i,0.00031838+0.0014435i,-0.00038908+0.00136i,-0.00072282+0.00092705i,-0.00012296+0.00038482i,0.00078302+0.00048307i,0.00070909+0.00081149i,0.00097639+0.00095554i,0.0015772+0.00053435i,0.00096431+0.00039458i,0.00051603+0.00088667i,0.00086696+0.00040687i,0.00087345+1.2623e-05i,0.00081769-0.00040553i,0.00043584-0.00028418i,-0.00011194+0.00050312i
0.0007099+0.00057841i,9.6601e-05+0.00063279i,0.00065179+0.00059952i,0.0010801-0.00059733i,0.00042804-0.0013237i,-0.00080742+0.00023813i,-0.00087966+0.00031677i,0.00010955-0.00024921i,0.0010991+0.00040508i,0.00052828+0.00094927i,-0.00028284+0.00049096i,-0.00035719-0.00020086i,-0.00024381-0.00011145i,7.1173e-05+0.00083384i,0.00011486+0.001159i,0.00029174+0.00048778i,0.00062325+0.0004405i,0.00075695+0.00076795i,0.00023743+0.00035121i,6.1798e-05-0.00011757i,-0.00021587+0.00013822i,-0.00041808+0.00073766i,0.00036083+0.0011697i
0.00065878-0.0010616i,-0.0004374+0.00025284i,-0.0011793+0.00022197i,-0.0012965-0.00012222i,-0.00065238+0.00068756i,1.6156e-05+0.0014349i,0.00084354+0.0014627i,0.00099601+0.0011256i,0.00032766+0.00038963i,0.00041155+0.00014791i,0.000587+3.3471e-05i,7.2234e-05+0.00024331i,0.00024804+0.00094877i,0.0002391+0.0012938i,0.0001478+0.0011995i,5.1171e-05+0.00065154i,-6.9036e-05+8.1035e-05i,0.00020174+0.00062872i,0.00051587+0.0011282i,0.00089557+0.00065066i,0.0008533+0.00048909i,0.00017796+0.00025887i,-0.00028943-7.5274e-06i
-3.9179e-05+5.9918e-05i,-0.00092688+0.00070961i,-0.0012864+0.0016423i,-0.001434+0.001571i,-0.0020641+0.0014057i,-0.0011706+0.0014081i,0.00034596+0.00098787i,0.00041407+0.0011218i,-0.00019728+0.00039262i,-0.00043882-0.00099857i,-0.00034718-0.0010534i,8.5044e-05-0.0014557i,0.00035517-0.0014343i,0.00055773-0.00010953i,0.0002412+0.00074885i,-0.00038631+0.001071i,-0.00031949+0.0011041i,0.00021391+0.00097003i,0.0004411+0.00048508i,0.001038-0.00081553i,0.0011068-0.0010029i,-0.00014225-0.00029566i,-0.00043658-0.00012178i
0.00085874-0.00012516i,0.00091797-0.00061791i,0.00031587-0.0013359i,0.00047028-0.0008994i,0.00045657+2.5363e-05i,5.7102e-05+0.00065527i,-0.00078222+0.00095283i,-0.0010654+0.00097358i,-0.00028972+0.00052024i,-2.6699e-05-0.00030825i,0.0004877-0.00027949i,0.00071923-7.7131e-05i,-0.0001206+0.00026156i,-0.00072663+0.0012262i,-0.00024154+0.0015509i,0.00044883+0.0011314i,8.6563e-05+0.00070245i,-0.00069196+0.00024421i,-0.00060665-0.000142i,-0.00029031-0.0002223i,0.00019422-4.1881e-05i,0.00085339+8.6256e-05i,0.0010284-0.00015329i
-0.0023855+0.00034953i,-0.0015054+0.0007256i,-0.001161+0.0013086i,-0.00042766+0.0014052i,0.0011966+0.001512i,0.0012423+0.00113i,0.00035378-3.6879e-05i,-2.6916e-05-0.00022991i,-0.00019411+0.00036993i,-0.00038292+0.00066573i,-0.00018049-0.00013841i,0.0003611-0.00050661i,0.00052788+0.00033579i,0.00060786+0.0012225i,0.00040889+0.0011473i,0.00028+0.0006983i,0.00072087+0.00066184i,0.0010489+0.00083557i,0.00052423+1.798e-05i,7.0213e-05-0.0012408i,-0.00010085-0.00079427i,1.9464e-05+0.00030778i,-0.00018818+4.8371e-05i
-0.00062755+0.00094576i,-5.8511e-05+0.0022289i,0.00025778+0.0027178i,0.00039907+0.0021288i,0.00040766+0.0015665i,2.6896e-05+0.0008188i,0.00010038+0.00030236i,0.00067856-0.00032347i,0.00066568-0.00041554i,-9.7173e-05-0.00025423i,-4.2389e-05-0.00031791i,0.00012924-0.00014073i,-0.000482-0.00010635i,9.8915e-05+0.00017557i,0.00085658-0.0001781i,0.00052328-0.00025907i,0.00027148+0.00055438i,0.0003179+0.0013109i,0.00021574+0.0013771i,0.00038483+0.00075801i,0.00061946+0.00027325i,0.00016223+0.00020645i,-0.00022082+5.8304e-06i
0.0001965+0.00011022i,0.00092072-0.00056841i,0.00059285+0.00039514i,0.00043184+0.00011992i,0.00062212-0.00083588i,0.0001158-0.00073267i,-0.00035268-0.0005112i,-0.0003427+0.00020244i,-0.00061297+0.00060944i,-0.00090542+0.00047896i,-0.0014077+0.00062096i,-0.0010779+0.00052365i,-0.00017509+0.00037007i,-0.00031766+0.00068185i,-0.00086736+0.00053347i,-0.00083366+0.00018551i,-0.00020264-0.00064702i,0.0002083-0.00078492i,0.00034169-4.858e-05i,2.9505e-06+0.00066473i,-0.0006821+0.00020439i,-0.0004171-0.00050704i,0.00061818-0.00071128i
