0.001665+0.00073357i,0.0020799+0.00012705i,0.0010581-0.00079585i,-6.5368e-05-0.00086965i,-0.00038328+0.00010791i,-0.00082328+0.0023314i,-0.00092595+0.0028246i,0.00041973+0.0020401i,0.0019249+0.0015266i,0.0019288+0.00071968i,0.00057728-0.00033254i,-0.00068121-0.0010037i,-0.00079786-0.00066312i,-0.00068007-0.00053308i,-0.00062257-0.00076677i,-0.00048988-0.0004992i,-0.00035233+0.00010605i,-0.00047784+0.00024551i,-0.00013477+0.00078666i,7.9279e-05+0.00086364i,0.00011244+9.7005e-05i,9.2204e-05-0.00048424i,0.00017053-0.00068899i
0.0020698+0.00020666i,0.0030957+0.00076455i,0.0010048+0.0010468i,-0.0012127+0.00055863i,-0.00098882+0.0018648i,-0.00027558+0.0026633i,0.00030744+0.00086846i,0.00040925-0.00048385i,0.0004102-0.00065404i,0.00029796-0.00012679i,-0.00041471+0.0003795i,0.00013711+0.00084453i,0.00068541+0.0002836i,8.7049e-06-0.00045698i,-1.0432e-05-0.00030542i,0.00027728-0.00017421i,-0.00027687-0.00044497i,-0.00076704-0.00032239i,-0.00093141+0.00010925i,-0.0002965+0.00074398i,0.00030664+0.00084936i,4.3922e-06+0.00019332i,-0.00010644-7.1826e-06i
-0.00033591-0.00043367i,0.000399-0.0010527i,-0.0004106-0.0015553i,-0.0010772-0.00040626i,-0.00017714+0.001057i,0.00072401+0.0014318i,0.00063596+0.0011718i,0.00063226+0.00037644i,0.00014962+0.00037294i,-0.00078438+0.0002198i,-0.00098044-0.00027455i,-0.00012061+0.00015902i,0.00098664+0.00021087i,0.00081518+1.0781e-05i,0.00022117+7.3533e-05i,-0.00038677-0.00024641i,-0.00019508-0.00023941i,0.00010344+0.00029821i,2.36e-05-0.00023233i,-5.8543e-05-0.00070989i,-0.00023154-6.5052e-05i,9.3056e-05+0.00038973i,6.9127e-05+0.00041482i
0.0011664+0.0022141i,0.0015048+0.0014556i,0.0011647+0.00042536i,0.0013503+0.00074622i,0.0013404+0.0016823i,-0.00018659+0.0010738i,-0.0010835+7.5218e-05i,-0.00058519-0.00033373i,-0.00054776-0.00013067i,-0.00093595-0.00013826i,-0.00062866-0.00023256i,0.00029008+0.00038356i,0.00049608-0.00015142i,0.00031411-0.0010338i,8.0142e-05-0.0003673i,0.00043748+0.00027085i,0.00083031+0.00038508i,0.00028293+0.0010094i,-0.00026102+0.001501i,-0.00034267+0.0010449i,0.00041294+0.0006151i,0.00071661-7.2834e-05i,0.00013569-0.00080941i
0.0028917+0.00044328i,0.0039639+0.0010542i,0.0026028+0.0010347i,0.00072329+0.00058669i,-0.00042949+0.00063873i,-0.00085362+0.00059123i,-0.00072084+0.00052805i,-0.00055175-0.00030005i,-0.00097802-0.00040357i,-0.00078061+9.5356e-05i,-0.00029097+2.8702e-05i,0.00021033+0.00036041i,0.0007981-0.00017779i,0.00028027-0.00080212i,-0.0002292-0.00051123i,-2.1039e-05-0.00062285i,0.00011448-0.00096278i,-3.177e-05-0.00044131i,-0.00048516+0.00046693i,-0.00080331+0.00085725i,-0.00037688+0.00067472i,7.6244e-06+0.00022932i,-0.0001228-4.3676e-05i
0.0014061+0.00046003i,0.0019408+0.0015637i,0.00021633+0.0017098i,-0.0020213+0.00092064i,-0.0022204+0.00082136i,-0.0010462+0.0019301i,0.00010251+0.0023887i,0.00054623+0.0011393i,0.0002908+0.0001422i,-0.00056515-0.00016508i,-0.00097311-0.00041083i,-0.00086437+4.4885e-05i,-0.0002797-9.6632e-06i,0.00050109-0.00046455i,0.00048404-0.00057218i,-0.00029285-6.8679e-05i,-0.00040181+0.00072975i,-2.3976e-05+0.00060888i,-9.2966e-05+0.00034312i,0.00013157+0.00027332i,-0.00011609-0.00025238i,-0.00061535-0.00043888i,0.00011867-0.00029957i
0.0014763+0.0010806i,0.0010322+0.0014759i,0.00036578+0.00050871i,0.00020091-0.00064597i,0.00025075-0.00079236i,0.00052541-0.00016003i,0.00056539+0.0005207i,0.0006493+0.00027472i,0.00073228-0.0003324i,0.00044517-0.00089256i,0.0001739-0.00049417i,0.00016752+9.4868e-05i,-0.00069461-0.0001538i,-0.00072725-0.00051254i,4.4631e-05-0.00054325i,-0.00047076-0.00025042i,-0.00087392-0.00040514i,-0.00095129-0.00026879i,-0.00052576+0.00043796i,0.0010057+0.00067757i,0.0012908+0.00030609i,0.00046501-0.0004783i,0.00060425-2.1693e-05i
-0.00033863+0.0021934i,-0.00020875+0.00070389i,-0.0004309+0.00048546i,-0.00084074+0.0011928i,-0.0003739+0.0018139i,-0.00050124+0.0019886i,-0.00069092+0.00089294i,0.00018996-0.00022935i,0.00026598+0.00027604i,-0.00024888+0.00086964i,-4.7992e-05-8.6939e-05i,0.000209-0.0011403i,0.00056147-0.00093749i,2.2948e-05-0.00049174i,-0.00025153-0.00016451i,0.00031581-0.0005127i,0.00035543-0.0013157i,0.00015221-0.00074558i,-0.00011599+0.00065981i,0.00050716+0.0009799i,0.00037098+0.00062346i,-0.00053428+0.00034145i,-0.00051272-0.00017764i
0.0019114+0.0012519i,0.0022666+0.00078273i,0.0021414+0.00025267i,0.00090622-8.3125e-05i,0.00031627+0.00033175i,-0.0008512+0.001036i,-0.0015149+0.0009603i,-0.0011194+0.00052853i,-0.00030693-0.00012207i,0.00018635-0.00021601i,-0.00019806+0.00062572i,-0.00064088+0.00022592i,-0.00057323-0.00013683i,-0.00034055-0.00036017i,0.00017116-0.00047053i,0.00049532+0.0001737i,0.00062159+0.0005647i,-0.00030628+0.00055847i,-0.0013887+0.0006374i,-0.0010837+0.0011513i,-0.0006767+0.00091815i,-0.00032724+0.00058845i,0.00013555+0.00050093i
0.002149+0.00052718i,0.0017376-0.00067751i,0.00053184-0.00056503i,-0.00029733+0.000979i,-0.00013566+0.0021263i,-0.00019077+0.0019402i,-0.00055197+0.0014627i,-0.00053118+0.000899i,-0.00068377-4.0729e-05i,-8.1207e-05-0.00029752i,9.7608e-05-0.00067397i,0.00032417-0.00081981i,0.0013587-0.00055221i,0.0010208-0.00098991i,-0.00016234-0.00088853i,-0.00078513+0.0002826i,-0.00099406+0.00079741i,-0.00071903+0.00011375i,-0.00023108-0.0005042i,0.00042909+0.00021039i,0.00058989+0.00085964i,0.00025265+0.00081995i,4.5028e-05+0.00041957i
0.0028605+0.0022715i,0.0024612+0.0013579i,0.0012593+0.0015858i,-0.00042246+0.0022425i,-0.00081647+0.0021214i,0.00017213+0.0012118i,0.00016184+0.00063826i,-0.00041158+0.0010164i,-0.00093328+0.00025118i,-0.0011227-0.00030321i,-0.00076993-5.9803e-05i,-1.7347e-05+6.1781e-05i,-5.445e-05-3.0548e-05i,-8.1986e-05-7.3937e-05i,0.00036374-0.00028024i,0.00045823-0.00075436i,0.00067355-0.00054078i,0.00064474-5.1319e-07i,0.00012039+0.00048334i,-0.00029056+0.00055344i,0.00015477+0.00032014i,0.00080174-2.8899e-05i,0.00077618-0.00024173i
-0.00059554+0.0022421i,0.00042929+0.0024258i,-0.0013939+0.0019663i,-0.0025479+0.00091183i,-0.001738+0.00081204i,-0.00036742+0.00060074i,0.00034424+0.00010677i,0.00048491+0.00056385i,0.00048779+0.0012834i,0.0006866+0.0014122i,0.00084116+0.00075768i,0.00068388-0.00026264i,0.0006616-0.00077467i,0.00027103-0.00013356i,0.00018541+0.00052486i,0.00028062+0.00021975i,-5.4892e-05-0.00040301i,-0.00046101-0.00047887i,-0.0005637-0.00029261i,-4.1338e-05-0.00013785i,0.00028982-0.00025686i,-0.00052607-0.00026662i,-0.00095064-9.279e-05i
0.00052234-0.00086574i,0.00061275-0.00058498i,0.00055083+0.00034901i,-0.00029274+0.00068549i,-0.0011672+0.0011245i,-0.00095492+0.0012987i,0.00034506+0.00079714i,0.00039224+0.0007348i,-0.0011144+0.00088824i,-0.0010191-9.6351e-05i,0.00044875-0.00071637i,0.00081724-0.00072439i,-0.0001145-0.0001572i,-0.00021395+3.7421e-05i,0.00054359-6.557e-05i,0.00031188+8.1731e-05i,-0.00044558+0.00025089i,0.00031041+6.2365e-05i,0.00065899+9.5363e-05i,0.00045659-6.5664e-05i,0.00057927-0.00014292i,0.00016088+0.00045197i,-0.00073068+0.00061439i
0.0012982+0.0018101i,0.0013661+0.0011119i,0.0013945+0.001621i,0.0014708+0.0022206i,0.00083398+0.002618i,-2.6603e-05+0.0015863i,-0.00025744+0.00058016i,0.0008076+0.00083932i,0.0013573+0.00030673i,0.0013609-0.00040092i,0.00094069-0.00039599i,-0.00033285-0.00050201i,-0.00058655-0.00033676i,7.9002e-06+0.00050287i,0.00029526+0.00108i,0.00027005+0.0010129i,0.00044308+0.00052626i,-0.0001256+0.00085792i,-0.00061097+0.0011772i,-0.00012759+0.00059818i,0.00018721+1.1707e-05i,-5.7882e-05-3.9972e-05i,-0.00051826-0.00054616i
0.0010149+0.00067096i,0.00091333+0.00031157i,0.00054897-0.00060543i,-0.00065798-6.3367e-05i,-0.0012244+0.00082544i,-0.0010517+0.00066064i,-0.00055967+0.00038551i,-0.00018954+0.00045141i,0.00033409-0.00021197i,-9.1901e-05+6.2436e-06i,-0.00049446+0.00046055i,0.00083946+0.00051544i,0.0012447-0.00012601i,0.00027695-0.00044115i,0.00019487-0.00076134i,0.0001194-0.00093824i,-0.00051245-0.00047933i,-0.00061814-0.00013399i,-0.00057521+0.00025969i,-0.00046246+0.00023121i,-0.00036177-0.00072972i,-0.00021734-0.0014298i,-6.6824e-05-0.00042355i
0.0019255+0.0010109i,0.0019129+0.00023678i,0.0015953-0.0011764i,0.0012821-0.0011356i,0.00014818+0.00017253i,-0.0013775+0.0014912i,-0.0014376+0.00091591i,-0.00027498+2.4149e-05i,1.9627e-05-3.8134e-05i,-0.0002248-0.00024235i,-0.00022688-1.6554e-05i,0.0004252+0.00065322i,0.00066659+0.00041521i,0.00048873-0.00086206i,0.00076216-0.0016609i,0.00096355-0.00038953i,0.00077604+0.00069093i,0.00043001+0.00016819i,0.00025574+0.00022608i,0.0002927+0.00040208i,0.00018296+0.00038111i,0.00049227+0.00017461i,-2.7053e-05-0.00042978i
0.00050792+0.0017694i,0.0008745+0.0016576i,0.00040075+0.0018281i,4.3986e-05+0.0035379i,0.00040531+0.0040958i,0.00030679+0.0032994i,0.00012326+0.0019273i,0.00055065+0.00073948i,-0.00024692+0.00090211i,-0.00037755+0.00072596i,0.00019102+0.00011956i,1.6608e-05+2.5062e-06i,8.2506e-05-0.00023506i,-4.7385e-05-0.00024355i,-0.00015005-0.00058913i,0.00040288-0.00092585i,0.00072689-0.00052153i,0.00055593-0.00015418i,0.00023628+1.2636e-06i,0.00044442+0.00030821i,0.00016599+0.0011i,0.0002545+0.0009574i,0.00082385+0.00042857i
-0.00048646-0.00090095i,0.00059837-0.00075593i,-0.00082926+0.00054213i,-0.0017175+0.0011255i,-0.0013239+0.001766i,-0.00086606+0.0020395i,-0.00028136+0.0010427i,-0.00049948+0.00031126i,-0.00050518+1.2082e-05i,-0.00045585-0.00052376i,-5.6877e-05-0.00070389i,0.00014855-0.00022663i,0.00067123+0.00060682i,0.0010145+0.00031644i,0.00010059-0.00050502i,-0.00087193-0.00083739i,-0.001438-0.0011685i,-0.0014106-0.00072361i,-0.0010861+0.0005991i,-0.0010492+0.00068836i,-0.00062135+0.00012619i,-0.00014188+0.00032235i,0.00044859+0.00094055i
0.0015176+0.0026437i,0.00084199+0.0011011i,0.00020842+0.00016158i,0.00036522+0.0002255i,0.0005309+0.00013664i,0.00017914-0.00043481i,-0.00065176-0.00032725i,-0.00093425-0.00055868i,0.00029474-0.00022038i,0.00062705+0.00031745i,0.00032003+0.00051988i,0.00018604+0.0011158i,-0.0001289+0.00141i,0.00027169+0.00058779i,0.0012906-0.00037358i,0.0014623+0.00037746i,0.00031203+0.00060987i,-0.00045672+0.00027245i,-0.00055096+0.00057833i,-0.00024829+0.00099402i,0.00037742+0.00056628i,0.00028664+0.00015257i,-3.7743e-05-0.00028336i
0.00062147+0.002606i,-5.7628e-05+0.00019898i,-0.00020991-0.00058482i,0.00030965+0.001597i,-0.00024425+0.0026288i,-0.0012939+0.0013178i,-0.00062297+0.00089314i,0.00022659+0.00080573i,-6.6566e-05+0.00036856i,-0.00058667-0.00039697i,2.0769e-05-0.0010286i,0.00033523-0.00043783i,-4.1318e-05-0.00040428i,0.00034827-0.00055942i,3.0831e-05+8.1e-05i,-0.0003064+0.00071865i,-0.00028002+0.0005369i,-0.00032975-0.00072348i,6.7994e-05-0.00052308i,0.00036647+0.00054769i,0.00021896+0.00091237i,-0.00012113+0.00094687i,6.7846e-05+0.00039599i
0.00051254+0.0015693i,0.0014575+0.000357i,0.0013231+3.4209e-05i,0.00017944+0.00025361i,-8.4371e-05+0.00070689i,0.00029097+0.00060429i,-3.1591e-06+0.00059668i,0.00062982+0.00073518i,0.00087795+0.00036798i,-9.857e-05+0.00011585i,-0.00031314-0.00089697i,3.1022e-05-0.0013206i,-0.00046714-0.00080972i,-0.00073167-0.00081101i,-0.00044173-0.00052125i,-0.00071723+0.0001078i,-0.00098044+0.00017307i,-0.00070212-0.00017412i,-0.00048391+7.9591e-05i,-0.00049691+0.00053756i,-0.00036478+0.00028072i,-0.00055938-0.00023122i,-0.00094169-0.0003052i
0.0011622+0.001776i,0.0016943+0.0013083i,0.001082+0.0011299i,-3.4923e-05+0.0010317i,0.00010733+0.00075765i,1.2595e-05+0.00060826i,-0.00061456+0.0008191i,-0.00047193+0.00079004i,0.00041933+0.00083682i,0.00065514+0.00050007i,3.3881e-05-0.00050819i,-0.00016373-0.0014097i,-0.00042949-0.0018238i,-0.00060634-0.00073186i,-1.2007e-05+0.0002912i,0.0016806-5.9574e-05i,0.0016776+0.00033504i,0.00034524+0.00079852i,-0.00010914+0.0003458i,0.00036813-3.1803e-05i,0.00060791+7.2844e-05i,0.00033094-9.21e-05i,0.0003094+0.00026385i
-5.4278e-05+0.0019696i,0.00010786+0.0019735i,0.0010928+0.0021333i,0.00060034+0.00061362i,0.00054637-5.2821e-06i,-7.6096e-05-3.6467e-05i,-0.0006931+0.00018257i,-0.00060003+0.00060715i,-0.00067734+0.00050149i,0.00028874+6.689e-05i,0.00098691-9.3951e-05i,9.1086e-05-0.0002014i,-0.00036424-0.00089185i,-8.393e-05-0.0013019i,0.00033988-0.00057604i,0.00085419-7.5805e-05i,0.0013069-0.00028408i,0.00034841-0.00040433i,-0.00073583-0.00046422i,-0.00017088-0.00013368i,0.00087104-0.00064294i,0.00091154-0.00080437i,0.00048606+0.0004347i
0.00032731+0.0022263i,-0.0007284+0.0014623i,-0.00061571+0.00017349i,-0.00048144-3.0142e-05i,-0.0005221+0.00025091i,-0.00032266+0.00013433i,-0.00024739+0.00041733i,-0.00037129+0.00070871i,-3.4671e-06+0.00017864i,0.00093943-0.001067i,0.0013798-0.00099683i,0.00073611+0.00040995i,-0.00019323+0.00080391i,-0.00021579+0.00048666i,0.00039715+0.00049562i,0.00043417+0.0010274i,0.00034086+0.0011319i,-0.00034556+0.00032943i,-0.00072998-0.00050242i,-0.00060133-0.00066682i,-0.00060451+4.9302e-06i,-0.00036997+0.00044413i,-0.00064158+0.00066553i
0.001748+0.00010456i,0.001671+8.7912e-05i,0.00047447-0.00089623i,0.0009336-8.3697e-05i,0.0010842+0.0017095i,0.00012617+0.0018281i,-0.0008453+0.0020529i,-0.00054531+0.0022065i,0.00037844+0.0011968i,4.7789e-05+0.00018085i,-0.00041655-0.00040773i,0.00038455-0.00045587i,0.00082148-0.00036296i,0.00027198+0.00012137i,0.00020903+0.00071209i,0.00067172+0.00057944i,0.0002893+0.00051945i,0.00020191+0.00079019i,0.00073471+0.00098166i,0.0005702+0.0011939i,0.00010022+0.00039228i,-0.00034563+9.4232e-05i,-0.00061445+0.00049117i
-0.00018434+0.0016825i,0.00098028+0.0012097i,0.001149+0.0012255i,0.00019043+0.0018046i,0.00026953+0.0025695i,0.0011701+0.0015372i,0.0012231+0.00034872i,0.00029959+0.00052942i,-0.00075164+0.00081735i,-0.00070302+0.0011087i,0.00018216+0.00054208i,0.00062791-0.00098904i,0.00080394-0.0011483i,0.00063612-0.0001813i,-0.00018703-0.00066507i,-5.3656e-05-0.0013512i,1.8579e-05-0.00065031i,-0.00035997+0.00019404i,-0.0005722+0.0007376i,-9.5099e-05+0.00071568i,0.00028319+0.00051167i,9.3666e-05+0.00030516i,0.00028656-0.0001145i
0.00019746+0.00027127i,0.0012393+0.00020374i,-3.2325e-06-0.00088389i,-0.0015662-0.00055769i,-0.0016844+0.0012247i,-0.00025379+0.0013522i,0.0004129+0.0006062i,9.9141e-07+0.00023191i,-0.00040848+0.00031523i,-0.0005819+0.00061227i,-0.00011135-4.5978e-05i,0.0010174-0.00018581i,0.00078141+0.00014845i,-0.00034814-0.00029586i,-9.3922e-05+9.3623e-05i,0.0003658+0.00012036i,0.00030084-0.00051291i,1.6811e-05-0.00057879i,-0.00037751-0.00069312i,-0.00060434-0.0006596i,-0.00014996-0.0010319i,0.00015967-0.00094172i,-4.1104e-05+0.00027539i
0.0021082+0.0017826i,0.0012715+0.0015259i,0.0010249+0.0004994i,0.00041215-0.0007091i,-0.00042381-3.702e-05i,-0.00085937+0.0011896i,-0.00050253+0.0013782i,0.00039695+0.0013115i,0.00051412+0.00063218i,0.00053848-0.00060549i,0.00056642-0.00043401i,0.00078886-0.00050731i,0.00097772-0.00016652i,0.00031793-0.00020934i,-0.00075987-0.00044202i,-0.00094976+0.00018469i,-0.00047268+0.00046417i,-0.0014212+0.00016571i,-0.001787-0.00027018i,-0.0013681+4.6236e-05i,-0.00096056+0.00036239i,-0.00025599+0.00049466i,0.00025947+0.00053489i
0.0023391+0.00051137i,0.0022288+0.0013963i,0.0016973+0.00036743i,0.00049287+0.00054106i,-0.00032983+0.0007218i,-0.0011497+0.00078186i,-0.0012321+0.0011553i,-0.0003586+0.00043483i,-5.4256e-05-0.00046359i,-0.00032352-0.0009357i,-0.00043759-0.00086961i,-0.0005143-0.00058144i,-0.00069624-0.0001993i,-0.00041698+0.000398i,0.00016989+0.00056763i,0.00045067+0.00016369i,0.00033928-0.00053618i,-0.00022263-0.0011184i,-0.00083482-0.00094497i,-7.9633e-05-0.00043748i,0.00078452-7.796e-05i,-0.00056708+0.00035562i,-0.0012005+0.00028004i
0.0013434+0.00086965i,0.0017547+0.00060974i,0.00098747+5.2311e-05i,-0.00018963-0.00039335i,-0.0013376-0.00029716i,-0.0011247-7.9251e-05i,-0.00037932+0.00045442i,0.00057845+0.001321i,0.0012543+0.0011417i,0.00039689+5.3945e-05i,5.2848e-05+0.00023032i,0.0002078+0.00069656i,-0.00021971+0.00036772i,0.00010244+0.00062065i,0.00063791+0.0002786i,0.00037708-0.00086285i,-0.00040271-0.0012918i,-0.0004931-0.00039049i,-0.00029405+0.00069364i,-0.00066401+0.0002108i,-0.00033999-0.00041263i,-0.00029151-0.0013302i,-0.0012747-0.001295i
0.0012197-0.00076139i,0.001262+0.00047334i,-0.00036892+0.0018388i,-0.0011324+0.0024995i,-0.0006431+0.0027521i,-0.00066633+0.0021712i,-0.00021165+0.00044414i,0.00041263+0.00013625i,-0.00012938+0.00047344i,-0.00033716+0.00040315i,0.00023719+0.00012902i,0.00037675-0.00037508i,-1.6843e-05-0.00074826i,0.00021806-0.00023814i,0.00034514+0.00025905i,0.00033464+0.00036011i,0.00039403+0.00082186i,-0.0001827+0.0015244i,-0.00015347+0.0012299i,-0.00015073+5.4107e-05i,-0.00049564-0.00048337i,6.2734e-05-0.00039335i,0.00039027+0.00048217i
0.0012591+0.001092i,0.0002783+0.0014673i,-0.0008469+0.00049742i,-0.0012431+0.00041777i,-0.0017196+0.0020306i,-0.0015358+0.0024571i,-0.00018366+0.0012546i,-0.00015934+0.00026171i,-0.0004229+0.00042836i,-2.2171e-06+3.2868e-05i,0.00011082-0.00069795i,0.0004591+0.00018338i,0.00093135+0.0010356i,0.0010446+0.00057252i,0.00056851+0.00024622i,0.00070229+0.00032438i,0.00081768+5.7399e-05i,-0.00030468-6.9469e-05i,-0.00080068+0.00032938i,-0.00055405+0.00091568i,-0.00021701+0.0010243i,0.00060234+0.00059161i,0.00078422+0.00030871i
-0.0001849+0.002159i,0.00012594+0.000488i,0.0010345-0.00042927i,0.0013444+0.00044712i,0.0012748+0.0002529i,0.00074386-0.00086367i,1.6003e-05-0.00072376i,0.00013555-3.0491e-05i,0.00057123-3.8259e-05i,0.0008878+0.00031952i,-0.0001648+0.00092658i,-0.0010667+0.00019817i,-0.00045932-0.0002881i,-0.00013364+0.00045346i,-0.00031057+0.00014265i,-8.683e-05-0.00020566i,0.00011445-5.6976e-05i,-0.00031231-0.00028765i,-0.000666-0.00046843i,-0.00031788-0.00036445i,2.4163e-05+8.1876e-05i,0.00024726+4.5623e-05i,-0.00020329+0.00041501i
0.0014006+0.0024686i,0.001909+0.0013981i,0.0018422+0.0010519i,0.0017112+0.0013891i,0.0010313+0.0010277i,0.0002114+0.00061203i,-0.00060384+0.00045864i,-0.00058121-0.00033144i,-0.00061-0.00071995i,-0.00077523-0.00072728i,-0.00024888-0.00027936i,-0.00040062+0.00053422i,-0.00051598+0.00019768i,0.00050799-4.4239e-05i,0.0015106+0.00048268i,0.0013359+0.00041775i,0.00046398-0.00044043i,-0.00059953-0.00052096i,-0.0010322+0.0001604i,-0.00026099+0.00020813i,0.00070515+0.00057439i,0.00068774+0.0012072i,0.00069032+0.0011477i
0.0011349+0.00076592i,0.0012903+0.0010201i,-0.00066173+0.0018571i,-0.0021202+0.0028653i,-0.0018382+0.002424i,-0.00065241+0.0020046i,0.00038951+0.0019033i,0.00058342+0.0012754i,-9.4525e-05+0.00095451i,-0.00077267+0.00076587i,-0.00084945+0.00053951i,-0.0011084+3.7484e-05i,-0.00029187+0.00022824i,0.00062916+0.00075196i,0.00025652+0.00058314i,-0.00017944+0.00041009i,-0.00032073-0.00016584i,-0.00066495-0.00024701i,-0.0012306-4.0254e-05i,-0.0012195-0.00012828i,-0.00051371+0.00014346i,0.00010928+0.00049477i,-0.00022427+0.0003754i
0.0011234+0.0021663i,0.0017556+0.00045553i,0.0011007-0.0010396i,0.00023921-0.0021597i,0.0005034-0.0016029i,7.1025e-05+0.00014665i,-0.00066686+0.00047504i,2.2127e-05+5.2303e-05i,0.00090132+0.00041606i,0.00063628-1.899e-05i,0.00041547-0.00076449i,5.0521e-05-0.00018528i,-0.00060526+0.00037089i,-0.0003567+0.00032285i,3.3489e-05+0.00070025i,-3.4165e-05-2.1664e-05i,-0.00032499-0.0015112i,-0.00055394-0.0013043i,-0.00068301-0.0008332i,-0.00052991-0.00036489i,-3.2444e-06+0.00051567i,9.98e-06+0.00046541i,-0.00090076+7.3729e-05i
0.0026941+0.00081405i,0.0025242+0.002024i,0.0012461+0.0017198i,0.00092984+0.0014856i,-2.7499e-05+0.0016485i,-0.0016428+0.0014151i,-0.0014988+0.0016634i,-8.9644e-05+0.0017097i,0.00023756+0.00066576i,-3.3801e-05-3.5844e-05i,-0.0005057-0.00015368i,-0.00089628-0.00076425i,-4.8927e-05-0.000142i,0.00041444+0.00010575i,0.0001703-0.00084764i,0.00041346-0.00088189i,0.00073598+7.4527e-05i,0.00038712+0.00064137i,-4.6278e-05-8.2851e-05i,0.00028853-0.00041839i,0.00075343+3.5006e-05i,0.00070105+0.00080023i,-2.5197e-05+0.001151i
0.0022136+0.0012855i,0.0025074+0.0015998i,0.0027958+0.00096563i,0.0016454+0.001396i,-3.0854e-05+0.0010732i,-9.9731e-06-0.00033212i,0.00065551-0.00083894i,0.00098029-0.00064095i,0.0012577+7.3525e-05i,0.0013736+0.00052623i,0.00082459-4.1657e-05i,0.00019611-0.00061266i,-0.00019336-0.00054776i,0.00040305-0.0001179i,0.0012394+0.00042642i,0.0012422+0.00051399i,0.00023704-0.00018907i,-0.00080345-0.00042563i,-0.00072706+9.4051e-05i,-0.00056121+0.00026575i,-0.00048283-8.799e-06i,-0.00024303-0.00044504i,0.00040125-0.00074925i
0.0028105+0.00021524i,0.0011941+0.0012375i,-0.0014793-0.00010654i,-0.0023811-0.00095822i,-0.0016496-0.0002768i,-0.00085276+0.00097779i,-0.00027905+0.0013314i,-4.9536e-05+0.00031535i,6.3664e-05-0.00065301i,0.00017982-0.00081582i,0.00010147-3.2059e-05i,4.0047e-05+0.0009565i,0.00021474+0.0004931i,0.00054251-0.00050787i,0.00051864-0.00012199i,-0.0001209+0.00065257i,-0.00077549+9.2366e-05i,-0.00069676-0.00062051i,-0.0008346-0.00038647i,-0.0012011+0.00045464i,-0.00095844+0.0007247i,-0.00029494+0.00039553i,-0.00028981+0.0011713i
0.00094297+0.0014165i,0.0019575+0.0013405i,0.0024749+0.00065768i,0.0013653+0.0005916i,0.00050823+0.00058276i,4.8575e-05-3.9107e-05i,-0.00024819+9.2032e-05i,-0.0001378+0.00032747i,-0.00042348-1.851e-05i,0.0002207-0.00030152i,0.00052348+0.00022582i,-2.4802e-06+0.00088219i,0.00028436+0.00054196i,0.00089048-0.00029869i,0.00066161-0.00096511i,-0.00016904-0.0011359i,-0.0006528-0.00052773i,-0.00063836+0.00018723i,-0.00029729+7.7798e-05i,5.6223e-05-0.00012174i,-0.00015336-0.00012917i,-0.00044035-2.5536e-05i,-0.00042056-0.0002132i
0.0012215+0.0019306i,0.00033387+0.0032641i,-0.00010988+0.0020515i,7.5503e-05+0.00070283i,0.00039904+0.00097824i,0.00054781+0.00095619i,0.00069248+0.00052637i,0.00033717+0.00054677i,0.00017736+0.00041307i,-0.0001747+4.6096e-05i,-4.4959e-06+0.00025118i,0.00082527+0.00049679i,0.00032171-5.7265e-05i,-0.00021805-0.00088629i,0.00054898-0.00095604i,0.0010927-0.00039063i,0.00084791-0.00027741i,0.00020097-1.4379e-05i,-0.00023639+0.00026596i,0.00020796+0.00016436i,0.00063412+0.00016932i,0.0001243-0.00045274i,-0.00048871-0.00057225i
0.00053327+0.0018885i,0.00053548+0.0017547i,-4.7363e-05+0.0011927i,-0.00061517+0.0012719i,-0.00053667+0.0012295i,-0.00083722+0.00031661i,-0.00088213-0.0004788i,0.00011947+3.2183e-05i,0.00012742+0.00080212i,0.0001974+0.0013433i,0.00065516+0.0016403i,0.0013427+0.00056488i,0.0017196-0.00020743i,0.00072086+0.00035445i,-6.8757e-05+0.00084001i,8.6268e-05+0.0006339i,0.00019455-0.00022256i,0.00035515-0.00077916i,0.0004348+8.6618e-05i,0.00065582+0.00082306i,0.00013176+0.00067495i,-0.00051657+0.00019015i,-0.00030561+0.00038354i
0.00015082+0.0028511i,0.00088697+0.0019687i,0.00046844-0.00063221i,-0.00025566-0.00065463i,-0.00024397+0.00013089i,0.00022583+0.00042596i,0.00061103+0.00091871i,0.00058318+0.0013132i,0.00072147+0.0011022i,0.00086182+0.00098588i,9.7159e-05+0.00059371i,0.00014229-0.00053466i,-1.8435e-06-0.0010675i,-0.0003522-0.001099i,-0.00010237-0.00081444i,8.1714e-05-0.00037276i,3.1842e-05+5.6182e-05i,6.1345e-05+0.00018622i,-8.38e-05-0.00046236i,-0.00036942-0.00074765i,-0.00038924-0.00048775i,-3.1447e-05-0.00022101i,0.00031708+0.00048154i
