0.00017928+0.00037833i,0.00041684+0.00060255i,6.3461e-05-0.00094035i,0.00027105-0.0005548i,0.00041935+0.00085325i,0.00073309+0.0014758i,0.00078008+0.0010316i,0.00018517+0.00017386i,-0.00067808-7.0372e-06i,-0.00087225+0.00021832i,-0.0005529-0.00026518i,-0.00036769-0.00018748i,0.00020509-4.9284e-05i,1.0518e-05-0.00052935i,-0.0002219-0.00082202i,0.00029764-0.0012179i,0.00017373-0.0012233i,8.0359e-05-0.00080414i,0.00078624-0.00094766i,0.00048243-0.00098711i,-5.3715e-05-0.00051964i,-0.00040305-0.00038286i,0.00022788-0.00029243i
0.00026243+0.0018221i,-0.00046475+0.0013515i,0.00013149+0.00068037i,0.00062902+0.0003703i,0.00038998+0.00024391i,0.00075612-0.00021948i,0.0013608-0.00073008i,0.0010151-0.00044872i,5.6463e-05-0.0001331i,-0.00029766+7.4251e-05i,-0.00078706-0.00010961i,-0.00084024+0.0002342i,0.00014745+0.0009528i,0.00034738+0.00053665i,1.0266e-05+0.00043387i,-0.00023105+0.00094771i,-3.3535e-05+0.00092813i,-0.00023742+0.00035364i,-0.00066022+0.00025879i,0.00018465+0.00044068i,0.00073192+0.0003526i,0.00047123+0.00052518i,0.00027738+0.00038276i
-0.0019922-0.0034503i,-0.0026021-0.0042188i,-0.0010132-0.0036696i,-0.00040815-0.0014788i,-0.00042919-0.00047299i,0.0002073-0.0010408i,0.00044922-0.0013545i,0.00027717-0.00061399i,-0.00078277+0.00044977i,-0.0011271+0.0010974i,-0.00034967+0.0011445i,0.00019144+0.00022376i,0.00035262-0.0011647i,0.00088217-0.0008171i,0.00067574-0.00018598i,0.00026849-0.00047691i,3.764e-05-0.00024307i,-0.00046722+0.0003979i,-0.00093767+0.00039534i,-0.0011466+0.00020913i,-0.00084213+0.00026707i,-0.00093144+0.00097142i,-0.0011536+0.00059731i
0.0013119+0.0014919i,0.0029969+0.0023292i,0.0039286+0.0019129i,0.0028378+0.00087077i,0.0017434-2.7435e-05i,0.0020933-0.00088933i,0.0013799-0.00082358i,-0.00048215+0.00022728i,-0.0012666+0.00072096i,-0.00051578+0.0010198i,0.00020332+0.00057285i,6.1814e-05-2.7971e-05i,-0.00050832+0.00019732i,-0.00079218+0.00047105i,-0.00074849+1.9568e-05i,-0.00055077-0.0001411i,-0.00027957+0.00035369i,0.00025373+0.00017362i,0.00033368-0.00022972i,-8.8017e-05+0.00023211i,-0.00042867+0.00051281i,-0.00026987+0.00048991i,-0.00029124+0.00017546i
-0.0015733+0.00055605i,-0.0013087+0.00056648i,-0.0013279+0.0014772i,-0.0012904+0.0013896i,-0.00081568+0.00041773i,-0.00010127-0.00038798i,0.00010677-0.0005444i,-7.8699e-05+0.00035014i,0.0005851+0.00081807i,0.0011676-0.00026314i,0.00064133-0.0011497i,-0.00016611-0.0012109i,-0.00064026-0.0010303i,-0.0002936-0.00050639i,0.00020591-0.0002833i,-0.00027775+0.00033835i,-0.00063543+0.00049964i,-0.00039171-0.00030362i,0.00060245-0.00043537i,0.0013162+0.00026293i,0.00034305+0.00046958i,-0.00011477+0.0004623i,-0.00033207+0.00067689i
0.0028205-0.0013831i,0.0019368-0.0033861i,9.8716e-05-0.0047526i,-1.5563e-05-0.0028517i,0.00017405-0.00076149i,0.00034245-1.2796e-06i,0.00080158+0.00034667i,0.00082286+0.00027618i,-0.00033582+0.00012726i,-0.00061855+0.00068643i,-4.4816e-05+0.00074602i,-4.4171e-05+0.00011558i,-0.00043601+4.4292e-05i,-0.00058605+0.00013203i,-0.00037406+0.00029323i,-0.00021531+0.00063715i,-2.2132e-05+0.00012956i,-0.00034825-0.00032218i,-7.0805e-05-6.6059e-05i,0.00031357+3.0902e-06i,0.00039931-6.0211e-05i,-0.00018785+0.00029169i,-0.00048556+0.00056847i
-0.00032275+0.0013249i,0.0011443+0.0015689i,0.0031385+0.001003i,0.0025678-4.5132e-05i,-0.00010522+0.00010536i,-0.0010284+0.00098686i,0.00011352+0.00061703i,0.00044829+0.00016304i,0.00068539+0.00061634i,0.00045179+0.00055568i,-0.00022107-0.00057386i,-0.00063464-0.00087497i,-0.00065451-2.4511e-05i,-0.00045534-0.0001259i,-0.00044534-8.2711e-05i,3.3353e-05+0.0001682i,-0.00010591-0.00071946i,-0.00059871-0.0012061i,-0.00022409-0.00056634i,6.5621e-05+0.00065771i,0.00014991+0.00044054i,1.8866e-05-0.00012642i,-0.00012066+0.0001549i
-0.00055642-0.0008003i,-0.0015306-0.0012337i,-0.0020385-0.00085206i,-0.001134+0.00010213i,0.00032967+0.00012188i,0.0010152+0.00015833i,0.00057105+0.00094646i,-0.00023526+0.0013362i,-0.00033422+0.0012342i,0.00050114+0.00075008i,0.00088857+0.00026279i,0.0010616-5.3699e-05i,0.0015029+0.00039024i,0.00078993+0.00077688i,-0.00043224+0.00054775i,-0.0006324+0.00083434i,9.4091e-05+0.001302i,8.4096e-05+0.00021499i,-0.00048462-0.00063107i,-0.00030712-7.1252e-05i,-0.00049531+0.00067838i,-0.00057971+0.00062776i,-0.00080618+0.00047887i
0.0010181-0.00058992i,0.0014402-0.0008647i,0.0013063-0.0014711i,0.00089532-0.0012259i,0.00045539+0.00010272i,0.00032871+0.0010038i,0.00084632+0.00024463i,0.0010643-0.00022461i,0.00053339+5.6858e-05i,-0.00028385+7.3602e-05i,-0.00066312-3.8374e-05i,-0.00083611-0.00032116i,-0.00079949-0.00073765i,0.00021097-0.00033151i,0.0012528+0.00018298i,0.00070952-6.2406e-05i,0.0002745+8.2926e-05i,0.00040588+4.4152e-05i,0.0015289-0.00018402i,0.0016518+0.00013487i,0.00033524+4.9885e-05i,-0.00075089-0.0003917i,-0.00099711-0.00020743i
-0.00022024-0.0021664i,-0.0022679-0.0015828i,-0.0035958-0.00049625i,-0.0021252+0.00068236i,-0.0012998+0.00057896i,-0.00081313+5.7677e-05i,0.00071647+0.00055171i,0.0014927+0.00052455i,0.00042066-0.00013394i,-1.5487e-05-0.00081717i,-0.00014214-0.00064721i,-0.0001304-0.00058922i,0.0010833-0.00091541i,0.0013143-0.00075488i,0.0010635-0.00049824i,0.00068185-0.00048601i,-0.0001578-0.00032717i,9.9688e-05+0.00020157i,0.000229+0.0002616i,-0.00020309-0.00013689i,0.00012629-0.00024362i,0.00051365-0.00047893i,0.00064369-0.00049101i
0.0022712+0.00053735i,0.0025111-0.00040232i,0.0014647-0.00011323i,-0.00016622+0.00044952i,0.00012576+0.00045816i,0.00067291+4.9176e-05i,0.0003281-0.00010783i,2.4486e-05+0.00027718i,0.00034674-9.6769e-05i,0.00092523-0.00037368i,0.0012142+0.00029422i,0.00086651+0.00037499i,0.00025914-0.00025971i,0.00045504-0.0010539i,0.00017706-0.0011775i,-0.00069541-0.00050478i,-0.0011991-0.00046568i,-0.0010697-0.00030733i,-0.00062556-7.3195e-07i,-0.00010249+0.00032592i,8.0885e-05+0.00090717i,4.2249e-05+0.0010982i,0.00011889+0.00028623i
-0.00074838+0.0011209i,0.00044462+0.0012618i,0.0010459+0.00097597i,0.00045348+0.0004163i,0.00094734+0.00027717i,0.0016589+0.00020375i,0.00099723+0.00017112i,0.00033949+2.6723e-05i,0.00010664+7.2361e-05i,-0.00049015+2.6617e-05i,-0.00033444-0.00090776i,-0.00051097-0.00051751i,-0.00057435+0.00040279i,-9.3313e-05-9.7009e-06i,-5.5702e-05-0.00047245i,-4.3578e-05-0.00083429i,-0.00044608-0.00034455i,-0.00019801+0.00072702i,0.00036767+0.00063374i,0.0006703+0.00011691i,0.00057618+0.00039778i,-0.000229+0.00040935i,-0.00055647+0.00051399i
-0.0011614-0.0021158i,-0.002129-0.0011782i,-0.0021897-0.0012844i,-0.0020131-0.0014347i,-0.0017726-0.00056788i,-0.00053618+0.0010381i,0.00094871+0.0017882i,0.0012419+0.00050428i,0.0005057-0.00059161i,-0.00072064-0.00028344i,-0.0011983+0.00077785i,-0.00067642+0.0012202i,0.00068575+0.0010853i,0.0005382+0.0011437i,-0.00049667+0.0006851i,-0.00021794-8.7449e-05i,-0.00038283-0.00092776i,-0.0007333-0.0012184i,-0.00011186-0.00019418i,7.9927e-05+0.00066145i,-0.00024636+0.00057966i,-0.00064675+0.0005688i,-0.0001838+0.00021697i
0.00039227-0.0022795i,9.9338e-05-0.0031753i,0.0014296-0.0029859i,0.0017075-0.0021276i,0.0016363-0.0012194i,0.0013224-9.5778e-05i,0.0015105+0.00033412i,0.0015362-0.00039783i,0.0012784-0.00064998i,0.0011154-0.00032103i,0.00010271-1.9705e-05i,-0.00061984-0.00036028i,-0.00029524-0.00045762i,4.2566e-05+0.00024632i,-7.4249e-05+0.00059105i,-0.00029866+0.00045636i,-0.00013151+0.00023863i,-0.00029324+0.00012058i,-0.00031358+0.00021609i,-0.00042775-0.00021451i,-0.0001558-0.00012287i,-0.00015945+0.00029066i,-0.00063055+0.00010185i
0.0032602-0.00036601i,0.0041487+0.00013949i,0.0037967-0.00028484i,0.0017719-0.00036825i,-0.00027078-0.00055836i,-0.0011572-2.0613e-05i,-0.0011645+0.0010871i,-0.00047645+0.0011181i,0.00091547+0.00042815i,0.00024799-8.7406e-05i,-0.00058789-0.000441i,-0.00060573-0.000125i,-0.00082458+3.9176e-05i,-0.00071564-0.00017121i,-0.0012834-0.00037163i,-0.00078107-0.00064022i,0.00090475-0.00045758i,0.0010756+0.00020035i,9.4642e-05+0.00097601i,-0.00070358+0.0013541i,-0.0010837+0.00070293i,-0.00019833+7.7755e-05i,0.00013844-0.00010746i
0.00073055+0.00036634i,0.0012989-0.00014334i,0.0014846+0.0003194i,0.0016481+0.00054171i,0.0026192+0.00021854i,0.0029497-0.0005667i,0.0013423-0.00076765i,6.3818e-05+1.6723e-05i,0.00020972+0.00018798i,0.0001238-0.00042988i,-0.00020103-0.00092607i,-0.00037883-0.00066499i,0.00054609-0.000283i,0.0015659-0.000524i,0.001202-0.00085761i,0.00060725-0.00095776i,0.00023357-0.00030659i,-1.9132e-05+5.7934e-05i,8.0672e-05+5.7691e-05i,8.5243e-05-0.00032503i,-0.00033415-0.00056736i,-0.00014367+0.00011075i,0.00021655+0.00090991i
-0.00080981+0.00040285i,-0.0015077+0.00064076i,-0.0016412+9.2293e-05i,-0.0017882+1.7076e-05i,-0.0025347+0.000695i,-0.0023867+0.0012664i,-0.0010436+0.00078849i,-0.0002167-0.0001729i,-0.00047324+0.00013227i,-0.00040908+0.00094072i,-0.00069092+0.00084344i,-0.0006623+3.3304e-05i,-0.00037517+0.0002343i,-0.00083912+0.001111i,-0.00040468+0.0010357i,0.00043657+0.00031331i,0.00025325-0.00013378i,-0.00040038-0.00014386i,-8.0073e-06-8.2009e-05i,0.00084151-0.00028626i,0.00042431-0.00022031i,3.2691e-05-5.859e-05i,0.00055961-3.2669e-05i
0.0023841+0.00076602i,0.0039492-0.0020368i,0.0052467-0.004931i,0.0019885-0.0042887i,-0.0015054-0.0030681i,-0.0017789-0.0012326i,-0.00075913+0.00078497i,0.0001141+0.0003559i,0.00083757-0.00090263i,0.00067587-0.0015301i,9.7199e-05-0.00074703i,-0.00064201+9.4366e-05i,-0.0011249+0.00038106i,-0.0014006+0.00099756i,-0.0012432+0.00147i,-0.00049467+0.00066374i,-0.00026625-0.00036716i,0.00019334-0.00012114i,0.00021144-5.3668e-05i,-0.00027163-0.00059187i,-0.00010823-0.0010607i,0.00025331-0.0012391i,0.00052761-0.00048944i
-0.010398-0.0056069i,-0.01174-0.00059997i,-0.011695+0.0081532i,-0.0050538+0.0090663i,0.0019906+0.007022i,0.0042392+0.0035299i,0.0027123-0.00016546i,0.0011466-0.0012853i,-0.00060353-0.0006743i,-0.00053168+0.0012123i,0.0015122+0.001869i,0.0018511+0.00064004i,0.0024128-0.00094028i,0.0041052-0.0023587i,0.0041612-0.0029897i,0.0026549-0.0024718i,0.00085635-0.00082004i,2.9498e-05-0.00095314i,-0.00028044-0.0020912i,-0.0015708-0.0016104i,-0.0023801-5.1479e-05i,-0.0015201+0.0012737i,-0.00026094+0.0018976i
