-0.00058894+0.00064711i,-0.00093717-0.00063822i,-0.003421-0.0019525i,-0.0033214-0.0015318i,-0.0014097+0.00042008i,-0.0010009+0.00066699i,-0.0012232+0.00067369i,-0.00054793+0.00082231i,0.00094593+0.00055364i,0.0019477+9.6367e-05i,0.0015369-0.0004627i,0.00079903-0.00040802i,0.00043862-0.00032677i,0.00029486-0.00010914i,0.00024865-0.00011315i,0.00016263-0.00027494i,9.6964e-05-0.00020248i,0.00024159-0.00012868i,0.0004054-0.00078451i,0.00043425-0.0012412i,0.00034266+6.6168e-05i,0.00036398+0.00088085i,-1.2433e-05+0.00027897i
-0.00174+0.0012405i,-0.0015629+0.0014909i,-0.00079799+0.0021215i,0.0002323+0.0018081i,0.00044903+0.0012525i,0.00021512+0.00061132i,0.00088583+0.00015867i,0.0007649-0.00016054i,-0.00041789-0.00010973i,-0.00123+0.00032606i,-0.00086188+0.00010513i,0.00017196+0.00042529i,0.000157+0.0006522i,-3.3116e-05-0.00016965i,0.00042317+1.0437e-05i,0.00066261+0.0003453i,0.00014379-3.1509e-05i,-0.00030699+0.00044423i,-0.00023735+0.00011225i,-3.9115e-05+0.00010148i,0.00024794+0.00074084i,7.4944e-05+0.00039541i,-6.7307e-05+0.00019385i
-0.0010214+0.00083251i,-0.0013807+0.00078906i,-0.00013194+0.00033062i,0.0014062+0.00025786i,0.0015365-0.00075006i,0.00085756-0.001228i,0.0006354-0.00092309i,0.00069403-0.00088083i,0.0002904-5.0485e-07i,-8.4356e-05+0.00039373i,-0.00069571-0.00063972i,-0.00107-0.00071634i,-0.00016098-8.447e-05i,0.00028782+0.00011478i,0.00040771-0.0008478i,0.00048267-0.00082463i,0.00018005-6.0351e-05i,-3.1422e-05+5.2736e-05i,-0.0012009-5.6653e-05i,-0.00098961+7.6316e-05i,-0.00031125+2.6006e-05i,0.00032121+8.0571e-05i,0.00057523+0.00050358i
-0.00055196+0.00089839i,0.0012933+0.0012473i,0.0022693+0.0024286i,0.0020659+0.0018377i,0.002013+0.00027185i,0.0022811-3.3681e-05i,0.0015856+0.00051733i,0.00038136+0.00027648i,0.00027417+8.2618e-05i,-0.00014953+0.000443i,-0.00092693+0.00076667i,-0.00023119+0.00022843i,0.00020638-3.1818e-05i,0.00051512+1.3064e-05i,0.00056358+0.00032898i,4.2269e-05+0.00069441i,-6.4968e-05+0.00039828i,0.0001823-0.00020302i,0.00051335-0.00013121i,0.00092833+0.00051282i,0.00090338+0.00029421i,0.00025868+3.5831e-05i,-0.00050541+0.00015315i
0.00068741+0.00015837i,0.00027336-4.4047e-05i,0.00072411+0.00013228i,0.0010625-0.00047504i,0.0011711-0.0014684i,0.0010208-0.0012667i,0.00064222-0.00074356i,0.00015034-0.00031074i,-0.00025986+8.6502e-05i,-0.00086248-0.00013247i,-0.0010667-0.00014115i,-0.00070299+7.149e-05i,-0.00019842+5.1227e-05i,-1.1738e-05-0.00041811i,-0.00070361-0.00040593i,-0.00037974-0.0007364i,0.00071243-0.00070068i,0.00062242+0.00018177i,0.00060859+0.00025223i,0.00070071-0.00017442i,0.00046169+0.00015467i,0.00057445+0.00025632i,0.00026094+0.00012089i
-5.7444e-05-0.00065526i,-0.00024857-0.00072095i,-0.00083708-0.00054139i,-0.00023355+0.00023937i,0.00036577+0.00031538i,0.00096006+0.00054012i,0.0016816+0.0007324i,0.001359-0.00010126i,0.00047692-0.00041187i,-0.00048842-0.00034091i,-0.0003132-0.00070598i,-0.00080152-0.00099485i,-0.00088355-0.0008022i,-0.00017905+0.00016956i,-0.00011254+0.00026415i,0.00025881+0.00042484i,0.00085862+0.0003341i,0.0010148-0.00037019i,0.00016297-1.8762e-05i,-0.0007127+0.00099329i,-0.00054311+0.000753i,0.00031281-0.00061858i,0.00040145-0.00041802i
0.00040932+0.00027446i,0.00011388+0.00032608i,-0.00064905-0.00047096i,-0.000963-0.00063356i,-0.0012246-0.00085318i,-0.0013586-0.00027989i,-0.0014154-1.0507e-05i,-0.0010838-0.00021736i,-0.00086785+0.00014987i,-0.00057974+0.00038808i,-0.00062621+0.00011447i,-0.00079907-0.00017554i,-0.00068618-0.00042916i,-0.00051901-0.00088469i,0.00031945-0.00087388i,0.00053247-0.00091458i,0.00019402-0.00097436i,-2.1679e-06-0.00098575i,-0.00029635-0.00070148i,-0.0005384-0.00023995i,-0.00062435-0.00018358i,-0.00073761-0.00026839i,-0.00033637-0.00061934i
-0.0015915+0.001545i,-0.0011081+0.0015466i,-0.00068005+0.0016243i,0.00065869+0.0010143i,0.0015314+0.00074681i,0.00079251+0.00094093i,0.00052276+0.00093357i,0.00019483+0.00094675i,-0.00040877+0.00052034i,-0.00082271+0.0008109i,-0.0017151+0.00053307i,-0.0014679-0.00032863i,1.3955e-05-0.00030249i,0.0014504-0.0012822i,0.0012294-0.0015225i,0.00049407-0.00043987i,-6.1374e-05-0.00010307i,-0.00041128-0.00026503i,-0.00023117-0.00044475i,0.00020763-0.00017337i,0.00066355+0.00025951i,0.00051576+0.00046779i,0.00045642+0.00056049i
0.00010467+0.0011402i,0.00059626+0.0019323i,0.00077334+0.0014081i,0.0006148+0.00021056i,0.00044959+0.00018366i,0.00077171+0.00020488i,0.00094102+0.00035058i,-0.00011872+0.00026173i,-0.00081678-0.00015623i,-0.00024875-0.00045328i,-9.8984e-05-0.00031509i,-0.0009079+0.00035005i,-0.0011834+0.001091i,-0.00092121+0.00083668i,-0.00026877+0.00038625i,0.0001105+0.00039456i,0.00014437-0.00021959i,8.4699e-05-0.00062495i,2.7655e-05+0.00014515i,0.00025824+0.00045919i,-0.00014503+6.691e-05i,-0.00042315+0.00046721i,-0.00015059+0.00048525i
0.00019118+0.0023559i,0.00020517+0.00099968i,0.0010658+0.00085425i,0.0011265-0.0002462i,0.00081248-0.0010286i,0.00054376-0.0016488i,0.00039296-0.0015428i,0.00076941-0.00062535i,0.0010121+0.00036432i,-8.0105e-05-0.0003656i,-0.00081422-0.0014494i,-0.0011113-0.00051896i,-0.0005838+0.00043944i,0.00011686+0.00071156i,0.00078927+0.00020882i,0.0018537-0.00059794i,0.0020393-0.0010876i,0.0016966-0.00057047i,0.0013424+0.00037386i,0.00018622+0.00030878i,-0.00040827+0.00014705i,-0.00064649+0.00047777i,-0.0007249+0.00096093i
-0.0012086-0.0013374i,-0.0014604-0.00085463i,-0.0024941-0.00027696i,-0.0021225-0.00032615i,-0.00091067-0.00050389i,0.0004709+2.8553e-05i,0.0015699+0.00051579i,0.00061903+0.00036981i,-0.00093345+0.00027879i,-0.0010467+0.00083213i,-0.00090612+9.7743e-05i,-0.00035846-0.00086455i,-0.00022605-0.00071732i,0.00046775-4.2706e-05i,0.00060745+0.00066074i,-0.00015113+0.00066896i,7.27e-05+0.00028445i,0.00052786-0.00022093i,0.00028237-0.00050358i,-0.00025748-0.00093578i,-0.0008223-0.00065758i,-0.00024289-0.00021723i,0.0004818-0.00048092i
0.00018607-0.0014385i,0.00018174-0.00043696i,-0.00028306-0.00075249i,-0.0010215-0.0015007i,-0.0010033-0.001482i,-0.00033311-0.00034078i,0.00076354-0.00011895i,0.001109-0.00014733i,0.00018026-3.192e-05i,-0.0012336-0.00039013i,-0.001449-0.00081299i,-0.0010525-0.00096681i,-0.00058694-0.00012651i,0.00034932+0.00034042i,0.00072538+0.0003188i,0.00065997+1.3103e-05i,0.00024226-0.00014489i,1.4184e-05-0.00059874i,4.0244e-05-0.00093965i,-0.00027709-0.00019784i,9.8496e-05+0.0001852i,0.00051644+0.00045047i,0.00010351+0.00076176i
0.00049422+0.00023104i,0.00044674-0.001019i,-0.00012084-0.0011253i,-0.00035166-0.00019443i,0.00011696+0.00075497i,0.0005455+0.001096i,0.00084597+0.00069932i,0.0007246+0.00054372i,0.00021265+0.00040486i,-0.00045005+9.7818e-05i,-0.0012105+5.4167e-05i,-0.0012357+5.8587e-05i,-0.00065794+0.000145i,0.00023017+0.00039152i,0.00041256+0.00044062i,0.00043362+0.0007171i,0.00041362+0.00059593i,-0.00029749-0.00043736i,1.1967e-05-0.0010406i,0.00021688-0.00072449i,-0.00019579+0.00053225i,-0.00075367+0.0014543i,-0.00037893+0.00071344i
0.0024123+0.00099297i,0.0016075+0.00076633i,0.0021679-0.00033504i,0.002066-0.0010649i,0.0013052-0.0011649i,0.00091061-0.0011892i,0.0003009-0.00064362i,-0.00043445-0.00020935i,-0.0005171-3.6379e-06i,-0.00030099-0.00035878i,-0.00074154-0.00041759i,-0.00063056+0.00033345i,-0.00047922+0.00023222i,-0.00068302-0.00014653i,-0.00031511-0.00018823i,0.00036442-0.00013668i,0.00076258-0.00029906i,0.00067884-0.00031731i,0.00059595-0.00073436i,0.00024895-0.00068931i,0.00053354+0.00022886i,0.00035931+0.00043911i,-0.00043714-7.1026e-05i
0.0002543-4.9505e-05i,0.0010474-2.1401e-05i,0.00032378-6.4177e-05i,-0.00063745-0.00091999i,-0.00018556-0.0010837i,0.00070229-0.00041035i,0.0006982-0.00032792i,0.00058659+0.00016343i,-0.00022848+0.00032938i,-0.0012187+0.00041994i,-0.0011836+0.00053263i,-0.00088476+0.00015563i,-0.0013145+0.00023091i,-0.0013182-8.8932e-05i,4.5256e-05-0.00066715i,0.00076046+0.00016816i,0.00022118+0.0004019i,0.00021353-0.0001398i,-6.8891e-05+0.00027318i,-0.00048866+0.00061904i,-0.00018413+0.0001045i,-0.00032378-0.00092079i,-0.0007239-0.00092738i
0.0018074-0.0028626i,-0.00013275-0.0028163i,-0.00072252-0.0037173i,-0.0010763-0.0048745i,-0.00072921-0.0035238i,-0.00026218-0.0016447i,-0.00038171-0.00041931i,4.9766e-05+0.00047987i,3.7291e-05+0.0011314i,-0.00038887+0.0003231i,-4.0009e-06-6.815e-05i,-0.00043881+0.00067403i,-0.0012722+0.0013299i,-0.0010212+0.0015693i,-0.0012782+0.00089635i,-0.0010417+6.4776e-05i,-0.00017255-0.00023568i,-0.00014347-0.00043072i,-0.00034311-0.00086151i,-0.00067509-0.001213i,-0.00031235-0.00076894i,-0.00051728+0.00024271i,-0.0009957+6.5815e-05i
0.00061928-0.0024007i,0.0012095-0.0022942i,0.00021398-0.0038274i,8.5114e-05-0.0039375i,0.00037406-0.0017478i,-0.00010655-0.00048675i,0.00066098+0.00015624i,0.00069756+0.00018444i,-0.00017786-7.5114e-05i,-0.0007876-0.00066466i,-0.0011799-0.00056022i,-0.00086014+5.8501e-05i,-0.00056332+0.00020131i,-0.00082251+0.00075208i,-0.00037169+0.00055323i,0.00027332+0.00062743i,0.0002057+0.00085113i,-0.00018671+9.7283e-05i,-0.00017993-0.00054898i,0.00013983-0.00089229i,-3.4141e-05-0.00053969i,-4.4396e-05-0.00019993i,-0.00062961-0.00022979i
0.0016968+0.0018999i,0.0016727+0.001373i,0.00065322+0.0018795i,-0.0004544+0.00058013i,-0.00064124-0.00091426i,2.7212e-05-0.0010298i,7.8583e-05-0.00028658i,0.00013377+0.0011664i,-0.00061228+0.0014035i,-0.00071912-0.00030971i,-0.00016804-0.0010402i,-0.0001858-0.00040966i,0.00035617+0.00064233i,0.001018+0.0015092i,0.0010437+0.00079855i,0.00089815+0.00036458i,0.00039762+0.0008326i,0.00028506+0.00047802i,0.00031699+0.00034761i,-0.00046909+0.00055854i,-0.0010525+0.00013714i,-0.00066923-1.3798e-05i,-8.809e-05+0.00039323i
2.5538e-05-3.7196e-05i,-6.4526e-05-0.00026997i,0.0010804-0.00052209i,0.0017355-0.00079045i,0.0009616-0.00071385i,0.0005951-0.00059959i,0.00047592-0.00044796i,0.00013597+0.00024708i,0.00035633+0.00052978i,-1.0217e-05-4.7666e-05i,-0.00018791-0.00042634i,-0.00090698-0.00063924i,-0.0013007-0.00024789i,-0.00064705-0.0001284i,-0.00056845-6.1333e-05i,-0.00057761+0.00038149i,3.8189e-05+0.00016197i,0.0005686+0.00019783i,-8.9958e-06+0.00039903i,-0.00030723+0.00011576i,0.00014999+0.00019515i,0.00052915+0.00041909i,0.00039819+0.00073733i
-0.0013223-0.00042818i,-0.0013604-0.00069339i,-0.0020643-0.00092106i,-0.002417-0.00082556i,-0.0016904-0.00077711i,-0.00042843-2.3575e-05i,0.00026084+0.00057389i,0.0003108+0.0003037i,-0.00095202-0.00023454i,-0.0012244-0.00018637i,-0.00081698-0.00020109i,-0.0012543-0.00015982i,-0.0016643-0.00054471i,-0.0010442-0.0007254i,-0.00037291-0.00024607i,-3.8218e-05+0.00047493i,0.00058978+3.1218e-05i,0.00047801-0.00041225i,-0.00013984-0.00059232i,-0.00015333+5.1328e-05i,0.00019887+0.0013358i,0.00037131+0.0010368i,-5.942e-05-0.00070014i
0.00084982-0.0011656i,0.0011823-0.00068851i,0.0014755-0.0013827i,0.0012152-0.0019373i,0.00067343-0.00077316i,0.00083114+0.00016479i,0.0012642+0.00053333i,0.0010623+0.00098871i,0.00010636+0.00038586i,-0.0011037-0.0004721i,-0.0019987+0.00010416i,-0.0021184+0.00099272i,-0.0014335+0.00051705i,-0.00090675-0.0003426i,-0.00021849-0.00039194i,0.00010589+0.00019365i,0.00020467+0.00049918i,0.00092789-0.00014453i,0.0010672-0.00071269i,0.00057428-0.00028456i,6.4894e-05+0.00037807i,-0.00024637+3.219e-06i,-0.00027949-0.00062342i
-0.0011816+0.00036793i,0.00050948+0.0010495i,0.0010323+0.00094207i,0.00088051+0.0005156i,0.00079315+6.0678e-05i,0.0010628+0.00032259i,0.00044515+7.4051e-05i,-0.00030799+0.00037861i,0.00021531+0.00021233i,0.00055231-0.0009571i,-3.3913e-05-0.00057652i,-0.0012777+0.00087971i,-0.0011161+0.0010029i,-0.00044835+0.0011712i,-0.00046164+0.0013681i,0.00019156+0.00089802i,0.00082045+0.00082319i,0.00088549+0.00050436i,0.00075313-0.00042771i,0.00050948-0.00095175i,0.00021444-0.00037835i,0.00052982+0.0001938i,0.0010563-2.5749e-05i
-0.0012526-0.00092065i,-0.0015515-0.0014129i,-0.0031364-0.00029411i,-0.0026183+0.00061933i,-0.00099024+0.0011907i,-0.00017195+0.0012087i,5.1299e-05+0.000482i,0.0010123+0.00052456i,0.0013129+0.00096057i,0.0010921+0.000888i,0.0010506+0.0011335i,0.00064822+0.00098251i,0.00087471+0.00093344i,0.00073199+0.00054043i,8.2274e-05-0.00056446i,5.6061e-06-0.00031892i,0.00072023+5.5666e-05i,0.0016686-0.00014553i,0.0014746-0.00011662i,0.00034764+0.00049549i,-0.00018146+0.00053261i,-0.00029993-0.00012711i,-0.00077971-0.00041649i
-2.5892e-05+0.00011198i,-0.00025079-0.00071197i,-0.00063281-0.00094803i,-0.00021928-0.00012285i,-9.3785e-05+0.0009435i,-0.00030496+0.00083524i,-0.00018409+0.00040191i,5.4349e-05+0.00060751i,-0.00024179+0.00069207i,-0.00088775+0.00054702i,-0.00055676-8.6618e-06i,6.8632e-05-7.9433e-05i,-0.00033637+0.00023026i,0.00024086+0.00014073i,0.00094443-0.00057566i,0.00074393-0.00028152i,0.0002018-1.1884e-05i,-0.00017508-0.00041308i,-0.00042454-0.00077796i,-0.00032358-0.00029172i,0.00046007+0.00096837i,0.00044918+0.00077385i,-0.00017859+0.00027358i
-0.0009286-0.0002719i,-0.0003546-0.00035718i,0.0013209-0.001059i,0.0018395-0.00087605i,0.00027417-0.00013126i,-0.00044919-0.00018894i,0.00024775+8.4995e-05i,0.00028195+0.00047211i,-0.00018427+0.00029873i,-0.00050738-0.00026021i,-0.00032725-0.00028779i,-0.00028959+0.00047194i,-0.00053151-0.00010787i,-0.00027218-0.00071356i,5.5208e-05-0.00022248i,0.00040865-0.00019252i,0.00066342-0.00019353i,0.00018006-0.00038385i,-0.00019694-0.00062988i,-5.6484e-05-0.00043635i,-0.00013181+8.6054e-05i,-0.0001654+0.00045299i,0.00038723+0.00047969i
-0.00038406-0.00012031i,-0.0015264+0.00018607i,-0.0016797+0.0014633i,-0.0019899+0.0010004i,-0.0011076+0.00055066i,0.00018697+0.0012195i,0.0020238+0.0015515i,0.0027353+0.0012832i,0.0012422+0.0010421i,-6.8372e-06+0.00033792i,-0.00053612-0.00048493i,-0.00084494-0.00016961i,-0.0010636-8.0817e-05i,-0.0008265-0.00013337i,0.00010274+0.00024973i,0.00049793+0.00041928i,0.00025471+0.00035279i,-0.00017793+0.00038773i,-0.00073583+0.00020789i,-0.00067152+3.472e-05i,-0.00023631+0.00018215i,-0.0003683+0.00018382i,-0.00041375-9.9636e-05i
0.002259-0.0016176i,0.0018361-0.0029722i,0.0015698-0.0060234i,0.00063883-0.0057328i,-0.001136-0.00326i,-0.001796+0.00036121i,-0.0010905+0.003246i,0.00067814+0.0042223i,0.0026582+0.003779i,0.0029251+0.0017196i,0.0014444+0.00029427i,-0.00025779+6.3888e-05i,-0.00097364-3.4118e-05i,-0.00086368-0.0006175i,-0.00064839-0.00077i,7.2931e-05-0.00042086i,0.00032667+8.9732e-05i,-0.00012167+0.00045261i,-0.00067813-0.00055156i,-0.00061417-0.0013406i,-0.00063578-3.2745e-05i,-0.00067565+0.00058696i,-0.00039526+0.0005456i
0.0018859+0.00015912i,0.0019827+0.00063299i,0.0012544+0.00011904i,0.001165-0.0015268i,0.001147-0.001258i,0.00048049-0.00024514i,4.4194e-05-0.00072952i,-0.0002894-0.00102i,-0.00085924-0.00088659i,-0.0022175+3.7447e-05i,-0.002679+0.00085933i,-0.0016772+0.00086325i,-0.0005157+0.00086762i,-0.00020989+0.00086308i,0.00031609+0.00057986i,0.00078819-5.8743e-05i,0.00066662+7.6118e-05i,0.00077388+0.000234i,0.00063113-0.00013858i,-1.7755e-05+0.00011137i,-0.00056366+0.0011764i,-0.00090946+0.0013497i,-0.00082738+0.00089307i
-0.00011729-0.00065877i,-0.00091632+0.00056678i,-0.0016921+0.0012619i,-0.0011915+0.0012108i,-0.00026824+0.00061802i,-5.2393e-05+0.00015845i,-0.00015356-0.00032358i,0.0003499-0.00041957i,0.00024003-0.00041053i,-0.00042127-0.00013514i,-0.00074524+0.0011544i,-0.00097653+0.0016837i,-0.00078127+0.0014525i,4.7575e-05+0.0010576i,0.0010104+0.00056266i,0.0010593+0.00042838i,0.00028622+3.0946e-05i,0.00023352-0.00069117i,0.00071426-0.00087128i,0.000573-0.00089295i,0.00031642+0.00025714i,-0.00017761+0.00077761i,-0.00036193+0.00022822i
-0.00092837+0.0021952i,-0.0011249+0.00070244i,-0.00099209-0.00023888i,-0.0002378-0.0002813i,0.00073049-0.00021736i,0.0010926-0.00021065i,0.00040537-0.00040908i,-0.00052786-0.0010069i,-0.00080233-0.00083491i,-0.0002651-0.00033421i,-0.00060601-0.00022219i,-0.0011534-0.0010368i,-0.00054006-0.0014729i,0.00050921-0.00037999i,0.0011195+0.0005473i,0.00054805+0.00044471i,-9.6845e-06+0.00025399i,0.00029249-0.00034266i,0.0011675-0.00012621i,0.001322+0.00034142i,0.00055835+0.00034801i,-0.00011722+0.00017546i,-0.00013044-0.00014263i
0.0013969+0.00053358i,0.0019623-0.00017959i,0.0012527-0.00040309i,-0.00013731-0.00090303i,-0.00013256-0.0012478i,0.00043802-0.0013298i,0.00036514-0.00084578i,-0.00040285-6.2544e-05i,-0.00016478+0.0003447i,8.886e-05-0.00045483i,-0.00029746-0.0016962i,-0.00016919-0.0015908i,0.00011745-0.00071013i,0.00017071+5.7363e-05i,3.5109e-05+0.00035534i,0.00034145-0.00041583i,0.00087479-0.00067752i,0.00036082-0.00026967i,-0.00063805-0.00032554i,-0.00049742-0.0001514i,0.00083484-0.00024802i,0.0007187-0.00019866i,-0.00013803+0.00073092i
0.00044892+0.00063142i,0.00037955+3.0369e-05i,0.0005558-0.00041132i,0.00054913-0.00037631i,0.0003085-0.00020766i,0.00043653-4.6536e-05i,0.00064001-0.00054789i,0.00059132-0.001177i,-0.00015968-0.0010335i,-0.0010489-0.00043949i,-0.0012283-0.00039992i,-0.0015614-0.00042284i,-0.0013033-0.0005054i,-0.00022486-0.00095771i,-0.00038798-0.00047169i,-0.00030252+0.00033706i,0.00085354+0.00064269i,0.0012787+0.00043206i,0.00062734-2.9471e-05i,0.00012456+0.00025006i,2.599e-05+0.00043914i,0.0002493+3.295e-05i,0.00028946-0.00016451i
-0.00023371-0.00070103i,-0.0011141+0.00016582i,-0.00012508+0.0012738i,0.0010138+0.0013434i,0.00070291+0.00037002i,-7.6117e-05+7.948e-05i,-0.00014202+4.2026e-05i,-0.00026755+0.00059728i,-0.00078374+0.0010194i,-0.00035778+0.00071913i,-0.00072815-0.00027024i,-0.0017143-0.00073243i,-0.0011587+0.00024149i,-0.00046106+0.00045865i,-0.00035883+0.00013378i,-7.0611e-05+0.0005364i,0.0003659+0.00089854i,0.00083713+0.00025608i,0.00094086-0.00094809i,-5.0696e-05-0.00083554i,-0.00082518-0.00079392i,-0.00059361-0.0012172i,5.052e-05-0.00074014i
0.00033209-0.0023902i,0.00013771-0.0024747i,0.00058864-0.0031422i,0.00021334-0.0033378i,-0.000394-0.0016925i,0.00013098-0.00034492i,0.00067919-2.2021e-05i,2.2951e-05-0.00028754i,-0.00079906-0.0005428i,-0.0010388-0.00085329i,-0.0014574-0.00037057i,-0.0019175+0.00028577i,-0.0015764+0.00041125i,-0.00025283+0.00094255i,0.00067828+0.00082941i,0.00055836+0.00048672i,0.00012824-0.00014383i,-1.2665e-05-0.00065892i,0.00046292-0.00051484i,0.0011448-0.00042714i,0.0010821-0.00051937i,6.6106e-05-0.00027677i,-0.00045217+0.00035077i
-0.0010538-0.00069036i,-0.0012401+0.00043488i,-0.0013658+0.00056006i,-0.001283+0.00015985i,-0.00078247+0.00051807i,0.00048379+0.0010678i,0.0012221+0.00069496i,0.00094764+0.00060527i,0.00040133+0.0010109i,-1.239e-06+0.0010306i,-0.00061767+0.00074371i,-0.00095248+0.00072381i,-0.00064793+0.001883i,-0.00057006+0.0013703i,9.8293e-06+0.00041822i,6.9358e-05+0.00010818i,-0.00025017-0.00055623i,5.9599e-05-0.00034751i,9.0102e-05+0.00024959i,-0.00010627-0.00035428i,0.0009286-4.7012e-05i,0.0017514+0.00044628i,0.0013395+0.00046838i
0.0012933-0.0020747i,-0.00043665-0.0025718i,-0.0011481-0.0032741i,-0.00096935-0.0032604i,-0.0012277-0.0021849i,-0.00083572-0.00071041i,0.00020593+0.00013273i,0.00046642-0.0004152i,-8.2229e-05-0.00083423i,-0.0011756-0.0011648i,-0.0018462-0.00088466i,-0.0012833+0.00029031i,-0.00025288+0.00056039i,1.8046e-05+0.00020726i,-7.7191e-05-6.3305e-06i,0.00025298-0.00025384i,8.9851e-05+0.00012077i,-0.00013305-0.0001732i,-0.00025264-0.00060227i,-0.00029446-0.00041889i,-0.00030238-0.00015418i,-0.00013587-0.00011066i,0.00039096-5.1224e-06i
-6.6825e-05+0.00055375i,0.0011016-0.0011702i,0.0022273-0.0002907i,0.0018499+0.00014025i,0.0013482-0.00033395i,0.00046936-0.00061573i,-0.00012974-0.00075051i,0.0003705-0.00041042i,0.00068165-0.00018809i,0.00033443-0.00011463i,-0.00020727-0.00066769i,-0.00050019-0.00095448i,0.00048261-0.00049386i,0.0011024-7.8929e-05i,0.00069652-0.00023192i,0.00086474-0.00065794i,0.00071624-0.0010949i,0.00078769-0.00062037i,0.0011233-0.00010891i,0.00023564+0.00014988i,-0.00046048+0.00049719i,0.0002252+8.5286e-05i,0.001196+8.1886e-05i
0.00080138-0.0003222i,0.00094843+0.00029259i,-0.00011659+0.000752i,-0.0015794+0.00062054i,-0.0011788+0.0003645i,0.00052924+0.00011389i,0.0014604+0.00065618i,0.001087+0.00021427i,0.000303-0.00097714i,-0.00097449-0.00076773i,-0.0013877-7.5458e-07i,-0.0012871+2.6398e-05i,-0.00093767-0.0005016i,-0.00021125-0.00064356i,-0.00046688-0.00041497i,-0.00059811-0.00046295i,-0.00015258-0.00063897i,-3.1548e-05+4.9012e-05i,-0.00011807+2.0731e-06i,-7.2574e-05-0.00095683i,-0.00029996-0.00082733i,-0.00046661-0.00028834i,-0.00066559-0.0006142i
0.00033833-0.00069286i,-0.00073779-0.00013417i,-0.001022-0.0016552i,-0.0010951-0.0027736i,-0.00097499-0.001799i,-0.00028086+0.0001739i,-6.0253e-06+0.00072152i,-0.00018393-0.00018315i,-0.0004746-0.0002553i,-0.00089814-0.00032399i,-0.0020289-0.00088305i,-0.0022954-0.00080624i,-0.0018858-0.00019995i,-0.00087722-1.6576e-05i,-9.9547e-05+0.00012655i,0.00028522+0.00023164i,-4.7912e-05-0.0001308i,-0.0007717-0.00072233i,-0.0010157-0.0012245i,-0.00042052-0.0016145i,-0.00017255-0.0010514i,-0.00048144-0.00023381i,1.8864e-05+6.732e-05i
0.00026663-0.00082889i,0.00092954-0.0010232i,0.0012084-0.00084768i,0.00050639-0.00047401i,0.00051985-0.00037639i,0.00108-0.00050663i,0.00065008-0.00034988i,6.4354e-05-0.00066525i,0.00030238-0.00044798i,0.00057048+0.00054225i,-0.00034641+0.00086445i,-0.0014243+0.00038104i,-0.001625-0.00023601i,-0.00049844-0.00053916i,0.00088421+7.6467e-05i,0.00044318+0.00055711i,-0.000531+0.00012925i,-0.00029683+0.00027126i,1.2645e-05+0.0005156i,0.00044688+0.00022588i,0.00027954-0.00015974i,-0.00046407-0.00032385i,-0.00031173-0.00062299i
0.0025755+0.0032984i,0.0035927+0.0018281i,0.0053531+0.0012228i,0.0040088-6.0637e-05i,0.0016427-0.001355i,0.00035275-0.0013895i,6.5942e-05-0.0005745i,0.00022263-0.00036431i,-0.00016076-0.00032567i,-0.00024231-0.00048606i,-0.0004456-0.00043781i,-0.00042126+3.6076e-05i,-0.00034681+0.00096146i,-0.001118+0.0013844i,-0.0011513+0.00024023i,0.00027163-0.00064382i,0.0006747-0.0002978i,0.00025737-0.00034257i,-2.3281e-05-4.3689e-05i,-0.00063732+5.6396e-05i,-0.0012698-0.00084586i,-0.00079316-0.00082377i,-0.00080776-0.00013321i
0.00027338+0.00017768i,-0.00094652+0.00047487i,-0.0019656-0.00036142i,-0.00092029-0.0007853i,4.4168e-05-0.00035763i,0.00017464-0.00059549i,0.00046533-0.00068465i,0.00042716-0.00012849i,-1.9947e-05-0.0001188i,-0.0004679-0.00027612i,-0.00086053-0.00062521i,-0.00080275-0.00021414i,-0.00041709-0.00013037i,0.00020925-0.0006987i,0.00079485-0.00036957i,0.00079095-0.00061155i,0.00055219-0.00088725i,0.00092485+3.6814e-05i,0.0010486-8.0031e-05i,0.00047133-0.00072159i,-0.00011731-0.00079571i,-0.00090001-0.00076439i,-0.00075901-0.00060181i
0.00021416+6.3735e-05i,4.8885e-05-0.0015552i,0.00063478+7.0392e-05i,0.0012333-0.0001306i,0.00095643-0.0017635i,0.00033855-0.0010588i,9.1927e-05+0.00021237i,-5.8685e-05+0.00027194i,-0.00050863-0.0003394i,-0.0013063-0.00088405i,-0.0014419-0.00062131i,-0.00085498-1.502e-06i,-7.2473e-05-0.00023328i,0.00062813-0.00036869i,0.00084653+9.5459e-06i,0.0010478-0.00016844i,0.00095408-0.00057741i,0.0009169-0.0011587i,0.00078377-0.00094287i,-0.00017402+7.7039e-05i,-0.0004987+0.00068468i,-0.00030901+0.00019863i,-0.00038707-0.00044496i
-0.00052742+0.0012771i,0.00086187+0.0011677i,0.0020222+0.00066928i,0.0014144+0.00013246i,0.00097571-4.5854e-05i,0.0011933-0.00029845i,0.0013304+0.00010467i,0.0012083+0.00028376i,0.00018955+5.1527e-05i,0.00037272-0.00050852i,0.00044959-0.00083561i,0.00021583-0.00067873i,-7.4864e-05-0.00010348i,-0.0011606+0.00031713i,-0.001043+0.00054112i,0.00011035-0.00012614i,0.00047198-0.00094392i,-0.00027477-0.0012734i,-0.00073047-0.0010892i,1.3972e-05+0.00011197i,0.00060743+0.0004165i,0.00013153+0.00010763i,-1.4938e-05-0.0002946i
