-0.00025386-0.00087067i,-0.00018512-0.0013675i,-0.0012762-0.0014834i,-0.002546-0.00029588i,-0.0027443+0.00089129i,-0.0023219+0.001657i,-0.00095006+0.0025103i,0.00065054+0.0021391i,0.00058475+0.00065237i,0.00027933-0.00012154i,0.00013098-0.00054765i,4.3974e-05-0.0014435i,7.7883e-05-0.0015876i,0.00048155-0.00073553i,0.00092537-4.652e-06i,0.00041997+0.00012271i,-0.00014682+0.00033129i,-7.2471e-05+0.00034684i,-5.0266e-06-0.00010166i,-0.00058937-0.00080846i,-0.00075495-0.00080593i,-4.9613e-05-0.00026121i,-0.0002881+0.00069511i
-0.0016333-0.00015104i,-0.00038186+6.1988e-05i,0.00042547-0.00016941i,0.00021557+0.00020687i,-0.00040547+0.00072355i,-0.00054031+0.00011016i,-0.00099635-0.00036057i,-0.0012039+8.1403e-05i,-0.0010711-0.00018294i,-0.00088734-8.8834e-05i,-0.00034162+0.00021654i,8.3915e-05-0.00035319i,4.8531e-06-0.00045809i,-0.00028337-0.00059016i,-0.00049935-0.00048893i,-0.00062772-0.00011984i,-0.00030531-0.00032266i,0.00014724+3.1429e-07i,-0.00021732-0.00010574i,-0.00084361-0.00048717i,-0.00015912-0.00082283i,0.00053506-0.00071647i,0.0007003-0.00010207i
-0.0011881+0.00095297i,-0.00095512+0.0019631i,-9.5741e-05+0.0030703i,0.00053677+0.0021811i,0.00010484+0.00055063i,-0.0011192-0.00047674i,-0.0016573-0.00012652i,-0.0014134+0.00033055i,-0.00014615+0.00020822i,0.00081314-2.2561e-05i,0.0010004-0.00021006i,0.00064013-0.00043402i,0.0013915-0.00055743i,0.002216-0.00018711i,0.0012866-0.00020484i,0.00084381-0.00050659i,0.0011353+2.2542e-05i,0.00041868+9.5838e-05i,-0.00073744+8.7046e-05i,-0.0006412-0.00035624i,5.929e-05-0.00016449i,0.00039875+0.00087788i,0.0003326+0.001417i
0.0010657-0.00044945i,0.00069798-0.00030721i,9.0135e-05-0.0010402i,-0.00031341-0.0010083i,-0.00062492-0.00025227i,-0.00094528-0.00030452i,-0.00096986-0.00066231i,7.5249e-05-0.00020115i,0.0010766+0.00046444i,0.0010161+0.00044664i,0.0001434-9.4686e-05i,-0.00033922-0.00048283i,-0.00037487-0.00042908i,-0.00085099-3.1555e-05i,-0.00027132+0.00043764i,-6.2162e-05+0.00030643i,-0.00057029+1.2615e-05i,0.00014984+0.00016124i,0.00036915+4.0643e-05i,-0.00019975-0.00031439i,8.5576e-05-0.00014358i,0.00046767+0.00021654i,2.9835e-05+6.8977e-05i
-2.5082e-05-0.0003097i,-0.00070373-0.00022679i,-0.0015868+0.00034669i,-0.0011276+0.0010184i,-0.00099998+0.0012249i,-0.0012487+0.00082758i,-0.0011913+0.0003428i,-0.0010624+0.00026784i,-0.00028188+0.00077697i,0.00025489+0.00051331i,0.00052096-0.00045809i,0.0014308-0.00026269i,0.0013397+0.00062819i,0.00051181-0.00018715i,0.00047699-0.0011212i,0.00025125-0.00094182i,0.0001607+3.898e-05i,7.1844e-05+0.00036661i,0.00026018-0.00036817i,0.00038133-0.00014312i,-0.00022991+0.00048984i,-0.00088107+0.00030076i,-0.00038879-0.0004344i
0.00093974+0.00096667i,0.0028395+0.00013636i,0.0031572-0.00089804i,0.0017536-0.0014633i,0.00036412-0.00083154i,-0.00095199-0.00015677i,-0.001924+0.00042624i,-0.002151+0.0010871i,-0.0014437+0.00069576i,-0.00042734+0.00067494i,0.00031639+0.00031478i,0.00050588-0.00043083i,0.00056685-0.00091889i,0.0007761-0.00018652i,0.00054968+0.00069299i,0.00028516+0.00026316i,0.00082217+0.00021348i,0.00066558+0.00054258i,-0.00011979+0.00010734i,-0.00069091+0.00036772i,-0.0011568+0.00029491i,-0.0008006-7.3321e-07i,-0.00063377-0.00058875i
0.0026215-0.00038288i,0.0024587-0.00034614i,0.0025022+6.649e-05i,0.0014942+5.3174e-05i,-0.00030229+0.00013941i,-0.0023285+0.00053952i,-0.0027791+0.001387i,-0.0012436+0.0016639i,0.00027795+0.0012358i,0.00032451+0.00055519i,-0.00038343-0.00030733i,-0.00089206-0.000432i,-0.00083125+3.1698e-05i,-0.00039835-0.00025153i,-0.00012827-0.00056173i,-0.00028463-0.00058903i,-0.00031464-0.00032963i,7.5651e-05-0.00038436i,0.00015644+9.6312e-05i,0.00013728+0.00067i,0.00012679+0.00049831i,7.2243e-05+0.00025421i,-0.00037566-0.00019596i
0.00017433+0.001719i,-0.00018495+0.0019489i,-0.0001341+0.001695i,0.00083253-0.00030189i,0.00067308-0.0015411i,-0.00015331-0.0016279i,-0.0010373-0.0013802i,-0.00075034-0.00056949i,-0.00038167-0.00017752i,-0.00015163-0.0009058i,0.00051643-0.0016529i,0.00072456-0.0012008i,-0.00012398-1.3688e-05i,-0.00039644+0.00069024i,-8.0242e-05+0.00058628i,-0.0003547+2.8268e-05i,-0.00046337+0.00015758i,0.0001338+0.00060279i,0.00036421+0.00016045i,0.0004455-1.3552e-05i,3.1278e-05-0.00024218i,-0.00012707-0.00061643i,0.0003743-0.00056084i
0.00046888-4.0824e-05i,0.00024+0.00018466i,-0.00063223+0.00024418i,-0.00063984-3.5809e-05i,-0.00036234-0.00043632i,-0.0010329+1.3193e-05i,-0.0020393+0.00099774i,-0.0014617+0.001325i,-0.00049747+0.0012314i,-3.6919e-05+0.00084967i,-0.00012537+0.00026431i,2.7796e-05-0.00084678i,-0.00044606-0.00086342i,-0.0003366+3.7263e-05i,-6.7053e-05+0.00059467i,-0.00040906+0.00031243i,0.00012235-0.00032258i,0.00046676-0.00027252i,0.00021056-2.41e-05i,-0.00069317-0.00017683i,-0.0012807+0.00012956i,-0.00049288+8.3019e-05i,0.00010486-0.00026981i
0.0014428-0.0004978i,0.0018203-0.0010996i,0.0020296-0.00015503i,0.0010396+0.00053081i,-0.0002786+0.00039107i,-0.0012653+0.0010818i,-0.0017556+0.0013516i,-0.0009051+0.00074614i,-0.0001198+0.0003847i,-0.00042943+8.5525e-05i,0.00019543+9.7706e-05i,0.00056189+0.00028897i,0.00066237+6.4595e-05i,2.2754e-05-0.00022659i,-0.00072607-0.00063832i,-0.00020485-0.00092926i,0.00025897-0.00057785i,0.00048732-0.00033851i,0.00097644-0.00045196i,0.00051728-0.00042887i,-0.00039379-0.00029624i,-0.0002155-0.00042018i,0.0001744-0.00022472i
0.0003795-0.00040681i,-0.00059469-0.0008542i,-0.0012929-0.00091899i,-0.0011383-0.00032949i,-0.00052766-0.00023566i,-0.00078229-6.9285e-05i,-0.0011896+0.00058933i,-0.00051182+0.00063634i,0.00035438+4.5841e-05i,4.7408e-05+0.00012884i,0.00014626+0.00082877i,0.00077299+6.5573e-05i,0.00014032-0.00034337i,-0.00068295+0.00045006i,-0.00023983+0.00056329i,-0.00029884+0.0001168i,-0.00050407-0.00037897i,-0.0001457-0.00083903i,6.9431e-05-0.00078689i,0.00037295-0.00021523i,0.00081481+0.00026813i,0.00013545+3.7421e-05i,-0.0011542-4.1106e-05i
0.00043725+0.0013189i,0.00044005+0.0002434i,0.0013535-0.00042807i,0.0018678-0.00062234i,0.00028489-0.0010814i,-0.0012734-0.00057468i,-0.0013419+0.00011865i,0.00030019+0.00086347i,0.0014137+0.00039471i,0.0015457-0.00043948i,0.00088592-0.00015318i,4.7084e-06-0.00014831i,-4.2309e-05-0.00026005i,0.00055097-0.00016341i,0.00064942-0.00015277i,0.00015596+0.00031609i,7.6298e-05+0.00096551i,-0.00018593+0.00054527i,-0.00076352-0.00024446i,-0.00059316-0.00044116i,-0.00062758-0.00028725i,-0.0010047-0.00057694i,-0.0014409-0.00069542i
0.00047932-1.0768e-05i,-2.884e-05-0.0010147i,0.0002126-0.0014699i,-0.0011445-0.00053029i,-0.0023012-0.00039181i,-0.0027323-0.00044219i,-0.002756+4.9465e-05i,-0.0021718+0.00099856i,-0.0012068+0.0015261i,-0.00014947+0.0013398i,0.00063417+0.00072036i,0.00028716+3.6001e-05i,-0.00075926-0.00022303i,-0.001298-0.00019219i,-0.00049833-0.00035853i,-0.00032055-0.00019232i,-0.0013299+4.1075e-05i,-0.0013364+0.00024116i,-0.00022819+0.00031119i,9.7147e-05-0.0004092i,-0.00076993-0.00068369i,-0.00069537+6.458e-05i,0.0002906+0.00027775i
0.00081221+0.0010715i,0.0010368+0.00072179i,0.0021706+0.0013871i,0.0018034+0.0017246i,0.0003669+1.9026e-05i,0.00010088+0.00022551i,-0.00021739+0.0015782i,-0.00064681+0.00047322i,-0.00015458-0.00095604i,0.00099808-0.00074657i,0.0011066-0.00048827i,0.00052873-0.00085574i,0.00036587-0.00078617i,-0.00013091+0.00027905i,-0.00050165+0.00066541i,4.6876e-05+0.00038092i,0.00012795+0.00023499i,3.8378e-05+0.00012578i,0.00018678-0.0004498i,0.0006719-0.00043738i,0.00074036+6.9255e-05i,0.00011722-0.00038729i,-0.00019332-0.00014023i
-0.00062842+0.00093636i,-0.00027582+0.00032236i,0.00073868-0.00015441i,0.0013825-0.00097986i,0.00051686-0.0010463i,-0.00074849-0.0009445i,-0.0017029+5.3644e-05i,-0.00087118+0.00094923i,0.00044869+0.00029134i,0.00071784-0.00058351i,0.00046317-0.0006168i,0.00068819-0.00013465i,-9.6336e-05-0.00023978i,-0.00093276-0.00013137i,-0.00051468+0.00020615i,0.00026013+0.00033023i,0.00027522+0.00032564i,-0.00023994+0.00039174i,-0.0012817+0.00051498i,-0.0013069+0.00047328i,-8.9191e-05-2.1477e-06i,0.00014276-0.00020326i,-0.00037821-0.00012495i
-0.0017474+0.00052415i,-0.00033816+0.00077055i,0.00040966+0.0012879i,0.00033931+0.0016047i,0.00062612+0.00085036i,-1.0647e-05+0.00025739i,-0.00094721+0.00062934i,-0.00084097+0.00076442i,-0.00079263+0.00040181i,-0.00047346+0.00042593i,0.00012807+0.00032106i,5.9535e-05+0.00032951i,-0.00031194+0.00087305i,0.00021727+0.0011968i,0.00093489+0.00046908i,0.00033218-0.00043637i,-0.00034858-0.00073852i,-0.0002028-0.00063156i,1.4632e-05-0.00012855i,0.00010232-0.00029327i,-0.00031274-0.0003548i,-0.00020643-0.00033036i,8.8618e-05-0.00063453i
-0.0016365-0.00055228i,-0.0023921+0.00059202i,-0.0030651+0.00097375i,-0.0024105+0.0017925i,-0.0017048+0.0028996i,-0.0021014+0.0025624i,-0.0023203+0.0016016i,-0.0014425+0.00074046i,-0.00039123+0.00026811i,-0.00045473+0.00077379i,-0.00037577+0.00077305i,2.9836e-05-0.00082666i,0.00059524-0.0020272i,0.0020116-0.0018507i,0.001963-0.0017857i,0.001431-0.001343i,0.00050096-0.00016605i,-0.00028044-0.0002158i,-9.9468e-05+5.1366e-05i,-8.3856e-05+0.00096876i,-0.00021763+0.0013139i,-0.00032918+0.00093328i,-3.5474e-05+0.0011024i
-0.00090608+0.00077839i,-0.0019069+0.00042923i,-0.00052244+2.0882e-05i,0.0013808-0.00060552i,0.00069666-0.00024114i,-0.00052691+0.0007598i,-0.0010496+0.0016262i,-0.00074751+0.0015166i,0.0001091+0.00046511i,0.00027726-0.00037824i,0.00046534-0.00086465i,0.00036948-0.00060091i,0.0001613-0.00043089i,-0.00043933-0.00030962i,-0.00072115-0.0002366i,0.00013897-0.00024935i,0.00028714-0.00022687i,-0.000547+0.00010755i,-0.00037172+0.0009791i,6.4606e-05+0.0016463i,-0.00018698+0.0014384i,-0.00023891+0.0012131i,7.3522e-05+0.00063544i
0.00031124+0.0011053i,0.0010891+0.00030943i,0.0019714-0.00054276i,0.0017587-0.00093041i,0.0004988-0.0010924i,-0.00079472-0.00041495i,-0.00087304+0.00014867i,-0.00024861-1.2034e-05i,5.7135e-05-0.00068375i,0.00068165-0.00067703i,0.001073-0.00033608i,0.0012288-0.00051635i,0.00069041-0.00042989i,0.00023468-0.00040178i,0.00048535-0.0006091i,0.00025769-0.00062417i,3.4176e-05-0.00073416i,-0.00034358-0.00070475i,-0.00042545-0.00032142i,0.00016695-3.2538e-05i,-0.00051279-0.00049839i,-0.00066942-0.00038968i,-0.00013886-0.00053777i
-0.00035288-0.00058773i,-0.00036529+0.000497i,-0.0014563+0.00039709i,-0.0020753-0.00077203i,-0.0018091-0.00072179i,-0.001214-0.00018902i,-0.0011228-7.277e-05i,-0.00069741-0.00023881i,-0.00055703-0.00055536i,-0.00050413-0.00038573i,0.00052155-0.0008276i,0.0010807-0.001099i,0.0012377-0.00083605i,0.00073394-0.00026922i,-0.00019212+0.00060907i,-8.7593e-05+0.0011309i,0.00016377+0.001064i,0.00047218+0.00088793i,0.00076057+0.00043976i,-0.00016388-0.00020015i,-0.00090047+0.00026749i,-0.00054001+0.00021344i,-0.00023244-0.00033257i
-0.0014264+0.00040188i,-0.00095867+0.0018731i,-0.00054961+0.0030438i,-0.00014954+0.0024525i,-0.00099874+0.0013505i,-0.0013765+0.00097299i,-0.00095875+0.00069668i,-0.00030219+0.0006201i,-0.0001174+8.5927e-05i,4.4798e-05+0.00014272i,0.00036297+0.00012484i,0.00040525-0.00083432i,0.00041431-0.0014346i,0.00059705-0.00088744i,0.00027475-7.3319e-05i,0.00012721+0.00018966i,0.00017589-8.0293e-06i,0.00012473-6.8847e-05i,0.00018695+3.4376e-06i,0.00041904-0.0001588i,0.00023837-0.00023885i,8.8465e-06+0.00046574i,-0.00025614+0.00013543i
-0.0015456+0.00014239i,-0.0015597-0.00046042i,-0.0003707-0.00037185i,0.00023736+1.2667e-05i,9.7897e-05-0.00049094i,-0.001022-0.0011158i,-0.0012925-9.2695e-05i,-0.00038898+0.0011182i,0.00027218+0.00076639i,0.00047401-4.7059e-05i,-0.00020801-0.00011974i,-4.0193e-06-0.00081407i,0.00051602-0.00076544i,0.00037208-5.3884e-06i,-0.00016692+9.7198e-05i,-0.0006783-0.00018188i,-0.00055002-0.00070944i,-0.00029256-0.0010028i,-0.00024588-0.0007081i,-0.00033062-0.00082532i,-4.9643e-05-0.00064346i,0.0006161-0.00061585i,0.00039635-0.00060434i
-0.0024758-0.00052908i,-0.0028567+0.00035381i,-0.0021219+0.0017551i,-0.00063223+0.0012519i,-0.00012047+0.00014254i,-0.00049845+2.8305e-05i,-0.00067922+4.7134e-05i,-0.00078793+0.00033029i,-9.2421e-05+0.00042162i,0.00051133+0.00025416i,-0.00010444-0.00032453i,-0.0003374-0.00085112i,0.00038722-0.00023211i,0.00048975-0.00038209i,0.00061362-0.0015548i,0.00036896-0.00096356i,-0.00048688+0.00027136i,-0.00050078+0.00068516i,-0.00041594-5.3228e-05i,-6.5643e-05-0.00015376i,-1.7915e-05+0.00088734i,2.6062e-05+0.0010727i,0.00074218-0.00038535i
-0.00036771+0.00080231i,4.1772e-05+0.0010704i,-0.00040943+0.0010608i,-0.00032432+0.00090235i,-0.00058726+0.0016582i,-0.001749+0.0018057i,-0.0024378+0.00097581i,-0.0017585+0.00069992i,-0.0014593+0.0007687i,-0.001077+0.00013225i,-0.00037+0.00038322i,-0.00010797+0.00055647i,-0.00037703+7.2542e-05i,-0.00062659-0.00069182i,-0.00036042-0.00071666i,-0.00050177-0.00032025i,-0.00054928-0.00030167i,0.00039004-0.00010769i,0.00064171-0.00017833i,0.00033318-0.00047513i,0.00032635-0.00043884i,-0.00017123-7.8693e-05i,0.00011619+0.00030107i
0.00054904+0.0013546i,0.0014996+0.0018189i,0.0027524+0.0016895i,0.0020477+0.00082728i,0.00025465-0.0001899i,-0.0010341-0.00071365i,-0.0013574-0.00025053i,-0.0010319+0.00062247i,-0.00092671+0.00088176i,0.00026506+0.00011031i,0.0012256-0.0010958i,0.00080623-0.0011218i,0.00080866-7.6745e-06i,0.00026629-0.00053339i,-0.00011542-0.0018197i,0.00045132-0.001531i,0.00065967-0.00015258i,-0.00025076+0.00083986i,-0.00045+0.001596i,-0.0001167+0.0014958i,8.134e-05+0.00083615i,0.0001501-9.1904e-05i,-9.2498e-06-0.00067166i
0.00030952+0.0012226i,0.00065438+0.0024307i,0.001621+0.0029318i,0.0020282+0.0015878i,0.0011373-0.00029672i,-0.0010075-0.00084467i,-0.002358-0.00017872i,-0.0015553+0.00049482i,-0.00038803-7.4774e-05i,6.4124e-05-0.0012083i,0.0002561-0.0015255i,0.0002124-0.00025162i,-3.3994e-05+0.00092534i,0.00012133+0.00063043i,0.00011453+0.00018634i,2.6738e-05+0.00030684i,0.0006083+0.0005929i,0.0012701+0.00024538i,0.00082486+0.00024594i,0.00024338+0.0003129i,8.6083e-05-0.00036226i,-0.0002954-0.00020003i,-0.00051471+0.00048217i
-0.0026118-0.0023847i,-0.003387-0.00068207i,-0.0040565+0.00020604i,-0.0029034+0.00081883i,-0.0011636+0.001337i,-0.00030961+0.0010418i,-0.00059255+0.00074736i,-0.0010983+0.00037986i,-0.00047115-0.00025663i,0.00024295-0.00047181i,0.00068894-0.00042621i,0.00098453+0.00034516i,0.0012282+0.00043644i,0.0018444-0.00063247i,0.001479-0.00071726i,0.00035208-0.00070864i,-5.9626e-05-0.00051183i,0.00014086-1.1849e-05i,0.00071919+0.00020335i,0.0010445+4.5706e-05i,-0.00026601+0.00010418i,-0.00097482+0.00033766i,-0.00084457+2.8193e-05i
-0.00042481-0.0019232i,0.00032376-0.0016466i,0.000376-0.00097667i,-0.0010438-1.7798e-05i,-0.0014585+0.00090247i,-0.0010458+0.0016371i,-0.00069253+0.0018412i,-0.00040721+0.00078761i,-0.000658-5.8455e-05i,-0.00060039-0.00019599i,-4.3823e-05-7.9841e-05i,-7.3613e-05-0.00021697i,-0.00024493-0.00062485i,-0.00037534-0.00019384i,0.00064458+0.00026515i,0.0010934+0.00019582i,0.00045371+0.00020272i,-0.00012234+0.00015133i,8.4528e-05+0.00021894i,-0.00043025+0.00016249i,-0.00083579+0.00050046i,-0.00035132+0.00067498i,-0.00023739+0.0007226i
-0.00020739+0.00016188i,8.7811e-07+0.0012979i,3.3624e-05+0.0011971i,0.00031043-0.0006308i,-6.4132e-05-0.0012348i,-0.0015019-0.00018765i,-0.0025318+0.00062785i,-0.0017552+0.00022627i,-0.00097298-0.00016735i,-0.00058627-0.00015333i,-8.9915e-05+0.00041735i,9.0002e-06+0.00068378i,-0.00033108+0.00039529i,-0.00044126-3.5541e-05i,0.0002801-0.00040053i,0.00060999-0.00072264i,0.00015172-0.00064222i,0.000147-6.145e-05i,0.00082605+0.00045307i,0.0006649+0.00017188i,0.00026425-0.00028675i,0.00045402+8.8973e-05i,0.000588+2.0397e-05i
0.0009269+0.0037994i,0.0024013+0.0011183i,0.0030475-0.00030774i,0.0020274-0.0010542i,-0.00027762-0.00166i,-0.0025652-0.00090371i,-0.0036575+0.0011572i,-0.0026838+0.0020475i,-0.000685+0.0012515i,0.00047875+0.00068341i,0.00089886-0.00013565i,0.00053928-0.00071593i,0.0005159-0.0010383i,0.0006989-0.0011987i,0.00045155-0.00087389i,7.1828e-06-0.00066305i,-0.00064454-0.00010067i,-0.00056073+0.00030514i,-0.0001513-0.00012316i,-0.00052735+1.8665e-05i,-0.000548+0.00065829i,-0.00045929-0.00024181i,2.4816e-05-0.0008769i
-0.00021512+0.0026423i,-0.00020593+0.0028602i,0.00086567+0.0018092i,0.0018439+0.00011374i,0.0011443-0.00081152i,-0.00081863-0.0011114i,-0.001921-0.00023152i,-0.0013611+0.00020336i,-0.00048489-0.00019428i,0.00049097+3.4104e-05i,0.00096595+0.00041833i,0.00057263+0.0003918i,-6.0246e-05-0.0001237i,-0.00057214-0.00098318i,-0.0012273-0.00069519i,-0.0010459-8.3131e-05i,-0.00033239-0.00027026i,-0.00031975-0.00055064i,-0.00058042-0.00017401i,-0.00082509+0.00078199i,-0.0010692+0.00073916i,-0.0012459-9.6183e-05i,-0.0013984+0.00029544i
0.00099616-0.00026049i,0.0014678-0.0015651i,0.00032066-0.0026887i,9.8631e-05-0.0022043i,0.0009056-0.0014499i,-0.00042146-0.00067588i,-0.0017892-0.00095274i,-0.00090393-0.0010178i,0.00048633+8.2082e-05i,0.00057989+0.00087642i,4.3402e-05-7.9761e-05i,3.4621e-05-0.0012853i,-0.00014043-0.00088639i,-0.00078885+2.9295e-05i,-0.0012228+6.7439e-05i,-0.00066964-4.1247e-05i,-9.2656e-05+0.00055015i,-0.0001002+0.00034411i,0.00051345+0.00034312i,0.00096894+0.00091488i,0.00039602+0.00066483i,-0.00052921+0.00067971i,-0.0012204+0.0012319i
0.00071438+0.00073159i,0.0019229+0.00097604i,0.0031461+0.0016045i,0.0033167+0.0013278i,0.00076615+0.00057354i,-0.0019126+0.0012296i,-0.0021735+0.0020069i,-0.0012062+0.0021666i,-0.00047908+0.0013934i,-0.00051153+0.00036574i,-0.00023322-0.00022823i,0.00071273-0.00079935i,0.00020681-0.00052677i,-0.0005975-0.00042831i,-0.00020287-0.00057913i,-0.00026121-8.9181e-05i,-0.00064844+0.00062578i,-0.00015085+0.00060189i,0.0008377+0.00024678i,0.00089827-0.00059635i,0.00020118-0.001053i,0.00011859-0.00089465i,-1.4e-05-0.00011948i
0.0014673+0.00096852i,0.0016019+0.00015604i,0.0010297-0.00052761i,0.00046494-0.00054479i,-0.00057452+0.00056715i,-0.00099878+0.00085204i,-0.00097496+0.00076704i,-0.00083539+0.00045225i,-5.4623e-05-1.0239e-05i,-3.5314e-05+0.00049874i,-0.00070711-0.00033983i,0.00011215-0.0016118i,0.00087347-0.00097854i,-0.00015262-6.8467e-05i,-0.0012519+0.00018466i,-0.0010201+0.00016354i,-0.0001982-0.00010986i,3.0927e-05+1.4563e-06i,7.9487e-05+0.00032597i,-1.8622e-05+0.0001948i,8.7689e-05+0.00033737i,-0.0001746+0.0005161i,-0.00054426+0.00010801i
0.0014081+0.00062387i,0.00063005+0.00055008i,-0.00019201-9.0577e-07i,0.00017893-0.00045675i,-0.00027165-0.00028938i,-0.0018703-0.00029925i,-0.0029911+0.00011006i,-0.0021605+0.00055051i,-0.00084499+0.0010872i,0.00025833+1.6373e-05i,0.00086779-0.00086051i,0.00056227-0.000702i,0.00039294-0.00062398i,0.00045075-0.00032036i,-0.0001239+0.00022766i,-0.00092817+0.00029891i,-0.00049836-0.00089082i,0.00049114-0.00097746i,-0.00025106-1.1644e-05i,6.359e-07+0.00082618i,0.00037426+0.0005101i,0.00016307-0.00024982i,-2.5311e-05+1.6618e-05i
-0.0002564-7.4399e-05i,0.0014029-0.00042694i,0.0019071+0.00010308i,0.0015218+3.7702e-05i,0.00086567-0.0007449i,-0.0008663-0.00099569i,-0.0019676+5.347e-05i,-0.0011721+0.0010046i,-4.104e-05+0.0014904i,0.00053081+0.00094388i,0.00043399+2.3582e-05i,0.00011742-4.2227e-06i,-0.00056011+0.00010596i,-0.0013596-5.3075e-05i,-0.00069771+5.5401e-05i,-0.00026953-0.00013538i,-0.00040758-0.00053777i,-8.522e-05+0.00019151i,-0.00040791+0.00075059i,-0.00054733+0.0002336i,4.1654e-05+5.6388e-05i,0.00053439-9.7929e-05i,0.00053362-0.00036898i
0.00047406+0.00047934i,-0.00045279+0.0004869i,-0.0013006+0.00047851i,-0.0021068-0.0001869i,-0.0021578+0.00012209i,-0.0019533+0.00126i,-0.002271+0.0019255i,-0.0017936+0.001978i,-0.00086116+0.0013965i,-0.00026638+0.00059576i,0.0002609+0.00033672i,0.00084769+0.00058753i,0.00068498-0.00028635i,-0.00022299-0.00078922i,-0.00043333-0.0008721i,0.00015334-0.00036233i,0.00035051+0.00029631i,0.00010182+0.00024523i,0.00042923+0.00015401i,0.00045401-2.7745e-06i,4.4871e-05-0.0006104i,-0.0001553-0.001282i,0.00035962-0.00059393i
-0.0002671-0.00013599i,0.00018314-0.00059776i,0.0014928-0.00076i,0.0014036-0.0012646i,-0.00024324-0.0010835i,-0.0012222-0.00085591i,-0.0011235-0.00029059i,-0.00080415-2.9001e-05i,0.00027823-0.00060287i,0.00095445-0.00075806i,0.00070476-0.00076569i,0.00059408-0.00042647i,0.0002126-0.000312i,-0.00030555-0.00032488i,-0.00016447-0.00010886i,-0.00058886-0.00029569i,-0.00045893-0.00061883i,3.3821e-05-6.1056e-05i,-0.00010907+0.0003058i,-0.00064632-2.2469e-05i,-0.0014141+0.00041275i,-0.0011181+7.7707e-05i,-0.00028242-0.0002498i
-0.0011542+0.0012308i,-0.00099701+0.0021195i,-0.0013605+0.0028382i,-0.001568+0.0020018i,-0.0013505+0.00054829i,-0.0016204-0.00031508i,-0.0020065-0.00053755i,-0.00067436-3.6514e-05i,0.00053874+0.00020713i,0.00033803-0.00013804i,8.2803e-05-0.00095315i,0.00037163-0.00084965i,-4.6446e-05-0.00034619i,-0.00031797-0.0011241i,0.00022151-0.0009936i,0.00077368-0.0002557i,0.00031184-0.00027505i,-0.00069272+0.00010744i,-0.0015952+0.00013435i,-0.0014012+0.00014555i,-0.00063407+1.6107e-05i,0.00027374-4.4529e-05i,0.00019129+8.1868e-05i
-0.001397-5.3113e-05i,-0.00059349-0.0010638i,0.00016163-0.0013018i,-0.00010137-0.0011773i,-0.00013778-0.00094266i,-0.0010162-0.0001854i,-0.002041+2.7522e-05i,-0.0014193+0.00022493i,-0.00023102+0.00014371i,0.00061838-0.00039201i,0.00095524-0.00016178i,0.00075649+0.00043634i,0.0003493-0.00039348i,-0.00084901-0.001094i,-0.0014325-0.00062862i,-0.00047471-0.0010462i,0.00026428-0.00089695i,0.00058991+0.00041836i,-0.0001793+0.00071643i,-0.00075021+0.00011848i,0.00024414+8.5017e-05i,0.00025754-0.00033943i,0.00014688-0.00079988i
0.0012154-0.00067392i,0.0018418-0.00049i,0.0028363-0.00079498i,0.0025606-0.0010326i,0.00099293-0.00050584i,-0.00068423+0.00093998i,-0.0006858+0.0025332i,0.0008046+0.0026807i,0.0010912+0.0014147i,0.00044716+3.9834e-05i,0.00063519+0.00049125i,0.000991+0.00046295i,0.00032098-0.00018819i,-0.00032831-0.00069743i,-0.00074-0.0012941i,-0.000707-0.0010042i,0.00020917-0.00013835i,0.00056945+5.4236e-05i,-0.00039887+0.0002258i,-0.00091075+0.00036507i,-0.0001828+0.00042733i,0.00012147+0.00016918i,-0.00045257-0.0003532i
0.00024578+0.0021296i,0.00045606+0.0019046i,0.00058975+0.0015128i,-0.00015978+0.00017624i,-0.00076233-0.00066025i,-0.0017017-0.00036744i,-0.0021539+0.00063348i,-0.0019723+0.0007901i,-0.0014288+0.00018528i,-0.00036611-0.0007452i,4.0719e-05-0.0012426i,-0.00016157-0.00035022i,3.1678e-05-5.0065e-06i,3.7749e-05-0.0005854i,-0.00043703-0.00065679i,-0.0008277-0.00041813i,-0.00052823-0.00069774i,-0.00046568-0.0010252i,-0.00046967-0.00024784i,-0.00076624+0.00067447i,-0.00091135+0.00091315i,0.00035468+0.0010187i,0.0008646+0.00097199i
-0.0024838+0.0037174i,-0.0012096+0.005395i,0.00035679+0.0069662i,0.0026295+0.004496i,0.0019491+0.0013901i,-0.0011697+0.00027372i,-0.0022713-2.5955e-06i,-0.001551-0.00037653i,-0.00062871-4.1985e-05i,0.00098401+0.00049833i,0.0013621-0.00036633i,0.00081184-0.001208i,0.00042284-0.0012971i,0.00034765-0.0012896i,-2.6652e-05-0.001995i,-0.00031198-0.0016758i,-0.00010834-0.00049242i,-0.00074266-2.9518e-05i,-0.0013641-0.00014091i,-0.00050483-0.00040744i,0.00047646-0.00019388i,0.00054786+0.00019127i,7.4715e-05-0.00016468i
