-0.00033248-0.0006829i,0.00070517-0.00092633i,-0.00048155-0.00044195i,-0.00090634+0.00051199i,-0.0011003+0.00079766i,-0.0022334+7.0101e-05i,-0.0024488+0.00041789i,-0.0013232+0.00094862i,0.00057214+0.00050488i,0.0013087+0.00072173i,0.00059098+0.00098112i,-3.4374e-05+0.00010216i,-0.00014749-0.00099574i,-0.00013248-0.0015214i,-0.00043933-0.00087744i,-0.00092196-3.706e-05i,-0.00028163+0.00013535i,9.3933e-05+0.00083332i,-0.00022676+0.0011473i,-5.0863e-05+0.00037003i,0.00046892+0.00031682i,-0.00011472+0.00035197i,-0.00060261+0.0001569i
-0.00054729+0.0001906i,0.00037595-0.00014347i,0.00044743+0.00060104i,0.0016847+0.0002638i,0.0023008-0.0013268i,0.0013324-0.0028167i,0.00032942-0.003132i,-0.00024681-0.002122i,-0.00026201-0.0012523i,-7.8769e-05-0.0011409i,3.7796e-05-0.0011472i,0.00024668-0.0011682i,0.00058904-0.00027503i,0.00096828+0.00045284i,0.0012588+0.00010223i,0.0011344+0.00024512i,0.00022625-0.00037509i,-0.0003769-0.00034712i,-0.00040559+0.00020054i,-0.00061095+0.00010789i,-0.0008283+1.4879e-05i,-5.9809e-06+0.00033903i,0.00042902+0.0001698i
0.00054971+0.00090695i,0.00098807+0.0013723i,0.0032483+0.001789i,0.004672+0.0005929i,0.0043374-0.00097323i,0.0023478-0.0010505i,0.00032809-0.00050362i,-0.00036159-0.00019028i,-0.0008294+0.00016124i,-0.00024869+0.00014356i,0.00079102-0.00010434i,0.0010523-0.00025177i,0.00080202+0.00016083i,0.00063733+0.00017448i,0.00071983+0.00025065i,0.00085066-6.2357e-05i,0.00080169-0.00091834i,0.00061546-4.9403e-05i,-0.00013509+0.00021844i,-0.0010709-3.898e-05i,-0.00038847-3.248e-05i,9.4814e-05-0.00049846i,-0.00031693-0.00023587i
-0.00020777+0.0023309i,0.0005168+0.0020825i,0.0018473+0.0019323i,0.0036215+0.001142i,0.0053798-0.00080513i,0.0037722-0.0011918i,0.00073088-0.0010243i,-0.00020715-0.0003928i,0.00057381+0.0011929i,0.0018925+0.0016961i,0.0017845+0.00074218i,0.00093763-0.00056701i,0.00012079-0.0016281i,-0.0007661-0.00096091i,-0.00085292+0.00014865i,-0.0004035-0.00053192i,3.1571e-05-0.00078827i,-9.4566e-05+0.00023735i,0.00014512+0.00055104i,0.00066863+0.00026988i,0.00068767-0.00027145i,0.0004157-0.00033304i,-0.00019267+2.7142e-05i
-0.0023885+0.00090452i,-0.0020002+0.0018909i,-0.0017391+0.0019689i,-0.00050374+0.0017725i,0.00057188+0.0013494i,-5.6032e-05-5.0082e-05i,-0.00057013-0.00083462i,0.00023046-0.00017494i,0.0015424+0.00013381i,0.0021355-0.00048355i,0.001974-0.00089852i,0.00088676-0.00058303i,0.00051559-0.00016767i,-0.00013927-0.00023255i,-0.001073-0.00015531i,-0.00028768-0.00024144i,4.3353e-05-0.0005916i,-0.00067894-0.00026996i,-0.00012386+0.00024006i,0.00031316+0.00061138i,0.00011351+0.0004568i,0.00014651-0.00013823i,-5.7301e-05-3.2203e-05i
-0.00087214-0.00093036i,-0.00086755-0.00094767i,-0.00066721-0.00074017i,0.00045076-0.00059347i,0.0014117-0.00055098i,0.00049654-0.0002481i,-0.00070424-0.00037064i,-0.0011278-0.00048197i,-0.0014115-0.00089676i,-0.0013817-0.001624i,-0.0008374-0.00060578i,-0.0002962+0.00069263i,0.00041509+0.00075012i,0.00049444-0.00040068i,0.00031125-0.00084773i,0.00046855-0.000114i,0.00031412+0.0002525i,-7.4751e-05-0.00019034i,-0.00045064+0.00024167i,5.3043e-06-2.6052e-05i,0.0001484-0.00046243i,-0.00027817+6.0032e-05i,0.00047971+0.00044445i
-0.0011087+0.0003853i,-0.0017552-0.00055602i,-0.0010855+0.0002218i,0.0010456+0.00066673i,0.0025423-0.00031413i,0.002874-0.0018231i,0.00042364-0.0018467i,-0.0013247-0.00065974i,-0.0015877+0.00021845i,-0.0015226+0.00049718i,-0.00077529+0.00036019i,-5.2393e-05-0.00026525i,0.00043429+0.00025987i,0.0010482+0.0008274i,0.00092791+0.00040031i,7.0976e-05-0.00051866i,-0.00027216-0.0010468i,-0.00019307-0.00065995i,-0.00075815-9.284e-05i,-0.00047925+0.00010648i,-9.2358e-05+0.00015624i,-0.00037455-0.00015823i,-0.0006843+4.3844e-05i
-0.00073062-0.00080351i,0.00085661-0.0006384i,0.0013359-0.0004001i,0.00071328+0.00028516i,0.00079156+0.00015105i,0.0014134-0.00077483i,0.00073723-0.0011813i,-0.00056524-0.00051643i,-0.00015348+0.0016203i,0.0010818+0.0021893i,0.0012293+0.0017341i,0.0003572+0.00056391i,-7.5499e-05-0.00041014i,0.00010021-0.00020511i,-0.0002327-0.00056412i,-0.00069505-0.00083799i,-0.00034334-0.00037521i,-0.00026099+0.00034678i,-0.00076093+0.00039375i,-0.00063922+6.2239e-05i,-8.8373e-05+0.0004182i,0.00040312+0.00084283i,0.00073173-2.9411e-05i
-0.00043657+0.0011382i,0.0011128-0.00035398i,0.0018385-0.0009903i,0.0025353-0.0013144i,0.0025503-0.00084144i,0.001236-0.00091378i,0.00074437-0.0014403i,0.00060374-0.0010499i,0.0012877-0.001005i,0.0025336-0.0020003i,0.0027119-0.0024793i,0.0015168-0.0013752i,0.00067039-2.4406e-05i,0.00086987+0.00055417i,0.00093643+0.000587i,0.00095623+0.00022265i,0.0011219-0.0004476i,0.0013706-0.0013379i,0.00059498-0.0018539i,-0.0004489-0.0015714i,-0.00019063-0.00043674i,-8.6991e-05+0.00068264i,-0.00015001+0.00038542i
0.00098854-0.00075883i,0.0019884+0.00070373i,0.0014625-6.0514e-05i,0.001423-0.00036092i,0.0016312+0.00087551i,0.0011603-1.8402e-05i,0.00026531-0.0018104i,-0.00044415-0.002264i,-0.00057222-0.0023885i,-0.00054372-0.0028084i,-0.00033746-0.0018337i,-0.00019382+0.00016997i,0.00038439+0.00094654i,0.0011361+0.00059095i,0.0011814+0.00047297i,0.0011978+0.00040637i,0.0013547+0.00055781i,0.00032338-0.00013023i,-0.00010564-0.0012781i,8.3905e-05-0.0011473i,4.7512e-08-0.00041443i,-0.00039023+0.00072216i,-0.00057784+0.00083037i
-0.0013084-0.0013825i,-9.8664e-05-0.0010741i,5.8127e-06-0.00044036i,-0.00055491+0.00038134i,-0.00061552+0.00039296i,0.00042119+8.833e-05i,0.0007183+0.00033827i,0.00033196+0.00106i,1.6265e-05+0.0013321i,-0.00078324+0.0012821i,-0.00091631+0.0012022i,-0.00079193+0.0004836i,-0.00091903-0.00064177i,-0.00025234-0.0005288i,0.00014508+0.00060198i,0.00020412+0.00065384i,0.00025475-0.00018894i,0.00095081-0.00073434i,0.0018391-0.00032476i,0.0014537-1.0103e-05i,0.00091203-0.0006897i,-2.5157e-05-0.00047092i,-0.0009388+0.00087771i
0.00031613+0.00025496i,-0.00091226+0.00020249i,-0.00019408-0.00047087i,0.0017133-0.001088i,0.0026721-0.0012952i,0.0014784-0.0013243i,-9.6396e-05-0.0015541i,0.00020536-0.0016828i,0.0019481-0.00071753i,0.0035103+0.00025085i,0.0032179+9.9518e-05i,0.0015297-0.00031931i,-0.00014647-7.9651e-05i,-0.00092579+0.00074133i,-0.0011149+0.00054402i,-0.0005407-0.00010478i,0.00017102+0.00062346i,0.00055207+0.00090803i,0.001484+3.6678e-05i,0.0011011-0.00023101i,-3.5296e-05-0.00026553i,0.0003461-3.1657e-05i,0.0008416+0.0012741i
-0.0020503-0.0019708i,-0.00089663-0.001986i,2.6545e-05-0.00040505i,0.0018548+0.00037725i,0.0035957+0.00010469i,0.0031259-8.5742e-05i,0.0012983-0.001253i,0.0009766-0.002437i,0.002925-0.0024402i,0.004523-0.0018755i,0.0037624-0.002031i,0.0010021-0.0013733i,-0.00095149+3.4227e-05i,-0.0010394+0.0011173i,-0.00059261+0.0017355i,9.3001e-05+0.0013696i,0.00079198+0.00078448i,0.00071601+0.00081843i,0.00055477+0.00042864i,0.00087262-0.00015012i,9.0786e-05-0.00027272i,-0.00083008-0.00026282i,-0.0014246-0.00021431i
0.00066266+1.5197e-05i,0.0010355-0.0018558i,0.0019444-0.0015477i,0.0016275-0.00052987i,0.0015797-0.001615i,0.0015314-0.001737i,-0.00016454-0.00093621i,-0.0004567-0.00087722i,0.00014992-0.0011853i,-0.00040861-0.0022187i,-0.0012072-0.0024826i,-0.00019772-0.001012i,-7.3472e-05-0.00036618i,-0.0016676-0.00088535i,-0.0023152-0.00036873i,-0.0011737+0.00041011i,-4.4621e-05+0.00087937i,0.00027131+0.00098466i,0.00030877+0.00092047i,0.00046042+0.0013006i,0.0010059+0.0017528i,0.00084798+0.0011618i,-0.00020837+0.00019142i
0.0018359-0.00068993i,0.0026101-0.00041599i,0.0035481-0.00050256i,0.0029034+8.4654e-05i,0.00098406+0.0009215i,0.00093132+0.001338i,0.00055956+0.0014345i,-0.00029008+0.0016858i,-0.0004912+0.0031342i,-0.00082786+0.0036219i,-2.6686e-05+0.0023925i,0.00087257+0.00090154i,0.00087467-0.00024639i,-0.000413-0.0012862i,-0.0018579-0.0013417i,-0.0014702-0.00059975i,-0.00061521+0.00018643i,-0.00017238+0.0011138i,-0.00039983+0.0013465i,0.0001205+0.0013747i,0.001091+0.0015847i,0.00093388+0.0012508i,-0.00014293+0.00054064i
0.00072333-0.00012778i,0.002266+0.00054041i,0.0033799+0.00084958i,0.0034149+0.0010111i,0.0038977+0.0013583i,0.0044027+0.0008148i,0.0036579+0.0002202i,0.0032073+0.00086559i,0.0038101+0.0024349i,0.0043563+0.0034128i,0.0035768+0.0024902i,0.0022629+0.00033574i,0.00083219-0.00018991i,-0.0011467+4.9717e-05i,-0.0023634-0.00098093i,-0.0020185-0.0013454i,-0.00089373-0.00050978i,-0.00021559-1.234e-05i,-0.00095183+0.00062812i,-0.00089982+0.0010013i,-0.00020372+0.00078627i,-0.00026961+0.0006928i,0.00023756+0.0011908i
0.0010937+0.0025751i,0.0015057+0.0027239i,0.0015802+0.0022607i,0.0024119+0.00077295i,0.0023486-0.00070397i,0.0016378-0.0018556i,0.00043373-0.0028623i,-3.2684e-05-0.0028409i,0.0011666-0.0028727i,0.0020946-0.0031942i,0.002212-0.0024163i,0.0015299-0.0013313i,0.00061501-0.0010702i,0.00021702-0.001276i,0.00028257-0.0017324i,0.00043236-0.0014322i,0.00044993-0.00064646i,-0.00057737+0.00024288i,-0.0013826+4.3589e-05i,-0.00099422-0.00052159i,0.00018652-9.949e-05i,0.0005001+0.00027838i,0.00011133+0.00022911i
0.00078523-0.00070305i,0.00040988-0.00035391i,0.00049316-0.00037579i,0.00048285+3.7005e-06i,-0.00049896+0.00020751i,-0.0016495+5.2626e-05i,-0.0026605+0.00074452i,-0.0031079+0.00088789i,-0.0046474-0.00047625i,-0.0056678-0.0015383i,-0.0038145-0.00082204i,-0.0018897-0.00024474i,0.00039911-1.8289e-06i,0.0020746-2.9712e-05i,0.0014519-0.0010242i,0.0011235-0.0022367i,0.0016423-0.0015172i,0.001614-0.00050902i,0.00083792-0.00097508i,1.9958e-05-0.00080193i,-0.00021561+0.00083973i,-0.0001936+0.0014297i,-1.0585e-05+0.0010977i
-0.0026312+0.0015454i,-0.0019556+0.0022501i,-0.00025015+0.0033792i,0.0020559+0.002378i,0.00206+0.0005494i,0.0014002-0.00049223i,0.0010396-0.0003025i,-0.00065418+0.0015852i,-0.0024279+0.0044647i,-0.0030779+0.0054883i,-0.0022583+0.0045568i,-0.00039489+0.0024009i,0.0011888+0.0010972i,0.0019542+0.00023123i,0.0018575-0.00068216i,0.0014272-0.00074313i,0.00071788-0.00032287i,0.00030605-0.00039254i,0.00048123-0.0019192i,0.0005624-0.002589i,0.000202-0.0011821i,0.00023364+0.00012011i,0.00015372+0.00049421i
0.0013478-0.00095705i,0.00051262-0.001146i,-0.00058628-0.00056405i,-0.00026245-0.00023217i,0.00085096-0.0012117i,0.00045159-0.0028288i,7.8245e-05-0.0030859i,0.0018131-0.0014955i,0.0034579+0.00099316i,0.0028345+0.002194i,0.0019174+0.0017313i,0.0012968+0.0010409i,0.001437+0.00067607i,0.0014033+0.00070945i,0.0013109+0.00085345i,0.0014796+0.0009938i,0.00080036+0.00031481i,0.00088621-0.00057328i,0.0017809-0.00076336i,0.00075844-0.00063049i,-0.0013266-0.00093598i,-0.0018319-0.00091533i,-0.00055712-0.00050272i
-0.0010374+0.00059107i,-0.00026975+7.649e-05i,0.00066694+0.0001884i,0.00078259-0.00027872i,0.00031779-0.0016793i,0.00073352-0.0030539i,0.00068584-0.003633i,-0.00044868-0.0039657i,0.0004479-0.0052937i,0.0016784-0.0054128i,0.0021869-0.0043835i,0.0013864-0.0028282i,-0.00047101-0.00063832i,-0.00023875+0.0010793i,0.00066082+0.0013881i,0.00077301+0.00071306i,0.0010299+0.00065086i,0.0011569+0.0015864i,0.0016068+0.0015109i,0.0017055-4.5409e-05i,0.00018894-0.00089387i,-0.0013685-0.0009971i,-0.00075907-0.00040007i
-0.0015097+0.00054746i,-0.0012829-0.00084572i,-0.00050228-0.0022679i,-0.00030785-0.0019657i,-0.00049742-0.0021257i,0.00046406-0.0027126i,0.00016735-0.002507i,-0.0023857-0.0023i,-0.0047634-0.0030647i,-0.0050596-0.0040082i,-0.0041974-0.0036576i,-0.0027876-0.0020462i,-0.0017376+0.00014655i,-0.0014571+0.0018649i,-0.0002475+0.0019435i,0.0010585+0.0014468i,0.00088713+0.00053867i,0.0004283-0.0003318i,0.0013361+6.4074e-06i,0.0016713-1.7715e-05i,0.00102-0.00069653i,-0.00039871+9.7213e-05i,-0.0017009+0.00026571i
0.00013816-0.0024822i,0.0013196-0.0027686i,0.0014759-0.0024854i,0.002139-0.00077066i,0.0034968-5.649e-05i,0.0043569-0.00030455i,0.0031292-0.00088633i,0.0010964+0.00023335i,-0.00074404+0.0024254i,-0.001837+0.001994i,-0.0017658+0.0021582i,-0.0013045+0.0032738i,-0.0015645+0.0023964i,-0.0026026+0.001538i,-0.0029654+0.0016758i,-0.0017036+0.0015935i,-0.001207+0.00076288i,-0.0014284+0.00074447i,-0.0010497+0.0006916i,-0.00050591+7.8573e-05i,-8.4947e-05-0.00067271i,-0.00033934-0.00061155i,-0.00035664-0.00029656i
-0.0011509-0.00060489i,-0.00019117+0.00044527i,-6.9337e-05+0.00037565i,0.00027662-0.0015779i,0.0015723-0.002492i,0.0018675-0.0022883i,0.0018835-0.0023751i,0.0041433-0.0020478i,0.0067766-0.0015019i,0.0068899-0.00063485i,0.0051268-0.00010439i,0.0029571+0.00013361i,0.0009284-0.00063206i,-0.0009728-0.00033828i,-0.0019844+0.0010065i,-0.0012076+0.00094895i,-0.00040066+0.00057176i,-0.00099406+0.00034992i,-0.0019185+0.00062579i,-0.0020001+0.0014822i,-0.0003779+0.0012638i,0.00053877-0.00020192i,0.00018681-0.0014781i
-0.0012471+3.2484e-05i,-0.00033386-0.00030295i,0.00065546-0.00047466i,0.0019839-0.0017865i,0.0038686-0.0023346i,0.0033598-0.0018697i,0.0022474-0.0021701i,0.0023378-0.0031926i,0.0028619-0.0046124i,0.0035842-0.0058333i,0.0041812-0.0056996i,0.0032149-0.0043102i,0.0016242-0.003033i,0.00067765-0.0024958i,-0.00061687-0.001918i,-0.00047802-0.0010466i,0.00055388-9.1958e-05i,0.0004163+0.00032012i,-0.00025003+0.0010478i,-3.594e-05+0.0014166i,0.00072244+0.00098105i,0.00069398-6.9862e-07i,0.00034008-0.00091284i
-0.0002572+0.00035735i,0.0016383+0.0015029i,0.0030289+0.0011123i,0.0049059-0.00034644i,0.0056962-0.0011426i,0.0036286-0.0011679i,0.0011224-0.0013133i,-0.00081393-0.0016058i,-0.0018098-0.0015855i,-0.0021555-0.0020449i,-0.0025896-0.0026092i,-0.0020953-0.0019613i,-0.0010153-0.0009148i,-0.00049854-0.001462i,-0.00055825-0.0022804i,-0.00093332-0.0010913i,-0.00061192-0.00083318i,-0.0001437-0.0026617i,-0.00053627-0.0032975i,-0.0011905-0.0026142i,-0.00063086-0.0015576i,0.0006765-0.00043966i,0.0007489-0.00027498i
-0.0036733+0.0027502i,-0.0045622+0.0027032i,-0.0032516+0.003638i,0.00046453+0.0030256i,0.0044138+0.0013165i,0.0050727-0.0005724i,0.0017882+0.00017307i,-0.00029486+0.0038878i,0.00070625+0.0076529i,0.0018332+0.0073792i,0.00144+0.005423i,0.0004681+0.0032284i,0.0009271+0.00027811i,0.0015665-0.0015403i,0.0013064-0.001474i,0.00031816-0.00091234i,-0.00037538-0.0014089i,-0.00061525-0.0021694i,-0.0010385-0.0030417i,-0.0011569-0.0023292i,-0.00041145-0.00018921i,0.00052019+0.00038425i,0.0012112+0.00048646i
0.00015444-0.00038651i,0.0015286-0.0021075i,0.0043599-0.003336i,0.0065028-0.0021654i,0.0065072-0.0010573i,0.0038068-0.0011332i,0.0016667-0.00060744i,0.0024201+0.00087253i,0.0056375+0.002122i,0.0085587+0.0023016i,0.0079734+0.0016234i,0.0053876+0.0012407i,0.0036002+0.00047998i,0.0031508-0.00053688i,0.0023778-0.00076573i,0.0012887-0.00061222i,0.0012582+0.00016678i,0.00155-0.00010197i,0.0011688-0.00067327i,7.9175e-05+1.8556e-06i,0.00014265+0.0010064i,0.00075355+0.0022113i,0.00083466+0.0026245i
-0.0012022+0.0013498i,0.00011918+0.0014096i,0.0022081+0.0018913i,0.0038982+0.0012844i,0.0043429+0.00038212i,0.0025634-0.00054572i,0.00044276-0.0014836i,-7.0269e-05-0.0026316i,-0.00038021-0.0037431i,0.00024879-0.0040729i,0.0024244-0.0038756i,0.0035146-0.0037249i,0.002782-0.0023456i,0.0020777-0.00052097i,0.0021344-0.00076223i,0.001541-0.0012013i,0.0016526-0.00060222i,0.0034214-0.00050593i,0.0042752-0.0012572i,0.0031879-0.001463i,0.0019996-0.00057603i,0.00091498+0.00019987i,0.00053255+0.00036246i
0.00017469+0.0025484i,-0.00019204+0.00060288i,-0.00015094+0.00031932i,0.0011163+0.0010698i,0.0020569+0.0018992i,0.0015779+0.0016731i,-0.00064498+0.00080751i,-0.0044193+0.0015725i,-0.0071555+0.0027431i,-0.00728+0.0032142i,-0.0050499+0.0022665i,-0.0036881+0.0008402i,-0.0017038+0.0015637i,0.0011127+0.0022401i,0.0018593+0.0010408i,0.0017233-0.00013506i,0.0019794+0.00019201i,0.0029928+0.0010808i,0.0032657+0.00025821i,0.0014776-0.0013313i,-0.00021039-0.0018699i,-0.00018472-0.00082029i,-0.00033916-0.00014724i
0.0043259-0.0011849i,0.0058385-0.0010701i,0.0063689-0.00051577i,0.0039954-0.00048045i,0.0011717-0.00049666i,9.8279e-06+0.0005832i,-0.00016442+0.0014681i,-0.0002949+0.0037198i,-0.00029348+0.0065938i,-0.00023888+0.0073211i,-0.00034855+0.0060173i,-0.00046338+0.004786i,0.00049233+0.0035239i,0.00042361+0.0023431i,-0.00013738+0.0018041i,-0.00053501+0.0012315i,-0.00096616+0.0013307i,-0.00037454+0.002239i,0.00037898+0.0026954i,0.000371+0.0022866i,0.00019867+0.0015477i,-0.00046084+0.00092365i,-0.0016572+0.00053441i
-0.00089502+0.0026181i,-0.0016234+0.0049346i,-0.00062194+0.0066642i,0.00080919+0.0059231i,0.00036287+0.003504i,-0.0016187+0.00091002i,-0.0020864-0.0014441i,0.00031662-0.0021206i,0.0031385-0.0025616i,0.0044632-0.00273i,0.0047484-0.00071878i,0.0032215+0.00080329i,0.0014129+0.00049014i,-0.00013043+7.863e-05i,-0.0011637+0.0005877i,-0.00084557+0.0015413i,-0.00063186+0.0017367i,-0.0010518+0.0023909i,-0.00060561+0.0043201i,0.00012574+0.003968i,0.00041691+0.0018865i,0.00019004-4.2909e-05i,-0.00046093-0.00060831i
0.0025293-0.0020485i,0.00029004-0.0028411i,-0.00097454-0.002661i,-0.00085865-0.0010636i,-0.00082728+0.00014658i,-0.0010618+0.00018356i,-0.0013055-0.0015305i,-0.0023617-0.0046344i,-0.0034465-0.0078527i,-0.0035497-0.0090394i,-0.0021846-0.0063915i,-0.00094125-0.002908i,-0.0013589-0.0014218i,-0.0022972-0.0009259i,-0.0016485-0.00011952i,-0.00076686+0.0010633i,-0.0010899+0.0010202i,-0.0019006+0.00015722i,-0.0013259+0.0011674i,-0.00022017+0.0017505i,0.00022337+0.00067495i,0.00022952-0.00042362i,0.00014253-0.00053285i
5.4013e-05-0.00013463i,0.00070941+0.0011756i,0.00070602+0.0029271i,-0.0014727+0.0027083i,-0.0022291+0.00041795i,-0.00036128-0.0017383i,-0.0010194-0.0025291i,-0.0041688-0.0022857i,-0.0064509-0.00094499i,-0.0072267+0.00041005i,-0.0067794-0.000328i,-0.0043283-0.0016001i,-0.0020798-0.0010189i,-0.001792-0.00077051i,-0.0022065-0.00077322i,-0.0018693-0.00047128i,-0.0016709-0.00054256i,-0.0026696-0.00092512i,-0.0037638-0.0012149i,-0.0030257-0.0009176i,-0.0017249+0.00014001i,-0.00092767+0.00033393i,-0.0006876+0.0002942i
-0.00011263-0.00011816i,-0.001337-0.00095625i,-0.002706-0.0010941i,-0.0026676-0.0020204i,-0.001493-0.003802i,-0.00073685-0.0043239i,0.00054356-0.0033214i,0.0025127-1.1103e-05i,0.0042047+0.0029973i,0.0044068+0.003826i,0.002409+0.0045076i,0.0017028+0.0042445i,0.0021335+0.0017146i,0.0010601-0.0002632i,-0.00074633-0.00037589i,-0.0016311-0.00044569i,-0.0018717-0.0011695i,-0.0016197-0.0020463i,-0.0017338-0.0024922i,-0.0014346-0.0017865i,0.00011596-0.00019354i,0.00070916+0.00045478i,3.0026e-05-0.00013001i
0.0038384-0.0023118i,0.0046156-0.0031141i,0.0041138-0.0036043i,0.0020103-0.0019376i,0.00023586-3.0687e-06i,5.4259e-05+0.00057716i,0.0022304-2.1615e-05i,0.0053521-0.0026523i,0.0079027-0.0061503i,0.008526-0.006919i,0.0060739-0.0050667i,0.0033145-0.0031364i,0.0020282-0.0020437i,0.00084951-0.0016777i,1.47e-05-0.0012695i,-2.358e-05-0.0010952i,0.00016509-0.0011742i,0.00064073-0.001529i,0.00067156-0.0023244i,0.0004229-0.0030669i,0.00024178-0.0027156i,0.0003411-0.0016978i,0.00093665-0.0010541i
-0.00048735-0.00050519i,-0.0013699+0.00036621i,-0.0026264+0.00044411i,-0.0032633-0.001294i,-0.0017611-0.0027617i,0.0011981-0.0026238i,0.0024897-0.0029635i,0.0021248-0.0038293i,0.0013378-0.0054367i,-0.00065819-0.0073799i,-0.002014-0.0076252i,-0.0014093-0.0055881i,0.00010401-0.0027529i,0.0010587-0.0014506i,0.00085059-0.0013048i,0.00098429-0.0013751i,0.0023072-0.0013612i,0.0026875-0.0022422i,0.0019297-0.0032713i,0.00056292-0.0031622i,-0.00075341-0.0020737i,-0.0014116-0.00047081i,-0.00099775+0.00017534i
0.0017964-0.00071549i,0.00072359-0.00074959i,-0.00024798-0.0014682i,-0.00064603-0.0030796i,0.00031226-0.0058361i,0.001238-0.006423i,0.00048187-0.0030795i,-0.0010169+0.0018238i,-0.0026078+0.0053264i,-0.0045419+0.0048846i,-0.0055898+0.0030263i,-0.0043937+0.0020673i,-0.0019106+0.0023109i,0.00030846+0.0022644i,0.0020189+0.00069642i,0.0025439-0.00040705i,0.0018624-0.0007889i,0.001754-0.0010234i,0.0018604-0.0010176i,0.0010559-2.9163e-05i,0.00015548+0.00088955i,-8.5312e-05+0.0008913i,-0.00028169+0.00087719i
0.0034573-0.00083817i,0.0027033-4.7454e-05i,0.0025507-0.00065399i,0.0029311-0.0016161i,0.0025978-0.0016396i,0.0019761-0.0014575i,0.0014942+0.00025694i,0.0026431+0.0038148i,0.0054623+0.0073961i,0.0075405+0.0082851i,0.0057148+0.0065238i,0.00219+0.0046063i,0.00059954+0.0037037i,0.00048705+0.0022603i,0.0011449+0.00086875i,0.0015747+0.00069239i,0.001001+0.00084578i,0.0013082+0.0014896i,0.0024074+0.0012705i,0.0023445+0.00038803i,0.0014531-0.00072021i,0.0003863-0.0015966i,0.00027692-0.0010286i
-0.00036727-0.0031976i,-0.0010451-0.0042657i,-0.0011409-0.0055655i,0.0008331-0.0041963i,0.0040747-0.0026409i,0.0052037-0.0011142i,0.0043691+0.00044403i,0.0048959+0.00096654i,0.0067187-0.00082085i,0.007223-0.0039292i,0.006099-0.0037731i,0.0040994-0.0022525i,0.0023106-0.0018935i,0.0012144-0.00063757i,0.0010373+0.0013971i,0.0010175+0.00181i,0.0013707+0.00086254i,0.0020538+0.00026532i,0.0022416+0.00068117i,0.0020538+0.00078109i,0.0011534-0.00046708i,-0.00025171-0.0014054i,-0.0011542-0.00079227i
0.0026621-0.00049701i,0.003247+0.0013928i,0.0038923+0.00050598i,0.0049661-0.00080776i,0.0059684-0.00098505i,0.0055127-0.001476i,0.0020186-0.0018066i,-0.0025103-0.0023499i,-0.0053128-0.0038276i,-0.0064405-0.0045164i,-0.005902-0.0044924i,-0.004229-0.0041494i,-0.0026864-0.0029282i,-0.0017261-0.0014759i,-0.00082183+0.00027508i,0.00051085+0.00086459i,0.0012941-3.006e-05i,0.00024597-5.9827e-05i,-0.00081386+0.00093591i,-0.00037719+0.001059i,-0.00015013-0.00011685i,0.00032947-0.00043324i,0.00072851+0.00084906i
-0.002479-0.0029922i,-0.0023564-0.0019741i,-0.0013675-0.0013198i,0.0019833+0.00064171i,0.0048522+0.0012206i,0.0052752-6.6259e-05i,0.0013931-8.9037e-05i,-0.004634+0.0022059i,-0.0079183+0.0045195i,-0.0075169+0.0060162i,-0.0059516+0.0059171i,-0.0039429+0.0038163i,-0.0022901+0.0021242i,-0.0015448+0.002363i,-0.0014551+0.0019901i,-0.00082959+0.00095568i,-2.0422e-05+0.00081307i,-0.00054875+0.001495i,-0.0014398+0.0015757i,-0.00050948+0.0014726i,0.0013257+0.0012441i,0.0016929+0.00015186i,0.00097448-0.00028891i
0.0025429-0.0010194i,0.0031239-0.0018725i,0.0048792-0.002833i,0.0061676-0.00077198i,0.0052174+0.0016095i,0.0029172+0.0020728i,-2.3853e-05+0.0017017i,-0.0012743+0.0030161i,0.00076176+0.0051776i,0.0034806+0.0060095i,0.0040115+0.0045805i,0.0030197+0.0025869i,0.0021947+0.0011539i,6.0472e-05-0.00018599i,-0.0018856-0.00079676i,-0.0023704-0.00020483i,-0.0018986-5.96e-05i,-0.0012805-0.00067541i,-0.00074493-0.0010732i,0.00040085-0.00033381i,0.0013628+0.0010211i,0.0011507+0.00058253i,0.00018357-0.00039658i
0.0016353-0.00303i,0.0012882-0.0012392i,0.0018329+0.0007481i,0.0032858+0.0034068i,0.0041452+0.0061556i,0.0031625+0.0064853i,0.0012031+0.002586i,0.0011118-0.001959i,0.0026946-0.0052249i,0.0031661-0.0070546i,0.0025739-0.0063931i,0.0027758-0.0038069i,0.0023514-0.003115i,0.00082971-0.0035879i,-0.0014538-0.0025918i,-0.0026288-0.00018054i,-0.0012407+0.0012278i,-1.2847e-05-0.00077244i,-0.00024544-0.0025211i,-0.0010292-0.0011546i,-0.001504+0.0005309i,-0.00099885+0.00059161i,-0.00085341+0.00030357i
