0.0023603+0.00020516i,0.0024871-0.0015475i,0.0016996-0.001781i,4.9086e-06-0.00092663i,-0.001197+0.00051876i,-0.0009441+0.0023581i,-0.00060862+0.0029217i,-0.00079698+0.0018891i,-2.9442e-05+0.0015069i,0.0012088+0.0010789i,0.00054595+0.00029708i,-0.00013136+7.7856e-05i,-0.00013438+0.00018836i,-0.00028682+0.0013167i,-6.6226e-06+0.0015417i,0.00034269+0.00046419i,0.00028055-0.00018658i,0.00063066-1.8989e-05i,0.00097349-5.3748e-05i,0.00074966+0.0001384i,0.00044123+0.00014507i,0.00013672+2.7659e-05i,3.8297e-05-6.3083e-05i
-0.00050948+0.00073343i,0.00022535+0.00020059i,0.00053564+0.00063499i,6.2464e-05+0.0012937i,0.0010809+0.0010257i,0.0024315+0.00058159i,0.0017497+0.0010777i,-6.087e-05+0.00058205i,-0.00029603-0.00022313i,-0.00073699+0.00046705i,-0.00075933+0.0012967i,5.8762e-05+0.0017154i,0.00034259+0.0012536i,0.00055603+0.00017519i,0.00046469-0.00047291i,-5.3516e-05-0.00068315i,2.2874e-06-0.00081434i,-0.00025824-0.00041519i,-0.0008147+0.00024827i,-0.00056354+0.00024545i,4.7129e-05-0.00056311i,0.00029251-0.00046416i,0.00017424+0.00012882i
-0.0027773-0.001705i,-0.0030814+0.00096833i,-0.0044321+0.0025217i,-0.0036474+0.0035165i,-0.0017164+0.0032241i,0.00021771+0.00091656i,0.001361-0.0015258i,0.00098088-0.0028047i,0.00033147-0.0019487i,0.00027793-0.00031914i,0.00092854+0.0011222i,0.0016987+0.00071845i,0.0024549-0.00066066i,0.0024759-0.0013715i,0.0019865-0.0014216i,0.0011068-0.00057855i,0.00034342-0.00052256i,9.349e-05-0.001032i,-0.00029936-0.0010903i,-0.00073449-0.0017051i,-0.00049004-0.001424i,0.00053191+0.00013116i,0.00049764+0.00038784i
0.00049006-0.0021903i,0.0009325-0.0019602i,0.00089451-0.0029658i,-8.1199e-06-0.0033596i,-0.00047045-0.0015292i,-0.00084284+0.00069105i,-0.00085271+0.00051179i,0.00026413-0.00081046i,0.00029038-0.001472i,7.9611e-05-0.0010164i,0.0010552-0.0001937i,0.00092048-0.00081272i,8.7125e-07-0.00095017i,-0.00048413-0.0010238i,-0.00014604-0.0011177i,0.00023574-0.00031044i,0.00015404-0.00084862i,0.0004772-0.0010003i,0.00043348-0.0011834i,0.0001533-0.001368i,-0.00022459-0.0014819i,-0.00023471-0.001177i,7.181e-05+0.00047324i
0.0013107+0.00033405i,0.0010705+0.0012938i,0.00074021+0.001084i,-4.7447e-05-0.00017136i,-0.0014669-0.00015398i,-0.0014706+0.0010315i,-0.00014266+0.0023955i,0.00053803+0.0015622i,0.00050244-0.00059051i,6.477e-05-0.0018476i,-0.00032301-0.0022515i,-0.0010055-0.0022558i,-0.0015505-0.0014092i,-0.00062253-0.00019153i,0.00052411+0.00031784i,0.0005906+0.00023166i,0.00039742-0.00012618i,6.1524e-05-0.00048006i,-0.00033794-0.0011781i,4.6631e-05-0.000953i,0.00087596+0.00052882i,0.0004808+0.00089397i,-0.00032948+0.00056547i
0.00097315-0.00051154i,0.00052107-0.00098357i,0.00028048-0.001996i,-0.00025243-0.0028389i,-0.00096359-0.0014895i,-0.00036156-0.00085522i,0.00063581-0.0011071i,0.00020908-0.00089107i,-0.00030621-0.00094869i,-0.0006619-0.0010194i,-0.00088919-0.00098037i,-0.0007983-0.00026467i,0.00038173+0.001144i,0.0016016+0.0025i,0.00091198+0.0029768i,0.00013521+0.001122i,0.00013142-0.00026111i,7.7424e-05-0.0006609i,0.00062889-0.0011567i,0.0012048-0.00045499i,0.0010208+0.00060794i,0.00045484+0.00060087i,4.942e-05+0.00026567i
0.0012651+0.00013358i,-0.00042161-6.267e-05i,-0.00078028-0.0011217i,0.00029341-0.0022515i,0.00075783-0.0028848i,0.00017306-0.0020971i,-0.00022038+1.5256e-05i,-0.00041266+0.0010531i,-9.5538e-05+0.0016185i,0.00037866+0.0016054i,-0.00055489+0.0016242i,-0.00024241+0.0025416i,0.0010984+0.0033051i,0.0018761+0.0032949i,0.0013963+0.0020316i,0.00053609+0.00037948i,-0.00038244-0.00046216i,-0.00042419-0.0003152i,1.5539e-05+0.00026875i,-3.1157e-05+0.00083148i,0.00011948+0.0010761i,0.00013206+0.00045676i,-0.00056075+0.00036945i
-0.00036812-0.00030216i,-0.0011512-0.00040813i,-0.00111+0.00041671i,0.0011834+0.0017343i,0.0025178+0.0025655i,0.0014712+0.0029154i,9.6853e-05+0.0028646i,4.0425e-05+0.0030953i,0.00048892+0.0024262i,0.00044742+0.001972i,0.0010115+0.0021859i,0.0013983+0.0020878i,0.0010193+0.0014244i,0.0018476-9.8991e-05i,0.0026034-0.00022742i,0.0017299+0.00030149i,0.00053062+0.00027842i,-0.00011814+0.00011459i,-0.00021598+0.0012229i,-0.00052313+0.0019419i,-0.0013908+0.0010836i,-0.0019069+0.00047964i,-0.0012436+0.00040042i
-0.0019975-0.0013283i,-0.00078806-0.0013034i,0.00066371-0.00094136i,0.0014717-0.00066576i,0.0023701+8.3021e-05i,0.0025551+0.001795i,0.0016134+0.002977i,0.00037897+0.0020531i,0.00032368+0.001347i,0.0011368+0.0017784i,0.0016192+0.00072092i,0.0012595-0.00076577i,-0.0003718-0.0010351i,-0.00061992-0.0011351i,-0.0004674-0.00081209i,-0.00090576-0.00042589i,-0.00047326+0.00046975i,0.00047099+0.0009404i,0.00073935+0.00056161i,-0.0001855-0.00010834i,-0.0012365+0.00025598i,-0.00097734+0.00054398i,0.00040359+0.0001052i
0.00072574+0.00035814i,0.0020385+0.0010805i,0.0042801+0.000795i,0.0041672-0.0006201i,0.0022646-0.0013151i,0.0011015-0.00074601i,0.0007673+0.00011879i,-0.00017379-8.3256e-05i,-0.0016641-0.00034302i,-0.0016035+7.0289e-05i,-0.0012154-0.00042151i,-0.00087362-0.000964i,-0.00096052-0.0013298i,-0.001715-0.0027898i,-0.0019659-0.0025101i,-0.0011777-0.0014253i,-0.00089082-0.0011423i,-0.00050637-0.0014247i,-0.00039039-0.0019657i,5.4067e-05-0.0018326i,0.00014875-0.0011753i,-0.00031355-0.0003657i,-0.00046317-0.00012294i
-0.00021694-0.00053591i,-0.0017458+0.00027648i,-0.0026927+0.00030513i,-0.0020268+0.0014019i,-0.0016484+0.0017248i,-0.0020861+0.00070275i,-0.0023045+0.00029962i,-0.0023046+0.00026018i,-0.0028538-0.00034382i,-0.0036157-0.00061798i,-0.0031291+4.1023e-05i,-0.0018907+0.00022334i,-0.00049197-1.1277e-05i,0.00024848-3.5606e-05i,0.00041306+0.00057707i,0.00029581+0.0009739i,0.00026237+0.00027222i,0.0004136-0.0011873i,0.00027723-0.0014052i,-0.00063356-0.00079154i,-0.00081882-0.0012754i,8.0273e-05-0.0014303i,3.2308e-05-0.00015851i
0.00013972+0.00027721i,-0.00095226+0.00040709i,-0.00069195-0.00012463i,0.00027748+0.00065567i,-9.0109e-05+0.0020779i,9.9954e-05+0.0025461i,0.00016129+0.00095509i,-0.00023074-0.00087131i,-0.0010725-0.00041538i,-0.0023678+0.00077572i,-0.0025587+0.0015178i,-0.0016968+0.0017468i,0.00053971+0.0020005i,0.0018661+0.0029754i,0.0019148+0.0032349i,0.0013291+0.0017139i,0.00060064-0.00018526i,0.00026384-0.0015201i,0.00049684-0.0022103i,0.0012778-0.0025131i,0.0012212-0.0015634i,0.00030182-0.00043257i,-1.963e-05-0.00042278i
-0.0004737-0.0003044i,-0.00085458+0.00081044i,-0.00095109+0.0034042i,0.00083231+0.0039649i,0.002108+0.0031858i,0.0016621+0.0011544i,0.00067421-5.664e-05i,-0.00074096-0.00062055i,-0.0013081-0.0010314i,-0.00073842-0.0001632i,0.00057798+0.00044015i,0.0021305+0.0010349i,0.0030638+0.0013305i,0.0033213+0.0014459i,0.0026303+0.0011419i,0.0017089+0.00011339i,0.0012203-0.00016084i,0.00077899+0.00014205i,0.00050575+0.00015819i,0.0015235+0.00033446i,0.0018312+0.0010342i,0.0008501+0.00084459i,0.00033362+0.00018166i
-0.00022958+0.0013125i,0.00029217-0.00012483i,0.00037665-0.001237i,-0.00074208-0.00076435i,-0.0013522+0.00019616i,-0.0013786-0.00075973i,-0.0011778-0.0015183i,-0.0010913-0.0017026i,-0.00054282-0.0019853i,0.00085329-0.002152i,0.001853-0.0019102i,0.0017962-0.00094374i,0.0015898-0.00033412i,0.0012371-0.00093781i,0.00049547-0.0017912i,-0.00027862-0.001456i,-0.00057171-0.0006404i,-0.0003274-0.0002945i,0.00038671+0.00066024i,0.0003266+0.0014533i,0.00051168+0.001176i,0.0011617+0.0010258i,0.0016389+0.00097183i
0.0018488-0.00085139i,0.00045854-0.0024898i,-0.0015339-0.0023886i,-0.0031026-0.0011202i,-0.0039196-0.00029789i,-0.0025294+0.00127i,-0.00032393+0.0020146i,0.0006631+0.00052616i,0.00034244-0.001829i,0.00034516-0.0032419i,1.4518e-05-0.0025891i,-0.0015658-0.001173i,-0.0021809-0.00073515i,-0.0023941-0.0012059i,-0.0024761-0.0015288i,-0.0013006-0.0014691i,-0.00046553-0.00038731i,-0.00018911+0.00072981i,0.00019249+0.0015965i,0.00063736+0.002141i,0.0013566+0.0011221i,0.0011583+0.00024986i,0.00058012+0.00056699i
-0.0014461+0.0010696i,-0.00017866+0.0021003i,7.7339e-05+0.0026627i,-0.0005671+0.0030983i,-0.00075568+0.0034308i,0.00083859+0.0034104i,0.0017088+0.002686i,0.0013755+0.0022151i,0.00045927+0.0015975i,-0.0003411+0.00092936i,-0.0010028+0.00040271i,-0.0024733-0.00061468i,-0.004444-0.0011778i,-0.004521-0.00065632i,-0.0028618-7.2584e-05i,-0.0018068+0.00042074i,-0.00098862+0.00087289i,-0.00010231+0.00104i,-0.00056177+0.0003211i,-0.0018754-0.00014949i,-0.0015451+0.00010205i,0.00029558+1.6894e-06i,0.00058328-1.8251e-05i
-0.00098695+0.00036398i,-0.00053388+2.8389e-06i,0.00049579-0.0013497i,0.00042655-0.0028767i,-5.5898e-05-0.0029697i,0.00079403-0.0012116i,0.0017772+5.9325e-05i,0.0020055+0.0009174i,0.0015055+0.0017194i,-0.00011772+0.0015293i,-0.0016009+0.0011313i,-0.0016855+0.0014821i,-0.0014748+0.00072423i,-0.00098134+0.00043301i,-0.00080327+0.00089528i,-0.00043497+0.00073025i,0.00019291-9.2889e-05i,-0.00034952-0.0015082i,-0.0014415-0.0017249i,-0.0016438-0.00023948i,-0.00090151+0.00052787i,-0.00094976+0.00020961i,-0.0013566+0.00029598i
0.0013346-0.00036239i,0.0013207-0.00029999i,0.00056959-0.00029305i,0.00042889-0.0022849i,-0.00018678-0.0027801i,-0.00017314-0.0014754i,0.00028649-0.0010459i,0.00049284-0.00040147i,0.001204+0.001576i,0.0016499+0.0021888i,0.0013278+0.0016432i,0.0016257+0.0012026i,0.0025098+0.0008615i,0.003106+0.00064184i,0.0023535+0.00097382i,0.0015638+0.0014378i,0.00051961+0.00085738i,-0.0014516-0.000725i,-0.0022767-0.0018506i,-0.0020177-0.0022392i,-0.0015012-0.0014343i,-0.0012022-1.3935e-05i,-0.0011451+0.00076146i
-0.0015329-0.003442i,-0.0020566-0.0039639i,-0.0023286-0.0041856i,-0.0010293-0.0033517i,0.00080667-0.0014664i,0.00077829+0.00042696i,-0.00058574+0.00088283i,-0.00079327+0.00034698i,-0.00051032+0.00037896i,7.4735e-05+0.0007215i,0.0022134-7.4886e-05i,0.0041849-0.00082412i,0.0058361-0.0010583i,0.0058769-0.0013212i,0.0042071-0.0020181i,0.0028415-0.0013956i,0.0011083-0.00069221i,-0.00079465-0.0011631i,-0.0012352-0.0013481i,-0.00019644-0.0011859i,0.00042696-0.0007599i,0.00010924+0.00016576i,0.00020659+0.00015598i
0.00038599-0.0022021i,0.0013008-0.0031107i,0.00084724-0.0028393i,0.0011808-0.002682i,0.0019586-0.0021125i,0.00099909+0.00030031i,-0.00049214+0.0017873i,-0.0018754+0.0020395i,-0.0022564+0.0011729i,-0.00051007+0.00038805i,0.0011541-0.00020317i,0.0019277-0.00056437i,0.0020248-0.0010242i,0.00076743-0.0012508i,-0.00041513-0.00070027i,-0.00076592-0.00030914i,-0.00092951-5.5297e-05i,-4.0123e-05-7.1523e-05i,0.002025+0.00011686i,0.0023053+0.00025064i,0.00031416+1.0027e-05i,-0.00085201-0.00039918i,-0.00014806-0.0010989i
0.0020813+0.0019921i,0.0041326+0.0012651i,0.0048582-0.00048106i,0.0037265-0.00099256i,0.0019889+0.0003859i,0.00031829+0.002662i,-0.0010009+0.0036505i,-0.0028028+0.003592i,-0.0044653+0.0024219i,-0.0045351+0.00051315i,-0.0035034+0.00076735i,-0.0030011+0.0023126i,-0.0039188+0.001836i,-0.0043486+0.0014908i,-0.0035329+0.0017193i,-0.0017382+0.0006446i,6.4164e-05+7.2125e-05i,0.002112+0.0004552i,0.003206+0.00066781i,0.0025761+0.00078921i,0.0014484+0.00023631i,0.00016945-0.00031387i,-0.00036057-0.00031574i
0.00114+0.00076568i,0.0016789+0.0013593i,0.0029023+0.0011875i,0.0027017+0.0012889i,0.00086774+0.0019287i,-0.00021463+0.0020909i,-0.00039116+0.0019418i,-0.001774+0.0012487i,-0.0033829+0.0013294i,-0.0048046+0.0026373i,-0.0057015+0.003629i,-0.0052495+0.0040378i,-0.0043105+0.0036667i,-0.0031041+0.0029678i,-0.0014696+0.0019876i,-0.000375+0.0010779i,0.00097442+0.0011982i,0.0026197+0.0015834i,0.0019578+0.0018466i,0.00034392+0.0010619i,0.00022564-6.5552e-05i,-0.00030892+0.00011717i,-0.00068118+0.0002747i
-0.0020482-0.00023914i,-0.0017854+0.00079827i,0.00021505+0.0018097i,0.0015342+0.0025428i,0.00078767+0.0035049i,0.0010533+0.0031994i,0.0013369+0.00062777i,0.00016284-0.0010537i,-0.0010808-5.7859e-05i,-0.001257+0.0022393i,-0.00065159+0.003784i,-0.0011997+0.0033619i,-0.0014165+0.0015468i,6.8393e-05+0.00019926i,0.0014724-0.00055762i,0.0011104-0.0013116i,9.1213e-05-0.0014464i,-0.0011052-0.00066741i,-0.0025049+0.00043329i,-0.0025204+0.00068027i,-0.0015131+0.00033117i,-0.0011678-0.00028033i,-0.00090913+0.00011408i
-0.00032011+0.0017069i,-0.0010223+0.0024515i,-0.0010274+0.0035842i,-0.00026205+0.0043942i,0.00085171+0.0026063i,0.0010178+8.1369e-05i,0.0003439-0.0022805i,8.8495e-05-0.0044714i,0.0001051-0.0035618i,0.0011721-0.0019256i,0.0023658-0.0012894i,0.0023713-0.00071797i,0.0015648-0.0011308i,0.00097807-0.0017281i,0.00077016-0.002129i,0.00022417-0.001923i,-0.00071739-0.0014789i,-0.0018154-0.00029093i,-0.0031791+0.0010095i,-0.0025411+0.0013873i,-0.00021591+0.00069524i,0.00015038-0.0008843i,-5.986e-05-0.00091433i
0.0021072-0.0043487i,0.0012137-0.0054249i,-0.0014794-0.0043754i,-0.0040835-0.0013283i,-0.0048228+0.00066378i,-0.003505+0.0010651i,-0.001568-0.00027405i,-0.00011144-0.0034144i,0.00099569-0.0060279i,0.0012181-0.0060755i,0.0012089-0.0048267i,0.0017857-0.0037586i,0.0026413-0.0029963i,0.0025568-0.0019341i,0.00093976+0.00012035i,0.00057881+0.0012287i,-0.00048869+0.00050268i,-0.0022836-0.00032462i,-0.0022524+1.163e-05i,-0.0012063+0.00015183i,-0.0010417-0.0006479i,-0.00038522-0.001238i,0.00026197+8.0094e-05i
0.0028576+0.00049507i,0.0046075+0.0026833i,0.0027599+0.0028666i,-0.0010548+0.0019189i,-0.0027639+0.0017772i,-0.0032972+0.0030877i,-0.0027383+0.0027432i,-0.00054231+0.00040822i,-0.00012456-0.0022744i,-0.0011452-0.0038527i,-0.0019362-0.0034444i,-0.0012682-0.0019602i,0.0006574-0.00094007i,0.0015717-8.8514e-05i,0.00087619+0.0012498i,0.0001649+0.0018726i,-0.00023202+0.00038227i,-0.00030129-0.0014765i,-0.00030239-0.0024047i,0.00017859-0.0016062i,0.0010912-0.00034107i,0.0002997+0.00078905i,-6.2759e-05+0.0010242i
7.7236e-05+0.0018905i,6.7731e-05+0.0019457i,-0.001093+0.001546i,-0.0023037-0.00092206i,-0.0025154-0.0018292i,-0.0018026-0.00011599i,-0.00043489+0.0019585i,0.00020014+0.0035641i,-6.8872e-05+0.0040608i,-0.001279+0.0028266i,-0.0027726+0.0018404i,-0.0036761+0.0025052i,-0.0027812+0.002737i,-0.0023163+0.0023284i,-0.0019711+0.0021034i,-0.00075663+0.0012625i,0.00034386-0.00040923i,0.0014238-0.0018607i,0.0021305-0.0024714i,0.002023-0.00099554i,0.0018386+0.0013613i,0.0019635+0.0017378i,0.0020859+0.00083959i
0.00061485-0.00027908i,0.00047941+0.00071242i,0.00029051+0.0009215i,-0.001076-0.00092377i,-0.0030198-0.0013374i,-0.0031182+0.000957i,-0.00054085+0.00344i,0.0024429+0.0053564i,0.0032991+0.006049i,0.0015764+0.0054966i,0.00014224+0.0050079i,-0.00066579+0.0048037i,-0.0011533+0.004451i,-0.00069614+0.0035511i,-0.00022273+0.001388i,-0.0003325-0.00030981i,-6.3392e-05-0.00030524i,0.000905-0.00039253i,0.0017785-0.00072708i,0.0023104+5.7487e-05i,0.0025593+0.00099049i,0.0027226+0.0011844i,0.0012219+0.0010958i
-0.0066171-0.0018673i,-0.009169-0.00061119i,-0.0090425+0.00052667i,-0.004457-0.00049478i,0.00041666-0.0022388i,0.0012222-0.0026182i,0.00061474-0.0011833i,0.0016771+0.00077067i,0.0030466+0.002698i,0.003747+0.0032076i,0.0034345+0.002347i,0.0020363+0.0017019i,0.0009623+0.00098281i,0.00068886-0.00066086i,0.00051425-0.0023215i,-0.00022736-0.0017054i,-0.00061724+3.2973e-05i,7.5157e-06+0.0015068i,0.00082637+0.0024766i,0.00044054+0.002188i,-0.00093323+0.0012096i,-0.00097511+0.0012958i,-0.0005299+0.001364i
0.00070502-0.0032284i,0.0018566-0.0057983i,0.0020544-0.0063712i,0.0022463-0.004992i,0.0040804-0.0032966i,0.0036634-0.0019656i,0.0014926-0.0016158i,-0.00035615-0.0012799i,-0.00079802-0.0010203i,0.001159-0.0010685i,0.0022937-0.0029813i,0.0018022-0.0052019i,0.0012333-0.0054707i,0.00030599-0.0049356i,-7.5668e-05-0.0032466i,-7.6621e-05-0.00082717i,-0.0001955+0.00054073i,-0.00035356+0.0016691i,-0.00037177+0.0024874i,-0.0013809+0.0024203i,-0.0025047+0.0016307i,-0.002734+0.00088872i,-0.0020259+0.00078009i
-0.0015254+0.00054259i,-0.00042615+4.8142e-05i,0.00078979+0.00024404i,0.0024689+0.00070299i,0.0031169+0.00019933i,0.00077599-0.00079898i,-0.0032238-0.00085228i,-0.0072152-0.00038381i,-0.0070646-2.814e-05i,-0.0039135-0.00090582i,-0.0019646-0.0027137i,-0.0011972-0.0046324i,-0.00063621-0.0059695i,0.0010485-0.0048434i,0.0020014-0.0023468i,0.0019384-0.0011448i,0.00087305-0.00096214i,-0.00086121+0.00065029i,-0.0011672+0.0015787i,-0.00069098+0.00043917i,-0.0012373+0.00016927i,-0.001689+0.00035559i,-0.0012294+4.4552e-05i
0.0019846-0.00087112i,0.0038801-0.001412i,0.0047786-0.002505i,0.0047971-0.00084058i,0.0043163+0.0016933i,0.0025081+0.0032188i,-0.0010768+0.0028532i,-0.0059318+0.0012532i,-0.0089394+0.00081297i,-0.0071373+0.0014996i,-0.004431+0.0011956i,-0.002402+0.00022426i,0.0006079-0.0004142i,0.0025358-0.00020453i,0.0019549+0.00039634i,0.0012649+0.00013667i,0.00072422-0.00072542i,-0.0005386-0.0012405i,-0.0016273-0.0015456i,-0.0021858-0.0013234i,-0.0020657-0.0011069i,-0.0017706-0.0015243i,-0.00083335-0.0016638i
-0.0024087-0.0017673i,-0.0026779+0.0012576i,-0.0001496+0.0026194i,0.0030056+0.0038001i,0.0032817+0.0050384i,0.0021087+0.0047815i,0.00048002+0.0027815i,-0.0014114+0.0018616i,-0.00345+0.0025493i,-0.0037374+0.0040092i,-0.0015854+0.0055644i,0.0011268+0.0055734i,0.0025178+0.0041373i,0.0030771+0.0034762i,0.0024266+0.00262i,0.0012203-1.1193e-05i,0.00063749-0.0015442i,0.00052107-0.0023326i,2.618e-05-0.0033665i,-0.00019291-0.0028056i,-0.00013809-0.0015407i,4.8228e-05-0.0016503i,3.6871e-05-0.001585i
0.0010812-0.0025528i,0.0015222-0.0015221i,0.0019535+0.00050997i,0.0017239+0.002272i,0.00078458+0.0039165i,0.00097594+0.003885i,0.0033574+0.00092197i,0.0046199-0.0015392i,0.0038006-0.00060696i,0.0022124+0.0019827i,0.0021877+0.0040436i,0.003592+0.0050592i,0.0031701+0.0052985i,0.0013063+0.0042764i,-0.00081591+0.001925i,-0.0017927+0.00045383i,-0.0012426+7.6233e-05i,-0.00016808-0.0013388i,0.00069019-0.0017143i,0.00073945-0.00062928i,0.0012208-0.00059041i,0.00094716-0.0011713i,0.00031446-0.0011842i
-0.00039211-0.0031261i,-0.0019775-0.00045395i,-0.0037005+0.0040723i,-0.0040641+0.0068104i,-0.004039+0.0060214i,-0.0025067+0.0039758i,0.0013755+0.00084003i,0.0044727-0.0032569i,0.0047879-0.0064552i,0.0025217-0.0056863i,0.000994-0.0025566i,0.00050026-0.00022108i,2.8081e-05+0.0018928i,-0.00081621+0.0019505i,-0.00084338+0.00020131i,-0.00021528+0.00039148i,9.9819e-05+0.00131i,0.00068273+0.00097988i,0.00099581+0.000117i,0.0019511-0.00029654i,0.0023041-0.00059872i,0.0013397-0.0003187i,-8.7328e-05+0.00064617i
0.00321-0.00039637i,0.0034574-2.5737e-05i,0.0015372+0.00089103i,-0.0015691+0.0035647i,-0.0023439+0.0043346i,-7.4042e-05+0.0024438i,0.0017327-4.6366e-05i,0.0016514-0.0042101i,0.00074803-0.0081661i,-0.00065922-0.0082335i,-0.0023692-0.0061434i,-0.003639-0.0039368i,-0.0035312-0.0025916i,-0.0033371-0.0024152i,-0.0019166-0.0010211i,0.00034468+0.00028028i,0.00050901+0.0012564i,0.00075905+0.0025964i,0.0018384+0.002549i,0.0027293+0.001442i,0.0020909+0.0011877i,0.00049575+0.00066097i,-0.00018839+0.00046834i
-0.00094028+7.0785e-05i,-0.00081104+0.0009479i,-0.0028009+0.0017989i,-0.0057379+0.0011119i,-0.0064457-1.0029e-05i,-0.0040049+0.00089635i,-0.0015399+0.0021534i,-0.0010063+0.0011504i,-0.0020288-0.00021807i,-0.0043169-0.00061083i,-0.0056129-0.0005437i,-0.0050918-9.5163e-05i,-0.004018-7.632e-05i,-0.0032042-0.00073075i,-0.0008932-0.00073758i,0.0011248-0.0011359i,0.0010775-0.0015885i,0.00040894-0.00043129i,0.00050433+0.00084121i,0.001075+0.00076928i,0.00011504+1.0541e-05i,-0.00070782+7.5567e-06i,-0.00099914+0.00063093i
-0.0003269+0.0015243i,-0.0017402+0.0019878i,-0.0047739-0.00039164i,-0.0073103-0.0031514i,-0.0057562-0.0025805i,-0.0022508+0.0011005i,-0.00052915+0.0042052i,-0.00073913+0.0060736i,-0.0011762+0.0074035i,-0.00058227+0.0068511i,-7.1804e-05+0.0050859i,-0.00021613+0.0033985i,-9.9789e-05+0.0011188i,0.00087678-0.00020986i,0.0017335-0.00015549i,0.001316-0.0010112i,-0.00047789-0.0017828i,-0.0016605-0.0012864i,-0.0014753-0.00034345i,-0.001793+0.0001918i,-0.0021683-7.2366e-05i,-0.0018988-0.00029938i,-0.0015226-0.00083585i
-0.0030955-0.002818i,-0.0041822-0.0039482i,-0.0040594-0.0050308i,-0.0025007-0.0070026i,-0.0014792-0.0064483i,-0.0012591-0.0016582i,-0.00015069+0.0036789i,0.0022115+0.0076054i,0.0049742+0.0092211i,0.006023+0.0077655i,0.0050325+0.0038794i,0.0049133+0.00023214i,0.0058322-0.00085175i,0.0048424+0.00027453i,0.0021837+0.00023254i,0.00015958-0.001035i,-0.00087084-0.0016488i,-0.0016343-0.0015162i,-0.0027118-0.0015377i,-0.0027624-0.0013075i,-0.0015817-0.00010763i,-0.00091194+0.00079068i,-0.00052599+0.0003948i
0.0012605-0.00050274i,0.00040002-0.0023064i,-0.00034549-0.004357i,0.00050758-0.0074062i,0.002169-0.0076773i,0.0012372-0.0040389i,0.00030306-0.0011684i,0.0019404+0.00088094i,0.0042285+0.00174i,0.0056389+0.00051371i,0.0058769-0.0020996i,0.0048931-0.0027985i,0.0037878-0.0012249i,0.0031431+8.7534e-05i,0.0013676+0.00070465i,-0.00062452+0.00039916i,-0.00082285-0.00058379i,-0.00077302-0.0011253i,-0.0015768-0.00095132i,-0.0012577-0.00026079i,0.00022985+0.00012194i,0.00093727-0.00053493i,0.00084088-0.00018233i
0.00042587-0.0049707i,-0.00049088-0.0076242i,-0.00047992-0.011311i,0.0029052-0.011054i,0.0050532-0.0069732i,0.0028036-0.0031512i,7.2689e-05-0.0013081i,-0.0012355-0.0026698i,-0.0031231-0.0048336i,-0.0035063-0.0047848i,-0.0024354-0.004046i,-0.0022598-0.0031999i,-0.0015251-0.00052375i,-0.00050841+0.0017273i,8.7298e-05+0.0025181i,0.000755+0.0022219i,0.0019029+0.00078322i,0.0018683-0.0010038i,0.0013259-0.0015863i,0.0010161-0.0014685i,0.00044064-0.0014736i,-0.00011488-0.00093707i,-0.00062951-0.0004252i
0.0020617-0.00049453i,0.0044647+8.6381e-05i,0.0070497-0.0010755i,0.0089431-0.0011756i,0.0076416+0.0011141i,0.0049169+0.0027277i,-0.00064387+0.0010894i,-0.0065829-0.001073i,-0.010281-0.001462i,-0.010617-8.3401e-05i,-0.0071869+0.0013919i,-0.0048577+0.0024975i,-0.0031561+0.0030918i,-0.00089106+0.0027697i,0.00056932+0.0029406i,0.0021653+0.0021223i,0.0031257+0.0010258i,0.0031964+0.0013774i,0.0039875+0.0006767i,0.0040025-0.00072062i,0.0014516-0.00082373i,-0.00052213-0.00058854i,-0.0012778+4.5064e-05i
-0.0047081-0.0070404i,-0.0073488-0.0050965i,-0.0054903-0.0011102i,0.0018973+0.0046698i,0.0052458+0.0073731i,0.0046371+0.0047494i,0.00079138+0.00027872i,-0.0056327-0.00034543i,-0.010405+0.002178i,-0.0091654+0.0058977i,-0.0042835+0.0079343i,-0.00061373+0.0063794i,0.0012281+0.0043599i,0.00291+0.0038739i,0.0040709+0.0028931i,0.0027977+0.0015879i,0.0010944+0.00035451i,0.0018166+0.00033265i,0.0033981+0.00038653i,0.0031425+0.00033017i,0.00091684+0.0013561i,-0.00092096+0.0018612i,-0.0012351+0.0017293i
0.0086838+0.025222i,0.019623+0.022898i,0.036251+0.019783i,0.034286+0.010044i,0.021244-0.0021215i,0.0043169-0.0080101i,-0.0032882-0.0029316i,-0.0028948+0.0022161i,0.0003219+0.0049411i,0.0057542+0.002613i,0.0074585-0.0028426i,0.0034261-0.0054325i,-0.0038977-0.0067185i,-0.01085-0.0089269i,-0.013297-0.0092145i,-0.0096326-0.0064175i,-0.0037575-0.0025336i,-0.0017957+0.001161i,-0.003989+0.003707i,-0.0042761+0.0050985i,-0.00092662+0.0040477i,0.0020093+0.0014886i,0.0026312-0.00076389i
