0.0024385-0.00028286i,0.0031907-0.00069231i,0.0021526-0.0023551i,5.7887e-05-0.002623i,-0.002636-0.00077879i,-0.0034361+0.00098022i,-0.0013933+0.00073906i,2.8509e-05+0.0012161i,0.00070314+0.00086322i,0.00079824-0.00029304i,0.0002055-0.00035503i,1.2859e-05-4.6832e-05i,0.00094997+0.00023584i,0.0012883+0.00066761i,-0.00011613+0.0007894i,-0.00072553+0.0005091i,-0.00026357+0.00035468i,0.00013208+5.8371e-06i,0.00015597+0.00010718i,5.7458e-05+0.00010359i,0.00014531-0.0001889i,0.0005399-0.00046214i,0.00018531-0.0005091i
-0.0024402-0.0016495i,-0.0042925-0.0024814i,-0.005175-0.00127i,-0.0041406+0.0012914i,-0.0020697+0.0023374i,-0.00038143+0.0016298i,-8.2834e-05+0.001077i,-0.00081986-8.6571e-06i,-0.00086653-0.00082605i,-0.00038346+0.00016971i,-5.935e-05+0.0012215i,0.00021211+0.0012581i,0.00021338+0.00085441i,4.1614e-05+0.00010385i,-0.0003491-0.00039653i,-0.00029636-0.00057609i,0.00043565-0.0003012i,0.00040756+0.00015304i,-0.00026093+5.0644e-05i,-0.00032122-0.00027493i,-0.00020002-0.00045847i,-0.00022017+7.157e-05i,-0.00043407+0.00082024i
-0.00042001-0.00027827i,0.001197-8.7447e-05i,0.0015213-0.0001421i,0.0017352+0.00039792i,0.00048259+0.0014476i,-0.0001177+0.0012676i,0.00010414+0.0012558i,0.00011343+0.00061389i,0.00041968+0.00019782i,0.00011297+0.0012041i,0.00017602+0.0010011i,0.00018866-0.0003586i,-0.00035595-0.0009584i,-1.2932e-05-0.00042523i,0.00048483+2.7915e-05i,0.00010107-0.00050229i,-0.00034897-0.00031456i,-0.00054411+0.00053882i,-0.00052421+0.00084984i,-0.00073353+0.00014988i,-0.00091646-6.8793e-05i,-0.0011561+0.00018685i,-0.001096+0.00020464i
0.0023186+0.0017627i,0.0024539+0.0024504i,0.0028184+0.0019906i,0.0028797+0.00072849i,0.0016929-6.2129e-05i,0.00053979-0.0001797i,2.5689e-05-0.00042406i,0.00056287-0.00079996i,0.0013382-0.00092032i,0.0014255-0.00080668i,0.00047555-0.0011354i,-0.0010717-0.00095001i,-0.0016463+0.00011574i,-0.0012786+0.00081745i,-0.00045833+0.00037225i,9.3211e-05-0.00024845i,0.0001396-0.00043089i,-5.4178e-05-0.0011245i,0.00031724-0.0013265i,0.00012904-0.00065248i,-0.00010059-0.00013144i,7.6379e-05+1.8886e-05i,-0.00032157-1.0996e-05i
-0.0019013+0.0034025i,-0.0018714+0.0046681i,-0.0013455+0.0037848i,0.00015406+0.0031958i,0.0011277+0.0025121i,0.0010186+0.001661i,0.00051779+0.0013573i,-0.00014985+0.0011687i,-0.0008349-2.8633e-05i,-0.00012692-0.0013139i,0.00051691-0.0017095i,9.3484e-05-0.0009756i,-8.3411e-05-2.7213e-05i,0.00030877+0.00054503i,0.0010061+0.00048184i,0.00066677+0.00010303i,-1.3301e-05-0.00036968i,-0.00030722-0.00052474i,-0.0012524-4.041e-05i,-0.0021872+0.00032095i,-0.0017131-0.00029332i,-0.00063626-0.00036254i,-0.00063738+0.00013359i
0.0017388-0.0040021i,0.0013127-0.0048718i,-0.00015141-0.0047442i,-0.0019418-0.0034348i,-0.0017502-0.00083648i,0.00023756+0.0016492i,0.001439+0.0017791i,0.00097773+0.00107i,-0.00024389+0.00023872i,-0.001429-0.00016893i,-0.00117+0.00010839i,-3.4078e-05-0.00040643i,0.0013333-0.0003107i,0.0019068+3.6122e-05i,0.0012802+6.713e-05i,0.00041505+2.6533e-05i,0.00052582-0.00032874i,0.00091306+2.7889e-05i,0.00012558+5.824e-05i,-0.00048894-3.3035e-05i,-0.00036033-0.00044214i,0.0004405-0.00080919i,0.00072561-0.00085569i
0.00021895-0.00021134i,0.00076191-3.5048e-05i,0.0026602+0.00049196i,0.0017849+0.001164i,-0.00048685+0.0010292i,-0.00079605+0.0012676i,0.00062983+0.0012114i,0.0013549+4.7599e-05i,0.00049314-8.8347e-05i,-0.00038403+0.00043573i,-0.00080651+0.00090872i,-0.00021118+0.00093679i,0.00072028+0.00098242i,0.00062309+0.0011054i,0.00063378+8.1063e-05i,0.00079303-0.00034843i,-0.00060705-0.00032754i,-0.0011435-0.00076372i,0.00016594-0.00040026i,0.00022496+9.9358e-05i,0.00055337-0.00012919i,0.0012671-0.0003407i,0.0010609+0.00037268i
0.0015897-0.00053624i,0.00017351-6.5053e-05i,-0.00038369-0.00023064i,3.2446e-05-0.00033398i,0.00013648+0.00041007i,0.00026574-0.00029376i,0.00041902-0.00077824i,0.00064244+0.00022434i,0.00043617+0.00074309i,-0.00014895+0.0010852i,-0.00032975+0.0013016i,-0.00053347+0.00054071i,-0.00052929-0.000162i,-0.00021469-0.00035019i,-0.00021698-0.00040855i,-0.00011865-2.2637e-05i,0.00019809-0.00050301i,0.00024066-0.00050303i,0.00062315+0.00031663i,0.00072502+0.00045721i,0.00056671+0.0005248i,0.00091566+0.00068424i,0.00070433+0.00030551i
0.001441+0.0011393i,0.0023314+0.0013341i,0.0026253+0.0011935i,0.0015683-2.8489e-06i,-0.00026388-0.00070518i,-0.0010594-0.00052228i,-0.00055815-0.0006129i,-0.00041567-0.00058681i,-5.1289e-07-0.00033829i,-1.1394e-05+0.00017175i,-0.00038784-7.4125e-05i,-0.00025793-0.00044073i,-9.9205e-05-0.00016778i,0.0004139+0.00012733i,0.00020877+0.00027384i,-0.00068288-1.0537e-05i,-0.00033067-0.00016038i,0.00022893+0.00050744i,0.00026745+0.00076389i,-0.00010102+0.00047321i,-0.00034047+0.00061774i,-0.00066672+0.00072406i,-0.0010505+0.00050426i
-0.0023189+0.0017988i,-0.0020893+0.0010923i,-0.00065602+0.0015991i,0.0010653+0.0023028i,0.0014642+0.0014413i,0.00085358+0.00011944i,0.00028959+0.00010502i,-9.9586e-05+0.00028338i,-5.9611e-05-3.5713e-05i,0.00018769-0.00046272i,1.6401e-05-0.00053805i,0.00015126-7.8472e-05i,0.00068972-0.00021558i,0.00024741-0.00031908i,-0.00061346-0.00052715i,-0.00068354-0.00054481i,5.5439e-05-2.261e-05i,0.00052177+0.00061245i,-0.00016765+0.00052033i,-0.00099794-0.00016674i,-0.00072731-0.00028231i,7.4884e-05-6.8571e-05i,0.00011775+2.6589e-05i
0.00031827+0.00019667i,0.00023439+3.6331e-05i,0.000488+0.00070929i,0.00068583+0.00084331i,0.0014857+0.00040954i,0.0018969+0.00017729i,0.0018877-0.00035799i,0.00089384-0.00058927i,-0.00034048+0.00014287i,-0.00033228+0.00039452i,0.00068109+0.00065937i,0.00095788+0.0014396i,0.00086673+0.00073462i,0.0015574-0.00015783i,0.0019794+0.00032005i,0.001151+0.00040647i,0.00045408+0.00063402i,-0.00049488+0.0011314i,-0.00080449+0.0015319i,-0.00064054+0.00064377i,-0.00088111+1.8157e-05i,-0.00050659+0.00021441i,8.3291e-05-0.00038585i
-0.00057982+0.0021245i,-0.0012278+0.001273i,-0.00045827+0.001058i,0.0010473+0.0013828i,0.0012632+0.0015298i,0.00033229+0.000765i,-0.00051642+0.00054325i,-0.00058786+0.00039414i,-0.00043004-0.0004096i,-0.00067273-0.00056164i,-0.00057877-0.00038626i,6.5565e-05-0.00094362i,0.00051855-0.0009508i,0.00051154-0.00068862i,-4.2721e-05-0.0003681i,-0.00078888+0.0002543i,-0.00054365+0.00069401i,0.00026386+0.00040579i,-0.00018395+2.5742e-05i,-0.00036206-0.00036551i,7.8444e-05-0.0010333i,-0.0001668-0.00071091i,-0.0005092-0.00027755i
-0.0016874-0.0035151i,-0.0018811-0.0040684i,-0.0009957-0.002157i,-0.00054268+0.0006666i,-0.00088192+0.0014102i,0.00013255+0.0011727i,0.00041271+0.00042444i,-0.00068279-0.00035106i,-0.0010446-0.00043762i,-0.00092897-0.00011454i,-0.00022249+9.8016e-05i,-0.00025673-0.00033303i,-0.00046888-0.0010778i,0.00040229-0.0011484i,0.00070463-0.00021238i,-2.0438e-05-0.00036658i,-0.00042364-0.00077247i,-0.00035275-0.0003736i,-0.0001691-0.00016541i,-7.3758e-05+0.00043437i,9.0288e-05+0.00015695i,0.00032592-0.0008116i,5.0904e-05-0.00061832i
0.00079839+0.00041802i,0.0018343+0.00036145i,0.0023303+0.00015629i,0.0013795+0.00026554i,-0.00073557+0.00079058i,-0.00112+0.00094162i,5.4375e-05+0.00029009i,0.00063699+0.00024702i,0.00015404+0.00069756i,0.0004713-0.00022008i,0.00073828-0.0010943i,0.00025447-0.0013834i,0.00037032-0.00037697i,0.00055531+0.00079733i,0.0001321+0.00020266i,0.00041656-0.00047495i,0.00089511-0.00065794i,0.00053412-0.000932i,-0.00027422-0.00047198i,-0.00072555+0.00049141i,-0.00011066+0.00076604i,0.00034733+0.000225i,0.00032856-7.1537e-05i
-0.0014646-0.0017237i,-0.00090416-0.0012029i,-0.0010475+0.0003663i,-0.00068183+0.0017283i,-0.0005667+0.0022278i,0.00018358+0.0012616i,0.00027136+0.00037564i,-0.00049897+0.00040311i,-0.00077284+0.00067045i,-0.0004054+0.00029853i,-0.0005299+0.00015728i,-0.00052763+0.00044143i,0.00015751+0.00062272i,0.00060123+0.0005713i,0.00088519-0.00016237i,0.0012041-0.00050088i,0.0010957-0.00024097i,0.00068279-0.0003509i,0.0004565-1.2312e-05i,0.00053136+8.4127e-05i,0.00036953+0.00038502i,-9.6824e-05+0.0011353i,-0.0001584+0.00074201i
-0.0025657-0.00052735i,-0.0035466+0.00035128i,-0.003812+0.0019717i,-0.0018171+0.0029821i,0.00016299+0.0031674i,0.0011715+0.0024908i,0.0010867+0.00084757i,-0.00028251+0.00035467i,-0.0012721+0.0012941i,-6.3918e-05+0.0015322i,0.0012276+0.0015657i,0.0015408+0.0021484i,0.0012627+0.0021779i,0.001105+0.0015479i,0.0011308+0.0016386i,0.00057975+0.0015827i,-0.00029861+0.0014361i,3.0262e-05+0.0016037i,0.00065934+0.00074003i,5.009e-05+0.00027878i,-0.00046+0.00051989i,-0.0003658+6.1765e-05i,-0.00048182-0.00098223i
0.00089469-0.00064585i,0.0014236-0.00051231i,0.00057488-0.0010132i,-0.00020221-3.4601e-05i,-0.00067125+0.00081174i,-0.00044207+0.0013614i,0.00071637+0.00068337i,0.0012225-0.00031686i,0.00021654+0.00049672i,-0.00086787+0.0014426i,-0.00077201+0.0011169i,-0.00043643-0.00010371i,9.2576e-05-0.00118i,0.00028411-0.00083337i,0.00038666+0.00011735i,0.00039631+0.00081091i,-0.00034529+0.00056462i,-0.0002048+0.00063842i,0.00061067+0.00020356i,0.00085598-0.00023064i,0.00086387-0.0002163i,-0.00012113-0.00012501i,-0.0011144+0.00028137i
0.00037093+0.0007468i,-9.2344e-05-0.0016471i,0.00077471-0.0018756i,0.0014072-0.0012523i,0.00058108-0.00044404i,-0.00032614+0.00025932i,-0.00078653+0.00082394i,-0.00058279+0.00067036i,0.0005243+0.00017572i,0.0011459-0.00012782i,0.00064927-0.00026668i,-0.00037943-0.00024275i,-0.00088026-0.00061972i,-0.00087275-0.00042831i,-0.0010815+7.3631e-05i,-0.0008489+3.6536e-05i,-6.9692e-05+0.00054408i,0.00019838+0.0010612i,4.39e-05+0.0014847i,-0.00020017+0.0014531i,-0.00044891+0.0011739i,9.352e-06+0.00088964i,0.00019454+0.00016291i
0.001413+4.9083e-05i,0.0019833+0.00027118i,0.0018343+0.00062722i,0.0017459+0.001297i,0.0010807+0.0012837i,0.00021541+0.0012764i,-0.00034844+0.00087462i,-0.0010134-0.00051276i,-0.0011173-0.0014948i,-0.0012185-0.0012962i,-0.0017022-0.0014427i,-0.0019829-0.0013894i,-0.0012995-0.00085063i,8.643e-05-0.00042954i,0.00020001-5.7291e-05i,0.00022428-0.00024746i,0.0010947-0.00057775i,0.0014459+0.00043384i,-0.00011735+0.0012887i,-0.00060693+0.00079631i,-0.00042364+0.00069934i,-0.00052299+7.9135e-05i,3.9535e-05-0.00083712i
0.0017189+0.0019587i,0.003821+0.0025568i,0.0035034+0.0011768i,0.002616-0.00021494i,0.0025786-0.00026743i,0.0021749+0.00073338i,0.00090091+0.00088873i,0.00014307+3.3706e-05i,-0.00029348-0.00033359i,-0.00079713-0.00041452i,-0.0010458-0.00077745i,-0.00043021-0.00070688i,0.0006425+0.0003151i,0.0013118+0.0011375i,0.00067088+0.00056627i,2.4892e-05-0.00016i,0.00098044-0.00029389i,0.001048+0.00014003i,0.00019814+0.00047499i,-0.00016992+0.00022995i,-0.00070093-0.00022806i,-0.00054514-3.5721e-05i,0.0001632+0.00045592i
1.4574e-05+0.0027232i,-0.0010645+0.0033817i,-0.0013302+0.002651i,0.00052563+0.0011493i,0.0015534+8.3435e-05i,3.7416e-05-1.6679e-05i,-0.00062146-0.00010026i,-0.00044233+0.0006783i,-0.00098265+0.002317i,-0.0011528+0.0028864i,-0.00093353+0.0023429i,-0.00025878+0.0011616i,0.00042548-8.6251e-05i,0.00046208-2.1469e-05i,0.00024674+0.0011667i,-0.00052673+0.0010496i,-0.00064641+0.00090496i,-0.00025692+0.0013092i,-0.0003438+0.00093676i,-7.5377e-05+0.00098892i,0.00029361+0.00054519i,0.00011696+0.00019036i,-9.7641e-05+0.0012414i
-0.0014794-0.00035694i,-0.0012603+0.00055666i,-0.0016086+0.0018817i,-0.0009458+0.0026691i,0.00074+0.0026313i,0.0015221+0.0014504i,0.0011535+0.0004361i,0.0010681+0.00015789i,0.00071766+0.00028319i,0.0012926+0.00075894i,0.0025796+0.0011949i,0.001886+0.0016276i,0.00017122+0.00092723i,-0.00074608-0.00035602i,-0.0011575-0.0010172i,-0.0008709-0.00039054i,-0.00078268+0.00044331i,-0.00037725+0.00042016i,0.0003503+6.3434e-05i,0.00039213-0.00080885i,-9.3058e-05-0.0016741i,-0.00023316-0.0013025i,0.00018443-0.00039096i
-0.00099543-0.001821i,-0.0013677-0.0036902i,-0.00076998-0.0031141i,0.00021777-0.0017153i,0.0008996-0.000402i,0.00039463+0.00061002i,1.5619e-05+0.0008952i,0.00027427+0.00023799i,0.00066184-0.00073428i,0.0013765-0.00081543i,0.0018704+0.00013138i,0.00060717+0.00058332i,-0.00048561-0.00022209i,-0.0003889-0.00045846i,-0.00077844+0.00014942i,-0.0012518+0.00022184i,-0.00066549+0.00043907i,2.1283e-05+0.00090655i,7.132e-05+0.00033573i,0.00052575-0.00038224i,0.00082218-9.9625e-06i,-0.00011964+0.00053172i,-0.00086751+0.00086781i
0.00069941-0.0022033i,0.001501-0.0018951i,0.0031578-0.00040615i,0.0033201+0.00079139i,0.0012657+0.0011634i,-0.00055854+0.0014283i,-0.0001341+0.0002223i,0.00025851-0.0012439i,-0.00023765-0.0013766i,-0.0010578-0.00083082i,-0.001559-0.0013536i,-0.0013218-0.0015375i,-0.00096053-0.00075505i,-0.00042996-0.00036625i,-0.00011049-0.00059054i,-0.00090765-0.0013932i,-0.00082545-0.0021819i,0.00019785-0.0018567i,-0.0001269-0.00082563i,-0.00082048-0.00010148i,0.00023339+0.00026665i,0.0011291+0.00066604i,0.0011934+0.00066185i
5.1335e-05-0.0021541i,-0.00063348-0.0028784i,-0.001455-0.0017742i,-0.0017725-0.00013721i,-0.00097233+1.4549e-05i,0.00058283+0.000109i,0.0010402-0.00069102i,0.0001314-0.00085154i,-0.0010675-0.00042864i,-0.0016695-0.00076404i,-0.0015323-0.0010565i,-0.0012659-0.0011808i,-0.00038946-0.00015807i,0.00080372+0.00063869i,0.0014079+0.00023658i,0.0014487-0.00020568i,0.0015318-0.00072293i,0.0011924-0.00046616i,6.1719e-05+0.00070134i,-0.00052882+0.00053942i,-0.00024897+0.0001342i,0.00056874+0.00071306i,0.00080211+0.00068379i
-0.0016567+0.00079133i,-0.0014411+0.00072219i,-0.0010149+0.0019036i,-0.0010091+0.0024492i,-0.00013602+0.0022769i,0.00080009+0.0023285i,0.0010196+0.0016247i,-0.00030541+0.001563i,-0.0021368+0.0017249i,-0.0027829+0.0017846i,-0.0019482+0.0016562i,4.5048e-05+0.0009287i,0.0014524+0.00068732i,0.0012727+0.00086787i,0.001567+0.00059904i,0.0016504-7.3964e-05i,0.0016852+0.0006556i,0.001487+0.0014281i,0.00069225+0.0012999i,8.7368e-05+0.00057389i,0.00017975-1.5688e-05i,0.00039332+1.6466e-05i,-2.2858e-05-0.00026272i
0.0018824+3.6754e-05i,0.00052281+0.00082515i,-0.00079947+0.00088794i,-0.00074075+0.0010342i,-0.00083768+0.0010969i,-0.00060874+0.0017419i,0.00047573+0.0016018i,0.0012509+0.0018342i,0.00078872+0.0023563i,0.00061117+0.0023646i,0.0019002+0.0022624i,0.0020341+0.0021386i,0.0011603+0.0012901i,0.0010884+0.00071711i,0.0011761+0.00034129i,0.001419+6.6011e-05i,0.001171+0.00056512i,0.00037109+0.0011863i,0.00046932+0.00094167i,0.00047284+0.0010541i,0.00016199+0.00049899i,-0.00057073+0.0003815i,-0.00060443+0.00030205i
-0.0021249+0.0010157i,-0.0029452-0.00020259i,-0.0039714-0.0010997i,-0.003254-0.00064184i,-0.00080183+0.00082096i,2.9373e-05+0.0013653i,-0.00028453+0.0010739i,0.00098417+0.00060246i,0.0021767+4.2819e-05i,0.0026434-0.00040874i,0.0029761-0.00013424i,0.001736+0.00010027i,-0.00028545-0.00016222i,-0.0015862+0.00038005i,-0.001102+0.0013622i,-0.00043231+0.0016093i,-0.0010385+0.0013328i,-0.00074823+0.00063145i,0.00011608-0.0001154i,-0.0005523-0.00020653i,-0.00074563-6.3145e-05i,-0.00037517+0.00011243i,-4.9194e-05+0.00020133i
0.0014646+0.00044759i,0.0025526-0.0013796i,0.005014-0.0025506i,0.00523-0.0029528i,0.0030829-0.0015321i,0.001417-0.00029702i,0.00095627+2.9031e-05i,0.00047384-0.00027191i,0.00040307-0.0018215i,0.00069899-0.0024236i,0.0008314-0.0016481i,-0.00014945-0.0012881i,-0.0011546-0.0013233i,-0.0014147-0.0003498i,-0.0014056+0.0001324i,-0.0016151-0.00045015i,-0.0023783-0.0017013i,-0.0021941-0.0016425i,-0.0013105+3.6933e-05i,-0.00067813+0.00048934i,-0.00070137-9.8298e-05i,-0.00068298+4.5735e-05i,-0.00045575-1.2266e-05i
-0.0016022-0.001331i,-0.00057003-0.00022168i,0.00015474+0.0023318i,0.00037265+0.0033722i,0.0006449+0.0029424i,0.001361+0.0017217i,0.0010408+0.00013532i,-0.00047901-0.0011304i,-0.0019865-0.0016605i,-0.003574-0.0011886i,-0.0037306-0.0016452i,-0.0022799-0.0015362i,-0.00054676-0.00020307i,0.00052389-0.00013327i,0.0001733-0.00028512i,-0.0010393-0.0003506i,-0.0016923-0.00068301i,-0.0014968-0.0013306i,-0.00090156-0.00098563i,-0.00071969+0.00045453i,-0.00021662+0.000582i,0.00015979-0.00053591i,6.3496e-05-0.00084192i
0.00021489+0.00012205i,0.00012543-0.00075966i,-0.0014799-0.0012528i,-0.0019358-0.00086507i,-0.0014705-6.7552e-06i,-0.00035031+0.0016153i,6.044e-05+0.0014525i,-0.00078022+0.00016691i,-0.0020032+0.00016173i,-0.0025312+0.0007031i,-0.002368+0.00067955i,-0.001196+1.5805e-05i,0.00026739-0.00070281i,0.0014262-0.0002182i,0.0016016+0.00035742i,0.001479+0.00035175i,0.0017975+0.00014393i,0.0015915-0.0004978i,0.0005766-0.00066639i,-0.0004219-0.00040233i,-0.00025314-0.00028985i,9.0339e-05-4.9888e-05i,0.00014248+0.00039004i
-0.0015583+0.0012665i,-0.00073809+0.002284i,0.00097863+0.0046926i,0.0033845+0.0047291i,0.0038969+0.004049i,0.0029807+0.0033812i,0.0027299+0.0021363i,0.001875+0.0019597i,0.00059213+0.0030424i,0.00043248+0.0031078i,0.0011233+0.0025005i,0.001708+0.0016435i,0.0014794+0.0012743i,0.00057202+0.0010098i,0.00083884+3.6343e-05i,0.0022168-0.00063271i,0.0026339+5.1004e-05i,0.0018018+0.00098157i,0.00038774+0.00081475i,-0.0001327+0.00081572i,0.0001178+0.0015596i,0.00037787+0.00056941i,0.0002685+0.0005606i
-0.0016318+0.0004568i,-0.0026482+0.0015184i,-0.0033531+0.0034738i,-0.0027263+0.003831i,-0.001011+0.0017973i,0.00013583+0.0003928i,0.001268+0.00058775i,0.0018529+0.00056856i,0.0021933+0.0007583i,0.0031707+0.0015025i,0.0036541+0.0015445i,0.0025464+0.00084325i,0.00064745+0.0007521i,0.0002402+0.00050049i,0.00064962+0.00023438i,0.00069846+0.00010906i,0.00056637+0.00042729i,0.00080709+9.781e-05i,0.0011828-0.00059798i,0.0012234-0.00037234i,0.00065785-0.00046468i,-8.9725e-05-3.112e-05i,-0.00055253+0.00078771i
-0.0016537+0.00093129i,-0.0018278-0.00052763i,0.00076075-0.00050721i,0.0027141+0.00049512i,0.0023017+4.7029e-05i,0.00049102-0.0012412i,-0.00042367-0.0019781i,0.00034297-0.0022633i,0.0016427-0.0017842i,0.002671-0.0013896i,0.0023671-0.0018719i,0.00079699-0.0019981i,-0.0013151-0.0013033i,-0.0026464-0.00095581i,-0.0027605-0.00049569i,-0.0023276+0.00021179i,-0.0014206+0.00038617i,-0.00060511+0.00061905i,-0.00024044+0.00075368i,0.00025938+0.00040505i,-0.0004736+0.00011066i,-0.0011176+2.7256e-06i,-0.00064018+0.00039285i
0.0020958-0.00091914i,0.0024696-0.00026572i,0.0025998+0.001685i,0.0020443+0.0029338i,0.0010999+0.0033762i,0.00051795+0.0026719i,-0.00014634+0.0011537i,-0.0013747+0.00069941i,-0.0019765+1.3555e-05i,-0.0024467-0.0012002i,-0.0026737-0.0017497i,-0.0016051-0.0013769i,-0.0001859-0.00020067i,-0.00022099-0.00024919i,-0.00076488-0.00051581i,-0.0010896+0.00030925i,-0.0019873+0.00043745i,-0.0021782+0.00022719i,-0.00095939+0.00017596i,-0.00071548-0.00010019i,-0.00084188-0.00029847i,7.0266e-05-0.00028355i,0.00079454-0.00048389i
0.00083096+5.3419e-05i,8.0116e-06+0.00093663i,-0.0018767+0.0011101i,-0.0027476+0.002096i,-0.00216+0.0031741i,1.4183e-05+0.0029854i,0.00036934+0.0015409i,-0.00090265+0.00090152i,-0.0025384+0.00030275i,-0.0035045-6.065e-05i,-0.0037919-6.4693e-05i,-0.0023824-0.00021084i,0.00082798-8.0557e-05i,0.0026547-0.00021393i,0.0019344-9.8997e-05i,0.0006911+9.7386e-05i,0.00042388-0.00051782i,0.00028363-0.00056348i,-0.00011408+0.00015938i,-0.00054013+0.00066868i,-0.00090854+0.00097965i,-0.00022626+0.0002071i,0.00062183-0.00040622i
0.0013776-0.0012704i,0.0019469-0.0022565i,0.0033052-0.0027729i,0.0037962-0.002094i,0.0026129-0.00051921i,0.0019726+0.00084782i,0.0014239+0.0011673i,0.0011994+0.001658i,0.00024546+0.0030408i,-0.00058201+0.0037213i,9.8799e-05+0.0025575i,0.0016251+0.0017457i,0.0027652+0.0013426i,0.0028472+0.0010169i,0.0025303+0.00036904i,0.0029489-9.5122e-05i,0.003577+9.0098e-05i,0.0022711+5.5621e-05i,0.00081289-0.0001719i,-0.00012233-0.00024901i,-0.00070663-0.00023026i,-0.00049824-0.00089171i,-0.00062496-0.000461i
0.00067374+0.0015389i,-0.0010041+0.0031051i,-0.0019882+0.0048762i,-0.0015682+0.0041872i,-0.00086272+0.0027524i,0.00040602+0.0017347i,0.0020383+0.0010343i,0.002338+5.0368e-05i,0.0019983+7.6648e-06i,0.0025412+0.00086381i,0.0032708+0.0011841i,0.0027766+0.0018167i,0.0013864+0.0027896i,0.0013174+0.0025726i,0.0022922+0.0011991i,0.0025347+0.00060697i,0.0011455+0.00047553i,0.0007648-9.2015e-05i,0.00075837-6.7304e-05i,-0.0001307-0.0010456i,-0.00099544-0.0013964i,-0.000828-0.00085467i,-0.000209-0.00080658i
-0.00015248-0.0036144i,0.00045595-0.0045929i,-0.00044501-0.005222i,-0.0014432-0.0025985i,-0.0015848+0.0003209i,-0.00079885+0.0011995i,-0.00053776+0.00043157i,8.8792e-06-0.0010096i,0.00086132-0.0020369i,0.0019041-0.001493i,0.0024182-0.00086665i,0.0010663-0.00090899i,-0.00048061-0.00090641i,-0.0018867-0.00076747i,-0.0026211-0.00060447i,-0.0021122+0.00052765i,-0.0020662+0.0012503i,-0.0017339+0.00036313i,-0.0011537-0.00059601i,-0.00012136-0.0012484i,0.00086993-0.0013758i,0.0013108-0.00025765i,0.0012008+0.00035036i
0.0017759+0.0017648i,0.0032946+0.0018403i,0.0043972+0.0010982i,0.0047269+0.00081241i,0.0029447+0.0016906i,0.0015894+0.0020539i,0.00030704+0.0013435i,-0.0015235-5.5528e-06i,-0.0022782-0.0012764i,-0.0013356-0.0013869i,-0.00088203-0.001447i,-0.00154-0.0013154i,-0.0020408-0.00062104i,-0.0023599-0.00038944i,-0.002059-0.00047153i,-0.0015777-0.00067686i,-0.0019953-0.00072707i,-0.0018359-0.00088974i,-0.0011734-0.00087737i,-0.0010098+0.00055443i,-0.0011895+0.001583i,-0.0011905+0.001062i,-9.0715e-06+0.00070563i
-0.0027853-0.00027216i,-0.0036237+0.0013655i,-0.004876+0.0051921i,-0.0044793+0.0068898i,-0.0019256+0.0058327i,-0.00014609+0.0037814i,-0.00032502+0.0015293i,-0.0013173+0.0015743i,-0.0024706+0.001666i,-0.0033672+0.00056284i,-0.004155-0.00027803i,-0.0034855-0.00046927i,-0.0016581-0.00035321i,-0.00014568-0.00068128i,0.00040467-0.00098796i,-0.00015189-0.00076812i,8.678e-05-0.00054236i,0.00075692+0.00029722i,0.00024279+0.00091241i,-0.00050321+0.00060671i,-0.00062439-0.00023508i,-0.0004716-0.00036524i,-0.00093158+0.00035813i
-0.0021377-0.00019505i,-0.0017694-0.0023329i,-0.0018627-0.0036485i,-0.0014332-0.0031837i,-0.0002086-0.0013127i,0.00072589+5.8585e-05i,0.0010188+0.0011525i,0.0010665+0.0022983i,0.00025282+0.0034057i,-0.0013061+0.0033821i,-0.0012708+0.0019133i,-0.00013123+0.00072228i,0.00093985-0.00060986i,0.0023271-0.001268i,0.0031077-0.0003506i,0.0037466-0.00026342i,0.0039606-0.00057548i,0.0028553+0.00048046i,0.0010544+0.0014206i,-0.000197+0.00098036i,-0.00040875+0.00041769i,-0.00071736+2.1034e-06i,-0.0016156+0.00024894i
0.0013245-0.00024226i,0.0020494+0.002293i,0.0030545+0.0020331i,0.0026008+0.0008931i,0.00078081+0.00096526i,-4.1554e-05+0.0022214i,0.00045781+0.002254i,0.0011464+0.00065983i,0.0018308-0.00025633i,0.0026674-0.00011603i,0.0022039+0.00099956i,0.0016282+0.0027387i,0.0016941+0.0027799i,0.0018243+0.0013413i,0.0019385+0.00027144i,0.0018171-0.00024615i,0.0020321-0.00019919i,0.0018638+0.00045524i,0.0011593+0.0001939i,0.00083086-0.00022072i,-1.7946e-05+0.00024879i,-0.00042131+0.00032621i,-0.00040776-0.00013875i
-0.0032713+0.00010013i,-0.003908+0.00038782i,-0.0022323+0.0029736i,-0.0011056+0.0044869i,-0.0002616+0.0036967i,0.00058887+0.0018701i,0.00058675+0.00045265i,0.0015633-0.00040704i,0.0027829-0.0011814i,0.0028809-0.00058623i,0.0036247+0.00067838i,0.0030676+0.0015577i,0.00029141+0.00095552i,-0.0015012+0.00083429i,-0.0010841+0.0011171i,-0.0007347+0.00059706i,-0.00092443+0.0009053i,-0.0011769+0.0010786i,-0.0011722+0.00051576i,-0.00044838+0.00011951i,0.00015395-8.6361e-05i,0.00023292-0.000232i,-0.00017671-0.00025114i
