-0.0020266-5.0024e-06i,-0.0015891+9.0534e-06i,-0.0014525+0.00017302i,-0.00019872+0.0016759i,0.00079881+0.0027981i,0.00021625+0.0026738i,-0.00034376+0.0018061i,0.00011643+0.00066656i,0.00018314+0.00052541i,0.00030046+0.00034821i,0.0016284-0.00067338i,0.0018648-0.0015456i,0.0011319-0.0017065i,0.00078508-0.0014925i,0.00054593-0.001568i,7.9998e-05-0.0011454i,-0.00036924-0.00040205i,-0.00068554+0.00022777i,-0.00061905-7.3402e-06i,-0.00053775-0.0002637i,-0.00077656+0.00034102i,-0.0010166+0.0006732i,-0.00099474-0.00023324i
2.6759e-05+0.0016086i,0.00056245+0.0037523i,0.00072113+0.0049666i,0.00083353+0.0039657i,0.00037237+0.0017229i,-0.00093286-0.00090793i,-0.00084275-0.0015225i,-0.00041475-0.0014613i,-0.00076273-0.0011492i,-0.00086594-0.0007652i,-0.00082905-0.00071346i,-0.00063112+7.504e-06i,-0.00033514+0.00020758i,-0.00050776+0.00049737i,-0.00055072+0.00016827i,4.8904e-05-0.00056387i,0.00040926-0.00040741i,7.7172e-05-0.00013168i,-0.00016556+0.00034321i,0.00048711+0.00032803i,0.00051754+0.00039973i,-3.8701e-05+0.00096896i,-0.0003133+0.00040327i
-0.0016239-0.0019899i,-0.0013963-0.0023146i,-0.00089476-0.0029295i,-0.00016096-0.0023365i,0.00055737-0.0010891i,0.00050185-0.00072293i,0.0006635-0.0012741i,0.00045666-0.001244i,6.5676e-05-0.000637i,-7.6115e-05+0.00026164i,-0.00036514+0.00068294i,-0.00064856+0.00056072i,-0.0006336+8.2521e-05i,0.00014113-0.00048533i,0.00092638-0.00020521i,0.00087265-9.4714e-05i,0.00020896-0.00033537i,5.0173e-05+0.00016088i,-5.3787e-05+0.00042182i,-0.00076693+0.00069273i,-0.00013932+0.00066685i,0.00079584-8.518e-05i,0.00086905-0.00016467i
-0.0012737+0.0018453i,0.00065405+0.0038355i,0.0019144+0.0044642i,0.0016449+0.0031148i,0.00050886+0.0011644i,-0.00019154-0.00063456i,-0.00072401-0.0014628i,-0.00036709-0.0014892i,0.00018022-0.00039807i,-7.0897e-05+0.00024923i,-0.0002502+0.00016992i,7.6819e-05+0.00015526i,-9.962e-05-0.00024013i,0.00012347+3.6286e-05i,0.00057137+0.000175i,0.00039552+0.00011146i,-0.00018108+0.00032004i,-0.00078588+0.0003574i,-0.0011957-0.00019307i,-0.0011103-0.00049175i,-0.00073934-9.0248e-05i,-0.00019178+0.00054196i,0.00030031+0.00073857i
-0.0017106-0.00029696i,-0.0019542+0.00060602i,-0.0019055+0.00171i,-0.001518+0.0024216i,-0.00046021+0.0028827i,3.5434e-06+0.0015992i,5.0215e-05-5.4386e-05i,-0.00027563-0.00076343i,-0.00084702-0.00099304i,-0.00092781-0.00029559i,-0.00046819+0.00051995i,-0.00065129+0.000471i,-0.00052235-0.00044992i,4.4119e-05-0.0007617i,0.00074882-7.7487e-05i,0.0011494+0.00021197i,0.00058676+0.00015356i,-0.00024736+0.00027138i,-0.00048376-6.8076e-05i,-0.00024485-0.00033211i,0.00029654-0.00037273i,0.00070818-0.00033725i,0.00095014-0.00024237i
-0.0017268+0.00038128i,-0.00047176+0.0017112i,0.0015824+0.00066775i,0.0027501-6.6587e-05i,0.0018159+0.00033481i,-3.4803e-05-0.00047693i,-0.0010778-0.0013082i,-0.00085976-0.0013665i,-0.00077443-0.00078577i,-0.0011839+0.00042226i,-0.00054735+0.0009783i,0.00057716+0.0010529i,0.00044577+0.0009572i,-0.00041379+0.00046869i,-0.00010323-4.2028e-05i,-0.00010446-4.9469e-06i,-0.00052258-0.00042173i,-0.00033201-0.00064994i,-0.00038762-0.00011334i,-0.00018522-0.00033179i,0.00035304-0.00084926i,0.00032551-0.00039039i,-0.0003705+0.00034237i
-0.0010615-0.00091229i,-0.0015363-0.0008578i,-0.0010352+0.0010918i,-5.1171e-05+0.0013913i,0.00024389-0.00049714i,0.00029437-0.0014231i,-9.3725e-05-0.001134i,-0.0003406-0.0012046i,-0.00050891-0.0006421i,-0.00023856+7.584e-05i,0.00034557-0.00010513i,0.00046871+1.6692e-05i,0.00053899+0.00084238i,0.00053326+0.00059257i,0.00044126+0.00019888i,0.0007618+0.00039281i,0.00055051+0.00031014i,0.00048754+0.00026324i,0.00081118+0.00043229i,0.00085153+0.00040592i,0.00065256+0.000218i,0.00033723+0.00040732i,-5.6321e-06+0.00035824i
0.0012349-0.0014325i,3.909e-05-0.0012404i,-0.0018311-0.00057307i,-0.0029098+0.00052868i,-0.0025487+0.0013909i,-0.0015025+0.00083987i,-0.0013152+0.0003475i,-0.00094561+0.00044072i,-0.00049032+0.00011098i,-0.00042863-0.00057547i,-0.00022337-0.0006606i,0.00032317-0.00042031i,0.00083705-0.00054066i,0.0011191+6.3813e-05i,0.0010833+0.0010652i,0.00067461+0.00095453i,0.00030238+0.00014316i,0.0011257-0.0003108i,0.0011149-0.00028165i,0.00093308+0.00045839i,0.00084656+0.0003221i,0.00099712-0.00044414i,0.00092111+0.00040182i
0.00048554+0.00011605i,0.00085226-4.9434e-05i,0.00093587-0.00026818i,0.00021518-0.00092902i,-0.0014347-0.0008358i,-0.0021581-0.00075983i,-0.0012634-0.00034854i,-0.00079641-0.00058475i,-0.00106-0.00055825i,-0.00058782+0.00027027i,0.0002143+0.00073411i,3.2921e-05+5.9635e-05i,0.00057276-0.0005165i,0.0019063-0.00051118i,0.0017305-0.00017794i,0.0010767-0.00014285i,0.00036334-0.00014494i,0.00024295+0.00011908i,0.00058276+8.6957e-05i,-7.2308e-05-1.1117e-05i,-0.000501-7.9029e-05i,-0.00013549-3.4148e-05i,-0.0002103+0.00029305i
0.0012859-0.00025792i,0.00057748-0.0014402i,0.00078476-0.0021403i,-6.2212e-05+0.00015302i,-0.00054242+0.0012902i,-3.539e-05+0.0013661i,-0.00013553+0.0013259i,-0.00030958-0.00051346i,-0.0001293-0.0012778i,-0.00056774-0.0005771i,-0.00074613+0.00026962i,-0.0012596+0.00088376i,-0.0015837+0.00065758i,-0.0014501+0.00051049i,-0.00063032+0.00043676i,0.00060111+0.00015494i,0.00057159+0.00031526i,0.00027004-0.00016362i,-4.0056e-05-0.00030815i,-0.00053831+0.00018001i,-8.9387e-05+0.00042117i,-3.0071e-05+0.00013834i,-0.00040041-0.00046941i
0.00018475-0.0010183i,-0.00014453-0.00094119i,-0.00038745-0.0004578i,-0.00052766-0.00046335i,-0.000987-0.00032389i,-0.0014235+0.00033358i,-0.0013932+9.8268e-06i,-0.00058031-0.00061925i,6.9741e-05-0.00057201i,8.581e-05-1.0941e-06i,-0.00048032+0.0001589i,-0.00030523+0.0007488i,-0.00053027+0.0011812i,-0.00050588+0.0010507i,-0.00055261+0.00057613i,-0.00021228-9.4653e-05i,0.00022523-0.00030232i,0.00037629-0.00041748i,0.00073912+0.00023158i,0.00090848+0.00075051i,0.00024202+0.00046637i,-0.00022085+2.903e-05i,-0.00030693+0.0001756i
0.001552-0.0012734i,0.00017401-0.0027988i,-0.0008722-0.0036515i,-0.0019512-0.0024038i,-0.0026988-0.00053851i,-0.0014978-0.00019002i,-9.1636e-06+6.1204e-05i,0.00037802+0.00034249i,0.00013861-0.00060394i,2.96e-05-0.0014556i,0.0003049-0.00072724i,0.00078493+0.0004866i,0.001221+0.00069426i,0.00078161+0.0012105i,-0.0002074+0.001072i,-0.00025733+0.00022982i,-6.1085e-06+0.00034248i,-7.3839e-06-0.0001548i,0.00028446-0.00073222i,0.00066588-0.00041167i,0.00072593-0.00031677i,0.0004059-6.9008e-05i,-8.8051e-05+0.00042963i
-0.00023745+0.002436i,0.00068107+0.0030344i,0.0016574+0.0016302i,0.001598+0.00046225i,0.00083791+9.4338e-05i,0.00056319-0.00035875i,-3.5099e-05-0.0013966i,2.9104e-05-0.0013482i,1.2994e-05-0.00011698i,-0.00040951-7.4148e-05i,-6.6942e-05-0.00065385i,0.0004052-0.0007436i,-1.3495e-05-0.00027993i,-0.00081449+7.4207e-05i,-0.0011295+0.00015799i,-0.00075748-0.00053709i,-6.1359e-05-0.00059936i,-0.00018954+0.00065758i,-0.00040782+0.0008238i,-0.00039842+0.00031499i,-0.00075542-9.3382e-05i,-0.0012056+0.00023008i,-0.00061686+0.00039023i
0.00059763-3.3288e-05i,0.00095203-2.1284e-05i,0.0008699+0.00078458i,0.00034107+0.0014593i,-0.00027498+0.0011923i,-0.0013155+0.00036076i,-0.0015698-0.00026892i,-0.00096269-0.00070821i,-0.00057932-0.0010855i,-0.00096231-0.0011083i,-0.00059245-0.0010748i,0.0003674-0.00030017i,-9.621e-05+0.00031363i,-0.00048226+0.0006241i,0.00039967+0.0007829i,0.00014608+0.00075498i,-0.00050002+0.00050442i,-0.00016886+0.00065293i,0.00044278+0.00078326i,0.00085221+0.00051541i,0.00092846+0.00048973i,0.00047577+0.00038469i,-0.00051116+0.00042995i
0.00094847+0.0010511i,0.00074718+5.1902e-05i,0.001129-0.0018393i,0.00045289-0.0033621i,-0.00035626-0.0026831i,-2.7785e-05-0.00082946i,0.00024895-0.00016999i,0.00020895-0.00067675i,-7.1857e-05-0.00097401i,-0.0008755-0.00061054i,-0.0011471+3.2258e-05i,-0.0011502+0.00016111i,-0.00028772-0.00044592i,0.00033205-0.00040082i,-6.3885e-05+0.00010883i,-0.00017679+0.00051375i,6.8238e-05+0.00075312i,-0.00022941+0.00046235i,-0.00094969+0.00053512i,-0.00079152+0.0010581i,-0.00017916+0.00066601i,-0.0001793+0.00049634i,8.4562e-05+0.00043938i
-0.00057319-0.00084098i,0.00024963+0.00037231i,-0.000131+0.0017742i,0.00022616+0.0020954i,0.00061015+0.0012632i,-0.00019135-9.6667e-05i,-0.00043132-0.0013347i,-0.00065105-0.0016532i,-0.00039272-0.0010805i,0.00020025+0.00037199i,9.876e-05+0.00083978i,5.3275e-05+0.00077383i,-0.00013983+0.00091283i,-1.564e-05+0.00060894i,-7.4893e-07+0.00061113i,-8.2514e-06+0.0005661i,-0.00026856+0.00027388i,-0.00043382+0.00018577i,8.3449e-05-0.00039809i,-6.1419e-07-0.00037818i,-0.00048137+0.00013973i,-0.000127-0.00038209i,-0.00033059-0.00092246i
-0.0019196-0.00073802i,-0.0038857-0.0020754i,-0.004307-0.0028831i,-0.0029758-0.0011941i,-0.0018186+0.0011175i,-0.00029172+0.0017496i,7.3707e-05+0.0018127i,-0.00061225+0.00024816i,-0.00036455-0.001175i,0.00018255-0.0010815i,0.00037331-0.00061153i,0.00022951-0.00046722i,0.00074083-0.00013621i,0.0013364+0.0010271i,0.0013696+0.0015054i,0.00053186+0.0012548i,-0.00047652+0.00017566i,3.4656e-05-0.00043766i,0.0011688+9.5603e-06i,0.0010858+0.00063883i,-9.8756e-05+0.00029398i,-0.00076647-0.00022349i,-0.00020831-0.00025693i
-1.6973e-05-0.00097102i,0.0015039-0.00098832i,0.0021489-0.0012793i,0.0013586-0.0010412i,-0.00037804-0.00015214i,-0.0012311+0.00028851i,-0.0011699-0.00063044i,-0.0010272-0.0011439i,-0.0005018-0.00091592i,-0.00014657-0.00025902i,-0.00086442+0.00049046i,-0.0008266+0.00026038i,4.0083e-05-2.3085e-05i,0.00010505+0.00031399i,7.7549e-05+0.00058132i,7.0453e-05-0.00023803i,3.6587e-05-0.001235i,0.00031276-0.00070112i,0.00058716+0.00014471i,0.00012639+0.00055258i,-0.00018358+0.00078385i,-9.9639e-05+0.00064708i,0.00022665+0.00049497i
-0.0018753-0.00085488i,-0.0030814-0.0013193i,-0.0041532+0.00017952i,-0.0034002+0.0015478i,-0.0015839+0.0017484i,-0.00045255+0.00085226i,-0.00011783-4.2152e-05i,-0.00031271-0.00064777i,-0.0005917-0.00054231i,-0.00061536+0.0003418i,-0.00060744+0.00056587i,-0.00056583+0.00011935i,0.00044602+0.00035199i,0.00091292+0.0012066i,0.00071416+0.00084523i,0.00048613+0.00020811i,0.00017783+0.00022801i,0.00011215+0.00011054i,-0.00022342+6.4462e-05i,0.0003847-0.00041063i,0.00065167-0.00095819i,0.00041007-0.0011333i,0.0010523-0.00078117i
0.0012805-0.00091887i,0.0012819-0.0013068i,0.00057859-0.0021741i,0.00069207-0.001736i,8.1095e-05-0.00049038i,8.8047e-05-0.00013846i,0.001105-0.0014215i,0.0010389-0.0026236i,-0.00025322-0.0018183i,-0.00086121-4.6878e-05i,-0.0006804+0.00050982i,-0.00074334+0.00040369i,-0.00050532+0.00046272i,0.00014689+0.00024086i,0.00024179+0.00017321i,0.00044536+0.00027946i,0.0005315+0.0001576i,-0.00013793-0.00027716i,-0.00042584-0.00045279i,-0.00028759-0.00099524i,-0.00035789-0.0011561i,-0.001014-0.00019563i,-0.0009558+0.00056653i
-0.0025492-0.0070704i,-0.0041394-0.0064224i,-0.0079919-0.0061813i,-0.0087114-0.0036178i,-0.006933+0.0011495i,-0.0027724+0.0044754i,0.00055751+0.0035038i,0.0013176+0.00036818i,-2.3514e-05-0.0010224i,-0.0018674+3.9227e-06i,-0.0014268+0.0014842i,0.00033573+0.0017887i,0.0012624+0.0017517i,0.001755+0.0025717i,0.0022128+0.0029856i,0.0012777+0.00193i,0.00021824+0.00024184i,0.00012316-0.00026178i,0.00032981-0.00015187i,0.00035395-0.00054258i,-1.0281e-05-0.00051436i,-0.00097306+2.7448e-05i,-0.0013285+0.00055284i
0.0014699+0.0073656i,0.0021765+0.0071132i,0.006172+0.0066359i,0.0063808+0.0043126i,0.0046278-4.9042e-05i,0.0013874-0.0038373i,-0.0010616-0.0037527i,-0.0010589-0.0013503i,0.00098872+0.00063034i,0.0023334+0.00013093i,0.0021125-0.00086695i,0.00012473-0.001164i,-0.002127-0.0011611i,-0.0038749-0.0012195i,-0.0044536-0.0020499i,-0.0019899-0.0015786i,0.00036236+0.00025501i,5.174e-06+0.00088764i,-0.0014947+0.00096459i,-0.0016843+0.0018713i,-0.0013306+0.0020995i,-0.00066139+0.0010109i,-1.2049e-05-0.00029527i
-8.7636e-05+0.0015746i,0.00055218+0.0019647i,0.0015728+0.0020207i,0.0019806+0.0018633i,0.0016032+0.00037535i,-0.00025032-0.00030226i,-0.0012927+2.7976e-05i,-0.0006133-8.4668e-05i,-3.1429e-05+0.00012482i,3.4195e-05-0.00038603i,0.00047882-0.00054318i,0.000483-0.00024422i,0.00034633-0.00011054i,0.00048394-0.00062513i,-0.00018591-0.0010134i,-0.00047763-5.3716e-05i,-0.00039188+0.00049408i,5.9174e-05+0.00017273i,0.00020599-0.00070188i,-0.00077009-0.00010329i,-0.00051582+0.00024231i,0.00078986-0.00022088i,0.00055069+0.00021935i
-0.00060374-0.0022049i,-0.0012964-0.0019056i,-0.0015363-0.0019211i,-0.00084648-0.0013271i,-0.00054367+0.00042104i,0.0002055+0.0015006i,0.0016678+0.0011253i,0.0011389-0.00055155i,-0.00026033-0.0015612i,-0.00029268-0.0012403i,-0.00070782-0.0010265i,-4.3501e-05-0.00084156i,0.00091226-0.00026928i,0.00079442-0.00032005i,0.00077098-2.8244e-05i,0.00055771+0.00063707i,0.00048135+0.00018736i,-0.00041148-0.00015147i,-0.00090632+3.0571e-05i,-0.00096306+0.00042529i,-0.00081577+0.0003467i,-0.00044361-0.00018383i,-0.00033788-0.0004195i
-0.0012683+0.0015981i,-0.0002243+0.0020395i,-0.0013328+0.0025003i,-0.0016725+0.00191i,-0.00054802-9.7893e-06i,-0.00079787-0.0013649i,-0.0015285-0.0013268i,-0.0011041-0.0017223i,-0.00046022-0.0016473i,-0.0006618-0.00085625i,-0.00088073-3.556e-05i,-0.00021223+0.00053194i,0.00038685+0.00055158i,0.0002299-0.00012969i,-0.00026522-0.00052417i,-0.00033519+0.00015949i,-0.0008547+0.00050503i,-0.0013631+0.00033612i,-0.0010601+0.00026275i,-3.6252e-06+0.00010873i,0.00085774+0.00012309i,0.00049758+0.00023533i,-9.9379e-05+0.00020149i
3.9608e-05-0.0004495i,-0.0020313-0.0002462i,-0.0015763+0.00035324i,0.00026753+0.00043985i,0.0006946+0.00055254i,-0.0009394+0.00017451i,-0.0014295+0.00013953i,-0.00096474-3.2772e-05i,-0.00060454+0.00011942i,-0.00026659+0.00061776i,-0.00067285+0.0007374i,-0.00047469+0.00092186i,-0.00054998+0.00072737i,-0.00068028+0.00027054i,-0.00018797+0.00033412i,-6.6939e-05-2.3657e-05i,-0.00040054-0.00048327i,-0.00025988-0.00017849i,-0.000242+0.0004372i,-0.00031014+0.00041225i,-1.4189e-05+0.00010573i,0.00011808+0.00017117i,-9.3085e-05+0.00037233i
-0.00061861-0.00050509i,0.00029908-0.00069583i,0.00098481-0.00052678i,0.0008059-0.00041994i,0.00019363+0.00040089i,-0.00017326+0.00097048i,-0.00033423+0.00030139i,0.00014896-0.00051174i,0.00080176-0.00028923i,0.00039243-6.6115e-05i,-0.00012469+0.0005799i,5.0406e-05+0.0012405i,0.0002461+0.0011801i,-0.00059349+0.00093258i,-0.0007295+0.00045079i,-0.00048571-6.1924e-05i,-0.00064746-0.00032685i,-0.00057358+0.00051847i,-0.00043696+0.00020482i,-0.00023582-0.00073156i,-8.107e-05+0.00025238i,0.00033457+0.00073671i,0.00073429+0.00016546i
-0.0019312-0.000523i,-0.0023241+0.00042448i,-0.0025088+0.00082201i,-0.0020131+0.0001655i,0.00018376-0.00040754i,0.0014129-0.00081696i,0.00059556-0.001151i,-0.00014346-0.0016486i,-4.8762e-05-0.0013856i,0.0002178+4.719e-05i,0.00056783+0.00075689i,0.00080942+4.722e-05i,0.00048822+0.00011151i,0.00053734+0.00056769i,0.0011457+9.4776e-06i,0.00082311-0.00038273i,9.7999e-05+0.00018949i,-0.00010264+0.00065766i,0.00010165+0.00021247i,0.0002221-0.00012099i,9.3201e-05+0.00061252i,0.00021937+0.0010967i,0.00065765+0.00018096i
0.0012974+0.00071366i,0.00040412+0.0005782i,5.3648e-05+0.0013511i,-0.00038496+0.0011343i,-0.0011932-5.0097e-05i,-0.0011263-0.00014156i,-0.00096696-0.00051767i,-0.0014994-0.00049032i,-0.0012823-0.0003352i,-0.0005069-0.0010908i,-0.00027006-0.0016301i,-0.00043587-0.0010664i,-0.00041597-0.0010903i,-0.00055472-0.0015049i,-0.00046441-0.0010112i,1.9986e-05-0.00013687i,0.0004504+0.00041369i,0.00046255+0.00030248i,0.00057024+0.00011233i,0.00024201+0.00012777i,-1.1667e-05-0.00024928i,-0.00024839-0.00033862i,-0.00065432-0.0001629i
-0.0012745+0.0028983i,0.00082519+0.0019691i,0.0013989+0.0018604i,0.0019549+0.0010357i,0.0024925-0.00011429i,0.0019217-0.0012173i,0.00096043-0.0012976i,0.00028457-0.0010153i,-2.2484e-05-0.00053456i,-8.3853e-05-0.00033747i,-0.00018176-0.00023077i,-0.00069604-0.0010623i,8.284e-05-0.0017379i,0.00078074-0.0015965i,0.0002745-0.0013425i,-2.3877e-05-0.0004967i,0.00023612+6.8497e-06i,0.00022774+0.00042421i,-4.2546e-05+0.0009475i,0.00011043+0.00025198i,-0.00025459-0.00010455i,-0.00058544+0.00025155i,-0.00095751-0.00013634i
0.00068288+0.0017648i,0.00077025+0.0018135i,0.00097049+0.0018039i,0.00015936+7.0881e-06i,-0.00069468-0.0018952i,-0.00080404-0.0016325i,-0.00023933-0.00047386i,-0.00019244-0.00053838i,-0.00064627-0.00086992i,-4.5552e-05-0.00069009i,0.00011238-0.00037106i,-0.00011885-0.00011678i,-0.00017229+7.9575e-05i,-0.00095825-7.2092e-05i,-0.00098361-0.00083217i,-0.00031405-0.00020842i,0.00015031+0.00073706i,0.00015727+0.00050287i,0.00031765+0.00044077i,3.1497e-05+0.0002122i,-0.00091392-0.00019061i,-0.00070335-0.00032236i,0.00015075-0.00010667i
-0.00024736+0.0016175i,-0.00024598+0.00057118i,-0.0007976+0.00071275i,-0.00020801+0.00092505i,0.00042546+0.0010466i,-0.00074773+0.0006559i,-0.0016282+0.00014359i,-0.0015145-0.0005911i,-0.0011539-0.00072565i,-0.00053345-0.00050998i,0.00022432-0.00028546i,0.00011892+0.00023717i,-0.00028145-0.00027301i,3.772e-05-0.0011773i,0.00013408-0.00079384i,1.9715e-05-0.00011955i,0.0004339-0.00032992i,0.00032496+0.00057378i,-0.00049605+0.0014261i,-0.00085836+0.0012322i,-0.00061995+0.00039496i,-0.00057971-0.00041723i,-0.00065962-0.00073445i
4.9698e-05-0.00046027i,0.0006562+8.1686e-05i,0.00098872+0.00086096i,0.00060966+0.0010135i,0.00025845+0.00060635i,0.00027711+0.00039628i,1.2363e-05+0.00038928i,-0.00059566+0.00013761i,-0.0009514+0.00054774i,-0.0011128+0.0016444i,1.463e-06+0.00090877i,0.00096408+1.6138e-06i,0.0005236+0.00058652i,-0.00038663-4.8983e-05i,-0.00063003-0.000629i,3.4746e-05+0.00016338i,0.0006565+0.0011385i,-0.00012685+0.00095037i,-0.00074702-4.3244e-07i,-0.001043-0.00016135i,-0.0009375+2.8164e-05i,-0.00025905-0.00025562i,0.00025429-0.00027609i
-0.00089852+0.00092667i,-0.0011789+0.0015346i,-0.0010229+0.0015309i,-0.0005567+0.00052587i,-9.4496e-05-0.00063025i,-0.00050119-0.0017518i,-0.00077587-0.0015866i,-0.00089497-0.0015352i,-0.00052015-0.0016572i,0.00018414-0.0011578i,2.6892e-05-0.00073331i,3.7798e-06-0.0005731i,0.00026444-0.00055061i,-0.0002822+2.3965e-06i,-0.00064563+0.0002628i,-0.00078582-6.1971e-05i,-0.00056983-0.00037166i,-0.00067255-0.00030034i,-0.00068739-0.00037586i,0.00057845-0.00057262i,0.0011099+9.5454e-05i,0.00065706-0.00021471i,0.00036523-0.0010621i
0.0012676+0.0011108i,0.0016009+0.0015814i,0.0019983+0.0027881i,0.0019828+0.0023256i,0.00067108+0.00095685i,-0.00086442+0.00028131i,-0.0014788-0.00012033i,-0.0014809-0.00076158i,-0.00060843-0.00087042i,3.7058e-05-0.00031825i,0.00053262-0.00075815i,0.00079287-0.0011216i,0.00029043-0.00086742i,-0.00018665-0.0011383i,-0.00060905-0.0011121i,-0.00058363-8.2776e-05i,-0.00065984+0.00027698i,-0.00069218+3.8189e-05i,3.7855e-05+0.00023025i,0.00073113+0.00049098i,0.00066718+0.0004061i,0.00014914-0.00014783i,0.00062596+8.9832e-05i
0.00069355-0.00097587i,0.00067644-0.0012803i,-5.9319e-05-0.0012329i,-0.00010383-0.0016806i,0.00032121-0.0017289i,-0.00026566-0.001063i,-0.00032823-0.00055316i,-0.00024773-0.00011668i,-0.00088641+0.00028168i,-0.00057982+0.00079853i,-3.8985e-05+0.0011463i,-0.000154+0.00049361i,-0.00058733-0.0001498i,-0.00086567-0.00021194i,-0.00088095-0.00033833i,-4.2865e-05-0.00039683i,0.00067854-0.00028499i,0.00074924+0.00026367i,0.00078683+0.00032203i,0.0006677-0.00016884i,0.00010854-7.1835e-05i,0.00010704+0.00042074i,0.00074958-0.00014616i
0.0024886-0.00089308i,0.0029761-0.0011521i,0.0026202-0.00087305i,0.0010119-0.00013667i,-0.00033831+0.00094669i,-0.00044535+0.00065988i,-0.00027772-0.00049444i,-0.00017897-0.0010077i,-9.1392e-05-0.00042816i,0.00021742+0.00069595i,0.0003868+0.00088836i,-0.00041846+0.00068574i,-0.00060338+0.00082116i,-0.00058579+0.0012369i,-0.0010064+0.001539i,-0.00047261+0.0010732i,0.00021213+0.00030056i,0.00071519-0.00039819i,0.0010306-0.00099274i,0.0014439-0.00087163i,0.0018538-0.00052669i,0.00075781+0.00037099i,-0.00097619+0.0005899i
0.0011724-8.4389e-05i,0.00021574+1.9895e-06i,0.0006526+0.0001913i,0.00061577-0.00011127i,-0.00022567-0.00042526i,-0.0008191-0.00089616i,-0.00099542-0.00048363i,-0.00088418+0.00020251i,-0.00010375-0.00055217i,0.00010823-0.0010155i,4.4289e-05-3.4688e-05i,0.00019794+0.00099401i,0.00031385+0.0015285i,-0.00030871+0.0011933i,-0.00085357+0.00039053i,2.5656e-05+3.4728e-05i,0.00019183+0.00036097i,-0.00048146+9.3038e-05i,-0.00061732+0.00022607i,-0.00016607+0.0008019i,5.9943e-05+0.00057269i,-0.00015216-0.00022933i,-0.00022153-0.00049613i
0.00062876-0.00037716i,0.0016977-0.00047777i,0.0026007-0.0012236i,0.0013104-0.00062759i,-4.878e-05-0.00024832i,2.401e-05+0.00041372i,-5.8113e-05+0.00027954i,7.1248e-05-0.00078811i,-1.9761e-05-0.00050238i,-0.00011387-0.00023021i,0.00044497-0.00085855i,0.00018679-0.00087479i,-0.00045532-0.00095367i,-0.00021136-0.0006924i,0.00013401+0.00066914i,-0.00048201+0.00068263i,-0.00081307-0.00016836i,-0.00036237+9.4138e-05i,0.00019158+0.00054458i,0.00048928+0.0011652i,-0.00014583+0.0012518i,0.00035968+0.00094466i,1.559e-05+0.00042843i
-0.00098672-0.0017791i,-0.0011208-0.0022831i,-0.0016334-0.0023728i,-0.0013083-0.0014431i,-0.00088111-0.00034082i,-0.00085939+0.00046776i,-0.00042381+0.00019696i,0.00028148-0.0012385i,0.00033359-0.0015411i,9.5722e-05-0.00021434i,-0.00041064+0.00023946i,-0.00037413-0.00021118i,-0.00028029-7.564e-05i,-0.00068058+0.00047021i,-0.00015744+0.0010005i,0.00061575+0.0011295i,0.00017129+0.00069933i,-0.00034304-9.0297e-05i,-0.00011854-6.2629e-05i,0.00016723+2.6986e-05i,0.00039165-0.00046886i,0.00025426-0.00081051i,-0.00047524-0.00014403i
0.00059222+0.0016358i,0.00052973+0.0017951i,0.00097818+0.0018814i,0.0012392+0.0015984i,0.00087215+0.00070458i,-0.0002647+0.00063396i,-0.00076912+0.00057779i,-0.00053365-0.00047648i,-0.00041631-0.0008967i,-0.00047874-4.7171e-05i,-0.00058494+0.00065383i,-0.00092236+0.0004012i,-0.00088424+0.00028381i,-0.00090348+0.00041228i,-0.0010001+0.00037253i,-0.00062199+0.00043551i,-0.00034279+0.00053334i,-0.00012436+0.00019869i,0.00023355-1.7375e-05i,0.00071401+0.000755i,0.00024317+0.00074782i,0.00029213+0.00081894i,0.00070544+0.00087309i
-0.0019627+0.0013863i,-0.0016749+0.00073151i,-0.0010266-0.00015514i,0.00018487-0.00069361i,0.00099316-0.0010113i,0.00019879-0.0011378i,-0.00064314-0.00092957i,-0.0010239-0.00077967i,-0.00075712-0.0004158i,-0.0003224+0.00014148i,-0.00040465+0.00043555i,-0.00027784+0.00046643i,-0.00034229+0.00013234i,-0.00019884-0.00011415i,3.7292e-05+9.7188e-05i,8.9052e-05-7.7623e-05i,0.00076857-0.00075345i,0.00075778-0.00043452i,0.00054227+0.00042534i,0.0005626+0.00059716i,-0.00030787+0.00027277i,-0.00052049+0.00027663i,0.00037632+0.00075121i
-5.9947e-05+0.00072302i,0.00020247+0.00078746i,0.00069408+0.001251i,0.00022711+0.001301i,-0.00070611+0.00066603i,-0.00088847+0.00011003i,-0.00038654-0.0003652i,-0.0003899+2.2856e-05i,-0.00047274+0.00033197i,-0.00025088-0.00010516i,0.00016258-0.00053822i,0.00038967-0.0006924i,0.00024723-0.00029366i,-0.00015889+4.9492e-05i,-0.00034728+5.783e-05i,-0.0001909+0.00022115i,-0.00077844+0.00046035i,-0.0010558+0.0011714i,-0.00050108+0.0014196i,-0.00023526+0.0011801i,-0.00022483+0.00076066i,0.00038309+0.00034518i,9.0443e-05+0.00010215i
