-0.001402+0.00088868i,-0.0017511+0.00047064i,-0.0033028+0.00069953i,-0.0030849+0.00090921i,-0.0022982+0.0012438i,-0.0014966+0.0016081i,-0.00041605+0.0011892i,0.00026483+0.0012501i,0.0010368+0.00092716i,0.0013498-0.00021716i,0.0015115-4.4068e-05i,0.0011147+0.00030773i,0.00043784+0.00020444i,0.00022965-0.00036852i,-0.00022224-0.00075285i,-0.00038939-0.00014894i,-5.8961e-05+0.00034729i,0.00026695+0.00044052i,5.0677e-05+0.00027285i,-0.00029253-9.2577e-05i,-0.00023644-0.00017179i,0.00045057+4.3855e-05i,0.00024179-0.00035245i
-0.0016517+7.0825e-05i,-0.0013896-0.0010134i,-0.0023536-0.00138i,-0.002256-0.00038647i,-0.00090705+5.7156e-05i,0.0001385-0.00019305i,0.00060867-7.0541e-05i,0.0009802+0.00041913i,0.00042532+0.00095255i,-0.00029478+0.0014752i,-0.00051051+0.0013022i,0.00017652-0.00020282i,0.00079532-0.00043013i,0.00096267-0.00042076i,0.0014269+0.00020003i,0.00098429+0.0012718i,0.00063282+0.00020264i,0.00076211+6.8699e-05i,0.00025111+0.00029236i,-0.00019512-0.00019354i,-0.0003693-0.00013638i,-0.00014552+9.9525e-05i,3.2819e-05-7.62e-05i
0.0005197-0.00078439i,-4.9199e-05-0.00030021i,-0.0002749+0.00028608i,-0.00078889-0.00038841i,-0.0010556-0.00057605i,-0.0010848+9.1324e-05i,-0.0013558+0.00034232i,-0.00056552+0.00041225i,0.00016227+0.00030454i,-0.00046091-4.1847e-05i,-0.00086131+0.00038477i,-0.00048539+0.00088544i,0.00011248+0.00062344i,0.0003917-8.4532e-05i,-3.3055e-05+0.00010627i,-0.00025134+0.0011334i,-0.00012968+0.0013394i,-0.00034521+0.0012227i,-0.00048403+0.0012289i,0.00027963+0.00079866i,0.00077094+0.00014125i,-0.00025048+0.00027384i,-0.00054014+0.00050617i
0.00016382+0.00083902i,0.00052073-0.00020292i,0.0011381-0.00079599i,0.0012476-0.0012462i,-5.2334e-05-0.0020623i,-0.00055382-0.0019826i,0.00042199-0.0014987i,0.00098204-0.00082342i,0.001005+0.0005658i,0.0007176+0.00064323i,0.00038001-9.2555e-05i,0.00055002+4.9883e-05i,0.00086655+0.00085186i,0.0010911+0.00067641i,0.00015119-0.00024219i,-0.00019758+0.00032072i,-0.00046633+0.0012935i,-0.00071503+0.0011568i,-0.0010456+0.0012937i,-0.00079557+0.00075543i,0.00038193+0.00015154i,0.00097619+0.00048575i,0.00028639+0.00095753i
0.001942+0.00029798i,0.0026719+0.00088846i,0.0030999+0.0008931i,0.0025736-0.00037896i,0.0013221-0.00060834i,0.00024749+0.00033021i,-0.00052022+0.0010027i,0.00024139+0.00067452i,0.0014946+0.0010023i,0.00069041+0.0015051i,0.00013798+0.0011667i,0.0004929+0.0010194i,0.00048679+0.00067238i,0.00017779+0.00052334i,-0.00037231+0.00068373i,-0.000256+0.0003701i,-5.9841e-05+0.00015344i,-0.00015573-9.495e-07i,-0.00028668-0.00030547i,-0.00073209+0.00019157i,-0.00083981+0.00017198i,-0.00038233-0.00021337i,0.00073635+0.00019419i
-0.0010174-0.0020594i,-0.0018699-0.0019123i,-0.0024331-0.0011452i,-0.002401+8.4991e-05i,-0.0018196+0.00036134i,-0.0014279-0.00039984i,-0.00084964-0.00034456i,0.00032604+0.00022889i,0.0007949+0.00079938i,0.0005489+0.00094534i,4.4439e-05+0.0007614i,-0.00035881+0.0010114i,-0.0004151+0.0010372i,0.00014586+0.00058508i,0.00036403+0.0002082i,-0.00040125+0.00036303i,-0.00068373+8.5937e-05i,5.2162e-06-0.00041616i,-0.00055465-6.3563e-05i,-0.00052237+0.00010198i,0.00018928+0.00010546i,0.0005145+9.9544e-05i,-2.6396e-05-0.00015161i
-0.0013499+0.0020702i,-0.00060403+0.0022826i,0.00051298+0.002781i,0.0023022+0.0017808i,0.0030279+0.00028355i,0.0022192-0.00049461i,0.00087675+0.00016688i,0.00016855+0.00099599i,0.00037361+0.001231i,0.0013383+0.0010764i,0.0011872+0.00031804i,0.00048434-0.00034253i,0.00010011-0.0011957i,-0.00023162-0.0012249i,1.6458e-05+8.0495e-05i,0.00065827+0.00083207i,0.00058234+0.00056537i,-0.00050068+9.025e-05i,-0.00047335+0.00040306i,0.00019683+0.00078798i,0.000251+0.00031951i,0.00043257+0.00034112i,9.5252e-05-4.9649e-05i
-0.0034423+0.0012283i,-0.0032606+0.0016266i,-0.0022396+0.0016384i,-0.0012454+0.0016816i,-0.00073381+0.0014398i,9.9023e-05+0.00047635i,0.00034366+0.00049474i,0.00052668+0.00099116i,0.00079675+0.0015884i,0.0004639+0.0020514i,-0.00023745+0.0021115i,-0.00010818+0.0010031i,0.00011621+0.00026882i,0.00079531+8.648e-05i,0.0010944-0.0007174i,0.00039769-0.00056217i,-0.00015948-0.00020083i,-0.00082527-0.00027087i,-0.00071822-0.00029411i,1.5034e-05-0.0003462i,0.00077514+0.00024054i,0.0012736+0.00048534i,0.0010897+0.00013971i
0.00078835+0.0015772i,0.00057342+0.0010512i,0.00074251+0.00014001i,0.0007794-0.00071487i,0.00076503-0.001299i,0.00012443-0.0014766i,-0.00041125-0.00091329i,-6.184e-05+0.00047368i,0.00049175+0.0014667i,0.00091594+0.0013562i,0.00091147-3.7686e-05i,0.00045259-0.00078813i,-0.0004816-0.00032555i,-0.00069081+0.00044855i,0.00032041+0.0011197i,0.00054692+0.0016449i,6.9287e-05+0.0012383i,0.00020387+0.00096432i,2.9339e-05+0.0012103i,0.00049424+0.00069566i,0.0011071+0.00060349i,0.00021003+0.00056819i,-0.00091941-0.00044372i
-0.00075319-0.00036572i,-0.0012162-0.00022292i,-0.001981-0.00040224i,-0.0016722-0.00017792i,-0.00068016+9.9041e-05i,1.6435e-05-0.00040072i,0.00030233+0.00025429i,0.00076137+0.00087516i,0.0007906+0.0008311i,0.00059169+0.00088539i,0.00059604+0.00068134i,0.00039852+0.0003245i,9.3652e-05-0.00020162i,0.00028235-0.00050868i,0.00059257-0.00019952i,0.00049555+0.00027877i,-0.0001528+0.00081576i,-0.0012785+0.00070218i,-0.0015387+0.0001731i,-0.001023+0.00074645i,-0.00020837+0.0017173i,-0.00042605+0.001103i,-0.000556-0.00064762i
0.0031624+0.0014275i,0.0035077+4.6067e-05i,0.0035613-0.0021793i,0.00267-0.003128i,0.00065356-0.0028722i,-0.0011566-0.0019478i,-0.0012962-0.00053355i,-0.00037528+0.00043042i,0.00020527+0.00089033i,0.00026549+0.00061107i,0.00021713-0.00027747i,-0.00043268+2.1336e-05i,-0.00092782+0.00043878i,-0.0010451-0.00016071i,-0.00038994-0.00037032i,7.3466e-05+0.00016577i,0.00040209-0.00027026i,0.00035056-5.7817e-06i,-0.00020411+8.5096e-05i,-0.00033525-0.00033474i,-0.00046723-1.0103e-05i,-0.00074745+0.00023404i,-0.00053135+0.00013079i
0.0013454+0.0012985i,0.0013602+0.0018433i,0.00153+0.0026538i,0.002284+0.0022512i,0.0019882+0.00079092i,0.0009888+0.00023254i,0.00097757+0.00052966i,0.0014911+0.00078674i,0.0017058+0.00069151i,0.001501+0.00095336i,0.0017497+0.0010211i,0.0021128+0.0013428i,0.00078467+0.0013961i,-3.2458e-05+0.00047208i,0.00048852-9.3605e-05i,0.00036947+0.00043839i,-0.00046199+0.00092454i,-0.00062956+0.00080605i,-0.00077037+0.00073425i,-0.00095096+0.00020733i,-0.00024856-0.00014561i,-5.9805e-05-0.00012473i,0.00010089-0.00017349i
-0.00094477-0.0006141i,-0.001505-0.0013972i,-0.0021427-0.00087323i,-0.0022156-2.3044e-05i,-0.0018704-4.7426e-07i,-0.00096841-0.00039375i,-0.00012346+1.3842e-06i,0.00057003+0.001138i,0.00030612+0.0014215i,0.00020522+0.0012182i,0.00049007+0.0010775i,0.00029618+0.0010872i,0.00059256+0.00079604i,0.00064897+0.00069344i,0.00037231+0.00078607i,0.00022036+0.00061668i,0.00012941+0.00040009i,-8.4001e-05+5.3756e-05i,-0.00085641-0.00025923i,-0.00094668+8.8444e-05i,0.00016494+0.0003921i,0.00038627+0.00011988i,-0.00031918+0.00028753i
0.00054536+0.00073646i,-0.00016781+0.00049944i,-0.0018141+0.00091217i,-0.0016574+0.00096711i,-0.00057142+0.00043427i,-0.00067024-0.00011982i,-0.00015793-1.8545e-06i,0.00043602+0.00085226i,0.00043544+0.0010264i,0.0011814+8.119e-05i,0.00029227+0.00022632i,-0.00085395+0.00054416i,-0.00015865+0.00020358i,0.00080795+0.00013097i,0.00089239+0.00067234i,0.00027933+0.0014427i,-0.00056358+0.0010244i,-0.00062544+3.9304e-05i,-0.00046854-0.0002009i,-0.00013433-5.6277e-05i,0.00055253-0.00030101i,0.0001596-0.00039747i,-0.0009219-0.00060131i
-0.0024369-0.0016009i,-0.0019063-0.001856i,-0.0020962-0.0010874i,-0.0016454-0.00045576i,8.6139e-06-0.00072138i,0.0015084-0.0009476i,0.0014578-0.00019832i,0.0011328+0.0008362i,0.0014681+0.00094759i,0.0008284+0.00039595i,0.00088179-0.00015911i,0.0011035-0.0012526i,0.0011693-0.0015557i,0.00049529-0.00067894i,4.6902e-05+0.00046409i,0.00023535+0.00083343i,0.00055289+0.00061158i,0.00020345+0.00085982i,-0.00061384+0.0013395i,-0.00022298+0.0012748i,7.0919e-05+0.0012771i,0.00014679+0.0007634i,0.00017985+0.00022038i
-0.002844+0.00048012i,-0.0031957+0.0016694i,-0.0026915+0.0034605i,-0.0020804+0.0030772i,-0.0012455+0.0014569i,0.00071272+0.00045606i,0.0011478-1.9886e-05i,0.0010146+0.00030714i,0.00075987+0.00058172i,0.00076451+0.00039628i,0.0016455+0.00043474i,0.0017336+0.00048735i,0.0013525-0.00052611i,0.0011473-0.001003i,0.0012165+0.00046183i,0.0010798+0.0011503i,0.0007784+0.00047304i,0.00033069+0.00052905i,0.00015646+0.00081212i,0.00025924+0.00099745i,0.00067658+0.0010561i,0.00089176+0.00031319i,-6.2845e-05-0.00043428i
0.0019715+0.001232i,0.0016469+6.2271e-05i,0.00104-0.000676i,0.00052468-0.0016529i,0.00081628-0.0023199i,0.00031942-0.0013351i,6.9491e-05-0.00012505i,0.00088505+0.0007661i,0.00074528+0.0010286i,0.00034742+0.0007533i,0.00014926+0.00048953i,-0.00050668+0.0009282i,0.00012929+0.0015062i,0.00061005+0.00086162i,-0.00030872+0.00034545i,-1.4781e-05+0.00043514i,0.00057009-0.00035892i,0.00032599-0.00052551i,0.00021975-6.3993e-06i,0.00029527-0.00038602i,0.00068226-0.00048709i,0.00087285-0.00037492i,0.00042651-0.00025213i
-0.00026182+0.00092005i,-0.00056958+0.00039907i,-0.00049369-0.00026029i,-2.5562e-05-0.00038296i,-0.00092397+5.5068e-05i,-0.0012925-0.00025906i,-0.00041538-0.00030864i,0.00031607-0.00039432i,0.0010705-0.0012424i,0.0010471-0.00061781i,0.00060285+0.00063976i,0.00029704+0.0017903i,0.00055011+0.0012257i,0.00042551-0.00027452i,-4.9957e-06-0.000588i,-0.00065083-0.0003531i,-0.0011824+0.00024078i,-0.0018431+0.00029046i,-0.0015057+0.00057008i,0.00017945+0.00045972i,0.00079209-0.00027417i,0.00037596-0.00018191i,-0.00058418-0.00068097i
-0.00082116+0.0012633i,-0.0012084+0.001051i,-0.0012693+0.0011835i,-0.00057434+0.00088118i,-0.00080165+0.00049581i,-0.0010664+0.00014438i,-6.318e-05+0.00017665i,0.00021185+0.00091269i,-0.00041661+0.0015196i,-0.00045263+0.0019527i,0.00053134+0.0025252i,0.0018242+0.0021808i,0.0019721+0.0010058i,0.0012315+0.00014334i,0.0010071+0.00037935i,0.0014259+0.00058212i,0.00081177+0.00027985i,-0.00010036+0.00088049i,-0.00057049+0.001038i,-0.00072522+0.0013122i,-0.0001221+0.0014255i,0.00015252+0.00075695i,0.00020317+0.00026093i
0.00016682+0.0030875i,9.3092e-06+0.0031172i,0.00054865+0.0032605i,0.0010934+0.0017818i,0.0017802-0.00063059i,0.0011-0.0024878i,2.2606e-05-0.0013879i,0.0007586+0.00036864i,0.0024398+0.00058477i,0.0025097+0.00023695i,0.0010618-4.7437e-05i,-0.00018091-0.00034557i,-1.9685e-05+6.7076e-05i,0.00053276+0.00013445i,0.00016771-0.00011155i,-3.0608e-05+0.00010308i,7.6862e-05+0.00086324i,-0.0002551+0.00099214i,-0.00064974+0.00056626i,-0.0012454+0.00030688i,-0.00062687-6.5533e-05i,0.00069133-0.00060402i,0.00071523-0.00053057i
-0.00011317-0.00019716i,-0.0009855-0.0010434i,-0.0020612-0.0027353i,-0.0017306-0.0028406i,-0.0015144-0.0019661i,-0.0013669-0.0016549i,-0.00083923-0.00058237i,-0.0003041+0.0004734i,0.00058281+0.00071835i,0.0010711+0.0002375i,0.00088707+1.1998e-05i,0.00046091-0.00036779i,9.1058e-05-0.00092813i,0.0001898-0.00048319i,0.00050012-0.00010432i,0.00059721-8.1506e-05i,-0.00020511-0.00016021i,-0.0010052+0.00017297i,-0.00034319+0.00051994i,0.00024211+0.00066687i,-8.391e-05+0.00072i,0.00057596+0.00081011i,0.0010303+0.0011412i
0.00096328+0.0049055i,0.0021975+0.0043163i,0.0035377+0.0026842i,0.0040377+0.00014487i,0.0027045-0.0014186i,0.00045382-0.001741i,-0.0012075-0.00041873i,-0.00079194+0.00050448i,0.0013397+0.00093794i,0.0015237+3.0092e-05i,0.0007482-0.00093777i,0.00082759-0.00083949i,0.00013242-0.00045457i,-0.0010473-0.00033678i,-0.0013505-0.00025558i,-0.00051514+0.00014533i,0.00044897+0.00031579i,7.3912e-05+0.00032964i,-0.00095377+2.9789e-05i,-0.00088313-8.1798e-05i,-0.00040363+0.00050811i,0.00010603+0.00011054i,0.00043237-0.00026275i
0.0011749+0.00070438i,0.0020259+0.0012779i,0.00094681+0.0015161i,0.00072782+0.00059617i,0.00061391+0.00014016i,-0.00018246+0.00027574i,-0.00011659+0.00037749i,0.00055007+0.0010437i,0.0014539+0.0014476i,0.0011756+0.0012753i,-4.4595e-05+0.0015785i,-0.00019265+0.001802i,5.4305e-05+0.00091237i,0.00026992+0.00037392i,0.00018228+0.00087439i,-0.00020325+0.00067493i,1.5184e-05+4.0825e-05i,-0.00044481-0.00016657i,-0.00059947+0.0002437i,-0.00024628+0.00052612i,-0.00039274+0.00041865i,-8.5277e-05-3.2541e-05i,0.00058797-0.0002827i
0.001561+0.0016295i,0.0015011+0.00060267i,0.0023949+9.4936e-05i,0.0020415-0.0014869i,0.00013369-0.001633i,-0.001866-0.00068895i,-0.0014844+0.00018955i,-5.3177e-05+0.0011977i,0.00056279+0.0016838i,-0.00024183+0.0020505i,-0.0018115+0.0012231i,-0.0022621+0.0002382i,-0.0017615+0.00057006i,-0.0013203+0.00083025i,-0.00088353+0.00092864i,-0.00044824+0.0010586i,0.00022256+0.00078926i,0.00033527+0.00067515i,-0.00014688+0.0014799i,0.00025504+0.0016762i,0.00083736+0.00042644i,0.00072779+1.2443e-05i,6.348e-05-0.00050812i
-0.0017287-0.0009225i,-0.0025849+0.0003212i,-0.0022767+0.00043054i,-0.0014183+0.00060274i,-0.0010859+0.00081632i,-0.00095897-0.00065048i,-0.00043127-0.00036856i,8.7729e-05+0.00055521i,6.02e-05+0.00061179i,0.00021185+0.0013307i,0.0007371+0.00099409i,0.00084738+2.9277e-05i,0.0008761+0.00022817i,0.00078329+0.00063076i,0.00089512+0.00015228i,0.0003178+0.00016687i,-0.00096107+0.00086174i,-0.0013413+0.0012045i,-0.00062073+0.0010137i,-0.00023786+0.00071294i,-0.00017298+0.0010302i,0.00012702+0.0012289i,0.00095864+0.00084925i
0.000982-0.0011213i,0.00059534-0.0015741i,-0.00050234-0.0027568i,-0.00080874-0.002327i,-0.0013742-0.0013682i,-0.0011458-0.000788i,-0.00079989-0.0003531i,-0.00058204+1.2687e-05i,5.7539e-05+0.00041155i,-0.00021005+0.00070667i,-0.00021065+0.00066384i,0.00052952+0.00050629i,0.00090096+4.9232e-05i,0.00018665+7.563e-05i,-0.00065095+0.00060587i,-0.00012369+0.00082541i,0.00050316+0.00062189i,0.00049816+0.00046261i,0.00063375-2.6926e-06i,0.00080533+9.8338e-05i,0.00047168+0.00060478i,0.00042326+0.00035959i,0.00041743-9.1343e-05i
-0.00073823-0.00052667i,-0.0016623-0.0012624i,-0.0019509-0.00091501i,-0.00085986-0.00010897i,-0.00036792-8.4102e-05i,-0.00042663-0.00024348i,5.3805e-05-0.00023901i,0.00069599-0.00052803i,0.0012219+0.00028225i,0.00052249+0.00078187i,0.00033602-0.00024411i,0.00048656-0.000609i,-0.00027542-0.0007196i,-0.00044723-0.00072673i,-0.00019964+0.00014575i,-0.00020626+0.00065782i,-0.00035471+0.00090353i,-1.6709e-05+0.0015739i,0.00029871+0.0017075i,-4.7794e-07+0.00060547i,-0.00021302-0.00048295i,0.00023905-0.00061674i,0.00026535-8.1725e-05i
0.0044069+0.0015544i,0.0039856+0.0010699i,0.0048698-0.0010637i,0.0045013-0.0027391i,0.0022069-0.0023599i,-0.0001302-0.0018342i,-4.3652e-05-0.00068093i,0.0012874+0.00051787i,0.0021381+0.00097368i,0.0017633+0.0012423i,5.8355e-05+0.00055897i,-0.00093274+0.00045972i,-0.0010468+0.00085848i,-0.0010805+0.00023359i,-0.00049611-0.00013318i,8.0564e-05+0.00046626i,1.8435e-05+0.00027775i,0.00022213-0.00024009i,-0.00016343-0.00015564i,-0.00064904-0.00015038i,-2.6189e-05-2.8636e-05i,0.00014182+0.00010202i,0.00020002-8.4442e-06i
-7.7033e-05+3.3905e-05i,0.00044306+0.00054527i,0.0010048+0.0011539i,0.00071241+0.00037569i,0.00013404-0.00055581i,0.00043378-0.0015661i,0.00067998-0.0013043i,0.00062273+0.00015982i,0.0013043+0.0013244i,0.0009432+0.0016838i,-7.9181e-05+0.0017997i,0.00051907+0.0017283i,0.0012127+0.00060912i,0.00098394+2.4493e-05i,0.00035148+0.00081337i,6.7914e-07+0.0015111i,0.00063707+0.001166i,0.00011557+0.00038589i,-6.4799e-05+0.00014564i,0.00029171+0.00040757i,5.9627e-05+0.00042806i,4.1994e-05+0.00040127i,-0.000131-0.00021109i
0.002075+0.00020257i,0.0019995-1.5618e-05i,0.0016508+9.0422e-05i,0.00080618+0.00040922i,-0.00035689+0.0008024i,-0.0011502+0.00067638i,-0.0010034+0.0010831i,-7.2251e-05+0.0013844i,0.0012478+0.0013212i,0.0015606+0.0016836i,0.00094865+0.0012405i,0.00053966+0.00047183i,2.9769e-05+0.00067254i,-0.0001253+0.00087951i,-0.00019871+0.0010796i,-0.00055177+0.00060606i,-0.00063543-0.00039945i,-0.00031375-0.00034644i,8.2925e-05+3.698e-05i,8.3614e-05+0.00027005i,-0.00018324+0.00055441i,0.00045644+0.00054016i,0.0011016+0.00022887i
-0.0013487+0.00096322i,-0.0018122+0.0008583i,-0.002801+0.0013706i,-0.002575+0.0003981i,-0.00080215-0.0012642i,0.00038101-0.001072i,0.00057566+0.00065783i,0.00031939+0.0015037i,0.00040976+0.00073107i,5.4123e-05+0.00080553i,-0.00094978+0.0011327i,-0.00081471-0.00018146i,6.5475e-05-0.00081334i,0.00042947-0.00016322i,0.00056807+0.00016864i,0.00079532-0.00015699i,0.00043545+0.00027083i,-0.00070919+0.0011741i,-0.0011946+0.00063245i,-0.0014178+4.2316e-05i,-0.0018679+0.00058457i,-0.0015782+0.00054465i,-0.00027855+0.00031096i
-0.0011324+0.0011222i,-0.00047548+0.00027156i,2.5065e-05-0.0005154i,-0.00032883-0.00041845i,0.00013057+0.00064593i,0.00064924+0.00056437i,0.00080764+0.00021484i,0.00078203+0.0012436i,0.00091036+0.0021254i,0.00096546+0.0013068i,0.00047251-0.00018782i,0.00047932-0.0010054i,0.00083913-0.00076842i,0.00032141-0.00013142i,-0.0004069+6.3211e-05i,-0.00044126+0.00038907i,-0.00069405+0.00059717i,-0.0011586+0.00053203i,-0.00051162+0.00039648i,-0.00041934+0.00028392i,-0.00072879+0.0001574i,-0.00021219-0.00062683i,0.00018961-0.00058488i
0.00014054+5.7655e-05i,-0.00013239+8.4379e-05i,-0.00046183-0.0002631i,-0.0007088-0.00072826i,-0.00054557-0.00082642i,-0.00075107-0.00068327i,-0.00067777-0.00046244i,0.00047223+0.00012952i,0.0013075+0.00125i,0.0013896+0.00165i,0.00089205+0.00080247i,-5.8562e-05+0.00054458i,0.00049751+0.00066095i,0.0013739+0.0004298i,0.0010844+0.00023338i,0.00026395-6.3866e-05i,-0.00013391-0.00015408i,-0.0001537-0.00030072i,-0.00057023-0.00052803i,-0.00034326+0.00035196i,1.8319e-05+0.00073668i,-0.00013318+1.0026e-05i,-0.00035403+0.00019195i
0.0024876+6.6762e-05i,0.0023343-0.00087314i,0.0024794-0.0013711i,0.0025033-0.0026167i,0.0015721-0.0031025i,-0.00024718-0.0021369i,-0.00059606-0.0019948i,0.0003727-0.00097073i,0.001591+0.0010796i,0.0013127+0.0010807i,0.0003416+4.3743e-06i,0.00010974+2.3619e-05i,2.7126e-06+0.00025989i,0.00017593+0.00098145i,0.00033503+0.00099371i,0.00038269+0.00099977i,-0.00025593+0.00070786i,-0.00074436-5.7473e-05i,-0.00056757+0.00047329i,-0.00022841+0.00074871i,9.7979e-05+0.00010067i,0.00032757-0.00077062i,0.00032527-0.0013544i
0.001141+0.00061264i,0.00060974+0.00021866i,0.00031871-0.00032244i,0.0006435-0.00018135i,0.00057225+0.00015428i,0.00014189-4.4742e-05i,0.00010375-0.00030489i,0.00037011+0.00034322i,0.00032968+0.00078158i,-9.7303e-05+0.0012497i,-0.00095909+0.0011972i,-0.0011093+0.0009329i,0.0001207+0.00091717i,0.00072769+0.00013437i,0.00027623-3.6425e-05i,-0.00072402+1.823e-05i,-0.00055663-0.00013335i,-0.00034054+0.00022697i,-0.0005348-4.5765e-05i,-0.00069347+0.00021076i,-0.00095858+0.00052737i,-7.4307e-06-0.00050684i,0.00057721-0.00037573i
0.0006991+0.0010881i,0.0019239+0.00097299i,0.001363+0.00032504i,0.00028439-3.3202e-05i,-0.00037139-0.0015534i,0.00034878-0.0020898i,0.00069989-0.00072734i,0.00010301+0.00035059i,0.00052421+0.00098912i,0.00045618+0.0014171i,-0.00034794+0.0012796i,-0.00060314+0.00015887i,-0.00072317-0.00048408i,-0.00069948+0.00015081i,-0.00028835+0.00091426i,-3.6623e-05+0.00056426i,-0.00044276+0.00028954i,-0.00033787+0.00085527i,2.5152e-05+0.00071596i,-0.00058317+0.00054513i,-0.00096847+0.00028208i,-0.00013879-0.00019738i,7.9016e-05-8.5198e-05i
-0.00037697+0.0025358i,-0.00052509+0.0029796i,-0.00034457+0.0030689i,0.00039737+0.0017423i,0.00078422+0.00031411i,0.00019822-0.00066794i,0.00025992-0.00082377i,0.0010094+0.00058108i,0.00092041+0.0016434i,0.00047726+0.0010313i,-0.00042671-0.00017794i,-0.00045066-0.00056256i,-0.00048747-0.00019025i,-0.0016193+0.00023888i,-0.00091917+0.00034162i,0.0001954-0.00012658i,-0.00068949-0.00012119i,-0.00095871-0.00019577i,-0.00021031+0.00032543i,-0.00035562+0.0010336i,-0.00016773+0.00053253i,0.0005184-0.00014265i,0.00049446-0.00050232i
0.00020007-0.00030479i,0.00041277-0.00053486i,0.00081483-0.00018842i,0.001439-9.6945e-06i,0.0013074+0.00048675i,0.00087241-0.00019918i,-0.0001175-0.00029915i,0.00035786+0.00096623i,0.0019166+0.00094832i,0.00221-0.0001765i,0.0011497-0.00020514i,0.0003835+0.00037035i,0.00031444+6.3885e-07i,0.00053376-0.00055862i,0.00066528-0.00071112i,0.00088659-0.00048004i,0.00045018-0.0004469i,-0.00076134-0.00031714i,-0.00085751+0.00037378i,-0.00018717+0.0006189i,4.5051e-05+0.0004486i,-0.00026116+0.00017428i,-0.00033891-0.00036298i
-7.2319e-05+0.0018279i,0.00019688+0.00080484i,-6.7691e-05+0.00028632i,0.00066791-7.3252e-05i,0.0011098-0.00059856i,-0.00023002-0.0010936i,-0.001384-0.00063859i,-0.00040486+0.00071833i,0.00096927+0.0017521i,0.001531+0.0019785i,0.001552+0.0016077i,0.0017495+0.00055192i,0.0012808-0.00025888i,0.00082198+0.00033471i,0.00084336+0.0012573i,0.0010508+0.0012422i,0.00084065+0.0012284i,-0.00027106+0.00082646i,-0.0007826+0.00063608i,-0.00027527+0.00060143i,-0.0003127-0.00011991i,-0.0005882-0.00054652i,-0.00089338-0.00039956i
0.0010277+0.00080462i,0.0032831+0.00020499i,0.003307+0.00015744i,0.0024434+0.00024321i,0.001175-0.00096289i,0.0001945-0.00060135i,-5.7713e-05+0.00018688i,-0.00017198+0.00030115i,0.00027933+0.00075316i,0.00024272+0.0010965i,-0.00038609+0.0013374i,-0.00070875+0.00099181i,0.00011022+0.00091122i,0.00081743+0.0012849i,0.00055561+0.00073865i,-0.00010037-0.0001984i,-0.00047653-0.00012715i,-0.0011222-5.8727e-06i,-0.0013407-0.00068539i,3.3642e-05-9.2396e-05i,0.00050018+0.0010295i,-5.6177e-05+0.0010846i,-0.00055388+0.00093886i
0.0018899+0.000412i,0.0016076+0.00073348i,0.0014025-7.2165e-05i,0.00084331-0.0016965i,-8.5252e-05-0.0019322i,-0.00053738-0.0015826i,-0.0001293-0.00085093i,0.00036026+0.00046278i,0.00080115+0.0010185i,-8.0747e-05+0.00075382i,-0.0013872+0.00045222i,-0.0016242+0.00040028i,-0.00096175-0.00054724i,-0.00022169-0.00070566i,-3.6174e-06+0.00030067i,0.00029064+0.00098394i,0.00019688+0.00079152i,0.00016008+0.00011031i,-0.00066555-0.00029261i,-0.0010461+2.6626e-05i,-0.0010044-0.0003362i,-0.00082087-0.00080689i,-0.00030805-0.00048331i
0.0017863+0.00040951i,0.00084228+0.00043199i,0.00064836-0.00090263i,0.00074116-0.0015682i,0.00096054-0.0026309i,1.5186e-05-0.0019485i,-0.00053962+0.00050466i,0.0002271+0.0015413i,0.0010463+0.00078411i,0.0010306-0.00029028i,8.0112e-05+0.00019451i,-0.001037+0.00031128i,-0.0010987-0.00058615i,-0.0004904-0.00037192i,-0.00058168+0.0002073i,-0.00075634+0.00021886i,-0.0010225+0.00034794i,-0.001245+0.00034245i,-0.00082431-6.6798e-05i,-0.00061478-0.00026593i,-0.00031859-0.00017296i,0.00052518+5.5294e-05i,0.00079046+0.0007408i
0.0016773+0.0018162i,0.00093803+0.0014278i,0.0010676+0.00058915i,0.0015431-0.00039776i,0.0015479-0.00046586i,0.00088585-0.00012053i,0.00059681+0.00032645i,0.0012542+0.00029378i,0.0016611-0.00012639i,0.0015614-0.00069218i,0.0013283-0.0011658i,0.00084694-0.001016i,0.00018728-0.00095213i,-9.1502e-05-0.00063629i,0.00039445-2.5314e-05i,0.0010083-0.00035279i,0.0011254-0.00065426i,0.00076965-0.00039563i,0.00017732+0.00010835i,6.5547e-05+6.5261e-05i,-7.5645e-05-0.00036291i,-0.00013582+0.00011606i,0.0006639+0.00043556i
0.00029845-0.0015051i,-0.00057594-0.002297i,-0.0015993-0.0025552i,-0.0017753-0.0019257i,-0.0017302-0.00093546i,-0.00097367-0.00038424i,9.2523e-05-0.0010743i,0.0007099-0.00027119i,0.00052961+0.0010986i,0.00012554+0.0019798i,0.00014042+0.0018512i,0.0011225+0.0018377i,0.0018801+0.0018792i,0.0013179+0.0010947i,0.0010453+0.00076817i,0.00045601+0.0012666i,-0.00017463+0.0011694i,-8.9416e-05+0.00085653i,-0.00059631+0.00073712i,-0.00096287+7.3003e-05i,-3.4204e-05-0.00078433i,0.0010155-0.00060983i,0.00058608-8.8053e-05i
