-0.0014867+0.0014676i,-0.0021501+0.0020364i,-0.0033314+0.0014202i,-0.0024989+0.00024282i,-0.002104+1.2736e-05i,-0.0022208+0.00039083i,-0.0014018+0.0013643i,-0.00061519+0.0018863i,0.00027011+0.0011073i,0.0012885+7.6925e-05i,0.0010332-0.00066335i,0.00035347-0.00076355i,0.00039955-0.00060979i,0.0007593-0.00073431i,0.00023466-0.0011432i,-0.00041594-0.00099459i,-0.00053977-0.00048533i,-0.0014692-0.00074105i,-0.0014852-0.00076427i,-0.0005907-0.00011464i,-1.7818e-05+0.00029668i,0.00012791+0.0003569i,0.00049302+0.0012957i
-0.00083765-0.0017481i,-0.0022505-0.00069409i,-0.0030745+0.00026071i,-0.00337-0.00012326i,-0.002284-0.00040047i,-0.0022602+0.00022859i,-0.001855+0.00038366i,-0.00095126+3.4689e-06i,-0.0014272-0.0009476i,-0.002153-0.0023477i,-0.002105-0.0035134i,-0.00088698-0.0037092i,0.00019888-0.0023518i,-0.00039206-0.00041879i,-0.0011738+0.00056509i,-0.00038787+0.0010399i,0.00035162+0.0011843i,0.00086789+0.00025715i,0.0010857-0.00050655i,0.00078453-0.00061154i,-0.00023431-0.00083255i,-0.0013798-0.00071969i,-0.00057307-9.7042e-06i
0.001129-0.00083702i,0.00071058-6.7653e-05i,0.0015355+0.0016193i,0.0017042+0.0017528i,0.00038814+0.00069658i,-0.00068275+0.0016226i,-0.0016745+0.002331i,-0.0021675+0.0021425i,-0.0023933+0.0019448i,-0.0033797+0.00092206i,-0.0038042-0.00074066i,-0.0031751-0.0017206i,-0.0020219-0.001497i,-0.0010516-0.00042705i,1.8034e-05+0.00016128i,0.0016425-0.00020161i,0.00215-0.0012135i,0.00072525-0.0019566i,-0.00015496-0.001394i,8.3547e-05-0.00099311i,-0.00013846-0.00059554i,-0.0006162-0.00033542i,-0.00038214-0.00039358i
-0.0018543-0.001631i,-0.0024485-0.00052934i,-0.0036308-0.0018579i,-0.0030029-0.0022573i,-0.0013544-0.00027571i,-0.00092718+0.0010373i,-0.00019193+0.0011399i,-0.00032917+0.0014197i,-0.0014946+0.0026171i,-0.0025833+0.0032715i,-0.0033983+0.0029093i,-0.0033597+0.0021391i,-0.0017503+0.00068278i,0.00060966-0.00056912i,0.0018634-0.00063595i,0.0010066-0.00091315i,7.9011e-05-0.0016262i,-0.00049023-0.001417i,-0.0011664-0.00085969i,-0.0016257-0.00052789i,-0.001919-0.0003273i,-0.0009185-4.1297e-05i,-4.3436e-05-6.3683e-05i
0.001591+0.0029193i,0.0012828+0.002077i,0.0029101+0.0017142i,0.001873+0.00069395i,0.00056336-0.00094499i,-0.00037655-0.0010358i,-0.00036499-0.00026017i,0.00060564+0.00068839i,0.0016401+0.0023298i,0.0024992+0.0040015i,0.0019122+0.0050749i,0.00017559+0.0045092i,-0.00027969+0.0027023i,5.6667e-05+8.9598e-05i,0.00057927-0.0016131i,8.7449e-05-0.0024978i,-0.0016921-0.0027204i,-0.0017122-0.0014837i,-0.00038545-0.00074424i,-0.00016812-0.00042241i,0.00021091-8.1436e-05i,-2.1122e-05-3.9087e-05i,-0.00086284+0.00018721i
5.5598e-05+0.00054174i,0.00040237+0.00032697i,0.001151+0.00082259i,0.00093244-1.96e-05i,0.00049935-0.00059262i,6.7777e-05-0.00043643i,-0.00081756+0.00046783i,-0.00028593+0.00047498i,0.0020614-3.186e-05i,0.0048323+0.00060308i,0.0058917+0.0025318i,0.0043654+0.0034772i,0.0027325+0.0023034i,0.00084422+0.00044981i,-0.0011141-0.0011467i,-0.0018351-0.0016904i,-0.0017768-0.0012874i,-0.0018965-0.0010522i,-0.00135-0.00060191i,0.00032023+0.00011256i,0.00083955-6.1559e-05i,0.00054889-7.5324e-05i,-0.00026898+0.00036669i
-9.9476e-05+0.0012812i,0.00027352+0.00038045i,0.00031719-4.3622e-05i,0.00099524-0.00011565i,0.00090783+0.00033069i,-1.8258e-05+0.0011967i,-0.00078682+0.0018446i,-0.00074121+0.0013768i,0.00061815-0.00019097i,0.0038022-0.0018823i,0.0059884-0.0026719i,0.0061524-0.0025799i,0.0048095-0.0016745i,0.0019785-0.00046962i,-0.0005826+2.3941e-05i,-0.00095646-8.0237e-05i,-0.00018768-0.00051123i,0.00060996-0.0010181i,0.00095775-0.0010089i,0.00032174+0.00016233i,-0.00057534+0.0008619i,-0.00043241+0.0008592i,0.00025206+0.00012499i
-0.00047471+1.9745e-05i,-0.000541+0.00072162i,-0.00084779+0.0016558i,-0.0021433+0.0019041i,-0.0022718+0.0015254i,-0.0010194+0.0017489i,-0.0010931+0.0022406i,-0.0018459+0.0016657i,-0.0021422-0.00018626i,-0.00079099-0.0031313i,0.0015947-0.0047576i,0.0026926-0.0038978i,0.0016717-0.0029844i,0.00017374-0.0015368i,-0.00079092+0.00061796i,-0.00067033+0.00080442i,2.3181e-05-0.00024175i,0.00083067-0.0012042i,0.00062522-0.0013529i,-0.00032061-0.0012066i,-0.00021883-0.0009648i,-0.00012166-0.00036529i,-0.00024217-0.00030462i
0.0022813-0.0011595i,0.0025601-0.00077628i,0.0029815-0.00057546i,0.0019037-0.0008394i,0.00076804-0.0010039i,0.00099116-0.00036431i,-0.00023919+0.00067604i,-0.001622+0.0011221i,-0.0019313+0.0011929i,-0.0027747-2.824e-05i,-0.0036549-0.0025713i,-0.0028635-0.0042334i,-0.0015119-0.0037064i,-0.00051235-0.0014764i,-0.00025162-1.3051e-05i,-0.00021184-7.4092e-05i,-0.00018146-0.00035379i,-0.00084691-0.0013852i,-0.00097301-0.0020637i,-0.00012799-0.00083974i,-4.0701e-05+0.00015788i,-0.00034835+0.00020974i,0.00040115+9.9226e-05i
0.0017959+0.0002538i,0.0011305-0.00056287i,0.00089087-0.0006414i,0.00051155-0.0012279i,-0.00021358-0.001004i,-0.00085986-0.00039764i,-0.00062347+6.7991e-06i,-0.00012036+0.00085918i,-0.00073287+0.0022328i,-0.002841+0.0032457i,-0.0046294+0.0018046i,-0.0046501+0.00046363i,-0.0037164+0.0005505i,-0.0019478+0.00022898i,1.0673e-05-0.0007495i,0.00034066-0.0015569i,-0.001004-0.0010505i,-0.0024525-0.00054278i,-0.002126-0.0004091i,-0.00060344-0.00016219i,-0.00069739-0.00025029i,-0.000696-0.00051611i,0.00065272+1.0125e-05i
-0.0026263+0.00041201i,-0.0017626+0.00075046i,-0.001597+0.0018232i,-0.0026278+0.001723i,-0.0021516+0.0003267i,-5.7188e-06+0.00036969i,0.00022593+0.0012651i,-0.00073078+0.0019191i,-0.00018979+0.002595i,0.00082189+0.0050026i,0.00027737+0.0073465i,-0.00067995+0.0065971i,-0.0010679+0.0038498i,-0.00038217+0.00094745i,0.00023005-0.0010254i,0.00013813-0.0017148i,-0.00013697-0.0019458i,-6.7816e-05-0.0010381i,-0.00016744-2.6547e-05i,-0.00054298-0.00051604i,-0.00044886-0.00057871i,-0.00017588-0.00065428i,-0.00015671-0.00045232i
0.00049982+0.00036514i,-0.00052304+0.00098374i,-0.002033+0.0019227i,-0.0024702+0.0013358i,-0.0023198+0.00060385i,-0.0016592+0.0009002i,-8.5878e-05+0.0016619i,0.0010437+0.0016352i,0.0024908+0.0012753i,0.0046483+0.002612i,0.0054635+0.0040482i,0.0041452+0.0042628i,0.0029683+0.0039379i,0.0013602+0.0021087i,-0.00035859-0.00043197i,-0.00047062-0.0014806i,-0.00053973-0.0012125i,-0.00035885-0.0005017i,0.00048291-0.00023977i,0.00068296-9.831e-05i,-0.00063158+9.1143e-05i,-0.0013074-0.00019654i,-0.00098114+7.8775e-06i
0.00063139+0.00071972i,0.00094737-0.00051089i,0.0015488-0.00072348i,0.0016193-0.00089727i,0.00071294-0.0012209i,-0.00051078-0.00018459i,-0.0010077+0.0001803i,-0.00079891-0.00050571i,0.00034385-0.00078168i,0.0029839-0.0015674i,0.0053204-0.0015059i,0.0053409-0.00094294i,0.0039432-0.00055225i,0.0020574+4.3525e-05i,-0.00035204-0.00021215i,-0.0015211-2.3247e-05i,-0.0005385+0.00028054i,0.00040745-0.00071464i,-4.7138e-06-0.0012367i,-0.00022506-0.00066584i,-0.00021819-0.00026902i,-0.00043055+0.00048135i,-0.0011795+0.0013078i
-0.0011726-3.2808e-05i,-0.00052848+0.00062449i,-0.0010175+0.00092449i,-0.00036907+0.00099341i,0.0001298+0.0012305i,5.0038e-06+0.0011629i,-0.0004474+0.00084224i,-0.0014292+0.00044021i,-0.0019197-0.00071534i,-0.0010233-0.0029776i,0.0012401-0.0048723i,0.0034156-0.0053103i,0.0028776-0.0040976i,0.0016889-0.0019667i,0.00079723-0.00029421i,4.0237e-05+9.1974e-05i,0.00012175-0.00062209i,0.00015769-0.0016933i,-0.00081774-0.0021458i,-0.0011373-0.0014111i,0.00015098-0.00033093i,0.00088443+0.00077964i,0.00058248+0.0013643i
-0.0023913+0.00093121i,-0.0023826+0.00053614i,-0.0031451+0.00145i,-0.0029961+0.0027619i,-0.0016914+0.0031892i,-0.0012689+0.003143i,-0.0020501+0.0026196i,-0.0022688+0.0024885i,-0.0024759+0.0018346i,-0.0038034-6.2744e-05i,-0.0039539-0.0023334i,-0.0020069-0.0032911i,-0.0010422-0.0029441i,-0.00044606-0.0020949i,0.00074461-0.00077099i,-0.00018778-0.00039684i,-0.0010937-0.0015095i,-0.00084374-0.0022659i,-0.0005772-0.0016579i,-0.00048599-0.00082848i,-0.00084563-1.5158e-05i,-0.00082195+0.00031153i,0.00074851+0.00010244i
0.0036399-0.0018267i,0.0030931-0.0025623i,0.0020431-0.0023316i,0.0010075-0.0013223i,0.00010408-0.0008687i,0.00068292-0.00047836i,0.00094394+0.00069084i,-0.00038458+0.0022438i,-0.0017403+0.0036287i,-0.0029194+0.0040471i,-0.0049618+0.0025957i,-0.0051172+0.00045639i,-0.0030878-0.00059222i,-0.0017174+3.8649e-05i,-0.00021865+0.00011589i,0.00017588-0.0011328i,-0.00074399-0.0012246i,-0.0013159-0.00098041i,-0.001121-0.00071496i,-0.00062876+0.00053026i,-0.00027973+0.00048665i,-0.00025014-0.00070711i,-0.00047725-0.0018107i
0.003911+0.0021419i,0.0032004+0.00036184i,0.0024212-0.0011418i,0.0016424-0.0022261i,-0.00041092-0.0017768i,-0.0013967+0.00010007i,-0.0012034+0.001514i,-0.00065766+0.0026186i,0.00016085+0.0035641i,0.0017677+0.0052054i,0.0014554+0.005941i,-0.00069642+0.0041543i,-0.0015222+0.0024254i,-0.0011786+0.00085004i,-0.00067333-0.00089139i,-0.00057049-0.0014115i,-0.00041447-0.00082163i,0.00021456+0.00019795i,0.00037428+0.00023989i,0.00030991-0.00062902i,0.00049574-0.0012528i,0.00078996-0.00089584i,0.00033577-0.00065251i
-0.0013929-0.0011302i,-0.0023961-0.00059967i,-0.0021515-0.00012698i,-0.00097336+0.00097606i,-0.00057366+0.0020241i,-0.00072385+0.0014473i,-0.00027502+0.00070957i,0.00085988+0.0012897i,0.0031726+0.0013423i,0.004999+0.0016929i,0.0057231+0.0029601i,0.0042649+0.0035694i,0.0012705+0.003578i,-0.00018613+0.0021274i,-0.00047694+0.00029558i,-0.0012269-0.00066165i,-0.0012243-0.0009154i,0.00030256-0.0013191i,0.00087526-0.0016713i,0.00043739-0.00078041i,-0.00057647+9.8981e-05i,-0.00089614+0.00019111i,-0.00032505+0.00030164i
0.00068222-0.0018372i,0.00078623-0.00075156i,7.455e-05-0.00020105i,-0.00045675+8.1143e-05i,5.6389e-07+0.00085309i,-0.00029837+0.0018047i,-0.0011957+0.0022798i,-0.0010234+0.00043931i,0.00094288-0.0025163i,0.0038572-0.0043373i,0.0055609-0.0039178i,0.004828-0.0016425i,0.0042242-0.0001577i,0.0029193+0.00056994i,0.00020503+0.00084234i,-0.00145-0.00049678i,-0.00062334-0.0016844i,0.00043915-0.0013869i,-5.5264e-05-0.0011104i,-0.00031332-0.00062586i,-5.3606e-05+0.00011237i,-0.00016044+0.00023433i,0.00016963-4.3236e-05i
4.1675e-05-0.0013163i,-0.00032888-0.0012141i,-0.001402-0.00060537i,-0.0019774-0.00016269i,-0.0022994-0.00043526i,-0.0027725-0.00048586i,-0.0024233+0.00047618i,-0.0020856+0.00063276i,-0.0022983-0.001536i,-0.0021076-0.0044608i,-0.0008254-0.0054139i,0.00048147-0.0043383i,0.0012524-0.0030524i,0.0010358-0.0020898i,0.00026977-0.00080719i,0.00019063+0.00022788i,-0.00012578-0.00037644i,-0.00099572-0.0017669i,-0.0012357-0.0017571i,-0.00067743-0.00079184i,-0.00042973+0.00052781i,-0.00038662+0.0012909i,-4.5744e-05+0.00089873i
9.4305e-05+0.0023856i,0.00011394+0.0013194i,0.0011774+0.00043584i,0.0028979-0.00019965i,0.002307-0.00020614i,0.00082286+0.00054022i,-0.00010453+0.00062701i,-0.0015162-2.7503e-05i,-0.0038205+0.00012632i,-0.0061522-0.00054016i,-0.0064232-0.002238i,-0.0043757-0.0029913i,-0.0015541-0.0025219i,0.00043455-0.0015224i,0.0012352-0.00046473i,0.0011475+5.7132e-05i,0.00075987-9.205e-05i,2.859e-05+0.00023585i,-0.00030306+0.0010928i,0.00049045+0.0014665i,0.0005742+0.00081927i,-0.00093182-0.00037348i,-0.00097071-0.00070336i
-0.0012238+0.00027872i,-0.00063344+0.00038662i,6.5786e-05+0.00032056i,-0.00087301+0.00050895i,-0.0011666+0.00069474i,-0.00062638+0.0013735i,-0.0015622+0.0019583i,-0.002693+0.0020761i,-0.0038569+0.0036908i,-0.0053509+0.005575i,-0.0057138+0.0060533i,-0.0044589+0.003874i,-0.0024698+0.00047674i,-0.00047598-0.0012475i,0.00019713-0.0019128i,-0.00054324-0.0025023i,-0.00048904-0.0015608i,0.00055179+0.00051191i,0.00093495+0.001375i,0.0008363+0.0010946i,0.00046407+0.00030294i,-0.00020688-0.00069661i,-0.00018513-0.00087964i
-0.00036023+0.0015329i,6.503e-05+0.0011693i,0.00034312+0.0020281i,0.00019359+0.00046611i,-0.00024132-0.00083985i,-0.00074063+0.00040297i,-0.00086982+0.0012917i,-0.00028716+0.0020405i,0.0013302+0.0043711i,0.0025021+0.0079626i,0.0016408+0.0090386i,0.00057518+0.006105i,0.0006234+0.0022299i,0.00058845-9.7695e-06i,0.00041971-0.0012709i,0.0005255-0.0016688i,0.00079936-0.0014496i,0.0014156-0.001616i,0.001798-0.0015557i,0.0012363-0.0010881i,-0.00026564-0.0010541i,-0.00083907-0.000414i,-0.00080615+0.00033579i
0.00065257+0.00046009i,0.00044894+0.00041848i,0.00080452-3.5001e-05i,0.00144-3.9944e-05i,0.00082412+0.00078043i,0.00013296+0.0013636i,0.00069342+0.0010002i,0.0017629+9.5696e-06i,0.0034909+0.00084347i,0.0066036+0.0030269i,0.0088234+0.0042631i,0.0074891+0.0033849i,0.0041413+0.001685i,0.0010504+0.00038231i,-0.00082279-0.0001154i,-0.0010613-0.00074703i,-0.00016929-0.0014369i,7.2032e-06-0.0024468i,-7.3957e-05-0.0023497i,8.4773e-05-0.001616i,3.2493e-05-0.0007815i,-0.00020023+0.0010028i,7.9946e-05+0.0015557i
-0.0017708-0.00068906i,-0.0029721+0.00045939i,-0.0030036+0.00086615i,-0.0032101+0.00055615i,-0.0023316+0.0014241i,-0.00062931+0.001307i,-0.00035594+0.00039943i,0.00018266-0.00092187i,0.0028349-0.0033443i,0.0056528-0.0046863i,0.0072211-0.0048017i,0.0060559-0.0030818i,0.0028857-0.00014633i,0.00062+0.0010286i,-0.0012322+0.00032577i,-0.0016138+0.00015699i,-0.00068106-0.00046012i,-0.00099297-0.0017963i,-0.0014815-0.0020849i,-0.00096966-0.00053542i,-0.00044784+0.00069001i,-0.00015034+0.00084684i,0.0005827+0.00096248i
-0.0016981+0.00040754i,-0.0010782+0.00075889i,-0.0011646+0.0027328i,-0.0011234+0.0033081i,-0.00049711+0.0017911i,-0.00025278+0.0014429i,-0.00057994+0.0014068i,-0.00062172-0.00011309i,-0.00030188-0.0026722i,-0.00032775-0.0062391i,0.00034531-0.0079581i,0.00042825-0.0057509i,0.00013865-0.0026879i,0.00027967-0.00089607i,-0.00053602-9.7521e-05i,-0.0008246+0.00011509i,-0.0012887-0.00047787i,-0.0020787-0.00071929i,-0.001534+0.000177i,-0.00074659+0.00042757i,-4.5613e-05+0.00019832i,0.00064988+0.00053621i,9.7747e-05+0.00037242i
-0.0008344+0.0024281i,-0.00088575+0.001726i,-0.00099664+0.00064777i,-0.00058161+0.00069747i,-0.00064653+0.00067541i,-0.00038731+0.00036026i,0.00042042+0.00029791i,-0.00084156-0.00035903i,-0.0039756-0.0010248i,-0.0062776-0.0012489i,-0.006673-0.0016702i,-0.0047285-0.0018278i,-0.0016253-0.0014713i,-0.00020731-0.00082841i,-0.00028387+0.00032232i,0.00054292+0.0015172i,0.00069495+0.0012004i,0.00012273+0.00076644i,0.00019138+0.0013429i,0.0001251+0.00080246i,-0.00022311+0.00028235i,0.00036205+0.00056808i,0.00050959+0.00054684i
0.0026077-0.00022883i,0.0012713-0.00054559i,0.0016595-0.0014446i,0.00063525-0.0023078i,-0.0010803-0.001767i,-0.0015946+0.00078854i,-0.001425+0.0023152i,-0.0020285+0.0030294i,-0.0032031+0.0036982i,-0.0048811+0.0040861i,-0.0060048+0.0031058i,-0.0050038+0.0014576i,-0.0029165+0.00092945i,-0.00085351+0.00077083i,0.00032513-0.00014135i,0.0013969-0.00054259i,0.0025973-0.00022735i,0.0024024-0.00056159i,0.001383-0.0008669i,0.0009318-0.00064427i,0.00035884-0.00043775i,-0.00085069-0.00010284i,-0.0015375+0.00079261i
0.0010729-0.0017239i,0.00091673-0.0016865i,-0.00027046-0.0021981i,-0.0007898-0.0011799i,-0.0011313-8.9762e-06i,-0.00072408+0.00087412i,-0.00065067+0.0018846i,-0.00081593+0.0030121i,0.00066187+0.0045568i,0.0021467+0.0066616i,0.0016211+0.0078743i,0.00070647+0.0055538i,0.00070219+0.0022928i,0.00097574+7.0895e-05i,0.0015806-0.0012978i,0.0018209-0.0015758i,0.0015685-0.0012496i,0.001543-0.0012557i,0.00069302-0.0017895i,-0.0004895-0.0016501i,-0.00086002-0.0007762i,-0.0014089+0.00019017i,-0.0013662+0.00060895i
0.0013432-0.00033432i,0.00069493-0.0020879i,0.0012845-0.0019726i,0.0012874-0.0016873i,0.00025826-0.00087816i,-0.00087698+1.2952e-06i,-0.00087832+0.00091775i,0.00013073+0.001836i,0.0029317+0.0025057i,0.0058279+0.0036603i,0.0067373+0.0033467i,0.0056915+0.0019414i,0.002765+0.00056764i,0.0011565-0.00032225i,0.00093969-0.00075921i,-0.00026282-0.001723i,-0.00090025-0.0024101i,-0.00090846-0.0029375i,-0.00087582-0.0026681i,-0.0010945-0.00097793i,-0.000939+0.00079617i,-0.0012646+0.0013228i,-0.0015558+0.0014999i
-0.0012062+0.0011179i,-0.0011504+0.001847i,-0.0010069+0.0024922i,-0.00021874+0.0019532i,0.00013214+0.0016924i,0.00016488+0.0017008i,0.0004912+0.0015578i,0.00088086+0.0012421i,0.0026378-0.0002209i,0.0053904-0.0021022i,0.0067315-0.0032644i,0.0051878-0.0029231i,0.0025252-0.0023084i,0.00057567-0.0022111i,-0.00052789-0.0019137i,-0.001225-0.0018724i,-0.0014199-0.0026727i,-0.0010411-0.0030834i,-0.0016042-0.0018357i,-0.0010851-6.9687e-05i,0.00039084+0.0005239i,0.00029485-0.00011272i,-0.0005093-0.00015311i
0.00075474+0.0013426i,0.00075228+0.0011667i,0.0028727+0.0016594i,0.0031868+0.00043701i,0.00081604-0.0011528i,-0.00043662-0.00032125i,0.0002313+0.0010764i,0.00041585+0.00025429i,0.00060222-0.0025243i,0.00080777-0.0048608i,0.00053764-0.0050799i,0.00072305-0.0037139i,8.475e-05-0.0020896i,-0.00077615-0.00091795i,-0.0012839+9.8309e-05i,-0.0018966+0.00028996i,-0.0018997+2.9822e-05i,-0.0019255+0.00029484i,-0.0015727+0.00084717i,-2.6893e-05+0.0012225i,0.0012676+0.0011137i,0.00092222+0.0005322i,0.00084253+0.0012537i
-0.0015099-0.001535i,-0.0019856-0.00017285i,-0.002791+0.0014041i,-0.0015832+0.0028283i,-0.00087596+0.0028123i,-0.00040562+0.0017683i,-0.00075093+0.001161i,-0.0023347+0.00060748i,-0.0038992-5.5932e-05i,-0.0056931-0.0010214i,-0.005209-0.0016019i,-0.0025795-0.0009483i,-0.00053997+0.0001507i,-0.00060221+0.0012247i,-0.00078695+0.0008659i,-0.00056158+0.00054202i,-0.00043674+0.00061238i,-0.00021427+0.00017802i,0.00053166+0.00013049i,0.0013365-0.00035461i,0.0013116-0.0010359i,0.00045463-0.0010714i,-0.00027265-0.00022674i
0.00073692-0.001544i,0.00023277-0.0019495i,-0.0013911-0.0017549i,-0.0014459-0.00083725i,-0.00090969-5.0019e-05i,-0.0013267+0.0014762i,-0.0012946+0.0023061i,-0.0020381+0.0024293i,-0.0030972+0.0025044i,-0.004249+0.0028877i,-0.0041559+0.0036352i,-0.001651+0.003163i,0.00036754+0.0016655i,0.0010962+0.00098471i,0.00078525+0.00050371i,0.00056171+0.00013582i,0.0011653+0.00030312i,0.0013543-0.00020327i,0.00068074-0.0010921i,0.00017622-0.0014851i,-0.00011059-0.00089579i,8.6121e-06-0.00047334i,0.00028968-0.00020858i
-0.00030221+0.0013393i,9.0939e-05+0.0029456i,0.00062045+0.0027792i,7.2051e-05+0.0014021i,-0.00099707+0.0013657i,-0.0010226+0.0010971i,-0.0010308+0.0013443i,-0.00086493+0.002441i,-8.4492e-05+0.004452i,0.00085821+0.0063365i,0.001843+0.0063911i,0.0019529+0.0038079i,0.0012286+0.00099251i,0.00064214-0.00065311i,0.00031997-0.0014734i,0.00035659-0.0022107i,0.00073645-0.0026065i,0.0002317-0.0019946i,-0.0011697-0.0014167i,-0.00082312-0.0012946i,-0.00017633-0.00049525i,-0.00051526+0.00051371i,-0.00021701+0.00058585i
-0.0013013-0.00067928i,-0.0010382-0.00048778i,0.00036462-2.949e-05i,0.0017197-0.00062689i,0.001428-0.0017809i,0.00010057-0.00057124i,2.9523e-05+0.0013699i,0.00088177+0.0022893i,0.0023491+0.0033151i,0.0044291+0.003871i,0.0056618+0.0028489i,0.0045595+0.00099368i,0.0020269-0.00039094i,0.00086195-0.00067396i,0.00058312-0.00018055i,0.00058201-0.00038344i,0.00065206-0.0012558i,-0.00036598-0.00080913i,-0.0010867-4.6077e-05i,-0.00045868-0.0002962i,0.00029458-1.5347e-05i,2.0674e-05+0.00068985i,0.00013042+0.00044373i
0.0016726-0.0013425i,0.0011868-0.0030213i,0.00099216-0.0030477i,-0.00016604-0.0019059i,-0.0017564-9.3587e-05i,-0.002116+0.0011551i,-0.0011258+0.0017887i,0.00035113+0.0013242i,0.0022455+7.7813e-05i,0.0037215-0.0020251i,0.0034532-0.0030025i,0.0016227-0.0011381i,0.00026981-0.00022025i,-0.00040227-0.001108i,-0.00046403-0.0012708i,-0.0004038-0.0013764i,-0.00017591-0.0015849i,0.0004378-0.0015422i,0.00040824-0.00087606i,0.00035343-0.00024469i,-0.00032078-0.00077644i,-0.0010845-0.00060046i,-0.00060589+0.00040093i
-0.0010733+0.0045506i,0.00045779+0.0057195i,0.001167+0.0064802i,0.001385+0.0040041i,0.00035925+0.0014613i,-0.0004474+0.0004498i,-0.0011451+0.00018862i,-0.00070289-0.00049929i,0.00033033-0.0013487i,0.0013261-0.0022037i,0.0020201-0.0023821i,0.0016479-0.0013385i,0.0027247-0.00018878i,0.0024515+0.00022253i,0.00040161-3.7717e-06i,-0.00083639-0.00032557i,-0.0010543-0.0012485i,-0.00082059-0.0018701i,-0.00018903-0.0021869i,9.6996e-05-0.0021723i,0.00052157-0.00096751i,0.00052216+0.00010519i,8.8664e-05+0.00017271i
-0.0013281+0.0010473i,-0.0021762+0.0015204i,-0.00099628+0.0015906i,0.00024307+0.0014152i,-5.6741e-06+0.0010101i,-0.00059403+0.00098283i,-0.00083896+0.0010455i,-0.00030607+0.00089811i,0.00030469-0.00027128i,-0.0001507-0.0013028i,-0.00058791-0.00069526i,0.00015013+0.00044235i,0.00067359+0.00066585i,0.00056688-8.8328e-05i,-0.00044784-0.00029846i,-0.001339-0.0002007i,-0.0012345-0.00030714i,-0.00034233-0.00090129i,0.00034493-0.0013013i,-0.00027422-0.0010593i,-0.00066681-0.0003648i,-0.00065653+6.7594e-05i,-0.00075396+0.00018644i
0.0020624-0.0018096i,0.0007874-0.0029291i,-0.00090171-0.0036666i,-0.0026413-0.0026713i,-0.0033998-0.0011741i,-0.0028332+7.3772e-06i,-0.0022652+0.0011271i,-0.0026647+0.00076787i,-0.0020376-0.00046775i,-0.0014292-0.00036467i,-0.001054+0.00022914i,0.00014873-0.00014427i,0.0017794-0.0015644i,0.0015248-0.0020634i,0.00016228-0.00093707i,-0.0003854-0.00013315i,-0.00049058-0.00061569i,-5.9203e-05-0.00057551i,-0.00022251-0.00074471i,-0.00065777-0.00090247i,-0.00094513-0.00049491i,-0.0007537-0.00012275i,-0.0011065+0.0010109i
0.0019252+0.0028896i,0.0028927+0.0029201i,0.0033894+0.00080693i,0.0034242+0.00018827i,0.0025873+0.0013945i,0.0013674+0.0010216i,-0.00064307+0.00094454i,-0.0029012+0.0013792i,-0.0038964+0.00094898i,-0.0026273+0.00091898i,-0.00063686+0.00090857i,9.6468e-05-0.00094577i,-0.00081492-0.0025812i,-0.00075436-0.0024187i,0.00013078-0.0010132i,0.00034086+5.1409e-05i,0.00070487+0.00024428i,0.00053643-0.00010964i,-1.6358e-05-2.0063e-06i,9.5767e-07-2.1852e-05i,0.00022058-0.00065177i,-2.7949e-05-0.00053498i,0.00020683+0.00024218i
-0.0019087+0.0022231i,-0.003531+0.0031395i,-0.003378+0.004055i,-0.0015854+0.0029719i,-0.00022853+0.0011761i,-0.00069573+0.0006185i,-0.001343+0.0014504i,-0.0017328+0.0021127i,-0.0023951+0.0031434i,-0.0012575+0.0035291i,0.00074641+0.0026065i,0.0001721+0.00060456i,-0.0011231-0.00089561i,-0.00014523-0.00045298i,0.0008579-0.00020785i,0.0012198-0.00081099i,0.001918-0.00053355i,0.0016209-0.00021342i,0.00082671-0.00034707i,0.0010458-0.00066847i,0.0011581-0.00018133i,0.00020637+0.00072187i,0.00027921+0.00064336i
-0.0011209-0.0015355i,-0.00011733-0.0016328i,-0.00033941-0.0011506i,-6.1328e-05-0.00074439i,-0.00025482+0.00015617i,-0.00082612+0.00095018i,-0.00042725+0.0012843i,0.0004229+0.0023307i,0.0010651+0.0039524i,0.0011653+0.0044915i,0.00034637+0.0035968i,-0.00023739+0.0029471i,0.00015756+0.002989i,0.00036071+0.0021157i,-0.0012522+0.00058195i,-0.00086057-0.001129i,0.00067934-0.0018982i,2.8065e-06-0.0020499i,-0.00085762-0.0011253i,-0.00010011+0.00069055i,-0.00010768+0.00075707i,-0.00058317+0.0001773i,0.00041504+0.00015052i
0.0047694+0.0018984i,0.0056285+0.0019139i,0.0050629+0.0024081i,0.0028571+0.00077864i,0.0015099-0.0013897i,0.00051269-0.0010242i,-0.00048618+0.00056888i,0.00022954+0.0018663i,0.0020861+0.0031786i,0.0032774+0.0032817i,0.0030076+0.0027371i,0.0019115+0.0030234i,0.0015569+0.0025884i,0.0011824+0.00064071i,0.00044446-0.0010117i,0.00017732-0.002466i,2.2947e-05-0.0037019i,-0.00015242-0.0024125i,-0.00051908-0.0014574i,0.00011589-0.0016467i,0.00088819-0.0013448i,0.0010918-0.00042i,0.00047597-0.00027087i
