-0.0012806+0.00098689i,-0.0015403-0.00017073i,-0.0020998-0.00050137i,-0.0017837-0.00074159i,-0.0017254-0.00013266i,-0.0017205+0.00072008i,-0.00046959+0.00093505i,0.00094993+0.0013142i,0.0017517+0.0016908i,0.0013951+0.00077742i,0.00041671-0.00030023i,0.00024865+1.1689e-05i,0.00026316-0.00031117i,8.5764e-06-0.00055881i,0.00019333-0.00010642i,0.00037145+0.00094115i,-0.0001374+0.0019528i,-0.00027941+0.0015124i,-0.00037918+0.00052614i,-0.00077271-2.0238e-05i,-0.00029777-0.00048529i,-0.00027659-0.0006862i,-0.00079293-0.00042284i
-0.0011508-0.0012451i,-0.0016039-0.0010196i,-0.0023823-0.00091608i,-0.002059-0.0011448i,-0.0011023-0.00098163i,-0.00035123+0.00033512i,0.00074978+0.00056946i,0.00069788+0.00069775i,-0.00040445+0.00074564i,-0.00067789+0.00063742i,-0.00076072+0.00034184i,-0.001483+0.00016877i,-0.0015977+0.00019299i,-0.00061256+0.00019556i,7.0015e-06-0.00030787i,0.00063562-0.00019008i,0.00046423+0.001094i,-0.00046687+0.0013325i,-0.00055249+0.00063856i,-0.00010291+0.00024029i,0.00032229+0.0005987i,0.00012269+0.00049414i,-0.00034309-0.00020598i
5.0555e-05+0.001249i,0.00059075+0.001668i,-0.00046646+0.001974i,-0.0013621+0.001364i,-0.0012258+0.00015862i,6.2165e-05+0.00019789i,0.00094259+0.00052563i,0.00079001+0.0003748i,-7.5138e-05+0.00092835i,-0.00035106+0.0014902i,-0.00045953+0.0011836i,-0.0015315+0.00059541i,-0.0015932+0.00049322i,-0.0010502+0.00027822i,-0.00070233-0.00047735i,-0.0010114-0.0011022i,-0.00076554-0.00095918i,-0.00021747-0.00014981i,-0.00025071+0.00055919i,-0.00014942+0.00011724i,-0.00011292-0.00058638i,-0.00011295-0.00064545i,0.00031289-0.0001256i
-0.00066146-0.0009357i,-0.00031028+0.0007745i,-0.00023976+0.00042078i,-0.00054077-0.00029637i,-0.00043918+0.00032427i,0.00072549+0.00089726i,0.0014376+0.00082529i,0.0012553+0.00074506i,0.00055972+0.00024966i,-8.4146e-05-0.00024714i,5.626e-06+0.00012572i,0.00021368+0.0016489i,0.00033067+0.0026787i,-0.00010984+0.0013139i,-0.00076365+0.00046141i,-0.0012389+0.00045545i,-0.00029324+0.00016575i,0.00034855-7.9072e-06i,-0.00015016-0.00034655i,-0.00053556-0.00055777i,-0.00092965-0.00088179i,0.00022521-0.0010026i,0.00072998-0.00072233i
-0.00042253+0.00044126i,-0.00051894+0.0016978i,-0.00032847+0.00079228i,0.00041935+5.01e-06i,0.00053311-0.00016744i,0.00029739-0.00033039i,0.00052783+0.00016437i,0.00020088+0.00027079i,0.00021828+0.00071565i,0.00032233+0.0011825i,-1.2434e-05+0.00030664i,0.00014598-0.00039298i,0.00022207-0.00012216i,-0.00033287-0.00045667i,-0.0002329-0.00022984i,-0.00027695+0.00012403i,-0.00070993+0.00040506i,-0.00082311+0.00072015i,-0.00027944+0.00020984i,-0.00046477+0.00023809i,-0.00091841-0.00019204i,-0.0004472-0.00048629i,0.00021311-2.0369e-05i
0.0011091-0.001195i,0.00054228-0.00066903i,-0.00066288-0.00050656i,-0.00087513-0.00014359i,-0.00020891-6.4866e-05i,7.9752e-06-0.00073639i,-0.0002415-0.0015852i,0.00059955-0.00093495i,0.0012943+0.00013792i,0.00061875+0.00016275i,-9.2573e-06+0.00014991i,-0.00022592-0.00039845i,-0.00060278-0.00099766i,-0.00090501-0.00093361i,-0.00066662-0.00026128i,-0.00042169+0.00050621i,-7.0721e-05+0.00098793i,0.00052069+0.00095126i,-3.0534e-05+0.00036706i,-0.0013537+2.389e-05i,-0.0015238-7.0078e-05i,-0.000933+0.00021662i,-0.00064517+0.00024647i
-0.0020653-0.00076271i,-0.0017093+0.00023075i,-0.0018385+0.0012927i,-0.0019973+0.001835i,-0.0019247+0.0016151i,-0.00067315+0.00049402i,0.00091868-0.00034444i,0.0011399-0.00014263i,0.00022251+0.00053913i,-0.00027656+0.00106i,-0.00068872+0.001171i,-0.0016231+0.0012626i,-0.0016989+0.00099119i,-0.0013254+0.00093561i,-0.00045914+0.0013627i,-0.00018525+0.0014778i,-0.00082439+0.0014291i,-0.00064311+0.0010086i,0.00026248+0.00036519i,0.00029891+0.00063364i,-0.00014351+0.00085389i,-0.00045306-0.0002075i,0.00024825-0.0010853i
-0.0011172-7.9847e-05i,-0.0010782-0.00014071i,-0.0017986-0.0010942i,-0.0016927-0.0015231i,-0.00032104-0.0003516i,0.00049256+0.00013541i,0.00061102-3.4009e-05i,-1.7629e-05+4.1323e-05i,-0.00035596+8.8185e-06i,-5.4633e-05+0.00010918i,-0.00012261-0.00024882i,-0.0017106-0.00081725i,-0.0022124-0.00026175i,-0.0011343+0.00026919i,-0.00065283+0.00087737i,-0.00073135+0.0018875i,-0.00067075+0.0011955i,-0.00035539-3.5021e-05i,-9.1704e-05+1.6317e-05i,2.0168e-05-8.5527e-05i,0.00011457-0.00067206i,0.00034327-0.00014845i,0.00036372+0.00051385i
-0.0010458+0.00056797i,-0.00074533+0.0013852i,0.00038402+0.0034008i,0.00062277+0.003754i,0.00057424+0.0019852i,0.00079208-0.00052821i,-0.00019327-0.0016095i,-0.00010786-0.00030253i,0.0012265+0.0011072i,0.0012654+0.00099644i,0.00026305+0.00036888i,-0.0013499+0.00059083i,-0.0020193+0.00080681i,-0.001212+0.00036702i,-0.00085445+7.4605e-05i,-0.00063428-0.00031946i,-0.00028813-0.001363i,-0.00065958-0.00084913i,-0.0014122+0.00054544i,-0.0010901+0.00069177i,-0.0002157+5.5036e-05i,0.00027345-0.00027511i,0.0007098-0.00038481i
-0.0009418-0.00065027i,-1.917e-05-0.0011063i,-4.2431e-05-0.0013218i,-0.00050479-0.0011024i,-0.00024688-0.0001264i,-8.3471e-05+0.00018176i,-7.6816e-05-1.0204e-05i,0.0002611-0.00028702i,0.00042185+6.49e-06i,0.00033233+0.00044059i,-0.00074898+0.00046231i,-0.001705+2.1793e-05i,-0.00075428+0.0003942i,0.00029117+0.00053589i,0.00039427+0.00043523i,-0.00024218+0.00046208i,-0.00087443+7.6146e-05i,-0.0010575+1.9548e-05i,-0.00047012-0.00025989i,-0.00030871-0.00068276i,-0.00074496-0.00026869i,-0.00084455+0.0001364i,-0.0003125-0.00028299i
0.00083453-0.00058034i,0.00010922-0.00068569i,-0.00026641-0.00017475i,-0.00035886-0.00028391i,-0.00011573-0.00031375i,-0.00016205-0.00023682i,6.6701e-05-0.00040977i,0.00093117-6.7706e-06i,0.00083876+0.00026467i,0.00055838-4.4199e-05i,0.0002863-0.00035475i,-3.0318e-05+0.00036538i,0.00028953+0.00072304i,0.00019215+4.3972e-05i,-0.00042805-0.00051727i,-0.00062881-0.00060102i,-0.00024128-0.0001371i,0.00046569+0.00069258i,0.00045315+0.00067279i,-0.0002958+0.00037623i,-0.00091547+0.00068255i,-0.00024555+0.00043872i,0.00030683+8.725e-05i
0.00039077+3.6908e-05i,0.00045166-0.0023577i,0.00073152-0.0025413i,0.00022947-0.0012078i,9.7274e-05-0.0013944i,-0.00027947-0.0011581i,-0.00084986-0.0003855i,-0.00071485-0.00016357i,-0.00065716-7.0719e-06i,-0.00031692+0.00016253i,7.0433e-05-0.00057449i,-0.00049967-0.0015324i,-0.001219-0.0012232i,-0.0011127-0.00090364i,-0.00071871-0.00038037i,-0.00023634+0.00054168i,0.00023278+0.00060602i,0.00043442+0.00033103i,-5.9463e-05+0.00021247i,-0.00048346+2.0809e-05i,-0.00023719+9.5334e-05i,6.6827e-05+0.00011655i,0.00013644-0.00015594i
0.0029646+0.00026298i,0.0029589+0.00015413i,0.0035982-0.00055122i,0.0026245-0.00030361i,0.00111-0.00041508i,0.00035332-0.00070848i,2.8719e-05+3.5895e-05i,-0.00058024+0.0004301i,-0.00030499+0.00023089i,0.00016266-0.00024662i,-0.00060846-0.0011898i,-0.0012066-0.0018533i,-0.0015361-0.0012319i,-0.0020958-0.0006422i,-0.0017291-0.00096099i,-0.0010146-0.00034792i,-0.00058737+0.00059426i,-0.00022733+0.00012402i,-0.00012226-0.00041429i,0.00024296-0.0007706i,7.9503e-05-0.00046555i,-0.00050063-0.00039115i,-0.00078432-0.00045843i
0.00043697-0.00088845i,0.00014113-0.0012314i,-0.0017046-0.0014987i,-0.0017477-0.00073564i,-0.0011817-0.00093164i,-0.0006068-0.00031751i,0.00071414+0.00049667i,0.00071681+0.00050281i,-0.0012302+0.00020556i,-0.0018463-1.9527e-06i,-0.0017289+0.00024146i,-0.002746-0.00035748i,-0.0024866-5.3299e-05i,-0.001232+0.00056194i,-0.0016329+0.00052014i,-0.0014783+0.00096179i,-0.00030648+0.00096531i,-0.00037165+0.00035368i,-0.00056735-0.00025396i,6.3404e-05-0.00083591i,-0.00030845-0.00097274i,-0.00079584-0.00078432i,-0.00035637-0.00054721i
-0.0015836-0.0019996i,-0.0017277-0.0010592i,-0.0024305+0.00035162i,-0.002741+0.00060195i,-0.002049+0.00067954i,-0.00015806+0.00085538i,0.00086561+0.00073167i,0.00056499+0.00031982i,-0.00047969-0.00022367i,-0.001617-0.00041305i,-0.0017194+3.9361e-05i,-0.0011887+0.0010489i,-0.0010006+0.0011394i,-0.0008641+1.4811e-05i,-0.00017143-0.0004831i,6.609e-05-8.9809e-05i,-0.00017353+0.00055509i,-0.00043963+0.0007128i,-0.00067895+0.00019027i,-0.00065337+0.00014817i,-0.0011776+0.00018543i,-0.0013425+0.00051627i,-0.00074909+0.00013423i
0.00097036+3.8506e-05i,-9.2359e-06-0.00072717i,-0.0011249-0.00019791i,-0.00070169+0.0014207i,0.00066958+0.0016053i,0.0010941+0.00084538i,0.00056251+9.5507e-05i,-8.5241e-06-0.00059074i,-0.00019672-0.00092142i,-0.00032229-0.00030628i,-0.00071621+0.00092681i,-0.00050335+0.0019583i,7.3277e-05+0.0020832i,0.0004106+0.0015315i,0.00011678+0.00036619i,-0.00092627-2.9638e-05i,-0.00141-2.061e-06i,-0.00066295-0.00027236i,-0.00019518+4.2851e-05i,-0.00064158+0.00013142i,-0.00087545+0.00026596i,0.00037137+0.0002523i,0.00073894-0.00034168i
0.00017454-0.0005144i,0.0002231-0.00042579i,0.00025251-8.9074e-05i,-0.00049028-5.7453e-05i,-0.00050855-4.9978e-05i,-0.00033306+0.00089728i,-5.3369e-05+0.0011912i,0.00029487+0.0010315i,-1.9349e-05+0.00082163i,0.00028645+0.00086373i,0.00027459+0.0011421i,5.6835e-05+0.00091576i,0.0004102+0.00046499i,0.00014295+0.00084123i,-0.00026794+0.0008104i,-3.1297e-05+0.00014457i,-4.486e-05-0.00019596i,0.00012366+0.00012588i,0.00031429+0.00063583i,0.00034167+0.00043954i,0.00022956-0.00030772i,-0.00032226-0.00028001i,-0.00034373-0.00076721i
-0.00062453-0.00012826i,-5.3013e-08+4.0508e-05i,0.00095963+0.00095488i,0.00097479+0.0010784i,0.00088057+8.3268e-05i,0.00084582-0.00012008i,0.00060987+0.00089417i,-5.1249e-05+0.0010848i,3.5544e-05+0.0010289i,0.00054975+0.0010694i,0.00063842+0.00068626i,0.00044477+0.00015915i,-0.00090696-4.128e-05i,-0.0018135+0.0004441i,-0.0021244+0.0001049i,-0.0019894+0.00021091i,-0.0010576+0.00088057i,-0.00027161+0.00079822i,-0.00018775-0.00014872i,-0.00081213-0.00066458i,-0.00053567-0.00081864i,0.00054779-0.00045019i,0.00060523-0.0006531i
0.00017949+0.0016891i,0.0004632+0.0006626i,0.0016967+0.0007787i,0.0020478+0.00026858i,0.0010504-0.00061663i,0.00027951-0.00087801i,0.00049052-0.00095362i,0.00065967-0.00043372i,7.4457e-05+0.00074643i,-0.00052486+0.001083i,-0.00083648+0.00048343i,-0.00077749-0.00074433i,-5.1183e-05-0.0016824i,0.00039121-0.0013432i,0.00011368-0.00083421i,-0.00014113-0.00031453i,-0.00015367-4.2608e-05i,-0.00048836-0.00012397i,-0.0009326-0.00071832i,-0.00090319-0.00082064i,-0.00067624-0.00041546i,-0.00017065-0.00051706i,0.00058375-0.00025122i
0.0011731+0.00042447i,0.0019876+0.00055366i,0.0011369+0.0010139i,0.00024544+0.0004447i,0.00011409-0.00023593i,8.5556e-05-0.00085406i,0.0006806-0.00033433i,0.0004227+5.1728e-05i,-2.7457e-05+0.0001175i,-0.00020288+0.00051246i,-0.0001738+0.00028617i,-0.00017012+0.00069433i,-0.00051087+0.0012061i,-0.00034292+0.0013326i,4.024e-05+0.0011274i,0.00034448+0.00026274i,0.00051861+0.00043832i,0.00065608+0.00020519i,0.00021563-0.00082192i,-0.00035161-0.00071553i,-0.00031394+4.899e-05i,-0.00043408+1.8697e-05i,-0.00089326-0.00083128i
0.0019255+0.00075997i,0.0020258+0.001046i,0.0020967+0.0014204i,0.0014445+0.00027126i,-1.9667e-05-0.00050645i,-0.0011683+1.7133e-05i,-0.00095937+0.00035221i,6.16e-06+0.00030286i,0.00017552+0.00017706i,8.1818e-05-0.00010021i,-0.00060047-0.00030567i,-0.0015747+1.7676e-05i,-0.0017523+0.00038612i,-0.0010754+0.0011424i,0.00027352+0.00098404i,0.00087231+3.7988e-05i,0.00040789-0.00029602i,-0.00055953-0.00023134i,-0.00057837-0.00043001i,-8.5168e-05-0.00075685i,-0.00028078-0.0007105i,-0.00021332-0.00034416i,5.2718e-05-0.00045673i
-0.0018531+0.00053425i,-0.0029932+0.00031101i,-0.0024126+0.00028224i,-0.00096685+0.00058681i,-6.1462e-05+0.0007991i,0.00056277+0.0010676i,0.0014172+0.00051915i,0.00080297-0.00058973i,-0.00018769-0.00053559i,-0.00087543+0.0001444i,-0.0017992+5.8593e-05i,-0.001643+0.00043122i,-0.0012347+0.00090408i,-0.0013803+0.00016569i,-0.0009493-0.00015312i,-0.00027159+0.00039821i,0.00020502+0.00042759i,-6.8876e-06+1.8079e-05i,-0.00034272-0.00067856i,-0.00055722-0.0011676i,5.5035e-06-0.0011805i,0.00049552-0.0015956i,0.00052143-0.0013065i
9.4512e-05+0.0013927i,0.00085637+0.001516i,0.00093948+0.0018103i,0.0020061+0.00058891i,0.0017682-0.00049203i,-8.2561e-05-0.00041445i,-0.00030695+0.00055865i,-5.1524e-05+0.0013148i,-0.0003751+0.0015231i,-0.00048365+0.00028801i,-7.9813e-05-0.00048967i,-0.00042458+0.00030255i,-0.00063966+0.00017865i,-0.00013476-0.0006188i,-0.00074544-0.00085916i,-0.0011109-0.00069129i,-0.0011585-0.00060542i,-0.00069286-0.00011846i,-0.00030158+0.0011095i,-0.00054713+0.0011045i,-0.00048595+0.0005143i,-0.00027304-0.0002377i,-0.00026463-2.9661e-05i
0.00026248+0.00019302i,0.00026196+4.3266e-05i,0.0004479-0.00022703i,-0.00028599+0.00024209i,-0.00077832+0.0013094i,-9.1951e-05+0.00048199i,0.00062313-0.0004767i,-8.9352e-05-0.00039381i,-0.00060785-0.00016701i,-0.00035966+0.00044042i,-0.0005903+0.00081605i,-0.00036249+0.00053406i,6.3337e-05+0.00020771i,0.00037149-2.6908e-05i,0.00062378-0.00013317i,-0.00012943+0.00026195i,-0.0012744+0.00057157i,-0.0012836+0.00025917i,-3.255e-05+0.00044253i,0.00061383+0.0006311i,0.00025715+0.00060976i,-0.00037939+0.00072929i,-0.00057773+0.00026544i
-0.0017397-0.00036763i,-0.00044308-0.00014657i,0.00035692+0.0011446i,0.00050713+0.0013685i,8.755e-05+0.0006646i,-0.00022398+5.0656e-05i,-0.00025449-0.0002755i,0.00040247-0.00058957i,0.00083316-0.00060991i,0.00074071+0.00033266i,0.00036331+0.00025739i,-0.00049819-0.00033631i,-0.00077285-7.3096e-05i,-0.00076562-1.1164e-05i,-0.00065517-0.00016143i,-0.00056962+0.00035017i,-0.00095443+0.00082005i,-0.00017867+0.0010349i,0.00052386+0.0011284i,0.00075115+0.00088039i,0.00091894+8.0632e-05i,8.6605e-05-0.00033295i,-0.00082068-0.00039656i
0.00080051-0.00065826i,0.00096255-0.0013327i,0.00053387-0.0009826i,-0.00019215-0.00067587i,-0.00024705-0.0004942i,0.0001003-0.00083541i,0.00027297-0.00073636i,0.0007196+0.00027273i,0.0008536+0.00030461i,0.00095246+0.00017236i,8.3854e-05-0.00057504i,-0.0012173-0.00063059i,-0.0021203+0.0010216i,-0.0019989+0.0012243i,-0.0008763+0.00052635i,-0.0003729+0.00073154i,3.7839e-05+0.0012532i,0.00089859+0.00097625i,0.0010881+3.7378e-05i,0.00069605-0.00071133i,0.00045768-0.0012329i,0.00098205-0.0012307i,0.00061337-0.0010662i
-0.00050047+0.0010259i,-0.00065835+0.0007089i,0.00029343+0.0018926i,0.00036384+0.0029755i,0.00023125+0.0024234i,0.00048761+0.0011661i,0.00020535+0.0002222i,-0.00055182+0.00033386i,-0.00044491+0.0010175i,-0.00059969+0.00083232i,-0.001765+3.255e-05i,-0.0026323-0.00019866i,-0.0024972+0.0001831i,-0.0019507+0.00054461i,-0.0017776+0.00012378i,-0.00089211-9.5525e-06i,0.00049028+0.00027051i,0.0013856+3.9019e-05i,0.0010438-0.00058843i,0.00020662-0.0007802i,-0.00022751-0.00059052i,0.00019835-0.00041604i,4.5055e-05-0.00025947i
0.00074691-0.00033716i,0.00015399-0.00026779i,-0.00039486-0.00086122i,0.00017796-0.0016283i,0.00064299-0.0014839i,0.00048517-0.00058599i,0.00064021+0.00075988i,0.00069626+0.00094504i,0.00010212+0.00020154i,-0.00077618-2.2853e-05i,-0.0012694+0.00035648i,-0.0013623+0.00091033i,-0.00066337-3.2518e-05i,0.00053694-0.0010438i,0.00080358-0.00065642i,-0.00014276-0.00047228i,-0.00024042-0.00092425i,0.00022357-0.00090118i,6.0105e-05-0.00014257i,-0.00083318+0.0003448i,-0.0012111-0.00037183i,-0.0004431-0.00099522i,0.00015949-0.00071114i
0.00070568-0.00033683i,-0.00042214-0.00035375i,2.8243e-05-0.002423i,0.00069687-0.0029619i,0.00015839-0.0017255i,-0.0002317-0.00067952i,0.00045206-6.5735e-05i,0.00061576+3.6484e-05i,0.00070177-0.00033836i,0.001291-0.00028992i,0.00081345+0.00051373i,-0.00047714+0.0005701i,-0.00057144+0.00017585i,0.00040331+0.00018576i,0.0001259+0.00043457i,-0.0015159+0.00039737i,-0.001765+2.7263e-05i,-0.0007153+9.6523e-05i,-0.00038397+0.00032347i,-0.00069224+0.0011705i,-0.00048126+0.0017461i,-4.8225e-05+0.00098577i,-0.00026584-0.00037253i
0.0023427+0.00033706i,0.0019353+0.00016709i,0.00042983-0.0019967i,-0.0010759-0.0034378i,-0.0016952-0.0022392i,-0.0018942-0.00060976i,-0.0016503+0.00023721i,-0.00061776+0.00013653i,0.00023935+1.7684e-05i,0.00038072+8.6067e-05i,-0.00020121-0.00031423i,-0.00030908-0.0010255i,0.00020173-0.00060927i,0.0011378-0.00056257i,0.0014751-0.00073516i,0.00078547+9.1429e-05i,-0.00036696+0.00068461i,-0.00074155+0.00041231i,-0.00040717+0.00077193i,-0.00025225+0.0014224i,-0.00068638+0.0011287i,-0.0010066-1.1612e-05i,-0.00070674-0.00054358i
-0.00044733-0.00025303i,-0.00096923+0.00034786i,-0.0016786+0.00099215i,-0.0013668+0.00018076i,-0.00069712+0.0003783i,-0.00041182+0.00088147i,0.0001483+0.00047029i,0.00030923+0.00035499i,-0.00014606+3.1316e-06i,-0.00023871-0.00051684i,-0.0008112-0.00027787i,-0.0013721-9.5685e-06i,-0.0013927+0.00055325i,-0.0016917+0.001364i,-0.0014702+0.0011801i,-0.00077152+0.00051828i,-0.00035246+0.0012326i,0.00010631+0.0014754i,0.00029409+0.00073846i,0.00058904+0.00012459i,0.00079151-0.00035796i,0.00097805+9.9886e-06i,0.00057867+0.00086086i
-0.0008017+0.0011613i,-0.00064045+2.6779e-05i,-0.00057292-0.00012011i,0.00017595-8.5742e-05i,0.00065605+0.000212i,0.00072964+0.00067458i,0.0010357+0.00068588i,0.00021893+0.00068897i,-5.6087e-05+0.0002175i,0.00034572+1.9338e-05i,-0.00027101-0.00046212i,-0.0011984-0.0010477i,-0.0020242-0.00018267i,-0.0016755+7.2774e-05i,-9.0495e-05+6.0272e-05i,0.00044876-3.9154e-06i,0.00084794-0.00030159i,0.00087391-0.00038335i,0.0006511-0.00069139i,0.00058883-0.00034617i,0.00021816+0.00010733i,-0.00034318+0.00033278i,-7.1182e-05-0.00019323i
0.00061261-0.00054066i,0.0010198-0.0011183i,-3.0722e-05-0.0011668i,-0.00067303-0.00060275i,-0.00030662-2.9262e-05i,0.0011007-0.00015974i,0.0012079+0.00044568i,-0.00026438+0.0011365i,-0.0010105+0.0010054i,-0.0017404+0.00034604i,-0.0024121-0.00030373i,-0.0029496-1.2605e-05i,-0.0023968+0.00054635i,-0.0013663+0.00034608i,-0.0010425-0.00036168i,-0.001152-0.00027301i,-0.00052226-0.00038825i,-0.00022445-0.00092398i,-0.00032082-0.00087466i,-0.00012462-3.4051e-05i,-0.00081532+0.00025744i,-0.00094439+0.00034338i,-0.00063095+0.00076476i
-0.0011648+0.0032242i,-0.00033346+0.003785i,0.0017826+0.005451i,0.0032383+0.0038148i,0.0037584+0.00068905i,0.0032737-3.6526e-05i,0.0012869-0.00037072i,-0.00021749-0.0005096i,-0.00067445+0.00068121i,-0.00095036+0.0011997i,-0.001451+0.00027685i,-0.001572-0.00036015i,-0.00079694-9.221e-05i,0.00045156-4.9038e-05i,0.00075745-1.823e-05i,4.2829e-06+0.00015263i,-0.0007329-0.00038424i,-0.00075173-0.00078153i,-0.00018312-0.00029795i,0.00047989+0.00044086i,-0.00027449-1.6112e-06i,-0.0010994-0.00016034i,-0.0011242-7.6549e-05i
-0.0024919-0.00037661i,-0.0029773-0.00077421i,-0.0036783-0.00054995i,-0.0018691+0.00096479i,-0.00027242+0.0019487i,0.00027414+0.0012404i,3.3195e-06+0.00083062i,-0.00090372+0.0005193i,-0.00085679+0.00058702i,6.0571e-05+0.0012535i,0.00018227+0.0021739i,-0.00050978+0.0028775i,0.00052785+0.0020326i,0.0016832+0.0010302i,0.0005363+0.00090825i,-0.00076723+0.0005741i,-0.0010204+0.00025103i,-0.0013943+0.00084797i,-0.0012737+0.0012829i,-0.0014415+0.0009873i,-0.00024285+0.0010635i,0.00040677+0.0012868i,-0.0004062+0.00084789i
0.00035051-0.00065703i,-0.00054199-0.00079728i,-0.0011426-0.00038661i,-0.0010165-0.00031841i,-0.00073819-0.00058621i,-0.00080041-0.00067054i,-0.00073314-0.00036384i,-0.00023165-0.0003862i,0.00013387+0.00022956i,0.00064151+0.0011065i,0.00090346+0.00070225i,0.00074559+0.00095044i,0.00019278+0.00071411i,-0.00067528-0.00015252i,-0.0010735-0.00019426i,-0.0014768-0.00051883i,-0.001412-0.00020725i,-0.0012622+0.00081094i,-0.00081637+0.00036505i,-0.00013365-0.00025766i,-0.00013869-9.7337e-06i,-0.00056911+0.00012604i,8.0437e-05+0.00040827i
-0.00016997-0.00094152i,-5.0476e-05-0.001002i,0.00038678-0.00034685i,0.00039306+0.00051463i,-0.00030429+0.0003744i,-0.00028649+0.00010349i,0.00084056-0.0002773i,0.00097005-0.00011576i,0.0007928+0.00020225i,0.00062415+0.00030012i,0.00058185-0.00022499i,0.00074958-0.00042124i,-5.3025e-05-0.0009658i,-0.00071016-0.0015915i,-0.00080348-0.00056416i,-0.00072874+0.00086196i,-0.00068118+0.00087516i,-0.00027802-2.8967e-05i,-3.6804e-05-8.7735e-05i,-0.00046392-4.5914e-05i,-0.00095254-0.00046507i,-0.00041197-0.00040321i,0.0004327-0.00035771i
-0.00018759+0.00057736i,3.1125e-06+0.00065305i,-1.8747e-05+0.0014844i,0.0017556+0.00081516i,0.0016458+9.1023e-05i,0.00045313-0.00025586i,0.00069328-0.00029342i,0.00057801-0.00045768i,0.0006591-0.00028122i,0.00050298-0.00018857i,0.00020707-0.0010587i,-0.00089068-0.0017692i,-0.0019361-0.0016562i,-0.0018623-0.00091168i,-0.0013713-0.00026972i,-0.00080692+5.2369e-06i,-0.00028759-6.9111e-05i,2.0937e-06+0.00021746i,0.00066625+0.00028632i,0.00062935+0.00050604i,-5.0107e-05+0.00092047i,-0.00058693+0.00029674i,-0.0010427+6.3168e-05i
0.0011234-0.00043502i,-0.00030521-0.00054317i,-0.0012409-0.0011274i,-0.0015648-0.0013781i,-0.00084469-0.00045859i,-0.00034249+0.0004367i,-0.00012372+0.00043168i,-0.00017307+7.3262e-06i,6.1658e-05-0.00014246i,0.0002688-0.00084091i,-0.00096-0.0016106i,-0.0021219-0.0012221i,-0.0025171+0.00022721i,-0.0021958+0.001194i,-0.0016917+0.00077792i,-0.0017496+0.00076992i,-0.00040239+0.00020989i,0.00054536-0.00034128i,0.00043933-0.00010208i,0.00029909-0.0002039i,0.00012884-0.00064958i,0.00035386-0.00030634i,0.0009016+2.4749e-05i
-0.0001568+0.00019779i,0.00019352+0.0010387i,0.00023956+0.0021712i,-0.0003103+0.0022742i,0.00082848+0.00053389i,0.0016238-0.00078854i,0.0010487-0.00054902i,0.00029573-0.0006815i,-0.00058145-0.0004523i,-0.0013959-0.00043309i,-0.0028144-0.00065893i,-0.0037429+0.00050644i,-0.0024526+0.00183i,-0.0010065+0.0015343i,-0.00096568+0.00093764i,-0.001424+0.0011635i,-0.0015833+0.00060939i,-0.0014014-0.00023839i,-0.0011066-8.8149e-05i,-0.0007318-9.447e-05i,-0.00055599-0.0001663i,-0.00019667-0.00082716i,8.5158e-05-0.0015305i
0.0020796+0.00052303i,0.0024178-0.0010179i,0.0022628-0.0017278i,0.00066232-0.0019024i,-0.00017209-0.0024765i,-0.00024103-0.0024044i,0.00040575-0.00098782i,0.0010973+0.00071644i,0.00034094+0.0018481i,-0.00081776+0.0017429i,-0.0015076+0.00051259i,-0.0013523+0.00070571i,0.0001592+0.0012567i,0.00084992+0.0008289i,-8.8608e-05+0.00075473i,-0.00058255+0.00089999i,-0.0008847+0.00077733i,-0.00099211+0.00026816i,-0.00076219+0.00013431i,-0.00037605+0.0003734i,-0.00030472+0.00023878i,-0.0011157+0.00015419i,-0.00091845+0.00071404i
0.0011119+0.0010751i,0.0011614+0.0028818i,0.0018204+0.0019687i,0.00099719+0.00089047i,-0.00032025+0.00087953i,6.1101e-05+0.00094966i,0.00024959+0.0009999i,-7.2662e-05+0.001002i,1.11e-05+0.0017357i,-2.712e-05+0.0027087i,-0.00023597+0.0023964i,-0.00020616+0.001865i,0.0004063+0.00092156i,0.00034597-0.00045934i,-0.00036164-0.00049805i,-0.00032514-0.0001159i,-7.0559e-05+0.00056336i,0.0001673+0.00078056i,0.00041142+0.00099819i,-0.00041922+0.0011276i,-0.0010635+0.00065809i,-0.00090427+0.00054855i,-0.0010643+0.00012529i
0.0016629-0.00048846i,0.0011676-0.0016098i,0.0014844-0.0032731i,0.0018195-0.0032853i,0.00086781-0.0020722i,0.00021224-0.00046087i,0.00048495+0.00077094i,0.00068129+0.00060816i,0.001037+0.0015032i,0.001395+0.0021824i,0.0017002+0.0012091i,0.0015474-0.00042413i,0.00085851-0.0019914i,2.0548e-05-0.0028702i,-0.00053596-0.002505i,-0.00067834-0.0013873i,-0.00012604-0.00068918i,0.00039023+1.7196e-05i,0.00023932+3.6854e-05i,0.00022143-0.00013886i,0.00038004-0.00055147i,0.00050318-0.00060824i,0.00026588-0.00028527i
