0.00075783+0.00169i,0.00073354+0.0016659i,-0.00029388+0.00068488i,-0.00098714-9.1163e-05i,-0.0015779+0.00076218i,-0.0015237+0.00063514i,-0.0007519+0.00018909i,-0.00064317+0.00061139i,0.00037247+0.00047352i,0.0017514+3.4734e-05i,0.0014953-0.00085719i,0.00058252-0.0017505i,-0.00015707-0.0010339i,-0.00046717-0.00063659i,-0.00070427-0.0011467i,-0.00081316-0.0012211i,-0.00062143-0.00086713i,-0.00047087-0.00013094i,0.00010222-0.00011388i,0.00042005+0.00015061i,-3.7432e-05+0.00027314i,-0.00063245-0.00027382i,-0.0010292-0.0002662i
0.00066709+0.00072182i,0.00012982+0.00014259i,-0.00061762-5.2815e-05i,-0.001839+2.0738e-06i,-0.0017817+0.00019346i,-0.0013556-0.00025407i,-0.0012289-0.0014032i,-0.0015308-0.0023567i,-0.00095254-0.0023605i,0.00037125-0.0017717i,0.0015146-0.00068452i,0.0019133+0.00014466i,0.0011918+0.00053557i,0.00068989-5.0996e-05i,0.00079478-0.00068635i,0.00068491-0.0011448i,0.0010651-0.0019933i,0.0013548-0.0020837i,0.00053615-0.001491i,-0.00018891-0.00099136i,0.00010214-0.00098164i,0.000348-0.00092927i,0.00020963-0.00054855i
-0.0022874-0.00017732i,-0.0017933+0.00096456i,-0.0011533+0.0011356i,-0.0007357+0.0009719i,-0.00045987+0.0011695i,0.00019943+0.00054586i,0.00030466+0.00015522i,-0.00059342+2.3512e-05i,-0.0014024-0.00014033i,-0.00017704-2.3119e-05i,0.0017832+0.00054478i,0.0019616+0.00030197i,0.0012172-0.0002386i,0.00073127-0.00047836i,0.00018387-0.00059685i,-0.00055193-0.00015422i,-0.00065196+0.00026032i,-0.00054105-9.8325e-05i,0.00013003-0.00042623i,0.0003063+0.00035573i,0.00020874+0.0012904i,0.00031159+0.0011811i,-6.4187e-05+0.00064228i
-0.0017273+0.00088946i,-0.00067819+0.0015882i,0.00014968+0.0025551i,1.6142e-05+0.0022704i,0.00053544+0.0016094i,0.0014211+0.001422i,0.001575+0.00074681i,0.0010872+0.00049147i,0.00041779+0.00076638i,-0.00060748+0.0009015i,-0.0014782+0.00085505i,-0.0018637+0.00058894i,-0.0013042+0.00014971i,-0.00077785-0.00034085i,-0.0011344-0.00014004i,-0.00080287+0.00073323i,-3.6969e-05+0.0010742i,0.00049975+0.0012321i,0.0011468+0.00059642i,0.0014983-0.00014416i,0.00071459-0.00019775i,0.00013752-0.00026921i,4.2297e-05-0.00030571i
-0.00025853-0.0028011i,-0.0014001-0.0021286i,-0.0023483-0.0010258i,-0.002108+0.00018221i,-0.0017117-0.00030314i,-0.001041+8.6092e-05i,0.00044071+0.00082232i,0.0010344+0.0013323i,0.00063851+0.0021502i,0.00033194+0.0019217i,-0.00014984+0.0015164i,-0.00067146+0.0014512i,-0.0007892+0.0011916i,-0.0011673+0.00015096i,-0.00043306-0.00010891i,-7.56e-06+0.00075087i,-0.00017978+0.00055339i,0.0005803-0.00036335i,0.00060962-0.00012604i,-9.7241e-05-0.00012708i,0.00010275-2.8054e-05i,0.00053213+7.8493e-05i,7.9251e-06-0.00010403i
-6.2607e-05-0.0014619i,-0.00046132-0.0011631i,-0.00032092-0.00053044i,-0.00050166-6.7187e-05i,-0.00062191-0.00022908i,-0.000533-0.00051797i,-0.00054094-0.00058271i,-0.00096817+5.9726e-05i,-0.0021288+0.00059139i,-0.0026367+0.00046964i,-0.0019376-0.00010428i,-0.0011242-0.00021382i,-0.00080323+0.00013279i,-0.00068302-9.7056e-06i,-0.00097834-0.00026347i,-0.0012729+4.9319e-07i,-0.00067552+0.00048091i,-0.00032728+0.0002621i,-0.00031219-0.00056744i,0.00040587-0.0012421i,0.0010869-0.00054342i,0.001067+0.00066439i,0.0015549+0.00053225i
0.0011979+0.00085006i,0.00091217+0.00077703i,0.00075741+0.0010844i,-0.00011689+0.00096114i,-0.0001105-0.00044757i,-0.00017649-0.0011802i,-0.0005388-0.00065225i,-0.0012287-0.00030927i,-0.0011229-0.00094859i,-0.00045893-0.0022754i,0.00075626-0.0028478i,0.0015378-0.0024034i,0.0016302-0.0014182i,0.00054928-0.00069342i,-0.00033179-0.00030185i,-0.0005704+6.9479e-06i,-0.00023199-0.00019624i,0.00033347-0.00038676i,-0.00031668-0.0003186i,-0.00011799-0.00058919i,0.00032862-0.00078482i,-2.5335e-05-0.00033783i,0.00036814-0.0001428i
-0.00068618+0.0012348i,-0.0014954+0.0023783i,-0.0012042+0.001011i,-0.0011346-0.00043838i,-0.00099664+0.0004036i,-0.0010019+0.00090421i,-0.001231+0.00087227i,-0.0014959+0.00080331i,-0.0013589-0.00031187i,-0.00044954-0.0013171i,0.0010415-0.0013436i,0.0010365-0.0011331i,0.00045458-0.0010645i,0.00011049-0.001372i,-0.00020558-0.0016075i,-9.941e-05-0.0016245i,1.2602e-06-0.0010359i,0.00036122-0.00018463i,0.00024523+0.00029048i,-0.00044575+0.00016524i,9.8199e-05+0.00030568i,0.00072092+0.00023563i,0.000421-0.00038894i
-0.00038864-0.00021924i,0.00033733-0.00013192i,0.0012941+3.1613e-05i,0.0010233-0.0004904i,0.00085578-0.00018372i,0.00096851+0.000718i,0.00068478+0.0011034i,0.00066875+0.0016248i,0.00012841+0.0016312i,0.00092147+0.0012444i,0.0010693+0.0011561i,3.2236e-05+0.001045i,-0.00025746+0.00083285i,8.4481e-05+0.00027287i,3.269e-05-0.00051197i,-0.00021964-0.00078366i,0.00068963-0.00052974i,0.0019339+0.00012936i,0.0015977+0.00023548i,0.00079735-0.00018872i,-0.00016709-0.00099076i,-0.00040165-0.00094866i,0.00063975-5.0919e-05i
-0.0013-0.0012903i,-0.0029422-0.0016884i,-0.0036461-0.0012498i,-0.0026543+0.00035443i,-0.0013223+0.0012808i,0.00029252+0.0013633i,0.0013844+0.0014797i,0.0023175+0.0016176i,0.0022964+0.0019256i,0.00054058+0.0019399i,-0.00047559+0.0020277i,-0.00053529+0.0020512i,-0.00043054+0.001195i,-0.00010629+0.00072687i,0.0011614+0.00044508i,0.0011341+0.00050439i,0.00085889-0.00014557i,0.0012526-0.00046666i,0.00089246-0.00076877i,0.00043504-0.00091629i,-0.00035516-0.00038423i,-7.509e-05-0.00047718i,0.00027229-0.00048045i
-0.00034488+0.00061302i,4.1375e-05-0.00024893i,7.2529e-05-0.00066099i,-1.4313e-05-0.00042311i,-8.014e-05-0.0010558i,9.0353e-07-0.0012501i,0.00036941-0.00049352i,5.14e-05+0.00043097i,-0.00064084+0.0007928i,-0.0012916+0.0016474i,-0.0013282+0.0019018i,-0.00023686+0.0010676i,0.00054412+0.0014594i,0.0012019+0.0017646i,0.00097577+0.00082235i,0.00014982+0.00028834i,0.00032905+0.0007796i,0.0010409+0.0013718i,0.00033113+0.0011952i,-0.00050871+0.00064386i,-0.00041473+0.00011153i,-0.00012935+0.0002954i,5.5987e-05+0.00038049i
6.7296e-05-0.00065114i,0.00019722+0.0004659i,0.0005247+0.00034392i,8.6415e-05+0.00010679i,-0.0013194-0.0003108i,-0.0017396+0.00033794i,-0.0014252+0.00033712i,-0.0023867-0.00077856i,-0.003996-0.00047514i,-0.0036667-0.00015177i,-0.0022072-0.0010529i,-0.0013359-0.0018333i,-0.0013718-0.0018944i,-0.0012823-0.0015517i,-0.00051431-0.00079186i,-0.00023336-0.0003018i,-0.00023069+0.00012725i,-0.00040657+0.00063061i,-0.00080301+0.0005307i,-0.0005145+0.00050773i,2.8086e-05+0.00016769i,0.00034541-0.00034403i,0.00041754-0.0010036i
-2.5416e-05-0.00032724i,-0.0013354+0.00010863i,-0.0014598-0.00021836i,-0.0018252+0.00034534i,-0.0022819+0.00097384i,-0.0021586+0.0011322i,-0.0015533+0.0016328i,-0.0017441+0.0017411i,-0.0016737+0.00084198i,-0.00072572-0.00095876i,-0.00067327-0.0026615i,-0.0014996-0.002815i,-0.0017677-0.0016494i,-0.0014727-0.00125i,-0.00081829-0.0012228i,-0.00012368-0.0008918i,0.00042726-0.00064415i,0.00082814-0.00056441i,0.001055-0.0010475i,0.00040027-0.0014076i,0.00036286-0.00099699i,0.00069574-0.00012195i,0.00080824+0.00027517i
0.00044822-0.00027994i,0.00015784-6.0934e-05i,0.00054117-0.00065874i,2.4807e-05-0.001004i,-0.00011126-0.000488i,0.00048708-0.00060801i,-0.00057302-0.00040353i,-0.0010395-0.00044681i,0.00053683-0.0015498i,0.0019301-0.0020461i,0.0015347-0.0017302i,0.00046606-0.0011665i,0.00028994-0.00050883i,2.1848e-05-0.00031551i,-0.0010215-0.00028076i,-0.0010396-0.00050848i,6.4892e-05-0.0012275i,0.00044683-0.00066232i,0.0010132+0.00047358i,0.0010956+0.00076344i,0.0001714+0.00017354i,3.3783e-05-0.00048385i,0.00032438-0.00044969i
-0.00023807+0.00029831i,-0.00085814+0.00015119i,-0.00048059+6.3185e-05i,0.00070815+0.00010586i,0.0011703-9.3696e-05i,0.00082525-5.9368e-06i,0.00023513+0.00014352i,0.00034486-6.1739e-06i,0.0013186-0.00044039i,0.0024424-0.00017719i,0.0027086+3.8788e-05i,0.0028394+0.00018616i,0.0033089-5.2384e-05i,0.0023581-6.98e-05i,0.00045706-0.00036076i,-0.00030036-0.0009146i,-0.00028502-0.00076439i,6.6906e-05-0.00031161i,0.00010573+0.00033084i,-0.0004414+0.00059157i,-0.0010545+0.00060338i,-0.0004641+0.00096965i,0.00063426+0.0009193i
-0.0018846+0.0015179i,-0.0019406+0.00075218i,-0.0007032+0.00063871i,-1.4763e-05+0.00022776i,0.00062237+7.3105e-05i,0.00095525+0.00099569i,0.00070543+0.0010299i,0.00047102+0.0010746i,0.00026989+0.0018978i,0.00051139+0.0029248i,0.0014009+0.0026107i,0.0022182+0.0016345i,0.0020213+0.00096666i,0.00061538-0.00019441i,-2.2253e-05-0.00081292i,0.00021609-0.0005872i,1.1503e-06-0.00033363i,-0.00060893+9.5988e-05i,-0.00063173+0.00078429i,-0.00034462+0.0009569i,7.5435e-05+0.00050857i,-0.00018283-4.0448e-06i,-0.00060474-0.00026776i
-0.00030937-0.00013093i,-0.00052076-0.00071963i,-6.6013e-05-0.00031398i,0.00072565+0.00032982i,0.00069651+0.00036829i,-0.00021953-0.00021676i,-0.0011975-1.3145e-05i,-0.0013722+0.0018394i,-0.0013898+0.0034601i,-0.0010791+0.0030283i,-0.0011859+0.0014167i,-0.0012435+0.00084972i,-0.001235+0.00085296i,-0.0010215+0.00064785i,-0.00018308+0.00020408i,0.00038352-0.0005721i,0.00063929-0.00054938i,0.00057872-0.00021587i,0.00055615-0.00083911i,0.00047814-0.00024378i,0.0003308+0.00083915i,-4.5716e-05+0.00096147i,-0.00052763+0.00026048i
0.00081879-0.0003394i,0.00061515+0.00079963i,2.8817e-05+0.0011722i,-0.00035408+0.00076481i,-0.0002228+0.00066276i,3.147e-05+0.0012707i,-8.8888e-06+0.00061442i,-0.0008484-0.00084963i,-0.0012997-0.0012216i,-0.0015551-0.00088498i,-0.0025522-0.00088555i,-0.0032712-0.00078778i,-0.003184+2.2111e-05i,-0.001876+0.00021759i,-0.00057505+7.6802e-05i,-6.3284e-05-0.00023842i,-6.4384e-05-0.00086342i,-0.00028882-0.0010859i,-0.0002343-0.0003871i,-8.0033e-05+0.00015293i,0.00025751-0.00016709i,0.0004634+0.00035532i,-0.00031584+0.00011051i
-0.0010045-1.0427e-05i,-0.0024475+0.00047718i,-0.0026333+0.00073124i,-0.0019468+0.00022294i,-0.00095516+0.00050455i,-0.00095678+0.0014596i,-0.0013707+0.0004903i,-0.0015902-0.0017283i,-0.0017045-0.0033965i,-0.0014078-0.0036196i,-0.0010598-0.0027155i,-0.0013225-0.0018643i,-0.001238-0.00083234i,-0.00023346+1.7179e-05i,0.00023466+6.9016e-05i,-0.00039593+0.00068162i,-0.00072789+0.00099526i,8.6558e-05+0.00014157i,0.001282-0.00010619i,0.0016498-0.00012278i,0.0012605-0.00048306i,9.9018e-05-0.00032957i,-0.0011099-0.00096172i
-2.5158e-05-0.00055479i,-0.00079501+4.9239e-05i,-0.00029304-0.00029607i,-6.3942e-05-0.0013979i,-0.00013814-0.0020984i,-4.5364e-05-0.0012779i,-0.00086049+1.3713e-05i,-0.0017097-0.00036753i,-0.0013929-0.00091974i,-0.00072076-0.00045696i,2.9549e-05-0.00059477i,0.00074383-0.001263i,0.00071048-0.0016325i,7.6585e-05-0.0014269i,-0.00087767-0.0002641i,-0.001651-0.00032402i,-0.0013095-0.0005883i,-0.0005223-0.00075214i,-0.00033063-0.00092128i,9.4929e-05-0.00025489i,0.00087854+4.8241e-05i,0.00090555-0.0004055i,0.00086524-0.0004857i
0.0010642-0.00089911i,-0.0002942-0.00094142i,-2.1852e-05-0.00040549i,0.0010685+0.00021662i,0.0011802+0.00042738i,0.00074728+0.00033074i,0.0010532+0.00067197i,0.0018148+0.0020452i,0.0020891+0.002752i,0.0019005+0.0025191i,0.0024287+0.00086207i,0.0029982-0.0015515i,0.0022572-0.0021185i,-3.3931e-05-0.00078136i,-0.0013043+0.00010498i,-0.00071976-1.0707e-05i,0.00010142-5.7314e-05i,0.00042339+0.00021794i,0.00042761-0.00039032i,0.00035864-0.00059231i,7.7862e-05-0.00036448i,8.2415e-05+0.0004187i,-1.0887e-05+0.00055288i
0.00052146-0.00050616i,0.00033463-0.00056491i,-0.00016295+0.00012764i,-0.00018274+0.00099445i,-0.00033017-0.00014664i,-0.00030465-0.00055906i,0.00087444+0.00033537i,0.002376+0.0010297i,0.0032452+0.0018325i,0.0038741+0.0019808i,0.0033013+0.0010158i,0.0016423-0.00028406i,0.0015598-0.00076961i,0.0016452-0.0010708i,0.0008321-0.001254i,0.00026068-0.00076232i,-0.00011195-0.00021242i,-0.00037808-0.00046154i,-0.00042286-0.00050712i,-0.00023552-0.00049141i,-0.00013291-0.0003962i,0.00058903-0.00059158i,0.00072203-0.00042846i
0.00082739+0.00081566i,-0.00010945+0.0010516i,-0.0011505-0.00028636i,-0.0015235-0.00043938i,-0.00023153+0.00060455i,0.00030437-3.6338e-05i,3.3533e-05-0.00099289i,-0.001018-0.0016596i,-0.0027395-0.0016262i,-0.0025074-0.00086371i,-0.00094378+0.00050225i,-0.00032515+0.0012158i,-7.8305e-05+0.00090065i,0.00025179+0.00019801i,0.00028784-0.00032873i,0.00043256-0.00052338i,0.00025453-0.00059308i,0.00058951-0.00075948i,0.0009425-0.00069166i,0.00063616-0.00029093i,0.00045275-0.00011859i,0.00025389-0.0003533i,0.00013753-0.00070267i
-0.0011861-0.00027882i,-0.0011616+0.0010456i,-0.0015164+0.0018026i,-0.0011111+0.0021629i,-0.0013967+0.0024373i,-0.00077531+0.0023083i,-0.00092003+0.00069385i,-0.0043001-0.0010684i,-0.0065801-0.0017067i,-0.0053345-0.00054374i,-0.0033425+0.0012018i,-0.0019373+0.0013981i,-0.001185+0.00065142i,-0.00067404+0.00049384i,-0.00032011-5.5884e-05i,0.00043364-0.0014431i,0.001142-0.0016954i,0.0013676-0.00079229i,0.00073171-0.00031498i,0.00033088-0.00012277i,-0.00012766-0.00012194i,-0.00040552-0.00015838i,-0.001001-0.00077772i
-0.0038715-0.0011319i,-0.0035637-0.00077003i,-0.0025052+0.001195i,-0.0011299+0.002058i,4.9549e-05+0.00192i,0.00036918+0.0016281i,-0.00013667+0.0018792i,-0.0018024+0.0015244i,-0.0029588+0.0014835i,-0.0022779+0.001534i,-0.0017612+0.00070058i,-0.001516-0.0011789i,-0.0010888-0.0019349i,-0.0010256-0.0010082i,-0.001087-0.00062989i,-0.0012066-0.00036233i,-0.00045958-0.00027097i,0.0001278-0.00043952i,-0.00024332-0.00076896i,-0.00058595-0.00097525i,-0.00049712-0.00029714i,9.3754e-05+0.00072239i,9.4738e-07+0.00070798i
-0.00067731-0.0020604i,-0.0020288-0.0019011i,-0.0026041-0.00037143i,-0.0017002-6.5863e-05i,-0.00060455+2.9099e-05i,0.00037317+0.00062087i,0.0019645+0.0013318i,0.0034156+0.0023474i,0.0039222+0.0017428i,0.003453-0.00058747i,0.0019359-0.002406i,0.00027317-0.002637i,-0.00012934-0.0015265i,-0.00013624-0.0013766i,0.00013308-0.0015079i,0.00035191-0.00086729i,7.3139e-05-0.00030689i,0.00017226-0.00022161i,0.00035344-0.0003133i,6.0952e-05-0.00036558i,0.00084354-0.00052861i,0.0020315-0.00071313i,0.0019094-9.3796e-05i
0.0010965-0.0013092i,-0.00012563-0.00072561i,-0.00091673-0.00018106i,-0.00027782-7.1118e-05i,0.00021064-0.00032195i,0.00065394-0.00015719i,0.0012653+9.3547e-05i,0.0021686-0.00066109i,0.0028432-0.0015199i,0.0021717-0.0016277i,0.00085251-0.0014568i,0.00028563-0.0010121i,0.0005679-0.00070352i,0.00019732-0.00069505i,-0.00046706-0.00059334i,-0.00016502-0.00097856i,-0.00037462-0.00093062i,-0.00039491-0.0011295i,0.00026602-0.0011879i,-0.00016824-0.0010839i,2.2011e-05-0.00075981i,0.00073268-0.00058228i,0.00082685-0.00023759i
0.00047524-0.00041139i,0.00035519-0.00019518i,-0.00065087-0.0010109i,-0.00050417-0.0011047i,0.00044654-0.00035586i,0.00060562-0.00010896i,-0.00053292-0.0013805i,-0.0024017-0.0019655i,-0.003644-0.0010962i,-0.0030788+1.9364e-05i,-0.0012237+0.00093136i,0.00092508+0.0004419i,0.0012788-0.00016077i,-0.00013392+0.00041682i,-0.0011012+0.00010675i,-0.001519-0.0011785i,-0.0016298-0.0012917i,-0.00024019-0.00024304i,0.0008943+6.1483e-05i,0.00017269+0.00028864i,-0.00015808+0.0008097i,-0.00052801+0.00076793i,-0.00053245+0.00029382i
0.0014549+0.00048839i,0.0016205+0.0012679i,0.0016784-0.00011176i,0.00070575-0.00097612i,-0.00023126-0.00096881i,-0.00019774-0.00044512i,-0.00098589-0.0004778i,-0.0027481-0.00023677i,-0.0041923+0.00094175i,-0.0036225+0.0026708i,-0.0015765+0.0031288i,5.8992e-05+0.0017602i,0.00095041+0.00064599i,0.0014159+0.00022612i,0.0012623-0.00028814i,0.00076834-0.00047493i,0.00012945-0.00040541i,-2.2443e-05-0.00055406i,-0.00019695-0.00027163i,0.00029685-0.00021227i,0.00064436+0.00039103i,0.0005152+0.0014844i,-0.00010314+0.00094233i
-0.0025125+0.0018577i,-0.0030402+0.0025043i,-0.00090741+0.00277i,0.00034414+0.0027679i,-0.00043702+0.0021294i,-0.00080347+0.0020056i,-0.00094734+0.0029276i,-0.0010886+0.0032108i,-0.00033348+0.0027i,0.00084508+0.0018807i,0.00066457+0.00093315i,6.5343e-05+0.00019385i,0.00075511-0.00028996i,0.00065526-0.00073586i,0.00054433-0.0010191i,0.00042471-0.0007635i,0.00028911-0.00076027i,0.00043894-0.00038162i,0.0003843+0.00059773i,2.7544e-05+0.00051886i,-0.00018518-0.00024468i,0.00031828+6.5645e-05i,0.00033094+0.00010074i
-0.0014895-0.0024175i,-0.0029937-0.0019208i,-0.0027782-0.00050865i,-0.0020591+0.00023532i,-0.0017661+0.00011795i,-0.0012327+0.00045552i,-0.0006662+0.00089659i,0.0012656+0.0005169i,0.0029717-0.00054474i,0.0019957-0.0017775i,-0.00049959-0.0012042i,-0.0019386-8.469e-05i,-0.0011819+6.8248e-05i,6.1562e-05-0.00024516i,0.00039899-0.00098615i,0.00068394-0.00036944i,0.00084102+0.00069846i,0.00077991+0.00044647i,0.00031041-0.00034551i,0.00010442-0.00024407i,0.00066812-0.00013605i,0.001074-0.0011692i,0.00095093-0.0015753i
0.00083079-0.0010252i,0.0013231-0.0014961i,0.00050406-0.0017496i,0.00069554-0.0012288i,0.0010674-0.0010101i,0.00083799-0.0010692i,0.0017089-0.0011038i,0.0017599-0.0014603i,0.00014061-0.0011832i,-0.0011913-0.00070791i,-0.001599-0.00018095i,-0.0013594-7.8273e-05i,-0.0013921-0.00037765i,-0.0010526-0.00028958i,-0.0011673-0.00043334i,-0.001067-0.00047835i,-0.00093693-0.0004361i,-0.0010705-0.00047285i,-0.00076187-0.00073727i,-0.00048698-0.00026796i,-0.00051318-0.00012032i,-0.00044992-0.00089777i,-0.00022353-0.0011559i
0.0014257-0.0012757i,0.00026442+0.00068811i,-0.0011955+0.00061326i,-0.0012996+0.0011603i,-0.0013296+0.0013502i,-0.0012141+0.00077832i,-0.0005133+0.00024568i,-0.0018265+0.00047477i,-0.0026927+0.001176i,-0.00058204+0.0011097i,0.0011019+0.0004116i,0.00094976-0.00056176i,0.00050392-0.00083485i,-0.00068528-0.00051098i,-0.0010011-0.00045489i,-5.7924e-05-0.0002472i,0.00012738-0.00034007i,1.3386e-05+4.2644e-05i,-8.8248e-05+0.00085568i,0.0003555+0.0012992i,0.00068332+0.0010143i,0.00024116+0.00055756i,-0.00038132+0.00058733i
-0.00046613+2.7143e-05i,-0.0008298+0.00078038i,-0.0005174-0.00050125i,-0.00019433-0.0010839i,-0.00049451-0.00037073i,-0.00075665+0.0012853i,-0.0014262+0.0018301i,-0.0023656+0.0016674i,-0.0019864+0.0023149i,-0.00020647+0.0020759i,0.0013069+1.8971e-05i,0.0019826-0.0019802i,0.0019422-0.0018989i,0.0014909-0.0010225i,0.00070329-0.00067319i,2.9036e-05-0.00010082i,0.00021803-0.00058003i,7.6184e-05-0.00045792i,0.00017043+0.00065995i,0.0013499+0.00052668i,0.001365-9.7e-05i,0.00069965+0.00049311i,0.00016664+0.00084259i
-0.0021073-0.00092157i,-0.0021163-0.00082647i,-0.0005675-0.00046541i,0.0011929+0.0003606i,0.0011324+0.0013971i,0.00096285+0.0018152i,0.0013906+0.0010521i,-7.0635e-05-0.00019688i,-0.0012397-0.0010844i,-0.00061973-0.00039103i,-1.793e-05+0.00062793i,-0.00011736+0.00053215i,-0.00042483+0.00048401i,-0.00017378-5.5393e-05i,0.00086056-0.00083188i,0.0014534-0.00057739i,0.00069995+0.00036164i,-8.0475e-05-0.00023684i,0.00026796-0.0012486i,0.00030083-0.00091533i,-0.00036196-0.00030267i,-8.5581e-05-0.00027586i,0.00089556-0.000433i
-0.0015929-0.0011447i,-0.0039179-0.00097495i,-0.0034798-0.00026949i,-0.0027434+0.00085305i,-0.0021553+0.0012258i,-0.0011538+0.00048132i,0.00018757-0.00013637i,0.001243-0.0010457i,0.001232-0.0019986i,0.00081001-0.0013743i,0.00073199-0.00024845i,0.00080363+0.00076421i,0.0002538+0.0010618i,-0.00036263-2.1173e-05i,-0.00017903-0.0013558i,2.8464e-05-0.0012803i,0.00013416-0.00067478i,0.00028017-0.00086452i,0.00057754-0.00071367i,0.00055962+0.00035513i,-0.00061699+0.00048291i,-0.0012906-0.00064259i,-0.00055178-0.0016151i
0.0008022-0.00064622i,0.00078036-0.0016293i,9.6881e-05-0.0017048i,-0.0010096-0.00039765i,-0.0017711+0.00089245i,-0.0010396+0.0001152i,-0.00079201-0.00040302i,-0.00083309-0.00030891i,-0.00062429-0.00051208i,-8.3055e-05-0.00069608i,0.00080347-0.00088758i,0.0015336-0.00038356i,0.0013676+0.0005241i,0.00023268+0.00046425i,-0.00018794-0.00050867i,-0.00013624-0.00074527i,-0.00017784-6.102e-05i,5.4859e-05+0.00016062i,-0.00014618+0.00046327i,-0.00040119+0.00042272i,-0.0005437-0.00057761i,-7.0375e-05-0.00092235i,0.00025203-0.001143i
0.0014546-7.6858e-06i,0.0015694+0.00084945i,0.0017959+0.0016052i,0.0006661+0.0006691i,-0.0002278-0.00052093i,-0.00039518-0.00018117i,-0.0009847+0.00059336i,-0.0016024+0.0013147i,-0.0018341+0.002283i,-0.0014437+0.0025486i,-0.0012205+0.001643i,-0.00074831+0.00027781i,0.00028753-0.00052107i,8.6977e-05-0.00050319i,0.00013543-0.00011234i,0.00041522-0.00013772i,4.3532e-05+0.0003737i,9.4381e-06+0.00086153i,0.00039834+0.00066514i,0.00054917+0.00043917i,0.00079968+0.00071521i,0.00048871+0.00074518i,0.00029486+0.00035691i
-0.0013416-0.0021167i,-0.0027213-0.0016167i,-0.0034987-0.0018487i,-0.0027499-0.00076882i,-0.0018891+0.00094621i,-0.00038811+0.0022695i,0.00074437+0.0038604i,0.0005076+0.0045353i,-0.00041432+0.0039471i,-0.0014493+0.0020253i,-0.0021556+0.00057208i,-0.0025807+2.1834e-05i,-0.0016951-0.00031237i,-0.00012903-0.00024436i,0.00022255-0.00039203i,-0.0009716-0.0010468i,-0.001973-0.0012662i,-0.0014152-0.00083361i,-0.00069916-0.0011513i,-0.00048607-0.0011569i,-0.00017528+0.000269i,0.00022257+0.00086499i,0.00010234+0.00030403i
-0.0027299-0.00015616i,-0.002498-0.0010339i,-0.00089959-0.00069505i,0.0015328-0.00027827i,0.0026309-0.00061754i,0.0023421-0.0013569i,0.0013465-0.0020141i,-0.00030305-0.001682i,-0.0013245-0.00073572i,-0.0010333-0.00015277i,-0.0010243-0.00019057i,-0.0013511-0.00041946i,-0.00095077+0.00011136i,-5.5498e-05+0.00030213i,-8.7407e-05-0.000428i,-0.00053283-0.00055031i,-0.00032769-0.00027021i,-0.00042871-0.00036303i,0.0005535-0.00084669i,0.001288-0.001194i,0.00012111-0.00057462i,-0.00053128+0.000302i,-0.00060016+0.00054389i
-0.0017444+0.00017306i,-0.00081229+0.00074551i,0.00091291+0.0026668i,0.0018029+0.0036407i,0.0016249+0.0027305i,0.00071545+0.00035739i,-0.00027801-0.0032143i,-0.0015681-0.005351i,-0.0025872-0.0045829i,-0.001252-0.0029328i,0.0011886-0.0025281i,0.0020179-0.0021732i,0.00061386-0.0013539i,-0.00048244-0.00027491i,-0.00029878+0.00018885i,0.00019573-0.00027695i,0.00028798-0.00059014i,3.5131e-05-0.0002234i,-0.00047914-0.00021689i,-0.00069512-6.8997e-06i,-0.00062007+0.00090003i,-0.0010566+0.0017333i,-0.0014445+0.0016924i
0.00054253-0.002194i,7.674e-05-0.0020468i,-0.0019615-0.00087912i,-0.0031938+0.0017818i,-0.0036941+0.0029875i,-0.0032126+0.0017895i,-0.0023001+0.00034357i,-0.0024301-0.00047707i,-0.0020791-0.0020711i,-0.00022147-0.0029356i,0.001206-0.0020307i,0.0013021-0.0012982i,0.00090328-0.00055928i,0.00016115-2.2918e-05i,0.00056187-0.00043599i,0.0011386-0.0011648i,0.00021182-0.0011691i,0.00028529-0.00067133i,0.0010566-0.00038897i,0.0010285+0.00075023i,0.0009545+0.0013729i,0.00019191+0.00047775i,-0.00046421-0.00011881i
-0.0024695+0.00028061i,-0.0019063-0.00030721i,-0.0010677+0.000433i,-0.0006901+0.00050865i,-0.0013658+0.00024559i,-0.0013164+0.0012424i,-0.0004364+0.0030749i,8.619e-05+0.0043993i,0.001071+0.0040352i,0.00093878+0.0034084i,0.0001886+0.0027826i,-2.9325e-05+0.0015466i,-0.00065975-0.00015046i,-0.001176-0.0012574i,-0.0005824-0.0012572i,-2.7725e-05-0.00055567i,0.00048263-0.00018052i,0.0016038+1.9143e-05i,0.0017677-0.00040574i,0.0009195-0.00070211i,0.00058341-5.0648e-05i,0.00041375+8.5139e-05i,-0.00036982-0.00082473i
-0.0018435-0.0010958i,-0.0018926+0.00094833i,-0.0023868+0.0026157i,-0.0017961+0.0018127i,-0.00053833+7.8742e-06i,0.0012723-9.3006e-05i,0.0036624+0.0018746i,0.0043923+0.0032967i,0.002466+0.003173i,0.00037259+0.0030085i,-0.00032483+0.0029668i,0.00019094+0.0023777i,0.00033246+0.00078546i,-0.00037158-0.0010606i,-0.00077021-0.0017272i,-9.0734e-05-0.00091055i,0.00040012-2.6761e-05i,0.00034688+0.00042131i,0.00024918+0.00047876i,0.00012855+0.00045501i,0.00040926+0.00017295i,0.00038016-0.00021303i,0.00033376-0.00039328i
