-0.0013885+0.00058001i,-0.00063159+0.00034993i,-0.0017094+0.0020936i,-0.0016928+0.0024686i,-0.0012802+0.0021169i,-0.0015018+0.0017954i,-0.00063046+0.0018268i,0.00076273+0.0025558i,0.00173+0.0018257i,0.0019692+0.00093896i,0.0011509-1.4482e-06i,0.00052988-0.0004171i,0.00014626+2.3748e-05i,-0.00078924+0.00010799i,-0.00040658-0.00033422i,0.00057601-0.00022882i,0.00086232-0.00044375i,0.0011422-0.00056146i,0.0010693-0.00043028i,0.00038733-8.5117e-05i,-2.3097e-05+0.00011695i,-0.00021152-1.835e-05i,-0.00057716+0.00049461i
-0.0014945+0.0026515i,-0.00083466+0.0034578i,-0.0019343+0.0027255i,-0.0023362+0.0005325i,-0.00045606-0.00031661i,0.0015489+0.00060695i,0.0014925+0.001842i,-0.00065459+0.0030865i,-0.0026735+0.0040436i,-0.0030629+0.0042988i,-0.0019246+0.0038637i,-0.0012676+0.0019641i,-0.0015332+7.5731e-05i,-0.0018976+0.00013835i,-0.0020859+0.0009385i,-0.0022804+0.0010693i,-0.0020719+0.00093101i,-0.0017143+0.00071892i,-0.0014413+0.00051621i,-0.00088012+0.00044297i,-0.00047031+0.00065181i,-0.00030359+0.00034674i,-0.00050508+6.405e-05i
-0.0015619-0.00062832i,-0.0022966-0.00045612i,-0.0013653+0.001375i,-0.00049092+0.0020224i,-5.9031e-05+0.0014595i,0.00057764-8.9889e-05i,0.0013519-0.00036968i,0.0029728+0.0013778i,0.0031285+0.0037525i,0.0021209+0.0047547i,0.0012978+0.0040528i,0.0011514+0.0031074i,0.00066505+0.0028884i,-4.2586e-06+0.0025174i,4.161e-05+0.0020346i,0.00083652+0.0019489i,0.0013904+0.0021583i,0.00061534+0.0023027i,-2.9987e-05+0.0018313i,-0.00046479+0.0011132i,-0.00042703+0.00026399i,0.00011044+0.00058244i,0.00017928+0.00067547i
0.0015585+0.0011046i,0.0022546+0.00033329i,0.0023392+0.00024258i,0.0018454-0.00061031i,0.00075592-0.0014238i,-0.00096397-0.0019711i,-0.00036277-0.0021693i,0.0022253-0.0017648i,0.0042707-0.0012642i,0.0052406-0.00060027i,0.0044067-0.00044972i,0.002689-0.00014648i,0.0018031+0.00066497i,0.0018011+0.00074649i,0.0021414+0.00081697i,0.0020805+0.00081106i,0.0015772+0.00029518i,0.00095646+0.0004958i,0.0007287+0.00088086i,0.00088402+0.00029427i,0.0003294-0.00040045i,-4.5511e-05-0.00031019i,0.0001678+0.00017478i
0.00099551+0.00016564i,-0.00016625-0.00032898i,-0.00037975-0.00044424i,-6.2378e-05-0.00076157i,0.00041017-2.9676e-05i,-0.0001212-0.00025918i,-0.0020337-0.0014265i,-0.0024459-0.0026051i,0.00013581-0.0035725i,0.00095522-0.0037239i,-0.00064667-0.0025614i,-0.001345-0.0021738i,-0.00088238-0.0027824i,-0.00027874-0.0019309i,0.00020686-0.0014915i,0.00017096-0.001888i,0.00059064-0.0015377i,0.0012703-0.0011653i,0.0013774-0.00084782i,0.0008802-0.00085905i,-4.3358e-06-0.00089187i,-0.00020045-0.0004312i,0.00017934-0.0008086i
0.0031969+0.0015868i,0.0014029+0.0017103i,0.0008121+0.00026662i,0.00094428-0.0016909i,-6.9281e-05-0.0014327i,-0.0019596-4.6061e-05i,-0.0029974+0.0001382i,-0.0045216+0.00045467i,-0.0058375+0.00020745i,-0.0053031-0.00043386i,-0.0043213-0.00063841i,-0.0033565-0.00048985i,-0.0017398+0.00031363i,-0.00082068+0.00029466i,-0.00082262-0.00093956i,-0.00089599-0.0004702i,-0.0011169+0.00027653i,-0.00081488-4.7224e-05i,-0.00030997-0.00056164i,0.00017299-0.0008877i,0.0007374-0.00098546i,0.00031994-0.00067645i,-0.00052314+6.8616e-05i
0.0013749-0.0022986i,-0.0012006-0.0023448i,-0.0029642-0.0028314i,-0.0033409-0.0018033i,-0.0026367-0.0010281i,-0.0020081+0.00075781i,-0.0017489+0.0030513i,-0.0025812+0.0050884i,-0.0037478+0.0054012i,-0.0039329+0.0045145i,-0.0034546+0.0033444i,-0.0030229+0.0022332i,-0.0020295+0.0012229i,-0.0012479+0.0010841i,-0.0010508+0.0012656i,-0.00012864+0.00071503i,2.7979e-05+0.00068868i,-0.00064397+0.00129i,-0.0007839+0.0014944i,-0.00071091+0.0012621i,-0.00075974+0.00096972i,-0.00053849+0.00035157i,0.00062477+0.00035154i
0.0029633-0.00012673i,0.00078185-0.00091731i,-0.0008531-0.0023902i,-0.00062244-0.0029701i,9.5655e-05-0.0028103i,-0.00059911-0.0011252i,0.000549+0.0014254i,0.0033575+0.0038427i,0.0046869+0.0056521i,0.0036235+0.0057406i,0.0024006+0.0045236i,0.0018838+0.0031542i,0.0011587+0.0019789i,-0.00017573+0.0022158i,-0.00065023+0.0028879i,0.00063395+0.0020992i,0.001159+0.00098125i,0.00067259+0.00074272i,0.0007976+0.00088167i,0.00065062+0.00071918i,-0.00058538-9.8264e-05i,-2.5954e-05-0.0009014i,0.0011952-0.0003705i
-0.001799+0.0005733i,-0.00057007+0.001514i,-0.00020706+0.0025608i,-0.00037548+0.0021935i,9.4406e-05+0.00087095i,0.0012111-0.0001857i,0.0019096-0.00097189i,0.0034461-0.0013838i,0.0053942-0.00092376i,0.0056339-0.00040104i,0.0044808-0.00082812i,0.0033763-0.0011174i,0.0025442-0.0012552i,0.0015585-0.00094852i,0.0011511+5.3328e-05i,0.00099292+0.00062422i,0.00014283+0.00016745i,-6.0655e-05-7.4914e-05i,0.00099795+0.00016641i,0.0012737-0.00059718i,0.0001279-0.00074472i,-0.0001586-0.00068722i,0.00025897-0.0015378i
0.0014177+0.0012357i,6.9344e-05+0.0011714i,0.00017705+0.00079226i,0.0012151+0.00053262i,0.0010736+0.0003149i,0.00020457-4.6376e-05i,-0.00028134-0.0013399i,-0.00063633-0.0040705i,-0.00033417-0.0059103i,0.00027799-0.0056766i,0.0001268-0.0044446i,1.9857e-05-0.0033244i,3.7124e-05-0.0020292i,0.00032245-0.0012021i,0.00043066-0.0010291i,-1.4144e-06-0.00068426i,-0.00054027-0.0006536i,0.00020785-0.00015972i,0.00053002+0.0011434i,-0.00031394+0.00086399i,-0.0002628+0.00081457i,-0.00055456+0.00071579i,-0.00065747+9.2708e-05i
0.00045541-0.00083475i,0.00050849-0.00045751i,-0.00071453+0.00017924i,-0.00034815+0.00077421i,-0.00010703+0.0014981i,-0.00068033+0.0018562i,-0.0022735+5.5411e-05i,-0.0047791-0.0022563i,-0.0062134-0.0029315i,-0.0053853-0.0020686i,-0.0048826-0.0016382i,-0.0051502-0.0025837i,-0.0039277-0.0024135i,-0.0025342-0.0013628i,-0.0015841-0.00077448i,-0.00095315-0.0002466i,-8.7734e-05+9.2949e-05i,0.00017055+0.00018306i,-3.9287e-05+0.00030907i,0.00034545+0.0002682i,-4.5377e-05-0.00017963i,-4.4512e-05+0.00014227i,-4.8206e-05+0.0012775i
-0.0019788+0.0010306i,-0.0018454+0.0024138i,-0.0024398+0.0028212i,-0.0015411+0.0020902i,0.00036104+0.00094536i,0.00034542+0.0005357i,-0.0012573+0.0020268i,-0.0029958+0.0039763i,-0.0044827+0.0045486i,-0.0040299+0.0039474i,-0.0027497+0.0032572i,-0.0023239+0.0027725i,-0.0018783+0.0016733i,-0.00095105-5.2792e-05i,-0.00017459-7.9406e-05i,0.00038783+0.00027099i,0.00066357+0.00011686i,0.00032677+0.00013511i,-0.0006964+0.0004199i,-0.0014723+0.0010874i,-0.00077713+0.00085443i,0.00016756+0.00087515i,0.0001824+0.001435i
-0.001837-0.0009573i,-0.0027087-0.00062168i,-0.0021295+0.00025144i,-0.0017639+0.00054371i,-0.0020081+0.0012215i,-0.00037947+0.0021082i,0.0013147+0.0028439i,0.0014256+0.0041322i,0.0012807+0.0049674i,0.001052+0.0048881i,0.000717+0.0050331i,0.00089297+0.0039563i,0.001187+0.0023616i,0.00097376+0.0012466i,0.0007401+0.00030191i,0.00096335+0.00011015i,0.00088434-8.4093e-05i,0.00029394+0.00014497i,-0.00015319+0.00081933i,-0.00034474+0.00087206i,0.00059304+0.00063965i,0.00065977+3.3982e-05i,-0.00026397-0.00016451i
0.00062445-0.00057324i,0.00016619-0.00064841i,0.00020047+0.00024002i,-2.9728e-05+0.0013674i,-0.00035245+0.00091763i,-0.00049295+0.0001752i,0.00061943-0.00075427i,0.003433-0.0010582i,0.0054556-1.876e-05i,0.0052921+2.0282e-06i,0.0043285-0.00018684i,0.0036438-0.00019253i,0.003309+0.00032906i,0.0022535+0.0013106i,0.0010501+0.00055778i,0.00071769-0.00036702i,0.00010649+0.00026769i,0.00014669+0.00040797i,0.00086734+3.3685e-05i,0.00095245+0.00024143i,0.00087963+0.00033963i,0.0005508-0.0003227i,3.5949e-06-0.00043912i
-0.0005618-0.0010259i,-0.0011718+0.0014543i,-0.0027033+0.0015251i,-0.0029058+0.0011601i,-0.001448+0.0021394i,-0.00011697+0.0019799i,-0.00018275-0.00047317i,-0.00059662-0.0028529i,0.00030324-0.0042958i,0.0011098-0.0042788i,0.0011199-0.0032571i,0.0011698-0.0029328i,0.0015447-0.002781i,0.0013448-0.0011439i,0.0010187-1.7418e-05i,0.0005261+0.00049794i,-8.4188e-05+0.00071547i,0.00036907+0.00020317i,0.00091944-0.00088378i,0.00049672-0.00079733i,0.00025945+0.00044946i,9.6243e-05+0.00042307i,-0.00014961-0.00035576i
-0.0020931+0.0021687i,-0.00062257+0.0023064i,0.0005549+0.0023399i,0.0014568+0.0019164i,0.0022417+0.00094508i,0.0018066-0.00026678i,8.2971e-05-0.00094258i,-0.0015752-0.0018098i,-0.0024671-0.0024491i,-0.0023057-0.0024011i,-0.0020397-0.002252i,-0.0021776-0.002209i,-0.0013005-0.0012074i,-0.00078239-0.0001154i,-0.00046734+0.00032747i,0.00035629+0.00018606i,0.0012112-0.00015892i,0.0010346-0.00051778i,0.00070156-0.0010323i,0.00079685-0.00079854i,0.00070483-0.00048469i,-9.9053e-05-0.000492i,-0.00025705-0.0001962i
-0.00020227+0.0045459i,-0.00026143+0.0031787i,0.00070481+0.0032856i,0.00057615+0.0022486i,0.00085049+0.0002861i,0.0008268-0.0013239i,-0.00020142-0.0012197i,-0.0025483+0.0011166i,-0.004689+0.0025782i,-0.0039332+0.002459i,-0.0020805+0.0019156i,-0.0017932+0.00094845i,-0.0020204+0.00062628i,-0.0015995+0.00039478i,-0.0013894+0.0006006i,-0.00091162+0.0010115i,-0.00037146+0.00075777i,-0.00016847+0.00023678i,0.00015635-0.00014997i,0.0001653-0.0003851i,-4.9217e-05-0.00041798i,-0.00013634+0.00046408i,-0.00025856+0.0011966i
0.0014391-0.0017002i,0.00037505-0.0020234i,-0.0015335-0.0016086i,-0.001974-0.00078185i,-0.0012338-7.5012e-05i,-0.00099918+0.00038665i,-0.00058285+0.00093632i,-0.0001552+0.0020055i,-0.00037089+0.0035338i,-0.00046786+0.0038702i,0.00035724+0.0031843i,0.00035166+0.0033124i,-0.00056346+0.0031782i,-0.0010211+0.0024396i,-0.00047197+0.0011412i,8.0228e-05-0.00012342i,-0.00023925-0.00080419i,-5.2651e-05-0.00050253i,-0.00029559+0.00044428i,-6.6938e-05+0.00089708i,0.00028569+0.00060587i,1.1552e-05+4.3369e-05i,-0.00021099+0.00035068i
-0.0017664-0.00024533i,-0.0011765+0.0023283i,-0.00047828+0.0040735i,0.00062165+0.0032894i,0.0012783+0.00081173i,0.0016985-0.00067405i,0.0018607-0.00083598i,0.0021126-0.00030922i,0.0031063+0.0010355i,0.0030724+0.001751i,0.0022777+0.0010842i,0.002071+0.00039351i,0.0015355+7.8555e-05i,0.00081778+0.00012815i,1.9988e-05-5.415e-05i,9.5098e-05-0.00071403i,0.000381-0.00022553i,0.00081759+0.00045964i,0.0012705+0.00078378i,0.0008002+0.00068751i,0.00058026+0.00051902i,6.1913e-05+0.00048206i,-0.00066863+0.00077757i
-0.00020087+0.0007901i,-0.00047912-0.0001459i,-0.0012576-0.00052145i,-0.0020873+8.1518e-05i,-0.0029624+0.00052347i,-0.0028073+0.00025213i,-0.0027276-0.00043745i,-0.0020893-0.0021588i,0.0001042-0.0027579i,0.00080233-0.0022582i,0.00094975-0.0023666i,0.0010676-0.0021131i,0.0004963-0.001155i,0.00055425-1.8689e-05i,0.00079114-2.7968e-05i,0.00066846-0.00034521i,0.00056699-0.00034758i,0.00069952-0.0004123i,0.00096332-0.00024362i,0.0011616-0.00028393i,0.00075772-0.00072575i,0.00018863-0.00024391i,-0.00025227+4.3151e-05i
7.2737e-05+0.0013162i,0.00067839+0.00072587i,0.0013278+0.0011181i,0.0013521+0.0025212i,0.0012461+0.0023701i,6.4683e-05+0.0019549i,-0.0010235+0.0020015i,-0.0018389+0.0011141i,-0.0023099-0.0009333i,-0.0010187-0.0024395i,-0.00028372-0.0019419i,-0.0007829-0.0013337i,-0.0009422-0.0010792i,-0.00013894-0.0007308i,0.0013195-0.00018564i,0.0011798+0.00067819i,0.0012168+0.00088105i,0.001232+0.0004067i,-0.00032407+0.0003784i,-0.00066639+0.00014476i,-3.5407e-05-0.00030666i,0.00051539-0.00022445i,0.00061894+7.7556e-05i
-0.00053301+0.0012991i,-0.00010857+0.0003344i,0.00024021-0.00051877i,0.00063446-0.00022699i,0.0015185+3.5893e-05i,0.0019238+0.00072232i,0.00096683+0.0029341i,-0.00035256+0.0040748i,-0.0014688+0.0029846i,-0.0011468+0.0016409i,-0.00076303+0.0011274i,-0.00054447+0.0010597i,0.00018161+0.00019197i,0.00050681-0.0010008i,0.0007853-0.0013606i,0.00077862-0.00083663i,0.00040852+0.00020527i,0.00022659+0.00073604i,3.7789e-05-0.00051752i,-0.00079442-0.0011324i,-0.00082564-0.00023775i,-0.00018353-0.00012961i,-0.00038678-0.00032833i
-0.0010608+0.00047855i,-0.0015257+0.0016385i,-0.0013546+0.0020006i,-0.0010099+0.0015389i,-0.00046341-6.0372e-05i,0.0018409-0.0010826i,0.0035928-0.0016588i,0.0031915-0.00016845i,0.001338+0.002232i,-0.00071295+0.0025613i,-0.00084779+0.001868i,0.00066882+0.00077212i,0.0011575-0.00039073i,0.0007634-0.0010112i,0.00020953-0.00072309i,0.0002995-0.00024155i,0.00028192+0.00012491i,4.6649e-05+0.00052258i,0.00065903+0.00050622i,0.0011721+0.00034519i,0.0011969+0.00039774i,0.0012188-0.00026647i,0.0015282-0.00047126i
8.3455e-05+0.0013769i,0.00043609+0.0013178i,-0.00038983+0.0010585i,-0.0021191+7.3443e-05i,-0.0023195-0.00088852i,-0.0018303-0.0017971i,-0.0015593-0.0035463i,-0.00042855-0.0036757i,0.000687-0.0015262i,0.0006206+0.000561i,0.00035653+0.0012103i,0.00088651+0.00068347i,-0.00025796+8.6795e-05i,-0.002077+0.00014268i,-0.0017089+0.00073661i,-0.00098903+0.0015481i,-0.00093535+0.0012237i,-0.00049959+0.00090134i,0.0008362+0.001079i,0.0011898+0.0011733i,0.00060014+0.0010228i,0.00013865+0.00033245i,0.00057956-0.00037183i
-0.002199-0.00018405i,-0.0019809+0.00064763i,-0.0020293+0.0022295i,-0.0013646+0.0027831i,-0.0017395+0.0022989i,-0.0030384+0.0015165i,-0.0047937+0.00012356i,-0.0045843-0.0018768i,-0.0021571-0.0017922i,-0.00053725-8.3819e-05i,0.00030991+0.00093889i,-0.00011748+0.00079962i,-0.00099097+0.00093486i,-0.0017657+0.0017174i,-0.0013004+0.0013531i,0.00074166+0.00010705i,0.0011263+8.9485e-06i,0.00020514+0.0006891i,0.00011689+0.00071321i,0.00057592+0.00050948i,0.00058384+3.5058e-05i,0.00033327+1.7198e-05i,-0.00010203-4.0973e-05i
-0.001521-4.3807e-05i,-0.00098864+0.0022221i,-0.00075642+0.0031932i,0.00024359+0.0021454i,0.001715+0.0017531i,0.0015849+0.0030463i,-0.0005825+0.0040843i,-0.0029047+0.0030961i,-0.0031713+0.0014429i,-0.0017886+0.00046545i,-0.00069397-0.0004577i,-0.00050256-0.00086602i,-5.0549e-05+0.00063295i,0.00077795+0.0020727i,0.0012823+0.0014097i,0.0013551+0.00048104i,0.00090884+0.00027637i,0.00082507+0.00030575i,0.0014226-0.00031392i,0.0010093-0.00040912i,-0.00027579+0.0009377i,-7.38e-05+0.0010755i,0.00038238+0.00047996i
9.0594e-05+0.0016579i,-0.00026955+0.0011078i,-0.0011163+0.00045655i,-0.00064459-0.00072189i,0.0020135-0.0013923i,0.0038161+0.00025475i,0.003965+0.0026082i,0.0022785+0.0038847i,0.00048414+0.0031615i,0.00032379+0.0010007i,2.9721e-05-0.00035478i,-0.0003011+7.8491e-05i,-4.7663e-05+0.00040636i,7.5852e-05-0.00056476i,0.00022541-0.0013071i,0.000442-0.0012902i,0.00091214-0.00074854i,0.0017782-0.00016631i,0.0014018+0.0003228i,0.00060036+0.0007223i,-0.00019759+0.00081647i,0.00037641+0.00034339i,0.0011619+0.00028301i
0.00069997-0.00055605i,0.00038154-0.00058673i,-0.00020869-0.00035827i,-0.0012917+0.00042211i,-0.002751-0.00052383i,-0.001534-0.0019652i,0.0018412-0.0027195i,0.0036435-0.0015597i,0.0026846-0.00039129i,0.00078374-0.00091557i,4.6992e-05-0.00072941i,-0.00082692-0.00028739i,-0.001075-0.00073491i,-0.00069347-0.0015198i,-0.00063047-0.0013326i,-0.000577-0.00049448i,0.00049663-0.00067606i,0.001838-0.00078384i,0.0013792-0.00029176i,-4.2236e-06-0.00063011i,2.4509e-05-0.0011344i,5.9573e-05-0.0011999i,-0.00048105-0.00076787i
-0.0025336+0.00021158i,-0.0030534+0.0016617i,-0.0029893+0.0022713i,-0.0018547+0.0023791i,-0.0018446+0.0019993i,-0.0029765-0.0003476i,-0.0020784-0.0026417i,0.00018558-0.0031604i,0.00070628-0.0019036i,0.00019454+0.00018583i,-0.00036442+0.00046664i,-0.00073427-0.00056095i,-0.0011126-0.0017193i,-0.0028842-0.002001i,-0.0032656-0.00018799i,-0.001696+0.0012777i,-0.00022065+0.001315i,-0.00037134+0.00062018i,-0.00077317+0.0001103i,-0.00062045-6.6671e-05i,-7.1767e-05-0.00037142i,-0.00020742+0.00028203i,-0.00038666+0.00058524i
0.00038149-0.0014728i,0.00074233-0.0016106i,0.0014252+0.0003682i,0.00099265+0.0017358i,-0.00068869+0.0023655i,-0.0024009+0.0014761i,-0.0034626-0.00057078i,-0.002979-0.0018107i,-0.0024203-0.0013925i,-0.0021371+7.6772e-05i,-0.00083473+0.0010347i,-7.7404e-05+0.00047041i,-0.00050098+5.0035e-05i,-0.00059512+0.0010701i,-0.00038264+0.0015724i,-0.00020204+0.0014084i,-0.00047806+0.0010288i,-0.00029065+0.0013457i,0.00085091+0.0013337i,0.0014086+0.00092319i,0.00098579+0.00072019i,0.00058479+0.00027259i,0.00056964+3.7972e-05i
0.002175+0.00036597i,0.0021242-6.8567e-05i,0.00099327+0.00039141i,0.001373+0.00062522i,0.0034181+0.00042188i,0.0037668+0.0010105i,0.0010522+0.0024886i,-0.0025637+0.0026302i,-0.0035277+0.0021098i,-0.0011043+0.0012817i,0.0012736+0.00055973i,0.0011072+0.00059515i,0.00033954+0.0016686i,0.00067806+0.0024259i,0.00093126+0.0020844i,0.00079184+0.00067732i,0.00070585-0.00026029i,0.0014482+0.00027881i,0.0014252+0.0010382i,0.0011389+0.00020904i,0.00097231-0.00045462i,0.00037988-0.00055162i,-3.3767e-05-0.0010039i
0.0025341-0.00014714i,0.0024731+0.00036584i,0.0017312-0.00011559i,0.0016046-0.00086733i,0.0019201-0.0012226i,0.0028693-0.00072112i,0.0023175+0.0022254i,0.0001009+0.0049931i,-0.00097006+0.0045499i,-0.00065276+0.0020709i,0.00038454-0.00040047i,0.0011005-0.00063491i,0.00088425+0.00067816i,0.0011358+0.00063745i,0.0012418-4.2835e-05i,0.00057845+0.00039332i,-0.00016281+0.00087453i,0.00017967+0.00032039i,0.00030433-0.00067629i,-0.00021838-1.0181e-05i,0.00051905+0.0006147i,0.0005382+0.00015076i,-0.00040387-0.00023935i
-0.0029603+0.0036523i,-0.0028873+0.0035612i,-0.002055+0.0026603i,-0.0014635+0.0010001i,-0.0017361-0.0010508i,-0.00099648-0.0026458i,0.0010544-0.0018444i,0.0027434+0.0013566i,0.0027734+0.0030879i,0.0012774+0.00078255i,-0.00018846-0.0011728i,-0.00053056-0.00082124i,-0.00055525-0.0014287i,-0.00028193-0.0019187i,-0.0002485-0.0010931i,-0.00038409-2.5742e-05i,0.00051453+0.00058132i,0.001074-0.00019695i,0.00021-0.00077217i,-0.00048918-0.0002428i,-0.00019044-0.00020022i,-3.4936e-05-0.00045805i,0.00021631+0.00027343i
-0.0022761-0.00030388i,-0.0018786-0.00057772i,-0.0023082+0.0017571i,-0.0026675+0.0039865i,-0.0027106+0.0035832i,-0.0022499+0.001446i,0.0001406-0.0013165i,0.0033038-0.0032117i,0.0036792-0.0024115i,0.00070137-0.00069045i,-0.0013295+0.00067794i,-0.0012988+0.00075787i,-0.00076908-0.00030631i,-0.0015998-0.00077951i,-0.0019461-0.00022766i,-0.00071234+0.00044346i,0.00047016+0.0008454i,0.00032441+0.00056724i,-0.00024091+0.00021636i,-0.0001165+0.00035938i,-5.349e-05+0.00039159i,-0.00026677+1.5412e-05i,-0.00039484-7.1653e-05i
-0.00029559-0.0021503i,-0.00013775-0.0012885i,-0.00095944+0.00066456i,-0.00069559+0.0020409i,0.00072723+0.0042312i,-0.00035628+0.003699i,-0.0028398-1.0929e-05i,-0.0034254-0.0032811i,-0.0028361-0.0036455i,-0.0020134-0.0010887i,-0.00039031+0.0017053i,0.0003458+0.0015431i,-0.00072782-0.00024587i,-0.0018447+0.0003384i,-0.0015903+0.0020259i,-0.00084742+0.001304i,2.6877e-05+0.00025067i,0.00010771+0.00053446i,-0.0002897+0.00090923i,9.0634e-05+0.00018596i,-1.2082e-05+0.000102i,-0.00040033+0.00083996i,-0.00031742+0.00055593i
0.002795-0.00023408i,0.0022704-0.00012114i,0.0015206-0.00065056i,0.002268-0.0021512i,0.0037376-0.003123i,0.0032092-0.000993i,-0.00095312+0.0014317i,-0.0052695+0.0018558i,-0.0055235+0.0011139i,-0.0022238+0.0013088i,7.2791e-05+0.0019407i,0.00039997+0.0013026i,0.00047326+0.0008754i,0.0011752+0.001229i,0.0019948+0.0019703i,0.0021297+0.0018961i,0.00097168+0.00098307i,0.00020633+0.00071424i,0.00051124+0.0007944i,-1.2053e-05+0.0011583i,-0.00012598+0.0014757i,0.00054597+0.00039435i,0.00050685-0.00069747i
-0.0033997+0.002207i,-0.0034841+0.0020796i,-0.0034459+0.0022334i,-0.0031047+0.001456i,-0.0017399-0.00059095i,0.00044858-0.0012523i,0.0012529+0.0012167i,-0.00077381+0.00571i,-0.0017884+0.0064161i,-0.0003018+0.0029133i,0.0011776-0.00013728i,0.00098439-0.0011436i,0.00044865-0.0011585i,0.00091161-0.001681i,0.0010715-0.0025681i,0.00088414-0.0021822i,0.0012751-0.00071899i,0.0018843+2.0228e-05i,0.00091755-0.00040378i,-5.0914e-05-0.00044786i,-0.00011864-4.8271e-05i,0.00088312+0.00075233i,0.0010288+0.0014916i
-0.0012115-0.00032089i,-0.0021752-0.00082023i,-0.0036673-0.0010488i,-0.0039995+0.00037558i,-0.0047601+0.0015547i,-0.0041807+0.00056094i,1.1993e-05+0.00070195i,0.0040962+0.0033957i,0.0041044+0.0045405i,0.0015638+0.001744i,-0.00067526-0.00033923i,-0.00062862+0.00043205i,0.00021345+0.0005003i,-0.00034316-0.00051289i,-0.00097781-0.0011256i,-0.00061566-0.0015006i,0.00045262-0.0016264i,0.00058813-0.0011599i,0.00044054-0.00073847i,0.00041884+0.00044742i,-1.7233e-05+0.00069406i,6.524e-05-3.689e-05i,0.00021872+0.000722i
-0.00086917-0.00085562i,-0.00042107-0.00067416i,-0.00017195+0.00018672i,0.00029364+0.0022251i,0.00066636+0.0048902i,0.00031506+0.0043143i,0.0011858+0.00074482i,0.0039443-0.0018657i,0.004584-0.0024743i,0.0014696-0.0017354i,-0.00096157-0.00045306i,-0.0011233+0.0011285i,-0.001327+0.0018059i,-0.0020842+0.00086608i,-0.0022098+0.00065044i,-0.0016556+0.00062047i,-0.00064416-0.00035864i,0.00027573-0.00041648i,0.000489+0.00046974i,0.00031067+0.00068984i,0.00011146-8.8431e-05i,-0.0003787-0.0006524i,-0.00010882-0.00040955i
0.0013032-0.0020953i,2.2466e-05-0.0013542i,-0.001081-0.00025143i,-0.00018899+0.00077173i,0.0020156+0.0015046i,0.002713+0.0013992i,0.0003208-0.00034823i,-0.0023569-0.0041776i,-0.0028071-0.0058552i,-0.0018257-0.0028851i,-0.00032906+0.00058791i,0.00082953+0.0013814i,0.0016054+0.001296i,0.0013058+0.0010792i,0.00096158+0.0010163i,0.00099644+0.0012041i,0.00013696+0.00094011i,-0.00019342+0.00065613i,-4.3343e-05-3.6728e-05i,7.5022e-06-0.00094321i,7.663e-06-0.00055057i,2.0291e-06+0.00045221i,0.00070902+0.00050696i
-0.00093598+0.003686i,-0.00047666+0.0029492i,3.3203e-05+0.001121i,0.00066708-0.00086002i,0.0021733-0.0039704i,0.0021785-0.0050848i,-0.0016386-0.0027479i,-0.0071691-0.00061376i,-0.0084+0.0005182i,-0.004136+0.0013819i,-6.8806e-05+0.0015915i,0.0013796+0.00038657i,0.0014328-0.00029939i,0.0011198+0.00051042i,0.0012777+0.0011219i,0.0011419+0.0010117i,0.00084337+0.00021676i,0.00061668-8.5708e-05i,-0.00020741+0.0003063i,-0.00068578+0.0013227i,-0.00061205+0.0015163i,-0.00037976+0.00091735i,-0.00049398+0.00065589i
-0.0010972-0.0031219i,-0.00213-0.0018186i,-0.0040917+0.00024654i,-0.0067396+0.0013339i,-0.0087385-0.00030891i,-0.0077078-0.0016043i,-0.0051969-1.106e-05i,-0.0049991+0.0035594i,-0.0048733+0.0062517i,-0.0036062+0.0042476i,-0.0025063+0.0007464i,-0.0014387-0.00067283i,-0.00035976-0.0011193i,0.00029794-0.00097321i,0.0005155-0.0011353i,0.00049073-0.001158i,2.8766e-05+2.7013e-05i,-0.00010858+0.00068421i,-0.00058362+0.00031254i,-0.00046437+0.00018129i,-0.00058849+0.00016267i,-0.00077643+0.00033076i,-0.00073466+0.00090696i
-0.00063398+0.0005943i,-0.002428+0.00049406i,-0.0031965+0.00020838i,-0.0021573+0.0012166i,-0.0029623+0.0025119i,-0.0036378+0.0020761i,-0.0011718+0.0020576i,0.0031156+0.0034474i,0.0056473+0.0039964i,0.0036255+0.0025991i,-0.00016182+0.00041939i,-0.0017127-0.00051682i,-0.001674-0.00041921i,-0.0014357-0.00017325i,-0.0013191+0.00028498i,-0.0011402-0.00020642i,-0.00059203-0.0006292i,0.00038822+0.00010233i,0.00051621+0.00030171i,0.0005783+0.00021342i,0.00052368+9.0492e-05i,5.1764e-05+8.0932e-06i,0.00017422-0.00040458i
0.00044223-0.0010706i,0.00073917-0.00072758i,0.0013021+0.0013942i,0.002989+0.0036258i,0.0048921+0.0053983i,0.0045805+0.005374i,0.0032516+0.0020798i,0.0052178-0.002262i,0.0066218-0.0045892i,0.0045842-0.0033653i,0.0024885-0.0014245i,0.0014264+1.9367e-05i,0.00026643+0.00016862i,-0.001171+0.00052556i,-0.0023943+0.0011852i,-0.0026506+0.00040042i,-0.0015388-0.0010501i,-9.5505e-05-0.00058351i,0.00020074+0.0006193i,0.00043254+0.00044839i,0.00084747+0.00041463i,0.00096274+0.00034693i,0.0017524-0.00069629i
