6.9026e-05+0.00047414i,0.00015238+0.0013947i,0.0003502+0.0013225i,0.0007115+0.00038064i,0.00092736-2.4347e-05i,0.0007973+4.6774e-05i,0.00025419+0.00067055i,-0.00019991+0.0010476i,-0.00024982+0.00056957i,-0.0008184+0.00051495i,-0.0011268+0.00021883i,-0.00040493+5.1012e-05i,0.00039426+0.00043664i,0.00052774+0.0012612i,0.00035436+0.0017678i,0.00031576+0.0020715i,-0.00056899+0.0016565i,-0.00091947+0.00089136i,0.00032165+0.0003954i,0.00084005+0.0010416i,0.00049965+0.0013023i,0.00060207+0.0007467i,0.00011747-0.00021011i
0.00072097-0.0001269i,0.00041527-0.0010117i,-0.00055823-0.00070915i,-0.0014828-0.0010286i,-0.00090566-0.00072679i,0.00043134-8.3346e-05i,0.00053105-0.00069616i,-0.00027573-0.0010523i,-0.00049144-0.00056813i,2.8273e-05-0.00036298i,0.00052997-0.00048881i,-0.00025103-0.00068145i,-0.0011117-0.00045106i,-0.00050032+0.00033691i,-0.00036575+0.00047313i,-0.00033756+0.00029524i,-0.00077408+0.00060354i,-0.001491-0.00021009i,-0.0011166-0.00071671i,-0.00052553-0.00046559i,-0.0005722-0.00016362i,-0.00018585+0.00010938i,0.0006996+0.00024007i
-8.8353e-05-4.1705e-05i,-0.00038919+2.7901e-05i,-0.00082392-1.7029e-05i,-0.0014651-0.00055218i,-0.0015473-0.00065656i,-0.0013498+0.00040606i,-0.0013528+0.00058245i,-0.00058486-2.4237e-05i,9.5426e-05-4.9351e-05i,0.00022283-0.00035175i,0.00038258-0.00038264i,0.00055567-0.00016956i,0.00072521+0.00040614i,0.00047163+0.0010685i,0.00017235+0.00079308i,-0.00059169+6.1668e-05i,-0.00065907-6.6812e-05i,0.00012316+0.00045381i,0.00031358+0.00074918i,0.00032446+0.0007123i,0.0004959-0.00013367i,0.0006871-0.00048989i,0.00079707-0.00014232i
0.001164+0.00063482i,0.0010451-0.00069539i,0.0021992-0.00055947i,0.0024655-0.00057258i,0.0017214-0.00098721i,0.0006115-0.00024672i,0.00076298-2.5626e-05i,0.0015254-0.00046698i,0.0013613-0.00067216i,0.00084723-0.00084725i,0.00034042-0.0010759i,0.00014064-0.00082485i,-0.00051293+0.00044062i,-0.0015149+0.00098327i,-0.0016788+0.00026463i,-0.0017774+0.00027552i,-0.00046366+2.6334e-05i,0.00076759-0.00024459i,0.00026624-0.00046328i,-0.00051088+2.1531e-05i,-0.00024522-5.981e-05i,-5.8617e-05-0.00037287i,-0.00075668+0.00022213i
-0.0016622-0.00057525i,-0.0018304+0.00048611i,-0.0028402+0.0004788i,-0.0020029+0.00048252i,-0.0004007+0.00084458i,0.00063434+0.00070011i,0.00096923+6.2756e-05i,0.00080114-0.00076862i,0.00067922-0.0014468i,0.0008022-0.00097622i,0.00035492+0.00010496i,2.6809e-05+0.00011276i,0.0001116+4.162e-05i,8.7232e-05+0.00041964i,0.00050886+0.00040489i,0.00077428+0.00081226i,0.00098046+0.0008337i,0.00064556+0.00067582i,0.00036663+0.00066669i,0.00043773+2.0171e-05i,0.00033561+1.479e-06i,0.0005896+0.00084265i,0.00095892+0.0011772i
0.00081442-0.0008751i,0.00014916-0.00062262i,0.0001474-0.0016364i,-0.00018221-0.0014289i,-0.00094943-0.00066385i,-0.00086815-0.00039658i,-0.00031501-0.00035813i,0.00026996-0.00060887i,0.00058079-0.0010866i,0.00016358-0.00041827i,-0.00075997+0.00023405i,-0.00134+3.4767e-05i,-0.0014791+0.00083812i,-0.001636+0.0011869i,-0.0013401+0.0011597i,-0.00071671+0.0010733i,0.00016187+0.00030717i,0.00059334+0.00015445i,0.00049308+0.00036101i,0.00014425+0.00032694i,0.0003271-0.00032207i,0.00064932-0.00042677i,0.00053118+0.00050346i
-0.00027245+0.0017336i,0.00052295+0.0013105i,0.0011024+0.00099927i,0.0010541+0.00011284i,0.00090209-0.0008532i,0.0010403-0.00072218i,0.00065048+0.00027993i,0.00051477+0.00031103i,0.00086315-0.00045823i,0.0013857-0.00057465i,0.00072974-0.00042884i,-0.00079059-0.00053818i,-0.00087-0.00030979i,-0.00065239-5.6271e-05i,-0.0010717-7.9962e-05i,-0.00060168-0.00053154i,-0.0001034-0.00093487i,-0.00049471-0.0011114i,-0.00042317-0.00063539i,-4.7678e-05-0.00076054i,0.00027361-0.00021953i,0.00067394+0.00032649i,0.0010456-0.00025426i
-0.00041815+0.0010644i,0.00036574+0.00081563i,0.001582+0.00052852i,0.0012189+0.00024273i,0.00030197+0.00011086i,-0.00072207-0.00015217i,-0.00099296-0.00070667i,-0.00045459-0.00066349i,-0.00036047-4.0207e-05i,-0.00027825-0.00016231i,0.00017946-0.00071909i,0.00043679-0.0010393i,-7.6298e-05-0.000426i,-0.00034643+0.00021882i,-3.8704e-05+8.929e-05i,0.00060094+0.00045925i,0.00058354+0.00070813i,0.00028997+0.00068727i,0.0001864+0.00045524i,0.00031921-0.00065632i,0.00048099-0.0013704i,0.00025374-0.0011782i,0.00015383-0.00069631i
4.8847e-05-0.00023958i,-3.3609e-05-0.00018498i,-0.00062836-0.00027521i,-0.00050543-0.00042065i,0.00014724-9.8187e-05i,0.00088214+0.00098293i,0.0005546+0.00094989i,0.00025994-8.4477e-05i,0.00016607-0.00032165i,-4.9242e-05-0.00029744i,-0.00022092+9.7116e-05i,0.00040798+0.00033299i,0.00046549+0.00031129i,-8.5983e-05+0.00067427i,-0.00094088+0.0010433i,-0.0011311+0.0004304i,-0.00039724-0.00026814i,0.00012036-0.00019557i,-6.853e-05+0.0001702i,-0.00039299+4.1202e-06i,-0.00015382-0.00035761i,0.00027847+8.844e-05i,-0.00046922+0.00062766i
-0.00055692-0.00026677i,0.00082981-0.00089609i,0.0017518-0.001599i,-0.00013605-0.001524i,-0.0014704-0.00099339i,-0.001025+0.00011505i,-3.7941e-05+9.7326e-05i,0.0014051-0.00025244i,0.001651-0.00028118i,0.0007915-0.00047073i,-2.2606e-05+8.9055e-06i,-0.00022738+0.00037512i,0.00059319+0.00031768i,0.0014299+0.00066523i,0.00044105+0.0010338i,-0.00075227+0.00082596i,-0.00058354+0.00089851i,-0.00021324+0.00078708i,0.00014195+0.0005037i,0.00032176+0.00051121i,0.00042062-7.1026e-05i,0.00048826-0.00021622i,3.148e-05-0.00038828i
