-0.0040457+5.9036e-05i,-0.0029585-0.00046393i,-0.0018908+0.00015908i,-0.001234+0.001178i,-0.00073077+0.0017438i,0.00098082+0.0010318i,0.0014256+0.00095521i,0.00033108+0.0012592i,0.00068382+0.0012066i,0.0015102+0.00031879i,0.0013122-0.00039775i,0.00049256-0.0013784i,-5.2884e-05-0.0020402i,0.00013462-0.0013121i,3.7606e-05-0.00016385i,-0.00027431+0.00040722i,-0.00015122+0.00076793i,-0.00035414+0.00084823i,-0.00028205+0.00029268i,0.00067051+0.00083292i,0.00064398+0.0012144i,-8.0768e-05+0.00066417i,-0.00038176+8.2378e-05i
0.00081741-0.00039918i,0.0011749-0.00091822i,0.0011914-0.0016506i,0.0011564-0.0018127i,0.0010098-0.0016505i,0.0011064-0.0011498i,0.00093911-0.00034443i,0.00011983+0.00021272i,-0.00059363+0.00036038i,-8.3323e-05+0.0006234i,0.00076235+0.00087096i,0.0014332+0.00052275i,0.00060129-0.00018775i,0.00015609-0.0008309i,0.0012927-0.00058726i,0.0014719+9.7239e-05i,0.00083761+0.00092402i,-0.00011789+0.0013977i,-0.00072568+0.00058782i,-0.00071878-0.000444i,-0.00066447-0.00020638i,-0.00022577+0.00060969i,-0.00012861+0.00061333i
-0.00075729-0.00068454i,-0.0004224-0.00036559i,-0.00058396-0.00022613i,-0.00091294-0.00043222i,-0.00095479+3.164e-05i,-0.00054333+4.0963e-05i,4.4204e-05-0.00038803i,0.00019621+4.3431e-05i,0.00051609+0.00073279i,0.00081142+0.00049553i,0.0013099+0.00019734i,0.0014239+0.00062313i,0.0014452+0.00051664i,0.00086253+0.00039207i,6.4383e-05-0.00012643i,-0.00039034-0.00056334i,-0.00033505-0.0007186i,1.2369e-06-0.00051941i,-0.00026285+0.00022459i,-0.00092938+0.00055141i,-0.0014698+0.00044478i,-0.0010177-0.00017244i,-6.266e-05-0.00055422i
5.6766e-05-0.00039719i,0.00087236+0.00039453i,0.0012352+0.00093831i,0.00085339+0.00073701i,0.00048549-5.3309e-05i,0.00076741-0.00067943i,0.00051108-0.00078559i,0.00029922-0.00033225i,0.00042201-9.6578e-05i,0.00038383+0.00015557i,0.0004371+0.00057163i,-0.00018023-2.565e-05i,0.00046576-0.00080605i,0.0011037-0.0010242i,0.00038351-0.001004i,0.00089986-0.00035224i,0.00095991+0.00032742i,0.00013542-0.00018026i,-0.00011395-0.00038893i,2.6337e-05-0.00018012i,-0.00019247+0.00012821i,-0.00055744-0.000177i,-0.00065358-0.00017788i
2.7447e-05+0.00039853i,-0.00018119+0.00018197i,-0.00056033+6.0547e-05i,-0.00073565-0.00081251i,-0.0004927-0.0015584i,0.00018075-0.0012065i,0.00069346-0.00089702i,0.00013578-0.00031293i,-0.00033932+0.00074456i,0.00040568+0.00089548i,0.00052971+0.00061701i,0.0001126+0.00028684i,0.00017594+5.8222e-08i,0.00040007-0.00043142i,0.0006637-0.00012627i,0.00020427+0.00085605i,-0.0001887+0.0010632i,0.00016276+6.4676e-05i,-8.1871e-05-0.0003677i,-0.00061059+0.00041938i,-0.00063888+0.0006073i,-0.00011014-0.00032572i,-0.00028103-0.00091184i
-0.00086274-0.0013635i,-0.0011436-0.0017038i,-3.1909e-05-0.0023641i,0.0010145-0.00097917i,0.00050661+0.00067508i,0.00073269+0.000724i,0.0017321-1.7574e-05i,0.0010081-0.00053598i,0.00013394+0.00039433i,-0.00023714+0.00077072i,0.00028614+0.00048555i,0.00091035+0.00043533i,0.00037056+0.00036931i,0.00019042+0.00091229i,0.00041086+0.00038017i,4.6338e-05-0.00010903i,8.8463e-05-0.00021443i,-0.00015658-0.00013165i,-0.00048382+0.00032961i,9.1823e-05+0.00044828i,-7.3858e-05-5.2969e-05i,-0.00038962-0.00039661i,-1.4681e-07+0.00017913i
0.0002643+0.00022696i,0.00024528+0.00052033i,-0.0004664+0.00061353i,-5.7728e-05+6.4395e-05i,0.0013403-0.0013155i,0.0016569-0.0021686i,0.00077436-0.0021986i,0.00055202-0.0016099i,0.00091413-0.00028709i,0.00083965+0.00015373i,0.00090977+5.3701e-05i,0.0006941-0.00013267i,0.00022087-0.00047337i,-8.3682e-06-0.00065121i,-0.00013749-0.00072684i,-0.00029584-0.00037283i,0.00043007+7.9399e-05i,0.0012225+0.00078608i,0.0003055+0.00079763i,-0.00072958+6.2483e-06i,-0.00069547-1.7836e-05i,0.00014796-0.00018187i,7.1154e-05-0.00021167i
0.0013376-0.0027281i,-7.1803e-05-0.0017987i,-0.00068388-0.0020887i,-0.0015521-0.0031435i,-0.0023858-0.0029915i,-0.0011046-0.0014131i,0.00037191+4.9307e-05i,0.00096445+0.00081155i,0.00086745+0.00099755i,0.0002131+0.00070908i,0.00010188+0.00021041i,0.00028162+0.00030758i,0.00053932+0.00064238i,0.00054948+0.00033373i,0.00015772-2.5422e-06i,-0.00049228+0.00068315i,-0.0007339+0.0011464i,-0.00022657+0.00093389i,-0.00031913+0.00018203i,-9.2253e-05-0.00057571i,0.00040463-0.00059691i,0.00042278-0.00060717i,0.00048533-0.00016276i
0.0013939-0.00071268i,0.0009215-0.001084i,0.001938-0.001737i,0.0012904-0.0025443i,0.0002643-0.002244i,0.00064051-0.0012217i,0.001044-0.00086941i,0.0008197-0.00024705i,0.00036193+0.00021192i,0.00041904+0.00014643i,0.00051239+5.6927e-05i,0.00042178+0.00057464i,-0.00016229+0.00083209i,-0.00031974-0.00038357i,7.1774e-06-0.00078709i,0.00041252-0.00030423i,0.00048143+0.00034594i,0.00037847+8.2741e-05i,0.00051179-0.0010648i,-8.8122e-05-0.0013237i,-0.00082572-0.00091732i,-0.00055484-0.0011728i,4.9196e-05-0.0013505i
0.0016915+0.00063707i,0.0013391-0.00074756i,0.0014968-0.0020063i,0.001329-0.0021857i,0.00050321-0.0023128i,0.0005838-0.0026011i,0.00054521-0.0020363i,-0.00056788-0.00058748i,-0.00024575+0.00033646i,0.00063247+0.00043095i,8.5459e-05-8.8235e-05i,0.00027602-0.00025354i,8.2189e-05+0.00037704i,-0.0003994+9.6487e-05i,0.00018119+9.4976e-05i,7.1373e-06+0.00050843i,-4.066e-05-0.0001782i,0.00077755-0.00045915i,0.00062601+0.00050911i,-0.00038456+0.00048558i,-0.000457-0.00065091i,0.00010088-0.00074442i,0.00022153-0.00043819i
-0.00063797-0.0010333i,0.00030475-0.00059369i,4.894e-05-0.0014661i,-0.00018589-0.0013711i,0.0001652-0.00053732i,0.00066144-0.00037668i,0.00071006-0.00027566i,-0.00029212+1.7232e-05i,-0.00077587+7.3379e-05i,-0.00023939+0.00020965i,6.1422e-05+0.00028733i,0.00047554-7.4992e-05i,0.00074416-0.00034695i,0.00030292-8.136e-05i,-0.00047616+0.00018242i,-0.00084251+0.00013163i,-0.0012691-0.00070409i,-0.0010311-0.00062566i,0.00014652+0.00015498i,0.00039697+4.2865e-06i,0.0002372-0.00012858i,-6.0942e-05+0.00037245i,-0.00066717+0.00057728i
0.00025651+0.00095163i,0.0003784+0.00077771i,0.0016541+1.8357e-05i,0.0021281-0.0013108i,0.001132-0.0010298i,0.0011123+6.4041e-05i,0.0011211-0.0003655i,0.0010515-0.00038093i,0.00066287+0.00046906i,-3.0614e-05+0.00032627i,2.629e-05-0.00023935i,0.00040284-0.00018965i,0.00065781+0.00090024i,0.00096283+0.00048496i,0.00029408-0.00044684i,-0.00037543+1.8606e-06i,-0.00027374+0.00014967i,3.0484e-05-0.00037301i,0.00028426-0.00074992i,0.00036867-0.0012908i,6.6373e-05-0.00052251i,-0.00014507+0.00053106i,0.00033177+0.00058796i
0.00042262+0.0014387i,0.00043864+0.00072173i,0.0015341-0.00033135i,0.0014404-0.0013684i,0.0014348-0.0019895i,0.0013152-0.002496i,0.00021279-0.0020342i,-0.0006149-0.00026542i,-0.00028821+0.00059454i,0.00055805+0.00053387i,3.5356e-05+0.00042254i,-0.00061081-4.5292e-05i,-0.00070254-8.6138e-05i,-0.00049063-0.00032065i,-0.00018907-0.00029711i,0.00086219+0.00032568i,0.00077176-0.0001802i,-0.00012204-0.00025799i,-0.00045738+0.00036048i,-0.0010109+0.0001878i,-0.0010417-0.00045016i,-0.00031735-0.00071942i,0.00036795+0.0001659i
0.0023226+0.0011829i,0.0025413+3.6038e-05i,0.0028096-0.001197i,0.0023158-0.00087689i,0.0014171-0.00060005i,0.00072041-0.00066318i,0.00055073-0.0011329i,0.00026876-0.00084613i,-0.00049402+0.00078725i,-0.00024633+0.0016235i,0.00085799+0.0012363i,0.0011987+0.00057557i,0.00040473+0.00017706i,-0.0003267+0.00017597i,-0.00036898+0.0010703i,-0.00057028+0.0014611i,-0.00086842+0.001234i,-0.001185+9.4915e-05i,-0.00065419-0.00091109i,-0.00055907-0.0009528i,-0.0002422-0.00046248i,0.00098965+0.00019761i,0.00081161+0.00052985i
0.00079079-0.00074287i,0.00047952-0.0012394i,0.00061591-0.0014013i,0.00067392-0.0014274i,0.00095556-0.0011699i,0.00050977-0.0012924i,0.00074546-0.0010399i,0.0015421-0.00040877i,0.00096827-0.00028046i,-0.00022102-9.0499e-06i,-9.0209e-05-0.00020819i,0.00044287-0.00050046i,0.00024215-0.0002524i,-0.00049666-0.00014314i,-0.00083991+0.00010089i,-0.00064439+0.00026522i,-0.00028035+0.0001547i,-0.00021823+0.00023613i,-0.00040234+0.00022502i,-0.00074794-0.00016932i,-0.00066081-0.00046816i,-7.0325e-06-0.00049597i,-1.3508e-06-0.00040134i
0.0014148+0.0015474i,0.0017767+0.0012199i,0.0021407+0.00031384i,0.0022165-0.00089801i,0.0022878-0.0015041i,0.0019895-0.0010434i,0.0010878-0.00016385i,2.1129e-05+0.00055656i,-7.3413e-05+0.00086448i,0.0002533+0.0014265i,0.00038683+0.0014516i,0.00025694+0.00069751i,-0.00020829+0.00036705i,0.00076661+0.00053611i,0.0014538+0.00092766i,0.00058515+0.0010238i,-0.00032868+0.00088692i,-2.6794e-05+0.00055643i,-0.00013153+0.000416i,-0.0010238+0.00097694i,-0.00064643+0.0008379i,0.00045039+0.0002927i,0.00063887+4.5656e-05i
0.0012463+0.00085423i,0.0017521+0.0004961i,0.0022012+0.0002137i,0.0021514-0.00095277i,0.0019201-0.0012281i,0.001899-0.001084i,0.00080897-0.0011772i,0.00021523-0.00077507i,8.8745e-05-0.00016675i,0.00028047-0.00023054i,0.00090217-0.00063316i,0.00041647-0.0010323i,-0.00018579-0.00080389i,-0.00096942-0.00011758i,-0.00085733+0.00054376i,-0.000887+0.0005685i,-0.00087215+6.6971e-05i,-0.00018818+0.00037427i,0.00028166+0.00021375i,0.00064275-0.00017764i,0.0010567-0.00030567i,0.0012563-0.00049489i,0.00091744-0.00060239i
-1.7787e-06+0.0016412i,0.00051277+0.0013826i,0.0016159+0.00062549i,0.0016174-0.00056138i,0.00024792-0.0015084i,-0.00038375-0.0024056i,-0.0010577-0.0019683i,-0.0010128-0.00089063i,-2.5243e-05-0.0001058i,0.00022592+0.00036028i,-0.00051478+0.00033752i,-0.00090787-0.00035614i,-0.00080841-0.00027953i,-0.00087173+0.00070552i,-0.00062398+0.0012145i,-0.00016229+0.0009175i,0.00035739+0.00019515i,0.00041615+0.00028048i,-0.00026889+0.00014602i,-0.0006279-0.00040842i,-0.00046983-0.0007769i,-7.9991e-05-0.00037091i,-0.00018391-0.00024236i
0.00052261-0.00021384i,-0.00038752-0.0012823i,-1.8613e-05-0.0011021i,0.00042979-0.0010975i,0.00096576-0.0019148i,0.0015994-0.0017733i,0.00093676-0.00050049i,0.00020738+0.00011067i,0.001514+0.00047534i,0.00097495+0.00066301i,7.9593e-05+0.00049772i,0.00066401+0.00071704i,0.00025875+0.0011466i,0.00016964+0.00066941i,2.9212e-05+0.00028549i,-0.00021993+0.00039161i,0.0003337+0.00041012i,-0.00015333+0.00013772i,-0.0012838-4.8465e-05i,-0.0010119-2.8597e-05i,0.00050754-0.00036202i,0.00058115-0.00075976i,-0.00050468-0.00021886i
-0.001304-0.00059897i,-0.0011783+0.00043164i,-0.0012425+0.00029413i,-0.00026492-6.4084e-05i,0.00014396+0.0005568i,0.0010215+0.00029535i,0.0014367-0.0004782i,0.00012858-0.0002697i,8.3863e-05-8.4513e-05i,0.0010406-0.00014993i,0.0013012-0.00054554i,0.00062416-0.001062i,0.00023105-0.00058889i,-0.00020431-3.3834e-05i,-0.00015314+0.00029549i,0.0005175+0.00076327i,0.00054508+0.00045326i,0.00076647+0.00018975i,0.00070984-3.4611e-05i,-0.00039249+6.4892e-05i,-0.00153+0.00015556i,-0.0015163-0.00084583i,-0.00032076-0.00057365i
-0.00015377-0.00049702i,-0.0014378-0.0018731i,-0.0022225-0.0031504i,-0.001894-0.0026615i,-0.00032078-0.0017233i,0.0011596-0.0013859i,0.00099041-0.0013384i,0.00020099-0.0013438i,-3.5977e-05-0.00048881i,-0.00041522+0.00043115i,-0.00077195+0.00033665i,-0.00012821+0.00016104i,0.00016024+0.00026154i,-0.00053518-8.1942e-05i,-0.00055962-0.00049331i,-0.00036115-0.00018621i,-5.3437e-05+2.3125e-05i,0.00030219+0.00012024i,0.0009824-0.00020692i,0.00061631-0.0007704i,0.00014428-0.00090704i,0.00020242-0.00062861i,-0.00013828-0.00021557i
-0.00065694+0.00047432i,0.00047732+0.00069133i,0.0019599+8.4085e-05i,0.0014502-0.00058633i,0.0006269-0.00025125i,0.0011874+0.00046861i,0.00047037+0.00037013i,-0.0002684+0.00017014i,0.00013248+0.00043315i,0.00015296+0.00037487i,8.4313e-05+0.00014653i,-0.00032764+0.00041717i,-0.00020991+0.00014966i,-0.00036412-0.00020131i,-0.00039056-0.00034513i,0.00030441-0.00025826i,0.00013394+7.7553e-06i,-0.00035561-1.7662e-05i,-0.00012499-0.0005592i,-0.00023758-0.00015762i,-0.00054602+0.00061204i,-0.00042571+0.00044038i,1.4316e-05+0.0004334i
0.00035257+0.00051564i,0.00039495+0.00024308i,0.00068537+0.00058171i,0.0010625+0.00036258i,0.00087067-0.0015209i,0.0008369-0.0023286i,0.0011718-0.00041056i,0.0011458+0.0011802i,0.0011314+0.0012348i,0.001171+0.00083887i,0.0011466+0.0005442i,0.00054609+0.00022202i,0.000452+0.00042488i,0.0007751+4.409e-05i,0.00031324-0.0001493i,-0.00059793+0.00029194i,-0.0010089+5.3982e-05i,-0.00052203-0.0003481i,-0.00093532-0.00058533i,-0.0011425-0.00086416i,-0.00032168-0.00050844i,-0.0003716-0.00013664i,-7.6792e-05+0.00019128i
0.00036239-0.0014747i,1.9931e-05-0.00049589i,0.00020348-0.00062404i,-0.00026008-0.0019116i,-0.0012664-0.0021697i,-0.00077102-0.001569i,0.0001548-0.00073234i,-3.7616e-06-0.00051122i,-0.00023419+0.00014599i,-0.00057863+0.0011518i,-0.00092772+0.0010412i,0.00013114+0.00038135i,0.00094906+0.00021576i,0.00059265+0.00044362i,0.00014609+0.00014423i,0.00017809-0.00012869i,0.00065326+0.00077644i,0.00036181+0.0011894i,-0.00047047+0.00030997i,-0.00078058+1.6748e-05i,-0.00069927+3.382e-06i,-0.00057892-0.00032908i,-0.00030943-0.00052171i
0.00079785-0.00018496i,0.001151-0.00062333i,0.0013156-0.0012829i,0.00092147-0.0017652i,0.00012935-0.0015732i,0.00018228-5.5654e-05i,0.00048796+0.0005399i,0.00018506+0.00038336i,7.927e-05+0.00065172i,0.00017634+2.7535e-05i,0.00048324-0.00076911i,0.0003997-0.00089421i,-0.00020341-0.0010407i,-0.00036625-0.001163i,-0.00040014-0.00066446i,2.6119e-05-0.00042454i,0.00038107+0.00037517i,0.00021434+0.00093431i,3.6749e-05+0.00043748i,0.0001096+6.1143e-05i,-8.2712e-05+0.00014548i,-0.00043254+7.528e-05i,-0.00019856-0.00018229i
-0.00040324+0.0022577i,0.00065127+0.0015804i,0.0030381+0.0013349i,0.0036022-0.00037036i,0.0030498-0.0019322i,0.0015756-0.0035302i,0.0004125-0.0030067i,-5.2594e-06-0.00037606i,4.0661e-05+0.0010601i,-0.00014937+0.00075875i,0.00021714+7.8623e-05i,0.00028581-0.00025521i,-3.0542e-05-0.00055117i,-0.00085034-0.00043266i,-0.0017827-0.00042223i,-0.000795-0.00074927i,-8.6403e-05-0.00050607i,-0.00095532+1.0898e-06i,-0.00059275+0.00011761i,0.00034664+0.00033948i,0.00029834+1.6413e-05i,2.273e-05-0.00087253i,-0.00093678-0.00093223i
0.0003218-0.00014064i,0.0011136-0.00052603i,0.0019401-0.00086358i,0.0018698-0.0016456i,0.001116-0.0014225i,0.0005561-0.00053872i,0.0003286-0.00046587i,0.00027222+0.00026107i,7.579e-06+0.001636i,2.5725e-05+0.00087337i,0.00035753-0.00065364i,8.4912e-05-0.00052163i,0.00011857+0.00034395i,0.00054283+0.00015614i,-0.00028837-0.00040522i,-0.00096597-0.00024996i,-0.0011596+0.00099455i,-0.0013654+0.0011616i,-0.0013541+0.00036573i,-0.00070818+1.5595e-05i,-0.00042708-8.8357e-06i,-0.00038804-0.00038207i,8.0399e-05-9.568e-05i
-0.00043673-0.0007036i,-0.00034849-0.0010145i,-8.6175e-05-0.0017629i,-0.00017064-0.0011888i,-0.00081785-0.00086702i,0.00026411-0.0015798i,0.00080072-0.0010902i,9.3589e-05-8.3157e-05i,0.00047208+0.00062696i,4.9273e-05+0.0019067i,-0.0010569+0.0020377i,-0.00042223+0.00097563i,0.00033172+0.00083245i,0.00024734+0.00093577i,0.00053494+0.0011645i,0.00022318+0.0010937i,-0.0001962+0.0011074i,3.8656e-05+0.0012972i,-0.0001123+0.0012187i,-0.0004653+0.0012987i,-0.00011635+0.0013391i,2.2562e-06+0.00043688i,-0.00047807-0.00021188i
0.0009786-0.0022492i,0.00012133-0.002237i,-0.00045114-0.0030531i,-0.0013135-0.003526i,-0.0011149-0.0028604i,-0.00016799-0.0011796i,-4.1771e-05-0.00023599i,0.00021379+3.5481e-06i,0.00094756-4.2379e-05i,0.00085165+0.0005924i,-0.00036935+0.00090348i,-0.00037003+0.00064404i,0.00084058+0.00048868i,0.00078887+0.00069421i,0.000471+0.00048271i,0.00060162+0.00010152i,0.00050221-0.0003692i,0.00037808-1.0478e-05i,0.00052454+0.00089647i,0.0011171+0.00051612i,0.00090411+0.00059051i,-9.8405e-05+0.00058659i,-0.00022233+8.9581e-05i
0.00073851-0.00046296i,0.00097622-0.0022277i,0.0021526-0.0028506i,0.0024528-0.0025045i,0.0014335-0.0023572i,0.0004791-0.0016868i,0.00067452-0.00055576i,0.0012444-0.00023042i,0.00092153-0.00051333i,0.00065801-0.00075124i,9.6808e-05-0.00040333i,0.00054964-0.00010738i,0.00078838+0.00057045i,9.3401e-05+0.00049772i,-9.5042e-05+9.8314e-05i,0.00029153+0.00057384i,0.00079341+0.00037815i,0.00042746+1.4308e-05i,-0.00075821+0.00018684i,-0.00077988-0.00025228i,0.00046369-0.0011151i,0.00077408-0.0007119i,0.00018684+0.00047186i
-0.0014476-0.00018018i,-0.00032983+0.00018446i,0.00058627+0.00099271i,0.00068948+0.00044481i,0.00056683-0.0012632i,0.00036315-0.0018059i,0.00072109-0.0012547i,0.00055523-0.00052841i,0.00022727-0.00051836i,0.00050957-0.00032833i,0.00031139+4.4337e-05i,-0.00024632-0.00035854i,0.00021787-0.00045965i,0.0009378-0.00037156i,0.00069592-0.00033372i,-0.00022413-0.00030207i,-0.0015547-0.00034578i,-0.0020364-0.00036184i,-0.0018446-9.8858e-05i,-0.0018576-0.00077054i,-0.0013798-0.0011171i,-0.0012786-0.0010211i,-0.00043482-0.0004816i
-0.0006233-0.00052577i,0.00015213-0.0013984i,-0.00035313-0.0013438i,-0.0012231-0.0011122i,-0.00029626-0.00030771i,0.001182+1.3741e-05i,0.0012684-0.00081968i,0.00056084-0.00057623i,0.0002282-0.00012996i,-0.0010565+0.0002572i,-0.0009884+0.00068334i,0.00048745+0.00049252i,7.0745e-05+0.00026194i,-0.00090793+0.0004067i,-0.00062834+0.00041534i,-0.00045942+0.00015039i,-0.00063333+0.00034592i,-0.00034+0.00035694i,-0.00017836+0.00027271i,-0.00027205+0.00067384i,-0.00020167+0.0007008i,-0.00038665+0.00013643i,-0.00042437+0.00030094i
0.0027514+0.00068113i,0.003115+0.00028148i,0.0034085-0.0014095i,0.0020335-0.0033156i,0.001255-0.004188i,0.001459-0.0034123i,0.0017748-0.0010898i,0.0013568+0.00076511i,0.0011074+0.00049573i,0.00075548+0.00021109i,0.00018637+0.00069346i,8.8912e-05+0.00046331i,-3.4117e-05+0.00038573i,-0.00031554+0.00081896i,1.4844e-05+0.0012991i,0.00057045+0.0010776i,0.00067827+0.0002764i,0.00073594+0.00053354i,0.00071225+0.00096886i,9.386e-05+0.00025583i,-0.00061409-0.00025297i,-0.00067407-0.00057172i,-0.00076747-0.00044782i
0.0032856-0.0016005i,0.0017895-0.0024445i,0.0012034-0.0030528i,0.00052898-0.0042597i,-0.0010777-0.0045319i,-0.0014074-0.0029218i,-0.00083614-0.0010627i,0.00010341-0.00011944i,0.0005681+0.00099534i,2.3665e-05+0.0010785i,-0.00034587+0.00072135i,0.00058915+0.00054436i,0.00085532+0.00075788i,-0.00031802+0.00090966i,-0.00017796+0.00029296i,0.0004638-0.00017887i,0.00035376-0.00025832i,-0.00045278-0.00057684i,-0.00075464-0.0011144i,-0.00036199-0.0010583i,-0.0002331-0.00039864i,-0.0001314-0.00011944i,-1.4045e-05-0.00028096i
0.0029748-0.0014911i,0.0010131-0.0031215i,6.3527e-06-0.0039596i,-0.00093081-0.0028939i,-0.0015619-0.0011997i,-0.00059443-0.00030135i,0.0004023-0.00039424i,0.00048772-0.00020251i,0.00050134+6.195e-05i,9.2396e-05+0.00043833i,-0.00058497+0.00045888i,-0.00072071-0.00019874i,-0.00040304-0.00027507i,-4.6716e-06-0.00030519i,0.00022904-0.00078186i,0.00047296-0.00060483i,0.00044892+1.0003e-05i,-0.00028391-0.00038793i,-0.00075898-0.0010787i,-0.00077106-0.0012306i,-0.00059922-0.0009336i,-0.00028172-0.00035884i,-0.00011143+3.5414e-05i
0.00017794-0.00062709i,0.0006049-0.001235i,0.0017332-0.0014074i,0.0022945-0.001125i,0.0015726-0.0014657i,0.00071022-0.001397i,-3.8519e-05-0.00045251i,-0.00011095-0.00045211i,-0.00017441-0.00031144i,-0.00037751+0.00084641i,-0.00054288+0.00051412i,-8.2093e-05-0.00057614i,0.00059593-0.0006553i,0.0003916-0.00021264i,-0.00048906-0.00030767i,-0.0005851-0.00054487i,-0.00035673-0.0002633i,-0.00058921+0.00056366i,-0.00053916+0.00055671i,-0.00057082+0.00024923i,-0.0006328+0.00026285i,-0.00053181+0.00061587i,-0.00061352+0.00041108i
0.0011531-0.00033734i,0.00062504-0.00022986i,-0.00029998-0.00089581i,-0.00023702-0.0014332i,0.00047816-0.00084459i,0.00086984-0.0004504i,0.0010777-0.00075481i,0.00058256-0.00035348i,-2.1881e-05+0.00022334i,0.00071219-6.1315e-05i,0.00094405-0.00027921i,0.00044983-0.00030213i,0.00055238-0.00060519i,0.00041215-0.00053956i,-0.00025252+9.6828e-05i,-0.00032173+0.00062188i,-0.00039423+0.00093236i,-0.00020083+0.00050524i,7.0143e-05+0.0004817i,-0.00018228+0.00067364i,-0.00018229+0.00052552i,-0.00026102+8.7008e-05i,-0.00014582-4.5792e-05i
0.0025169-0.00077247i,0.0024595-0.0018253i,0.0022265-0.0035397i,0.00052074-0.0036552i,-0.00076515-0.00267i,-0.00024705-0.0019054i,0.00055037-0.0010845i,0.00078128-0.00039118i,0.00096507+0.00072796i,0.00053099+0.0015776i,-5.1702e-05+0.0016193i,-0.0001187+0.00063688i,0.00029316-0.00016351i,0.00055722+0.00017321i,0.00063149-0.00026229i,0.00063051-0.00083898i,0.00025488-0.00060312i,-6.0557e-05-0.00029192i,-0.00062827-0.00045929i,-0.00076861-0.0010429i,-0.00058874-0.00090185i,-0.0003955-0.00056454i,0.00017655-7.8502e-05i
-0.00014411+0.0020124i,0.00023197+0.0011109i,0.0014548+0.00048699i,0.0024268-0.001225i,0.0018965-0.0025862i,0.00085732-0.0025632i,0.00063024-0.0013179i,0.00037293-0.00039711i,0.00035616+0.00014198i,0.00082014+0.00059323i,0.0011722+0.0004555i,0.00078229+0.00013379i,-0.00014782-0.00039237i,-0.00015876-0.00065522i,-0.00019188-0.00051094i,-0.0007553-0.00040542i,-0.0010256-0.00070719i,-0.00091975-0.0010625i,-0.00026-0.00049621i,0.00014961-0.00012915i,0.00031574-0.00052452i,0.00076924-0.00026406i,0.0002063+8.5338e-05i
-0.0011052+0.00059433i,-0.0019749+0.0010115i,-0.0022637+8.2636e-05i,-0.0015353+5.7006e-06i,4.5373e-05-0.00080447i,0.0012617-0.0021519i,0.0011371-0.0012902i,0.00045839-0.00024895i,-0.00012272-0.00028507i,-0.00025865-0.00019516i,4.2688e-05-0.00015608i,-0.00012855+0.0002245i,-0.00017134+0.00061475i,-0.00020505+0.00049878i,0.00014027+0.00024806i,0.00021731-0.00011657i,-0.00089857-0.00023389i,-0.0015311+0.00045793i,-0.0008464+0.00053421i,-0.00049315+0.0004394i,-0.00081143+0.0010298i,-0.00011589+0.00096008i,1.7786e-05+0.00015464i
0.00071804-0.0013903i,0.001263-0.0012157i,0.002122-0.0015357i,0.0024138-0.0020661i,0.0011167-0.0014472i,0.00066529-0.00076099i,0.00040674-0.00046829i,6.6819e-05-0.00026748i,-0.00026148+0.00067783i,-0.00047761+0.00080766i,0.00020681+0.00068247i,0.00092854+0.00094487i,0.00052978+0.00084592i,-0.001013+0.00011987i,-0.0013169-0.00020074i,-0.00028261+0.00066078i,6.4537e-05+0.0017093i,-0.00033702+0.001112i,-0.00020309-0.00012263i,-0.00031793-0.00035587i,0.00046336+2.6299e-05i,0.00046446-0.00048093i,-1.2726e-05-0.001153i
0.001171+0.00041665i,0.0011779+0.00043214i,0.0010579+0.00019891i,0.00099318-0.0010002i,0.00014739-0.00098084i,-0.00072631+5.7639e-05i,-0.00057451+0.00027637i,-0.00036493+0.00065721i,-2.1599e-05+0.00062843i,0.00087992+0.00051765i,0.00057679+0.0011137i,-0.00048818+0.0016493i,-0.00083+0.0011352i,0.00026869+0.00044296i,0.0014838+0.00036269i,0.0014681+0.00024243i,0.0007888+0.0001704i,0.00063282-0.00023246i,0.00068483-0.00042315i,0.00032496-0.00033325i,0.00030932-0.00050254i,-0.00030469-0.00045762i,-0.00043008-0.00011279i
0.00053784-0.00033579i,0.00065357-0.00016449i,0.00074757-0.0012678i,0.0010888-0.0027026i,0.0014538-0.0024321i,0.00074919-0.001827i,3.7662e-05-0.0016809i,0.00049026-1.698e-05i,0.00064416+0.00051279i,0.00089389-0.00015826i,0.0012375+4.9208e-05i,0.000546-0.00037062i,-0.00043848-0.0007932i,6.7362e-06-0.0010439i,0.00022677-0.00097132i,-0.00045-0.00032837i,-0.00047003-0.00089083i,-0.0004046-0.001015i,0.00037459-0.00078162i,0.00086687-0.00070267i,0.00015549-0.00050753i,0.000437-0.00087446i,0.00075688-0.00035954i
0.001333-0.0001654i,0.0012594-0.00061781i,0.0011459-0.0020367i,0.0015545-0.0021756i,0.0009535-0.0013392i,0.0011318-0.00086977i,0.0017935-0.00078817i,0.00063344-0.00020067i,0.00013047-0.00045291i,0.00027259-0.00081735i,-7.8813e-06-0.00037969i,-0.00033614+0.00037404i,-0.00055765-3.3862e-05i,-0.00038936-0.00057664i,-3.7356e-05-0.00031913i,-1.3564e-05-0.00018862i,-0.00083789+7.7248e-05i,-0.0010646+0.00020277i,-0.00062228+0.00023136i,-0.00073666+1.8294e-05i,-0.001033-0.00045097i,-0.00038067-0.00076175i,0.00069139-0.00082679i
