-0.0027376+0.00060649i,-0.0013038+0.00044392i,-0.0020133+0.0010116i,-0.0015972+0.0011801i,-0.00090007+0.0016636i,-0.00026293+0.0013357i,-0.00064806+0.00093379i,-0.00090103+0.0013084i,0.00037234+0.0013622i,0.00087223+0.00058442i,0.00089997-0.00076693i,0.0015434-0.00091071i,0.0012771-0.00043904i,0.00015484-0.00019908i,-0.00094729+1.601e-05i,-0.0017034-0.00018469i,-0.0014081-0.00037283i,-0.00029506-0.0006372i,0.00045889-0.00043895i,8.7045e-05-4.0624e-05i,-0.00036535-0.00033888i,-0.00029608-0.0010168i,-0.00028167-0.00057646i
0.000471-0.00093408i,-5.4305e-06-0.00071672i,-0.0009041-0.0015484i,-0.0010329-0.0011196i,-0.0013843+0.00013483i,-0.0010616+0.00099197i,0.00019883+0.00073557i,0.00069864-0.00011318i,-2.0094e-05-5.5708e-06i,-0.00073714+0.00017801i,-0.00029999-0.00017349i,4.3671e-05-8.3111e-05i,0.0004839+0.00050936i,0.00070792+0.00036567i,0.00045409-0.00020819i,0.00043669+0.00046345i,-0.00014491+0.0009961i,5.9275e-05+0.00046744i,0.00062728-0.00012194i,-3.5072e-05-0.00030424i,-0.00028656-0.0002971i,-4.549e-05-0.0004409i,-0.00047621-0.00079455i
-0.0012512+0.0011494i,-0.00056781+0.0014271i,-0.00075092+0.0017012i,-0.00078578+0.00056902i,0.00077617-0.00094515i,0.00087213-0.00088653i,-0.0001098-9.2529e-05i,-0.0002809+0.00038118i,-0.00010198+0.00064169i,0.00017519+0.00084828i,0.00073083+0.0003587i,0.00057043-0.00018857i,0.0002781-0.00033196i,7.6069e-05-0.00017945i,9.8153e-05+0.00046763i,-0.00012798+0.00056561i,-0.0010516-0.00058003i,-0.00031275-0.00086215i,0.00017261-2.6429e-05i,-5.6776e-05-2.0531e-05i,6.1081e-05-0.0005068i,0.00010373-0.00028836i,0.00065763+0.00073733i
0.00036466-0.00166i,-0.00075103-0.0013629i,-0.0006811-0.0017926i,-0.00073055-0.00080851i,-0.00029113+0.00066529i,0.00042846+0.0013137i,0.00056241+0.00048086i,0.00050416+9.2607e-05i,5.5819e-05-3.8353e-06i,0.00016457-0.00019009i,0.00065642-0.00025065i,0.00089151-3.6156e-05i,0.00061709+0.0012135i,-9.9478e-06+0.00055829i,-0.00031614-0.00040874i,-0.00026219-0.00092071i,0.00032079-0.0007503i,0.00040973-0.00045029i,-0.00047065-0.0007954i,-0.00035453-0.00065537i,0.00017229-0.00080994i,-0.00022272-0.00030304i,-0.001005+0.00012673i
0.00041358-0.00027076i,0.0004097-0.00027218i,0.0012624-2.9313e-06i,0.0017353-0.00063346i,0.0018517-0.00077769i,0.0012429+4.7318e-05i,0.0010546+0.0007261i,0.00073597+0.0008437i,0.00018424+2.4872e-06i,0.00046394-0.00069653i,0.00024121-0.00052225i,-0.00035665-0.00017872i,7.806e-05+0.00015684i,0.00045964+0.00075218i,-7.3142e-05+0.0007426i,-0.00021702+0.00073584i,-0.0003689+0.00043585i,-0.00029218-0.00065788i,-0.00010085-0.00070028i,0.00024867+0.00026879i,0.00080443+0.00035347i,0.0005988-0.00032825i,0.00014206-0.00048604i
-0.0016963+0.0012386i,-0.0013403+0.0012995i,-0.00030548+0.0021845i,9.9336e-05+0.0028584i,0.0010301+0.0022254i,0.0015937+0.00028011i,0.00044249-0.00093565i,-0.0001973-0.001187i,-0.00035599-0.00021147i,-0.00042788+0.00053604i,0.00011351+0.00043562i,0.0003965+0.00011003i,3.5241e-05-0.00081252i,-0.00029627-0.00089689i,-0.00040057+0.00021051i,-0.0005926+0.00094348i,-0.0005973+0.00080854i,-0.00030099+0.00072426i,-0.00070457+0.0007928i,-0.0012013+0.00087563i,-0.00099235+0.00048163i,-0.00034025+0.00046686i,0.00017087+0.00021439i
2.3271e-05-0.00047573i,-0.00085653-0.00031484i,-0.0012207-8.7191e-05i,-0.0012115+0.00049145i,-0.0006044+0.00051911i,0.00015498+0.00063621i,-0.00016365+0.00066093i,-0.00077855-2.9622e-05i,-0.00059938-0.00060317i,0.00010582-0.00070921i,0.00038496-0.00038682i,0.00033454-0.00031434i,-0.00056473-0.00078242i,-0.00048514-0.00039818i,0.00013884+0.00024729i,0.00010621-0.00010322i,3.2875e-05+0.00031405i,-0.00045448+0.00083633i,-0.00011112+0.00034701i,0.00076415+0.00011713i,0.0010787-0.0005507i,0.001171-0.00055654i,0.00083933+0.00019939i
-0.0012224-3.4764e-05i,0.00033961+0.00022176i,0.00083203+0.0011911i,0.0012464+0.0013524i,0.0011281+0.00091691i,0.00097018+0.00038167i,0.0011266+9.3978e-05i,0.00063318-2.3238e-05i,-3.5225e-05+0.00037207i,-0.0002291+0.00035316i,3.9856e-05-0.00042776i,0.00055382-0.00071031i,-6.4351e-08-0.00076368i,-0.00073211-0.00040468i,6.2691e-05+0.00019617i,0.00039134+0.00056765i,-0.00071398+0.000248i,-0.00095858-9.4562e-05i,-0.00039791+0.00033227i,0.00026399+0.00031583i,0.00051467+8.1641e-06i,0.00048056+0.00062293i,0.00023762+0.00069779i
-0.00015801-0.00053341i,0.00028398-4.959e-05i,0.00048275+0.00045151i,-3.4445e-05+0.00095059i,0.00024495+0.00053465i,0.00054792+9.2192e-05i,0.00029949+3.2798e-08i,0.00082021+8.6732e-06i,0.00036993+0.00031441i,-0.00080731+0.00074993i,-0.00083342+0.0011254i,-6.5513e-05+0.0010288i,0.00014963+0.00057096i,0.00010952-1.7937e-05i,-0.00018657-0.00042074i,-0.0004935-0.0007692i,-0.00029015-0.00093416i,-0.00026292-0.00079493i,-0.00053275-0.00051217i,-0.00047697-0.0003345i,-0.00015934+0.0001077i,0.00015338+0.00072846i,-0.00047592+0.00099205i
0.001111+0.0010833i,0.0018188+0.00081652i,0.0015567+0.00013072i,0.0015773-0.00040634i,0.0017199-0.00099645i,0.001503-0.0013392i,0.0011304-0.0010728i,0.0011577-0.00059044i,0.00093611-0.00062197i,0.001128-0.00050651i,0.0011721-9.6917e-05i,0.00040379+0.00019739i,-3.2961e-05-0.00027365i,-5.1337e-05-0.001141i,0.00011064-0.0013286i,0.00014215-0.00069708i,0.00026193-0.00051649i,0.00087572-0.00068043i,0.00081444-0.00029524i,-8.755e-06+6.8101e-05i,-0.00036244-0.00014291i,-0.00031788-0.00033282i,-0.00051202-4.7535e-05i
0.00025566+1.3717e-06i,-0.00022271-0.00035337i,-0.00051335+0.00033764i,-0.00081542+0.0010669i,-0.00033179+0.0010261i,-0.00017213+0.00048087i,-0.00039463-0.00023384i,-0.00016552+0.00021322i,-0.00015204+0.00075517i,0.00032879+0.00058445i,0.00050177+0.00025815i,1.6807e-05-0.00076221i,-0.00047279-0.0010177i,-0.00036783-0.00033191i,-0.00013279+0.00020834i,-5.4324e-05+0.0002616i,-4.7078e-06+0.00081212i,0.00016504+0.001561i,-0.00029533+0.00030591i,-0.00064479-0.00076631i,-2.4566e-05-0.0003641i,0.00013979-4.1556e-06i,0.00010089+0.00024062i
0.0010286-0.00098975i,0.00050291-0.0018258i,-0.00035427-0.002635i,-0.00052592-0.0023581i,-0.00024602-0.0016696i,0.00028166-0.00056682i,0.00030249+0.00071223i,-0.00075451+0.00055729i,-0.00061025-2.4415e-05i,0.00072115-0.00027775i,0.0011111-0.00048926i,0.00037616-0.0011065i,-9.357e-06-0.00070032i,0.00096509+0.00070463i,0.0015824+0.001042i,0.0010006+0.00014034i,7.5584e-05+0.00047598i,-7.9694e-05+0.00054391i,-0.00025529-0.00013263i,-0.00071931-8.0343e-05i,-0.00070962-0.00042116i,0.00015083-0.00058106i,0.00097913-0.00028809i
-0.00049391+0.0018118i,0.0005282+0.0011398i,0.0012719+0.001975i,0.0013483+0.0012846i,0.00037101+4.9706e-05i,-0.00050289-0.0004892i,-0.00023668-0.00081258i,-1.5551e-05-0.00029883i,0.00023452+0.00049334i,0.00077485+0.00061422i,0.0006831+0.00040196i,-6.9508e-05-0.00074717i,-0.00029022-0.00090056i,0.00090869+0.00035054i,0.00090784-4.3832e-05i,0.00011353-0.00073218i,-8.7531e-05+7.9541e-05i,-0.00033853+0.00038682i,-2.8562e-06-2.0755e-05i,0.00029858+8.0482e-06i,0.00017662+0.00051993i,0.00027463+0.00035932i,9.1554e-05+7.4934e-05i
0.0020795-0.0006055i,0.00089359-0.0011471i,9.775e-05-0.002641i,-0.00059515-0.003082i,-0.00068752-0.0016968i,-0.00048579-0.00031469i,-0.00040789-1.3393e-05i,3.7294e-05-0.00033638i,0.001232-1.1902e-05i,0.00067261+0.00090028i,-0.00056495+0.00090391i,-0.00043913-5.7897e-05i,-0.000421+0.00015276i,-0.00066751+0.00052483i,-0.00056542+0.0003621i,-0.00065687+0.00011661i,9.7217e-05+7.7299e-06i,0.00017822+0.00079348i,-0.00014901+0.0012447i,-0.00020755+0.00052064i,-0.0011643+0.00017958i,-0.0010478-0.00027273i,0.00027919-0.00038617i
-0.0016067-2.3535e-05i,-0.00079661-0.00018032i,0.00058485+0.00032755i,0.0018219+0.00068781i,0.0032709+0.00056693i,0.0035522+0.00024508i,0.0021804+0.0003434i,0.00068538+0.00048346i,-0.00031692+0.00075496i,-0.00034417+0.00054576i,-0.00024278-0.00025051i,-0.0014482-0.0010271i,-0.0013492-0.0005046i,-0.00068237+0.00017484i,-0.00061764-0.00028565i,-0.00059726-0.00057076i,-0.00080864-0.00028526i,-0.0007072+0.00033888i,-0.00027356+0.0003195i,0.00034629-3.0285e-05i,0.00074345-0.0001945i,-2.8402e-05-0.00059374i,-0.0013676-0.0004457i
-0.00083024+0.0018764i,6.3966e-05+0.00088483i,1.0604e-05+0.0014257i,8.2375e-05+0.0021557i,0.00084857+0.0023427i,0.00081182+0.0011947i,-1.0578e-05-0.00032592i,-0.00060867-0.0012981i,0.00013954-0.00063792i,0.00037591+0.00057388i,-0.00029167+0.0004326i,-0.00056609-0.00010892i,-0.00027346+0.00050026i,-0.00014326+0.00097738i,0.00021638+0.00070025i,0.00026578+0.00030852i,-2.6927e-05-0.00014503i,-0.00027635-0.00021595i,0.00011827-0.00052026i,0.00042399-0.00022152i,0.00056594+0.00047154i,0.00030148+0.00065959i,-0.00039893+2.9537e-05i
0.0010024-0.00084045i,0.00021544-0.00070811i,-0.00040839-0.0011129i,-0.00030061-0.0016878i,-0.00034553-0.001265i,-0.00012111-0.00052182i,0.00061053-0.00055296i,0.0010965-0.00073638i,0.00081903-0.00033529i,0.00035927-0.00050765i,0.00063695-0.00024324i,0.00075807+0.00090007i,0.00045104+0.0011404i,0.00073101+0.001079i,0.0010579+0.0015527i,0.00093176+0.0012737i,0.00073984+0.00048047i,1.0318e-05+0.00014126i,-0.00068064+0.00021358i,-0.00056596+0.00032225i,-8.5053e-05+0.00069029i,1.8942e-05+0.00071139i,-0.00032285+3.1554e-05i
0.00013116-0.00025265i,-0.00067297+0.0010375i,-0.00090458+0.0013758i,-0.00052187+0.0014889i,-0.00075053+0.0015468i,-0.00073654+0.00087815i,0.00047745+0.00083134i,0.00065916+0.0010139i,0.00038392+0.00059379i,0.00069358+0.0001259i,0.00052409-0.00025361i,-1.2285e-05-0.00067245i,-0.00016259-0.00048023i,-0.00010123-0.00013163i,0.00011302+2.4891e-05i,0.00041238+0.00073202i,0.00044477+0.00092366i,-0.00012472+0.00036637i,-0.00015696+0.00031765i,0.00053081+0.00028147i,0.00050845+4.8637e-05i,-0.00011949+0.00029123i,-0.00015163+0.00033549i
-0.0011975-0.0018678i,-0.0023239-0.00043515i,-0.0034332-7.8779e-05i,-0.0023821+0.0005699i,-0.00049473+0.0011764i,0.0015927+0.00098383i,0.0024913+0.00045507i,0.0015907-3.8282e-05i,0.00059735-0.00027135i,0.00042838-5.744e-05i,0.00049077+0.00022026i,0.00047522+0.00053062i,0.00066869+0.00052518i,0.001432+0.00020264i,0.0019401-0.000711i,0.0011693-0.0013546i,-7.0865e-05-0.0012571i,-0.0010375-0.00056865i,-0.00076135-0.00041757i,0.00034711-8.419e-05i,0.0011009+0.00014706i,0.00094018+6.6698e-05i,0.00023728-0.00010297i
0.0016707+0.0014687i,0.0014699+9.6744e-05i,0.00096882-0.0012215i,-0.00017809-0.0023081i,5.325e-05-0.0020132i,-0.00012619-0.0010679i,-0.00021449-0.00057254i,0.00021662+5.4711e-05i,0.00023898-0.00045455i,6.6195e-05-0.0012592i,-0.00077282-0.0011385i,-0.0010021-0.00076992i,-0.000793-3.4706e-05i,-0.00066261+9.7397e-05i,-0.00053524+0.00021798i,-8.1199e-05+6.2189e-05i,0.00023933-0.00053218i,-0.00017392-0.00081925i,-0.0010108-0.0007812i,-0.00083397-0.00074764i,-0.00050794-0.00061611i,-0.00033057-0.00061982i,-0.00024755-0.00058038i
0.0017736+0.00060978i,0.0011657-0.00020916i,0.0013649-0.00047714i,0.00181-0.00076622i,0.0010245-0.00084839i,0.00076416-0.0010305i,0.00050397-0.00078805i,9.9776e-05-0.0002283i,-0.00020809-0.00041123i,-0.00020554-0.00015516i,-0.00024379+0.00039515i,-0.00071597+0.00018242i,-0.00050315+0.00024397i,0.00015917+0.00075717i,0.00058835+0.00044544i,0.00060274+0.0004667i,0.00026012+0.00037974i,0.00020095+0.00015408i,0.00019099+3.1759e-05i,-0.00045107-0.00036617i,-0.00042908-0.00022944i,0.00052795+0.00013204i,0.0008065-3.0184e-05i
0.00057838+0.0014092i,0.00051824+0.0017012i,0.00073762+0.00053615i,0.001277-0.00023743i,0.0014388-0.00093559i,0.0013856-0.0005017i,0.0010191+0.00012713i,0.00049027+0.00011204i,0.00017686+0.00083968i,0.00067735+0.00041837i,0.00054395+1.6608e-05i,0.0001432-9.0708e-05i,0.00030065-0.00082485i,0.00032316-0.00029438i,3.787e-05-0.00016626i,0.0001913-0.00037006i,0.00021976+0.00044832i,-0.00076155+0.0007251i,-0.0010625+0.00012631i,-1.0893e-05-0.0004453i,0.00066077-0.00051596i,-5.5364e-05-0.00046647i,-0.00035459-0.0007742i
-0.00012642+0.0018198i,0.00039452+0.001336i,0.0007296+0.0010163i,0.00085984+0.00085566i,0.00092018+0.00095294i,0.00081511+0.00069146i,0.00070552-0.00016353i,0.0004931+0.00019146i,0.00028467+0.00054894i,0.00013811+0.0007303i,-2.0154e-05+0.00010542i,-0.00059818-0.0005622i,-0.00085146-4.9953e-05i,-0.00050036-0.00046519i,0.00017617-0.00087116i,0.0005882-0.00038694i,0.00043422+0.00013246i,0.00018206+0.00047068i,-0.00014821+0.00042288i,-0.00012535+0.00058973i,0.0006488+0.00041131i,6.5753e-05+0.00030557i,-0.00026498+0.00055572i
0.00092039+9.5946e-05i,0.00065636-0.00073174i,0.00054449-0.0008418i,-0.00023626-0.00092749i,-0.00067487-0.00087664i,0.00054479-0.00071063i,0.0016611-0.0001733i,0.0011188+0.00034976i,-9.4846e-05+8.2214e-05i,-0.00033369+3.587e-05i,3.7172e-05+0.00048537i,0.0001433+0.00090198i,0.00038554+0.00039599i,0.0010403-0.00041625i,0.00064199-0.00033497i,-0.00026578-0.00050229i,-0.00072394-0.00059044i,-0.00043898-0.00070414i,3.8796e-05-4.9943e-05i,4.1424e-05+0.00033735i,0.00020716+9.2524e-05i,0.00031788+0.0001132i,0.00018973+1.1446e-05i
0.0015433+0.0013639i,0.0011987+0.00046716i,0.0010014-0.00083471i,0.0012094-0.001743i,0.00092977-0.0012186i,-0.00048977-0.00124i,2.7294e-05-0.00083123i,0.0010686+0.00028102i,0.000666+0.00019264i,0.00053408+1.6752e-06i,0.00078432+0.00042292i,0.0002544+0.00046387i,0.00027584+0.00037902i,0.0010561-0.0001694i,0.00077777-0.00040186i,9.5671e-05+2.9601e-05i,-0.00064286+0.0005059i,-0.0009345+0.00014012i,-0.00072458-0.00050968i,-0.00015278-0.00077466i,-6.9717e-05-0.00024157i,-0.00054994-0.00022544i,-0.00065905-0.00095556i
-0.00026317-0.00098796i,-0.00021084-0.0028541i,0.00041097-0.0021732i,0.00061676+0.00031832i,0.0012877+0.0010088i,0.001419+0.00070286i,0.00041727+0.00018128i,-0.00035051-0.00046241i,-0.00035991-0.00031566i,0.0002203-0.00041845i,0.00024305-0.00064649i,-1.9522e-05-0.00018983i,0.00017757+0.00066558i,0.00026998+0.00074942i,0.00013112+0.00031727i,-0.00030938+0.00030391i,-0.0007949+0.00035316i,-0.0011772+6.0337e-05i,-0.00085848+0.00026671i,-0.00012483+0.00069402i,0.00014835+0.00087634i,-4.4092e-05+0.00049969i,-1.1608e-05+8.0916e-05i
-0.00019422+0.00087103i,0.00030581+0.00064011i,0.0010312+0.00045621i,0.0018231-8.3842e-05i,0.0017686-0.00021183i,0.00094915-0.0010771i,6.4245e-05-0.0011042i,-0.00081179-0.00052649i,-0.0011522+0.00026949i,-0.00057331+0.0012005i,0.0002187+0.00073131i,0.00016586+0.00017507i,-0.0005318-0.00053421i,-0.00081508-0.00091063i,-0.00029852-0.00072489i,-0.00022435-5.9416e-05i,-0.00030762+0.00024917i,-0.0002795+0.00020807i,-0.00048292-0.00042451i,-0.00051412-0.0005816i,-0.00052846-0.00024916i,-0.00048541-0.00031218i,-0.00056066-0.00037262i
0.00045797-0.00083784i,0.001281-0.00050652i,0.0008123+0.00074061i,0.00016128+0.0014435i,-0.00021538+0.00094825i,-0.00064433+0.0008314i,7.9204e-05+0.00051447i,0.00016636+0.00023483i,9.5175e-05+0.0001447i,0.00044536+0.00045242i,0.00040415+0.00096443i,8.9462e-05+0.00066298i,-5.8566e-05+0.00027713i,-0.00037187+0.00011752i,-0.00032362-0.00012011i,0.00016368-0.000289i,0.00037585-0.00047825i,-5.9794e-05-0.0003597i,-0.00088478-0.00018248i,-0.0006591-3.3834e-05i,0.00039906+0.00025491i,0.0003259+0.00047764i,0.00015751+0.0003826i
5.5076e-05-0.0020333i,0.00037591-0.0014995i,-0.00014496-0.0019891i,-0.0007707-0.00099885i,-0.0010692+0.00084821i,-0.00030422+0.00065493i,0.0010426-0.00012354i,0.0011466-0.00017544i,0.00013294-0.0002192i,-0.00017983-0.00010097i,-0.00043789+0.00055835i,-0.00025142+0.00096253i,0.00056784+0.00079617i,0.00080899+0.00033511i,0.0005694+0.00011879i,0.00048529+0.00015526i,0.00027752-0.00014623i,0.00015745+0.00012021i,0.00016182+0.00082238i,0.00067114+0.00084059i,0.0005614+0.00047232i,-0.00047816+0.00059061i,-0.0003181+0.00043006i
0.00024288-0.0011076i,-0.00047681-0.00093154i,-0.00088113-0.0014063i,-0.00043936-0.0013164i,-3.4354e-05-0.00036873i,0.00046777+0.00056925i,0.00083552+0.0004978i,0.00062088-3.4052e-06i,0.00046289-0.00073342i,0.00084967-0.00036234i,0.00082791+0.00064441i,0.0001271+0.00057134i,6.4163e-05-0.00013468i,0.00092743-0.0011007i,0.00056302-0.00094335i,-0.00072989-0.00040181i,-0.00049948-0.00058156i,-0.00027595-3.6892e-05i,-0.000213+0.00050486i,0.00082535+0.00034668i,0.00081867+0.0007312i,6.7819e-05+0.00084703i,7.549e-05+0.00050873i
-0.00089616-0.0002717i,-0.0010408+0.00060205i,-0.0012902+0.0011592i,-0.00060447+0.00098172i,0.00045799+0.00085036i,0.00066541+0.00025852i,0.00039029-0.00018927i,0.00027025-0.00089364i,4.7395e-05-0.0011305i,-0.00017643-0.00033314i,-2.5706e-06-6.0038e-05i,0.00036917-0.00049958i,9.246e-05-0.00077524i,0.00012124-0.00014511i,-8.2031e-05+0.00048425i,-0.00037421+0.00031102i,-0.00072292+2.3199e-05i,-0.0013373-0.00032769i,-0.0013102+1.6967e-05i,-0.00064238+0.00088831i,-6.773e-05+0.00077718i,-0.00019664-2.4726e-05i,-2.3265e-05-0.0005744i
0.00076999-0.0011183i,0.00062976-0.0018829i,-0.00054642-0.0028902i,-0.0020758-0.0018041i,-0.0025953-0.00051418i,-0.0020035+0.00044108i,4.5457e-05+0.00088589i,0.0014577+0.00072243i,0.0011735+0.00016827i,0.00065366-0.0003837i,0.00032498-7.3992e-05i,-0.00017249+0.0005179i,-7.5468e-05+0.00083167i,0.00047732+0.00053858i,0.00022859+0.00010057i,-1.3152e-05-0.00054536i,-0.00017715-0.00013141i,-0.00024621+0.00064481i,-0.00060734+0.00015951i,-0.00074055-0.00051083i,-0.00050262-0.0010922i,-0.00059566-0.00057364i,-0.00074408+8.0345e-05i
0.00014371+0.00051647i,-0.00059054+0.00017398i,-0.00021736+0.0003373i,0.0012112+0.0013176i,0.0019426+0.00049451i,0.0012951-0.0012176i,0.00055208-0.0013682i,0.00026185-0.00069374i,0.00014374+0.00014148i,-0.00018218+0.00023662i,-0.00036776-0.00016947i,-0.00043821-0.00021312i,-0.00049182+0.00032397i,-8.3709e-05-1.1301e-05i,0.00046042-0.00068992i,0.00086828-0.0010223i,0.00058286-0.00057519i,1.3218e-05+0.0002108i,-0.00015498+0.00020778i,7.3068e-05-0.00010992i,-0.00026972-0.00048819i,4.06e-05-4.8509e-05i,0.00081243+0.0010279i
-1.8752e-05-0.0016892i,0.00097866-0.0022072i,0.00024355-0.0026274i,-0.00049302-0.0018241i,-0.0012057-0.00052525i,-0.0011374+8.0483e-05i,8.3726e-05-0.00015915i,-0.00018157-0.00014162i,-0.00013808+0.00034131i,0.00052267+0.00025975i,0.0005615-6.077e-05i,0.00080959+0.00033569i,0.00070145+0.00047707i,0.00017044-5.4364e-05i,0.00020076-0.00088964i,-7.6727e-05-0.00095151i,0.00015638-3.1414e-05i,0.00078942+0.00068986i,0.00077542+0.00080765i,0.00053889+0.00067742i,0.00013521+0.00070949i,-9.6677e-05+0.00059448i,-0.00030751+0.00026711i
0.00023488+0.0013521i,0.00025482+0.0019462i,0.00096548+0.0016983i,0.0013927+0.00099003i,0.0014513+0.00092989i,0.00063088+0.00096757i,-0.00039005+0.00037102i,-2.4255e-05-0.00058173i,0.000477-6.0676e-05i,0.00025685+0.00063968i,0.0001527+0.00057283i,-3.0765e-05+0.00041394i,-0.00043922+0.00031656i,-0.00087793+0.00031135i,-0.00092146+0.00025458i,0.0001302+0.00026615i,0.00085241-0.00023103i,0.00055464-0.00045855i,0.0011805+0.00046654i,0.0014593+0.00052661i,0.00053331-0.00030168i,-0.00062875-0.00061657i,-0.0011199-0.00025083i
-0.0012243-0.0011479i,-0.00067212-0.00070288i,-0.00088071-0.001182i,-0.0017197-0.00083381i,-0.0004179-0.00024313i,0.0013428-0.00010814i,0.00061653-0.00041392i,-0.00016482-0.00020356i,-0.00012916+0.00059485i,0.00052515+0.00019031i,0.0005223-0.00079972i,-0.00016595-0.00085358i,0.00029652+2.4368e-05i,0.00043304+8.7636e-05i,0.00041879+7.6131e-05i,-0.00012034+0.00048382i,-0.00095799+0.00036662i,-0.0010449+0.00030091i,-0.00066-0.00017795i,-0.0012452-0.00051709i,-0.0012212-0.00044564i,-2.6095e-06-0.00057345i,0.00035992-0.00065077i
-0.00041531-0.00092017i,-0.00057233-0.00082106i,-0.00036656-0.00062483i,0.0005197-0.00064217i,0.00098412-0.00012423i,0.0012536+0.00094852i,0.0018437+0.0009841i,0.0021301+0.00043387i,0.0013088+0.00026996i,0.0011801+0.00030019i,0.00061436-5.7202e-05i,-0.00074478-3.8739e-05i,-0.00010241+0.0004173i,0.0010516+0.00051116i,0.00078998+0.00029965i,3.4471e-05-0.0002395i,-0.00095107-0.00037174i,-0.00089598-0.00023715i,1.4672e-05-0.00025526i,0.00034355-0.00013742i,0.0003199-6.9102e-05i,0.00022367+0.0002253i,1.7512e-05+0.00061192i
0.00066977+0.00038695i,-2.8428e-05-0.00082316i,0.00057469-0.0015668i,0.00055715-0.001994i,7.9157e-05-0.002205i,0.0001996-0.0016111i,-0.00018357-0.00021663i,-0.00039166-0.00031789i,0.00020636-0.0013203i,0.00030981-0.001228i,0.00025302-0.00072842i,0.00088966-0.00028482i,0.0010308+0.00022313i,9.7351e-05-0.00028965i,-5.5504e-05-0.0012211i,0.00041741-0.0010739i,-0.00040201-0.00054469i,-0.0010101+5.6458e-05i,-0.00063405+0.00014177i,-0.00048424+0.0001909i,-0.00075645+0.00060563i,-0.00085427+1.5504e-05i,-0.00051313-0.00043456i
0.0036526-0.00012515i,0.0013382-0.0013122i,-0.00026197-0.0034563i,-0.0008146-0.0037735i,-0.0010149-0.0028858i,-0.0011848-0.0016762i,-0.00071487-0.00018373i,2.365e-05+0.00049478i,0.00091359-7.3196e-05i,0.00069696-0.00057434i,-0.00047803-0.00074056i,-0.00024034-0.00020995i,0.0004135+0.00032713i,0.00064883+8.9154e-05i,0.0011496+0.00016164i,0.00095423+0.00048922i,0.0001223+0.00040492i,6.5689e-06+0.000396i,-0.00012644+0.00027784i,-0.00056925-0.00010793i,-0.00014534-6.1318e-05i,0.00015411+0.0006589i,-0.00052705+0.00062147i
0.00060134+0.0002305i,0.00050477-0.00076904i,0.00028714-0.0010427i,0.00036825-0.00052821i,0.00043825+0.00049883i,0.00023488+0.0013296i,0.00055585+0.0014062i,0.00076896+0.00050761i,0.00026341-0.00043501i,0.00011333-0.00086252i,-0.00054795-0.00089084i,-0.0013743-0.00060088i,-0.00066235-1.6663e-05i,-0.00020486+0.00070532i,-0.00067095+0.00096923i,-6.059e-05+0.00068159i,0.0010756+0.00061743i,0.00070209+0.00049195i,-0.00034365+0.00056332i,-0.00022571+0.00021832i,0.0010095-0.00058318i,0.0012163-0.00026772i,1.2814e-05-0.00041693i
-0.0015103-0.00032592i,-0.0020482-0.00092021i,-0.0019633-0.0010237i,-0.0011406-8.9144e-05i,9.226e-05+0.00024062i,0.0011586-0.00051614i,0.00063043-0.001439i,-0.00018787-0.0013203i,-0.0002277-0.00015916i,-0.00030426+0.00052908i,-0.00012208+0.0004438i,-0.00032491-0.00024248i,-0.00016895-5.9584e-05i,0.00042574+0.0004067i,0.00066339+0.00041691i,0.0008746+0.0004583i,0.00074905+0.00053352i,0.00015769-0.00031726i,-0.00035365-0.0012713i,-0.0007348-0.0014026i,-0.00019831-0.0010466i,9.0195e-05+1.8956e-06i,-0.00040156+0.00060443i
0.00070482+0.0013656i,0.0019172+0.0012749i,0.0024292+0.00064103i,0.0016806+0.00050415i,0.00099118+0.00053413i,4.1638e-05-4.4311e-05i,-0.00014616-0.0007649i,-0.00037238-0.00040868i,-0.00011621+0.00095617i,0.0011399+0.0004869i,0.0012088-0.00096042i,0.0003894-0.00095953i,0.00022087-0.00086877i,0.00035277-0.00018504i,0.00012984+0.00043505i,-9.5528e-05+0.00014141i,-0.00058098+4.3911e-05i,-0.00074533+1.5377e-06i,-0.00089839-0.00057019i,-0.0011101-0.00080236i,-0.000668-0.00027204i,-0.00015496+0.00025522i,3.3032e-05+0.00045471i
-0.0011403+0.0004113i,-0.0014503-0.00078415i,-0.0016607-0.00059844i,-0.000503+0.00105i,0.0001331+0.0016043i,0.00069761+0.001117i,0.00054637+0.00011901i,-0.00022291+0.00026807i,-0.00034269+0.00074638i,0.000134+0.00067987i,0.00044298+0.0003929i,0.00030636+0.00013156i,0.00037297-0.00022063i,0.00033917-0.00092989i,-0.00028053-0.00099147i,-0.0007308-0.00072606i,-7.3848e-05-0.00043195i,0.00018646+0.00011258i,-0.00066981+0.00034372i,-0.001003+0.0001429i,-0.00061652+0.0001415i,-0.00015012+0.00077028i,5.9948e-05+0.0010527i
