4.8959e-05+0.00026527i,0.0007531+0.00029365i,0.0012661-0.0016616i,0.00032025-0.0025453i,-0.00098519-0.0011758i,-0.0015356+0.00035719i,-0.00082552+0.001485i,0.00013222+0.0017782i,0.0007166+0.00086682i,0.00084792-0.0001044i,0.0005007+7.763e-05i,-5.7324e-05+0.00076927i,3.9986e-05+0.00069091i,-8.7086e-05+0.00053741i,-0.00067639+0.00034958i,-0.0010793+0.00012997i,-0.00093049-6.4812e-05i,-0.00046141-2.3962e-05i,0.00024308-3.7937e-05i,0.00018521+0.00012864i,0.00021816+0.00035384i,0.00040761+0.00024691i,3.7831e-05+0.00034475i
0.00057759-0.00022115i,0.0012969-0.00011513i,0.0023593-0.00025564i,0.001503-7.6956e-05i,-2.1318e-05-0.00050718i,-0.00072876-0.00089723i,-0.0013788-0.00011674i,-0.0014174+0.000324i,-0.0010206+0.00028967i,0.00019119+0.00060002i,0.0013143+0.00083113i,0.00052565+9.8048e-05i,-0.00010533-0.00090588i,0.00011864-0.001212i,-0.00025169-0.00095161i,-0.00028423-0.00043628i,0.00047916-0.00017489i,0.00085102+6.5942e-05i,0.00044338+0.00050099i,0.00038781+0.00053967i,0.00076976+5.7067e-05i,-0.00017354+0.00011077i,-0.00053975+0.00016075i
0.00016171+0.00030859i,-0.00084725+0.00023814i,0.00049736+0.00050377i,0.0019544+0.00025293i,0.0013088+0.00036067i,-0.00054124+0.0011182i,-0.0013185+0.0017451i,-0.00052627+0.0018289i,-0.00020546+0.0016811i,-0.0004756+0.00087131i,-6.6833e-05+0.00020455i,0.00017559+0.00018026i,0.00041126+0.00056186i,0.0004304+0.00072078i,-0.00018099+0.00030818i,-0.00086061-7.7761e-05i,-0.00091969-0.00039887i,-0.00041275+2.4075e-05i,7.0999e-05+0.00020756i,0.00041826-0.00015723i,0.00024629-0.00023579i,-0.00015698-0.00042063i,-0.00018897-0.00060505i
0.0021038+7.002e-05i,0.0024093-0.00068836i,0.0011817-0.0016748i,-0.00017246-0.0012267i,-0.001015-0.00026776i,-0.0016611+0.00017593i,-0.0020553+0.00081915i,-0.0019737+0.0010034i,-0.00086155+0.00032002i,0.00047125-0.00019575i,0.00063334-0.00032346i,0.00035099+0.00033203i,-0.00019962+0.00064203i,-0.00039906+0.00025892i,-0.0002348-0.00014721i,-0.00010619-0.00053813i,-0.00057738-6.3108e-05i,-0.00036611-5.0743e-05i,0.00044673-0.00041015i,-2.4875e-05-0.00057989i,-0.00048523-0.00083297i,-0.00010492-0.00138i,0.00056061-0.0012231i
0.0009837+0.00053273i,0.0016408+0.00056639i,0.0024416-0.00016443i,0.0013141-0.0003659i,-0.00046522+0.00027392i,-0.0021595+0.0009722i,-0.0028421+0.00087403i,-0.0022382+0.00059547i,-0.0013516-0.00011908i,-0.00033851-0.00058056i,-2.9753e-05-0.00042323i,2.2174e-05-3.1888e-05i,-0.00055348-0.00012567i,-0.00097027-0.0008176i,-0.00025007-0.0007411i,0.00016126-0.00015691i,-0.000123-0.00066342i,0.00021422-0.00042448i,0.00023458+0.00050093i,-0.00060118+0.000439i,-0.00033324+0.00041907i,0.00078177+0.00079254i,0.0012381+0.00033187i
8.2625e-05+0.0013494i,3.398e-05+0.0010961i,-0.0001757+0.0012142i,-0.00086445+0.0011842i,-0.00091805+0.00076818i,-0.00044027+0.0010479i,-0.00062474+0.00057089i,-0.00044611-0.00030807i,-0.00055103+0.00011294i,-0.00058857+0.00051606i,-0.00054693-6.5755e-05i,-0.00080024-0.0003758i,-0.00018176+0.0002101i,0.00060293+0.00017744i,0.00059306-0.00027152i,0.0012156-0.00016282i,0.0010856-6.8164e-05i,0.00036166-0.00024187i,-2.4123e-05+5.4097e-05i,-8.6757e-05+0.00030213i,-0.00040461+5.3783e-06i,0.00016337+0.00014859i,0.00068812+0.00052006i
-0.0011301+0.0010712i,-0.00077547+0.0014366i,-0.00096274+0.00010189i,-0.00028735-0.00022464i,-0.00021173+0.0014647i,-0.00078909+0.0023407i,-0.00046832+0.0010089i,-0.00035623+4.0194e-05i,-0.00045273+0.00028608i,-0.00037268+0.0010814i,4.2053e-05+0.0010893i,0.00010565+0.00047582i,-0.00020672+0.00020074i,-0.0001073+5.7855e-05i,5.1203e-07+0.00025869i,0.00037783-0.00026506i,-3.3125e-05-0.00096463i,-0.00054822-0.0010703i,3.7242e-05-0.00049826i,-5.5111e-05-0.00028725i,-0.00027663-0.00039809i,0.00027391-0.00032925i,1.4195e-05-0.00072288i
0.00065225+0.00051886i,0.00020176+0.00067213i,0.00068038+0.00033441i,0.00085232+0.00073916i,9.5219e-05+0.0012127i,0.00012766+0.0010224i,0.00016602+0.000391i,-0.00022464+2.601e-05i,-0.00018204-0.00030068i,-9.5367e-05-0.00053027i,-0.00032751-6.2949e-05i,-0.00028646+0.0008555i,0.00043688+0.0011281i,0.00055834+0.00046114i,0.0006828-0.00035308i,0.00015786-0.0011108i,-0.0011003-0.001474i,-0.0010931-0.0014565i,-0.0005437-0.00092385i,0.00016244-0.00033752i,0.00079769-0.00035808i,0.00043759-0.00076479i,-0.00025997-0.00056835i
0.00067811-0.00040736i,0.00017033-0.0011483i,-0.00090061-0.0011528i,-0.00078754+1.565e-05i,-0.00066739+0.00069803i,-0.0011536+0.00061982i,-0.0008524+0.0004325i,0.00018426+1.7886e-05i,-3.3582e-06+0.0001224i,-0.00071645+0.00094216i,0.00019976+0.0010655i,0.00079268+0.000919i,-0.00019744+0.0007856i,-0.00013975+0.00031303i,0.00018388-0.00037684i,0.00030214-0.00055778i,0.00066247-0.000135i,0.00021747+0.00025267i,-0.00022206-0.0001011i,-0.00039167-0.00084081i,-0.00046312-0.00063081i,0.00022434-0.00055607i,0.00016039-0.00013857i
-0.0012548-0.00050005i,5.8766e-05-0.0011931i,-0.00010025-0.0012981i,2.7039e-05-0.00045511i,-2.2617e-05+0.0007531i,0.00037811+0.0013755i,0.00040124+0.00053838i,-0.00065704+0.00011844i,-0.0011987+0.00081404i,-0.00012017+0.0013419i,0.00064763+0.0017716i,0.00076897+0.0011786i,0.0010115+0.00061242i,0.00060466+6.618e-05i,-0.00025956-0.00083784i,-0.00080814-0.0012045i,-0.00038967-0.0013336i,0.00022419-0.0012678i,0.00024824-8.4461e-06i,-0.00075292+0.00063732i,-0.0012191-0.00031616i,-4.7289e-05-0.0012161i,0.000829-0.0010353i
-0.00072897+0.00070477i,-5.4889e-05+0.0013986i,1.3934e-05+0.0011689i,-3.4295e-05+0.00072903i,-0.00011563+0.00033343i,-0.00080772+0.0007873i,-0.0011705+0.00058352i,-0.0011288+0.00013499i,-0.0012217+2.2566e-05i,-0.0013693+0.00029875i,-0.00059216+0.000742i,0.00023197-2.0172e-05i,0.0001531-0.00078345i,-0.00043491-0.00052328i,0.00011637-0.00045205i,0.00097207-0.00058552i,0.00040614-0.00047176i,0.0001244-0.00023476i,0.00051958-0.0004833i,0.00094394-0.0010949i,0.00048735-0.001108i,0.00089343-0.00026253i,0.001213+0.00031454i
6.7536e-07+0.00019883i,-0.000785+0.0012545i,-0.0011374+0.00070249i,-0.00076881-0.00043412i,-0.00022221-0.00019253i,-0.00044011+0.00032798i,-0.0013011+0.00033499i,-0.0011462+0.00019687i,-0.00082316+0.000296i,-0.00053246+0.00055732i,-0.00021993+0.00089888i,-1.4083e-05+0.00086327i,0.00087469+0.0001959i,0.001147-0.00027356i,0.00061417-0.00091854i,0.00026896-0.0010081i,0.00014167-0.0010603i,0.00048839-0.0010677i,0.00039377-0.00030008i,0.00063213+0.00013956i,0.00022795+0.00061586i,-0.00036738+0.00086672i,-0.00081318+0.0010265i
0.000918+9.386e-05i,0.00041914-0.00065659i,0.00045528-0.0017604i,0.00027814-0.0011435i,-0.00053995-0.00076257i,-0.0015186-0.00046612i,-0.0015387+0.00031736i,-0.0010066+0.00040573i,-0.00026557+0.00038877i,2.1238e-05+4.4744e-05i,0.00038295-0.00056335i,0.00021589+3.4009e-05i,-0.00045696+0.00063182i,-6.4776e-05+0.00043779i,0.00061443+0.00026133i,0.001027+0.00018577i,0.00079464-0.0005124i,0.00015145-0.0010375i,-0.00010771-0.00072264i,-6.5742e-05-0.00015354i,0.00041223+0.00016122i,0.00015313+0.00083524i,-0.00022151+0.00084201i
-0.0012878+0.00095075i,-0.00042456+0.0006335i,-7.7367e-06+0.00061527i,-0.00025454+0.00041254i,-0.00031886+0.00054249i,0.00010402+0.00077624i,3.8365e-05+0.00072613i,1.8243e-05+0.00026832i,-0.0001675-0.00036648i,0.00020738-9.3254e-05i,0.0005403+0.00021308i,0.00016024-0.00040114i,-3.0234e-05-0.00075896i,0.0002904-0.00068804i,0.00076006-0.00032742i,0.0002548+0.00011505i,0.00034563+0.00013453i,0.00041855-1.4163e-05i,-7.7309e-05-0.00011572i,0.00044878-0.00023928i,0.00078151-0.00025432i,0.00057527+0.00030659i,0.0001081+0.00043234i
0.0005755-0.0013398i,-0.00010865-0.0010878i,-0.0009198-0.0011094i,-0.0014723-0.00083074i,-0.0018364+0.00033029i,-0.0010452+0.0013586i,-0.00058384+0.001583i,-0.0013527+0.00071561i,-0.00087705+0.00013107i,8.6126e-05+0.00062888i,0.000245+0.0015332i,0.00031003+0.001326i,-0.00015+0.0010821i,-0.00064178+0.00021428i,-0.00051815-0.0010903i,-0.0003039-0.0011809i,-0.00051805-0.00039711i,2.138e-05+0.00072076i,0.00031467+0.00042354i,-0.00044489-0.00065933i,-0.00042538-0.00059703i,-0.00048459-0.00056484i,-0.00064913-0.0010116i
-0.00014006+0.00061217i,-0.00011856+0.00092138i,-0.00039492+0.00057539i,-0.00040465+0.00025185i,-0.0010784+0.00073742i,-0.0021669+0.00097547i,-0.0013631+0.00036651i,-0.0003999-7.587e-05i,-0.00062845+9.7309e-05i,-0.00098766+0.00046724i,-0.00017598+0.00057813i,0.00067833+0.0006512i,0.00017259+0.00015354i,-1.7002e-05-0.00078251i,6.0866e-05-0.0010101i,-5.6276e-05-0.0010199i,-0.00010516-0.00036077i,0.0001841+0.00024701i,0.0010238+0.00021918i,0.0015183-0.0001036i,0.0016428+0.00039278i,0.00094105+0.00099201i,-1.588e-05+0.0006636i
-0.0017056-0.00020227i,-0.00055634+0.00043123i,-0.00023403+0.0011617i,-0.00039194+0.0018742i,-3.9652e-05+0.0020346i,0.00064562+0.0016326i,0.00070967+0.0016842i,-0.00024723+0.00085607i,-0.00075795-0.00021703i,-0.00080684+0.00036381i,-0.00073532+0.00075938i,-0.00042896+0.00049292i,3.6458e-05+0.00032688i,-3.3198e-05-6.6041e-05i,-0.00016355-0.00020443i,-2.3845e-05-0.00015175i,1.115e-05-0.00032903i,5.9903e-05+0.00023809i,-0.00037645+0.00060875i,-0.00073621+0.00025673i,-0.00049901+0.00011083i,-7.52e-05-0.00049647i,7.7e-05-0.00017266i
0.00036064+0.001261i,0.00035778+0.00049319i,0.00020526+0.00083657i,-0.0008509+0.00020844i,-0.0015651-0.00049953i,-0.001188-0.0002162i,-0.00077562+6.1443e-05i,-0.0011563-0.00011512i,-0.00116+0.00037979i,-0.0014102+0.00096099i,-0.0010064+3.7544e-05i,-0.00030937-0.00089831i,0.00015438-0.0011047i,0.00043338-0.0010814i,0.0005241-0.00069519i,0.00032276+0.0001483i,-0.00030946-0.00023637i,-0.0007141-7.9325e-05i,-0.00055761+0.00085892i,-0.00035062+0.00088413i,-0.00040228+0.00041543i,-1.8994e-05+0.00016118i,0.0006744-4.3349e-05i
0.00055112-0.00027487i,0.0003672-0.00056548i,0.0003358+1.5936e-05i,0.00090017+0.00065853i,0.00069754+0.0011075i,0.00063745+0.0014836i,-1.3821e-05+0.0019137i,-0.00083141+0.0014665i,-0.00038285+0.00023377i,0.0002788-0.00075672i,5.5648e-06-0.00092831i,-0.00054048-0.00032766i,-0.00055246+0.00031936i,-0.00061072+0.00010736i,-0.0004565-0.00070605i,-3.6215e-05-0.0010705i,0.00055069-0.0014059i,0.00092678-0.0015103i,0.00042277-0.00075669i,-5.351e-05-0.00045427i,0.0002293-0.00049174i,0.00057482-0.00063404i,0.00067912-0.00010626i
0.0026531-8.1966e-05i,0.0011379+0.00042269i,-0.00025147-3.7918e-05i,-0.001584-9.9621e-05i,-0.0034997+0.00069397i,-0.0028526+0.0016078i,-0.0011026+0.0017936i,-0.00049551+0.00097109i,-7.7645e-05+0.00057806i,-7.2937e-05+0.00076829i,-0.00055881+0.00065653i,-0.00075598+0.0003213i,-0.00020268-0.00027795i,0.00027338-0.00048773i,0.0001504-0.0002508i,0.00052047-0.00078024i,0.0011354-0.0011131i,0.0011598-0.00039003i,0.0010703+0.00032817i,0.00039404+0.00014957i,-0.00071881-0.00030829i,-0.0012536-0.0001557i,-0.00063811+0.00020762i
-0.00052262+0.00098552i,-0.00056206+0.0016766i,-0.00044181+0.0012331i,-0.00081761+0.0010503i,-0.0013202+0.0005897i,-0.0016605-0.00035902i,-0.0010772-0.00010989i,-0.00033821+0.00081404i,-0.00039086+0.0004187i,-0.001202+0.00015178i,-0.00093462+0.00035836i,0.00034582-2.9383e-05i,7.6849e-05-0.00042653i,-0.00027235-0.0012598i,6.109e-05-0.0017364i,0.00046058-0.00095368i,0.00043645-0.00016925i,-7.8494e-05-0.00066539i,-0.00017492-0.00083632i,-6.2575e-05-0.00044293i,0.00030696-0.00024581i,0.0004256+0.00059338i,-3.9265e-05+0.00068628i
0.00038921-0.00073608i,0.0016281+0.00055431i,0.00079857+0.00033017i,-0.00041313+0.00020202i,-0.00092521+0.0010147i,-0.001463+0.0012188i,-0.0016646+0.00067525i,-0.00062628-0.00012438i,-1.3667e-05+0.0001358i,0.00015254+0.00093652i,0.00034584+0.00032449i,0.00058632-0.00036303i,-4.7269e-05-0.00024611i,-0.00044681-0.00027751i,-0.00043805-0.00064451i,-0.00073568-0.00043364i,8.894e-05-0.00012295i,0.00098865-0.00041919i,0.00071032-0.00046833i,-1.7527e-06+0.00028182i,-0.00016038+0.00065312i,-0.000138-0.00013645i,-0.00059692-0.00014626i
0.00050064+0.0020836i,-0.00027141+0.0019766i,0.00018171+0.0015574i,-0.00018067+0.0013373i,-0.00036976+0.0012659i,-0.00083311+0.0010957i,-0.0013756+0.00085833i,-0.0011623+0.00024814i,-0.0007818+3.3168e-05i,-0.00068055+0.00042871i,-0.00027898+0.00024054i,0.00020053-0.00018118i,0.00011681-0.00014557i,0.0001385+0.00047128i,0.00076797+0.00071863i,0.00096743+0.00081399i,0.00021616+0.00063139i,7.0933e-05-0.00043606i,-0.0003368-0.0002889i,-0.00085994+9.7931e-05i,-0.00043291-0.00027256i,0.00028318+1.2063e-05i,0.00051201+0.00012641i
-0.00081636-0.0013624i,-6.6771e-05-0.0012929i,-0.00057763-0.00077023i,-0.0011062+0.00051525i,-0.00093317+0.0013863i,-9.0208e-05+0.001165i,-0.00042202+0.00093931i,-0.0014337+0.00083126i,-0.001571+0.0006943i,-0.0010665+0.0008752i,-5.6713e-05+0.00098517i,0.00064635+3.7727e-05i,0.0011505-0.00085654i,0.0015632-4.3531e-05i,0.0012589-2.9858e-05i,0.00080178-0.00062671i,0.00066552-0.00016804i,0.00019985+0.00055752i,3.9321e-06+0.00047695i,0.00010904+7.4967e-05i,0.00013636-0.00042737i,-1.8233e-05-0.00053762i,-0.00028975-0.00074609i
-0.00058299+0.0019886i,-0.00017083+0.0019215i,0.00096552+0.0021125i,0.0010001+0.0014278i,0.00034023+0.00059856i,-0.00016287-0.00063229i,-0.00025169-0.00096631i,-0.00053245-0.00026137i,-0.00041307+0.00048512i,0.00030818+0.0011004i,0.00064803+0.0010583i,5.9117e-05+0.00059124i,-0.0005525+4.1805e-06i,7.0119e-05-0.00032373i,0.00060358-0.00010577i,0.00037052-3.4748e-05i,-0.00055436-0.00012493i,-0.00053555+0.00033248i,-0.00014824+0.00043306i,-0.00019451+0.00024969i,-0.00023952+0.00023212i,-0.00065388-0.00020462i,-0.0006084-8.712e-05i
-0.0013027-0.0003867i,0.00019323-8.2996e-05i,0.00016604+0.00061092i,-0.00099481+0.00036457i,-0.0022053+0.0011171i,-0.0019674+0.0016715i,-0.00078783+0.0010399i,-0.00048278+0.00052833i,-0.0011396+0.00028842i,-0.00082835+0.00076104i,3.8951e-05+0.0006933i,0.0003125+0.00024824i,0.00050983+0.0002604i,0.00090246+8.7204e-05i,0.00062151+3.5261e-05i,0.00022609+0.00029101i,0.00030474+0.00045131i,5.257e-05+0.00047849i,-8.419e-05+0.00025751i,0.00061574+0.0004882i,0.0010221+0.00044381i,0.00044504+7.5769e-05i,-0.00030921+9.0275e-05i
-0.00078762+0.00035117i,-0.0019381+2.2488e-05i,-0.001193+0.00029856i,-0.00081299-5.0895e-05i,-0.001004-0.000475i,-0.0020077-0.00024075i,-0.002444+2.464e-05i,-0.0018651-0.00048926i,-0.0010752-0.00060533i,-0.00058464-0.00065367i,-0.00025678-0.00047307i,0.00025479-0.00076179i,0.00046699-0.0011337i,0.00033644-0.00055877i,0.00019918-0.00016291i,-0.00016073-0.00010101i,1.0295e-05+0.00031077i,0.00013211+4.2332e-06i,0.00035221+7.2306e-05i,0.00024334-0.00022912i,0.00041065-0.0004121i,0.001097+0.0003643i,0.0008988+0.00013596i
0.00021306+0.00066722i,0.0014992+0.00059971i,0.001718+8.2674e-05i,0.0010377-0.00056118i,7.8124e-05-0.0003359i,-0.00094884-0.00046342i,-0.0014951+5.7519e-05i,-0.00084737+0.00013389i,-0.00044777-0.00036362i,-0.00038043-0.00052464i,0.00062479-0.00054707i,0.00037824-0.00084704i,-0.00060284-0.00040196i,-0.00014149+0.00011197i,0.00060699-8.7035e-05i,0.00043899-0.00024624i,-0.00011913-0.00041731i,-0.00052102-0.00059242i,-0.00059223-0.0011i,-0.00014723-0.00099436i,-0.00027733+0.00012041i,-0.00051095+0.000343i,-3.0419e-05+8.6719e-05i
0.00071455-0.00042855i,-1.5851e-05-2.6562e-05i,-4.4188e-05+0.00022958i,-0.00014477-0.00030189i,-0.00090708-0.00050741i,-0.0017046+0.00011621i,-0.0011723+0.00030829i,0.00029158+0.00071306i,0.00067343+0.00071477i,-0.00027765-4.4144e-05i,-0.00074198-0.0002338i,-0.00053238+0.00022266i,3.9072e-05+0.0010522i,6.9838e-05+0.00091394i,0.00040068-0.00014761i,0.0010137-0.00023938i,0.00083858+0.00020514i,0.00022942+0.00061926i,-0.00058167+0.00020294i,-0.0007821-0.00024011i,-0.00055005-0.00030392i,-0.00017963-0.00048869i,-5.4059e-06-0.00040304i
0.00054842+0.00074245i,0.00050393+0.00095099i,5.1454e-05+8.4576e-05i,0.00017041-0.00035236i,-0.00016719+0.00094149i,-0.0010162+0.00092755i,-0.0010784+0.00024847i,-0.000733+0.00036982i,-0.00012337-0.00020521i,0.00045451-0.00040629i,0.00050928+0.00027749i,-0.00012316-2.3828e-05i,-0.00044176-0.00075519i,0.00053168-0.00065347i,0.00078389+0.00019975i,0.00026717+0.00086232i,-0.00023042+0.00032275i,-0.00025059-0.00081154i,-4.7919e-05-0.00093002i,-0.0008034-0.00048174i,-0.00016678-8.3766e-05i,0.0007407-0.00018923i,0.00015101+0.00027604i
-0.0010342+0.00075939i,-0.001005+0.0011608i,0.00022247+0.00092816i,0.00084126+0.00047461i,-0.00017095+0.00086284i,-0.00082931+0.0013411i,-0.00050135+0.00091561i,-0.00013006+0.00012895i,-0.00018568-2.2746e-05i,-0.00071807+0.00030198i,-0.00083302-0.00012628i,8.1747e-05-0.00023388i,0.00069238-0.00014379i,0.00043028+0.00014753i,9.1465e-05+0.00015995i,-0.00022882-0.00052034i,-0.00028808-0.001009i,0.00011192-0.00060457i,-0.00011577+0.00012024i,-0.00045142+0.00059611i,7.0407e-05+0.00089042i,-3.2761e-05+0.00091765i,-0.00064097+0.00018452i
-0.00025531+0.00018078i,0.00020226+0.0002948i,0.0002695+0.0010184i,-0.0002047+0.00047962i,-0.0006844-6.4114e-06i,-0.00066747-0.00038977i,-0.00078283-0.00084424i,-0.0005283-0.00038536i,-0.0005667+0.00028867i,-0.00035323+0.00035084i,0.00013262+0.00026399i,0.00023352+0.00040586i,0.00071132-0.00013256i,0.0007247-0.00080387i,0.00066803-0.0014567i,0.00058427-0.0013433i,0.00017515-0.00019341i,6.8322e-05+0.00016864i,-0.00011432-0.00035157i,-0.0004389-9.5329e-05i,-0.0010163+0.00040449i,-0.00085515+0.00041384i,-5.8401e-05+9.2932e-05i
-0.00027+0.0001825i,-0.00038652-0.00019083i,-0.00075036+4.3219e-05i,-0.001078+0.00052277i,-0.0016142-3.7007e-05i,-0.0014238+6.8822e-05i,-0.0010528+0.00070254i,-0.00089467+0.00010101i,-0.0010242-0.00031926i,-0.0018369-0.00028042i,-0.0017485-0.00055344i,-0.0011064-0.00039911i,-0.00075128-0.00019692i,-0.00015447-0.00025542i,-0.00034102-7.343e-05i,-0.00085214+0.00033888i,-0.00077694+0.00055157i,-0.00073204+0.00018983i,-0.00045187+5.0786e-05i,0.00024186+3.5417e-05i,0.00055196-0.00018496i,0.00061463-0.00040353i,0.0004366-0.00049883i
0.0010306+0.0011572i,0.00091487+0.0011462i,0.00069988-2.3358e-05i,-0.0003068-0.00028338i,-0.0010106-0.00023474i,-0.00079382-4.3947e-05i,-0.00045613+0.0010997i,-0.00030877+0.0013186i,-0.00022076+0.00076116i,-3.1652e-05-0.00023363i,0.0003673-0.00077205i,0.00085402-0.00030509i,0.0015515-6.6163e-05i,0.0013536-0.00052452i,0.0005751-1.6519e-05i,-8.3113e-05+0.00049534i,9.4077e-05+0.00027385i,0.00084546+0.00044826i,0.00055451+0.00036624i,-0.00023047+2.8247e-06i,-0.00025423-4.9173e-05i,0.00038865+0.00010544i,0.00078754+0.00038739i
-0.00035163+0.0012989i,-7.2459e-05+0.00069547i,0.00067143+0.00042207i,0.00097571+0.00038117i,-0.00054306+0.00042926i,-0.0016714+0.00053196i,-0.0014183+0.00047154i,-0.00062358-0.0002138i,-0.0006789-0.00088317i,-0.00087922-7.3932e-05i,-0.00047594+0.00016441i,-0.00032121-0.0001127i,-0.00049255+0.00030958i,-3.384e-05+4.7538e-05i,0.00010104+1.938e-05i,-0.00022089+0.0001668i,-7.1725e-05-0.00029688i,0.00039766-0.00029599i,0.00034471+4.0447e-06i,0.00041249-0.00042643i,0.0001785-0.00059435i,-0.00013949-0.0008979i,-0.00052952-0.0011988i
-0.00091975+0.0011506i,-0.0011794+5.8217e-05i,-0.0016105+7.8859e-05i,-0.0017689+0.00081426i,-0.0017136+0.0017862i,-0.001006+0.0013644i,-0.00058875+0.00016938i,-0.0011275-0.00028188i,-0.0012312+0.00026518i,-0.0008592+0.00050191i,-0.00031801+0.00025016i,-0.00022178-0.00048955i,0.00014953-0.00094782i,0.00098431-0.00070704i,0.0013387-0.00067185i,0.0011157-0.00056795i,0.00045189+0.00035796i,-0.00015643+0.00039028i,8.3276e-05+0.00012655i,-3.4434e-05-6.9921e-05i,-5.0806e-05-0.00026135i,2.7075e-06-0.00053137i,-0.0003835-0.0011721i
0.00060228-0.00018664i,0.00047798+0.00024659i,0.00025369+0.00031943i,-0.00034209+0.00025787i,-0.00054591+0.0010769i,-0.0008037+0.00087371i,-0.0015075+0.00036541i,-0.0016255+0.0006736i,-0.0014638+0.00074491i,-0.0012526+0.00050191i,0.00023791+0.0008853i,0.00072907+0.00067654i,0.00053267-0.00026668i,0.00091809-0.00069031i,0.0010107-0.00010542i,4.227e-05+0.00019103i,-0.00046209-0.00032962i,-0.00033035+5.1054e-05i,-9.4349e-05+0.0010068i,0.0005081+0.00077173i,0.00055536+0.00025694i,3.503e-05+0.00015944i,6.0638e-05+0.00045399i
-0.00038824-0.00082073i,-0.00061622-0.0003004i,-0.00061116+5.8021e-05i,-0.00076924+0.00021596i,-0.001048+0.00093388i,-0.001667+0.0012379i,-0.0019744+0.0013404i,-0.001202+0.0012273i,-0.000515+0.00017232i,-0.00014279-0.0004237i,0.00068109+0.00025586i,0.00061886+0.00030986i,0.00064549+0.00025826i,0.001016+2.21e-05i,0.00048135-0.00072814i,-0.00012968-0.00035326i,-5.6898e-05-0.00055636i,-0.00018601-0.00076802i,0.00031693-0.00058436i,0.00078076-0.00016538i,0.00036596-0.00015252i,0.00042058-0.00074122i,0.00085078-0.00067035i
0.0011862+0.0018038i,0.0015985+0.0014036i,0.0014412+0.00017589i,0.001698-0.00041077i,0.00067402-0.00061046i,-0.0001184-6.7143e-05i,-0.00012216+0.00099353i,7.1978e-05+0.0011595i,-0.00043872+0.00066117i,-0.0013365+0.00036866i,-0.00086282+0.00050533i,6.4587e-05+0.00030859i,0.00020752-0.00018908i,0.00030377-0.00081477i,0.00046678-0.00097983i,0.0007981-0.00082964i,0.00062747-0.00084821i,0.00019841-0.00044608i,0.00073169-0.00043966i,0.00093411-0.00071912i,0.00069049-0.00055072i,2.5844e-05-0.00021368i,-0.0006085+0.00028937i
0.00013083+0.00077619i,0.00028146+0.00022632i,0.00086195-0.00053984i,-0.00018457-0.0004386i,-0.0011215+0.0010527i,-0.0017168+0.0018061i,-0.0018485+0.0010041i,-0.0014289+0.00065782i,-0.00042312+0.00045822i,5.4424e-05-3.3329e-05i,-5.4897e-05+0.00017285i,-0.00021546-1.5757e-05i,-0.0001767-0.00054562i,0.000623-0.00043891i,0.00065486-5.4072e-05i,0.0003906+5.28e-06i,0.00040231-0.00027223i,-0.00026306-0.00020104i,-0.00030279-0.00024173i,-9.3381e-05-0.00062878i,4.3106e-05-0.00022277i,-0.00020454+9.0033e-05i,-0.00011653-0.00055489i
0.0013422-0.0021334i,0.001108-0.00069211i,-0.00032563-0.00022269i,-0.001303-0.00045597i,-0.0019247+4.4639e-05i,-0.0020046+0.0010123i,-0.0011108+0.001503i,-0.00035134+0.0010871i,-0.00046676+0.00059523i,-0.00091913+0.00060079i,-0.0011958+0.00095946i,-0.00080831+0.0014115i,0.00012186+0.0014364i,0.00024762+0.00044032i,-0.0001502-0.00029467i,-0.00023926-2.7093e-05i,0.00013397+0.00031289i,-0.00027974+0.00039116i,-9.514e-05+1.0668e-05i,0.00054057-1.5333e-05i,0.00042442+0.00063223i,-0.00045029+0.0011724i,-0.00084202+0.00067679i
-0.0013383-0.00051859i,-0.0010965-1.1868e-05i,-0.00047999+6.9301e-06i,0.00067824+0.0003722i,0.0011424+0.0017505i,0.0011622+0.0019951i,0.00056887+0.0005769i,-0.0005572-0.00075217i,-0.0010258-0.00099977i,-0.00028215-1.4829e-05i,0.00089899+6.1543e-05i,0.0010486-0.00082354i,0.00014068-0.0012997i,-0.00017589-0.00031108i,-0.0002674+0.00025386i,-0.00032769-0.00040182i,6.6115e-05-0.00074673i,0.00025893-0.0004528i,0.00022448+0.00066534i,-0.00040701+0.00090818i,-0.00078154+1.7718e-05i,-0.00021082-0.00055966i,-0.0001548+0.00015464i
-0.0014214+9.4449e-05i,-0.00089623+7.5404e-05i,-0.0011275+0.00066449i,-0.0010226+0.00025632i,-0.00085272-0.00026344i,-0.0015509+0.0003508i,-0.0015582+0.0015807i,-0.0012639+0.0022061i,-0.0011153+0.0011347i,-0.00054932+0.00065405i,-0.00040687+0.00028334i,-0.00037179-0.00011582i,-0.00029847-0.00068013i,-0.00037621-0.00059882i,-0.00046354-0.00033403i,-0.00013381-5.2613e-05i,-0.0004944+0.00029282i,-0.00077318+5.9088e-05i,-0.00026076-0.00010561i,0.000241+0.00013724i,5.9333e-05+0.00055262i,0.00030252-8.87e-05i,0.00040775-0.0001425i
