-0.001774+0.0011397i,-0.0018208+0.0016221i,-0.00050787+0.0023201i,0.0013627+0.0022319i,0.0024302+0.00096556i,0.0015502+9.7658e-05i,0.00042682+0.00055373i,0.00063594+0.00043565i,0.0013743-5.9172e-05i,0.0015875-0.00047202i,0.0009019-0.00079246i,-0.00030186-3.8961e-05i,-0.00084173+0.00060423i,-0.00046054+0.00031355i,-0.00027647+6.8561e-05i,-0.00077706-7.1144e-06i,-0.0004342-0.00082871i,0.0003037-0.00073119i,-7.9106e-05+0.00045415i,-0.00026506+0.0006085i,0.00016753+0.00017608i,-0.00023881+0.00043932i,-0.00072244+0.00095519i
0.012574-0.011507i,0.015333-0.0098849i,0.010202-0.0031218i,0.0038002+0.0021399i,0.0031704+0.0011554i,0.0044247-0.0017692i,0.0023333-0.0024472i,-0.001119-0.0020435i,-0.0030388-0.0014248i,-0.004089-0.00074425i,-0.0037185-0.00020448i,-0.0025902-0.00010552i,-0.0020216+0.00070319i,-0.0010558+0.0017681i,1.9305e-05+0.0015826i,-0.00058467+0.00035437i,-0.0012908-0.00094385i,-0.0012274-0.00063327i,-0.00088906+0.00040606i,-8.5615e-05+0.00023658i,0.00062031-0.00013906i,0.00077018-0.00026531i,0.00056991-0.00037857i
-0.013415-0.014125i,-0.011098-0.014274i,-0.0074481-0.006658i,-0.0046305-4.9959e-05i,-0.0038323-0.00021955i,-0.0035533-0.0040858i,-0.002196-0.0034802i,-0.00080834-0.000372i,-0.00077552+0.0019979i,-0.0015059+0.0040712i,-0.0017532+0.0039672i,-0.001795+0.002344i,-0.0011699+0.00084452i,0.00020515-6.129e-07i,-0.00013845+0.00010789i,-0.0012521+0.00046421i,-0.0011555+0.00085129i,-0.00034185+0.001284i,0.00029435+0.0013087i,9.1218e-05+0.00097756i,-0.00067022+7.9028e-05i,-0.00084244-0.00070762i,-0.00060756-0.00066355i
-0.017887+0.0069862i,-0.019821+0.0058542i,-0.014635+0.0056241i,-0.0085402+0.0080408i,-0.0054326+0.0099613i,-0.0049406+0.0093457i,-0.0028625+0.0068022i,0.00051153+0.0042767i,0.0031435+0.0026054i,0.0046585+0.0021235i,0.004028+0.0013407i,0.0027581+7.2592e-05i,0.0021754-0.00016863i,0.0010806+0.0004338i,-8.4981e-06+0.00097576i,0.00018226+0.0017921i,0.00061445+0.0016421i,0.00023535+0.00087557i,-0.00021824+0.00034571i,-0.0001166-6.0775e-05i,-0.00041357+0.0004248i,-0.00085485+8.8535e-05i,-0.00051132+0.0001384i
0.002233+0.020886i,-0.0011088+0.024749i,-0.00012566+0.021234i,0.0051624+0.016078i,0.0092962+0.011395i,0.010455+0.0077481i,0.0082268+0.0041452i,0.0056098+0.00059213i,0.0041691-0.0018946i,0.0028001-0.0029577i,0.0022711-0.0029502i,0.0015614-0.0023089i,0.00036326-0.0013789i,7.942e-05-0.00039209i,0.00037627+0.00020593i,0.00028996-0.00042438i,-0.00042681-0.00081118i,-0.00024773-0.00067943i,0.00030116-0.00066427i,-1.109e-05-0.00064209i,8.3453e-05-0.00044027i,0.0002652+0.00037014i,-0.00031344+0.00074608i
0.024949-0.0043281i,0.024608-0.0023639i,0.017099-0.001351i,0.011592-0.0029106i,0.009814-0.0064688i,0.0075329-0.007781i,0.0042356-0.0061799i,0.0012669-0.0039427i,-0.00040302-0.003816i,-0.0011066-0.0037441i,-0.0015527-0.0025223i,-0.0018637-0.0011711i,-0.0020792+0.00069538i,-0.0019443+0.0010315i,-0.0015909-8.357e-05i,-0.0015118-0.00031499i,-0.0018848+0.00027667i,-0.0013289+0.00084457i,-0.00087327+0.0011104i,-0.0014667+0.001092i,-0.0010424-8.8756e-06i,-0.00019113-0.00076199i,0.0002957-0.0012708i
0.0011805-0.022488i,0.00076939-0.023388i,-0.0011589-0.015055i,-0.0037988-0.008286i,-0.0062971-0.0071856i,-0.007331-0.0080807i,-0.0055987-0.0062323i,-0.0026539-0.0028429i,-0.0019494-0.00016789i,-0.0026454+0.0012502i,-0.0021236+0.0016202i,-0.0014081+0.0023239i,-0.0011451+0.0019098i,-0.0005648+0.00066121i,-0.00051773+0.00088613i,-0.00057808+0.0016546i,-7.2669e-05+0.0016341i,0.0008538+0.0012732i,0.0012395+0.0010449i,0.00062929+0.00065531i,0.0010318+0.00033669i,0.00087535-0.0001373i,-0.00022914-0.0010241i
-0.02473+0.0015302i,-0.025677+0.00041461i,-0.019279+0.004728i,-0.012392+0.0089065i,-0.0086934+0.0097757i,-0.0070971+0.0075665i,-0.0050959+0.005438i,-0.0019154+0.0038764i,0.000748+0.002778i,0.0018016+0.0019496i,0.0024607+0.0015591i,0.0028133+0.0014823i,0.0017764+0.00055618i,0.00029884-0.00031162i,0.0002448+0.00052515i,0.00085213+0.0015477i,0.0021107+0.00055102i,0.0023031-0.0007022i,0.0014328-0.00042574i,0.00036435-0.00048642i,-0.00027023-0.00090258i,-0.000421-0.0013259i,-0.0010261-0.00136i
-0.0043947+0.023853i,-0.0053498+0.025266i,-0.0022529+0.021075i,0.0022181+0.018471i,0.0052866+0.016063i,0.0063437+0.011786i,0.0050555+0.0065244i,0.0029533+0.0027666i,0.0018894+0.00057905i,0.0018562-0.0013545i,0.0019609-0.0016823i,0.0014773-0.0013904i,0.0010832-0.0014601i,0.0003778-0.00052164i,0.00026061-0.00035783i,0.00086406-0.00098447i,0.00063602-0.00096721i,-3.6128e-05-0.0010669i,-0.00082338-0.0011763i,-0.0010884-0.00093737i,-0.0011982-0.00051365i,-0.0012328-0.00043589i,-0.0010252-0.00063289i
0.022147+0.0083098i,0.022056+0.011235i,0.018801+0.0077319i,0.017152+0.0028816i,0.01513-0.000703i,0.011335-0.0030722i,0.0072744-0.0035861i,0.0045316-0.0029247i,0.0023533-0.0031749i,-0.00018662-0.0023294i,-0.0014636-0.0011231i,-0.0021595-0.00086839i,-0.002458-0.00063789i,-0.0012073+0.00039022i,-0.00070822+0.0006352i,-0.00051657+0.00019785i,-0.00033076+0.00051187i,-0.00043795+0.0010377i,-0.00065418+0.0016117i,-0.0004123+0.001396i,0.00094917+0.00097329i,0.00095274+0.001041i,0.00032483+0.0008428i
0.012393-0.028587i,0.01122-0.028997i,0.0032433-0.021692i,-0.0012759-0.015363i,-0.0022383-0.012055i,-0.0033518-0.0095699i,-0.0030605-0.005489i,-0.00093282-0.0027194i,0.00020469-0.0018785i,-0.00035321-0.000515i,-0.00086935+0.0007412i,-0.0013132+0.0013098i,-0.00037338+0.0013301i,0.0005755+0.00058486i,0.00022655-2.319e-05i,-0.00022842+0.00019893i,0.00010705+0.00095519i,0.0010221+0.0014238i,0.0012041+0.00077023i,0.00099403+0.00055605i,0.00083114+0.00098792i,0.00059565+0.00025742i,0.00048875-0.00049048i
-0.024906-0.015464i,-0.024392-0.012322i,-0.021046-0.0032298i,-0.017342+0.0030737i,-0.012053+0.0056755i,-0.008437+0.0048208i,-0.0055836+0.0019287i,-0.0022443-0.00019841i,-0.00059375-0.00025724i,0.00042674+0.0001992i,0.0018719+0.0010416i,0.0025773+0.0021374i,0.0021228+0.001443i,0.00055237-0.00016861i,-0.00043453+0.00060409i,0.00062273+0.0018563i,0.0015949+0.00079736i,0.0015664-0.0009031i,0.00095579-0.0013719i,-0.00029517-0.001007i,-0.00068043-0.00086022i,-0.00034217-0.0011036i,-0.00074522-0.0012249i
-0.020995+0.021279i,-0.021519+0.023751i,-0.012651+0.023897i,-0.0046097+0.021273i,0.00011246+0.015779i,0.0017554+0.0097538i,0.00056895+0.0047795i,0.00023261+0.002144i,0.00032894+0.00081505i,0.00086508-0.00068604i,0.001595-0.001067i,0.0014969-0.0012564i,0.0006908-0.001562i,-0.00017067-0.00064687i,1.4425e-05-9.1636e-05i,0.00030066-0.00058706i,-0.0006619-0.0014147i,-0.0013257-0.001652i,-0.0012664-0.0016409i,-0.00048558-0.0010647i,2.2702e-06-0.00057698i,-0.00097411-0.0004809i,-0.0011967-0.00082982i
0.02279+0.026813i,0.023493+0.026814i,0.021689+0.018252i,0.01861+0.010315i,0.01371+0.0057018i,0.0090597+0.0015413i,0.0055166-0.0010425i,0.0027218-0.00026886i,0.0010237+0.00076339i,0.00054501+7.286e-05i,0.00010863-0.0012897i,-0.0014028-0.0023887i,-0.0023612-0.0015855i,-0.0016408-7.2515e-05i,-0.00056352+0.00013301i,-0.0011429+0.00032489i,-0.0022064+0.0009461i,-0.0019954+0.0018053i,-0.0012417+0.0019207i,-0.00071392+0.001249i,1.9902e-05+0.0010197i,3.6753e-05+0.00056913i,0.00036724+0.00058092i
0.025397-0.021689i,0.023342-0.02371i,0.011429-0.019536i,0.0060309-0.013391i,0.0051894-0.0079708i,0.0030378-0.0041684i,0.0023241-0.001899i,0.0020345-0.0011007i,3.1762e-05-0.0014145i,-0.0011778-0.00014573i,-0.0016946+0.00067563i,-0.0023849+0.00080676i,-0.0017663+0.0012317i,-0.00041653+0.00081072i,0.0001462+0.00097932i,0.00016883+0.0016569i,6.4884e-05+0.0018845i,0.00040406+0.0017169i,0.00017818+0.0017866i,0.00015098+0.001675i,0.00081548+0.0014699i,0.00040435+0.0012685i,-0.00024265+0.0011741i
