-2.1995e-05+0.00069047i,-0.00055004-2.303e-05i,-0.0012947+0.00038898i,-0.0010083+0.00098196i,-0.0014839+0.0013167i,-0.0017847+0.001614i,-0.00050232+0.0012255i,0.00073271+0.00061227i,0.00064028+0.00096057i,0.00081682+0.00048536i,0.00066956-0.00078609i,0.00039323-0.0009512i,0.00041134-0.00012578i,0.00026997-4.0714e-05i,0.00072717-0.00052046i,0.00066846+0.00029772i,0.00053301+0.0012737i,0.00048373+0.00072577i,-0.00088216-0.00044201i,-0.0014281-0.00061483i,-0.00087605+0.00036807i,-0.00066055+0.00056398i,-0.0002555+0.0005964i
0.00086609+0.001964i,0.00032454+0.00077024i,0.00059469+0.00033665i,1.2715e-05+0.0002176i,-0.00055676-0.00028879i,-0.00063223-0.00024591i,-0.00049781+0.00024586i,-0.00051056-0.00051667i,-0.00077162-0.0024111i,-0.00048997-0.0028513i,-0.00040273-0.0017523i,-0.00087212-0.00073713i,-0.0005888+0.00015413i,0.00039538+0.00062698i,6.1826e-05+0.00059271i,-0.00010338+0.0002734i,3.0375e-06-0.00056764i,-0.00098914-0.00047809i,-0.00097575-0.0003122i,-0.00036457-0.0007i,-5.8469e-05-0.0010276i,0.00097065-0.00034593i,0.0012232-0.00018978i
0.00029263-0.00067592i,0.00023262-0.0010004i,-0.00019303-0.00015941i,-0.0002248+0.0008159i,-0.0004297+0.00086733i,-0.00057436+0.00073447i,-5.9274e-05+0.0006075i,0.00063973-0.00053513i,0.00018279-0.0011665i,-0.0011447-0.0008456i,-0.0018774-0.00068049i,-0.0017337-0.00064734i,-0.0011224-0.00039445i,-0.00014436+0.00054529i,0.00088477+0.00028762i,0.00061812-8.5295e-05i,-0.00066575-0.0001435i,-0.00095227-0.00039998i,-0.00015582-0.00078293i,4.9661e-05-0.00027243i,-0.0005688+0.00032055i,-0.00071281+0.00059568i,-0.00036535+0.00072263i
0.0026868-0.00024344i,0.00079173-0.0015594i,-2.2766e-05-0.0010492i,-0.00068581-0.0012668i,-0.0013973-0.0017538i,-0.0012135+8.5136e-05i,-0.00081057+0.0016784i,-0.00077895+0.0012809i,-0.0011265+0.001188i,-0.0014552+0.0016862i,-0.0017246+0.0013301i,-0.0016828+0.0013622i,-0.0015434+0.0016285i,-0.00095443+0.0017471i,-0.00053358+0.0013528i,-0.00026835+0.00070888i,-0.00027632+0.00014642i,0.00032407-0.0010072i,0.0005319-0.0012778i,4.2633e-05-0.00036794i,-0.00011585+0.00064399i,-3.282e-05+0.00053016i,-3.1864e-05+0.00010358i
-0.0010528-0.00056279i,-0.0013939+0.00012239i,-0.0013436+0.00083572i,-0.0010616+0.0027214i,-0.0010372+0.0034687i,6.2418e-05+0.0017916i,0.00058581+0.00083976i,-5.0386e-05+0.0018278i,4.8748e-05+0.0022414i,0.00085715+0.0021685i,0.0010664+0.0016309i,0.00070383+0.001148i,-0.0002068+0.00085771i,-0.0002739+0.00040765i,0.00015187+0.00029914i,0.00091827+0.0002215i,0.0013539+0.00012154i,0.00089661+0.00023313i,1.4479e-05+0.00042343i,-0.00065227+0.00054674i,-0.00086672+0.00018995i,-0.00099087+0.00019729i,-0.00077745+0.00018784i
0.00095312+0.0001415i,0.00061678+5.6037e-05i,-0.00030208-0.0010372i,-0.00062169-0.0011582i,-0.00042287-0.00046578i,-0.00057561+0.00026033i,9.1452e-05+0.0006906i,0.0013964+0.00052948i,0.0016072+0.00063928i,0.0016069+0.00050666i,0.00082809-0.00063745i,0.00022111-0.0010093i,-0.00017899-0.00075341i,-0.00027638-0.00017613i,0.0001876+0.0010522i,9.5261e-05+0.0011766i,-0.00025335+0.0010989i,-0.00060066+0.00080346i,-0.00050164-0.000187i,0.00070793-0.00012532i,0.00052976+0.00023943i,0.00013517-3.9619e-05i,-0.00031515-0.00020288i
0.00070599+0.0014262i,0.0014658+0.0011238i,0.0023678+3.6795e-05i,0.0018183-0.0016495i,0.00013224-0.0016111i,-0.00038075+0.00040917i,-0.00038005+0.00091452i,-7.12e-05-0.00098293i,-2.8636e-06-0.0018667i,-0.00039229-0.0015122i,-0.00079092-0.0010798i,-0.00096307-0.0012643i,-0.00065505-0.0011774i,-0.00054931-0.00082397i,-0.00079212-0.00048704i,-0.00024552-0.00019789i,6.5131e-06-0.00053534i,-0.00017743-6.1936e-05i,-0.00048757+0.00036979i,-0.00056738-0.00031163i,0.00014999-0.00050098i,0.0009658+0.00030643i,0.00069108+0.00015368i
0.00073561+0.00088703i,0.00014152+0.00055582i,-0.0014613-0.00014353i,-0.0014907+5.05e-06i,-0.00069971-8.0404e-05i,-0.0010076-0.00034444i,-0.0010824+0.00025715i,-0.0010166+0.00038313i,-0.0009185-0.00047174i,-0.00086117-0.00043764i,-0.001413+0.00010895i,-0.0017097-6.7343e-05i,-0.00088418-0.0007098i,0.00055492-0.0011651i,0.00079803+5.8563e-05i,0.00022698+0.000943i,-0.00025935+0.0007231i,-0.00081886+0.00048576i,-0.00071613+0.0005181i,-0.00021367+0.00062739i,-0.00011702+0.00051584i,-0.00011407+0.00055751i,-0.00056303+0.00036256i
0.0025012+0.0018339i,0.0025764+0.001099i,0.0024241-1.4108e-05i,0.0017554-0.0002754i,0.00042637+0.00022177i,-0.00083144+0.00049887i,-0.0010155+0.00084612i,-0.00089046+0.00085977i,-0.0015485+0.00047813i,-0.0025981+0.00042169i,-0.0021869+0.00015539i,-0.0012797-0.00052258i,-0.0010541-0.00076065i,-0.00061537-0.00065392i,-8.9482e-05-0.00019709i,-0.00013498+0.00019692i,-0.00030711+0.00019313i,-0.0001983+0.00053056i,-7.0864e-05+0.0011799i,0.00036255+0.00092861i,0.00043469+0.00014073i,0.00022468-3.6038e-05i,-0.00028355-0.00076275i
-0.0013938-6.8834e-05i,-0.00091969+0.00033339i,-0.00087356+0.0010342i,-0.0012104+0.001536i,-0.0012328+0.0014086i,-0.0003081+0.0011925i,7.5711e-06+0.0011749i,-0.00041121+0.00099367i,-0.00094592+0.00094534i,-0.00022268+0.00123i,0.0009643+0.0010652i,0.00093181+0.0005783i,0.00046394+0.00015764i,0.00026492-0.00021364i,-0.00019471-0.00054263i,-0.00037502-0.00050322i,-0.00038145-0.00059333i,-0.00095127-0.00036694i,-0.00088202+1.6987e-05i,0.00062928+3.6153e-05i,0.0009339-4.9594e-05i,-0.00011844-0.00043076i,-0.00010007-0.00051184i
-0.00077185+1.8619e-05i,0.00019111-0.00020493i,0.00074218-0.0003581i,0.0011781-0.00023636i,0.00089109+0.00034308i,0.0010314+0.00075579i,0.0015965+0.00035748i,0.0018487+4.9736e-05i,0.0015985+0.00030541i,0.001629-6.8284e-05i,0.0013999-0.00021003i,0.00084712+0.00010411i,0.0006991-0.00024526i,0.00031639-0.00066589i,0.00018892-0.00028185i,0.00010969-0.00014648i,0.00076339+0.00027896i,0.0014824+0.0007564i,0.00078166+0.00054607i,0.00010183+0.00064244i,0.00020029+0.00079535i,0.00069481+0.00066618i,0.00058641+0.00038321i
4.9749e-05-0.0020906i,0.00057179-0.0015811i,0.00013451-0.0020216i,-0.0020744-0.0012482i,-0.0031453+0.00046537i,-0.0016656+0.0014312i,-0.0004453+0.00045932i,0.00047998-0.001891i,0.0010364-0.0028218i,0.00088705-0.0024529i,1.5044e-05-0.0015998i,-0.00066038-0.00091661i,-0.00057711-0.00064904i,-0.00017686-0.00028372i,0.00039588+0.00023236i,0.0007564+0.00029154i,0.00084509+0.00027054i,0.00064966+1.6572e-06i,0.00033502-0.00021999i,0.0003777-0.00019984i,0.00011286-0.00042523i,-6.0908e-06+1.0612e-05i,0.00012648+0.00057287i
-0.00074986-0.0017667i,-0.00015744-0.0016958i,-0.0011216-0.0012101i,-0.0018488+0.00083724i,-0.0013898+0.0027683i,-0.00070432+0.0026958i,-1.9983e-05+0.0017958i,-0.00049834+0.00092492i,-0.001417-0.00059131i,-0.0021118-0.00094873i,-0.0026743-0.00035968i,-0.0027258-3.1838e-05i,-0.0019548+0.00092852i,-0.00023375+0.0011158i,0.00064178+0.00084772i,0.00049365+0.00098563i,0.00018555+0.00052021i,0.0001699-4.8216e-05i,2.0367e-06-0.00030754i,-0.00058929-3.4184e-05i,-0.0008428+0.0004039i,-0.00087341-7.0476e-05i,-0.00041839-0.00028088i
0.00061546+0.00091792i,0.0013768-0.0011387i,0.0024007-0.0019762i,0.001045-0.0011303i,-0.001117-0.00066041i,-0.00101-0.00051152i,-0.00019371+0.00019216i,-0.00040315+6.4027e-05i,-0.0010042+0.00011156i,-0.0011741+0.00089727i,-0.0014894+0.00058489i,-0.0012649+6.2445e-05i,-0.0012436+5.2706e-05i,-0.0010026+0.00064965i,-0.00052275+0.0014132i,-0.00077623+0.00094588i,-0.00034461-0.00011439i,-0.00049867-0.00032295i,-0.00075947+8.4621e-05i,-5.7359e-05+0.00024314i,0.00031907+9.2792e-05i,0.00047303-0.00047767i,5.7356e-05-0.0013678i
-0.00031544+0.0014166i,0.0002848+0.0015148i,0.0013293+0.0016874i,0.0015658+0.0022701i,0.00028051+0.0016462i,-0.0012696+0.00012005i,-0.0010959-0.00042692i,-0.0004255+3.0727e-05i,-0.00081831+0.00044438i,-0.00059664+0.0010292i,0.00060386+0.0016661i,0.00063322+0.0013779i,0.00012085-3.1741e-05i,0.00040825-0.0011258i,0.00040048-0.00094043i,-0.00015801-0.00068535i,-0.00062131-0.00035955i,-0.00064273-0.00066412i,-0.00062495-0.00089656i,-0.00067778-0.00084089i,-0.00059579-0.0010567i,-0.00073049-0.00065038i,-0.00074252-0.00051663i
0.0012189-4.1164e-05i,0.0011545-0.00046888i,0.00094855-0.00092896i,0.00037005-0.0010179i,-0.00066178-0.001053i,-0.0011752-5.4328e-06i,0.00016972+0.00085533i,0.0015337+0.00025834i,0.0014561+0.00030697i,0.00092711+0.00087679i,0.00060338+0.00012472i,0.00061797-0.00091903i,0.00033553-0.00065729i,-0.000295-0.0004559i,-0.00055718-0.00036556i,-0.00075601+0.00024092i,-0.00047493+0.00074574i,-0.00015747+0.00085536i,-0.0001164+0.00061232i,-0.0001184-0.00041738i,-0.00011481-0.00087976i,-0.00017853-0.00092194i,-0.00058298-0.00070907i
-0.0011015+0.0019747i,-0.0010454+0.00090504i,-0.0015611+0.00030849i,-0.00074754+0.00021326i,-0.00021831+3.2667e-05i,-9.5105e-05-0.00059312i,-0.00012354-0.0003716i,2.3664e-05-0.00061169i,0.0009922-0.0015336i,0.001452-0.0019696i,0.00082287-0.0019155i,-0.00022219-0.00070578i,-0.0001671+0.00024607i,5.9687e-05-0.00043143i,-0.00070273-0.00036554i,-0.00088829+0.00053453i,-0.00078545+0.00087075i,-0.0016152-0.00049154i,-0.001084-0.0014324i,-0.00013758-0.0011511i,-0.00039245-0.00045319i,-6.363e-05-0.00038639i,0.00021143-0.00038076i
-0.00067713+0.00054199i,-0.00037222+0.00084841i,-0.001262+0.0016742i,-0.0011823+0.0018099i,-0.00020312+0.0011229i,0.00015205+0.00031598i,0.00038805-0.00056751i,0.00079677-0.0016018i,0.00073274-0.0019326i,1.0563e-05-0.0015177i,-0.00074394-0.001032i,-0.001085-0.00063171i,-0.00083201-0.00064116i,7.5633e-05-0.00050538i,0.0005048-0.00082415i,9.8084e-05-0.0011768i,-2.1822e-05-0.00081981i,0.00033564-0.00036442i,0.00029406-0.00027702i,-0.00030807+0.00013583i,-0.0002785+0.00060482i,-7.7842e-05+0.00030178i,-0.00038557-7.787e-05i
-0.0018297+0.001272i,-0.00041299+0.00073277i,0.0014945+0.00041041i,0.0014372+0.0012411i,0.00074853+0.00084508i,0.00021339-0.00022645i,-0.00039071-4.4597e-05i,-0.0013596+0.00041828i,-0.0020332+0.00051105i,-0.0012243+0.00067784i,-0.00033712+0.0010915i,-6.942e-05+0.0015733i,1.101e-05+0.00074543i,-0.00013179-0.00084547i,0.00054924-0.0017967i,0.00036414-0.0022289i,-0.00057666-0.00091473i,-0.00062493+0.00057933i,-0.00021394+0.00054341i,0.00030704-0.00035782i,0.0012844-0.00084086i,0.0013548-0.00040464i,0.00077275+0.00025359i
-0.0016599+0.0019833i,-0.0015811+0.0024991i,-0.00025332+0.003926i,0.00050993+0.0036092i,0.00024521+0.0016852i,0.00030992+2.7095e-05i,-0.00029383+0.00046371i,-0.00074846+0.0012869i,-0.00044511+0.001024i,-5.4988e-06+0.0011224i,-0.00021369+0.0011077i,-0.00038368+0.0003086i,0.00059098-7.8338e-05i,0.00087668-0.00013872i,-0.00039319-0.0008984i,-0.00096734-0.00089034i,-0.00058321+6.2482e-05i,-0.00020944+3.6085e-05i,0.00011551-0.00026912i,0.00048941+0.0001256i,0.00035228+0.00015297i,0.00035008+5.685e-05i,0.00042334-0.00041186i
-0.00087418+0.0016811i,-0.00034485+0.0011143i,-0.00024178+0.00047556i,0.0003375-9.977e-05i,-0.00028198-0.00024345i,-0.00077446-0.00025915i,-0.00055025-4.3133e-05i,-0.0010625+0.0010429i,-0.0002549+0.0019799i,0.0013337+0.0016654i,0.0015463+0.00054983i,0.00042376-0.0004328i,0.00033512-0.0010072i,0.0011764-0.00096584i,0.00081451-0.00051237i,-0.00013557-0.00041585i,0.00014438-0.00057619i,0.00046918-0.00053581i,0.00049327-0.00052983i,0.00010881+5.2895e-05i,-0.00066406+0.00048586i,-0.0011474+0.00077282i,-0.00059057+0.00038254i
-0.00074852-0.00037256i,-0.00072661-0.00074056i,-0.0014566+0.00029804i,-0.0014824+0.00087979i,-0.00058852-0.00018461i,0.00041472-0.00072274i,0.00081553-0.0002301i,0.0011714-0.00054005i,0.0012427-0.0003886i,0.00099178-0.00057664i,5.6664e-06-0.0014267i,-0.00051842-0.0010003i,-6.2827e-05+0.00050413i,0.001157+0.0010742i,0.0016079+0.00099067i,0.00057727+0.00075148i,0.00032486-0.00014957i,0.0007826-0.00056655i,0.00069018+0.00024783i,0.00039482+0.0011296i,0.00022488+0.00056952i,0.00032342+0.00010009i,-0.00011915+0.00060775i
-0.00033014-0.0020018i,-0.00073299-0.0015049i,-0.0011315-0.00088172i,-7.8919e-05-0.00053031i,0.00010543+0.00043958i,0.000462+0.0014127i,0.0011025+0.00064974i,0.0004445-0.00091632i,-0.00044511-0.0020846i,-0.0011963-0.0017608i,-0.0018242-0.00087593i,-0.0018952-0.00081307i,-0.0012952-0.00076733i,3.3115e-07-0.00013672i,0.00075846+0.00041115i,0.00072714+0.00050536i,0.0001076+0.00046819i,-0.0008295+0.00050702i,-0.00060903+0.00036843i,-0.00020262+0.00042374i,-0.00018942-7.8769e-05i,8.85e-05-0.00039419i,0.00022376-7.9949e-05i
0.00074536-0.00041545i,-7.081e-05+0.00030921i,-0.00095324-8.902e-05i,-0.0020273+0.00062614i,-0.0017516+0.0017425i,0.00013376+0.0017435i,0.00084955+0.00097306i,0.00021625-2.9078e-05i,-0.00072964-0.0011005i,-0.0013411-0.0011922i,-0.0007712-0.00083141i,0.00010727-0.00015619i,-0.00041745+0.00045338i,-0.00048915+0.00065428i,0.00030947+0.00089962i,0.00036348-6.2686e-05i,-0.00025973-0.0007708i,-0.00032767-0.00075484i,0.00052385-8.3423e-05i,-6.6966e-05-0.00066561i,-0.0011084-0.0011472i,-0.0007164-0.00084787i,0.00017239-0.00045736i
0.00024371+0.0029176i,0.0015746+0.0028237i,0.0023244+0.0020959i,0.0023491+0.00042722i,0.001065-0.00060166i,-0.00060094-0.00098823i,-0.0010612-0.0007631i,-0.00076633+0.00034536i,-0.0013429+0.00088214i,-0.0015306+0.00073097i,-0.0003761+0.00053932i,-2.9945e-05+0.00020622i,-0.00023501-0.00013348i,-0.00044602-0.00091665i,-0.0010772-0.00099711i,-0.00071089-0.00029195i,4.0498e-05+0.00054559i,7.5823e-05+0.00095554i,0.00035422+0.00018511i,4.5226e-05-0.00042943i,-0.00017015-0.00067062i,0.00027948-0.00029867i,0.00067317+0.00041647i
0.0002372-0.00095581i,-0.0013674-0.00076377i,-0.0031092-0.0015398i,-0.0025803-0.0010527i,-0.0013798+0.00043339i,0.00019192+0.0012442i,0.0016427+0.00089735i,0.0015911+0.00016028i,0.00079045+0.00075783i,0.00046948+0.0019638i,0.00085865+0.0014542i,0.00065977+6.5683e-05i,0.00081898-0.00025553i,0.0010416+5.7264e-05i,0.00066117+0.00010029i,0.00050457+0.00026463i,0.00025195+0.00053101i,-0.00026235+0.00031602i,-0.00052443-0.00059167i,-0.00030366-0.0015251i,-0.00017591-0.0016211i,-0.00041303-0.00096164i,-0.00034977-0.00016362i
0.0024218+0.00093972i,0.0012586+0.00059616i,0.0015497-0.00082052i,0.0015494-0.00082969i,0.00058945-0.00012162i,0.0001807+0.00077931i,0.00084033+0.0018675i,0.0016919+0.0019464i,0.0021591+0.0011734i,0.0019233+0.00010358i,0.00084561-0.00046472i,-0.00031334+0.00024251i,-0.00064707+0.00039452i,0.00015267-0.0003061i,0.00027103-0.00050786i,0.00011505-0.00023533i,0.00065121-0.00049143i,0.00084672-0.00065105i,0.0002951-0.00014549i,0.00039689-0.00039566i,0.00062539-0.0010294i,0.00072182-0.00045465i,0.00079718+0.00011172i
0.00082838-0.00025389i,-0.00056233-0.0006522i,-0.00089298-0.00088585i,-0.0013389-0.00048273i,-0.0020074-0.00062409i,-0.0019963-0.00021287i,-0.00090987+9.0365e-05i,0.00045307-0.00051907i,0.00083607-0.0016948i,-0.00020121-0.0016722i,-0.00026299-0.0007525i,7.2561e-05-0.0002109i,-0.00023277-0.00011731i,0.00025693-0.00034325i,2.9344e-05-0.00049595i,-0.00042661-0.00064967i,3.8852e-05-0.0015233i,0.00031533-0.0018149i,0.00089-0.0011716i,0.0011962-0.00081727i,0.00092479-0.00057622i,0.00027595-0.0007824i,2.9282e-05-0.0010778i
-0.00015596+0.0012859i,0.00033624+0.0014818i,0.00090611+0.0017338i,0.0011061+0.0014134i,0.00063515+0.00062533i,-0.00023092-8.2134e-05i,-0.00085867-0.00042352i,-0.0010699-0.00065905i,-0.00087414-0.001124i,-0.00035193-0.0014085i,-0.00033648-0.00084607i,-0.00084568+0.00016829i,-0.0012357-6.3226e-05i,-0.000934-0.0013771i,-0.00080166-0.00062747i,-0.00037337-0.00017515i,-7.1053e-06-0.00092934i,0.00011545-0.00080421i,0.00055319+0.00061536i,0.00088534+0.001693i,0.00076191+0.0016593i,0.00089134+0.00086929i,0.00053838+8.4209e-05i
-0.00082872+0.00060352i,-0.0016475+0.0014402i,-0.0019936+0.0017809i,-0.001658+0.0012803i,-0.0014613+0.000202i,-0.00037186+0.00055424i,-3.24e-05+0.00087i,-0.00039419-0.00016663i,-0.00058001-0.00050807i,-0.00099422-2.9043e-05i,-0.0011734+0.00031686i,-0.00044424+0.00013966i,-0.0004743-0.00061248i,-0.00029614-0.00070845i,-0.00031249-0.00035075i,-0.0011228-0.00044067i,-0.00077378-0.00091635i,-6.8144e-05-0.00021732i,-0.00015633+0.00082542i,-0.00013063+0.00087569i,2.3712e-05-9.3817e-05i,0.00035279-0.00053623i,0.00081065-0.00040334i
0.00086063-0.00079999i,-0.00074024-0.0011339i,-0.0020543-0.0016338i,-0.0024678-0.001871i,-0.0021518-0.001105i,-0.001285+0.00033233i,2.4221e-05+0.0012266i,0.00073166+0.001677i,0.00054893+0.0015399i,0.00065086+0.00054123i,0.00082068+0.00022844i,0.00037422+0.00070805i,0.0001943+0.0010584i,0.0002633+0.00069442i,0.00015162+0.0006855i,0.00058988+0.0012201i,0.00076513+0.0009214i,0.00025819+0.00060509i,-0.00053719+0.00079669i,-0.0013045+0.00041552i,-0.0010405-0.00039951i,-0.00018329-0.00041843i,-4.0063e-05-0.0003508i
-0.00109-0.0006508i,-0.00052189-0.00090659i,0.00027206+9.4383e-05i,0.00033155+0.00086268i,-0.00037435+0.001221i,-0.00058555+0.001915i,-0.00032113+0.0022335i,-0.00026471+0.0021495i,-0.00010975+0.0017223i,0.00077848+0.00096192i,0.001106-8.3537e-05i,0.00065763-0.00011943i,2.5279e-05-0.0001321i,7.3111e-05-0.00019853i,0.00037724-0.00015125i,3.3347e-05-0.00020296i,0.00062744-0.00023836i,0.00063362-0.00044458i,-0.00088188+0.00029766i,-0.0015336+0.00042893i,-0.0010507+5.2405e-05i,-0.00054694+0.00022121i,4.485e-05+0.00051657i
0.00073895+0.0025687i,0.0019902+0.0014425i,0.0020422+0.00014222i,0.0020153-0.00077043i,0.0010696-0.0011232i,0.00029889-0.0014065i,0.00060211-0.00028901i,0.00052155+0.00034365i,0.001012-0.00041945i,0.0014462-0.0015767i,0.001119-0.0014201i,0.00074657-0.0012167i,0.00035064-0.0019057i,-0.00012303-0.0020476i,4.9192e-05-0.0014972i,0.00015174-0.00071732i,0.00036379-0.00060898i,0.000199-0.0010558i,-0.00026883-0.00033421i,-0.00067312+0.00029452i,-0.00090615+5.8811e-05i,-0.00046159-0.00020495i,1.8791e-05+0.00020952i
-0.00055507+0.0012895i,0.00031868+0.0022622i,0.00096718+0.0019527i,0.00096162+0.00029622i,0.00039631+0.00014133i,-0.00042719+9.4229e-05i,-0.00051961-0.0010459i,-0.00083024-0.001408i,-0.0019316-0.0013671i,-0.002039-0.0018845i,-0.0010043-0.0012683i,-7.1004e-05-0.00048506i,0.00077308-0.00070083i,0.00070844-0.001011i,0.00012927-0.0008584i,-9.7696e-05-0.00059004i,4.2921e-05-0.00069285i,-0.00047398-0.00049658i,-0.00091275-0.00045849i,-0.00052623-0.00056914i,-0.00067849-0.00060117i,-0.00051895-0.00021066i,-0.00022427+1.7541e-05i
-0.00037965-0.00099754i,-0.0014335+0.0006109i,-0.0019563+0.0015191i,-0.0016371+0.00084587i,-0.00074658+0.00076068i,0.00057031+0.001418i,0.00099929+0.00036474i,0.00027323-0.00082665i,-0.00094932-0.00015923i,-0.001253+0.0010123i,-0.00082271+0.0012953i,0.00012332+0.0009771i,0.00063681+8.2796e-05i,0.0009767-0.00039079i,0.00080944-0.00024087i,0.00013781-0.00042001i,-0.00011758-0.00060878i,0.00041494-0.00071363i,0.00067069-0.00082165i,0.00091481-0.00058585i,0.00060512-0.00075162i,-0.00044803-0.00093875i,-6.6039e-05-0.00044895i
-0.0019739-0.0014198i,-0.0023116-0.0016244i,-0.0024655-0.00055165i,-0.002076+0.0011244i,-0.00069455+0.002291i,0.00035179+0.00094109i,0.00089407-0.0010775i,0.00048114-0.0013946i,-0.00053459-0.00027891i,-0.00060315+0.00091443i,-0.00031025+0.00064952i,-0.00014043+0.00083853i,0.00041835+0.0013743i,0.00079408+0.0011782i,0.00028949+0.00045049i,-0.00046002+0.00014242i,-0.00070096+0.00023043i,0.00046167-0.00012586i,0.001574-0.00056086i,0.00077552-0.00071494i,9.3072e-05-0.001182i,0.00016224-0.0010536i,-7.1471e-05-0.0010417i
-0.0016364-0.0022306i,-0.0014096-0.0014892i,-0.0015393-0.00029215i,-0.001166+0.00050486i,-7.1027e-05+0.00068991i,0.00087933+0.00048808i,0.00097645-0.00012177i,0.0013671-0.00038608i,0.0013077+0.00036855i,0.0016128+0.00035145i,0.001714+5.902e-05i,0.001086-5.7328e-05i,0.0014221-8.359e-05i,0.0018792+0.00028187i,0.0015726+0.00075671i,0.0008696+0.00077448i,0.0003985+0.00069051i,0.00080444+0.001107i,0.0015103+0.00076511i,0.0016677-9.6437e-05i,0.00057294-0.00086031i,-0.00020167-0.00083089i,0.00024071-0.00049555i
-0.0013205+0.00053015i,-0.0012832-0.00036484i,-0.0014264-0.00083934i,-0.00079521-8.4444e-06i,6.9308e-05+0.0011974i,0.00020154+0.0016496i,0.0011336+0.0013939i,0.0014107+0.00072194i,0.00070989-7.6996e-05i,0.00017083-0.00071569i,-0.00031974-0.00074455i,-0.00079514-0.00039593i,-0.00084814-0.00043277i,-0.00087176-0.00014297i,-0.00042368+0.00012845i,0.00018418-0.00038484i,6.8264e-08-0.00064351i,-0.00060597-0.00086852i,-0.00036902+0.00017361i,-0.00054672+0.0013742i,-0.0010193+0.00067108i,-0.00032619-0.0002534i,0.00066128-0.00076909i
0.0035656+0.00058229i,0.0032286+0.00050197i,0.0021482-0.001261i,0.00064115-0.0020966i,-0.00056326-0.00073346i,-0.00049921+0.0010563i,-0.00015831+0.0013254i,-0.00029758+0.00022439i,-0.00059726-0.0015237i,-0.0015625-0.0020006i,-0.0021155-0.0012557i,-0.0018477-0.00021363i,-0.0012517+0.00019574i,-0.00017622+0.00047289i,0.0002713+0.00077694i,0.00022847+0.00076444i,-0.00048953+0.00094281i,-0.00057756+0.00087496i,-0.00010683+0.00078924i,0.00047683+0.0011382i,0.00092062+0.0013623i,0.00038124+0.0012129i,-4.5233e-05-2.8598e-05i
-0.0004959-0.00023613i,-0.00018096+0.00050965i,6.8587e-05+0.0006031i,-0.00076103+0.00065861i,-0.00083182+0.00063638i,0.00034672+0.00032541i,0.00096266-0.00061131i,0.00091507-0.001458i,0.00022422-0.0010838i,-0.0013643-0.00013438i,-0.001341+0.00031156i,-0.00026873+0.00056861i,-0.00012226+0.00024527i,9.4036e-05-0.00037004i,0.00016031-0.00084272i,-0.00084355-0.0011219i,-0.0015523-0.00074919i,-0.00075956-0.00046277i,-0.00046844+1.2364e-06i,-0.00068728-0.00076051i,-0.00033711-0.0005355i,-0.0010423+0.00069194i,-0.0012419-4.8851e-05i
-0.0021588-0.0003744i,-0.0022629+0.001195i,-0.0018388+0.001145i,-0.00085674+0.0010498i,-0.00022183+0.00063794i,0.00044733-0.00024457i,0.0007913-0.0007026i,-0.00024817-0.00069392i,-0.0011113-0.00038069i,-5.7547e-05+0.00019742i,0.0012954+0.00026621i,0.001496+0.00013513i,0.001402-3.6903e-05i,0.00096266+0.00020646i,0.00076163+2.1294e-06i,0.00067388-0.0006667i,0.00018872-0.0011882i,-0.00023982-0.0009722i,-0.0009216+0.00033773i,-0.0017291+0.0010035i,-0.0017112+0.0010617i,-0.0013722+0.0010638i,-0.00083273-0.00010638i
0.00061317+0.0010953i,0.0013275+0.001697i,0.0016926+0.0012877i,0.0016854+0.0003219i,0.00086801+0.00018172i,-7.2983e-06+0.00042539i,-0.00020838+0.0010301i,3.1251e-05+0.001249i,0.00061964+0.0012784i,0.0014816+0.00024124i,0.0018214-0.0010462i,0.00098793-0.0014972i,-0.00041318-0.0015558i,-0.0005183-0.00095637i,-0.00046932-0.00083869i,-0.00038536-0.00019814i,3.2845e-05+0.00055918i,6.9627e-05+0.00013236i,-0.00041005-0.00084591i,-0.00085718-0.00090851i,-7.383e-05+6.6273e-05i,0.00075127+0.00051783i,0.00037934+0.0010267i
0.00034103+0.0001041i,-0.00056461+0.00019157i,-0.00063472+0.00092153i,-0.001626+0.0014921i,-0.0024125+0.0009385i,-0.00061404+0.00087316i,0.00068782+0.0011846i,0.00069583+0.0011324i,0.00090525-0.00038299i,0.00099687-0.0022274i,0.00037781-0.0025555i,0.00026494-0.0018323i,0.00081123-0.00072437i,0.0006144-2.1134e-05i,0.00076936-0.00016726i,0.0013046-0.0010849i,0.0012836-0.0016374i,0.0012185-0.0016587i,0.00083617-0.0019271i,-0.00031611-0.0021284i,-0.00094298-0.0011096i,-0.00067771+0.00046567i,-0.00035989+0.00040769i
0.00092115+0.0013898i,0.00085747+0.0014359i,0.0017028+0.0010714i,0.0018634+7.8924e-05i,0.00093344-0.00049035i,-0.00028018-0.00097455i,-0.00065761-0.00093992i,0.00026067-0.00028929i,7.6522e-05-0.00060044i,-0.0013093-0.0015212i,-0.002528-0.00056496i,-0.0027586+9.2099e-05i,-0.0016681-1.1708e-05i,-0.0010455+0.00011862i,-0.00029006-0.00018943i,0.00082792-2.0118e-05i,0.00098978-0.0005691i,0.00058673-0.00094077i,0.00024746-0.00069887i,0.00042415-0.00079558i,0.00073134-0.00049002i,0.00014145+0.00026066i,9.4117e-05+0.00042871i
