-0.0014418+0.00021747i,-0.00099048+0.00055i,-0.0010592-3.5732e-05i,-0.00057592-0.0008784i,-0.00091047-0.00037897i,-0.00068737+0.00035224i,4.7578e-05+0.00025391i,-0.0001045-0.00029737i,-0.00040773-7.7299e-05i,-0.00033818+0.00053286i,0.0001372+0.00013787i,0.00019393-0.00048316i,6.5876e-05-0.00097549i,0.00013025-0.0011555i,5.7711e-05-0.00042275i,2.258e-05+0.00044417i,0.0001173+6.7538e-05i,-4.7525e-05-0.00060463i,0.00035133-7.5051e-05i,0.000539+0.00028854i,0.00045678+0.00024426i,0.00029123-0.00034472i,-0.00034785-0.00049679i
-0.0015713+0.00010739i,-0.00115-0.00068997i,-0.001553-0.0010746i,-0.0025094+0.00019728i,-0.0019853+0.0011106i,-0.0003179+0.0010152i,0.00049049+0.00022837i,0.0002287-0.00039456i,2.0035e-05-0.00042933i,0.00069926-0.00030453i,0.00086836-0.0002304i,0.00054467-0.0002401i,-0.0002337-6.9936e-05i,-0.00060088+0.00020427i,-0.00035299-0.00045025i,0.00030425-0.00076827i,0.00014195-0.00043781i,-0.00023059-0.00084871i,0.00014947-0.0014316i,0.00042807-0.00063308i,0.00021725+0.00074247i,-0.00020546+0.0011061i,0.00062644+8.8979e-05i
-0.0010971+0.00045614i,-0.00053742+0.0001806i,0.00026671+0.00010056i,0.0015008+0.00032235i,0.0014361+0.00084296i,0.00094895+0.0011783i,0.00085886+0.00071314i,0.00086091+0.00020067i,9.3836e-05-0.00045762i,-0.00041887-0.00082984i,-0.00071867-0.00037335i,-0.0015201+0.00025416i,-0.0017482+0.0007625i,-0.00073878+0.0002822i,0.00025972-0.00041822i,0.00023271-9.1798e-05i,0.00046212+0.00028749i,0.00038661+0.00015762i,0.00022907-1.2964e-05i,-5.4288e-05-0.00016956i,-0.00042405-0.00019787i,-0.00089901-0.00046459i,-0.0005246-0.0010551i
0.0010307-0.0020184i,0.0001154-0.001681i,-0.0014739-0.0014625i,-0.0027558-0.0015858i,-0.0018601-0.0015133i,-0.00028024-0.0011281i,0.00011508-0.00098446i,0.00040335-0.0011538i,0.00067433-0.0014519i,-0.00025209-0.00092818i,-0.0008053-0.00014834i,-0.00062021+0.00027258i,-0.00028615+0.00026164i,-4.7147e-05-0.00028896i,6.7183e-05-0.0011295i,0.00021324-0.00072328i,-0.00067248+0.00031555i,-0.00084541+0.0003037i,-0.00078328+4.1467e-05i,-0.00093696-0.00045155i,-0.00039546-0.0007085i,0.00023125-0.00050138i,-8.4307e-05-0.00020726i
-0.00084602+7.9836e-05i,-0.00089715-0.00011704i,-0.00032279-0.00050365i,0.00059568-0.00026252i,0.00071422-0.00040898i,-5.9966e-05-0.0011909i,-0.00076943-0.0011202i,-0.00052625-0.0012965i,-0.00019688-0.00085742i,-0.00072553-0.00026227i,-0.0012111-0.00025187i,-0.0012678-0.00015049i,-0.00070957-0.00022852i,-8.349e-05-0.00014966i,-9.7334e-05+1.1711e-05i,-0.00070176+0.00032703i,-0.001032+0.00025574i,-0.0007234-0.00058075i,1.9713e-05-0.00082343i,0.00060471-0.00047982i,0.00046004-8.0546e-06i,-0.0003248+0.00054403i,-0.00053928+0.00060673i
0.0011916+8.4325e-05i,0.00056933-0.000386i,0.00023271-0.0013916i,-0.00061085-0.0018969i,-0.00090691-0.0011822i,-0.00036199+0.00015279i,-0.00025206+0.00010683i,0.00011179-0.00070107i,0.00041718-0.0014019i,9.2412e-05-0.001576i,-2.3992e-07-0.0016172i,-3.2573e-05-0.00079252i,-0.0004384+0.000312i,-0.00018067+0.00039371i,0.000444+0.00015376i,0.00044981-0.00041304i,0.00025504-0.00020045i,-0.00018688-4.6101e-05i,7.2492e-05-2.0885e-05i,-6.1129e-05+0.00026982i,-0.00026728+0.00018429i,-8.3437e-05-0.0006144i,2.5379e-05-0.0002789i
-0.0010103+0.0008064i,3.7912e-05+0.00064356i,-0.00048781+0.00038163i,-0.00089169+0.00072773i,3.0804e-05+0.00084232i,0.0011822+0.00083988i,0.0011218+0.00039279i,-0.00043544-7.7464e-05i,-0.0014445+3.4147e-05i,-0.0013965+0.00043224i,-0.0010094+9.1823e-05i,0.00011133-0.00019509i,0.00047241-0.00033483i,1.6741e-05-0.00072997i,-0.00077659-0.0007091i,-0.00068035-0.00073478i,0.00010508-0.0011082i,0.0011918-0.0009808i,0.0013026-4.4729e-05i,0.00018249+0.00030288i,-5.2607e-05+0.00045867i,-0.00029717+0.00011181i,-0.0007671-0.00070267i
0.00040843-0.00023918i,0.0010648-0.00027876i,0.0012124-0.00064832i,0.00092174-0.00061995i,1.4142e-05+0.00028858i,-0.0012635+0.00048852i,-0.0016162+0.00055658i,-0.00092623+0.00041328i,5.9192e-05-0.00039331i,2.998e-05-0.00082457i,-0.00035119+6.6003e-06i,-0.00045308+0.00078306i,-0.00016723+0.001176i,0.00055387+0.00075882i,0.00054742-0.00026275i,0.00088067-0.00017703i,0.00083511-3.6721e-05i,0.00029765-0.00030049i,0.00046977-0.00055749i,2.5399e-05-0.00076679i,-0.00057393-0.00026457i,-0.00043849+0.00013254i,-0.00017839+0.00031375i
-0.0013777+0.0012257i,-0.00097982+0.0020011i,-0.0013739+0.0018134i,-0.00091434+0.0013107i,-8.0231e-05+0.00082861i,0.00094966+0.00032999i,0.0011602-0.00031347i,0.00035114-0.00073147i,0.0003009-0.0002957i,0.00064343+3.0755e-05i,0.00069657-0.00026716i,0.00064566-0.00069143i,0.00010081-0.00068512i,-0.00035097-0.00054412i,-0.0003463-0.00011478i,-0.00080772-0.00035074i,-0.00089573-0.00069637i,-0.00044877-0.00087215i,-0.00048286-0.00061895i,-0.0005876-9.7185e-05i,-0.00088926+0.00032518i,-0.0012668+0.00029249i,-0.0010499+0.00041532i
-0.00058796-0.0011662i,-0.000417-0.0008895i,-0.00073585-0.0012601i,-0.00044489-0.00018725i,-0.00027271+0.00037685i,-0.00066923+0.00042825i,0.00069589+0.00070884i,0.0012896-0.00021575i,0.00043713-0.001351i,0.00025378-0.0018148i,0.00012469-0.0013909i,-5.8527e-05-0.00020943i,7.3988e-05-8.4213e-05i,-0.00035158-0.0012208i,-0.0007764-0.001311i,-0.00081871-0.0001788i,-0.00029462+0.00059937i,0.00043985+0.0003389i,0.00044281-0.00039567i,-0.00021897-7.6824e-05i,-0.00041127+1.7695e-06i,-0.00025292+0.0001893i,0.00021205+0.00023015i
0.00013+0.00010308i,0.00073348+0.0002674i,0.0014029+0.0009294i,0.0015358+0.00060293i,0.00090534+3.1297e-05i,-8.88e-05-0.00055039i,5.1932e-05-0.0011462i,-0.00019176-0.0014286i,-0.000403-0.0018134i,-0.00036532-0.0013273i,-0.00027024-0.00086031i,0.00049564-0.00071373i,0.00018984+0.00088177i,-0.00044953+0.001204i,-0.00044978+6.279e-05i,-0.00080442+0.00022126i,-0.0001207+0.00061252i,0.00058935+1.0589e-05i,9.9683e-05-0.0008351i,0.00019463-0.00063879i,0.00030504+0.00048549i,0.00035275+0.0010656i,0.00043619+0.000993i
8.1375e-07-0.00029175i,0.00094345-1.0151e-05i,0.0012026-0.0012382i,0.00097466-0.00098476i,0.00064927-5.7697e-05i,-0.0003608+0.00075518i,-0.00068033+0.0011659i,-0.00079521+0.00025059i,-0.0014106-0.0006999i,-0.001617-0.00085242i,-0.0011456-0.0010736i,-0.00049178-0.00087524i,-0.00020641-0.00085871i,0.00025643-0.00088391i,0.00040472-0.00046091i,0.00048494-2.3559e-05i,0.0010339-0.00020972i,0.0011343-0.00030847i,-0.00047173+0.0001977i,-0.0014145+0.00090463i,5.1485e-05+0.0010581i,0.00095189+0.00072565i,0.00043646+0.00094672i
-0.0012521+0.00075464i,-0.0010494+0.00076549i,-0.00059785+0.001091i,0.00016348+0.0011522i,0.00055229+0.00087048i,3.4235e-05+0.0002875i,-0.00016679-0.0006632i,-0.00031082-0.00046986i,-0.00067408+0.00012445i,-0.00082821-0.00051814i,-0.0005067-0.0002792i,-0.00050266+0.00055959i,-0.00034295+0.00062195i,-0.00027293+0.00021661i,-0.00023874-9.5024e-05i,-2.6831e-05-3.6343e-06i,-0.00057488+8.5081e-05i,-0.00071962+0.00083057i,-9.6234e-05+0.00068378i,-0.00044321-0.00025118i,-0.00090979-0.00038448i,-0.00082449-0.00077865i,-0.00029184-0.0010518i
-0.0011123-0.0011744i,-0.0015331-0.00057503i,-0.002076+0.00049296i,-0.00091767+0.0012457i,-2.1436e-05+0.0014069i,0.001321+0.00071688i,0.0017095-0.00078464i,0.00047119-0.0012387i,-0.00020546-0.00090826i,-0.0016412-0.00025022i,-0.0020339+0.00022625i,-0.00044672+0.00014634i,0.00012075-0.00082769i,-0.00060826-0.00076063i,-0.00050354+0.00016392i,2.0568e-05+0.0003789i,-0.00030107+0.00049575i,-0.00028956+0.00037572i,-0.00071851+0.00042891i,-0.00070436-0.00010967i,-8.8786e-05-0.00052398i,-0.00022029-0.00034911i,-0.00065225-0.00012196i
0.00035131-0.00085664i,0.00038447-0.00092466i,-0.00057895-0.0024306i,-0.0018199-0.0029353i,-0.0024721-0.0017467i,-0.0031137+0.0004232i,-0.0018546+0.0014349i,-0.00065317+0.0001937i,0.0001235-0.0010449i,0.00081569-0.00080666i,0.00047702-0.00026548i,0.00015601-0.00022122i,0.00022215-0.00012452i,-0.00018184-0.00038526i,0.00060879-0.00092i,0.00079162-0.00038271i,-0.0004022+1.6684e-05i,-0.00069801-0.00071397i,-0.00018471-0.00083452i,0.00017232-3.3893e-05i,-0.00023821-0.00020584i,-0.00036959-0.00042024i,-4.1042e-05+0.00043277i
0.00055148+0.0014935i,0.00047093+0.0018152i,0.0014633+0.002044i,0.0024219+0.0012511i,0.0024705+0.00068599i,0.002058+0.00091582i,0.0012689+0.00084316i,0.00058092+0.00036494i,0.00010401-0.00037567i,-0.00050718-0.00033374i,-0.00071666-0.00019005i,-0.00072569+0.00032023i,-0.0013372-0.00035615i,-0.0016566-0.00080247i,-0.00074925+0.00027403i,0.00032212+0.00067667i,0.00028508+0.00016157i,-0.00067209+0.00039797i,-0.0012283+0.0008686i,-0.0010317+0.00076257i,-0.00063557-0.0002605i,0.00036283-0.00078829i,0.00075629+0.00020265i
-0.00025837+5.9253e-05i,-0.0015217-0.00017211i,-0.0014429-0.0002995i,-0.00083561-0.00015351i,-0.00089797-0.00047248i,-0.0013624+0.00020035i,-0.00088702+0.00061034i,0.00018783-0.00027399i,0.00046578-0.0016118i,0.00040232-0.0023251i,-0.00076471-0.0018879i,-0.0023208-0.00084533i,-0.0016492-0.00016195i,-0.00077024+0.00047068i,-0.0006067+0.00047686i,-9.4071e-05-6.3674e-05i,-0.00021175-0.00023455i,-0.00052231+0.0004273i,-0.0002653+0.00092445i,0.00016421+0.0011825i,-8.3179e-05+0.00058879i,-0.00032148-0.00012153i,-7.5824e-06-0.00028952i
-0.00023644-0.00059031i,-0.00052586-0.00049207i,-0.00045675-0.0008583i,0.00029082-0.001444i,0.00063557-0.001722i,0.0003806-0.00096814i,-0.00015116-0.00043518i,-0.00018031-0.0012311i,0.00027649-0.0015339i,-8.2191e-05-0.0010792i,-0.0006429-0.00065237i,-0.00016511+5.4431e-05i,0.00018095+0.0012558i,5.8356e-05+0.0013452i,-5.3033e-06+0.00035558i,-1.2219e-05-0.00013792i,0.00037062-0.00042773i,0.00038689-0.00019921i,-0.00021908+0.00013049i,-0.00097521-0.00039275i,-0.00095742-0.001159i,-0.00078579-0.0010955i,-0.00044894-0.00050297i
0.00053437-0.00018936i,0.00057008+0.00053838i,0.00031339+0.00054862i,-0.0005913+0.00026842i,-0.00088143+0.00075588i,-0.00074389+0.0010369i,-0.00011242+0.00040434i,0.00015193-0.00041001i,-0.00030848-0.0016809i,-0.00037781-0.0018947i,-0.00070582-9.7404e-05i,-0.00068511+0.0010479i,-0.00045214+0.00098402i,-0.0002763+0.00082511i,0.00086248+0.00021427i,0.0014035-6.2433e-06i,0.00096328-0.0002765i,0.0008317-0.00074274i,0.0007495-0.00019381i,0.00057106+0.00021342i,0.00064303-4.7536e-05i,0.00030051+1.7939e-05i,-0.00010175-0.0001299i
0.0012565+0.00038817i,0.0017742+0.00010401i,0.0011512-0.00063519i,0.00021036-0.0016868i,-0.00085325-0.0017275i,-0.001734-0.00065811i,-0.0016554+6.4162e-06i,-0.00097189-0.00047591i,-0.00022611-0.0010277i,-0.00028075-0.00085131i,-4.6666e-05-0.00042415i,6.875e-05-0.00015614i,-0.00051535-0.00040007i,-0.00094103-7.2044e-05i,-0.00028842+9.9797e-05i,0.00082695-8.2151e-06i,0.00091312-0.00037883i,0.00059711-0.00075463i,0.00037523-0.0014636i,0.00015221-0.0015183i,8.9513e-06-0.0008835i,-0.00062264-0.00075228i,-0.00033009-4.2392e-05i
0.0010752-0.00026044i,4.4178e-05-0.00023889i,-0.00065785-0.00046551i,0.00031844-0.00042733i,0.00093558+0.00013404i,0.00022991+0.00098717i,-0.00022915+0.0013339i,-0.00031582+0.00033092i,-0.00067125-0.0015055i,-0.00078535-0.0020793i,-0.0011459-0.0014078i,-0.0015054-0.00056826i,-0.0014305-0.00020669i,-0.00076105+0.00014286i,0.00032191+9.4505e-05i,0.00033992+0.00018813i,-0.00038055-0.00015367i,-0.00042005-0.00041182i,0.0002432-0.00011042i,0.00065938-0.00018572i,0.00018687-0.00071386i,-0.00026751-5.227e-05i,-0.00073758+0.00052913i
0.00043617+0.0001152i,0.00081215+0.00019585i,0.0022484-0.00023614i,0.0015478-0.000606i,-0.00046526-0.00093092i,-0.0013141-0.00071869i,-0.00064914-0.0005967i,0.00032209-0.0008123i,0.00076136-0.0013095i,0.00041733-0.0014845i,-0.00028466-0.00075647i,-0.0011633-0.00056892i,-0.0016713-0.00032225i,-0.0010286+0.00080995i,-0.00060457+0.0010382i,-0.0010244+5.8722e-05i,-0.001013-0.00058501i,-0.00051732-5.6839e-05i,0.00037933+0.00018089i,0.00094584-0.00064176i,0.00068626-0.0005833i,0.00024925+0.00022232i,0.00063374-0.00036899i
0.00083193+0.00016021i,-0.00038349-0.00021341i,-0.0010722-0.0011872i,-0.00056598-0.001718i,-0.00070277-0.00094306i,-0.0015417+0.0003139i,-0.00097391+0.00057682i,5.8784e-05+8.8242e-06i,0.00065971-0.00028897i,0.00067309+8.8396e-06i,0.0001002-9.1276e-06i,-0.0003443+8.436e-05i,-0.00060754+0.00051235i,-0.00094943+0.00066399i,-0.00091448+0.00052618i,0.00024008-6.0285e-05i,0.00045915-0.00012102i,-0.00032392-0.00071017i,-0.00060395-0.0011059i,-0.00027549-0.00092063i,-0.00020255-0.00063049i,-0.00055478+2.7601e-05i,-0.00085919+0.00011628i
-5.615e-05-6.871e-05i,-0.0012395-0.00049561i,-0.0012005-0.00036662i,-0.00047576+0.0011202i,-7.3568e-05+0.0012265i,-3.3273e-05-0.00039761i,0.00036605-0.00052119i,0.00089297+7.4883e-05i,0.0010941+2.6002e-05i,0.00045591-9.5351e-05i,-0.00029293-0.00067662i,-0.00036688-0.00042168i,-0.00051921+0.0003611i,-0.00065327+0.00013853i,-0.00039604+2.6081e-05i,-0.00029994+0.00074765i,-0.00057251+0.00048196i,-0.00064493-0.0010524i,-0.00045117-0.0011113i,-0.000611-0.0003796i,-0.00093449-0.00036678i,-0.00054143-0.00020076i,0.0005068+4.3809e-05i
-0.00089418+0.00094304i,0.00093007+0.0013724i,0.0020599+0.0016781i,0.0027041+0.00085426i,0.0022742-0.00041074i,0.00070845-0.00054576i,0.00046916-0.00058383i,0.0010159-0.00094399i,0.00074906-0.0013478i,0.00018196-0.0018903i,8.0712e-05-0.0018389i,0.00052559-0.00084461i,0.00042216-0.00040893i,-0.00021912-0.0010297i,-0.00050454-0.000548i,-0.00039981+0.00078566i,0.00019479+0.00045394i,0.00014981-0.00051768i,0.0003924-4.4496e-05i,0.00056819+0.0006425i,0.00015057+0.000229i,-0.00016126-0.00027568i,-0.00033105+0.0002598i
7.6176e-05+0.001056i,0.00033693+0.00113i,0.00097869+0.00013471i,0.0014307+0.0002019i,0.00093963+0.00028847i,0.00076062-0.00026119i,0.00070802-5.7287e-06i,0.00020421-0.00040978i,0.000568-0.0010521i,0.00041275-0.00055484i,0.00031839-0.00040073i,0.0006822-0.00060982i,0.00052697-0.00036175i,0.00074057+5.0979e-05i,0.00039001-0.00022784i,1.6961e-05-0.00065915i,0.00050719-0.00047526i,0.00084818+0.00031166i,0.00062124+0.00078257i,0.00044491+9.3098e-05i,5.1507e-05+0.00021684i,-0.0003003+0.00035966i,8.4356e-05-9.1662e-05i
-0.0015647-0.0011686i,-0.0018801-0.00046418i,-0.0010117+0.00062587i,-0.00095372+0.001281i,-0.00096708+0.0013738i,-0.00043391+0.00071503i,0.00049265+0.00052562i,0.00024836+0.00012134i,-0.00094074-0.0012621i,-0.0011338-0.0016573i,-0.0010938-0.00057905i,-0.00063427-0.00029372i,-0.00056216-0.00058799i,-0.00062036-0.00029459i,3.0095e-05-0.0002564i,0.00075313-0.00053611i,0.001185-0.00017853i,0.00084971+0.00054616i,0.00039392+0.00021841i,0.00021826-0.00051413i,-0.00043361-0.00037311i,-0.00032558-0.00035484i,0.00095923-4.9946e-05i
-0.00032826-0.0012148i,0.00013641-0.00093957i,0.00028751+1.1808e-05i,-0.00022158-0.000529i,-0.00018483-0.001147i,-0.00010534-0.0011586i,-0.00056725-0.00076951i,-0.00047886-0.0004212i,0.00049172-0.00044471i,0.00060748-0.00047345i,-0.00012079-0.00020969i,-0.0003847-0.00020295i,-0.00077651-0.00059596i,-0.0011659+0.00014284i,-0.0013419+0.00090184i,-0.0012892+0.00055838i,-0.00075398+0.00026681i,-0.00021469-0.00080968i,0.00015188-0.0016966i,0.00032189-0.0012028i,-0.00017683-0.0008951i,-0.00019774-0.00091482i,-0.00030814-0.00096939i
0.00051373-0.00058184i,0.00060099-3.0208e-05i,6.1496e-05-5.883e-05i,-0.00019042-0.00057342i,-2.2328e-05-0.00030063i,0.00032135+0.00044496i,0.00027646+0.00084113i,-3.1252e-05-0.00034394i,-4.5961e-06-0.0015619i,-0.00053111-0.0012045i,-0.00090892-0.0010763i,-0.0014272-0.000763i,-0.0012987-0.0002943i,1.1902e-05-1.2494e-05i,0.00047677-0.00012499i,0.00028157-0.0007396i,-2.8428e-05-0.00049084i,-3.366e-05+0.00025032i,0.00026662+0.00063133i,-7.9821e-05+0.00056436i,-0.00015473-0.00014525i,-0.000372-0.00011969i,-0.0006876+0.00076301i
0.00074907+0.00090322i,-0.00019316-0.00071811i,0.0011142-0.002577i,0.0017727-0.0030779i,0.00057466-0.0022419i,-0.00020986-0.00072168i,0.00014349+0.00068052i,0.00050168-0.0001652i,0.00076831-0.0013605i,0.00051602-0.0011585i,1.4466e-06-0.00076656i,-0.0002852-0.00086445i,-0.0003939-0.00069645i,-0.00040189+0.00061203i,-0.00033055+0.0018092i,0.0001165+0.0011524i,0.00017822+0.00039053i,1.3116e-05+0.00027673i,-0.00049716-0.00039386i,-0.00059103-0.000115i,-0.00045489+0.00039773i,-0.00043076+0.00017737i,-0.00028483+0.00031931i
-0.0010977-0.0024282i,-0.00083216-0.0027624i,-0.00092207-0.0027466i,-0.0010319-0.0025491i,0.00011063-0.00080638i,0.0014792+0.0010933i,0.0015849+0.0010578i,0.001309-0.00039195i,0.00047282-0.0017697i,-0.00097938-0.0019116i,-0.0015946-0.00061401i,-0.0017698+0.0005059i,-0.0010763+0.00069943i,-1.3519e-05+0.00056601i,0.00070421-0.00025403i,0.00066045-0.00024373i,0.00016511-0.00031011i,0.00015438-0.00057719i,-8.9184e-05-0.00019892i,-0.00023463+3.8814e-05i,-0.0005058+0.00027428i,-0.0007227+0.00041588i,0.00012222-0.0004488i
-0.00016293-0.0004443i,0.0004633+0.00036108i,0.0015011+0.001619i,0.0020147+0.0012927i,0.00077933+5.0412e-05i,-0.0006843-0.00018794i,-0.00060404+0.00024383i,0.00029052-0.0003546i,0.00056066-0.0010221i,-6.0374e-06-0.00093461i,-0.00024099-0.00038847i,-0.00044136+7.0286e-05i,-0.0003193+0.00015644i,-0.00047566+0.00044056i,-0.00080122+0.0011497i,-0.00015507+0.00098077i,0.00050581+0.00031553i,0.0003397+0.00026428i,-0.00027009+0.00047892i,-0.00040875-0.00026499i,0.00023803-0.0011763i,0.00075486-0.00044231i,0.00018111+0.00043087i
-0.00068616+0.0014811i,-0.00039605+0.0019345i,-9.3083e-05+0.0011264i,0.00077494-0.0002525i,0.00021817-0.0007355i,-0.0016172-0.00085181i,-0.0020541-0.000681i,-0.00058141-0.00075126i,0.0006929-0.0015733i,0.00059952-0.0021294i,0.00018363-0.0015955i,0.00017125-0.00065754i,-0.00020013+0.00050475i,-0.0014492+0.00083016i,-0.001154+0.00065752i,-0.00024759+0.0008731i,9.5835e-06+0.00037033i,0.00022192-0.0005973i,0.00040002-0.00027546i,-0.0002448-4.7769e-05i,-0.00077635-0.00068253i,-0.00061831-0.0010236i,-0.00075478-0.00033116i
-0.00060734-0.00038139i,-0.00086284-0.00047396i,-0.00051105+0.00017808i,-0.00031236+0.0014758i,-0.00042725+0.0014454i,0.00029096+0.00023808i,0.00033033-4.1818e-05i,-0.00011503-9.3336e-05i,-0.00018622-0.0010628i,-0.00027937-0.0013112i,-1.1549e-05-0.00041367i,0.00038069+0.00019315i,5.4242e-05+0.00028955i,-0.00051882+0.00067348i,-0.00074294+0.00064274i,-0.00018413-9.2231e-05i,0.00019185-0.0012461i,0.00034871-0.0014286i,0.00035704-0.00088605i,-0.00025875-0.00052713i,-0.0010116-0.00025592i,-0.00049479-0.00020446i,0.00032335-0.00014089i
0.00032972+0.00083848i,0.00085951-0.00066006i,0.0010468-0.0012077i,0.0016569-0.0015038i,0.0011464-0.0013968i,0.00051066-0.00085839i,0.00059529-0.00032258i,0.00040999-0.00081758i,-0.00015068-0.0013129i,0.00047201-0.0015728i,0.0012633-0.0017481i,0.00086391-0.001213i,0.0001573-4.5612e-06i,-0.00051262+0.00027828i,-0.0002578-0.00013838i,0.00036226+0.00032927i,0.00063117+0.0003403i,0.0011395-0.00066882i,0.0010299-0.0005709i,0.00037225-0.00015391i,-0.00041675-0.00024288i,-0.001494-0.00070881i,-0.0015987-0.00096629i
-2.1486e-05-0.00026838i,0.00020255+0.00098268i,-0.0010104+0.0011074i,-0.0014631+0.00059738i,-0.00055763+0.0003884i,0.00033482+0.00075529i,0.00091693+0.00076519i,0.00036807+0.00052217i,-0.0004184-0.00064924i,-0.0003505-0.0012876i,0.00063004-0.00071842i,0.00059105-0.00028042i,-0.00037109+4.7414e-05i,-0.00045526+0.00044439i,-0.00030397+0.00041668i,0.00031264-0.00034345i,0.00050481-0.0004882i,0.00036654-0.00042054i,4.0006e-05-0.0012861i,-1.9208e-05-0.0013471i,0.00041495-0.00117i,-0.00020232-0.00085108i,-0.00065484-0.00074006i
-0.00015263+0.0025318i,0.00051298+0.0022568i,0.0012606+0.0010673i,0.0013837-0.00026359i,0.00058919-0.0014286i,-0.00084087-0.0013994i,-0.001617-0.00022637i,-0.00085266-1.2999e-05i,0.00065383-0.0011612i,0.00046325-0.0020599i,-0.00065069-0.0022771i,-0.0012683-0.0017404i,-0.0010966-0.00038785i,-0.00048104+0.0010837i,-0.00017255+0.0013022i,-0.00011072+0.0006928i,-2.2947e-05+0.00043298i,0.0003973+0.00013597i,0.00061901-0.00032216i,0.00020961-0.00026517i,0.00016975+0.00064198i,0.00069494+0.0012763i,0.0006494+0.001092i
6.8421e-05-0.00046574i,-0.00031581-0.00099085i,-0.00026619-0.0011791i,0.0010009-0.0017654i,0.0018116-0.0013959i,0.00016438-0.00042251i,-7.4443e-05+0.00017486i,0.0010385+0.00037518i,0.0010915-5.0552e-05i,0.00077147-0.0011071i,0.00027702-0.0015782i,-0.00033177-0.00091846i,-0.00075782+0.00029696i,-0.00029514+0.0014886i,0.00018338+0.001667i,-0.00015189+0.00050166i,9.8759e-05+0.00021398i,0.00051968-0.00027379i,0.00040127-0.00085004i,-0.0001007-0.00084362i,-0.00034017-0.00035708i,-0.0003373+0.00043638i,9.7377e-05+0.00045568i
-0.0004951-0.00028279i,0.0006656-0.0012293i,0.0020336-0.00015128i,0.001759+0.00057539i,0.0016268-0.00032285i,0.001334-0.0012042i,0.00079363-0.0012043i,0.00070708-0.0010017i,0.00012005-0.0009447i,-0.0006221-0.00096094i,0.00015673-0.00075564i,-0.00012388-0.0003916i,-0.0011385-0.00047111i,-0.0008908-0.00022581i,0.00038082+0.00028284i,0.00072937+0.00023084i,9.8539e-05-0.00019163i,-0.00044277-0.00010602i,-0.00093757+3.6381e-05i,-0.00057244+0.0005189i,-0.00080623+0.00037638i,-0.00075936-0.00030677i,-0.0001616-0.00021081i
-0.0010792-0.0010082i,-0.00078454-0.00019637i,-0.0011705+0.00076967i,-0.0008224+0.0014461i,-0.00085442+0.00042068i,-0.00078512-0.00079649i,0.00037074-0.0013793i,0.0006125-0.0019403i,5.3615e-05-0.0023286i,-0.0004397-0.0016008i,-0.0006444-0.0010331i,-0.0001473-0.00062602i,0.001058-0.00016337i,0.0016761-0.00042615i,0.00062108-0.00010673i,-7.3845e-05+0.00047093i,-0.00016218+0.00040353i,0.00010751+0.00014617i,0.00094929-9.4604e-06i,0.00056164+0.00068748i,0.00033808+0.00087679i,0.00021478+0.00063339i,8.3111e-05+0.00051674i
0.0004498-0.00051006i,-0.00073685-0.0010462i,-0.0017282-0.00091331i,-0.0015885+0.00015754i,-0.0011781+0.00060381i,-0.00095207+0.00050251i,-0.00053547+0.00021402i,-0.000904-0.00090346i,-0.0013352-0.0013055i,-0.00087889-0.00086991i,-0.00068343-0.00042695i,-0.00051174-0.00016476i,-0.000254-0.00010257i,-0.00046059+0.00033998i,-0.00018056+0.00011884i,-0.00014225-0.00019067i,-0.00039738-0.00045799i,-0.00073598-0.0014829i,-0.0012443-0.0016171i,-0.0015369-0.00084647i,-0.0012015-0.00016409i,-0.00059905+0.00042364i,0.00027486-1.2358e-05i
-0.00033571+0.00087418i,0.0005004+0.00096757i,0.00089785+0.0011893i,0.0015789+0.00052604i,0.0013035+0.00038877i,9.7987e-05-0.00046796i,8.3859e-05-0.00055495i,-0.00024428+0.00074792i,-0.00073994+2.3369e-05i,-0.00043534-0.00052572i,-0.00026835-0.00031855i,-7.3627e-05+0.00028171i,-0.0010038+0.00026012i,-0.0017601-0.001135i,-0.0012085-0.00099091i,-0.00071789-0.00040029i,-0.00057971-0.00043238i,-0.00040257+8.069e-05i,-0.00076535-0.00013315i,-0.00066186-0.0011185i,0.000307-0.0010614i,0.00083251-0.00035977i,0.0011693-0.0002621i
0.00034008+0.0005496i,0.00042523+0.00011892i,0.00082851+0.00026659i,0.00076388-5.6957e-05i,0.0013294-9.9734e-05i,0.0014446+7.3874e-05i,0.0010266+0.00027084i,0.00043418+0.00081014i,-0.00019623+0.00077775i,-0.00065861-0.00033321i,-0.0010354-0.0010579i,-0.0012223-0.0010851i,-0.0016626-0.0011365i,-0.0015162-0.0005368i,-0.0005767+0.00054746i,7.4944e-05+0.0003976i,-6.1419e-05-0.00052295i,-3.5904e-05-0.0010525i,0.00031281-0.00069366i,-0.00018574-0.00090018i,-0.00043744-0.0011208i,-0.00014428-5.9218e-05i,-0.00039178+0.00054834i
