-0.0032627+0.00024933i,-0.0030308+0.0020611i,-0.0033708+0.0034606i,-0.0025498+0.0032164i,-0.0012583+0.0022792i,-0.00066304+0.0013556i,-0.00010948+0.001164i,0.00029954+0.0022364i,3.2766e-05+0.0026652i,-0.00015053+0.0014748i,0.00024473-0.00063506i,0.00092902-0.0017117i,0.00048078-0.001962i,0.00017681-0.0018817i,0.00022271-0.00088018i,-0.0002935-1.2819e-05i,-0.00084915+6.4214e-05i,-0.00101-0.00042992i,-0.00017477-8.892e-05i,4.3163e-05+0.00039697i,-0.00056602+0.00046028i,-0.00079068+6.4173e-05i,-0.00050561-0.00071272i
0.0013791+0.0012808i,0.00033201+0.0015237i,-0.00038446+0.00060164i,-0.00029358-0.0020401i,0.00094928-0.0046049i,0.0035547-0.0033478i,0.0037959+0.00053741i,0.0036283+0.00099814i,0.0043441-0.0027669i,0.0027349-0.0053065i,-0.00052133-0.0035351i,-0.0018592-0.00065134i,-0.001591+0.001169i,-0.0016095+0.0020253i,-0.00086714+0.0014269i,-1.7171e-05+0.00080301i,-0.00017966+0.00069763i,0.00062451+0.00048083i,0.0016467+0.00071065i,0.00072024+0.0012284i,0.00045314+0.0010811i,0.0011479+0.00012225i,0.0012627-0.0014435i
0.00042695-0.00080363i,-0.00056051-0.0015583i,-2.4601e-05-0.0016771i,0.0031242-0.0019609i,0.006198-0.0024845i,0.0051439-0.0008309i,0.0017335+0.0017438i,0.001839+0.0035092i,0.0052967+0.0029983i,0.0053337+0.00019609i,0.0020506-0.00088752i,0.00012333+0.00072718i,2.3609e-05+0.00094066i,-0.00030654+0.00076336i,-0.00053552+0.00069266i,-0.00072437-0.00058209i,-0.00085296-0.0014132i,-0.00028843-0.0011762i,-0.00017475-0.00020027i,-0.00058825+0.00076547i,-0.00017336+0.00090123i,0.0010342+0.00050845i,0.0023767-0.00019128i
0.00015369-0.00082902i,0.0012272-0.00036717i,0.0025525+0.00026936i,0.0051477+0.0014724i,0.0062955+0.0048451i,0.0032186+0.0051975i,-0.001602+0.0024805i,-0.0025115+0.0029004i,0.0012482+0.0059872i,0.0044482+0.0056144i,0.0038593+0.002334i,0.0022285+0.00087123i,0.0023234+0.00071737i,0.0016651-0.00073093i,0.00068295-0.0016744i,0.00061334-0.0013522i,0.00023988-0.0013216i,-8.6651e-05-0.0011313i,0.0001012-0.00054059i,0.00057086+3.3936e-05i,0.00049537-4.5509e-05i,-0.00045089+5.719e-05i,-0.00016943+0.00082671i
-0.00038755-0.0013953i,-0.00092419-0.0016305i,-0.0015364+0.0013433i,-0.0016688+0.0058715i,-0.0032724+0.0080953i,-0.0054575+0.0062752i,-0.0051649+0.002373i,-0.0048633+0.0011602i,-0.0050937+0.003669i,-0.0029059+0.0057915i,0.00059019+0.0046752i,0.0019647+0.0027612i,0.0026748+0.0011719i,0.0033106-0.00041701i,0.0035514-0.00083517i,0.002948-0.00035571i,0.0023135-0.00058279i,0.00165-0.00074235i,0.00081945-0.00046424i,0.00101-4.3767e-05i,0.00074126-8.3466e-05i,-0.00057246-0.00051685i,-0.0018294+0.0005082i
0.0013337+0.0016334i,0.002411+0.0013377i,0.0019781-0.00010411i,-0.0025141-0.00042935i,-0.0081537-0.0010886i,-0.0088513-0.0038486i,-0.0053452-0.0041223i,-0.0030178-0.0028825i,-0.0037579-0.0021125i,-0.0051162+0.00017926i,-0.0038913+0.0015384i,-0.0010376+3.0724e-05i,0.00080864-0.0007692i,0.0013722-0.00068779i,0.0014654-0.00073405i,0.0013567+0.0010616i,0.00040516+0.002072i,-0.00017775+0.0010413i,9.2796e-05-3.7275e-05i,0.0002541-0.0008208i,-6.3188e-05-0.00070076i,-0.00033463-0.0009662i,-0.00067571-0.00086803i
-0.0003368+0.0015058i,-0.00016651+0.00051119i,-0.00087686+0.00045957i,-0.0028509-0.0035319i,-0.0021738-0.010499i,0.00099629-0.012717i,0.0029857-0.0079272i,0.0026805-0.0025481i,-0.00017004-0.0024875i,-0.0040256-0.0038005i,-0.0039508-0.0032436i,-0.0018837-0.0033622i,-0.0019907-0.0030929i,-0.002092-0.0017667i,-0.0010331-0.00074972i,-0.00045689+0.00015341i,-0.00019722+0.00015109i,-9.0533e-06-0.00027488i,5.1508e-05-1.4705e-05i,-0.00047545-8.1036e-05i,0.00040123-0.00083761i,0.0018547-0.0013273i,0.0019288-0.00136i
-0.00058506+0.00060395i,-0.00024197+0.00020886i,-0.00087752-0.0018249i,0.0027892-0.0053232i,0.0096706-0.0073676i,0.012286-0.0064061i,0.0089583-0.0019738i,0.0048505+0.0021322i,0.0033658+0.00070008i,0.0019124-0.0030049i,-0.00027799-0.0033117i,-0.0012669-0.0022358i,-0.0018534-0.0019446i,-0.0022049-0.0011857i,-0.00172-0.00037335i,-0.0010853-0.0012822i,-2.593e-05-0.0015804i,0.00021941-0.00023975i,-0.0003438+2.8992e-06i,-0.00099156-5.6862e-05i,-0.00037867+0.00068201i,0.0010722+0.0010645i,0.0019067+0.0010257i
-0.00029671-0.0021668i,0.00025482-0.0015311i,0.0033458-0.00040001i,0.008545+0.0029309i,0.012661+0.0078654i,0.011354+0.0098255i,0.0050582+0.0081288i,0.00081854+0.0055897i,0.0025834+0.0040775i,0.004865+0.0024451i,0.003893+0.0015757i,0.0017239+0.0016683i,0.00017326+0.00089337i,-2.0165e-05-0.00027753i,8.8721e-06-0.00060095i,0.0010252-0.0013619i,0.002396-0.0023349i,0.0021552-0.0012697i,0.001928+0.00030001i,0.0023432+0.00087755i,0.0020623+0.0016423i,0.00093723+0.0021413i,0.0011848+0.0019515i
0.00043982-0.0013117i,5.9037e-05-0.00036311i,0.0011512+0.0016257i,0.0017422+0.0076457i,-0.0010822+0.014807i,-0.0059673+0.015681i,-0.0071324+0.0092334i,-0.0035047+0.0030254i,0.0010563+0.0027168i,0.0044815+0.0052323i,0.0037744+0.0052085i,-0.00025763+0.0036609i,-0.0014066+0.0025867i,-0.00010861+0.0018148i,0.00037374+0.0015329i,0.00043158+0.0013499i,0.00067233+0.00083101i,0.00047679+0.00088367i,0.00027822+0.0015421i,0.00097755+0.0014309i,0.0006104+0.00081031i,-0.00036849+0.0007467i,-0.00041381+0.0010602i
-0.002303-0.0014469i,-0.0024026+0.00048234i,-0.0045241+0.0037877i,-0.010317+0.0065433i,-0.017318+0.0035818i,-0.01813-0.0019151i,-0.010915-0.0040539i,-0.0038551-0.0022321i,-0.0021065+0.0022043i,-0.0016103+0.0055787i,-0.00027961+0.0049686i,0.00045666+0.0021179i,0.0011095+0.00059721i,0.0020849+0.00060009i,0.0015709+0.00065617i,0.00010126+0.00060629i,-0.001059+0.00062407i,-0.0016838+0.00026194i,-0.00075333-0.00053023i,-1.4289e-05-0.00044444i,-0.00042338-0.00080234i,-0.0011303-0.00091171i,-0.0017978+6.6864e-05i
0.0014727-0.00096994i,0.00064285-0.0024804i,-0.0018372-0.0040557i,-0.0062344-0.009056i,-0.0085885-0.016947i,-0.0072246-0.020288i,-0.0027507-0.013879i,0.00054712-0.0040342i,-0.00036476-0.00030626i,-0.0026467-0.0011248i,-0.0021168-0.00095859i,-0.00010411-0.00025913i,0.00027199-0.00070576i,0.00014695-0.00052218i,0.00013456-0.00051246i,-0.00092974-0.00058759i,-0.0018198-0.00023971i,-0.0017061-0.000255i,-0.0011327-0.0005983i,-0.00061648-0.00067885i,-0.00039178-0.00071202i,-0.00038307-0.0014232i,-0.00039175-0.0022805i
-0.00058116+0.0022148i,0.0013509+0.0018655i,0.0039417-0.0014057i,0.0097972-0.0083695i,0.017524-0.014668i,0.01909-0.014836i,0.012238-0.0073826i,0.0037342-0.00060108i,-0.00021355-0.00079075i,-0.001394-0.0036526i,-0.0013283-0.0037442i,0.00077959-0.0020717i,0.0010208-0.0013087i,-0.00075222-0.0021119i,-0.00058399-0.0020608i,0.00059859-0.0014077i,0.0015115-0.0013201i,0.0017265-0.0009834i,0.0011202-0.00032614i,0.00057943-0.00026686i,0.0010106-0.001266i,0.0016639-0.0021037i,0.0010921-0.00108i
-0.0015128-0.00087713i,-0.0016446-0.00044254i,0.0013002-0.00033964i,0.0093007+0.0015275i,0.017115+0.0071438i,0.017516+0.012503i,0.010138+0.010775i,0.0022582+0.0048284i,-0.00074918+0.0003849i,-0.00054278-0.0028579i,-0.0006681-0.0035297i,-0.00084443-0.0016077i,9.8653e-05-0.00087221i,0.00074611-0.0015018i,0.00048806-0.00063771i,0.00072669+0.00058992i,0.001751+0.00015608i,0.0020724-6.403e-06i,0.0018915+0.00084653i,0.0023012+0.0013266i,0.0026764+0.00095178i,0.0025238+0.0014699i,0.0019287+0.001855i
0.0021172-0.0017282i,0.0017601-0.0032099i,0.0031501-0.00064259i,0.0027125+0.0087901i,-0.0019109+0.018907i,-0.007094+0.020688i,-0.0076168+0.012318i,-0.0032058+0.0030273i,0.0017653+0.00038538i,0.0027677+0.00072745i,0.00062038-0.00062129i,-0.0021061-0.0012664i,-0.0029304+5.4365e-05i,-0.0015879+0.00039904i,-0.0009028-2.0474e-05i,-0.00078517-0.00039306i,-0.00028586+0.00031087i,-0.00024377+0.00083851i,3.6242e-05+0.00078249i,0.0013408+0.0019635i,0.001655+0.0024856i,0.0012593+0.0017352i,0.0017307+0.0011298i
0.0020458+0.0003972i,0.0024729+0.0017925i,-0.0006796+0.004213i,-0.0088788+0.0065059i,-0.018694+0.0047182i,-0.02215+0.0010683i,-0.014463-0.001011i,-0.0026026-9.0193e-05i,0.0031145+0.0030819i,0.0031174+0.0044245i,0.0011537+0.002264i,-0.0012248-0.00032645i,-0.0014222+1.4313e-05i,-0.00033435+0.00079739i,-0.00043854+0.00058282i,-0.00083679+5.1759e-05i,-0.00086701-0.00042327i,-0.0014775-0.00034109i,-0.00144-0.00079527i,-0.0014424-0.00037126i,-0.0017859+0.0007657i,-0.0016187+0.0014142i,-0.0013406+0.001451i
-0.00026064+0.0013142i,-0.0024215+0.0025827i,-0.007174+0.0016559i,-0.010399-0.0058865i,-0.011707-0.017253i,-0.009175-0.021274i,-0.0038501-0.013997i,0.00048179-0.0022499i,0.0012096+0.004178i,-0.00025523+0.0059625i,0.00079332+0.0057688i,0.0014948+0.0036909i,0.0010075+0.0015689i,0.0016336+0.00053477i,0.0014011-0.0006247i,0.00066514-0.001241i,0.00032472-0.0013633i,-0.0001534-0.0022091i,-0.00095645-0.0025786i,-0.0010107-0.0026527i,-0.0014715-0.0026483i,-0.0018674-0.0015418i,-0.0011667-0.00044143i
-0.0012248-0.0016393i,-0.0045067-0.0036021i,-0.0024283-0.0079351i,0.0052994-0.014507i,0.0151-0.01881i,0.017441-0.015652i,0.0097159-0.0066339i,0.0013763+0.0012459i,-0.0021243+0.0025393i,-0.0029089+0.0021355i,-0.0017995+0.0035174i,0.0011182+0.0027497i,0.0020066+0.00050095i,0.001175-0.00086228i,0.0010608-0.0010134i,0.0013347-0.00059287i,0.0013839-0.00026461i,0.00099179-0.00042083i,0.00053642-0.0011873i,0.0010001-0.0018316i,0.0015409-0.0026907i,0.0014262-0.0022469i,0.00086904-0.0009383i
-0.00034459-0.0030092i,0.0010319-0.0037584i,0.0065922-0.00241i,0.01608+0.0025176i,0.021851+0.0084208i,0.019244+0.0094814i,0.0098781+0.0055564i,0.0001909+0.00097854i,-0.0033364-0.0024105i,-0.0032537-0.003823i,-0.0031124-0.0024001i,-0.0011817-0.00042289i,0.0010445-0.00047994i,0.0012034-0.0012974i,0.00070634-0.00077168i,0.00077181+0.00062354i,0.00085039+0.0009623i,0.00069774+0.0015351i,0.00077426+0.0024836i,0.0018722+0.0025441i,0.0024501+0.0015956i,0.0023249+0.00049765i,0.0017563+0.00026083i
0.0014047-0.0013019i,0.0028734+0.00022553i,0.0037913+0.0050838i,0.0033853+0.014478i,-8.2015e-05+0.022841i,-0.0033612+0.021321i,-0.0035056+0.010579i,-0.0016854+0.00049085i,-3.0062e-05-0.0037671i,-0.00019781-0.0054285i,-0.0014482-0.0063512i,-0.0018146-0.0044989i,-0.0012979-0.0024728i,-0.00083645-0.0017109i,-0.0013306-0.0012102i,-0.0014975-0.0014325i,-0.0011958-0.00083369i,-0.00016329+0.00047056i,0.00068329+0.0016149i,0.00084279+0.0030408i,0.0015234+0.003077i,0.0022353+0.0023733i,0.0018729+0.00215i
0.00093559+0.0029203i,-0.0008178+0.005057i,-0.0058845+0.0077238i,-0.013946+0.0086904i,-0.02091+0.0063286i,-0.020382+0.0029256i,-0.010609+0.00035094i,7.0698e-05+0.00016968i,0.0052928+0.00069837i,0.0052149-0.0004287i,0.002148-0.0028133i,-0.00071341-0.0032686i,-0.0016515-0.0018061i,-0.0011327-0.00091357i,-0.00023725-0.0016364i,0.00061058-0.0024259i,0.00027974-0.0027664i,4.5196e-05-0.0021829i,0.00010914-0.0011527i,-0.0009885-3.658e-05i,-0.0013104+0.0012763i,-0.00076782+0.0021462i,-7.3448e-05+0.0019331i
-0.0022049-0.00098138i,-0.0040678-0.0024964i,-0.0075083-0.0068422i,-0.011848-0.013522i,-0.011474-0.018865i,-0.0073979-0.015983i,-0.0029482-0.0066059i,0.0019335+0.0020103i,0.0049461+0.0061311i,0.0047661+0.0060425i,0.003221+0.0038007i,0.0011211+0.00087415i,-0.00024294+0.00013213i,0.00035559+0.0011973i,0.0018191+0.0011872i,0.0018036+0.00026715i,0.0016289-0.00036172i,0.0019943-0.0014566i,0.001163-0.0016407i,-0.0001613-0.0011158i,-0.0013332-0.0011451i,-0.0017686-0.00074233i,-0.0013019-0.00055767i
0.00028257-0.00024435i,0.00044141-0.0028429i,0.00383-0.0083206i,0.011069-0.014289i,0.016293-0.015499i,0.013066-0.011333i,0.0043113-0.0038277i,-0.0009745+0.0031983i,-0.0018696+0.0065901i,-0.00077379+0.0072685i,0.00052076+0.0067324i,0.0013845+0.0046072i,0.0013769+0.00281i,0.0012393+0.002276i,0.0013064+0.0013984i,0.00099613+0.0010327i,0.00077803+0.0013083i,0.00079029+0.00070669i,0.00043692-0.00088166i,0.00052877-0.0024114i,0.00017034-0.002798i,-0.00099142-0.0029181i,-0.0014017-0.0022123i
6.2727e-05-0.0016851i,0.0016851-0.0021709i,0.0079558-0.00090381i,0.016018+0.0045811i,0.018183+0.0098612i,0.011973+0.0078112i,0.0015404+0.0024205i,-0.0053513-0.00020387i,-0.0059094+8.4086e-05i,-0.0045807+0.0008138i,-0.0036196+0.0016215i,-0.0014355+0.0024105i,0.00083988+0.001668i,0.0013754+0.00077876i,0.00039299+0.00038463i,-0.0011681-0.00030218i,-0.001438+9.2278e-06i,-0.00069868+0.0019699i,0.0002359+0.002382i,0.00084643+0.0016024i,0.00084952+0.00072258i,0.00092189-0.00022874i,0.00066788-0.00060306i
0.00044411+0.0018252i,0.0022935+0.0055537i,0.0034801+0.011708i,0.0011977+0.018003i,-0.0028517+0.018388i,-0.0033484+0.010229i,-0.0020143-0.00072985i,-0.0017829-0.0063114i,-0.0027431-0.0069884i,-0.0034884-0.0068972i,-0.0030937-0.0049626i,-0.0013067-0.0025588i,0.00085398-0.001045i,0.0020941-0.00018716i,0.0018711-0.0007318i,0.00058173-0.0013103i,-0.00068912-0.0005719i,-0.0018147+0.00088852i,-0.0017267+0.0025857i,-0.00078621+0.0036234i,0.00087337+0.0032647i,0.0022395+0.0023318i,0.0016925+0.00146i
-0.0015811+0.00026233i,-0.0039488+0.0010622i,-0.010144+0.0043268i,-0.016988+0.0059419i,-0.016474+0.0018268i,-0.0074148-0.0032661i,0.0021204-0.0043941i,0.0054363-0.0044236i,0.0041377-0.005149i,0.0017347-0.0056555i,-0.00021627-0.0054892i,-0.00056748-0.0042832i,-0.00088149-0.002748i,-0.00046264-0.001159i,0.0016707-0.00061717i,0.0018882-0.0012733i,0.00061662-0.0017563i,0.00056094-0.0017702i,0.00043597-0.00096385i,0.00016143+0.00024957i,0.0010884+0.0011506i,0.001181+0.0016001i,0.0010106+0.0016803i
-0.00060644-0.0011236i,-0.0029875-0.002548i,-0.0067339-0.0087011i,-0.0081257-0.016864i,-0.0036532-0.017561i,0.0025972-0.0074764i,0.0052167+0.0032699i,0.0055959+0.0070932i,0.0052924+0.0048004i,0.0032589+0.00056904i,0.00052508-0.0018919i,-0.00035371-0.00228i,0.00052372-0.0018404i,0.00056296-0.0013948i,0.00088608+2.0723e-05i,0.001522+0.0011044i,0.0026618+0.00052893i,0.0031937-0.00046085i,0.002089-0.0010424i,0.0011426-0.0011681i,0.0011633-9.4319e-05i,0.00044638+0.00096811i,-6.0914e-05+0.0010709i
0.00083369-0.0011637i,0.0033739-0.0028005i,0.008021-0.0070489i,0.014948-0.0097771i,0.01725-0.0052204i,0.0072959+0.0031598i,-0.0034976+0.010818i,-0.0050964+0.013528i,-0.0013487+0.011651i,0.001833+0.0088611i,0.0016467+0.00496i,-0.00041204+0.0013069i,-0.0013257-0.00010252i,-0.0009904-9.6921e-05i,-0.0010265+0.00034792i,-0.0012431+0.00102i,-3.1449e-05+0.0014753i,0.0017855+0.0014569i,0.0024927+0.00046949i,0.0019169-0.00053658i,0.0011179-0.00079102i,0.00056284-0.00054528i,0.00022593+0.00033062i
-0.00040779+0.0021843i,0.002485+0.0015784i,0.008794+0.0031299i,0.013933+0.0090107i,0.0084298+0.012611i,-0.0060628+0.006765i,-0.015584+0.00067826i,-0.013401+0.0018719i,-0.0063602+0.0062131i,-0.0023233+0.0093154i,-0.00071433+0.0082666i,0.00018368+0.0049167i,0.00040101+0.0018621i,0.00019417-0.00013276i,-0.0011955-0.0016862i,-0.0023998-0.0022865i,-0.0021121-0.00022824i,-0.0012824+0.0017119i,-0.0012775+0.0018687i,-0.00099028+0.00081578i,-0.00080857-0.00036116i,-0.0014525-0.00034994i,-0.0015108-6.2925e-05i
0.00010642+0.00038698i,0.00072008+0.0042691i,0.00034319+0.011756i,-0.0034478+0.016892i,-0.00795+0.0095273i,-0.0072528-0.0079741i,-0.0053785-0.016815i,-0.0049382-0.012332i,-0.0028397-0.003609i,-0.00066444+0.0026529i,-5.3048e-05+0.0042524i,0.00051901+0.0036998i,0.0017254+0.0030489i,0.0020021+0.0016346i,0.0019487-0.0013018i,0.0010244-0.0036735i,-0.0013939-0.0031758i,-0.0029617-0.0010027i,-0.0025995+0.00093897i,-0.00089179+0.0013402i,0.00018644-3.1822e-05i,0.00024109-0.0008167i,5.8373e-05-0.00051919i
-0.00031931-0.00037265i,-0.0032426+9.6424e-05i,-0.0096605+0.0010413i,-0.01448-0.0020069i,-0.0066071-0.010238i,0.0098236-0.014643i,0.017775-0.013458i,0.013225-0.010555i,0.005515-0.007748i,0.00095568-0.0058037i,-0.00047486-0.0035112i,0.00018151-0.00091861i,0.0011401+0.001277i,0.0015745+0.0022546i,0.0019855+0.0016603i,0.0024566+0.00023996i,0.0019701-0.00089528i,0.00090715-0.0016715i,7.8717e-05-0.00092842i,0.00011522+0.00021839i,0.00088189+0.00073679i,0.0017964+0.00061132i,0.0025135+0.00015258i
0.002767+0.0015223i,0.0004457-0.0019601i,-0.0018237-0.0095566i,0.00025098-0.017823i,0.0097586-0.014127i,0.017972+0.0019032i,0.018823+0.011924i,0.015265+0.0084195i,0.0092895-0.0015421i,0.0048166-0.0086751i,0.0024683-0.0089455i,0.00044321-0.0059497i,-0.00064839-0.0032691i,-0.00093917-0.00038527i,-0.00042319+0.0027043i,0.00095519+0.0042799i,0.0025373+0.003132i,0.0033507+0.001538i,0.0031957+8.7948e-05i,0.0028469-0.00067236i,0.0027785-0.00014786i,0.0023154+0.00041079i,0.0012764+0.00048642i
-0.0035876+0.0012947i,-0.0018827-0.001011i,0.0046568-0.0043646i,0.014961-0.0024025i,0.01496+0.00981i,0.0017649+0.02281i,-0.006926+0.025385i,-0.0042353+0.01775i,0.00029088+0.0063801i,0.0013336-0.0020746i,0.00030186-0.0047692i,-0.00087784-0.0046496i,-0.001012-0.0036188i,-0.001252-0.0024848i,-0.0021908-0.00064051i,-0.001387+0.0023895i,0.00053009+0.0040168i,0.0018332+0.0027612i,0.0022964+0.0012626i,0.0020862+0.0010811i,0.0018009+0.0012894i,0.0011878+0.0014295i,0.00014955+0.0018526i
-0.00012256+2.9867e-05i,0.0040598+0.00037663i,0.011548+0.0046393i,0.012124+0.011974i,-0.0027365+0.012392i,-0.023167+0.0037167i,-0.029831-0.00060504i,-0.021209+0.0033909i,-0.0092991+0.0064265i,-0.0030791+0.0047488i,-0.0018378+0.00207i,-0.0020443+0.00015856i,-0.0017193-0.00048062i,-0.00018746-0.0016735i,0.00058986-0.003186i,-0.00033676-0.0030907i,-0.0013451-0.0013131i,-0.0014454+0.0006989i,-0.0012846+0.0011868i,-0.0012132+0.00092965i,-0.0015968+0.00078145i,-0.0015349+0.00084135i,-0.00070143+0.00061036i
0.0016909-0.0010624i,0.0031086+0.0024773i,0.00043386+0.01077i,-0.0069397+0.013592i,-0.012698-0.0013312i,-0.011539-0.022618i,-0.010116-0.027629i,-0.010006-0.01528i,-0.0074144-0.0010157i,-0.0051054+0.0070938i,-0.0040096+0.0077745i,-0.0017479+0.0041074i,0.00065358+0.0019034i,0.0024787+0.0014341i,0.0036683-0.0011261i,0.0035565-0.0046149i,0.0020317-0.0054455i,-0.00091149-0.0038396i,-0.002213-0.0010682i,-0.0018827+0.00043583i,-0.0020781-0.00036014i,-0.0020209-0.0005448i,-0.0016267-0.00068464i
0.00072716+0.0032393i,-0.0027929+0.0060603i,-0.011158+0.0058931i,-0.015792-0.002282i,-0.0026114-0.01521i,0.017473-0.021257i,0.0222-0.018453i,0.013183-0.010486i,0.0032448-0.00024469i,-0.0011099+0.0073022i,-0.0011013+0.0090393i,0.00080638+0.0065364i,0.0012853+0.0039556i,0.0011219+0.0030219i,0.0023022+0.0010726i,0.0033578-0.0011689i,0.0034193-0.0025694i,0.0014879-0.0023991i,-0.00014813-0.0013725i,0.00082911-0.0008932i,0.0013872-0.0013475i,0.0013469-0.0019233i,0.00074187-0.0013069i
-0.0021336+0.00085497i,-0.0054791-0.0035824i,-0.0053959-0.013025i,0.003841-0.01862i,0.01795-0.0086071i,0.025306+0.0093432i,0.024105+0.015514i,0.016703+0.010016i,0.0072912+0.0046134i,0.002332+0.002884i,0.0015832+0.0030103i,0.0015228+0.0022175i,0.0014393+0.00069006i,0.00077471+0.00051344i,-0.00015836+0.0014781i,0.00026979+0.0023105i,0.00090449+0.0024938i,0.0013+0.001722i,0.0016436+0.0014524i,0.0023123+0.0014392i,0.0029028+0.00086859i,0.0020399+0.00070764i,0.0010415+0.00076312i
-0.0022685-0.006725i,-0.00032616-0.010869i,0.0067441-0.0118i,0.014484-0.0034143i,0.010536+0.013601i,-0.0022546+0.027097i,-0.0079577+0.027356i,-0.0035042+0.016833i,0.00039801+0.0031571i,0.0019865-0.0046701i,0.0028249-0.00508i,0.0020554-0.0042919i,0.0012131-0.0040286i,-0.00076247-0.0030052i,-0.0029164-0.0011187i,-0.0039183+0.0015262i,-0.0027953+0.0032851i,0.00054574+0.0032128i,0.0026359+0.0025508i,0.0022949+0.0014556i,0.0021126+0.00099368i,0.0019965+0.0014787i,0.00089068+0.0013253i
0.0031828+0.00074802i,0.010833+0.0030408i,0.01707+0.0091924i,0.013128+0.014953i,-0.0042947+0.011834i,-0.021903+0.0018736i,-0.026253-0.001243i,-0.016134+0.00096151i,-0.002016-0.0023811i,0.005056-0.0081024i,0.0053264-0.0092121i,0.0028139-0.0068973i,0.0013443-0.0042629i,4.2731e-05-0.0031798i,-0.0017022-0.0020962i,-0.0030143-1.9904e-05i,-0.0040235+0.0015836i,-0.0031327+0.0019131i,-0.0012555+0.0015631i,-0.00026948+0.0017644i,-0.00035086+0.0020589i,-0.00018767+0.0013225i,-1.834e-05+0.00013048i
0.0010646+0.0032555i,-0.00084577+0.010194i,-0.0057488+0.01891i,-0.011171+0.017705i,-0.011421+0.0001717i,-0.0080312-0.019785i,-0.0080779-0.023424i,-0.0060644-0.012462i,0.0012216-0.0033664i,0.0054384-0.0028347i,0.0032879-0.0049576i,-0.00095454-0.0036845i,-0.0028763-0.00090321i,-0.0016932-0.00010835i,0.00086266-0.0005329i,0.0023842-0.00126i,0.0012811-0.0020438i,-0.0005486-0.0011536i,-0.0013083-0.0001457i,-0.0016571-0.00019836i,-0.0012387-0.00082062i,-9.4332e-05-0.00019712i,0.00054568+0.00068112i
-0.0027882+0.00212i,-0.0086529+0.001392i,-0.017584-0.0012731i,-0.018711-0.0069342i,-0.0044393-0.011132i,0.012805-0.011593i,0.015782-0.010286i,0.0081326-0.0050287i,0.0015592+0.0027281i,-0.0020399+0.0066437i,-0.0033395+0.0053224i,-0.0032833+0.0026001i,-0.0027818+0.0012139i,-0.00017246+0.0011942i,0.0034151+0.0011855i,0.0052956-1.2521e-05i,0.0042713-0.00177i,0.0012607-0.0025626i,-0.0012502-0.0017566i,-0.0004748-0.0011032i,0.00058303-0.000951i,0.0011031-0.00069309i,0.0009035+0.0007055i
-0.0022041-0.0011081i,-0.0034841-0.00777i,-0.002614-0.016479i,0.0022812-0.018802i,0.0082537-0.0079741i,0.012106+0.0064106i,0.011845+0.010059i,0.0054998+0.0075758i,-0.0043102+0.0080093i,-0.0094653+0.010455i,-0.0081204+0.010144i,-0.0045229+0.0065882i,-0.0024452+0.0033587i,0.00016318+0.0027989i,0.0028267+0.002479i,0.0026257+0.0013368i,0.0019029+0.00054757i,0.0026711-1.7115e-05i,0.0022061+9.1671e-05i,0.0016175+0.00062847i,0.0014353+0.00056753i,0.00026526+0.00054009i,-0.0012423+0.0011932i
0.0033055-0.0034613i,0.0075873-0.00945i,0.016193-0.013527i,0.019914-0.012026i,0.01068-0.0044146i,-0.0040075+0.0043265i,-0.0089349+0.0088176i,-0.0060969+0.0064971i,-0.0066028+0.0022069i,-0.0088042+0.0029532i,-0.0071874+0.0052237i,-0.0018174+0.0042672i,0.001934+0.0029338i,0.0018217+0.0024435i,9.3406e-05+0.0015481i,-0.0017276+0.0012932i,-0.0016415+0.0015922i,0.00015444+0.001518i,0.0021264+0.00063744i,0.0023445+0.00034228i,0.00067328+7.3197e-06i,-0.00073717-0.00080387i,-0.0012836-0.0011316i
0.0040393+0.00036416i,0.0092386+0.006301i,0.015598+0.016051i,0.019399+0.019236i,0.013507+0.01079i,0.0012534-0.0016161i,-0.0058745-0.0047663i,-0.0035865-0.0029882i,0.0021076-0.0047796i,0.0042485-0.0059036i,0.0033287-0.0028617i,0.0028912+0.00039954i,0.0026754+0.0013011i,0.00012754+0.00056456i,-0.0028161-0.0012322i,-0.0033949-0.001835i,-0.0028435-0.00046309i,-0.0025765+0.00072064i,-0.0012768+0.0015296i,-0.00045991+0.0010795i,-0.00047271-0.00013956i,-0.00014374-0.00067863i,0.00023095-0.00058767i
-0.0041188+0.0076409i,-0.0061875+0.015002i,-0.010546+0.023663i,-0.0096529+0.026936i,-0.0015018+0.0182i,0.0074689+0.0037257i,0.0081747-0.0038826i,0.0070064-0.0027357i,0.011266-0.0010076i,0.014689-0.0036844i,0.011187-0.0059018i,0.0041836-0.006064i,0.00043125-0.0054997i,-0.00044726-0.0049376i,-0.0013473-0.0041214i,-0.0015739-0.0028483i,-0.0012319-0.0015291i,-0.00098075-0.00015858i,-0.0010046+0.00079211i,-0.0004403+0.00078989i,0.00086836+0.00072745i,0.0026233+0.0006909i,0.0030027+0.00052821i
