1.8501e-05-0.0010171i,-0.00059494-0.00070937i,-0.00076329+0.0010237i,-0.00053613+0.0013272i,-0.00024738+0.0017339i,-0.00039909+0.0016072i,-0.00038283+0.00077131i,0.00048884+0.0013331i,0.0013519+0.0011238i,0.0016933-0.00017154i,0.0010582-0.00077827i,-0.00021973-0.00072194i,-5.3654e-05-0.00037622i,0.00033724+0.00046238i,-0.00021884+0.00082714i,-0.00030905+0.00038246i,-0.00035194-0.00022426i,-0.00062974-0.00037307i,0.00039374-0.00012349i,0.00090368+0.00014126i,-0.00016605+0.00025146i,-0.0004283-0.00012235i,-0.00018744+1.0758e-05i
-0.016283-0.0029416i,-0.023337-0.0074638i,-0.026308-0.0038282i,-0.025612+0.004622i,-0.02134+0.0089965i,-0.015959+0.0084483i,-0.011332+0.0072253i,-0.0064318+0.0049995i,-0.0020108+0.0018781i,-0.00048697+0.00056413i,-0.00066605-0.00040433i,-0.0019003-0.00038101i,-0.0031953-5.7519e-05i,-0.0028-0.0011231i,-0.0018328-0.0018487i,-0.0003204-0.0017283i,0.001271-0.00090763i,0.0010444+0.00065476i,-0.00010773+0.0011861i,1.5856e-05+0.00041912i,0.00016294-7.1287e-05i,-0.00040874-0.00043166i,-0.00042905-0.00038433i
-0.011549+0.015807i,-0.019436+0.019722i,-0.015611+0.023025i,-0.0045742+0.02405i,0.001594+0.019525i,0.0013629+0.013823i,0.0015731+0.0099845i,0.0018967+0.0062063i,0.00080211+0.0026007i,-0.0010178+0.00036599i,-0.0014787-0.00057155i,-0.0012021-3.7179e-05i,-0.0015456+0.0012066i,-0.0021855+0.0010157i,-0.0024852-0.00020301i,-0.0016474+0.00045564i,-0.00081948+0.002085i,-0.0012765+0.0024592i,-0.0022812+0.0022229i,-0.002023+0.0021378i,-0.00082635+0.00077734i,6.5522e-05-2.6032e-05i,-1.5602e-05+0.00060582i
0.014746+0.0131i,0.015815+0.020079i,0.019019+0.015623i,0.021925+0.0066479i,0.018187+0.0022995i,0.012397+0.0034315i,0.0089089+0.0029971i,0.005678+0.0010298i,0.0024634+0.00064675i,0.00028587+0.0012025i,-0.00050066+0.00098134i,0.00036537+0.00041023i,0.0019789+0.0011541i,0.0025935+0.0028143i,0.0005869+0.0031835i,-0.0011281+0.0017543i,-0.0010732+0.00034884i,-0.0009852-0.00075282i,-0.0012598-0.00097445i,-0.0008886-0.00010155i,-0.00061152+4.1626e-05i,-0.00083073-0.00050545i,-0.00020647-6.6837e-05i
0.021219-0.0043939i,0.028593-0.0039299i,0.023763-0.01017i,0.012932-0.017616i,0.0048366-0.017203i,0.0020652-0.013366i,0.0010836-0.010323i,0.00028982-0.0063437i,0.00071637-0.0019009i,0.0019616+0.0010006i,0.0032866+0.0016037i,0.0031155+0.00043282i,0.0022861-0.00084629i,0.0021079-0.00078163i,0.0015129+1.88e-05i,-0.0002768-2.2456e-05i,-0.0004413-0.0014238i,0.0001227-0.0026241i,-0.00015512-0.0028843i,3.5795e-05-0.0013381i,-2.1088e-05-0.00079382i,0.00040001-0.00088131i,0.00036672-0.00079032i
-0.0014501-0.018683i,0.0015165-0.024613i,-0.0047602-0.021342i,-0.01513-0.013682i,-0.017178-0.0064662i,-0.013544-0.0037029i,-0.010566-0.0037361i,-0.0065742-0.00236i,-0.0019867-0.0013279i,0.00088043-0.0010984i,0.0024407-0.00012407i,0.0024139+6.8943e-06i,0.00045354-0.001063i,-0.00096078-0.0019323i,-0.00065366-0.0021486i,0.00070226-0.0018422i,0.0015092-0.0023123i,0.0010838-0.0025537i,0.00027011-0.0016767i,-3.0412e-06-0.00093378i,0.00020395-0.0011947i,-0.00036506-0.0015345i,-0.00013756-0.0010777i
-0.025026-0.0095386i,-0.02983-0.013465i,-0.026758-0.0032077i,-0.018503+0.011097i,-0.0088625+0.015224i,-0.0056363+0.010352i,-0.0059761+0.0063539i,-0.0044891+0.003602i,-0.0031756+0.00064641i,-0.0021475-0.00059468i,-0.001224-0.00058979i,-0.0009986-0.00052466i,-0.0021433-0.00054066i,-0.0026135-0.001269i,-0.00091309-0.001631i,0.00027656-0.00052723i,0.00074164+0.0016979i,0.0009138+0.0029184i,0.0001906+0.0021534i,-0.00033842+0.0009432i,-0.00014873+0.00069083i,2.7697e-05+0.0011152i,0.0002466+0.0011542i
-0.013672+0.02072i,-0.019984+0.022189i,-0.0098925+0.021051i,0.0050675+0.016792i,0.0095505+0.0099463i,0.005371+0.008924i,0.0031266+0.0095833i,0.0026633+0.0071024i,4.5341e-05+0.0031308i,-0.0015205+0.00041966i,-0.0012842-0.00073379i,-0.00093961-0.00047865i,-0.0010044+0.0011078i,-0.0013467+0.0023664i,-0.001862+0.0021873i,-0.002391+0.0018497i,-0.0021345+0.0027995i,-0.0017054+0.0031491i,-0.0012645+0.0025196i,6.0212e-05+0.0021093i,0.0009691+0.0012997i,0.0008279+0.0012212i,0.00055333+0.0017731i
0.018442+0.021105i,0.018618+0.025308i,0.01863+0.013723i,0.015512-0.0010903i,0.0085384-0.0055881i,0.0063868-0.0025784i,0.007281-0.0012388i,0.0050497-0.0011494i,0.0022061+0.00044753i,0.0017158+0.0021803i,0.0020903+0.0019508i,0.0025033+0.00014221i,0.0022926+0.00018088i,0.0017226+0.0010236i,0.0011447+0.0015718i,-0.00056108+0.0018512i,-0.0018772+0.001322i,-0.0019277-0.00019576i,-0.0014914-0.0018155i,-0.00078476-0.0012276i,0.00011194+0.000234i,0.00032655+0.00087762i,0.00034361+9.8816e-06i
0.025908-0.0065043i,0.029972-0.0028617i,0.016119-0.0047444i,-0.0010278-0.0080561i,-0.0074164-0.0056732i,-0.0039068-0.0038997i,-0.00079787-0.0055798i,-0.00037798-0.0046398i,0.00072972-0.001455i,0.0023809+0.00069954i,0.0031955+0.0020579i,0.0029818+0.0013397i,0.002567-0.00098018i,0.0027522-0.0021383i,0.0025948-0.002034i,0.0011895-0.0024605i,0.00019805-0.0031151i,6.0031e-05-0.0036573i,-0.00011465-0.003406i,4.3354e-06-0.001696i,0.0004494+3.5939e-05i,-9.6813e-05+4.5447e-05i,-0.00048281-0.0010185i
-0.0013561-0.032909i,0.0029014-0.03571i,-0.0034426-0.022731i,-0.01013-0.0047951i,-0.009168+0.0060668i,-0.0075705+0.0040073i,-0.0082441-0.00042159i,-0.0061882-0.0010609i,-0.0027142-0.0016914i,-0.0012135-0.0018414i,-0.0011465-0.00075605i,-0.0010321-0.00040997i,-0.00096083-0.0014565i,-0.0011433-0.0019194i,-0.00068624-0.0021938i,0.0008798-0.0019558i,0.002267-0.0010567i,0.00268+5.3796e-05i,0.0026631+0.00029245i,0.0011939-0.00050862i,-0.00046616-0.00091397i,-0.0010523-0.00080572i,-0.0010142-0.00050523i
-0.032454-0.013881i,-0.034671-0.019105i,-0.024157-0.005318i,-0.0085716+0.0085589i,0.0019825+0.0086586i,0.0010294+0.0051925i,-0.0025313+0.0056979i,-0.002362+0.0051308i,-0.0027554+0.0017776i,-0.003374+5.8003e-05i,-0.0019706-0.0006128i,-0.0011914-0.00099295i,-0.0023544+0.0001079i,-0.003031+0.00068672i,-0.0023334+0.00047683i,-0.001122+0.0011908i,-2.4762e-05+0.0026589i,0.00083766+0.0033714i,0.0013125+0.0031952i,0.00067221+0.0025175i,-0.00019962+0.0013148i,-1.5448e-05-0.0003487i,-0.00026975-0.0014441i
-0.022146+0.027349i,-0.026755+0.022237i,-0.011698+0.011447i,0.0032186+0.00093021i,0.0046686-0.0057734i,0.00067265-0.0016589i,0.0014295+0.0049124i,0.0028708+0.0042723i,0.001206+0.0027923i,9.1269e-05+0.0041156i,0.0010455+0.003531i,0.0021793+0.0018196i,0.0020612+0.0016014i,5.8498e-05+0.0025828i,-0.0012604+0.0025395i,-0.00095509+0.0026881i,-0.00070668+0.0027686i,-0.0009944+0.001956i,-0.0011054+0.002304i,-0.00041234+0.0019499i,0.00082477+0.0017468i,0.0014125+0.0015693i,0.00020343+0.00052876i
0.022833+0.033285i,0.017795+0.037345i,0.0096353+0.019606i,0.0005541+0.0016334i,-0.0073588-0.0023302i,-0.0047685+0.00030922i,0.0016262-0.00058087i,0.0019718-0.0021158i,0.001952-0.00052272i,0.0040134+0.001798i,0.0044061+0.002317i,0.0037097+0.0012214i,0.0035788+0.00082985i,0.0034999+0.00077979i,0.0017859+0.0012806i,-0.00047871+0.0011533i,-0.0017391-0.00036468i,-0.0018663-0.0018877i,-0.00094194-0.0021982i,0.00058411-0.00096759i,0.0019098-0.00022287i,0.0017392-0.00061465i,0.00046039-0.0005937i
0.039264-0.0093064i,0.040511-0.00078584i,0.019759+0.00071949i,-0.00029209+0.0026847i,-0.0052498+0.0081166i,-0.0010195+0.0061571i,-0.00018658-0.0004914i,-0.0013133-0.0026158i,0.00097014-0.0022096i,0.0021941-0.0018918i,0.0008228-0.0012727i,-4.3067e-05-0.0011531i,0.00028884-0.0013478i,0.00090014-0.0025187i,0.00035547-0.0030849i,-0.00077868-0.0029352i,-0.0014175-0.003968i,-0.0011113-0.00488i,-0.00093908-0.0037058i,-0.0012439-0.0017835i,-0.00011842-0.0011341i,0.0010975-0.0010761i,0.00044613-0.00056968i
0.003186-0.044231i,0.010908-0.043168i,0.0084884-0.021353i,0.0052968-0.00059431i,0.0076056+0.0060589i,0.003952+0.001656i,-0.003978-0.0011822i,-0.0057439-0.00012543i,-0.0037622-0.0014759i,-0.0027669-0.0031678i,-0.0022401-0.0028513i,-0.0019334-0.0020813i,-0.0027349-0.0015229i,-0.0035599-0.0010241i,-0.0022055-0.00057418i,8.7977e-05-0.00056293i,0.00066462+0.00038003i,6.5673e-05+0.0016763i,-0.00037313+0.0010735i,-0.00090975-0.00016558i,-0.0017876-0.00010834i,-0.0023819+0.00011138i,-0.0019172+6.4835e-05i
-0.04297-0.02088i,-0.040439-0.029876i,-0.021477-0.018925i,-0.0032409-0.0075668i,0.0027925-0.007289i,-0.0018334-0.0052579i,-0.0043511+0.00090435i,-0.0022888+0.0023089i,-0.0025531+0.00036364i,-0.0035008+0.00060607i,-0.0017147+0.0013584i,-0.00027993+0.0013227i,-0.0010318+0.002089i,-0.0022365+0.0035922i,-0.0018376+0.0035452i,-0.00062073+0.0029406i,0.0010276+0.0035854i,0.0014314+0.0038801i,0.00082906+0.0029095i,0.00083745+0.0008894i,0.00056523-0.00023306i,-0.00049408+3.1697e-05i,-0.0014159+0.00034112i
-0.03583+0.038291i,-0.043558+0.032867i,-0.027874+0.013919i,-0.012407-0.001546i,-0.010514-0.0065992i,-0.0089339-0.0014199i,-0.0029085+0.0040853i,0.0012467+0.0034108i,0.0018877+0.0031837i,0.0028818+0.0049328i,0.0044948+0.0046027i,0.0045537+0.00302i,0.004161+0.0029341i,0.0041065+0.0033878i,0.0025981+0.0026459i,0.00070979+0.0015i,-2.6767e-05+0.0014604i,-0.00011124+0.0018832i,0.00028262+0.0016261i,0.00113+0.0012237i,0.0018884+0.0011485i,0.0016448+0.00097767i,0.00090633+0.00047451i
0.025663+0.048509i,0.015678+0.055215i,0.0015108+0.034456i,-0.0086789+0.014301i,-0.01256+0.011366i,-0.0061883+0.011142i,0.00051828+0.0044465i,0.0020024-0.00013131i,0.0024289+0.00013566i,0.003336+0.00059437i,0.0028373+0.0001211i,0.0015269-0.00053626i,0.0023125-0.0012504i,0.0032973-0.0028777i,0.0020265-0.0033677i,-0.0003013-0.0024019i,-0.0014076-0.002704i,-0.00074983-0.0034512i,-0.00028023-0.0020947i,0.00046923+6.1359e-05i,0.0032575+0.00063944i,0.0042462+0.0005721i,0.002475-0.00034657i
0.056943-0.011191i,0.061069-0.0006046i,0.03639+0.0065719i,0.013862+0.010789i,0.0087198+0.014169i,0.0088888+0.0082633i,0.0043296-0.00068585i,-0.00066549-0.0027365i,-0.0011131-0.0024055i,-0.00062385-0.0030146i,-0.0015732-0.0028229i,-0.0024386-0.0027624i,-0.0021595-0.0034963i,-0.0020337-0.0041796i,-0.0015001-0.0039161i,-0.00035963-0.0029054i,-0.00059635-0.0030562i,-0.0010439-0.0038797i,-0.0008416-0.0028441i,-0.00088856-0.0017747i,-0.00089324-0.00219i,0.00018848-0.0020349i,0.00041358-0.0011266i
0.0073105-0.060074i,0.021341-0.060909i,0.020887-0.032799i,0.016743-0.009096i,0.017105-0.0047599i,0.0089354-0.0081428i,-0.0018552-0.0060567i,-0.0043125-0.00131i,-0.0030347-0.00053752i,-0.002463-0.00095473i,-0.0015488-0.00076365i,-0.0018728-0.00059215i,-0.0032989-0.00012529i,-0.0045608+0.00042984i,-0.0034246+0.0012029i,-0.00031805+0.0018407i,0.0012095+0.0020007i,0.0015719+0.001638i,0.00024935+0.0011418i,-0.0014847-0.00024522i,-0.0029868-0.0011151i,-0.003901-0.0011173i,-0.0034976-0.00019499i
-0.058246-0.028389i,-0.055344-0.043857i,-0.028738-0.036706i,-0.0085838-0.024758i,-0.0067748-0.020639i,-0.012086-0.011949i,-0.010041-0.00072312i,-0.0032424+0.0038949i,-6.5741e-05+0.0033372i,0.0013924+0.0032639i,0.0027976+0.0037135i,0.0026209+0.0035613i,0.0011908+0.0045988i,-0.00018247+0.0063265i,-0.00049031+0.00573i,-0.00012979+0.0036565i,0.00043734+0.0028503i,0.00067453+0.0033435i,0.00097507+0.0031299i,8.5578e-05+0.0018571i,-0.0015561+0.00066284i,-0.0021677+0.0011037i,-0.0014396+0.0026471i
-0.046988+0.050635i,-0.058569+0.043901i,-0.040725+0.02035i,-0.023143+0.0042062i,-0.020954+0.0015879i,-0.016873+0.0060677i,-0.0063604+0.0073951i,7.6779e-05+0.0027617i,0.0012555+0.00059197i,0.0025235+0.0020104i,0.003971+0.0028761i,0.005267+0.0021471i,0.005969+0.0015774i,0.0057132+0.0013749i,0.0028589+0.00022372i,-0.00052377-0.0004808i,-0.0015459-0.00039469i,-0.0005508-0.00021413i,0.0010613+0.00034657i,0.0028103+0.00096406i,0.0038293+0.0018606i,0.0039126+0.0018871i,0.0031273+0.00066199i
0.032901+0.063843i,0.021608+0.076646i,0.0012383+0.05492i,-0.0096052+0.031202i,-0.0073044+0.026539i,0.0016899+0.021495i,0.0058874+0.0084346i,0.002964-0.00055076i,-8.0997e-05-0.002155i,-0.0011776-0.00096111i,-0.0009954-0.00043571i,-0.0012557-0.0015991i,-0.0007406-0.004612i,0.00095123-0.007111i,-1.6659e-05-0.0067068i,-0.0021553-0.0046914i,-0.0024349-0.0035687i,-0.0012145-0.0030372i,-0.00068369-0.001693i,-5.2754e-05-0.0001684i,0.0021281-0.00010441i,0.0032031-0.0012741i,0.0024931-0.0020038i
0.074237-0.013686i,0.084245+0.00022056i,0.057431+0.011455i,0.030942+0.013377i,0.023847+0.010943i,0.019479+0.0022008i,0.0090117-0.0048858i,0.00072647-0.0038679i,-0.001548-0.00069902i,-0.0013612+7.8361e-06i,-0.0016171-0.00034447i,-0.0032495-0.0016627i,-0.0045093-0.0030481i,-0.0037389-0.0035931i,-0.0016032-0.0032321i,0.00028514-0.0023006i,0.00122-0.0015458i,0.00032287-0.001813i,-0.0022867-0.0023866i,-0.0032381-0.0020841i,-0.0017562-0.0014973i,-0.00017681-0.00098867i,-0.00050674-0.00057178i
0.012729-0.080581i,0.028087-0.086486i,0.026972-0.054432i,0.017745-0.025189i,0.012092-0.018681i,0.0028981-0.016729i,-0.004275-0.008282i,-0.0032702-0.00056i,-0.00038358+0.0011682i,0.0010718+0.00098025i,0.0024974+0.0011694i,0.0020443+0.00069506i,-0.00054713+0.0016391i,-0.0024669+0.0047184i,-0.0012818+0.005444i,0.0013788+0.0036273i,0.0026834+0.001845i,0.001819+0.00058325i,0.0003437-2.5229e-05i,-0.0016183-0.00038851i,-0.0038626-0.00065914i,-0.0041608+1.3483e-05i,-0.0039659+0.0010591i
-0.075663-0.035537i,-0.076481-0.054577i,-0.046969-0.047729i,-0.022718-0.029882i,-0.019277-0.018773i,-0.020857-0.0073572i,-0.014567+0.00099161i,-0.005446+0.0018323i,0.00028285+0.00086087i,0.0032791-0.00018362i,0.004844-0.0007657i,0.0056277+1.6376e-05i,0.0058446+0.0028426i,0.0039501+0.006125i,0.0012474+0.0055682i,0.00016677+0.0033899i,1.4169e-05+0.0032248i,0.00097165+0.0035525i,0.0020935+0.002319i,0.001538+0.0008341i,-0.00023217+0.001232i,-0.00085623+0.0017344i,-0.00025594+0.0017001i
-0.060471+0.064832i,-0.080413+0.061976i,-0.063002+0.036695i,-0.034991+0.017596i,-0.021762+0.015888i,-0.013444+0.019251i,-0.0049775+0.014811i,-0.0010946+0.0058861i,-0.0005276-0.00041563i,-0.0011665-0.0018539i,-0.00087058-0.0016043i,0.0005627-0.0011541i,0.002286-0.001282i,0.0033406-0.0015393i,0.001256-0.0019573i,-0.0015939-0.0015362i,-0.0022017-0.00041837i,-0.00055524+0.00076142i,0.0012863+0.0022113i,0.002028+0.0024504i,0.0024826+0.0026382i,0.0024049+0.0020739i,0.0023655+0.00030046i
0.043459+0.080347i,0.034913+0.09871i,0.01226+0.07348i,0.00061728+0.040309i,0.0044406+0.027072i,0.01195+0.018389i,0.011627+0.007168i,0.0048607+0.00097923i,-0.00020089+0.00017824i,-0.0028644+0.00086843i,-0.0039674+0.0011242i,-0.0043452-0.0005723i,-0.0037407-0.0046106i,-0.0021372-0.007201i,-0.0012633-0.0075139i,-0.00058342-0.0053926i,-0.00071679-0.0027924i,-0.0014077-0.0023481i,-0.0015066-0.0009974i,-0.00085749+0.00027209i,7.8854e-05+0.00033726i,0.0011972-0.00062772i,0.0016305-0.0019731i
0.09362-0.018984i,0.11198-0.0069685i,0.083372+0.0063709i,0.045792+0.0065178i,0.028443-0.0012735i,0.018943-0.0089066i,0.0078761-0.010454i,0.0012397-0.0056783i,-8.9687e-05-0.00049973i,0.00022039+0.0026838i,0.0007571+0.0035852i,-0.00026985+0.0019379i,-0.0036068+0.00028903i,-0.0064892-0.00023566i,-0.0039563-0.00050023i,0.00074532-0.00096493i,0.0021389-0.001646i,0.0010737-0.0023949i,-0.0012893-0.0021855i,-0.0021476-0.0019652i,-0.0011358-0.0024269i,-0.00067082-0.0023492i,0.00011659-0.00034386i
0.013559-0.096851i,0.029039-0.11188i,0.030884-0.080159i,0.017507-0.041221i,0.0029613-0.025773i,-0.0076307-0.018864i,-0.010557-0.0088262i,-0.0054797-0.0013975i,-0.00037044+0.00088611i,0.0032906+0.00047226i,0.0049648-0.00018892i,0.0048452+0.00085126i,0.0037795+0.0037857i,0.0010863+0.0066316i,-0.00057462+0.0063837i,9.0988e-05+0.0037447i,0.00088506+0.0013589i,0.00076185-6.8884e-05i,-0.00043972-0.0014936i,-0.0011694-0.001952i,-0.0017557-0.0011519i,-0.002643+0.00061353i,-0.0023243+0.0019127i
-0.091236-0.041776i,-0.10152-0.064197i,-0.070754-0.057658i,-0.037129-0.033014i,-0.025663-0.011542i,-0.022355+0.00305i,-0.014446+0.0074945i,-0.0057804+0.0042314i,-0.0014439+1.4932e-05i,0.00016004-0.0030299i,0.0019473-0.003698i,0.0038388-0.0025157i,0.0059672-0.00010576i,0.006155+0.0026719i,0.0027754+0.0031863i,-0.0010746+0.0029006i,-0.0027057+0.0024977i,-0.0010847+0.0019415i,0.0018703+0.0018009i,0.0026179+0.0021522i,0.00063052+0.0021504i,-0.00067054+0.0018066i,-0.00063536+0.00026482i
-0.072452+0.080269i,-0.098158+0.087518i,-0.081781+0.061343i,-0.043876+0.032762i,-0.017987+0.02298i,-0.0052347+0.021051i,0.00048254+0.014007i,0.00055019+0.0051991i,-0.0012543+0.00061301i,-0.0029688-0.00074499i,-0.0036458-0.00041601i,-0.0029449-0.00061162i,-0.0015348-0.0029295i,0.00033073-0.005132i,-0.0008629-0.0052982i,-0.0031281-0.003247i,-0.0025148-0.00095925i,-0.00045247+0.0014565i,0.0013859+0.0033983i,0.0019855+0.0027159i,0.0023021+0.0016033i,0.002533+0.00081969i,0.0016608-0.00081671i
0.05843+0.09138i,0.058469+0.11709i,0.035046+0.094454i,0.015261+0.050641i,0.01181+0.022139i,0.013993+0.0089446i,0.010881+0.0019409i,0.0042817-6.2186e-05i,0.00010693+0.0010543i,-0.0013182+0.0031513i,-0.0018683+0.0039201i,-0.0036693+0.002092i,-0.0062782-0.0021113i,-0.0071111-0.0054972i,-0.0052168-0.0052386i,-0.0016362-0.0034382i,0.00053981-0.0028076i,0.00012924-0.0019996i,-0.00053776-0.0014752i,-0.00055246-0.0013495i,-0.00064803-0.0012845i,0.00013058-0.00083241i,0.00081151-0.00015431i
0.10782-0.030996i,0.13188-0.02532i,0.10272-0.011716i,0.052292-0.0046757i,0.021525-0.0066995i,0.0098583-0.010598i,0.0047426-0.0098735i,0.0025277-0.0046881i,0.00026477-9.9264e-05i,-0.00094252+0.0024228i,0.00030713+0.0032655i,0.00091018+0.0028808i,-0.0011764+0.0039268i,-0.0036203+0.0059436i,-0.0018915+0.005485i,0.0016975+0.0025235i,0.0023098-0.00053145i,1.6511e-05-0.0030292i,-0.0020913-0.0043202i,-0.0023296-0.003528i,-0.0018702-0.0027085i,-0.0013616-0.002461i,-0.00062639-0.00073673i
0.0015811-0.1141i,0.012694-0.13807i,0.018256-0.10471i,0.010405-0.049436i,-0.0018584-0.017632i,-0.010492-0.0082241i,-0.012274-0.0055054i,-0.0070509-0.0029238i,-0.00072243-0.001649i,0.0030221-0.0025978i,0.0049001-0.0031418i,0.0068931-0.0015151i,0.0080716+0.0021448i,0.0066705+0.0060582i,0.0035101+0.0067063i,0.0015079+0.0049707i,0.00015308+0.0032069i,-0.00048347+0.00085755i,-0.00032581-0.00053476i,-0.00077177-0.0011173i,-0.0017916-0.00090351i,-0.0021247-0.00029651i,-0.0015776-0.00063853i
-0.10853-0.034744i,-0.12984-0.052381i,-0.097791-0.047968i,-0.048403-0.026173i,-0.021681-0.0061238i,-0.014646+0.0058161i,-0.011077+0.0078677i,-0.0063852+0.0035106i,-0.0024253-0.00040443i,-0.0002136-0.0020012i,0.00073446-0.0019273i,0.002339-0.0015781i,0.0049385-0.0018467i,0.0062778-0.00079674i,0.003471+0.00029871i,-0.00069388+0.0011409i,-0.0021144+0.0020953i,-0.00019172+0.0031629i,0.0021722+0.003566i,0.0020236+0.0019696i,0.0007845+0.00081368i,-0.00056772+0.0007124i,-0.0016934+0.00063688i
-0.065794+0.099082i,-0.088402+0.11419i,-0.074714+0.085296i,-0.039807+0.042114i,-0.013434+0.017987i,-0.0013305+0.012298i,0.0021711+0.010135i,0.0016916+0.0061489i,3.7438e-05+0.0034289i,-0.00045578+0.0037216i,-0.00077503+0.003738i,-0.0023261+0.00097414i,-0.003265-0.0040395i,-0.0021936-0.00782i,-0.00098558-0.007593i,-0.0012962-0.0042596i,-0.00081718-0.0010384i,0.00074471+0.00076285i,0.001471+0.0020217i,0.0019575+0.001868i,0.0020937+0.0018408i,0.0013732+0.0013512i,0.00070215+4.7666e-05i
0.078817+0.091851i,0.091215+0.11736i,0.067535+0.095366i,0.030441+0.048244i,0.01104+0.01622i,0.0096476+0.0038061i,0.010261+0.00044352i,0.0064492+0.0013067i,0.0017758+0.0025379i,0.00049976+0.0038674i,0.00076058+0.0036344i,-0.0016901+0.001124i,-0.0057921-0.00099241i,-0.0080389-0.0012775i,-0.0063638-0.00097404i,-0.0020041-0.0021236i,0.00067316-0.003259i,-0.0003149-0.0021227i,-0.0018406-0.00088418i,-0.0023486-0.00057442i,-0.0014127-0.00047463i,0.00086943-0.00011898i,0.0027405+0.00093002i
0.10882-0.048899i,0.1332-0.058244i,0.10496-0.043513i,0.052482-0.018525i,0.01739-0.0049806i,0.0038972-0.0053882i,0.00022848-0.008188i,0.0004944-0.0060338i,0.0010456-0.0029547i,0.0014418-0.0024841i,0.001951-0.0023692i,0.0018082-0.00041568i,0.00092229+0.003709i,-0.00052072+0.006422i,-0.00062784+0.0054039i,0.0007492+0.003149i,0.0010392+0.0010259i,-0.00094382-0.0016675i,-0.0030398-0.0032334i,-0.0026764-0.0022466i,-0.001427-0.0012233i,-0.00036121-0.0014077i,0.0014168-0.0015287i
-0.016697-0.12197i,-0.019572-0.14956i,-0.013614-0.11803i,-0.0053066-0.055563i,-0.0030856-0.013661i,-0.0075646-0.0010583i,-0.011104-0.00029763i,-0.0083148-0.0028009i,-0.0034687-0.0050104i,-0.00099719-0.0055725i,0.0004018-0.0035339i,0.003639-0.00026138i,0.0072751+0.0035672i,0.0084534+0.0059372i,0.0061045+0.0055706i,0.0023205+0.0044653i,-0.00059235+0.0028474i,-0.0015+0.00075312i,-0.00061565+0.00041182i,-7.6226e-05+0.0014632i,-0.0010905+0.00085116i,-0.0026369-0.00055475i,-0.0033856-0.00081454i
-0.12484-0.01389i,-0.15531-0.016091i,-0.1246-0.012821i,-0.061872-0.0097141i,-0.022145-0.0059137i,-0.012194+0.0011845i,-0.010264+0.0066509i,-0.0074625+0.0050101i,-0.005189+0.0012726i,-0.0036278+0.0021374i,-0.00098133+0.0044335i,0.0021406+0.0031003i,0.0050037-0.0012442i,0.0063731-0.003925i,0.0038213-0.0039287i,-0.00033897-0.0023691i,-0.0025157-0.00016152i,-0.00043109+0.0015473i,0.002589+0.0026391i,0.0028949+0.0024306i,0.0011481+0.0022978i,-0.0017895+0.0031396i,-0.0036148+0.0032006i
-0.045743+0.11738i,-0.051877+0.14524i,-0.036991+0.11768i,-0.018405+0.058363i,-0.0086494+0.017858i,-0.0030583+0.0076384i,0.0012118+0.007747i,0.0020201+0.0074929i,9.4167e-05+0.0068873i,-0.0013848+0.0067849i,-0.00073272+0.0049747i,-0.0010213+0.00065584i,-0.0039787-0.0041802i,-0.0064716-0.0072518i,-0.0056407-0.0067926i,-0.0024629-0.0046632i,0.0004065-0.0020695i,0.0015881+0.00087139i,0.0020641+0.0018969i,0.0018191+0.0014784i,0.0014864+0.0012248i,0.0020641+0.0015035i,0.002684+0.0019764i
0.10221+0.0788i,0.12856+0.090235i,0.10547+0.065508i,0.049357+0.031007i,0.011535+0.012704i,0.0044413+0.0045563i,0.0072649-0.00035248i,0.0071511+0.00041582i,0.0048712+0.0019528i,0.0030765+0.00015562i,0.0015846-0.0020861i,-0.0014169-0.0015451i,-0.0056978+0.00075054i,-0.0088313+0.0032306i,-0.007285+0.0039678i,-0.0016685+0.0015323i,0.0019944-0.00090278i,0.0018455-0.001557i,0.00037924-0.0012125i,-0.00048554-0.0012915i,0.00063723-0.0020827i,0.0032283-0.0015681i,0.0054188-0.00089211i
0.10584-0.080478i,0.1215-0.10796i,0.091704-0.092573i,0.044162-0.043485i,0.015361-0.0074937i,0.0054764-0.00036844i,0.0017404-0.0047833i,0.0021135-0.0072038i,0.003028-0.0073331i,0.0032258-0.0071921i,0.0023803-0.0055981i,0.00055957-0.0014552i,0.0008037+0.0042358i,0.0021167+0.0080336i,0.0024067+0.0074976i,0.0011207+0.0046727i,0.00013764+0.0021278i,-0.00057981-0.00016762i,-0.0025523-0.0011261i,-0.0032001-0.0013246i,-0.0016611-0.0025857i,-0.00050875-0.0039107i,0.00038558-0.0041698i
-0.048036-0.1195i,-0.072614-0.1401i,-0.069809-0.1085i,-0.037213-0.053626i,-0.010698-0.017268i,-0.0071513-0.0052189i,-0.010799-0.0019495i,-0.0095674-0.0027544i,-0.0066607-0.00501i,-0.0048238-0.0038252i,-0.0022627+0.00083283i,0.0019374+0.0040594i,0.0075715+0.003353i,0.0095798+0.00087538i,0.007093-0.0012125i,0.0026173-0.00051901i,-0.00087647+0.0013489i,-0.0017108+0.0012253i,-0.00097459+0.0011388i,-0.00088656+0.0013475i,-0.002094+0.00083534i,-0.0039862+5.5439e-05i,-0.0058863+0.0003612i
