-0.0010316-0.00016145i,-0.0010879-0.0013291i,-0.0028369-0.0017181i,-0.0028289-3.6501e-05i,-0.0013755+0.0018943i,-0.00021713+0.0021456i,0.00077048+0.0020477i,0.0010797+0.0013777i,0.0013752+0.00029i,0.0012884-0.00049147i,0.0010037-0.00095505i,0.0008436-0.00057772i,0.00044489+3.9612e-05i,-1.7274e-05+0.0010151i,8.9147e-05+0.00050347i,-1.9389e-05-0.00019814i,-0.00038519+0.00014635i,-0.00032385-0.00027476i,-0.00011054-0.00087379i,-2.1542e-05-0.00071579i,-0.00018164+0.00029127i,-0.00042338+0.00054297i,-0.00048532+0.00029861i
0.0013607+0.00027826i,0.00077937-0.00094485i,0.00040975-0.0021701i,0.00077551-0.0017958i,0.0004228-0.00052636i,-0.00036221+0.0002658i,-0.00015444+4.8253e-05i,0.00056646-0.00016872i,0.0009995-0.00021937i,0.0012701-7.0964e-05i,0.00062377+0.00026091i,-0.00020824-0.00028312i,-0.00065762-0.00045925i,-0.00020706-0.00027117i,-0.00052134+1.6003e-05i,-0.0015643+0.00076356i,-0.00055314+0.0010305i,0.00017928+0.00041451i,-9.4941e-06-0.00012982i,0.00014161+0.00044797i,-0.00014396+0.00052871i,-0.00044612+0.00012542i,-5.1964e-05-0.00026229i
-0.00088769-0.0019254i,-0.0020236-0.0011122i,-0.0024459+0.00060905i,-0.0012935+0.0019624i,-0.00022413+0.0014839i,0.00090559+0.00045801i,0.0016481+0.00030623i,0.0010329+0.00059633i,0.00039613+0.00025649i,-1.0196e-05-0.00021359i,-0.00032452-0.00013338i,-0.00010418+0.00026678i,0.00052162+0.0001937i,0.0005374-0.00017238i,5.9007e-05+0.00017405i,-0.00022296+0.00037091i,-0.00017659-0.00022591i,-0.00022116-0.00034507i,-0.00038888-0.00041181i,-0.00078316-0.00094751i,-0.00034593-0.00070886i,-0.00061002-0.00029035i,-0.00062514-0.00090032i
7.1333e-05+0.00055414i,-0.0002594+0.0010022i,-0.00016996+0.0011551i,0.00084798+0.00083801i,0.0014301+0.00027378i,0.00075003+0.00051332i,-0.00035981+0.001158i,-0.00042141+0.0011213i,5.1346e-05+0.0010014i,0.00010944+0.00041034i,0.00023748-0.00068906i,0.00010583-0.00073068i,-0.00021221-0.00085287i,-0.00010237-0.00041013i,-0.0001924+0.0004538i,-5.8601e-05+0.00062747i,7.9013e-07+0.00089148i,-3.3436e-05+0.00069073i,8.3406e-05-9.4191e-05i,-0.0008621-0.00039078i,-0.00090682-0.00023057i,0.00029008+0.00039261i,0.00010292+0.00083779i
0.0011699+0.00039941i,0.00063307+0.00074974i,6.4911e-06+0.00053103i,0.00045712-5.8482e-05i,0.00095448-0.00016199i,0.00063766-8.2598e-05i,0.000339+0.00020796i,-7.3854e-05+0.00055991i,-0.00040882-0.00033887i,-0.00037813-0.0011499i,9.293e-05-0.00059225i,0.00023184+0.00026702i,0.00021463+0.00010326i,-0.00031715+0.00015714i,-0.00092987+0.000893i,-0.00073428+0.0005095i,9.6604e-05-2.5347e-05i,0.00038443+0.00013915i,0.00025907+0.00039829i,-0.00014357+0.00089403i,-0.00068773+0.00065995i,-4.8315e-05+3.03e-05i,0.00077778-0.00054588i
-0.0017102-0.0015072i,-0.0024906-0.00097502i,-0.002093+0.0007563i,-0.00020738+0.0019579i,0.0014012+0.0018256i,0.0022356+0.00038404i,0.0018278-0.001182i,0.00041392-0.00090133i,-0.00012241-0.00024364i,0.00024036-0.00040652i,0.00061237-0.00080106i,0.00079164-0.0012016i,0.0012107-0.0011189i,0.0011188+0.00010378i,0.00046385+0.00056256i,0.00015576-0.00019267i,-1.9169e-05-0.00036814i,-0.00040416-0.00027108i,-0.0013118-4.139e-05i,-0.0017564+0.00021465i,-0.00070384+0.00032109i,0.00023916+0.00058369i,0.00088746+0.00063379i
0.00078622-0.00055662i,0.00047138-0.0014581i,-0.00010748-0.0019314i,-0.00060221-0.0010781i,-0.00045882-0.00016963i,-0.00034867-0.00023406i,0.00027417+6.2e-06i,0.00038086+0.00029047i,0.00059813-0.00014749i,0.0010691-0.00038668i,0.00017396-0.00038443i,-0.0010006-0.00029778i,-0.0014262+0.00043384i,-0.00075006+0.00095623i,-0.00019065+0.0013141i,-0.0001725+0.0010321i,0.00053251+0.00035102i,0.0001592+0.00017061i,-0.00060289+0.00015617i,-0.00065854+4.2075e-06i,-0.00080173+0.00018461i,-0.00048498+0.00017309i,0.00064293-0.00010009i
0.00080227-0.0018942i,0.00056038-0.0013393i,0.00084065-0.00050058i,0.0002811+0.0006461i,-5.7123e-05+0.00055784i,0.00067436+0.0001935i,0.0018153+0.00064449i,0.0018382+0.00063916i,0.00086082+0.00017101i,0.0011592-0.0004933i,0.0009384-0.00016007i,3.6837e-05+0.00031507i,-0.00036806+0.00048161i,-0.00026676+0.00076969i,-1.0671e-05+0.0010944i,0.00025052+0.0014012i,0.0002467+0.00091709i,0.00045811+2.3697e-05i,0.00092203-0.00045576i,0.00077113-0.00077291i,0.00087345-0.00058469i,0.00074016-0.00033108i,8.6075e-06+0.00013152i
-0.0023313+0.001418i,-0.00099123+0.0018267i,-0.00022521+0.0017425i,0.0011327+0.00085673i,0.0022602+0.00045323i,0.0020018+1.9137e-05i,0.0011285+7.0247e-05i,0.00043988-1.0104e-05i,0.00019239+0.00039339i,0.0002465+0.00097669i,0.00016177+0.0008369i,-0.00020164+0.00048209i,0.00014565+0.00032585i,1.3865e-05-0.00019517i,3.757e-05-0.00065525i,-0.0002538-0.00019621i,0.00017555-0.00027602i,0.00045338-0.00020726i,-0.00012423+0.00021272i,-0.00016857+0.0002714i,-0.00079986-0.00014478i,-0.00053946-0.00096589i,0.000465-0.00056394i
-0.00038223-0.0023762i,0.00015948-0.0017452i,-0.00024389-0.00078863i,-0.0014014+0.00024027i,-0.00084991+0.00076832i,0.00017387+0.0011611i,0.00019574+0.00086323i,0.00051355-7.694e-05i,0.00075742-0.00018623i,0.00076079+0.0005506i,0.00063715+0.0011297i,0.00077758+0.0011173i,0.00073798+0.0013816i,0.0005437+0.002185i,0.00050402+0.0020789i,0.00020705+0.00088086i,0.00084519-0.00011333i,0.00015151+4.0368e-05i,-0.00033112+0.00015392i,0.00090269+0.00031038i,0.0010955+0.00093575i,0.00075193+0.00072562i,0.00060152-0.00026023i
0.00019184+0.00019957i,-1.3651e-05+9.1709e-05i,-0.00025405+0.00070457i,-0.00062607+0.0013098i,0.00035679+0.0002946i,0.0015889+3.3645e-06i,0.0016532+7.1508e-05i,0.0014606-0.00018971i,0.00048721-0.00043112i,-0.00011609-0.00052224i,0.00049999-0.00039134i,0.0006865-0.00078625i,0.00075188-0.00087907i,0.00054934-0.00058066i,0.00042958-0.0005479i,0.00010729-0.0012382i,0.00043926-0.0015973i,-4.7829e-05-0.00070513i,-0.0010653+7.1625e-05i,-0.00098257+0.00054177i,-0.00077274+4.2457e-05i,-0.00012433-0.00018382i,0.0001963+0.00012823i
