-0.0029471+0.002019i,-0.00094887+0.0028323i,-0.00018174+0.0028875i,-8.2551e-05+0.0016702i,-0.00059151+0.0012807i,-0.00069471+0.00023433i,-0.00011046-0.00059181i,0.00073444-5.8522e-05i,0.00094273+2.5317e-05i,0.0006804-0.00059849i,0.0012399-0.00040375i,0.00094517-0.0004035i,0.000119-0.00067946i,-1.7354e-05-0.00077049i,-0.0002127-0.00057483i,-0.00073641+7.1075e-05i,-0.00098397+0.00015901i,-0.00067411-0.00035701i,-0.00057194-0.00075798i,-0.00065169-0.00065794i,-0.00054002+0.00057909i,-0.00090309+0.00061071i,-0.00036186-0.00035206i
0.00022565-0.0012135i,-0.00027474-0.0011457i,-0.00041546-0.00058743i,-0.0015598-0.00065187i,-0.0010451-0.0012453i,-0.0003199-0.0010632i,-0.00027465-0.00085923i,0.00027631-0.00021918i,0.00049648+0.0008073i,0.00048683+0.0004516i,-0.00010867+0.00015438i,-0.00063393-0.00023162i,-0.00040504-0.00017326i,-0.00017339+0.0007906i,-0.00032736+0.0016567i,-0.001041+0.0017097i,-0.00099316+0.00084866i,-0.00049949+0.00020249i,-0.00067177+0.00048292i,-0.00020676+0.00063184i,0.00052204+0.00050478i,0.0004184+0.00013558i,-0.00018767-0.00053871i
-0.001757-0.0001727i,-0.0024611+0.00027911i,-0.002484+0.00052114i,-0.0021877+0.00054163i,-0.0013428+0.00048373i,0.00068615-0.00026722i,0.0012939-0.00058237i,0.00047065+0.00012193i,0.00032278+0.00039834i,0.0008498-0.00013274i,0.00031165-0.00048295i,-0.00094812-0.00097001i,-0.0011832-0.00065847i,-0.00047813+0.00038152i,5.3374e-05+0.00071165i,-0.00042499+0.00033035i,-0.00035957+0.00077166i,0.00028906+0.00024474i,0.00050264-0.0015288i,0.00010095-0.0012593i,-0.00050665-0.00062343i,-0.00020825-0.0005674i,-0.0008019-1.8804e-07i
0.0010064-0.0010703i,-1.1006e-05-0.0012404i,-0.00076212-0.0019138i,-0.0014041-0.0018315i,-0.0026778-0.0015406i,-0.0018425-0.0017063i,-0.00047371-0.00080126i,0.00038352-9.0477e-05i,0.001362-0.0003167i,0.00089232-0.00012331i,-0.00014902+0.00026706i,-0.00028448+0.00038665i,-0.0002786+0.0008742i,-0.00049521+0.0011291i,-0.00050913+0.00089338i,-0.00035912+0.00067941i,-0.00021852+0.0003148i,0.00062412-0.000552i,0.00097163-0.00019138i,0.00014036-0.00031683i,-0.00062778-0.0010455i,5.1546e-05-0.00054605i,0.00040699-0.00021722i
-0.0010628-0.00092442i,0.00030137-0.00096319i,0.0017045-0.00075544i,0.0017156+0.0001268i,0.00070561+0.00034132i,0.00018814+6.1001e-05i,-0.00013236-0.00083523i,-0.00056686-0.00098473i,-0.00066251+0.00021188i,-0.00018995+0.0012102i,-0.0007654+0.0012593i,-0.0011918+0.0013123i,-0.00066128+0.00075847i,-5.0531e-05+7.0755e-05i,0.00036054-0.00047279i,0.00020662-0.0009377i,-0.00065575-0.00068044i,-0.00074015-0.00031082i,-0.00074546+0.00021925i,-0.00075597+0.00066189i,-0.00057853-4.1173e-05i,-0.00020274-0.0010489i,-0.00058751-0.00069723i
-0.0018849-0.00091793i,-0.0015276-0.00044148i,-0.00048325+0.00045787i,3.8642e-05+0.0010101i,-6.5924e-05+0.00052729i,0.00016933+0.00029064i,-9.6272e-05+4.8561e-05i,-0.00067986-0.00010905i,-0.00022955+0.00058129i,0.0007953+0.0011026i,0.00076088+0.00090186i,0.00013353+0.00016024i,-3.8049e-07-0.00064936i,-0.00014552-0.0006949i,-0.00050073-0.00015578i,-0.00057309-0.00035185i,-0.00043024-0.00036047i,-0.00034908-0.00029097i,-0.0001729-0.0004132i,-0.00021585+0.00040571i,-2.7116e-05+0.00084569i,0.00011901+0.0011662i,-0.00033658+0.0011574i
-0.0012039+4.5783e-06i,-0.00061386+0.001616i,5.739e-05+0.0029794i,-0.00027277+0.002535i,4.0896e-05+0.00060694i,0.00058958-0.00070728i,0.00011791-0.0010286i,-0.00047556-0.00091435i,-0.00080009-0.0008582i,-5.268e-05-0.00028061i,0.00070969+8.5921e-05i,0.00070229-0.00020187i,9.2808e-05-0.00043329i,-0.00025838+0.00010773i,-0.00071424+0.00074322i,-0.00096036+0.00020014i,-0.00031888-0.00010547i,0.00049646+0.00023441i,0.00043058+0.00041165i,-0.00017249+0.00050157i,-0.00087794-2.2028e-05i,-0.00046765-0.00053613i,0.00045874-0.0006489i
-0.00015689-0.00084091i,-0.00021239+0.00077267i,-0.00056142+0.0012324i,-0.0016693+0.0011419i,-0.0018921+0.00073755i,-0.00088039+0.00013935i,0.00022377+0.00023906i,0.00042153+0.00087678i,0.00053225+0.00093985i,0.00011904+7.103e-05i,-0.0012139-0.00020669i,-0.0013388-0.0002234i,-0.00062231-4.1975e-06i,-0.00034724+0.0004733i,-0.00022273+0.00030727i,-0.00028803-0.00014228i,-0.00051897+0.00021708i,-0.00033542+0.0007033i,-5.8647e-05+0.00037603i,-0.00045549-0.000449i,-0.00070601-0.0012952i,-0.00043586-0.0014676i,-0.00060867-0.00058557i
-0.00080483-0.00044417i,-0.0019663+0.00038786i,-0.0017564+0.0011827i,-0.00086017+0.0015802i,-0.0003258+0.00096934i,-0.00069809-0.00030952i,-0.0010186-0.0013178i,-0.00069459-0.0011419i,-0.00043359+0.00018518i,-0.00096947+0.00073745i,-0.00096953+0.00064397i,-0.0002064+0.0010018i,0.00021132+0.00082175i,-7.3649e-05+0.00055019i,-0.00051585+0.00026328i,-0.00012597-0.00067762i,0.0001316-0.0011122i,-0.00022099-0.00040689i,-0.00057119+8.4306e-06i,-0.00064804-0.00060686i,-0.00046308-0.0009148i,-0.00041295-9.3832e-05i,-0.0003528-0.00044004i
-0.0018631-0.00090272i,-0.0022524-0.0010736i,-0.001108-0.002175i,0.00014091-0.0028517i,0.00058431-0.0023937i,0.00055579-0.0021967i,0.0013429-0.0022794i,0.001502-0.0012856i,0.0011948+0.00021876i,0.0017722+0.00068763i,0.0014397+0.00046537i,0.00049643+2.2342e-05i,0.00073169-0.00034336i,0.0011625-5.9984e-06i,0.00021359+0.00057775i,-0.00066712+0.00053305i,-0.00020857+0.00011749i,-0.00011691+0.0009353i,-0.00091856+0.0017879i,-0.0011988+0.00053902i,-2.7639e-05-0.00051675i,0.00090355+0.00082923i,0.0014139+0.0014242i
-0.00048466-0.0021584i,-0.0018303-0.00045889i,-0.0036062+0.00049993i,-0.002481+0.0019451i,-0.0011304+0.0021028i,-0.00050681+0.0007281i,-0.00035113-0.0005084i,-0.000258-0.00095288i,0.00046024-0.00094807i,0.00074648-0.00031466i,0.00029742+0.00025301i,0.00012687+0.00051594i,0.00052836+0.00094712i,0.00048176+0.0014638i,2.7245e-05+0.0015666i,3.4693e-05+0.0012309i,0.00079253+0.00062731i,0.0010109+0.00053932i,0.00035572+0.0003577i,-8.1793e-05+0.00049484i,1.1037e-05+9.5768e-05i,6.565e-05-0.00050587i,6.053e-05+0.00015546i
0.00035734-0.0012759i,0.00090916-0.0010482i,-9.9252e-05-0.0014333i,-0.0015115-0.0013395i,-0.00095992+0.00013107i,0.00063122+0.00051634i,0.00045378+0.00016612i,-0.00058182-0.00011132i,-0.00064669-0.00042029i,-0.00046822-5.9194e-05i,-0.00051549-0.00070999i,-0.00025895-0.0011191i,-0.00010517-0.00052805i,-9.7977e-05-0.00025143i,0.00013658+0.0004251i,0.00094746+0.00057918i,0.0012154-0.00023454i,0.0007469-0.00059823i,0.00079413-0.00046803i,0.0011731-8.5544e-05i,0.00064593+0.00014897i,-0.00019429-0.00061705i,0.00018993-0.00058272i
0.0012767+2.5433e-06i,0.0024526-0.0003454i,0.0024708-0.00013084i,0.0010306-0.00078774i,0.00025404-0.00089056i,0.00023721-0.00024488i,0.00072579+0.00046581i,0.00062481+0.001265i,-0.00016363+0.0014342i,-0.0010419+0.0013455i,-0.0011159+0.0011274i,-0.00016433+0.00071576i,0.00089414+0.00048756i,0.00037472+0.00024355i,-9.2469e-05-0.00083018i,0.00052903-0.0010956i,0.0001016-0.00033691i,-0.00046475-5.3274e-05i,-0.0005054-0.00031489i,-0.00029209-0.00031042i,-7.3367e-05+0.00038919i,7.8529e-05+0.00025338i,0.00018065+0.00059035i
-0.0020413+0.0023578i,-0.00057078+0.0042875i,0.00079009+0.0040153i,0.0021431+0.0018557i,0.0027849-0.00089653i,0.0022242-0.0025787i,0.00082043-0.0028043i,0.00033842-0.0016128i,0.00065992-0.00038412i,0.00092751+0.0007664i,0.0015578+0.0019168i,0.0010532+0.0015772i,-0.00016036-0.00014475i,-0.00042913-0.0019102i,-0.0006783-0.001567i,-0.0010091-0.00087875i,-0.0011087-0.00079992i,-0.0012062-1.1188e-05i,-0.00069359+0.00072649i,-0.00093451+0.00098098i,-0.0014198+0.00063841i,-0.0011731+0.00029482i,-0.00077957+0.00033526i
-0.00061022-0.00062519i,-0.0023753+0.00036806i,-0.0030047+0.0010693i,-0.0037356+0.0016968i,-0.0049724+0.0022626i,-0.0045702+0.00095022i,-0.0027763-0.0010797i,-0.0011783-0.0021327i,9.6369e-06-0.0019836i,0.00064979-0.0015766i,-8.2415e-05-0.0012756i,-0.00089641-0.00081341i,-0.00079781-0.00067507i,-0.0013051-9.5447e-05i,-0.0015633+0.00060346i,-0.0018258+0.00074968i,-0.0020403+0.00013164i,-0.00095421+0.00023914i,-7.384e-05+0.00055336i,0.00063832+0.00037381i,0.00046469-0.00054281i,8.8167e-05-0.0011269i,-0.00024625-0.00040902i
-0.00018875-0.0011464i,-0.0014767-0.0019432i,-0.0012032-0.0024429i,0.0001002-0.00044471i,0.0012694+0.00098242i,0.0016661-0.00017379i,0.00037713-0.00098109i,-0.0013196-0.00041485i,-0.0013488-0.00049311i,-0.00063717-0.00043443i,-0.00098343-0.00018229i,-0.0016774+8.9778e-05i,-0.00105+0.00020108i,0.00024752-0.00015728i,0.00062101+0.00018503i,-0.00033349+0.0011888i,-0.0010035+0.00059337i,-0.00038139-0.00096166i,-3.0419e-05-0.0017608i,-0.00010643-0.00084696i,1.9213e-05+0.0005025i,-0.0002702+0.00041336i,-0.00049778-3.8567e-05i
0.0016726+6.7259e-05i,0.0018838-0.00204i,0.00060857-0.0020983i,0.00034112-0.0024098i,0.00094258-0.0042843i,0.0007387-0.0033984i,0.00037537-0.0011032i,8.607e-05+0.00074831i,-0.0010187+0.00079059i,-0.00153-0.00066983i,-0.0011575-0.00030855i,-0.00067391+0.00079222i,-4.7407e-06+0.0013992i,0.00025301+0.0011151i,-0.00029758+1.6536e-06i,-0.00048039-0.00017263i,-0.00046535+0.00062966i,-0.0010146+0.00052951i,-0.0011684-0.00024631i,-0.00036466-0.00080328i,0.00013737-0.00022425i,-0.00058292-0.00010549i,-0.0011159-0.00046435i
0.0011646+0.00020754i,0.0014646-9.2603e-05i,0.00067668-0.00074221i,0.00031771-0.00043327i,-0.00026429-0.00043588i,-0.0011988-0.00050054i,-0.0014115-9.0825e-05i,-0.0012936+0.00094276i,-0.00083037+0.0016529i,0.00061736+0.0019622i,0.0015284+0.0019737i,0.0011496+0.0018145i,0.00080386+0.0014714i,0.00027799+0.00044175i,-0.00065701+1.1047e-05i,-0.00093095+0.0006038i,-0.00033427-0.00021909i,-0.00029476-0.00061426i,-0.00026207+0.00025734i,0.00012871+0.0004949i,-0.00011667+0.00035843i,-0.00020064+0.00039697i,0.00015336+0.00055483i
-0.00023534+0.00081612i,0.0016907+0.0013528i,0.0022428+0.002305i,0.00049897+0.0022956i,9.6997e-05+0.0015963i,0.00028808+0.00069992i,0.0005691-0.0005888i,0.0014058-0.0017677i,0.0020356-0.00072339i,0.0024444+0.00027725i,0.0023724+0.00011133i,0.0017677-0.00028499i,0.001008-0.00057512i,-0.00039526-0.00067361i,-0.00091512-0.0013543i,-0.00045747-0.00047645i,-0.00050041+0.00076263i,-5.2354e-05+0.00011876i,0.00070925-0.00024554i,0.00036665+0.00071618i,-2.0702e-05+0.001381i,0.0004914+0.00016599i,0.00064648-0.0010938i
0.00045885+0.00078037i,2.5703e-05+0.0019686i,0.00020196+0.0012898i,0.0018089-0.00028809i,0.0031823-0.00066323i,0.0033969-0.00088858i,0.0017671-0.0019398i,0.00072821-0.002279i,0.0007356-0.0021189i,0.00053929-0.0021064i,0.00061892-0.0016041i,0.00081492-0.00094394i,7.2861e-05-0.00083093i,-0.00058443-0.00066587i,-0.00021398+0.00022084i,-8.4151e-05+0.00059101i,-0.00036176-1.3938e-05i,-0.00038437-0.000955i,-0.00043047-0.0011749i,0.00011353-5.5197e-05i,0.00074973+0.00023408i,0.0009276-0.00011935i,0.00070426+0.00013389i
-0.0016622+0.0016474i,-0.001934+0.0028508i,-0.00083732+0.002276i,0.00010745+0.00033387i,-0.000227-0.0020671i,-0.00097694-0.0035667i,-0.0018484-0.003309i,-0.0014912-0.0019264i,-7.2011e-05-0.00089543i,-0.0010446-0.00095345i,-0.0025297-0.0010842i,-0.0027886-0.00035091i,-0.0022616-5.1493e-05i,-0.00099922-0.0005389i,-0.00021193-0.00025934i,0.00030443+0.00029272i,-0.0001427-0.00011229i,-0.0010671-0.00055215i,-0.0011636+0.00028827i,-0.00047544+0.00095007i,0.00058377+0.0009236i,0.0015286+0.00099654i,0.0004518+0.00093846i
-0.0014707-0.0020199i,-0.0026079-0.0012993i,-0.0035395+2.0014e-05i,-0.0037359+0.0020927i,-0.0039039+0.0044023i,-0.0026666+0.0036071i,-0.001246+0.0020815i,-0.00024474+0.0020288i,-0.00015552+0.0016271i,-0.00053888+0.0011686i,-0.00047898+0.0016775i,0.000524+0.0018196i,0.0011102+0.0018304i,0.00048489+0.0017257i,0.00035661+0.0012155i,0.00014874+0.00070849i,8.4922e-05+0.00029143i,0.00063064+0.00021299i,0.0012923-7.5267e-05i,0.0011371-0.00047921i,0.00059508-0.00051643i,9.0835e-05-0.0002296i,-0.00018622+0.00022274i
-0.00077742+0.00049378i,-0.00014576+8.1408e-05i,-1.0016e-05-0.00057901i,0.00099881-0.00020584i,0.0026748+0.00047655i,0.0037567+0.00029785i,0.0030279+0.00012061i,0.0018443+6.0782e-05i,0.002437+0.00049454i,0.0027738+0.0011119i,0.0025781+0.0013864i,0.002121+0.0010872i,0.0013277+0.00098729i,-0.00044111+0.00099594i,-0.0010392+0.00079589i,-0.00062251+0.00032445i,-0.00066809-0.00012474i,-0.00011121-0.00010854i,0.00036041-0.0006759i,-1.8906e-05-0.0015551i,-0.00052352-0.0011654i,-0.00014768+1.6877e-05i,-0.00047288-0.00020888i
0.00060387+0.0020178i,0.0005647+0.0019078i,0.001789+0.0024304i,0.0027132-0.00021365i,0.0025141-0.0036007i,0.0012177-0.0048538i,0.00019651-0.0045887i,0.00038506-0.0024052i,0.001187-0.00085537i,0.0015496-0.0013851i,0.0013487-0.0019757i,0.00060943-0.0021838i,-0.00065496-0.0022725i,-0.0013158-0.0017624i,-0.0020204-0.0011194i,-0.0019912-0.00054079i,-0.00079585+9.3925e-05i,-0.00014318+5.6897e-05i,-0.00057121+0.00086521i,-0.00026655+0.0011862i,0.00041396+8.6215e-05i,0.00015126-0.00098663i,-0.00051728-0.001157i
-0.002829+0.0014797i,-0.0027831+0.0027964i,-0.0019281+0.0032689i,-0.0016779+0.002026i,-0.0011473+0.00013173i,-0.00070959-0.0020135i,-0.0011156-0.0032989i,-0.0010499-0.0032459i,-0.00061465-0.002914i,-0.00018462-0.0029805i,-0.00073011-0.0022493i,-0.0009072-0.0011341i,2.9672e-05-8.9775e-05i,0.00025307-7.3229e-05i,-5.7528e-05-0.00054832i,9.149e-05-0.00046671i,0.0004803+0.00043226i,0.00053848+0.00068718i,4.1023e-07+0.00027264i,-0.00025889+0.00033269i,-0.00014486+0.00034337i,-0.00047395+8.5334e-05i,-0.00086062-0.00024606i
0.00021065-0.0027942i,-0.0012207-0.0014624i,-0.0022697-0.00035204i,-0.0023811+0.00070692i,-0.0027092+0.002561i,-0.0020497+0.0030758i,-0.0012035+0.0016723i,-0.0013415+0.00018495i,-0.0021218+0.0001634i,-0.0021545+0.00073081i,-0.0018983+0.0014402i,-0.0012193+0.0014805i,9.5091e-05+0.00074034i,0.0005331+0.00019841i,-0.00011835+0.0012117i,-0.0005811+0.0022007i,-0.00053279+0.0014692i,-0.00058222+0.0006993i,0.0001992+0.0001056i,0.00073328-0.0001597i,0.00031376-0.00038654i,-0.00021438-0.00044847i,-0.00064166-3.6461e-05i
5.9757e-05+0.0011344i,0.00091036+0.0009135i,0.00099934-0.00020557i,0.0020526-0.0001417i,0.0026938-0.00016771i,0.0018182-0.00018152i,0.00076578+0.00061751i,7.2003e-05+0.0014108i,0.00027247+0.0020805i,0.00056923+0.0017458i,0.00071003+0.0013466i,0.0011304+0.00093753i,0.0012582-0.00041522i,-7.9835e-06-0.0014019i,-0.0012471-0.001342i,-0.00074827-0.0010137i,-0.00051879-0.00043405i,-0.00091718-0.00070172i,-0.00084019-0.00050958i,-0.00065239-4.6009e-05i,-0.00053198-0.00036493i,2.6774e-05-0.00091278i,0.00060507-0.00096803i
-0.0015054-0.0009406i,-0.00191+0.00027815i,-0.0012333+0.0014098i,-0.00018718+0.00077478i,-0.00059497-0.00036837i,-4.0397e-05-0.00064759i,0.0018759-0.0010976i,0.003349-0.001206i,0.003521-0.00058002i,0.0030659-0.00038761i,0.002599+0.0001099i,0.0019397+0.00055149i,0.0014677+0.0011254i,0.0013182+0.0014808i,0.00087615+0.0010602i,-0.00047624+0.00019628i,-0.0011995-0.00035343i,-0.0017126-0.00030084i,-0.0020251-0.00061636i,-0.0016555-0.00064623i,-0.0014881+0.00014523i,-0.0010063+0.00069003i,-0.00058269+0.00035395i
0.00026239-0.00065693i,-0.00098819-0.001328i,-0.0018106-0.0010518i,-0.0028291-0.0004523i,-0.0026901+9.8728e-05i,-0.00086507-0.00032443i,0.0012484-0.0020515i,0.0018089-0.0031723i,0.0017053-0.0033706i,0.00082789-0.0035942i,-0.00022744-0.0033693i,-0.00086062-0.0021383i,-0.00075574+0.00011642i,-0.00086218+0.00096184i,-0.0011869+0.00024412i,-0.0012343+0.00019702i,-0.0017747+0.00029853i,-0.0013584-7.2194e-05i,-0.0003101-0.00028214i,0.00046036-0.0002111i,0.00012439+0.00025402i,-0.00070158+0.00042013i,-0.00076028+0.00026614i
0.00027935+0.00059973i,0.0003193+0.00022039i,0.0002746+4.8878e-05i,-0.00051439+0.00070714i,-0.00027038+0.0016128i,-0.00027349-0.00066935i,-0.0018039-0.0032622i,-0.0029006-0.002997i,-0.0028084-0.0013081i,-0.0020769-0.00028185i,-0.0025074-0.00010838i,-0.0029053-0.0004934i,-0.0018211-0.0012034i,-0.0011385-0.00085583i,-0.00063172-0.00072142i,-0.00069205-0.00094831i,-0.00059394-0.0010717i,0.0005275-0.00010132i,0.00042802+0.0010194i,0.00021726+0.00073195i,4.0987e-05-0.00012296i,-0.00027305+0.00010496i,-0.00016894+0.00030934i
0.00068273-9.4611e-06i,0.0010812+0.00033468i,0.0028454+0.0015967i,0.0027168+0.0011461i,0.0011689-0.00023767i,-0.0010872-0.00067633i,-0.0023887-0.00073949i,-0.0020623+0.00041954i,-0.0012862+0.0022245i,1.4252e-05+0.0035648i,0.00035187+0.0039582i,-0.00074867+0.0028226i,-0.0010903+0.0009359i,-0.0012041-0.00059735i,-0.00064173-0.0012295i,-0.00010517-0.0013864i,-0.0004368-0.0014995i,-0.00031953-0.00089102i,-4.9931e-05-0.00048228i,0.00012393-0.00032667i,0.0004312+7.5651e-05i,0.00037277+8.1514e-05i,-0.0010148-0.00059701i
0.0012551-0.00013841i,0.0016809+0.0012419i,0.0015947+0.001163i,0.0013483+1.7716e-05i,0.0002637-0.00044067i,0.00090283-0.00018702i,0.0019667+0.0012722i,0.0023586+0.0020525i,0.0024102+0.00235i,0.0025153+0.0028022i,0.0021401+0.0024574i,0.0012336+0.0013732i,0.00033468+0.00050915i,-4.1733e-05+0.00047838i,0.00012585+0.00074262i,0.00022885+0.00074981i,-0.00015314-5.6613e-05i,-0.0011908-0.00016499i,-0.00099046-0.00032324i,-0.00018192-0.0006339i,-0.00058884-0.00045735i,-0.00084123-0.00083669i,0.00017884-0.00094683i
-0.0006707-0.00070061i,-0.0024405+0.00046234i,-0.0036026+0.0011312i,-0.0036563+0.0017632i,-0.0026292+0.0014468i,-0.0009531+0.00085662i,0.00038464+3.2174e-05i,0.0015049-0.0010594i,0.0027225-0.0018561i,0.0022197-0.001979i,0.00048214-0.0019231i,0.00039981-0.0018761i,0.00037538-0.0011186i,0.00025712+0.00061298i,0.00090349+0.0010765i,0.0011621+0.00035439i,0.00084576-0.00044468i,0.00071152-1.7507e-05i,0.00083542+0.00077917i,0.00067392+0.00056509i,0.00044503+0.00018443i,0.00015005-0.00083343i,-0.00039811-0.0013887i
-0.0019875+0.00099045i,-0.0036286+0.0011178i,-0.0045614+0.0009521i,-0.0031072+0.00097237i,-0.00092919+0.00024373i,0.00048766-0.001945i,0.00073323-0.0040387i,-0.00038827-0.0042105i,-0.0013475-0.0033357i,-0.0015071-0.0025912i,-0.0013393-0.0021936i,-0.0010793-0.0012905i,-0.0009696-0.00041592i,-0.00052082-0.0011713i,0.00020792-0.0018764i,0.00061197-0.0012013i,0.00082666-0.00024613i,0.0011575-0.00023725i,0.00088473-0.00025153i,0.00060874+0.00029674i,0.00049753+0.00014377i,0.00056633-0.0003326i,0.00014456-0.00037642i
-0.0013191-0.002577i,-0.0014574-0.0028882i,-0.00085094-0.0011609i,0.00036285-0.00011784i,0.00064332-0.00048569i,-0.0002322-0.00072175i,-0.00082962-0.00070127i,-0.0013084+0.00015546i,-0.0018591+0.0010687i,-0.0023158+0.0010366i,-0.0025332+0.0013769i,-0.0018686+0.001511i,-0.00081157+0.0007449i,-0.0011659-0.00034296i,-0.0017512-0.00080846i,-0.0011653-0.00049094i,-0.00068269+0.0004178i,-0.0012044+0.00044382i,-0.0016305-0.00029368i,-0.0012043-0.00034406i,-0.00059075-0.00028133i,0.00018804-0.00038509i,0.00032962-0.00045854i
0.00018246+0.00022015i,0.0015384-0.0013287i,0.0024223-0.0027904i,0.0019355-0.0026421i,0.0011941-0.0014203i,0.00016371-0.0015495i,-0.0014086-0.0014379i,-0.0017244-8.1546e-05i,-0.00089288+0.0014923i,-0.00062726+0.0021236i,-0.00059024+0.0019216i,0.00016935+0.00090166i,0.00064764+7.2024e-05i,0.00031093-0.00016599i,-0.00054916+0.00017256i,-0.0010405+0.00072062i,-0.0007624+0.00088554i,-0.00080249+0.00079964i,-0.0012938+0.0012039i,-0.0013507+0.0013286i,-0.0010713+0.00042506i,-0.0011926+0.00019145i,-0.00083065+0.00024225i
0.0024526-0.0028326i,0.0025426-0.0024096i,0.0018897-0.0013272i,-0.00059293-0.00074582i,-0.0019191+0.00061634i,-0.00096239+0.0019419i,0.00084403+0.0016718i,0.0019923+0.0018873i,0.0019417+0.0015231i,0.0021098+0.00037156i,0.0026599-4.3798e-05i,0.0015869-0.0003605i,0.00059247-0.00025583i,0.00083735+0.00041394i,0.0002242+0.0013286i,-0.00060747+0.0013571i,-0.0010718+0.00095895i,-0.00028012+0.001214i,0.00050185+0.0012727i,4.8211e-05+0.00053489i,-0.00045155+0.00044529i,-0.00048597+0.00099168i,-0.00024213+0.0010723i
0.00070686+0.0018054i,0.00089071+0.0033833i,0.0015813+0.0040925i,0.0012001+0.0035072i,0.00089562+0.00094222i,0.00070544-0.0013667i,0.00041051-0.0019293i,0.0014445-0.0023582i,0.0018775-0.0024302i,0.0013404-0.0025388i,0.00035463-0.0032292i,-0.00058696-0.0028516i,-0.00073518-0.0015389i,-0.00052663-0.0006445i,-0.00021754-0.00058132i,0.00043486-0.00061774i,0.00059859-0.00020694i,-0.00025985+1.9036e-05i,-0.00072426-0.00032946i,-0.00065507-0.00042737i,-0.00075868-0.00028913i,2.0067e-05+7.7981e-05i,0.00065843+0.0011275i
-0.0029754+0.00088712i,-0.0033577+0.0041126i,-0.0011951+0.0054625i,0.00085032+0.004125i,0.0012898+0.00094791i,0.0016759-0.0016121i,0.00087193-0.0028783i,-0.00058501-0.0034431i,-0.0019505-0.0030083i,-0.002351-0.0020283i,-0.0022537-0.00023812i,-0.001825+0.00078192i,-0.0012887+0.0010794i,-0.0013038+0.00065287i,-0.00025305-0.00055276i,0.00018262-0.0012544i,0.00017183-0.00068164i,6.0947e-05-0.00027881i,-0.0010104-0.0005757i,-0.0014067-0.00051712i,-0.0010639-6.3055e-05i,-0.00077004+1.3972e-05i,-0.00048149-0.00036503i
-0.0013664+0.00026994i,-0.0028167+0.00088718i,-0.0030171+0.0013273i,-0.0013835+0.00059092i,-0.00080918-0.00099593i,-0.0011856-0.0025241i,-0.00065165-0.0022426i,-0.00071488-0.0010805i,-0.00093182+0.00025764i,-0.00051846+0.0020943i,-0.00036565+0.0027564i,-0.00014451+0.0025028i,5.9213e-05+0.0019115i,0.00011119+0.0011677i,-0.00046638+0.00042755i,-0.00072977-0.00032228i,-0.00092993-8.0192e-05i,-0.0014166+5.3244e-05i,-0.0013027-0.00066136i,-0.0010265-0.001155i,-0.00099635-0.00086519i,-0.00084369-0.00079003i,-0.00083719-0.00060513i
-0.001538-0.0021453i,-0.0031347-0.0037729i,-0.005415-0.0045876i,-0.0059954-0.0032172i,-0.0048936-0.0015079i,-0.0025786-0.0014418i,-0.00057332-0.0010488i,-0.00034768-9.686e-05i,-7.8599e-05+0.0005444i,0.0009641+0.0013431i,0.0013318+0.0018228i,0.0011017+0.0013351i,0.0011084+0.00011137i,0.0011345-0.00044188i,0.00090283+0.0015274i,0.00092441+0.003004i,0.00047811+0.0016131i,-0.00021895+0.00040309i,0.00012818+0.00017964i,-4.3248e-05-1.8471e-05i,-0.00045067-0.00066921i,-0.0005473-0.0012541i,-0.00083373-0.00071491i
-0.0013774+0.00048591i,-0.0020155-0.00054652i,-0.0020379-0.00018547i,-0.001833+0.00044611i,-0.00087831-0.0002446i,-0.00013372+0.00035357i,-0.00062386+0.0015375i,0.00019297+0.0013406i,0.00079561+0.00089775i,-0.00015997+0.00018386i,-0.00035748-0.0010244i,-0.00062653-0.0012925i,-0.0014816-0.0011666i,-0.001697-0.0010635i,-0.00078436-0.00087774i,0.00044202-0.00042582i,0.001174+0.00034845i,0.00027993+0.00076421i,-0.0004206+0.00090349i,-0.00013494+0.00075071i,0.00048759+0.00029949i,0.00042479+0.00034823i,-0.00046954+0.00049931i
0.0015385-0.00069026i,0.0032474-0.0010718i,0.0044814-0.0016456i,0.0032742-0.00074939i,0.0018454-0.00093721i,0.001407-0.0020528i,0.0011874-0.0019046i,0.0014756-0.0012549i,0.0016281-0.00067116i,0.00051835-0.0013526i,-0.00081513-0.0014782i,-0.0019447-0.00020842i,-0.0024068+0.00094864i,-0.0020725+0.0013441i,-0.0012715+0.00052689i,-0.00054535-0.00031353i,1.4258e-05-0.00088621i,-0.00023065-0.00082003i,0.0002845-0.00052187i,0.001063-0.00048392i,0.0012909-0.00047741i,0.0015311-0.00035098i,0.0015584-0.00090369i
0.00020159-9.9099e-05i,0.0012895-0.0003345i,0.0010052-0.00093713i,-0.00039576-0.0012678i,-0.0011138-0.0010462i,-0.00021702-0.0016507i,0.0012679-0.0030855i,0.00088551-0.0031541i,-0.00065673-0.0010867i,-0.00099668+0.00081837i,-0.0010621+0.0018416i,-0.00017495+0.0017191i,0.0013715+0.00096278i,0.0014419+9.1999e-05i,0.0002977-0.00074947i,-0.0005071-0.00071319i,-0.00017201-0.00075636i,-0.00014321-0.00044246i,-0.000112+0.00014062i,-7.2297e-05-0.00023741i,-0.00034635+2.6639e-07i,-0.00034651+0.00062544i,-0.00024186+0.0002951i
