-0.0021652+6.3467e-05i,-0.0014759+0.00012119i,-0.0030269+5.3401e-05i,-0.0040656+0.00038295i,-0.0028497+0.0010257i,-0.0021438+0.00098322i,-0.001986+0.00057861i,-0.00059219+0.00088026i,0.001351+0.0011899i,0.0017598+0.00036797i,0.0014104-0.00056975i,0.00082908-0.00096999i,0.00032939-0.00078245i,-0.0004252-0.00058184i,-0.00098224-0.00037965i,-0.00079122-0.00063796i,-0.00071644-0.0011977i,-0.00070031-0.00073765i,-0.00027867-0.00048223i,3.0454e-06-0.00072103i,0.00025668+0.00019432i,0.00015511+0.0010813i,-0.00041257+0.001098i
-0.002528+0.0012616i,-0.0040139-0.0012155i,-0.007645-0.0037114i,-0.009698-0.0041741i,-0.0070478-0.00010179i,-0.0028928+0.0040628i,0.00018535+0.0036443i,0.0017184+0.0013917i,0.0021768+0.00054839i,0.0015441-0.00083899i,0.00049238-0.0017499i,-0.00086483-0.0015039i,-0.0013585-0.0013134i,-0.00098542-0.00081074i,-0.0011021+0.0001223i,-0.00093605+0.0010625i,0.00039804+0.0011198i,0.00084745+0.00079744i,0.0008482+0.00042067i,0.00077051+0.00067408i,4.4337e-05+0.00044498i,-0.00055651-0.00021837i,-0.00072489-0.00059188i
-0.0017447+0.0023614i,-0.0044398+0.0048039i,-0.0075015+0.0059369i,-0.0073751+0.0066283i,-0.001454+0.0062475i,0.0041874+0.004166i,0.0039165+0.0012118i,0.00061137-0.00086544i,-0.0004669-0.0017254i,-0.00050736-0.0020547i,-0.0011808-0.001309i,-0.0013837+0.00019853i,-0.00086291+0.0014294i,-0.00042946+0.0015161i,-0.00018599+0.00061092i,7.0911e-05-0.000481i,0.0001052-0.00084236i,0.00010633-0.00031432i,-1.5502e-05+0.00015881i,-6.5798e-05+0.00039846i,-0.00028384+0.00065146i,-0.00077778+0.00050331i,-0.00022624+0.00074927i
0.0042389+0.0034101i,0.0061274+0.0067038i,0.0071335+0.008498i,0.0077225+0.0065737i,0.0076865+0.0005765i,0.0047992-0.0045498i,0.00054663-0.0048682i,-0.0015085-0.0023172i,-0.0011005-0.00051265i,-0.0015118-0.00012431i,-0.001479+0.00055614i,-0.00031223+0.0012974i,0.00027978+0.00099714i,0.00080017-0.00057554i,0.00025957-0.0016193i,-0.00025914-0.0016687i,-0.00035093-0.0012562i,-0.00021299-0.0013541i,-0.00018049-0.00077291i,-0.00030763+0.00023464i,-0.00051355+7.3e-05i,-0.00029193+0.00068072i,0.00036823+0.00076018i
0.0045246-0.0010093i,0.0093747-0.0030582i,0.010898-0.0042842i,0.0077925-0.0065634i,0.0018171-0.0075159i,-0.004047-0.0059973i,-0.0059298-0.0026213i,-0.0039701+0.00057186i,-0.001536+0.0012066i,-0.00062867+0.0010053i,0.00093288+0.0012182i,0.0023663+0.00093477i,0.0018711-7.8613e-05i,0.00060018-0.00034906i,-0.0004647-0.00041906i,-0.00074732-0.00040123i,-0.00043135+0.00048966i,-0.00036441-4.8455e-05i,-0.00044841-0.00045274i,6.0554e-05+0.00034845i,0.0010077+0.00060951i,0.0016249+0.00038298i,0.0018405+3.3186e-05i
-0.00062989-0.0046298i,-0.00045305-0.0079217i,-0.0017349-0.00927i,-0.0032821-0.0078436i,-0.0053057-0.0030213i,-0.0052478+0.0019017i,-0.0028553+0.0038744i,-0.00058357+0.0031i,-0.00015359+0.001992i,-0.00055882+0.0010794i,-0.00023595-0.00049595i,6.5612e-05-0.0018629i,-0.00060826-0.0016418i,-0.0013084-0.0003509i,-0.0010517+0.00039259i,-0.00029048+0.00062068i,0.00035799+0.00095697i,0.00017488+0.0011168i,-0.00070436+0.00043337i,-0.001129+0.00029545i,-0.0011574+0.00084888i,-0.00084943-5.4247e-05i,0.00014576-0.00094244i
-0.0052774-0.0005619i,-0.007178-0.0022751i,-0.0083576-0.0028545i,-0.0065957+0.00026399i,-0.0022208+0.0049669i,0.0028466+0.005564i,0.0040605+0.0027325i,0.0024925+0.00025733i,0.0013186-0.0008085i,0.00080431-0.00042459i,0.00043945-0.00012521i,-0.00044961-0.0011649i,-0.0010417-0.0016767i,-0.00014935-0.0010803i,0.00042263-0.00081284i,0.00069121-0.00075972i,0.00099041-0.0015598i,0.0013196-0.0021133i,0.0011557-0.0010287i,0.00090782-0.00062213i,-4.8154e-05-0.00073836i,-0.00062957-0.00078067i,-0.00047557-0.00093291i
-0.00024442+0.0062841i,-0.0010108+0.008867i,-0.00091798+0.0087218i,0.000863+0.0055966i,0.0043448+0.0015895i,0.0054385-0.0024825i,0.002674-0.0045555i,-4.1761e-05-0.0030437i,-0.00043343-0.0011043i,0.00019912-0.00074881i,-0.00023317-0.00027455i,-0.00093915+0.00079637i,-0.0010057+0.0017912i,-0.0012824+0.0010667i,-0.00073099-0.00073008i,0.00019624-0.0015942i,-0.00033517-0.001844i,-0.00066018-0.0014879i,-0.00049385-0.00016718i,-0.00014545+0.00037964i,0.0005296+0.00068211i,0.00044349+0.0013399i,0.00020201+0.0010466i
0.0054446+1.6435e-05i,0.0078341+0.0016101i,0.0079434+0.0025075i,0.0054196-2.7298e-05i,0.0017474-0.003943i,-0.0014795-0.0055455i,-0.003391-0.0037724i,-0.0032255-0.00095074i,-0.002151-0.00031244i,-0.00080909-0.00068319i,-8.282e-05+0.00024448i,0.00014832+0.0014376i,0.00092116+0.00088683i,0.0010639-0.00071709i,0.00043289-0.0010074i,-0.00077957+3.0566e-05i,-0.0018776+0.00058381i,-0.001298+0.00043048i,6.0588e-05+0.00026558i,-0.00029672+6.5811e-05i,-0.00062651+2.1023e-05i,0.00029139+0.00071803i,0.0010667+0.00089618i
0.0033482-0.003291i,0.0066792-0.006336i,0.0071848-0.007668i,0.003375-0.0058971i,-0.0020832-0.0033331i,-0.0048623+0.00016985i,-0.0047188+0.0026427i,-0.0026336+0.0022116i,-0.00081989+0.00093326i,-4.5815e-05+0.00032265i,0.00071052-0.00032581i,0.00055643-0.0012726i,0.00075404-0.001856i,-0.00055759-0.0013018i,-0.0016225-0.00096982i,-0.0007699+0.00021955i,-5.9741e-05+0.0017933i,0.00037203+0.0017745i,0.00028699+0.00092284i,0.00093858+7.7767e-05i,0.0013424-0.00070747i,3.8935e-05-0.00068826i,0.00028785-0.00040412i
-0.0022652-0.0025687i,-0.0029992-0.0043284i,-0.0038708-0.003882i,-0.0038934-0.00061402i,-0.0027548+0.0036601i,-0.00030174+0.0055028i,0.0021088+0.0042139i,0.0022503+0.0024522i,0.0013953+0.001398i,0.00095157+0.0010555i,0.00025334-0.00043331i,-0.00033459-0.0013348i,-0.0012416-0.00027515i,-0.0011918+0.00028257i,-0.00017435+0.00039265i,0.00035959-0.00011338i,0.0010259-0.0010591i,0.00092635-0.00059138i,1.0649e-05-8.6762e-05i,-0.0008931-0.00011685i,-0.0013726-2.74e-05i,-0.00090813-0.00017311i,-0.00015115-0.0002561i
-0.0050315+0.00053134i,-0.0061867+0.00033607i,-0.0059896+0.0007004i,-0.0018325+0.0014396i,0.003396+0.0016652i,0.0054984+9.1485e-05i,0.0044675-0.0020707i,0.0023815-0.0025619i,0.0015325-0.0011736i,0.00076582-6.7582e-05i,-0.00077423-0.00035592i,-0.0015451-0.00086802i,-0.00079078-0.00016805i,-0.00023327+0.00101i,0.00044068+0.0010078i,0.00038017-2.7093e-05i,-0.0003554-0.001095i,-0.00029287-0.00099399i,7.7501e-05-0.00030055i,-0.00046655-0.00057517i,-0.00069402-0.00015707i,-0.00053127+0.00065804i,-0.00089016+0.00059171i
0.0016638+0.0046961i,0.0014003+0.0059317i,0.0010281+0.0038738i,0.0022265-0.00076376i,0.0029364-0.0049293i,0.0013698-0.0072662i,-0.0014646-0.0068007i,-0.0025067-0.0038358i,-0.0015023-0.0012793i,-0.00058623-0.00031091i,-0.00013776-0.00021116i,0.00057695-9.0118e-05i,0.0014185-6.2283e-05i,0.0014207-0.00063019i,0.0013367-0.0012581i,0.00038013-0.0011737i,-0.00090103-0.00059105i,-0.00095355+0.00031624i,-0.00033746+0.00076734i,2.5431e-05+4.7952e-05i,0.00050752-0.00023651i,0.00092578+5.9344e-05i,0.00039787+9.0782e-05i
0.0096258+0.0022844i,0.010532+0.0009782i,0.0089535-0.0017753i,0.0028331-0.0040429i,-0.003314-0.0054915i,-0.0063457-0.0039967i,-0.0065815-7.8713e-05i,-0.0043761+0.0014075i,-0.0012665+0.00025016i,0.00032978-0.0012088i,0.00063833-0.0011328i,0.00066558-0.00052343i,0.00021887-0.00057621i,-0.00033887-0.0014312i,-0.00046018-0.001641i,-0.00059519-0.000471i,-0.00058376+0.0010809i,-0.00041524+0.001222i,-1.4048e-06+0.00083663i,2.4417e-05+0.00094343i,-0.00071513+0.00067003i,-0.00034366-0.00031213i,0.00092972-0.0006768i
0.00021154-0.0035214i,0.0021355-0.0042327i,0.0025787-0.0019953i,-0.00046892+0.0018379i,-0.0040451+0.0045355i,-0.0035405+0.0053091i,-0.00071003+0.0054271i,-3.8295e-05+0.0041551i,-0.00057267+0.0018616i,-0.0010996+9.1174e-05i,-0.0006001-0.00074776i,0.00056518-0.00089749i,-0.0005971-0.00094856i,-0.0012282-0.00077978i,-0.00054043+0.0003003i,-0.00016813+0.00095153i,0.00063609+0.00089184i,0.0014376+0.00076381i,0.0010701+0.0003488i,0.00062787+6.8905e-05i,0.00046302-0.00068825i,5.1512e-05-0.00076832i,-0.00016846-0.00010815i
-0.0035964-0.00232i,-0.0024523-0.002715i,-0.0019254-0.0011022i,-7.1899e-05+0.0014562i,0.0038455+0.0037032i,0.0059052+0.0031583i,0.0053285+0.001519i,0.0030585+0.00050878i,0.0010965+0.00015768i,0.00033886+0.00090575i,-0.00036226+0.0011126i,-0.0010255+0.00086354i,-0.001221+0.0014099i,-0.0011369+0.0017043i,-3.8605e-05+0.001349i,0.0016426+0.00012328i,0.0017661-0.0012885i,0.00053681-0.0014384i,0.00029251-0.00072282i,0.00065771-0.00014464i,0.00060785+0.0010004i,0.00038222+0.0017524i,0.00015111+0.0006332i
-0.0037204+0.0044824i,-0.0012706+0.0033358i,0.0013433+0.0013734i,0.0033829-0.0023271i,0.0052707-0.0052926i,0.0048079-0.0062782i,0.0024504-0.0060438i,0.00086099-0.0042512i,-0.00046091-0.0018982i,-0.0010911+0.00050817i,-0.00022444+0.001736i,0.00064139+0.0016646i,0.00086715+0.0014618i,0.00066116+0.0014401i,0.0008937+0.00038687i,0.0014983-0.0016046i,0.00075773-0.0021312i,-0.00048546-0.001282i,-0.00098522-0.0010464i,-0.0012234-0.00075386i,-0.00091921-9.4743e-05i,0.00019167+0.000227i,0.0010621+0.00056327i
0.0029441+0.0034837i,0.0033329+0.0017271i,0.0019775-0.0020311i,-0.00104-0.0058878i,-0.0033316-0.0075538i,-0.005181-0.0059451i,-0.0061249-0.0029896i,-0.0053037-0.00076745i,-0.0030911-9.6275e-08i,-0.00060852-6.4016e-05i,0.00048517-0.00069403i,0.0011107-0.0010455i,0.001971-0.00067111i,0.0022699-0.00056554i,0.001356-0.0012459i,1.4955e-05-0.0016063i,-0.0014924-0.00065483i,-0.0014406+0.00087079i,0.0001035+0.0016702i,0.00014854+0.0015349i,-7.9656e-05+0.00074283i,-3.9351e-05-0.00067599i,0.00017495-0.00054289i
0.0044602-0.00062611i,0.0040455-0.00074177i,0.00033346-0.0011206i,-0.0037781+0.00090341i,-0.0054122+0.0031642i,-0.004489+0.004964i,-0.0033533+0.0060378i,-0.0025825+0.0045987i,-0.0018493+0.0014167i,-0.00080515-0.00038774i,-0.00064802-0.00013742i,-0.0013388-0.00092071i,-0.0017781-0.0015796i,-0.0020632-0.00096593i,-0.0018616-0.00053121i,-0.0011684+0.00070524i,-0.00051698+0.0023354i,-0.000105+0.0020929i,-0.00021582+0.0004123i,0.00010709-0.00073721i,0.00034261-0.00012226i,0.00020004+6.5016e-05i,0.00028044-0.00070976i
0.0024602-0.0038848i,0.0019538-0.0043118i,0.00078067-0.00037312i,-0.00011998+0.0048735i,0.00073962+0.0065714i,0.0026052+0.0048376i,0.0036033+0.0031358i,0.0028438+0.0022755i,0.00033662+0.0010266i,-0.00081209+8.5259e-05i,-0.00087321-0.00052849i,-0.0019529-0.0011199i,-0.0026402-0.0003295i,-0.0025241+0.0014749i,-0.0014344+0.002586i,2.3527e-05+0.0021123i,0.00072152+0.0014566i,0.00094487+0.00076439i,0.00056121+0.00019966i,0.00012275+0.0006779i,-4.0999e-05+0.00078867i,-0.00021403+0.00044901i,0.00029434+0.00050151i
-0.0025039-0.0034107i,-0.0020615-0.0021261i,0.00036493-0.0010403i,0.0047189-0.0016358i,0.0064179-0.002419i,0.0051953-0.0033777i,0.0034905-0.004233i,0.0022235-0.0033935i,0.00098935-0.0012652i,0.00010191+0.00031193i,-0.00048893+0.0013839i,2.8479e-05+0.0027624i,0.00075704+0.0028194i,0.0012335+0.0018784i,0.001766+0.0010583i,0.0023407+0.00038577i,0.0018537-0.00078591i,0.00049503-0.0010824i,-0.00070744-0.00040895i,-0.0013893+0.00052545i,-0.00078331+0.0011097i,-0.00036214+0.0010023i,-0.00049565+0.0011389i
-0.00087444+0.0043648i,0.001392+0.0016479i,0.004431-0.0023837i,0.0045163-0.0068335i,0.0015994-0.0089697i,-0.0026051-0.0068938i,-0.0050487-0.0045571i,-0.0043721-0.003354i,-0.0021946-0.0018968i,0.00047662-1.065e-05i,0.0021628+0.00088987i,0.0023626+0.00021828i,0.0024073-0.0007793i,0.0025232-0.001645i,0.0017928-0.0020345i,0.00097815-0.0015877i,0.00046393-0.00122i,-0.00093613-0.00093084i,-0.0016421-0.0001504i,-0.0010708-0.00032331i,-6.0303e-06-0.0013138i,0.0010883-0.00076671i,0.0013085+0.00026055i
0.0017944+0.0027414i,0.001522+0.0007053i,-0.0001582-0.0027303i,-0.0047353-0.0039418i,-0.0072514-0.0019i,-0.0055274+0.0010698i,-0.0045+0.0023131i,-0.0039753+0.0020382i,-0.0018067+0.0010069i,0.00055302+0.00011052i,0.0018124-0.0010458i,0.0023505-0.0020844i,0.0012733-0.0025243i,-3.4862e-05-0.0027308i,-0.0012455-0.0022787i,-0.0021701-0.0015969i,-0.0019594-0.00039417i,-0.001151+0.00036488i,-3.2128e-05+0.00084864i,0.00057819+0.00094415i,0.00013268-7.1979e-05i,-0.00097867-0.00087012i,-0.0015345-0.0010418i
0.0066124-0.0024539i,0.0032818-0.0029948i,-0.0015149-0.0012534i,-0.0043938+0.003057i,-0.0032366+0.0055947i,-0.00049286+0.0047392i,0.00097355+0.0032265i,0.000702+0.002612i,0.00019857+0.00098026i,-0.00011037-0.00091184i,-0.00075931-0.0018358i,-0.0015865-0.0023923i,-0.0016855-0.0013972i,-0.0017691+0.00015687i,-0.0020844+0.0006271i,-0.001396+0.0011027i,-2.4078e-05+0.00090693i,0.00077526+0.0005205i,0.0012372+0.00077656i,0.00093685+0.00029441i,-0.00057808-0.00037385i,-0.0016961-0.00042776i,-0.0011822-0.00061331i
-0.0010032-0.0050035i,-0.0024912-0.0014806i,-0.0023489+0.0025753i,0.0010716+0.0055931i,0.0034431+0.0051163i,0.0034987+0.0014081i,0.0031115-0.0016961i,0.002663-0.0022116i,0.0011455-0.0015573i,-0.00084509-0.00079304i,-0.0017844+0.00052018i,-0.0017244+0.0018164i,-0.0018255+0.0019097i,-0.0018104+0.0015864i,-0.00096556+0.0018253i,0.00084718+0.0018297i,0.0013783+0.0011402i,-0.00076423-0.00015583i,-0.0017185-0.001299i,-0.00096324-0.0017232i,-0.00056313-0.00087968i,-0.00049134+0.00067391i,-5.8504e-05+0.000723i
-0.00062994-0.0032679i,0.0030491-0.0010155i,0.0070661-0.00047326i,0.0083465-0.0023803i,0.0055279-0.0037229i,0.0007837-0.0036307i,-0.0019009-0.0041957i,-0.0021739-0.0038604i,-0.00027606-0.0022354i,0.00069586-0.0003708i,0.00035691+0.00099272i,0.0006348+0.0018305i,0.0016215+0.0023239i,0.002217+0.001689i,0.002753+0.0003131i,0.0022727+1.3016e-05i,0.00019701+0.00011986i,-0.001308-0.00022451i,-0.0010089-0.00039488i,-0.00064485-2.6377e-05i,-0.00064526+0.0001883i,-0.00024251+0.00017984i,1.8945e-05-0.00011495i
-0.0035497+0.0028414i,0.0011166+0.0004122i,0.0042859-0.0033602i,0.0024971-0.0058637i,0.00028666-0.0050745i,-0.00098017-0.0020358i,-0.0031196+0.00058455i,-0.0038668+0.00090402i,-0.0020688+0.00072405i,-0.00017316+0.00052486i,0.00094383-5.045e-05i,0.0016481-0.00065894i,0.0018844-0.001023i,0.00199-0.00076384i,0.0012856-0.0016506i,0.00026066-0.0019067i,-6.9044e-05-0.00046808i,-0.00022167-4.1167e-05i,-0.0003983-0.00046747i,-0.0004977-0.0003302i,-0.00092523-0.00062601i,-0.00098503-0.00079842i,-0.00048052-0.00083084i
0.0052544+0.0044705i,0.0044561-0.0021239i,0.0011198-0.0080102i,-0.0039051-0.0072153i,-0.0047385-0.0027088i,-0.0013291+0.00075293i,0.0013073+0.0021404i,0.001282+0.0026494i,-3.8608e-05+0.0018754i,-0.00032838+0.00056009i,-0.00015716-0.0012222i,-0.00084937-0.0017036i,-0.001305-0.0012642i,-0.0015343-0.0015497i,-0.0023588-0.0011566i,-0.0024957+0.0001477i,-0.0012067+0.00053258i,-0.00025658+4.9974e-05i,1.8676e-05-3.7768e-05i,3.1333e-05-0.0004305i,0.00020173-0.0013342i,-4.8294e-05-0.00068824i,-0.0010857+0.00018505i
0.0046547+0.00085033i,-0.00011667+0.0007351i,-0.0043389+0.00084803i,-0.00501+0.0025964i,-0.0022272+0.0023226i,0.00066039-0.0005161i,0.0020774-0.0016909i,0.0024085-0.0015329i,0.0013207-0.00031869i,-0.0004377+0.00071682i,-0.0016085-0.00050421i,-0.0019456-0.0013873i,-0.0019929-7.4758e-05i,-0.0020483+0.0014267i,-0.0014619+0.0015095i,-0.0007937+0.0012726i,-0.00022364+0.00054221i,7.6207e-05-0.00071816i,-0.0003239-0.0012118i,-0.0005913-0.00060673i,-0.001247-0.00023714i,-0.0013205-0.0001575i,-0.00045869+9.9176e-05i
0.0013752-0.0057169i,0.00086884-0.0011145i,0.00074489+0.0023812i,0.002153+0.0026727i,0.0015933+0.00055502i,-0.0011762-0.0021873i,-0.0027125-0.0036813i,-0.0019425-0.0029847i,-0.0010635-0.001102i,-0.00062801+0.00051631i,-0.00020486+0.0012693i,8.2989e-05+0.001426i,0.00060965+0.0013012i,0.0016944+0.0015931i,0.0026763+0.0018595i,0.0027428+0.00056756i,0.0020215-0.00058934i,0.00082095-0.001209i,-0.00023864-0.00030797i,-0.00071283+0.001061i,-0.00020898+0.0011976i,0.00050715+0.00085946i,0.00049043+9.8411e-05i
-0.0060566-0.0021592i,0.00095315+0.00067859i,0.0058549+0.0040963i,0.0064387+0.0022026i,0.0030145+0.00014677i,-0.00026399+0.00091734i,-0.0022893+0.0011935i,-0.0033255+4.5355e-05i,-0.0013208-0.0002715i,0.00054945+0.00031316i,0.0017742+3.0471e-05i,0.0027605-0.00047563i,0.0018681-0.00086307i,0.0011718-0.00096316i,0.0014528-0.00068053i,0.0015984-0.00042171i,0.00087336-0.0003635i,-0.00071371+5.718e-05i,-0.00071408+0.00033159i,0.00055728+7.9129e-05i,0.0015192+0.00038478i,0.0015052+0.0002696i,0.00041538-6.9031e-05i
-0.0015416+0.0042854i,0.0042902-0.0011579i,0.0069158-0.0057822i,0.0025057-0.0069341i,-0.00061094-0.0040243i,0.000155-0.0002488i,0.0010285+0.0016369i,0.00062075+0.00183i,0.00060837+0.00060008i,0.0010805-0.00057086i,0.00037817-0.00078805i,-0.00039467-0.00091625i,-0.00024356-0.0011416i,-0.00053525-0.00099045i,-0.0013703-0.0014641i,-0.0011746-0.0020462i,-6.3887e-06-0.0012003i,0.00060182-0.00095854i,0.00052668-0.00051451i,0.00033002-0.00040809i,8.2445e-05-0.0011298i,-0.0003161-0.0014483i,-0.00086339-0.0011984i
0.0022646+0.0038865i,-7.4268e-06-0.0019011i,-0.002051-0.0056714i,-0.003763-0.0040042i,-0.00066699-0.001221i,0.0034772-0.00074744i,0.0029946-0.0007591i,0.0010043+0.00010438i,9.8671e-05-0.00024725i,-0.0003869-0.0011238i,-0.00077871-0.0008302i,-0.0014582-9.6889e-05i,-0.0011854+0.00046837i,-0.00065267+0.00075423i,-0.00095341+0.00050165i,-0.0010294-0.00025283i,-0.0013746-0.00075371i,-0.0010239-0.00073758i,-8.7319e-05-0.00030138i,-0.00014779-0.00029406i,-0.00049898-0.0005566i,-0.0010238+0.0004691i,-0.00068537+0.0009198i
0.006077-0.00078168i,0.00071414+0.00041043i,-0.0043672+0.00031205i,-0.003564+0.00044816i,-0.00087406-0.0020947i,-0.0003769-0.0058737i,-0.001107-0.0057262i,-0.0010359-0.0030464i,-0.0010123-0.00076394i,-0.00068284+0.0010288i,6.8827e-05+0.0016746i,0.00047205+0.0017902i,0.00086687+0.0018809i,0.00074641+0.0018778i,0.00014663+0.0022659i,-0.00091244+0.0014055i,-0.00069687+0.00042061i,-0.00027978+0.00043256i,-0.00073239+0.00041601i,-0.0013366+0.00073719i,-0.0012981+0.0017194i,8.0115e-05+0.0021709i,0.0012111+0.0018006i
0.007074-0.0056477i,0.0052809-0.00019844i,0.0023846+0.0030369i,0.0004092+0.0021668i,-0.0023462+0.00042692i,-0.0047339+0.00072088i,-0.0047725+0.0015278i,-0.0035598+0.0012499i,-0.00092307+0.00098629i,0.001571+0.0010463i,0.0021593+0.00067817i,0.0024245+0.00032361i,0.0021049-1.1859e-05i,0.002115-0.00024093i,0.0021668-0.00015486i,0.0013102-0.0004285i,0.00020662-0.00091098i,-0.00080992-0.00035757i,-0.00017367+0.00075611i,0.00053251+0.0015947i,0.0010744+0.00071706i,0.001682-0.0004273i,0.00067146-0.0016495i
-0.0029086-0.0074863i,0.0030834-0.0042633i,0.0058903-0.00041861i,0.0035834+0.0014415i,0.00011556+0.0023202i,-0.00014587+0.0042408i,0.0005777+0.0044227i,0.00077836+0.0022884i,0.001206+0.00071078i,0.00091736-0.00011473i,0.00027254-0.00027574i,-0.00016551-0.0014019i,3.2369e-05-0.0024206i,0.00097736-0.0018667i,0.0019158-0.00199i,0.001788-0.0016759i,0.0014176-0.00045667i,0.001006-8.5807e-05i,0.0011063-1.7203e-05i,0.0010077+0.00018494i,0.00039883-0.00012658i,0.00030637-0.0010687i,-0.00053168-0.0010214i
-0.0072441+0.0021161i,-0.0021072-0.0038922i,0.0014991-0.0066576i,0.0017698-0.0056717i,0.0031728-0.0025948i,0.0050373-0.0013852i,0.004254-0.0018764i,0.0035272-0.0013205i,0.0028424-0.00062627i,0.00058687-0.0011266i,-0.00092119-0.0012424i,-0.001912-0.001696i,-0.0022514-0.0012003i,-0.0012108-0.00042523i,-0.00047007-0.0010965i,-0.00048543-0.0016423i,-6.4635e-05-0.0009742i,-0.00015077-0.00037398i,-0.00063458-0.0007137i,-0.001219-0.0011628i,-0.0019721-0.0011858i,-0.0017004+5.1492e-05i,-0.0018179+0.0016451i
0.0023276+0.008807i,-0.0021553+0.0021452i,-0.0041027-0.003257i,-0.004083-0.0038191i,-0.0019841-0.0039775i,-0.0006242-0.0049356i,-0.0011658-0.0051783i,-0.0014537-0.0034551i,-0.001495-0.0015458i,-0.0011959-0.00054424i,-0.00068553+0.00020312i,0.00031324+0.0010911i,0.00069726+0.0011863i,-0.00088098+0.00070876i,-0.0022576+0.0010017i,-0.0018548+0.00078192i,-0.0015602-0.00050785i,-0.001822-0.00070838i,-0.0017497-0.00022949i,-0.001735+8.773e-05i,-0.0017842+0.00082084i,-0.00095235+0.0016289i,-0.00087246+0.0016156i
0.0092478+0.0042528i,0.0023432+0.0049784i,-0.0036802+0.002714i,-0.0039609+0.0011133i,-0.0036555-0.00066194i,-0.0058075-0.00083365i,-0.0071265-0.00032405i,-0.0052816+0.00075955i,-0.0030158+0.0020028i,-0.0014085+0.001357i,0.00098406-0.00039816i,0.0023989-0.0012151i,0.0013773-0.00076152i,0.00034174-1.1625e-06i,-0.00021976+0.0008784i,-0.00081588+0.0014458i,-0.00059629+0.001075i,-0.00045829+0.00067807i,-0.00014487+0.0012524i,2.1108e-05+0.0024045i,0.00044258+0.0029434i,0.00065746+0.0013428i,0.00060477-0.00057396i
0.0068506-0.0097932i,0.0069222-0.00011915i,0.0048898+0.0055171i,0.0022563+0.0057825i,-0.00017689+0.0048908i,-0.00026629+0.0062229i,0.00037279+0.0061495i,0.00024708+0.0030922i,0.00023066+0.0011336i,-0.00037587+0.00076023i,-0.00097444+0.00024097i,-0.00094882-0.00093404i,-0.00078342-0.0020771i,0.00036414-0.00061193i,0.0017789+0.0010205i,0.001856+0.0012341i,0.0011076+0.0010075i,0.0005338+0.0004865i,0.00097217+0.00046949i,0.001396-0.00054901i,0.0010934-0.0011818i,0.00021641-0.0007721i,-0.00025745-0.0014204i
-0.0048065-0.010865i,0.003823-0.0092703i,0.0072573-0.0059961i,0.0056878-0.0036291i,0.0049838-0.0012751i,0.0061291+0.00077607i,0.0061027+0.0013712i,0.0049869+0.0011035i,0.0030948+0.00083906i,0.00078644+0.00018039i,-0.00085799-0.00021335i,-0.0015497+0.00017021i,-0.0016135+0.0004188i,-0.00072914+0.0002149i,0.00035458+0.00038904i,0.00088573+0.00074802i,0.0012371+0.00010937i,0.0010398-0.00067656i,0.00057429-0.0017028i,0.00021967-0.0024502i,-4.0822e-06-0.0023101i,-0.0007819-0.0012159i,-0.0019674+8.5477e-05i
-0.0099274-0.0010899i,-0.0056601-0.0068225i,-0.0021293-0.0098078i,-0.0017347-0.0093377i,-0.001499-0.007049i,-0.00038372-0.0073621i,0.00054393-0.0071476i,0.0012651-0.0050137i,0.0010601-0.003242i,-0.00040814-0.0011138i,-0.0010254+0.0013411i,-0.0009527+0.0026434i,-0.00028111+0.0024751i,0.00023462+0.0014503i,0.00015249+9.1247e-05i,0.00013143-0.0012942i,-3.6564e-05-0.0022113i,-1.945e-05-0.0017998i,-4.5958e-05-0.00094017i,-0.00085432-0.00013572i,-0.00097435+0.00063517i,-0.00036947+0.00078531i,-0.00022361+0.00084313i
0.00095566+0.013741i,-0.0041646+0.0071008i,-0.0061969+0.00035002i,-0.0065067-0.001569i,-0.0067834-0.0022045i,-0.0073438-0.0033453i,-0.0070565-0.0029758i,-0.0053356-0.0018424i,-0.0025842-0.0015117i,-0.0005149-0.0009633i,0.001117+0.0004655i,0.0021781+0.00099082i,0.0030201+0.00089781i,0.0019071+0.00041719i,-7.9974e-05-0.00031665i,-0.0010103-0.00026766i,-0.0014836+0.00029375i,-0.0018787+0.0011498i,-0.0017871+0.00089823i,-0.0011916+4.5478e-05i,-0.00037002+0.00037587i,-0.00012773+0.0010477i,0.00046226+0.00067394i
0.015208+0.0072879i,0.0083797+0.0076853i,0.0022862+0.0053194i,-0.00016648+0.0037329i,-0.0018075+0.0035573i,-0.0034572+0.0044107i,-0.0045514+0.0046628i,-0.0045675+0.0036425i,-0.0031375+0.0020576i,-0.00081334+0.0010991i,0.00036829-0.00070837i,0.00066264-0.0029774i,0.00030947-0.0035979i,-6.2678e-05-0.0020925i,2.9189e-05+8.9487e-06i,-6.3304e-05+0.00085555i,0.00059729+0.0010995i,0.0013822+0.0013585i,0.00088162+0.0012448i,0.00083693+0.00081703i,0.00061507+0.00024436i,0.00027694-0.0005108i,0.00063063-0.0011867i
