-0.0024609+0.0018924i,0.00043396+0.00033523i,0.0014356-0.0019298i,0.00026669-0.0028407i,-0.001015-0.0016595i,-0.0015926+0.0004367i,-0.0014076+0.0012064i,-0.00045249+0.00082501i,-2.6994e-05+0.00056227i,-0.00030665+0.00061272i,0.00013956+0.00027649i,0.00045142-0.00093464i,-9.38e-05-0.0010621i,0.0001447-0.00059074i,0.00025252-0.00090428i,0.00031329-0.0007169i,0.00074315-0.00023167i,0.00025761-0.0003852i,-0.00062403-0.00032246i,-0.00040283-0.0001574i,0.00026244-0.00022027i,0.00041299-0.00032835i,0.00063208-0.00013275i
-0.010935-0.0048066i,-0.011116-0.0012706i,-0.0050779+0.0022481i,0.0034957-0.0012458i,0.0066991-0.0050886i,0.0048096-0.0044875i,0.0025952-0.0032736i,0.0018573-0.0036159i,0.001178-0.0041384i,-0.00037531-0.0034073i,-0.0014563-0.0018725i,-0.0016013-0.0012347i,-0.0018702-0.0012525i,-0.0016377-0.00083105i,-0.00084233-0.00014237i,-0.00031618+0.00040732i,-0.00058278+0.00080185i,-0.0011811+0.00083911i,-0.0010065-0.00020996i,-0.00015593-0.00059413i,5.9554e-05-0.00053265i,0.00027252-0.00091113i,0.00076818-0.0004965i
-0.007823+0.0084823i,-0.0058661+0.011714i,-0.00022275+0.0074647i,0.0018326-0.0021474i,0.00051877-0.0069523i,0.00044715-0.0057468i,-0.00051674-0.0039101i,-0.0032328-0.0017905i,-0.0041169-0.00032944i,-0.0028218+0.00044397i,-0.0020092+0.0015158i,-0.0020653+0.001384i,-0.0020429+0.0010915i,-0.0010617+0.00071204i,-0.00085205+9.7444e-05i,-0.00037329+8.7643e-05i,0.00088006+0.00019345i,0.00042169+0.0005788i,-0.00089477+0.0011839i,-0.00078846+0.00086296i,-0.00044644-0.00026691i,-0.0015062-0.00073326i,-0.0016927-0.0008501i
0.0037486+0.0059311i,0.0090389+0.0060861i,0.0089914+0.0019519i,0.0025339-0.0013522i,-0.0035098-0.00098671i,-0.0044675-0.00050935i,-0.0043483+0.00048908i,-0.0040625+0.0029844i,-0.0026296+0.0042041i,-0.00066318+0.0042984i,0.0016848+0.0033498i,0.0022204+0.0022988i,0.001374+0.0020702i,0.00090917+0.00099244i,0.0012995+0.00069378i,0.001619+0.0018857i,0.0016717+0.00098892i,0.0012433-0.0002774i,0.00025401-0.00073484i,-0.00032718-0.000942i,-0.00052778+2.338e-06i,-0.00084896+0.00062013i,-0.0011361+0.00050713i
0.0075585-0.00037558i,0.0086521-0.0061111i,0.0069672-0.0077898i,0.0049864-0.0029616i,0.003336+0.0010887i,0.00089847+0.0016739i,-0.00017946+0.0018872i,0.00091152+0.0024433i,0.0016139+0.0020549i,0.0017952+0.00065588i,0.0023715-0.0011553i,0.0023065-0.0011088i,0.0019533-0.00051308i,0.0015468-0.00024023i,0.00054964-0.00013956i,0.00038161-0.00067914i,0.00013214-0.0010562i,-0.00035666-0.0016559i,0.00038664-0.0015641i,0.0012283-0.00041193i,0.0012623+0.00017218i,0.000558+0.00060118i,-0.0003596+0.00074127i
-0.0015025-0.0066433i,-0.004044-0.0083173i,-0.0032847-0.0070438i,0.0019171-0.0043591i,0.0044707-0.002773i,0.0030155-0.0012764i,0.0013198-0.00029787i,0.00089836-0.0017302i,0.00096527-0.0025295i,0.00058088-0.0023859i,-0.00053385-0.0030611i,-0.001114-0.0035135i,-0.0006304-0.002897i,-1.9315e-05-0.0020508i,0.00049855-0.0015361i,0.00039589-0.00067349i,-0.00072113-0.00041589i,-0.0017511-0.00058494i,-0.0010849-0.00056831i,-0.00058637-0.00023164i,-0.0005199-6.1974e-05i,9.2673e-05+9.1059e-05i,0.00072898-5.6317e-05i
-0.010924-0.0040429i,-0.012623-0.0013489i,-0.0069329+0.00056596i,-0.00012136-0.0027759i,0.0015689-0.0058233i,0.0014465-0.0033528i,-4.8019e-05-0.0011666i,-0.002313-0.0010651i,-0.0032769-0.00043702i,-0.0033281-0.00029058i,-0.0034955+0.0001177i,-0.0023502+0.00070718i,4.7187e-05+0.00063143i,0.0012878+0.00085069i,0.00080323+0.00038931i,-0.00036662-0.0001977i,-0.00046005+7.0977e-05i,9.2663e-05+0.00041797i,-0.00021433+0.00058566i,-0.00034619+0.00073417i,-0.00013963+0.0005982i,5.0145e-05-0.00026778i,-0.00019456-0.0013458i
-0.002606+0.011859i,0.0024569+0.013234i,0.0056968+0.0084143i,0.0047895+0.0010959i,0.0018912-0.0024036i,0.00013439-0.002718i,-0.001182-0.0018074i,-0.0018507+0.0010961i,-0.0021192+0.0037105i,-0.0011347+0.0035685i,0.00032168+0.003103i,0.00014926+0.0024972i,-0.00049572+0.001246i,-0.00040145+2.0399e-05i,1.5492e-07+4.1502e-05i,0.00047251+0.0007041i,0.00051521+0.00067857i,0.00050908-8.3402e-05i,0.00042055-0.00038527i,0.00060368+0.00029391i,0.0001518+0.00070813i,-0.00064586+0.00011603i,-0.00085201+0.00011113i
0.0059155+0.0051622i,0.01028+0.0016627i,0.010298-0.0020544i,0.0061347-0.0024285i,0.0012355-0.0014291i,-0.0017754-0.0021676i,-0.00079562-0.0020401i,0.0015631+0.00056551i,0.0028464+0.0018099i,0.0036995+0.0011604i,0.0037416+0.00036528i,0.0028223-5.8033e-05i,0.0019178+0.00024889i,0.0005277+0.00069921i,0.00010648+6.4725e-05i,0.00083725-0.0010851i,0.0014325-0.00134i,0.00030973-0.00047053i,-0.0007175+0.00025299i,-0.00037061+0.00046577i,-0.00029548+0.00066182i,-0.00032858+0.0005269i,-0.00031152+0.00066135i
0.0080413-0.0036551i,0.0060759-0.0069808i,0.0036316-0.0095538i,0.0030883-0.0072866i,0.0018675-0.0038677i,-0.0014502-0.00096794i,-0.0027985+0.00052818i,-0.00097559-0.00071447i,0.00045135-0.0024409i,0.00096906-0.0038967i,0.0011726-0.0044654i,0.0014722-0.0037309i,0.0011015-0.0025372i,0.00072253-0.0010427i,0.0013448+0.00014147i,0.00087347-0.00014409i,-0.00044906-0.00066458i,-0.00035461-0.00030035i,0.00013219+0.00011247i,0.00026605-0.00027295i,0.00032221-0.00013785i,0.00091458+0.00056411i,0.0012497+0.00021119i
-0.0044056-0.0099561i,-0.0071057-0.0091332i,-0.0055521-0.0053324i,-0.0013631-0.0041135i,0.00026028-0.003339i,0.00017984+0.00080275i,-0.0019337+0.0032741i,-0.0038717+0.0011484i,-0.0042558-0.0015366i,-0.0040409-0.0023492i,-0.0031422-0.0016052i,-0.0025435-0.00084534i,-0.0023109-0.0015754i,-0.001528-0.0012095i,7.9079e-05-0.00042638i,0.00051293-0.00019099i,0.00061565+0.00052713i,0.00056554+0.00067525i,8.3663e-05-0.00012506i,0.00013659-0.00043805i,0.00076074-1.2058e-05i,0.0014814+0.00014812i,0.0014973+0.00010111i
-0.010431+0.0013017i,-0.0084857+0.0075805i,-0.0030438+0.0079304i,0.000862+0.0025696i,0.0019091-0.00053354i,0.0024094+0.0005946i,0.0022837+0.002133i,0.00087431+0.0030743i,-0.0011131+0.0043903i,-0.0028176+0.0042491i,-0.0027365+0.0032975i,-0.0016811+0.0020906i,-0.0008583+0.0008442i,5.4343e-05+0.000369i,-0.00030089+0.00054813i,-0.00034154+0.0010128i,0.00039763+0.00086761i,0.0007461-0.00057757i,0.00037924-0.0018865i,-0.00017258-0.0015369i,-0.00040032-0.00067447i,-0.00082998-0.0010149i,-0.0011096-0.0010141i
-0.0060906+0.0054684i,-4.9719e-06+0.0047654i,0.0053831+0.0013241i,0.0041263-0.0012377i,0.001553-0.0017661i,0.0019055-0.0024652i,0.001957-0.0028013i,0.0022254-0.0011123i,0.0028444+0.0015682i,0.0023472+0.0027853i,0.0026753+0.0019837i,0.003308+0.00082522i,0.0028572+0.00085593i,0.0013231+0.0010773i,0.00013632+0.00098962i,-0.00036712+0.00049966i,-0.00038294-0.00028072i,-0.00036109-0.00087584i,-0.0002811-0.00052392i,-0.00022355+8.1749e-05i,-0.00060247+1.3445e-05i,-0.0013049-0.00034237i,-0.0019345-2.1023e-05i
0.0092304+0.0070636i,0.012455+0.0023435i,0.011243-0.0034671i,0.0066245-0.0044824i,0.0024733-0.004571i,-0.0009324-0.0050672i,-0.0022339-0.003999i,-0.00096417-0.0026704i,0.0010502-0.0020908i,0.0028678-0.001912i,0.0028274-0.0018073i,0.0017659-0.001288i,0.0011326-0.0010311i,0.00048267-0.0011662i,0.00052493-0.0010927i,0.0011503-0.0010525i,0.00021852-0.00078302i,-0.00082346-0.00082598i,-0.00033183-0.00098237i,0.00047259-0.00082355i,5.6509e-06-0.00064646i,-0.00062108-0.0001458i,-0.0004496+0.00051447i
0.0038929-0.0057861i,0.00089628-0.0084403i,-0.00071405-0.0090184i,0.00061272-0.0062602i,-0.0001579-0.0035229i,-0.0042056-0.00074644i,-0.0068677+0.0015984i,-0.0059426+0.00035526i,-0.0036831-0.0022331i,-0.0025422-0.0034432i,-0.0024109-0.0029975i,-0.002224-0.0018172i,-0.0018511-0.0012797i,-0.0010553-0.00083432i,-0.00040917-0.00082821i,-0.00060816-0.0011511i,-0.00036037-0.00064189i,-0.0001374+0.00030872i,9.9661e-05-0.00022474i,0.00049351-0.00056465i,0.00069703+0.00051863i,0.0013097+0.0012713i,0.0017779+0.00079117i
-0.002931-0.0017852i,-0.004722+0.0018364i,-0.00072916+0.004338i,0.003873+0.00083038i,0.0037802-0.0019244i,0.001539+0.00059548i,0.00026005+0.0038048i,-0.00083105+0.0039682i,-0.0020347+0.0029988i,-0.0027149+0.0020515i,-0.0024307+0.0011826i,-0.0021486+0.00069465i,-0.0018368+0.00025221i,-0.0010123-0.00015464i,2.9245e-05+0.00053178i,0.00010143+0.0020766i,-0.00015016+0.0018884i,0.0010884+9.1655e-05i,0.0013028-0.00018907i,0.00018496+0.00085249i,-0.00020214+0.00051963i,2.5762e-05-0.00016937i,-0.00015865+0.00060948i
-0.0055397+0.0022487i,-0.0008887+0.0038054i,0.0047655+0.0009159i,0.0058386-0.0052189i,0.0042311-0.006535i,0.003402-0.0034678i,0.0042566-0.00075738i,0.0034769+0.0016456i,0.00195+0.0031631i,0.001828+0.0027935i,0.0018982+0.0019504i,0.0016888+0.0017641i,0.00047134+0.0016187i,-0.00040439+0.00097343i,-5.8546e-05+0.0008009i,0.00064843+0.00074732i,0.00048975+6.3629e-05i,0.0004629-0.00068827i,0.00041467-0.00049998i,-2.9353e-05+0.00020169i,-7.692e-06-7.5079e-05i,-0.00015066-0.0001813i,3.4302e-05+0.00033232i
0.0032804+0.0075811i,0.0087057+0.004135i,0.0098738-0.0027093i,0.0033207-0.0060642i,-0.0020938-0.0067122i,-0.0018252-0.0066126i,-0.00099158-0.0054946i,-0.00054837-0.0038669i,0.00071098-0.0024631i,0.0016875-0.0022171i,0.0027533-0.0021762i,0.003021-0.0019685i,0.0021752-0.0016081i,0.0015697-0.00037688i,0.0013182+0.00012224i,0.0008257+0.00049331i,0.00036919+0.00065676i,-3.0368e-05+0.00029846i,2.2469e-05+0.00057277i,0.00068641+0.0011056i,0.00045338+0.0010988i,-0.00027046+0.00043949i,0.00029491-0.00017253i
0.0052107+0.0014831i,0.0035079-0.0032262i,0.00031581-0.0061754i,0.00011631-0.0018547i,0.00028+0.0013287i,-0.0022759+0.00045942i,-0.0051875-0.00061091i,-0.0055001-0.0011989i,-0.0035044-0.00082969i,-0.0010642-0.00073085i,-0.00074356-0.0016766i,-0.00077709-0.0018899i,6.1767e-05-0.0011077i,-0.00026759-0.00067834i,3.4398e-05-0.00048189i,0.00089664-0.00073394i,0.00077243-0.00068371i,-0.0001223-0.00017416i,-0.00022409-0.0005269i,-0.00015916-0.0010245i,-0.00061857-0.000737i,-0.00015864+0.00052004i,0.00050527+0.0010315i
0.0021835-0.0039645i,-0.0030111-0.0028043i,-0.0033854+0.00022975i,0.0037458+0.00094109i,0.0065894-0.00045344i,0.0022522+0.00043454i,-0.0011537+0.0036178i,-0.0013537+0.0044969i,-0.00060192+0.0023217i,-0.00095483+0.00061341i,-0.001913+0.00061814i,-0.0019341+0.00064234i,-0.0014877+0.00071428i,-0.00088624+0.00062523i,-0.00011751+0.00042289i,8.7612e-05+0.00033233i,0.00047369-0.00017255i,0.00069679-0.00027303i,0.00028609-0.00019105i,-0.00032056-0.00029086i,0.00035895-0.00097466i,0.00075837-0.0015306i,0.00032614-0.00097145i
-0.0051572+0.0029267i,-0.00028615+0.0069316i,0.0058534+0.0070153i,0.009008-0.0021437i,0.0078824-0.0080296i,0.0050865-0.0059477i,0.0044487-0.0023646i,0.0036353-0.00023134i,0.0023575+0.00057793i,0.0013632+0.00089876i,0.00055337+0.0017233i,0.00066352+0.0018959i,0.00053214+0.0011461i,0.00069759+0.00089644i,0.0010323+0.00060791i,0.0008645-0.00018429i,0.00080336-0.00065716i,0.00074029-0.00066975i,0.00028251-0.00016047i,-0.00045456+0.00082162i,-0.0012417+0.00059949i,-0.0010446-0.0003524i,-0.00050784-0.0008077i
-0.00022434+0.0022655i,0.0064919+0.00088888i,0.010714-0.0047065i,0.0037875-0.0097803i,-0.003659-0.0098554i,-0.0039105-0.0065023i,-0.001825-0.0051702i,-0.00061738-0.0044996i,-0.00045866-0.0027272i,-0.00054984-0.0016949i,0.00070523-0.0014562i,0.0021529-0.0014229i,0.0016794-0.00065133i,-0.00014726-0.00046463i,0.00015265-0.0008788i,0.0012678-0.00078776i,0.00024094-0.00081862i,-0.00064693-0.00069768i,0.00027267-7.9602e-05i,0.0008171-0.00041231i,0.00021308-0.00052783i,-0.0002111+0.00035885i,-0.00026714+0.00080259i
0.0039294-0.0010361i,0.0029118-0.0075542i,0.00025919-0.012929i,-0.0042666-0.0065924i,-0.0075508+0.0011885i,-0.0081793+0.00231i,-0.0079363-5.619e-05i,-0.0064299-0.00088319i,-0.004207+4.1866e-05i,-0.0020746+5.7259e-05i,-0.0001414-0.0011373i,0.00056832-0.0022009i,0.00026905-0.002103i,-0.00038734-0.0010481i,-0.00028669+0.00026997i,0.00047977+0.0011254i,0.00013573+0.0012201i,-0.00014979+0.00045078i,0.00016806-0.00037038i,0.00051853-0.00020858i,0.00056425+0.00012725i,0.00072986+0.00037693i,0.0010867+0.00058688i
0.0043049-0.00078009i,-0.0019531-0.0005524i,-0.0059046+0.0010528i,0.0007077+0.0044184i,0.0063967+0.006543i,0.0039356+0.0056222i,-0.00044646+0.0052652i,-0.0015826+0.0053968i,-0.00041464+0.0042317i,6.6383e-05+0.0016806i,-0.00091879-0.00031011i,-0.0016396-0.00070305i,-0.0016471+0.00075486i,-0.0015877+0.0018088i,-0.000367+0.0013694i,0.0010487+0.00056962i,0.0016106+0.0002848i,0.0015073+0.00013522i,-0.000269-0.00043585i,-0.001804-0.00091866i,-0.0011948-0.001516i,-0.00015575-0.002055i,-0.00026993-0.0013186i
-0.0072543-0.0032974i,-0.0073387+0.0036102i,-0.0033842+0.00921i,0.0047404+0.0030338i,0.0093007-0.0044156i,0.0074357-0.0030806i,0.0051381+0.00097427i,0.0045969+0.0013568i,0.0042991+0.00014137i,0.0024968-0.00041864i,0.00092364-0.00047067i,0.00051719+0.00072025i,0.00047611+0.0014832i,0.0013332+0.00093887i,0.0020086-0.00025073i,0.0011609-0.001168i,0.00017724-0.00094523i,-3.3119e-05-0.00034673i,-0.00031967+0.00043214i,-0.00043622+0.00069424i,-0.00082975+0.00029812i,-0.0011825+0.00030806i,8.3882e-05-0.00047395i
-0.00013706+0.0054884i,0.0096881+0.0048482i,0.018049+0.0024082i,0.011982-0.0049939i,0.002935-0.01166i,0.00056957-0.010475i,0.0012928-0.0072197i,0.0014701-0.0050699i,0.00095557-0.0032092i,0.00030228-0.0019223i,0.00019426-0.00072549i,0.0013819-0.00028626i,0.001754-0.00060192i,0.0011618-0.0013844i,-2.7853e-05-0.0013832i,-0.0015002-0.00054411i,-0.0020004+2.0406e-06i,-0.001477+0.00038863i,-0.00056621+0.00091561i,0.0001542+0.00080186i,-0.00011316+0.00071697i,-0.00099437+0.0010577i,-0.00042048+0.00037371i
-0.0042301+0.0036326i,0.00012434-0.0036859i,0.0039739-0.012105i,-5.0927e-05-0.0080795i,-0.0063292-0.00038358i,-0.0069877+0.00054411i,-0.0056153-0.0014365i,-0.0052693-0.00183i,-0.0048384-0.0009485i,-0.0033978-0.00016088i,-0.0015372-0.00020324i,-2.9968e-05-0.0014898i,0.00056076-0.0026934i,-0.00093691-0.0022672i,-0.0021274-0.0010161i,-0.0013697+0.00024881i,-0.00029895+0.0008597i,-2.3124e-06+0.00066103i,-0.0001579-0.00035485i,0.00061478-0.0005846i,0.0016576-0.00027899i,0.0022423+0.00029181i,0.0014251+0.00080132i
0.0019935+0.0015373i,-0.0042131-0.0010734i,-0.0095747-0.0053323i,-0.0036784-0.0018459i,0.0029341+0.0042491i,0.0015177+0.004123i,-0.0021965+0.0032921i,-0.0034147+0.0044271i,-0.0026672+0.0047062i,-0.0014015+0.0035754i,-0.00087421+0.0014754i,-0.0023127+6.8498e-05i,-0.0037732+0.00011971i,-0.0031139+0.0015878i,-0.0016142+0.0023746i,-0.0002386+0.0012418i,0.0011611+0.00020197i,0.001515-6.93e-05i,0.00015139-0.00038182i,-0.00080695-0.00053267i,-0.00061487-0.0012425i,0.00011924-0.0015656i,0.00035362-0.0013039i
-0.0015796-0.0042424i,-0.0042518+0.0040649i,-0.0064634+0.0119i,0.00041019+0.0081367i,0.0081959+0.00033366i,0.0067126-0.00049075i,0.0026923+0.0030134i,0.0016352+0.0040028i,0.0020885+0.0024967i,0.0018355+0.0014663i,0.00023734+0.001659i,-0.00090356+0.0023415i,-0.00065877+0.0028872i,0.00015132+0.0031181i,0.0012202+0.0018188i,0.0014436-0.00044949i,0.0014376-0.0017806i,0.00073917-0.0020314i,-0.00029968-0.0016001i,-0.00075475-0.0008248i,-0.0014212-0.00036882i,-0.001576-0.00014853i,-0.00079999-0.00035113i
-0.0051749+0.0023459i,0.0060334+0.0046886i,0.016455+0.0093608i,0.013281+0.0022783i,0.0049551-0.0080445i,0.0014599-0.0080015i,0.0020496-0.0039343i,0.0015877-0.0012277i,0.001064-2.3028e-05i,0.0012808-0.0005362i,0.0016949-0.00034911i,0.0023571+0.00054697i,0.0031241+0.0014062i,0.0027976+0.00063631i,0.0013425-0.0010802i,-0.00035336-0.0013774i,-0.0014415-0.00088758i,-0.0010845-0.0003392i,1.5145e-05+0.00024828i,0.00072491+0.0010894i,-0.00034585+0.0017394i,-0.00081503+0.001282i,0.00015936+0.00083634i
-0.0032628+0.010219i,0.0039575+0.00032901i,0.016046-0.0096129i,0.013519-0.0090131i,0.0019936-0.004439i,-0.0016082-0.0025892i,-0.0012441-0.0024447i,-0.0017019-0.00089107i,-0.0010624-5.2969e-05i,0.00025534-0.00060925i,0.0010693-0.0012143i,0.0010436-0.0027485i,-5.7073e-05-0.0039333i,-0.0014361-0.0035835i,-0.0016695-0.0025193i,-0.0011174-0.00099334i,-0.00088178+0.00087428i,-0.00060214+0.0011631i,0.00035908+0.00056133i,0.00079164+0.00058706i,0.0010887+0.0013941i,0.0010727+0.0014943i,0.00043869+0.00048621i
0.0031947+0.0033167i,-0.004732-0.0028279i,-0.0096891-0.015i,-0.0052122-0.013001i,0.00060543-0.0011249i,0.0015125+0.0027051i,-0.00043058+0.0011035i,-0.0014794+0.00056007i,-0.0015347-5.3442e-05i,-0.0013915-0.00055161i,-0.001321-0.0010321i,-0.0027359-0.0021956i,-0.0033333-0.0027837i,-0.0026751-0.0015983i,-0.0012696+1.7523e-05i,-6.6702e-05+0.0012092i,0.00039885+0.001258i,0.00070509+0.00076755i,0.00029432+0.00024005i,0.00050687-0.00036192i,0.0014863-0.0013809i,0.0015712-0.0018134i,0.00044906-0.0016425i
0.0056977-0.0045039i,-6.0825e-05+0.0052386i,-0.013059+0.0083257i,-0.010163+0.0019548i,0.00069215-0.0036546i,0.002385-0.0042388i,-0.00076234-0.0020844i,-0.0018179-0.00076245i,-0.001551+2.5983e-05i,-0.0013092+0.0010945i,-0.0016081+0.0014974i,-0.0023736+0.0019568i,-0.0029738+0.0027426i,-0.0019913+0.00343i,-0.00010269+0.0021249i,0.0017269-0.00031239i,0.0020433-0.0017363i,0.0011727-0.0016792i,0.00075599-0.00080169i,0.00062091-0.00068499i,-7.145e-06-0.0013737i,-0.0011809-0.0016693i,-0.0013574-0.00056962i
-0.0080224-0.0067349i,0.0025073+0.0027737i,0.0091534+0.017636i,0.0059679+0.014232i,0.00053425+0.0010556i,-0.001283-0.0030819i,-0.0017609-0.0011291i,-0.0025538+0.0004537i,-0.0031888+0.0012879i,-0.0022308+0.0015638i,0.00018667+0.0018763i,0.0017662+0.0028534i,0.0021868+0.0035541i,0.0023722+0.0024546i,0.0019885+7.895e-05i,0.00044368-0.0014784i,-0.0012517-0.001643i,-0.0016618-0.00076026i,-0.00061201+0.00035331i,-0.00038623+0.00015246i,-0.0006834-0.00024231i,-0.00053161+0.00074732i,0.00053581+0.0014199i
-0.016108+0.0064896i,-0.00078716-0.0047668i,0.020505-0.0078282i,0.020615-0.0029367i,0.0068078+0.0004166i,-0.00070286+0.0007446i,-0.0013038+0.00054595i,-0.00075766+0.0020452i,-0.00055607+0.0042712i,0.00015495+0.0033123i,0.0020135+0.00041679i,0.0036646-0.0013484i,0.0032512-0.0020516i,0.0020294-0.0021723i,0.00074023-0.0011785i,-0.0007359+0.00043756i,-0.0016452+0.0010419i,-0.00092479+0.00075269i,-0.00033568+0.00085958i,-0.00061459+0.00092431i,0.00030595+0.0015085i,0.001199+0.0014203i,0.0012815+0.00021585i
-0.0018976+0.018861i,-0.0081977+0.0034857i,-0.0059344-0.017954i,0.0015729-0.018696i,0.0056644-0.0056464i,0.0047518+0.00139i,0.0025637+0.0020837i,0.0023298+0.002643i,0.0036043+0.0020952i,0.0033313-0.00048255i,0.0013389-0.002366i,-0.00010885-0.0034239i,-0.00032666-0.0040733i,0.00025998-0.0020632i,0.00062693+0.00034334i,0.0016316+0.0013019i,0.0027848+0.0013419i,0.0019711+0.00086055i,-0.0002433+0.00048392i,-0.00098105+0.00062769i,-8.2204e-05-4.5134e-07i,0.00076063-0.001022i,0.00038229-0.00079586i
0.017461+0.0043215i,0.0019812+0.01231i,-0.01624+0.0071707i,-0.014952-0.0021678i,-0.0027231-0.0058589i,0.002406-0.0045288i,0.0025307-0.0023708i,0.0029938-0.002253i,0.0022033-0.0029448i,-0.00066893-0.0029459i,-0.0029465-0.0021708i,-0.0036576-0.00098114i,-0.0039738+0.00061173i,-0.003027+0.00091508i,-0.00065607+0.0004024i,0.00090643-0.00017808i,0.0013688-0.00082323i,0.0011754-0.00050164i,0.00064385+0.00012846i,0.00020718+0.00056854i,-0.00052591+0.00020688i,-0.0014015+3.8835e-06i,-0.0013641+0.0010635i
0.011181-0.019522i,0.01856-0.00077776i,0.01219+0.019132i,0.003553+0.017485i,0.00017616+0.0034119i,-0.00072849-0.0041566i,-0.0014479-0.0038729i,-0.0032948-0.0019174i,-0.0042874-0.00081436i,-0.0042514+0.00075101i,-0.0029178+0.003447i,-0.0015642+0.0046206i,-0.0013464+0.0037978i,-0.001132+0.0022271i,-0.00036093+0.00078247i,4.122e-06-1.5152e-05i,-0.00076786-0.00080399i,-0.0012548-0.001004i,-0.00040526+0.00021316i,0.00023799+0.00074609i,-0.00030856+0.00086874i,-0.00047199+0.0017159i,0.00050633+0.0016332i
-0.019841-0.016014i,0.0011839-0.021956i,0.023499-0.015124i,0.021861-0.0061847i,0.0054406-0.0036095i,-0.0041273-0.0029445i,-0.0057084-0.00076435i,-0.0056965+0.0018809i,-0.0038175+0.0035245i,-0.0011031+0.0039055i,0.0013432+0.0029855i,0.0032424+0.00083616i,0.0028575+0.00013185i,0.00096573+0.0010005i,-0.00015098+0.0012957i,-0.00061531+0.0013293i,-0.00085154+0.0014728i,-0.00029702+0.00059265i,-8.9126e-05-0.00095563i,-0.00036891-0.00058431i,0.00057964+0.0010053i,0.0013637+0.0013795i,0.0012144+0.00040476i
-0.022081+0.017903i,-0.023407-0.0049155i,-0.010103-0.02727i,0.00081898-0.027037i,0.00081539-0.012248i,-0.0030637-0.0017854i,-0.0039203+0.0021516i,-0.0012465+0.0033749i,0.0019409+0.0029941i,0.0033042+0.001096i,0.0029429-0.0023086i,0.0028538-0.004276i,0.002735-0.0039702i,0.0021519-0.0022816i,0.001609+0.00019069i,0.00077712+0.0015982i,0.00047107+0.0011506i,0.00035617-0.00030245i,5.649e-05-0.00076942i,0.00047869-0.000496i,0.00097884-0.00081558i,0.0003378-0.0012153i,-9.1287e-05-0.00099739i
0.013146+0.027875i,-0.0073469+0.028473i,-0.02522+0.013745i,-0.02271+0.0016419i,-0.009297+0.00033235i,-0.0008342+0.0026174i,0.002413+0.0036096i,0.003344+0.0023661i,0.0030723-0.00015312i,0.0015991-0.0030705i,-0.00099533-0.0044496i,-0.0022442-0.003726i,-0.0025424-0.0025147i,-0.001583-0.0015624i,0.00049608-0.0010793i,0.0021861-0.00105i,0.0017964-0.00089911i,9.8366e-06-0.0011329i,-0.00074834-0.00056037i,-0.00046124-0.00031136i,-0.00013417-0.00073026i,-0.00081415-0.00017963i,-0.0012069+0.00041218i
0.036967-0.0084879i,0.033805+0.012712i,0.017723+0.028247i,0.0052685+0.024647i,0.002846+0.0091132i,0.0037563-0.00031292i,0.0037525-0.0022755i,0.0024646-0.0026638i,-0.0007956-0.0027284i,-0.0030575-0.0018744i,-0.0038882+0.0010618i,-0.0046616+0.0030596i,-0.0040886+0.002769i,-0.0016591+0.00074648i,-0.00012954-0.0013314i,-0.00025916-0.001211i,-0.00057473-6.8197e-05i,-0.0007648+0.00091078i,-0.00035926+0.00084822i,-2.2637e-05+0.00054343i,-0.00076769+0.00040587i,-0.00051038+0.00089789i,0.00048435+0.00095399i
-0.0029829-0.042118i,0.019717-0.035522i,0.035123-0.016636i,0.031574-0.0042096i,0.015679-0.0033839i,0.0034796-0.0054632i,-0.00072378-0.005436i,-0.0019548-0.0028163i,-0.0031172+0.00044008i,-0.0028581+0.0027553i,-0.0007152+0.0039893i,0.0014243+0.003641i,0.0017759+0.0028043i,0.00064196+0.0016641i,-0.00076456+0.0001738i,-0.0013596-9.5636e-05i,-0.00056889+0.00078565i,0.00078247+0.00039165i,0.00092952-0.00084474i,0.00034166-0.00058629i,9.9815e-05+0.0013327i,0.00043975+0.0008306i,0.00071674-0.00090186i
-0.045294-0.0094606i,-0.035462-0.029797i,-0.012771-0.041469i,0.00075746-0.037115i,-0.00094032-0.022626i,-0.0065657-0.010103i,-0.0074941-0.003196i,-0.0043219+0.00052491i,-0.00087709+0.0014453i,0.0022146+0.00096369i,0.0038853+0.00020725i,0.0046574-0.0011527i,0.0040608-0.0016339i,0.0017632-0.00016066i,0.0010396+0.001319i,0.0014936+0.0013601i,0.0015157+0.00053768i,0.0010768-0.0011853i,0.0010788-0.0015608i,0.0012402-0.00047993i,0.0014493-0.00082288i,0.00063732-0.0013566i,-0.00077567-0.00063779i
-0.020903+0.042301i,-0.037519+0.032173i,-0.042778+0.011008i,-0.034923-0.0015502i,-0.021147-0.00057106i,-0.011216+0.0037799i,-0.0056441+0.0048548i,-0.0016356+0.0031089i,-6.0517e-06-9.7335e-05i,0.00026799-0.0027691i,0.00016559-0.0044844i,-0.00041303-0.0046913i,-0.00034497-0.0039192i,0.00059471-0.0023286i,0.0013025-0.0011174i,0.0013126-0.000455i,0.000817-0.00035354i,0.00019949-0.0011741i,-5.8996e-05-0.0016972i,0.00054816-0.0017197i,0.00038345-0.0012348i,-0.00079693-0.00095518i,-0.00088073+5.4021e-05i
