-0.0033149+2.3448e-05i,-0.002027-0.00037604i,-0.001503+0.00019525i,-0.00077268+0.0012502i,-0.0001421+0.0020797i,-3.086e-06+0.001011i,-0.0009093+0.00053347i,-0.00054752+0.00074519i,4.4906e-05+0.00074852i,0.00055473+6.9918e-05i,0.0014526+0.00041266i,0.0010223+0.00042911i,-0.00023728-6.9826e-05i,0.00016608-0.00084642i,0.0017724-0.0017797i,0.0016936-0.0010654i,0.0013183+2.6874e-05i,0.00083381+0.00064838i,-0.00011986+0.00066281i,-0.0005614-0.00016265i,-0.00040606-0.00017494i,0.00058929+0.0001858i,0.0011424+0.00066148i
3.2078e-05-0.0011777i,-0.0011606-0.0001115i,-0.0016152+0.0012777i,0.00029606+0.0015608i,0.0026539+0.001191i,0.0023902+0.00013903i,7.5346e-05-0.00094741i,-0.0012639-0.001122i,-0.0013206-0.00031441i,-0.00064159+0.00045017i,-0.00029076+0.00010488i,7.7156e-05-5.4593e-05i,0.00047425+0.00034941i,0.00036959+0.00037812i,0.00064277+0.00073161i,0.00042858+9.9903e-05i,0.00012267-0.0013441i,3.2601e-05-0.001877i,-0.00022035-0.0011702i,-0.0011386-0.000381i,-0.0015685-9.0523e-05i,-0.00033517-2.6551e-05i,0.00039533+7.7967e-05i
-0.0019664+0.0001361i,-0.00067572-0.00055952i,-0.00054444-0.0012685i,0.00041972-0.0018036i,0.0023646-0.0023183i,0.0025145-0.0023146i,0.0014513-0.00096354i,0.00022748+0.0010162i,-0.00058446+0.0020542i,0.00039091+0.0020006i,0.0015026+0.0011993i,0.0012724+0.00034378i,0.00024861-0.00093684i,0.00019242-0.0020879i,0.00087203-0.0021639i,0.00056253-0.0012419i,-8.1049e-05-0.00052159i,-8.2907e-05-0.0011659i,-0.00051859-0.0010734i,-0.0014376-0.00015481i,-0.00114+0.0009101i,-1.8634e-05+0.0014913i,0.00041782+0.0010493i
-0.00060603+0.0010099i,-0.00071967+0.0011337i,-7.8704e-06+0.0019379i,0.00020498+0.0018859i,-0.00018105-0.00016621i,0.00051804-0.0026893i,0.0012589-0.0024915i,0.0013332-0.00047585i,0.0013004+3.9416e-05i,0.0014286-0.0006702i,0.0012576-0.0015159i,0.0007392-0.0022413i,0.00021728-0.0037387i,0.00013828-0.0041715i,-3.1686e-05-0.0031774i,-0.00068679-0.00095922i,-0.0012625+0.00050175i,-0.00094322+0.00020224i,0.00016866+0.0002757i,0.00020854+0.00071884i,-0.00019806+0.0010569i,0.00028953+0.00079443i,0.0011809+0.00044476i
-0.00089922-0.00062329i,-0.0012958-0.0011883i,-0.0028128-0.00085073i,-0.0031656-0.00049027i,-0.0024661-0.00018953i,-0.0018292-0.00062474i,-6.8523e-06-0.0013829i,0.0018418-0.002806i,0.0025769-0.0039741i,0.00062283-0.0030143i,-0.0020952-0.0011124i,-0.0029096+0.00027078i,-0.0022665+0.00091093i,-0.0012929+0.00054047i,-0.0011346-0.00045428i,-0.00084208+0.00025312i,-0.00042231+0.0013535i,-0.00033527+0.00093227i,-0.00024442+4.7385e-05i,-2.2198e-05+0.00031543i,0.00071774+0.00074201i,0.00030958+0.0011354i,-0.00058895+0.00094342i
-0.00030424-0.0013119i,-0.00055168-0.0017827i,0.00031995-0.0018302i,0.0011752-0.00061833i,0.0010647+0.0017392i,0.00066951+0.0025015i,0.00012622-0.00015757i,0.0005685-0.0028077i,0.00014887-0.0030974i,-0.0014323-0.00035523i,-0.0017544+0.0016165i,-0.00060609+0.0017877i,0.00050821+0.0023715i,0.00073033+0.0023018i,0.0011437+0.00077598i,0.0012148+2.8255e-05i,0.00099643+0.00022924i,0.000239-0.00063203i,-9.3655e-05-0.0012372i,-5.1292e-05-0.00087835i,0.00014077-0.00036213i,0.00049633+0.00051628i,-0.00018023+0.0011412i
-0.0020087-0.00076718i,-0.0016457-0.0003391i,-0.0010706+0.00077175i,0.0004474+0.0013119i,0.0024047-0.00059644i,0.0028142-0.0024863i,0.0010009-0.002242i,-0.00091481-0.0011307i,-0.00070503-0.00011507i,0.00038636+0.00074919i,0.0011795+0.00087215i,0.0010368+0.00058691i,0.0018275+0.00052942i,0.0025552+0.00045473i,0.0019762+0.00075564i,0.0013912-0.00022481i,0.00092901-0.0014922i,-0.00026712-0.0013175i,-0.0012074-0.00069782i,-0.0012145-0.00010223i,-0.00096022-0.00032022i,-0.00086467-1.6405e-05i,-0.00071167+0.0006103i
-0.00050504-0.0012069i,-0.0016492-0.0029127i,-0.0016519-0.0032548i,-0.001017-0.0031786i,-0.00087796-0.0036114i,-0.0002752-0.0032626i,0.00012387-0.00048061i,0.00054932+0.0025817i,0.00098968+0.0029367i,0.0016646+0.0010952i,0.0023001-0.00040257i,0.0016711-0.0014574i,0.0016069-0.0019526i,0.0015102-0.0018994i,0.00074638-0.0015146i,0.00037206-0.0012357i,-0.00027602-0.00089854i,-0.0010368-0.00048503i,-0.00091822+0.00019631i,-0.00067242+0.00069818i,-0.00059636+0.0010251i,-0.00062013+0.00038092i,-0.0004104+0.00020324i
0.0012273-0.0026579i,0.001545-0.0018138i,0.00099396-0.0010275i,-0.00064439-3.8941e-05i,-0.002595+0.0002748i,-0.0034804+0.0009814i,-0.0016329+0.0017639i,0.0017515+0.0023048i,0.0030256+0.0012583i,0.0012526-0.0003905i,-0.0012727-0.00076473i,-0.0018518-0.00092125i,-0.0017876-0.0013425i,-0.0024648-0.0014732i,-0.0016051-0.0012838i,-0.00076232-0.00044223i,-0.00090681+0.0011078i,0.00020155+0.0016777i,0.00086853+0.00038161i,-1.6825e-05+0.00024751i,-2.1489e-05+0.0007963i,7.9768e-05+0.00087928i,-9.6314e-05+0.00055268i
0.00029433+0.0018079i,0.0014631+0.0023482i,0.0018274+0.0041876i,0.0016481+0.004706i,0.0018592+0.0042812i,0.0021786+0.0030084i,0.0019302-1.6194e-06i,0.0020599-0.0025785i,0.0020457-0.0027279i,0.0010449-0.0013502i,-0.00031331-0.0002325i,-0.0012129-0.00012155i,-0.0026081+0.00026775i,-0.0022808+0.0010975i,-0.0014946+0.0015738i,-0.0013173+0.0010024i,6.4481e-05-0.00022125i,0.001211-0.00050973i,0.00088523+0.00010036i,0.00065135+7.9441e-06i,0.00087018+0.00060125i,0.00087447+0.0010575i,0.00037434+0.00039262i
0.0022371+0.00062156i,0.0023976+0.0019198i,0.0025336+0.0018124i,0.0034753-0.00018393i,0.005102-0.0018847i,0.0046749-0.0015814i,0.0028828-0.0013875i,0.00078953-0.0022519i,-0.0014258-0.0023936i,-0.0016842-0.00054066i,-0.0010811+0.0013802i,-0.00085221+0.0017087i,0.00016336+0.0014823i,0.00092724+0.001665i,0.00023791+0.0012782i,0.00017893-0.00030098i,0.00090494-0.001364i,0.0008242-0.0013761i,0.00012357-0.00043293i,-0.00014413+0.00024525i,-0.00043445+0.00019156i,-0.00047523+0.00051079i,-8.0242e-05+0.00070991i
0.0015654+0.00022096i,0.0012247+9.7865e-05i,0.001137+3.1466e-05i,0.00030593-0.0012098i,0.00085101-0.0041556i,0.0012759-0.0062812i,-0.00051946-0.004518i,-0.0030195-0.0011401i,-0.0025855+0.0013443i,-0.00046057+0.0020436i,0.00065703+0.0015959i,0.0011987+0.00098165i,0.0020335-0.00019864i,0.0026118-0.0014244i,0.0024867-0.0021026i,0.0013801-0.001526i,0.00066358-0.00059896i,-7.8031e-05+0.00031071i,-0.00027519+0.0017721i,-0.00049602+0.0015731i,-0.00038551+0.00074585i,-0.00041487+0.0012496i,-0.00026086+0.0013823i
-0.0015212+0.00026128i,-0.0027175-0.00081901i,-0.00359-0.0010793i,-0.0048891-0.0011921i,-0.0048752-0.0015615i,-0.0043421-0.0017007i,-0.0030686-0.00061854i,-0.00046182+0.0013862i,0.0016922+0.0024537i,0.0018487+0.0014439i,0.0013111-0.00031321i,0.0010993-0.0013323i,0.00050852-0.0024757i,0.00017562-0.0035751i,-0.00021819-0.003732i,-0.00017158-0.0024684i,-0.00041273-0.00041322i,-0.0008894+0.00057256i,-0.00045121+0.00035985i,-0.00027007+0.00022146i,-0.00040053-0.00027163i,-0.00047686-0.00043985i,2.5147e-05+0.00014535i
0.00096938-0.001045i,0.0015418-0.0015934i,0.0026412-0.0011679i,0.0014837+0.0013352i,-0.00076123+0.0038787i,-0.0018327+0.0046621i,-0.0001349+0.0048504i,0.0037401+0.0033794i,0.0049755-0.00036438i,0.003099-0.0030382i,0.0010495-0.0025447i,-0.0004449-0.0011559i,-0.0016185-8.342e-05i,-0.0019234+0.00092909i,-0.0012696+0.0019043i,-0.0011463+0.0023404i,-7.3184e-06+0.0016829i,0.0016544+8.6324e-05i,0.0013759-0.00070339i,0.00095993-0.00046482i,0.00047091+0.00012848i,-0.00025658+0.00049762i,0.00025012+0.00091485i
0.00096647+0.00032581i,0.00099304+0.00045484i,0.0015871-0.001694i,0.0034935-0.0023483i,0.005612-0.0006711i,0.005778+0.0016802i,0.004999+0.00085134i,0.0050257-0.0020553i,0.0032482-0.0034733i,-0.00028077-0.0030439i,-0.0015609-0.0011613i,-0.0014895+0.00033294i,-0.0018721+0.0014115i,-0.0012358+0.0028639i,-0.00032601+0.0038559i,0.00049292+0.0028713i,0.0012806+0.0014189i,0.0014859+8.5091e-05i,0.00092173-0.00055585i,0.00030462+0.000338i,-0.00023739+0.00039925i,-0.00081801+0.00015323i,-0.00093676+0.00030324i
0.0017147+0.0014588i,0.0026578+0.0008067i,0.0027202-0.00090595i,0.0014401-0.0039282i,0.0027104-0.0069922i,0.0039816-0.0076945i,0.0014365-0.0061575i,-0.0016378-0.0047095i,-0.0027145-0.0020126i,-0.0022246+0.00058832i,-0.00054253+0.00043463i,-0.00012221-0.00028771i,-4.1231e-05+0.00032323i,0.00086512+0.00048779i,0.0014597-0.0011539i,0.0017309-0.0026192i,0.00086458-0.0022178i,-0.00044786-0.0011139i,-0.00080993-0.00010985i,-0.00049695-0.0002229i,-0.00029414-0.00052802i,-0.0003903-0.00017531i,4.9037e-05+0.00050696i
0.0010943+0.0010566i,0.00036815+0.0013114i,0.00037009+0.0020499i,-0.00020625+0.00014145i,-0.0024856-0.0043444i,-0.0045181-0.0068526i,-0.0049538-0.0053497i,-0.005056-0.0014516i,-0.003447+0.0023985i,-0.00083586+0.0032381i,8.1071e-05+0.00082637i,-0.00026374-0.00035748i,-8.0003e-05-0.0010685i,0.00044288-0.0028967i,0.00041893-0.003493i,-0.00042616-0.0021172i,-0.00064117-0.00056076i,0.0003071+0.00093165i,0.00053337+0.00168i,0.00022769+0.00096138i,0.00032584+0.00036012i,-0.00010159+0.00010628i,-0.00086815-0.00047446i
0.00045867-0.00069122i,0.0014254-0.0026731i,0.0026763-0.0012327i,0.0021231+0.0013255i,-0.0011964+0.0036744i,-0.0052209+0.0048241i,-0.0059997+0.0039716i,-0.003202+0.0046019i,0.0010029+0.004422i,0.002789+0.0018231i,0.00096784+0.00034392i,-0.0004033+6.4957e-05i,-0.00047365-0.0016109i,-0.0013709-0.0030968i,-0.0021891-0.0022851i,-0.0020692-0.0010052i,-0.00065334+0.0001487i,0.00057578+0.0006081i,0.0004083+0.00043505i,0.00027863+0.00017446i,0.00045881+0.00011234i,0.00060199+8.9583e-05i,0.00016976-4.5446e-05i
0.00091243+0.0013394i,0.0029485+0.002424i,0.0045342+0.0034612i,0.0054028+0.0038889i,0.0063008+0.0044313i,0.0060008+0.005186i,0.005504+0.0045642i,0.0062151+0.0027733i,0.0053634+5.9318e-06i,0.0025025-0.0012412i,0.0015257-0.00053494i,0.0014848-0.0002314i,0.00024799-0.00023699i,-0.0013673+0.0004666i,-0.0015619+0.0012652i,-3.3388e-06+0.0013173i,0.00086441+0.0012557i,0.00079768+0.00070736i,-0.00032948-0.00058332i,-0.0010206-0.00067637i,-0.00087258-8.3449e-06i,-0.00016695-0.00028202i,0.00047452-0.00037357i
-0.0014185+0.0011929i,-0.0020373+0.0016379i,-0.0027909-0.00011036i,-0.00099872-0.00398i,0.0037506-0.0054821i,0.0073509-0.0045926i,0.0081239-0.0041087i,0.0063836-0.004698i,0.0019259-0.0042844i,-0.00092462-0.002348i,-0.00070475-0.00075672i,-0.00037591-0.00033725i,-0.0001802+0.00049912i,0.00047042+0.0013357i,0.0014943+0.0013372i,0.0020131+0.0010055i,0.0019765+0.00019354i,0.00082023+8.0732e-05i,-0.00034324+0.00018995i,-0.00049777+0.00025618i,-0.00060744-0.00017243i,-0.00014025-0.00071974i,0.00027533-0.00015296i
0.0017946+0.00093639i,0.0023766+0.0012645i,0.0022106+0.0014512i,-0.00087873-0.00055443i,-0.003747-0.0045701i,-0.0034454-0.0089342i,-0.0022059-0.0094i,-0.0025309-0.007103i,-0.0035897-0.0039969i,-0.00318-0.00014361i,-0.0022319+0.0011479i,-0.0016339+0.00071154i,-0.00070274+0.0011497i,0.0013895+0.00065521i,0.0022979-0.0004217i,0.0014074-0.00044004i,3.1703e-05-0.00022195i,-0.00090771-3.0475e-05i,-0.00057656+0.00011504i,-1.4105e-05-0.00064101i,0.00041251-0.0013883i,0.00019276-0.0011667i,-0.00063517-0.00076935i
-0.0016569+3.9907e-05i,-0.0025175+0.0012421i,-0.0032908+0.0030214i,-0.0043284+0.0034686i,-0.0068623+0.0030876i,-0.010274+0.0016439i,-0.0098157+0.0013397i,-0.0059457+0.0024995i,-0.0025738+0.0034346i,-0.0011293+0.003126i,-0.0011928+0.0025281i,-0.0014581+0.0023286i,-0.0010768+0.0011394i,-0.00068843-0.0011734i,-0.00075528-0.0019406i,-0.0014632-0.00061797i,-0.0017187+0.00062567i,-0.0007977+0.0010263i,0.00027695+7.8352e-05i,0.00019432-0.00059149i,0.00053349-0.00060848i,0.0014962-0.00079571i,0.0010064-0.0011375i
0.0031806-0.0030022i,0.0031662-0.0049939i,0.0036287-0.0053112i,0.0044789-0.0015216i,0.0046966+0.0062438i,0.0027556+0.011198i,0.00086811+0.011202i,0.0018851+0.0096812i,0.0038599+0.0062116i,0.0036514+0.0026453i,0.0019986+0.0012468i,0.00032549+0.00083387i,-0.00088593-0.00027876i,-0.0020346-0.00077603i,-0.0023318+0.00028326i,-0.0014528+0.00085881i,-0.00066192+0.00014106i,0.00091283-0.00049994i,0.0017344-0.00085395i,0.0010546-0.00076517i,0.00096465+0.00020724i,0.0010136+0.00066711i,0.00071854+0.00056924i
-0.00091427-0.00016313i,-0.00061195+0.001517i,9.5692e-05+0.0011637i,0.0027491-0.0012853i,0.0080594-0.0036483i,0.012202-0.0018466i,0.011747+0.00074026i,0.010394-7.5682e-05i,0.0081586-0.0025528i,0.0044863-0.0033446i,0.0020545-0.001693i,0.0011851-6.8501e-05i,0.00048352+0.00037016i,-0.00052602+0.00042355i,-0.00036958+5.3527e-05i,0.00053128-0.00071394i,0.00091028-0.0014171i,0.00062362-0.0011319i,-0.00013441-7.7612e-06i,-0.00052109+0.0008713i,-0.00040189+0.0014972i,-0.00023216+0.0018404i,5.4377e-06+0.0016903i
-0.001251+0.00083683i,-0.0019474-0.00021925i,-0.0026852-0.0032555i,-0.0035013-0.0058509i,-0.002428-0.0096072i,0.0010503-0.012204i,0.0025874-0.010729i,0.0022033-0.0091678i,0.00051247-0.0072059i,-0.00098129-0.0038961i,-0.0011854-0.0024419i,-0.0010611-0.0027589i,-0.00055438-0.0025953i,0.0014193-0.0024205i,0.0025184-0.0024014i,0.0018279-0.001813i,0.0011605-0.0013287i,0.00010531-0.00026113i,-0.00078298+0.00071056i,-0.00061737+0.0017527i,-5.2387e-05+0.0015116i,0.00051436+0.00047994i,0.00064652-7.1463e-05i
-0.00042331+0.00016128i,0.001333+0.0031754i,0.0019857+0.0073807i,-0.00078139+0.0083291i,-0.0065237+0.0046298i,-0.010163-0.00062981i,-0.01034-0.0040443i,-0.0092719-0.0048229i,-0.0072142-0.0022025i,-0.0044533+0.001102i,-0.0028195+0.0014185i,-0.0026391+0.00093289i,-0.00098595+0.00067683i,0.0012706-0.00030745i,0.0015478-0.0014874i,0.00042896-0.0010415i,0.00025397-0.00030981i,-0.00014951+0.00011864i,-2.1523e-05+0.00036727i,0.00092747+1.0251e-05i,0.00013893-0.00020152i,-0.0002519+0.00015706i,-0.00050548+0.00048062i
0.00057678-0.0011297i,-0.00084336-0.0022443i,-0.00033513-0.0012507i,0.0012352+0.0042674i,0.0006355+0.0094668i,-0.0038408+0.010126i,-0.0062215+0.0074612i,-0.0049754+0.0061371i,-0.0025948+0.0057528i,-7.4119e-05+0.0044i,0.00090099+0.0027227i,0.0011282+0.0021412i,0.0014816+0.0015467i,0.0010507+0.00062809i,0.00016502+0.00097947i,0.00025023+0.0012559i,0.00098061+0.00099731i,0.0017018+0.00040835i,0.00070987-7.4597e-05i,-0.00083409-5.0294e-05i,-0.0012627-0.00022867i,-0.0012716-0.00061151i,-0.00078362-0.00061574i
0.0014034-0.0013582i,0.0028377-0.0019585i,0.0043054-0.0029084i,0.0062489-0.0031812i,0.0098217-0.0010849i,0.011757+0.0040437i,0.0093759+0.0074062i,0.0072039+0.0066002i,0.0064671+0.0031411i,0.0053763+0.00038699i,0.0033181+0.00012695i,0.0017092+0.00036756i,0.00079866+0.00099308i,-0.00080715+0.0012444i,-0.00033734+0.0013003i,0.0012831+0.0010672i,0.0013479+0.00066996i,0.00042562+0.00048693i,-0.00097356-0.00043992i,-0.00242-0.0011247i,-0.0025146-0.00026147i,-0.0012756+0.00045051i,0.00020261+9.5037e-05i
0.00016178-0.00095578i,-0.0015056-0.00053376i,-0.0043603-0.0023673i,-0.0044104-0.0053597i,0.00083125-0.010024i,0.0069014-0.011651i,0.0085733-0.0084112i,0.0080836-0.0057254i,0.0057831-0.0053615i,0.001829-0.0050295i,-0.00013849-0.0033198i,-0.00049162-0.0014722i,-0.0015913+0.00070052i,-0.0021975+0.0016917i,-0.0013721+0.0015825i,-0.0011042+0.0010274i,-0.0010795+8.9683e-05i,-0.0013555-0.00056949i,-0.0010493+0.0002417i,-0.00019988+0.00037626i,0.00022106-9.9158e-05i,0.00062973-0.00034237i,0.00025218+2.5474e-05i
0.00058615-0.00015058i,0.002551+0.00032408i,0.0011694+0.00095949i,-0.0058634-9.8496e-05i,-0.012928-0.004102i,-0.01211-0.0087207i,-0.0050702-0.010362i,-0.00061712-0.0088327i,-0.00061509-0.0049748i,-0.0014799-0.0012207i,-0.0016241+0.00023948i,-0.0019482+0.00014425i,-0.0022763-5.1957e-05i,-0.0024469-0.00048955i,-0.0022767-0.0017675i,-0.002038-0.0025894i,-0.0012552-0.0018504i,-0.00058243-4.8906e-05i,0.00039974+0.0008905i,0.0013495+0.00094664i,0.00065571-0.00045548i,-0.00070556-0.001049i,-0.00088498+6.8366e-05i
0.00091025+0.0013715i,0.0011242+0.0018368i,0.001098+0.0034451i,-0.00067945+0.0064598i,-0.0063202+0.010043i,-0.011906+0.0094641i,-0.011893+0.0056242i,-0.008476+0.0034148i,-0.004118+0.0025287i,-0.0010346+0.001477i,-0.00077154+0.0011708i,-0.0017288+0.0012844i,-0.0018761+0.00010787i,-0.0015144-0.0016288i,-0.00084124-0.0016754i,-0.0007929-0.00039769i,-0.0007342-0.00028781i,0.00026161-0.00051477i,0.0012227+3.5172e-06i,0.0022258-0.00044847i,0.00226-0.00040458i,0.0010425+0.00033299i,0.00013723+0.00077201i
0.001814+4.8205e-05i,0.0025479-0.0026932i,0.0056807-0.0046102i,0.010946-0.0022633i,0.014951+0.0038612i,0.011487+0.0095227i,0.0027558+0.012256i,-0.0017599+0.011028i,0.00011235+0.0074874i,0.0031405+0.0031312i,0.0029752+0.00056293i,0.0015171+0.00058937i,0.0009667+0.00053712i,0.00040174-0.00084315i,-2.9444e-05-0.0016752i,0.0011968-0.0014047i,0.002148-0.001387i,0.0015335-0.0013299i,0.00053666-0.00067723i,-0.0010146-0.00033051i,-0.0013276+0.00034347i,-0.00027326+0.00054489i,0.00032414+0.00039723i
0.00032654-0.00045498i,0.00019442-0.00033288i,0.00064048-0.0030333i,0.0022993-0.0087467i,0.0068311-0.012756i,0.011201-0.0092983i,0.010325-0.0012931i,0.0077188+0.002189i,0.0049639+0.00050136i,0.0014187-0.0018193i,0.00022302-0.001596i,0.0018154-0.0011988i,0.0027361-0.00079668i,0.0023887-0.00063131i,0.0026525-0.0015878i,0.0033859-0.0012758i,0.0024635-0.0005698i,0.00052043-0.00050704i,-0.001251+0.00040864i,-0.0018381+0.0018177i,-0.0011483+0.0020597i,0.00018618+0.00027861i,0.00062785-0.00098981i
-0.0002201+0.0014411i,0.00021287+0.00055615i,-0.001565-0.0024181i,-0.0046669-0.0063227i,-0.0064705-0.012503i,-0.0044703-0.017505i,-0.00049811-0.014515i,0.0017738-0.0081523i,0.00091972-0.0043679i,-0.00026461-0.0022503i,0.00025449-0.00077154i,0.00043751-0.00050888i,-0.00041968-0.00079714i,1.6367e-05-0.00059879i,2.2111e-05-0.00050402i,-0.00045969-0.00074093i,-0.00022712-5.5659e-05i,-0.00012129+0.00012267i,-0.00063485-0.00022903i,-0.0006162+0.00012329i,0.00052431+0.00065352i,0.00064312+0.0002037i,-0.00011861-0.00049264i
0.0015328+0.0021471i,0.003165+0.0060697i,0.0036276+0.0093676i,-0.0013359+0.012043i,-0.010631+0.011854i,-0.015003+0.0055613i,-0.011162-0.0023457i,-0.0067857-0.005817i,-0.0041836-0.0035948i,-0.0018+0.00060093i,-0.00092353+0.001928i,-0.0010566+0.0018839i,-0.0011178+0.0017356i,-0.00062311+0.00095037i,-0.00093045+0.00078774i,-0.0011621+0.0014876i,-0.0013164+0.0018666i,-0.0014029+0.0015087i,-0.00055535-0.00023434i,-0.00052148-0.0007149i,-0.00069054-0.00071588i,-0.00081688-0.00072399i,-0.0011603-8.4416e-05i
-0.0038315-0.00014739i,-0.0051393-7.9994e-05i,-0.0022874+0.0022297i,0.0049391+0.0082809i,0.0093642+0.015212i,0.006456+0.015076i,0.0001656+0.0078855i,-0.0033521+0.0028525i,-0.001814+0.00272i,0.0015105+0.0020984i,0.0018951+0.00096597i,-0.00054156+0.0011795i,-0.0023359+0.00060742i,-0.0023364+7.1059e-05i,-0.0011565-8.4974e-05i,-7.8764e-05+0.00060057i,-7.2941e-05+0.0014492i,0.00068522+0.00025182i,0.0010036-0.0019726i,-0.00094243-0.0027563i,-0.0021748-0.0013839i,-0.00099583+0.00080514i,0.00019165+0.0012329i
0.00027616-0.0029653i,0.0020187-0.0033176i,0.0044202-0.0050815i,0.0095493-0.0074627i,0.017664-0.0071975i,0.019369-0.0022128i,0.01203+0.003044i,0.0057883+0.0050434i,0.0037797+0.0029677i,0.0022997-0.00036798i,8.8649e-05-0.0012682i,-0.00057703-0.00023205i,-0.000355+0.00020591i,0.00028082-8.697e-05i,0.00068318-0.00052721i,-8.5706e-05-0.0014952i,-0.00037417-0.0021363i,5.3966e-05-0.0012862i,0.00043435-0.00066246i,-0.00019483-0.00042272i,-0.00087017+0.00032842i,-0.000303+0.00049128i,0.00022835-0.0001441i
-0.00081969-0.003501i,-0.0046804-0.0013282i,-0.0094283-0.0019886i,-0.011629-0.007768i,-0.0097273-0.016272i,-0.0031345-0.017853i,0.0036568-0.010384i,0.0072128-0.0040474i,0.0054383-0.0033378i,-0.00027248-0.0030405i,-0.0024155-0.0012817i,-0.00083463-0.00069318i,0.0003542-0.0011869i,0.00070082-0.00193i,0.0010811-0.0020208i,0.00092884-0.001564i,0.00013922-0.0021174i,-0.00014983-0.0018244i,0.00075486+6.4706e-05i,0.0015371+0.00073338i,0.000759-0.00067213i,-0.00020593-0.0015196i,0.00014156-0.0012318i
0.00048255-0.0013881i,0.0010153-0.0025763i,-0.0034353-0.0025686i,-0.013113+0.0011469i,-0.020249+0.0034242i,-0.016792+0.0003347i,-0.0073508-0.0024853i,-0.0012245-0.002304i,-0.0015026-0.0011589i,-0.0018872+0.0016114i,4.5079e-05+0.0031434i,0.0013752+0.0016267i,0.0018386-0.0010398i,0.00245-0.003076i,0.002692-0.0025392i,0.0014993-0.0014815i,0.00022862-0.00067287i,0.00011769+0.00069995i,0.00070579+0.001386i,0.00094638+0.0012244i,0.00084229-8.6741e-05i,0.00074834-0.0013513i,0.0010216-0.0011026i
0.00021062+0.0035833i,0.0021684+0.0070641i,0.0042837+0.011962i,0.0056817+0.016761i,0.003863+0.020438i,-0.00097286+0.018878i,-0.0044367+0.0096161i,-0.0041721+0.0028914i,-0.0010088+0.0026532i,0.0026018+0.0024031i,0.0032654+0.0012072i,0.0013403+8.2012e-05i,0.00052718-3.4691e-05i,0.0014935+0.00041015i,0.002093+0.00096503i,0.0018146+0.0011477i,0.00082055+0.0004089i,0.00010864-8.1889e-05i,0.00027505+0.0005334i,3.8337e-05+0.00087364i,0.00014484-0.00011986i,0.00032005-0.00027218i,0.00088228+0.00025012i
-0.0011749-0.0020317i,-0.0016388-0.0050162i,0.0015539-0.0077051i,0.011877-0.0065031i,0.022826-0.0020473i,0.022181+0.0008059i,0.010091+0.0015817i,0.00030387+0.0025644i,0.00024139+0.0022197i,0.0024698+0.00030636i,0.00078881-0.001007i,-0.00094512-0.00049911i,-0.00040646+0.00024704i,0.00084633+0.00083646i,0.00078356+0.0012719i,-3.6004e-05+0.00020803i,-0.00044509-0.00013326i,-0.00088517+0.00031681i,-0.0015761-0.00013932i,-0.0015363-7.2703e-05i,-0.00081328+0.0005638i,5.5542e-05+0.00019353i,0.00044196-0.00011727i
0.0016151-0.0018714i,0.0023836-0.0019681i,0.0028768-0.0055948i,0.002704-0.015383i,0.0038298-0.024367i,0.0046849-0.02244i,0.0030866-0.011551i,0.0008204-0.0026415i,-0.00087165-0.0016025i,-0.0028087-0.0036559i,-0.0038287-0.0020415i,-0.0031108+0.00056329i,-0.0015967+0.0021831i,-0.00087983+0.0024599i,-0.00020719+0.0017343i,0.00014337+0.0008358i,0.00010142+5.0453e-05i,0.00066228-0.00038943i,0.0010143-0.0003108i,0.00033732+0.00081133i,-8.5216e-05+0.0018813i,0.00075608+0.0013752i,0.00094542+0.00062047i
-0.0025057+0.00050107i,-0.0055307+0.00066937i,-0.010618+0.0018984i,-0.016866-0.0007861i,-0.022394-0.008169i,-0.020928-0.010976i,-0.011875-0.0070428i,-0.0031854-0.003317i,-0.001175-0.0020401i,-0.0026033-0.00098949i,-0.0022709+0.00054476i,-0.0015864+0.0014334i,-0.0019118+0.0011116i,-0.0014968+0.00087674i,-0.0011828+0.00013903i,-0.001117-7.4024e-05i,-0.00077307-0.00080147i,-0.00051065-0.001458i,0.00040479-0.0013831i,0.00074748-0.0010211i,0.00028181-0.00019778i,0.00030027+0.00037149i,0.00045035+0.00032691i
0.0033901+0.0010882i,0.0048818+0.0034243i,0.0038142+0.007688i,-0.0018716+0.017573i,-0.0085522+0.026976i,-0.0088694+0.023975i,-0.0021762+0.010692i,0.0019392+0.0008367i,0.0013217+0.00026144i,0.0016384+0.0026624i,0.0023029+0.0020765i,0.0005707-6.4191e-06i,-0.00072349-0.00095241i,-0.00039567-0.00084378i,0.00068728-0.00099865i,0.0013448-0.00099295i,0.00083675-0.0010458i,0.00033942-0.00063195i,0.00064888-0.00014308i,0.00069974-0.0010034i,-0.00033199-0.0016799i,-0.0011108-0.00072264i,-0.0010662+0.00022406i
-0.0023964+0.0017187i,-0.0030921+0.0038943i,0.00064301+0.0082114i,0.011863+0.012411i,0.023205+0.015373i,0.023654+0.013156i,0.015528+0.0048028i,0.007438-0.0012786i,0.0046114-0.00272i,0.0046809-0.0027451i,0.002977-0.0024962i,0.00094791-0.0024101i,0.00040761-0.0023812i,0.00053794-0.0017917i,0.0003384-0.00099054i,0.0002754-0.00060476i,0.00042918-0.0001823i,0.00032383+0.00057283i,0.00059495+0.00075941i,0.00041238-0.00026173i,-0.00052738-0.00033247i,-0.0010713+0.00019241i,-0.00050967+0.00025935i
