-0.004832-0.00017859i,-0.0040294+0.00067612i,-0.004035+0.0029718i,-0.0037035+0.0034028i,-0.0019445+0.0041347i,-0.00042835+0.0038476i,2.1897e-05+0.0017936i,0.00042927+0.00028737i,0.001242+0.00043659i,0.0016256+0.00088988i,0.001002+0.00011627i,0.0011265-0.00051873i,0.0014065-0.0010805i,-0.00028104-0.0014891i,-0.0010317-0.0013242i,-0.00024349-0.001297i,-0.0002066-0.0011776i,-0.00030515-0.00068885i,-0.00028421-0.00045901i,2.6249e-05-0.00029591i,0.00035964-0.00021677i,8.1553e-05-0.00037408i,-0.00052902+7.2604e-06i
-0.00092461-0.001454i,-0.0022581-0.0022266i,-0.0038548-0.0025736i,-0.0042329-0.0020949i,-0.0039441-0.0010912i,-0.0034144+0.00011797i,-0.0022737+0.00039963i,-0.0015791+1.4183e-05i,-0.0020908-0.00017814i,-0.0027182-0.0010131i,-0.0029319-0.0018884i,-0.0015922-0.0016364i,-0.00050843-0.00055727i,-0.00060705-0.00064035i,-0.00038915-0.0012469i,-0.0010118-0.00064656i,-0.0011882-0.00056102i,-0.00034011-0.00046543i,-0.00036845+0.00033962i,-0.0005889+0.00067929i,0.00012324+6.5986e-05i,0.00052513+0.00011838i,0.00068132+0.00032897i
-0.0035617-0.00073855i,-0.0040907+0.00048638i,-0.0055575+0.0019019i,-0.0045332+0.0035232i,-0.0019708+0.0036379i,-0.0005671+0.0023762i,-0.0016312+0.0011001i,-0.0030338-0.00017002i,-0.0029403+9.4657e-06i,-0.0030713+0.0012278i,-0.0031287+0.001944i,-0.0026158+0.0014728i,-0.0016528+0.00045792i,-0.0015997+0.00051393i,-0.001493+0.00037656i,-0.00066925-0.00065454i,-3.4614e-05-0.0014406i,0.0001664-0.0011025i,-0.00028853-0.00047902i,-0.00015312-0.0002757i,0.00026285-0.00035722i,0.00024753-0.00022344i,-0.00036677+0.00049179i
0.0015238+0.00050363i,0.0023879-0.00020219i,0.0026816-0.0013169i,0.00075824-0.0017603i,-0.0010357-0.001482i,-0.0024273-0.0010228i,-0.0019096-0.00021368i,-0.00080329+0.00118i,-0.00054949+0.0024435i,0.00019234+0.0028716i,0.0014079+0.0024359i,0.0012819+0.0012932i,2.3302e-05+0.00058938i,-0.00019714+0.00065305i,7.899e-05+0.0015244i,0.00012753+0.0015845i,0.00041411+0.0011863i,4.3532e-05+0.00082706i,-0.00028899-0.00022509i,0.0002608-0.00047123i,0.00062396+2.7081e-06i,0.0009628+0.00016054i,0.00034578-0.00043402i
0.00063794+3.9285e-05i,0.00026128+0.00076051i,0.00012281-0.00030388i,-0.00069978-0.001201i,-0.0023936-0.00061255i,-0.0030596+0.00099292i,-0.0020383+0.0020504i,-0.00082221+0.0017368i,7.4021e-05+0.0010004i,0.0013756+0.00074263i,0.0023708+0.00076748i,0.0023631+0.00025068i,0.0017887+0.00036981i,0.001276+0.00068652i,0.0015281+0.00048479i,0.0016099+0.00016321i,0.0015295-3.374e-05i,0.0012029-0.00065296i,0.0011575-0.00049997i,0.0004273+0.00031255i,0.0002481+0.0010786i,0.000773+0.00099054i,0.00061006+0.00064461i
-0.0021347+0.00056336i,-0.0030705+0.00076951i,-0.0034388+0.0013428i,-0.0025604+0.0014075i,-0.0020885+0.00038101i,-0.0013318+0.00038606i,0.00037368-0.00031828i,0.0015949-0.00084397i,0.0020795+0.00022501i,0.0020927+0.00023761i,0.0016102-0.00060232i,0.00082089-0.00068694i,0.00099615-0.00073036i,0.0010753-0.00050636i,0.0003226-0.00018767i,-0.00020472-0.0002727i,-0.00019094-0.0003187i,-7.0466e-05-0.00054345i,-0.00025171-0.00085144i,-0.00027974-6.7313e-05i,-0.00029246+0.00091404i,-0.00053719+0.00092016i,-0.00059887+0.00058899i
-0.0010891-0.00075114i,-5.6454e-05-0.002085i,0.00035489-0.0029406i,-0.00029339-0.0022554i,-0.0012737-0.0011808i,-0.00070583-0.0010014i,-9.4774e-05-0.0013844i,-0.00026964-0.001229i,-0.00066005-0.00066889i,-0.000959-0.0010894i,-0.0012909-0.0015206i,-0.0014256-0.0012269i,-0.0012842-0.00035769i,-0.0014982-0.00036556i,-0.00096491-0.00085828i,-3.6269e-06-0.0010935i,0.00038953-0.0010514i,-9.2959e-05-0.00086991i,-0.00035063-0.00066301i,0.00057218-0.00041866i,0.0011472+0.00012536i,0.0010188+0.00048176i,0.00075461+0.00056854i
0.00047192-0.00085148i,-0.00043088+0.001362i,-0.0022056+0.0019106i,-0.0034377+0.0014536i,-0.0038199+0.00052367i,-0.0033817+0.0003427i,-0.0025982-0.00013027i,-0.0017556-0.0011406i,-0.0016162-0.0012131i,-0.0018416-0.00089172i,-0.0017392-0.00053603i,-0.0010319+0.00044268i,-0.00077398+0.0010401i,-0.00050352+0.00011825i,-0.00099711-0.00075765i,-0.00099158-0.00049255i,-0.00047754-0.0004153i,-0.00025978+0.00059608i,-9.863e-05+0.0014329i,5.3785e-05+0.00027401i,8.4295e-06-0.00087943i,-0.0007871+9.1344e-06i,-0.00077328+0.00030397i
0.0010129+0.0018665i,-0.00016499+0.00022176i,-0.00065974-2.9368e-06i,-0.0008012+9.2938e-05i,-0.001695-0.00096703i,-0.0026291-0.00073176i,-0.0030034-0.00014031i,-0.0029926+0.00023325i,-0.0016171+0.00030754i,-0.0011673+0.00017494i,-0.0015724+0.00016306i,-0.00052616-0.00025105i,0.00014763-0.00069943i,-0.00013633-3.7144e-05i,-0.00034415+0.00089001i,-0.00014113+0.0016051i,0.00039708+0.0013948i,0.00064924+0.00010593i,0.00020508-0.00084102i,-0.00077769-0.00050109i,-0.00085192-0.00029473i,-0.00020503-0.00072927i,-0.00014724-0.00055442i
-0.00049757-0.00053695i,-0.0015775-0.0007886i,-0.0010911-0.00050508i,-0.00064001+0.0010271i,-0.00088377+0.0014039i,-0.0012945+0.0010321i,-0.0014919+0.0020014i,-0.001845+0.0024404i,-0.0011068+0.0018221i,0.00061816+0.0018238i,0.0013524+0.0019633i,0.0012196+0.00097808i,0.00071544-0.00014816i,0.00092793-0.00070179i,0.0014645-0.00046114i,0.0012117+0.0001155i,0.0003963+0.00041422i,0.00031799-6.7501e-06i,0.0010919-0.00047399i,0.0013402-0.00027666i,0.00047712+0.00063698i,-0.0001164+0.0010264i,0.00023144+0.0015819i
0.0018913-0.0019813i,0.0019832-0.0020283i,0.0020431-0.0032513i,0.00064689-0.0035935i,-0.0018718-0.0024703i,-0.0019715-0.00067963i,-0.00030204+0.00013141i,-0.00020059+0.00034571i,-0.0010861+0.00030258i,-0.00050462+0.0008234i,0.00045669+0.0010904i,0.00082707+0.00053051i,0.00076049-0.00022615i,0.00095421-0.00044947i,0.0010576-3.0117e-05i,0.00089797-0.00016412i,0.00050477-0.00014929i,-0.00014872+0.0003533i,-0.00031274+1.7672e-05i,-0.0002304+0.00048852i,-7.7325e-05+0.0012246i,0.00037862+0.00055668i,0.00047368+0.0006141i
0.0015012+0.0009889i,-0.00010904+0.0013424i,-0.0019652+0.00075277i,-0.0021466+0.0010849i,-0.0015181+0.00091216i,-0.0010494+0.00054133i,-0.00049966+0.00091474i,0.00080675+0.00046511i,0.0012866+0.00048761i,0.0004531+0.00075369i,0.00021495-5.7441e-05i,-0.00010705-0.00047826i,-0.0010702-0.00063936i,-0.00058793-0.00053893i,0.00084366-0.00077914i,0.0010234-0.001071i,-3.7962e-05-0.0012738i,-0.00070478-0.001114i,-0.00023406-6.5343e-05i,-0.00016242+0.0004217i,-7.6756e-05+0.00058027i,0.00024534+0.00087202i,0.00051806+0.0010446i
-0.0035851+0.00063755i,-0.0035987+0.0018009i,-0.0029763+0.0027665i,-0.0013532+0.00182i,7.4838e-06+0.00079566i,-2.1865e-05-0.00023459i,-0.00038417-0.0014863i,0.00022692-0.0011972i,-0.0002969-6.0448e-05i,-0.0011063+6.7825e-06i,-0.00038749-0.00039274i,0.00016152-1.2561e-05i,9.9646e-05-0.00018183i,-6.186e-05-0.0005169i,-0.0012611-0.00082621i,-0.0012522-0.0007531i,-0.00017645-0.00044804i,0.00013202-0.00016813i,0.0004231+5.936e-05i,0.0008317+8.4582e-05i,5.2365e-05+0.00058329i,-0.00033741+0.00021806i,0.00033307-3.0597e-05i
0.0022127+0.00024556i,0.002923-0.0014391i,0.0030883-0.0014435i,0.0013215-0.000894i,-0.00032373-0.00083263i,-0.0013567-0.00053223i,-0.0018993+0.00057717i,-0.0019762+0.00030665i,-0.00096649-0.00026812i,-0.00017594-0.00059833i,-0.00056548-0.00045099i,-0.00017116-0.00011887i,0.00044536+0.00035068i,5.8279e-05+0.00063549i,-0.00037535+0.00091977i,-0.00057437+0.0010005i,-0.00045035+0.00064194i,-0.00040925+0.00011656i,-0.00029025+0.00017455i,-0.00035489+0.00031516i,0.00014032-0.0002044i,0.0011679-0.00085812i,0.00091031-0.00034578i
0.00064952-0.00089527i,-0.00044743-9.8992e-05i,-0.0016963+0.00043181i,-0.0027467+0.00075171i,-0.0032935+0.0013805i,-0.0026383+0.0011923i,-0.0016831+0.00067472i,-0.0012527+0.00046975i,-0.00084685+0.00030474i,-0.00039825+0.00015974i,-0.0002453-5.4457e-05i,0.00064058-0.0011269i,0.0017958-0.0016744i,0.0014683-0.00047078i,0.00071248+0.00036706i,0.00079245+0.00043762i,0.00029329+0.00012881i,0.00069618-0.00011007i,0.0017951-0.00016197i,0.00068443-0.00049016i,-0.00038422-0.00017487i,-0.00016147+0.00051395i,-0.00037894+0.00097805i
0.0009159-0.00024598i,0.00047705-0.00046778i,0.00020238-8.4352e-05i,-0.00052027-0.00022102i,-0.0015379-0.00067113i,-0.0014437-0.00036486i,-0.00082055+0.00092265i,-0.000155+0.0012685i,-7.8589e-05+0.00066448i,-0.00061923+0.0003072i,-0.00035804+0.00011559i,0.00025031-9.263e-05i,0.00060116-0.00063233i,0.0007026-0.00037761i,0.0010566+0.00027678i,0.00056599+0.00097203i,-0.00031204+0.00077272i,-0.00090999-0.00063887i,-0.00041545-0.00087969i,0.0001194+0.00026222i,-0.00063621+0.00063075i,-0.0010956+0.00032335i,-0.00067177+0.00082011i
-0.0030656+5.374e-05i,-0.0027059+0.00029402i,-0.0031463+0.0015883i,-0.0023334+0.0026033i,-0.00017522+0.0021632i,0.00079588+0.0015991i,0.00073528+0.0011336i,0.00098656+0.0012396i,-0.00012765+0.0012584i,-0.00094492+0.00080466i,-0.00090277+0.00092073i,-0.00015794+0.00088561i,3.8289e-05+0.00017081i,-0.00041144-0.00018342i,-0.00051898-0.00049742i,8.1283e-05-0.0007996i,-0.00021967-0.00059066i,-0.0005472-0.00039403i,-0.00049147+0.00041197i,-0.00041682+0.00086215i,-0.00029105+0.0007204i,0.00043254+0.00034129i,0.00043235+0.00019106i
-0.0019403-0.00088891i,-0.0019845+0.00021625i,-0.0029672+0.00091653i,-0.0037312+0.0014638i,-0.0019249+0.0021928i,-8.6256e-06+0.00060774i,0.00095546-0.0021685i,0.001607-0.001943i,0.0010453-0.0003234i,0.00018265-0.00050544i,0.00030698-0.00094134i,-0.00026062-0.00034836i,-0.0013191+0.00048294i,-0.0015971+0.0005381i,-0.0014481-0.00036341i,-0.0014421-0.00054026i,-0.00091512-8.6956e-05i,-0.00042277+0.00014346i,-0.00071965-0.00014733i,-0.00046873-0.00042669i,0.00027131-0.00059467i,0.00059714-0.00099212i,0.00073772-0.00071404i
0.00015023+0.00062722i,0.00029733+0.00015933i,9.5524e-05-0.00074335i,-0.0002849+0.00028058i,-0.0015733+0.00068753i,-0.0023175-7.5439e-05i,-0.0022146-0.0016315i,-0.0017375-0.0028939i,-0.00051433-0.0022595i,0.00080817-0.00073983i,0.0010143-0.00021575i,0.00014965+0.00024221i,-0.00016247+0.00046946i,0.0001638+0.00039633i,-0.00033529+0.00019036i,-0.0010873+1.176e-05i,-0.00067224+1.5632e-05i,0.00053+0.00082366i,0.00096922+0.00069839i,0.00069522-0.00049838i,0.00071862-1.6281e-05i,0.00059992+0.00087167i,0.00022229+0.00079546i
0.00067446+0.00017705i,0.00054988+2.8724e-05i,0.00087204+0.00016055i,0.00039038-1.5643e-05i,-0.0016513+0.00065179i,-0.0032787+0.0016749i,-0.0043968+0.0013325i,-0.0040307-0.00015022i,-0.0015588-0.00089695i,0.0001264-0.00048372i,-5.981e-06+0.0001752i,0.00015902+0.00025346i,0.00012715-0.00048718i,-3.7521e-05-0.00058685i,0.00031809-0.00011641i,0.00066426+0.0012568i,-4.7673e-08+0.0020517i,-2.929e-05+0.0013438i,0.0011046+0.00080142i,0.00085971+0.00017298i,-0.00024226-0.00037361i,-0.00033149-0.00052878i,-4.9989e-05-0.00040812i
-0.001122+0.0013827i,-0.0012919+0.0012327i,-0.0017549+0.00081039i,-0.0023042+7.9041e-05i,-0.0017099+0.00095578i,-0.0015963+0.0021069i,-0.0022868+0.0030616i,-0.0023768+0.0028555i,-0.0021474+0.0021184i,-0.0016142+0.0014475i,-0.0005953+0.00087574i,-0.00029885+0.00043007i,1.5513e-05-0.0003634i,-0.00027793-0.00064634i,-0.0006509-0.00086943i,0.00080124-0.00077036i,0.0017543+2.2998e-05i,0.001521+0.00031383i,0.00083801+0.00026298i,-4.8105e-05+0.00052481i,-0.00038784+0.00070438i,4.886e-05+0.00030209i,0.0005163+0.00038963i
0.00056975+0.0027791i,0.00025016+0.0022246i,0.0005374+0.001846i,0.00086674+0.00024664i,0.0011304-0.0014009i,0.0011922-0.00086704i,0.00066746+0.0013393i,0.00018165+0.002792i,-0.00071104+0.0025334i,-0.0007+0.0014612i,0.00029789+0.00055678i,0.00036718+5.0826e-05i,-0.00040057+0.00030755i,-0.00060758+0.00063546i,0.00022195-0.00032493i,0.0014745-0.0011888i,0.0017697-0.0015694i,0.001133-0.0011367i,0.00044333-0.00097234i,9.6541e-05-0.0011189i,-0.00058291-0.00055529i,-0.0013339-0.00014416i,-0.00059516+0.00046636i
0.0021279-0.0017179i,0.0018224-0.0015628i,0.0015737-0.0017698i,0.0010264-0.0022377i,0.00043328-0.0019638i,0.0012977-0.0016555i,0.0032553-0.0013807i,0.0044617-0.00042473i,0.0036666+0.0003557i,0.0017601+0.00020353i,0.00053824+0.00039635i,-0.0001944+0.00082039i,-0.00056205+0.00098148i,-0.0002661+0.0013018i,-3.6336e-06+0.0010501i,-0.00069195+0.00056036i,-0.0017375-0.00015028i,-0.0018666-0.00091786i,-0.0008087-0.00088958i,0.0001148-0.00057453i,-9.711e-05-0.00013335i,-0.00015387+0.00041807i,0.00024943+0.00044431i
7.262e-06+0.0023537i,0.00041929+0.0015208i,0.00094257+0.00093602i,0.00014508-0.00050987i,-0.00087588-0.0023034i,-0.0020708-0.0035257i,-0.001155-0.0046499i,0.0014053-0.0042948i,0.0027214-0.00209i,0.0021728-0.00097314i,0.00060672-0.0011938i,-0.0002442-0.0010465i,4.5602e-05-0.00086627i,-0.00053214-0.00010693i,-0.0010343+0.0011724i,-0.00086093+0.0013938i,-0.0012153+0.0014317i,-0.0011801+0.0016044i,-0.00079884+0.0012778i,-0.00023861+0.0011924i,4.2078e-05+0.00050582i,-0.0004683-0.00034102i,-7.6236e-06-0.00010521i
-0.00076178-0.0014467i,-0.001717-0.0014586i,-0.0017893-0.0018314i,-0.001684-0.00051976i,-0.0029167+0.00080686i,-0.0040289-0.00025801i,-0.0036533-0.0027215i,-0.0021691-0.0043254i,-0.0017021-0.0039118i,-0.0016046-0.0020889i,-0.0010603-0.00096817i,7.311e-05-0.00047329i,0.00071681-0.00033142i,0.00073336-0.00050886i,0.0012839+0.00020081i,0.0016855+0.00043612i,0.00077499+0.00062807i,0.00031657+0.0013161i,-0.00016663+0.001039i,2.8029e-05+0.00013844i,0.0002847-0.00010516i,-0.00038082+8.9818e-05i,-0.00024684-0.00037612i
-0.0021785-0.0017205i,-0.00297-0.0023612i,-0.004032-0.0015473i,-0.0048667-0.00059029i,-0.0031361+0.001141i,-0.0018445+0.0024076i,-0.0042304+0.0017938i,-0.0062786+0.00026118i,-0.0058963-0.00038016i,-0.0040512-0.00023544i,-0.0020687+0.00045583i,-0.00074903+0.00031365i,0.00049955-0.0007969i,0.00050195-0.00087196i,0.0001793-0.0016794i,0.0006479-0.0018527i,0.0013326-0.0010517i,0.0015519-0.00032972i,0.00095321+7.1912e-05i,0.0010124-0.00048428i,0.00097358-0.00031912i,-0.00035383+0.00022065i,-0.001344+0.00015386i
-0.0015379+0.0019382i,-0.00035441+0.002806i,0.00017673+0.0039734i,0.00039131+0.0029511i,0.00054002+0.0014695i,-0.00042783+0.0019771i,-0.0028749+0.0045155i,-0.005279+0.0055148i,-0.0047254+0.0038444i,-0.0025088+0.002818i,-0.0016395+0.0025393i,-0.0010395+0.0013362i,-0.00042425-0.00031786i,-0.0009521-0.0010833i,-0.0017876-0.0011544i,-0.0015754-0.0010402i,-0.00066849-0.0015818i,0.00062865-0.0018664i,0.0007785-0.0011734i,0.00041985-0.0001677i,0.00038268+0.00067727i,-0.00050943+0.00049025i,-0.00049518-9.435e-05i
-0.00035739+0.0021618i,-0.0010797+0.0010192i,-0.0015246+0.0012724i,-0.00022837+0.0012844i,0.00079277+0.00023005i,0.00072069+0.0011918i,0.0017671+0.0045727i,0.0027236+0.0067125i,0.0027171+0.0062853i,0.002543+0.0046563i,0.0024846+0.0034594i,0.0013686+0.0021915i,0.0005424+0.0012903i,5.928e-05+0.0015728i,-0.00038524+0.00087907i,-0.0012761+0.00027754i,-0.0016497+0.00021591i,-0.0012589-0.00036277i,-0.00066519-0.00038627i,-0.00034607+0.00034348i,-0.00036883+0.0007219i,-0.00055331+0.00066459i,-0.00096414+0.00011979i
-0.00093899-0.00033066i,-0.00060924-0.00050034i,-0.00022427-0.0013703i,-0.000376-0.0014088i,2.2695e-05-0.0015609i,0.0018191-0.0021148i,0.0049618-0.001645i,0.007074+0.0003632i,0.0061167+0.0015402i,0.0043964+0.0017814i,0.003151+0.0011594i,0.0019842+0.00016438i,0.0014746+0.00091936i,0.0012742+0.001576i,0.00071717+0.0014384i,0.00060009+0.0023212i,0.00029461+0.0024784i,-0.00028717+0.0013957i,-0.00094044+0.00085416i,-0.00098035+0.0004299i,-0.00071806+3.554e-05i,-0.00040507-0.00015249i,0.00046963-0.00015247i
0.00010398-0.00023269i,0.00087139-0.00073387i,8.2297e-06-0.0013585i,-0.0028276-0.0016931i,-0.0041288-0.0016029i,-0.0026224-0.0025322i,0.00094145-0.0051486i,0.0033592-0.0069816i,0.0036407-0.0060686i,0.002585-0.0045069i,0.0013945-0.0037087i,0.00061178-0.0026495i,0.00087992-0.001321i,0.0012952-0.00010802i,0.0012509+0.00051202i,0.00084917+0.001063i,0.00054268+0.0013413i,0.0003273+0.0013989i,2.064e-05+0.0010571i,0.00036387+0.00023264i,0.00044658-0.00052119i,-0.0002027-0.00084176i,-0.00038014-0.00083152i
0.0024868-0.00037972i,5.9906e-05-0.00098111i,-0.0010752-0.001934i,-0.0021884-0.0025236i,-0.0041874-0.0025109i,-0.0068534-0.0026304i,-0.0082217-0.0045759i,-0.006708-0.006955i,-0.0050889-0.0069286i,-0.004141-0.0052388i,-0.0030814-0.0038557i,-0.002005-0.0020448i,-0.0013019-0.0012689i,-0.00053683-0.0018559i,2.596e-05-0.0017573i,0.00044948-0.0011428i,0.0009878-0.0007568i,0.0017059-0.00013882i,0.0015876+0.0003521i,0.00069038+8.1163e-05i,-0.00029359-0.0001847i,-0.00063962-0.00081681i,-0.00040315-0.001479i
0.0020724-0.00080198i,-0.00047371+8.6789e-06i,-0.0014617+0.00094267i,-0.0020008+0.0016526i,-0.0027366+0.0022119i,-0.0042329+0.0032093i,-0.0067395+0.003945i,-0.0084282+0.00299i,-0.0075159+0.0011509i,-0.0052678-0.00011821i,-0.0032428-0.00044996i,-0.0022544-0.00034636i,-0.0020122-0.0015016i,-0.0017161-0.0021619i,-0.0013633-0.0017368i,-0.00058395-0.0016538i,0.00040661-0.001029i,0.00057087-0.0011123i,-0.00011036-0.0015784i,-0.00015655-0.00072933i,-5.3296e-05+0.00027192i,-0.00023206+0.00054562i,0.00025097+0.00026637i
0.00094678-0.00038412i,0.00028805-0.00071783i,-0.00043297-0.0010075i,-0.00059664-0.00060066i,-0.0011007+0.0006515i,-0.0016153+0.0027442i,-0.0020133+0.0054398i,-0.0034432+0.0075234i,-0.0043604+0.0070537i,-0.0038143+0.0056975i,-0.0027479+0.0044366i,-0.0018586+0.002523i,-0.0019836+0.0012415i,-0.0022977+0.00054837i,-0.0025512+0.00018359i,-0.0021351+0.000361i,-0.001426+7.2606e-05i,-0.00077802-0.00079109i,-0.00060075-0.00082861i,-0.00058965-0.00015346i,-8.5489e-05+0.00099933i,0.00021054+0.0013339i,-0.00024447+0.00090957i
-0.00059741-0.00023873i,7.0833e-05-0.0012551i,0.00058904-0.0016564i,0.00057161-0.0013037i,0.0012379-0.00095798i,0.0030278-0.00057272i,0.0052279+0.0018046i,0.0054958+0.0049761i,0.0036208+0.0064411i,0.0031433+0.0060563i,0.0031009+0.0041738i,0.0021055+0.0028197i,0.00077464+0.0023248i,-3.6913e-05+0.0026503i,0.00012624+0.0027685i,-0.00024328+0.0025385i,-0.0012799+0.0014398i,-0.0016705+0.0002812i,-0.00031444-0.00016322i,0.00053599+0.00050257i,0.00021461+0.00035197i,0.00080483-0.00037229i,0.0011071+0.00013275i
0.00051231-0.00045324i,0.00029651-0.0006872i,-0.0011469-0.0010844i,-0.0025519-0.0012034i,-0.002846-0.0013625i,-0.00082192-0.0020541i,0.0032097-0.0026314i,0.0068518-0.0018504i,0.007667-0.00090497i,0.0062888-0.00054141i,0.0048546-0.00075942i,0.0030919-0.00043149i,0.0024038+0.00070949i,0.0026715+0.0013167i,0.0019981+0.0011547i,0.0011104+0.0010609i,0.00038028+0.00069927i,0.00044888+0.00044017i,0.0014118+0.00046799i,0.0012013+0.00058004i,0.00024607-0.00026846i,0.0001842-0.0012862i,0.0002179-0.00079223i
0.0013073-0.00099026i,-0.00023696-0.00022543i,-0.0014471-0.00046628i,-0.002738+2.1536e-05i,-0.0043584+0.00065018i,-0.004259-0.00055694i,-0.0011626-0.0041288i,0.0022632-0.0068208i,0.0033944-0.0073087i,0.0020084-0.0068546i,0.00010822-0.0054438i,0.00031488-0.0032432i,0.00092494-0.0020304i,0.0014826-0.0010571i,0.0024772-0.00072122i,0.0025603-0.00079107i,0.002138-0.00022444i,0.001627-0.00025181i,0.0016869-0.00059997i,0.0018247-0.00078379i,0.00037899-0.0012296i,-0.00080614-0.0013887i,-0.00047854-0.0010946i
-0.004033-0.0019756i,-0.0055192-0.00030808i,-0.0054338+0.0012109i,-0.0048521+0.0029635i,-0.0040472+0.0034731i,-0.0029725+0.0022142i,-0.0047443-0.00088522i,-0.0068722-0.0055088i,-0.0069849-0.0075178i,-0.0058215-0.0051752i,-0.003409-0.002456i,-0.001167-0.0016125i,0.00020769-0.0024286i,0.00045918-0.0030481i,-1.389e-05-0.0025808i,-0.00012198-0.0013494i,-5.9269e-05-0.00058793i,0.00075726-0.00090095i,0.00053413-0.0012808i,-1.1417e-05-0.0012379i,0.00037738-0.00049054i,0.00028081+0.00048691i,-0.00088533+0.00054746i
-0.0042076-0.0013962i,-0.0033834-0.00080089i,-0.0025537+0.00077167i,-0.0020517+0.0020376i,-0.0021594+0.0024648i,-0.002927+0.0027997i,-0.0052462+0.0027728i,-0.0091344+0.0021386i,-0.010167+0.0019929i,-0.0074998+0.0029931i,-0.0044259+0.0029832i,-0.0024178+0.001324i,-0.002041-0.0002935i,-0.0033313-0.0007038i,-0.0033576-0.00070499i,-0.0020291-0.0006747i,-0.0011918-0.00036194i,-0.00062302-0.00040271i,-0.00065797-0.00024801i,-0.0006529+0.00036455i,-0.00029618+0.00083892i,-4.6181e-05+0.0010226i,0.00025313+0.00061254i
0.0010015-0.00012039i,0.0005839-0.00054956i,0.00013061+0.00025935i,-0.0012622+0.0010624i,-0.0017497+0.001167i,-0.00012609+0.002624i,0.00033903+0.0057111i,-0.0017077+0.0095101i,-0.0031538+0.010715i,-0.0018143+0.0089058i,-0.00064303+0.0058769i,-0.0011415+0.0033717i,-0.0017563+0.0021283i,-0.0023741+0.0022267i,-0.0027782+0.0024161i,-0.0020742+0.0017014i,-0.0006467+0.00068118i,-0.00052627-0.00024446i,-0.0010757-0.00039338i,-0.00043615+0.00069968i,-8.047e-05+0.0014865i,-0.00012796+0.00071574i,-0.00058833+0.00073007i
-0.0001427+0.0019851i,-0.00090126+0.0023724i,-0.00096734+0.0019439i,-0.0006523+0.00065046i,-0.00070702-0.00048673i,-0.00018567+0.00036489i,0.0028137+0.0025852i,0.0062934+0.0056076i,0.0069477+0.006489i,0.0062695+0.0050057i,0.0046692+0.0029953i,0.0022476+0.0023277i,0.00080313+0.0028819i,0.00045929+0.0027044i,0.00073662+0.0025257i,0.00098452+0.0020746i,0.0011317+0.0010616i,0.00055781+0.00073172i,-7.7391e-05+0.0012114i,0.00030336+0.00077158i,0.00010956-0.00043264i,-7.8151e-06-0.0011968i,-5.2068e-05-0.0014796i
-0.0019393-0.002141i,-0.0016455-0.0024501i,-0.0021822-0.0020161i,-0.0027001-0.00068694i,-0.0016506-0.00067589i,0.00062235-0.0019706i,0.0034578-0.0033392i,0.007225-0.0033126i,0.0087462-0.0025711i,0.0070541-0.0025756i,0.0053191-0.0024295i,0.0041845-0.0015861i,0.0033282-0.0010201i,0.0031307-0.00073313i,0.0027158-0.00066897i,0.0017649-0.00084555i,0.0015474-0.00087495i,0.0011779-0.00047733i,0.00095034-0.00021088i,0.0005227-0.00038969i,-0.00047137-0.00017097i,-0.001159+0.00081907i,-0.0011796+0.00086355i
0.00014347-0.00056826i,0.001212-0.0018686i,0.00078976-0.0022583i,-0.0013378-0.0016629i,-0.0027156-0.0005237i,-0.0027429-0.0015868i,-0.0020791-0.0050586i,-0.00042527-0.0085283i,0.00074774-0.0095136i,0.00069782-0.0080921i,0.00049297-0.0057645i,0.0012721-0.0032717i,0.0021334-0.0019396i,0.0018353-0.0026422i,0.0010081-0.0025874i,0.0010822-0.0018162i,8.5281e-05-0.0014752i,-0.00074296-0.00042256i,0.00049338+0.00029611i,0.00026154+0.00052532i,-0.0012573+0.0010423i,-0.0011147+0.00089652i,-0.00059693+0.00042327i
0.0025736+0.00082337i,0.00097743+0.0021955i,0.00066389+0.0029653i,-0.0010187+0.0022333i,-0.0033396+0.0011313i,-0.005212+0.0006346i,-0.0081807-0.0016538i,-0.010306-0.0046639i,-0.0099682-0.0049747i,-0.0083975-0.0028796i,-0.0057372-0.0011868i,-0.0022919-0.0006604i,-0.00084755-0.0013465i,-0.00086038-0.0021693i,-0.00095663-0.0019905i,-0.0014058-0.00044938i,-0.00090709+0.0012548i,0.00014086+0.0011183i,0.00018942+0.0005888i,-0.00062642+0.00073854i,-0.0011671+0.0010263i,-0.00079085+0.0014537i,0.00053313+0.0005082i
-0.00013129-0.00068853i,-0.0024027-0.001155i,-0.0044053-0.0015067i,-0.0045272-0.00010589i,-0.0035524+0.0010669i,-0.0033673+0.0026719i,-0.004509+0.0057479i,-0.0080462+0.0071898i,-0.0099755+0.0060818i,-0.0081802+0.0049293i,-0.0056999+0.0038103i,-0.0037875+0.0017082i,-0.0032118-0.00050552i,-0.0029823-0.0006734i,-0.0022538+0.00025873i,-0.0012944+0.00059469i,-0.00036089+0.0009312i,-0.00018061+0.00064677i,0.000147+0.00052236i,0.00044241+0.0013346i,0.00049293+0.001874i,0.00013594+0.0014418i,-0.00029518+0.00041281i
