-0.00095115+0.00056655i,-0.0023973-0.00049348i,-0.0022451-0.0011459i,-0.0020371-8.5606e-05i,-0.0015802+0.00099972i,-0.0018049+0.0025405i,-0.0011278+0.002547i,0.00056898+0.0015128i,0.0009494+0.00070479i,0.00044638+0.00024963i,0.0001859-0.00061744i,-0.00021401-0.0010353i,0.0005805-0.00043504i,0.0011534-0.00063388i,-0.00014224-0.00088454i,-0.00075731-5.8562e-05i,-0.00038011+4.0797e-05i,-0.00030628-0.000138i,-0.00015707+0.00017102i,0.00019789+0.0008825i,0.00029833+0.00086872i,3.9786e-05+0.0001374i,0.00011311+8.521e-05i
-0.00070606-0.0022807i,-0.001796-0.0027763i,-0.0033967-0.0022048i,-0.0025064-3.6841e-05i,-0.00079238+0.0008349i,-0.00037435-0.00022478i,0.00018979-0.00054055i,3.3925e-05+4.6443e-05i,-0.0012278-6.805e-05i,-0.0013392-0.00072508i,-0.00076915-0.00029058i,0.00022093-9.7476e-05i,0.00070045+8.6268e-05i,0.00012955+0.0013865i,-0.00040775+0.0021492i,-0.0017972+0.0016361i,-0.0029661+0.00055594i,-0.0026618-7.2528e-05i,-0.0020894-0.00037891i,-0.0012629-0.00054201i,-0.0005439-0.00074021i,-0.00088022+0.00011217i,-9.1264e-05+0.001048i
0.0016139-0.005469i,0.0019345-0.0075592i,0.0012581-0.0054969i,0.00034355-0.0026713i,-0.00034817-0.00049003i,-0.0013987+0.00068647i,-0.0023377+0.0015541i,-0.0016377+0.0014739i,-0.00030665+0.00014729i,-0.00030044-0.00032229i,-0.0001385-0.00079652i,0.00050045-0.0021777i,0.00017296-0.0025042i,-0.00092786-0.0015223i,-0.002071-5.5795e-05i,-0.0021264+0.0013611i,-0.0016948+0.0019526i,-0.00083829+0.0010191i,-0.00017078+4.893e-05i,-0.00038448-0.00039337i,-9.8953e-05-0.00063167i,0.0001372-0.0005423i,-5.9141e-05-0.0001421i
0.0011257-0.0015387i,0.0017444-0.0018417i,0.0012746-0.00069081i,0.0021233+0.00051889i,0.002904+0.0010684i,0.0015393+0.0006987i,-0.00027045+0.0010233i,-0.00076827+0.0011263i,-0.00016768+0.00085278i,0.00082683+0.00063621i,0.0011697-0.00030733i,0.0017546-0.0016226i,0.001339-0.0020642i,-0.00069367-0.0020996i,-0.0018126-0.0015428i,-0.0025244-0.0010762i,-0.0018829-0.0012807i,-0.00074711-0.0016824i,-0.00041071-0.0017644i,-0.00012525-0.0014893i,5.1507e-05-0.0011517i,-0.00066637-0.00045035i,-0.00090115+0.00019004i
0.0028773-0.0010199i,0.004196-0.0022954i,0.0028882-0.0024366i,0.0009695-0.00032886i,-0.00023874+0.0013409i,-0.0012731+0.0013032i,-0.0016428+0.00094714i,-0.00057263+0.00079569i,6.1917e-05+0.00050931i,0.00045106-0.00014335i,0.0012301-0.00075869i,0.0025107-0.00071665i,0.0021489-0.0010642i,0.00056229-0.0010875i,-0.0002853-0.00069751i,-0.001675-0.0015219i,-0.0018693-0.0027403i,-0.00083169-0.0022148i,-0.00059918-0.0017927i,-0.00016243-0.0016269i,0.00060959-0.000711i,0.00071338-0.00056607i,0.00016391+0.00022909i
0.0046152-0.0033434i,0.0040531-0.003672i,0.0024143-0.0015524i,2.6939e-05+0.0003648i,-0.001115+0.00052174i,-0.00099552+0.0007473i,-0.0015121+0.0011607i,-0.0013578+0.00044514i,0.00020659-0.0006446i,0.00099472-0.0005823i,0.0013176+0.00021075i,0.0021403+0.00023648i,0.0022826-0.00029535i,0.0013837-0.00039194i,9.0602e-05-0.0011097i,-0.0008661-0.0023434i,-0.00089342-0.0023583i,-0.00020675-0.0011648i,0.00076041-0.0001411i,0.00090346-0.00011265i,0.00026707-0.00084998i,1.9044e-05-0.0007235i,-0.00042745+0.00029067i
0.0029795-0.00057942i,0.0021684+0.0012323i,0.0011502+0.00079832i,-0.00031778+0.00027112i,-0.0014211+0.00071746i,-0.0016742+0.00073042i,-0.0020457+0.00087877i,-0.0021883+0.0016925i,-0.0014098+0.0022374i,0.000209+0.0023902i,0.0012667+0.0032172i,0.00081963+0.0036813i,0.00019753+0.0014231i,-0.00011358-0.0013497i,-0.0010587-0.0015451i,-0.0012378-0.0021098i,-0.00014695-0.0030703i,0.0010679-0.0026128i,0.0015693-0.0018295i,0.0010579-0.0012396i,1.2808e-06-0.00013096i,-0.00081482+0.00028959i,-0.00059327+0.00065302i
0.0015836+3.4284e-05i,0.0012321-0.0011436i,-0.00017829-0.0016106i,-0.0005179-0.00055253i,-0.0006224+0.00031842i,-0.00161+0.0002159i,-0.00167+9.0586e-05i,-0.00094497+0.00053835i,0.00044716+0.00032282i,0.0014934+0.00060816i,0.0020948+0.001819i,0.0023172+0.0024734i,0.0021697+0.0019292i,0.0015866+2.2305e-05i,0.0011339-0.0021782i,0.001424-0.0029972i,0.0022838-0.0025311i,0.0016827-0.0009967i,0.00053115-0.00039752i,-3.2532e-05-0.00062572i,-0.00012128-0.00047018i,0.00025046+0.00018261i,0.00021423+0.00055504i
0.0034752-0.0012701i,0.0049039-0.0017573i,0.0048016-0.002734i,0.0030363-0.0021105i,0.00079133-0.0003729i,-0.0010679-0.00012654i,-0.0019092-0.00052329i,-0.0013611-0.00061067i,-0.00014529-0.00048781i,0.00041253+0.00054578i,0.00040876+0.0024821i,0.00031692+0.0029521i,0.00013767+0.0020296i,0.00080731-0.00031962i,0.001902-0.0021061i,0.002061-0.0012905i,0.0026084-0.00059523i,0.0027903-0.00039159i,0.001507+0.00016232i,0.00069657+4.2638e-05i,0.00079962-0.00048383i,0.00085551-0.0001542i,0.00042296+0.00025568i
-0.0014194+0.0010571i,-0.0011517+0.0028513i,9.4973e-05+0.0042371i,0.00054028+0.003975i,-0.0004535+0.0023082i,-0.00089635+0.0010711i,-0.00077317+0.0011626i,-0.00037511+0.0013061i,-0.00059196+0.0012847i,-0.0017468+0.0015015i,-0.001737+0.0020161i,-0.00088725+0.0018422i,-0.00038934+0.0010746i,7.9761e-05+0.00028645i,0.00088401-0.00074353i,0.0021847-0.0013367i,0.002652-0.00033416i,0.0019718+0.00059463i,0.0019133+0.00044945i,0.0011432-0.00011728i,0.00048844-0.00010224i,0.00023277+7.2435e-06i,-0.00050581-0.0004928i
0.0014878+6.0163e-05i,-4.1101e-05+0.00046373i,-0.00073389+3.5224e-05i,-0.0011545+0.00087821i,-0.0016122+0.00060825i,-0.0025563-2.732e-05i,-0.0022114+0.00055461i,-0.0010401+0.0011812i,-0.00026556+0.00097437i,-0.0004176+0.001357i,-0.0012737+0.0024021i,-0.0011417+0.0022698i,-0.0010356+0.0026806i,-0.00056252+0.0027109i,0.00045791+0.0021538i,0.0010055+0.0021107i,0.0011091+0.00093715i,0.0010919+0.0007675i,0.00095701+0.0009811i,0.00081448+0.00016324i,0.0003198-0.00024941i,-0.00024647-0.00018596i,-0.00079484-0.00038604i
0.0033882-0.0059957i,0.0019357-0.0085625i,0.00024462-0.0087563i,-0.0014901-0.005208i,-0.0017932-0.0017324i,-0.0024781-0.0003044i,-0.0021671+0.00028052i,-0.00069409+0.00052617i,-0.00049387+0.001003i,-0.0011833+0.0009842i,-0.0020729+0.00034918i,-0.0025816+7.8354e-05i,-0.0019068+1.8392e-05i,-0.00042468+0.00072448i,0.0010648+0.0022216i,0.0015616+0.00308i,0.0019708+0.0037738i,0.0023938+0.0036582i,0.0021504+0.0018626i,0.001345+0.00053486i,0.00067078-3.3075e-05i,0.00056627-8.9424e-05i,0.00052981-0.00010904i
0.0028219-0.0033877i,0.0039813-0.0039739i,0.0047773-0.0019972i,0.0032516-0.00070326i,0.00051536+0.00016483i,-0.00092445+0.0012349i,-0.00094514+0.00065248i,-0.00057661-0.0003037i,-0.00054926-0.00076624i,-0.0013381-0.00095365i,-0.001781-0.00047009i,-0.0023314-0.00027604i,-0.0017747-0.000493i,-0.00079188+0.00077441i,-0.00040889+0.0020485i,-0.00013577+0.0024165i,0.00031612+0.0029977i,0.00059944+0.0022124i,0.00084241+0.00092265i,0.0012463+0.00078429i,0.00052162-0.00017753i,-0.00011318-0.0007875i,-0.00028034-0.00047035i
-0.00016549+5.1563e-05i,-0.0014187+0.0021811i,-0.0017238+0.0051578i,-0.0014033+0.0051459i,-0.00047765+0.0036422i,6.4832e-05+0.0021601i,-0.00050288+0.0017776i,-0.00098526+0.001833i,-0.00097544+0.0014009i,-0.00074123+0.0010064i,-0.00096291+0.00032121i,-0.0010703-0.00093201i,-0.0016777-0.00054655i,-0.0014633+0.0016126i,-0.00046769+0.0034585i,-0.00057479+0.003776i,-0.00034982+0.0028941i,-0.00011907+0.0024559i,5.1607e-05+0.001854i,0.0006274+0.00099675i,0.00030949+0.00082456i,-0.0003189+0.00021052i,-0.00080724-0.00040415i
-1.5591e-05-0.0028763i,-0.0013399-0.004908i,-0.0035552-0.0030557i,-0.0034934+2.1986e-05i,-0.0023475+0.00069899i,-0.0026684-0.00037451i,-0.0027383-0.00045036i,-0.0015754+0.00034019i,-0.00033807+0.00043433i,0.0001108-7.6134e-05i,0.00017661-0.0010595i,-3.8535e-05-0.0014209i,-0.00051942-0.00037798i,-0.00092016+0.00021592i,-0.00061401+0.00046689i,-0.0015895+0.0021615i,-0.0026558+0.0031265i,-0.0025336+0.002726i,-0.0020467+0.0019418i,-0.0018505+0.0015975i,-0.0014664+0.0015306i,-0.0010369+0.00059372i,-0.00066637-0.00042017i
0.0040277-0.00094003i,0.0070491-0.0037161i,0.0064322-0.0043455i,0.0033195-0.0032932i,0.00071332-0.0017301i,-0.00069613-0.00060879i,-0.0014308+0.0004991i,-0.0020962+0.0010197i,-0.0022237+0.00057063i,-0.00074217-0.00050618i,0.0011233-0.0017829i,0.00024128-0.0023057i,-0.0013654-0.0015309i,-0.0022167-0.00063846i,-0.003038-0.00024635i,-0.003941+0.00020051i,-0.0037111+0.00089784i,-0.0025432+0.0011248i,-0.001084+0.00056913i,-0.00042467+0.00013687i,-0.00014633+0.00010543i,-0.00022028-0.00066254i,-0.0003056-0.0015449i
0.0026147+0.0045596i,0.0039428+0.0059499i,0.0045544+0.0054559i,0.0030778+0.004296i,0.00062191+0.0028606i,-0.00049382+0.002215i,-0.0012225+0.0015246i,-0.001113+0.0011775i,-0.0002906+0.0011808i,0.00053801+0.00027011i,0.00092315-0.0013984i,0.0014001-0.0021259i,0.0012551-0.0017236i,-0.00061951-0.00065902i,-0.0023982-0.00048008i,-0.0031034-0.00067567i,-0.003331-0.00020932i,-0.0034161+0.00031152i,-0.0025439+0.00043589i,-0.0017367+0.00060469i,-0.00074596+0.00029052i,0.00026978-0.0004595i,0.00046074-0.0011316i
0.0030777+0.0013804i,0.00075883-3.1447e-06i,-0.001801-0.0014104i,-0.0026474-0.0009473i,-0.0027538-0.00020734i,-0.0031941-4.1458e-05i,-0.002237+0.00036224i,-0.00012523+0.00092165i,7.445e-05+0.00065204i,0.00077091+0.00024851i,0.0022043-0.00029858i,0.001907-0.00071318i,-3.419e-05-0.00070741i,-0.0017526-0.00091307i,-0.0025444-0.00092721i,-0.0036188-0.0011836i,-0.0043312-0.0014333i,-0.0036851-0.0012391i,-0.0016072-0.00043051i,7.7431e-05+0.00033938i,0.00011904+0.00055305i,-9.8645e-05+0.00023137i,0.00044645+3.804e-05i
0.0021645-0.0019219i,0.0023012-0.0036829i,0.001225-0.0044182i,-0.00089227-0.0024986i,-0.001783-0.0014983i,-0.0011714-0.0016179i,-0.00084789-0.00058048i,-0.00054097+0.00042228i,9.4271e-05+0.0005509i,0.0011894+0.0014664i,0.0021563+0.0020726i,0.0012139+0.00099921i,0.00017015-0.00022263i,-0.00068696-0.00075147i,-0.0018259-0.0014664i,-0.0021795-0.0023219i,-0.0016461-0.0018876i,-0.0014733-0.0013389i,-0.00093004-0.00094135i,-0.00043429-0.0003613i,-0.00014547-0.00017132i,0.00022965-0.00029375i,0.00042819-0.00059265i
-0.0016388+0.00079004i,-0.00072349+0.0013806i,0.0011265+0.0011361i,0.0016692+0.00013332i,0.00083937+0.00029271i,-0.00050765+0.00082606i,-0.0018085+0.00093983i,-0.0021092+0.0013099i,-0.0013399+0.0014524i,4.0185e-05+0.0018172i,0.001479+0.0017016i,0.0022462+0.00045181i,0.0012055-0.00043145i,-0.00044394-0.00085069i,-0.0010937-0.0020437i,-0.0002942-0.0036662i,0.0003416-0.0038878i,0.00067421-0.0027278i,0.00097049-0.0014341i,0.00070562-0.00083685i,0.00023981-0.00086621i,9.4209e-06-0.00013325i,0.00074401+0.00098881i
-0.0015504-5.4417e-05i,-0.0012025+0.0022131i,-0.00063922+0.0040186i,-0.00068708+0.0035605i,-0.001089+0.0019119i,-0.0018523+0.001227i,-0.0021699+0.00097805i,-0.0011534+0.00077553i,-2.2494e-05+0.00061454i,-7.6198e-05+0.00063119i,-0.00025469+0.0011666i,0.00090322+0.00086589i,0.0018232-0.00089373i,0.00082748-0.0022396i,0.00037517-0.0028144i,0.00064068-0.004068i,0.00046028-0.0045893i,0.00018013-0.0028941i,3.0146e-06-0.0012087i,-0.00044151-0.00035001i,-0.00034369+0.00016098i,0.00076338-5.2796e-05i,0.0020319-0.00034168i
-0.000333-0.00075541i,-0.001224+5.2703e-05i,-0.0011028+0.00094188i,-0.00016485+0.00063896i,-0.0011185+0.0005438i,-0.003155-0.00067893i,-0.0035902-0.00060243i,-0.00191+0.00070762i,-0.00076445+0.00064592i,-0.001366+0.00069213i,-0.00066882+0.002109i,0.00043704+0.0028387i,0.00037904+0.0010877i,2.5795e-05-0.00057068i,0.0008893-0.00082344i,0.0024862-0.0013364i,0.0035308-0.0020367i,0.0025848-0.0014396i,0.001305-0.00043681i,0.0011686+9.3186e-05i,0.00075807+0.00039874i,-0.0001317+0.00027108i,-0.00032594+0.0002944i
0.0033986-0.0038159i,0.0027036-0.0067268i,0.0023957-0.0063198i,0.0020535-0.0033765i,0.0013143-0.0014635i,-0.00076806-0.00021042i,-0.0025109+0.00052806i,-0.0021691+0.00043526i,-0.0015819-0.00027526i,-0.0023082-0.00036798i,-0.0020529+0.00034395i,0.00018115+0.0010078i,0.00084026+0.0013149i,0.00015092+0.0014111i,0.00052916+0.00078051i,0.0032565-0.00026705i,0.0050066-0.00069964i,0.0036132-0.00080801i,0.0024345-0.00035024i,0.001946+5.3314e-05i,0.00077114-5.169e-05i,8.7016e-05-0.00033804i,0.00050745+0.00050386i
0.0017247-0.0026289i,0.0026422-0.0011591i,0.0025967+0.00028914i,0.0010684-6.7982e-05i,-0.0012852+7.9975e-05i,-0.0024659+0.00057972i,-0.0019708+0.0010228i,-0.0012436+0.0014517i,-0.0016656+0.00046353i,-0.0026491-0.00025378i,-0.0030784-3.2556e-05i,-0.001837+4.7986e-06i,-0.00010284+0.00026256i,0.00038253+0.00033017i,0.00012082+0.0011528i,0.0011858+0.0012147i,0.0031312-0.00011483i,0.0036585-0.00017958i,0.0016451+0.00032429i,-0.00073573+0.00052102i,-0.00072973+0.00035429i,0.0006335+0.00021523i,0.0010218+0.00057812i
0.00090823-0.0030824i,0.00041765-0.0034102i,3.5868e-06-0.0014403i,0.00063582+9.2329e-05i,0.00034326-0.00038346i,-0.00082593-0.00079184i,-0.0015606-0.0001029i,-0.0015899-9.5697e-05i,-0.001187-0.00060937i,-0.0011201-0.001302i,-0.0008147-0.00088091i,-0.00017181+8.4341e-05i,-0.00028541-7.3584e-05i,-0.0014349-0.00024507i,-0.0010884+0.00022925i,0.0010317+0.0014682i,0.0027299+0.0020941i,0.0019855+0.001711i,0.00017645+0.0017451i,-2.3112e-05+0.0015942i,0.00028864+0.001147i,0.00015869+0.00089226i,4.811e-05+0.00075288i
0.0037646-0.003836i,0.0020255-0.0029437i,-0.0014766-0.00046897i,-0.0018944+0.0016219i,-0.0017909+0.0019818i,-0.0026279+0.0014801i,-0.0022938+0.0011179i,-0.0013811+0.00058297i,1.0497e-05-0.00075353i,0.001054-0.0015235i,0.0011181-0.0010425i,0.00064572+0.00045581i,-0.00039628+0.0016824i,-0.00016511+0.0015233i,0.00060924+0.001216i,0.0015141+0.0021675i,0.002756+0.0025951i,0.0026919+0.0016536i,0.0016735+0.00066758i,0.00082168+0.00083889i,0.00025895+0.0011177i,-0.00022492+0.00083953i,-0.00084034+0.0008501i
0.00024336-0.0030067i,0.0014934-0.0025596i,0.0011115-0.0019421i,0.0010016+5.4456e-05i,0.00054297+0.001434i,-4.1944e-05+0.0014688i,-0.0010505+0.0017532i,-0.0014135+0.0014229i,-0.00066763-4.4326e-05i,9.5069e-05-0.0016039i,0.00037229-0.0019315i,0.00029483-0.0010929i,0.00010444+0.0001947i,-0.00010326+5.469e-05i,-0.0010755-5.5505e-05i,-0.0013472+0.0015614i,-0.00072451+0.0031924i,-0.00052401+0.0030843i,-0.00054412+0.0014224i,-0.00045012-0.00015067i,-0.00052234+0.00026174i,-0.0011022+0.0014355i,-0.00052203+0.0012426i
0.0070209-0.00095032i,0.0056959-0.001203i,0.0026504-0.00099837i,0.0014269-0.0002525i,0.00040854-0.00044072i,-0.0016742-0.0013464i,-0.0018409-0.0010472i,-0.0011453-0.00028349i,-0.00055853-0.0002337i,0.00081952-0.0004343i,0.0020561-0.0002636i,0.0013206-0.00038229i,-0.00080554-0.00023424i,-0.0019849+0.00029391i,-0.0028909+0.0013151i,-0.0031523+0.003197i,-0.0021865+0.0043254i,-0.00082787+0.0031517i,-0.00048349+0.001376i,-0.00055625+0.00089285i,-8.6081e-05+0.00028943i,-1.2899e-05-0.00059556i,-0.0015055-0.0010142i
0.0025237+0.0048807i,0.0028619+0.0049429i,0.0030193+0.0037089i,0.0026586+0.001705i,0.0015307-0.00031313i,-0.00035783-0.0011581i,-0.0016815-0.00089679i,-0.0012785-0.00057399i,0.00027422+0.00040492i,0.0026886+0.002015i,0.0034517+0.002206i,0.0012668+0.00023983i,-0.00075646-0.0014584i,-0.0015417-0.0018629i,-0.0021223-0.002012i,-0.0024211-0.00074234i,-0.0017316+0.0014942i,-0.00098241+0.0021299i,-0.00085491+0.00010505i,-0.0008133-0.0016382i,-0.0011534-0.00057313i,-0.0015176+0.00092437i,-0.0015192+0.0010448i
-0.00021907-0.0034461i,-0.0015415-0.002181i,-0.0011905-0.00058389i,-0.00016168+0.00068767i,-0.00061344+0.0017143i,-0.0011255+0.0015591i,7.0489e-05+0.0015908i,0.00062443+0.0017945i,0.00096037+0.0012178i,0.0017357+0.0011686i,0.0012973+0.0022601i,-0.00047565+0.0020997i,-0.0010438+0.0011004i,-0.0013466+0.00067784i,-0.0027629-0.00072115i,-0.0040542-0.0012399i,-0.0034689+0.00010795i,-0.0020182+0.0008595i,-0.0011031+0.00031588i,-0.00092849+7.9389e-05i,-0.00085954+0.0005898i,-0.0005616+0.00074146i,0.00020761-0.00015971i
0.0047242-0.0016985i,0.0032063-0.0017798i,0.0011322-0.00056517i,-0.00088005+0.0007891i,-0.0018614-2.6336e-05i,-0.0017153-0.0016087i,-0.0013062-0.001406i,-0.00043699-0.00013262i,-0.00048909+0.0006786i,-0.00088814+0.0017577i,0.00013395+0.0027234i,0.00062521+0.001579i,5.5529e-05-0.00013243i,7.6205e-05-0.00030973i,-0.00031975-0.00025593i,-0.0019617+6.1696e-05i,-0.0033568+0.00065853i,-0.0030693+0.00025138i,-0.0011713-0.00047585i,-0.00047607-0.00052272i,-0.0006109-0.00027246i,-0.0005916-0.0011933i,-0.00050733-0.0014175i
-0.002414+0.0068056i,-0.0015155+0.0059854i,-0.00062891+0.0050664i,-0.00041413+0.0027118i,0.00014815+0.00017032i,-0.0004986-0.00095431i,-0.0014735-0.00072702i,-0.0011712+0.0011928i,-0.001149+0.0032409i,-8.0984e-05+0.0040411i,0.00059168+0.0032485i,-0.00037113-0.00014687i,-0.0012173-0.0034806i,-0.0006564-0.0041393i,0.00095021-0.0040895i,0.00014199-0.0041059i,-0.0018205-0.0028319i,-0.0015001-0.0008049i,-0.00020996-0.00054828i,-0.00054423-0.00090559i,-0.0010676-0.00060007i,-0.00097399-6.0589e-06i,-0.0011115+0.00037905i
-0.0017687-0.0080114i,-0.0023963-0.0087306i,-0.0012714-0.0062859i,0.00066293-0.0024053i,0.00037357-6.1394e-05i,-0.0016082+0.00027997i,-0.0026343+0.00089284i,-0.001277+0.001686i,0.00053256+0.0019131i,-0.00057552+0.0021831i,-0.0029381+0.0024421i,-0.003165+0.0014977i,-0.0021021+0.00031893i,-0.0010674-0.00048009i,-0.00073533-0.0013317i,-0.0013026-0.0029462i,-0.0018994-0.0031091i,-0.001057-0.0015119i,-0.00030317-0.00063723i,-0.00040408-0.00072941i,8.3552e-05-0.00068189i,0.00068652-0.00052464i,0.001398+0.00023857i
0.0089127-0.0037407i,0.0088172-0.0047646i,0.0058981-0.0015031i,0.0022198+0.0019723i,0.00019768+0.0022386i,-0.00050462+0.0016369i,0.00084764+0.0023165i,0.0019518+0.002522i,0.00019496+0.00073413i,-0.0021591-0.00054987i,-0.0033166-0.0006053i,-0.0021728-0.0012892i,0.00081495-0.0015798i,0.0024355-0.00050492i,0.0017391+8.0408e-05i,0.001162-0.00081589i,0.00058858-0.0017803i,-0.0007638-0.0016235i,-0.00090452-0.0014888i,-0.00012917-0.0021561i,0.00026391-0.0025569i,0.00050865-0.0021265i,0.00074379-0.0015955i
-0.003125+0.0057591i,-0.0046744+0.0061826i,-0.0058041+0.0047254i,-0.0059238+0.0025622i,-0.0046796+0.0010233i,-0.0032036+0.00047116i,-0.0021674+0.00067974i,-0.0014504+0.00063836i,-0.0035791-0.00017882i,-0.0056608-9.4086e-06i,-0.0033235-0.0012131i,0.00016767-0.0035787i,0.0015681-0.0040123i,0.001651-0.0030295i,0.0018212-0.0012949i,0.0015477-0.0012426i,0.00033956-0.0023782i,-0.00037209-0.0019752i,1.6092e-05-0.0010619i,0.00085987-0.0007668i,0.001091-0.00059635i,0.00055749-0.00037265i,0.00057576+0.00037961i
0.00029478-0.0085866i,0.00071843-0.011386i,0.0012031-0.0085002i,0.0017433-0.0041869i,0.0011977-0.0021168i,-0.00078444-0.0017328i,-0.0033641-0.00073063i,-0.003812+0.00030237i,-0.0021839+2.9153e-05i,-0.0011276-0.00076151i,-0.0010401-0.0014862i,0.00015106-0.0020305i,0.00045231-0.0020214i,-0.00063844-0.0010889i,-0.00073007+0.00051044i,5.1309e-05+6.5665e-06i,0.00038623-0.0019725i,-8.1501e-05-0.0019602i,0.00012432-0.00073323i,0.00035583-0.0002639i,0.00027261+0.00016904i,0.0013108+0.00049603i,0.0021019+0.00092571i
0.0083628-0.00094306i,0.011225+0.00093505i,0.0074784+0.0027597i,0.0043477+0.0035227i,0.0042718+0.0045672i,0.0026157+0.005091i,-0.00089504+0.0051162i,-0.0018601+0.0043042i,-0.001204+0.00099246i,-0.00085649-0.0028131i,0.00075801-0.0035793i,0.0034136-0.0016503i,0.0045811+0.00093005i,0.0042582+0.0017542i,0.0036542+0.0013885i,0.0028907+0.00026023i,0.0018969-0.0015194i,0.0006754-0.0024991i,-0.00072871-0.0015913i,-0.0006448-0.0011549i,0.00042252-0.0017267i,0.00021548-0.0012624i,0.00010537-0.0011044i
-0.0002492+0.0055701i,-0.003313+0.0069986i,-0.0050481+0.0050581i,-0.0041568+0.0024384i,-0.003349+0.0010104i,-0.0036333+0.00049974i,-0.0025148+0.00083855i,-0.00018521+0.00091085i,-0.00023511-0.00054169i,-0.0010585-0.0027209i,0.00094536-0.0037981i,0.0038915-0.0030152i,0.0044766-0.0023975i,0.0023279-0.0022475i,-0.00030644-0.0018602i,0.00011589-0.00059147i,0.0018005-0.00020303i,0.0014429-0.00060945i,0.00024281-0.0002051i,0.00013133-0.00021235i,0.00087875-0.00010571i,0.0014031+0.00075573i,0.0010234+0.0012096i
0.0024472-0.0089036i,0.0028474-0.010182i,-6.273e-05-0.0083383i,-0.0023934-0.0021824i,-0.0027141+0.0019181i,-0.0038586+0.00056333i,-0.005609-0.0013313i,-0.0046688-0.0021341i,-0.001385-0.0020408i,0.0017181-0.00055874i,0.0034839+0.00081887i,0.0042633+0.0013138i,0.0034521+0.001997i,0.0020361+0.0017582i,0.00087676+0.00046942i,0.00078304+0.00018688i,0.0021757+0.00019213i,0.0022758-0.00072744i,0.00072212-0.0016887i,0.00064323-0.0011225i,0.0011056+0.00013384i,0.0010623+0.0013986i,0.00054328+0.0021468i
0.0005154+0.0014299i,0.0032833+0.0047906i,0.0061464+0.0058522i,0.0063929+0.0044031i,0.0040957+0.00438i,0.0015033+0.0047664i,-0.0021084+0.0046418i,-0.0041334+0.0037296i,-0.0017639+0.0011616i,0.0024743-0.0015703i,0.0053648-0.00053959i,0.0056052+0.0032315i,0.0040218+0.0048288i,0.0027647+0.0028874i,0.0020307+0.00023798i,0.001204-0.00088982i,0.0011906-0.00094602i,0.001481-0.0010138i,0.00058957-0.0014212i,-0.0006077-0.0012265i,-0.00081017-0.000485i,-0.001057-0.00015784i,-0.001651-0.00040541i
-0.001194+0.00052463i,-0.0035606+0.0013267i,-0.0042557+0.0030464i,-0.0014297+0.0042081i,-0.00012468+0.0023234i,-0.0023758+9.5613e-06i,-0.0032382+0.00055702i,-0.0014224+0.0020025i,0.00012475+0.0021021i,0.001338+0.0020994i,0.0021541+0.0028875i,0.0017941+0.0030502i,0.0014401+0.0026863i,0.001665+0.00034045i,0.0016802-0.0019895i,0.0006619-0.0010061i,-7.3683e-05+0.00035382i,0.00013707-0.00024127i,-3.7015e-05-0.00040432i,0.00024223+0.00038187i,0.00070737+0.0019344i,8.4993e-05+0.0032375i,-0.00046716+0.0023207i
0.0051215-0.0014326i,0.0066241-0.0030591i,0.0031946-0.005306i,-0.0033033-0.0036991i,-0.0060954-0.00037988i,-0.0058683-0.0017493i,-0.0053217-0.0045091i,-0.0021507-0.0041325i,0.001567-0.001631i,0.003289+0.0027636i,0.0035204+0.0060343i,0.0015592+0.0067595i,-0.0010482+0.0064439i,-0.001232+0.0049077i,-0.00049626+0.0026006i,1.5436e-05+0.0016475i,0.00080687+0.0019484i,0.002173+0.0013403i,0.0027261-0.00055267i,0.001693-0.00089934i,0.00048115+0.00067014i,3.6262e-05+0.0014392i,0.00024446+0.00076274i
-0.0066791+0.00053303i,-0.0066465+0.0043948i,-0.0044016+0.0067354i,-0.0027829+0.0058156i,-0.0029711+0.0043594i,-0.00445+0.0020296i,-0.0051491-0.00057078i,-0.0045553-0.0018614i,-0.0031896-0.00079877i,-0.00075695+0.0017161i,0.00022201+0.0043355i,-0.00085053+0.0059494i,-0.0014396+0.0048344i,-0.00035589+0.0025995i,0.0015248+0.0013117i,0.0014195+0.0013182i,0.0007438+0.0013054i,0.0012011+0.00016418i,0.00085913-0.00076823i,0.00016908-0.00051907i,-0.00016572-3.7404e-05i,-0.0014398-0.0002485i,-0.0021648-0.00026343i
0.0017218-0.0015261i,-0.00058136-0.0017402i,-0.00092177-0.0011649i,0.00051654-0.0014149i,0.00037583-0.0026173i,-0.0019798-0.0031124i,-0.0022292-0.00042739i,-0.00061482+0.0033917i,-0.0012134+0.0048468i,-0.0031385+0.0050556i,-0.0045547+0.0043387i,-0.0057468+0.003294i,-0.0059572+0.0027743i,-0.0039303+0.0019664i,-0.0013949+0.00085415i,-0.00072482-6.2904e-05i,-0.00086787+0.0010354i,-0.00036559+0.0023478i,-0.00019099+0.0018805i,-0.00048589+0.0015809i,-0.00084205+0.0019405i,-0.0011178+0.0023344i,-0.0010603+0.001905i
