-0.0073025+0.00074502i,-0.0056511+0.0032361i,-0.003878+0.0066756i,-0.0011147+0.0081948i,0.0010645+0.0066682i,0.0022087+0.0039771i,0.0013053+0.0010751i,-0.00056128+0.00019587i,-0.0012481+0.0012524i,0.00018956+0.0018517i,0.0016237+0.0013687i,0.0015743+0.00015371i,0.00073571-0.0011833i,0.00034536-0.0012304i,4.057e-05-0.00026101i,-0.0003805+0.00024707i,-0.0003841+0.00047132i,-0.00023571+0.00036255i,0.00046303-0.00034085i,0.00074122-0.00090071i,0.00034891-0.00085207i,0.00061691-0.00066225i,0.00095893-0.00046625i
-0.0015931-0.0008005i,0.00073979-0.0025178i,0.0037981-0.0020625i,0.0058197+0.00032924i,0.0058628+0.0029404i,0.0038314+0.0028549i,0.0018917+0.0015641i,0.0016479+0.00037848i,0.0017641+1.4634e-05i,0.0014524+0.00047447i,0.00021599+0.00043985i,-0.00078318+0.00052671i,-0.00048786+0.00024482i,-0.00095028-5.4041e-05i,-0.0012183+0.00018092i,-0.00098807+0.00021074i,-0.00086208+0.00045191i,0.00028704+0.00059208i,0.00074625+3.736e-05i,0.00034064-0.00048056i,0.0010145-0.00050402i,0.0012982-0.00053624i,0.0003735-0.00103i
-0.00096678+0.00061624i,-0.001094-0.00067577i,-0.00098755-0.0032604i,0.0006492-0.0053084i,0.0027596-0.0041413i,0.0031722-0.0020209i,0.0023905-0.0014785i,0.0010636-0.00087404i,0.0004489-9.6646e-05i,0.00098313-8.3381e-05i,0.00098187-0.00029363i,0.00048131-0.00020893i,0.00021643+2.2146e-05i,0.00055086-0.00018254i,0.00083394+0.00043852i,0.0006176+0.00088188i,8.9654e-05+0.00027963i,0.00034096-0.00037924i,0.00076897-0.00011449i,0.00086326+0.00023136i,0.00054643+0.001047i,0.0008329+0.001283i,0.0013704+0.00017777i
-0.00041289+0.0016074i,-0.0015991+0.0014639i,-0.00276+0.00056172i,-0.0028005-0.0011295i,-0.00097833-0.0031731i,0.0012086-0.0033875i,0.001184-0.0021479i,0.0004865-0.001289i,0.00018827-0.00075011i,-0.0006738-0.00082018i,-0.00060096-0.0010716i,-0.00024733-0.0010402i,-0.00023292-0.00080983i,-0.0005833-0.0002857i,-0.00010676-0.00045298i,0.00086049-0.00054937i,0.00070875-0.00066702i,0.0006928-0.00078984i,0.00076498-0.00045389i,-0.0001644-0.00017455i,-0.00018979+0.00023239i,-2.2364e-05-1.2788e-05i,-4.3146e-05-0.0010429i
0.00017884-0.001133i,-0.00021508+0.00098627i,-0.0023116+0.0026345i,-0.00609+0.00314i,-0.0079561+0.0020217i,-0.0054805+4.9998e-06i,-0.0025686-0.00097691i,-0.00094577-0.00092027i,-0.00073466-0.00115i,-0.0009809-0.0013769i,0.00028959-0.0010178i,0.0013105-0.00045496i,0.00023951-0.00023422i,-0.00042425-0.00051167i,-0.00015398-0.0013378i,5.377e-06-0.0021121i,-0.00026323-0.001618i,-0.0010135-0.00085653i,-0.00068565-0.00042612i,0.00016575+0.00017987i,1.2016e-05+0.00071433i,-0.00013425+0.0011307i,-0.00014363+0.0010695i
0.0012696+0.0013145i,0.0031474+0.0028611i,0.0041433+0.0051077i,0.0030079+0.0059591i,0.0003775+0.0040076i,-0.0015019+0.0016068i,-0.0016346-5.1886e-08i,-0.0010507-0.00023979i,-0.00052589+0.0003187i,-0.00051575+0.0006165i,-0.00072601-2.4323e-05i,-0.00053093-0.00078798i,-0.0010832-0.00027523i,-0.0020472-0.0001697i,-0.0018984-0.00074338i,-0.0010219-0.00046584i,-0.00070525+0.00019074i,-0.00072435+0.00021608i,-0.00069839-0.00025969i,-0.00070097-0.00043031i,-0.00014055-7.6252e-06i,0.0001332+0.00054558i,-0.00034698+0.0011918i
0.00015049-0.00045085i,0.0018696-0.00089741i,0.0033811-0.0011806i,0.0044153+0.00048211i,0.0041743+0.0036544i,0.0025276+0.0043519i,0.00063422+0.002736i,-2.5209e-05+0.0014614i,0.00053829+0.0013189i,0.00010652+0.00089757i,-0.001346-0.0001027i,-0.0018086-8.7964e-05i,-0.0012367+0.00023386i,-0.00087627+0.00063518i,-0.0011246+0.00075546i,-0.0013168+0.00041169i,-0.00089348-0.00019841i,-0.00063176+0.00036768i,-0.00013093+0.0011563i,0.00051167+0.00087243i,0.00098906+0.00092006i,0.0012363+0.00051825i,0.00078248+0.00049531i
-0.0028143-0.00052841i,-0.0025222-0.0014637i,-0.00048064-0.0029149i,0.0029871-0.0039509i,0.0059187-0.0028925i,0.0057899-0.00061882i,0.0042498+0.0005755i,0.0030792+0.00048648i,0.0016954+0.00044853i,0.00066958+0.00050214i,-0.00022815+0.00043798i,-0.00073013+0.00042613i,-0.00014209+0.00074069i,4.3111e-05+0.00079478i,-0.00064743+0.00030587i,-0.00078298+0.00032654i,-0.00048443+0.00071676i,-0.00041046+0.00023542i,-0.00092191+9.6803e-05i,-0.00059696+0.00019418i,5.4218e-05+0.0012117i,-0.00067067+0.001296i,-0.00022311+0.00025985i
-0.0015399+0.00059396i,-0.0040503-0.00060637i,-0.0057649-0.0020347i,-0.0052278-0.0037563i,-0.0020526-0.0054122i,0.0011118-0.004683i,0.0014794-0.0022488i,0.00080289-0.00091195i,0.0010274-0.00042946i,0.00070041-0.00025334i,0.00042098+0.00028674i,0.00091875+0.00085718i,0.0011065+0.00013801i,0.00083896-0.00029752i,0.00040989-0.00034603i,0.0006599-0.00043624i,0.00091392-0.00056937i,0.001144-0.00077146i,0.0010222-0.00059256i,-0.00036761-0.0003104i,-0.00076068-2.8207e-06i,-6.2698e-05+5.6986e-05i,-0.00046261-8.1703e-05i
-0.0015741+0.00021422i,-0.0028028+0.0023245i,-0.0048191+0.003998i,-0.0064924+0.0028223i,-0.0069231-0.0004912i,-0.0047077-0.0019588i,-0.0024383-0.0014031i,-0.0012997-0.0011722i,-0.00029179-0.0013551i,0.00047061-0.0016236i,0.00026235-0.0010699i,0.00071445-0.00027448i,0.0012571-0.00016354i,0.00069979-0.0003325i,0.00015458-0.00071479i,8.089e-05-0.0011025i,-0.00038735-0.0010855i,-0.00056068-0.00086245i,-5.928e-05-0.00070043i,0.00031776-0.00033799i,0.00056394+7.1195e-05i,0.00077505-0.00011981i,0.00038779-0.00038212i
-0.00013615+0.0014012i,0.0017026+0.0033467i,0.0016059+0.0052849i,-0.00047363+0.0071341i,-0.0017816+0.0058788i,-0.0013873+0.0017752i,-0.00011269-0.00022498i,8.4134e-05+0.00012171i,-0.00024522+0.00025755i,-0.00056826-0.00074437i,-0.00010387-0.0010312i,-1.462e-05-0.00071462i,-0.00068218-0.00065729i,-0.00047266-0.00093259i,-0.00089604-0.0010362i,-0.0011604-0.00033667i,-0.00021024+0.00039324i,-0.00013128+0.00041385i,-5.5081e-05+0.00038368i,0.00018463+0.0002035i,0.0009209+8.8853e-05i,0.0010873+0.00047661i,0.0009292+0.00077119i
0.00067297-0.00031084i,0.003195+0.00051892i,0.0062616+0.0025703i,0.0078613+0.0040455i,0.0064238+0.0054126i,0.003131+0.0054559i,0.0013016+0.0036633i,0.00083275+0.0014308i,-3.8581e-05+0.00068104i,-0.00057073+7.7797e-05i,-0.00086014-0.0012488i,-0.0011056-0.00089748i,-0.0010532-0.00042345i,-0.00083402-0.00059237i,-0.000595-0.00013373i,-0.00075215+0.00091797i,-0.0011949+0.00091675i,-0.00046479+0.00032374i,-0.00078525-9.6969e-05i,-0.0011553-0.00035418i,-0.00064128+0.00034119i,-0.00030273+0.00034234i,0.00027035-0.0006721i
0.00023526-0.0027397i,0.00054783-0.0040381i,0.0017574-0.0045031i,0.0042583-0.0045301i,0.0066179-0.002286i,0.0059234+0.00087724i,0.0030975+0.00221i,0.00035805+0.0014517i,-0.00042394-2.9517e-05i,-0.00047887+6.4879e-05i,-0.0011914+0.0010563i,-0.0012159+0.0012313i,4.7601e-05+0.00084982i,0.00088029+0.00027507i,0.00036689+0.00067719i,-0.00028447+0.0011934i,8.1973e-05+0.00056479i,6.999e-05+9.3831e-05i,-0.00068649+9.4086e-05i,-0.00042582-0.00049262i,-0.00020459-0.0011611i,-0.00025179-0.00068663i,0.00034069+0.00034436i
-0.001466-0.00056606i,-0.0025751-0.0018995i,-0.0031676-0.0043842i,-0.0021562-0.0061994i,0.0004935-0.0063445i,0.002698-0.0053096i,0.0019028-0.0033858i,0.00134-0.0016975i,0.0014245-2.5623e-05i,0.0010926+0.00084112i,0.00086016+0.00028043i,0.00031897+0.00042847i,-0.00028788+0.00067911i,-7.8865e-05+0.0004972i,0.00068753-0.00029891i,0.0014792-0.00058204i,0.0010408+0.00033364i,-7.9673e-05+0.00026532i,-8.9416e-05+0.0001073i,4.7721e-05+0.00042573i,-0.00026795+1.1392e-05i,0.00032997+0.00015919i,0.00057325+0.00039298i
-0.0018616+0.0015593i,-0.0038478+0.0012501i,-0.0065261+0.00044133i,-0.0074745-0.00013577i,-0.0064802-0.0020827i,-0.0041601-0.0038115i,-0.0014819-0.0032993i,0.00066779-0.0020893i,0.0011304-0.00095658i,0.00073689-0.00036015i,0.00082087+0.00030369i,0.0013415+0.00041463i,0.001172+0.00048282i,0.00058338-0.00048127i,0.00010007-0.0019099i,0.00021256-0.0023262i,0.00066834-0.0013276i,8.5012e-05+0.00011036i,-0.0010685-8.6092e-05i,-0.00096021-0.00017417i,-0.00087477+8.9881e-05i,-0.0009672-0.00019465i,-0.00075754-3.4311e-05i
-0.00047476+0.0012525i,-0.001135+0.0037913i,-0.0029371+0.0063321i,-0.0040699+0.007778i,-0.0051807+0.0062706i,-0.0044991+0.0028195i,-0.0024314+0.00065679i,-0.00060558-7.8929e-05i,0.00048313-0.00061802i,-0.00012602-0.00069629i,0.00016165-0.00049689i,0.00076766-0.00085367i,-0.00054356-0.0010488i,-0.0014403-0.00083468i,-0.0013162-0.00070157i,-0.0013922-0.00035484i,-0.00083434+0.00045179i,-5.0463e-05+0.00088435i,0.00031316+0.00030658i,0.00042197+0.00011985i,0.00038942+0.00039918i,0.00051627-0.00015429i,0.00048514-0.00014632i
-0.0016883+0.0014157i,-0.00031365+0.0030803i,0.0027661+0.0050316i,0.0057773+0.0078355i,0.0053724+0.009553i,0.0025765+0.0075547i,0.0011956+0.0033276i,0.000262+0.0012646i,-0.0012626+0.00057076i,-0.0011625-0.00050905i,-3.5255e-05-0.0012169i,3.8313e-05-0.00054341i,-0.00045302+0.00051322i,-0.0010302+0.00050814i,-0.0010293+0.00029649i,-0.0011415+0.00033179i,-0.00092087+0.00024948i,-0.00079243+0.0003329i,-0.00056006-0.00018664i,0.0014238-0.00021082i,0.0024144+0.00056867i,0.0012774+0.00055017i,7.9471e-07-0.00066937i
0.0014821-0.0016571i,0.0036926-0.0024145i,0.0057168-0.0025385i,0.0079304-0.0027886i,0.008744-0.0020792i,0.006141+0.00057338i,0.0028228+0.0016169i,0.0012582+0.0014278i,-0.00018352+0.00077012i,-0.00046264+9.5459e-05i,-0.00054181-0.00021205i,-0.0009498-0.00018426i,-0.0004266+0.00069135i,0.00017748+0.0014541i,-0.00016795+0.0012874i,-0.00018669+0.00070551i,0.0003853+0.00017149i,0.00028904+0.00040513i,8.278e-05+0.00050182i,-0.00015196+0.00042968i,0.00024829+0.00066405i,0.00019638+0.00011992i,-0.0004478-0.0006513i
-0.00037105-0.0024781i,-0.00051859-0.0045765i,-0.0008492-0.0066984i,-0.00068831-0.0088861i,0.0015576-0.0093429i,0.0039283-0.0063883i,0.0030162-0.002828i,0.00075519-0.0011933i,-1.8902e-05-0.0014283i,-0.00038834-0.0010739i,-0.00058858+0.00041281i,-0.00050709+0.0014322i,-0.00084018+0.00052648i,-0.0007061-0.00055032i,-0.0005923-0.00068258i,3.271e-05-0.00063291i,0.001096-0.0009947i,0.00083297-0.0014728i,0.00032323-0.0016697i,0.00026465-0.0012572i,-0.00024346-0.00016654i,-0.00060213+0.0010273i,-0.00055278+0.0016253i
-0.001016+0.00045882i,-0.0028712-0.00091407i,-0.0056347-0.0027065i,-0.0083285-0.0028706i,-0.0078945-0.0034298i,-0.0042632-0.004187i,-0.0017077-0.0028764i,-0.00096418-0.00074976i,-0.00027533+0.00028978i,0.00014316+0.00051354i,0.00049062+0.00089779i,0.00053341+0.0013233i,-9.0847e-05+0.00091666i,-0.00018055+3.2012e-06i,-0.00016755-0.00076971i,-1.0547e-05-0.001562i,-0.00036748-0.0014401i,-0.00093524-0.00076651i,-0.0006778+0.00029495i,-0.00077373+0.00052059i,-0.00085376+0.00011105i,-0.00048205+0.00076644i,-0.0008979+0.0011293i
-0.0010736+0.00095216i,-0.0032083+0.0016161i,-0.0039205+0.0040763i,-0.0054705+0.0054244i,-0.0074008+0.0042582i,-0.0071884+0.0028007i,-0.0039371+0.0013765i,-0.0015408+6.5899e-05i,-2.2926e-05-0.0011616i,0.0010015-0.000961i,0.00051925+0.00038572i,0.00034546+0.00045557i,-3.4919e-05-0.00012642i,-0.00084814-0.00063901i,-0.0009832-0.0010611i,-0.00069033-0.00071892i,-0.00050705-0.00091837i,-0.00046701-0.00091907i,-0.00039107+0.00046659i,-0.00058134+0.0014567i,-0.00056784+0.0013226i,-0.00048838+0.00054125i,-0.00052213+0.0005237i
0.0007478+0.0021604i,0.001841+0.0049345i,0.0029844+0.0077896i,0.0034296+0.0098004i,0.0022516+0.010675i,0.00056232+0.0086578i,-4.5164e-05+0.0046322i,0.00033817+0.00218i,0.00067752+0.00064026i,0.00074969-0.0007156i,0.0010876-0.0010246i,0.00025825+6.273e-06i,-0.00019921+0.00033211i,-0.00041068+0.00023772i,-0.0010932+0.0010833i,-0.0012725+0.00081724i,-0.00091687+0.0006687i,7.6098e-05+0.00079079i,0.00094364+0.0010307i,0.0012302+0.0015229i,0.00090287+0.0010415i,0.0006561+0.00062299i,0.00090838+0.00054455i
-0.0013174-0.00091562i,0.0011837+0.00077178i,0.0043355+0.00099214i,0.0079638+0.00050685i,0.0095951+0.0020046i,0.007626+0.0036005i,0.0042608+0.0025981i,0.0025103+0.0010623i,0.00081659+0.0004052i,-0.00042034+2.4285e-05i,-8.8723e-05-0.00074514i,0.00022667-0.0015018i,-1.3691e-06-0.00047141i,0.00038573+0.00078488i,0.001018+0.00039772i,0.0013357+0.00010108i,0.0014814+0.0004296i,0.0011641+0.00018956i,0.00090346-0.0002001i,0.0014991-0.00094694i,0.001222-0.00044587i,0.0004758+0.00017287i,-0.00027724+0.0002003i
0.0016343-0.0016059i,0.0028349-0.003529i,0.0039494-0.0068882i,0.0045807-0.010413i,0.0050479-0.01064i,0.0051244-0.0071701i,0.0030213-0.0030985i,0.00095526-0.0004669i,0.00046218+3.4575e-05i,8.2646e-05-0.00065287i,-0.0012106-0.0013597i,-0.0018191-0.0012337i,-0.0011703-0.0002557i,-0.00030759+0.0001719i,0.00056337+0.00036014i,0.00087846+8.5317e-05i,0.00071318-0.00065308i,0.00071007-0.0012488i,0.000677-0.0011883i,0.00073802-0.00068483i,0.001029-0.0011911i,0.00068312-0.00072199i,0.00044676+0.00025139i
-0.003713-0.0012565i,-0.0053806-0.0024682i,-0.0072568-0.0028291i,-0.0086526-0.0039273i,-0.0072876-0.0056994i,-0.0035266-0.0057198i,-0.00054159-0.0033076i,-0.00015801-0.00073052i,-0.00048161-0.00015797i,-0.00061334-0.00057659i,-0.00014513-0.00067547i,-4.89e-05-0.00042173i,-0.00048713-0.00011143i,-0.00077879+0.00017067i,-0.00062434-0.00045958i,-0.00042737-0.00072617i,-0.00055803-0.00064454i,-0.00052756-0.00093486i,-0.0002515-0.001216i,-0.00083779-0.00061938i,-0.0010448-2.7939e-05i,-0.00053975-0.00016015i,-0.00034706-7.9269e-05i
-0.00081579-0.00056259i,-0.002896-0.00021078i,-0.0061415+0.0012637i,-0.0094991+0.0037809i,-0.01061+0.0044492i,-0.0087762+0.0018754i,-0.0052369+0.00022065i,-0.002431+0.00034316i,-9.3589e-05+0.00052907i,0.00087094+0.00074201i,0.00014186+0.00067672i,-0.0001576+0.00062825i,1.9906e-05+0.00054387i,-0.00037538+0.00011827i,-0.0010053-0.00066915i,-0.0012239-0.0013213i,-0.0015129-0.0015993i,-0.001432-0.00103i,-0.0012342-0.00029544i,-0.00064809+6.652e-05i,-0.00010313+0.00035168i,-0.00011262+0.0011825i,-9.8368e-05+0.00053663i
-0.00033699+0.0018965i,-0.0013599+0.00314i,-0.00075329+0.0058626i,0.00040071+0.0093104i,-0.00062284+0.010278i,-0.0025178+0.0077738i,-0.0022297+0.0039685i,-0.00062439+0.001095i,0.0010646-0.00028876i,0.002156-0.00069358i,0.0014164-4.9415e-05i,0.00061955+1.2129e-05i,0.00019479-0.00016511i,5.4038e-06+0.0003893i,-0.00077473+0.00088719i,-0.0018759+0.0010417i,-0.0014636+0.0013945i,-0.0010907+0.0020794i,-0.00053473+0.0019338i,-2.1228e-05+0.0011544i,0.00018561+0.00090043i,0.0008297+0.00012491i,0.00061796-0.00067813i
0.0017884-0.001081i,0.0029443+0.0013855i,0.0056036+0.002917i,0.0086925+0.003587i,0.0097804+0.0050372i,0.0076033+0.0058872i,0.0041989+0.0034613i,0.0019716+0.0008473i,0.0013542+9.0534e-05i,0.0010352-0.00033638i,0.00090127-0.0017581i,0.0011927-0.0013691i,0.00076497-9.6146e-05i,-0.00021797+0.00035201i,-8.6748e-07+0.00078196i,0.00074821+0.00088288i,0.00083039+0.00052986i,0.0012242+0.00085908i,0.0013194+0.0010695i,0.0012799+0.0005824i,0.0010063+0.0005191i,0.00039893+0.0003296i,-1.3603e-05+0.0001816i
0.0018655-9.824e-05i,0.0029137-0.00074118i,0.0043948-0.0035463i,0.0043682-0.0075373i,0.0052288-0.0089953i,0.0057007-0.0067012i,0.0037588-0.0042297i,0.0022365-0.0023063i,0.0012628-0.00099888i,0.00084176-0.00054906i,-0.00041272-0.00074392i,-0.00086516-0.00056826i,-0.00032698+0.00013433i,-8.6878e-05+3.9142e-05i,0.00054685-2.2455e-05i,0.0007062-6.4199e-05i,0.00089483-0.00040644i,0.001348-0.00065189i,0.0010037-0.0016113i,4.1995e-06-0.0019503i,2.1814e-05-0.0008026i,0.00077865+0.00050358i,0.0010543+0.00058605i
0.00085767-0.0029854i,-0.00047727-0.0055174i,-0.0025262-0.0070455i,-0.0059129-0.0089112i,-0.0067166-0.010601i,-0.00398-0.0087353i,-0.0012618-0.0046032i,-0.00041348-0.0018994i,-6.2831e-05-0.00071332i,0.00018189-0.00098778i,-6.4863e-05-0.0012018i,-0.00098863-0.00037293i,-0.00095307+0.00045776i,-0.00050642+0.00068577i,-0.00025469+0.00014136i,3.7572e-05-0.00046653i,-0.0001424-0.00081173i,-0.0006815-0.0014735i,-0.00080195-0.0014904i,-0.00055003-0.00058932i,5.6795e-05+0.00048186i,0.00010856+0.00034418i,0.00010182-0.00060987i
-0.0014013-0.0020755i,-0.0035727-0.0023671i,-0.0075548-0.0012048i,-0.01032+0.0015569i,-0.011359+0.0032322i,-0.009512+0.0019454i,-0.0060835+0.00015324i,-0.003103-7.2928e-05i,-0.0013731+0.00088842i,-0.0014456+0.0016955i,-0.0014404+0.00076308i,-0.00095613+0.00043979i,-0.00046365+0.00091833i,-8.8758e-05+0.00043931i,-0.00091858-0.00022983i,-0.001661-0.0005258i,-0.0011655-0.00048475i,-0.00044809+0.00032803i,-0.00017501+0.00057475i,-0.00014756+0.00064937i,-5.982e-05+0.00077427i,0.00016109+0.00039409i,0.00026361-5.0933e-05i
-0.0010963+0.0024121i,-0.001998+0.0037463i,-0.00041859+0.0071355i,0.0013347+0.010434i,0.0008289+0.011417i,-0.00097099+0.0092456i,-0.00068553+0.0056708i,0.00089599+0.0030134i,0.001545+0.0013025i,0.001042-0.00033184i,-7.0169e-05-0.00064614i,0.00023554-0.00041757i,0.00096229-0.00095572i,0.00031675-0.0010521i,-0.00089141-0.00024518i,-0.0015021+0.00061264i,-0.0011753+0.00087351i,-0.00049849+0.00064119i,-0.00042893+0.0004148i,-0.00044721+0.00028705i,6.515e-05+0.00027341i,0.0003221+0.00095384i,9.662e-05+0.0012768i
0.0017822+0.0008027i,0.0012912+0.0022047i,0.0033941+0.0030728i,0.0077833+0.0035294i,0.009621+0.0041711i,0.0070457+0.004471i,0.003454+0.0033865i,0.0024351+0.001471i,0.0023247+0.00083284i,0.0019871+0.00017502i,0.0013437-0.00047446i,0.00065131+2.5684e-05i,3.5986e-06+0.00012763i,-0.00029078-0.00030576i,-0.00035275+7.5732e-05i,-0.00024491+0.00092664i,0.00023713+0.0011754i,0.00016179+0.0010732i,-0.000167+0.00042126i,-0.00020396-0.00032967i,8.7612e-05-0.00051649i,-0.00031883-0.00042774i,-0.00057847-0.00013519i
0.0020184+0.0013958i,0.0042966+0.00021054i,0.0061362-0.0029736i,0.0080767-0.007688i,0.010154-0.0095828i,0.010039-0.0073803i,0.0065561-0.004254i,0.0031923-0.0018184i,0.0019478+6.6899e-05i,0.0016151+0.00071206i,0.0017388+3.1374e-05i,0.00092663+8.0656e-05i,-0.00022473+0.00074959i,0.0001878+0.0006154i,0.00017029+4.419e-05i,-0.00014402-0.00029684i,0.00015513-0.00031412i,0.00092192-2.2259e-05i,0.00063689+7.7943e-05i,-0.00055729-0.00024278i,-0.00037879-4.524e-05i,5.8308e-05+0.00014094i,-0.00016783-0.00092522i
0.0021906-0.0026496i,0.0022403-0.0049239i,-6.0827e-05-0.0071527i,-0.0037343-0.0095756i,-0.0058126-0.011166i,-0.004262-0.0095911i,-0.0016908-0.0055877i,-0.0010052-0.0026773i,-0.00084039-0.0013931i,0.00058092-0.00060662i,0.0016077-0.00082657i,0.0012319-0.0012361i,0.00066587+0.00013956i,0.00025857+0.00055015i,0.00046253-0.00087457i,0.0012205-0.00123i,0.0013129-0.00093889i,0.001142-0.00064157i,0.0013957-0.00038998i,0.0011714-0.00020999i,0.0017506+0.00025326i,0.0014343+0.00054449i,-0.00022143+0.00049968i
-0.0013339-0.0046176i,-0.0031067-0.005722i,-0.0064547-0.0048067i,-0.010727+0.00029318i,-0.013993+0.0034573i,-0.011865+0.0021611i,-0.0059447+0.00043543i,-0.0024136-0.00033999i,-0.0011986-0.00072577i,-0.0004269-0.0012304i,-0.00025973-0.0015644i,-0.00038905-0.0011369i,0.00028112-0.00036112i,0.0010927+8.2709e-06i,0.00089259-0.00060527i,-0.00047424-0.0011376i,-0.0015285-0.0013329i,-0.0012356-0.0011978i,-0.0010594-0.0011915i,-0.00040648-0.001604i,0.00018202-0.0011769i,-0.00032456+2.9203e-05i,-0.00032698+0.00046787i
-0.0032678+0.0010216i,-0.0038113+0.0020635i,-0.0040633+0.0057855i,-0.0040487+0.010677i,-0.0036396+0.013038i,-0.0032276+0.010935i,-0.0025793+0.0060834i,-0.0013501+0.0032897i,-0.00039194+0.002008i,4.7123e-05-8.9486e-05i,0.00032296-0.00091756i,0.00016387-0.00051802i,-0.00012828-0.00038417i,0.00020307-5.1735e-05i,0.00013837+0.000388i,-0.00035201-0.0001092i,-0.00051984-0.00034368i,-0.00072396+4.9619e-05i,-0.0013119+0.00016592i,-0.0015469+0.00011785i,-0.00061703+0.00040299i,-5.7268e-05+0.00027642i,0.00023382+0.00042436i
-0.0019474+0.0018834i,-0.0015404+0.0028579i,0.0016036+0.0049697i,0.0076719+0.0067083i,0.011969+0.0075376i,0.010586+0.0075802i,0.0059485+0.0045587i,0.0028246+0.0011984i,0.0014848-0.00011696i,0.00012168-0.00075415i,-0.0004551-0.00038799i,-8.7339e-06+0.00040887i,0.00043779+0.00029764i,0.00032088-0.0003108i,-0.00022735-4.9684e-05i,-0.00033418+0.00051082i,-0.00014823+0.00052793i,-0.00026458+5.9875e-05i,-0.00044314-0.00038809i,-0.00056044+0.00016725i,-0.0002369+0.00095736i,0.00029557+0.00019207i,0.00059284-0.00061056i
0.00094136+0.0017986i,0.0016936+0.0024228i,0.0043146+0.0008311i,0.0079012-0.0032206i,0.011322-0.0061082i,0.011225-0.0056416i,0.0070908-0.0036949i,0.0036706-0.002449i,0.0023079-0.001293i,0.001408+0.00042045i,7.9306e-05+0.0012018i,-0.00054767+0.00058769i,-5.7462e-05+6.2246e-05i,-0.00040078-8.2783e-05i,-0.00064545-0.0003252i,-0.00025369-0.00069132i,0.00011193-0.00096419i,0.00061124-0.00020537i,0.00035051+0.00031531i,0.00021216-0.00043877i,0.0009127-0.00032511i,0.00062478+0.00016495i,-0.00010026-0.00010386i
0.00049342+0.00092783i,0.0018908+0.00039336i,0.0010825-0.001929i,-0.00099632-0.0088507i,-0.0020235-0.014147i,-0.00096771-0.012934i,-7.8979e-05-0.0084493i,-0.00014423-0.004616i,-0.00052517-0.0019277i,-0.00028346-0.0012612i,0.00054722-0.0012394i,0.00061639+5.421e-05i,-0.00041482+0.00067231i,-0.001082+0.00038278i,-0.00034374+0.0001228i,-0.00020322-3.0541e-05i,-0.00032155-0.00059582i,0.00023857-0.0011204i,0.00028606-0.00078691i,0.00050534-0.00012284i,0.00054067+0.00018351i,0.00050688-0.00087828i,0.00016317-0.001521i
0.0031645-0.0035282i,0.0026375-0.0042171i,-0.0022391-0.003847i,-0.0098273-0.0014767i,-0.015199+0.00010731i,-0.013606-0.00026725i,-0.0078722-0.0005148i,-0.0038767-0.00037643i,-0.0015853-0.00077689i,0.00020119-0.00085323i,0.00086094-0.00035619i,0.00050672-0.00018636i,0.00058865-0.00019802i,0.00060918-6.4055e-06i,0.00045732-0.00024278i,-0.0001057-0.00053524i,-0.00031398-0.00080939i,-0.00017374-0.0014843i,-0.00070934-0.00081256i,-0.00061519+0.00015226i,0.00022882+0.00046388i,0.00025486+0.00034522i,-0.00085487+0.00048538i
-1.9772e-05-0.0014419i,-0.0010077-0.0024899i,-0.0022578-0.00013178i,-0.003661+0.008045i,-0.0054107+0.013779i,-0.0055905+0.01124i,-0.0033878+0.004687i,-0.0023197-0.0012352i,-0.0026316-0.0045394i,-0.003481-0.00445i,-0.0038997-0.0033064i,-0.0034686-0.0018846i,-0.002993+0.00023098i,-0.0018875+0.0015195i,0.00013805+0.0018645i,0.0011504+0.0012879i,0.00093127-3.5313e-06i,8.0041e-07-0.00031648i,-0.00047443-0.0001608i,-0.00020534-0.00014686i,0.00018532+9.1514e-05i,0.00021617+0.0010421i,0.00028867+0.0014177i
-0.002834+0.0012764i,-0.003316+0.0024573i,-0.0002652+0.004608i,0.0063527+0.0073397i,0.012317+0.0096012i,0.011708+0.0094697i,0.0060815+0.0065792i,0.0018447+0.0026985i,0.0010901+0.00042185i,0.0007299-3.0934e-05i,-0.00039615-0.00049074i,-0.0010793-0.0012906i,-0.00058279-0.00084919i,0.00026468+1.4598e-05i,0.00023977-0.00030183i,0.0002642-0.00072379i,0.00054414+0.0001514i,0.00010444+0.00035323i,-0.00036799-0.00013894i,8.0236e-05+5.1834e-06i,0.00064901+0.00026981i,0.00077298+0.00021149i,0.00067186+0.0003046i
-0.001037+0.0019669i,-0.0010661+0.002336i,0.0021995+0.00013816i,0.0085981-0.0042236i,0.013788-0.0074289i,0.014104-0.0066406i,0.0099761-0.0036614i,0.0048712-0.0017253i,0.0019363-0.00063393i,0.00062461-0.000233i,-0.00047498-2.4003e-05i,-0.00038851+0.00038415i,-0.00035041+0.00030929i,-0.00092124-0.00054462i,-0.00024779-0.0011447i,-0.00022442-0.00115i,-0.00036493-0.00081334i,-0.0003385-0.00040166i,-2.9021e-05+0.00017554i,0.00028057+0.0004557i,0.00033943+0.00076933i,0.001041+0.0010856i,0.00046528+0.00010268i
