5.7524e-05-3.7701e-05i,0.00061856-0.00040311i,-0.0010785-0.00093711i,-0.0023592-0.0010241i,-0.0021633-0.00011251i,-0.0026272+0.00062321i,-0.0018959+0.0014467i,0.00041657+0.0015122i,0.0022811+0.00076855i,0.0026186-0.00058428i,0.0015929-0.00069405i,0.00056635-0.00096461i,0.00073184-0.0011207i,0.00079711-0.0007789i,-1.2048e-05+6.5782e-05i,-0.00095939+0.00085784i,-0.0005789+0.00053664i,-0.00021312-0.00064285i,5.0849e-05-0.0012268i,0.00026506-0.00060897i,-0.00046663-5.9706e-05i,-0.00068451-3.8124e-05i,-0.00054319-0.00016663i
0.0005908+0.00065161i,0.0019023+0.00075304i,0.0013713+0.0011376i,0.00020089+0.00032323i,0.00061696+0.00045621i,0.00070178+0.0016899i,-0.00024109+0.0015214i,-0.00022514+0.00036747i,0.00033518-0.00022807i,0.00062231-0.00010947i,0.00060457+0.00024182i,0.00036297+0.00034468i,-5.2133e-05-0.00048743i,9.0318e-05-0.00061549i,0.00040254-0.00018176i,5.5415e-05-0.00079087i,0.00034947-0.0012079i,8.9339e-05-0.00077598i,-0.00065649+0.0003245i,-0.00076668+0.00097312i,-0.00036084+0.00041773i,9.8226e-05-0.00011781i,-0.0001584-1.592e-05i
0.00094764-0.00028902i,0.001192+0.00035085i,0.00061737+0.00075981i,0.00051717+0.00091853i,0.00078334+0.00065382i,0.001226-0.00010257i,0.00054493-0.0001694i,-0.0010398-0.00024159i,-0.0012287-0.0011095i,-0.00044336-0.0017364i,0.00023959-0.0014687i,0.00012495+0.00010525i,7.766e-05+0.0010184i,0.00062208+8.0627e-05i,0.00063143-0.00040392i,0.00075808-0.00087926i,0.00058832-0.00098441i,6.2302e-05-0.00052372i,0.00048972-0.0008446i,0.00020837-0.0010643i,0.00035991-0.00077738i,0.0011399-0.00083995i,-3.3036e-05-0.00072253i
0.00018261-0.00093534i,-0.00052476-0.00043925i,-0.00075421-0.00082071i,-0.0017081-0.0010344i,-0.0027281-0.00087766i,-0.0025358-0.00070812i,-0.0010799+4.9532e-05i,-0.00011393+0.00081314i,-0.00061184+0.0006383i,-0.0013328-0.00031756i,-0.00097061-0.00043282i,-0.00024198-0.00031833i,0.00053701-0.00064656i,0.0012284-0.0005188i,0.00059627-0.00055881i,-3.7175e-05-0.00053346i,-0.00040543-0.00011769i,-0.00026645+0.00016683i,-0.00028393+5.399e-06i,-5.7479e-05+6.9797e-05i,-0.00021684+0.00084796i,-0.0011902+0.00082942i,-0.0011406-0.00025586i
-0.00044431+0.00077908i,-0.00090443+0.00088243i,-0.0014319+0.0013383i,-0.00095379+0.001686i,-0.00037579+0.0013789i,-0.00035949+0.00041243i,-0.00051447+7.5605e-05i,-0.00017185-0.00063225i,-0.00023849-5.4944e-05i,-0.0013132+0.0014635i,-0.001483+0.00075844i,-0.00034509+0.00018431i,0.0002761+7.021e-06i,-0.00043413-0.00032287i,-0.00070426+9.1156e-05i,-0.00063781-0.00023494i,-0.00052049-0.00025337i,0.00050184-0.00033075i,0.0010459-0.00074272i,0.00021637-0.00058346i,-8.7585e-05-0.00027449i,-0.00021694-0.00011199i,-0.0010035-0.00056121i
-0.00014826+0.0011916i,-0.00022824+0.0016461i,-0.00066825+0.0024894i,-0.00062074+0.0022766i,0.00043854+0.001177i,0.00053292+2.2815e-05i,0.00027677+0.00047312i,0.00046341+0.0010382i,0.0010808+0.00032358i,0.00070256+0.00024468i,-0.00018337+0.00030888i,-0.00029206+1.4815e-05i,-0.00021599+0.00026301i,0.00010778+0.0002725i,0.00069349+0.00014648i,0.00061426+0.00069911i,-0.00070093+0.0010766i,-0.0010689-5.2697e-05i,-0.00043694-0.00095532i,-0.0011459-0.00052687i,-0.00074782+5.9048e-05i,-0.00010264+4.8639e-05i,-0.00020831-0.00010188i
-0.0013434+0.0011597i,-0.0006095+0.0025483i,0.00067117+0.0032171i,0.0011685+0.002299i,0.00046061+0.00055565i,0.00070805-0.00059163i,0.0003282-0.00054565i,9.7543e-05+0.00019056i,-6.37e-05+0.00081295i,0.00016916+0.0010246i,0.00059319+0.0010691i,0.0002051+0.00068127i,0.00021975-5.6501e-05i,0.00080272-0.00056859i,0.00133-0.0012468i,0.0010226-0.00055647i,-4.0411e-05+0.00017241i,-0.00026732+0.00011246i,0.00014032+0.00026854i,0.00012713-0.00020904i,0.00020173-5.0265e-06i,0.00030246+0.00019825i,-6.673e-05-0.00033156i
-0.00053029-0.00037551i,-0.0016997-3.9165e-05i,-0.0020063+0.00026052i,-0.0019192-0.000448i,-0.001209-0.0012092i,-0.00048433-0.0013926i,-0.00051852-0.00073173i,-0.00049959+0.00018994i,4.2494e-05-9.6642e-05i,0.00090301-0.00027706i,0.00094934+0.00062026i,1.9766e-05+0.00063024i,0.00031294+0.00040447i,0.00059262+0.00032657i,0.00035612-9.1829e-05i,0.00017432-0.00064386i,-0.00075549-0.0010759i,-0.00052434-0.0012909i,0.0006247-0.0009325i,0.00052469-0.00020579i,0.00050133-0.00050587i,0.00097399-0.00058991i,0.00053916-0.00024169i
-0.00013301-0.0011961i,-0.00075821-0.00044224i,-0.00070389-0.00023667i,-0.0007354-0.00056233i,-0.0011076-0.001109i,-0.0014492-0.00031249i,-0.0012509+0.00025947i,-0.00068921-0.00034327i,-0.00013565-0.00031491i,9.4008e-05-0.00027923i,0.00014077-0.00049107i,0.00027001-0.00045048i,0.00044155+0.00011059i,0.00079322+0.00043866i,0.00054043-0.00027443i,-9.0172e-05-0.0010696i,-0.0001582-0.0011578i,-2.9619e-05-0.00038437i,-0.00023608+0.00064268i,-4.1203e-05+0.00053246i,0.00014817+2.1724e-05i,0.00012678-0.00021572i,0.00024137-0.00078718i
-0.00067709-0.0008259i,-0.00075585+0.0011226i,-0.00094329+0.002016i,-0.0011899+0.0017581i,-0.0010614+0.0017919i,-0.00070098+0.0014284i,-0.00025187+0.00063988i,4.291e-05+0.00097414i,-0.00038372+0.0010397i,-0.00055338-0.00018196i,-0.00018329-0.00099916i,-0.00022373-0.00095533i,-0.00031363-0.00083203i,0.00010322-0.00066702i,0.0006915-0.0010419i,0.00051429-0.0007772i,0.00050363+0.00053036i,0.00021543+0.00047298i,0.00066188-0.00083086i,0.0011221-0.0011705i,0.00052814-0.00041924i,-0.00058438-0.00057366i,-0.0012713-0.00066729i
0.00049809+0.0014332i,0.0012677+0.00060041i,0.0014387+0.00087325i,0.00080408+0.00081437i,0.00066161-0.0008327i,0.00038282-0.0018845i,2.9094e-06-0.00084208i,-0.0003507+0.00023503i,-0.00036968+0.00097511i,0.00024635+0.0010228i,-9.7382e-06-8.8427e-06i,2.415e-05-0.00029567i,0.00039353+0.00091411i,-0.00035055+0.0014543i,-0.0012057+0.00061339i,-0.001468-0.0005262i,-0.0011771-0.0010203i,-0.00060421-0.00037692i,2.5328e-05-4.9207e-05i,0.00032112-0.00094528i,-0.00048958-0.00099194i,-0.00078638-0.00031061i,-0.00019397+8.2594e-05i
-5.5799e-05-0.0015631i,-0.00051173-0.0016855i,-0.0015183-0.00098371i,-0.0014394+0.00043015i,-0.0013026+0.00036651i,-0.0005098-0.00059194i,0.00054568-0.0008636i,0.00059976+0.00051718i,0.00029604+0.0016176i,0.00016198+0.0019484i,3.406e-05+0.0017073i,0.00092819+0.00052859i,0.0015769+0.00024265i,0.00067566+0.00085441i,-0.00025885+0.0006514i,-0.00036601+0.00063594i,-0.00023921+0.00027305i,-0.00067709-0.00033093i,-0.00056263-0.00046075i,-0.00026267-0.00059563i,6.389e-05-0.00079621i,0.00016986-0.00091545i,0.00027316-0.00095292i
-0.00085712-0.0019032i,-0.00061708+0.00012733i,-0.0013117+0.00036114i,-0.0021755+0.0009858i,-0.002095+0.0019689i,-0.00048843+0.00093079i,0.00039068+0.00021292i,0.00050022+0.00034316i,0.00074437-7.8177e-05i,0.00068605+0.00056633i,-2.4313e-05+0.00112i,2.3513e-05+0.00021827i,0.00072627-0.00016995i,0.00066094+0.00016672i,0.00070256-8.7131e-05i,0.001009-0.0010421i,0.00046986-0.0014215i,0.00044859-0.0010786i,0.0005261-0.00049627i,-0.00023611-0.00075173i,-0.00050154-0.00052249i,-0.00019942-0.00034176i,0.00013953-0.00060223i
-0.00071206-0.0013081i,-0.00080403-0.00053466i,-0.0013284+0.00077123i,-0.0010783+0.001649i,-0.00093055+0.0016686i,-0.00019865+0.00082508i,0.00054925+0.0003537i,0.00059056+0.0001599i,0.0010874-0.00081138i,0.0010346-0.0013595i,0.00091664-0.0009479i,0.00076221-0.00054717i,0.00073054-0.0011166i,0.0007677-0.0010407i,-0.00010614-0.00016056i,-0.00016374+0.00013432i,0.00054074-0.00050373i,0.00081883-0.00057239i,0.00055168+3.7071e-05i,-5.6169e-05+0.00035079i,-5.8763e-05-0.00014315i,0.00022136-4.1146e-05i,-3.5735e-05+0.00052769i
-0.00084609+0.00037794i,-0.00049042+0.00072632i,-9.0249e-05+0.0014343i,0.0003337+0.0010542i,0.00034535+0.00037049i,-1.9248e-05+0.00011679i,-0.00046294-0.00018207i,-0.00097177-6.7417e-05i,-0.0012263+0.00023549i,-0.0010131-0.00029358i,-0.00047707-0.00073266i,-2.4475e-05-0.00062495i,6.0004e-05-0.00094463i,0.00036697-0.0010183i,0.0004342-0.00067225i,2.087e-05-0.00017328i,5.6534e-05-0.0008206i,0.00039967-0.0010743i,-3.4984e-05-0.00053024i,-0.00049049-0.00061196i,0.00025535-0.00058834i,0.0006524-0.00075148i,4.3031e-05-0.0011858i
-0.00065753-0.0012607i,-0.0023759-0.0011069i,-0.003375+0.00033868i,-0.0029287+0.00074229i,-0.0013892-5.7708e-06i,8.3911e-05-0.00053468i,0.00034931-0.00040565i,-0.00087712+0.00037097i,-0.0020706+0.00019954i,-0.0018016-5.3078e-06i,-0.0013212+0.00021712i,-0.0015743+0.00018253i,-0.00090529+9.6684e-05i,0.00020564+0.00031408i,-0.000163+0.00028354i,-0.00061525-0.00056698i,-0.00039575-0.00081737i,1.9375e-05+0.00015709i,3.6083e-05+0.00039974i,-1.287e-05-0.00041805i,0.00034839-0.00048511i,0.00031527-0.00040775i,0.00044813-3.0314e-05i
0.00035582+0.0017722i,0.0005588+0.0011644i,0.0015124+0.0015208i,0.0020783+0.0010653i,0.0016082-0.00067592i,0.00011882-0.00012274i,-0.00068074+0.0012515i,-0.00021973+0.0015204i,-4.1589e-05+0.0015149i,3.4944e-05+0.0014077i,-0.00023934+0.00059912i,-0.00082932+0.00036018i,-0.00062446+0.00058691i,-0.0002267-2.2822e-06i,-0.00026533-0.00066544i,-0.00078807-0.00089843i,-0.0010284-0.0010023i,-0.00033763-0.00015389i,-7.9635e-05+0.00035906i,-0.00038021+1.3056e-05i,-5.0036e-05-3.6722e-05i,0.00028187-0.00019526i,0.00018907-0.00051664i
7.7992e-05-0.0010957i,-0.0012275-0.00044871i,-0.0017874+0.00039554i,-0.002194+0.0010538i,-0.0018399+0.00091609i,-0.00078403+0.00080678i,1.2032e-06+0.00054926i,0.00099035+0.0001197i,0.0019223+0.00076383i,0.0015033+0.001531i,0.00087546+0.0015391i,8.3509e-05+0.00034457i,0.00025463-6.8601e-05i,0.00058533+0.00054648i,4.5793e-05+0.00037642i,0.00010608-0.00015267i,-0.00048211-0.00014485i,-0.0014429-0.00013288i,-0.0015954+4.5487e-05i,-0.00069775+0.0010616i,-0.00035111+0.0011051i,-0.00034246+0.0004625i,-7.0565e-05+0.00014121i
-0.00093916+0.0022407i,0.00066646+0.0021023i,0.0018005+0.0019104i,0.0017469+0.0019874i,0.0018075+0.0010225i,0.0016544-0.00049089i,0.0003863-0.00068883i,3.0935e-05-0.00020556i,0.0015131-0.00016231i,0.0026698-0.00036526i,0.0019381-0.00048157i,0.00082738-0.00041614i,0.00033498-6.2104e-05i,-0.00028906-0.00010243i,-0.00037667-0.00019375i,0.00031822-0.00013451i,0.00077837-0.00044031i,0.00070718-0.00049747i,-4.5229e-07-0.00057121i,-0.00031009-0.00049106i,9.8742e-05-0.00028133i,-0.00019155+0.00021016i,-0.00089155+0.00041758i
-4.7509e-05-0.00010953i,0.00026804+0.00036446i,-3.713e-05+0.0010796i,-0.00054719-0.00014974i,-0.00029038-0.0010213i,0.00025082-0.00049483i,2.743e-05+0.00039373i,-0.00012543+0.00029441i,0.00019069-0.00072827i,-0.00016632-0.0012746i,-0.00073997-0.001049i,-0.00053414-0.00047572i,-0.00020554-0.00064998i,-0.00032567-0.00057511i,-0.00045879-0.00018596i,-0.00039907-0.00068478i,-0.00044915-0.001333i,-0.00034675-0.00067521i,-0.00087858+1.2765e-05i,-0.0012556+0.00029451i,-0.0010996+9.335e-05i,-0.00064377-0.00021841i,-0.00056396-0.00054468i
-0.00022276+0.00064751i,-0.00095829+0.0016236i,-0.0015019+0.00075106i,-0.0014029-0.00036456i,-0.00075054-0.00099525i,5.7662e-05-0.00091151i,0.00031597-0.00056293i,1.8112e-05-0.00015071i,-0.0013693-8.5437e-05i,-0.0019756-0.00030266i,-0.00063824+1.7648e-05i,0.00069217+0.0001119i,0.00080801+7.188e-05i,0.00061573+0.00021388i,8.2359e-05+0.00026152i,0.00013284+0.00037063i,0.00021002-0.00011779i,-0.00051588-0.00057082i,-0.00038916-0.00039672i,0.00013104-0.0002775i,0.00029958-1.6628e-05i,0.00055895+0.00056013i,0.00045232+0.00059191i
-0.0003798-0.00032155i,-0.00083416+0.00029129i,-0.00087702+0.0011428i,-0.00042845+0.0010022i,0.00017392+0.00030902i,0.00034429-5.1311e-06i,-0.00011593+0.00043744i,-0.00071501+0.0011808i,-0.0011539+0.0020062i,-0.001427+0.0015293i,-0.001005+0.0008701i,-0.00021415+0.00052852i,-0.0005922+0.0007226i,-0.00077638+0.00055747i,-0.00036534-0.00030438i,-0.00010734-0.00073626i,0.00010965+3.1812e-05i,0.00033558+0.00044285i,0.00029886+0.0001976i,-0.00011687+3.0395e-05i,-0.00015063-4.5211e-05i,-0.00028951-0.00053243i,-7.7164e-06-0.00056353i
2.8421e-05-5.863e-05i,-0.00033933+0.00044361i,6.2457e-05+0.0009317i,0.00035651+0.0012896i,-0.00019864+0.0011746i,-0.00062246+0.0014158i,-0.00043783+0.0018605i,-0.00015116+0.002175i,-5.4462e-05+0.0025307i,4.035e-05+0.0025393i,0.00091124+0.0023472i,0.0014444+0.0021221i,0.00077336+0.0011109i,0.00036355+5.6522e-05i,0.00015008+0.00030584i,-0.00054694+0.00085963i,-0.00062878+0.0012704i,-2.8812e-05+0.0009706i,-0.00055367+2.9664e-05i,-0.00086533-0.00093519i,-0.00018347-0.0014959i,0.00044696-0.0015756i,0.001051-0.0015868i
-0.00073532-0.00071215i,-0.00078886-0.00023467i,-0.00056469-0.00044497i,-0.00027468-0.00069856i,0.0010419+8.3152e-05i,0.0018906+0.00078233i,0.0014037+0.0010603i,0.0014583+0.00095362i,0.002821+0.00058196i,0.00333+0.0010168i,0.0018619+0.0016118i,0.00068338+0.0012318i,0.0005734+0.00059313i,0.00012244+0.0012428i,-0.00011785+0.0012827i,0.00013586+0.00010493i,0.00055885-0.00037779i,0.00083013-0.00024463i,0.00070075-0.00030309i,0.00041057-0.00019451i,0.00039113+0.00036315i,0.00061539+0.00021305i,0.00040799-0.00016908i
-0.00026445-0.00020141i,-0.0012163+0.00094575i,-0.0027438+0.0010383i,-0.0019771+0.00063341i,-0.00049088+0.0010771i,-0.0004018+0.00082243i,0.0002356-0.00048975i,0.00095098-0.00022824i,0.001374-0.00022541i,0.0021928-0.00098358i,0.0021936-0.0010277i,0.0019006-0.00027142i,0.0019186+0.00029886i,0.0016511+0.00081125i,0.00050261+0.00098111i,-0.00041161+0.0004072i,-0.00031805+0.00045833i,0.00032035+0.00068734i,0.00048113+0.00044354i,-0.00018329-0.00020637i,-0.00023777-0.00051368i,0.00045527-0.00066785i,6.8625e-05-0.0013887i
-0.00069317+0.0024583i,-2.6564e-05+0.0016406i,0.00098698+0.0010138i,0.0022632+0.00098635i,0.0026203+0.00012982i,0.0018182-0.00094511i,0.0011609-0.0013802i,0.0012042-0.00084335i,0.0010136-0.00081846i,-0.00045178-0.0012582i,-0.0016054-0.0015614i,-0.00097556-0.0016149i,5.9795e-05-0.0014723i,-6.2995e-05-0.0016578i,5.6286e-05-0.0017324i,0.00011915-0.0013042i,-8.9799e-06-0.00029971i,0.00013994-0.0003089i,1.1527e-05-0.00084123i,-0.00040796-0.0006395i,-0.00051825-0.00022021i,-0.00042129-0.00018871i,-0.00030871-0.00019632i
-0.00089428-0.0011024i,-0.0011398+0.00028296i,-0.0025148+0.0020414i,-0.0027152+0.0023999i,-0.0010229+0.0018364i,-0.00024656+0.00057021i,-0.00051487-0.00059708i,-0.00086949-0.00044545i,-0.0015932-0.00046382i,-0.0025027-0.00047014i,-0.00257-0.00063793i,-0.0012503-0.00064647i,2.2577e-05-0.00065151i,0.00025107-0.0013211i,-0.00031302-0.0018178i,-0.00050651-0.0016478i,-0.00070033-0.0012453i,-0.00064095-0.00072843i,-0.00093145+0.00010141i,-0.00027515+0.0005398i,0.0010191-1.626e-06i,0.00080372-0.0003424i,0.00015037-0.00060985i
-0.0016877-0.00078388i,-0.002202-6.6922e-05i,-0.0023012+0.00102i,-0.0011939+0.0011231i,-0.00021035+0.00044644i,-4.1592e-05+0.00075634i,-0.00030662+0.00073426i,-7.6813e-05+0.00082156i,-0.00053654+0.0018402i,-0.0015011+0.0020927i,-0.0014287+0.0016031i,-0.0011874+0.00066752i,-0.00095642-0.00014734i,-0.0005422-0.00062824i,-0.00027172-0.00052744i,-0.00060641-0.00058668i,-0.00047702-0.00098474i,-0.00028459-0.00071182i,-0.00077753-0.0002001i,0.00035757+0.0003999i,0.00084334+0.00083612i,0.00033799+0.00066328i,0.00048569+0.00033371i
0.00090799+0.00091267i,0.00023422+0.00034264i,0.00015405+0.00014948i,0.0012801-0.00065626i,0.0019081-0.00095549i,0.00079446-0.00025738i,-0.00024493+7.8778e-05i,-1.4773e-05+0.00053807i,-0.00029617+0.0010804i,-7.6484e-05+0.0016591i,0.00030946+0.0021439i,1.9586e-05+0.0014288i,2.7489e-06+0.00073315i,-0.00018949+0.00091565i,-0.00035436+0.00073782i,0.00032958+0.00055083i,0.00057552+2.0159e-05i,0.0002337-0.0007869i,-9.2052e-05-0.0008671i,-0.00067509-0.00030108i,-0.00096212+4.8566e-05i,-0.00044064-0.00030557i,-0.00015439+6.3654e-05i
-0.00043399-5.9675e-05i,1.6441e-05-2.1328e-05i,0.00091151+0.00069684i,0.00084428+0.00095218i,0.00031895+0.0012121i,0.00045835+0.00051523i,0.0013385-0.00014481i,0.0014422-0.00024366i,0.0015511+0.00019469i,0.001777+0.00073359i,0.0010406+0.00065374i,0.00058915-0.00011713i,0.00057782-0.00043698i,-0.00011303+0.00078478i,-0.00064026+0.0011169i,0.00012972+0.00051643i,0.00078427+0.00029466i,0.00072143-4.6251e-05i,-0.0002153-0.000532i,-0.00092258-0.0003312i,-0.00043386+6.2663e-05i,-0.0001024-2.532e-05i,-3.2488e-05-0.00036081i
0.00096714+0.0015803i,0.00041813+0.00055356i,0.00035147-0.0001606i,0.0011526-0.00085738i,0.00074889-0.00090355i,-0.00011687-0.0001032i,-0.00045408+0.00015576i,0.00026905-4.0812e-06i,0.00089076+5.9416e-05i,0.0017803-0.0002133i,0.0017749-0.0012037i,0.00052188-0.0013321i,0.00043329-0.00063161i,0.00081679-0.0005873i,0.0002838-0.00090761i,-0.00065415-0.00098057i,-0.00011467-0.00077076i,0.0002815-0.00054918i,-0.00036709-0.00019657i,-0.00077854+0.00040824i,-0.00037297+0.00098947i,0.00051339+0.0010762i,0.00072763+0.00093149i
-0.001883+0.00032002i,-0.0022714+0.0016324i,-0.0022519+0.0022695i,-0.002348+0.0021895i,-0.001349+0.0014012i,-0.00018488+0.00024862i,0.00017517-0.00015431i,0.00067002+6.84e-05i,0.00053751+1.7842e-05i,0.00025428-0.00054006i,0.00013992-0.0012555i,0.00022864-0.0017522i,0.00048552-0.00098087i,0.0008558-0.00040393i,0.0009096-5.1627e-05i,-2.6817e-05+0.0002964i,-0.00082937-0.00019483i,-0.00078753-0.00057624i,-0.0006622+0.00017379i,-0.0005186+0.00076905i,-0.00014591+0.00083483i,0.00099379+8.1387e-05i,0.0015841+8.4901e-05i
-0.00030018+0.0018963i,-0.00034279+0.0019318i,0.00062408+0.0027125i,0.0019578+0.0032699i,0.0019384+0.0029144i,0.0010033+0.0016264i,-0.00020507+0.00016012i,-0.00088046-0.00025781i,-0.00065721-0.00084501i,-0.00059282-0.0010194i,-0.0010904-0.00025531i,-0.0010529-0.00022506i,-0.0010494-0.00053646i,-0.0014319-0.00016891i,-0.0017443+0.00033156i,-0.0015147+0.00046043i,-0.0013119+0.00029272i,-0.00076465-0.00028492i,-0.00014429-0.00074366i,-6.5174e-05-0.00036059i,-0.00027227-0.00029741i,-0.00074701-0.00063228i,-0.00056566-0.00045637i
-0.00071156+0.00044916i,-0.0017721+0.00062854i,-0.0017337+0.0018394i,-0.0010453+0.001638i,0.00073204+0.00078195i,0.0013055-2.0996e-05i,0.00029901-0.00046308i,-0.00052704-0.00012216i,-0.0013307+0.00041435i,-0.0017079+0.00017323i,-0.00032651-0.00018918i,0.00074163+0.00062204i,8.1472e-05+0.00084843i,0.00013714+0.00026272i,0.00012964+8.8822e-05i,8.7322e-05+0.00011195i,0.00082967+0.00012739i,0.00079835-3.5787e-06i,7.888e-05+7.4008e-05i,5.0148e-05+0.00042276i,-0.0001245+0.00040126i,-0.0011176+0.00020069i,-0.0011066+0.00018068i
0.00062296+0.00014572i,0.00026639-0.00095203i,0.00040853-0.001608i,0.00058223-0.0015948i,0.000734-0.0015686i,0.0009467-0.0017162i,0.00039444-0.00079891i,-0.00011792+0.00042592i,-0.00035616+0.0011354i,-0.00019955+0.0013087i,0.0003539+0.0012394i,0.00043898+0.00050542i,0.00073496+0.0004358i,0.0011269+0.00093273i,0.00065546+0.0013607i,0.00075442+0.00099393i,0.0012084+0.00071842i,0.00060478+4.4206e-05i,-0.00016739-0.0013944i,-0.00041754-0.0013181i,-0.00021524+0.00034382i,-0.00021934+0.00073222i,5.1288e-05-0.00023384i
-0.0010035-0.00087419i,-0.00049929+0.00040656i,-0.00056175+5.4424e-05i,-0.0020985-0.00031052i,-0.0021088+0.00026287i,-0.00051786+0.00082949i,-1.8623e-05+0.00075082i,0.00015846+0.00067757i,0.00082946+0.00091561i,0.0015005+0.00049561i,0.0014556+0.00010593i,0.00072279-0.00028852i,0.00022446-0.0011627i,3.1307e-05-0.00078952i,-0.00025767-0.00071274i,-0.00011009-0.00079893i,0.00018141-0.00051843i,0.00049282-0.00051185i,0.00054373-0.00026086i,-0.00013239-0.0002138i,-0.00057928-0.00047786i,-0.00058079-1.2515e-05i,0.00014748-0.00011049i
0.0003058+0.0020598i,0.0011979+0.0021405i,0.0013337+0.0020745i,0.0012488+0.0017961i,0.00039842+0.00070512i,0.0003149+0.00035597i,0.00047644+0.0010092i,-2.8708e-05+0.00085913i,0.00061188+0.00075109i,0.001183+3.7541e-05i,0.00051944-0.0009828i,-0.0002629-0.0012119i,-0.00018202-0.00080122i,-0.0001898-0.00066314i,-0.00050388-0.0010131i,-0.0012427-0.00070728i,-0.0014035+0.00029437i,-0.00055821-6.7018e-05i,-0.00021856-0.00049153i,-0.00030355-6.6593e-05i,-0.00018403+0.00037008i,1.95e-05+0.00043592i,0.00047808+0.00044925i
0.0027447-0.00082255i,0.00078415-0.00071104i,-0.00096611-0.00095981i,-0.0015617-0.0019708i,-0.0013834-0.0013277i,-0.00082966+0.0011684i,-0.00072476+0.0016023i,0.00020745+0.00077547i,0.001011-0.0003161i,0.00076556-0.0011385i,-9.6019e-05-0.00048705i,-0.00079297+0.00085548i,-0.00099615+0.0021061i,-0.00093305+0.0012496i,-0.0008813-1.5055e-06i,-0.00047251+0.00033036i,0.00017714+0.00084779i,0.0005256+0.00092389i,-0.00029295+0.00048595i,-0.0010258+0.00042577i,-0.0012544+0.00038195i,-0.00078009+1.3178e-05i,-6.138e-05+6.2854e-05i
-0.00031471-0.0001381i,4.9255e-05+0.00027802i,0.00032193+0.001531i,0.00041348+0.0010069i,0.0013931-0.00036823i,0.0011379-0.0010099i,0.00057651-0.00090869i,0.00084713-6.489e-05i,0.00041329+0.00057376i,1.6973e-05+0.0005995i,0.00041387+0.00026739i,0.00061832+0.00058587i,0.00048117+0.0010521i,0.00064808+0.0006752i,0.00092359+0.00088874i,0.0010954+0.0013908i,0.00099364+0.00084207i,0.0005803+0.00052294i,0.00049844+0.00049873i,0.00031044+5.9965e-05i,0.00052608+0.00026629i,0.00067074+0.00010751i,-3.6914e-05-0.00060219i
-0.00079092+1.0912e-05i,-0.0012579-1.7095e-05i,-0.0014282-0.00049509i,-0.00054069+0.00023021i,7.3252e-05+0.00070445i,-2.7385e-05+0.00055846i,9.6435e-05+0.0012227i,0.00038557+0.0014446i,-0.00010187+0.00088877i,-0.0011897+0.00067613i,-0.00047387+0.00087363i,0.00065449+0.00085707i,0.00064367+0.00088504i,0.0012577+0.00023994i,0.0016385-0.00041i,0.0012653-0.00042764i,0.0015672-3.1394e-05i,0.0011671+8.2632e-05i,0.00057373-0.00015896i,0.00071928-0.00023402i,0.00026709-0.00024316i,-0.00061711-0.00038929i,-0.00065458-0.00041897i
-0.0031859+0.0013463i,-0.0026369+0.0020483i,-0.0017371+0.0025332i,8.206e-05+0.0025585i,0.0011853+0.0016782i,0.0010094+0.00048867i,0.00063908-5.0498e-05i,0.00086603+0.00030013i,0.00064473+0.0013035i,0.00053508+0.0015181i,0.0010821+0.00059873i,0.00078585-0.00057248i,0.00027405-0.0012878i,0.00028969-0.0016546i,0.00050182-0.0021933i,0.00066405-0.0018142i,0.00066785-0.0011659i,0.00014203-0.00054465i,-5.8485e-05-0.00035393i,-0.00046314-0.00070444i,2.154e-05-0.0004338i,0.00063295-9.7805e-05i,-0.00020839+8.5918e-05i
-0.00025661-0.00051529i,0.00016005+0.00077311i,-0.00060907+0.0019604i,-0.0010751+0.002151i,0.00021771+0.0015905i,0.0018127+0.00046849i,0.00070894-0.0013368i,-0.00073042-0.0019004i,-0.00063076-0.00033134i,-0.00010994+0.00074579i,0.00086959+0.00028121i,0.0013322-7.1972e-05i,0.00049232-0.00044879i,-0.00047114-0.00059597i,-0.0014462-0.00059674i,-0.001866-0.0017676i,-0.0010941-0.0021099i,-1.7974e-05-0.0014831i,0.00058449-0.00095i,0.00018104-9.0181e-05i,-0.0004129+0.00016274i,4.6894e-05-0.00043978i,8.483e-05-0.0012405i
0.0011485+0.0015231i,-6.8043e-05+0.0017796i,1.8876e-06+0.0015799i,-0.00026807-0.0001147i,-0.00055867-0.0017419i,-0.00063117-0.0017768i,-0.0013234-0.00058343i,-0.0016183+0.00088242i,-0.0011924+0.00088285i,-0.00024119+0.0003431i,0.00046436+8.1689e-05i,-0.00054547-0.00075839i,-0.0016722-0.0010929i,-0.0019533-0.00033701i,-0.001836+0.00048766i,-0.0015074+0.00055505i,-0.0010262+0.00027646i,-0.00055231+0.00012276i,-0.00034818+0.00040998i,-0.00049839+0.00099836i,-0.00040794+0.0011289i,0.00046634+0.00039137i,0.0012749-0.00045873i
