-0.004359+4.6745e-05i,-0.0039238+0.0012238i,-0.0042292+0.0023013i,-0.002991+0.0021386i,-0.0014513+0.0015421i,-0.00098705+0.0017856i,0.00032276+0.0020445i,0.00063685+0.0022594i,0.00012458+0.0015525i,0.00080386+0.00067522i,0.00098152-0.00033843i,0.00011057-0.00081239i,-0.00043213-0.00082175i,-0.00060594-0.0013841i,-0.0006355-0.00075168i,-0.00041711-4.0264e-05i,-0.00029786+0.00014997i,-2.827e-05+0.0006837i,0.00031673+0.00059475i,0.00037914+0.00046855i,-9.8282e-05-0.00015686i,-0.00019777-0.00068175i,0.00069805+0.00035069i
-0.00050147+0.00062919i,-1.8922e-05-4.3915e-05i,0.00054096+3.3321e-06i,0.0005033+5.5935e-05i,0.00025292-0.0004213i,0.0010774-0.00088835i,0.00095862-5.9416e-05i,0.00087483+0.00067007i,0.0015534-0.00015161i,0.0016924-0.0011435i,0.00081601-0.00077514i,-0.00039984+0.00033333i,-0.0011669+0.00058614i,-0.0013702+0.00031299i,-0.00068173+0.000589i,-0.00020349+0.00082797i,-0.00029077+0.00017642i,0.0004829-0.00048084i,0.00099427-4.0552e-05i,0.00066573+0.00029508i,0.00050094-0.00028313i,0.00033104-0.00082482i,0.00058165-0.00039327i
0.00096349-0.0014945i,0.0010261-0.0022309i,0.0012474-0.0018482i,0.0010923-0.0018463i,0.00046105-0.0018831i,-0.00021892-0.0004015i,9.4374e-05+0.00071445i,-0.00015366+0.00038123i,-4.5653e-05-0.0008067i,0.00063691-0.0013163i,0.00030564-0.00095916i,-0.00080126-0.00057513i,-0.0010115-0.0002928i,-0.0010158+9.7889e-05i,-0.0011763-0.00055117i,-0.0010001-0.0012089i,0.0002763-0.00064022i,0.0012388+0.00031651i,0.00084871+0.00037634i,0.00063178+0.00041648i,0.00063681+0.00095465i,0.00041374+0.0010444i,-0.00053797+0.0011304i
0.00059191+0.00095276i,0.00015458+0.0015324i,-0.00018277+0.001523i,0.00056522+0.00030399i,0.0013452-0.001452i,0.00030212-0.00151i,-0.00044617-0.00061364i,0.00090589+0.00012886i,0.0017112+0.00056271i,0.00067439-4.1965e-05i,-0.00014703-0.00077899i,-0.00011791-0.00043462i,-0.00017402-6.4845e-05i,-0.00049078-4.0527e-05i,-0.001012-6.8913e-05i,-0.0010871-4.7349e-05i,-0.0008382+0.00015133i,-0.00060961+0.00011483i,-0.0001483+0.00028642i,0.00039106+0.00023719i,0.00079744+0.00012279i,0.00046279+0.00012712i,-0.00011931-5.4728e-05i
0.0009816-0.00043865i,0.00088007-0.00038748i,0.0015085-0.00097945i,0.0011479-0.0020068i,0.0004089-0.0024256i,0.00057355-0.0004385i,0.001992+0.0010135i,0.0025141+0.00034799i,0.0014359-0.0011421i,-5.3455e-05-0.0018268i,-0.00085978-0.0017299i,-0.00091259-0.0010159i,-0.00080715+7.2235e-05i,-0.00086834+0.00059316i,-0.00029327+0.00068489i,0.00025634+0.00037129i,0.00026836-0.00034316i,0.00022605+0.00020784i,0.00051915+0.00076921i,0.00052654+0.00052139i,0.00020677+0.00099459i,5.5407e-05+0.0011938i,-0.00025333+0.00039771i
-0.0025537-0.0007628i,-0.0020735-0.00017239i,-0.0013066+0.00012765i,-0.00013479+0.0001258i,0.0016413-0.00024032i,0.0024834+0.00025066i,0.0015068+0.00046096i,0.00033123-0.00024658i,-0.00015029-0.0004334i,-0.00082194-0.0006524i,-0.0011288-0.00096234i,-0.00096414-0.0014207i,-0.00043952-0.00068483i,-0.0003939+0.0006356i,-0.00087851+0.00080926i,-0.00029849+0.00049727i,0.00011775+0.00040796i,-0.00016879+0.0011356i,-4.2418e-05+0.0010678i,-8.9723e-05+1.2949e-05i,-0.00023823-0.00047865i,-0.00044801-0.00077509i,-0.00084042-0.0009397i
0.00023619+0.0020695i,0.0018976+0.0026268i,0.0023299+0.0027323i,0.0023604+0.0016355i,0.0024712+0.00019194i,0.0019441-0.00056424i,0.0014299-0.00027374i,0.00061865-0.00011336i,0.00028091-0.00050351i,4.1583e-05-0.00082113i,3.1324e-05-0.0013304i,-0.00035335-0.0011155i,-0.00060551-0.00052983i,-0.00099164+3.1444e-06i,-0.00097794+0.0010953i,-0.00044143+0.001771i,-0.00033177+0.00093434i,-0.00016569+1.0379e-05i,0.00032609+2.3913e-05i,0.0003282+2.1034e-06i,0.00023269-0.00048928i,0.00077536-0.00033429i,0.0011393+0.00054063i
0.00033344-6.4873e-05i,0.00022212+0.0014249i,0.00047349+0.0014939i,-3.3814e-05+0.00037058i,-0.00032021-0.0005304i,3.9744e-05-0.00047998i,0.00084895-0.0002167i,0.00074464-0.000519i,0.00033828-0.0014483i,0.00036149-0.0020404i,-3.7508e-05-0.0019743i,-0.00053568-0.0015036i,-0.00070236-0.00073503i,-0.00053358+8.2062e-05i,-0.0002726+0.00019388i,7.8593e-05+0.00026539i,0.00039684+0.0010704i,-9.1105e-05+0.001823i,0.00023377+0.0016997i,0.0010777+0.00094569i,0.00049358+0.00059479i,-8.4252e-05+0.00064212i,-1.5422e-05+0.00044579i
-0.0019661-0.00086233i,-0.0023506+0.00035587i,-0.0020435+0.0012383i,-0.0013901+0.00077525i,-0.0010558+0.00022586i,-0.0019704+0.00012248i,-0.0036253+0.00057438i,-0.0046849+0.0023886i,-0.0044328+0.0035587i,-0.0027984+0.0037362i,-0.00055048+0.0036233i,0.00042502+0.0032225i,0.00045458+0.001846i,0.00095684+0.00035166i,0.0010505+7.6526e-05i,-0.00019032+0.00014529i,-0.0015073-7.7967e-05i,-0.0020027-9.0436e-05i,-0.0012879-0.0004217i,-0.0005412-0.0004173i,-0.0002701+0.00044679i,0.00046535+0.00078208i,0.0010172+0.00059273i
-0.00087023+0.00099811i,-0.0011088+0.0018358i,-0.00064038+0.0009576i,0.00050247-0.00048506i,0.0013288-0.0012061i,0.00077436-0.0004328i,4.9176e-06+0.00051714i,-2.9531e-05+0.0012053i,0.00029866+0.0010085i,0.00035991-0.00042473i,-1.7605e-05-0.0013699i,0.00031192-0.0017794i,0.00038605-0.0016128i,-0.00024934-0.0012734i,-0.00058462-0.00035142i,-0.00065788+0.00069088i,-0.00036635+0.0013554i,-0.00013419+0.00089293i,-0.00024295+5.5995e-05i,-8.9494e-05-0.00029577i,-0.00011844-0.00022338i,-0.00024114+0.00013238i,0.0004323-0.00010914i
-0.0013766-0.00021709i,-0.00044215-0.00021163i,1.1755e-05-0.00023475i,-5.9184e-05+0.00027974i,-0.00026597+0.00082468i,0.00024118+0.00088548i,0.00073265-0.00017573i,0.00072725-0.00080067i,-0.00010418-0.0010036i,-0.0011291-0.0010956i,-0.0005453-0.00083739i,0.00027314-0.00071879i,6.8699e-05-0.00012592i,-0.00025342+0.00041397i,0.00013461+0.00046643i,0.0006975+0.00058235i,0.00020241+0.00070156i,0.00042453+0.00054704i,0.00089825+0.00032169i,0.00054598-0.00051007i,0.00045801-0.00098999i,0.00065165-0.00078252i,0.00063814+0.00023662i
-0.0013374-0.00016489i,-0.0013846+0.0003694i,-0.00097338+0.00048453i,-0.00052376+0.00063386i,-8.9535e-05+0.00088934i,0.00040993+0.00065199i,0.00069187-0.00022342i,0.00052925-0.00013418i,0.00016261-0.00016163i,-0.00030482-0.00023692i,-0.00033457-0.0011205i,0.0001367-0.0014229i,1.5819e-05-0.00033289i,-0.00019966+0.0001922i,-0.00045728+0.0005007i,-0.00060467+0.00067176i,-2.3857e-06+0.00035422i,0.00066365+0.00087306i,0.00068255+0.0013615i,0.00052592+0.0013554i,0.00026499+0.0011699i,-0.00027368+0.00064255i,-0.00064735+8.8164e-05i
0.00078405-0.0011128i,0.0014338-0.0016701i,0.0010427-0.001615i,-0.00023558-0.0016089i,-0.00035461-0.0015486i,0.00077774-0.00012098i,0.0013426+0.00080888i,0.00068901+0.00053436i,0.00029739-1.3571e-05i,-0.00019726-0.00088058i,-0.00047138-0.0010909i,7.9073e-05-0.00037861i,0.00069271-0.00033089i,0.00055085-0.00056614i,-0.00037803+4.463e-05i,-0.00032272+0.0004708i,-0.00015149+0.00040323i,-0.00035327+0.00049546i,0.00040429+0.00096398i,0.00083557+0.001071i,0.0004529+0.00052i,-0.00052766-8.507e-05i,-0.001361-3.8844e-05i
0.00064749-0.001502i,0.00044556-0.0017537i,0.00026702-0.0018661i,0.00027966-0.0015705i,0.00010214-0.00070197i,0.00044759+0.00046918i,0.00074599+0.0017937i,0.00073646+0.0014355i,0.00082368+9.0748e-06i,0.00075238-0.0010191i,0.00062647-0.0010812i,1.926e-05-0.00026472i,0.00020387+0.00021869i,0.00094888-0.00010387i,0.00075369+0.0002623i,0.0001142+0.0012189i,-0.00019481+0.000997i,-0.00021509-0.00010474i,-0.00042989-0.00023124i,-0.00087025+0.00015972i,-0.00055285-7.6071e-05i,-0.00081402+0.000344i,-0.00081546+0.00042397i
-0.00046553-0.00074888i,-0.0012565-0.0011968i,-0.0019603-0.001079i,-0.0014053-0.00034908i,-0.00062067+0.0001369i,-0.00037744+0.00028988i,1.5388e-05-2.2081e-05i,0.00017646+0.00010424i,0.00013724-0.00012013i,-0.00022675-0.00073903i,-0.00025496-0.0011982i,0.00024425-0.00035473i,-0.000247+0.00032669i,-0.00068321-0.00031712i,-0.00081023-0.00023436i,-0.00062825+0.00037757i,-8.4294e-05+0.0010635i,-0.00028008+0.001251i,-0.00019141+0.00065384i,-0.00018296+0.00035275i,-0.00016711+0.00061817i,5.4385e-05+0.00061655i,-0.00040182+5.9992e-05i
-0.0010284-0.0004608i,-0.00036256-0.00016504i,-0.00030009-0.0001015i,-0.0002652-0.00053077i,0.0003608-0.00028683i,0.00029113+0.00010631i,0.00042828-0.00023489i,0.00037111-7.9065e-05i,0.00031769-0.00021149i,0.00024086-0.0017223i,-0.00032234-0.002384i,-0.00071148-0.0015977i,-0.00094715-6.5325e-05i,-0.001151+0.00067938i,-0.0012829+0.00013311i,-0.00012882+0.00020296i,0.00014188+0.0011156i,-0.0010181+0.0013759i,-0.0013239+0.00023461i,3.5587e-05-0.00040799i,0.00059838+0.00014776i,0.00035391+0.00099325i,0.00026168+0.0013099i
-0.00092236-0.00098731i,-0.00035257+0.00027279i,-0.00060099+0.00055511i,-0.00018034+0.000441i,0.00036558+0.00089669i,0.00066899+0.0010433i,0.001693+0.00030159i,0.0013336+0.00015564i,0.00020811-0.0002384i,-0.00035499-0.0011168i,-0.0002889-0.0018718i,0.00021938-0.0027844i,-0.00027109-0.0026699i,-0.00080043-0.001285i,-0.0011017+0.00066538i,-0.001348+0.0011319i,-0.001623-5.9478e-05i,-0.0010178-7.4835e-05i,-0.00010651+0.00055774i,0.00028082+0.00042444i,0.0006324+0.00050581i,0.00010771+0.0003198i,-0.00056395-0.00043176i
-0.0020888-0.00061963i,-0.0017371+0.00042937i,-0.0015121+0.0019603i,-0.00066142+0.0019588i,0.00062777+0.000662i,0.0010348-7.28e-05i,0.0011013+0.0001614i,0.00078309+0.0010935i,-5.9712e-06+0.00069362i,-3.2855e-05+0.00018177i,0.00033799-2.6203e-06i,0.00032583-0.00026279i,-7.1982e-06-0.00049724i,-0.00021186-0.00070719i,-0.00040827-0.00026286i,-0.00041142+0.00060676i,-5.0708e-05+0.0011496i,-0.00040469+0.00095502i,-0.0013216+0.00074661i,-0.001113+0.00047626i,0.00020034+0.00011144i,0.00055734-0.00030546i,-0.00014062-0.000179i
-0.00036652-0.00020905i,-0.00025635-0.0010364i,-0.00030446-0.0019992i,-0.0005014-0.0018579i,0.00054391-0.0014356i,0.00087422-0.00032581i,0.00045924+0.00041685i,0.00020829+0.00031095i,-0.00029863-0.00023006i,0.00021604-0.00073366i,0.00050171-0.00096524i,-0.00023213-0.0013115i,-0.0006802-0.00079601i,-0.00046621-0.00022401i,0.00022968+0.0001911i,0.00025897+0.00029136i,-0.00038296+5.0792e-05i,-0.00078714+0.00020124i,-0.00094565+0.00030885i,-0.0011274+0.00097779i,-0.00088493+0.0012161i,-0.0003038+0.00024219i,-0.00017882-0.00043689i
0.0012445-0.0032591i,0.00025759-0.0023056i,-0.00036787-0.0012814i,-0.00010873-0.0014624i,-0.00070491-0.0015975i,-0.00092324-0.00021021i,0.00053321+0.0010057i,0.0020824+0.00081369i,0.0017659+0.00086324i,0.0003206+0.00079055i,4.2005e-05-5.3383e-05i,0.00012378-0.00013747i,-0.00037836-2.9288e-05i,0.00040801+1.0249e-06i,0.0011465-0.00021038i,0.00050488-0.00026078i,-0.00013377-5.4406e-06i,-0.00031194+0.00060533i,-0.00028788+0.00098232i,-0.00019284+0.00068331i,-2.4619e-05+0.0011803i,0.00053656+0.001251i,0.00070185+0.00056246i
-0.002425+0.00057046i,-0.0025153+0.00043455i,-0.0011153+0.0015966i,0.00041969+0.0015646i,0.00067057+0.00096529i,6.5057e-05+0.00041605i,-0.00031018+0.00018985i,-7.1399e-05+0.00027385i,0.00032766+6.2041e-05i,-0.00031171-0.0005243i,-0.00099955-0.0010163i,-0.00078531-0.0015971i,-0.00060213-0.001793i,-0.00052725-0.00082376i,-0.0010324+0.00058336i,-0.0015583+0.00082674i,-0.0010928+0.00065053i,-0.00068926+0.0011972i,8.2222e-05+0.0012503i,0.00031936+0.00051555i,-0.00018963+0.00018141i,-0.00013615-7.3478e-05i,-0.00034874+8.7563e-05i
-0.000168-0.00077002i,-0.0012593-0.0010377i,-0.0017005-0.0014673i,-0.0014084-0.0016621i,-0.00033568-0.00099561i,9.9567e-05+7.6408e-05i,0.0006265+0.001445i,0.00138+0.0019536i,0.0011675+0.00022297i,0.0011679-0.0016563i,0.0014598-0.0019842i,2.7621e-05-0.0016488i,-0.00069635-0.00099401i,-0.00034224-0.00032331i,-0.00068496+0.00046376i,-0.00099395+0.0011921i,-0.00093915+0.0015208i,-0.001063+0.001679i,-0.00057882+0.00066517i,7.2817e-05-0.00030345i,-0.00011225-0.00014608i,-0.0004307-0.00017486i,0.00031553-0.00031717i
-0.00021361+0.00032369i,0.0004017+0.00074672i,0.00080377+0.001398i,0.0021316+0.00024926i,0.0023595-0.00096965i,0.00094867-0.0012243i,0.0008959-0.00073157i,0.00096298+0.00040062i,0.00044289+0.00018647i,1.2511e-06-0.00062697i,-0.0001186-0.00053928i,-0.00059356-0.00041457i,-0.0003427-0.00043205i,-0.00049868-0.00031058i,-0.0013951-0.00025773i,-0.0016776+0.00029338i,-0.0013536+0.0010768i,-0.0007569+0.0012487i,0.00015013+0.0011715i,0.00049839+0.00046631i,0.00032776+0.00032735i,-0.00018313+0.0002742i,-0.00077964-0.00036968i
0.00052803-0.00060434i,0.00071614-0.002358i,0.00023944-0.0021814i,-0.00028724-0.001742i,0.0004215-0.00080127i,0.00055401+0.0012401i,0.00058239+0.002078i,0.0011218+0.0022271i,0.00091601+0.0013898i,0.00054237-0.00033978i,-6.3969e-05-0.0011721i,-0.00024021-0.0011699i,0.00018539-0.0010636i,0.00083351-0.00085083i,0.0012251-0.00099161i,0.0007242-0.00090561i,-0.00016822-0.0005219i,-1.8556e-05+9.629e-05i,0.00074145+0.00096691i,0.00061682+0.00046116i,0.000828-0.00036975i,0.00088967-0.00047343i,0.00064192-0.0003221i
-0.0010936-0.00089498i,-0.0013618-0.00092915i,-0.0018522-0.00066624i,-0.00089815-0.0012515i,0.0010549-0.0010297i,0.0011936+0.00013515i,0.00065052+0.0011932i,0.00092588+0.00065284i,0.00075075-4.0369e-05i,0.0002623-0.0001233i,0.0001961-0.0004437i,-0.00048323-0.00061825i,-0.00079164-0.00057063i,-0.0011814-0.0004402i,-0.00059365-0.00062368i,0.0001371-0.00080373i,0.00049721-0.00045016i,0.00036082+0.00055705i,0.00019377+0.00075553i,0.00044392-6.2949e-05i,8.3713e-05-0.00039519i,0.00023653-0.00026185i,0.00026338-3.7951e-05i
-0.00081842+0.00081184i,-0.00033097+0.00028217i,0.0011955+0.0010152i,0.002194+0.0013591i,0.0020905+0.0010429i,0.0017084+0.00034286i,0.00076924+0.00045197i,0.00014418+0.000669i,0.00027191-0.00013721i,0.00033441-0.00056371i,0.00038618-0.00069184i,-0.00051189-0.0010827i,-0.0010917-0.0015367i,-0.00098287-0.00091999i,-0.00094455+0.00024198i,-0.00079731+0.00087499i,-0.00019715+0.00088545i,0.00065877+0.00045879i,0.00028948+0.00072001i,-9.323e-05+0.00062974i,3.2247e-05+4.2847e-05i,7.1754e-06+0.00032961i,-1.566e-05+0.00029322i
0.0012348-0.0001117i,0.00083864-0.00029434i,0.00023926+0.00015823i,-0.00017862-0.00065561i,-8.2961e-05-0.00081742i,-0.00013749+0.00075443i,-0.00031047+0.0010856i,0.00018897+0.0010143i,0.00041561+0.00066282i,8.1144e-06-0.00055139i,-0.00042168-0.0013535i,-0.00063192-0.00095866i,-0.00051169-0.00046151i,-9.4067e-05+6.2707e-05i,0.00015197+0.00074292i,-0.00015844+0.0007007i,-0.00035401+0.00050278i,2.3639e-05+0.00037396i,0.00010723+0.00028554i,-0.00013527-7.1874e-05i,-0.00049565+0.00029963i,-0.00032102-9.9507e-05i,0.00014264-0.0009888i
-0.00010603+0.0023744i,0.0014473+0.001622i,0.0024514+0.001166i,0.0035182-0.0013243i,0.0031987-0.0028306i,0.0016853-0.0017994i,0.00043655+0.00037831i,-7.9015e-05+0.0015284i,0.00036819+0.00092113i,0.00042751-0.00016968i,-0.00082997-0.00046329i,-0.0013596-0.00063934i,-0.0007676-0.00082462i,-8.9486e-07-0.00038272i,-0.00038802+0.00037699i,-0.0011125+0.00083098i,-0.00087629+0.0015922i,-0.00043619+0.0021158i,-7.2212e-05+0.0013686i,0.00041843+0.0002358i,0.00023433-0.00050881i,-0.00026069-0.00067647i,-0.0002378-0.00019347i
0.00018695+0.00083706i,0.00035462+0.00026232i,0.0012396+0.00013569i,0.0012899+0.00014468i,0.0015149-6.2235e-05i,0.0011088-4.7823e-05i,5.8288e-05+3.2983e-05i,6.8938e-05-0.00038102i,0.00031524-0.00060099i,-0.00036623-0.00013817i,-0.00051982-0.00023199i,-0.00011011-0.00052779i,-2.0631e-05-0.00052269i,0.00022599-0.0001529i,0.00017838+0.00021221i,-0.0003515+0.00012391i,-0.0004234+0.00031787i,0.00078423+0.00037218i,0.0011829+2.292e-05i,0.0014857+7.9659e-05i,0.0013183+0.00062495i,3.0231e-05+0.00031693i,-0.00091543-0.00029732i
9.7717e-05+0.0012053i,3.2354e-06+0.0010894i,0.00054073+0.00016374i,0.0018518-0.00044451i,0.0019762-0.00069058i,0.0012996-0.00084197i,0.00054796-0.00023078i,0.00027529+0.00028705i,0.00058138+3.1803e-05i,0.00051756+6.5529e-05i,-0.00038257+0.00026127i,-0.00058848-0.00013839i,-0.00074923-0.00044784i,-0.0013073-0.00058897i,-0.00097871+0.00027405i,-0.00093355+0.0002887i,-0.00062552-0.00019012i,0.00037471+0.0001323i,0.00083402+0.00013557i,0.001007+7.3953e-05i,0.00086646+0.00058479i,0.00054261+0.0010016i,0.00049335+0.0013307i
0.0018595+0.0010233i,0.0023145-0.00011516i,0.0024384-0.00051399i,0.0020508-0.00016661i,0.0011996+0.00028447i,0.0011081-5.1833e-05i,0.00069478-0.00029212i,0.00034111-0.00068453i,0.0011695-0.0010999i,0.001808-0.00043132i,0.0012169+0.00017058i,-0.00014866-3.3803e-06i,-0.0012333-0.00034671i,-0.0011715+2.0919e-05i,-0.00035623+0.00064028i,-0.00012287+0.0006899i,0.00021561+0.0004023i,0.0001947+0.00049111i,-0.00036576+0.00063762i,-0.00029971+0.00049089i,0.00014339-0.00012822i,-0.00046858-0.00049816i,-0.00051735-4.4873e-06i
0.0014634+0.0011841i,0.00074429-0.0014664i,0.0001855-0.0022534i,0.00051241-0.001778i,0.0014132-0.0022002i,0.0011301-0.0014726i,0.00046154+1.6013e-05i,0.00062424+0.00033791i,0.0011417+0.00014245i,0.00051087-0.0003573i,-0.00078984-0.0011735i,-0.00082696-0.0015179i,-0.0010813-0.0012084i,-0.0014329-0.0002451i,-0.000708+0.00066523i,-0.0004065+0.00058839i,-0.00030814+0.00077969i,-0.0004285+0.00073086i,-0.00065591+0.00065739i,-0.00050573+0.0011656i,-0.00020517+0.0011589i,0.00021513+0.00059469i,0.00016583-7.2186e-05i
-0.00035947+0.00068458i,-0.00027197+0.00063989i,-0.00020264+0.0010229i,0.00059408+0.00095351i,0.0014782+0.00072732i,0.0016994+0.00032891i,0.0015905+0.00028563i,0.0011588-6.421e-06i,0.00025949-0.0012834i,-0.00010508-0.0019801i,8.7416e-05-0.0015732i,-0.00022946-0.00050035i,-0.0008445-0.00014784i,-0.0012429-0.0010129i,-0.00099707-0.0015965i,-0.00026001-0.0013893i,-7.9059e-06-0.00069942i,0.00044834-0.00044572i,0.0010563-0.00054353i,0.00080849-0.0012454i,0.00011696-0.00086344i,0.00017332+0.0001196i,0.00029606+0.00013078i
0.0013054+0.0012683i,0.001925+0.00052884i,0.002623-0.00097892i,0.0030185-0.0030185i,0.0024545-0.0029787i,0.0016012-0.0017215i,0.0010362-0.00040594i,0.00041789+7.2498e-05i,-1.58e-05-0.00057829i,-5.4205e-06-0.0012843i,-0.00012377-0.0014327i,-0.00065998-0.00068692i,-0.00057662+0.00024732i,6.7289e-05+0.00069167i,0.00010468-4.4977e-05i,-0.00037317-0.00032924i,-0.00091076-0.00025634i,-0.00090657+0.0003946i,-0.00043131+0.00054183i,0.00020564+1.4336e-05i,-7.0368e-05+0.00076613i,-3.7389e-05+0.0010615i,0.00066989+0.00011809i
0.00056263+0.0011249i,0.0004212+0.00031709i,0.00091458+0.0010332i,0.00081044+0.0010967i,5.5775e-05-0.0004065i,-0.00044697-0.00044692i,-0.00081176+0.000543i,0.00029761+0.0010756i,0.00098575+0.00054368i,0.00061472-0.00077239i,0.00060991-0.0011925i,0.00013275-0.00079715i,-0.00058523-0.00064563i,-0.0012695+0.00014686i,-0.00093803+0.00025841i,0.00018147-0.00016971i,0.00019004-0.00025729i,-0.00022865-0.00069608i,0.00051181-0.00045444i,0.0010016-3.5066e-05i,0.0002406-0.00014237i,-0.00011727-9.585e-05i,0.00015488-0.00022579i
-0.00080747-0.00094857i,-0.00014129+1.3982e-05i,0.00027599+0.00020886i,-0.00042856-0.00040337i,-0.00056626-0.00080817i,0.00020773+0.00022913i,0.00096457+0.001327i,0.001843+0.0010156i,0.0016624+0.00013044i,-0.00015505-0.00056974i,-0.0010396-0.0010992i,-0.00029223-0.00085498i,0.0007053+3.1151e-05i,0.0005442+0.00076333i,-0.00030561+0.0010001i,-0.000697+0.00043406i,-0.00078368+0.00049873i,-0.00049718+0.00091255i,-0.00032383+0.0013389i,-0.00023508+0.0010696i,-0.00023099+0.00026444i,-0.0002508+0.00014331i,-0.00014089+0.00065235i
-0.0020122+0.00014291i,-0.0012295+0.0011594i,0.00074172+0.00146i,0.0019442+0.00087428i,0.0022834+0.00043949i,0.0016214-0.00015516i,0.00019197-0.00037029i,0.00082722-0.00048651i,0.0010636-0.00040714i,-0.00018874+0.00010287i,-0.00025187-0.00030683i,2.9802e-05-0.0010201i,-0.00047378-0.0010839i,-0.00050767-0.0013587i,-0.00043399-0.00038181i,0.00019111+0.00060145i,0.00012827+0.00070341i,-0.00073631+0.00031869i,-0.00079296-0.00041767i,0.00010152-0.00044472i,-0.00010856+0.00015244i,-0.00061642-0.00021048i,-0.0004218-0.00042811i
0.00088231+0.00019274i,0.00069488-0.00034601i,0.00027097+0.00028672i,6.0305e-05+0.00033462i,0.00077926+0.00048965i,0.0010586+0.00099403i,0.0013561+0.00061958i,0.0016841+0.00010552i,0.00075823-0.00023024i,-0.00021709-0.00066271i,5.3769e-05-0.001081i,0.00016127-0.0012107i,-0.00023632-0.00052853i,1.6002e-06-0.00032479i,1.1261e-05-0.00042344i,-0.00082013+0.00011719i,-0.00080238+0.00060813i,0.0002227+0.00070201i,-0.00013431+0.00050404i,-0.0010008+0.0005575i,-0.00025357+0.00052591i,0.00038199+0.00064652i,-0.00025968+0.0008691i
0.00076838+0.00024347i,0.00102-0.00044915i,0.0011532-0.00095352i,0.00068191-0.0014162i,0.00052898-0.0014968i,8.0018e-06-0.00073569i,-0.00050698+0.0011221i,8.3012e-05+0.0011518i,0.00096582-0.00024707i,0.0013132-0.001084i,0.00044127-0.001048i,-0.00048621-0.00128i,-0.0012582-0.0011984i,-0.0020763-0.00050508i,-0.0013436-0.0001254i,-0.00049923+0.00032257i,-0.00055388+0.0012743i,-0.00014989+0.0012448i,0.00032154+0.00055762i,0.00086649+0.00010854i,0.001533-0.00032034i,0.0013854-0.00017575i,0.00047464-0.00023367i
0.0015665-0.00015824i,0.0014269-0.00075204i,0.001222-0.00089553i,0.0013175-0.0013614i,0.0015301-0.0026228i,0.0010531-0.0023657i,0.00041186-0.00067548i,6.8289e-05-0.00046601i,-4.9688e-05-0.0011059i,-0.00030196-0.00069139i,-0.0009875+9.6836e-05i,-0.0013676+0.00022659i,-0.0013125+0.00022284i,-0.0010746+0.00034572i,-0.00080432+0.00011575i,-0.0003418-0.00064078i,0.00025898-0.00025818i,0.00034465+0.00055942i,0.0003583+0.0010684i,-5.2453e-05+0.0013705i,-0.00042917+0.0014132i,-0.00034387+0.0013887i,6.4848e-05+0.00089396i
0.0020463-0.0013806i,0.001154-0.0016387i,0.0015151-0.0020655i,0.0016444-0.0013925i,0.00024674-0.00043352i,5.5973e-05+0.00023318i,0.00096575+0.0007331i,0.0015338+0.00041152i,0.0011211-0.00015851i,0.00021631-0.00053081i,0.00031681-0.00036916i,0.00015822+0.00022132i,-0.00078025+0.00023246i,-0.0011283+0.00014481i,-0.0011243+0.00040554i,-0.0007343+0.0011928i,-0.00030133+0.001862i,-0.00069288+0.0016514i,-0.0012074+0.0010843i,-0.00034839+0.00095364i,0.00043768+0.00069683i,0.00056549+0.00030028i,0.00074818-3.9225e-07i
-0.00060052+0.0011849i,0.0008106+0.0014425i,0.0012725+0.0015708i,0.00097423+0.0015428i,0.00077687+0.00047855i,0.0008547-0.0005577i,0.00072752-0.00050153i,0.00035497-0.00024266i,0.00027311-0.00024673i,-0.00028522-0.00056139i,-0.00037879-0.00076875i,0.0006898-0.00097573i,0.00083374-0.00058269i,-0.00020109-1.1222e-05i,-0.00059474-0.00051993i,-0.00043895+3.9467e-05i,-0.00021897+0.0012444i,-0.0003177+0.0014648i,-0.00042014+0.0015235i,-0.00028205+0.0011368i,-0.0005926+0.00051269i,-0.00057247-0.00011035i,0.00017816-0.0010091i
0.0013676-0.0022794i,2.5959e-05-0.0024529i,-4.0059e-05-0.0031475i,0.00068708-0.0019874i,0.00039254-0.00028054i,0.00013892+0.0017635i,0.00067461+0.0026684i,0.0012088+0.00071105i,0.0010506-0.0017173i,0.00022736-0.0021295i,-0.00037083-0.0017371i,-0.00010928-0.00091274i,0.00028993-0.00056478i,0.00095917-0.00018305i,0.00013929+0.00059218i,-0.00071555+0.00071851i,-2.1769e-05+0.00060325i,0.00023428+0.00015412i,-0.00012287-0.00031136i,3.6478e-05-0.00027217i,0.00027253+0.00035915i,0.0001631+7.5263e-05i,0.00076309-0.00045839i
0.00011196-0.00060893i,-5.886e-05-0.0013882i,-0.00040991-0.0016034i,-1.6024e-05-0.0019717i,0.00033919-0.0014248i,-6.1798e-05-0.00021109i,-0.00019857+0.001099i,0.00051948+0.0010867i,0.00065101-0.00083906i,0.00065406-0.0019346i,0.0005815-0.0014273i,0.00074664-0.0012924i,0.00053971-0.0010542i,-0.00010782-0.00084485i,7.0452e-05-0.0006495i,0.00022643-0.0007566i,0.00035808-0.0006009i,0.00023513+0.00029412i,0.00022452+3.7483e-05i,0.00050846-0.00043514i,0.00084046-0.00061483i,0.00041944-0.00071709i,-0.00015042-0.00084767i
