0.0053475-0.00086947i,0.0030585-0.0028425i,0.00042964-0.0060565i,-0.0011727-0.0059391i,-0.0015774-0.0040161i,-0.0013696-0.00061396i,0.00034776+0.0014822i,0.0016691+0.0012497i,0.0014986-1.8032e-05i,0.0010791-0.0013164i,0.00072932-0.0007673i,-0.00043608+0.00059862i,-0.00091125+0.0012346i,-0.00045703+0.0019624i,-0.0014794+0.0020203i,-0.0023428+0.0010993i,-0.0012706+0.00063023i,-0.00014698+0.00024693i,-2.9067e-05+0.00035931i,-0.00046061+0.0008892i,0.0001316+0.00034087i,0.00049014-0.00097739i,-0.00043383-0.00089812i
-0.00019303-0.0008982i,-1.4513e-05-0.0015166i,0.00038985-0.0012492i,0.00049857-0.00034048i,0.00067152-0.00085554i,0.00085781-0.001482i,0.00088701-0.00066041i,0.0009422+0.0001586i,0.0002224+0.00060336i,-0.00097381+0.00039957i,-0.00050216-0.00016998i,-5.0173e-05-0.00057029i,-0.00035411-0.00059543i,-0.00057656-0.00041659i,-0.00037537-0.00032829i,-3.8957e-05+0.00012862i,-0.00034739-0.0001367i,-0.00016211-0.00024516i,0.00023909-0.00070172i,0.00044078-0.00012708i,0.00070273+0.0010207i,0.00068569+0.00088843i,0.0010131-0.00035779i
0.0020427+0.0006707i,0.0026306+0.0020719i,0.0013445+0.0022823i,0.00071096+0.0022909i,0.00063108+0.0022206i,0.0011556+0.0018087i,0.0018558+0.0012576i,0.0012264+0.0010871i,0.00069082+0.00032089i,0.00063817-0.00010491i,6.728e-05-5.9338e-05i,-0.00026908-0.00021748i,-0.00047158+0.00013215i,-0.00056135-0.00036368i,-0.0003094-0.00097312i,8.15e-06-0.00044634i,2.6437e-05+0.00012704i,-4.2546e-06+0.00035444i,-8.3405e-05+0.00019099i,-0.00054399-0.00022032i,-0.00012238+6.7854e-05i,0.00046185+0.00040052i,0.0005086+0.00034585i
-0.0025575-8.4601e-05i,-0.0036577+5.6405e-05i,-0.0038195-0.00046792i,-0.002741-0.00052948i,-0.00032785+0.00047933i,0.0019712+0.0016888i,0.0023718+0.0012741i,0.0013152-0.00056228i,0.00010551-0.00090703i,-0.0002382-0.00046798i,-0.00073229-0.0005558i,-0.0014422-0.00037261i,-0.00094424+7.8309e-05i,-2.525e-05-0.00048059i,0.00052947-0.00084594i,0.00082682-0.00016779i,0.00061671-0.00023301i,0.00023758-0.00038305i,0.00024767+2.9375e-05i,-0.0001183+0.00017036i,-0.00041059-0.00016454i,0.00016402-8.3076e-05i,0.0006364+0.00028571i
-0.0013412-0.0008812i,-0.0012031-6.8812e-05i,-0.001575+0.00055198i,-0.00090402+0.0008298i,0.0003046+0.002493i,0.0019056+0.0038128i,0.0031487+0.0031916i,0.0024111+0.0011692i,0.00075952+0.00034072i,0.00095076+0.00018525i,0.0012845+0.0003329i,5.81e-05+0.00048837i,-6.7298e-05+0.00048831i,0.00066229+6.6325e-05i,0.00017634-8.7181e-07i,-0.000144+0.00063354i,-0.00050381+0.00037875i,-0.00092-0.00022132i,-0.00051453-0.00058508i,0.00015892-0.00073161i,0.00054891+7.4937e-05i,0.00070816+0.00070828i,0.00055412+0.00091828i
-0.0055766-0.0033163i,-0.0058126-0.0007571i,-0.0042683+0.002028i,-0.00086808+0.003162i,0.001285+0.0028953i,0.0026687+0.0015338i,0.0029829-0.00012482i,0.0021784-0.0012705i,0.00092727-0.0012529i,-0.00038399+5.0119e-05i,-0.00044162+0.00033515i,-0.00048145-0.00031326i,-0.00051809-0.00039447i,0.00043908-0.00055318i,0.001736-0.00089211i,0.001595+1.9887e-05i,0.00083087+0.001061i,0.00051107+0.001092i,0.00021673+0.00069987i,-0.00042774+0.00038062i,-0.00044695+2.8089e-05i,-0.00032653+0.00027186i,-0.0005097+0.00030092i
0.010858+0.0014781i,0.011536-0.0016528i,0.0088839-0.007067i,0.0025515-0.007707i,-0.0020051-0.0066782i,-0.0045289-0.0025406i,-0.0030958+0.0015461i,-0.00077419+0.0018345i,0.00032806-0.00056826i,-0.00029816-0.0032344i,-0.0022165-0.0031428i,-0.0027061-0.0014146i,-0.0037607+0.00053598i,-0.0056872+0.0023394i,-0.0056913+0.0027518i,-0.0033854+0.0014769i,-0.00032714+0.00010201i,0.00051996+0.00068968i,0.00029925+0.0023589i,0.0005648+0.0025392i,0.00096655+0.0002443i,0.00069402-0.0015455i,-0.00022764-0.0003963i
0.00082683+0.0013914i,0.002058+0.00089989i,0.0022418+8.0851e-05i,0.0018252-0.0016112i,0.0016092-0.0021141i,0.0016184-0.0015656i,0.0021047-0.00056241i,0.0015287-0.00029262i,0.001115-0.00093143i,0.0011148-0.0012603i,0.00014073-0.0012509i,-0.00099999-0.00075504i,-0.0016389-0.00088779i,-0.0019654-0.0010612i,-0.0014242+1.5048e-05i,-0.0011703+2.724e-05i,-0.0014148-0.00033503i,-0.001079+0.00013573i,-0.0010099+0.00019291i,-0.00098958+0.00040095i,0.00018631+0.00067621i,0.001686+0.0003146i,0.0018091+0.0001172i
0.00061491+0.00030763i,0.0013389+1.5914e-05i,0.0013771+0.00041171i,0.0012878+0.00053157i,0.0012556-9.9432e-05i,0.00085693-8.9036e-05i,0.0013611+0.001058i,0.0013829+0.0011197i,0.00040821+0.0002648i,-0.00014576+0.00021326i,-0.00044255+0.00032368i,-0.00080228+0.00044367i,-0.00093803+1.7092e-05i,-0.00080203-0.00082406i,-0.00084416-0.00045891i,-0.00034563-0.00010852i,0.00044795-0.00069806i,-3.2621e-05-0.00050686i,-0.00078898-0.00018025i,-0.00040297-0.0002523i,0.00057045+0.0001475i,0.00094929+0.00038133i,0.00060693-0.000121i
-0.00015213+0.002357i,-0.00025001+0.001678i,8.7351e-05+0.00059998i,-0.00013006-6.1935e-05i,0.00048601+0.00033984i,0.0012326+0.0019579i,0.0010558+0.0018719i,0.0010056-8.5881e-05i,0.00077109-0.00027002i,0.00047704-8.0979e-05i,-1.0921e-06+6.7134e-05i,-0.0003034+0.00010661i,-0.00055566+0.00018957i,-0.0010204+0.0010155i,-0.00071285+0.00081684i,-0.0001817-0.00017699i,-0.00028311-0.00024759i,0.00038057-0.00014433i,0.00082677+0.00071683i,0.00042709+0.0005579i,0.00023464-8.0797e-05i,0.00025226-0.0004003i,0.00028277-0.00024653i
-0.0018573-0.0018523i,-0.0023335-0.0020606i,-0.0025247-0.0014187i,-0.0018794-0.00042633i,-0.00084468+0.00040942i,0.00048558+0.0016773i,0.00097278+0.0019494i,0.00040375+0.00084884i,0.00036082+0.00034336i,-7.1821e-05+0.00019285i,-0.0011249-1.4176e-05i,-0.0014733+1.3906e-05i,-0.0010034+0.00046227i,0.00030097+0.0004545i,0.00112+0.00059158i,0.0010061+0.0012433i,0.001237+0.0010219i,0.00064739+0.00088601i,-0.00046785+0.00099326i,-0.0006113+0.00010529i,-0.00048319-0.00023993i,0.00033788+0.00010468i,0.0014475+0.00058174i
-0.0011672-0.0024811i,0.00029431-0.0025838i,0.0013908-0.0023457i,0.00088894-0.0017336i,0.00083287+4.1057e-05i,0.00067322+0.0015979i,0.00078001+0.0011541i,0.00078214+0.00011862i,0.00025332+8.4505e-05i,-0.00055264+0.0011075i,-0.0010692+0.00074128i,-0.00075706+2.9682e-05i,-0.00028263+0.00074944i,0.00021354+0.0011611i,0.00041643+0.00076109i,0.00052396+0.00062692i,0.00027526+0.0010205i,-0.00025392+0.00091519i,-0.00067742+0.00033199i,-0.0010207-9.7051e-05i,-0.00060032-0.00036731i,-0.00060975-0.0005514i,-0.00052298-0.00033472i
-0.0015923+0.00019133i,-0.0020422+0.0018161i,-0.0017688+0.0024019i,-0.00041305+0.0029144i,0.00079547+0.0018036i,0.0021271+0.00093769i,0.0021621+0.0015257i,0.00094809+0.00090682i,0.00020795-0.00037627i,-0.00014499-0.00086274i,0.00039644-0.00046283i,0.00069101+0.00018624i,0.00061077+0.00078316i,0.00038291+0.00072945i,0.0006824+0.0006833i,0.00074447+0.0005491i,5.8225e-05+0.00033533i,-0.000422+0.00041956i,-0.0010251+0.00017867i,-0.00076708-0.00059301i,-0.00029634-0.0005559i,6.5559e-05-0.00019802i,0.00029049-0.00014041i
0.0014396+0.0019256i,0.0019408+0.0015725i,0.0010429+0.00012409i,0.00052137-0.00059285i,0.00074302+5.544e-05i,0.0010528+0.00064188i,0.00099883+0.00062273i,0.00063253+0.00022421i,0.0004677-9.6732e-05i,0.000813-0.00033676i,0.0005721-0.00037506i,-0.00014647-0.0002157i,-0.00082343-0.00010398i,-0.001257-0.00044174i,-0.0016415-0.00052121i,-0.0011703+0.00025184i,-0.0008105+0.0006528i,-0.0012193-0.00010453i,-0.0011718-0.00073906i,-0.00061103+0.00018358i,-0.00029037+0.00071002i,0.00028517-1.7752e-05i,0.0009651-0.00018614i
-0.0002025-0.0012965i,-0.0012258-0.0011652i,-0.0023367-0.00098715i,-0.0021787-0.00054103i,-0.00041553-0.00010893i,0.0002856+0.00050283i,0.001123+0.00071772i,0.0014996+0.00042771i,0.00015859-0.00064015i,-0.0006494-0.0012519i,-0.0006301-0.0012522i,-0.00073941-0.00030889i,-0.00025819+0.00048689i,-0.00015225+0.00020502i,0.00051685+9.0763e-05i,0.00051582+0.00037498i,-0.00031272+0.00032224i,-0.00055285+0.00028802i,0.00014685+0.00038121i,0.00077384+0.00068449i,0.00024626+0.00040051i,-0.00057893-0.0010155i,0.00020436-0.0015644i
-6.9476e-05+0.0020922i,0.0017353+0.00062842i,0.0023246-0.00085758i,0.0009197-0.00023096i,0.00032802+0.0011447i,0.00079627+0.0012866i,0.0016116+0.00052375i,0.00098879-0.00033217i,0.00044856-0.0011169i,0.00092632-0.0011927i,0.00085069-0.00059432i,0.0004579+0.00050688i,0.00073065+0.00067322i,-0.00025688-3.2568e-05i,-0.00080787-0.00053315i,-0.00025825-0.0010408i,-0.00011781-0.00056699i,0.00010108+0.00039413i,0.00071333+0.00038849i,0.00077607+9.7613e-05i,0.00087729+0.00041674i,0.0012185-0.00015734i,0.0013476-0.00044015i
-0.00094991-0.0029726i,-0.0020907-0.0022417i,-0.00092484-0.0010134i,0.0002471+0.0001402i,5.8134e-05+0.00062753i,-5.9007e-05+0.0018556i,0.0007215+0.002257i,0.0013178+0.0018982i,0.0013634+0.0006952i,0.00031549-0.00053426i,-0.00050375-0.0011298i,-0.00034693-0.0011503i,4.6917e-05-0.0013021i,0.00047434-0.0013686i,-3.4385e-05-0.00034287i,-0.00050794+0.00023082i,0.0003339-0.00020743i,0.00096051-0.0008014i,0.0011331-0.00024476i,0.00076366+0.00070065i,-0.00051344-4.9385e-05i,-0.00056216-0.000437i,6.6754e-05+7.9919e-06i
0.0018852-0.0017457i,0.0014789-0.0023703i,3.9199e-05-0.0022223i,-0.00031073-0.0015131i,0.00013831-0.0008424i,0.00060652-0.0002924i,0.00090946+0.00085727i,0.00061658+0.0013612i,0.0010977+0.00085968i,0.0008268+8.608e-05i,-0.00039302-0.0008944i,-0.0010367-0.00041728i,-0.00012344+0.00034482i,0.00076086-0.00029348i,0.001074-0.00077175i,0.0011987-0.00080956i,0.0010951-0.001271i,0.00086825-0.00079256i,0.00059891+0.00018649i,0.00027559+0.00069817i,-0.00056504+0.00027858i,-0.00082423-0.00079101i,-0.00070172-0.00087761i
0.0018101-0.00020738i,0.0021829+9.6168e-06i,0.0024718-2.8173e-05i,0.0017554-1.8509e-05i,0.00018697-1.7236e-05i,0.00054588+0.0004513i,0.0020585+0.0010967i,0.0016929+0.0012721i,0.0008632+0.00074151i,0.00056669+0.00021997i,-0.00026684+0.00018563i,-0.00086329-6.5425e-05i,-0.00050907+0.00012819i,-6.8874e-05+0.00078851i,-0.00073519+0.00016459i,-0.00019528-0.00055798i,0.00045038+4.8509e-05i,0.00023138+0.00046668i,0.0006345+0.00014803i,0.00033605-6.6391e-05i,0.00035614-0.00048351i,0.00096798-0.00066504i,0.00063766-0.00030489i
0.0032095+0.0013316i,0.0023666+0.0015753i,0.00013984+0.00070265i,-0.0006569+7.7187e-05i,-0.00024987+0.0005783i,0.00044938+0.000922i,0.00090922+0.00079432i,0.00121-0.0001822i,0.0010791-0.00071822i,0.00048981-0.00043848i,-0.00027393+1.7769e-05i,-0.0014273+0.00040081i,-0.0012329-6.401e-06i,-0.00041091+0.00015598i,-0.00020676+0.00079743i,-8.395e-05+0.0011514i,3.1378e-05+0.00086136i,0.00019918+5.0996e-05i,-3.9222e-06-0.00035919i,-0.0004655-0.00027301i,-0.0013522-0.00044301i,-0.0010069-0.0004981i,0.00034567-0.00065721i
-0.0036311+0.00072841i,-0.0040089+0.0013886i,-0.0033108+0.0019805i,-0.0017063+0.0018099i,-8.4555e-05+0.0017966i,0.0012809+0.001113i,0.0011661+0.00034603i,-0.00020488-4.8032e-05i,-0.0010802-0.00067726i,-0.00012294-0.00064559i,0.00096344-0.00054488i,0.0010967-0.0011906i,0.0011131-0.0016019i,0.00092035-0.0012179i,0.00045474-0.00033714i,0.00034142+0.00010052i,2.1867e-05+0.00019932i,8.7617e-05+0.00050465i,0.00056406+1.7678e-05i,0.00013767-0.00037038i,3.6538e-05-0.0010398i,0.00067038-0.00063726i,0.00028681+0.00056884i
-0.0022588-0.00092396i,-0.0022832-0.00017539i,-0.0028608+0.00021995i,-0.001287+0.0003104i,0.00092105+0.0011525i,0.0023374+0.0015817i,0.0022175+0.00070302i,0.0013187-0.00076119i,0.0016438-0.00060522i,0.0011274-0.00029896i,0.0005922-0.00068121i,7.0146e-05-0.00055054i,-0.00043738-0.00089855i,0.00039211-0.00046515i,0.00011033+0.00039061i,-0.00016294-7.1775e-05i,0.00048161-0.00020057i,-4.3133e-05+0.00025575i,-0.00094464+0.00071226i,-0.0012465+0.0009086i,-0.00079788+0.0010788i,-0.00027257+0.000249i,0.0003641-6.9472e-05i
-0.00034929-0.0017529i,-0.00027553-0.002036i,0.00071871-0.0016712i,0.0014434-0.0013967i,0.0013688-0.0013894i,0.0017689-0.00056347i,0.0021538+0.00056547i,0.001654+0.0005405i,0.00086231-0.00013516i,0.0003786-0.0003414i,0.00028275-0.0010112i,-0.00098982-0.0013563i,-0.0019321-0.00074754i,-0.0010305+0.00028584i,-0.0010003+0.00037318i,-0.000889-0.00011516i,-0.00020013-0.00029299i,7.0598e-05-0.00085367i,0.00011402-0.00051219i,-0.00030147+4.2786e-06i,-4.4757e-06-0.00035871i,-6.252e-06-0.00018282i,0.00043328+0.00038003i
0.0011469+0.0026059i,0.00048718+0.0028987i,0.00014981+0.0021518i,-0.0003321+0.0013213i,-0.00048091+0.0014826i,-0.00047813+0.0014589i,0.00060342+0.00077081i,0.0011663+0.00019288i,0.00091019-0.0002359i,0.00011871-0.00079612i,-0.00033626-0.00076843i,-0.00038616-0.00021734i,-0.00094392+0.00020782i,-0.00042042+0.00060287i,-1.4721e-05+0.00078779i,-0.00082835+0.00059692i,-0.0010689+0.00041184i,-0.00032601-7.9111e-05i,0.00052936+8.7242e-05i,0.00049271+0.00023042i,0.0007381-8.8263e-05i,0.0015085-0.00046713i,0.001104-0.0001975i
-0.00038357-0.00086838i,-0.0009091-0.0017466i,0.00051474-0.0012985i,0.0018602-0.00085926i,0.002378-0.00028858i,0.0020643+0.00033285i,0.0018695+0.00059314i,0.0011886+0.00084928i,9.4882e-05+0.00060451i,0.00023384+0.00041028i,0.00044496-0.00020858i,-0.00018125-0.00044259i,-0.0010652-0.00099119i,-0.00077756-0.0012219i,-0.0001199-0.00091326i,-6.6493e-05-0.00095201i,-0.00065345-0.0010402i,-0.00096936-0.00045822i,0.00012949-0.00030085i,0.00064442-0.00058478i,0.0004752-0.00035854i,0.00065119-0.00023795i,-0.00025905-0.00038052i
0.0024593+0.00014203i,0.0012082-0.000926i,0.0002712-0.00061232i,-0.00019503+0.00014073i,-0.00073832+0.00060283i,0.0001468+0.0013407i,0.0014055+0.00189i,0.00093372+0.00093757i,-0.0002346-7.886e-05i,-2.9984e-05+2.4458e-06i,-0.00014704+0.00065871i,-0.00032112+0.0007735i,-0.00014854+0.00016529i,-0.00041102-0.00012416i,-0.00023206-0.00036973i,0.00017191-0.00097161i,0.00035311-0.00059062i,0.00015219-6.4511e-05i,-0.00046887-0.00010775i,-5.7449e-05-0.00020666i,0.00070149+0.00019516i,2.5844e-05+0.0005282i,-0.00012403+0.00041211i
-0.00075102-0.0021812i,0.00015866-0.0010675i,0.00074259-5.0228e-05i,0.00058355+0.00034129i,-5.8235e-05+0.00035435i,0.00078427+0.00076418i,0.0018266+0.0010979i,0.0019192+0.00079455i,0.00064674+0.00061358i,-0.00050446+0.00044865i,-9.67e-06+0.00021928i,0.0009958-0.00042856i,0.00096023-0.00024025i,0.00079321+0.00011145i,0.0011366-2.9463e-05i,0.0010591+0.00015363i,0.0010358+0.0003525i,0.0014216+0.0010593i,0.001415+0.0015482i,0.00080136+0.00034313i,0.00016763-0.00012478i,0.00043483+0.00058905i,0.00018152+0.00084127i
-0.0015491+0.00050928i,-0.0015047+0.00080345i,-0.0026051+0.0013087i,-0.0023323+0.0011131i,-0.00066228+0.00062398i,0.00041563+0.0011982i,0.0010191+0.0015828i,0.00083298+0.00091245i,6.4735e-06+0.00086989i,0.00022065+0.001033i,0.00076813+0.0002087i,0.00091388-0.00025256i,0.0012966+0.00012627i,0.00036313+0.00013465i,-0.00071168-7.7505e-05i,-0.00062642+8.9624e-05i,-9.7689e-05+0.00014881i,7.6768e-05+0.00045918i,-0.00021364+0.00098592i,-0.00038431+0.00098117i,-0.00059517+0.00057421i,-0.0008934+6.7026e-05i,-0.00026229-6.3168e-05i
-0.0013552-0.0014436i,-0.0013784-0.0011416i,-0.00057402-0.00074062i,0.00072435-0.0006192i,0.0017248-0.00036862i,0.0025273+7.5528e-05i,0.0018878+0.00080555i,0.001157+0.00057818i,0.00032605+6.2276e-05i,-0.00023065-0.00023659i,-0.00011681-0.00086874i,2.3017e-05-0.0016295i,-0.00033986-0.00073353i,-0.0011875+0.0004486i,-0.0015404+0.00017148i,-0.001276-0.00037993i,-0.00087041+0.00010948i,-0.00093075+0.00082667i,-0.00094174+0.00097178i,0.00011571+0.00087391i,0.00060309+0.00069439i,6.7122e-05+4.5255e-05i,-0.00038893-0.00093544i
-0.00085459-0.0017705i,-0.0012617-0.0015764i,-0.0012607-0.0009024i,-7.8287e-05-0.000623i,0.001549+0.00024511i,0.0013051+0.0010558i,0.0013513+0.0003357i,0.0012064-0.00058116i,0.00056941-0.00064395i,0.00029633-0.00080995i,0.00045169-0.0010518i,-0.00027893-0.00064144i,-0.00019434-0.00035502i,0.00011996-5.4458e-05i,-0.00017292+0.00052546i,2.9012e-05+0.00030035i,-0.00014614-1.6463e-05i,-0.00071885+0.00043591i,-0.0012086+3.5545e-05i,-0.0015553+0.00012684i,-0.00097693+0.00019509i,-0.00024966-0.00032527i,-0.00061291-5.8814e-05i
-9.8436e-05+0.00085018i,0.00022044+0.00043603i,-0.00024061+0.0010552i,-0.00071081+0.0015499i,-0.00078611+0.0016066i,5.7235e-05+0.00077472i,0.00071016+0.00016104i,0.0006932+0.00031362i,0.00030024+0.00057464i,-0.00022149+0.00037473i,-0.00052197-0.00039259i,-0.0010897-0.0011671i,-0.0013334-0.0016108i,-0.00099293-0.0010463i,-0.00093606-0.0010452i,-0.00038926-0.0011476i,9.0048e-05-0.00046319i,-0.00030493-3.8187e-05i,-0.0010425+0.00017516i,-0.00091927+0.00027675i,-0.0005004+4.3842e-05i,-0.00035625-0.00052243i,0.00037706-0.00043738i
-0.00034907+0.00010695i,-0.0001315-0.00074126i,-0.00013506-0.00080622i,0.00094789-0.00087284i,0.0013722-0.0010301i,0.0011272-0.00051828i,0.0017716+0.00055729i,0.001397+9.7322e-05i,0.00056233-0.00080173i,0.00066754-0.0009157i,0.0007033-0.00039636i,0.00044968+0.00027461i,-0.00035752+0.00042644i,-0.00037614-8.4321e-05i,-0.00034567-0.0006629i,-0.0001232-0.00072334i,0.00011039-0.00051884i,8.2281e-05-0.0005886i,-8.8535e-05-0.00028654i,5.9177e-05-0.00015833i,-0.0002694-0.00023612i,-0.00023634-0.0005457i,0.0003542-0.00097338i
0.00053076-0.00027151i,0.0014247-0.00028519i,0.0014795+3.7642e-05i,0.0011016+0.00018726i,0.0014231+0.00051339i,0.0012098+0.00097292i,0.00048173+0.00065103i,0.00091692+3.056e-05i,0.00121+0.00034722i,0.00072025+0.00061324i,5.7139e-05+0.00017283i,-0.00041771-0.00018537i,-0.00039005-0.00045792i,-0.00038456-0.0013703i,0.00015945-0.0023225i,0.00038892-0.001416i,0.00046425-1.8175e-05i,0.0013365+0.00013329i,0.001433-3.5242e-06i,0.00058828+0.00011773i,0.00010155+0.00029493i,0.00056356+0.00014339i,0.00057068+0.00010779i
-1.9375e-05-0.00091031i,-0.0011684-0.00035721i,-0.0016625-0.001093i,-0.0014566-0.0010001i,-0.0014068-0.00013079i,0.00019+0.00054097i,0.0016044+0.00093957i,0.0019327+0.00068664i,0.0010188+0.0002659i,-0.00029707-0.00015535i,-0.00038546-0.00083079i,-0.00021173-0.0010583i,-0.00010234-0.00083901i,0.00061683-0.00031748i,0.00027571+0.00033768i,-8.4604e-06-3.1286e-05i,0.00097078-0.00018614i,0.0010543+0.00054219i,0.0007647+0.00099322i,0.00050276+0.00075905i,-3.0712e-05-1.1878e-06i,-0.00022439-0.00079977i,-0.00011619-0.00060163i
-3.9204e-05-0.00065741i,-0.00022226+7.7541e-05i,-0.00022474+0.0006336i,4.6659e-05-9.747e-05i,0.00010976+0.00019765i,0.00021083+0.0010232i,0.00061023+0.00072099i,0.00047623+0.00081555i,0.00040409+0.00014794i,0.00059447-0.0011498i,8.5825e-05-0.0013596i,-0.00045238-0.00059699i,-0.00056036-0.00033568i,-0.00027304-0.00086064i,-7.6694e-06-0.00066557i,0.00065552+0.00046398i,0.00087832+0.0012088i,0.00032305+0.0014535i,0.00035848+0.0013923i,0.00087485+0.00073958i,0.00056258+9.4025e-05i,0.00052923+2.3788e-05i,0.00041591+5.9917e-05i
-0.00032405-0.00021886i,-0.0011936-3.4255e-05i,-0.00099503-0.0010319i,-0.00013117-0.00057451i,0.00052566+0.00053704i,0.0010083+0.0012437i,0.00098148+0.0012632i,0.00096231+0.00064543i,0.00030182+0.00032661i,0.00020556+0.00029957i,-8.6806e-05+0.00044988i,-0.00064051+0.00021824i,-0.00030174-2.7183e-05i,0.0003529+0.00055494i,-0.00035363+0.00072745i,-0.0011474+0.00054051i,-0.00032274+0.00043062i,0.00049258+0.00024564i,0.00022478-0.00021491i,-0.00090068-0.00032866i,-0.00065822+0.00051577i,0.00052049+0.0011563i,0.0013005+0.00072853i
-0.00051904-0.00011971i,1.6544e-05-0.00087529i,0.00092767-0.00054014i,0.0013834-0.00035473i,0.0020082-0.00052595i,0.0024349+0.00018513i,0.0020414+0.0008804i,0.001274+0.00077866i,0.0011265+0.00066603i,0.0011427+0.001017i,0.00023971+5.9131e-05i,-0.00062584-0.00021982i,-0.00025103+0.00033539i,-0.00037002+0.00015907i,-0.0007853+0.00034329i,-0.00053092+0.00060088i,2.7334e-05+0.00060563i,0.00073541+0.00078346i,0.00017145+0.00054654i,-0.00036035+0.00071525i,-0.00014187+0.00067019i,0.00011537-3.7659e-05i,-2.2553e-05-0.00016245i
-0.0017499+0.0019957i,-0.0014768+0.0024697i,-0.0011148+0.002013i,-0.0004078+0.0019789i,-0.00012185+0.0022707i,0.00073706+0.0010076i,0.001318+0.00017627i,0.0008305+0.00014079i,0.00037182+0.00014658i,0.00036614-9.2679e-05i,0.00059174-0.00033699i,0.00034296+0.00027302i,-0.000605+2.9278e-05i,-0.0013811-0.00091092i,-0.0012618-0.0011286i,-0.00067129-0.0010707i,-0.00035628-0.00022647i,-0.0003739+0.00036143i,-0.00080388+7.0921e-05i,-0.00070513-0.00047838i,-0.0010544-0.00060431i,-0.00068412-0.00056172i,0.00017555-1.9383e-06i
0.00029413-0.00020623i,0.00060867-0.00044108i,0.0012257-0.0024524i,4.4716e-05-0.0020948i,-0.00081094-0.00049992i,0.00028246+0.00075058i,0.0018294+0.00088836i,0.002162+8.9581e-05i,0.00020632-0.00068681i,-0.0012873-0.0012095i,-0.0011083-0.0012024i,-0.0011785-0.00095242i,-0.00096439-0.0010921i,-0.0010002-0.0014476i,-0.00046204-0.00078037i,0.00045478+4.9878e-05i,0.00054735+0.00066691i,0.00030111+0.00052432i,2.5256e-05-0.00015188i,-0.00027528-0.00013729i,-0.00026908+0.00016677i,-0.00049453+0.00018678i,-0.00024289+2.372e-05i
-0.0039339-0.00075313i,-0.005165+0.0021455i,-0.0038349+0.0045955i,-0.00040826+0.0043123i,0.0017584+0.0026651i,0.0020137+0.0013903i,0.0021077+0.001047i,0.0016915+0.00056804i,0.0010044+9.4128e-05i,0.00034842-0.00022024i,-0.00025451-0.0010586i,6.7899e-05-0.0011034i,-8.0838e-05-0.00065058i,0.00036003-0.0012439i,0.00067029-0.0014372i,0.00058639-0.00022176i,0.00093115+0.00057239i,0.00067135+0.00060993i,4.2665e-05+0.00012608i,-0.00079803-0.00051191i,-0.00066452-0.00049397i,-0.00057403-0.00023845i,-0.00041395-0.00023726i
-0.00066132-0.0022473i,-0.0013493-0.0039472i,-0.0022314-0.0047499i,-0.0015533-0.0027246i,-0.00023035-0.00059677i,-9.8979e-05+0.00034154i,-0.00018068+0.00054992i,3.0804e-05+0.00088263i,0.00020895+0.00094061i,0.00032342+0.00017398i,0.00043537-0.0002209i,0.00022803-0.00033729i,0.00024042-0.00079925i,0.00074994-0.001053i,0.00079894-0.00023071i,0.00081298+0.00042576i,0.00082088+2.1623e-05i,0.00042081-0.00014257i,-0.0001283-0.00065204i,-0.00023793-0.00086071i,0.00021579-0.00050145i,-4.5907e-05-8.9109e-05i,-8.2799e-05+0.00027337i
0.00013687+0.0010113i,0.00078788+0.0015099i,0.0011915+0.0027463i,0.00090375+0.0019981i,0.0012065+0.00091301i,0.0016647+0.0011542i,0.0016072+0.0013515i,0.00075678+0.00053213i,0.0006566-0.0001325i,0.00063923-0.001055i,0.00044179-0.0015173i,-5.1458e-05-0.00081084i,2.6376e-05+8.6208e-05i,0.00061643-7.7643e-05i,0.00021453-0.00062388i,-0.00062746-0.0001762i,-0.00045399+0.00081797i,0.00040646+0.00070385i,0.00011622+5.3468e-05i,-0.00034029+0.00033579i,0.00025357+0.0008835i,0.00047845+0.0012956i,-0.00021649+0.00043657i
0.00020736-0.00025206i,0.00083863+0.00013066i,0.0003923-0.0015447i,-0.00010903-0.0017502i,0.00022432-8.7382e-05i,0.0011322+0.0014488i,0.0015829+0.0018041i,0.00091443+0.00093395i,0.00028176-2.8306e-05i,-4.2816e-05-0.00031667i,-0.00042197+0.00053578i,-0.00052907+0.0014343i,-0.00092899+0.00099778i,-0.00070754+0.000214i,0.00019315+0.0003442i,0.00031346+0.00057062i,0.00017953+0.00084191i,0.00020449+0.00048482i,-9.4368e-05+2.7718e-05i,-0.00035287-0.0001329i,3.5264e-05-0.00016478i,0.00022003-6.6932e-05i,0.00049159-0.00021849i
-0.0010184-0.0016837i,-0.0025686-0.0007223i,-0.0040863+0.00088488i,-0.003032+0.0011014i,-0.0012276+0.00083141i,-0.00018787+0.0013145i,0.00050719+0.0014319i,0.00059585+0.00029951i,0.00049906-0.00075187i,0.00035066-0.00053899i,-6.9463e-05-0.00020321i,-0.00012622+0.00012849i,0.00027593+0.00074498i,3.9589e-05+0.0015011i,-0.00029051+0.00086215i,0.00035134-0.00019822i,0.00065793-0.00079148i,-2.817e-06-0.0006329i,3.0067e-05+0.00064233i,0.00019524+0.00082663i,7.5252e-05+0.0010162i,0.00055875+0.0010339i,0.00010958+0.00069827i
