-0.0029855+6.8396e-06i,-0.0031439+0.0015191i,-0.0024217+0.002538i,-0.0018536+0.0024939i,-0.0016014+0.0029378i,-0.00053929+0.0032339i,-0.0011042+0.003065i,-0.00097677+0.0030869i,0.00075108+0.002378i,0.0018818+0.0011013i,0.0023668+8.4745e-05i,0.0016676-0.00026233i,0.0010376-0.00067438i,-2.2112e-05-0.0012706i,-0.001283-0.00083098i,-0.00053152-0.0003521i,-0.00038156+4.6834e-05i,-0.00033383-3.5717e-05i,0.00082336-0.0003809i,0.00060159-1.4721e-05i,0.00011296+0.00024258i,0.00029593-2.6063e-05i,-0.00010796-0.0004041i
-0.0003126-0.00064134i,-0.000308+0.0011685i,-8.1074e-05+0.0012067i,-0.00050542-0.00022479i,-0.0017187-0.0011324i,-0.0021179-0.00075044i,-0.0013148+0.00047855i,-0.00051742+0.00056254i,0.00045066+0.00012587i,0.0015269+0.00023398i,0.0015163+0.00057199i,0.0010282+0.0012284i,0.00092711+0.0011072i,0.0015242-9.8966e-05i,0.0014594-0.00097562i,0.00054254-0.00095935i,0.0003295-0.0010565i,0.00013623-0.00069684i,-8.1478e-05+0.00037228i,-1.7753e-05+0.000273i,0.00014542-0.00027174i,0.0007303+7.6087e-07i,0.00088524+0.00038944i
-0.0013128-0.00036877i,-0.0017897-0.00063803i,-0.0025875-0.00065043i,-0.0015923-0.00035982i,0.00044154+0.00021985i,0.0013959+0.0010484i,0.00094057+0.0015188i,0.0003313+0.0018458i,5.2705e-05+0.0014051i,0.00054648+0.00062296i,0.0010181+0.00049137i,0.00086814+0.00036642i,0.0005099+0.0003046i,9.1557e-06+0.00049356i,-0.00057536+0.00010168i,-0.0013803-1.0051e-05i,-0.0015325-5.8014e-05i,-0.00075571-0.00069035i,-0.0008431-0.00076543i,-0.00074231-0.00062913i,-0.00015819-0.00050463i,0.00047026-0.00029951i,0.00095327-0.00024338i
-9.3866e-05-0.0015276i,0.00050476-0.0011461i,0.0019802-0.0012274i,0.0011076-0.0018702i,-0.00059548-0.0016313i,-0.0014498-5.3402e-05i,-0.0014491+0.00093064i,-0.00081351+0.00056042i,0.00049014-8.6891e-05i,0.0011219-3.9516e-06i,0.0015248+0.00026578i,0.0014032+0.00054406i,0.0012724-8.7806e-06i,0.0017827-0.00097822i,0.0010701-0.0010987i,-0.00045705-0.00039518i,-0.00057185-0.00022296i,-0.00016999-0.00020025i,-0.00015331-0.00027817i,-0.00021946+0.00023898i,-0.00014125+0.00027124i,0.00046792-8.8871e-05i,0.00013057+2.9708e-05i
0.00077099+0.0014768i,0.001758+0.0026672i,0.0013916+0.0023207i,0.00080193+0.00077252i,0.00066019+0.00050651i,0.00071736+0.00019155i,0.00054373+0.00071315i,-8.6405e-05+0.00094392i,-3.4881e-05+0.00096595i,0.00034208+0.0011226i,0.00047379+0.00096374i,0.00082559+0.00087621i,0.00076391+2.6112e-06i,0.00036493-0.00099643i,0.00093177-0.00085161i,0.00081512-0.00070875i,0.00024445-0.00072229i,0.00048949-0.00031872i,0.0002262-8.3041e-06i,-0.00066353+0.00039169i,-0.00042183+0.0006541i,0.00038395+0.0012264i,0.00087659+0.0011553i
-0.00022862+4.2234e-05i,-0.00073696+2.3764e-05i,-0.0011015-0.0014498i,-0.00049062-0.0017284i,-0.00055599-0.00093578i,-0.0011246-0.00033415i,-0.0011432+0.00032814i,-0.00094803+0.00062509i,-0.00073409+0.00065322i,-0.0001357+0.00081288i,0.000762+0.00064183i,0.0010981+0.0003329i,0.0014563-0.00029845i,0.0010768-0.00058187i,-1.4269e-05-0.00046906i,-0.00067078+6.7769e-05i,-0.0010469-0.00016732i,-0.00078883-0.00072394i,-7.3582e-05-0.0002609i,0.00052007-0.00013313i,0.00094608-0.00013925i,0.00094018+0.00034452i,0.00041486+0.00077761i
-0.00072128-0.00097218i,-0.00066929-0.00058467i,2.005e-05-0.00022911i,-0.00032434-0.0003809i,-0.00069298-0.00092855i,-0.0010731-0.0002428i,-0.00097775+0.0001221i,-0.0008795+0.00016272i,-0.00048311+3.67e-05i,0.00029981-0.00041171i,0.0010906-0.00010404i,0.0014613+0.00058189i,0.0011616+0.00016023i,0.00081961-0.0006209i,0.00082044-0.0011596i,5.2336e-05-0.0010146i,-0.00089021-0.0007897i,-0.00013137-0.00083626i,-8.4276e-05-0.00053598i,-0.00044548-2.9252e-05i,9.6672e-05+0.00011328i,0.00057173+0.00035834i,0.00046014+0.00031524i
0.0010901-0.00095534i,0.0011755-0.0024786i,0.00077342-0.0028775i,-4.3041e-05-0.0019059i,-0.00094127-0.0011316i,-0.0014812-0.00027549i,-0.0018369+0.00028174i,-0.0012521+0.00041534i,-8.1797e-05+0.00074766i,0.0008737+0.00082312i,0.0013393+0.00040326i,0.0016265+0.00041161i,0.0009091+0.0009264i,-8.0671e-05+0.00052031i,-0.000295-7.5101e-05i,0.00020985+1.2923e-05i,0.00067199+0.00023729i,0.00034224-0.00034681i,-0.00015332-0.00011586i,-0.00066379+0.0005648i,-0.00029384+0.00014642i,0.00062231+5.4141e-05i,0.00039006+0.00022662i
9.9981e-05-2.0387e-05i,-0.00042095+0.0009622i,-0.00027194+0.0013793i,0.00099571+0.00028238i,0.00027585-0.00039628i,-0.00049405+0.00040106i,-0.00058431+0.00071537i,-0.00043486+0.001389i,0.00038539+0.0016718i,0.0005961+0.00056502i,0.0011798-0.00041369i,0.0020157-0.00023102i,0.0020457+0.00013429i,0.0019773+0.00019632i,0.0011503+0.00037719i,-0.00035473+0.0001308i,-0.00055856+0.0002557i,1.5434e-05-0.00012567i,0.00020868-0.00078642i,-0.00033077-0.00057028i,-0.00012002-0.00046167i,0.00032264-0.0007526i,0.00071775-0.00069803i
-0.00086716+0.0012115i,-0.0010802+0.0013285i,-0.0006249+0.0002996i,-0.0004715+0.00025394i,-0.00035933+0.00026793i,8.6172e-05+0.00010575i,-0.00010953+0.0002283i,-0.00033544+0.00029731i,-0.00029553+0.00033252i,0.00036538+0.00053423i,0.00069409+0.00054025i,0.00053735+0.00027385i,0.0010079-0.00010696i,0.00088206-0.00031249i,-0.00015078-0.00060804i,-9.3539e-05-0.00092054i,0.00034949-0.00069969i,0.00074154-0.00034008i,5.0112e-05+0.0001672i,-0.00061904+0.00047971i,-0.00014317+0.00018674i,0.00037833-0.00028566i,0.00039775+3.8357e-05i
0.0017175-0.00066767i,0.0016467-0.00031361i,0.0019196-0.00045155i,0.0010444-0.00075677i,-1.8636e-05-0.00057671i,-0.0010571-0.00095931i,-0.0011555-0.00032483i,-0.00041608+0.00074447i,0.00047392+0.00095601i,0.0013557+0.0010554i,0.0015013+0.001093i,0.0011661+0.00068981i,0.0015329-0.00054718i,0.0012681-0.0010192i,-1.9798e-05-0.00084882i,-0.00055266-0.00092796i,-4.1608e-05-0.0010595i,0.00037787-0.00014865i,0.00035144+0.00053159i,-0.00029168-0.00017618i,-0.00051759-0.00019917i,6.4583e-05+0.000397i,0.00085222+0.001288i
-0.0022559-0.00045116i,-0.002008+0.00068211i,-0.0014033+0.0021529i,-0.00075407+0.00225i,-0.00028041+0.0020933i,-0.00065638+0.0016648i,-0.0014648+0.0015075i,-0.0011092+0.0014229i,-0.00053373+0.0014853i,0.00011097+0.0010711i,0.00088153+0.00024916i,0.0011774-0.00018665i,0.0011095-0.0010116i,0.0012041-0.0015079i,0.00046671-0.00074446i,0.00037027-0.00021515i,0.00053097-5.7989e-05i,-0.00029549+6.7352e-05i,-0.0008257+0.00036215i,-9.3759e-05+0.00072832i,0.00072829+0.00029394i,0.00078462+0.00013685i,0.000329+0.00038315i
-0.00023433+0.0022309i,0.00068032+0.00097494i,0.0011812-9.1111e-05i,0.0014002-0.00027282i,0.001176-0.0010751i,-1.7555e-06-0.001573i,-0.00071427-0.00013234i,-0.00078089+0.0011861i,-0.00065841+0.0012145i,0.00039781+0.00093556i,0.0010482+0.00057384i,0.00085776+0.00047781i,0.0012426+0.00041672i,0.00089275+0.00012948i,0.00025101-0.00047468i,2.732e-05-0.0016697i,-5.6501e-05-0.0017784i,-0.00039237-0.00088427i,-0.00081357-0.00044547i,-0.0003601+5.8866e-05i,0.00071209+7.7093e-05i,0.00093744-2.2705e-05i,0.00082174+0.00055752i
-0.0008674+0.00044533i,-0.0006554-0.00018911i,0.00043706-0.00026445i,0.00010346-0.00041117i,-0.00048529-7.8474e-05i,-0.00060642-4.448e-05i,-0.0017362-0.00038522i,-0.0020312-2.3663e-05i,-0.00049949+0.00057199i,0.00022229+0.00074121i,0.00051437+0.00077791i,0.0010326+0.00043282i,0.0013618-0.00036579i,0.00091336-0.00056296i,-0.00032648-0.00052608i,-0.00069691-0.00041457i,-0.00021057-0.00016536i,-0.00048329-0.00030024i,-0.00039496-0.00039881i,6.3044e-05-0.00040488i,0.00035133+0.000208i,0.00050997+0.00073309i,0.00015688+0.00039895i
0.00099964+0.00023563i,0.0021207-0.00098652i,0.0021608-0.00046912i,0.00071562+0.00016259i,0.00061963-0.00056721i,-0.00056188-0.00091064i,-0.0016931+1.5423e-05i,-0.00079977+0.00029081i,0.00086263+0.00018656i,0.0012328+0.00040353i,0.00091393+0.00012708i,0.0012321-0.00091466i,0.0015454-0.0014075i,0.0018612-0.00028985i,0.0006605+0.00047i,-0.00042506+0.00016183i,-1.9753e-05+2.2503e-05i,0.00013076+0.00052734i,4.8284e-05+0.00013839i,0.00015118-0.00035474i,-0.00083661+7.2183e-05i,-0.0015506+0.00038318i,-0.0010286-9.5822e-05i
-0.0018582+0.00029435i,-0.0014331+0.00090281i,-0.00035596+0.0010957i,0.0002372+0.00083874i,0.00026954+0.00011115i,-0.00052557-0.00023992i,-0.00098874+0.00025193i,-0.00056469+0.00069557i,0.00019433+0.00031318i,0.0015149-0.00058341i,0.0018503-0.00012794i,0.0017265+0.00034139i,0.0016272+0.00013004i,0.0012505-0.00075906i,0.00077313-0.0018712i,0.00068914-0.0018301i,7.7534e-05-0.0011759i,-0.0009394-0.00070522i,-0.0007535-0.00011904i,0.00035465+0.00036941i,0.00045727+0.00019624i,1.7171e-05-0.00067257i,5.9707e-05-0.00075096i
-0.002247-0.001175i,-0.003048-0.00076968i,-0.002369-0.00016445i,-0.0019378-4.6182e-05i,-0.0010059+0.00059971i,-0.00020404+0.0013169i,-0.00051167+0.0013766i,-0.00084537+0.00091824i,-0.00049419+0.00048998i,0.00068016+0.00053667i,0.0013254+0.00085149i,0.00063549+0.00055584i,0.00012919+8.6671e-05i,1.0364e-05-0.00061787i,0.00040423-0.00085132i,0.00036117-0.00028963i,-8.2105e-05-0.00023733i,-0.00030737-0.00057334i,-0.00061413-0.00061932i,-0.00069331-0.00062168i,-0.00034211-0.0010126i,0.00019707-0.00088551i,7.9612e-05-0.00028626i
0.002918+0.0006885i,0.0020432+0.00051225i,0.0034246-0.00033592i,0.0031731-0.0020896i,0.0013885-0.0023749i,-0.0012357-0.0018651i,-0.0022881-0.00043744i,-0.0010735+0.00058484i,0.00034626+0.0010796i,0.0013909+0.00053832i,0.0013448+2.4695e-05i,0.00070551+5.4505e-05i,4.0444e-05-0.00016691i,6.1388e-05-0.00051934i,0.00059756-0.0003449i,0.00075785+0.00037392i,0.00062519-0.00020241i,-6.2867e-05-0.0011731i,-9.4933e-05-0.00069379i,0.00084593+0.00013005i,0.00098532+0.00029416i,0.00053341+5.9973e-05i,0.00033465-0.00037591i
-0.00047936+0.00072293i,-0.00029907-0.0005619i,-0.00023894-0.00015851i,-0.00017401+0.0005666i,-0.0009531+0.00035091i,-0.0018809-0.00026446i,-0.0018041+0.00011883i,-0.00089889+0.00037931i,4.4562e-05+1.4147e-05i,0.00053959+0.00011864i,0.0012354+0.00029682i,0.00099544+0.00074972i,0.00081336+0.0008586i,0.00079853+0.0007794i,0.00023691+0.00060311i,-0.00082963+4.1402e-05i,-0.00047894-0.00040052i,-0.0001407-0.00045972i,-0.00069574-0.00080021i,-0.00039053-0.00080241i,-0.000197-0.00033225i,-0.0002511-0.00061812i,-0.00046258-0.00079655i
5.5568e-05+0.00049134i,0.0012408-0.00076559i,0.0013306-0.0016325i,0.00036765-0.00080488i,6.4143e-06+0.00098539i,-0.00073432+0.00037077i,-0.0013433-0.00072469i,-0.00072284-0.00049509i,0.00032277+0.0003228i,0.0010124+0.00032558i,0.0015069+6.3018e-05i,0.002062+0.00019174i,0.0015533+0.00053161i,0.0005603+0.00017115i,0.00067324-4.1364e-05i,0.00094854+0.00034711i,0.0006005+0.00032789i,-0.00012799+0.00017248i,-0.00076994+0.001151i,-0.00030414+0.001958i,0.00088178+0.00084129i,0.0010043-0.00069976i,-0.00029946-0.00075038i
0.00039756-0.00048012i,7.7643e-05-0.0009986i,0.00027797-0.0018873i,0.00040134-0.0013244i,-0.00025531-0.00078514i,-0.0010099-0.00031687i,-0.00054419+0.00046449i,0.00074093+0.00070887i,0.0017119+0.0006128i,0.0017293-0.00035396i,0.0011009-0.00068609i,0.0013173-0.00014988i,0.0016115+4.0076e-05i,0.0010796-0.00015714i,0.0011539-0.00014114i,0.00091648+0.0002091i,0.00044301+0.000245i,0.00031917-0.00018481i,-0.00063349-0.00039493i,-0.00079744-0.0004342i,-0.00039314-3.5005e-05i,-0.00082478+9.8409e-05i,-0.00038629-0.00038961i
0.0016945-0.00090807i,0.0017316-0.00071227i,0.0010163-0.0012338i,-0.00073943-0.0017187i,-0.0024238-0.0020195i,-0.0022006-0.00093681i,-0.0007091+0.00036474i,4.4549e-05+0.00068657i,0.00017629+0.00074695i,0.00073921+0.00061758i,0.00097384+0.0010548i,0.0012498+0.00029762i,0.0011565-0.00098856i,0.00058442-0.0014697i,0.00032797-0.0011134i,0.00047688-0.00049417i,0.0008057-7.8404e-05i,0.00016872-0.00054942i,-0.0010141-0.00094687i,-0.00077678-0.00066887i,0.00014414-0.0005239i,0.00075278-0.00062599i,0.00044528-0.00020317i
-0.00015766+0.00094062i,-0.00010604+0.0021692i,-0.00013669+0.0022637i,0.00095501+0.0021145i,0.0013208+0.0019183i,0.00055695+0.00051824i,-0.00039115-0.00055284i,-0.0005675-0.0003476i,0.00020177+0.00063459i,0.00083934+0.0014745i,0.0013024+0.0009601i,0.0014108+0.00063228i,0.00091125+0.00043906i,-0.00024439-0.00047262i,-0.00062399-0.00084669i,0.00018145-0.00024453i,0.00067056-6.6652e-05i,0.00038171+2.8268e-05i,-0.00017559+0.00056093i,-0.00069042+0.00025259i,-0.00072332-0.00035297i,-0.0012143-0.00083515i,-0.0011449-0.00056653i
-0.00027967+0.00097396i,0.00027781-0.00055783i,0.00096329-0.0014198i,0.0014555-0.0014075i,0.0018924-0.00090576i,0.0012228-0.0011963i,-0.00034959-0.00083247i,-0.00031785+0.0001055i,0.0006392+0.00039601i,0.00093812+0.00091144i,0.0011142+0.00097156i,0.00091993+0.0003844i,0.00047608+0.00037967i,-0.00016488+0.00017053i,-0.00018724-0.00016528i,2.8988e-05-0.00035658i,9.3823e-05-0.00040347i,1.7437e-05-0.00041214i,0.00025482-0.00016117i,0.00076843+0.00077028i,0.00035169+0.0010861i,8.8475e-05+0.00073348i,0.00014275+0.00028942i
-0.0002733-0.001786i,-0.0022529-0.0023561i,-0.0039776-0.0017083i,-0.0042404-4.9228e-05i,-0.0034811+0.0013528i,-0.0028505+0.002012i,-0.0020464+0.0012985i,-0.00062953+0.00030115i,0.00026441+2.1745e-05i,0.00012595+0.00034578i,7.4737e-05+0.00049585i,0.00072851+0.00028799i,0.00065773-0.00021378i,0.0006428-0.0013238i,0.00058627-0.0019758i,-0.0001016-0.0013028i,-0.00033478-0.00030336i,-0.00082115-0.00037642i,-0.0010561-0.00016272i,-0.00098322+0.00046262i,-0.00079723+0.00087053i,-0.00042229+0.00054617i,-0.0005942+0.00019316i
-0.0011033+0.0019608i,0.00034679+0.0011568i,0.0017006+0.0014701i,0.0021914+0.0014921i,0.0015147-0.00030268i,0.00063302-0.0013597i,-0.00019125+1.2654e-05i,-0.00027254+0.0010691i,0.00026909+0.0011754i,0.00091583+0.00062282i,0.0013847-0.00022307i,0.0012585-0.00034351i,0.0011002-0.00039048i,0.00073279-0.0014868i,-2.1426e-05-0.0019712i,-6.8423e-05-0.0016384i,0.00068559-0.001087i,0.00076951-0.00042412i,-0.00028445-0.00048339i,-0.00032011-0.00090874i,9.3977e-05-0.0010353i,2.0098e-05-0.00038306i,-0.0001492+0.00065626i
0.00093375-0.0013922i,-0.00027216-0.0026886i,-0.00024567-0.0032526i,-0.00051219-0.0027363i,-0.0016078-0.0019743i,-0.0023965-0.0016488i,-0.0015555-0.00072957i,-0.00058026+0.00063863i,0.00080785+0.00083621i,0.0012931+0.00062271i,0.00080381+0.00046754i,0.0005009-0.00033657i,0.00031287-0.00092672i,0.00081065-0.00082571i,0.001059-0.00083606i,0.0006692-0.000761i,0.00037531-0.00087349i,0.00021281-0.00072678i,-0.0001108-0.00014308i,-0.00011829+0.000199i,-5.4176e-05+8.2084e-05i,4.4826e-05-0.00010591i,0.000229+5.0243e-05i
-0.0014469-0.00030866i,-0.0021185+0.00032995i,-0.0020866+0.0006283i,-0.0014228+0.00063997i,-0.0014765+0.0010295i,-0.0023215+0.0011913i,-0.0023593+0.00084056i,-0.0014697+0.00096044i,-0.00024294+0.0016341i,0.00060264+0.0018722i,0.001322+0.0016112i,0.0016128+0.0005855i,0.00099264-0.0003608i,0.00034055-0.00021174i,0.00070181-0.00017797i,0.0012099-4.3081e-05i,0.00059443-0.00052387i,-0.00044134-0.0012755i,-0.00073143-0.00083474i,0.00013658-0.00033629i,0.00041552-0.00097898i,0.00051492-0.0015894i,0.00074491-0.001133i
-0.00061211-0.00027445i,-0.0005912+0.00084607i,-0.00047674+0.00084902i,-0.00084778+0.001005i,-0.00066932+0.00065124i,-0.00096156+0.00062111i,-0.0015793+0.0011482i,-0.0012355+0.00098537i,-0.0007185+0.00067153i,-0.00045487+0.00084584i,0.0004674+0.00077276i,0.0015348+0.0011443i,0.0014868+0.0011407i,0.0010024-1.2875e-05i,0.0010119-0.00060884i,0.00020373+1.4769e-05i,-0.00050637+0.0004361i,-0.00029886-8.4112e-05i,-0.00050087-0.00060997i,-0.00092733-0.00037055i,-0.00053642+0.00025732i,-0.00039902-2.0336e-05i,-0.00079717-3.0501e-06i
0.00014541+0.00049248i,0.00038216-0.00031127i,4.3102e-05-0.0010548i,0.00064937-0.0010902i,0.0018984-0.00092493i,0.001009-0.00048648i,-0.00075844+7.2779e-05i,-0.0011342+0.00039604i,-0.00053573+0.00065367i,0.00059526+0.00011625i,0.001368-1.553e-05i,0.0014523+0.00036715i,0.0012466+0.00031906i,0.0011352+0.00014509i,0.00076628-0.00010352i,0.00049792+0.00034239i,0.00054261+0.00084001i,0.00053103+0.00042607i,0.00019038-0.00017799i,0.000176-8.2203e-05i,0.00069604+0.00011651i,0.00028005+0.00048649i,-5.9309e-05+0.0003401i
0.00045182-0.00047538i,0.00048529-0.0012171i,0.00050777-0.0023087i,0.00053987-0.0015516i,-0.00052624-0.00093012i,-0.00094337-0.0010442i,-0.00064969+9.5165e-05i,-0.00065604+0.0010077i,-0.00067573+0.00060129i,0.0001285+7.3602e-05i,0.0011103+0.00036106i,0.0020096+0.00033402i,0.002133-0.00020776i,0.0016745-0.00059746i,0.00084414-0.00042475i,0.00022827+0.00014309i,-9.9041e-05+0.00066249i,-0.00047929+0.00029445i,-0.00011716-0.00012651i,0.00019654-0.00028679i,0.0002021-0.0004102i,0.00038671+0.00017315i,0.00015653+0.00036308i
0.00097763+0.0019267i,0.0015665+0.001421i,0.00097365-3.707e-05i,0.0004916-0.00032158i,0.00065189-0.00027399i,-6.0745e-05-0.00063568i,-0.00087122-0.00035695i,-0.00090348+0.00058819i,-0.00021825+0.001079i,0.00089771+0.00086729i,0.0012156+0.00038408i,0.00068739-0.00014907i,0.00054554-0.00096914i,0.00042949-0.0012298i,0.00045973-0.0012303i,0.00052749-0.0013153i,0.0014205-0.00089405i,0.0010782-0.00044129i,-0.00029045-0.00024835i,7.9197e-05+0.00019064i,0.00062308+0.00066506i,0.00042104+0.00059929i,-0.00029246+0.00047504i
-0.0013186-0.00038793i,-0.00095446-0.00018456i,-0.0010179+0.00013246i,-0.00074588+0.0013647i,-0.00018662+0.001738i,-0.00055434+0.0012662i,-0.00099937+0.00043875i,-0.00036649-1.9354e-05i,0.0010271-0.00046085i,0.0017677-0.0001875i,0.0012223+0.00060763i,0.0013838+0.0010722i,0.0012353+0.00056329i,0.000291-0.00084008i,-0.00011242-0.00087319i,0.00035465-0.00019633i,0.00085404-1.3963e-05i,0.00073519-0.00036218i,0.00020546-0.00075812i,-6.2585e-05-0.00068888i,0.00027572-0.0003316i,3.1672e-06-0.00023602i,-0.00034421-0.00039385i
0.00019117-0.002181i,-0.00022898-0.001589i,-0.0012857-0.0015229i,-0.0025659-0.00060367i,-0.0030691+0.00034145i,-0.0024662+0.00089906i,-0.0019821+0.0011755i,-0.0012473+0.00091025i,-2.4798e-05+0.00043067i,5.9663e-05+7.2731e-05i,-6.6862e-05+4.7302e-06i,0.0004568+0.00045478i,0.0008653+0.0007523i,0.00056127+0.00073458i,-8.3498e-05+0.00028074i,0.00011765-0.00014588i,-0.00038349-0.00028383i,-0.00076687-0.00018265i,-0.0003786-0.00032159i,-0.0004796-0.00041541i,-0.00061303+9.4375e-05i,-0.00014261+0.00042819i,0.00035037-4.5404e-05i
-0.0004606-0.0033887i,-0.0010457-0.0012342i,-0.0018858+7.3307e-05i,-0.0019082+0.00051391i,-0.00098312+0.00011347i,0.00017245+0.00058682i,-0.00031893+0.00065205i,-0.00049426+0.00025117i,-0.00031728-5.3667e-05i,-3.7292e-05-0.00018701i,0.00081482+6.739e-05i,0.00077842+0.00033526i,0.00069742+0.00052315i,0.00037841-6.6228e-05i,-5.3146e-05-0.001352i,0.00039251-0.0016327i,0.00031843-0.00047673i,-0.00037806+0.0011181i,-0.00038318+0.0013477i,-4.9521e-05+0.0006759i,-0.00026452+0.00026955i,0.00018379+0.00011593i,2.7979e-05-0.00033329i
-0.00028122-0.00068627i,-0.00079063+0.00099255i,0.00059603+0.0019417i,0.00080915+0.0013638i,-0.00063009+0.00087226i,-0.00089777+0.00069569i,-0.0012301+0.00052123i,-0.00085599+0.00098455i,0.0002699+0.00086754i,0.00089341-7.8538e-05i,0.0014081-0.0011599i,0.0015142-0.0011097i,0.0014894-0.0010458i,0.00095656-0.0017822i,8.3607e-05-0.0015522i,-0.0003773-0.00043295i,-0.00081999+9.3105e-05i,-0.00040294+0.00033745i,0.00043126+0.0008456i,0.00045315-2.1696e-05i,0.000867-0.00084464i,0.00096259-0.00058225i,-2.347e-05-0.00025137i
-0.0020414+0.0013375i,-0.0013284+0.0010837i,-0.0014056+0.0012483i,-0.00096919+0.00031773i,-0.00040037+0.00028129i,-0.0014781-0.00020684i,-0.0015093-0.00033271i,-0.00076268+0.00062989i,0.00016292+0.0013871i,0.0011422+0.0013745i,0.00097133+0.00029273i,0.00038081-0.00055131i,0.00026231-0.0010582i,2.6549e-05-0.0012693i,0.00068186-0.00092829i,0.0012006-0.0010362i,0.0010787-0.00081161i,0.00042472-0.0011319i,-0.00052977-0.0013302i,-0.0012014-0.00074068i,-0.00056807+0.00037092i,0.00039938+0.0010829i,0.00042253+0.00064063i
-0.00054366-0.0021202i,-0.0001142-0.0020905i,0.0010209-0.0017689i,0.0002174-0.00056799i,-0.00075711-9.996e-05i,-0.00035782+0.00020639i,-4.6661e-05+0.00025802i,-0.00045365+3.891e-06i,-0.00052019+0.00013257i,-0.0001711+0.0006365i,5.1318e-05+0.00128i,0.0002855+0.0015574i,0.00049196+0.0011916i,0.00035734+0.00060871i,0.0001259-0.00048697i,0.00017997-0.0011941i,0.00075042-0.0014348i,0.0012151-0.001027i,0.00075734-0.00031649i,0.00055445-1.5482e-05i,0.00048-0.00025136i,0.00052124-0.00015251i,0.00097099+0.00022892i
-0.00013906+0.0006137i,0.00072255+0.0019281i,0.0018937+0.0014634i,0.0017474+0.0007065i,0.00027708+0.00044577i,-0.00038115+0.00036668i,-0.00017674+0.00062816i,-0.00038552+0.00081966i,-0.0004055+0.00015746i,0.00071708+0.00017886i,0.0014238+0.0009582i,0.0016999+0.0014429i,0.0018835+0.0011849i,0.00099257+6.4958e-05i,0.00038664-0.00028618i,0.00031452-0.00053322i,-0.00039109-0.00096364i,-0.00072495-0.00089431i,-0.00036955-0.00061627i,-1.9518e-05-0.00056789i,0.00047398-0.00042661i,0.00027251-0.00016105i,-0.00012732-0.00054484i
0.00040273+0.0032155i,0.0011942+0.0029135i,0.00045757+0.0026358i,-5.9593e-05+0.0018787i,-0.00019383+0.00055543i,-0.00020833+1.2043e-05i,-0.00021973+0.00079991i,-0.00027843+0.0016506i,0.00052978+0.00090014i,0.0017172-0.0004492i,0.0020758-0.00018818i,0.0019368+0.00078138i,0.0017331+0.00011597i,0.0011626-0.0008472i,0.0009583-0.00068532i,0.00075635-0.0012728i,-2.0545e-05-0.0016665i,-5.5084e-05-0.00022169i,0.0004187+0.0010994i,0.00017846+0.0009806i,0.00018011+0.00020406i,0.00050733-0.00040399i,0.00055539-0.00088447i
0.00066358+0.0010766i,0.0015637-0.00048414i,0.0012248-0.0021461i,0.0010179-0.0033853i,0.00049299-0.0021446i,-0.00055474-0.00025459i,-0.0011459+0.00093264i,-0.0011454+0.0016526i,-0.00024974+0.0012908i,0.00036958+0.00077312i,0.0012973-0.00016414i,0.0021769-0.0010815i,0.0012727-0.0013456i,-0.00013583-0.0010517i,0.00025475-0.00071609i,0.00091586-4.6371e-05i,0.00032202+0.00011382i,-0.00024896-8.3844e-05i,0.00053217-7.9825e-05i,0.0011565-0.00021597i,0.00077077+6.9074e-05i,0.00097552+0.00043257i,0.00084876+0.00085636i
-0.0013308+0.0014309i,-0.0010716+0.0030041i,-0.00022392+0.0035369i,0.0013331+0.0025389i,0.0024539+0.0017334i,0.0015905-0.00021668i,0.00014591-0.00090554i,2.0264e-05-1.803e-05i,0.00056435+0.00031015i,0.0015271+0.00052824i,0.0020733+0.00049151i,0.0017865-0.00087272i,0.0016189-0.0018855i,0.00094569-0.0019076i,0.00012476-0.001806i,-2.6491e-05-0.0011888i,0.00042167-0.00034102i,0.0014-0.00065594i,0.0013614-0.0014542i,0.00017131-0.00075641i,-5.8125e-05-0.00042857i,0.00024012-0.00079116i,0.000134-0.00047414i
0.0013813-0.00096314i,0.00048993-0.0025515i,0.00063242-0.0036261i,5.6914e-05-0.0018093i,-0.0014964+0.0006095i,-0.0023055+0.0020361i,-0.0021765+0.0019978i,-0.0017445+0.0011799i,-0.00112+0.00079753i,-9.385e-05+0.00070565i,0.00037096+0.00079855i,0.0004651+0.00070409i,1.4313e-05-0.0004804i,0.00032158-0.0012832i,0.00073561-0.00091885i,0.00099372-0.00067419i,0.0010871-0.00073073i,0.00090903-0.00074868i,0.00069595-0.00047778i,0.00057996+0.00029196i,0.00051633+3.0212e-05i,0.00045227-0.00085333i,0.00091156-0.00080569i
-0.00061494-0.0018884i,-0.00045745-0.00064151i,-0.0011503+0.0009715i,-0.0005645+0.0012489i,0.00024813+0.00033415i,8.9397e-05-2.9571e-05i,-0.00084122+0.00023937i,-0.00087999+0.00081807i,-0.00049917+0.00093301i,-0.00044454+0.0013101i,0.0001946+0.001398i,0.00091549+0.0008125i,0.0012073-6.5394e-05i,0.00079587-0.00081968i,0.00042497-0.0009777i,0.00046029-0.0011513i,0.00039694-0.0011913i,0.00020406-0.0011796i,0.00045077-0.0014284i,0.00028452-0.0010205i,0.00030401-0.0010247i,0.00047245-0.00080243i,-0.00053937+9.157e-05i
