-0.0047507-0.00055508i,-0.002901-0.0001321i,-0.0028663+0.0011309i,-0.0016046+0.0013205i,-0.00090654+0.0018024i,0.00036185+0.001409i,0.0018185+0.00079642i,0.0018033+0.00088604i,0.0016364+0.00092796i,0.0017365+0.00028776i,0.0015883-0.00017317i,0.0014525-0.00064519i,0.00019876-0.00092307i,-0.00048335-0.00043511i,-0.0004142+5.3336e-05i,-0.00025026-8.5449e-05i,0.00027385-0.00034089i,0.00041681-0.00036371i,0.00032861-0.0002864i,-0.00030205+0.00017696i,-0.00071245-0.00061808i,-5.3243e-05-0.0010762i,0.00073607-0.00040737i
-0.0013761+5.6092e-05i,-0.0017183-0.00050871i,-0.001005-0.0010934i,5.1068e-06-0.00087877i,0.0011373-8.1747e-05i,0.0024918+0.00026512i,0.001505-4.9276e-05i,-0.00066206-0.00024016i,-0.0015157-0.00021153i,-0.00099561-0.00032635i,0.00019604-0.00029668i,0.00015701-0.00016758i,-0.00032816-0.00037287i,-0.00023475-0.00036074i,-0.00085484-0.00035735i,-0.0011924-0.00052948i,-0.00080762-0.0002809i,-0.00062105+0.00021151i,-0.00072589+0.00010102i,-0.00030111-0.00023754i,0.00033987-0.00034925i,0.0003919-0.00035142i,0.00012114+0.00026295i
0.00066687+0.00016208i,0.00090235-0.00039985i,0.00093136-0.00077878i,0.00061186-0.0019794i,0.00040873-0.0032531i,0.00049067-0.0031889i,0.0009379-0.0019204i,0.00058879-0.00020064i,0.00013569+0.00088713i,0.0003554+0.00048722i,0.0003335+2.0449e-05i,0.00042528+0.00067528i,0.0005091+0.0013101i,0.000487+0.0015999i,-7.1401e-05+0.001587i,-0.0012871+0.00086161i,-0.0013779+0.00014811i,-4.4355e-05-0.00037926i,0.00013756-0.00010552i,-0.00016658+0.00012335i,-0.00039648-0.00051072i,-0.00041216-1.1292e-05i,0.00022905+0.00046015i
0.00055137+0.00051932i,-1.0668e-05+0.00099866i,-0.0022343-0.00013255i,-0.0027625-0.0013915i,-0.0022019-0.0025398i,-0.0019305-0.0033336i,-0.0015384-0.0026801i,0.00019091-0.0017612i,0.0011452-0.001099i,0.00055389-0.00040967i,0.00026653+0.00036555i,0.0003426+0.00013303i,9.4354e-05-0.00057069i,0.00031308-3.2482e-05i,0.00074168+0.0007462i,-0.00021588+0.0012435i,-0.00076173+0.00073179i,0.0004089-0.00020404i,0.0014481-0.0011639i,0.0010081-0.0015176i,0.00022481-0.001343i,0.00077702-0.00062046i,0.0009891-4.5899e-05i
0.00041019-0.0014426i,0.00014023-0.00047831i,-0.00064545+0.00029301i,-0.0018635-2.8604e-05i,-0.003248-0.00091722i,-0.0027574-0.0015932i,-0.0020587-0.001547i,-0.0015442-0.0018243i,-0.00097289-0.0021332i,-0.00073482-0.001368i,-0.00029169-0.00054549i,4.2022e-05-0.00086125i,-0.00044164-0.0011598i,-0.0010076-0.00065308i,-0.00086015-0.00020322i,-0.00036765-0.00016878i,0.00059789-0.00012742i,0.00082957+7.4227e-05i,0.00031592+0.00024974i,-0.00012079+9.3556e-05i,-0.00027212-8.3596e-05i,-0.00030877+0.00029481i,0.00028614+0.00031069i
0.00032864+0.00088011i,-0.00069643+0.0017614i,-0.00089289+0.0015716i,-0.0011944+0.0010576i,-0.00231+0.0013485i,-0.0026915+0.0019677i,-0.0020778+0.0014975i,-0.0011563+0.00010407i,-0.00075153-0.0010969i,-0.00063388-0.0013017i,-0.00016742-0.0008893i,-0.00023168-0.00027995i,-0.00057105-0.00011762i,-0.00046556-0.00086845i,0.00091512-0.00097986i,0.001523-0.00096778i,-7.4498e-05-0.0013463i,-0.00074336-0.0013971i,-0.0011087-0.00042397i,-0.0014974+1.8922e-05i,-0.0011134-0.00012062i,-0.0011434-0.00028427i,-0.0008914-0.00028225i
-0.0013515-0.00075683i,-0.0016647-0.0012479i,-0.001129-0.0011137i,-0.00090894+0.00049295i,-0.00075215+0.0026734i,-0.00037098+0.0034006i,-0.0011238+0.0017908i,-0.0014256+0.00032432i,-0.0007039+0.0013236i,0.00046572+0.0016547i,0.0002888+9.535e-05i,-0.00071771-0.0006747i,-0.00072994-0.0005756i,-0.00041633-0.00040203i,-0.00041578-0.0004693i,-0.00098747-0.00045102i,-0.00061851+0.00010085i,4.5088e-05+0.0006571i,5.1104e-06-3.2173e-05i,-0.00050911-0.00043623i,-0.00069517-0.00043741i,-0.00014071-4.9505e-06i,6.8417e-06+0.00028846i
0.00099891-0.00010885i,0.0024175+0.00096283i,0.0028413+0.00080718i,0.0026485+0.00024063i,0.0020157-0.00025236i,0.0023635-0.00020668i,0.0022923+0.00038318i,0.00060165+0.0012321i,-0.0002223+0.0013684i,-0.00029899+0.00034325i,-0.00098168-0.00071187i,-0.00087032-0.0011583i,0.00020049-0.00067114i,0.0007709+0.00023972i,0.00035777+0.00045277i,-0.00014333+2.376e-06i,-0.00010144-0.00011895i,0.00087694-8.6015e-05i,0.0016588+0.00031842i,0.0010831-0.00018873i,0.0004931-0.00073104i,0.00016168-0.00029141i,0.00035635-0.00017991i
-0.00020592-0.00061825i,-0.00052912-0.00024729i,0.00037798+4.0784e-05i,0.0013543-0.00085063i,0.0020765-0.0018773i,0.0021273-0.0024929i,0.0016833-0.0024634i,0.0013473-0.0013101i,0.0012159-0.00030737i,0.0011335+1.3555e-05i,0.00092575+0.00033566i,0.00070597+0.00011114i,0.00094677-0.0007252i,0.0010125-0.00085357i,0.0002768-0.00046949i,-0.00074677-0.00040971i,-0.00065906-0.00048184i,0.0007984-0.00041526i,0.00096247-0.0005327i,-0.00053202-0.00018374i,-0.00090533-0.00049528i,-0.00025023-0.00091067i,0.00041634-0.00055415i
-4.921e-05+0.00322i,-0.00013371+0.0013952i,0.00032913-0.00019143i,-0.00011359-0.0014031i,-0.0012164-0.002682i,-0.0018034-0.0034281i,-0.0010652-0.0030029i,0.00040171-0.001939i,0.0010118-0.0015549i,0.00053143-0.0012038i,0.00029088-0.0010314i,0.00048763-0.0012531i,-2.2651e-05-0.0015089i,-0.00069543-0.00086269i,-0.0009598-5.5001e-05i,-0.001157-2.9105e-05i,-0.00094198-1.0617e-05i,-0.00072923-0.00033206i,-0.00027847-0.00064409i,0.00036791-0.00073549i,0.0004804-0.00059199i,-1.5925e-05-0.00013926i,-6.0062e-08+0.00027521i
-3.3813e-05-0.00014215i,-0.0019195-0.00025245i,-0.0033802-0.00057277i,-0.0033316-0.0011196i,-0.0036511-0.0014848i,-0.0041576-0.00096612i,-0.0037358-0.0007957i,-0.0017826-0.00054937i,0.00029034-0.00054897i,0.00038952-0.001526i,-0.00021744-0.0017457i,0.00013283-0.0009496i,0.00075386-0.00013052i,6.8005e-05+0.00066057i,-0.00043943+0.0010133i,-4.2845e-06+8.3446e-05i,0.00012085-0.00061601i,0.00029093-0.00029936i,0.00048472-0.00023119i,0.00066275-0.00073285i,0.00033606-0.00055629i,-0.00038462-0.0001891i,-0.00065231-4.892e-05i
-0.0010421-0.00047458i,0.00036932-4.137e-05i,0.0010049-0.00082214i,-0.00027035-0.0002286i,-0.0013009+0.0021167i,-0.0011968+0.0031105i,-0.00092376+0.0020761i,-0.0014814+0.00035275i,-0.0024601-0.00067671i,-0.0012428-0.0010697i,0.00016125-0.00088817i,7.7522e-05-0.00029344i,-0.0001647+0.000424i,-6.4141e-05+0.00074086i,0.00048791+0.0003283i,0.00045324-1.9737e-05i,8.0749e-05+0.00034083i,0.00024759+0.00071187i,0.00087428+0.00035518i,0.0011258+0.00060873i,0.00049776+0.00066901i,-0.00030352-0.00020951i,-0.00019326+0.0001544i
-0.00062754+0.00013019i,0.00016971+0.0004817i,-0.0011091-3.2993e-06i,-0.0025748+0.00058119i,-0.0022205+0.0019816i,-0.00050368+0.0026141i,-0.00065995+0.0015671i,-0.0012349+0.0011082i,-0.00088992+0.0020185i,-0.00053385+0.0024738i,-0.0007799+0.0020028i,-0.0010554+0.0011769i,-0.00066927+0.00014689i,9.949e-05-0.0006414i,-6.5661e-05-0.001084i,-0.00077681-0.00081314i,-0.00067191-0.00015129i,0.00017707-0.00015125i,0.00097716-0.00053952i,0.00077389-0.00036542i,0.00044809+0.00021512i,4.688e-05+0.00034221i,0.00012347-8.6677e-06i
0.00057105+0.0014303i,0.0015536+0.0024166i,0.0022049+0.0020808i,0.002524+0.00079769i,0.0024107-0.00011904i,0.00209-0.00042715i,0.0013171-0.00037402i,0.00080839-0.00023882i,0.00024646+0.00053607i,0.00026171+0.00060389i,0.00056186+0.00047349i,0.00049334+0.00047268i,0.0010563+2.1984e-05i,0.0011514-0.00084473i,0.00027426-0.0010702i,-0.00036206-0.0004937i,-0.0001157-4.1659e-05i,0.00071736+8.9101e-05i,0.0012313+0.00031974i,0.00078063-0.00035118i,0.00048165-0.00097893i,0.00052068-0.00039778i,0.00093765-1.559e-05i
-0.00056859+0.00079049i,-0.00082794+0.0012808i,-0.00094767+0.0010038i,0.00011973-0.00029153i,0.0014921-0.0021548i,0.0015525-0.0027031i,0.0011258-0.0019496i,0.00092447-0.00097739i,-6.8983e-06-0.00020167i,0.0006079+0.00048134i,0.0017651+0.00020014i,0.0011006-0.00056493i,0.00061742-0.00083081i,0.00094474-0.00050723i,0.00088233-0.00017501i,0.00074322+7.4229e-05i,0.001023+0.00077385i,0.00058322+0.00076775i,-8.1482e-06-5.0059e-05i,-2.0298e-05-0.00077581i,0.00027104-0.0002609i,0.00017883+0.00072915i,-8.0196e-05+0.0005169i
0.0007003-0.0015847i,-8.1288e-05-0.0030665i,-0.00021532-0.0036964i,-0.00075054-0.004034i,-0.0018092-0.0046085i,-0.0028176-0.0043094i,-0.0019494-0.0036098i,-0.00099819-0.0025024i,-0.0007619-0.0015967i,-0.00033071-0.0013653i,0.00014621-0.00084622i,-8.031e-05-0.00078021i,-0.00065318-0.00066471i,-8.6198e-05-0.00033572i,0.00064886-0.00033775i,0.00092493-0.00087898i,0.00056527-0.0013855i,-0.0001777-0.00031856i,0.00020906+0.00040169i,0.00026325+0.00046591i,-0.00014509-4.1248e-05i,-0.00011977-0.00078132i,-8.2993e-05-0.00041145i
0.00076475-0.00031287i,-0.00057103-0.0018373i,-0.00093174-0.0020325i,-0.0025999-0.00084305i,-0.0045564-0.0012697i,-0.0045804-0.00084633i,-0.0032934-0.00032508i,-0.0018289-0.00073117i,-0.00087909-0.00038828i,-0.00077642-0.0013191i,-0.00093925-0.0027042i,-0.00075731-0.0016312i,-0.0013562-0.00053661i,-0.0014851-0.0010449i,-0.00061513-0.00090205i,0.00032509-0.00029131i,0.00077831-7.4319e-05i,0.0004741+0.00043152i,-0.00028628+0.00079497i,0.00022014+0.00043974i,0.00032276+0.00053946i,5.8727e-05+0.00068769i,0.00036352+0.0004674i
0.0016592+0.001387i,0.0010238+0.0010241i,0.0011356-0.00013822i,-0.00093934+0.00054769i,-0.0031588+0.0020522i,-0.00275+0.0024793i,-0.0022382+0.002521i,-0.002465+0.0019175i,-0.0016881+0.00043884i,4.3861e-05-0.00053691i,-8.8188e-05-0.0011333i,-0.00080769-0.0013871i,0.00050784-0.0008437i,0.0013156-0.00048106i,0.0004889+0.00020893i,-0.00052708+0.00020449i,-0.00066599-0.00064421i,-0.0007136-0.00078963i,-0.00061209-0.00042505i,-0.00028426-0.00026376i,-0.00022346+1.3757e-06i,0.00014031+0.00046406i,0.00050554+0.00072605i
0.00088967+0.00052211i,0.0011264+0.002407i,0.0015009+0.0032559i,0.0020099+0.0019488i,0.0018313+0.0010501i,0.0011886+0.0016634i,0.0013854+0.0026394i,0.0015964+0.0023837i,0.00078587+0.0012685i,0.00013436+0.00030193i,-4.224e-06-0.00012634i,0.00043043-0.00067745i,0.00039325-0.0008348i,-0.00010355-0.0003499i,-7.4129e-05+0.00019453i,-0.0006997-5.3785e-05i,-0.0012063-0.00085261i,-0.00081065-1.7824e-05i,-0.00035439+0.00056397i,-0.00010235-0.00023696i,-0.00041622+0.00016207i,-0.00096822+0.00021949i,-0.00059828-0.00056112i
0.0012607-0.00039629i,0.00040433-0.0025833i,-3.6151e-05-0.0039921i,0.0013361-0.0038567i,0.0028464-0.0031556i,0.0033659-0.0029011i,0.0036403-0.002503i,0.0029296-0.00065919i,0.0021471+0.00030024i,0.0010382-0.00086289i,0.00010793-0.0013547i,-0.00012136-0.0012731i,7.0127e-05-0.00116i,0.00055253-0.0014553i,0.00063029-0.0010707i,0.00068798-0.00017066i,3.2531e-06+8.0981e-05i,-0.00039837+9.4092e-06i,0.00023196-0.00037448i,0.0009173-0.00055724i,0.00090966-0.00043855i,0.00028685-0.00079252i,-0.00039989-0.00070237i
-0.0018971-0.0016261i,-0.00065885-0.0015136i,6.964e-05-0.00091878i,-3.2241e-05-0.0013177i,3.2788e-05-0.0028603i,-0.00062454-0.0029933i,-0.00072294-0.0026705i,-0.00024776-0.0025956i,0.00029107-0.0015716i,0.00098243-0.00036902i,0.0011425-0.00022564i,0.00099493-0.00045669i,0.00061052-6.3539e-05i,0.00024133-0.00028009i,0.00011291-0.00054718i,0.00024938-0.00054737i,0.00073373-0.00087269i,0.0009922-0.00097258i,-5.044e-05-0.00035788i,-0.00038072+0.00076103i,-0.00027841+0.00046099i,-0.00056008-0.00042926i,-0.00064906-0.0008488i
0.0011342+0.0012534i,0.0016135-0.00015507i,0.00054939-0.00096808i,-0.0020224-0.0014146i,-0.0035679-0.0022975i,-0.003727-0.0026761i,-0.0038552-0.0016935i,-0.003339-0.0010399i,-0.001517-0.0014185i,2.3924e-05-0.0010249i,0.00021137-0.00043367i,-0.0004557-0.00012465i,0.00026597+0.00024943i,0.0004742+0.00040336i,-0.00033816-0.00045606i,-6.3369e-05-0.00080467i,-0.00011815-0.00039469i,-0.00017179-0.00021732i,-0.00032922+1.0605e-05i,-0.00011755+9.2637e-05i,-6.4878e-05+0.00059244i,-0.00048106+0.00071635i,-0.00021648+0.00025169i
0.0018132+0.0018213i,0.0018294+0.0027712i,0.0025787+0.0023645i,0.00076867+0.00071381i,-0.0018348-0.00023044i,-0.0033911-4.1242e-05i,-0.0031329+0.00045634i,-0.0019829+3.8953e-05i,-0.00047516-0.00044148i,0.00035786-0.0012913i,0.00061452-0.0017875i,0.00030337-0.0012186i,0.00027297-0.00042055i,0.00043153-3.9391e-05i,-0.00031779+0.00049514i,-0.00076793+0.00025476i,-0.00086086+0.00017967i,-0.00063726+0.0006434i,-0.00034383+0.00058164i,-0.00048433+0.00035564i,-0.00074854+2.195e-05i,-6.8739e-05+0.00019397i,0.00087238+4.8806e-05i
-0.00088112+0.0018099i,-0.0015835+9.5819e-05i,-0.0016604-0.00085031i,-0.00041153-0.00071696i,-7.4537e-05+0.0015461i,-0.000312+0.0031452i,0.00081292+0.002813i,0.0006028+0.00213i,-0.00047284+0.0016256i,-0.00021805+0.00075793i,0.0010532+6.2369e-05i,0.0015297-0.00051674i,0.00085232-0.00044095i,0.00083216-0.00026477i,0.001351-0.00026932i,0.00081021+0.00057304i,-0.00051047+0.0010655i,-0.00090499+0.00038833i,-0.00025994+0.00045538i,0.00016038+0.00060137i,-0.00013348+0.00053438i,-0.00022676+0.00055332i,0.0004967+0.00029688i
0.00090948+2.9988e-05i,0.0020836+0.00075274i,0.0026251+0.00091994i,0.0029448+0.00043217i,0.0028963+0.00031854i,0.0024665+0.00088906i,0.0015522+0.00041973i,0.0014123-5.6085e-05i,0.001425+0.00039335i,0.00075565+0.00061394i,0.00010587-0.00011301i,-0.00097593-0.0010214i,-0.0013494-0.00097822i,-0.00083563-0.00076899i,-4.5523e-05-0.00023444i,5.1271e-05-0.0004084i,-0.00053233-0.00097082i,-7.6775e-05-0.0011682i,0.00046875-0.0010645i,0.00065021-0.00064235i,0.00065318+0.00016581i,0.00058982+0.00025477i,5.7559e-05-0.00014191i
0.0014676+0.0021352i,0.0019791+0.00098462i,0.0020931+0.00015517i,0.0019569-0.00042896i,0.0029817-0.0010536i,0.0028153-0.0024683i,0.0018718-0.002736i,0.0014023-0.0019472i,0.0021245-0.0011263i,0.0020692-0.00092684i,0.00049358-0.0012055i,-0.0011082-0.0007342i,-0.0026451-0.00032033i,-0.0017908-2.743e-05i,-0.00037373+0.00021783i,0.00011485-0.0002333i,0.00029748-0.00047779i,0.00018011+5.793e-05i,0.0002368+0.00054484i,0.00030517+8.2994e-05i,0.00066192-0.00022414i,0.00016545-0.00010588i,-0.00052434-0.00010822i
0.0013294+0.0039062i,0.0012661+0.0031379i,0.0037249+0.00099085i,0.0033973-0.0015027i,0.00088454-0.0037936i,-0.0017698-0.0047498i,-0.0024224-0.0040138i,-0.0020382-0.0026647i,-0.001747-0.0019064i,-0.00069079-0.0015223i,-0.00014004-0.00077272i,-0.00063526-0.00041299i,-0.00023668-0.00036765i,0.0001302-0.00029117i,-0.00079884-0.00073229i,-0.0008021-0.0011963i,-0.0001138-0.00061918i,0.00010997+0.00010124i,0.00028367+5.5295e-05i,0.00011361+0.00025115i,-0.00069806+0.00070979i,-0.00044423+0.0005303i,-0.00031034+0.00018303i
0.0070165+0.0073565i,0.005042+0.0055028i,0.0070161-0.00021491i,0.0056215-0.0054357i,0.0013531-0.0069904i,-0.001568-0.0053661i,-0.00068883-0.00095984i,0.00041733+0.0012186i,0.00092131+0.00041374i,0.0010266-0.0009447i,9.9619e-05-0.0019658i,-0.0003436-0.0025334i,0.00014319-0.001249i,2.8951e-05-0.00081385i,-8.7441e-05-0.0016251i,0.0001415-0.00060071i,0.00013595+0.00062665i,0.00037665+0.00055484i,0.00047212+0.00025517i,0.0003199-0.00028468i,0.00060495-0.00075055i,0.00072111-0.00088454i,0.00043926-0.00094481i
-0.0071082-0.0083196i,-0.0074243-0.0061836i,-0.010183-0.0029958i,-0.0075556+0.0010929i,-0.0050996+0.005759i,-0.0040392+0.0059318i,-0.0039618+0.0020657i,-0.0036916+0.00027287i,-0.0031189+0.0011375i,-0.0025229+0.0029899i,-0.00066347+0.0022111i,0.0012887+0.00092363i,0.0024505+0.0010948i,0.0012099+0.0014298i,-0.00034995+0.001625i,-7.2565e-05+0.0014162i,0.00029275+0.00022325i,-0.0006134-0.00070681i,-0.001235-0.0012057i,-0.00048447-0.00047349i,-7.5491e-06+0.00038364i,-8.8082e-05-0.00030862i,0.00036654-0.00094606i
-0.0030055-0.0024799i,-0.00155-0.0024932i,-0.0031432-5.4099e-05i,-0.0040269+0.0025975i,-0.002407+0.0053792i,4.9013e-05+0.0060747i,0.0005147+0.0041976i,0.000191+0.0022535i,0.0012541+0.0010753i,0.0015853+0.00013412i,0.00047239-0.00039686i,-0.00059448-0.00038751i,-0.00093677-0.00012497i,-0.00020055-0.0003958i,0.00065119-0.00075865i,0.0011701-0.00046283i,0.00071457-0.0003347i,1.3297e-05-0.00024293i,-0.00030118-0.00010087i,-0.00039371+7.5058e-07i,-0.00042254+0.00014581i,-0.00036905-9.314e-05i,-0.00011542-0.00012811i
0.00080822-0.00081875i,-0.00011208-0.00052924i,-0.0011586+0.00045102i,-0.00039232+0.00213i,0.00093975+0.0028012i,0.0021847+0.002319i,0.0018994+0.0015405i,0.001473+0.00056412i,0.0015949+0.00010723i,0.00074328+0.00013166i,-0.00079568-4.5597e-05i,-0.0023867+0.00035424i,-0.0024615+0.00067083i,-0.0015922+0.00059093i,-0.0010683+0.0007401i,-0.00074305-9.8759e-05i,-0.00035491-0.00040392i,-0.00033299+0.00042427i,-0.0012119+0.00038429i,-0.0013053-4.2813e-06i,-0.00051024+5.4492e-05i,-0.00055411-5.0383e-05i,-0.0010451+2.5759e-05i
-0.00088639-0.0017057i,-0.0012404-0.00036006i,-0.0024853+0.0012107i,-0.0010793+0.0022746i,0.0011221+0.0015051i,0.0016101-0.00085205i,0.00064909-0.0023855i,-0.00039835-0.0018299i,-0.0010134-0.0011371i,-0.0010686-0.0003305i,-0.00073171+0.00099785i,7.7182e-05+0.0015098i,0.00056233+0.0019763i,-0.00010902+0.0021088i,-0.00046467+0.0024232i,0.00016522+0.0020938i,0.00027568+0.00091094i,-0.00036538+0.0002436i,7.276e-05-0.00085123i,0.00080958-0.00084114i,0.0005437-0.00056037i,-8.0555e-05-0.00045976i,-6.1313e-05+2.7496e-05i
-0.0026721-0.0033076i,-0.0028815-0.0031994i,-0.0020714-0.0025192i,-0.00037392-0.00087515i,-0.0012414+3.2053e-06i,-0.0024222-0.00042837i,-0.0023139-0.00069714i,-0.0025514-0.0011704i,-0.0020563-0.0011739i,-0.00078175+0.00061592i,0.00070714+0.0016609i,0.002361+0.00039973i,0.0026313-0.00044549i,0.0022053+0.00034664i,0.0015904+0.001012i,0.00057994+0.0011943i,-6.5808e-05+0.0010386i,-0.00034739+0.00046281i,-7.8135e-05-0.00067332i,0.00051588-0.00099741i,0.00073459-0.00011532i,0.00091909+0.00033946i,0.0010399+0.00030777i
0.00027905-0.0029638i,-0.00034719-0.0025363i,-0.0033997-0.001597i,-0.0044141-0.0010424i,-0.0038897-3.9952e-05i,-0.003198+0.0016125i,-0.002289+0.0020791i,-0.0010659+0.00095286i,-0.0010108+0.00087966i,-0.00026974+0.0011671i,0.00085093-0.00013996i,0.00076407-0.0015994i,0.0013329-0.0021308i,0.0017529-0.001952i,0.0010373-0.00078088i,-4.3084e-05+0.00039816i,0.00019399+0.00063372i,0.00065782+0.00022509i,9.338e-05+0.00034013i,-0.00068525+0.0004907i,-0.00065669-7.2353e-05i,0.00019657+9.8771e-05i,0.00053267+0.00047521i
0.001172-0.00043906i,0.001339+0.00031899i,-0.00021945+0.00092371i,-0.0023291+0.00059614i,-0.0036605+0.0016238i,-0.0021411+0.0028617i,-0.00032597+0.0015418i,0.00084758+0.00030962i,0.0014004+0.00054191i,0.0010515+0.00016824i,0.00026912-0.00084742i,-0.0006882-0.0010571i,-0.0018215-0.00054781i,-0.001659-0.00035426i,-0.00064248-0.0004456i,-0.00035979-0.00055028i,0.00071542-0.00042226i,0.0011961+0.00039209i,0.00062597+0.00098636i,-0.00031124+0.00017927i,-0.0004337-0.00033798i,-0.00028808-9.4144e-05i,0.00014263-0.00035688i
-0.0018911+0.00038269i,-0.002111+1.3331e-05i,-0.0024737+0.00054808i,-0.0028142+0.0027588i,-0.0012655+0.0040894i,0.0010239+0.002626i,0.0021024+0.00059677i,0.0025072-0.00043899i,0.0018569-0.0011985i,0.00052717-0.0010344i,-0.00037186-0.00064619i,-0.00059147-0.00033174i,-0.0012587+0.00032737i,-0.0014908+0.00034628i,-0.00065726+0.00018493i,0.00018827-0.00010502i,-0.00010858-0.0002697i,-0.00027883-0.00011334i,2.8727e-05+0.00053636i,0.00076938+0.00045493i,0.00028577-0.00040719i,-0.000608+7.6465e-07i,-0.00043122+0.00012527i
0.00026504-0.0020728i,0.00033863-0.0021921i,0.0013652-0.001184i,0.0019925-0.00052785i,0.0018092-0.00095666i,0.0013755-0.0010999i,0.00042921-0.0011859i,0.00044526-0.0014055i,0.00084872-0.0017756i,0.00013675-0.0020758i,2.8614e-05-0.00090778i,-1.408e-05+0.0010612i,-8.1972e-05+0.0013062i,0.0003852+0.0010963i,0.00060479+0.001111i,0.00027306+0.00059356i,-0.00023258+0.00012144i,-0.0002448+5.8638e-06i,0.00033177+0.00051897i,0.00071556+2.4e-05i,0.00045155-0.00051926i,-2.7352e-05+0.00022591i,3.866e-06+0.00038433i
0.00057658+0.00059099i,-0.00065551+0.0002915i,-0.0020593+0.00026159i,-0.0015401+0.00020572i,-0.00058363-0.00099122i,-0.00027989-0.0014052i,-0.000109-0.0013564i,-0.00010731-0.0011988i,-0.00048494-0.00045109i,-0.00077661-0.00078406i,-0.00024225-0.00013478i,0.00070144+0.00025584i,0.00078783-0.0007913i,0.00079663-0.00045564i,0.0010902+0.00014801i,0.00031296-0.00026151i,-1.6519e-05-0.00021612i,9.7786e-05-0.00011201i,6.186e-05-0.00033719i,0.00015033-0.0003098i,0.0002623+0.00021178i,0.00035499+6.6275e-05i,-0.00013008-0.00045212i
0.0006368-0.00067156i,-0.0010402-2.8017e-05i,-0.002181-0.00049791i,-0.0021972-0.0017641i,-0.002516-0.0013778i,-0.002921-0.00027461i,-0.0023899-0.00041849i,-0.0016677-0.00072152i,-0.001755+5.5369e-05i,-0.0014302+0.00085305i,-8.3154e-05+0.00063758i,0.00067724-0.00090951i,0.00028854-0.0019676i,0.00010772-0.0023284i,0.00036946-0.0012252i,-8.8981e-05+1.3945e-05i,-0.00040957+0.0001443i,-0.00067775+0.00052931i,-0.00050647+0.00021275i,-0.00086247-0.00032404i,-0.0012007-0.0003062i,-0.00041866-0.00072901i,-0.00023884-0.0002273i
-0.0013011-0.00071599i,-0.0017276+1.3967e-05i,-0.0029867+0.00037689i,-0.0036418+0.0013266i,-0.0028072+0.0023537i,-0.0011815+0.0026946i,-0.00034373+0.001859i,1.4853e-05+0.0010955i,0.00078137+0.00059145i,0.0012102+0.0001705i,0.00083062+0.00030288i,0.00022747+0.00020532i,-0.00022706-0.00015558i,-0.00072635-0.00026489i,-0.00093699+0.00021309i,-0.00041649-0.00013785i,0.00012726-0.0006731i,0.00098047-0.00018333i,0.00067479+0.00028182i,-0.00012353+0.00052641i,-0.0004682+0.00069816i,-0.00061855+0.00049962i,-0.00035024+0.00017509i
0.00081428-0.00061072i,0.0022102-0.00042788i,0.0038154+3.5966e-05i,0.0036922+0.00080208i,0.0022948+0.0016293i,0.0017089+0.0015841i,0.001404+0.00069841i,0.0012576-0.00062068i,0.0018398-0.0010205i,0.0012568-0.00078931i,3.4954e-05-0.0010409i,-0.00016221-0.00034887i,2.3674e-05+0.00084629i,-2.871e-05+0.00085347i,-9.9388e-05+8.0502e-05i,-0.00039212-6.8869e-05i,-0.00034813-0.00038894i,0.00055623-0.00080631i,0.00094909-0.00016187i,0.00039861-8.5629e-05i,0.001035-0.00018082i,0.0014108-0.00013094i,0.0011849+3.3088e-05i
0.00017494+0.00073197i,0.00029257-0.00011902i,0.00041967-0.0012958i,0.000115-0.0017359i,0.00033174-0.0014222i,0.00051166-0.00079341i,-3.9918e-05-0.00045515i,-0.00061244-0.00083791i,-0.00028554-0.0014178i,-0.00047365-0.0020733i,-0.00052458-0.002223i,0.00032639-0.0010638i,0.0012877-2.8307e-05i,0.0013047+0.00072839i,0.00089278+0.00091663i,0.00088893-0.00033132i,0.00025965-0.0012152i,0.00010022-0.00078071i,0.00013965-0.00031944i,-0.00067432-0.00036674i,-0.0010843-0.00043072i,-0.00092661-0.00038372i,-0.00069771-4.9234e-05i
0.00090131+0.00016141i,0.00030605+0.00018765i,-0.00028806-0.00064917i,-0.00046808-0.0015944i,-0.00062682-0.0024575i,0.00063906-0.0028574i,0.001063-0.0026088i,-0.00013731-0.0012213i,-0.00096574+0.00014448i,-0.00064194+0.00020054i,-0.00029803-0.00059512i,0.00027253-0.0012815i,0.0013468-0.0013166i,0.0012072-0.0010166i,0.00032579-0.00031733i,0.00040498-0.00015726i,-0.00059865+0.0001122i,-0.0013271+0.00027101i,-0.0012718-0.0006124i,-0.0011756-0.00091011i,-0.00056778-0.00037358i,-0.00014997+5.1006e-05i,-0.00035298+0.00021161i
-0.00076545-0.00020584i,-0.0037121+0.00050339i,-0.0059958+0.00025642i,-0.0050274-0.0004942i,-0.0035955-0.00089017i,-0.0025659-0.001659i,-0.001889-0.0017439i,-0.0015676-0.000493i,-0.0010103-5.134e-05i,-0.00026462+0.00031642i,-5.8638e-05+0.00094897i,-0.00031133+0.00074598i,6.4443e-05+2.7749e-06i,0.00010554-0.001427i,-0.0003806-0.0015275i,-0.00018136-0.00019922i,0.0004719+0.00077489i,0.0003245+0.00029443i,-0.00021696-0.00024375i,-9.6736e-05-0.00040419i,-0.00016283-0.00067651i,0.00010344-0.00023634i,0.00089069+0.00026818i
