-0.00027181-0.0028781i,-0.0010589-0.0028905i,-0.0021333-0.0018843i,-0.00080254-0.00022276i,0.00026838+0.0017676i,0.00015593+0.0037284i,0.0008375+0.0034169i,0.0012281+0.0019046i,0.0010415+0.0004834i,0.0012827-0.0011065i,0.0011558-0.0011063i,0.00017678-0.00044776i,-0.00028042-0.00059338i,0.00025825-0.00040274i,-2.2606e-05+2.9466e-05i,-2.7804e-05+0.00028528i,0.00019247+8.3282e-05i,-9.844e-07-0.00048562i,-0.00058342-0.00034096i,-0.00060228-0.00045573i,0.0002206-0.00087457i,-4.6873e-05-0.00038666i,0.00020599+8.8175e-05i
-0.004526-0.0042149i,-0.0052975-0.0035974i,-0.0061236-0.00011675i,-0.0038698+0.0026555i,-0.0005184+0.0025496i,0.0013758+0.00269i,0.0016862+0.0022857i,0.0012962+0.0010844i,-0.00013786-0.00023109i,-0.0007712-0.00018888i,-0.00027733+0.0009096i,0.00048737+0.00069985i,0.0014026+0.00020755i,0.0017289+0.00019157i,0.0015899-0.00032472i,0.00093708-0.0011293i,0.00029035-0.00078828i,9.2685e-05-0.00048694i,-0.00027753-0.00081179i,-0.00047997-0.00087968i,-0.00025071-0.00052765i,0.00028703+0.00047945i,0.00060317+0.0014218i
0.0031314-0.0028093i,0.00419-0.0031607i,0.0026659-0.0030562i,0.00099325-0.0019668i,0.00049563-4.9567e-05i,0.00030847+0.0019631i,0.00033057+0.0026326i,0.0012367+0.0013209i,0.0011834+0.0003806i,0.00054639+0.00026711i,1.895e-05-0.00098397i,-0.00036342-0.0014301i,6.3885e-05-0.00036382i,0.00016991+0.00025784i,-0.00022722+2.0237e-05i,-0.00014104+0.00022785i,0.00014454-3.2495e-05i,-4.5456e-05-0.00062446i,-0.00053718-0.000539i,-0.00073779+0.00046538i,-0.00048206+0.00060006i,-0.0005176+0.00025185i,-7.7621e-05+0.00028i
0.0066628-0.0057445i,0.0034897-0.0059886i,-0.00034407-0.0062545i,-0.0022926-0.002656i,-0.0043006+0.0025751i,-0.0038207+0.0054548i,-0.0010935+0.0043657i,0.00043775+0.0017682i,0.0012191-2.9981e-05i,0.00070758-0.00026382i,0.00032335+0.00024312i,0.00016515+0.00070193i,-0.00052305+0.0014547i,1.5983e-05+0.0029675i,0.0001813+0.003683i,-0.00041354+0.0021499i,-0.00073716+0.00022719i,-4.5879e-05-0.00097788i,0.00045257-0.0010575i,0.00035508-0.00076759i,0.00052129-0.00066427i,0.00032226-0.00025967i,-0.00059008+5.1151e-05i
-0.0065586+0.0069359i,-0.0040097+0.0090707i,0.0019905+0.010748i,0.0050201+0.0066304i,0.0063579+0.0024906i,0.0042104-0.00064379i,0.00010731-0.00052652i,-0.0012821+0.00017516i,-0.00068912+0.0015319i,0.0015728+0.001274i,0.0023649-0.001558i,0.0010723-0.0027219i,0.00022528-0.0029451i,-0.00031634-0.0044903i,-0.00093471-0.004374i,-0.00053969-0.0023446i,0.00061305-0.0011817i,3.4478e-05-0.00073707i,-0.0022551-0.00059353i,-0.0028503-0.00011973i,-0.0012733+0.00054685i,-1.7559e-05+0.00090812i,0.0003784-0.00028827i
-0.00049066+0.0026829i,0.0013234+0.0027313i,0.0026547+0.003631i,0.0025247+0.0035862i,0.0022335+0.0026563i,0.0024424+0.0016739i,0.0027271+0.0010573i,0.0011131+0.0008116i,7.2872e-05+0.00033108i,0.0009856-5.5236e-05i,0.00073443-0.00028135i,0.00025589-0.00064668i,0.00030129-0.00099769i,0.0005358-0.0013098i,0.001585-0.0011032i,0.0012721-0.00035149i,0.00050766-0.00029022i,0.00051343-0.000867i,3.7089e-05-0.0010852i,0.0003915-0.00088257i,0.00099615-2.1597e-05i,0.00060517+0.001347i,0.00039159+0.0013663i
0.00011897+0.002858i,-0.00028787+0.0034374i,0.00054853+0.003985i,0.0022032+0.0033487i,0.0028432+0.0025039i,0.0016886+0.0021942i,0.00066245+0.0021161i,0.00010266+0.00087691i,-0.00024451+0.00014665i,-0.00069353-7.8636e-05i,-0.0010448+1.3345e-05i,-0.00097718+0.00021772i,-0.00031243-4.9855e-05i,-0.00042906-0.00050588i,-0.0007119-0.0009531i,-0.0007347-0.00070367i,-0.00029012-9.5191e-05i,2.0252e-05+0.00011165i,-0.0010018-0.0001633i,-0.00079946-0.00056139i,0.00012823-0.00052789i,0.0003248+8.3846e-06i,-0.00010778-0.00017828i
-0.00058086-0.00078182i,-0.00078705-0.002987i,0.00045571-0.0030948i,0.00026218-0.0013687i,-0.00057708-0.00096176i,-0.0011859-0.00063569i,-0.00087908+0.0009762i,0.00029455+0.0010149i,0.00094793+0.00072458i,0.00053848+0.0008542i,5.0837e-05+2.0993e-05i,-0.00032584-7.0843e-05i,-0.00018879+0.00038337i,-0.00041194+0.00024743i,-0.0010104+0.00019422i,-0.00090891+0.00044165i,-0.00051068+0.0011257i,-0.0001512+0.00144i,-0.00084006+0.00033725i,-0.0010002-0.00060018i,0.00058196-0.00071414i,0.0011794-0.00068422i,0.00065025-0.00040731i
0.001648-0.0014679i,0.00273-0.00030259i,0.0028218+0.0011487i,0.0018492+0.001607i,0.00062336+0.0028081i,0.00020963+0.0025507i,0.00080266+0.0013226i,0.00063335+0.00063828i,-0.00056681-0.00017089i,-0.00080824-0.00019745i,-3.5745e-05-0.00015092i,2.3969e-05-0.00053569i,-0.00039195-0.00037193i,-8.9157e-05+0.00043269i,-0.00035831+0.0004091i,-9.6281e-05-2.3125e-05i,0.00056995+2.5649e-05i,0.00097115-0.0001288i,0.0010237+5.1809e-05i,-0.00013025+4.3932e-05i,-0.00034218+0.00026745i,0.00011692+0.00046165i,-0.0006454+0.00028416i
-0.0018489-0.0019024i,-0.0021602-0.0022239i,-0.0015617-0.0007696i,-0.00025941+0.0003542i,0.0011096+0.0010667i,0.00060149+0.0016377i,-0.00032728+0.0013465i,-4.1928e-05+0.00061362i,-0.00039948-5.3831e-05i,-0.0003974+0.00042801i,0.00040227+0.00062969i,0.00026478-0.00048976i,-5.6928e-05-0.00089396i,9.5702e-05-0.00095725i,0.0008313-0.0013179i,0.0010349-0.00064718i,7.7676e-05+7.865e-05i,0.00017441+0.00046551i,0.00049851+0.00038745i,0.0010014-0.00025589i,0.00093053-0.000253i,0.00026167-0.00035378i,6.8288e-05-0.000887i
0.0020006-0.0023394i,0.0019143-0.0021902i,0.00187-0.00092414i,0.0019204-0.00052354i,0.00083433+0.00048318i,0.00014918+0.0020164i,0.00094861+0.00153i,0.0012321+0.00048365i,0.00062889+0.00032311i,0.00069296-0.0002156i,0.0005548-0.0007444i,5.9728e-05-8.4454e-05i,-0.00012897+0.000204i,-0.00060503-0.00028059i,-0.00099925-0.00012564i,7.1749e-05-3.2204e-05i,0.00061043-0.00054934i,-0.00036476-0.00072753i,-0.00071117-0.00028571i,-0.00032025+0.00043046i,3.8036e-05+0.00051031i,0.00036375+0.00033418i,0.00054692-0.00010783i
0.0024412+0.00036398i,0.0035076+0.0013207i,0.0027887+0.0014836i,0.0015794+0.0020724i,0.0017694+0.0018895i,0.0022944+0.0011341i,0.0013293+0.00066427i,-0.0001685+0.00018064i,-0.0005679+0.00021335i,-0.00025539+0.0002134i,-0.00027081-0.00010804i,-0.00079626+0.00030085i,-0.00045957+0.00060332i,-0.00045943+0.00017346i,-2.5391e-05+9.9493e-05i,0.0007891-1.5179e-05i,0.00039002+0.000194i,-0.00011404+0.0012449i,0.00025307+0.0013107i,-8.3477e-06+0.00045248i,-0.00040051+0.0003466i,-3.1287e-05+0.00098744i,0.0003097+0.0014832i
0.0018588-0.00027421i,0.001439-0.00016137i,0.00048863+4.3049e-05i,0.00076585+0.00088553i,0.00098106+0.0014393i,0.00042063+0.0022311i,-5.7223e-05+0.0022198i,-4.4294e-05+0.0015509i,0.00045891+0.0013278i,-0.0002933+0.00089554i,-0.00083392+0.00078993i,-0.00036001+0.00067637i,7.7018e-05-0.00036864i,6.2598e-06-0.0010166i,-0.00085857-0.0013486i,-0.0010805-0.0010303i,-0.0012095-0.00041822i,-0.00082686-7.2023e-05i,-0.00016915+0.00035376i,-0.00032817+0.00040539i,-0.00029178+0.00058213i,4.7661e-05+0.00077856i,0.00016814+0.00059069i
0.002437+0.0029266i,0.0022417+0.0032855i,0.0010271+0.0031463i,0.0010882+0.0024914i,0.001941+0.0014212i,0.0014594+0.0012478i,0.00074259+0.0012055i,0.00087536+0.00087616i,0.00078127+0.00082868i,0.00030315+0.00085503i,9.5927e-06+0.00046878i,0.00012891-0.00046893i,0.00038714-0.0009124i,0.00036439-0.00034778i,0.00019515-0.00013324i,-0.00023459+0.00024447i,-0.00091546+0.00085426i,-0.0013445+0.00087728i,-0.0013845-1.835e-08i,-0.00094492+8.617e-06i,-0.00042648+0.00010752i,-0.00067257-0.00048998i,-0.00063915-0.00023704i
-0.00069761+0.00094951i,-0.0012459-0.0002313i,-0.00069535-0.00035844i,0.00011985+1.2985e-05i,0.00078071+0.00044659i,0.00016058+0.0012808i,-0.00084199+0.0015127i,-0.00039059+0.0012387i,5.5513e-05+0.0010248i,0.00017899+0.00013493i,0.00051748-0.00013737i,0.00011658+0.00037105i,-0.00027805+0.001136i,-0.00043811+0.0014105i,-0.0005862+0.0007405i,-0.00025589+0.00051405i,0.00059547+0.0007897i,0.0010221+0.00064421i,0.00042813+0.00076792i,0.00018227+0.0008602i,-0.00011797+0.00079487i,0.00016495+0.0001894i,0.00046848-0.0002287i
-0.00054463+0.0011917i,-0.0004721+0.0017195i,0.00024065+0.0028229i,0.0019447+0.0024668i,0.002871+0.0015953i,0.0022297+0.00076136i,0.0017661+0.00013653i,0.00069508+5.4861e-05i,-9.3252e-05+0.00021205i,0.00057842-0.00030927i,0.00079108-0.0014197i,0.00054926-0.0011196i,0.00038011-0.00023758i,-0.00013154-0.00079253i,-0.00018204-0.0016669i,0.00010613-0.00096845i,0.00019391+0.00034858i,-0.00035181+0.000674i,-0.00054325+0.00032334i,-2.1219e-05+0.0001872i,0.00063184+0.00017755i,0.0009726+0.00028229i,0.00074641-0.00010093i
-0.00031768-0.0010331i,0.00017477-0.002609i,0.0006901-0.0018209i,0.00046047+0.00026234i,0.00049123+0.0016424i,0.0020927+0.0014082i,0.0022047+0.00080509i,0.00055208+0.000495i,0.00016087+0.00075555i,0.0011888+0.00063128i,0.0013538-0.00028497i,0.00023932-0.0010425i,-0.00016913-0.00057851i,-0.00044555+0.00029287i,-0.00092839+0.00044341i,-0.0005984-0.0002163i,-0.00036456-4.792e-05i,-0.00044026+0.00094392i,-0.00025284+0.00066015i,0.00013241-4.5413e-05i,-0.0004095+0.00030023i,-0.00045683-4.9674e-05i,0.00086422-0.00033766i
0.0014295-0.0016768i,0.0020258-0.0017972i,0.00083504-0.00080071i,-0.0009709-0.00040762i,-0.0011178+0.00027271i,-0.001395+0.0021042i,-0.00099589+0.0022647i,-4.3236e-05+0.00094388i,-0.00018928+0.00011785i,-0.0005081-0.00089608i,-0.00024567-0.0015009i,-0.00032012-0.00094791i,-6.0224e-05-0.00034911i,-5.6468e-06+6.4614e-05i,6.1593e-05-0.00039242i,-0.00052994+0.00015637i,-0.001289+0.00088095i,-0.0016472+0.00071966i,-0.00094698+0.00015626i,9.2403e-05+6.0718e-05i,0.00036961+0.00075548i,0.00012781+0.0015339i,-0.00051517+0.00075522i
0.0031042+0.0011009i,0.0024677-0.00063148i,0.0020191-0.0020253i,0.0021065-0.0022233i,0.0011049-0.00069228i,0.0003079+0.0010212i,0.00045476+0.0016583i,-0.00022847+0.0022489i,-0.00020663+0.0020401i,0.00035747+0.00057212i,0.00070543-0.00022843i,0.00025733+3.8403e-05i,-0.00082566+2.7361e-05i,-0.00052815-0.00092664i,5.6256e-05-0.0010145i,7.8882e-05+0.00052654i,-5.208e-05+0.00066044i,-0.00024296-0.00025715i,-0.00063814-0.00041077i,-0.00019937-0.00037288i,0.00061901+0.00016181i,0.00054683+0.00062874i,0.00026827+0.00046259i
8.458e-05+0.00049269i,0.00067653+0.00040751i,0.0011054+0.0011559i,0.0015791+0.0011947i,0.0015999+0.001035i,0.00095012+0.00098821i,-0.00015661+0.00095887i,-0.00063709+0.0010149i,0.00028904+0.00087633i,0.0011907-0.00022208i,0.00078969-0.00030973i,0.00013976+8.2147e-05i,-5.1914e-05+3.8191e-05i,-0.0002771-0.0005556i,-0.00038613-0.00090142i,-0.00042696-0.00071368i,-0.00056724-0.00013325i,0.00026248+0.0010581i,0.00030601+0.00088882i,0.00022704-0.00027005i,0.00091317-0.00050156i,0.00038655-0.00050812i,2.0725e-05-0.0004386i
-0.00024018+0.0024644i,-0.00012405+0.0040724i,8.804e-05+0.004907i,0.0005316+0.0049006i,0.00099138+0.0043135i,0.0016352+0.0036351i,0.0013245+0.0018351i,0.00061757+0.00026023i,1.7953e-06+0.00029057i,-5.4734e-05+0.00053405i,0.00056687+0.0010216i,0.00061389+0.00081409i,-2.9666e-05-0.00022575i,4.6266e-06-0.001186i,0.00017545-0.0012734i,0.00034745-0.0013678i,0.00043091-0.0018161i,0.00042205-0.0011855i,0.00014122-0.00013321i,-0.00035232+0.00014541i,0.0002682-7.2754e-05i,0.00080693-6.1008e-05i,0.00040256+0.00058878i
-0.0027705-3.476e-05i,-0.0023419-5.135e-05i,-0.0017272+0.0013793i,-0.00063747+0.002004i,0.0015694+0.0024775i,0.0019411+0.0023537i,0.00073217+0.001216i,-0.00012674-0.00041391i,-0.00060886-0.00060733i,-0.00024058-4.9286e-05i,0.0004579-0.00012786i,0.00090397-8.7539e-05i,0.00056167+9.4073e-05i,0.00012577-0.00087408i,0.00032911-0.0013508i,0.00045949-0.0004963i,0.00046005+0.00024425i,0.00031494+0.00019729i,0.00022506-0.00026477i,0.000871+8.6039e-05i,0.0012929+0.00015178i,0.00071472-0.0003003i,-7.9353e-07+3.59e-05i
0.0052064+8.5609e-05i,0.0032577-0.0014847i,0.0011116-0.0022632i,0.00023044-0.00072206i,-5.6462e-05+7.2925e-06i,-0.00012048+0.00087765i,-0.00013649+0.0015762i,0.00011863+0.00099664i,-6.6251e-05+0.00060081i,-0.00022548+0.00018696i,-0.00060037-0.0012084i,-0.00067545-0.001375i,-0.00098294-0.0007849i,-0.0015287-0.00044239i,-0.001508-7.2365e-05i,-0.00090189+2.9555e-05i,-3.7231e-05-0.00057454i,0.00057613-0.00071894i,0.0006105-0.00013396i,0.00023149-0.00012483i,-0.00022189+4.6622e-05i,-0.00041798+0.00013625i,-0.00050382-0.00028537i
-0.00091633+0.0013306i,0.00045388+1.2765e-05i,0.0019028+0.00017251i,0.0012003+0.0014388i,0.00044937+0.001895i,0.00075996+0.0024763i,7.6021e-05+0.0020966i,-0.00094823+0.00076247i,-0.001487-0.00016057i,-0.001067-0.00035377i,-0.00044441+4.7573e-05i,-0.00037035+0.00028359i,-0.00022307+3.3542e-05i,5.7435e-05-0.00062103i,0.00010169-0.00095497i,-0.0001882-0.00098996i,-0.00015369-0.00060145i,-0.0003008+0.00012464i,-0.00049381+0.00058062i,3.2273e-06+0.0002583i,0.00089825-0.00015262i,0.00093737-0.00050878i,0.001111-8.2854e-05i
0.0029017-0.0006885i,0.0031105+0.0001917i,0.0016998+0.0014445i,0.0019917+0.00047003i,0.0017932-0.00056726i,0.00065062-0.00054777i,0.00096101+0.00038716i,0.00081912+0.0014096i,0.00079866+0.00077357i,0.00090859-0.00067567i,0.00088545-0.0008891i,0.00096142-0.00047658i,0.0006316-0.00048599i,6.1235e-05-0.00021291i,-0.00013648+0.00013968i,-0.00024806-2.4285e-05i,-0.00014667-0.0006946i,0.00049277-0.00064681i,0.00011418-0.00022636i,-0.00067935-3.5012e-06i,-0.00033797+0.00022887i,3.4685e-05+0.00054031i,-0.00057378+0.00064703i
-0.00034978+0.0002877i,-0.00077279+3.8649e-05i,-0.00033543+0.0010014i,0.00085051+0.00070275i,0.0016797+0.00071962i,0.0014825+0.0014634i,0.0011884+0.0011919i,0.00048079-2.0979e-05i,-0.00028455-0.00028159i,0.00069146+0.00055846i,0.0010753+0.00052557i,-0.00018333-0.00031511i,-0.00082877-0.00070075i,-0.00082499-0.00097176i,-0.0013791-0.0011932i,-0.0014371-0.00048282i,-0.00069984+2.3693e-05i,0.00039218-0.00026205i,0.00061539+8.0805e-05i,-7.6406e-06+0.00063415i,-0.00051695+0.00077133i,-0.00096243+0.00071637i,-0.00028276+0.00065873i
0.0025791-0.00055817i,0.0025242-0.0008954i,0.0018471-0.00012507i,0.0011241+0.00059047i,0.0013994+0.00047748i,0.0014826+0.0011443i,0.0006773+0.0017439i,-2.9181e-05+0.001501i,3.7406e-05+0.0014531i,0.00047996+0.00061987i,0.00016161-0.0011335i,-0.00056588-0.0012869i,-0.00060762-0.00077476i,-6.2363e-05-0.00075914i,0.00049494-0.00074915i,0.00063916-0.00057878i,0.00066158+0.00019134i,0.00046559+0.00047244i,0.00043813-2.1395e-05i,0.00061676-5.7652e-06i,0.00019938+0.00027483i,-0.00018381+0.00029634i,-0.00041709+0.0004772i
0.0022723+0.0038758i,0.0015046+0.003454i,0.00086363+0.0023761i,0.00055191+0.00088432i,0.00043068+0.00084494i,0.00018368+0.0020626i,0.00043944+0.0023841i,0.0008392+0.0013615i,-0.00014729+0.00095821i,-0.00079944+0.00045038i,-0.00020606-7.45e-05i,9.6286e-05-0.00059135i,-0.00022415-0.00083568i,-0.00033423-0.00016573i,-0.0002563+0.00040296i,2.6703e-05+0.00028403i,-0.00029951+9.7415e-05i,-0.00054585+0.00037433i,0.00017191+0.00056081i,0.00077596+0.00030115i,0.00065686-0.00021589i,0.0002075+0.00013386i,-0.00013941+0.00064135i
-0.00020933-0.002157i,-0.00017638-0.0028227i,1.2218e-05-0.0014804i,0.0014995+6.3762e-05i,0.0022031+0.00073956i,0.0014753+0.00051084i,0.0010661+4.3652e-05i,0.00054748-0.00032948i,7.5381e-05-0.00029597i,0.00020722+0.00030695i,0.00067346+0.00048748i,0.0012754+0.00017586i,0.0014451-0.00016943i,0.0011031-0.00019641i,0.00067871-0.00027346i,0.00014685-0.00023813i,-0.00037753-0.00068103i,0.00015447-0.0010055i,0.00064467-0.00027466i,-0.00015843-0.00048087i,0.00017982-0.00040592i,0.0010629+3.1365e-05i,0.00038091+0.00058529i
0.0031311+0.0024528i,0.0025214+0.0026636i,0.0020747+0.0022447i,0.0017345+0.0014046i,0.0013255+0.00057389i,0.0007705+0.00072341i,0.00022713+0.00074909i,-0.00018505+0.00022883i,-0.00051812-0.00023471i,0.0003906-0.00081215i,0.0013459-0.00075528i,0.00050286-0.0002481i,0.00029274-7.2674e-05i,0.00050297-0.00066594i,-0.00021722-0.0011756i,-0.0011214-0.00041981i,-0.001311+0.00029177i,-0.0003211+0.00012924i,0.00016925-5.2193e-05i,-0.00034164-0.00030758i,-0.00026689-0.00011429i,-0.00025277+0.00025829i,-0.00074353-3.6095e-05i
-0.0010269-0.001124i,-0.00025279-0.00034079i,-0.00010105-0.00016716i,0.00096683+0.0007153i,0.0015426+0.0015484i,0.00082339+0.0019821i,0.0014428+0.00095877i,0.00093946+7.4208e-05i,-0.00012843-0.00023146i,-0.00046996+5.7902e-05i,-0.00090503+0.0004426i,-0.00029478+0.0005036i,-5.9942e-05+0.00076275i,-6.0775e-05+0.00016169i,0.0004031-0.00027759i,0.00083779-0.00033933i,0.00073284-0.00040648i,-0.00050975-0.00039957i,-0.00091475-0.0011814i,-0.00028443-0.00070056i,-0.0005872+8.8041e-05i,-0.00053172+1.5781e-05i,7.7613e-05+0.00034288i
0.0006382-0.0030095i,0.00042826-0.0020184i,0.0010014-0.00030731i,0.00058635+0.00051268i,0.00034456+0.0011251i,0.00059894+0.0013151i,0.00016491+0.00084356i,0.00020242+0.00081172i,0.00026383+0.00059728i,0.00052927+8.002e-05i,0.00050959-0.00061622i,3.653e-05-0.00053287i,0.00021679-0.00017734i,0.00018585+7.9528e-05i,-0.00072638+0.00017969i,-0.00090496+0.00027784i,-0.00036343-0.00010536i,-0.00018543-0.0010429i,-0.00053866-0.00067633i,-0.00066136-0.00018485i,-0.00079711-0.00027047i,-0.00083602-0.00041611i,0.00026016-0.00039669i
0.00091895+0.00089109i,0.001614+0.00044334i,0.0023288+1.6053e-05i,0.0022034+0.00087962i,0.0016923+0.0021366i,0.0017179+0.0035239i,0.0015952+0.00306i,0.0010206+0.0016191i,0.00049338+0.0013837i,0.00065728+0.00093137i,0.0015539+0.00078545i,0.001109+0.00085093i,0.00066826-1.442e-05i,0.00061281-0.00077901i,-9.1249e-05-0.00084981i,-0.00056638-0.00089504i,-0.00057695-0.0010066i,9.1271e-05-0.00062786i,0.00012477-0.00035021i,-0.00047036-0.00017546i,-0.00079327+0.00023901i,-0.00046168+0.0006794i,-0.00017433+0.0012122i
0.00070862+0.00058304i,-0.00018878-0.00043007i,5.4753e-06+0.00076045i,0.00024434+0.0016515i,0.0006007+0.0015782i,0.0010053+0.0022251i,0.00034937+0.002179i,-0.00033323+0.0009527i,-9.3701e-05+0.00039172i,0.00086268-0.00065758i,0.0017124-0.0015602i,0.00079332-0.00075128i,-0.00065266-0.00042385i,-0.00058921-0.00016338i,-0.00042035+0.00012851i,9.6964e-06+2.9017e-05i,0.00018053-0.00041115i,-0.00021981-0.0010218i,-0.00024249-0.00083622i,0.00029399-0.00033954i,0.00049228+0.00054097i,0.00020001+0.0004832i,0.00060621-0.00012418i
0.00062902-0.0022025i,0.00059347-0.0021852i,0.00037543-0.0013957i,-0.00018578-0.00031058i,0.00014686+0.00019891i,0.00070914+0.0008147i,0.00087193+0.0010685i,0.0014934+0.0003959i,0.0014792-0.00013949i,0.0007903-0.0001552i,0.00029179-0.00030388i,-0.00020464-1.1886e-05i,-0.00036826+6.8923e-05i,-0.00033967-0.00010194i,-9.9918e-05-0.00032264i,1.1554e-05-0.00029042i,-0.0006078-0.00021762i,0.00018558-0.00021296i,0.0012054+0.00022035i,0.00081284+0.00016889i,0.00049196-3.9228e-05i,0.00010957+0.0001001i,-0.00056466+0.00037056i
0.0021125-0.00029844i,0.0018244-0.00067209i,0.0005417-0.0010824i,-3.1257e-05+0.0001i,0.00055809+0.0014261i,0.0014315+0.0022606i,0.0010595+0.0022446i,0.00062834+0.0017173i,-0.00017783+0.0015165i,-3.1815e-05+0.00041462i,0.00057719-0.0001326i,0.0003943+5.5004e-05i,-2.1776e-05-0.00037388i,-0.00048713-0.0010694i,-0.00022917-0.001131i,0.00015255-0.0005898i,-1.9133e-05-0.00053857i,-0.00017908-0.00039745i,-0.00029365-0.00025325i,8.1202e-05-0.00031422i,0.00014461+0.0002729i,-0.00050509+0.00061888i,-0.0008164+0.0007546i
-0.00012233+0.0011645i,0.0015691+0.00040948i,0.0033291-0.00052328i,0.0028878-0.0010083i,0.0013482+0.00011441i,0.00076639+0.0012042i,0.00060486+0.0009347i,0.00033591+0.0012893i,0.00046321+0.0011522i,0.00072658+0.00057705i,0.0010234+0.00028505i,0.00058995+0.00044874i,0.00012577-0.00055136i,0.00011248-0.00078608i,0.00025829+0.00046717i,0.00031208+0.00056034i,-0.00014501+0.00028807i,-0.00050272-5.2426e-05i,-0.00023303+0.00052442i,-0.00034246+0.00067089i,-0.00022958-1.7714e-05i,0.00011932+0.00057469i,0.00071419+0.00098263i
0.0016503-0.0028398i,0.0013928-0.0028874i,-9.6655e-05-0.00099915i,8.9594e-05+0.00066374i,0.001625+0.0011251i,0.0019882+0.0013314i,0.001215+0.00081165i,0.00047452-0.00040308i,-0.00017584-0.0012599i,-0.00017827-0.00058323i,0.00039758-0.00028525i,-0.00011808-0.00049798i,-0.00096545-0.00061408i,-3.3753e-05-0.00084671i,0.0010581-0.00047065i,0.00053819+0.0001223i,-0.00018357+0.00087632i,-0.00082651+0.00057703i,-0.00020335-6.7476e-05i,0.00095029-3.137e-05i,0.00056766+0.00059992i,7.7218e-05+0.00073354i,-0.00011927+0.00081943i
0.0010893+0.00071879i,0.00095601+0.001868i,-0.00019019+0.0013994i,-0.0010218+0.0011289i,-0.00076901+0.00088688i,0.00012719+0.0013312i,0.00032514+0.0019722i,-0.00011436+0.0013754i,-6.9911e-05+0.00038877i,-0.00041613+0.00012347i,-0.0010461+3.6846e-05i,-0.00080667+0.0005321i,-0.00083634+0.00086149i,-0.00024408+0.0011368i,-0.00017358+0.0012244i,-0.00044854+0.00042846i,0.00022617-0.00030994i,6.5774e-05+7.2821e-05i,-0.00039766+0.00015282i,-0.00010204-0.0001364i,-0.00021521-0.00041476i,-0.00030851-0.00087294i,0.00029505-0.0013641i
-0.0023457-0.002958i,-0.001878-0.0036069i,-0.00077111-0.0021028i,-0.00033334-0.00055239i,0.00073341-0.00024231i,0.0016896+6.3384e-05i,0.00079206+0.00054212i,-0.00030144-1.6566e-05i,-0.00051736+0.00037151i,-0.00027484+0.00052903i,4.2027e-05-0.00071379i,0.00026137-0.00082452i,0.00046605-0.00057496i,0.00063506-0.00090801i,0.00090626-0.00068335i,0.00078312+0.00017666i,0.0002254+0.0012765i,-0.00036921+0.0014852i,-0.00066902+0.00046942i,-0.00050987-0.00044273i,-0.00040757-0.00038358i,-0.00028386+0.00042885i,-0.00034199+0.00072609i
0.0029818+4.0832e-05i,0.0041463+0.00085143i,0.0027728+0.00025743i,0.0017509-0.00023049i,0.0014427+0.0007584i,0.0018622+0.0014297i,0.0019876+0.0011725i,0.00064722+0.00057803i,-0.00015798+0.00048192i,-0.00010771+0.00060583i,-1.2575e-05-0.0001162i,0.00035728-0.00083439i,-1.1747e-05-0.001124i,0.00012779-0.00097383i,2.2306e-05-0.00056339i,-0.00040717-0.00065227i,-0.00021961-0.00014158i,0.00037475+0.0005906i,0.00076708-0.0005364i,0.00069609-0.0004291i,-0.00023712+0.00036144i,-0.0011043+6.4231e-05i,-0.00046988-4.8379e-05i
0.0010076-0.0011604i,0.00043557-8.5892e-05i,-7.5255e-05+0.00085757i,-0.00023407+0.0013395i,0.00011734+0.0020863i,0.00033275+0.0026031i,0.00093249+0.0025252i,0.0008777+0.0014858i,-0.00019007+0.00067182i,-0.00057349+0.00044446i,0.00014465+8.9254e-05i,0.00069141-9.8828e-05i,0.0004314+0.00029743i,-5.7834e-05+0.00056861i,-0.00047334+0.00021994i,-0.00017859+8.872e-05i,0.00036499+6.4952e-05i,0.00021401+7.4966e-05i,0.00044181-0.00019385i,-0.0002394+9.1603e-05i,-0.0011243+8.3219e-07i,-0.00026381-7.1809e-05i,0.00047586+0.00011434i
0.0017675-0.0021055i,0.0011576-0.0026218i,0.0015399-0.0015086i,0.0014821-0.00097463i,0.00061472-0.0010502i,-0.0001517-0.00025972i,3.1815e-05+0.0011116i,0.00091099+0.00046935i,0.00041264-0.0005618i,-3.5407e-05-0.00076198i,0.00013362-0.0008474i,-0.00018785+2.1149e-05i,-0.00022817+0.0008585i,-0.00010477+0.0012106i,-0.00019359+0.00086639i,-1.5588e-05+0.0001516i,0.00053705+0.00012793i,0.0003769-0.00032319i,4.3554e-05-0.00064782i,0.00033166-0.00097132i,0.00083854-0.0012023i,0.00061287-0.00044422i,0.00039518-8.4606e-05i
0.0040231-0.00045793i,0.0039524-0.0017399i,0.0017255-0.0013269i,0.00069782-0.00046017i,0.00051633+0.00072117i,8.8074e-05+0.0024183i,0.00040236+0.0025098i,0.00062749+0.00088462i,0.00022192+0.00038028i,0.00028537+0.0002857i,0.00069104+8.3946e-05i,0.00073749+0.00096533i,0.00011477+0.0018078i,-0.00056574+0.0013214i,-0.00010548-0.0001692i,-0.00019742-0.000652i,-0.00015637-0.00067671i,-0.00024893-0.0009157i,-0.00025791-0.00017558i,2.0155e-05+0.0002217i,0.00043863-0.00038248i,0.00077597-0.0004959i,0.00014245+7.1361e-05i
