-0.00096507+0.0013831i,6.7618e-05+0.0010153i,-0.00099349+0.0020879i,-0.0015784+0.0019208i,-0.0013757+0.00133i,-0.0014426+0.00061225i,-0.0011187-0.00021441i,-0.00044604+0.00023854i,-1.9228e-05+0.00029674i,0.00086239+0.00038825i,0.0010392-0.00020197i,8.0675e-05-0.0010863i,8.5887e-06-0.0016729i,0.00028133-0.0016318i,-1.5027e-05-0.0011254i,0.00041693-0.00068411i,0.00051794-0.00066134i,-0.0004667-0.00086639i,-0.00058172-0.0010403i,-0.00010244-8.4918e-05i,0.00016579+0.00055018i,0.00069298-9.7085e-05i,-8.033e-05-0.00038013i
0.093216+0.11455i,0.15718+0.27891i,0.16604+0.38084i,0.095294+0.29678i,0.050572+0.16236i,0.11596+0.097332i,0.18189+0.040718i,0.13574+0.0056127i,0.075983+0.012351i,0.063704-0.0077038i,0.043429-0.038946i,0.01243-0.035046i,-0.0071268-0.010732i,-0.01019+0.011834i,0.0031812+0.01628i,0.016005+0.0013884i,0.01631-0.013876i,0.01372-0.022339i,0.016726-0.027434i,0.019058-0.024297i,0.014698-0.005928i,0.013882+0.012132i,0.018933+0.012104i
0.0078165-0.043485i,0.017999-0.11432i,0.032499-0.19093i,0.048792-0.21627i,0.032665-0.1913i,-0.033571-0.14975i,-0.077806-0.090591i,-0.042546-0.047879i,-0.0086513-0.040657i,-0.0123-0.018936i,-0.0048944+0.010608i,0.0012768+0.018744i,-0.015045+0.017686i,-0.040988+0.023682i,-0.064726+0.045615i,-0.069149+0.067741i,-0.056945+0.061319i,-0.047614+0.031207i,-0.042736+0.010751i,-0.030639+0.010945i,-0.011837+0.010322i,-0.0035272+0.0038021i,-0.0079308+0.0036734i
-0.12338+0.011222i,-0.21096+0.013264i,-0.21732+0.016012i,-0.12831+0.049697i,-0.052161+0.098514i,-0.028766+0.10522i,-0.03375+0.062493i,-0.057775+0.030238i,-0.055781+0.027559i,-0.029879+0.0095062i,-0.027811-0.021458i,-0.036333-0.034437i,-0.020586-0.031046i,0.012542-0.033299i,0.035252-0.046144i,0.039743-0.047017i,0.038868-0.02583i,0.040159+0.0030326i,0.041116+0.020067i,0.033392+0.015261i,0.017862+0.0032617i,0.0091338-0.00012896i,0.0096503-0.00052208i
0.041773+0.063991i,0.12961+0.1619i,0.18063+0.23843i,0.11925+0.17789i,0.057232+0.018516i,0.078469-0.089378i,0.10085-0.10791i,0.077057-0.074636i,0.052355-0.038109i,0.037422-0.030743i,0.020251-0.0215i,0.018993+0.0016882i,0.021482+0.010118i,0.0073797+0.0067394i,-0.0054636-0.0018549i,-0.010491-0.025474i,-0.015061-0.051073i,-0.018186-0.060792i,-0.021899-0.053078i,-0.018961-0.034311i,-0.0085108-0.018303i,-0.0015731-0.013287i,-0.0019819-0.010843i
-0.065913-0.084345i,-0.1465-0.22016i,-0.17712-0.337i,-0.11584-0.30265i,-0.085672-0.14141i,-0.13828+0.013747i,-0.15244+0.088631i,-0.097821+0.070041i,-0.069032+0.040525i,-0.052507+0.066139i,-0.013616+0.077548i,0.00096622+0.046845i,-0.0076738+0.023663i,-0.010076+0.020162i,-0.012172+0.028448i,-0.016938+0.042406i,-0.018415+0.04537i,-0.017419+0.036685i,-0.015749+0.032056i,-0.010924+0.031902i,-0.0035444+0.024407i,-0.0016631+0.010054i,-0.0043494+0.0013831i
0.065621+0.058801i,0.082526+0.13982i,0.014812+0.22213i,-0.084339+0.26002i,-0.077339+0.23403i,0.01929+0.14783i,0.078017+0.057351i,0.07185+0.021557i,0.056282+0.0082884i,0.031465-0.022773i,-0.0047881-0.042116i,-0.018742-0.030843i,-0.0022123-0.015178i,0.02744-0.018964i,0.052589-0.031808i,0.066357-0.029877i,0.070277-0.0085916i,0.065525+0.011781i,0.052235+0.0088724i,0.027441-0.0057704i,0.0036846-0.0055762i,0.0034396+0.0052015i,0.013305+0.0056201i
0.097051-0.023093i,0.22836-0.056695i,0.35924-0.1099i,0.36156-0.20071i,0.23155-0.28506i,0.10274-0.2724i,0.044848-0.18161i,0.019877-0.10952i,-0.006529-0.077887i,-0.019672-0.0422i,-0.00022982-0.0013066i,0.025738+0.010451i,0.017004+0.0022929i,-0.016101+0.0088227i,-0.035839+0.019251i,-0.038495+0.0048234i,-0.037731-0.019926i,-0.035807-0.030386i,-0.030744-0.025546i,-0.02335-0.017016i,-0.019655-0.011869i,-0.021553-0.0043801i,-0.024295+0.0039264i
-0.11663+0.018949i,-0.30201+0.027923i,-0.45188+0.045501i,-0.3838+0.12003i,-0.1799+0.24012i,-0.063991+0.29278i,-0.054779+0.24534i,-0.046336+0.17173i,-0.011237+0.11781i,0.018713+0.068222i,0.012982+0.019659i,-0.019594-0.0045585i,-0.035915-0.0010126i,-0.025893+0.0077236i,-0.018041+0.016091i,-0.018156+0.035285i,-0.013466+0.050365i,-0.002233+0.044702i,0.01129+0.030633i,0.020733+0.017058i,0.020689+0.0045156i,0.012474-0.0030268i,0.0066952-0.0014358i
0.057661-0.017792i,0.17455+0.013462i,0.29172+0.080877i,0.26089+0.085692i,0.12284-0.030486i,0.048414-0.15564i,0.046143-0.18888i,0.043999-0.14313i,0.035735-0.09052i,0.016296-0.069901i,-0.0085859-0.050375i,-0.002159-0.023403i,0.020014-0.02019i,0.02284-0.031597i,0.02137-0.036981i,0.026585-0.034422i,0.02875-0.025395i,0.018801-0.013795i,0.0019536-0.0053972i,-0.0055002-0.0018154i,-0.0014367-0.00034544i,0.008325-0.00073102i,0.016732-0.0044481i
-0.045667-0.04837i,-0.085435-0.15359i,-0.10062-0.30259i,-0.076265-0.37731i,-0.045654-0.29799i,-0.036231-0.14326i,-0.040027-0.037358i,-0.062283-0.0064709i,-0.0764+0.013618i,-0.037044+0.043576i,0.023353+0.04321i,0.04203+0.018641i,0.027132+0.0099265i,0.012706+0.017253i,0.00073882+0.019674i,-0.016173+0.0062088i,-0.032893-0.010751i,-0.034624-0.010987i,-0.020631+0.00037827i,-0.005066+0.0060757i,-0.0011511+0.00286i,-0.0086787-0.0018151i,-0.016446-0.0018553i
-0.0061455+0.094887i,-0.049419+0.23901i,-0.11906+0.41909i,-0.11904+0.5212i,-0.019745+0.48086i,0.044062+0.33983i,0.041472+0.20351i,0.051259+0.11271i,0.05267+0.042799i,0.0077548-0.001602i,-0.045234-0.0081102i,-0.066426+0.01108i,-0.046152+0.028377i,-0.010247+0.023926i,0.012705+0.01818i,0.025605+0.032023i,0.033058+0.041175i,0.032215+0.02314i,0.022174-0.00045311i,0.011518-0.0015572i,0.011945+0.0083583i,0.015979+0.0080199i,0.015202+0.0013532i
0.059128-0.062981i,0.17171-0.20226i,0.28477-0.39107i,0.21321-0.51167i,-0.034737-0.48741i,-0.17429-0.36137i,-0.13402-0.23503i,-0.070502-0.14197i,-0.044641-0.069422i,-0.028792-0.017825i,-0.0063724+0.0087988i,0.016823+0.0061644i,0.014068-0.010069i,-0.0055866-0.011546i,-0.010048-0.0096518i,-0.0040133-0.019254i,-0.0035393-0.023033i,-0.012477-0.010339i,-0.020493+0.0076236i,-0.018713+0.014294i,-0.011771+0.011549i,-0.0030273+0.0095252i,0.0035143+0.0086111i
