-0.0011877+0.0009206i,-0.00088577-2.6003e-05i,-0.001342-0.00043575i,-0.00093732-0.00069069i,-0.0014974-0.0002416i,-0.0022156+0.0019443i,-0.0014387+0.0029327i,0.00020977+0.0026636i,0.0012182+0.0019429i,0.0017062+0.00049577i,0.0010927-0.00045983i,-0.00067019-0.00052109i,-0.0010082-0.00037148i,-0.00073473-0.00054946i,-0.00091476-0.00039672i,-0.000958+1.6396e-05i,-0.00033331-0.00012534i,0.00036452-0.00094465i,-6.1914e-05-0.00074495i,-0.00026475-3.4134e-05i,0.00018229+0.00086673i,-0.00011577+0.00096832i,-0.00063357+0.00033197i
0.0020109+0.0014946i,0.0025757+0.0014299i,0.003453+0.00087492i,0.0018093+0.00041504i,-7.3022e-06+0.0010158i,0.00018855+0.0021244i,0.0010153+0.0017568i,0.0012075+0.00063551i,0.00097178-0.00059631i,0.0010753-0.0012545i,9.0875e-05-0.0009165i,-0.0011802-0.00049354i,-0.00058819-0.00012919i,0.00065887-0.0002579i,0.0013511-2.85e-05i,0.00059838-0.00013108i,-0.00041026-0.00047343i,-0.00013545-0.00065747i,0.00057588-0.00046343i,0.0002139-0.00023276i,-0.00054701-0.00043386i,-0.00047164-0.00071047i,0.00076358-0.00078828i
0.00017746+0.00075422i,-0.00057005+0.0013456i,3.6069e-05+0.00099539i,-0.00018255+0.00050303i,-0.00043146+0.00041361i,0.00039046+0.00028463i,0.001123-0.00024479i,0.00092199-0.00036718i,-0.00040412+0.00089969i,-0.00068807+0.0012169i,0.00037886+0.0002546i,0.00024039-0.00023928i,-1.5251e-05-0.00041977i,0.00089457+0.00019119i,0.001397+8.0667e-05i,0.0011849-0.00029345i,0.00049919+0.00033824i,-0.00048903+0.00041293i,-0.00059041+0.00053962i,-0.00045124+0.0012421i,-0.00027992+0.00077911i,0.00015188+0.00032374i,0.00042995+0.00012332i
0.00020384-0.00096123i,7.7022e-05-0.00063854i,-0.00025983+0.00023897i,-0.00020518-3.0232e-05i,-0.00051421-0.00024739i,-0.00046607+0.00050319i,0.00044254+0.0014047i,0.0010486+0.00092656i,0.0013918-0.00027194i,0.00078418-0.00055554i,0.00039267+8.204e-06i,0.00034545+2.4175e-05i,0.00045252+4.3958e-05i,0.0008192+0.00010219i,5.1582e-05-0.0005335i,-0.0010955-0.00070762i,-0.00068124-0.00031648i,-0.00030211-0.00023003i,-0.00047569+0.0001591i,0.0002379+0.00049i,0.00061984+0.00017378i,0.00087265-0.0006456i,0.0011473-0.00056634i
-0.0012391+0.0010952i,-0.00057702+0.00059959i,0.00035459+0.00059502i,0.00069599+0.0012243i,-5.0887e-05+0.001606i,0.00026429+0.0012512i,0.00099945+0.00080591i,0.0011671+0.00034291i,0.00033015-0.00033222i,-0.00058604-0.00028204i,-0.00052133-0.00015808i,0.00032119-0.00085693i,0.000329-0.00082289i,4.6212e-07-0.00021765i,0.00031194-0.00014574i,0.00031549-0.00016594i,0.00025577-0.00016092i,0.00029633-0.00029476i,-0.00022075-0.00068001i,-0.00055356-0.00031414i,-0.00026146+5.1847e-05i,7.2672e-05+0.00028766i,-0.00025505+0.00075781i
0.0015059-0.0020403i,1.79e-05-0.0016132i,-0.0015781-0.002515i,-0.002598-0.0020216i,-0.0026596-0.0003863i,-0.0018562+0.00077267i,-0.00070871+0.0012658i,0.0003448+0.00092279i,0.00090973+0.00027258i,0.00035049-0.00024793i,-0.0006346-0.00053151i,-0.0014365+5.2796e-05i,-0.001281+0.00093833i,-0.00095164+0.00037293i,-0.0007573-0.00080432i,-0.00071105-0.00039868i,-0.00074498+5.1843e-05i,6.7361e-05-0.00034365i,0.0002602-0.00084672i,-0.00072966-0.00087347i,-0.00093689-0.00061224i,-0.00073464-0.00044613i,-0.00060964+2.4808e-05i
0.0019562+0.0022737i,0.0020139+0.00076622i,0.0027339-0.00018902i,0.0030781+0.00048911i,0.0025161+0.00082935i,0.0013353+0.00043186i,0.0014871+0.0010766i,0.0020105+0.001164i,0.0010027+8.5968e-05i,0.00095273-0.00090716i,0.0010751-0.0010111i,0.00035737-0.001248i,0.00033224-0.0010814i,0.00026563+7.535e-05i,1.4655e-05-8.8506e-05i,0.0004138-0.00062134i,-0.00011875-0.00018959i,-0.00077418-0.00041898i,-0.00011433-0.0010884i,0.00040088-0.0005023i,0.00063406+2.0042e-05i,0.00028828-0.00014133i,-0.00044317+0.00060903i
0.00063923+0.0010439i,0.00073367+0.00070698i,0.0016937-2.4698e-05i,0.0011411+0.0010257i,-7.1462e-05+0.0019794i,-7.4152e-05+0.0020112i,0.00021125+0.0013953i,0.00069875+0.00043482i,0.0017225+0.00021738i,0.0019087-0.00011812i,0.0010775-0.00055489i,0.00070574-0.00024326i,0.00011219-0.00022056i,-0.00047137-0.00031711i,-1.9207e-05-0.00039745i,0.00048813-0.00074286i,-0.00062265-0.00087726i,-0.0014156-0.00075104i,-0.00055181-8.8117e-05i,6.755e-05+0.00026894i,0.00054685-3.4987e-05i,0.0014577-0.00017442i,0.0016212-0.00053626i
0.00082936-0.00068242i,0.0010233-0.0009642i,0.0010218-0.0011655i,0.00041808-0.0005239i,-0.00046122+0.00042073i,-0.00066376+0.0011581i,7.5926e-05+0.0011919i,0.001104+0.00042562i,0.0014448-0.00041829i,0.0013327-0.0010855i,0.0007836-0.0012472i,-0.00047881-0.00027387i,-0.0010894+0.001081i,-0.00032935+0.00048126i,0.00023705-0.00062276i,5.214e-08-0.0010715i,0.00010662-0.00076497i,0.00041531-5.7056e-05i,2.2074e-05+0.00024071i,-0.00082291+0.00010965i,-0.00090689-0.00033231i,-0.00068629-0.00069161i,-0.00066038-5.3591e-06i
0.0014236+0.0004616i,0.0012594-0.00095528i,0.0012977-0.0025892i,0.00015492-0.0018982i,-0.00081967-0.00077565i,-0.0006815+0.00044728i,0.00054419+0.0008852i,0.0019273+0.00072429i,0.0018908+0.00030296i,0.00018413-0.00029252i,-0.00073674-0.00062795i,-0.00069529-0.00012407i,-0.00038259+0.00011783i,0.00035828-0.0001225i,-0.00083336+0.00014381i,-0.0019561+0.00021684i,-0.0013497+0.00044786i,-0.0001127+0.00031421i,0.00072675+0.00031732i,0.00033435+0.00035481i,-0.00016203-0.00027278i,-0.00043526+6.7268e-05i,-0.00019909+0.00056837i
0.0008667+0.00065701i,0.00031473+0.00087946i,-0.00021652-0.00016277i,0.0002181-0.00063301i,4.6838e-05+0.0001428i,-3.0179e-05+0.00091125i,0.0010882+0.0012237i,0.0011109+0.00031486i,0.00021975-0.00044324i,0.00017615-0.00096656i,0.00059689-0.0013492i,0.00078538-0.0010075i,0.00055431-0.00072335i,0.00073272-0.00061251i,0.0011109-0.00059445i,0.00014687-0.00056084i,-0.00033799-0.00099172i,9.6919e-05-0.00084785i,-0.00019633-0.00062619i,-0.00032209+0.00013628i,0.00032829+0.00048222i,0.00032383+0.00024599i,-4.2933e-05+0.00068879i
