-0.0025796-0.00017296i,-0.0036717-0.00104i,-0.0037641-0.00027829i,-0.0024832+0.00096298i,-0.0016316+0.0028854i,-0.0015799+0.0031599i,-0.0015957+0.0021903i,-0.00073693+0.0010205i,0.00057854+0.00027636i,0.00069746+0.00052137i,0.0015803+0.00041105i,0.0018127+7.8457e-05i,0.0010881+9.8867e-05i,0.00070581+0.00068379i,0.00010867+0.00066116i,-0.00028716+0.00031633i,-0.00048799+0.00016483i,-0.00031293-1.4375e-05i,-0.00013352-0.00018292i,-0.00074047+0.00046658i,-0.00075911+0.00093128i,-0.00057819+0.0004538i,-0.00051377-0.00031319i
-0.0025097+0.0010496i,-0.0017339+0.00015766i,-0.0015957-0.00096502i,-0.00065252-0.0011806i,-0.0010533-0.0021405i,-0.0018002-0.0022244i,-0.0023238-0.001047i,-0.0024018-0.00016521i,-0.00097121-0.00012795i,0.00032069-0.0004226i,0.00063803-0.00050319i,0.00032341-0.00034768i,-0.00055804+0.0001413i,-0.00083537+0.00010116i,-7.1323e-06-0.00083782i,0.00050857-0.0016096i,0.0005894-0.001872i,0.001203-0.0015804i,0.0013273-0.00078482i,0.00090625-0.00059839i,0.00050223-0.00012236i,0.00035777+0.00027212i,0.00031495+0.00091103i
-0.00086261-0.0022076i,-0.0010188-0.0032514i,-0.0014924-0.0036389i,-0.0016261-0.0029849i,-0.0016126-0.0018039i,-0.0021356-0.00099356i,-0.0015396-0.0001222i,-0.00045961-0.00012855i,0.00027639-0.00071177i,0.00020665-0.0013017i,-0.00034005-0.0017165i,-0.00052194-0.0016357i,8.0218e-06-0.00069338i,0.00010824-0.00044833i,-0.00027322-0.00061435i,-8.7405e-05-0.00060366i,0.00028124-8.9943e-05i,0.00016121+0.00026486i,-0.00027117-8.9103e-05i,-0.00013598-0.00014053i,6.8535e-05-0.00014094i,-0.00034065-0.00037353i,-0.00061967+0.00015844i
0.0014983-0.00060444i,0.0018108-0.0011085i,0.0013834-0.0016331i,-0.00042035-0.00081053i,-0.0019718-0.00058941i,-0.0030121-0.0010872i,-0.0021284-0.0013293i,-0.00023032-0.00029448i,-7.8963e-05+0.00033808i,-0.00086284-3.6717e-06i,-0.0011242+8.3057e-05i,-0.0010255+0.00014284i,-0.0013374-0.00077256i,-0.0011225-0.00095068i,-0.00018621+0.00031652i,0.0003597+0.0013075i,0.00025992+0.00070164i,0.00020572+0.00045346i,-0.0003223+0.00040264i,-0.00089605-0.00014295i,-0.00080505-0.00078821i,-0.00066581-0.00094791i,-0.00022884+9.2016e-05i
0.00023388+0.00164i,0.00012563-0.00043605i,0.00080967-0.00040237i,0.0012079-4.0802e-05i,-0.00030241-0.00088407i,-0.0023941-0.0018011i,-0.0026372-0.0023438i,-0.0014338-0.0014044i,-0.00030292+0.00023376i,0.00015478+0.00084721i,-5.2643e-05+0.00092666i,-0.00021634+0.00043755i,-2.1992e-05+0.00020698i,0.00035833+0.00014735i,0.00038919+0.00091186i,-0.00020717+0.0015449i,-0.00067359+0.0010354i,-0.00032184+0.00044614i,0.00043367+0.00025238i,0.00063518-0.00012825i,0.00039327-0.00044613i,0.00044183-0.00040452i,-0.00031694-0.00016119i
0.00072446+0.0016468i,0.0018473+0.0027006i,0.0018864+0.0015308i,0.0010196-0.00024111i,-0.0001083-0.0010423i,-0.0011401-0.0010627i,-0.00091899-0.00099159i,-0.00044134-0.00092804i,-0.00038992-0.00013001i,0.00018188+0.0011052i,0.0010191+0.0013984i,0.00079228+0.0013364i,-3.1015e-05+0.0022338i,0.00016558+0.0025667i,-0.00041156+0.0012284i,-0.0010537-0.0001634i,-0.00068805-0.00072281i,-0.00085894-0.00046204i,-0.00085162+6.353e-05i,-0.00051184-0.00010199i,-5.8067e-05-0.0005132i,0.00043163+0.00010278i,0.00042093+0.00021964i
0.0010306-0.00083874i,0.0011413-0.001313i,0.00021075-0.0021848i,-0.0018239-0.0025655i,-0.0032608-0.0025665i,-0.0034081-0.0026703i,-0.002241-0.0010897i,-0.0016948-0.00042376i,-0.0013833-0.00068561i,-0.0006532-0.0009203i,7.6957e-05-0.00078553i,0.00021592+0.00035286i,-0.00032814+0.0014454i,-0.00049617+0.0016045i,-0.00044268+0.00030499i,0.00018759-0.001551i,0.00098454-0.0016759i,0.00031442-0.00017933i,-0.00030302+0.00026709i,-0.0002854-0.0001711i,-0.00062944+0.00021019i,-0.00050271+0.0014121i,-0.0005598+0.001194i
-0.0010798-0.0018175i,-0.001525-0.0025905i,-0.0034184-0.0020069i,-0.003907-0.00055083i,-0.0034286+0.00018884i,-0.0024705-0.00075014i,-0.0016984-0.0011705i,-0.0013052+0.00026179i,-0.0011634+0.0007896i,-0.0013896+0.00033847i,-0.00086722-0.00072176i,0.00014465-0.0014328i,0.00040746-0.0015438i,0.001247-0.001542i,0.0021959-0.00085614i,0.00175+0.00011265i,0.0013881+0.00052982i,0.0012773+0.0005553i,0.00089568-0.00035614i,0.00083431-0.00089509i,0.0010188-0.00018762i,0.00033873+0.00051975i,-0.00014998+0.00065601i
-0.00051237-0.0013859i,0.00080449-0.00085241i,0.0014002-0.0014741i,0.00082593-0.0010171i,-0.00070954-7.2543e-05i,-0.0017241-0.00037779i,-0.00084098-0.0007923i,0.0003284+0.00011524i,0.0010474+0.00095262i,0.00064951+0.0007306i,0.00033769-0.00024387i,0.00053922-0.00054386i,0.001142-0.00058688i,0.0014799-0.0010232i,0.00074454-0.00023811i,0.0004934+0.0010482i,0.00092811+0.00074779i,0.0005441-8.5788e-06i,0.00034518-0.00051193i,8.4461e-05-0.00077946i,-0.00063612+5.1077e-05i,-0.00066322+0.00076175i,-0.00012183+0.00065742i
0.0011986+0.0020268i,0.0025951+0.0033279i,0.0022087+0.0029108i,0.00099165+0.00060213i,-0.00022193-0.0013989i,-0.0011007-0.0022359i,-0.0019622-0.0015787i,-0.00081877-0.0013939i,0.0010588-0.00084784i,0.001228+0.00020059i,0.00055819+0.00028402i,0.00017362+0.00059406i,0.00050754+0.00089207i,0.00062361+2.4543e-05i,0.00037956-0.00027399i,7.4076e-05-0.00068464i,0.00029282-0.0014093i,0.00079425-0.00099766i,0.00088355-6.3361e-05i,0.00097816-0.00032994i,0.00026692-0.00079308i,-0.00059427-8.0049e-05i,-0.00020516-1.747e-05i
-0.0019068-0.0010151i,-0.0025595-0.0005477i,-0.0031054-0.00045151i,-0.0025173-0.00025968i,-0.0025258-0.00068397i,-0.0023471-0.0013041i,-0.0015058-0.0014051i,-0.0011453-0.0018549i,7.665e-05-0.002034i,0.0010741-0.00040373i,0.0012041+0.00088694i,0.00075526+0.0013331i,-0.00070077+0.00095799i,-0.0023482+4.4248e-05i,-0.0022209-0.00015622i,-0.00086408-0.00075141i,-0.00051528-0.0012793i,-0.0002446-0.00026956i,0.00012466+0.00057901i,0.00015228+0.00085054i,0.00018753+0.00044945i,0.00025517+0.00059971i,-5.4272e-05+0.0011928i
-0.0016915+6.6354e-05i,-0.0015515+0.00037142i,-0.001641+1.76e-05i,-0.00048386+5.9387e-05i,0.00085154+0.00057104i,0.0008346+0.00019146i,0.00021983-0.00020839i,-0.00049426-0.00015576i,-0.00070177-0.00036356i,0.00023139-0.00045944i,0.00072825+0.00010936i,4.9625e-05+0.00060677i,-0.001503+0.00087351i,-0.0023291+0.00085416i,-0.0011529+0.00023788i,-0.00040082-0.00039091i,-0.00061672-0.00036572i,-0.00093754+0.00034548i,-0.00074988+0.0013091i,3.0132e-05+0.001598i,-5.0908e-05+0.00084194i,-0.00018779+0.00065668i,8.863e-05+0.00033625i
0.0034428-0.00057706i,0.0030963-0.0023837i,0.0014751-0.0042716i,-0.00040689-0.0044607i,-0.0023399-0.0037467i,-0.0037483-0.0028548i,-0.0029442-0.00058745i,-0.0017414+0.00047153i,-0.0018962+2.0041e-05i,-0.0020198-0.00085113i,-0.0012387-0.0010183i,-0.00071172-0.0011546i,-0.00052669-0.0013955i,0.00012611-0.0011898i,0.00076739-0.00027581i,-3.5959e-06+0.00030811i,-0.00056623+0.00020798i,-0.00062315-2.2057e-05i,-0.0010805-1.9521e-05i,-0.0011531+0.00044154i,-0.00048981+0.00051854i,0.00034682+0.0010714i,0.00054179+0.0011632i
0.00056907-0.00063915i,0.00098013-0.00013198i,-3.0712e-05-0.00045751i,-0.0011485-0.00091557i,-0.001927-0.00062361i,-0.0026255-0.00054123i,-0.0028322-0.0012315i,-0.0017558-0.0003176i,-0.00058105+0.0017851i,-0.0001744+0.0020099i,-0.00011041+0.00020552i,0.00021831-0.0011428i,0.0014223-0.00099433i,0.0022011-0.00055542i,0.0012202+0.00060234i,0.00041892+0.00077385i,0.00035577-0.00023855i,0.00013336-0.00072428i,-0.00013154-0.00020231i,-0.00071707-0.00040534i,-0.00055302-0.001041i,-8.7582e-05-0.00072915i,-0.00023875-0.00031193i
-0.0021995+4.7671e-05i,-0.0021509+0.00026205i,-0.0020059+0.0018169i,-0.00087734+0.0019604i,-6.4385e-05-0.00010056i,-4.0868e-05-0.0017704i,0.00018765-0.0011276i,0.0003705+0.00031818i,0.00058381+0.0015878i,0.00083768+0.0026909i,0.0010451+0.0027426i,0.0012282+0.0012063i,0.0017349+0.00018937i,0.001674+0.00020937i,0.00025885-0.00020756i,9.9362e-06-0.0011314i,0.00077591-0.0016848i,0.0010014-0.0019794i,0.00086715-0.0023523i,0.001024-0.0016439i,0.00069104-0.00081688i,0.00012704-0.00057557i,-0.00027024-0.0006385i
-0.0012829-0.0021115i,-0.0014029-0.00087818i,-0.0019986+0.00049997i,-0.0026445+0.0016102i,-0.001948+0.0011651i,-0.00078826+0.00044187i,0.00023163-0.00049763i,0.0012367-0.00089744i,0.0017127-8.7363e-05i,0.0019625+0.00069209i,0.0013834+0.0023173i,0.0002769+0.0028956i,-0.0010591+0.00086768i,-0.0015069-0.001338i,-0.0013297-0.0013226i,-6.1345e-05-0.00043025i,0.0011659-0.0001817i,0.0007589+5.1233e-05i,0.00075174+0.00033042i,0.0012621+0.00035869i,0.001028+6.2701e-06i,0.0004532-0.00025625i,0.00026297-0.0001314i
0.0015138+0.00088519i,0.00066486+0.0006447i,0.0015986-0.00058845i,0.0018065-0.0013689i,-0.00037393-0.0016071i,-0.0022394-0.001926i,-0.0014875-0.0024307i,-0.00013508-0.0028083i,0.00084886-0.0025144i,0.001754-0.0016349i,0.0014922-0.00046229i,0.00078112+0.00048931i,-0.0005947-0.00015492i,-0.0016324-0.0013109i,-0.002209-0.0016643i,-0.0012755-0.0014563i,-0.00052826-0.0003931i,-0.0010946-0.00031928i,-0.0010296-0.00018784i,-0.00076493+0.0011073i,-0.00026652+0.0012548i,-3.2589e-05+0.00097766i,0.00015721+0.00059899i
3.9505e-05+0.0022414i,-6.8363e-05+0.0017111i,-9.1544e-05+0.00088979i,0.00072635-0.00093528i,-8.1849e-05-0.0016847i,-0.0024231-0.0015895i,-0.0032707-0.00053507i,-0.0026465-0.00019218i,-0.0021959-0.0011402i,-0.00074124-0.0014952i,0.0013373-0.0015265i,0.0017275-0.0017647i,0.00059918-0.0012438i,0.00031145-0.00055656i,0.00035408+0.00010139i,-0.00069538+0.00042187i,-0.0016183-0.00022381i,-0.0016427-0.00065331i,-0.0013218-0.00030754i,-0.0011105+0.00073957i,-0.0014284+0.0016844i,-0.0018145+0.0014727i,-0.0015588+0.00042567i
0.00073191+0.0011035i,0.0013293-2.2438e-05i,-0.00027951-0.0011607i,-0.0018979-0.0019449i,-0.0027579-0.0019698i,-0.0035013-0.00079647i,-0.0032267+0.00048544i,-0.0023452+0.00058645i,-0.0022877+0.00026579i,-0.0025365-0.00043004i,-0.0020803-0.0009425i,0.00012724-0.00062668i,0.0022083+0.00057132i,0.001917+0.0020108i,0.0005148+0.0020371i,-0.00068879+0.00045846i,-0.0014848-0.00075402i,-0.00089761-0.00078952i,-0.0001322-0.00058887i,-0.00020723-0.00048455i,7.5512e-05-0.00034508i,0.00040148-0.0002348i,0.00075629-0.00059664i
-8.2114e-05-0.00127i,0.00062261-0.0018753i,0.00065877-0.0019196i,-0.00022617-0.0014998i,-0.0013925-0.0012022i,-0.002072-0.001014i,-0.0013912-0.00037794i,-0.0012571+0.0017322i,-0.0016696+0.003837i,-0.0016806+0.0034257i,-0.001993+0.0016589i,-0.0016401+0.0012566i,-0.00079695+0.0021278i,0.00013564+0.0022817i,0.0003256+0.0011477i,0.00057854+0.00032892i,0.0014835+5.4529e-05i,0.0011721-0.00090489i,0.00044155-0.0010692i,-0.00054403-0.0008801i,-0.00022791-0.00048239i,0.00044284-0.0002315i,0.00024886-0.00072939i
-0.00064326+9.9013e-06i,-0.00096891+0.00034774i,-0.0019757+0.0013379i,-0.001905+0.0015296i,-0.001299+0.00094589i,-0.00081669+0.00059327i,0.00023431+0.00013019i,0.00083713+0.00078224i,0.0011887+0.0019934i,0.00073012+0.0029742i,-0.00081683+0.002899i,-0.0020439+0.0021784i,-0.001818+0.0010345i,-0.0010692-0.0005881i,-0.00064954-0.0013573i,-0.00031031+0.00023439i,0.00010961+0.0014092i,0.00031864+0.0014812i,0.00043737+0.00071395i,0.00014848-2.0125e-05i,-7.215e-06-0.00035296i,0.00041107+5.3533e-06i,0.00014773+0.00093859i
-0.00071204-0.0021612i,-0.00083487-0.0024243i,-0.002759-0.00080479i,-0.0030997+0.00043902i,-0.0013983+0.00030877i,-0.00066663-0.00017245i,-0.00070175-0.00097785i,0.0010764-0.0011582i,0.0031269-0.00047149i,0.0034117+0.00035448i,0.0024166+0.0013699i,0.0013397+0.00076171i,0.00048103-0.001523i,-0.00023771-0.0030014i,0.0001106-0.0022949i,-0.00027596-0.00081239i,-0.001335+0.0002198i,-0.0018538+0.00030467i,-0.0018078+0.00021632i,-0.00098337+4.4363e-05i,-2.3649e-05-0.00012199i,0.0002796+0.00030647i,-0.00020874+0.0010482i
0.00017242-0.0034519i,9.0919e-05-0.0037589i,-0.00084264-0.0042257i,-0.0029338-0.0033097i,-0.0035293-0.0013926i,-0.0027573-0.00027203i,-0.0023511-0.00081984i,-0.0016638-0.0025599i,-9.297e-05-0.0040605i,0.0016315-0.0039565i,0.0030885-0.0024818i,0.0041421-0.00157i,0.0035309-0.0012937i,0.0021587-0.00061576i,0.00084961+0.00037837i,-0.00042121+0.00084165i,-0.0013622+0.0003433i,-0.0014852-0.0006801i,-0.00070274-0.0012337i,-0.00021058-0.00099474i,-0.00068127-0.0003967i,-0.00062572-0.00024524i,-0.00042838-0.0009351i
0.00050564+0.00026594i,0.00018347+0.00097406i,-0.00047219+0.0019293i,-0.0013257+0.00057072i,-0.0024866-0.00097687i,-0.0031072-0.0016381i,-0.002807-0.0018262i,-0.0031131-0.0017599i,-0.0038459-0.0020268i,-0.0025409-0.0022254i,9.3308e-05-0.0021874i,0.0019612-0.0014939i,0.0022596+0.00090484i,0.00084936+0.0027512i,-0.00060749+0.0019989i,-6.2348e-05-1.5203e-05i,0.0005355-0.0015826i,0.00018788-0.001552i,-5.6714e-06-0.0014012i,-0.00018599-0.00092818i,-0.00097571-0.00040577i,-0.0008105+0.00017996i,-0.00013112+0.00057327i
-0.0002499-0.0016797i,0.00022637-0.0027556i,-0.00086425-0.0034518i,-0.00072026-0.0032407i,-0.00084795-0.0017213i,-0.0013511-0.0012534i,-0.001974-0.0013452i,-0.0031472+0.00026853i,-0.0044869+0.0019672i,-0.004607+0.00067004i,-0.0030989-0.00094636i,-0.0022218-0.00054488i,-0.0026501+0.0011923i,-0.0021136+0.0017923i,-0.0010799+0.0009674i,-0.00053438+0.0011516i,0.00031714+0.001036i,0.0010035+0.0004033i,0.00070715-0.00053848i,0.00052134-0.00082311i,2.782e-06-0.00049884i,-0.00029806-0.00011304i,0.00040023-0.00019499i
0.0010191+0.00016377i,0.0011808+0.0014792i,0.0010447+0.00094732i,0.00039417-0.00090673i,-0.0010422-0.0013911i,-0.002646-0.00075266i,-0.0028351-1.8462e-05i,-0.0012915+0.0018736i,-0.00039247+0.0043198i,-0.0019871+0.0046603i,-0.0035312+0.002425i,-0.0045137+0.00039854i,-0.0042371-0.00053054i,-0.0026416-0.0017538i,-0.0015416-0.0019733i,-0.00059899-0.00033784i,-0.00053743+0.00047305i,-0.0002218+0.0004202i,-0.00016873+0.00076039i,-0.00081938+0.00092481i,-5.9817e-05+0.00059737i,0.00074412+0.00045634i,0.00057585+0.00066275i
0.001236+0.0021522i,0.00038757+0.0012194i,0.00029015-0.00014606i,-0.00038517-0.0005549i,-0.0015663-0.0014931i,-0.0023088-0.0021514i,-0.0014875-0.0011717i,0.0013718+0.00086816i,0.0036356+0.0032081i,0.0028334+0.0043308i,0.00067622+0.0027574i,-0.00017478+0.0008675i,0.00050984-0.0013627i,0.0011968-0.0034481i,0.0013256-0.0028595i,0.00085552-0.00080604i,-0.00011368+0.00035382i,-0.0015107+1.0247e-05i,-0.00062645-0.00078599i,0.00070921-0.00090539i,-0.0001016-0.00031475i,-0.00059467+0.00041985i,-0.00057332+0.00041929i
-0.00095514-0.00012568i,-0.0013549-0.0027169i,-0.00097954-0.0034382i,-0.00082872-0.0027649i,-0.0020992-0.0022119i,-0.00298-0.0022824i,-0.0019374-0.002049i,0.0012459-0.0019702i,0.0037627-0.0015101i,0.0036773-2.687e-05i,0.0029075+0.0013527i,0.0031261+0.00154i,0.0032723+0.0010744i,0.0028846+0.0012922i,0.0018539+0.0010857i,0.00093117+0.00026001i,0.00019277-0.00047325i,-0.00012981-0.001016i,-6.8788e-05-0.00070926i,0.00062272-0.00010338i,0.00062625-0.00019892i,0.00021981+0.00018446i,8.3254e-06-0.00020238i
-0.0018411-0.0018507i,-0.00072225-0.0012876i,-0.0017384-0.00013173i,-0.0035488+0.0013353i,-0.00358+0.0020387i,-0.0021301+0.0012074i,-0.00068886-0.0004799i,-0.00030151-0.0026776i,-0.00011437-0.0043732i,0.00068906-0.003221i,0.0021276-0.00099897i,0.0034501+0.00085399i,0.0024415+0.0032172i,0.0001129+0.0044555i,-0.00060996+0.0039619i,-0.00024945+0.0027328i,0.00010149+0.00083361i,0.00054785+3.0706e-05i,0.0012824+0.00014541i,0.0014706-6.0012e-05i,0.00073501-0.00030478i,-0.00013901-0.00025834i,-0.00046537+0.00039431i
0.0040839+0.0013402i,0.0044234+0.0020201i,0.0039007+0.00084622i,0.0015928-0.00046333i,-0.0011333-0.0014626i,-0.001768-0.0011639i,-0.0014925-0.0016313i,-0.0021142-0.0025317i,-0.0034751-0.0020511i,-0.0032376-0.0019797i,-0.001592-0.0025191i,-0.0014521-0.001584i,-0.0037016-0.00024801i,-0.0050318+8.7131e-05i,-0.0038362-0.00018405i,-0.0014593-0.00047881i,-8.692e-06-0.00013011i,0.00094037+0.00052738i,0.0014275+0.00088887i,0.0012738+0.00065634i,0.0011504+0.00090664i,0.00082104+0.00083208i,0.00043774+0.00015211i
-0.0020536+0.0013148i,-0.0025872+0.0014045i,-0.0020569+0.0019408i,-0.0012627+0.00050248i,-0.00067941-0.0014963i,-0.00087819-0.0013149i,-0.0020299-0.00013816i,-0.0024807+0.0012574i,-0.0022111+0.0021844i,-0.0023864+0.0015761i,-0.0029976-0.0011317i,-0.0035815-0.0032088i,-0.0034698-0.0041348i,-0.0010443-0.0043672i,0.0010506-0.0033473i,0.00088676-0.0015461i,0.00024074-0.00025475i,7.5e-06-0.00016085i,-0.00070159-0.00052594i,-0.0015602-0.00044721i,-0.0010213+0.00024106i,0.00044109+0.0011213i,0.0014151+0.0010611i
0.0015916-3.1182e-05i,0.00064341-0.0030858i,-0.00040632-0.0042218i,-0.002647-0.0033495i,-0.0036727-0.0022064i,-0.003284-0.0013242i,-0.0022735-0.00033344i,-0.00073641+0.00091832i,3.1612e-05+0.0027228i,-9.4553e-05+0.002993i,-0.0005544+0.0013441i,-0.00094255+5.6331e-06i,0.00078876-0.0010444i,0.0034084-0.0018111i,0.0034842-0.0014727i,0.0016084-0.0010088i,-0.00054681-0.00092083i,-0.0018791-0.00094697i,-0.0018241-0.0008353i,-0.00095889+0.00010105i,-1.3504e-05+0.00080837i,0.0001112+0.00036181i,-0.00052083-0.00067306i
0.0020705+0.00036049i,0.0048168-0.00027444i,0.0045128-0.00088559i,0.00079833-0.0015812i,-0.0020686-0.0023451i,-0.003265-0.0022311i,-0.0022654-0.0018673i,-0.00030762-0.0010692i,0.001892-5.0786e-05i,0.0020975+0.00074695i,0.00021317+0.0013673i,0.00053837+0.0022054i,0.0021836+0.002931i,0.0015788+0.0024392i,0.0003945+0.002229i,0.00014324+0.001562i,0.00026018-0.00030492i,0.00014108-0.0010962i,0.00017877-0.0010804i,4.8903e-07-0.00075137i,-0.00041548-0.00017544i,0.00041838+0.00054173i,0.00060704+0.00058241i
-0.00070926+0.0019329i,0.0005702+0.0018403i,0.0011274+0.0014279i,0.00047938-0.0004619i,-0.00052617-0.0025947i,-0.0011044-0.0033251i,-0.00031926-0.0027143i,0.0014976-0.0023888i,0.0028992-0.0021874i,0.0032943-0.0018602i,0.0027186-0.00039078i,0.0012364+0.0022668i,-0.00062827+0.0036006i,-0.002615+0.0033792i,-0.0032881+0.0023208i,-0.0024487+0.0014574i,-0.00074043+0.00099259i,0.00034638+0.0012542i,0.00094442+0.0011516i,0.001649+0.0010166i,0.0013667+0.00091479i,0.00080179+0.0010991i,-3.4039e-05+0.0011282i
-0.00077094+0.0016757i,-0.00058556+0.0013191i,0.00093011+0.00061779i,0.001684+0.00062161i,0.00018337+0.00028093i,-0.0010232-0.00038722i,-0.0012796-0.00043956i,-0.0017418-0.00081545i,-0.0020418-0.0015002i,-0.001315-0.0010901i,-0.00069064-0.00014729i,-0.00033629-0.00014217i,-0.002049-0.0008566i,-0.0039731-0.001059i,-0.0028974-6.0821e-05i,-0.0019692+0.0010467i,-0.0022176+0.0015454i,-0.0014075+0.0019725i,0.00027413+0.0018315i,0.0013552+0.0014295i,0.00078364+0.00083581i,-0.00010396+0.0003141i,-0.00054389+0.0002368i
-0.00090608+0.0010299i,-0.0024489+0.00030164i,-0.0023263+0.00035778i,-0.0012746+0.00068058i,-0.0011434+0.0002966i,-0.0026143-8.5577e-06i,-0.0028523-0.00019984i,-0.0028398-0.0004128i,-0.0035848-0.00013501i,-0.0022227-0.00012857i,0.00020964-0.00071679i,0.00059546-0.0022793i,-1.7983e-06-0.0042482i,0.0013594-0.0040708i,0.0019519-0.0026182i,0.00069446-0.0018263i,-0.00022277-0.0017063i,-0.00076906-0.0019638i,-0.0015053-0.0017536i,-0.0010755-0.00089198i,0.0001508-0.00057986i,-6.6353e-05-0.00041395i,2.7783e-05-0.00056052i
0.0019618-0.0013421i,0.001969-0.0027092i,0.0022294-0.0039392i,0.00096569-0.0034608i,-0.0016654-0.0024577i,-0.0031847-0.0024487i,-0.0026378-0.001864i,-0.0015788+0.00014968i,-0.0012201+0.0023255i,-0.0011365+0.0031418i,0.00024701+0.0016807i,0.0016461-0.00045284i,0.0036257-0.00083619i,0.0051551-2.7544e-06i,0.0044773+0.00022412i,0.0027063-0.00010365i,0.0012952-0.0013367i,0.00068929-0.0033203i,-0.00030495-0.0031459i,-0.0016286-0.0012483i,-0.0013008+7.2777e-05i,-0.00012253-0.00027114i,0.00037266-0.0012273i
-0.0013058-0.0011441i,-0.00055942+0.0010253i,-0.00030703+0.0019357i,-0.0014747+0.002072i,-0.00386+0.0019045i,-0.0036969+0.00030981i,-0.0018832-0.0014262i,0.00057036+4.0316e-05i,0.0020886+0.0022597i,0.0017054+0.0023103i,0.00049531+0.0012556i,-0.00022304+0.0021315i,0.00055979+0.0043678i,0.00076219+0.0044122i,0.00014753+0.0029561i,-4.9839e-05+0.001506i,-0.00016135+0.00018988i,0.00027748-0.00049033i,0.00049494-0.00087923i,-0.00026051-0.0012048i,-0.00025735-0.00069249i,0.00048811-0.00010588i,0.00114-0.0003465i
0.00025079+0.0019517i,-0.00070342+0.0019379i,-0.0015339-0.00059134i,-0.0016609-0.0030896i,-0.00080067-0.0038902i,-0.0002234-0.0037306i,-7.2274e-05-0.0028993i,0.0013397-0.0013199i,0.0030887-0.00080934i,0.0029152-0.001425i,-0.00013128-0.0011935i,-0.00323+0.00056615i,-0.0054552+0.0013916i,-0.0065872+0.0006571i,-0.0056671-0.00017961i,-0.0040047+5.1383e-05i,-0.0019368+0.00097308i,-0.0012065+0.0019174i,-0.0012343+0.0017703i,2.3713e-05+0.00086262i,0.00062374+0.0010639i,7.5249e-05+0.00064969i,0.00042862+0.00014299i
6.5232e-05-0.0021903i,-0.00018946-0.0029668i,0.00017119-0.0027571i,7.903e-05-0.00066082i,-0.0010673+0.00087996i,-0.00072046+0.001111i,-0.00041086+0.00013808i,-0.000467-0.0012498i,-0.00091682-0.0024515i,-0.0015255-0.0025695i,-0.0018294-0.001822i,-0.002456-0.0015978i,-0.0031057-0.0024221i,-0.0029124-0.0035566i,-0.0019222-0.0029318i,-0.001672-0.0011744i,-0.0015275-0.0001993i,-0.0014906+0.00059854i,-0.001304+0.0015982i,-0.00024931+0.0016819i,0.00026801+0.00058004i,0.00026113-0.00010387i,-0.00043541+0.00049745i
0.001588-0.0013808i,0.0013155-0.002407i,-0.00039881-0.0025804i,-0.0020651-0.0025826i,-0.0028106-0.0025949i,-0.0039299-0.0027333i,-0.004905-0.002173i,-0.0047814-0.0013697i,-0.0040716-0.0010782i,-0.0031003-0.00039849i,-0.0014768+0.001248i,0.0010271+0.00080246i,0.0046966-0.00072719i,0.0055227-0.00047696i,0.0037771-0.00026984i,0.002319-0.0010825i,0.0010286-0.0015624i,-0.00097793-0.00083355i,-0.0010677+0.00035331i,0.0005332+0.00014187i,0.00077369-0.00067552i,0.00010362-0.00038055i,-0.00022912+5.9882e-06i
0.0010862-0.00025887i,0.0023958-0.00026432i,0.0018487-0.0019795i,-0.00078724-0.0031318i,-0.0027894-0.0021135i,-0.0025213-0.0021007i,-0.0022016-0.0028574i,-0.0025477-0.0013871i,-0.0025277+0.0011048i,-0.0017006+0.003337i,0.00059521+0.0036464i,0.0030561+0.0027628i,0.004364+0.0026864i,0.0047755+0.0037878i,0.0038853+0.0041194i,0.0022722+0.0021093i,0.0011947-0.00023842i,0.0010908-0.00088834i,0.0013893-0.0012166i,0.00021197-0.001528i,-0.00070213-0.0017737i,0.0004009-0.0014112i,0.00071326+8.1728e-05i
-0.00028064+0.0013173i,-0.001452+0.002746i,-0.0025349+0.0034051i,-0.0018232+0.0022812i,-0.0016279-0.00036581i,-0.0025506-0.0021033i,-0.0021993-0.0012651i,-0.00046822+0.0015398i,0.0012341+0.0036396i,0.0028321+0.0038309i,0.0028154+0.001914i,0.00035818+0.0012662i,-0.0021717+0.0030969i,-0.0030788+0.0029763i,-0.0025608+0.0011227i,-0.0013582+0.00060242i,9.0285e-05+0.00052039i,0.00096011-0.00047064i,0.0012372-0.0012503i,0.00032773-0.0015657i,-0.00038144-0.00098558i,0.00031748-0.00029856i,0.00016644+8.9959e-05i
-0.0036088+0.0023375i,-0.0042037+0.0020861i,-0.0029798+0.0022855i,-4.4355e-05+0.0019309i,0.0017075+0.00071198i,0.0024465-0.00044845i,0.0024701-0.0006717i,0.0031861+0.00030433i,0.0047937+0.00046954i,0.0056373-0.0010616i,0.0041797-0.0031946i,5.5002e-05-0.0037334i,-0.0040061-0.0031629i,-0.0052411-0.0035695i,-0.0044985-0.0033205i,-0.0026822-0.0012508i,-0.0010682+8.8828e-05i,-0.00070254+0.00017096i,-0.00037407+0.0002364i,-0.00068171+0.00041001i,-0.0010417+0.0010096i,-0.0012124+0.00067701i,-0.00072104-0.00017072i
