-0.0002043+0.0013338i,0.00093505+0.00022439i,0.00029768+0.00067043i,0.00028839+0.00099021i,0.00075853+0.00092014i,0.0014318+0.0013037i,0.001874+0.00086869i,0.00090601+0.00026596i,6.9971e-05+0.00017869i,0.00018809+0.00041112i,4.1635e-05+0.00020935i,6.408e-05-0.00095663i,0.00020455-0.0011763i,0.00031189-0.00047593i,0.00020349+9.0236e-05i,2.4946e-05+0.00075664i,0.00051839+0.00088848i,0.0013312-5.2937e-05i,0.0016051-0.00076699i,0.00093085-0.00036682i,-0.00016711+0.00020434i,-0.00014722-0.00020349i,0.00022273-8.9705e-05i
0.00047909-0.0016704i,0.00068606-0.0015646i,-0.00035558-0.00012559i,-0.0008691+0.001676i,-0.00033011+0.0029494i,8.6325e-05+0.0024773i,0.00026139+0.0012266i,-0.00013733+0.00030089i,-0.0006509+0.00068794i,-0.0010513+0.0006398i,-0.00041989+0.00047053i,0.00039815+0.00053289i,0.00083716-0.00024791i,0.00091568-0.00084756i,0.00073052-0.00011449i,0.00052355+0.00054873i,0.0003928+0.0002062i,0.00018079-2.1411e-05i,-0.00026244+0.00036503i,-0.0001278+0.00051158i,3.3664e-05+7.7302e-05i,-0.00033066-3.086e-06i,6.1077e-05-0.00020075i
-0.001242-0.0015015i,-0.00029614-0.0014827i,-0.0010329-0.00011589i,-0.00086498+0.00074253i,1.4588e-05+0.00083311i,0.0010395+0.0015592i,0.0014562+0.0012587i,0.00030088+0.0013542i,-0.00057423+0.0013791i,-0.00010831+0.0011325i,0.00042196+0.00057575i,0.00020735+0.00012351i,-0.00013391+0.0002172i,-0.00029493-4.7486e-05i,-6.9749e-05+0.00012699i,0.00047156+0.00043851i,0.00076693+0.00055465i,0.000465+0.00058049i,-0.00019009+0.0008833i,4.577e-05+0.00054422i,0.00072402-0.00058667i,0.00042759-0.00025518i,0.00016178+0.00037396i
0.0022033+0.00022496i,0.0024057-0.00072489i,0.00095656+3.0476e-05i,0.00034322+0.00093807i,0.0004043+0.001354i,0.0011471+0.00089686i,0.0011178+0.00039033i,-0.00011644-1.059e-05i,-2.6485e-05+0.00023824i,-9.1644e-05+0.00051012i,0.00010547+0.00029172i,0.0007256-1.8921e-05i,0.00010507+1.1528e-05i,-0.00028997+0.00074722i,8.1397e-05+0.0013037i,0.00018788+0.0011274i,0.00042721+0.00068902i,0.00057489+0.00035962i,-0.0003957+4.4087e-05i,-0.00096726+0.00024318i,-0.00066279+2.1389e-05i,-0.0010688-0.00036173i,-0.00077599-4.033e-05i
0.0007058-0.00080845i,0.00051438-0.00026663i,0.00018611+0.00067308i,2.9333e-05+0.00081473i,0.00053241+0.0013796i,0.00075384+0.0019234i,-0.00020355+0.0015182i,-0.00028054+0.00077377i,1.1357e-06+0.00083234i,-7.8448e-05+0.0011663i,0.00022456+0.001106i,0.00071501+0.00037148i,0.00075341+0.00036126i,0.00041682+0.00054193i,-0.00026946+0.00045125i,-9.5494e-05+0.00035351i,0.0003142+0.00029829i,-0.00013747-3.3202e-05i,-1.0902e-05-0.00028703i,-0.00014074-0.0001436i,-0.00013115-0.00050984i,-3.447e-05-0.00072596i,-8.0774e-05-1.6742e-05i
-0.00012675-0.0025788i,0.00061457-0.002063i,-0.00035611-0.00084039i,-0.001109+0.00075593i,-0.0012727+0.0019793i,1.6053e-05+0.0018031i,0.00096949+0.00095943i,0.00056951+0.00034006i,0.00023427+0.00055153i,-8.7701e-06+0.00088564i,-0.00047901+0.0007716i,-0.00028762-0.00019269i,0.00079745-0.0012199i,0.00031888-0.001291i,-0.00027453-0.0010837i,-7.407e-05-0.00079913i,0.00025362-0.00052781i,0.00026707+0.00018832i,0.00072465+0.00013388i,0.00074455-3.0006e-05i,-2.1259e-05+0.0006885i,-0.00035943+0.00068483i,-0.00090941-0.00010071i
-0.00012341+0.00039876i,1.2096e-05+0.00011169i,-3.8982e-05+0.00056066i,0.00063891+0.0018341i,0.0010247+0.0026269i,0.0010057+0.0017958i,0.0012748+0.00046749i,0.00084046+0.00033525i,0.00043408+0.00024017i,0.00047029+0.00062034i,0.00026564+0.00061038i,-0.00043772-5.4393e-05i,-0.00087903-0.00023116i,-0.00069929-0.00014926i,-0.00044972-5.0082e-05i,-0.00017067+0.000281i,-0.00030817+0.00091233i,-0.00065731+0.00092408i,-0.00055682+8.1223e-07i,-0.00031474+2.0647e-05i,-0.00021335+0.00052896i,-0.00030547+0.0005726i,-0.00032996+0.00045123i
0.0020091+0.001825i,0.0014574+0.0017476i,8.4439e-05+0.0012313i,-6.0282e-05+0.00027114i,0.0003123-0.00080557i,6.1891e-05-0.00047677i,-0.00021769+0.00049461i,-0.00037871+0.00090749i,-0.00036905+0.00098907i,-0.00029902+0.0003384i,0.00025036-9.158e-06i,0.00045642+0.00075412i,-0.00015736+0.0010153i,-0.00025261+0.00045214i,0.0001551+0.00026554i,-4.5018e-05+0.00048i,-0.00049135+0.00061002i,-0.0011318+0.00068709i,-0.00065103+0.00021979i,0.00043789+0.0004097i,0.00021018+0.00036169i,9.0998e-05-2.9196e-05i,0.00053502+0.00017079i
0.0012642+4.3242e-05i,0.00069017-0.0004195i,0.00012327-0.0015582i,0.00021573-0.0019332i,0.00029753-0.0011724i,-0.0003263+0.00016844i,-0.00030578+0.0015414i,0.00017642+0.0012511i,0.00070574+0.00070491i,0.0011235+0.00068933i,0.00062568+0.00014574i,-5.7455e-05-0.0003425i,0.00047791+9.5905e-05i,0.00086238-9.693e-05i,0.00035168-0.00046223i,8.7994e-05-0.00016666i,0.00056333+0.00089391i,0.0002614+0.00093272i,-0.0012125+0.00019111i,-0.00097251-2.0588e-05i,-0.00073057-0.00038537i,-0.00057066-0.00033884i,0.0010335-0.00021143i
0.0027117-0.00027568i,0.0030014+0.00016121i,0.002353+0.0004566i,0.0013674+0.0008301i,0.00080236+0.0014128i,0.00048038+0.0015798i,6.4941e-05+0.0014809i,-0.0004347+0.0014515i,-0.00029486+0.0011418i,0.00014213+0.00083272i,-0.00017617+0.00035231i,0.0002064-0.00031913i,0.00078572+0.00044465i,0.00032681+0.0017472i,-0.00049153+0.0014583i,-0.00028039+0.00077171i,0.00057566+5.6594e-05i,0.0010372-0.00036926i,0.0010063-0.00054356i,0.0010249-0.00011215i,0.0012486+0.00021691i,0.00078156-0.00044845i,0.00017286-0.00062459i
-0.0003003-0.0011171i,-0.00014706-0.00050192i,-0.00088484-0.00026528i,-0.001342+9.3391e-05i,-0.00084069+0.00074089i,-9.5052e-05+0.0016243i,0.00013768+0.001752i,0.00032842+0.0012498i,0.0002853+3.0778e-05i,0.00010842-0.00036025i,0.00031796-0.0001682i,0.00054359+0.00014671i,0.00020993+0.00077469i,-3.532e-05+0.0008638i,-0.00042701+0.00031083i,-0.00036883-0.00010923i,1.7273e-05-3.3325e-05i,0.00052653+9.3423e-05i,0.00030451+0.00043731i,0.00021131+0.00020232i,0.00081911-0.00030884i,0.0010551-2.4301e-06i,0.00022018-0.00040807i
0.0025894+0.001325i,0.0021243+0.0011351i,0.0013498+0.00021814i,0.00038003-7.9452e-05i,-0.00072732+0.00020825i,-0.0015153+0.00083065i,-0.00057811+0.0012625i,-5.017e-05+0.0011244i,-0.00029627+0.0008444i,-0.00027372+0.00091154i,-0.00034742+0.0011203i,-0.00081996+0.00042773i,-0.00079068-0.00041594i,-0.00023802+1.8472e-05i,-0.00038018+0.0003927i,-0.0007099+0.00056225i,0.00013198+0.00036917i,0.0009473+9.9174e-05i,0.00062905-7.0093e-05i,0.00011512+0.0003428i,-6.3866e-05+0.00077327i,-0.00050929+0.00053053i,-0.00097191+0.0003859i
-0.00018659-0.00021243i,0.00063522-0.00065947i,0.00061675-0.0001115i,0.00068581-4.8779e-05i,0.00076188+0.000789i,0.00049061+0.0015983i,0.00052488+0.0010689i,0.00039348+0.0005706i,0.00032442+0.00038343i,0.00021667+0.00026097i,-0.00031563+4.4317e-05i,3.6414e-05-2.8876e-05i,0.00083654-1.7144e-05i,0.00098901-0.00010727i,0.00079691+2.1786e-06i,0.00029746+0.00059063i,0.00060887+0.00064965i,0.00096476+0.00012901i,0.00091959+0.00062312i,0.00052913+0.0013538i,-0.00039175+0.0015029i,-0.0013432+0.0010603i,-0.00062436-2.6662e-05i
0.0019827+0.00016307i,0.0013722+0.00088939i,0.0007797+0.0012359i,0.00082912+0.0015292i,0.00064078+0.0018806i,-0.00058959+0.0012389i,-0.00066609+0.00064194i,-0.00031661+5.1713e-05i,-0.00026096-9.2154e-05i,0.00012679+0.00088016i,0.00019155+0.0011464i,7.7358e-05+0.00097735i,-0.00057097+0.0010009i,-0.00071033+0.00034497i,-0.0004751+0.00013287i,9.9684e-06-0.00012078i,8.9964e-05-0.00017864i,5.8267e-06+6.7836e-05i,-1.68e-05+9.5132e-05i,-0.00011342+0.00055946i,-0.0011302+0.00074114i,-0.00097035+4.7627e-06i,0.00016944-0.00027059i
-0.00078376+0.00048511i,-0.00096606-0.00086889i,-0.0010445-0.0020503i,-0.00031979-0.0010274i,0.00044618+0.00010155i,0.00047047+0.00036364i,0.00029553+0.00020849i,0.00026928+0.00043139i,0.00073153+0.0018238i,0.00043148+0.0024936i,0.00020397+0.0013787i,0.00059027+0.00058188i,-8.3163e-07+0.00053596i,-0.00037195+0.00069433i,-3.5039e-05+0.00046563i,0.00051527+0.00033729i,0.00018472+0.00079998i,-0.00033318+0.00042427i,-0.00030956+0.00037276i,-0.00013654+0.00077766i,-0.00038431+0.00063077i,-0.00011978+0.00012987i,0.00037709-0.00029665i
0.001396-0.001561i,0.0013367-0.00063674i,0.00035703+0.00099148i,-0.00010243+0.0021192i,-0.00015893+0.0016778i,-2.7991e-05+0.0010713i,0.00028437+0.00079488i,0.00063701+0.00038356i,-0.00024651+5.6018e-05i,-0.00070012+0.00046689i,-5.1044e-05+0.00050697i,0.0001959+4.2203e-05i,0.00035496-1.2415e-05i,0.00029022+0.00044725i,7.0493e-05+0.00060105i,0.00078724+0.00053144i,0.001119+0.00047349i,0.00070536-0.00015787i,0.00059017-0.00043811i,0.00028621-9.2473e-06i,0.00024225-7.3589e-05i,-0.00015953-7.914e-05i,-0.00032886+0.00016093i
0.00033201-0.00080411i,0.00063571-0.0016357i,1.5426e-05-0.00214i,-0.00033645-0.00031617i,0.00019494+0.0012715i,0.0010276+0.0018386i,0.0010752+0.0017865i,0.00013164+0.0011537i,-0.00052155+0.00059521i,-0.00084403+9.3589e-05i,-0.0010114+9.0318e-05i,-0.00048728-0.00012186i,-0.00049196-0.00027479i,-0.00023205+0.00019438i,0.00012416+0.0008956i,0.00016457+0.0014185i,0.00025434+0.00099917i,0.00085813-1.0772e-05i,0.00063476-2.5261e-05i,1.3959e-05+0.00060885i,-0.00042439+0.00071336i,-0.00086272+0.00031661i,-0.0005905-0.00010864i
0.002012+4.5074e-05i,0.002145+0.00024498i,0.0008053+0.0005445i,0.0001859+0.0010124i,0.00060475+0.0014716i,0.00071641+0.0012233i,0.00054094+0.00076482i,-0.00017035+0.00048779i,-0.00091066+0.00054142i,-0.00075895+0.00014071i,-0.00019325-0.00020014i,0.00076386+4.9041e-06i,0.0014378+0.00013935i,0.00064726-0.00018435i,0.00022191+0.00017052i,0.00058377+0.0013465i,0.00088041+0.0013614i,0.00063166+0.00087931i,-0.00066274+0.00065765i,-0.0010334-0.00015011i,-0.00020343+0.00028605i,-0.00010073+0.00088238i,0.00024122+0.00047538i
-0.00045357+0.0006797i,-0.00090996-5.0693e-05i,-0.0010373+0.00027581i,-0.00030241+0.00027781i,-0.00017339+0.00018505i,-0.00042769+2.0685e-05i,-0.0002703-0.00035935i,-0.00014728+0.00015805i,0.00016308+0.00064595i,-0.00011498+0.00056948i,0.00032005+0.00043317i,0.00027844+0.00014254i,-0.00043428-0.00035793i,3.0135e-05-0.00021397i,0.00051871+0.00035641i,-0.00063728+0.00022188i,-0.0014735-0.00049685i,-0.00061652-0.00019273i,-0.00051118+0.00068926i,-0.00097568+0.00089261i,-0.0007881+0.00041841i,-0.00066839+7.8469e-05i,-0.0007624+0.00018686i
0.00072098+0.00027631i,0.00057537-0.00017333i,-0.00021103-0.00042967i,0.00059978-0.00028458i,0.0012138+0.00053987i,0.00095337+0.0010937i,0.00040845+0.00043703i,0.0001943-0.00086648i,-0.00047846-0.00087174i,-0.00070953-0.00029364i,0.00039563-0.00026521i,0.00063886+1.076e-05i,0.00021439+0.00021049i,0.00036613+0.00056896i,0.00048658+0.00056977i,0.00021018+0.00019606i,0.00071119-0.00028401i,0.00078103+5.8045e-05i,0.00068581+0.00034533i,0.00050724-0.00063479i,3.0888e-05-0.0012903i,0.00011075-0.0013296i,0.00027777-0.00065768i
-0.00040186-0.00026523i,-0.00015218-4.5431e-05i,0.00025264-0.0002104i,0.0011582-0.00023681i,0.0014601-0.00052024i,0.00059843-0.0011033i,-0.00019543-0.00046575i,0.00012328+0.00061849i,0.00026277+0.00090363i,-0.00015916+0.00077495i,7.5463e-05+0.00071963i,0.00022733+0.00061367i,0.00022738+0.00028755i,0.00068003+0.00058717i,0.00080075+0.00033176i,-0.00016678-0.00047381i,-0.00067808-0.00079327i,-0.00038464-0.00033982i,-9.6114e-05+0.0001015i,0.00035147+0.00048831i,-3.7988e-05+0.0010119i,-0.00058357+0.00053616i,-0.00027303+0.00070561i
0.0024826-0.00011048i,0.0029242-2.8945e-06i,0.0022538-0.00024072i,0.00085879+0.00039648i,-8.4559e-05+0.0012692i,-0.00091161+0.0021004i,-0.00070606+0.0020218i,-0.00018145+0.00061512i,-0.00028767-0.00019776i,-1.1492e-05-3.2921e-05i,0.0010361+4.2473e-05i,0.0010305-6.305e-05i,0.00034221-0.00011646i,0.00012307-0.00013422i,0.00020851+2.7705e-06i,0.00029851+0.00085702i,0.00015644+0.0012244i,0.00024933+0.00089209i,0.00024135+0.00078972i,-8.7628e-05+0.00051649i,-0.00017676+0.0003034i,-0.00050745+0.00015651i,-0.00066301+1.0025e-05i
-4.0265e-05+0.0004989i,0.00042036-0.00047261i,0.00010911+0.00020471i,0.00013293+0.00097345i,0.00085224+0.00059803i,0.0014072+0.00016639i,0.00055117-0.0001622i,0.00027095-0.00021891i,0.0006062+0.00013481i,0.00059837-0.0004401i,0.00065281-0.00036243i,-0.0001377+0.00048888i,-0.00021617+0.00064512i,6.3901e-05+0.00029508i,-0.00034049-0.00016113i,3.6429e-05-0.00054059i,0.00035465-0.00068355i,-0.00040334-0.00036113i,-0.00072826+0.00036834i,-0.00085458+0.0010755i,-0.00066928+0.0012444i,-0.00050536+0.00058764i,-0.00047605-4.3326e-05i
0.0016404+0.00024265i,0.001234+0.00139i,0.0015102+0.0019042i,0.0013368+0.0025358i,0.00026679+0.0020299i,-0.00074649+0.00067855i,-0.0011953+0.00029261i,-0.0010946+0.00038358i,-0.001546+0.00063969i,-0.0014641+0.00090381i,-0.00070123+0.00075488i,-0.00010047+0.00030216i,0.00043455-0.00036135i,0.00029223-0.00013585i,-0.00070483+0.00060403i,-0.00071971+0.00092539i,4.1563e-05+0.00096416i,0.00019678+0.00022359i,0.00039481-0.00044153i,0.00095689+0.0001554i,0.0010544+0.0005399i,0.00022317+0.00067251i,-0.00024072+0.00082352i
0.00030359-0.0013895i,-2.1549e-05-0.0018839i,-0.00082334-0.0019568i,-0.0012763-0.00075162i,-0.001064+0.00071898i,-0.000818+0.0010878i,-5.4504e-05+0.00061541i,0.00069875+0.00046552i,0.00013507+0.0001689i,-0.00072636-0.00062755i,-0.0011299-0.0011479i,-0.00061467-0.00038259i,0.00014805+0.0005835i,-0.00045425+0.00040463i,-0.0007406+0.00033257i,-0.00060068+0.00051299i,-0.00045961+0.00016617i,-0.00024746-1.0943e-05i,-0.00021832+0.00024603i,-0.00013757+0.00027875i,0.00012056+0.0002806i,0.0012132+0.00049888i,0.0015013+0.00027504i
0.0020075-0.0013539i,0.0019591-0.00061269i,0.0015636-0.0004605i,0.0010351-0.00010133i,0.00089117+0.0008543i,0.00052844+0.00040118i,0.00034341+0.00059475i,0.00034513+0.0014457i,0.00038706+0.00076374i,0.00012017+8.946e-05i,-0.00027767-0.00026342i,3.3164e-05-0.00099035i,0.0007534-0.00035603i,0.00053145+0.00034424i,0.00021444+0.00019956i,0.00010316+0.00031793i,7.3415e-05+0.00031117i,0.00059831+0.00033196i,0.0010493+0.00021581i,8.9927e-05+0.00010339i,-0.00057074+0.00028475i,-6.9875e-05+0.00043716i,0.0002704+0.0003583i
0.00051916-0.00016111i,0.00044099-0.00053119i,0.00011988+0.00018676i,-0.00033212+0.00068509i,-0.0002363+0.0016266i,-0.00017151+0.0012861i,-0.00054878+0.00098037i,-9.2093e-05+0.0011837i,0.00040841+0.001166i,-0.00018007+0.0011056i,-0.00010807+0.00094272i,0.00019687+0.00044615i,-0.00067641+0.00029544i,-0.0007017+0.00045726i,-0.00037303+0.00045795i,-0.00031334+0.00042811i,-5.5544e-05+0.00071704i,-0.00019483+0.00076337i,-0.00053598+0.00029448i,-0.00062043-0.00010543i,-0.0002123-0.0001298i,-0.00058305-4.4056e-05i,-0.00049474-0.00017819i
0.00098433-0.00052053i,0.0019091+0.00016836i,0.0014635+0.00062236i,0.00090256+0.00038438i,-0.00020296+0.00093749i,-0.00090145+0.0017437i,-0.00035913+0.0011245i,-0.00023145+0.00069945i,-0.00050851+0.00076864i,-0.00034677+0.00076432i,-0.00031018+0.00051496i,2.5966e-05+0.00064041i,0.00053996+0.0012272i,-2.6369e-06+0.00096091i,-0.00017433+0.00048782i,-0.00023084+0.00070739i,-0.00099421+0.00070231i,-0.0006296+0.00067106i,5.6407e-05+0.00025699i,0.00019424-1.6284e-05i,0.00042107+0.00044483i,0.00013701+0.0007767i,-1.6477e-05+0.00072729i
0.001651-0.00050513i,0.00048208-0.00058115i,-0.00038617-0.00074307i,-0.00090388-0.00069246i,-0.0012144+0.00089233i,-0.0018189+0.0021887i,-0.00094367+0.0016245i,-3.2766e-05+0.0011248i,-0.00011329+0.00029264i,-0.00069174-0.00089735i,-0.00098552-0.00095416i,-0.00037161-0.00017371i,0.00029672+0.00033216i,0.001167+0.00075398i,0.0011282+0.00080824i,0.00045562+0.00050713i,-0.00021428+0.00053269i,-0.00046952+0.00072623i,-0.00014105+0.00050592i,-0.0001945+0.00092082i,-0.00042853+0.001134i,-0.00067289+0.0011164i,-0.0011829+0.0007424i
0.00038685-5.1789e-05i,0.0017064-5.6411e-05i,0.0025203-6.0539e-06i,0.001786+0.0004216i,0.00093015+0.00057737i,0.0003938+0.0005773i,0.00023196+0.00068498i,1.2277e-05+0.0010558i,-0.00022915+0.00065373i,-0.00029923-0.00018384i,1.7575e-05-0.00067691i,0.00030638-0.00043628i,0.00054946+0.00054997i,0.00076334+0.00089888i,-0.00010256+0.00072474i,-0.00080175+0.00054278i,-0.0004121+0.00055624i,-0.0004351+0.00061465i,-0.00021892-1.0146e-05i,8.5981e-05-0.00022036i,-0.00011159-7.6716e-05i,-0.00045002+0.00027157i,-0.00073647+0.00045899i
0.0026331-0.00059052i,0.0021824-0.0003086i,0.00098719-0.00038577i,2.9784e-05-0.00064323i,-0.00083436-0.00030469i,-0.0012421+0.00059294i,-8.5508e-06+0.0014919i,0.00061746+0.001168i,-8.3135e-05+0.00028169i,3.228e-05+0.00028746i,0.00050091+0.00078335i,9.0057e-05+0.00042806i,-0.00010251-7.727e-05i,0.00031202+0.00041512i,4.2602e-05+0.0012521i,-8.8868e-05+0.0016148i,-0.00012221+0.0011335i,9.7945e-05+0.00046271i,0.00037462+6.5481e-05i,0.00029412-9.9204e-05i,0.00019548+0.00043451i,0.00076571+3.1085e-05i,0.00030163-6.9425e-05i
0.00094482+0.00081127i,0.00066967+0.00099183i,0.0017054+0.0002574i,0.002199-0.00051625i,0.0014628-0.00052797i,0.00087718-3.1963e-05i,0.00061569+0.00068496i,0.00052462+0.00051531i,0.00055025-0.00020246i,2.2261e-05-0.00056368i,-0.00034106-0.00031124i,-0.00041741+0.00037708i,3.56e-05+0.00061314i,0.00031315+0.00068944i,-5.9759e-05+0.00094694i,-0.00010729+0.00076955i,0.00021123+0.00035099i,0.00071552-0.00016746i,6.9088e-05-0.0008561i,-0.0012159-0.00077558i,-0.00052584-0.00058706i,5.7653e-05+7.4421e-05i,-0.00085448+0.0010609i
0.0026454-0.00039693i,0.0021622+5.651e-05i,0.00039377+0.00030041i,-0.0003774+0.00081537i,-0.0011928+0.0013563i,-0.0014427+0.0013769i,-0.0011703+0.0011766i,-0.00031965+0.0012047i,-0.00023945+0.00067579i,-0.00081334+0.00041243i,-0.00076639+0.0002335i,-0.00058701+0.00015378i,-0.00025614+0.00029233i,0.000185+0.00050476i,-3.8299e-05+0.00053354i,-2.5766e-05+0.0003749i,0.00086614+0.00072733i,0.00089581+0.00022406i,9.9022e-05-0.0004859i,-9.8908e-05-0.00030439i,0.00039324-5.1636e-05i,0.00025506+0.0003243i,-0.00032047+0.00080198i
0.0017449-0.0015539i,0.0021921-0.0012142i,0.0013095-0.00024754i,-0.00021397+0.00083169i,-0.00048294+0.0016217i,0.00062205+0.0021011i,0.0016307+0.001793i,0.0013047+0.001252i,0.00020339+0.00052995i,0.00015865+0.00086301i,0.00053422+0.00075523i,0.00037153-0.0002069i,0.00043993-0.0005215i,0.0008591-0.00057318i,0.0001552-0.00032716i,-0.00016067-5.4278e-05i,-7.745e-05+0.00038816i,-0.00085681+0.00088249i,-0.00079108-9.0673e-05i,0.00025263-0.00051225i,0.00036118+0.00056787i,-7.3865e-05+0.0010756i,-0.00015045+0.0011519i
-0.0012635+0.00039053i,-0.0013058+0.0003721i,-0.0013497+0.0014265i,-0.00059411+0.0016184i,0.00036044+0.00037943i,0.00012033-0.00061362i,-0.00018432-0.00056244i,0.00040901-0.00034952i,0.00055347-2.5469e-05i,-0.00043165+0.00042354i,-0.00058417+0.00026906i,8.7614e-05+0.00010733i,0.00058129-0.00017134i,0.00019714-0.000866i,-0.00062088-0.00063851i,-0.00042117-0.00047113i,3.0152e-06-0.00082431i,-5.3459e-05-0.0002917i,-0.0004562+5.5445e-05i,-0.00083405-0.00027421i,-0.00070209+0.00019056i,-0.00065237+0.0006214i,-0.00060705+0.00034383i
0.0015554+0.0008032i,0.0013242+0.00029961i,0.00036963-6.7452e-05i,0.000639+0.00089913i,0.0010327+0.0016658i,0.0005563+0.0014692i,-4.7404e-05+0.0013692i,0.0006203+0.0011009i,0.0007501+0.0010227i,0.00047902+0.0014474i,0.00037632+0.0017794i,-0.00016187+0.00081748i,-0.00042696-0.0001207i,-0.0006759+0.00020934i,-0.00087233+0.00047894i,-0.00040463+0.00046297i,5.9984e-05-0.00021433i,0.00037459-0.00060976i,0.00028279+0.00013226i,0.00013037+0.00021699i,-4.3181e-05-0.00027484i,-0.00060466+0.00036416i,-0.00056302+0.00058597i
0.0015754-0.00036558i,0.00049422-0.00058122i,-0.00036696-0.00029749i,-0.00055103-0.00011229i,-0.0004105+0.00030524i,3.3286e-05-4.0525e-05i,-0.00021323-0.00071212i,5.3796e-05-0.0010658i,0.00010043-0.00085476i,8.9354e-06-0.00027202i,0.00034702+2.8889e-05i,6.9573e-05-0.00023088i,-0.00051172-0.00030059i,-0.00047719+0.00026796i,-8.1062e-05+0.00040493i,-0.00025719+0.00059346i,-0.00045939+0.001383i,-0.00043761+0.0010845i,-0.00054309-1.9748e-05i,-0.0014329-0.0003098i,-0.0013709+0.00014281i,0.00052964+0.00045011i,0.001246+0.00026913i
0.0016103+0.00014994i,0.0025336-0.00038144i,0.002236-0.00017389i,0.0018648+5.7391e-05i,0.0015133-0.00083862i,0.0002993-0.0011375i,-0.00024668+0.00064853i,0.00023483+0.0014195i,0.00051177+0.0011748i,0.00090684+0.00037702i,0.00066684-0.00021415i,8.2912e-05-0.00046876i,-0.00022741-0.00039222i,-0.00034256-9.8504e-05i,5.0586e-05+9.5623e-05i,0.00059384-0.00018909i,-2.611e-06-0.00060993i,-0.00075266-0.00025623i,-0.00035627+0.00049425i,0.00094866+0.00042227i,0.001105-7.8599e-05i,-3.258e-05-4.3757e-05i,-9.6096e-05-0.00042456i
0.0025109+6.8478e-05i,0.0018961+0.0014519i,-0.00017565+0.0014799i,-0.00036276+0.0013564i,0.00040727+0.0013254i,-0.00015529+0.00075098i,-0.00088293+0.0012499i,-9.1438e-05+0.0012934i,0.0012844+0.00094998i,0.00076074+0.00042891i,-0.00036579-0.00037827i,-0.00015788-0.0011046i,-3.6584e-06-0.00035414i,-0.0002691-0.00010281i,-0.00045005-0.00087098i,-0.00042124+0.00018183i,0.00012493+0.0012853i,0.00031221+0.00074354i,0.00034694-0.00025555i,0.00071553-0.00027378i,0.00078041+8.9271e-05i,0.00033181+0.00046295i,-0.00029353+0.00030783i
0.0013888-0.00038428i,0.00026569-0.00073655i,-2.3598e-05-0.0012806i,0.000208-0.00095633i,0.00072465-0.00015085i,0.00061035+0.00028726i,-5.5367e-05+0.00063817i,4.9377e-05+0.00035136i,0.00025927+0.00024186i,0.00030202+0.00034721i,-0.00041196+0.00083147i,-0.0011816+0.00071583i,-0.000803+0.00035401i,0.00011422+0.00045164i,0.00088374+8.413e-05i,0.0011129-0.00032693i,0.00077076-0.00029375i,0.00010683+0.00033134i,-0.00010777+0.0005169i,0.00011301+0.00011312i,0.0001287-0.00041487i,0.0003152-0.00057886i,0.00050461-8.5695e-05i
0.0016297+0.00068523i,0.0018868+0.00065547i,0.0012487+0.00078777i,-3.5475e-05+0.00071249i,-0.00032895+0.00039812i,-0.00039862+0.00043447i,-0.0005833+0.0013642i,-0.00085383+0.0014674i,-0.00063174+0.0015021i,0.0002808+0.0010681i,0.00052621+0.00050943i,1.1096e-05+0.00082517i,-0.00051999+0.00095816i,-0.00036666+0.00057278i,0.00043018+0.00028073i,0.000537+0.00067266i,0.00015737+0.00084319i,-7.1948e-05+0.00065007i,-0.00072535+0.00031776i,-0.00033755+1.8201e-06i,0.00025339+0.00036825i,-0.00013529+0.0007131i,0.00014053+5.1621e-05i
0.0003339-0.00014779i,0.00098342-3.1768e-05i,-6.2806e-05+0.00050097i,-0.00017851+0.0014446i,0.0008715+0.0019132i,0.00093869+0.00096192i,0.00031991+0.00075979i,-1.6143e-06+0.0012796i,0.00023945+0.001092i,0.00066153+0.00036701i,0.00028703-0.00013224i,-0.00014154-0.00041932i,-6.2798e-05+0.00014351i,-0.00046136+0.00033449i,-0.00078003+0.00058062i,5.8838e-05+0.0015804i,0.00073914+0.0017724i,0.00039915+0.0013807i,0.00012626+0.0009631i,-0.00030973+0.00077859i,-0.00086478+0.00048388i,-0.00056675-0.0003373i,0.00043634-0.00074285i
0.00025718-0.0014637i,-0.00056914-0.0018397i,-0.0010733-0.001901i,-0.00029441-0.0004924i,-0.00018634+0.00045272i,-0.00066253+0.00092138i,-0.0004824+0.0010625i,5.6473e-05+0.0008191i,-0.00040001+0.00081435i,-0.00057217+0.00042118i,-0.00051086-0.00018167i,-0.00046377-0.00072047i,0.00028456-0.00060589i,0.0007899+0.0002139i,0.00027784+0.00012753i,-0.00024597-0.00059817i,-0.00016792-0.00067487i,-0.00044732+8.847e-05i,-0.00055294+0.0002219i,2.6371e-05-3.2623e-06i,0.00032592+9.2889e-05i,0.00033495+5.4139e-05i,0.00033999+3.1992e-05i
