-0.0053986+0.0011237i,-0.003724+0.0021566i,-0.0031412+0.0036898i,-0.0019276+0.0048016i,0.00072536+0.0041613i,0.002433+0.0026599i,0.0014305+0.0010306i,7.3538e-06+0.00071986i,0.000105+0.0012865i,0.001099+0.00066637i,0.0013005-0.00084742i,0.00047638-0.0018984i,0.00046064-0.0025544i,-0.00018886-0.0023058i,-0.0011886-0.0013332i,-0.00086377-0.00065249i,-0.0002778-0.00012848i,0.00025469+8.6792e-05i,0.00062842-0.00035095i,0.00046481-0.00089058i,0.00047553-0.0014528i,0.00071636-0.0010591i,0.0002778-2.3403e-05i
0.00073513-8.3333e-05i,0.0013946-0.00053282i,0.0014219-0.0011563i,0.0016867-0.0013303i,0.0018019-0.0014862i,0.00081598-0.0011092i,0.00064999-0.00068185i,0.0011524-0.00094382i,0.0011254-0.00047394i,0.0005811-0.00012538i,0.00025832-0.00065657i,6.1083e-05-0.00056605i,-0.00046402-1.0625e-06i,-0.00030521+0.00013372i,-0.00021079+0.00049421i,6.5085e-05+0.00072757i,0.00019264+0.00022702i,-5.6993e-05-0.00024023i,-0.00015053-0.00012636i,0.00053677+0.00094969i,0.00074407+0.00079339i,-0.00040557+0.00026882i,-0.00082145+0.00028155i
0.00012512+0.00010439i,0.00058767+0.00048567i,0.00098748+0.00075708i,0.0014316+0.0011256i,0.0017796+0.0014395i,0.0024598+0.00095967i,0.0017412-0.00067181i,0.00076527-0.0018518i,0.0005695-0.0010871i,-4.3483e-05+9.7731e-05i,-0.00023247+0.00060443i,-0.00053157+0.000783i,-0.00098962+0.00017908i,-0.00087468+0.00022622i,-0.00079153+0.00051767i,-0.00043212+8.326e-05i,-0.0002188-0.0002067i,-0.00054105-0.00039255i,7.0738e-05-0.00032361i,0.00080522-0.00076278i,-7.2066e-05-0.00037604i,-0.00085886+0.00076021i,-0.0010181+0.00016359i
0.0010376+0.00049639i,0.00083579-0.00093015i,0.00025424-0.0024698i,-0.00016433-0.0017i,0.00028577-0.00052954i,0.00078333-0.00015383i,0.00046343+7.9197e-05i,0.0005973+0.0004211i,0.00048648+0.0005908i,-3.6801e-05+0.00042438i,-3.5069e-05-9.2339e-05i,0.00024306-0.00014197i,0.00030221+0.00064793i,0.00019699+0.00062495i,0.00023221+0.00079321i,0.00027316+0.0012368i,0.00051101+0.0012456i,0.00063465+0.0015361i,0.00081694+0.00080523i,0.00082274+0.00057167i,0.00096731+0.00034847i,0.0011068-0.00028591i,0.00055522-0.0001131i
-0.0005552-6.6159e-05i,0.00038479+0.00023522i,0.00053597-0.00036688i,-0.00060676-0.00039885i,-0.0010842+0.00057578i,0.00012445+0.001054i,0.0012633+9.169e-05i,0.00088476-0.00044103i,0.00057436-0.00028317i,0.00056602-0.00036015i,6.6156e-05-0.00041324i,-0.00017048-0.00029662i,0.00021851-0.00019358i,0.00049591+8.0928e-05i,0.0010786+0.00091009i,0.00098566+0.00068616i,0.00012201-0.00021232i,-0.0007626-0.00052969i,-0.0011788+0.00017963i,-0.0011125+0.00014316i,5.8801e-05-0.00047634i,0.0011973+0.00025965i,0.0015027+0.00062079i
-0.00072749-0.0021348i,-0.0011496-0.0024818i,-0.0010799-0.00076126i,-6.8928e-05+0.00081599i,0.0016005+0.0010081i,0.0029124-0.0001419i,0.0028074-0.0010952i,0.0016522-0.0009762i,0.0006732-0.00020142i,0.0001168+6.2237e-05i,0.00035751-0.00039019i,0.00059548-0.00062471i,0.00035362-0.00030142i,0.00032918-0.00028007i,0.00038585+2.2552e-05i,7.6869e-05+0.00051719i,-5.4063e-05+0.00059281i,6.5007e-05+0.00051929i,0.0001754+0.00094989i,-0.00046482+0.0014633i,-0.00080242+0.00055556i,-0.00059596-0.0005437i,-0.00064717-0.00025379i
-0.00019443+0.0018785i,0.0004122+0.002245i,0.0010531+0.0018162i,0.00068788+0.0012761i,0.00082496+0.00068823i,0.00050424+0.00020662i,-0.00030476-0.00081304i,-0.00050724-0.0011053i,-0.0003615-0.00037405i,-0.00047175+0.00028513i,-0.00022569-0.00041928i,-3.1085e-05-0.0011747i,0.00024273-0.001388i,0.0012363-0.00074278i,0.0016257-0.00020746i,0.0012846-0.00040083i,0.0010556+7.4704e-06i,0.00094494+0.00079165i,0.00055467+0.00032342i,0.00072365-0.00010174i,0.00071803+9.8669e-05i,0.00027574-0.00017741i,0.00041673+0.0001867i
-0.00021933-8.1337e-05i,0.00065534+0.00010675i,0.00086864-0.00052629i,0.00012324-0.00076939i,9.9984e-05-0.00062866i,0.00054022-0.00045407i,0.00069083-9.0884e-05i,0.00055887-0.00056987i,0.00015687-0.0010302i,1.1131e-05-0.00080546i,-6.0975e-05-0.00042998i,-5.1697e-05-1.6806e-05i,-0.00010741+0.0002125i,-0.00017932+0.00013232i,-0.00014525-0.00063835i,-0.00013141-0.00083132i,0.00019834+2.2014e-06i,0.00035562+0.00075269i,8.0374e-05+0.00056463i,-0.00058995+0.00013884i,-0.0004422-0.00059488i,0.00037698-0.00081756i,0.00021866+0.00022229i
0.0011054-0.0012594i,-0.00061379-0.0010171i,-0.0023119-0.00020683i,-0.0023528+0.0006088i,-0.0010369+0.0012531i,3.5326e-05+0.0015012i,0.0009261+0.00068562i,0.0011462-0.00043008i,0.0010455-0.00042577i,0.0014004-0.00054758i,0.00097021-0.00077654i,2.4862e-05-0.00047798i,-0.0002845-6.6302e-05i,0.00013202-0.00021321i,0.00015324-0.0010819i,-0.00015654-0.0008474i,-0.00037061-0.00052323i,-0.00012416-0.00048204i,5.4687e-06+1.7498e-05i,-0.00012796+1.2865e-06i,-0.00032359+0.00033057i,-0.00023156+0.0001513i,0.00056336-0.00086686i
0.00088763-0.0019693i,0.00068258-0.001183i,-0.00037011+0.00021058i,-0.0016604+0.0013381i,-0.001162+0.0016285i,4.1885e-05+0.0013496i,5.1383e-05+0.00045146i,0.00031446-0.00083946i,0.0006364-0.0011644i,-4.3036e-06-0.00094582i,0.00034588-0.00039995i,0.0012578-0.00021151i,0.0011287-0.00026684i,0.00055498-2.7154e-05i,0.00033437+4.0163e-05i,-0.00067833-1.2096e-05i,-0.0013734-0.00041985i,-0.00091515+7.678e-05i,3.0965e-05+0.00053252i,0.0010601+0.00021507i,0.00061066+1.4885e-05i,-0.00018404+0.00019332i,-0.00022771+0.00034585i
-0.0023747+0.001335i,-0.0018031+0.0014191i,-0.00097735+0.00088995i,-4.3831e-05+0.0012498i,0.00058608+0.00072013i,0.00080017-0.00075406i,0.00098491-0.0014614i,0.00042048-0.0007954i,-5.2061e-05-7.9499e-06i,0.00034827+0.00030717i,0.00091583+0.00020399i,0.00084632-0.00049879i,0.00032682-0.00084374i,-0.00036714-0.00014869i,-0.00056771+0.0010237i,-0.00092598+0.0010723i,-0.00089009+4.1313e-05i,-2.4366e-05-0.00015483i,0.00057199-3.4018e-05i,-0.00016635-2.7147e-05i,-0.00025216+0.00019759i,-8.8956e-05+0.00047556i,-0.00086224+7.1071e-06i
-0.00060432+0.0005145i,0.00078212+0.00026655i,0.0010003+0.00017919i,0.00052648+0.00017589i,0.00022916-0.00028276i,0.00036845-0.00041861i,0.00079275-0.00071188i,0.00076214-0.0008653i,0.00015678-0.00078346i,9.7743e-05-0.00086479i,0.00099914-0.00066987i,0.00090469-0.00055691i,0.0004333-0.0001867i,0.00045346+0.00026005i,0.00087519+0.00046314i,0.00033429+0.00083277i,0.00011566+0.00043156i,0.00034662+0.00023661i,0.00041621+0.0010292i,4.6343e-05+0.0012974i,-0.00046304+0.00035901i,-0.00019904+6.8745e-05i,0.00075433+0.00056857i
-0.0010474+0.00054959i,0.00024364+0.00062273i,0.00016055+0.0016379i,0.00085317+0.0020856i,0.0019706+0.001547i,0.0021566+0.0009062i,0.0015601+0.00012369i,0.00066881-0.00024626i,5.1821e-05+0.00029965i,-8.4185e-05-0.00036434i,-0.00022555-0.0016717i,-0.00070839-0.0015299i,1.7788e-05-0.00098232i,0.0007553-0.00064331i,0.00025645+0.00021312i,-0.0005994+0.00069948i,-0.00018108+5.8564e-05i,0.0009643-0.00032344i,0.0010065-0.00017104i,0.0002601-0.00038961i,-0.00029408-0.00079841i,-0.00044454-0.00021001i,-0.00050575+0.00098199i
0.0017314+0.00084848i,0.0013509-0.00079212i,0.00087-0.0015237i,0.00063569-0.0010445i,0.00086848-0.00060149i,-0.00030461-0.00045396i,-0.00046105-0.00037749i,0.0003391-0.0004861i,0.00068448-0.00051931i,0.00081363-0.00013241i,0.00056382-3.2274e-05i,0.00016391-0.00012224i,0.0002691-0.00055151i,0.00018475-0.00053122i,0.00031034+0.00027128i,0.00040712+0.00076643i,0.00065585+0.00065935i,0.0011839+0.00085238i,0.00031378+0.00069688i,-0.00043571+0.00049292i,-0.00033468+0.00027585i,-0.00011057+7.4527e-05i,0.00010659-7.2858e-05i
-0.002267-0.0010736i,-0.0017286+0.00054284i,-0.0019437+0.0012922i,-0.0010238+0.0010954i,6.0111e-05+0.0010912i,0.0009336+0.0005305i,0.001449+0.00011844i,0.0012735-0.00015451i,0.00044792-0.00027927i,0.00051829+9.815e-05i,0.0011914-0.00019761i,0.00068713-0.00050673i,7.2984e-05-0.0013515i,0.00037555-0.0018472i,0.0012363-0.00083726i,0.000693-0.0001552i,-0.00014397-2.5726e-05i,-9.6332e-05-7.5755e-05i,-5.2486e-05-0.00076474i,-0.00017422-0.0013628i,0.00075866-0.0012283i,0.00074412-0.0011049i,0.00018507-0.00067666i
-0.0016431-0.00092714i,-0.0016933+0.0003705i,-0.0011249+0.00024608i,-1.0974e-05+0.00097556i,0.0014604+0.0018459i,0.0021021+0.0012606i,0.0023438-0.00019546i,0.0021053-0.00078786i,0.00051748-0.00074857i,-0.00027672-0.00069549i,-0.0003091-0.00052772i,-4.3173e-05-0.00085736i,0.00046292-1.1602e-05i,0.00038967+0.00096103i,-0.00017035+0.0008879i,-0.00011219+0.00067432i,-0.00026281+0.00016749i,-0.00046159-0.0002568i,3.7983e-05-9.571e-06i,2.5994e-05+0.00012886i,-0.00036986-8.1326e-06i,-0.00067757+9.2248e-05i,-0.00087954+0.00011864i
0.0002637+0.001674i,0.00053171+0.0018932i,0.0013085+0.0021506i,0.0016667+0.0024536i,0.0006836+0.0016027i,0.00040513+0.00071519i,0.00081962+4.3758e-05i,0.00060784-0.0010326i,0.00052287-0.00073716i,0.00049107-7.1378e-05i,0.00019989+5.7717e-05i,-0.00031593+0.00060329i,-0.00038071+0.00091329i,-0.00021568+0.00078192i,0.0003972+0.00015442i,0.0011421-0.00020276i,0.00092719+0.00025482i,0.00027903+0.0003723i,-6.7987e-05+5.2633e-05i,0.00023565-3.5602e-06i,0.00014152+9.1788e-05i,-0.00043083-0.00017249i,1.8325e-05-0.00015008i
0.00094432-0.00094159i,0.001009-0.0016891i,0.0012283-0.0026428i,0.0010403-0.0020665i,0.0012021-0.00070753i,0.0007614-0.00051721i,0.00046577-0.00054593i,0.00070746-0.00057924i,0.00056867-0.00064298i,0.00068908-0.00052278i,0.00055315-0.00045164i,0.00029592-0.00019812i,0.00026741+0.00058362i,0.00040392+0.0012963i,0.00053676+0.0015947i,0.00048035+0.0011213i,0.00040221+0.00039013i,7.8242e-05+7.1407e-05i,-7.2708e-05+8.0134e-05i,-8.3922e-05+0.00058231i,-0.00066226+0.00060508i,-0.001414+7.8045e-05i,-0.0010864+0.00011103i
0.00087162-0.00079685i,-4.0606e-05-0.00085268i,-0.00016035-0.00042877i,0.00085223-4.677e-05i,0.001036+0.00025698i,0.00090054+0.00064059i,0.00077541+0.00045857i,0.00045598-0.00011598i,0.00052894-0.00016368i,0.00078514+3.2291e-05i,-0.00022341-0.00027953i,-0.0010689-0.0010219i,-7.5862e-05-0.0010101i,0.00053968-0.00076683i,0.00049468-0.00052036i,0.00027747-0.00059025i,0.00041316-1.3107e-05i,0.00069399+0.0010986i,0.0003311+0.00039985i,0.00056066-0.00026023i,0.00020233+0.000295i,-0.00048668+3.8072e-05i,-4.5876e-05-0.00020141i
0.00062747+0.00032759i,0.00068915-0.00072407i,-0.0001934-0.00015938i,7.3015e-05+0.000391i,0.00073542+0.00047008i,0.0010322-0.00031519i,0.00078643-0.0012378i,0.00025639-0.0015444i,0.00022186-0.00093668i,0.00031551-6.7278e-05i,0.00027619-0.00082362i,1.8044e-05-0.0016257i,0.00014032-0.0014966i,0.0010445-0.00094404i,0.0014102-7.0981e-05i,0.00069686+0.00010993i,0.00013453+0.00023264i,0.00024413+0.00037732i,0.00066161+0.00021334i,0.00023882+0.0001422i,-0.00050473+0.00017122i,-0.00058737+2.0742e-05i,-0.00072522-0.0010176i
-0.00046593-0.0017067i,-0.0015456-0.0017248i,-0.0022107-0.00088755i,-0.00056596+5.6478e-05i,0.00046351+0.00081693i,0.00040381+0.00062595i,0.0010911-5.6497e-05i,0.0013897-0.00056916i,0.00073283-0.0004498i,0.00090724+0.00041594i,0.00061509-1.9205e-05i,-0.0005059-0.0010888i,-0.00046583-0.00064549i,-2.2891e-06-0.00045316i,2.1124e-05-0.00067392i,0.00010999-0.00046844i,0.00047067-0.00084806i,0.00056855-0.00085308i,0.00067864-0.00047719i,0.00044941-0.00059553i,9.5473e-05-0.00038466i,-0.00026481+0.00014492i,-0.00041427+0.0001294i
0.00045249-0.001034i,0.0008083-0.00090763i,4.6188e-05-0.0012444i,-0.00082812+0.00032785i,-0.00087027+0.0013536i,9.364e-05+0.0014011i,0.0012669+0.00071437i,0.0014618-0.00083009i,-4.6697e-06-0.00085793i,-0.0005767-0.00059198i,0.00011522-0.00015172i,0.00026409-2.8854e-05i,0.0001876-0.00017739i,0.00021544-0.00070318i,-0.00019325-0.001179i,-9.5785e-05-0.00028667i,0.0005299+0.00042317i,0.00064335-0.0001756i,0.0004613-0.00060711i,0.00027576-0.00016371i,0.00010008+2.5202e-05i,-3.3559e-05-0.00044758i,-0.00012054-0.00058855i
-7.2272e-05+0.0025007i,0.0016498+0.0017037i,0.0035189+0.0012215i,0.0033146+0.00031258i,0.0026548-0.000158i,0.0015383+6.1764e-05i,0.00086397-3.0715e-05i,0.00050586-0.00012062i,0.00050359-0.00054558i,0.00068451-0.00083762i,0.0005144-0.00072074i,-0.00012249-0.00084002i,-0.00062485-0.00019004i,-0.00064019+0.0011902i,-0.00011033+0.0014673i,0.00014558+0.0012346i,-0.00018555+0.00048143i,-0.00071467-0.00060864i,-0.00079771+0.00010772i,-0.00077696+0.00080476i,-3.273e-05-0.00032941i,0.00085484-0.00079303i,0.00089056-0.00091296i
0.00066627+0.0012964i,0.00063816+0.001558i,-9.9594e-05+0.0023878i,-0.00013567+0.0018466i,0.00037387+0.0010452i,0.0010328+6.1432e-06i,0.0015601-0.00058878i,0.0014861-0.00021274i,0.0015731-0.00023425i,0.0015989-0.00035192i,0.0010067+7.6752e-05i,0.00059634-5.5084e-05i,0.00076523-0.00047048i,0.00042173-0.00031712i,-0.00035835-6.2847e-05i,-0.00077331-0.00043655i,-0.00056504-0.00025172i,-0.0001886+0.00073609i,-0.00028029+0.00085489i,-0.00054056-0.00032789i,-0.00054956-0.00076831i,-0.00055154+4.2777e-05i,-0.00016265+0.00024736i
0.0020125+0.0010633i,0.0017106-0.0009523i,0.0023996-0.0025366i,0.0021718-0.0012716i,0.00046092-0.00043991i,8.4688e-05-0.00078046i,0.00091955-0.001271i,0.0013572-0.00088901i,0.00074746+0.00012413i,0.00097034+0.00077896i,0.00056887+0.00069576i,0.00066662+8.9678e-05i,0.0011704+0.00030521i,0.00082005+0.00044624i,0.00023142+0.00025733i,-0.00026835+0.00098014i,-0.00036095+0.0011117i,-0.00053269+0.00023774i,-0.00061241-0.00028991i,0.00011657-0.00022708i,0.00034057+8.5492e-05i,-0.00028332+0.00011505i,-0.00024631-0.00021254i
-0.00024397+0.00090996i,0.00080559+0.00020622i,0.0017464-7.02e-05i,0.0010546+0.00035399i,0.00095627+0.00057811i,0.0019684+0.0003234i,0.0017742-0.0004252i,0.0011438-0.00087618i,0.0010449+0.00012313i,0.00067981-0.00025844i,0.00015151-0.0010517i,0.00082999-0.00089739i,0.0020459-0.00035431i,0.0015637-9.1717e-05i,0.00092731-0.00022184i,0.0012987-0.00010963i,0.0010453-0.0004025i,0.00022122-0.00085524i,-0.00053582-0.00019798i,-0.00088955+0.00075389i,-0.00058068+0.0011011i,-0.00027211+0.00050226i,-0.0001981+0.00041595i
-0.0022897-0.0011155i,-0.00073762-0.00056869i,-0.0010842+0.00039845i,-0.0011782+0.0010353i,-0.0008848+0.0014104i,0.00042338+0.0005484i,0.00095627-0.00060413i,-0.00054152-0.00095936i,-0.001022-0.00079112i,-0.00019065-0.00061287i,0.00035345-0.00067951i,0.0005524-0.00071453i,0.00068313-0.0010105i,0.00028954-0.0010401i,-0.0002189-0.00028487i,-6.3397e-05+0.00042781i,0.00041965+0.00078174i,0.00030791-0.00011274i,-6.8992e-05-0.00067653i,-9.4673e-05-0.00046989i,0.0001701-0.00043071i,0.00033274-8.7918e-05i,-0.00023016+0.00012791i
-0.0025195-0.00057664i,-0.0030304-0.00022872i,-0.0028192+0.00046813i,-0.001283+0.0012568i,-7.2455e-05+0.0015896i,0.00081692+0.0013965i,0.0011512+0.00011458i,0.00067964-0.00073588i,0.00065012-0.00026535i,0.0013346+0.00026349i,0.0013083-1.1989e-05i,0.00092087-0.00056246i,0.00057194-0.00019368i,-0.00020268-0.00037055i,0.00013105-0.00011007i,0.00042564+0.00055421i,0.00061087+0.00035478i,0.00011906+0.00025446i,-0.00023498+0.00032582i,0.00024833-5.2606e-05i,0.0001753+0.00010884i,-0.00030178+0.00037738i,-0.00092359+0.00036682i
0.00016151+0.00092385i,0.0023991+0.0012612i,0.0033521+0.0011308i,0.0021159+0.00048183i,0.0013218+0.00017672i,0.0012281-0.00093684i,0.0014681-0.0014987i,0.0016981-0.00068905i,0.0010581+0.00018699i,0.00021364-0.0006504i,0.00042479-0.0010321i,0.000656-0.00053494i,0.00042568-0.00032459i,9.6173e-05+8.8186e-05i,0.00013411+0.00010352i,0.00056421+0.00034105i,0.00040408+0.00029636i,1.7753e-05-5.8519e-05i,0.00019027+0.00025918i,0.00026956+0.00058256i,7.0922e-05-4.7326e-05i,7.1557e-05-0.0007447i,3.1783e-05-0.00045149i
-0.00054399-0.00087095i,-0.000958-5.8347e-05i,-0.00062776+0.00019005i,-2.8275e-06+0.00033787i,0.00071533+0.00032729i,0.001227+4.7535e-05i,0.00097379-0.0001298i,0.0012415-0.00029212i,0.001472+0.00026142i,0.00042205+0.00041311i,-9.6024e-05-0.00033351i,0.00020111-0.0002592i,0.00050512+0.00063728i,-0.00043722+0.00097617i,-0.0013058+0.00092219i,-0.00088414+0.00080083i,-0.0010288+0.00049971i,-0.0013809+0.00043942i,-0.00069247+0.00072936i,1.7478e-05+0.00084758i,0.00017778+0.000382i,0.00063576+0.00043321i,0.00052807+0.0006692i
0.00022089+0.0002729i,0.00038141-0.00051098i,0.00078509-0.00085083i,0.00072106-0.0010649i,0.00064767-0.0013138i,0.00046892-0.0010264i,0.00059311-0.00098904i,0.00086844-0.0012462i,0.00034485-0.0015029i,0.00021984-0.0015439i,0.00059592-0.0010823i,0.00057845-0.00032322i,0.00018334+0.00037112i,-7.9667e-05+0.00088651i,0.00078466+0.00074919i,0.0012393+9.2693e-05i,0.00051263-0.00071441i,0.00038244-0.0011015i,0.00041839-0.00077513i,0.00044812+2.3582e-05i,0.00070908+0.00035287i,0.00065182+0.00024519i,8.6214e-05+0.00066159i
0.00075524+0.0013629i,0.0015872+0.0011621i,0.0025554+0.00077898i,0.0025733+0.00068154i,0.0016166+0.00045742i,0.0012261-0.00012011i,0.0016066-0.00039539i,0.0017037-0.00076177i,0.0012628-0.00065638i,0.0011004-0.00066309i,0.0013564-0.00094605i,0.0011969-0.0015401i,0.00070278-0.0012707i,0.00044829-0.00042886i,0.00076122-0.00015342i,0.0014028-0.00016355i,0.00075463+0.00042251i,-0.00030645+0.00043822i,-0.00052692-7.7023e-05i,-0.00038452-2.5051e-05i,-0.00067826+0.00057889i,-0.0010037+0.00052877i,-0.0011442+0.00051774i
-0.00043683-0.0029362i,-0.0017423-0.0022883i,-0.0025995-0.0018294i,-0.0030424-0.0010643i,-0.0022329-0.00051026i,-0.0010231+0.00036741i,0.00059701+0.00053864i,0.0012055+0.00016884i,0.00026959-0.0003224i,-0.00042891-0.00067373i,-0.00046346-0.00027303i,0.00019832-0.00011563i,0.0012883+0.00014355i,0.0019972-3.6977e-05i,0.0013673-0.00012712i,0.00018459+0.00011882i,0.00051024-2.2634e-05i,0.00073011+0.00021397i,0.00016486+0.00026988i,0.00015901-0.0002627i,0.00046407-0.00031483i,0.00063522+6.0178e-05i,0.00085807+3.9177e-05i
-0.00094717-0.00044291i,-0.00097444-0.001467i,-2.2221e-05-0.0011249i,0.0012039+0.00035694i,0.0011904+0.0010855i,0.0017149+0.00032106i,0.0023116-0.0010146i,0.0011739-0.0015616i,-0.0003082-0.00089809i,0.00029793-0.00023069i,0.00049401-0.00049195i,-0.00080533-0.00080337i,-0.00068156-0.00087836i,-0.00010586-0.0010064i,2.6537e-05-0.00074229i,6.7719e-05-0.00074051i,0.00022618-0.00075267i,0.0012427+3.2993e-06i,0.0011444+0.00067543i,0.00076782+0.00092679i,0.00053981+0.00072849i,0.00049632+0.00047577i,0.000125-6.0054e-06i
-5.3039e-05-0.00034341i,0.00058827+0.00026546i,0.0008676+0.00044846i,0.00098982-7.8359e-05i,0.00096025+1.5542e-05i,0.0014945+0.00025181i,0.002572-0.00048844i,0.0018193-0.0017047i,-0.00053353-0.0017559i,-0.00088021-0.00096531i,0.00010529-0.00023318i,-0.00027969-0.0006462i,-0.00047409-0.0015641i,-0.00015761-0.0010613i,-0.00053347+0.00033946i,-0.00061446+0.0009192i,-0.00025694+0.0010705i,0.00018358+0.0014423i,0.00012902+0.0014602i,-0.00023456+0.00063311i,0.00014412-0.00014055i,0.000539+0.00058291i,0.00033536+0.00069944i
0.0003286-5.2761e-05i,-0.00030112-0.00050701i,-0.00042636-0.00090598i,0.00048934-0.00047887i,0.00085176+0.00061409i,0.0015618+0.0010555i,0.0017717-0.00024197i,0.0013329-0.00076326i,0.00092423-0.00057608i,0.00089513-0.0015434i,0.00078898-0.0012487i,3.712e-05+0.00010752i,-0.0004845+0.00065529i,-1.8188e-05+0.00031258i,0.00029613-4.0043e-05i,0.00018712-0.00033192i,-0.00017403-4.2676e-05i,-0.00078355+0.00028487i,-0.00023808+0.00046424i,0.00026577+0.00075519i,-0.00016594+0.00042772i,-0.00027516-0.00030915i,-0.00017768-0.0005765i
0.0010909+0.00078813i,0.00054557+0.00030037i,0.0011276-0.00080044i,0.002365-0.00040827i,0.0028853+0.00071061i,0.0027902+0.00035322i,0.0026067-0.0007322i,0.0020733-0.00094043i,0.0015607-0.00093665i,0.0014238-0.00067425i,0.0010284-0.00026144i,0.0008882-8.477e-05i,0.00078847+8.5883e-05i,0.00021091+0.00027436i,0.00067425+0.00032769i,0.00075564-0.00017657i,-9.3826e-05-0.00084342i,-0.00068101-4.9874e-05i,-0.00064786+0.0007509i,-0.00013912+0.00010086i,-0.00039574-0.0010553i,-0.00074532-0.00082333i,-0.00014398-0.00047425i
0.00088789+0.00065789i,0.00094625+0.0003672i,0.00082583+0.00082638i,0.0012473+0.00069222i,0.0012678+0.00011869i,0.00083356-0.00084804i,6.3981e-05-0.00098344i,-0.0006048-0.0011048i,-0.00055007-0.0011077i,0.00049604-0.00088231i,0.00097793-0.0010759i,0.0013969-0.00074469i,0.0012662-4.8084e-05i,0.00063169+0.00097648i,0.00052888+0.0010752i,0.00079046+0.00027837i,0.0012372+8.5855e-05i,0.00081629+0.00058332i,0.0012618+0.0011449i,0.0016506+0.0013365i,0.0011363+0.00096488i,0.00083123+0.00087553i,0.00027982+0.00051327i
-0.00073268+0.0010765i,-0.00043248+0.0015466i,0.00090669+0.0012254i,0.0012267+0.00037218i,0.0012095+7.5586e-05i,0.0017013-3.4864e-05i,0.0015234-0.00023144i,0.00074593-3.6573e-05i,0.00048854-1.0187e-05i,0.00097938+0.00029501i,0.00091482+0.00082035i,0.00025193+0.00051949i,3.6321e-05-0.00048307i,-2.0821e-05-5.6356e-05i,-0.00071306+0.0010364i,-0.0010818+0.0015216i,-0.00026538+0.0011268i,-0.00013906+0.00024699i,-0.00031696-2.4494e-05i,2.621e-05+0.00011973i,0.00042245+0.00013865i,0.00029814+0.00033368i,0.00040406+0.00032944i
0.0012418-0.0010114i,0.00082228-0.0014612i,0.00029041-0.0028724i,-0.00037373-0.0023568i,-0.00019841-0.00020249i,0.00087905+0.00058988i,0.0012761+0.00045343i,0.0012351+8.317e-05i,0.0012387-0.00041244i,0.0010477-0.0011821i,0.00053618-0.0011628i,-0.00038033-0.00032578i,-0.00059828+0.00021507i,-0.00019427+0.00035147i,-0.00014534-0.00024844i,7.4918e-05-0.00031222i,0.00047896+0.00069486i,5.5916e-05+0.00096607i,0.00030337+0.00084968i,0.00081068+0.0010907i,0.00079621+0.00071413i,0.00051852-2.8779e-05i,1.6514e-05-0.0001563i
0.00081548-0.00069228i,-6.1306e-05+0.00019187i,-0.0010352+0.00055421i,-0.00081851+0.00099447i,-0.00065212+0.0012414i,0.00037391+0.0015267i,0.0023117+0.00070298i,0.0021083-0.00066717i,0.00076003-0.00085832i,0.00047868-0.00028153i,0.00028476+0.00037659i,0.00012458+0.00040705i,0.0003375-0.00029711i,-0.00011896-0.00040902i,-0.00070545-0.00023439i,-0.00019301+2.4815e-05i,-6.3785e-05+0.00071193i,0.00013919+0.00031666i,0.00019573-0.00052211i,-0.00014844-0.00059563i,-0.00086985-0.00086592i,-0.0014693-0.00072856i,-0.00089194+0.00011669i
0.00061189+0.0011214i,0.0010727+0.00086345i,0.0011223+6.7772e-05i,0.0013155-0.00082745i,0.0019274-0.0016669i,0.0017584-0.0014408i,0.00090279-0.0013335i,0.00075851-0.0011626i,0.00040354-0.00036481i,0.00058924-0.00011921i,0.00031257-0.0005888i,-0.00074441-0.0013097i,-0.0010176-0.0011549i,-0.00083449-6.2993e-05i,-8.6938e-05+0.00043005i,0.00084307+1.6168e-05i,0.0013417-0.0005648i,0.0013103-0.00081131i,0.0010237-0.00086215i,0.00065422-0.00079909i,0.00046162-0.00050707i,0.00070243-0.00010599i,0.00022967+0.00033644i
9.3674e-05-0.00023111i,-7.4465e-05-0.0011781i,0.00042764-0.0011397i,-3.7186e-05-0.00068383i,-0.00087388-0.00072916i,2.597e-05-0.00032877i,0.0010387-3.1144e-05i,0.00062359-0.00061605i,0.00037715-0.00051338i,0.00018014-0.00047287i,0.00013583-0.0006904i,-0.00063007+0.0004758i,-0.001503+0.00092429i,-0.00083903+9.0406e-05i,-0.00040108-0.00040371i,-0.00014608-0.00075632i,0.00019671-0.00065333i,4.8767e-05+0.00039496i,0.00012982+0.0012712i,-6.2434e-05+0.0010003i,-2.0936e-05+0.00047289i,-0.00065063+0.00017732i,-0.0010903-0.00024819i
0.00038176-0.0022178i,-0.00060557-0.0013038i,-0.0010565-0.00049971i,-0.00021718+0.00034261i,0.00053521+0.0013446i,0.00084122+0.0013644i,0.0016896+0.00071388i,0.0020319-7.4028e-05i,0.0017177-0.00069906i,0.0013685-0.00092351i,0.0011286-0.00053487i,0.0011564+0.00028402i,0.0011342+0.0013949i,0.00056696+0.0015079i,-0.00022077+0.00087428i,-0.00063859-0.00018747i,-0.00042384-0.00086367i,-0.00026491-0.0010416i,-0.00027579-0.00021556i,0.0005121+0.00044409i,0.00063379+0.00027999i,0.00047719-0.00022988i,3.3906e-05-0.00040487i
