-0.001954+0.0017859i,-0.0031859+0.0024146i,-0.0032862+0.0028141i,-0.0022847+0.0013951i,-0.0021847+0.001093i,-0.0022251+0.0015992i,-0.0012397+0.0015872i,0.00016276+0.001504i,0.00073512+0.00072103i,0.00085895-0.00010661i,0.00091816-0.00018253i,0.00030794+0.00030508i,0.00066565+5.9944e-05i,0.0010062-7.7662e-06i,-0.00017171+0.00022163i,-0.00072176+0.00027865i,-0.00022817-0.00010134i,0.00022304-0.00058418i,0.00045403+0.00027895i,0.00038977+0.00059244i,0.0005978-0.00016712i,0.00043276+4.791e-05i,-0.00034568+0.00026551i
0.0026238+0.0034293i,0.0038877+0.0033252i,0.003901+0.0029512i,0.0016648+0.001254i,-0.00023593-0.00096283i,-0.00036184-0.0018084i,-3.3622e-05-0.0016242i,-4.6629e-05-0.0013214i,-5.7573e-05-0.0010028i,0.00015896-0.00029879i,0.00034649+0.00042674i,0.00035009+0.0008528i,-0.00027987+0.0010836i,-0.0005669+0.0011249i,-0.00039102+0.00030418i,2.0427e-07-0.00028697i,0.00047599+2.2821e-05i,0.00036557-2.6552e-05i,-0.00038312-0.00026425i,-0.00064277-0.00021912i,-0.00037748+0.00052523i,0.00033679+0.0013075i,0.00011703+0.00013049i
-8.2884e-05+0.0025178i,5.5946e-05+0.002287i,-0.00061232+0.0013373i,-0.00024777-1.0951e-05i,0.00058805-0.00058674i,0.00029399-0.00063507i,-9.8295e-05-0.0010098i,6.2105e-05-0.00082655i,0.00054214+0.00025557i,0.00021366+0.00041449i,-0.00014169-0.00019499i,9.2007e-05-0.0013169i,-0.00011578-0.0014911i,-0.00033184-8.7215e-05i,-0.00070067+0.00059767i,-0.00089999-0.00038374i,-0.0008921-0.00072928i,-0.00087132-1.2907e-05i,-0.00050076+0.0002977i,-9.1885e-05+0.00062126i,-0.000248+0.00047583i,-0.00039577-0.00015508i,-0.00023669-0.00014931i
-0.00015745+0.00043442i,-0.00036225+0.00038002i,-0.00077456-0.001013i,-0.00022577-0.001227i,9.8271e-05-0.0011018i,-0.00016969-0.0010726i,-0.00012293-1.3246e-05i,-0.00017585-5.5789e-05i,-0.00017729-0.00054707i,0.00035501-0.00026991i,-2.8248e-06+0.0002582i,-0.00048653+0.0009469i,-6.1919e-05+0.0010887i,0.0002168+0.0012781i,0.00074695+0.00096937i,0.00042328+0.00060809i,-0.00013186+0.00029284i,-0.00010116+0.00054267i,-0.00021559+0.00054771i,0.00010742+0.00089416i,0.00040979+0.00093214i,-9.1779e-05-0.00012609i,-0.00062644-0.00041242i
-0.00044155+0.0028298i,0.0001383+0.0024484i,0.00040776+0.00050174i,0.00010125-0.00090905i,-0.00022258-0.00075569i,0.00044181+9.457e-05i,0.00092141+0.0010438i,0.0004002+0.0010656i,0.00031088+0.00047419i,0.00017219+0.0001135i,0.00018883+8.1038e-05i,0.00092319+0.00040675i,0.00067715+0.0007959i,-0.00016239+0.00024269i,-0.00014713-0.00031994i,0.00027772-0.00050888i,3.4702e-05-0.00025195i,-0.00056292+0.00084039i,-0.0005556+0.0010002i,9.1776e-05+0.00040333i,0.00054734+0.00017793i,0.00055497+0.00039915i,0.00062796+0.00039665i
0.0019699-0.00026509i,0.0019962-0.0014436i,0.0017943-0.0020858i,0.00024641-0.001123i,-0.00048801+1.4859e-05i,-2.3995e-05-0.00016142i,-8.7965e-05-0.00087052i,-0.00080327-0.00083614i,-0.0014799-0.00039279i,-0.0012432-0.00020954i,-0.00070951+5.5956e-05i,0.00017079+0.00047802i,0.00013852+0.00041711i,-0.00094528+0.0006194i,-0.0010418+0.00058412i,-0.00056796+0.00032118i,-0.00082508+0.00069286i,-0.00032535+0.00050026i,0.00032477-0.00020495i,0.00063108+0.00015154i,0.00089066+0.00018863i,0.00049821+0.00025677i,-0.00048524+0.0005057i
0.0010544+0.0021867i,0.0020443+0.0019806i,0.0013878+0.0012816i,0.00094115-0.0011197i,0.00064904-0.0021459i,-0.00082223-0.001659i,-0.0017366-0.00076406i,-0.0011473-0.00040155i,5.9308e-05-0.00090148i,0.00018541-0.00089787i,-0.00030186-0.001348i,-0.00023267-0.0021215i,-0.0011911-0.0015333i,-0.0016528-0.00091644i,-0.00075129-0.00074219i,-0.00046951-0.00051855i,-8.9142e-05-0.00038384i,-0.00017388-0.00025584i,-0.00056265+4.5005e-05i,-0.00073482+0.00035459i,-0.00087695+0.00030156i,-0.00071095+0.00018674i,-0.00017679+0.00030442i
0.0029148+0.0020431i,0.0032783+0.0016663i,0.0017605+0.0001512i,-0.00025462-0.0010683i,-0.00083798-0.0017563i,-0.00085775-0.001761i,-0.00051097-0.00079687i,0.00055285-0.00053933i,0.00076189-0.0006831i,1.9622e-05-0.00054845i,-0.00012003-0.00041994i,-0.00010767+0.00010493i,-0.00065502-6.11e-05i,-0.00018534+7.977e-05i,0.00014681+0.00076116i,0.00043888+0.00085366i,0.00079588+0.0005793i,8.2247e-05+0.00045023i,2.8376e-06+0.00018735i,0.00019377-0.00015708i,-0.00044845-9.9209e-05i,-0.00045127-0.00034252i,-0.00011001-0.00079517i
-0.0025181+0.0022019i,-0.0016324+0.0027757i,-0.0022362+0.0025723i,-0.0017244+0.0012891i,-0.00011526+8.0966e-05i,0.0005415-0.0005806i,0.00026978-0.00024338i,0.00026357+0.00015281i,-0.00022607+0.00061717i,-0.00037228+0.00074399i,0.0010994+0.00028898i,0.0007075+0.00023885i,-0.0004715+0.0003734i,-0.00016789+0.00084154i,0.00080793+0.00063834i,0.00099158+0.00036428i,3.2217e-05+0.00021025i,-0.00043057+0.00023656i,-0.00051169-4.5594e-05i,0.00013215+0.00020593i,0.000915+0.00050892i,0.00094735+0.00057614i,0.001129+0.00063309i
-0.00053954-0.00088699i,-0.0012063-0.00073564i,-0.00082653-0.0013998i,0.00070389-0.0016335i,0.00040698-0.0016564i,-0.0003958-0.0010528i,0.00018287-0.00037462i,0.00097729-0.00039465i,0.00075913-0.00053493i,-0.00018109-0.00072333i,-0.00017271-0.00065506i,1.1014e-05-0.00022462i,-0.00045321-6.9118e-05i,-0.00039027-9.1891e-06i,-0.00031959+0.00029072i,0.00029877+7.1603e-05i,0.00013204-0.00054558i,-0.00051803-0.00048695i,-0.00014446-0.00016324i,0.00029501+0.00066821i,6.7801e-05+0.0010246i,-0.00020287+0.00090337i,-0.00040191+0.00087485i
0.002099+0.002774i,0.003104+0.0021311i,0.0038074+0.00015116i,0.0017143-0.0018355i,-0.00045196-0.001848i,-0.00039572-0.00048936i,0.00015554+0.00065725i,0.00017102+0.00077941i,-0.00040817+0.00019641i,-0.0014859+0.00030857i,-0.0015384+0.00055155i,-0.00065922+0.00014021i,-0.00020473-0.00086077i,-4.1331e-05-0.001184i,-0.00059528-0.00051749i,-0.00029348+0.00040686i,-4.6097e-05-1.6308e-05i,-0.00067324-0.0006611i,-0.00031511-0.00042117i,-5.9439e-05+0.00074284i,-0.00039097+0.00052641i,-0.00031199-0.00044294i,0.00050441-0.00083588i
0.00086503+0.0012134i,-6.349e-05+0.0019152i,-0.00057954+0.00122i,-0.00088889+0.00022912i,-0.00078153-0.00071461i,5.7565e-07-0.0009487i,0.00032127-0.001054i,0.00037503+7.8211e-05i,0.0014181+0.00039933i,0.0011971-1.495e-05i,-0.00069795+0.00010943i,-0.00099555+0.00014706i,-0.00048172-2.8125e-05i,-0.00052873-7.091e-05i,-0.00010128+0.00011578i,-0.0003102+0.00051225i,-0.00033533+0.00037143i,0.00025091-3.4176e-05i,0.001094-9.1466e-05i,0.00071486+0.00034024i,0.0001457+0.00013766i,0.00033156+6.6265e-05i,-0.00061226+0.00052493i
-0.0010112-0.00095577i,-0.00068331-8.1754e-05i,-0.0010884-0.00026142i,-0.00077948-0.00045452i,-0.00036688-3.9564e-05i,2.8919e-05-0.00050476i,-0.00045567-0.00061119i,-0.00045507-0.0003505i,-9.0445e-05-0.00018153i,-0.00036161-0.00064422i,9.2465e-05-0.00033953i,0.0003575+0.00069614i,0.00030233+0.00042773i,-0.00029656-0.00098859i,-0.00078499-0.00088378i,-0.00037163+0.00023569i,0.00019582+1.014e-06i,6.524e-05-0.00070663i,-0.00039678-0.00091954i,-0.00040185-0.00059324i,-0.00065605-0.00028678i,-0.00042538-0.00043359i,0.00087526-0.00010354i
-0.00073015-0.0009391i,-0.0017979-0.0021053i,-0.0017225-0.0028789i,-0.0014963-0.0019379i,-0.0017512-0.00058368i,-0.0010925-0.00035336i,0.00044914-3.0259e-05i,0.00067714+0.00056844i,2.8493e-05+0.00062375i,0.00016344+0.00025007i,-1.7325e-05-0.00046912i,-0.0003325+2.2273e-05i,-1.5223e-06+0.00037514i,0.00047897+0.00011432i,0.0010943+0.0004421i,0.0011585+0.00052899i,0.00080951+0.00062033i,0.00043207-0.00044086i,0.00028621-0.00085348i,0.00040831-0.00026282i,0.00029418+4.9773e-06i,8.4183e-05-1.3699e-05i,0.00019991+0.00010608i
-0.0004453+0.00074927i,0.00030508-0.00019781i,-0.00040228-0.0011384i,-0.0015247-0.0015833i,-0.0013853-0.001612i,-0.00050266-0.0011475i,-0.00040719-0.00026683i,-0.00064327+0.00043011i,0.00014395+0.00052572i,0.00030228-0.00019165i,0.00013276-0.00040573i,0.00045821+9.6195e-05i,0.0007679-4.2884e-05i,0.00027287+7.7853e-05i,-0.00025047+0.00026389i,-0.0002306+0.00051795i,-0.00096841+9.4889e-05i,-0.00060532+0.00021778i,8.2416e-05+0.0006986i,-3.6446e-05+0.00027973i,-4.6799e-05+0.00012648i,9.747e-06-7.7792e-05i,7.5551e-05-0.0010019i
0.00058801+0.0019089i,0.00208+0.0020603i,0.0019867+0.00053374i,0.0013965-0.00012996i,0.00059136-0.00021146i,-4.3146e-05-0.00090938i,-5.14e-05-0.001515i,4.8763e-05-0.00091037i,-0.00043125-0.00068921i,-4.4885e-05-0.0012343i,0.00073263-0.0007159i,0.00086211+0.0001177i,0.00041867-0.00059553i,3.9805e-05-0.0011i,-0.00023748+0.00019448i,-0.00013988+7.8687e-05i,2.7626e-05-0.00037605i,-0.00057361+1.5616e-05i,-0.0011814+8.9736e-06i,-0.00098084+0.00051537i,-0.00062364+0.00088393i,-0.00021013-3.9375e-05i,-0.00096519-0.00041708i
-0.00030153+0.0021978i,-0.00059588+0.0034799i,-0.001325+0.0031872i,-0.0022732+0.0024368i,-0.0016918+0.0013329i,-0.00020955+0.0010922i,0.00081142+0.00074918i,0.0010646-0.00023865i,0.0010071-0.00036341i,0.0011781-6.9464e-05i,0.001095-0.00034264i,0.00087767-0.00052383i,0.0011689-0.00067119i,0.0013619-0.00042469i,0.00049978+0.00058975i,-0.00031321+0.00089013i,-0.00095752+9.8248e-05i,-0.00066851-0.00061781i,6.2909e-07-0.00042834i,7.6402e-06-0.00010442i,0.00046814+0.00026782i,0.00084583+0.00066231i,0.00019647+0.0003145i
-0.00022581+7.3659e-05i,-0.0005812+0.00013504i,-0.00096452-0.0011924i,-0.0011523-0.0024915i,-0.00054513-0.002239i,0.00011751-0.0011852i,0.00015415+0.00012627i,0.001117+0.00069146i,0.00113+0.00035442i,0.0003134-0.00027175i,-3.7264e-05-0.00038783i,-0.00053781+5.7916e-06i,-0.00037798+0.00024626i,-0.00016251+0.00086797i,-0.00051147+0.00095259i,-0.00067301+0.00053086i,-9.8479e-05+0.00024085i,8.5768e-05+0.00025657i,0.00012427+0.00060226i,0.00061578+0.00088673i,0.00069385+0.00063652i,0.00031905-5.8513e-05i,0.00027269-2.6276e-05i
0.00018733+0.0015217i,0.0014649-0.00017189i,0.0023408-0.0015952i,0.0008451-0.0021042i,-0.00039796-0.0015843i,-0.0007835-0.00067858i,-0.00019816-0.0003i,0.00026311-8.6727e-05i,0.00021999-5.8837e-05i,0.00029128-0.00054492i,-2.145e-05-0.00085601i,0.00012686-0.0007007i,0.00044595-0.00045877i,-0.00013529-0.00021372i,-0.00033228-0.00017689i,0.00015467+6.6451e-05i,0.0003544-0.00025803i,-0.00014295-0.00052718i,-0.00087767-6.1929e-05i,-0.00090142+0.00016137i,-0.00056996+1.3869e-05i,-0.00041851+0.00025523i,-0.00081165-0.00052845i
0.00044036+0.0039835i,6.3797e-05+0.0029985i,0.00096563+0.00047253i,0.0014176-0.00069301i,0.00074573-0.00092897i,0.00052811-0.0014161i,0.00042252-0.0012736i,-0.000332-0.00099584i,-0.00039788-0.0010293i,-0.00024578-0.00071614i,-0.00042536-0.00032113i,-0.00058388+0.00044833i,-0.0008542+0.00067095i,-0.0010088+0.0001076i,-0.00092814-0.00033936i,-0.00044716-0.00072681i,0.00016917-0.00033329i,0.0002498+0.00028564i,0.00046078+0.00038734i,0.00081296-0.00021262i,0.00044499-0.00078446i,9.1626e-05-0.00075486i,7.4771e-05-0.00042596i
4.7514e-05+0.00028219i,0.0011567-9.1527e-05i,0.0014074-0.00063441i,0.00045092-0.00060525i,-0.00083564-0.00039901i,-0.0012607-0.0014352i,-0.00078701-0.0022573i,-3.2878e-06-0.0013921i,0.00024073-0.00035595i,-0.00053537-0.00015164i,-0.0009001-0.00039298i,-0.00071187-0.00080769i,-0.00064239-0.00068157i,-0.00050229-0.00037976i,0.00023163+0.00027127i,-0.00050275+0.00072462i,-0.0014384+0.00061591i,-0.0010948+0.00048458i,-0.00071668+3.1245e-05i,-0.00051106+0.00032147i,-0.00054727+0.00022179i,-0.00043196-0.00083996i,-0.00026907-0.00046856i
0.0010323+0.00092343i,0.0014806+0.00053856i,0.0012023-0.00020357i,0.0010887-0.00035668i,0.00081159-0.00046909i,0.00057583+0.00047546i,0.0008587+0.0014336i,0.00034259+0.0016479i,-0.00038204+0.0012257i,-0.00060521+0.00037067i,-0.00033026-3.0346e-05i,1.0474e-05+0.00028261i,-0.0010346-6.9731e-05i,-0.0011363-0.00040719i,-0.00011411+0.00012907i,-0.00037485+0.00069597i,-0.0012204+0.00068147i,-0.00098771-0.00027728i,-0.00040488-0.00076229i,4.0924e-05-0.00038549i,0.00064984-0.00011554i,0.00071402-5.2116e-05i,0.00037033-0.00019003i
-0.00037861+0.0014423i,0.00035129+0.0019113i,-0.00054204+0.0004911i,-0.00081929+0.00012717i,-0.0012941+0.00077831i,-0.00169+0.00069514i,-0.0014082+0.00032039i,-0.00071504-0.00010874i,0.00048865-0.00046343i,0.0010054-0.00024713i,0.00064519+6.2474e-05i,0.00043429+0.00040183i,0.00027938+0.0010221i,0.00011042+0.00078908i,0.00047956+9.9668e-05i,0.00085688-8.5961e-05i,0.00067581+0.00016219i,6.4653e-05-3.9951e-06i,7.2397e-05+0.00049547i,8.1168e-05+0.00082648i,-0.00030413+0.00026069i,-0.00053715+6.1726e-05i,-0.00019107-7.7626e-05i
-0.00044661+0.00080867i,0.0010523+0.0018132i,0.00088891+0.0012064i,-0.0001621-0.00011083i,-0.00074963-0.00081913i,-0.00024835-0.0014469i,-4.7703e-05-0.00083937i,0.00054164+0.00035227i,0.00069879+0.00057777i,0.00048997-2.5378e-05i,0.0010818-0.00033712i,0.00069254-0.0001691i,-0.00019541-0.00057017i,-0.00048117-0.00065512i,-3.1047e-05-0.00034207i,0.00028262+2.7861e-05i,0.00035716-0.00010788i,0.0013745-0.0011262i,0.0015573-0.00055988i,0.00045609+0.00071838i,9.4641e-05+0.00084412i,-0.00010545-5.3003e-05i,-0.0001814-0.00068348i
0.0010006+0.0015103i,0.00081488+0.0016402i,0.00062415+0.0012987i,0.00014957+0.00054623i,-0.00037994-0.00063166i,-0.00026671-0.00060512i,-7.9312e-05+0.00010328i,-0.00020211-0.00011994i,1.5242e-05+5.4453e-05i,0.00051707+0.00045862i,0.00072646+0.00065001i,0.00060823+0.00026381i,0.00065731-0.00011458i,0.00029637-3.6813e-05i,-0.00010937+0.00026566i,8.7379e-05-0.00012817i,4.197e-05-0.00048043i,-0.00058234-0.0002766i,-0.00057605+4.7441e-05i,-4.8109e-05+0.00048392i,0.00010324+0.00074226i,0.00054764+0.00087087i,0.00068251+0.0011168i
-0.00054479+0.0038761i,0.0010136+0.0035604i,0.0011381+0.0038478i,0.00063315+0.0020107i,0.00092415-0.00043855i,0.0003954-0.0018894i,-5.0449e-05-0.0016852i,0.00020341-0.0011942i,0.00034143-0.00031045i,-0.00012375+0.00064849i,-0.00060437+0.00056089i,-0.0011838+0.00013641i,-0.0010931-0.00026109i,-0.00046891-0.00064251i,-0.00044226-0.00067037i,-0.00030495+2.3774e-05i,0.00010155+3.6105e-05i,6.7509e-05+0.00020235i,-0.00045786+0.00067531i,-0.00029218+0.0013928i,-6.6725e-05+0.0014712i,-0.0002809+0.00047492i,8.7494e-05-0.00058087i
0.00050897+0.00057884i,0.00096965-0.0012638i,-0.00026546-0.0024693i,-0.0014913-0.0023468i,-0.0013128-0.0016106i,-0.00052923-0.001176i,0.0001937-0.0011393i,0.00056903-0.00024174i,0.0001641+0.00038392i,-0.00013414+6.8091e-05i,0.00026821-0.00037685i,-0.00015762-2.5916e-05i,-0.00038422+0.00059991i,-0.00019607-0.00041292i,5.8667e-06-0.0013345i,0.00030027-0.00012157i,-0.00024539+0.0011788i,-0.00027499+0.000798i,-0.0001794+0.00051028i,-0.00092358+0.00048274i,-0.00071757+0.00076266i,-0.00011978+0.00097393i,0.00041246+0.00065611i
-0.0015098+0.0033292i,-0.00087612+0.0041463i,0.00073205+0.0031216i,0.00038001+0.001068i,-7.6418e-05+1.8393e-05i,0.00062037-0.00033363i,0.00083549-0.00064048i,1.9676e-05-0.00086725i,0.00036476-0.00073804i,0.00045988+1.1052e-05i,0.00027529+5.6677e-05i,0.00091691-0.00066019i,0.00070226-0.00092028i,0.00070752-0.001126i,0.00063935-0.00065833i,-0.00053463+0.00066437i,-0.0007885+0.0012081i,-0.00028254+0.00046041i,4.9523e-05-5.0455e-05i,-1.8341e-05+0.00059553i,-0.00089673+0.001552i,-0.0011665+0.0014434i,-7.8304e-05+0.00069796i
-0.0028227+0.0020657i,-0.002743+0.0017637i,-0.0020356+0.00091069i,-9.5314e-05-0.00043274i,0.0010951-0.00016415i,0.00037607-0.00067155i,-0.00031855-0.0010352i,-0.00034752-0.00092529i,0.0002382-0.0009049i,0.00068134-0.00077161i,0.00066065-0.0012917i,4.1555e-05-0.0014796i,-0.00044999-0.00082053i,-0.00030892-0.00027321i,-0.00039045-0.00019631i,-0.00014503-0.0002712i,-0.00011557-4.8837e-05i,-0.00053908+0.00039572i,-0.0001487+0.0013282i,-1.4012e-05+0.00084644i,0.00039969-0.00017173i,0.0006973-0.00058119i,3.3645e-05-0.00093105i
0.0006614-0.0001273i,0.0014997-0.0019322i,0.0015922-0.0024581i,-0.00010337-0.0016781i,-0.0013222-0.0018378i,-0.0018738-0.00080369i,-0.00086289-7.2295e-05i,-1.1256e-05-0.00030389i,-0.0001797-0.00071238i,-0.00054215-0.0016372i,-0.00019467-0.0014012i,0.00038978-0.0003721i,3.9068e-06+0.00095422i,-0.00074919+0.0010855i,-0.00069745+4.1676e-05i,4.0464e-05-0.00094974i,0.00028491-0.00064386i,-0.00021819+0.00010088i,-0.00048093+0.00013233i,0.00058893+0.00015938i,0.001297+0.00019189i,0.00064805+0.00060682i,-0.0007609+0.0005964i
0.0027431+0.00075642i,0.0040025+0.0006993i,0.0041005+0.00013554i,0.0022994-0.00067636i,-0.0003352-0.0021784i,-0.0014895-0.0018207i,-0.0010112-0.0011611i,-0.00031999-0.0013533i,-0.00015242-0.0011976i,-0.00066412-0.0011137i,-0.00078277-0.00018502i,-0.00088276+0.00018152i,-0.0012409-0.00033105i,-0.001582-0.00016371i,-0.0012266+0.00010726i,-0.00025223-1.7375e-05i,-0.00016283+0.0004174i,-0.00076445+0.00067293i,-0.00057556+0.0003643i,-6.9156e-05-0.00024807i,0.0004916-0.00061891i,0.00059283+5.863e-06i,0.0001298+0.00030216i
-0.00042222+0.00051025i,-0.0016561+0.0004429i,-0.0027316+0.00010158i,-0.0032132-8.7958e-05i,-0.0018099-0.00033236i,-0.00016658-0.00049703i,0.00040288-0.0010252i,0.00045395-0.00083184i,0.0007193-0.00026935i,0.0012985+6.4649e-05i,0.0013901+0.00034491i,0.0013278+0.00076464i,0.0015539+0.0012616i,0.00039569+0.0018061i,-4.1445e-05+0.0018314i,0.00084974+0.0013312i,0.00079937+0.00063545i,0.00033642+4.0325e-05i,0.00011799-0.00030247i,0.00044331-0.00037088i,0.00065102+0.0002463i,-3.1409e-05+0.00065757i,-0.00025045+0.00032122i
0.00080313+0.00059662i,0.0011423-0.00062796i,0.00064782-0.0025721i,0.00017471-0.0025291i,-9.104e-07-0.0011254i,0.00041699-0.00091877i,0.00032886-0.00063231i,4.3878e-05-0.00023932i,-1.0492e-05-0.00030325i,-7.1515e-05-0.00053617i,0.00020087-0.00029884i,-0.00026293-1.8032e-05i,-0.0012119+0.00047403i,-0.00087781+0.0010802i,-0.00011427+0.00071149i,0.00032426+0.00039735i,0.00035833+3.4004e-05i,-0.00073995-0.0001665i,-0.0015645-0.00013109i,-0.0009439-0.00046334i,-0.00064222-0.00074423i,-0.00012148-0.0003864i,0.00063377-0.00011678i
0.0017817+0.0015321i,0.0022892+0.0028062i,0.0018699+0.002221i,0.00042488+0.00098304i,-0.00073312+0.00014949i,-0.00012052-0.00037403i,0.00074221+0.00031558i,0.00057888+0.00050427i,0.00033188-0.00029047i,8.4306e-05-0.0003959i,0.00016123-0.00059754i,5.492e-05-0.00042056i,0.00018465+0.00011229i,2.2447e-05-2.2861e-06i,3.8068e-05+9.9573e-05i,0.00040534+0.00091112i,0.0003073+0.00066729i,9.3777e-06-0.00072817i,-0.00072322-0.00077378i,-0.00092967-0.00019311i,-0.00057853+0.00025096i,0.00036781+0.00058873i,0.00089803+0.00050916i
-0.0019286+0.0023292i,-0.0019883+0.0024061i,-0.0024396+0.0015617i,-0.0021353+0.00039375i,-0.00064335-0.00081145i,-0.00020764-0.0016528i,-3.4229e-05-0.0011616i,-7.2864e-05-1.6043e-05i,0.00051525+0.00028593i,0.00043941-0.00015871i,8.4596e-05-0.00027936i,-0.00032461+0.00014703i,-0.00073026+0.00017736i,-0.00067795-0.000116i,-0.00052889+0.0001917i,-0.00038912+9.7218e-05i,0.00057863-0.00034664i,0.00095739-0.00054338i,0.00032763-0.00039942i,0.00071531-0.00020452i,0.00043684-0.00037679i,-0.00040841-0.00022683i,-0.00016151+6.5801e-05i
0.00096123-0.0011921i,0.001236-0.001326i,-8.9756e-05-0.0028188i,-0.0013291-0.0030101i,-0.0019078-0.0012147i,-0.0012589+0.00028864i,-7.7828e-05+0.00021334i,0.00060151-0.00053227i,0.00069373-0.00051808i,-0.00066918-0.00026425i,-0.001644-0.00022187i,-0.001166+0.00024369i,-0.0001937+0.0010341i,0.00048535+0.0015267i,2.7832e-05+0.0013757i,-0.0002511+0.0010181i,-5.6085e-05+0.00011508i,7.5897e-05-0.00066493i,0.00075934-0.00033145i,0.00088846-6.8794e-05i,0.00085976-0.00044464i,0.00026652-0.00058831i,-0.00041954-0.00062752i
-0.00071764+0.0037711i,0.00087688+0.0028166i,0.0015917+0.0013881i,0.00018223-0.00031672i,-0.0012917-0.0019191i,-0.0011341-0.0013487i,0.00016075-0.0005014i,0.00058182-0.00036409i,0.00053276-0.0003217i,0.00030626+0.00017448i,-0.00035643+0.00041377i,3.211e-05+0.00017703i,-0.00037242-5.0089e-05i,-0.00071942+0.00033579i,-0.00051781+0.00099102i,-0.00056959+0.00076634i,-0.00033747-0.00021465i,2.7943e-05-0.00052791i,0.00094045-0.00031118i,0.00085277-0.00049102i,-0.00043559-0.00019976i,-0.00056592-3.2293e-05i,-4.4048e-05-0.00027438i
-0.0022317+0.0012993i,-0.0027338+0.00094807i,-0.0015571+0.00049721i,-0.00080021-9.5278e-05i,-0.00030069-0.0013985i,0.00074589-0.0014892i,0.00068523-0.00032564i,-0.00020602-0.00034774i,-3.5621e-05-0.00093657i,0.00078787-0.0010246i,0.00087802-0.00063099i,0.00015288-0.00078645i,-0.00077281-0.00084482i,-0.00055154-0.00053203i,-0.00018981-0.00038334i,-0.00046532+0.00019672i,-0.00089103+0.0005793i,-0.0011984+0.00053661i,-0.00036769+0.00065774i,0.00095001+0.001i,0.00045114+0.00048279i,-0.00052923-0.0004891i,-0.00021551-0.00048741i
-0.0004422-0.00084102i,0.0015791-0.00045309i,0.0030274-0.00091383i,0.0016564-0.0012815i,-0.00052804-0.00090564i,-0.0010389-0.00020396i,-7.1826e-05-0.00012281i,0.0010323-0.00016166i,0.00090181+5.3208e-05i,7.5238e-05+0.00018464i,-6.2296e-05-0.00040778i,-0.00042875-0.00025713i,4.3782e-05+1.5949e-05i,3.4578e-05-0.00031143i,-0.00079737-0.00011298i,-0.0011494+9.5718e-05i,-0.0007064-0.00021656i,0.00033291-0.00052751i,0.00020532-0.00069098i,-3.7229e-05-0.00019514i,0.00024757+0.00019349i,0.00016475+0.00013547i,-0.00045654+0.00015004i
0.0007962+0.0029885i,0.00017735+0.0034242i,0.00025905+0.0010134i,-0.0002171-0.0020186i,-0.00049355-0.0024867i,-0.0001122-0.00070606i,-0.00022046+6.1581e-05i,0.00029843-0.00030383i,0.0010843-0.00066308i,0.00067048-0.00057265i,0.00016949-0.00071394i,-3.3354e-06-0.00082645i,0.00012159+1.996e-05i,8.4865e-05+0.00041539i,-0.00046447+9.981e-05i,-0.00071206-0.00016302i,-0.00055995-0.00046522i,-0.00033715+0.00031149i,-5.4997e-05+0.00098795i,0.00012909+0.00050616i,0.00019733-0.00020487i,0.00072383-0.0010196i,0.00080782-0.00097596i
-0.0032789+0.0015027i,-0.0029241+0.0025471i,-0.0018466+0.0021591i,0.00038582+0.0013266i,0.0012092+0.00012789i,0.0012687-0.0020048i,0.00090721-0.0022598i,-0.00011533-0.00070759i,7.7591e-05-0.00042791i,0.0011379-0.00058933i,0.00076091-0.00011096i,-0.00047682-8.8209e-05i,-0.00018421+0.00015328i,0.00035264+0.00022215i,0.00014881-0.00045262i,4.2442e-05+0.00031322i,-0.00015732+0.00085218i,-6.6003e-05+0.0005454i,-0.00031448+0.00084435i,-0.00055992+0.0015397i,-0.00049532+0.0014332i,1.5534e-05+0.00034707i,0.00031311+1.7915e-05i
0.0036194-0.00063979i,0.0045879-0.0019549i,0.0040881-0.0036211i,0.0013843-0.0038494i,-0.00038404-0.0022451i,-0.00020551-0.0004454i,0.00033049+0.0001213i,2.4904e-05+6.3918e-05i,0.000411-0.00022649i,-0.00029761-0.00085752i,-0.00071818-0.00050935i,0.00046762+0.00030427i,0.0001792+0.00093437i,-0.00078676+0.0015224i,-0.0002508+0.0015728i,0.00038258+0.0012473i,0.00040139+0.00074063i,0.00040036-0.00013921i,0.0003557-0.00052865i,0.0002128-7.7909e-05i,0.00013084-0.00017091i,-4.9394e-05-0.00025783i,5.9691e-05-0.00016367i
0.0012498+0.0027369i,0.0016144+0.0045102i,0.0014217+0.0035039i,0.00029968+0.0015037i,-0.00055167+0.0005706i,-0.00053133-0.00013131i,0.00036273-0.0006646i,0.00030486-0.00018709i,-0.00041304+0.00025973i,-0.00087509+0.00014644i,-0.00052426+0.00049289i,0.00029982+0.00087047i,0.0005835+0.00076119i,-6.1475e-06-0.00028173i,-0.00016519-0.000593i,0.00062689+0.00013457i,0.00060799+0.00035212i,-0.00058977-0.00036693i,-0.00091848-0.00056442i,-0.00012325-0.00069199i,-2.4226e-06-0.00083933i,-0.00085528-0.00023976i,-0.00061847+0.00011383i
