-0.0014667+0.00087205i,-0.00041361+0.00059858i,-5.4546e-05+0.0016496i,-6.1263e-05+0.0029729i,-0.0013266+0.0025275i,-0.0021224+0.001566i,-0.0017496+0.0017693i,-0.0011907+0.002498i,0.00072499+0.0019674i,0.0023645+0.0011551i,0.0020708+0.00055554i,0.0012056-0.00030423i,0.0001713-0.00072i,-0.00074632-0.0013484i,-0.00081121-0.0015595i,-0.0006768-0.00043058i,-0.00095527+0.00042492i,-0.00034766+0.00021378i,-2.8802e-05+8.509e-05i,-0.00015042-0.00037735i,0.00018381-0.00034519i,-0.00045041+0.00040306i,-0.00080416+0.00098809i
0.00028913+0.00011037i,0.00058296-0.0011129i,0.00026587-0.001692i,-0.00011335-0.0013424i,-0.00058417-0.00073607i,-0.00070803-7.1529e-05i,-0.00097362+0.00058838i,-0.0011206+0.0013204i,-0.00045921+0.0014452i,0.00075613+0.00077093i,0.0010737-0.00017984i,0.0007422-0.00064967i,0.00077577-0.00055279i,0.00084137-0.00016052i,0.0005624+0.00082592i,0.00013748+0.00068644i,0.00010889+0.00040973i,0.00018898+5.9055e-05i,-8.7755e-05-0.00032482i,-6.2276e-05+0.00015732i,0.00043824+0.0011339i,0.00010148+0.0010043i,-0.00022194+0.00021466i
-0.00017085-0.0012723i,0.0010805-0.0013025i,0.0011282-0.0012662i,3.9899e-05-0.00072478i,-0.00020508-0.00064294i,2.1416e-05-0.00065926i,0.00025203+6.3295e-05i,0.00052505+0.00071206i,0.0011806+0.00095169i,0.0010235+0.00084491i,0.00014088+0.00046791i,-0.00057943+0.00078989i,-0.00056511+0.00046374i,0.00036672-0.00014254i,0.00015216-7.4942e-05i,-0.00073343-8.0819e-05i,-0.00020359-0.00025648i,0.00055994-0.0007839i,0.00057349-0.00041923i,0.00052442-1.2741e-06i,0.00025382+0.00015038i,0.00018919+0.00032909i,0.00031088-6.2543e-05i
0.0010112-0.00051507i,0.0011096-0.00032756i,0.00064775-0.00056165i,-0.00090752-0.00098159i,-0.0011021-0.00039269i,-6.9284e-05-0.00042432i,0.00026497-0.00018534i,0.00023247+0.00091468i,9.6686e-05+0.0019215i,0.00032887+0.0017907i,0.00021146+0.00028338i,3.6963e-05-0.00031288i,0.00038181+0.00010634i,0.0002757+0.00016626i,0.00013055+2.4516e-06i,-0.00017509+0.00022318i,5.503e-05+0.00019327i,-6.2851e-05-0.00011312i,-8.8659e-05-0.00022798i,9.448e-05-0.00029646i,0.00084885-0.00026258i,0.00080967-0.0001131i,-4.1805e-05+4.9441e-05i
0.00014113-0.0012836i,-0.00027102-3.7042e-06i,0.00010892+0.00020142i,0.0012092+0.00053585i,0.00064504+0.00036502i,-0.0002946-0.00027075i,-0.00034728+6.1864e-05i,-0.00069484+0.00081559i,-4.0084e-05+0.0012742i,0.0010502+0.0016763i,0.00029841+0.0015864i,2.0603e-05+0.00074857i,0.00014048-3.9366e-05i,9.0761e-05-0.00030684i,-0.00018114-0.00071351i,-0.00050039-0.00035233i,-0.00042469-3.6456e-05i,-0.0008038-0.00045136i,-0.0008045+0.00022569i,-0.0001888+0.00027778i,0.0004941-0.00023417i,0.00057801-0.00042838i,0.00033324-0.00089805i
-0.00027016-0.00040509i,-0.00036568+1.379e-05i,-0.0014217+0.0002428i,-0.00181-0.00014873i,-0.001225-5.817e-05i,-0.00053848+0.000644i,0.00063141+0.00066352i,0.0014512+0.00056064i,0.00093953+0.0004189i,0.00047955+0.000523i,0.00024605+0.00078594i,0.00086504+0.00071798i,0.0015961-0.00015535i,0.0014337-0.00063799i,0.0010331+0.00010993i,0.00035962+0.00047189i,2.2273e-05+0.00014441i,9.1085e-05-0.00042637i,-0.00044281-0.00021065i,-0.0011301+0.00023232i,-0.00065109+0.000248i,-0.00034337+0.00051441i,-0.0010117+0.00079938i
0.001079-0.0003313i,0.0014194-0.0009984i,0.0012149-0.0022192i,-0.00020399-0.0015942i,-0.00036879-0.00078088i,-0.00026401-0.00063773i,-0.00071406-0.0001224i,-0.00042873+0.0005477i,-0.00093425+0.0012548i,-0.0001538+0.0019025i,0.0011201+0.0020038i,0.00017863+0.001662i,-0.00022974+0.00073435i,0.00071128-0.00060619i,0.0010978-0.001099i,0.00089719-0.00031901i,0.0013743+0.0006967i,0.00060938+0.00090548i,0.00017417+8.5837e-05i,0.00011914-0.00057543i,-0.00030154-0.00079322i,0.00035653-0.00079594i,0.00086748-0.00035491i
0.00041851+0.00080354i,-0.00031562+0.0007315i,0.00023006+0.00018721i,0.00092304+0.00028375i,0.00050648+0.00014144i,-0.00031903-0.00056249i,-0.00026275-0.00099587i,6.9272e-05-0.00018832i,0.00027984+0.0006831i,0.00063704+0.00086359i,0.0004452+0.0006971i,-5.7096e-05+0.00054623i,-0.00033448+0.0004301i,-0.00013194-0.00046276i,0.00036821-0.00047781i,0.00037596+0.00029611i,0.00060945+0.0002632i,9.4751e-05+0.00041912i,4.9512e-05+0.00080675i,0.00039673+0.00058043i,0.0004517+0.00056748i,0.00036295+0.00053587i,-0.0004506-0.0001141i
0.00047505+0.00032201i,0.00023256+0.0008296i,-0.00019885+0.00057626i,-0.00054438-0.00038171i,0.00023138-0.0013019i,0.00046838-0.0010244i,0.00049938-0.0013126i,0.00048453-0.00055219i,0.00056701+0.0015031i,0.0007648+0.0016697i,0.00072948+0.00064804i,0.00091756-0.0001657i,0.0006779-7.8559e-05i,3.8725e-05-0.00025613i,-0.000974-0.00062278i,-0.0008174-0.00034335i,1.0276e-05-0.00057081i,-0.00012682-0.00098199i,-0.00020383-0.00079842i,6.7647e-05-0.00095494i,0.00072735-0.00095329i,0.00060614-0.00018446i,0.00032929+0.0007122i
0.00034929+4.7552e-05i,0.00034635-0.00023986i,0.00097592-0.00051906i,0.00088092-0.00049626i,0.00022149+0.00069254i,3.5633e-05+0.0014779i,-0.00055558+0.00088782i,-0.0012161+0.00019274i,-0.00070216+0.00089322i,0.00041203+0.0014961i,0.0011055+0.00068186i,0.0012142+4.579e-05i,0.00046879-0.00013122i,0.00022157-0.00071232i,0.0004932-0.00086716i,0.00038399-0.00023436i,0.00056501+0.00033959i,0.00049918+0.00026087i,0.00038867+0.00025693i,0.00069437-0.00018684i,-0.00015509-0.00054073i,-0.0008048-0.00062023i,-0.00066333-0.00033534i
0.0011604-0.00052143i,0.0013517-0.00014771i,0.0015768-0.0013031i,0.0010861-0.0028703i,0.00036835-0.0027939i,0.00040939-0.001487i,-0.00024545-5.8452e-05i,-0.00022229+0.00052653i,0.00066335+0.00030138i,0.00054342+0.00037314i,0.00025365-0.00048364i,0.00054907-0.00075788i,0.00058666+0.00035723i,0.00041342+0.00036214i,0.00024396+9.3e-05i,0.0002098+0.0011199i,0.00064953+0.00078541i,0.0009132-0.00022165i,0.00076856-0.00034814i,0.00061982-0.00023212i,0.0002733-1.7349e-05i,0.00030742+7.237e-06i,0.00063206+0.00058146i
-0.00013632-0.00090639i,-0.00040755-0.00015799i,-0.0019871+0.00034808i,-0.0017637+0.00082386i,-0.00036033+0.0017084i,0.00088175+0.0026204i,0.00093701+0.0020908i,0.00060355+0.0015128i,0.00044698+0.0018117i,-2.3772e-05+0.0018505i,-0.00053678+0.00141i,-9.4472e-05+0.00089806i,0.00045735+0.00085465i,0.00035295+0.00029803i,0.00067193-0.00042971i,0.00035759-0.00029708i,-0.00040082+0.00014242i,-0.00012086-0.00024703i,-0.00026589-0.00067694i,4.1138e-05-7.0787e-05i,0.0008065+0.00086389i,0.00067999+0.00078661i,0.00078819-0.00031974i
-9.8826e-05+0.00069438i,-0.00049987-0.00046727i,-0.0013986-0.00067279i,-0.0022123+0.00011613i,-0.0012982-0.00023484i,-0.00054859-0.0007924i,-0.00057181-0.00033678i,-0.00039944+0.0010847i,0.00023169+0.0015883i,0.000903+0.0014179i,0.00027966+0.0008814i,-0.00040901-0.00034372i,-0.00054504-0.00055266i,-0.00086491+0.0004509i,-0.00019235+0.0012218i,0.00050431+0.00097679i,0.00052282+0.00074216i,0.00033886+0.00056334i,6.4311e-05+0.00041021i,-0.000282-3.3724e-05i,-0.00032589-0.00023984i,0.00012193+8.3361e-05i,0.00096836+0.00037023i
6.1087e-05+0.00016653i,0.00069523-0.00014975i,0.0020254+0.0004083i,0.0027115+0.00032379i,0.0020051+0.00020356i,0.0012895-0.00052504i,0.00026319-0.00083805i,-0.0002599-8.3444e-05i,0.00030916+0.0014543i,0.00094444+0.0021143i,0.0006408+0.001437i,0.00035277+0.00052327i,0.00046537+0.00026642i,0.00036543+0.00017099i,5.6659e-05-0.00054711i,-0.00030689-0.00088954i,0.0001179-6.9065e-05i,0.00036526+0.0012062i,-4.8243e-07+0.0012787i,0.00020981+0.00027317i,3.8537e-05-2.528e-05i,-0.00051586+0.00045628i,-0.00054079+0.00049798i
0.00082367-2.3449e-05i,1.2365e-05-0.00051403i,-0.00075376-0.00026743i,-0.00027532-0.00062422i,0.0011235-0.0010538i,0.0010631-0.00083017i,2.2337e-05-0.00046731i,-0.0010075-4.856e-06i,-0.00066309+0.00059262i,0.00049401+0.00099079i,0.000826+0.00050418i,0.00069133-8.9557e-05i,0.00029045+0.0001141i,-5.1919e-05+0.00014148i,0.00037774+0.00027152i,0.00068505+0.00066152i,0.00060873+0.00017211i,0.00014845-0.00043542i,0.00010253-0.0005075i,0.00035733+0.00035985i,0.00048052+0.00084488i,0.00038417+0.00023004i,-0.00019547+0.00010476i
0.00063541-0.00044482i,0.00035144-0.0002641i,-0.00081468-0.00095308i,-0.0013443-0.0014615i,-0.00095124-0.00058517i,-0.00044105+5.5483e-05i,8.9429e-05-0.0005104i,0.0008345-0.00021873i,0.0012924+0.0007221i,0.0012621+0.00123i,0.0016262+0.00070547i,0.0018335+6.2814e-05i,0.0011015-0.00051972i,0.00080039-0.00043752i,0.00027784+0.00022513i,-4.3238e-06-0.00031546i,0.0008558-0.00068982i,0.0010313-0.00046684i,0.00074992+9.6181e-05i,0.00047865-0.00014685i,0.00030038-0.00044667i,2.5154e-05-0.00045007i,-0.00040399-7.2023e-05i
0.00090995+0.00099811i,0.0010001-0.0006231i,0.0027369-0.0016046i,0.0033924-0.0014791i,0.001104-0.0017113i,-0.0015942-0.00084385i,-0.0022353+0.00029874i,-0.0011924+0.00045147i,-0.00027171+0.0004591i,6.1074e-05-3.2503e-05i,0.00020892-0.00058406i,0.00011179-0.00056301i,0.00039565-2.9317e-05i,0.00082163+0.00038986i,0.00015967+0.00030767i,-0.00051924+1.7235e-05i,-0.00084596-0.00037772i,-0.00079043+0.00012942i,2.4116e-05+0.00056055i,0.00048665+0.00046355i,0.00020873+0.00051802i,0.00020213+0.00046104i,0.0002446+2.0005e-05i
0.00016888-0.00015616i,0.0002116-0.00078734i,-0.00045655-0.001448i,-0.0008053-0.0011523i,-0.00068953-0.00025501i,-0.00045364-0.00013042i,-8.2939e-05-7.1575e-05i,-0.00021399+0.0005366i,-0.00062246+0.00093565i,-0.0004629+0.00032995i,0.00034598-0.00014205i,0.0010705-0.00025534i,0.00119-0.00021182i,-5.7866e-05-0.00057285i,-0.0011061-0.00055694i,-0.00098543+0.00030295i,-0.00029716-5.0413e-05i,0.00026561-0.00085284i,0.00017578-0.0010243i,-6.9485e-05-0.00038653i,-0.00013501+0.000123i,0.00012916+0.00044137i,-3.3563e-05+0.0001553i
-0.00062475-0.00026344i,-0.0010819-0.0011281i,-0.0011845-0.0014721i,-0.0015414-0.00096145i,-0.00119-0.00058401i,-7.4361e-05+0.00068562i,0.00084778+0.001397i,0.00077973+0.0012857i,0.00042788+0.0016904i,0.00042824+0.0020789i,-0.00031498+0.0016867i,-0.00048549+0.00049154i,0.00023762-0.00050639i,5.4382e-05-0.00061141i,-0.00030748-0.00051289i,-5.4077e-05-4.4126e-05i,0.00037539+0.00045898i,0.00066698+0.00024453i,0.00052247-0.00014406i,0.00043065-4.3258e-05i,0.00041224+0.00025643i,0.00042852-4.5887e-05i,0.00038274-0.0003735i
0.00084963-0.000661i,0.00044524-0.00035375i,-0.00073057-0.00043835i,-0.0020481+0.00019022i,-0.0015634+0.00033347i,-0.0014343-4.5509e-05i,-0.0014587+0.00011412i,-0.00074986+4.7163e-05i,2.092e-05+0.00029668i,0.00071138+0.00084103i,0.00083772+0.0014342i,0.00037133+0.001908i,0.000177+0.0011517i,0.00085052+9.2097e-05i,0.00084127-0.00030021i,0.00087602-0.00066446i,0.0014285-0.00054634i,0.00050599-0.00019018i,-0.00063594+5.6924e-05i,-0.00099813+0.00059382i,-0.00065179+0.00060726i,-2.9141e-05-4.9411e-05i,0.00010271-0.00048898i
-0.00086492-0.00067576i,-0.00062764-0.00077503i,0.00071028-0.0010192i,0.0012-0.0017451i,-3.595e-05-0.0017747i,-0.0015394-0.00060248i,-0.0011359-1.3055e-05i,-0.00012545+0.00053545i,0.00019317+0.0010301i,0.0011299+0.0019524i,0.0015016+0.0018584i,0.00086635+0.0011169i,0.00045779+0.0014195i,0.0004136+0.00070378i,0.00015208-4.5023e-05i,-0.0003253+0.00061463i,-0.00073567+0.0014009i,-0.00048553+0.0013679i,7.1809e-05+0.00063881i,-0.00011404-8.7374e-05i,-0.00043128+0.0002241i,-0.0003239+0.00068548i,-0.00012275+0.00058271i
0.00039408-0.0017781i,-1.578e-05-0.0013415i,-0.0010138-0.0013033i,-0.0016888-0.00083372i,-0.0013907+0.00045581i,-0.00024174+0.0015382i,0.00018461+0.0015316i,-5.0455e-05+0.0012759i,0.00012409+0.001402i,0.00024988+0.00082252i,0.00077093+0.00052274i,0.0011452+0.0005647i,0.0011986-0.00022334i,0.0007002-0.00085972i,-9.0699e-05-0.00060296i,-0.00074971-0.00018378i,-0.00068183-0.00030854i,-0.00020109-0.00048077i,0.00038748-0.00018877i,-9.6529e-05+1.7259e-05i,-0.00069169-0.00010617i,-0.00025296+0.00058383i,-4.1146e-05+0.00072583i
0.0021553-0.00029067i,0.0013367-0.00075699i,0.00046501-0.0014057i,8.7525e-05-0.001381i,-7.3283e-05-0.0012056i,-0.00054529-0.0010393i,-0.00077468-0.0014741i,-0.00046148-0.0011805i,-0.00013532-0.00020408i,-1.6645e-05-0.00043229i,-0.00034046-0.00060383i,-0.00031519-0.00017084i,0.00087357-0.00023528i,0.0018392-0.00021154i,0.0011597-0.00073904i,-6.7766e-05-0.00077773i,-9.3209e-05-0.00039676i,-0.0005724-0.00023802i,-0.00057412+5.1309e-05i,0.00023594+0.00027015i,0.00061207-0.00055601i,0.00087326-0.00082429i,0.00065726+0.00027057i
0.00047881+0.0010829i,-0.00012381+0.001288i,0.00033518+0.0015066i,0.0011525+0.0012136i,0.0011854+0.00052681i,0.00092115-0.00021659i,0.00082964-0.00035541i,0.0006523-0.0001808i,0.000474+0.00032354i,0.00052136+0.0005535i,0.00082607+0.00033904i,0.00088402-0.00021158i,0.00052705-0.00088135i,0.00061207-0.00064757i,0.00073689+0.00032035i,0.00021414+0.0013732i,0.0002088+0.0012916i,0.0003748+0.00015597i,7.8296e-05-0.00081619i,0.00020323-0.0001429i,0.00059282+0.0012487i,0.00041962+0.00083923i,0.00015002+0.00012866i
0.00036999-0.00063973i,7.0892e-05-0.0020877i,0.00033406-0.0031195i,0.00019203-0.003002i,7.6816e-05-0.002364i,0.00038587-0.0010966i,-0.00046522+7.5455e-05i,-0.00042999+8.874e-05i,0.00016428+0.00022198i,0.00010205+0.00063198i,-0.000149+0.00084491i,-0.00012068+0.00019411i,0.00015322-0.00059084i,0.00021183-0.00072102i,0.00032333-0.00062589i,0.00032699-0.00041937i,0.00042981+0.00024674i,0.00082166-0.00017645i,0.0012111-0.00076402i,0.00059818-0.00020118i,7.8757e-06+0.00012259i,0.00034895+0.00046737i,0.00048098+0.00041574i
0.0011635-0.00013357i,0.0017585-0.0021104i,0.00073346-0.0021447i,-0.00012726-0.00089495i,-0.00018917-0.00037326i,0.00050606+6.3842e-05i,0.00073866+0.0005092i,0.0011315+0.0011152i,0.00058783+0.0023663i,-0.00075519+0.0024142i,-0.00052615+0.001635i,0.00044943+0.00083445i,0.00028794+0.00012787i,-0.00024325+0.00038658i,0.00016089+0.00016484i,6.8981e-05-0.00032873i,-1.2626e-05-0.00018739i,0.00034464-0.00014304i,8.2017e-05+3.5428e-05i,-0.00011537+0.00055685i,8.4092e-05+0.00073894i,-0.00017687+0.00051549i,-0.00021184+8.5986e-05i
-0.0013426+0.0021156i,-0.00030012+0.0029241i,-0.00036165+0.0033847i,5.5398e-05+0.0032014i,0.00029437+0.0026604i,0.00054452+0.0013089i,0.00040975-0.0004161i,-0.00023431-0.00047302i,-0.00060592+0.00068125i,-0.00027916+0.0011973i,0.00069063+0.00069324i,0.0005865+3.1914e-05i,-0.00047767-0.00028874i,-0.00074605-0.00035116i,-0.00010354-0.0007005i,-0.00038483-0.0012664i,-0.0010411-0.00098193i,-0.00070814-0.00035197i,-0.00063521-0.00037955i,9.9983e-05-0.00029288i,0.00042624-0.00037019i,0.00051831-0.000871i,0.00079834-0.0010931i
-0.0019694+0.0019733i,-0.0012317+0.0011116i,-0.00034312+0.00070212i,0.0014763-1.3575e-05i,0.0014248-0.00099791i,-0.0006322-0.00085254i,-0.0016748+0.00051262i,-0.0011874+0.0016934i,-0.00014115+0.0020572i,0.00092708+0.0014603i,0.0017685+0.00029626i,0.0018571-0.00011201i,0.00086218-0.0002158i,0.00013978-0.00051068i,0.00017085-0.00030894i,-0.00024354-0.00033085i,-0.00060377-0.0002993i,-0.00024545-1.3597e-05i,0.00011961+7.1796e-05i,0.00040854+0.00044038i,0.0003802+0.00056801i,9.5918e-06+0.00059075i,-0.00030501+0.00073455i
0.00051256-0.0024674i,-0.00058285-0.0026667i,-0.0015469-0.00097617i,-0.00078996-3.6251e-05i,0.00016455-0.00019861i,-0.00015848-3.71e-06i,-0.00063878+0.0005841i,-0.00044967+0.0015174i,0.0003753+0.0016337i,0.0020535+0.00094324i,0.0028701+0.00088039i,0.0022454+0.00072004i,0.0018933+0.00087098i,0.0014462+0.00067098i,0.00044788+0.00023336i,0.0003536+0.00064241i,0.00027633+0.00059065i,-0.00013285+0.00039313i,-0.0003018+0.00049017i,-0.00065084+0.00090232i,-0.00045094+0.0011117i,-0.00060047+0.00072461i,-0.00047632+0.00028273i
0.00088781-0.00015872i,0.0011876+3.256e-05i,-4.2961e-05-0.0013001i,-0.0017212-0.00059242i,-0.00098707+0.00096486i,-0.00038366+0.0011581i,-0.00021187-5.7463e-06i,-1.3949e-05-0.00044005i,0.00022771+0.00060836i,0.0011677+0.0010102i,0.00093207-1.2871e-05i,5.0767e-05-0.0004354i,0.00029586+5.311e-05i,0.00061511+0.00057387i,0.00019655+0.00065977i,-0.00018452+0.00077963i,-0.00094249+0.00089998i,-0.001055+0.00041269i,-0.00054652+0.00043294i,-0.00038221-0.00020479i,5.9702e-05-0.001344i,0.0006227-0.00053709i,0.00040188+0.00048518i
-0.00062875+0.00062576i,-0.0012351+0.0019124i,-0.0012282+0.0020974i,-0.00065837+0.0019541i,-0.0012635+0.00085343i,-0.0011244+2.6112e-05i,-0.00026256+0.00012647i,-0.00039138+0.00041399i,-0.00089478+0.00061821i,-0.0015311+0.00070941i,-0.0017424+0.00080286i,-0.0011445+0.00041519i,0.00012646-0.00038133i,0.00051745-0.00058066i,0.00015461-0.00048629i,0.00033184-0.00043658i,0.00066576-0.00060946i,0.00038281-0.0011503i,0.00073644-0.00082527i,0.00055615+0.00021334i,-0.00012924+0.00031807i,0.00036415-2.1351e-05i,0.0010403+0.00019408i
0.00013891-0.00034114i,-0.00060536-0.00078119i,0.001152-0.0018326i,0.002039-0.0024463i,0.00028838-0.00261i,-0.00086713-0.0020668i,-0.00080429-0.00056742i,-0.0012364+0.00041432i,-0.0011368+0.00052706i,-0.00015108+0.00065512i,0.00059483+8.3288e-05i,0.00043778-1.7444e-05i,0.00044694-0.00030993i,0.0012494-0.0013911i,0.0011944-0.0014257i,0.00067348-0.00072411i,0.00020457+3.7763e-05i,9.6051e-05+0.00010367i,-4.2145e-05+0.00020678i,3.7174e-05+0.00050208i,0.00052702+0.00071037i,0.00055178+0.00061616i,-0.00031505-0.00023795i
0.00090489-0.0012067i,0.0019649-0.00068168i,0.0017087-0.0002565i,0.00026528-0.00050251i,-0.00032883+1.5692e-05i,1.2037e-06+0.00098051i,-0.00015584+0.0015959i,-0.00059909+0.0012401i,-0.00049387+0.00094408i,0.00028889+0.0012136i,0.0010165+0.0012035i,0.00048186+0.00099665i,0.00020962+0.00089341i,0.00048976+0.00011971i,0.00065982-0.0008198i,-0.00013811-0.0004868i,-0.00056028-0.00022293i,-0.00012305+0.0002997i,-3.9065e-05+0.00072638i,0.00037534+0.00063908i,0.00063763+0.00059148i,0.00015945+0.00028304i,0.00023713+0.00037695i
-0.00067718-0.00062924i,0.0002197-0.00030209i,8.849e-05-0.00049206i,-0.00099+0.00018511i,-0.00069225+0.00050234i,0.0009391+0.00050068i,0.00077475+0.00039519i,0.00038294+0.0010758i,0.00037495+0.0015281i,0.0011031+0.00096134i,0.002027+0.00085323i,0.0022511+0.00049794i,0.0014056-9.5094e-05i,6.6292e-05-0.00020547i,-0.00020335-0.00042378i,-0.00055146-0.00024545i,-0.00033474-8.2221e-05i,0.00062643+0.00018586i,0.00046685+0.0012104i,-0.0001933+0.0019278i,-0.00039286+0.0019483i,-0.00076191+0.00082391i,-0.00067568+0.00012598i
-0.0016642+0.00059675i,-0.00075671+0.0014316i,0.00062963+0.0027937i,0.0021248+0.0024393i,0.0024878+0.0012022i,0.0014787+0.00035685i,2.684e-05+0.00048179i,-0.0011005+0.0016532i,-0.0012974+0.0020082i,-9.757e-05+0.0020566i,0.00036725+0.0013092i,5.3597e-05+0.00017919i,1.7051e-05+0.00051567i,0.00032256+0.00028065i,0.00038558-0.00064733i,0.00058771-0.00019339i,0.0008877+0.00093965i,0.00040256+7.8698e-05i,-9.0158e-05-0.0005376i,-0.00043615-0.00015934i,-0.00060874-0.00059587i,-0.00056763-0.00065078i,0.0002509-0.00051115i
-0.00094751-0.001563i,-0.00088275-0.001279i,-0.0016776-0.0015664i,-0.0028523-0.00199i,-0.0016536-0.00083333i,-0.00019186+0.00040114i,0.0003207+0.00073552i,0.00026706+0.00061617i,0.00033178+0.00034466i,0.00025643+0.00023052i,-0.00021289-0.0003599i,-0.00052849-0.00099029i,-0.00030027-0.00069609i,0.00031794-9.5531e-05i,0.0004168-5.7886e-05i,0.00052159-0.0002595i,0.00073253-0.00031168i,0.00072703-1.21e-05i,0.00056955+0.00025693i,0.00069164-3.9205e-05i,0.00094843-0.00026626i,0.00099047+0.00011201i,-5.4416e-05+0.00079524i
-0.0014739-0.0010925i,-0.0018852-0.001254i,-0.0023236-0.0014653i,-0.0024628-0.00066046i,-0.0023899-0.00040522i,-0.0011802+0.00013637i,-0.00015952-0.00010613i,0.00082492-0.00027378i,0.0016717+0.00032183i,0.00118+0.000554i,0.00051071+0.00020519i,3.0965e-05-0.00039842i,0.00015887-0.00087747i,0.00041815-0.00085655i,0.00043895-0.0002315i,0.00061281-0.00039081i,0.00067729-0.00077695i,0.0010552-0.00036014i,0.0010773-0.00015454i,0.00039286-0.00052662i,0.00018956-0.0003402i,-0.00010111+2.7039e-07i,-0.00057939-0.00016669i
-0.0014429-0.0013581i,-0.00092178-7.1913e-05i,-0.0012724+0.0011187i,-0.0012339+0.0020929i,-0.0017734+0.0023632i,-0.001747+0.00074428i,-0.0010072-0.00084868i,-0.00017061-0.00060358i,0.00061204-0.00010906i,0.001497+0.00097308i,0.0017671+0.0024i,0.0010156+0.0018788i,0.00045721-0.00022199i,0.00047634-0.0011724i,0.00044612-0.00084927i,0.00019679-0.0012481i,-0.00012893-0.00095308i,-0.0003698-4.9917e-05i,-0.00010237+0.00030623i,0.00023117+0.00026927i,9.0859e-05-4.0463e-05i,7.7832e-05-0.00056164i,-0.0002021-0.00050467i
0.0017923+0.00033244i,0.0021687-0.00077698i,0.002851-0.001595i,0.0026251-0.0022425i,0.0013789-0.0028469i,0.00015513-0.0017773i,-0.0007838-0.00055293i,-0.0016227+8.5235e-05i,-0.0013184+0.0012053i,0.0003396+0.0011403i,0.00085845+0.00096965i,0.0012005+0.00081004i,0.0016795+0.00037258i,0.001055+4.9373e-05i,0.00074177+0.00012691i,-0.00034976+0.00097462i,-0.0012183+0.0009565i,-0.00064016+0.00022311i,0.00024551-0.00058861i,0.00025227-0.00066036i,0.0001973-0.00059742i,0.0007124-0.0012294i,0.00066207-0.0011761i
0.0007266+0.0012423i,0.0017103+0.00087239i,0.0019751+7.9886e-05i,0.0021833-0.0011834i,0.0019027-0.0013118i,0.00042902-0.00019941i,-0.00076379+0.00042192i,-0.0015251+8.377e-05i,-0.0014029+8.4572e-06i,-0.00037302+4.4916e-05i,0.00022777+0.00012254i,0.00060001-0.00058933i,0.00045801-0.0011206i,9.5887e-05-0.00070496i,9.5365e-05-0.00032958i,0.00033321+0.00031629i,0.00025512+0.00099767i,-0.00047806+0.0010243i,-1.0461e-05+0.00021873i,0.00022915-0.00020335i,2.0944e-05-0.00019681i,0.00020928-0.0004272i,-0.00027411+0.00012595i
-0.00060357-0.0019241i,-0.0019943-0.0014863i,-0.0037399-0.00045206i,-0.0039855+9.0414e-05i,-0.0029097-0.00018768i,-0.00088095-0.00024879i,-0.00068183-0.00014476i,-0.0009636-0.00010409i,-0.00060576+0.00024526i,-4.2501e-05+6.0677e-05i,0.00085197-0.00081891i,0.00047393-0.0012836i,0.00052833-0.0011757i,0.00055771-0.00071515i,-0.00034165-0.00050899i,-0.00035376-0.00048349i,0.00074757-0.00046264i,0.001145-0.00044538i,0.00079767-0.00098741i,0.00025786-0.0011622i,0.00038321-0.00041313i,0.00076686+0.00012846i,0.00047861+0.00050425i
0.0008863-0.0012909i,0.00067531-0.001904i,0.0003653-0.001676i,-0.00029881-0.00070221i,-0.00077498-7.5699e-05i,-0.00041008+0.00060684i,-0.00025821+0.00073832i,-0.00039341+0.00093749i,0.00024844+0.0014687i,0.00015822+0.0018831i,-0.00062765+0.0014267i,-0.00083944+0.00056863i,-0.00064947+0.00031847i,-0.00053155+0.00014728i,-0.00070014-0.00048066i,-0.00080815-0.00017589i,-0.0012928+0.00049477i,-0.0011768-0.00029542i,-0.0005449-0.0016418i,-0.00016571-0.0013943i,-0.00037694+0.00025011i,-0.00085858+0.001021i,-0.0012259+0.0017313i
0.00064422+0.0007386i,0.0016601+0.00042036i,0.0017014+0.00050873i,0.00053825+0.00034387i,0.00022105+0.00059711i,-0.00011503+0.0011737i,-0.00070891+0.0004804i,-0.00051367+0.0004512i,-0.00050952+0.0022675i,0.0003869+0.0037182i,0.0013297+0.0038437i,0.00079042+0.0021942i,0.0005049+0.00067051i,0.00056051+0.00022033i,2.9925e-06+0.00034783i,-0.00049375+0.0002674i,-0.00088323-0.00017887i,-0.00041925-0.00090709i,0.00048575-0.0011124i,0.0004948-0.00027289i,-0.00033432+0.00013839i,-0.0014052+0.00065113i,-0.0016122+0.00085281i
-0.00053727+0.00075233i,0.00050888-5.0015e-06i,0.0018357+4.5195e-05i,0.00084247-0.0010736i,0.00051861-0.0017563i,0.00029755-0.00087841i,9.6689e-05+0.0004916i,0.00053991+0.0014198i,0.00094282+0.0022372i,0.0015822+0.0023511i,0.0015345+0.0022103i,0.0010382+0.0026166i,0.00095455+0.0019707i,0.00084404+0.0010244i,0.00049906+0.00073031i,-4.1683e-05+0.00045416i,-0.00043869+0.00040015i,-0.00044818+3.0578e-05i,-0.00026661+0.00022027i,-0.00010387+0.00059854i,-0.00038872+0.00046715i,-0.00060609+0.00018778i,-0.00035281+2.9048e-05i
