-0.0042262+0.0007791i,-0.0033976+0.00050938i,-0.0042868+0.0015571i,-0.0033164+0.0014664i,-0.0017562+0.00098634i,-0.00099108+0.0020644i,-0.00089133+0.0024842i,8.1048e-05+0.0021466i,0.0015088+0.0017678i,0.0017529+0.0014218i,0.0012344+0.00091997i,0.00028632-0.00018033i,-0.00017675-0.00018862i,7.6064e-06-0.00020495i,0.00022982-2.2113e-05i,7.6009e-05+0.00055941i,7.7591e-05+0.00035121i,2.9215e-05-0.00086888i,0.00020099-0.00070772i,0.00030387+0.00061752i,-0.00035164+0.00038074i,-0.00015896-0.00033315i,0.0011825+0.00013545i
0.00023058-4.2164e-05i,5.4424e-05+0.00073024i,0.0013608+0.00039709i,0.0014228+0.00031474i,0.001231+0.00033103i,0.00076478-2.6138e-05i,0.00037998-0.00041391i,0.00081134+0.00022766i,0.00097574+0.00077622i,0.00093685+0.00043563i,0.00098684+0.00011811i,0.00039466+0.00024843i,0.00010096+0.00020848i,0.00048982+1.3552e-05i,0.00069784-0.00025716i,-0.00012501+0.00029063i,-0.00024558+0.00069349i,0.00015853-4.8425e-05i,-0.00026948-6.2005e-05i,-0.00023186-0.00016159i,-0.00017862-0.00045972i,-0.00061347-0.00034711i,-0.00064732-0.00037397i
-0.00071503+0.00071617i,-0.0017318+0.0004735i,-0.0026383+0.00074194i,-0.0029553+0.001238i,-0.0023395+0.0015703i,-0.0010674+0.00091803i,-0.00079652+0.00068177i,-0.0003499+0.001322i,0.00094775+0.0012134i,0.0014879+0.0008563i,0.0010938+0.00050193i,0.00031812+0.00047853i,0.00040869-0.00010131i,0.00065134-0.00090132i,-9.8556e-06-0.00012347i,-0.00050532+0.00088499i,-0.00031062+0.00044373i,-0.00022475+0.00056336i,-0.0011868+0.00084262i,-0.0012475+0.00043934i,-0.00019227+0.00051835i,0.00035736+0.00041659i,-0.00013946-0.0002558i
0.00062084-0.00037914i,0.00061512-0.00082592i,0.0014749-0.00029863i,0.0023124-0.00026637i,0.00074825+6.7568e-05i,-0.00045838+0.00041934i,-0.00037908-8.347e-05i,-6.8299e-06-0.00066912i,0.00029583-0.00064708i,-0.00011441-0.00064491i,0.00031488+5.3429e-05i,0.00013535+0.00044373i,-0.00077345-0.00019818i,-0.00088268-0.00040654i,-0.00048219-0.00056175i,-0.00049569-0.00026258i,-0.00039434-0.00037671i,-0.0003129-0.0010047i,-0.00057101-0.0010693i,0.00031972-0.00025867i,0.00043116+0.00048223i,-0.00068996-0.00011969i,-0.00059718-0.00045519i
-0.0013102+0.00092194i,-0.0017646+0.00086799i,-0.0023992+0.0012491i,-0.0016229+0.0011029i,-0.00033572+0.00065012i,0.00025839+0.0007981i,-0.00061978+0.0012266i,-0.0011373+0.00075409i,-0.00027185+0.00031733i,0.00034354+6.0385e-05i,-0.00058554-0.00016437i,-0.0015645+0.00033865i,-0.0011346+0.00084493i,0.00037979+0.00010437i,0.0010846-0.00015795i,0.00016642-0.00013705i,-0.00026214-0.0001908i,-0.00044588+0.00037009i,-0.00079533+0.00062486i,-0.00031162+0.00057059i,0.00052729+0.00073604i,0.00060087+0.000335i,0.00035957-8.6855e-05i
-0.00030556-0.00039516i,-0.0005044-0.00090868i,-0.0004173-0.0020549i,-0.00022398-0.0018993i,-0.00011665-0.00066133i,-7.6942e-05+2.8405e-05i,-0.0003378+0.00014667i,-0.00056688+0.00025497i,-0.00044085+0.00074505i,-0.00070688+0.00072595i,-0.00045+0.00058226i,3.7789e-05+0.00070134i,-0.00010773+0.00030583i,-5.0764e-05-2.2693e-05i,-0.00025059-8.6015e-05i,-0.0001158-0.00026202i,0.00037001-3.1524e-05i,0.00010889+4.6096e-05i,-0.00098683-0.00012145i,-0.00088411+0.00038989i,0.00020582+0.00023589i,0.0004507-9.3447e-05i,4.1762e-05-0.00021917i
-0.00038803-0.00053644i,-5.6394e-05-0.0013515i,3.1519e-05+0.00062088i,-0.00095271+0.0023478i,-0.0016174+0.0014563i,-0.00095503+0.00027359i,-0.00081309+0.0001463i,-0.00085751+0.00079576i,0.00010753+0.0013356i,0.001269+0.00047506i,0.0011033-0.00027723i,-0.00054508+7.3736e-05i,-0.0012076-0.00028495i,-0.00046066-0.0010579i,0.00046018-0.00094409i,0.00073739-0.00012124i,0.00041702+0.00010355i,0.00013118-0.00032451i,-0.00020094+0.00040615i,0.00015004+0.00072272i,-9.4871e-05+6.7937e-05i,-0.0011694-0.00010365i,-0.0013773-9.0201e-05i
0.00065378-0.0012807i,0.00081844-0.0019246i,0.001186-0.0021252i,0.0010501-0.0022161i,0.00064267-0.0018896i,0.00024866-0.00050841i,0.00021353+0.000394i,0.00033189+0.000707i,0.00057184+0.00033878i,0.00056053-0.00010169i,-0.00042025-0.00038811i,-0.00088798-0.001035i,-0.00025722-0.0008353i,0.00010285+7.8575e-05i,0.00018968-0.00076263i,0.00043266-0.0012658i,0.00034578-0.00062933i,-0.00012215-0.00019639i,-0.00090045+0.00031004i,-0.00053032+0.00056069i,-0.0001839+0.00067903i,-1.4921e-05+0.00026181i,0.00043243+4.8537e-05i
-0.0022393+0.0014147i,-0.0016164+0.0023612i,-0.00071107+0.0031674i,0.00048264+0.0024876i,0.00042646+0.00076864i,0.00042927-0.00087433i,-5.5148e-05-0.00075718i,-0.0010763+0.00015788i,-0.00089616+0.0003288i,-0.0002418+7.0706e-05i,0.0003049-0.00038674i,2.5016e-05-0.00061508i,0.00052871+0.00024877i,0.00062814+0.00055174i,-0.00046225+0.00027537i,-0.00058671+0.00043313i,-0.0007183-8.2221e-05i,-0.00057728-0.00027449i,-0.00048918+0.00028137i,-0.00037079+0.00019632i,-0.00017443+0.00030035i,-0.00016401+0.00070787i,4.2248e-05+0.00049167i
-0.00069887-0.0010548i,-0.0006819-0.00067974i,-0.0012133+0.00026692i,-0.0015458+0.0011426i,-0.0011657+0.0021492i,-0.00014858+0.0018869i,0.0005836+0.00068514i,0.00025281+0.00028734i,0.00014533+0.0010737i,0.00063883+0.0010338i,0.00035714+0.00020758i,-0.00078725-0.00012089i,-0.00084412+3.3527e-05i,-0.00030286+7.5119e-05i,-0.00050801-0.00034392i,-0.0011105-0.0013198i,-0.0010561-0.00147i,-0.00040586-0.00049507i,-6.6199e-05-0.00028839i,0.00037662-0.00056431i,-7.5847e-05-0.00014478i,-0.00071773-0.00016784i,-0.00038347-0.00025873i
0.0015826+0.00012697i,0.0013594+0.00037456i,0.0017788-0.00023738i,0.0014145-0.0010142i,0.0010288-0.0005354i,-2.1968e-05+0.00032614i,-0.00067211+0.00092942i,-5.2521e-05+0.0008787i,0.00055604+0.00046391i,0.0004224-6.7651e-05i,7.2746e-05-0.00023627i,0.00055443+6.911e-05i,0.00047316-0.00047428i,0.00034001-0.0014573i,0.00064174-0.0015547i,0.00029988-0.0012063i,-7.3919e-05-0.0012712i,-0.00012664-0.0013012i,-0.00083923-0.00038532i,-0.00070723+0.00033077i,-0.00016799+0.00010199i,-0.00034771-0.00048269i,-0.00076908-0.00026023i
-0.00034782-0.00041103i,0.00017588-0.00038336i,-4.3877e-05+7.3857e-05i,-0.001043+0.00046622i,-0.0023799+0.0002082i,-0.0019419-0.00015836i,-0.0012283+0.00040802i,-0.00087218+0.00081612i,-0.00048508+0.00025335i,3.3738e-06-0.00035415i,0.00020583-0.00040977i,-6.8522e-05-0.00041095i,-9.2439e-05-0.00029608i,0.00018695-2.0667e-05i,0.00038867+0.00037208i,9.061e-05+0.00052731i,-0.00051572+0.0003846i,-0.00099188-0.00044217i,-0.00028974-0.00060218i,0.00055597+9.6076e-05i,0.00056312-0.00053873i,-0.00018645-0.0011375i,-0.00053759-0.00078475i
0.00080219+0.0014861i,0.00080286+0.0019811i,0.00080714+0.00097718i,0.00054828+0.00016583i,-0.00015483+0.00040591i,-0.00095221+0.001106i,-0.00063249+0.0011171i,-0.00036781+0.00065307i,7.0975e-05+0.00080223i,0.0010195+0.00021557i,0.0017822-0.00032176i,0.0013963+0.00015909i,0.00064846+0.0004011i,0.0002883+0.00041989i,-0.00037466+0.00028964i,-0.00060558+6.0832e-05i,-0.0007474+0.0003458i,-0.00096214+0.00049359i,-0.0014916+0.0004146i,-0.0012553+0.00030586i,-0.0001512+4.6278e-05i,0.00024407+9.4494e-05i,0.00054689+0.00025324i
0.00039407-0.00064255i,0.00037947-0.00050272i,0.00042413-0.00029397i,0.00070913+0.00034804i,0.00048543+0.00019971i,-0.00071783-3.0852e-05i,-0.0014553+2.7265e-06i,-0.00080351+0.00021564i,0.00010888+0.0005582i,0.00081799+0.00096878i,0.00064945+0.00031591i,0.00038728+8.7448e-05i,0.0010732+0.00026692i,0.0010707-0.00094342i,0.0005015-0.0020767i,0.00041931-0.0014845i,0.00064738-0.0002775i,-2.9228e-05+0.00036076i,-0.00025173+7.2051e-05i,0.00048155-0.0005804i,0.00069471+0.0001907i,0.00013824+0.00046849i,0.00052189+0.00014992i
-0.0024208+9.3523e-05i,-0.0022577+0.00103i,-0.0018487+0.0018004i,-0.001603+0.0018849i,-0.00077638+0.00079574i,-0.0012291+0.00056841i,-0.0021031+0.0007614i,-0.0012868-0.00022589i,-0.0009383-0.00065553i,-0.00066648-0.00022567i,-0.00035761-7.6069e-05i,0.00026107+1.0569e-05i,-0.00025475+0.00010495i,-0.0010558-0.00012815i,-0.0010361+0.0002375i,-0.00061814+0.00022503i,0.00035564+0.00051784i,0.00024896+0.00059277i,-0.00055651+0.00052487i,7.0448e-05+0.00074133i,0.0010095+0.00023233i,0.00081689+0.00021263i,-0.00026303+0.00074655i
0.0022645+0.00057274i,0.0018749+0.00090181i,0.001185+0.00058096i,9.1538e-05-0.00052432i,-0.00094211-0.0013741i,-0.0013985-0.0017464i,-0.0010888-0.0014458i,-0.00044787-7.4721e-05i,-0.00085933+0.00055042i,-0.00085414-0.00018105i,-0.00073426-0.00037108i,-0.00079935-0.00037226i,-0.00056025-0.0010463i,-0.0003906-0.0014896i,-3.6165e-05-0.0010777i,-0.00015243-0.00084819i,-0.00023955-0.0003297i,-0.00023654+0.00026829i,-0.00097411+0.00039453i,-0.00074199+0.00049395i,0.0001495+0.00011305i,7.5352e-05-0.0005265i,0.000235-0.00057758i
0.00075063+2.0176e-05i,-0.00055897-0.00041108i,-0.00081039-0.0010624i,-3.1937e-05-0.00049755i,0.00010745-9.7916e-05i,-0.00044982-6.8456e-05i,-0.00039028+0.00022239i,-9.6151e-05+0.0010984i,0.00025523+0.0010568i,0.00065032-1.5127e-05i,0.00073228+0.00018415i,0.00031237+0.00032789i,-0.00014706-0.00059811i,-0.00019027-0.0009483i,3.1281e-05-0.00011867i,-0.00046439+0.00013735i,-0.0010013-0.00053869i,-0.00067942-0.00076229i,4.1133e-05-0.00030225i,0.00028176+0.00034785i,0.00062336-2.0051e-06i,0.0007665-0.00038147i,0.00035726-0.00022825i
-0.0019367+0.00065207i,-0.0018076+0.0012498i,-0.0011325+0.0017938i,-0.00056065+0.0019187i,-0.00036724+0.00072356i,0.00022224-0.00053713i,0.00034484-0.00037975i,-0.00011132-0.00016229i,-0.00071056-0.00021236i,-0.00044292+0.00016845i,-0.00041088-0.0004543i,-0.00069896-0.000482i,-0.00052456+3.1118e-05i,-0.00038232-4.7655e-05i,1.5241e-05-0.00033439i,6.1434e-05-0.00016129i,-0.00066424+5.7416e-05i,-0.00040543+0.00019766i,-3.6974e-05-0.00011732i,-0.00029256-3.3657e-05i,0.00023599+0.00015136i,0.0011107-5.1071e-05i,0.00039568+0.00018582i
-0.00028344-0.0013513i,-4.2831e-05-0.001592i,-1.9474e-05-0.00047914i,-0.00039685+0.00076375i,-0.0010171+0.0010886i,-0.00093614+0.00033366i,-0.00033821-0.00029724i,-0.00018462+0.00025781i,-0.00043898+0.0013064i,-0.00035794+0.0013997i,0.0002774+0.00092043i,0.00016224+0.00052852i,-0.00050761+0.00011609i,-0.00042118-0.00020995i,0.00040304-0.00057251i,0.00059292-0.00059374i,-8.7749e-05-0.00079343i,9.693e-05-0.00013805i,0.00079943+0.00065908i,0.001214+0.00034388i,0.00082862-0.00019574i,0.00031906-8.2475e-05i,2.1356e-05+0.00028665i
-0.0015523+0.00081009i,-0.00091397+0.0013613i,-0.0020393+0.0025388i,-0.0010009+0.0015827i,0.00044525-7.0412e-05i,0.00062035+0.00020791i,0.00018555+0.00087466i,-0.00026953+0.0011819i,0.00013372+0.0013492i,0.00052461+0.0012299i,-9.4469e-05+0.0011208i,-0.00065492+0.00079667i,0.00050337+0.00048839i,0.00099219+0.00052363i,0.00037729-4.4497e-05i,7.5714e-05-0.00063284i,-0.00023979-5.269e-05i,-8.0069e-05+0.00065797i,-0.00021343+0.00026101i,-0.0003364-0.00052386i,0.00067376-0.00025878i,0.00077445+0.00038479i,0.00046624+0.00024561i
0.00047072-0.00054108i,0.0010594-0.00056335i,0.001139-0.00025424i,-4.4996e-05+0.00054223i,-0.0011427+0.001145i,-0.00078546+0.0011774i,-0.00098057+0.0008976i,-0.00090098+0.00012407i,-0.00057057-0.00013828i,-0.0007709-0.00027083i,-0.00046549-0.00062514i,2.5802e-05-0.00082434i,0.00042075-0.00049776i,0.00063696+0.00016701i,0.0005541-0.00018975i,0.00052164-0.00057509i,2.5471e-05-6.0174e-05i,-0.00025557-0.00047463i,6.0257e-05-0.0006563i,-0.00021907+0.00011138i,0.00042422+0.00029195i,0.00054252-0.0001508i,-0.00023049-0.00065814i
-0.00036614+0.0011119i,-0.00033127+0.00034026i,-0.0010877+0.00016749i,-0.0014476+0.0004078i,-0.0014286+0.00032919i,-0.0015541+9.5063e-05i,-0.0014107-0.00026675i,-0.00089265+0.00034791i,5.5872e-05+0.00049106i,0.0010175-0.00036812i,0.00086349-0.00043789i,0.00061529-0.00059389i,0.00015393-0.00042521i,-0.00063576-0.00042896i,-0.0010542-0.00075924i,-0.00080377-8.2265e-05i,-0.00079608+0.00012421i,-0.00094756-0.00050022i,-0.00053091+0.00013737i,-0.00034465+0.00042412i,7.5516e-05-0.00037555i,-1.1521e-05-0.00040306i,-0.00026468-0.00039302i
0.0010551+0.00052254i,0.0021178+0.00039113i,0.0032195-0.00062649i,0.0021647-0.0015096i,0.0016435-0.0011418i,0.0009076-0.001104i,-0.00011399-0.00075509i,-0.00035399-0.00012878i,-5.9626e-05-8.5196e-05i,0.00016892-0.00020572i,-0.00010023-0.00044327i,-0.00039043-0.001298i,-0.00013469-0.0015269i,9.9472e-05-0.0011409i,0.00039517-0.0010141i,0.00098446-0.0009227i,0.00030998-0.00044786i,-0.00048495+0.00027112i,-0.00091885+0.00061365i,-0.00060361+0.0003011i,0.00033625-0.00027512i,0.0005562+0.00040437i,3.349e-06+0.0010844i
0.00039114+0.00035699i,0.00079553-0.00058354i,0.00072889-0.00069559i,0.0008415-0.00068827i,0.0012114-0.00090273i,0.00035615+0.0001935i,-0.00052299+0.00073792i,-0.00070876+0.00020926i,-0.001109-0.00023494i,-0.0014116-0.00094752i,-0.00081476-0.00035698i,-0.00099433+0.00028348i,-0.0012144-0.00048063i,-0.00047293-0.00094916i,-0.00047299-0.00054015i,-0.00034046+6.5578e-05i,-0.00020639+0.00035346i,-0.00071399+0.00034254i,-0.00055436+0.00044465i,0.00017461-9.492e-05i,0.00038512-0.0002708i,-0.00030164-0.00016162i,-8.6414e-05-0.00015978i
-0.0015279-0.00021818i,-0.00051805-0.00035356i,-0.0010514+0.00054152i,-0.0011579+0.0012429i,-0.0006897+0.0017283i,-0.00053785+0.0015879i,-0.00045337+0.00075507i,-0.00040314+0.00024415i,-0.00043031+0.00069485i,-0.00066735+0.0014585i,-0.0012733+0.0001534i,-0.001434-0.00089817i,-0.00035833-0.00028671i,-0.0002523+0.00022214i,-0.00096782+6.131e-05i,-0.001211-0.00014065i,-0.0012081-0.00015865i,-0.0012711-0.00027614i,-0.00075766+8.8462e-05i,-0.00047252+0.00040835i,-0.00031683+0.00070145i,0.00030103+8.557e-05i,0.00015816-0.00027807i
-0.0013305+0.0001399i,-0.0014059-0.00032544i,-0.0021293-0.00050128i,-0.0018375-0.0009793i,-0.0010989-0.0013806i,-0.00074583-0.00094907i,-0.00091436-0.00045419i,-0.0011396+8.8644e-05i,-0.00098548+0.00079681i,5.9222e-05+0.00072838i,0.00052536+0.00097144i,6.971e-05+0.00049478i,9.0216e-05-0.00022696i,0.00043553-0.00043153i,0.00084506-1.5264e-05i,0.0010262+9.398e-05i,0.00067118+4.0518e-05i,1.6857e-05+0.00040339i,-0.00019054+0.00073379i,7.1255e-05+0.00068583i,0.00015477+0.00058575i,-0.00037999+0.00015913i,-0.00032679-0.00014173i
0.0013056-0.0026704i,0.0011388-0.0025637i,0.0015245-0.0026284i,0.00012251-0.0020386i,-0.0017728-0.00099178i,-0.0016566+0.00063337i,-0.00059211+0.00091177i,-0.00051968+0.0005034i,-4.0961e-06+0.00012983i,0.00041471-0.00059186i,-2.1408e-05-0.0010931i,-0.00030627-0.00055655i,-0.00061142+7.6875e-05i,-0.00010375+0.00038012i,-0.00016256+0.00046461i,-0.00096605+0.00045611i,-0.0011896+0.00054789i,-0.0011614-0.00021191i,-0.00058385-0.00069468i,-0.00039365-0.00012142i,-0.00070514+0.00059544i,-0.0004842+0.00053801i,-0.00020075-9.4207e-06i
-0.00025105+0.00077823i,6.0457e-05+0.0001485i,0.00077958+0.00047078i,0.0016279+0.0011805i,0.0015574+0.0011276i,1.8805e-05+0.0006618i,-0.0014144+0.00081598i,-0.00066738+0.0012327i,0.00027463+0.0010477i,0.00079249+0.00080244i,0.00097231-7.8642e-07i,0.00064431-0.00069143i,-0.00020201-8.5674e-05i,-0.00079723+8.9041e-05i,-0.00094009-0.00046029i,-0.0012951-0.0016568i,-0.0008176-0.0013755i,-0.00015594-0.00033904i,-0.00050681-4.6609e-06i,-0.00046275+0.00050598i,-0.00026129+0.00036634i,-0.00074464+4.545e-06i,-0.00063306+0.00043852i
-0.00056317-0.0016343i,-0.00050606-0.0023984i,-0.00080173-0.0027661i,-0.0010545-0.0011392i,-0.0018282+0.00011413i,-0.0014406+0.0006756i,-0.00033642+0.00063367i,-6.151e-05+0.00093872i,0.00027828+0.0013338i,0.0002183+0.0011061i,-0.00065956+0.0004725i,-0.00086033-0.00034379i,-0.00032898-0.00033723i,0.00010117-0.00038407i,8.5615e-05-0.0010932i,-8.7061e-05-0.0012654i,-1.5869e-05-0.00077i,0.00026527+6.6817e-05i,9.2077e-05+0.00015857i,-0.0010875-0.00014507i,-0.00081828-0.0003401i,0.00015332-0.00054723i,0.00025718-0.0010746i
-0.0020564+0.0027685i,-0.0024706+0.0027325i,-0.0015907+0.0020072i,-0.00090816+0.0010799i,-0.00014777+0.00045854i,0.00045744-0.00016762i,-0.00016535+0.00033953i,-0.00055294+0.00062043i,-3.2095e-05+0.00041814i,-5.1055e-05+0.00037992i,-0.00059425-0.00044506i,-0.00015792-4.3721e-05i,0.00026702+5.1713e-05i,0.00065949-0.00044096i,0.00056889-0.00077354i,0.00020378-0.0005344i,0.00016836-7.7801e-05i,-6.907e-05-0.00038153i,-0.00038042+0.0002065i,0.00035924+0.00066492i,0.000134+0.00047944i,-0.0009937-9.7371e-05i,-0.00092378-0.00016845i
0.00030072+6.7118e-05i,0.00065532-0.00075376i,0.00094502-0.0016312i,0.00053123-0.00071101i,0.00016508-0.00010741i,9.7247e-05+0.00019651i,0.00020846+0.00010301i,6.2553e-05+0.00044844i,-0.00042691+0.00064069i,-0.00020953+5.8098e-05i,-0.00037107+0.00021768i,-0.0012313+0.00025358i,-0.0009106-0.00011553i,-0.00021483+0.00019342i,-8.9369e-05+0.00032296i,0.00023937-7.0707e-05i,-0.00041709+0.00011409i,-0.0010035+0.00022292i,-0.00078269-0.00026021i,-0.00023893+0.00013778i,0.00032178+0.00048901i,0.0002122-0.00032463i,-0.00012085-0.0005359i
0.0001301+0.0014214i,0.00024848+0.001187i,-6.5688e-05+0.0021584i,-0.00024356+0.0017439i,-0.00027067+0.00091895i,-0.00030106+0.0011925i,-0.00027566+0.0011778i,-0.00080308+0.00056884i,-0.0011035+0.00031583i,-1.4848e-05+0.00064513i,-6.1768e-06+0.00047765i,-0.00026792+0.00016334i,0.00030576+0.00025226i,0.00084943-2.4207e-05i,0.0010468-0.00030016i,0.0004331-0.00054404i,1.5013e-05-0.00068045i,-0.00059992+0.00029872i,-0.0010761+0.0010181i,-0.00051081+0.00088828i,0.00028185+0.00073908i,0.00058621+0.00038666i,0.0013095+0.00053713i
-0.00045962-0.0012754i,-0.0013965-0.00049816i,-0.0021959-0.00065313i,-0.0021704-0.0010616i,-0.0011933-0.00015747i,-0.00050676-0.00015946i,-0.00052974-0.00015938i,-2.1687e-05+0.0010096i,0.0004875+0.0012045i,0.00088035+0.0010304i,0.00048186+0.0010139i,-0.00026218+0.0006604i,-4.2835e-06+0.00038678i,0.00090201+1.3305e-05i,0.0013375-0.00035186i,0.0007224-9.1707e-05i,0.0001072-0.00014131i,-0.00065659-0.00026517i,-0.00074268+0.00019138i,-0.000158+0.00040176i,-0.00063284+0.00035344i,-0.00087695+0.00060523i,-0.00062622+0.00068472i
-0.0018623-0.00039378i,-0.00083446-0.0010981i,8.8994e-05-0.00030237i,0.00015725+0.00053519i,0.00030963+0.00064933i,-0.00024246+0.00079196i,-0.00042753+0.00083456i,-4.217e-05+0.00073083i,0.00032917-7.926e-06i,0.0007321-0.00075471i,0.00087229-0.0010318i,0.00054435-0.00040462i,0.00056777-8.9975e-05i,0.00060501-0.00032703i,8.8128e-05-7.4293e-05i,-0.00078958-0.00037176i,-0.0011113-0.00098579i,-0.00088138-0.00056855i,-0.0007273+0.00028227i,-0.0005392+0.0005676i,-5.2895e-05+0.00043071i,0.00040878+0.00093916i,0.00054942+0.00079838i
-0.00019139+0.0023444i,-0.00067314+0.0017486i,-0.00066909+0.0021861i,-0.0015173+0.0022105i,-0.0012852+0.001219i,-0.00094511+0.00066661i,-0.00092548-0.00042397i,-0.00074927-0.00043978i,0.00023198-0.00028521i,0.0009112-0.00034297i,0.00026501-0.00068847i,0.00038822-0.00075197i,0.0010689-0.00046624i,0.00045033-0.00065331i,-0.00077431-0.00068039i,-0.00073699-0.00036713i,6.5669e-06-3.1158e-05i,0.00019187+0.00094238i,-0.00039757+0.00078607i,-0.00067827+0.00016261i,-0.00012401+0.00041922i,0.00018041-1.4191e-05i,0.00010299-0.00029265i
0.0010967-0.0024585i,0.00081062-0.002213i,0.0005149-0.0027893i,0.00035636-0.0027291i,-0.00098993-0.0012706i,-0.0012482-0.00013631i,0.00011288+0.00020303i,-0.00019774+0.0012534i,0.00011279+0.0014623i,0.00049028+0.00050616i,-0.00050452+0.00013836i,-0.00097497+8.4035e-05i,-0.0010069+0.00013262i,-0.00076364-0.00036245i,0.00012159-0.00036181i,0.0004351+0.00022383i,0.00013757-0.00026648i,-0.00019677-0.00045105i,-0.00084805+7.9882e-05i,-0.00032972+0.00015919i,0.00084762-0.00037883i,0.00057152-0.00092656i,5.2597e-05-0.00027265i
-0.00090307-0.0010105i,-0.00057416-0.00042547i,-0.0010224-0.00089428i,-0.0013133-0.00054473i,-0.00086552-0.00033924i,-0.00060543-0.00014512i,-0.00029422-1.5301e-07i,-0.00027686-0.00015109i,-0.00068401-0.00044916i,-0.001088-0.0009533i,-0.00084647-0.00079631i,-0.00060194-5.2828e-05i,-0.00071429+0.0008242i,0.00029796+0.0011358i,0.0012817+0.00031899i,0.00033611-0.00045471i,-0.00056878-0.00024957i,-0.0004972+0.00038571i,-0.00078744+0.00069016i,-0.00027907+0.00091969i,0.00049252+0.0010109i,0.00025981+0.0010256i,0.00016323+0.00083228i
0.00033826-0.00012163i,0.0015188+0.00018369i,0.00063057+0.00030157i,-0.000513+0.00055108i,-0.0002892+0.00027832i,-0.00070766-0.00034901i,-0.000475-0.00049087i,-7.5608e-05+0.00016316i,-0.00016365+0.0010171i,0.00012603+0.0013191i,-0.00057355+0.0012801i,-0.0010489+0.00087538i,0.0001149+0.00095424i,0.0001911+0.00027083i,-5.6293e-05-4.9066e-05i,2.9047e-05+0.00010985i,0.00018395-0.00011697i,0.00062432-0.00038581i,0.001005+0.00017141i,0.00067274+0.0004858i,0.00027945+2.9992e-06i,0.00053868-0.00043454i,0.00098917-0.00026687i
-3.8997e-05+0.0011661i,-0.0011014+0.0009923i,-0.001179+0.00056131i,-0.001043-0.00041317i,-0.0015219-0.001186i,-0.001705-0.00035383i,-0.0019987+0.00046926i,-0.00074776+0.00068572i,0.00065341+0.00065527i,0.00064581+0.00025425i,0.00024065+0.00018274i,-0.00011744+0.00065322i,0.00034798+0.00095256i,0.00092889+0.00029082i,0.00055276-0.00053885i,-0.00013788-0.0011422i,-0.0008226-0.00071224i,-0.00093817+0.00031519i,-0.00052657-0.00018282i,-0.00042186-0.00092211i,-0.00033005-0.00026053i,-0.00042608+0.00043997i,-0.00034802+0.00060872i
-0.00048853+0.00069089i,-0.00043909+0.00042054i,0.00077966+0.00026313i,0.0018216+0.0006407i,0.0011436+0.00069771i,-0.00034879+0.00063548i,-0.0014741+0.0012513i,-0.0014508+0.0013961i,-0.00028667+0.0014157i,0.00030816+0.0006941i,0.00020423-0.00024346i,0.00050888+0.00030273i,0.00097537+0.00060999i,0.0017212+0.00017894i,0.0010329-0.00034188i,-0.00046753-0.00084677i,-0.00062578-7.6039e-05i,-0.00042917+0.00043581i,-0.00095443-0.00039761i,-0.00084287-0.00085942i,1.801e-05+0.00014886i,0.00062606+0.00045556i,0.0013014+2.6884e-05i
-0.00024269+0.00019536i,-0.00030988+8.2304e-05i,-0.00088566-0.00050361i,-0.0020315+0.00015721i,-0.0022617+0.00054829i,-0.0012112+0.00034567i,0.00031556-0.00028183i,0.00085042-0.00035261i,-0.00027141+0.00017438i,-0.00043107+0.0002358i,0.00054859-3.9324e-05i,0.0010809-0.00053905i,0.00064801-0.00066748i,-0.00018836-0.0010932i,-0.00058556-0.0013156i,-0.0012132-0.0012254i,-0.0013288-0.00056122i,-0.0013284-6.9554e-05i,-0.0009469-7.5784e-05i,-5.996e-05-0.00015205i,0.0005598-0.00019875i,0.00042971+0.00013161i,9.0573e-05+0.00031816i
0.00092717+4.7345e-05i,0.0012859+0.0010703i,0.00070143+0.00066815i,-0.00054525+3.1496e-05i,-0.001747+0.00015466i,-0.0015151+8.076e-05i,-0.00057616+0.00049132i,-0.0008905+0.00079959i,-0.00094269+0.00051484i,-0.00061731-0.00051436i,-0.00085769-0.001131i,-0.00060565-0.00033912i,3.0414e-05+0.00022058i,0.00015313-0.00024392i,-0.00030094-9.2839e-06i,-0.0014942-0.00029442i,-0.0016591-0.00076179i,-0.00077632-0.00013053i,0.00021894+0.00034263i,0.00019434+0.00037676i,0.00011091+0.00073112i,0.00046905+0.00076228i,0.00044521+5.3889e-05i
-0.00085995+0.00017853i,-0.0011723-0.0001977i,-0.00023054-1.5973e-05i,-0.00099508+0.00046707i,-0.0013994+0.00046997i,-0.00089299+0.00045058i,-0.00065026+0.0010672i,-0.0007062+0.0011376i,-0.00043111+0.0014981i,-0.00037094+0.0013785i,-0.00086909-8.2615e-05i,-0.0012997-0.00014755i,-0.00033028+0.00076195i,0.00086933+0.0012903i,0.00068323+0.00064625i,0.0004185-0.00012113i,0.00012122-7.9694e-05i,-0.0003887+0.00016115i,0.00024564+0.00034264i,0.00052893+0.00069471i,0.00028314+0.00040447i,0.00058059-0.00060548i,0.00045372-0.00064652i
