0.0010756-0.00043524i,0.00060728-0.00020601i,-0.00087196+0.00053246i,-0.00075884+0.00089681i,0.00022592+0.00055176i,0.00017571+0.00035722i,0.00037371+0.0006903i,0.00023404+0.00072249i,-0.00024712+0.00044239i,0.00064769+0.00021168i,0.00045058-0.00090688i,-0.00079594-0.0016872i,-0.00084328-0.0013633i,-5.0717e-05-0.0011714i,1.5827e-06-0.00059943i,-0.00019209+0.00033213i,-0.00078617+0.0009749i,-0.00062725+0.00095744i,0.00051732+0.00051051i,2.8429e-05-0.00023252i,-0.00049291-0.00032431i,-0.00041126+0.00028875i,-0.00028547+0.0001955i
0.0037205+0.0010456i,0.0038317+0.0011957i,0.0035943+0.0014672i,0.0025285+0.00095863i,0.0015564+6.679e-05i,0.00065076-3.0089e-05i,0.0010778-5.5921e-05i,0.0016355-0.00038678i,0.0012044-0.00041762i,0.00032541-0.0008765i,9.1728e-05-0.00094175i,-0.00021616-2.783e-05i,-0.00045386+0.00022765i,-0.00058083+9.5712e-06i,-0.0007088+0.00033583i,-0.00091005+0.00056312i,-0.00053988+5.0123e-05i,-0.0002708-0.00083775i,-0.0006939-0.00052346i,-0.0011026+0.00037242i,-0.00068475+0.00095335i,-0.00023753+0.00097526i,-0.00041713+0.0003576i
0.003127-4.2976e-05i,0.003067+0.0001113i,0.0014605-2.018e-05i,-0.00080395-0.0001839i,-0.0014907-0.00081222i,0.00063972-0.0010714i,0.0020372-0.00095619i,0.00096967-0.00016027i,6.7918e-05+0.00075435i,0.00010509+0.00094043i,-0.00036705+0.00077253i,-0.00060583+0.00083497i,-0.00013814+0.0014023i,1.0342e-05+0.00088765i,-2.2704e-05+0.00026537i,-0.00043142+0.00040125i,-0.00031275+0.00021423i,-0.00010482+0.00074631i,8.2244e-05+0.0016118i,3.0539e-05+0.0014844i,0.00018585+0.00096101i,0.00052057-0.00011749i,0.00027364-0.00038729i
-0.0012106-0.00044272i,-0.0026071-0.0012428i,-0.0022138+0.0001785i,-0.0014687+0.002283i,6.1328e-05+0.0021052i,0.0013527+0.0016511i,0.0016772+0.00069224i,0.0010309-0.00017888i,0.00069918-0.00066374i,0.00063805-0.00019449i,0.00015626+0.00053134i,-0.00071597-0.00018651i,-0.00060289-0.00058903i,-0.00073838+0.00017589i,-0.00085824+6.3217e-05i,-0.00063357-9.1578e-05i,-0.0006209-0.00019092i,-0.00021338-0.00027699i,0.00010429+0.00053508i,-0.00034335+0.00099362i,-0.00012928+0.00070058i,-0.00021014+0.00045267i,-0.00049153+0.00053754i
-0.00047391-0.0013131i,0.0003193-0.0028302i,0.0006709-0.0037455i,0.00027778-0.0033469i,0.00066865-0.0015809i,0.0013613+9.6807e-05i,0.0021435+0.00057631i,0.0011937-6.4178e-05i,-0.00033095-0.00048847i,-0.00052978+0.00013532i,-0.0001922-6.5579e-05i,-0.00049891-0.00056006i,-0.0008264-0.00080111i,-0.00060113-0.00066105i,-7.8854e-05-0.00014102i,0.0006414-0.00053648i,0.00080211-0.0004967i,0.00055356-0.00034821i,0.0002424-0.00038266i,-0.00012368-0.00073882i,-0.00072685-0.0009195i,-0.0014878+5.3395e-05i,-0.0011502+0.00079038i
0.0063404-0.0029202i,0.0060196-0.0031006i,0.0034204-0.0031986i,0.00056911-0.00088043i,-0.00055907+0.00099596i,0.00055819+0.0012435i,0.0016473+0.00066599i,0.001293-0.00010881i,0.00012293-0.00036281i,-0.00026151-1.8896e-05i,0.00018313-0.00032045i,4.8347e-05-0.00039567i,-0.00028448+0.00054329i,-0.00048045+0.0015692i,-0.00032041+0.0016624i,5.6317e-05+0.0013644i,0.00022544+0.00081315i,-9.647e-05+0.00030838i,-0.00015893-6.4769e-06i,0.00030686-0.00035599i,0.00032508-0.00026841i,-0.000181+0.00022756i,-0.00010187+0.00086295i
0.0041071+0.0026002i,0.0040577+0.0023148i,0.0015115+0.0010281i,-4.4776e-05-0.00060033i,0.00036181-0.0009542i,0.00036823-0.00057583i,0.00095899-0.00058488i,0.0014592-0.00042233i,0.00079074-0.00025626i,-0.00017456-0.00072713i,-0.00020042-0.00064001i,-0.00015583-0.00047319i,-0.00023094+0.00022366i,-0.00013141+0.00065399i,-0.00029953+0.00062584i,-0.00056489+0.00080248i,5.2014e-05+0.00072447i,0.0007253+0.00081263i,0.0004696+0.00058017i,0.00017131-0.00030939i,0.00025307-0.00053695i,-3.9768e-05+0.00022704i,-0.0005817+0.0003167i
-0.0025966-0.00075857i,-0.0025989-1.2982e-05i,-0.0023912+0.0010595i,-0.0012876+0.0019437i,-0.00019569+0.0017161i,0.00082016+0.0012255i,0.0011179+0.00075771i,0.0010327+0.00062678i,0.00079781+0.00032706i,0.00037151+0.00045155i,0.00024327+0.0013675i,-4.889e-05+0.0012164i,0.00038458+0.00031523i,0.0008971+0.00041239i,-0.00016333+0.00094088i,-0.00061595+0.0014135i,-0.00068683+0.0010936i,-0.0001868-6.054e-05i,0.00065461-0.00049145i,0.00059988+2.596e-06i,0.00022227+0.00017655i,-0.0002235+8.7805e-05i,-0.00076883+2.5454e-06i
0.0021945-0.0016049i,0.0015462-0.002358i,0.00070466-0.0027788i,0.00028978-0.0020347i,0.00092628-0.00066241i,0.0020196+0.00053933i,0.0028715+0.0011059i,0.0021641+0.0009896i,0.00065837+0.00031358i,-9.5897e-05-0.00057356i,0.00019395-0.00087702i,0.00049894-0.00054192i,-0.00023898-0.00015429i,-0.00033899-0.00032432i,-0.00019987-0.00013545i,-0.00076973+0.00016216i,-0.00069581+0.00017178i,-0.0006025-0.00039855i,0.00019531-0.00069465i,0.00071168+3.905e-06i,-0.00028456+0.00051439i,-0.00097978+0.00043371i,-0.00094418+0.00011143i
0.003084+0.0023405i,0.0037209+0.0021964i,0.0031273+0.00067517i,0.0015296+0.00074428i,0.00056739+0.0011192i,0.0016646+0.00014592i,0.002182-0.0010271i,0.0016019-0.0013891i,0.00099492-0.0016742i,0.00034533-0.00111i,0.00026661+7.9592e-05i,0.00078129+0.0010471i,0.00037719+0.001152i,-0.0002264+3.711e-05i,-0.00026025-4.4619e-05i,-0.00060874+0.00031429i,-0.00056416-0.0002928i,8.2707e-05-0.00049138i,0.00085789-0.00015294i,0.0010103-2.6785e-05i,0.00047442-0.00035084i,-8.6637e-08-0.00064696i,-0.0002709-0.00026664i
-0.0020955-0.00030633i,-0.001244+0.00087138i,-0.00083153+0.0010785i,-0.00044634+0.001195i,-5.1806e-05+0.0022009i,0.00075545+0.002463i,0.0013342+0.0016085i,0.0014646+0.0012627i,0.00061321+0.00057419i,0.00041161+0.00062223i,0.00090145+0.00073866i,0.00013894+0.00062964i,-0.00050879+0.0002652i,3.8351e-05+0.00037616i,0.0004833+0.00083876i,0.00031374+0.00071256i,0.00053943+0.00021917i,0.00090537-0.0005747i,0.00012726-0.0012409i,-0.00071802-0.0011297i,-0.00069451-0.00044504i,-0.00032324-0.00078908i,-6.8245e-06-0.00076911i
0.00014654+0.0013325i,-0.00080707+0.0010037i,0.00013005+0.0012605i,0.00086555+0.002086i,-0.00046467+0.0011871i,-0.0003875-0.00051465i,0.00016991-0.00070026i,0.00019413-0.00019354i,0.00076068+8.6336e-05i,-2.0358e-05+0.00017511i,-7.65e-05-3.4436e-05i,0.00015671+1.8312e-05i,-0.0007457+0.00037872i,-0.00045249+0.00013779i,-1.5267e-05-0.00012152i,0.0001243-0.00038844i,0.00030988-0.00073907i,0.00089271-0.00014685i,0.00081031+0.0010127i,-9.0601e-05+0.00055914i,-5.3433e-05-0.00041189i,0.00018175-0.0004799i,-0.00056803-0.00047387i
0.00062066-0.0017453i,0.0005686-0.0025691i,-0.00024889-0.0019355i,-0.00045312-0.0010616i,-6.1416e-05+0.00047534i,0.0011798+0.000702i,0.0020568-0.00025008i,0.00096596-8.4703e-05i,-0.0003507+0.00049051i,-0.0012584+0.00063182i,-0.0010024+0.00071069i,-0.00031949+0.00087448i,-0.00038195+0.00087611i,-0.00063926+0.00068229i,-0.00061323+0.00092937i,-0.00064072+0.0010086i,0.00010961+0.00076264i,0.00057499+6.5252e-05i,0.0004036-0.00045996i,0.00040212+1.2062e-05i,0.00025002+0.00032914i,0.0001981+0.00046192i,0.00050073-1.5538e-05i
0.0046812-0.00039721i,0.0056378-0.00086202i,0.0042931-0.0016615i,0.0015316-0.0021252i,0.0011099-0.001602i,0.0019829-0.00069849i,0.0015344+0.0005417i,0.00067364+0.00099532i,0.00083481+0.00092466i,0.00084258+0.00094321i,3.4734e-05+0.001027i,3.5051e-05+0.00042876i,0.00031293-0.00015579i,-0.0003118-0.00011585i,-0.00095237+0.00013244i,-0.0010709+0.00047455i,-0.00081248+0.00016801i,-0.00038456-0.00034394i,0.00041946+0.00050073i,0.00084432+0.0016334i,0.00055648+0.0015556i,-0.00016504+0.00073425i,-0.00065701-0.00050658i
-0.00072601+0.0023488i,-0.00077394+0.0027109i,-0.00074799+0.001574i,-0.00037729+0.0011747i,-7.6715e-05+0.00058566i,0.0005844+8.6077e-05i,0.001441-0.00080943i,0.001342-0.0013266i,0.0012151-0.00060748i,0.00092291+0.001111i,0.00035376+0.0016662i,0.00025539+0.0012502i,4.43e-05+0.00034132i,0.00046167-4.1606e-05i,0.00028379+0.00050307i,-7.4731e-05+0.00047398i,0.00031258+1.4999e-05i,0.00039412+0.00021252i,0.0008329+0.00053701i,0.00061881+0.0004194i,-0.00034875+5.453e-05i,-0.00079324-0.00040853i,-0.00077805-0.0012021i
0.00087613-0.0024284i,0.00059142-0.0030139i,0.0012282-0.0030664i,0.0019864-0.001423i,0.0022074+0.00054795i,0.0017851+0.0014133i,0.0016449+0.0013688i,0.0010617+0.0015983i,0.00072582+0.00077266i,0.00085296-0.00038229i,0.00077307-0.0003776i,0.00020987+6.2794e-05i,6.0831e-05+0.00057856i,4.6178e-05+0.001159i,-0.00023959+0.0012501i,-7.9313e-05+0.00078984i,0.00026154+0.0012781i,0.0006095+0.0018146i,0.00079529+0.0017761i,0.00099893+0.00094425i,0.00070645-5.9394e-06i,0.00063025-5.8615e-05i,0.00067369+0.00023756i
0.0033598+0.00061977i,0.0042109-0.00025828i,0.0027745-0.00012299i,0.0016485-2.3198e-05i,0.0015003-0.00063162i,0.00056689-0.00097904i,0.00075551-0.00043711i,0.00050194-0.00020818i,0.00034955-0.0007041i,2.5568e-05-0.00088884i,-0.00036994-0.0004799i,-8.7656e-05+0.00018277i,-0.0005445-9.4833e-05i,-0.00051806+0.00015514i,-0.00044589+0.0007082i,-0.00048131+0.00047907i,-0.00048476+0.00060796i,-0.0005342+0.00060281i,-8.2856e-06+0.00024372i,0.00021102+0.00065153i,-0.00025203+0.00087866i,8.5361e-05+0.00056414i,0.0012021+0.00058433i
0.00099785+0.00064266i,0.00030763+0.00048868i,-0.0016329-0.00020366i,-0.0023418+0.00096891i,-0.001126+0.0024973i,0.001072+0.0021107i,0.0018334+2.6742e-05i,0.00087433-0.0011069i,3.0377e-05-0.00087174i,6.7021e-05-0.00048406i,-0.00025635-0.00060715i,-0.00026223-0.00029342i,0.00062868+0.00085837i,0.0015004+0.0018161i,0.0021312+0.0019373i,0.0015268+0.0015845i,-0.0001818+0.0017952i,-0.00043117+0.0017463i,0.00029077+0.0013089i,0.00041806+0.0011263i,-4.6289e-05+0.00058139i,-4.1687e-05-6.501e-05i,0.00092583-9.6857e-06i
-0.001626+0.0014624i,-0.0003137+0.0015816i,0.0016528+0.0012465i,0.0021285-8.6414e-05i,0.0030316-0.00021475i,0.0036577-0.0002641i,0.0028149-0.00017592i,0.00088858-5.422e-05i,-5.4381e-05-1.1018e-05i,-0.00023082+0.00042941i,-0.00053753+0.00024969i,-0.00099643-1.1999e-05i,-0.001358+0.00038749i,-0.00097659+0.00082475i,-0.0014868+0.0010195i,-0.0014944+0.00123i,-0.00060353+0.0010464i,-0.00010568+0.00054181i,-0.00075117+0.00053724i,-0.0016735+0.00093817i,-0.0013875+0.0010011i,-0.00044912+0.00070277i,0.00026002+0.00027588i
-0.0010085-0.0054371i,-0.0020508-0.0041641i,-0.0018774-0.0013399i,-0.00072411+0.00058293i,0.00016796+0.0011288i,0.00071204+0.00022865i,0.001744-0.00025836i,0.0011516+3.6516e-05i,-0.00016382+0.0010233i,7.9535e-05+0.0015394i,0.00047642+0.00067372i,0.00047488+0.0005626i,0.00094347+0.0010122i,0.00068312+0.00069099i,0.00030866+0.00081983i,0.00087253+0.0011272i,-0.0001557+0.0015432i,-0.0016187+0.0016867i,-0.0018315+0.0012471i,-0.0010106+0.00080195i,-2.849e-05+0.00053772i,0.00044903+0.0003659i,0.0011558-0.0001639i
0.0080341+0.0015612i,0.0078563+0.00067868i,0.0041652-5.1916e-05i,0.00053636+0.00038762i,-0.0006796+0.0014449i,-0.00041002+0.0024764i,0.00018834+0.0021729i,0.00045539+0.0011652i,-7.4113e-05+0.00064067i,0.00010195+0.0005021i,0.00043443+0.00027045i,0.00030076+0.00014633i,9.2441e-05+0.00031139i,-0.00089688+0.00083513i,-0.001646+0.0016464i,-0.001288+0.0018397i,-0.00078567+0.0012558i,-0.0011642+9.6796e-05i,-0.0011973-0.00043063i,-0.00078559+0.00043743i,-0.00075444+0.00095226i,-0.00040658+0.0012007i,0.0006695+0.001169i
-0.0023546+0.0018717i,-0.0020102+0.0013633i,-0.0010335-0.00025893i,-0.0007112-0.00026028i,-0.00036683+0.00036445i,0.00095477+0.00080948i,0.002257+0.0012111i,0.0021511+0.00011728i,0.0020642-0.00088822i,0.0016517-0.0012637i,0.00052908-0.0014778i,-7.3192e-05-0.00052582i,-0.00028702+0.00017359i,-0.00087423+6.8266e-05i,-0.0013884-0.00011068i,-0.0008958-0.00027977i,-0.0002813+0.00012304i,-0.00023355+0.00035901i,-0.00024787+0.00042142i,7.7479e-06-0.00011086i,0.0005869-0.00068943i,0.00017203-0.00011537i,-0.00049442+0.0003894i
-0.0013729-0.0034223i,-0.00066271-0.0036237i,0.00060918-0.0018167i,0.0015206-0.001254i,0.00067253-0.0016309i,-1.4096e-05-0.0012978i,0.0004139-0.00065107i,0.0003066-0.00091534i,-0.00061083-0.0013522i,-0.00046805-0.0013079i,0.00015567-0.0012762i,0.00019978-0.0004054i,-0.00064882+0.00061551i,-0.0010323+0.00040658i,-0.00058336+0.00017707i,-0.0001713-0.0001006i,-0.00032056-0.0010229i,-9.1454e-05-0.0013496i,0.00022956-0.0010284i,-0.00034923-0.00048813i,-0.00079753-0.00020954i,-0.0004062-2.8095e-05i,-0.00017966+0.00050276i
0.0045647+0.00073953i,0.0040186-0.00014111i,0.0020129+0.00068336i,0.0012384+0.0020191i,0.0028234+0.002299i,0.0029386+0.0017867i,0.00096051+0.0013271i,-0.00029955+0.00083535i,-0.00044393+0.00060801i,-0.00026225+0.00038613i,-0.00090506-0.00018408i,-0.0011601+0.00011021i,-0.00059831+0.0002707i,0.00017887-0.00046346i,9.8581e-05-0.00085729i,0.00070958-0.0010839i,0.0010287-0.00090167i,0.00063746-0.0013687i,0.00023032-0.0010063i,-6.32e-05+5.0151e-05i,0.00014632-9.5188e-05i,-0.00014863-0.00041902i,-0.0005801+0.00028559i
-0.0012928+0.004075i,-0.00031583+0.0026024i,9.7075e-05+0.002055i,0.00039683+0.0014297i,0.0016451+0.0011174i,0.0026544+0.0013081i,0.002981+0.00095779i,0.0022117+0.00026664i,0.00091339+0.00016893i,0.00041908+0.00042476i,0.00067789+0.00057407i,0.0011985+0.00047464i,0.00098197+0.00015844i,0.0005243+5.864e-06i,0.00070255-0.00043362i,0.00082412-0.00053275i,-0.00019713-0.00028191i,-0.00048558-0.00050054i,-8.6544e-05-0.00085799i,-0.00015676-0.001219i,1.6847e-06-0.00032185i,0.00016599+1.8607e-05i,7.3585e-05+3.2705e-05i
-0.00046261-0.00091532i,0.0006139-0.0010601i,4.7879e-05-0.0017662i,-0.0014996-0.0011433i,-0.0011798+0.00016418i,-2.3564e-05+0.0006264i,2.9009e-07-0.00010234i,-0.0005936-0.00047772i,-0.00025268+7.8895e-06i,7.8734e-05+0.00095273i,0.00029015+0.0013105i,0.00072554+0.00037763i,0.0008406-2.411e-05i,0.0009765+0.0004591i,0.00087829+0.00066213i,0.00069226+0.00050275i,0.00024568+0.00017913i,7.914e-05+0.00053043i,0.00016082+0.00070903i,0.00062319+0.00026073i,0.00055527+0.00043938i,0.00031737+0.00043729i,0.0005227+0.000406i
0.00057331-0.00095052i,0.0019357-0.0011716i,0.0016935-0.00011153i,0.0014852+0.0010733i,0.0024776+0.00077017i,0.0028733-0.00061711i,0.0019803-0.00079132i,0.0015507+0.0001376i,0.0010861+0.00071665i,0.00038263+0.00056113i,0.00054519-2.0899e-05i,0.00096476-0.00036998i,0.00091736-0.0002567i,8.5505e-05-0.00015492i,-0.00071618-0.00068869i,-0.00067031-0.00091681i,4.9867e-05-0.00037111i,0.00048416-0.000488i,0.00051116-0.00072177i,0.00047346+1.7134e-05i,-0.00014389+0.00017558i,-0.00061615+0.00019542i,-0.00056555+0.0004977i
0.0033468+0.0046062i,0.0027856+0.0046696i,0.0023194+0.0044767i,0.00077941+0.0037259i,5.2267e-05+0.0020649i,0.00036076+0.0013105i,0.0011101+0.00068244i,0.0010846+1.2914e-05i,-0.00014933-0.00034927i,-0.00069861-0.00080996i,0.00053738-0.0011626i,0.00073747-0.0012047i,-0.00099355-0.00015476i,-0.0016272+0.00016791i,-0.0010623-0.0002634i,-0.0011339-5.8861e-05i,-0.00062206+9.6286e-05i,6.2084e-05+0.00028133i,-0.00017894+0.00092016i,-0.00076431+0.0013793i,-0.0005099+0.0013668i,-0.00018138+0.0010901i,-0.00068282+0.00033105i
-0.0032819+0.0026433i,-0.001569+0.0025285i,0.00018638+0.0021467i,0.00092822+0.0030484i,0.0021333+0.0039386i,0.0035183+0.0036243i,0.0036896+0.0023977i,0.0023955+0.00021399i,0.00018693-0.00071445i,-0.00080799-0.00042713i,-0.00054273-0.00081341i,-0.00077815-0.0013737i,-0.00016881-0.0006297i,0.00011435+0.00052289i,-4.5585e-05+0.00058366i,-6.8627e-06+0.0005124i,-8.8563e-05-0.00015337i,-0.00018012-0.0005706i,-0.00049469-0.00076846i,-0.0012487-0.00084372i,-0.0014095+0.00012053i,-0.00067871+0.00061721i,-0.00019146+0.00062145i
-0.00065517-0.0024366i,-0.0012776-0.0025284i,-0.0013902-0.0020712i,-0.00041822-0.0020344i,0.0010237-0.0018797i,0.0018666-0.001542i,0.0019302-0.0018465i,0.00061752-0.0024497i,-0.00080042-0.0014657i,-0.00093685+0.00019352i,-0.00059636+0.00069232i,0.00029094+0.00054766i,0.001038+0.00071263i,0.0011191+0.0010713i,0.00076647+0.00076319i,0.00012937+0.00053861i,-0.00030054+0.00014678i,-7.6409e-05-0.00082432i,-7.7992e-06-0.00063776i,-0.0001436+0.0001022i,-0.00042421+0.0004386i,-0.00083467+0.00021099i,-0.00063057+0.00054213i
0.0045477-0.0025724i,0.0046197-0.003216i,0.0023301-0.0028542i,-0.00025162-0.00088188i,-0.00099932+0.0012347i,-0.00069555+0.0012445i,-0.00037445-6.6225e-05i,-0.00051265-0.00092229i,-0.00090198-0.00093077i,-0.0015194+0.00019623i,-0.0011373+0.00071445i,-0.00077332+0.00061687i,-0.00091688+0.00081697i,0.00010511+0.0011319i,0.000464+0.0015023i,-7.3062e-05+0.0012317i,-0.00031492+0.00038732i,-0.00034611-0.00042865i,1.4354e-05-0.00067311i,0.00075865-0.00034071i,0.00071998-1.6501e-05i,-5.9121e-05+0.00022489i,-0.00056751-0.00021141i
0.0034963+0.0056384i,0.0050616+0.006692i,0.0046172+0.0050399i,0.0027905+0.0029553i,0.0019934+0.0020264i,0.0013535+0.0016367i,0.0010952+0.0010383i,0.00014483+0.0011381i,-0.00055605+0.0011013i,-0.00027705+0.00064829i,-9.3734e-05+0.0001714i,0.00012829-0.00047152i,0.00067044-0.00066437i,0.00019674-0.00070283i,-0.00031401-0.00053357i,-0.00036212+0.00029751i,-0.00062606+0.00049449i,-0.00026381-0.00020728i,0.00011896-0.00063965i,-9.244e-05-0.00091763i,-0.00014544-0.0014548i,2.8617e-05-0.0011341i,-0.00049237-0.00075829i
-0.003202+0.0021715i,-0.0035831+0.0021325i,-0.0023427+0.00090736i,-0.00032504+7.1277e-05i,0.00065505-0.00049737i,0.001986-0.0014598i,0.0030708-0.00096906i,0.0024722-0.00048132i,0.0012052-0.00039208i,0.00041747-0.00030834i,0.00040233-0.0010007i,-3.772e-05-0.0012613i,-0.00044714-0.0011554i,-0.00029339-0.0011773i,0.00038502-1.8932e-05i,0.00050494+0.0012808i,-0.00041336+0.0013004i,-0.00049394+0.00047572i,-0.00054135-0.00016032i,-0.0007762-0.00050328i,-0.00061189-0.00036863i,-0.00016442+0.00066082i,0.00025832+0.0010298i
0.0016895-0.0026187i,0.0012397-0.0044595i,0.00013352-0.0041257i,-0.0011132-0.0019476i,-0.0015896-0.00088663i,-0.00079313+0.00026155i,-0.00013903+0.0019191i,0.00042636+0.0016206i,0.00047532+0.00092528i,0.00046221+0.00063038i,3.3116e-05+0.00042305i,-0.0010322-1.0262e-05i,-0.0011625+8.8924e-05i,-0.0011741+0.00014321i,-0.00073105+0.00029224i,-0.001073+0.00014686i,-0.00015631-0.00044292i,0.0016852-2.0006e-05i,0.0017443+8.5115e-05i,0.00062012+2.3625e-05i,-0.00076586+9.1339e-05i,-0.00082795-0.0010131i,-0.00033572-0.0013853i
0.0034068-0.0016158i,0.0043938-0.001449i,0.0027668-1.1783e-05i,0.002107+0.0021794i,0.00341+0.0027878i,0.0047496+0.0016414i,0.0038173+0.00082001i,0.0026551+0.00057726i,0.001695+0.00092126i,0.00086196+0.0012374i,0.00044819+0.00078332i,-0.00014069+0.00063495i,2.4798e-06+0.0001918i,0.00093624-0.00024888i,0.0010008+0.00015499i,0.00016459+0.00092923i,-0.00057384+0.00088703i,6.6018e-05+0.00032869i,0.0013752+0.00033623i,0.0014638+0.00010453i,0.0002208-0.0003625i,-0.00030983-0.00033553i,0.0008001+0.00012414i
0.0013372+0.0037524i,0.0033868+0.0027377i,0.0033919+4.812e-05i,0.00065657-0.0010224i,-0.0011149-0.00034325i,-0.00081348-0.00026138i,-0.00039459-0.00074453i,-0.00041851-0.0020537i,8.8825e-05-0.001991i,0.00042031-0.00064053i,-0.00020761-0.00043516i,-0.00056137-0.00038698i,-0.00057948+0.0009739i,-0.0017241+0.0018342i,-0.0020915+0.0014622i,-0.00087882+0.001064i,-8.0065e-06+0.0011276i,7.3472e-05+0.00080602i,0.00040423+0.00058836i,0.00011303+0.00090772i,-0.00036717+0.00052971i,-0.00033807-0.00033891i,-0.0004358-0.00057375i
-0.0033308-0.00033629i,-0.0035042+0.0014048i,-0.001234+0.0023738i,-0.00026848+0.0014065i,0.00045733+0.00085239i,0.0011371+0.0017404i,0.00085967+0.0010035i,-0.00053176-0.00075652i,-0.00095997-0.0009514i,-0.00065932-0.00042031i,0.00030238-0.00022446i,0.0013501-5.1407e-05i,0.00094694+0.00015346i,5.1022e-05+0.00024613i,-0.00062803-0.00015572i,-0.00059947-0.00054132i,-0.0008656+4.7121e-05i,-0.00068521+0.00052893i,-0.00082939+0.00011085i,-0.00092486-8.656e-05i,-0.0003421-0.00075229i,-0.00021766-0.00035748i,-0.00052742-0.00046491i
0.006544+0.001575i,0.0046904-0.00033865i,0.0012498-0.0014282i,-0.00011779-0.0011714i,0.0015297-0.0011694i,0.0018923-6.023e-05i,0.00028522+0.001052i,-0.00041611+0.00058287i,-0.00054623+0.00038838i,6.7733e-05+0.00011139i,0.00051672-0.00045063i,0.00062526-0.00053477i,0.00094633-0.00027059i,0.00029075-0.00092468i,-0.00026616-0.001758i,0.00015101-0.00097636i,3.4696e-05+0.00075499i,-0.00065399+0.0017437i,-0.00061032+0.0012332i,5.7651e-05+0.00066118i,0.00028033+0.00044548i,0.00049869+0.00053978i,0.00064034+0.00024052i
2.5968e-05+0.0040633i,0.0018937+0.0021096i,0.0029371-0.0011708i,0.0025833-0.0011394i,0.0019296+0.00050041i,0.0020336+0.0013257i,0.0017661+0.0013267i,0.0011633+0.0010588i,0.00018931+0.00079001i,-0.00071904+0.00035621i,-0.0010737+8.5332e-05i,-0.00077389+0.00044922i,-0.00051385+0.0003475i,-0.00096499+0.0001594i,-0.0010846+0.00064909i,-0.00032233+0.00091828i,-8.8675e-05+0.0014185i,-0.00033564+0.0013927i,-0.00017321+0.00090679i,0.00019655+0.00015384i,0.0011907-0.00097181i,0.0018164-0.00126i,0.0015683-0.0011683i
0.00055279-0.0026634i,0.0013713-0.0018687i,0.0038163-0.0013309i,0.0029866-0.0014157i,0.00095945-0.00029286i,0.001776+0.0010928i,0.0030346+0.0016883i,0.0025659+0.0028326i,0.00080343+0.0024397i,-0.00017026+0.0015915i,0.00023352+0.0014861i,-0.00018705+0.00087388i,3.6293e-05+7.953e-05i,0.00058189-0.00013066i,-0.00024354+0.0003846i,-0.0004289-5.4168e-05i,-0.00036782-0.00051587i,-0.0011142-0.00026394i,-0.0014146+0.00068394i,-0.00076313+0.0013891i,4.2171e-07+0.001824i,8.056e-05+0.0016467i,-1.5012e-05+0.00056861i
0.0050984-0.00067481i,0.0048361+0.00017283i,0.003746+0.001831i,0.0027138+0.0025834i,0.002334+0.0012814i,0.0020515-0.00028025i,0.002132-0.00095396i,0.0023599-0.00083946i,0.0022257-0.0006096i,0.0015517-0.00034079i,0.00089283+0.00016369i,-1.9466e-05+0.00039126i,-0.00099359+8.8709e-05i,-0.00053246+0.00029468i,0.00051702+0.00015317i,0.00091254+0.0003907i,0.00019446+0.00040249i,-0.00040709+0.00053001i,-0.00050917+0.00081101i,-0.00063397+0.00019577i,0.00033159-6.1384e-05i,0.00095998-0.00047971i,0.0010684-0.00087987i
0.0025055+0.0024239i,0.0017062+0.0014919i,-0.0019205+0.00044138i,-0.0038239+0.0013834i,-0.0022089+0.002565i,0.0010281+0.0012209i,0.0021812-0.00040357i,0.0016665-0.0014011i,0.0010006-0.0013596i,0.00028276+0.00014668i,-6.4672e-06+0.00080408i,6.9109e-05+0.00071198i,0.0002439+0.0010867i,0.00012555+0.0013929i,0.00048755+0.0013604i,0.00043811+0.0014145i,-0.00055709+0.00045121i,-0.00032938-0.00061545i,0.00090028-0.0011107i,0.00094647-0.00086035i,0.0007206-0.00020243i,0.00034845+0.00034719i,0.00038063+6.6593e-05i
-0.0022816+0.0017941i,3.27e-05+0.0012378i,0.0010789-0.0012675i,5.193e-05-0.0026859i,-0.00014402-0.0015746i,0.00031628-0.001136i,0.00023749-0.00095772i,-0.00092551-0.0011423i,-0.00093343-0.0012215i,0.00020685-0.0010339i,0.00038821-0.00078799i,-0.0001175-0.00071041i,-0.00024689-0.00074049i,9.9923e-05-0.00052849i,-9.9835e-05-5.3111e-05i,-0.00034877+0.00028121i,-0.00050633-0.00046818i,-0.00095057-0.00093322i,-0.00072217-0.00070819i,-0.00049749-0.00081998i,0.00011045-0.00040121i,0.00086153-6.1682e-05i,0.00079406+0.00011092i
0.0051799-0.003127i,0.0032325-0.0023768i,0.00082184-0.0019019i,-0.00076833-0.0015439i,-0.0016837-0.00019665i,-0.0014283+0.00055824i,-0.0014397+0.00018645i,-0.0018477-0.00022055i,-0.0019225-0.00088939i,-0.001811-0.0011061i,-0.0012217-0.00023583i,-0.00060905+0.00042698i,-0.00063234+0.00072292i,-0.0013017+0.0012718i,-0.0016009+0.0012389i,-0.001822+0.0001809i,-0.0018308-0.00052703i,-0.0010937-0.00013168i,-0.00067948+0.00048876i,-0.00053442+0.00030373i,-1.8545e-05-0.00032837i,0.00068606-0.00053698i,0.00042652+0.00039202i
