-0.0014818-0.0019233i,-0.0015415-0.0026039i,-0.0022014-0.002121i,-0.0011966-0.0010528i,0.00026176+0.00018557i,0.0007674+0.00095995i,0.00069566+0.00059968i,0.00033715-0.0001602i,-0.00043123+2.1406e-05i,-0.00097056+0.00036356i,-0.00060363+0.00088206i,0.00038004+0.0011594i,0.00053989+0.00053242i,0.00038853-0.00048933i,0.0015845-0.00038129i,0.0014729+0.00058844i,0.0001884+0.00069522i,-0.00057608+0.00034579i,-0.0003055-4.2031e-05i,-2.1999e-05+0.00057379i,-0.00066358+0.0012838i,-0.00085348+0.00052353i,-0.000713+4.7175e-05i
-0.00036693-0.0004379i,-2.42e-05+0.0012876i,0.00024521+0.0011478i,0.00090372+0.00034311i,0.0011483-8.5358e-06i,0.00063809+5.6222e-05i,-0.00017827-0.00053188i,-0.00039308-0.00065158i,0.00013535-0.00038761i,0.0008404-0.00045194i,0.00089351+5.5374e-05i,0.00027503+0.00018378i,-1.1267e-05+4.5567e-05i,-3.0928e-05+4.4727e-05i,-0.00030417-0.00030445i,-0.00013354-0.00014819i,0.0010232-2.2403e-05i,0.0013671-0.00045072i,-0.00036383-0.00036393i,-0.0013689-0.00042113i,-0.0011536-0.00030555i,-0.00053699+0.0003122i,-7.1439e-05+0.00036493i
-0.0019069-0.0014985i,-0.0031578-0.0027105i,-0.0021503-0.0024739i,-0.00031746-0.0018192i,0.00091226-0.0013096i,0.001412-0.00055533i,0.00094715-0.00010875i,0.00016166+0.00051246i,-7.7771e-05+0.00091001i,-0.00021649+0.00062601i,0.00015502-0.00031786i,0.00055084-0.00067576i,0.00070671-0.00046909i,0.00098019-0.00019719i,0.00092302-0.00017294i,0.00050635-0.0001564i,0.00037981-0.00026127i,9.6406e-05+7.9812e-06i,-0.00040074+4.907e-05i,-0.0010036-0.00047496i,-0.0013166-0.0010408i,-0.00094404-0.00089587i,-0.0008892+0.00022607i
0.00070353-0.0017036i,0.00043806-0.0017986i,-0.0007002-0.0018908i,-0.0008556-0.0018806i,-0.00033064-0.0016894i,-0.00065994-0.00044724i,-0.00069916+0.0010148i,-0.00028612+0.0011336i,-0.00046278+0.0011512i,-0.00044047+0.00049284i,-0.00028155-0.00053369i,-0.00023442+0.00018926i,1.5822e-05+0.00086248i,0.00079025+0.00074533i,0.00083486+0.00068455i,-0.00015497+0.00075208i,-0.00066172+0.001216i,-9.3409e-05+0.00053159i,0.00077795-0.00048759i,0.00058719-0.00077158i,3.9918e-07-0.00042235i,0.00012434+0.00012342i,-0.00041753+0.00045376i
-0.0019554-0.00086098i,-0.0026968-0.00028112i,-0.0021696+0.00041067i,0.00047799+0.00021191i,0.0018692+0.00013215i,0.0015315-6.5026e-06i,0.00081895-0.00033698i,1.0302e-05-0.00027959i,-0.00058845+5.1147e-05i,-0.00054553+0.00013834i,-0.00031615-1.5838e-05i,-6.5829e-05-3.6353e-05i,0.00015992+8.0213e-05i,0.00031057+0.0008491i,0.00013259+0.00086578i,-0.00018462-0.00025855i,-0.000245-0.00089683i,0.00058966-0.0013789i,0.00056734-0.0012525i,0.00036999-0.00029221i,0.00021792+0.00059614i,-0.00030468+0.00025694i,-0.00033355-0.00035136i
0.002155-0.0017006i,0.0018332-0.0034119i,0.00098156-0.0038437i,0.00086806-0.0026624i,0.0010134-0.0011026i,0.00045508+0.00056137i,-0.00055487+0.00092598i,-0.00042325+0.00035954i,0.00035752+0.00017948i,0.00051122-0.00010023i,8.7583e-05-6.4661e-05i,-0.00027872-0.00032743i,-0.00055633+0.00017578i,-0.00077897+0.0010306i,-0.00032908+0.00066886i,-0.00056534+0.00016927i,-0.00079694+0.00011636i,-8.0216e-06-0.00029086i,0.00077333-0.0003387i,0.00050936-0.00033792i,-4.1041e-05-0.00037657i,-2.004e-05-0.00066804i,0.0001801-0.00055083i
-0.00073098+0.0013254i,-0.0015162+0.00063377i,-0.0013249-0.00027482i,7.0094e-05-0.0012163i,-0.00023272-0.0017266i,-0.0013234-0.0012965i,-0.0013696+0.00011308i,-0.0004249+0.00097045i,9.0392e-05+0.00053637i,-4.8447e-05+0.0004905i,-0.00048631+0.00030326i,-0.00022404-0.00066961i,0.00022848-0.0004841i,-0.00043633-0.00019701i,-0.00046785-0.00024442i,-1.94e-05-0.00037816i,-0.00019919-0.00050722i,-0.00033196-0.00036952i,-0.00036079+7.6277e-06i,-0.00035999-0.00040716i,-0.00012966-0.00029897i,0.00043876+0.00034193i,9.7229e-06+3.1823e-05i
-0.001805-0.0047184i,-0.002141-0.0057289i,-0.00041912-0.0044887i,0.00060209-0.002372i,0.00095051-0.00022021i,0.0014569+0.00079924i,0.0017476+0.00058462i,0.00095455+7.441e-05i,-0.00010561-0.00045675i,0.00013375-0.00056029i,-0.00031646-0.00052471i,-0.00038477-0.0004355i,0.0003098-0.00037316i,0.00069096-9.9542e-05i,0.0011765-5.8926e-05i,0.00094717+0.00013098i,-0.00017774+0.00017867i,-0.00087372-0.00027283i,-0.00056349-0.00027524i,-0.00067583-0.00044445i,-0.00072456-0.00047595i,-0.00036046-0.00043476i,8.2554e-05-0.00073353i
-8.0201e-06-0.00085381i,0.0014568-0.00075731i,0.0010524+0.00052546i,0.00071118+0.00090169i,0.00024166+0.001654i,0.00024943+0.0018205i,0.00072289+0.00084831i,0.00017954-0.00025399i,-7.8069e-05-0.00021004i,0.00026801+0.00011525i,0.0014067+0.00032461i,0.0019236+0.00074729i,0.0012488+0.00019496i,0.00065096-0.00061189i,0.00082969-0.00053388i,0.00033267-0.0003815i,-8.9348e-05-0.00081551i,-0.00018176-0.00069432i,-8.3094e-05-0.00049771i,-0.00023272-0.00088632i,-0.00059809-0.0010378i,-0.00050992-0.00052025i,-0.00043411-0.00025196i
0.00031102+0.00059029i,-0.00027559-0.00047944i,-0.0007984-0.0015851i,8.1052e-05-0.0019062i,0.00030406-0.0016264i,-0.0009673-0.00092342i,-0.0016937+0.00011128i,-0.00085027+0.00060865i,0.00057562+0.00021732i,0.0011158+0.00018362i,0.00086368+0.0002534i,0.00043684+0.00015438i,6.0733e-05-0.00022597i,-0.00061555-0.00045451i,-0.00095103-0.00018427i,-7.7345e-05+0.00014583i,0.00081204+0.00024161i,0.00038957+0.00024984i,0.00013895+0.00025809i,0.00016515+0.0006104i,-0.00021167+0.00048847i,-0.00081763-0.00021816i,-0.00070387-0.00029266i
