-0.0014159-0.001413i,-0.00059352-0.0023187i,-0.0019463-0.0020589i,-0.0021628-0.00078168i,-0.0015109+0.0011144i,-0.00022091+0.0017408i,0.00040952+0.0011123i,0.00058912+0.00033694i,0.00062497+0.00071081i,0.00023502+0.0010798i,0.00055337+0.00058717i,0.00057872-0.00041669i,7.3296e-05-0.0010165i,-2.8975e-05-0.0012398i,0.00040909-0.00093369i,0.00051769-0.00017692i,0.00040481-0.00023499i,-0.00010651-0.00058013i,-0.00035325-0.00030338i,-0.00057584-0.00055819i,-0.00045933-0.00022689i,0.00017853+0.00054827i,0.00024958+0.00060503i
0.0070179-0.020452i,0.0050006-0.018244i,0.0034223-0.01036i,0.002583-0.0042319i,0.0030803+7.0835e-05i,0.0032353+0.0024534i,0.0033339+0.0021176i,0.0037213+0.00058347i,0.0031454-0.00037619i,0.0030278-0.00078253i,0.0035177-0.00092512i,0.0034733-0.001264i,0.0018601-0.0015348i,0.00034738-0.0011254i,2.4447e-05-0.00070424i,0.00010037-0.00034689i,0.0001164+0.00061133i,-8.0452e-05+0.0013636i,-0.00034362+0.0014047i,-0.00054436+0.0004197i,-0.00099318+4.2618e-05i,-0.0010522+0.00056624i,-0.00030932+0.00046943i
-0.013919-0.015688i,-0.010048-0.014273i,-0.0032875-0.010697i,-1.8901e-05-0.0061949i,0.0013049-0.0024505i,0.0024117-0.0012989i,0.0017508-0.0022809i,0.00039938-0.0041276i,-0.00050304-0.0051894i,-0.00041746-0.0052757i,0.00039208-0.0043209i,-0.00051645-0.0030354i,-0.0013815-0.001303i,-0.00075382+0.00099148i,0.00050167+0.0020082i,0.0022291+0.0011759i,0.0028048-0.00010646i,0.0020689-0.00020458i,0.00097806+0.00017599i,0.00076023+0.0003074i,0.00061327+0.0009058i,-0.00012781+0.0011426i,-0.00019339+0.00017033i
-0.015645+0.010932i,-0.011632+0.0072096i,-0.0064694+0.00068149i,-0.0034142-0.00084579i,-0.0024657+0.0005933i,-0.001972+0.00040927i,-0.0016449-0.0015504i,-0.0023179-0.0031558i,-0.0036032-0.0037928i,-0.004381-0.0030722i,-0.0039288-0.0017411i,-0.0024026-0.00040842i,-0.0012183+0.0012443i,-0.00073479+0.002159i,0.00050189+0.0018179i,0.0020024+0.000145i,0.0019136-0.0017295i,0.001178-0.0016323i,0.00092331-0.0007856i,0.0010927-0.00010567i,0.0010598+0.00058547i,0.00091034+0.00096687i,0.00059237+0.00077483i
0.0010975+0.020964i,0.00094331+0.015448i,-0.00036403+0.0072976i,0.00032381+0.0031589i,0.00090068+0.0026336i,5.6941e-05+0.0019771i,-0.0013778+0.00029583i,-0.0032129-0.00013781i,-0.0044412+0.00069622i,-0.0035582+0.0020424i,-0.0019051+0.0024909i,-0.00024943+0.0016301i,0.0012434+0.00081513i,0.0025902-0.00014187i,0.0021748-0.00098742i,0.00026093-0.0013794i,-0.00075312-0.001426i,-0.0009504-0.0010284i,-0.0014637-0.00067583i,-0.00078646-0.00090334i,0.00056089-0.00073345i,0.00032386-0.001069i,-0.0004469-0.0014407i
0.020832+0.0019919i,0.016938+0.00027677i,0.0096796+0.00075874i,0.005504-0.0014097i,0.002106-0.0025059i,-0.00069302+0.00058207i,-0.0010474+0.003648i,0.00013087+0.0044831i,0.0014673+0.004804i,0.0026557+0.004669i,0.0031016+0.0031289i,0.0034787+0.0017324i,0.00329+0.0011272i,0.0018659+0.00013346i,0.0015675-0.00099516i,0.0011137-0.0013532i,-5.2511e-05-0.00030091i,-0.00064147+0.00037689i,-0.00099208+0.00043943i,-0.0012607+5.1243e-05i,-0.00063345-0.00045269i,-0.0004472-0.00029451i,-0.00045371-0.00043918i
0.014146-0.020879i,0.010516-0.018159i,0.0064638-0.010757i,0.0029459-0.0063963i,0.00089835-0.0032777i,0.0014443+0.0010543i,0.0036485+0.0025567i,0.0050358+0.00051328i,0.0054373-0.0014521i,0.0050498-0.0026188i,0.0041808-0.002562i,0.0035996-0.0014706i,0.0030226-0.00033497i,0.0022438+5.8591e-05i,0.0018338-0.00020661i,0.0012686-9.1482e-06i,0.00096483+0.001155i,0.0013892+0.0015935i,0.000953+0.0012597i,0.00026192+0.0016461i,-1.2818e-05+0.00057524i,-0.00052092+0.00035841i,-6.6783e-05+0.00088483i
-0.015118-0.019228i,-0.011796-0.016319i,-0.0052253-0.007648i,-0.0029245-0.0013441i,-0.0023516+0.00091045i,-0.00028138+0.00095547i,0.0013558-0.0012849i,0.0013513-0.0048496i,0.00072745-0.0064685i,0.00035456-0.0052611i,-0.00040859-0.0038647i,-0.00099808-0.0027624i,-0.00047191-0.0016434i,-7.3017e-06-0.0005278i,0.00028559+0.00047546i,0.000843+0.00061655i,0.0014053+0.00073435i,0.0019754+0.0003104i,0.0010499-0.00072124i,-0.00054854-0.00027406i,-0.00093531+0.0010667i,-0.00060862+0.0017005i,-1.6682e-05+0.0010427i
-0.021921+0.0088797i,-0.018458+0.0051973i,-0.0090526-0.00011635i,-0.0027251-0.00043094i,-0.00014126+0.0015032i,0.00036399+0.00091603i,-0.0012661-0.0015201i,-0.0029495-0.0038789i,-0.0035671-0.0045912i,-0.0037587-0.0041166i,-0.0035284-0.0032183i,-0.0033764-0.0016586i,-0.0019895-0.00073687i,0.00035248+0.00080721i,0.0012411+0.0016361i,0.00068889+3.0969e-05i,0.00068351-0.0021117i,0.00041901-0.0017088i,0.00015732-0.00067548i,-0.00010101+0.00046846i,0.00018681+0.0016355i,0.0012979+0.0017227i,0.0011143+0.0011855i
-0.0027849+0.022714i,-0.0038425+0.018748i,-0.0049593+0.01038i,-0.0023152+0.0051025i,0.0003728+0.003678i,0.00014922+0.0033464i,-0.0014365+0.0016848i,-0.0035339+0.001081i,-0.0052974+0.0023916i,-0.004932+0.0039654i,-0.0017602+0.0040916i,0.00048181+0.0029765i,0.00030578+0.001951i,0.00083426+0.0013524i,0.0014786+0.00082899i,0.00052764+0.00029654i,-0.00072865-0.00063175i,-0.001285-0.00099698i,-0.0016443-0.00079944i,-0.00099068-0.00038431i,0.00072971-0.00037031i,0.0011066-0.00041027i,0.00050429-0.00067165i
0.024279+0.0065643i,0.020711+0.0060627i,0.010437+0.0043434i,0.0054001+0.0019143i,0.0036283+0.0017868i,0.00040641+0.0026074i,-0.0010136+0.0034166i,-0.0007573+0.004299i,0.00051492+0.0051071i,0.0024903+0.0047226i,0.0032633+0.0026441i,0.0025323+0.00067192i,0.0014614+0.00021169i,0.00075005+0.00041446i,0.0006656+2.6603e-05i,0.00060657-0.00053223i,-5.454e-05+7.9484e-05i,-0.00050718+0.00072244i,-0.00041208+0.00077399i,-9.1074e-05+0.00022028i,-0.00025049-0.00027386i,-0.001097-0.00043129i,-0.0015916-0.00050079i
0.016437-0.019691i,0.016352-0.018864i,0.010873-0.010398i,0.0057403-0.0052085i,0.0028752-0.0022324i,0.0020388+0.00062817i,0.0027842+0.0018687i,0.0034976+0.0013456i,0.0041322-0.00031644i,0.004048-0.0017768i,0.0030233-0.00235i,0.0025041-0.0026559i,0.0019434-0.0017642i,0.0010469-0.0005215i,0.00053617-0.00044626i,0.00074337-0.00071691i,0.00091114-0.0001738i,0.0010035+0.0010174i,0.0016459+0.0015219i,0.0010089+0.00095502i,-0.00049881-2.6226e-05i,-0.0015153-0.00072188i,-0.00078082+0.00021231i
-0.011741-0.023386i,-0.0095014-0.024365i,-0.0030812-0.01807i,5.4498e-05-0.011861i,0.00097879-0.0072771i,0.0018544-0.0032351i,0.002458-0.0021342i,0.0026955-0.0048471i,0.0011163-0.0066013i,-0.00077607-0.0055814i,-0.00052011-0.0038203i,3.8092e-05-0.0022664i,0.0010692-0.0014644i,0.0021006-0.00061169i,0.0018821+0.00083277i,0.00086508+0.0011259i,0.00069413+0.00012958i,0.0018443-0.0010389i,0.0016412-0.001017i,7.0763e-05-9.0847e-05i,-0.00058523+0.00013196i,-0.00018864+0.00061893i,0.00022568+0.0014865i
-0.028678+0.0033749i,-0.02671+0.00163i,-0.017864-0.0024951i,-0.011226-0.0019273i,-0.0071101+0.00058156i,-0.0034996+0.00088842i,-0.0015768-0.0013777i,-0.0029754-0.0044141i,-0.0053543-0.0051815i,-0.0052064-0.0029146i,-0.0030387-0.00011786i,-0.001172+0.00073945i,-0.00011189-6.9352e-05i,0.00070861-0.00090653i,0.0013918-0.00080812i,0.00085593-0.00079573i,-0.00037262-0.0020982i,-0.0013166-0.0024467i,-0.0016012-0.0016004i,-0.00058303-0.00062387i,0.00063522+5.5547e-05i,0.0010581+0.00022983i,0.0010792-3.8617e-05i
-0.0068431+0.026595i,-0.01037+0.025084i,-0.011954+0.014861i,-0.0080354+0.0087539i,-0.0027344+0.0070301i,-0.0007716+0.0050395i,-0.0019835+0.0021506i,-0.0041019-3.1142e-05i,-0.004745+0.00048196i,-0.0025616+0.0020684i,-3.6758e-05+0.0024288i,0.001261+0.0020526i,0.0015169+0.0015686i,0.00037867+1.7072e-05i,0.000586-0.0017628i,0.0010778-0.0017441i,-0.00019913-0.0012248i,-0.0012767-0.0017441i,-0.0014098-0.0018307i,-0.0013418-0.00066904i,-0.00037302+8.584e-05i,0.00050584-0.00064712i,0.00044151-0.0014965i
0.027365+0.014548i,0.024887+0.013765i,0.014214+0.010683i,0.0086768+0.007163i,0.0067805+0.0043741i,0.0031383+0.0031359i,7.0883e-05+0.0028789i,-0.0007873+0.0024771i,0.00030069+0.0033734i,0.001926+0.0042763i,0.0022595+0.0021965i,0.0015905+0.00022569i,0.00076443+0.0008309i,0.00064699+0.0011807i,0.00048914+0.00017689i,0.00035359-0.00016259i,-0.00022558+0.00046581i,-0.00062391+0.00049032i,-0.0010279-0.00045995i,-0.00064991-0.00069498i,0.00033102-0.00089212i,8.7907e-05-0.0010054i,-0.00021225-0.00061554i
0.023437-0.020517i,0.022865-0.018056i,0.014605-0.0092878i,0.0075861-0.0054018i,0.00399-0.0033428i,0.0023547+0.00035026i,0.0020934+0.0023275i,0.0027907+0.00081443i,0.0041288-0.00047071i,0.0042897-0.0016093i,0.002636-0.0024225i,0.0013554-0.0019884i,0.001401-0.0004472i,0.0014459+0.00040478i,0.0015092+0.00041834i,0.0022597+0.00031311i,0.0029041-0.00023763i,0.0024865-0.0003616i,0.001568-3.3417e-06i,0.00042004+0.00020868i,-0.00041852-0.00015585i,-0.00090829-0.00036579i,-0.001554-0.00063079i
-0.014982-0.029368i,-0.011069-0.029419i,-0.0033173-0.01939i,-0.00093043-0.011245i,-0.00065649-0.0061345i,0.0006043-0.002188i,0.0010942-0.0012914i,0.00079851-0.0034952i,-0.00059951-0.0058778i,-0.0015719-0.0053951i,-0.0011646-0.0025107i,-0.00022748-0.0011396i,7.0621e-05-0.0014033i,0.00010675-0.00088571i,0.0002779-0.00021065i,0.00033265-0.00077332i,0.00039427-0.0012592i,0.00062131-0.0011498i,0.0014029-0.00078493i,0.0016202-4.781e-05i,0.0011556+0.00079976i,0.00049797+0.0014935i,0.000211+0.0014997i
-0.031838+0.00046461i,-0.029719-0.0056227i,-0.017696-0.0085619i,-0.0096739-0.0064511i,-0.0065749-0.0029521i,-0.004819-0.00029837i,-0.0029249-0.00093603i,-0.0022813-0.0034949i,-0.0036297-0.0031827i,-0.0044186-0.00061644i,-0.0025777+0.00014611i,-0.00060122+4.1249e-05i,-0.00023076+0.00035556i,-0.00056929+0.00062726i,-0.00020787+0.0014009i,0.0002878+0.0019674i,-0.00049194+0.0013886i,-0.00094143-0.00042122i,-0.00028949-0.0015864i,9.0471e-05-0.00081327i,0.00033354+0.00031861i,-1.9983e-05+0.00067742i,-0.00042044+0.00037411i
-0.0074375+0.031027i,-0.011365+0.028058i,-0.012088+0.014061i,-0.0092032+0.0062711i,-0.0044995+0.0051173i,-0.0023059+0.0037662i,-0.0025552+0.0012182i,-0.0035717-0.00058312i,-0.0041751+0.00021053i,-0.0026265+0.0019694i,0.0004794+0.0017334i,0.0020327+0.00093133i,0.0016596+0.00054981i,0.0012058+0.00062984i,0.00048548+0.0002004i,0.0001633-0.00054119i,0.00031853-0.00065863i,-0.00022652-0.00025363i,-0.0003852+0.00032501i,0.0004251+0.0004225i,0.00090986+5.4282e-05i,0.0006718-5.5878e-05i,0.00042218-4.1244e-05i
0.030357+0.018531i,0.028747+0.016796i,0.017569+0.0088529i,0.0095483+0.0032627i,0.0056048+0.0028118i,0.0021465+0.0035304i,-0.0011897+0.0035151i,-0.0018701+0.0029796i,0.00028505+0.0030169i,0.0031837+0.0022548i,0.0037583+0.00037353i,0.0017172-0.00049918i,0.00073797+0.00017082i,0.00071404+0.0009482i,0.00091283+0.00049977i,0.001026-6.8797e-06i,0.00010236+0.00035598i,-0.00019925+0.00029258i,-0.0001851-0.00044625i,-0.00034376-0.00098267i,-8.8851e-05-0.00092481i,-3.7482e-05-0.00086377i,-0.00056173-0.0012151i
0.028687-0.022896i,0.028384-0.019392i,0.017304-0.0088741i,0.0081166-0.0024831i,0.0050106+0.00056384i,0.003561+0.0026293i,0.0028062+0.0031505i,0.0026698+0.0027077i,0.0025333+0.00056421i,0.0021595-0.0025796i,0.0014163-0.0034017i,0.00032311-0.0019446i,0.0003902-0.00025357i,0.00076499+0.00066913i,0.001601-7.5131e-05i,0.0025268-0.00098504i,0.0018936-0.0009208i,0.00058585-0.00079112i,-0.00024403-0.00032883i,-0.00058882-0.00020981i,-0.0010723-0.00071429i,-0.0015581-0.00037681i,-0.0010452+0.00072519i
-0.012422-0.034567i,-0.011123-0.032745i,-0.0048092-0.019057i,-1.4002e-05-0.0098095i,0.0017006-0.0065177i,0.0016603-0.003382i,0.0025774-0.0013887i,0.002641-0.0023911i,0.00088475-0.0047019i,-0.00082404-0.0046893i,-0.0019842-0.0028567i,-0.0019341-0.0014719i,-0.0017713-1.6088e-05i,-0.0015593+0.00034734i,-0.00053022-0.00013654i,-8.6991e-05-0.0010329i,-0.00019461-0.0016364i,-6.9275e-05-0.0010226i,0.00053017-0.00027997i,0.00065351-0.00020562i,0.00029441-0.00013224i,0.00037122+0.00072164i,0.00057365+0.0014043i
-0.037661-0.0052693i,-0.036171-0.0077853i,-0.020411-0.0077174i,-0.010762-0.0069914i,-0.0082819-0.0047506i,-0.0050024-0.0015867i,-0.0020697-0.0012059i,-0.0017622-0.003199i,-0.003074-0.0037148i,-0.0031979-0.00056469i,-0.0022732+0.0015837i,-0.00063218+0.0016727i,0.00073416+0.001733i,0.0011931+0.0012475i,0.0020208+0.0005543i,0.0013449-8.5873e-05i,-7.7254e-05-0.0005705i,-0.00011178-0.00028395i,0.00030113-0.00089066i,2.6181e-06-0.0014275i,7.861e-06-0.00069306i,0.00063141-0.00034066i,0.0009388-0.00043983i
-0.014954+0.036729i,-0.014494+0.031126i,-0.0099878+0.014582i,-0.0070615+0.0051897i,-0.00334+0.0038798i,-0.0019453+0.0029004i,-0.0035405+0.0014025i,-0.0045588-0.0004344i,-0.0034634+0.00018704i,-0.00042808+0.0023123i,0.0020325+0.0025161i,0.0019204+0.0011074i,0.00094961+0.00015631i,0.0011198+0.0006965i,0.0012182+0.0011563i,0.0009741+0.00105i,0.00054736+0.001548i,-0.00015376+0.0013563i,-0.00076585+0.00083387i,-0.0010167+0.00093755i,-0.00081014+0.00084282i,-0.00055822+0.00066238i,0.00035395+0.00016672i
0.031147+0.026461i,0.026513+0.023738i,0.012117+0.011762i,0.0031063+0.0055549i,0.0022157+0.0048198i,0.0012435+0.0038111i,-0.0014986+0.0028823i,-0.0024928+0.0020316i,-0.0010701+0.0016829i,0.0028398+0.0009542i,0.0041966-0.0010499i,0.0026351-0.0029337i,0.002238-0.0024497i,0.002333-0.0014918i,0.0017773-0.00027416i,0.0019894+0.0008218i,0.0023426+0.0016968i,0.0017896+0.0013124i,0.00092906-0.00010475i,0.00021444-2.2502e-05i,-0.00021305+4.9427e-05i,-8.3074e-05-0.00079241i,0.00015292-0.0011081i
0.036999-0.020894i,0.033887-0.019253i,0.019137-0.0099711i,0.0093628-0.0010757i,0.0056972+0.0024389i,0.0041081+0.0041493i,0.0033422+0.004462i,0.0024722+0.0028935i,0.0028292+0.00028716i,0.0031893-0.0024214i,0.0013985-0.0033805i,5.376e-05-0.0023893i,3.8079e-05-0.0013032i,4.0283e-06-0.0008477i,0.00016118-0.00051739i,0.00026546-0.00053565i,0.00041681-0.00076367i,0.00072148-0.00017225i,0.0010176+0.00012183i,0.00072785-0.00027658i,-6.7861e-06-0.00089704i,-0.00040717-0.00065842i,-0.00012548-0.00055298i
-0.0057624-0.045966i,-0.004355-0.043348i,0.00059741-0.025319i,0.0048963-0.012977i,0.0052413-0.0071208i,0.0047655-0.0018376i,0.0050709+0.00021109i,0.0038488-0.0016774i,0.0015332-0.0037847i,-0.0013824-0.004166i,-0.0027656-0.0026276i,-0.0017334+8.9196e-05i,-0.00072376+0.0013288i,-0.0012004+0.0005378i,-0.0014293-0.00060348i,-0.00064946-0.0014713i,-0.00019096-0.001782i,-0.00025982-0.0014716i,0.00021282-0.0004286i,0.00092195+0.00023254i,0.00065019+0.00025407i,0.00012014+0.00049005i,8.2649e-06+0.0012995i
-0.042742-0.011549i,-0.038524-0.011601i,-0.01967-0.0097736i,-0.0073609-0.0097557i,-0.0045422-0.0084049i,-0.0024925-0.0050245i,-0.00049354-0.0037547i,-0.0001162-0.0046546i,-0.0020369-0.0042357i,-0.0041585-0.00054402i,-0.003295+0.002398i,-0.00044851+0.0025042i,0.00050364+0.0024001i,5.232e-05+0.0020723i,0.00017727+0.00091101i,0.00012041-0.00022926i,-0.00079986-0.00068793i,-0.001006-0.00032742i,-0.00030246+0.00013236i,-0.00034005+1.0638e-05i,-0.00063491+2.4322e-05i,9.9598e-05+0.00066504i,0.00082288+0.0001872i
-0.024626+0.037868i,-0.024493+0.03397i,-0.017975+0.016677i,-0.013583+0.0046079i,-0.010014+0.0027808i,-0.0066384+0.0038485i,-0.0050407+0.001747i,-0.0046502-0.0017578i,-0.0037983-0.0015055i,-0.0014945+0.0018292i,0.00067545+0.0028929i,0.0016492+0.00091226i,0.0022582-0.000496i,0.0025028-0.00035565i,0.0028093-0.000253i,0.0026913-0.00030201i,0.00068244-5.3067e-05i,-0.0012968+3.6466e-06i,-0.0018779-0.00010547i,-0.0016179-0.00029844i,-0.0012282-0.00071332i,-0.0005456-0.00038963i,0.00029985+0.00057709i
0.028748+0.036402i,0.025855+0.031922i,0.011713+0.017269i,0.00029724+0.0091646i,-0.0015179+0.0075055i,-0.0017827+0.0068753i,-0.0031932+0.0059502i,-0.0033659+0.0035533i,-0.0010149+0.0021526i,0.0029809+0.0018571i,0.0041735+0.00028035i,0.0027021-0.00083623i,0.0017908-0.0017598i,0.0022142-0.0019824i,0.0025942-0.00090855i,0.0021254+3.8438e-05i,0.001725+0.00065266i,0.0012792+0.00039523i,0.00039605-2.9654e-05i,7.8132e-05-0.00027168i,9.7994e-05-0.0002212i,-0.00058829+0.0001551i,-0.0001693+0.00018695i
0.048992-0.016765i,0.043177-0.018718i,0.024316-0.012779i,0.01064-0.004417i,0.0054215+0.0011584i,0.0023293+0.0049069i,0.0011536+0.0063031i,0.001371+0.0037473i,0.0024176-0.00023004i,0.0027012-0.0038251i,0.0011591-0.0051261i,0.00023472-0.0026852i,-0.00013219-0.00032702i,0.00040103+0.0005071i,0.002269+0.00080144i,0.0034268-4.2756e-05i,0.0024797-0.00055357i,0.0015725-0.00073516i,0.0015737-0.0011162i,0.0015368-0.00088266i,0.0014624-0.00023107i,0.00062556-0.00014753i,-0.0006321-0.0003796i
0.0016501-0.052246i,-0.00033811-0.049715i,4.1091e-05-0.028465i,0.0036823-0.011381i,0.005815-0.0043826i,0.0053329-0.0003313i,0.0049329+0.00062431i,0.0043429-0.000862i,0.0019597-0.0022072i,-0.00041378-0.0024218i,-0.0012452-0.0010226i,-0.00083764+0.00018112i,6.9625e-05+0.00059336i,0.0010478+0.0012573i,0.0013344+0.00080679i,0.00058643-0.00056134i,-0.00024541-0.00098258i,-0.00065365-5.1217e-06i,1.5447e-05+0.00010895i,0.00059053-0.00074378i,-0.00012546-7.2562e-05i,-0.00040079+0.00092949i,-0.0001788+0.00116i
-0.04483-0.020673i,-0.040705-0.018367i,-0.019676-0.012942i,-0.0048898-0.010404i,-0.0018276-0.008456i,-0.0014281-0.0054603i,-0.00035694-0.0044593i,-2.7822e-05-0.0050863i,-0.0011781-0.0040628i,-0.0020319+2.0113e-05i,-0.001959+0.0029051i,-0.0012622+0.0030747i,-0.00049091+0.0033583i,0.00013478+0.0030099i,0.0003997+0.0017672i,-0.0008353+0.00072369i,-0.0013997-7.8939e-05i,-0.0009025-7.0445e-05i,-0.0005752-6.4821e-06i,-0.00065489-0.00035318i,-0.00086263-0.00055297i,-0.0006912-0.00075673i,7.7673e-05-0.00030306i
-0.035344+0.040041i,-0.029897+0.037675i,-0.015573+0.019559i,-0.0070471+0.0024895i,-0.0054548-0.0014686i,-0.0051615-0.00073855i,-0.0046961-0.0013722i,-0.0036906-0.0024662i,-0.0031732-0.0022188i,-0.0018161+1.1177e-05i,0.00068911+0.0023774i,0.0012286+0.0026721i,0.00038858+0.0014709i,0.00023979+0.0017178i,0.00045233+0.0023258i,0.00032336+0.0018898i,0.00053929+0.0015364i,-0.00040851+0.00056233i,-0.0016164-0.00020413i,-0.0014163+4.6108e-05i,-0.00033212+0.0004748i,0.00050405+0.00093213i,0.0012801+0.0012868i
0.027452+0.04578i,0.02592+0.038204i,0.013047+0.018349i,7.4383e-05+0.0054408i,-0.0048239+0.0028277i,-0.0055766+0.0031665i,-0.0043588+0.003662i,-0.0033718+0.0023092i,-0.0021753+0.00051485i,0.00029086-0.00015419i,0.0021955-0.00095824i,0.0014759-0.0010643i,0.00013278+0.00013804i,0.00096712+0.00078333i,0.0023449+0.00042815i,0.0032578-0.00025131i,0.0029439-0.00077527i,0.0017752-0.00045053i,0.00097903+0.00057682i,0.00079159+0.0012632i,0.00062604+0.001021i,8.1278e-05+0.0001044i,0.00028977+2.9044e-05i
0.050165-0.0093971i,0.044846-0.012724i,0.022346-0.0062294i,0.0060616+0.0039278i,0.0023475+0.0077464i,0.0016566+0.0078518i,0.00094447+0.0066802i,0.0007283+0.0038279i,0.0003242+0.00094954i,0.00063376-0.00075521i,0.00082998-0.001536i,0.00046421-0.0022693i,0.00064283-0.00309i,0.0011272-0.0032595i,0.0022137-0.0025401i,0.0022877-0.0025504i,0.00099802-0.0031525i,3.8161e-06-0.0023133i,-7.9218e-05-0.0012376i,0.00060915-0.00054597i,0.00027516-0.00078472i,0.00043288-0.00083186i,0.00052922-0.00057392i
0.011185-0.054499i,0.0062524-0.053914i,0.0055644-0.031185i,0.009847-0.01032i,0.011688-0.0021332i,0.0088472+0.0012428i,0.0058263+0.0021823i,0.0043821+6.125e-05i,0.0027381-0.0023838i,0.00022054-0.0034124i,-0.00092257-0.0033903i,-0.00039964-0.0027613i,-0.0004353-0.002129i,-0.00016645-0.0014469i,4.324e-08-0.00099394i,-0.00032323-0.0018093i,-0.00078065-0.0022042i,-0.0010494-0.00098141i,-0.001417-0.00065142i,-0.00026109-0.0017864i,0.0010586-0.0016764i,0.00090291-0.0006151i,-6.8649e-05+0.00011118i
-0.04612-0.031803i,-0.045527-0.024578i,-0.026824-0.015887i,-0.0072229-0.011163i,0.00066987-0.0067489i,0.0031244-0.0028117i,0.0039958-0.0032982i,0.0025504-0.0048326i,0.00067618-0.0038685i,-0.00057793-0.00082957i,-0.00029723+0.0015729i,0.00014906+0.00083785i,0.00073364-0.0010552i,0.0011137-0.00047564i,0.00070268+0.00034038i,0.0001257+0.00031043i,0.00024253+0.00034256i,0.00080926+0.00045574i,0.00055416+0.00016822i,-0.00023923-0.00080443i,-0.00029985-0.0010825i,-0.00063967-0.00082358i,-0.00022654-0.00063915i
-0.042771+0.034318i,-0.035564+0.035883i,-0.018946+0.018902i,-0.0080704+0.00077172i,-0.0049569-0.0034587i,-0.004574-0.0015065i,-0.0044273-0.001946i,-0.0038639-0.0043029i,-0.0020029-0.0034618i,0.001192-9.0306e-07i,0.0029579+0.0023838i,0.0018959+0.0020998i,0.001474+0.0022665i,0.0021957+0.0033478i,0.0024859+0.0028132i,0.0030107+0.0024927i,0.0026748+0.0019395i,0.0014401+0.00058043i,-0.00011794-1.8838e-05i,-0.0010991-0.00026502i,-0.0009786+3.1101e-05i,0.00019823+0.00069779i,0.0010328+0.00071275i
0.016057+0.052333i,0.022889+0.044752i,0.013675+0.023813i,-8.1461e-05+0.0083812i,-0.0047786+0.0056519i,-0.0037901+0.0050111i,-0.0032133+0.003547i,-0.0036424+0.0018397i,-0.0019131+9.4065e-05i,0.001482+0.00039501i,0.0030239+0.0010127i,0.0027205+0.0013488i,0.002109+0.0017831i,0.0021264+0.0024025i,0.0026927+0.0028705i,0.002933+0.0016097i,0.0019153-0.00097567i,0.00011633-0.0014106i,-0.00095683+0.00048779i,-0.00073541+0.0014278i,-3.5741e-05+0.0015651i,0.0010154+0.0015809i,0.0014413+0.001226i
0.055625-0.0015002i,0.050493-0.01133i,0.027693-0.010374i,0.007969-0.0020056i,0.00097219+0.0025083i,-0.00081512+0.0041769i,-0.00091979+0.0053211i,-0.00098444+0.0032675i,-0.0023791+0.00026498i,-0.0026177-0.0020211i,-0.0013965-0.0028836i,-6.9153e-05-0.0015477i,0.00068881-0.00021373i,0.0011974-0.00046011i,0.0021168-0.0017054i,0.0016743-0.0021688i,2.4003e-05-0.0016149i,-0.00029831-0.0007513i,0.00075283-0.00074902i,0.0015151-0.00082827i,0.0014722-0.00098632i,0.0017137-0.0013429i,0.0017778-0.0014774i
0.022416-0.059274i,0.011178-0.058543i,0.0023255-0.033845i,0.0018847-0.008411i,0.0024334+0.002913i,0.0021669+0.0057532i,0.0026321+0.0049279i,0.002055+0.0017898i,-0.00027523-0.00069105i,-0.002418-0.00097281i,-0.0022802-0.00054679i,-0.0017025-0.0012675i,-0.0027635-0.0036868i,-0.0030964-0.0041558i,-0.0019621-0.0036756i,-0.001781-0.0036442i,-0.0016881-0.0024725i,-0.0013992-0.0011722i,-0.00085753-0.001072i,-8.6294e-05-0.0019482i,-0.00077942-0.0022091i,-0.0018672-0.0013188i,-0.0025533-0.00037815i
-0.040609-0.041058i,-0.045156-0.029114i,-0.028956-0.015079i,-0.007208-0.0068233i,0.0025028-0.0026479i,0.0042218+3.3854e-05i,0.0043592-0.00040269i,0.003173-0.0032936i,0.0011373-0.0034382i,-0.00067844-0.00060132i,-0.00050645+0.0010086i,-0.00084282+0.00062379i,-0.0020301-0.000392i,-0.0016263-0.0010159i,-0.00035889-0.00040306i,-0.00086436+0.00056935i,-0.0018379+0.00029868i,-0.0012274-0.00033386i,1.9024e-05-0.00046472i,6.8468e-05-0.00023468i,-0.00075857+0.00025521i,-0.00151+0.00069449i,-0.001615+0.0011648i
-0.052351+0.032754i,-0.045059+0.039908i,-0.024187+0.026433i,-0.0059217+0.0054186i,0.0008209-0.0027754i,0.0006184-0.0023618i,-0.00086138-0.0025959i,-0.00072222-0.0034835i,0.00026526-0.0021771i,0.0018654+0.00036835i,0.003757+0.0012489i,0.0038629-0.00011883i,0.0020396-0.00059601i,0.00055115+0.0013258i,0.0010443+0.0029808i,0.0032227+0.0028444i,0.0040142+0.0012251i,0.0027442-0.00016854i,0.0010917-5.594e-05i,0.00014608+1.2736e-05i,-0.00065388+0.00092801i,-0.0011194+0.0019055i,-6.1511e-05+0.0015967i
