-0.0023814+0.00099187i,-0.00059252-0.00060574i,-0.0016505-0.00010777i,-0.0027679+0.0015512i,-0.0025374+0.0029717i,-0.0025246+0.0027111i,-0.0019363+0.0016289i,-0.00068449+0.0018822i,0.0003323+0.0018285i,0.00042149+0.0011047i,0.00054377+0.00060309i,0.00086138-6.4879e-05i,0.0005701-0.00014885i,0.00024675-0.00056809i,3.8349e-05-0.00060502i,-0.00019142+0.00013313i,-0.00051716+0.0003091i,-0.00081243+0.00030274i,-0.00061005+0.00090555i,0.0001478+0.00050695i,0.00044674-0.00040205i,-5.6208e-05-0.00052316i,7.634e-05-0.00021454i
-0.0013517+0.00049359i,-0.0010591+0.0011992i,-0.00090834+0.0019813i,8.8421e-05+0.0012466i,-1.9964e-05+0.0016139i,-0.00033093+0.0015895i,-0.00075956+0.00039637i,-0.0012393-0.00030381i,-0.000766+0.00017462i,-3.9051e-05+0.00072116i,0.00073079+0.0007156i,0.00092312+0.00029045i,0.00045534+0.00013016i,0.00029682+4.8141e-05i,0.00054675-0.00041485i,0.00021097-0.00068782i,-0.00049175-0.00079408i,-0.00022966-0.00051342i,0.00051484+0.00024809i,0.00042756+0.00064556i,-0.001007-0.00016445i,-0.00092609-0.0010786i,0.00012345-0.00043189i
-7.5066e-05-0.0018056i,-0.00046103-0.0013819i,-0.0010667-0.0018028i,-0.0015525-0.0013291i,-0.0021467-0.00045201i,-0.001173-0.00010841i,-0.00018965+0.00031883i,-0.00036654-0.00011447i,-0.00095747+0.00016185i,-0.00072945+0.00062064i,2.945e-05+0.00063628i,0.00052875+0.00081627i,0.00024056+0.00021266i,-8.7753e-06-0.00046686i,0.00079307-0.00030078i,0.00043417+0.00078368i,-0.00043951+0.00076407i,-0.00049524+0.00028509i,-0.0007582+0.00021909i,-0.00073215-0.00018114i,-0.00019002-0.00080098i,0.0001946-0.00086722i,0.00028172-0.00023972i
0.00066139+0.00065634i,0.00093547-0.00083885i,0.00032505-0.0019132i,-0.00020581-0.0017664i,-0.00077959-0.00089844i,-0.00062586-0.0003072i,-0.00037745-0.00094967i,-0.00128-0.00091689i,-0.0010196+9.5436e-05i,-0.00032953+0.0011937i,-0.00014568+0.0016961i,0.00073219+0.00068576i,0.0013268+0.00013813i,0.00035577-0.00015381i,-0.00069671-0.00089246i,-0.0011542-0.00041697i,-0.0013895-0.00072663i,-0.00078058-0.0012544i,-0.00056996-0.00064528i,-0.00097047+0.00068991i,-0.00056337+0.0012467i,-0.00036568+0.00082742i,-0.00047995+0.00041192i
-0.0005005+0.0018026i,-2.5494e-05+0.0017721i,0.00020288+0.00098766i,9.9461e-05+0.0010937i,0.00057057+0.0007741i,0.0003286-3.8195e-05i,-0.00068689+0.00045876i,-0.0010314+0.00059595i,-0.0011684+0.00021263i,-0.00057+0.00071545i,0.00065469+0.001394i,0.00089083+0.00088286i,0.00034994-9.1712e-05i,-0.00034181-0.00061132i,-0.00088546-0.0006199i,-0.0012465-0.00078532i,-0.00067507-0.0011439i,-8.4081e-05-0.0016199i,-1.7875e-05-0.0012085i,-0.00021472-0.00051777i,-0.000501-0.00031212i,-0.00061935-0.00054251i,-0.00023273-0.00059946i
-0.0011864+0.00062533i,-0.00090517+0.00097912i,-0.0006511+0.001423i,-0.0003047+0.00014962i,-1.7936e-05-0.0010059i,0.00023788-0.0012117i,-0.00047565-0.00082427i,-0.0018838+0.00013888i,-0.0013088+0.0014295i,-0.00022864+0.001466i,0.000713+9.2301e-05i,0.0011659-0.00059537i,0.0003358-0.00043505i,-0.00026625-0.00073171i,0.00013624-0.00048829i,0.00048186+0.00029419i,0.00025621+0.00070932i,0.0001497+0.00063087i,-0.00043836+0.00036925i,-0.00020651-0.00018562i,-0.00049951-0.00075306i,-0.0013622+2.161e-05i,-0.0010486+0.00072144i
0.0015649+0.00022951i,0.0021719-0.00029145i,0.00079017-0.0015561i,-0.00058317-0.0013381i,-0.00098819-0.00065772i,-0.00067626-8.4362e-05i,-0.00074028-0.0010128i,-0.0014338-0.002664i,-0.00063607-0.0016361i,0.00046154-9.2255e-05i,0.00050615+0.00020212i,0.00062971+0.00025854i,0.001046-2.0223e-05i,0.001182-0.00032732i,0.00075588+0.00031033i,-6.0959e-05+0.00040634i,-0.00060605+0.00020238i,-0.00099381+7.5318e-05i,-0.00076733-0.00023245i,-0.00020029-0.00026817i,0.00037539-0.00055367i,0.00081383-0.00054484i,0.00057523-5.7092e-05i
0.00041559-0.00053124i,0.00086978-0.00063971i,0.0015026-0.0017i,0.0016268-0.0017304i,0.00090561-0.00044936i,-0.00072896+0.00063654i,-0.0022966+0.00069938i,-0.0021217+0.00013271i,-0.00063342+0.00091877i,0.00052785+0.00078494i,0.0013114-0.00013113i,0.0012378-0.00070457i,0.0013012-0.00091371i,0.00072962+0.00012124i,-0.00079713+0.0006836i,-0.0012993+0.00061145i,-0.0011358-0.00066775i,-0.00088023-0.0015397i,-0.00027848-0.00014421i,2.8021e-05+0.00079632i,6.1983e-05+6.7981e-05i,0.00070491-0.00063602i,0.00016123-0.00060623i
-0.00027066+0.00065188i,-2.4564e-05+0.0004481i,0.00031345+0.00071172i,-0.00016783-0.00010928i,-0.0011497-0.0012332i,-0.0013371-0.00049968i,-0.0014454-5.1063e-05i,-0.0014302-0.00074182i,-0.00069844+1.4621e-05i,5.2738e-05+0.0012979i,0.00074494+0.0010091i,0.0015063+0.00019597i,0.0010423+0.00054697i,0.0002887+0.00054691i,0.00087185+7.0513e-05i,0.001384-7.03e-05i,0.0010062+0.00031172i,-0.00021546+0.00080544i,-0.0007837+0.00055371i,-0.0014768+0.00040008i,-0.0016339-0.00012315i,-0.0010694-0.00045961i,-0.00033296-0.00015989i
0.00019335-0.00022155i,-0.00078612-0.00019174i,-0.0017311-0.00055569i,-0.0016912-0.0005402i,-0.00065076-7.8567e-05i,0.00011216-6.6489e-05i,6.177e-05-0.00035707i,-0.000387+4.2129e-05i,-0.00084221-5.8978e-05i,-0.00042819+9.156e-05i,0.00077853+0.00094969i,0.0011641+0.00086264i,0.00018967+0.00032702i,-0.00023024+3.3964e-05i,0.0003549+7.3612e-06i,0.00026878+0.00019707i,-0.00052077+0.00051132i,-0.0010798+6.9354e-05i,-0.0012067-0.0011725i,-0.0011503-0.00054824i,-0.0010467+0.0009144i,-0.00062151+0.0006216i,-0.0002561+0.0006973i
-0.00053863-0.00067737i,-0.00075739-0.00061365i,-0.00063788-0.0012835i,5.2282e-05-0.00090648i,0.00097744-0.00029233i,0.00050455+0.0001037i,-0.00039827+0.00083296i,-0.0013557+0.0010725i,-0.0015003+0.0014859i,-0.00076151+0.0017828i,-0.00014644+0.0011205i,8.2671e-05+0.0005677i,0.00051942-0.00014827i,0.0002792-0.00032175i,-0.0008327+2.3858e-05i,-0.0011232+0.00015273i,-0.00087386+0.00051262i,-0.00094232+4.5669e-05i,-0.0011362-0.00026525i,-0.0009883-0.00053613i,-0.00055537-0.00038785i,-0.00015718+0.00017189i,-0.00052933+0.00014739i
0.0016395-0.0019392i,0.00091907-0.00087343i,-0.0013836-0.00084669i,-0.0027127-4.9843e-05i,-0.0032011+0.00075494i,-0.0021822+0.000985i,-0.00090626+0.00063948i,-0.00085855+0.00020148i,-0.0010199+1.4867e-05i,-0.00084832+0.0004516i,-4.7897e-05+0.00057931i,0.0012441+0.00040267i,0.0019917-0.00023787i,0.0012052-0.00098739i,-0.00049155-0.00095842i,-0.00053794-0.00027059i,0.00028766-0.0003152i,0.0007408-0.00092475i,0.00020267-0.0013184i,-0.00057718-0.0008217i,-0.00025217-0.00061125i,0.00012563-0.00023264i,8.7455e-05+0.0001746i
-0.0019394+0.0017812i,-0.0010354+0.0028717i,-0.0011162+0.0034255i,-0.0010512+0.0025083i,-0.0011029+0.0014334i,-0.00094088+0.00018878i,-0.00051977-0.00069354i,-0.0014476+5.5014e-05i,-0.0019722+0.00078705i,-0.0003147+0.00048799i,5.9745e-06+0.00029126i,-1.4411e-05+0.00012522i,0.00063446+0.00023295i,-1.6661e-05+0.00042062i,-0.00014529+0.00088074i,0.00020855+0.00063587i,6.4161e-05+0.00051353i,-0.00067118+0.00045893i,-0.0012179+0.00024911i,-0.00057518+0.00053969i,-0.00048558-6.1718e-05i,-0.00087615-0.00082561i,-0.00085344-0.00053746i
0.00015562-0.0017148i,-0.0005224-0.0016256i,-0.00055125-0.0014867i,-0.0011713-0.00080796i,-0.0017716-0.00020456i,-0.0005722+8.4963e-05i,7.5635e-05-4.2492e-05i,-5.4567e-05-0.00066698i,-0.00034126-0.00021685i,-0.00028086+0.00075645i,4.9563e-05+0.001038i,0.00027354+0.00090427i,0.00096864+0.00070125i,0.0016778+4.7864e-05i,0.0013625-0.00045835i,0.0004906-0.00051763i,-0.00020018-0.00047215i,-0.00071033-0.00043843i,-0.0010125-0.00068475i,-0.00060557-0.00018144i,-0.00048414-0.00015896i,-0.00067602-0.00091224i,-0.00031948-0.00025138i
0.001336-0.0025372i,0.0013409-0.0023255i,0.00058373-0.0021661i,-0.00092457-0.0028993i,-0.0023756-0.0023656i,-0.0019071-0.0010476i,-0.0004508-0.001146i,6.5372e-05-0.0014649i,-0.00035331-0.00080121i,-0.00038913+0.00065769i,-0.00010286+0.00084095i,-0.00022151-0.0001456i,0.00016645-0.0006042i,0.00027658-0.00086267i,-0.00058804-0.00057653i,-0.0005167+0.00024167i,-0.00065069-0.00050553i,-0.00083681-0.0014396i,-0.00065649-0.0016085i,-3.9654e-05-0.00099807i,0.00051493-0.00029011i,0.00040268-0.00036266i,6.7866e-05-0.00079121i
-0.0002721+0.0019851i,-0.00049781+0.0028325i,0.00069936+0.0031307i,0.0013989+0.0021693i,0.00071563+6.5243e-05i,-0.00043805-0.00066638i,-0.00075767-0.0005531i,-0.0013363-0.00065306i,-0.0018402+0.00034159i,-0.00089022+0.0005245i,-0.00010422+0.00024208i,0.0010262+0.00020515i,0.0015894-4.4738e-06i,0.00018738-0.00034361i,-0.001605-0.00064447i,-0.0012255-0.00041866i,0.00010629-0.00043839i,0.00015461-8.1408e-05i,-0.00048308+0.00014673i,-0.00026918+0.00048124i,0.00097393+0.00011205i,0.0011226-0.0008788i,0.0001373-0.00031261i
0.00094836-0.00047663i,0.00059788-0.001889i,0.0012821-0.0024811i,0.002004-0.0011492i,0.0010645-0.00014744i,0.00064366-0.00031686i,0.0003757-0.0010598i,-0.00036682-0.0013556i,-0.00021889-0.00068405i,-8.7388e-05+0.00037604i,0.00094029+0.00059401i,0.0017478+0.00062527i,0.0012465+0.0011098i,0.000722+0.00073949i,0.00016273+0.00071284i,-0.00010902+0.00024568i,-0.00031704-0.00068149i,-0.00057453-0.00091119i,-0.0010224-0.00049509i,-0.00071592+0.00015886i,-0.0001181+0.00069398i,-4.3174e-05+0.00042591i,0.0002814+3.6194e-05i
-0.00090192-0.0030547i,-0.00068169-0.0024309i,5.7669e-05-0.0018778i,-0.00090808-0.0010684i,-0.0013715+0.00040748i,-0.00083879+0.00072338i,-0.0009792+0.00012891i,-0.001302-0.00090502i,-0.0014876-0.0010036i,-0.00073365+5.3891e-05i,0.0003603+0.0010359i,0.0010522+0.00099954i,0.0010466+0.00036501i,0.00058412+0.00013713i,0.0006016+0.00059257i,0.00062565+0.00066242i,0.00011398+9.4213e-05i,-0.00020884-0.00075906i,-0.00031929-0.0013157i,-0.00070916-0.0011496i,-0.00066713-0.00045796i,0.00015801-0.00061985i,3.044e-05-0.00078495i
0.0021019-0.00050776i,0.0011519+0.00025425i,0.000299+0.0011002i,-0.0011293+0.0026835i,-0.0025773+0.0024347i,-0.0014563+0.00075101i,-0.00057175-0.00025106i,-0.00080343-0.00097447i,-0.00079253-0.00059668i,0.00018649+0.00049379i,0.00067177+0.00058333i,0.00053033-0.00022998i,0.0006406-0.00092369i,0.0012458-0.0012825i,0.000874-0.00077763i,-0.00030409-0.00024027i,-0.00016162-0.00087872i,0.0005081-0.0010515i,-0.00016761-0.00097975i,-0.0010815-0.00088005i,-0.00073724-0.00015641i,-0.00033979+0.00035086i,-0.00016938+0.0004982i
-1.5489e-05-0.0022482i,-0.00037451-0.0023366i,-0.0013186-0.0039877i,-0.0024643-0.003767i,-0.0027015-0.00090004i,-0.0012678+0.00051549i,0.00026641-0.0001099i,0.00026534-0.00017906i,-0.00037074+0.0004747i,-0.00042972+0.001166i,0.00019288+0.0012343i,0.00067524+0.00046468i,0.0015304-0.0005751i,0.0021507-0.00085873i,0.0016323-0.00067575i,0.0015771-0.00041778i,0.00063735-0.00024348i,-0.0012468-0.00067348i,-0.00092081-0.00069066i,6.8717e-05-0.00051477i,-1.1431e-05-0.00061421i,-5.0028e-05-0.00019401i,-0.00049553-0.00024865i
0.00040924-0.0033165i,-3.8568e-05-0.0031195i,-0.00053967-0.0032687i,-0.0015849-0.0036041i,-0.0021247-0.0030827i,-0.0008434-0.00071416i,-0.0004416-0.00010927i,-0.0020523-0.0013361i,-0.0026078-0.00089709i,-0.0013683+0.00034511i,0.00027361+0.0011882i,0.0017775+0.0015862i,0.0016609+0.0010002i,0.0008348+0.0002091i,0.00092497-0.00030613i,0.00081657-0.00072488i,0.00019016-0.00081554i,-0.00070079-0.00088639i,-0.0016013-0.0001498i,-0.0013254+0.00055849i,-0.00066095+0.00046837i,-0.00077249+0.00023668i,-0.00012706-0.00019156i
0.00082163+0.000893i,0.00049075+0.0020813i,0.00012467+0.0014567i,-0.00019131+0.0010091i,-0.00024297+0.00051114i,-0.00078982-0.00080066i,-0.00048681-0.001285i,-0.00056508-0.00083559i,-0.0010674+0.00068347i,-0.00026297+0.0018397i,0.00035545+0.0013025i,-0.00019655+0.0006029i,-0.00042276+0.00031971i,-0.00065716-0.00016765i,-0.00054349-0.00059233i,-0.00056064-0.00037591i,-0.00062456-0.00035576i,-0.00075007-0.00035557i,-0.0010332-0.00040735i,-0.00051683-0.00032304i,-0.00013379+0.00031125i,-0.00083292+0.0004839i,-0.001505+0.00012096i
-4.9297e-05+0.00051458i,-0.00043637+0.0012197i,1.2394e-05+0.002622i,-0.00011051+0.0029895i,-0.00023914+0.001943i,-0.00017407+7.3149e-05i,-0.00027093-0.001028i,-0.00040904-0.0010702i,-0.00082705-0.00036865i,-0.00074183+0.0010441i,0.00078564+0.0004488i,0.0017061-0.00071808i,0.0014379-0.0010885i,0.00076537-0.00041732i,-0.00019249-0.00014767i,-0.00022651-0.00072417i,6.6409e-05-0.00081862i,-0.0010372-0.00083346i,-0.0011787-0.00066006i,-0.00022166-0.00023094i,0.00090931+9.4699e-05i,0.00078754+0.00042487i,0.00031758+0.00045723i
-0.0006925+0.0007457i,-0.0017586+0.00019098i,-0.002956-0.0013565i,-0.0029348-0.0022644i,-0.0024857-0.0013546i,-0.0019073-0.00015337i,-0.0010635-0.00091156i,-0.00093887-0.0018502i,-0.00071335-0.0012539i,0.00058608+9.8792e-05i,0.002264+0.0007922i,0.0035698+0.0011679i,0.0027132+0.00077749i,0.00096478-0.00056204i,0.00030535-0.0010716i,0.00011261-0.00021456i,-0.00020911+0.00050821i,-0.00027673+0.00070686i,-0.00070164+0.00087861i,-0.00051854+0.00034252i,-3.646e-05-0.00018618i,-0.0003852-0.00023874i,-0.00021056-0.00060504i
-1.6621e-05+0.0020221i,0.00036674+0.0013601i,0.0010895+0.00045113i,0.0016625-0.0010683i,0.00076905-0.0010309i,-0.00017147-0.00042736i,0.00018146-0.00067148i,0.00017153-0.0012309i,-0.00029528-0.00071061i,0.00046335+0.00017063i,0.0013898+0.00081041i,0.0008786+0.001417i,-0.0001041+0.0012224i,-0.00062919+0.00084523i,-0.00018908+0.00055214i,0.00058424+0.00029833i,0.00029188-0.00016072i,-0.00028071-0.00033004i,-9.3834e-05-0.0003017i,-1.6332e-05+1.2077e-05i,-0.00029532+0.00024521i,0.00028049-0.00053512i,0.0014103-0.00057712i
0.00094244+0.00014191i,0.0014663-0.00056198i,0.0028631-0.00024212i,0.0025761-0.0009014i,0.00073394-0.00031729i,-0.000455+0.00082567i,-0.00074811+0.00031256i,-0.0012522+3.609e-05i,-0.0018438+0.00041162i,-0.0013769+0.00067512i,-0.00044807+0.00063269i,-0.00016954+0.0004383i,-0.00094007+0.00036899i,-0.0010785+0.00025898i,-0.00045154+2.8732e-05i,-0.00050049-0.00031264i,-0.00062431-0.00071408i,-0.00040618-0.00038229i,-0.00076213-8.8838e-06i,-0.00062865-0.00077833i,-0.0001335-0.0012963i,0.00062781-0.0013297i,0.0013114-0.00015261i
-0.00060646+0.00084083i,0.001092+0.0028749i,0.0020867+0.0043386i,0.0020814+0.0032724i,0.0016582+0.00078755i,0.0008227-0.0010798i,-7.8838e-05-0.0014804i,-0.00064438-0.00073838i,-0.00072177+0.00027419i,-0.00033429+0.00028398i,4.1026e-06+6.5902e-05i,0.00040035-0.00048034i,0.0009638-0.00069114i,0.00069505-0.00034793i,0.00043526-0.00048503i,0.00046837-0.001113i,0.00032035-0.00014504i,0.00039866+0.00073751i,0.00040477+2.956e-05i,0.00060873-0.00050558i,0.0002656-0.00063737i,-0.00013255-0.00037838i,-0.00023568-6.3888e-05i
-0.0020106-0.00013271i,-0.0035171+0.00056781i,-0.0059217+0.00092515i,-0.0058184+0.00060945i,-0.0029356+0.0015935i,-0.00095688+0.0013107i,-0.00074303-0.00060237i,-0.001171-0.001365i,-0.0013998-0.00041801i,-0.00025546+0.00039081i,0.0011384+0.00081106i,0.0021812+0.00043049i,0.0021458-0.00015454i,0.00084326-0.00028803i,-3.2086e-05-0.00016172i,0.00018326+0.00033184i,0.00073673+0.00038421i,0.00056949+0.00029254i,-6.2912e-05+0.00061619i,-0.0002366+0.0012743i,-0.00015218+0.0011093i,-0.0007149+0.00043478i,-0.00022247+0.0003502i
0.0015227-0.001623i,0.0010344-0.0026278i,0.001154-0.0036381i,-0.00028164-0.0031166i,-0.0022843-0.001598i,-0.0019331-0.00019532i,-0.00082611-1.3767e-05i,-0.0016053-0.00036923i,-0.0018409-0.00010145i,-0.00046257+0.00083796i,0.00030776+0.0019697i,-0.00011578+0.0024657i,-0.0001629+0.0017951i,-4.608e-05+0.0011608i,-0.00056228+0.0010123i,-0.00090647+0.00082388i,-0.0013685+0.00053835i,-0.0017778-0.00031907i,-0.0011576-0.00044324i,-0.00021645-0.00041368i,-0.00010104-0.00067245i,-0.00060255-0.00095096i,-0.00086106-0.0011458i
0.00057576+0.002162i,0.0024775+0.00228i,0.0031885+0.0031601i,0.0033179+0.0017018i,0.0018339-0.0014962i,-6.972e-05-0.0028307i,-0.00011508-0.001885i,-0.00035096-0.0012574i,-0.00096111-0.0002451i,-0.00036227+0.0012518i,5.3793e-05+0.00089229i,-0.00062685-0.0007317i,-0.00084474-0.0016268i,-0.00083119-0.0009198i,-0.00093991-0.0006875i,-0.0010129-0.00091228i,-0.0011868-0.00070428i,-0.00074351-0.00079671i,-0.00078233-0.00083379i,-0.0013216-0.0003623i,-0.00089019+2.5604e-05i,-0.0004438-0.00010536i,-0.00045589-0.00047252i
-0.0013365+0.00075376i,-0.00093953+0.0016048i,-0.00033414+0.002401i,0.0004636+0.0023474i,0.00036473+0.0010892i,-0.00024939-0.00025647i,-0.00085981-0.0017438i,-0.0011607-0.0017769i,-0.0012729-5.6658e-05i,-0.00043255+0.00049371i,0.00070915-7.6783e-06i,0.0011723-0.0007488i,0.00098855-0.001295i,0.00049109-0.0014797i,-0.00050638-0.0017647i,-0.00036772-0.0015789i,0.00013925-0.0007851i,0.00018302-0.00063319i,0.00019426-0.00089417i,0.00033563-0.00039508i,0.00024699+0.00044602i,-0.0007902+0.0003169i,-0.00097327-0.00048355i
0.00079562-0.00069728i,0.00015385+1.7464e-05i,-0.0013792-0.00040782i,-0.0026077-0.00072103i,-0.0016966-0.00060146i,3.026e-05-0.00099956i,0.00039506-0.0011923i,-0.00072559-0.00093721i,-0.00086593-0.00014498i,-0.0007425+0.00064919i,-0.00030459+0.0013352i,0.00080553+0.0016652i,0.0016064+0.0012775i,0.0011584+0.0011279i,0.00033945+0.001016i,0.00082869+0.0004114i,0.00066526+0.00015152i,-0.00073215-4.3048e-05i,-0.00074442-5.0525e-06i,-0.00069054+0.00016001i,-0.00057752+5.5508e-05i,0.00055581+0.00044932i,0.00074234+0.00013306i
-0.00096615+0.0024556i,-0.0013358+0.00031252i,-0.000143-0.00073918i,0.00097373-0.0006744i,0.0013699+0.000272i,0.0011792+1.0639e-05i,0.00085261-0.00080525i,-0.00044775-0.00062794i,-0.0010432+0.00010248i,-9.354e-05+0.0007998i,0.0004388+0.00067275i,0.00030762+0.00082898i,0.00013929+0.0013186i,-0.00030963+0.00086855i,-0.0008173+0.00086292i,-0.0012329+0.0016045i,-0.0014269+0.00097314i,-0.0018198-0.00031072i,-0.0013573-0.00066396i,-0.00062585-0.00053294i,-0.00060058-0.00047416i,-0.00065731+0.00018861i,-0.00063254+0.00083782i
0.00061395-0.00085088i,0.0011192-0.0017707i,0.001443-0.0024136i,0.00083222-0.0015041i,-0.00052213-0.00068139i,-0.00038521-0.00010678i,1.0658e-05-9.6116e-05i,-0.00013483-0.00047192i,-0.00035904-0.00058806i,-7.3173e-06+0.00015176i,-9.0412e-05+0.00015887i,-0.0008248-0.00062128i,-0.0016821-0.0012264i,-0.00098151-0.0013668i,0.00064399-0.001863i,0.00077323-0.00243i,0.00040542-0.0021948i,0.00058625-0.0011112i,0.00095916-0.00015434i,0.00027909+0.00011112i,-0.00031229+0.00054273i,-0.00053448+0.00051568i,-0.00095001+0.00021395i
0.00078687-0.0019966i,-0.00081748-0.001511i,-0.0020274-0.0011973i,-0.0023633-0.00067792i,-0.0018142+0.00020733i,-0.0012804+0.00021256i,-0.0016129-0.00076898i,-0.0020434-0.0012354i,-0.0018094-0.00011829i,-0.00072622+0.0011263i,0.00089879+0.00076063i,0.0018586+0.00031559i,0.0028193+0.00013884i,0.0025925-0.00014487i,0.0014879+0.00014353i,0.0018201+3.7226e-05i,0.0012493-0.00013855i,-0.00010731-1.869e-06i,-0.00063771-0.00066573i,0.00011884-0.00096039i,0.0003152-0.00076018i,-0.0005581-0.00053223i,-0.0010958-0.00039972i
-0.0011672+0.00013667i,-0.0022134+0.000182i,-0.0025762+0.00067738i,-0.0022277+0.0013664i,-0.0018785+0.0013559i,-0.0015997-0.0001942i,-0.0013397-0.0009677i,-0.00064411-0.00060649i,-0.0002373+0.00023017i,-0.0001779+0.00087605i,0.0004731+0.0012001i,0.0015001+0.0020931i,0.0018485+0.0016034i,0.0010258+0.0012335i,-0.00029183+0.0018968i,-0.00065165+0.0022257i,-0.0002724+0.0021838i,-0.00075455+0.00071684i,-0.0015183-0.001242i,-0.0011739-0.0011197i,-0.00051531+5.3708e-05i,-0.00046022+0.00074038i,-0.00054727+0.001056i
-0.0036775+0.0020996i,-0.0029284+0.00096656i,-0.0011933+0.00057705i,0.00028717+0.0012919i,0.00065204+0.0016057i,0.0011211+0.0012327i,0.00061659+0.00011336i,-0.00055997-0.00080147i,-0.00097743+0.00070784i,0.00010391+0.0014012i,0.00097467+0.001117i,0.00026526+0.00023362i,-0.00086902-0.00062473i,-0.0018361-0.00063704i,-0.0026646+0.0003031i,-0.002804+0.00094877i,-0.0020294+0.00062604i,-0.0014698-0.00038172i,-0.001278-0.0004726i,-0.00058095-0.00019398i,-0.00036232+0.00051599i,-0.00043925+0.001525i,-0.00096213+0.0011171i
0.0012019-0.001195i,0.0018238-0.00051937i,0.0017792-0.00082942i,-0.00011865-0.0016256i,-0.0018791-0.0020058i,-0.0018409-0.0010656i,-0.00076605+0.00018353i,-0.00037807+0.00018642i,-0.0011625-0.00043232i,-0.00072974-0.00012882i,0.00065498-0.00030473i,0.0015975-0.00063167i,0.0010571-0.00089811i,-0.00027795-0.0020521i,-0.0010778-0.0023903i,-0.00062925-0.0016962i,1.9702e-05-0.0015543i,-0.00016834-0.0012629i,-0.00089252-0.00054563i,-0.00097091-0.00035512i,-0.00029857-0.00014847i,0.00019161-0.00026397i,-0.00021919-0.00069073i
-0.0019585+0.0012447i,-0.0013602+0.0023714i,-0.0017972+0.0043692i,-0.001921+0.0043879i,-0.00079987+0.0024281i,0.00022869+0.0011408i,0.00013705+0.0001005i,-0.0012164-0.0017204i,-0.0016704-0.0017852i,-0.00049811-0.0002485i,0.00082151+0.00042244i,0.0013877-0.00054299i,0.0016158-0.0010756i,0.0015329-0.0011734i,0.0013893-0.00076333i,0.0020857-0.00068474i,0.0020518-0.00049863i,0.00061901-0.00019763i,-0.00039185-0.00036996i,-0.00024188-0.000358i,0.00050055-8.1665e-05i,0.00030829+4.7204e-05i,-0.00022658+2.1979e-05i
-0.0021399+0.00051859i,-0.0033667+0.0010695i,-0.0028438+0.001561i,-7.0218e-05+0.001862i,0.0010969+0.0016454i,0.00026664+0.00063296i,-0.00044986-0.00053282i,-0.0010444+0.0001129i,-0.00041246+0.0016048i,0.00097295+0.0016531i,0.00096376+0.00095845i,0.0007804+0.0010262i,0.0013369+0.00087622i,0.00063008+0.00077813i,-0.00062763+0.0017018i,-0.00087228+0.0023286i,-0.00089091+0.001088i,-0.0014133-5.6781e-05i,-0.0018117-0.00025437i,-0.0012657-0.00035082i,-0.00081115-0.00032276i,-0.00043732+8.9764e-05i,-0.00020765+0.00011318i
0.0014311-0.0046059i,0.0026044-0.0065274i,0.0011823-0.0064664i,-0.0013327-0.0040058i,-0.0015856-0.0011375i,-8.8959e-05+0.00077475i,0.0002572+0.00096824i,-2.7228e-05-0.00045295i,-0.0010719-0.00080433i,-0.0011897-9.2445e-05i,-0.00012988+0.00047142i,0.00027646+0.00052103i,-0.0004401+0.00042626i,-0.001603+0.00037079i,-0.001937-0.00032863i,-0.0021433-0.00071353i,-0.0016648-0.00039608i,-0.00088866-0.00018432i,-0.00051603-0.00015179i,-0.00072344-0.0002578i,-0.0013968-0.00014662i,-0.0010129+0.00025011i,-8.1318e-07+0.00042319i
-0.00015356+0.00028407i,0.000886+0.00094484i,0.0010997-0.00011993i,-0.00043965-0.0019031i,-0.003562-0.0011546i,-0.0039967+0.00034675i,-0.0018898+0.00086311i,-0.001815+7.663e-05i,-0.0014257-0.0001232i,-7.9506e-05+0.00047211i,0.00071905+0.0010152i,0.0012073+0.00087659i,0.0011465-0.00020729i,0.00068366-0.0011125i,-0.00011142-0.0020608i,2.105e-05-0.0030672i,0.00016941-0.0025855i,-0.00015807-0.0010854i,0.0003417+0.00023659i,0.00074088+0.00033237i,0.00048674-0.00024582i,0.00027241-0.00028905i,0.00016195-0.0006887i
-0.0013995-0.00015545i,-0.0019465+0.00057865i,-0.0032576+0.0012051i,-0.0025561+0.00086551i,-0.0008886-3.1285e-05i,0.00014767+0.00079011i,0.00023254+0.00077432i,-0.0013463+0.00037887i,-0.0025498-0.00019155i,-0.0014149-0.00039519i,0.00011276+0.00024689i,0.00061914+0.00070448i,0.00089597+0.00057875i,0.001598+8.8783e-05i,0.0017471-0.00022827i,0.0016002-0.00034239i,0.0012498-0.00059608i,0.00042932-0.00092428i,-0.00049711-0.00086087i,-0.00052203-0.00021005i,-0.00062865+0.00011415i,-0.00077272-2.0492e-07i,-0.0010627+0.00030609i
-0.0033796-0.00055068i,-0.0033558-0.0016065i,-0.0014165-0.0021889i,-0.00076852-0.00081302i,-0.00025331+0.00083231i,0.00030016+0.00031452i,0.00017574-0.00050836i,0.0001578+6.1836e-05i,-5.9843e-05+0.0005627i,-0.00024303+0.00092757i,0.00048028+0.00099259i,0.0014461+0.00078174i,0.0023016+0.00093481i,0.0025548+0.00075897i,0.00096405+0.0013594i,-0.00011309+0.0023509i,-0.0001052+0.0013196i,-0.0002691+0.0001289i,-0.00073485+0.00071923i,-0.0009755+0.0010072i,-0.0005822+7.8079e-05i,0.00010723-0.00015686i,1.9166e-05-0.00025212i
