-0.0026545+0.00037581i,-0.0021076-0.00067214i,-0.002728-0.00089494i,-0.0032763-0.00024087i,-0.0026271+0.00011717i,-0.0011973+0.00089839i,-0.00035317+0.0016162i,0.00018378+0.0012149i,0.00093868+0.00022405i,0.0009788-0.00020818i,0.00035458-0.0007116i,0.00029285-0.00052016i,0.00047072-2.3536e-05i,-2.7791e-05-0.00021235i,-0.00027632-0.00064011i,-0.00036323-0.00013569i,-6.4174e-05+1.4853e-05i,0.00076504+7.6008e-05i,0.001002+0.0004979i,0.00075057+0.00030109i,0.00058946+0.00053158i,9.9584e-05+0.00067434i,-0.00069544+0.00054549i
-0.00069201+0.0014578i,-0.00088962+0.0011975i,-0.0010769+0.0018828i,-0.00071794+0.002006i,0.00010409+0.001141i,0.00064377-0.00012924i,0.00043234-0.00033337i,0.00064813+0.00017085i,0.00028748+0.00025168i,-0.00087276+0.00048898i,-0.0012354+0.00052976i,-0.00064459-3.3045e-05i,8.9873e-05+5.7414e-05i,0.00053172+0.00089111i,0.00082962+0.0014588i,0.0012017+0.00071043i,0.00066972-0.00016117i,-0.00024661+0.00035765i,-0.00037186+0.0002536i,3.4388e-05-0.00038699i,0.000283-6.9502e-05i,-3.4014e-05+0.00026668i,-0.00033147+0.00011115i
-0.0019833-0.001914i,-0.0013243-0.0029884i,-0.0015516-0.0036747i,-0.0015996-0.0024966i,-0.0017625-0.0012342i,-0.001709-0.00058565i,-0.00019822-0.00011111i,0.00043139-7.9064e-05i,-6.4261e-05-9.6213e-05i,-0.00032945+0.00070611i,-0.00040588+0.0018256i,-0.00029044+0.0016665i,0.00061661+0.0011705i,0.00091074+0.0010351i,3.8892e-05+0.00064865i,-0.00052366+0.00037833i,-4.5452e-06+0.00073028i,0.00030511+0.00053763i,0.00021181-2.674e-05i,0.00015121+0.00024707i,-0.00027983+0.00047312i,-0.00072734+0.000432i,-0.00098126+0.00011463i
-0.00098067+0.001829i,0.00025228+0.0021341i,0.00048262+0.0015691i,-0.00057259+0.000561i,-0.00094604+0.00018918i,-1.0175e-05+0.00069189i,0.0011497+0.0012234i,0.0012566+0.00089832i,0.0014762+0.0021856i,0.0016013+0.0029183i,0.001496+0.0018921i,0.0016718+0.0005824i,0.0019156-0.00068321i,0.0012072-0.00055374i,0.00075299-8.0784e-05i,0.0013431-0.00044688i,0.0010506-0.00092008i,0.00053967-0.00015219i,0.00038445+0.00066846i,0.00023464+0.00071571i,0.00032758+0.00085182i,0.00018781+0.00049663i,0.00048181+0.00041482i
0.0037205+0.0010478i,0.0041268+0.0013237i,0.0033354+0.00060708i,0.0018178-0.0015665i,0.00075681-0.001888i,0.0003171-0.00039978i,0.00067946+0.00067987i,0.00051195+0.00104i,-0.0003744+0.00074462i,2.7844e-05-8.1586e-05i,0.0014301-0.00051006i,0.0020443-0.0010281i,0.0017686-0.0016664i,0.00076951-0.0012714i,-0.00029767-0.00048991i,-0.00028511-0.0001395i,-3.2788e-05+4.0896e-05i,4.9686e-05-0.00011017i,-4.9077e-05+4.9054e-05i,0.00048752+0.00035956i,0.0010577+0.00022364i,0.00070834+0.00021098i,0.00014666+0.00078618i
-0.0024799+0.0012518i,-0.0033585+0.0023145i,-0.0029589+0.0018672i,-0.0017277+0.00211i,-0.0004181+0.0017885i,0.0011276+0.00056125i,0.0012494+0.00057796i,0.0011642+0.00052969i,0.001514+0.00023938i,0.001729-0.0007857i,0.0017029-0.001306i,0.0013917-0.0013933i,0.000745-0.0011457i,-0.00014365-0.00029364i,-0.0008817-0.0001714i,-0.0010686-0.00054661i,-0.00037378-8.634e-05i,-4.3451e-05+0.00045627i,-0.00014639+0.00019552i,-0.00025676+0.00037549i,-0.00017334+0.00051459i,0.00018189+2.577e-05i,5.8836e-05-7.7815e-05i
0.0023068+0.00037742i,0.0030608+0.00010356i,0.0025209+0.00017748i,0.00097381+0.00024744i,-0.00035258-0.00049262i,-0.0004814-0.00058135i,-0.00057545+0.00016152i,7.6985e-05+0.00027054i,0.00086326-0.00045136i,0.00045522-0.00075981i,-0.00062634-0.0012145i,-0.0012468-0.0012888i,-0.0013003-0.00063485i,-0.0016558-0.0002244i,-0.0015252-0.00053864i,-0.0010552-6.301e-06i,-0.0011243+0.00098022i,-0.0012028+0.0013041i,-0.00090903+0.0005648i,-0.000979-8.5183e-05i,-0.00095787-2.8831e-05i,-0.00039115+5.4372e-05i,-0.00038075-0.0005788i
0.0030479+0.0021463i,0.0041837+0.002687i,0.0041121+0.00254i,0.0032777+0.0011179i,0.0030156-0.00025199i,0.0018937+0.00032495i,0.00020159+0.0011385i,-0.00081095+0.0013127i,-0.00092009+0.00077824i,-0.0012663-0.00087288i,-0.0019642-0.0010516i,-0.0018098-0.00030173i,-0.00070599-2.3221e-05i,0.00036927+0.00058159i,0.00027584+0.00083945i,-6.975e-05+0.00085187i,-0.00019601+0.00064504i,-0.00067342+0.00013629i,-0.00052519-5.6836e-05i,-0.00017372+0.00060384i,-0.00032337+0.0011548i,-0.0010276-0.00036303i,-0.00048598-0.0018162i
0.0011526-0.0016483i,0.00073947-0.0025284i,0.00029206-0.0031417i,0.00027824-0.002751i,-0.0016177-0.0020466i,-0.0021515-0.00082626i,-0.00034113+0.00027653i,0.00086035-0.00031021i,0.00011911-0.00098164i,-0.0012215-0.00048343i,-0.0014094-0.00055936i,-0.00072069+0.00012402i,-0.00019016+0.0011069i,-8.7441e-05+0.00095123i,-0.00042525+0.0010884i,0.00031101+0.00091963i,0.00059421+0.00044703i,-0.0001785+0.00066654i,-0.00089646+0.00014873i,-0.0012629-0.00015359i,-0.0010106+0.00060462i,-0.00042189+0.0010938i,-0.0003483+0.00056107i
-0.0015264+0.0023049i,-0.000523+0.0010028i,0.0013162+0.00015492i,0.0022577+0.00017117i,0.0018266+0.00027041i,0.0011154+0.00031443i,0.00016555+9.8935e-06i,-0.00072818+0.00024745i,-0.00082866+0.00055547i,-3.6279e-05+0.0010824i,0.0010433+0.0014711i,0.001541+0.0017161i,0.0015212+0.0021863i,0.00077184+0.0012008i,0.00031986+0.00039046i,0.00043182+0.00010865i,0.00077287+0.00041206i,0.0006829+0.00090482i,-0.00012874+0.00030849i,-0.00018635+0.00023699i,-0.00011855+0.00064051i,-0.00066945+0.00025118i,-0.000993+0.00017731i
-9.4909e-05+0.00022956i,-0.00069296+0.00080861i,-0.00077039+0.00025773i,0.00035917-0.00016842i,0.00085879+0.00064968i,0.00014546+0.00080158i,0.00045749+0.00079206i,0.0006414+0.0014561i,0.00031297+0.0023293i,0.00096847+0.0024301i,0.001771+0.0018112i,0.0020353+0.0011357i,0.0017484+3.4412e-05i,0.0010121-0.0010279i,0.00053305-0.0008524i,0.00022361-0.00036219i,0.00082141-0.00014437i,0.0014201-1.0744e-05i,0.00011961+0.00019191i,-0.00056127+9.6472e-05i,-0.00012695+7.4998e-06i,-0.00027157+9.1061e-05i,-0.00079271-1.589e-05i
-0.00081828-0.00053077i,-0.0027049-0.0010159i,-0.0023699-0.00057229i,-0.00028562-0.0004267i,0.00075684-0.00062005i,0.00098661+0.00018601i,0.0013185+0.00035866i,0.0014003-4.3662e-05i,0.00098882+0.00026688i,0.0012414+1.8177e-06i,0.0015444-0.00090764i,0.0016271-0.0018566i,0.0018203-0.0028499i,0.0019781-0.0024451i,0.0015885-0.0011817i,0.00047014-0.0010505i,-0.00064356-0.00052333i,-0.0001811-0.00022297i,0.00038362-4.8002e-05i,9.7322e-05+0.00064138i,0.00026981+0.00050593i,0.00017531-5.6967e-07i,7.2909e-05-8.4324e-05i
0.0012105-0.0010019i,0.0023135+3.2309e-05i,0.0021127+0.00041658i,-0.00015329+0.00024489i,-0.0011329+0.00067152i,5.551e-05+0.0010183i,0.0014216+0.00054315i,0.0011126-0.0003373i,0.00049948-0.00064305i,0.00084764-0.00087503i,0.0011046-0.0015211i,0.00098112-0.0015649i,-0.00013047-0.0012951i,-0.00041496-0.00060418i,6.5924e-05+0.00064211i,-0.00023452+0.0010059i,-0.00040203+0.00072872i,-0.00016168+0.00064454i,-0.00027515+0.00059765i,-0.00071995+1.2774e-05i,1.7026e-05-0.00031268i,0.00078635-0.000416i,0.00072049-0.0010943i
3.6904e-05-0.0014876i,-0.00065352-0.0016699i,-0.0013314-0.002334i,-0.00092902-0.001873i,-0.00060779-0.00030245i,-0.00097797+0.00038132i,-0.00090028+0.00081692i,-0.0002962+0.0016335i,-0.00018276+0.00037218i,-0.00024431-0.0010008i,-0.00063789-0.0010358i,-0.0018987-0.00068799i,-0.0024353-9.6382e-05i,-0.0019147+0.00015362i,-0.0016087-2.9889e-05i,-0.001254-3.229e-05i,-0.0008691+0.00016808i,-0.00053195-0.00020156i,-0.00041518-0.00063991i,-0.00033256-0.00031987i,0.00011487+0.00013392i,0.0003276+0.00016633i,0.00028657+0.00056855i
0.0017606+0.00093887i,0.0028734+0.00043934i,0.0025464+0.0012152i,0.00075906+0.00020993i,0.00073028-0.00014769i,0.001229+0.0004483i,0.0005108+0.00071834i,0.00032692+0.00053061i,0.00018788+0.00019149i,-0.00015297+0.00022764i,-0.00066687+0.00026944i,-0.0014726+0.0003163i,-0.0013148+0.00022128i,-0.0004439+0.00010532i,-0.00017518+0.00093988i,0.00021823+0.0015019i,8.1166e-05+0.0010788i,-0.00046024+0.0008157i,-0.0010564+0.0011421i,-0.0012101+0.00093455i,-0.0004562+0.00085664i,0.00012212+0.0010727i,0.00025106+0.00063986i
-0.0014224+0.0011565i,-0.001851+0.0023596i,-0.0017827+0.0030254i,-0.00085961+0.0027306i,-0.00018425+0.0020051i,6.9164e-05+0.0013555i,-0.0003662+0.0010103i,-0.00036423+0.00063096i,-0.00032595+0.00030122i,-0.00026581-0.00013648i,7.5008e-05+0.00014253i,0.00024681+0.00083304i,0.00073252+0.0012179i,0.00084104+0.0017063i,0.0010502+0.0013831i,0.0016307+0.00036348i,0.0014914-0.00025337i,0.00084253-0.00020524i,8.504e-05+0.00035531i,-0.00076557-9.8159e-05i,-0.00043135-0.00038554i,-7.4827e-05+0.0001948i,-0.00040785+0.00030044i
0.00047762+0.00038845i,-0.0005055+9.4543e-05i,-0.0010976-1.2481e-05i,3.3681e-05-0.00036586i,0.0013799-0.00070912i,0.0015326+7.5016e-05i,0.0012112+0.001085i,0.0012087+0.0012872i,0.00024218+0.0012793i,0.00031129+0.00094511i,0.0015415+0.00083448i,0.002342+0.0014115i,0.0027001+0.0013248i,0.0021334+0.00047342i,0.0010275-0.00014192i,0.00042319-0.00038727i,0.00014889-0.00041924i,-0.00030585+1.8212e-05i,-0.00073665+2.6795e-05i,-0.00094116-7.6803e-05i,-0.00052595-0.00013508i,-0.00065971-0.00018379i,-0.00076512-0.00010361i
0.0024739+0.001115i,0.0029279+0.0009327i,0.0025252-0.0010167i,0.00055194-0.0019266i,-0.00076847-0.00062066i,-0.00046482+0.0006021i,0.00025105+0.00015197i,0.0005632+0.00023945i,0.00024953+0.0010148i,-0.0002194+0.0010092i,-0.0002506+0.0011244i,0.00049738+0.00062413i,0.0011136-0.00078823i,0.0011015-0.001236i,0.00015601-0.0010763i,-0.0013232-0.0016911i,-0.0012881-0.0018643i,-0.00036501-0.0015228i,0.0002165-0.0013205i,-3.0046e-05-0.00047596i,-0.00029386-2.2684e-05i,-0.00033152-8.831e-05i,-0.00056287-0.00040939i
7.9018e-05-0.00023951i,-6.338e-05-0.0010884i,0.00022523-0.00021205i,0.00090082+0.00068564i,0.00050325+0.0010362i,-0.00099456+0.00051545i,-0.0015328-0.00012706i,-0.00065262+0.0001019i,-0.00041612+0.00066397i,-0.00037873+0.00014913i,-0.00050691-0.00090035i,-0.0010134-0.0013459i,-0.00050691-0.0011757i,2.3668e-05-0.001008i,-0.00043484-0.0013684i,-0.0015447-0.00058084i,-0.0015157+0.00010109i,-0.00078535+7.3755e-05i,-0.00090765+0.0004473i,-0.0010025+0.00044565i,-0.00097872+0.00028425i,-0.00050007+0.00052041i,-0.00013597-0.00010422i
0.00261+0.00076268i,0.0017937-9.4411e-05i,0.0015938-0.0016447i,0.0013644-0.0023333i,0.0015422-0.0023966i,0.0011325-0.0012759i,0.00063661-4.2119e-05i,0.0010761+0.00011509i,0.0018377-0.00042378i,0.0018267-0.0011974i,0.0013422-0.0021175i,0.00051694-0.0026421i,-0.00052233-0.002488i,-0.00045243-0.001673i,9.2638e-05-0.00048029i,0.0006718+0.00095932i,0.0012301+0.0016491i,0.00089501+0.0014327i,0.00025479+0.00091513i,8.44e-05+0.0010083i,0.00041397+0.00064359i,0.00047483-0.00011537i,-7.3319e-05-0.0001489i
0.00076947+0.00024292i,0.00027955-5.1422e-05i,-0.00096883-0.00042767i,-0.0014258-8.5185e-05i,-6.7059e-05+0.00012034i,0.0014963-0.00066748i,0.001645-0.00055165i,0.0013343+9.9826e-05i,0.00098211-0.00026633i,0.00060681-0.00049953i,7.3781e-05-0.00044717i,-0.00082458-0.00063801i,-0.0013049-0.00063064i,-0.00067131-0.00033913i,-0.0010634+0.00016008i,-0.0012668+0.00061492i,-0.00071021+0.00084246i,-0.00058927+0.00061272i,-0.00085913+0.00067295i,-0.00041403+0.00066243i,-0.000282+5.415e-05i,-0.00036166+0.0001425i,-0.0005971+0.00033587i
0.0014523-0.00093806i,0.0016536+0.00033648i,0.0023862-5.3467e-05i,0.0013211-0.00035451i,0.00071033-0.0001256i,0.0012761+4.2087e-05i,0.00079509+0.00017561i,-0.00050167-0.00013008i,-0.00065395-0.00082421i,-0.00063252-0.0010584i,-0.00099577-0.00018234i,-0.00081525+0.0012628i,-0.00061634+0.0016512i,-0.00061098+0.00042552i,8.3741e-05-0.00043164i,0.0007429-0.00025723i,0.00038907+0.00016376i,7.1623e-05+0.00037605i,-8.5297e-05-0.00010527i,-0.00012492-0.00033384i,-0.00038242+0.00039172i,-3.11e-05+0.00097072i,5.2945e-05+0.00061336i
-0.0021603+0.00093585i,-0.0021811+0.0019424i,-0.0024622+0.0029737i,-0.0013434+0.0023565i,0.00030858+0.0012793i,0.0012963+0.0009845i,0.00093963+0.00099333i,-1.8591e-05+0.00087553i,-0.00066087+0.00096811i,-0.0012234+0.0011212i,-7.3954e-05+0.00014368i,0.0011465-0.00091758i,0.0012669-0.00023997i,0.0010131+0.00064005i,0.00084062+0.00062675i,0.00081091-0.00041918i,0.00040227-0.00097481i,0.00040016-8.7708e-05i,0.00087256+0.00060791i,0.00053553+0.0010564i,-0.00055861+0.00077449i,-0.00094048-0.00015184i,-0.0019736-0.00042498i
0.0015983-0.00043441i,0.0016721-0.0010436i,0.00096599-0.0021718i,-0.00059105-0.0025375i,-0.00056656-0.0019013i,0.00085336-0.00079192i,0.0012758+0.00069717i,0.00041212+0.0011871i,-0.00072222+0.00096894i,-0.0010927+7.3143e-05i,-0.00031354-0.00024449i,0.00077081-7.9708e-05i,0.00082179-0.00031204i,0.0001822+0.000158i,-0.00010873+0.00054007i,-0.00038115+0.00026885i,-0.00033651+0.00052732i,0.0005681+0.00056629i,0.0010059+0.00031499i,0.00052143-0.00027317i,-0.00020612+7.8856e-05i,-0.00012816+0.00047221i,-0.00033254+0.00041278i
0.00010723+0.00012898i,-0.00036852-5.9097e-05i,1.7482e-05-0.00019771i,-0.0004036-0.00089819i,-0.00084683+2.6802e-05i,-0.00063414+0.00099844i,-0.00034596+0.0013268i,0.00019089+0.0017199i,0.00031782+0.0015011i,0.00041483+0.00069433i,0.00087885-3.3774e-05i,0.00049358-0.00063721i,-9.1098e-05-0.0009413i,-0.00046868-0.00016472i,-0.00045017+0.00030496i,-0.0008192-0.00023878i,-0.0012916-0.0009955i,-0.0012235-0.00075305i,-0.00092844+0.00057315i,0.00020011+0.0010719i,0.0006426+0.00039772i,-4.7333e-05+0.000276i,-0.00030145+0.00011367i
0.0018241+0.00019063i,0.0032938+0.00034117i,0.0026736+0.00041885i,0.0015019-0.00012323i,0.00055432-0.00080235i,-0.00012623-0.00041089i,0.0007691+0.000356i,0.0014599+0.00057597i,0.00063143+0.00050357i,0.0002992+1.9783e-05i,0.00036878-0.00092288i,0.00011844-0.001835i,0.00020626-0.0015673i,0.00044194-0.00082915i,0.00033776-0.00076033i,-3.9555e-05-0.00083073i,0.00044347-0.00018844i,0.00078558+0.0002619i,0.00037162+0.00038761i,-0.00011112+0.00038123i,-0.00018732+0.00020686i,-3.9447e-05-7.2478e-05i,0.00023411-8.1148e-05i
-0.0027814+0.0015845i,-0.0036597+0.0015968i,-0.0037689+0.0027194i,-0.0022851+0.0033643i,-0.00017528+0.0020168i,0.00071979+0.00017814i,7.2781e-05+3.0943e-05i,0.00023074+0.00085373i,0.00059142+0.0010695i,0.00092384+0.00079699i,0.00099438-0.00030241i,0.00020141-0.0013527i,-0.00037091-0.00019942i,-0.00054731+0.00023864i,-0.0004992-0.0003116i,-3.6853e-05+0.00067623i,0.00054046+0.0011585i,0.00067084+0.00027295i,0.00048782-1.9619e-05i,9.9781e-05+0.00057945i,0.00050905+0.00089418i,0.00063243+0.00047269i,-0.00015302+2.9736e-05i
-0.0018463+0.0010124i,-0.0018871+0.00017197i,-0.0013513+0.00035688i,0.00018763-0.00036301i,0.00042086-0.00059012i,0.00029867-0.00041482i,0.00084403+0.00087288i,0.0010768+0.0015456i,0.0011645+0.0010312i,0.0011167+0.0011472i,0.00047101+0.00087069i,-0.00012235+0.0016442i,0.00032352+0.0018095i,0.00023399+8.8017e-05i,-0.00031884-0.00043257i,-6.9001e-05+0.00060536i,-0.00050855+0.00096733i,-0.00086564+0.00057349i,-8.4138e-05-0.00036832i,-0.00039101-0.00086165i,-0.00092807-0.00024112i,-0.00082462+0.00016281i,-0.00052339-0.00037434i
0.00085761-0.00018474i,0.0013456+0.00047657i,0.0015511-0.00013501i,0.0015321-0.00075966i,0.0017135-2.8659e-05i,0.001926+0.0013847i,0.0013846+0.0016705i,0.00081754+0.0009244i,0.0004037+0.00055595i,-0.00022801+6.2139e-05i,-0.00048677+0.00039283i,0.00010011+0.00094297i,0.00053028+0.00074546i,-0.00020955+0.00053228i,-0.0006323+9.9114e-05i,-9.3412e-05-0.0005063i,0.00027591-0.00070988i,0.0001739-0.00024222i,-0.00053517+0.0003111i,-0.00045684+0.0011629i,3.6055e-05+0.0011215i,-5.9221e-05+0.00023438i,-0.00066788-0.00035719i
-0.0020105+9.9505e-06i,-0.0024761+0.0010022i,-0.0028946+0.00064055i,-0.0022576+0.00098199i,-0.0011342+0.0013259i,0.00061708+0.00098837i,0.0015066+0.00094919i,4.1017e-05+0.00057015i,-0.0008665-0.0006561i,-0.00065547-0.00083483i,-0.0002128-0.0005199i,0.00090255-0.00091048i,0.00099537-0.00089672i,0.00048277+0.00035251i,0.000798+0.00078814i,0.00082971-0.00013853i,0.00062494-0.00037728i,0.00051692+6.8238e-06i,-0.00017108-6.3378e-05i,-0.00059001+0.00054693i,-0.00069517+0.001287i,-0.001356+0.00069004i,-0.0017242+1.6939e-05i
-0.00041035+2.9079e-05i,-0.00069844-0.0019922i,-0.0010133-0.002364i,-0.0018409-0.00123i,-0.0022392-0.00029596i,-0.0019142+0.0001448i,-0.0014236+0.00022779i,-0.0014243+0.00042111i,-0.00091619-0.0002151i,-0.0004659-0.00091574i,0.00025256-0.0010087i,0.00076575-0.0011269i,0.00090985-0.0012417i,0.001478-0.00097869i,0.00097637-0.00069154i,-0.00061352-0.00059354i,-0.00071098-0.00010398i,0.00048091+0.0010765i,0.00031803+0.0018711i,-0.00049993+0.00090215i,-0.00049277+0.00027179i,-0.0007309+0.00039271i,-0.00044631-0.00012658i
0.0014003+0.00020471i,0.0011495+0.00035449i,0.00031958+0.00048495i,0.00037705-0.00048412i,0.0017538-0.0010944i,0.0015354-0.00068817i,0.00081731+0.00020483i,0.00020489+0.00034126i,-0.00055356+0.00021845i,0.00015299+0.00020111i,0.0005481-8.6419e-06i,-7.6539e-05-0.00024683i,-0.00047895-0.00027357i,-0.00071812-0.00037487i,-0.00076154-0.00052087i,-0.0011776-0.00024772i,-0.0011341+0.00097915i,-0.00084786+0.0013715i,-0.00025593+0.00024879i,-0.00037614-0.00045197i,-0.00065651-0.00034919i,-0.00021717+0.00011167i,-0.00031349+0.00028696i
-0.000132+0.0011191i,-7.1686e-06+0.0016873i,-0.00093589+0.0010177i,-0.0011641+0.00029413i,-0.00071841-2.1472e-05i,0.00024816-4.7285e-05i,0.0005662-0.00036728i,-0.0001675+0.00015577i,-0.00054237+0.0011034i,-7.5495e-05+0.0010726i,0.00058318+0.00038408i,-0.00039462-0.00039025i,-0.0020366-0.00020815i,-0.0018864+0.00057361i,-0.00056401+0.00020069i,0.00016924-0.00053048i,0.00089034-0.00065663i,0.0013601-0.00053322i,0.0010781+4.3789e-05i,0.0011454+0.00096425i,0.00055675+0.00080769i,5.7594e-06+0.00039495i,-9.6104e-05+0.00088226i
-0.0019948+0.0012328i,-0.0013501+0.0017882i,-0.00078272+0.0025611i,0.00035963+0.0032662i,0.0012371+0.0033898i,0.0014784+0.0037019i,0.0010276+0.0024131i,0.00046816+0.0014434i,0.00028082+0.0019057i,0.00077214+0.0013052i,0.0014109+0.00028111i,0.00044202+0.00052523i,-0.00059615+0.0012394i,-0.00013197+0.00083883i,0.00013136+0.00026559i,0.00022873+6.7623e-05i,0.00069451+0.00013638i,0.00034755+0.00036223i,-0.00036602+8.3688e-05i,-0.0007161-0.00057736i,-0.00031437-0.00030324i,-0.00054418-0.0001086i,-0.00034873-0.00050441i
0.0018173-0.0027019i,0.0016071-0.0031847i,0.0016978-0.0033102i,0.0002644-0.0023103i,-0.00030027-0.0012753i,0.00057537-0.0010194i,0.001038-0.0011571i,0.00033085-0.0003599i,-0.00016884+0.00033908i,0.0002647+0.00025559i,0.00048578-7.3087e-05i,0.00042983+0.00063795i,0.00079204+0.00099995i,0.00019731-0.00011726i,-0.00099582-0.00046241i,-0.00047558+0.00024528i,0.00012444+0.00010565i,0.00015458-0.00034173i,0.00011815-0.00032215i,-0.00014884-0.0002776i,0.00021353-0.00065299i,0.00019059-0.00078004i,-0.00014209-0.00032908i
0.0026914+0.00083765i,0.0019796-6.91e-05i,0.00212-0.0016287i,0.0003463-0.0018278i,-0.0011356-0.00086737i,-0.00035977+8.4955e-06i,0.00067895+0.00040954i,0.00056097+0.0012175i,0.0005097+0.0017505i,0.0003711+0.00047006i,0.00057195-0.00084757i,0.0014359-0.00038077i,0.0014065+2.9153e-05i,0.00080227-0.00011174i,0.00077205-6.9646e-05i,0.00059211-0.00053074i,-0.00028525-0.0011689i,-0.00079049-0.0014079i,-0.0010391-0.00075472i,-0.00071338+0.00063777i,-0.00048357+0.0012814i,-0.00053573+0.00059754i,-0.00064173+0.00015693i
0.0010668+0.00086641i,0.0012583+0.0019853i,0.00012562+0.0013255i,0.0002039+0.00085437i,-1.887e-05+0.0013252i,-0.00046569+0.00065965i,0.00025431+0.00027227i,-3.0364e-05-8.6659e-05i,-0.00066349-0.00085918i,-0.00057919-0.00079409i,0.00058195-7.3479e-05i,0.0019936-0.00031459i,0.0013968-0.0010205i,-0.00030306-0.00084488i,-0.0001465-0.00059756i,0.0011432-0.00091479i,0.0013578-0.00027167i,0.00070221+0.00016414i,-1.4377e-05+0.00021951i,-0.00058809+0.0011734i,-0.0007884+0.0014873i,-0.00079752+0.00071153i,-0.00037971+0.00020023i
-0.00091789+0.001868i,-0.00044647+0.00091727i,0.000342+0.00044083i,0.00087459-0.0011969i,0.0012434-0.0013828i,0.0011782-0.00043433i,0.00040069+0.00014985i,-0.00043892+0.00047819i,-0.0011783+0.00089452i,-0.00086593+0.00042734i,-0.00015104-0.0006617i,0.00028849-0.0013755i,-0.0003258-0.0016614i,-0.0014342-0.00097061i,-0.0014078+0.0002361i,-0.0016404+0.00086563i,-0.0016866+0.001112i,-0.00075896+0.0010008i,-0.00011907+0.00057792i,0.0006851+0.00011274i,0.0006205+9.9559e-07i,-2.6809e-05+0.00025413i,-0.00024621-7.1923e-05i
-0.0013855-0.00043413i,-0.0005186+0.00051856i,-0.00057514+0.0018325i,-0.0013941+0.0023424i,-0.0012349+0.0018221i,0.00036473+0.0010183i,0.0010487+0.0011339i,0.00064735+0.00095683i,-0.00023922+0.00092355i,-0.00042536+0.00086395i,-0.00049064-0.00074414i,-0.0012256-0.001583i,-0.0020174-0.0015243i,-0.0018879-0.00064569i,-0.0013024+0.00048301i,-0.0017001+0.00099891i,-0.0014735+0.0015133i,-0.00079284+0.0016339i,-0.00075373+0.0012283i,-9.7187e-05+0.00072049i,0.00038008+0.00040695i,-3.417e-05+0.00070164i,0.00025574+0.00037613i
-0.0025502-0.00074065i,-0.0024678-1.0472e-06i,-0.0026321+0.0010612i,-0.0018017+0.0016664i,-0.00097279+0.00094292i,-0.00029343-1.2587e-05i,0.00013639-1.3821e-05i,-0.00032535+0.00050896i,-0.00069301+0.00081982i,-0.00054193+0.00044672i,-0.00012824+6.2016e-05i,7.0897e-05+0.00012476i,-0.0002521+0.0011069i,-0.00077003+0.0014087i,-0.0011656+0.00021304i,-0.0007584-0.00059836i,-0.00010044-0.00026696i,0.00044695+0.00066388i,-9.1826e-05+0.0013719i,-0.00025753+0.00078009i,-0.00044385-0.0002381i,-0.00071925-0.00084853i,-0.00092441-0.0011103i
0.0014719-9.945e-05i,0.00074107+0.00046201i,0.0012986-0.00011084i,0.0013821-0.00064867i,0.0011921-0.0010125i,0.00032286-0.00068237i,0.00018495+0.0002689i,0.00081813+0.0011624i,0.00081811+0.001544i,0.00098856+0.0017248i,0.00080776+0.0022214i,-0.00013018+0.0019276i,-0.00043625+0.0013784i,-0.00024927+0.00072781i,0.00036111-6.9267e-05i,0.00089448-0.00026303i,0.00037725-0.00069526i,-0.00021956-0.00030769i,-0.00020447+3.8291e-05i,0.0002578-0.00079607i,0.00053906-0.0010024i,1.7549e-05-0.00047802i,-0.00082651-0.00067133i
0.00014972+0.00053352i,0.00087701-0.00034713i,0.00069982-0.00044798i,-0.00010856-0.0012046i,-0.00076636-0.001159i,-0.00096241-3.9942e-05i,-0.00034302+0.00032224i,4.0793e-05+0.0010179i,0.00049127+0.0022178i,0.00081469+0.0025889i,0.00057527+0.0017897i,0.0011624+0.0014177i,0.0021463+0.0014195i,0.0019313+0.0011955i,0.0011205+0.0013532i,0.0011975+0.0013944i,0.00052911+0.00072777i,-0.00099177+2.9329e-05i,-0.0016945+1.2272e-05i,-0.0015388+0.0003869i,-0.0010217+0.0011201i,-0.000424+0.0015397i,-0.00038688+0.00033461i
-0.0028513+0.0019088i,-0.00095365+0.0025492i,0.00020657+0.0028144i,0.00043201+0.0033216i,0.0013299+0.0027758i,0.0019617+0.002024i,0.0014362+0.0011985i,0.001066+0.00039756i,0.00019675-0.00030246i,-0.00034528-0.0010755i,0.00058927-0.0012298i,0.0020016-0.00079816i,0.0020538-0.0015222i,0.0012962-0.0019852i,-0.00025905-0.00075463i,-0.0010135-0.00011833i,-0.00083025-0.00076308i,-0.0013751-0.00097805i,-0.0012351-0.00038948i,-0.0013577+0.00041361i,-0.0017735+0.00029148i,-0.0008866+0.00020175i,-7.8807e-05+0.00096206i
-0.002503+0.00082886i,-0.0026316+0.0014345i,-0.0028809+0.00040175i,-0.0030116-0.00047826i,-0.0019001+9.7403e-05i,-0.00047885+0.00020761i,0.00039034-0.00036641i,0.00056866-0.00054239i,-0.00010818-0.00091758i,-0.00031552-0.0011558i,0.00076071-0.001419i,0.001534-0.0020054i,0.00082145-0.0025209i,-0.00053505-0.0022828i,-0.0010412-0.0015007i,-0.00090117-0.0011739i,-0.00085926-0.00050544i,-0.00088091-0.00036941i,-0.00071218+0.0001477i,-7.5785e-05+0.001149i,-8.0243e-05+0.0010008i,1.6079e-05+0.00027134i,0.00063818+0.00035996i
