-0.0015948+0.00058078i,-0.000138+0.00028556i,-0.00038327-0.0010268i,-8.4359e-05-0.0020727i,0.00042351-0.00082586i,0.00063159+0.0011138i,0.00030296+0.002244i,0.00066515+0.0025896i,0.0012796+0.0017119i,0.0011902+0.00014859i,0.00010831+7.6936e-05i,-0.00022783+0.0007902i,-0.000239+0.00081925i,-7.6116e-05-0.0002038i,0.00015886-0.00078239i,-0.00033367-0.00076656i,-0.00021106-0.00072509i,0.00044234-0.00040947i,0.0004537+0.00018724i,6.9026e-05-3.1634e-05i,-0.0002673-0.00021322i,-5.226e-06-0.00040932i,0.00043588-0.00080725i
0.0019532+0.00039223i,0.0021835+0.00074582i,0.0033476+0.00080954i,0.0033012-0.0010625i,0.002753-0.0032429i,0.0019304-0.0021587i,0.00045707-0.00018697i,0.00051853-0.00010417i,0.0016007-0.00021983i,0.00082155-0.00080263i,-0.00069168-0.0014888i,-0.0018735-0.0019139i,-0.0020057-0.001544i,-0.001318-3.3234e-05i,-0.00076093+0.0007464i,0.0002713-7.724e-05i,0.00083155-0.00084828i,0.00069509-0.000675i,0.00096984-4.8348e-05i,0.00096338+0.00080551i,0.0006494+0.00076345i,0.00058265+0.00087645i,0.00066078+0.00090296i
-0.00012723-0.0011927i,0.00025944-0.00055559i,0.00027733-2.66e-05i,0.00044502+0.00044648i,0.00069283+0.0005556i,0.00054741-0.00012755i,0.00054216-0.00012743i,0.0010248+0.00023269i,0.00013129-0.00011162i,-0.00065908-0.00083461i,-0.0004094-0.0010071i,-0.00071845-0.0010466i,-0.00079494-0.00072225i,0.00034247+0.00042232i,0.0012566+0.00041588i,0.0010916-2.6091e-05i,0.00076876+0.00041301i,0.0010776+0.0008086i,0.0010754+0.00056897i,0.00072945-0.00044883i,0.00033125-0.00064945i,0.00041174-0.00011845i,0.00015094-7.842e-06i
-0.00076259+0.0023952i,-0.00058559+0.0029476i,0.0010744+0.0037821i,0.0021675+0.003082i,0.0020824+0.00098388i,0.002045-0.00040732i,0.00096856-0.0006854i,0.00054413-0.00079533i,0.0017624-0.00044037i,0.0011452-0.00042961i,-0.00067324-0.00030447i,-0.0021747-0.00016634i,-0.0029525-0.00089207i,-0.002143-0.00044727i,-0.00061663+0.00055395i,0.00030868+0.0010801i,0.0005016+0.00079114i,0.00024707+0.00062743i,1.6777e-05+0.00013294i,0.00030408-0.00086412i,0.000744-0.0001363i,9.971e-05+0.0008401i,-0.00038381+0.00066775i
-0.00029271-0.0012122i,-0.0012532-0.0014134i,-0.0023483-0.0024248i,-0.0020452-0.0021864i,-0.00063363-0.0017238i,-0.00025778-0.00044867i,-0.00032401+0.00078501i,6.7324e-05+0.001912i,0.00012208+0.0015591i,-0.00031118+0.00032176i,-0.0011382-0.00020682i,-0.0019463-0.00013121i,-0.0018271+0.00012586i,-0.001586+0.00052305i,-0.0013113+0.0010604i,-0.0010158+0.00066143i,-0.0011326-0.00021227i,-0.0004363-0.0008531i,0.00050075-0.00061554i,0.00010993+0.00035651i,-0.00036817+0.00078665i,8.8658e-05-9.2588e-05i,0.00016279-0.001282i
-0.00018127+0.00016753i,0.00061672+0.00035616i,0.0014202-0.00040455i,0.0026991-5.6003e-06i,0.0031912+0.000173i,0.0020996-0.00032502i,0.00046382-0.00021971i,0.00036571+0.00012984i,0.0013263-0.00039087i,0.0011895-0.00065657i,0.00048659-0.00022138i,0.00036862+0.00023119i,0.00015464+0.00020839i,0.00030836+0.00029793i,0.00065706+0.00053383i,0.00043266+5.1242e-05i,-0.00025565-0.00038768i,-0.00028659+0.0003379i,0.00056897+0.00015463i,0.00075295+7.0968e-05i,-1.2258e-05+0.00070319i,-0.00042335+0.00071894i,0.00046571+5.0902e-05i
2.8335e-05-0.0015052i,-0.000581+0.00095761i,-0.00083632+0.0019603i,-0.00078448+0.0012574i,-0.00031427+0.00074978i,0.00018782+0.00052127i,0.00041939+0.00093233i,0.00056764+0.00063733i,0.00104-0.00020766i,0.00087154-0.00043991i,-6.2787e-05-0.00090578i,-0.0011613-0.0012599i,-0.00187-0.00044519i,-0.00082811+0.00091844i,9.9816e-05+0.00086273i,0.00014989+0.00053601i,0.00025475+0.00069087i,0.00054488+0.00094157i,0.00047965+0.00082932i,0.00039219-0.00028761i,0.00078735-0.00080788i,0.00093053-0.00023591i,0.00068159+0.00023662i
0.0012887+0.00040086i,-0.00084106-0.00035127i,-0.0011076-0.0022358i,-0.00053922-0.0028945i,5.8353e-05-0.0018225i,0.00028277-0.00079887i,0.00023411-0.00040075i,0.0009146-1.3701e-05i,0.0012077-6.6281e-05i,-3.3776e-05-0.0011107i,-0.00062172-0.0015782i,-0.0014131-0.00082758i,-0.002204-0.00066932i,-0.0012811-0.00039615i,1.6616e-05-0.00039835i,0.00032292-0.00041938i,0.00022281-0.00070309i,0.00013988+0.00017222i,0.00066342+0.00081007i,0.0013303-3.209e-05i,0.0017135-0.00043651i,0.0017004-0.00037472i,0.0012755-0.00049107i
-0.00068564+0.0022609i,-0.00063357+0.0019338i,0.00055555+0.0011957i,0.0026743+0.0007939i,0.0037021-0.00045433i,0.0023724-0.0020848i,0.00042026-0.00091326i,0.0009178+0.00046806i,0.0015531+0.00069658i,0.00080941-0.00015805i,-0.00044111-0.0012208i,-0.0014851-0.0014991i,-0.0018053-0.001039i,-0.0004936-0.00031131i,0.0013364+0.00037755i,0.0019855+0.00064421i,0.0019166+2.6736e-05i,0.001434-6.9349e-05i,0.0017852-0.00026908i,0.0016808-9.6969e-05i,0.0003471+0.0008344i,-0.00070045+0.00059564i,-0.00062942+0.00028611i
0.00033538-0.000558i,0.0016003+0.00087105i,0.0010941+0.0012053i,0.00055867+0.00084226i,6.9361e-05+0.00087522i,0.00016902+0.00038082i,0.00046741+0.00049297i,0.00059259+0.0007884i,0.00072568+6.4546e-06i,0.00039567-0.00072692i,-0.00034328-0.00061326i,-0.0009263+0.00017557i,-0.0011859+0.00054334i,-0.0011532+0.00073349i,-0.00035835+0.00096385i,0.00057376+0.00077681i,0.00038377+0.00050561i,0.00025946+0.00024701i,-6.2049e-05+0.00044806i,-0.00053753+0.00025825i,-0.00022635-8.9187e-05i,-2.7711e-05-0.00041689i,0.00026154-0.00056282i
-0.0028524-0.0004562i,-0.0037115+0.00012893i,-0.0054384+0.0018721i,-0.0043917+0.0017804i,-0.0018489+0.00066436i,-6.5103e-05+0.0010523i,0.0006335+0.00081138i,0.00059872+0.00073473i,0.00062684+0.00053279i,0.00020524+0.00040974i,-0.0006186-0.00040903i,-0.00076434-0.001855i,-0.001591-0.0012316i,-0.0018145-0.00021656i,-0.00109+0.00016287i,-0.0019469+0.00032468i,-0.002506+0.0010477i,-0.001689+0.0013228i,-0.00081852+6.5454e-05i,-0.0003114-0.00046527i,-0.00074464+8.3537e-05i,-0.0010946+0.00082569i,-0.00060015+0.0013982i
0.0024926-0.0014109i,0.0023304-0.0017292i,0.0025046-0.0040887i,0.0024121-0.0044213i,0.0023418-0.0022783i,0.0013934-0.00086305i,6.9957e-05-0.00053415i,-0.00033361+4.1787e-05i,0.00015645-0.00025673i,0.00080628-0.0010867i,0.00065981-0.0012154i,0.00010544-0.00073829i,0.00038431+0.00062692i,0.00087096+0.0020606i,0.00093177+0.0016056i,0.00062462+0.00039606i,-9.9376e-06-0.00064655i,-0.00011478-0.00097609i,0.00053691-0.00067968i,0.00092455-0.00070499i,0.00098357-0.00070774i,0.00062563-0.00027975i,0.001089+3.0337e-05i
0.00053255+0.0012984i,-0.00014653+0.0026215i,-0.0012268+0.00386i,-0.0010652+0.0038567i,-0.00028375+0.0024371i,0.00059046+0.00027734i,0.0002205-0.00028949i,-2.862e-05+0.00026223i,0.00042478+0.00039203i,1.6905e-06-0.00025845i,8.1299e-05-0.00083252i,-8.3802e-05-0.00097223i,-0.00025789-0.00050505i,0.00040656+0.00019436i,0.00086863+6.967e-05i,0.00046558-0.00027018i,-0.00040872-0.00016235i,-0.00095117+0.00030651i,-0.00068435+0.0001921i,-5.654e-05-0.00022729i,0.000219-1.4317e-05i,0.00048249+0.00038679i,0.00076437+0.00042236i
0.00065185+0.0011726i,-0.00024363+0.00010255i,-0.00089419-0.0012593i,-0.0010956-0.0015579i,-0.00071808-0.0014374i,-0.0014966-0.00094524i,-0.0018149-8.6277e-05i,-0.00034139+0.00031576i,7.7824e-05-0.00050362i,-0.0003603-0.0010467i,-0.00075366-0.0011221i,-0.0017898-0.0016012i,-0.0027186-0.001303i,-0.002945-0.0003016i,-0.0018854-0.00018593i,-5.6567e-05-0.00013926i,0.00050988+9.2926e-05i,0.00037017+0.00022595i,0.001102+0.00085537i,0.0020347+0.0012127i,0.0016803+0.00086868i,0.0012582+0.00089226i,0.001376+0.00040712i
-0.00050951-0.0034068i,-0.00010704-0.0027136i,5.2758e-05-0.0021572i,0.00028381-0.0016313i,0.0015742-0.0014241i,0.0020438-0.00089918i,0.0013436+0.00022252i,0.0011736+0.0011334i,0.0012557+0.00057577i,0.00054831-0.00057117i,-0.00034884-0.00089304i,-0.00074954-0.00064243i,-0.00089415-0.0010909i,-0.00061989-0.0012199i,0.00060914-0.0010743i,0.0012733-0.00087505i,0.0009317-0.00030136i,0.00038202+7.6694e-05i,0.00052834+7.7426e-05i,0.00053333-0.00027893i,0.00025662-0.00037107i,0.0002354-0.00040367i,0.00013282-0.00058397i
-0.00024183+0.0025595i,-0.00023732+0.0034205i,0.00052287+0.0042794i,0.001505+0.0040483i,0.0014897+0.0023426i,0.0011331+0.00061697i,0.00078038+0.00017928i,0.00034479+0.0003977i,-0.00010149+5.8708e-05i,-0.00066592-0.0010319i,-0.0011342-0.001217i,-0.0019273-0.00051381i,-0.0013208-0.00016481i,-5.1864e-05+0.00041542i,0.00062528+0.0004781i,0.00071838+0.00017545i,3.8583e-05+0.00062291i,-0.00039147+0.00094166i,2.0933e-05+0.00083183i,0.00020449+0.0006216i,-0.00049786+0.00015516i,-0.0011847-0.00022923i,-0.00077833-0.0006297i
0.0014535+0.0013078i,0.001748+0.00027528i,0.0013196+0.00012745i,2.263e-05-0.00032633i,-0.00058849-0.00135i,-0.00022028-0.0013655i,-0.00022961-0.00062413i,-0.00053036-0.00013281i,-0.00017765+0.00055771i,-8.092e-05+0.00023573i,-0.00075198-0.00024743i,-0.0010634-9.7332e-05i,-0.0016939+8.5178e-05i,-0.0017096+0.0013353i,-0.00044054+0.0018658i,-0.00023087+0.00095756i,-0.0013575+0.00017101i,-0.0019788-0.0003201i,-0.00095977-0.00046265i,0.00031065-7.7683e-05i,-2.5792e-05+0.00012596i,-0.00012354-4.3311e-05i,0.00018929+0.00036834i
-0.00082586-0.00054671i,-0.00095269+0.00015209i,-0.00030679-6.6757e-05i,0.0014797-0.00067128i,0.002953-0.00035449i,0.0028851-0.00070382i,0.0020238-0.00045811i,0.0014208+2.3532e-05i,0.0012098-1.4385e-05i,0.00087012-0.0003817i,0.0007084-0.00059958i,-3.2924e-05+5.6696e-05i,-0.0010539+0.00072289i,-0.00081686+0.00073528i,-0.00029167-6.1139e-05i,-0.00040315-0.00096622i,-0.0010838-0.00078443i,-0.001167+0.00027498i,-0.00068037+0.00080853i,-0.00062233+0.00038937i,-0.00065747-0.00060899i,0.000523-0.00066311i,0.00090354+0.0002047i
0.0014149+0.001461i,0.00091658+0.00075219i,0.00010886-1.1208e-07i,0.00089749-6.7121e-05i,0.0015744-1.9933e-05i,0.00037753-0.00073795i,-0.00056883-0.0006012i,-0.00012166-0.00030116i,0.0015904-9.0733e-05i,0.0017909-0.00032385i,0.00064179-0.00083427i,-0.00028677-0.00069289i,-0.00061299-0.00019341i,-0.00034556+0.00052265i,0.00052414+0.00018393i,0.0012167-0.00067565i,0.00061626-0.0008414i,0.00056047-7.5213e-05i,0.0018317+0.0011067i,0.0017751+0.0011451i,0.0006341+0.0010069i,0.00024699+0.0012782i,0.00037859+0.0012729i
0.0012883-0.0028075i,0.0011707-0.0026438i,-0.0012655-0.0024516i,-0.0028855-0.0017588i,-0.002442-0.00098538i,-0.0014395+0.0001894i,-0.001001+0.0010163i,-0.0004925+0.0007782i,-0.00036729-0.00040612i,-0.00069242-0.0011422i,-0.00036671-0.00093552i,-0.00045777-0.0013607i,-0.0015655-0.001952i,-0.00059789-0.0012704i,0.00041892+5.2139e-05i,0.00024712+0.00056484i,-4.8572e-05+0.0012519i,-0.00062064+0.0017048i,-0.00035816+0.0013313i,0.00036045+0.0010106i,0.00047465+0.00045872i,-0.00016071+0.00079731i,-0.00038401+0.00055515i
-0.0020629+0.0035561i,-0.0016206+0.0034231i,-0.0013156+0.0033678i,0.0011002+0.0026571i,0.0035429+0.0010071i,0.0027783-0.00030674i,0.00068911-0.00019657i,-8.6991e-06+0.00055155i,0.00017958+0.0010821i,0.0006015-2.2894e-07i,0.00011193-0.0017434i,-0.0015031-0.0028803i,-0.0023021-0.0026381i,-0.001247-0.0017631i,0.00021313-0.00051524i,0.00050201+0.00037815i,0.00031884-3.3384e-05i,0.00011624-0.00016522i,0.0001734+0.00028219i,-0.00014784+0.00053998i,-0.00059742+0.00013453i,0.00039684+0.00021775i,0.00071203+0.00021706i
0.002495+0.00025006i,0.0020634-0.00058695i,0.0012127-0.0005356i,0.0019578-0.00043339i,0.003014-0.00072965i,0.0015659-0.0010413i,0.00023317-0.00085354i,5.6661e-05+0.00040826i,-2.9968e-06+0.00085976i,-0.00010784+0.00027252i,-0.00092175-0.00015183i,-0.001656-0.00045316i,-0.0011514-0.00011233i,-0.00029829+0.00088073i,-0.00014848+0.0005331i,-0.00044581-0.00016376i,-0.00035875-0.0004059i,0.00074193-0.0006094i,0.0014998-0.00072904i,0.00032733-0.00024185i,-0.0011493-0.00018398i,-0.00071363-0.0012628i,-5.5344e-05-0.00095402i
-0.00015375-0.00041379i,-0.0015468+0.0012099i,-0.0026353+0.0038929i,-0.0031184+0.0030728i,-0.0032651+0.00052096i,-0.0024386-0.00036437i,-0.0012706+0.00038334i,-9.2263e-05+0.00059768i,0.00070273-0.00050334i,0.00014127-0.0010963i,-0.00041639-0.00099664i,-0.00036934-0.0013772i,-0.00056972-0.00062864i,-0.00055363+0.0010494i,-0.0004354+0.0018134i,-0.001145+0.0017698i,-0.0026247+0.001089i,-0.0021629+0.0010706i,-0.00054819+0.0016597i,-0.00015427+0.0014407i,-9.294e-05+0.00093658i,0.00022867+0.00060894i,0.0008087+0.00039799i
-0.00095762-0.0016896i,-0.0014849-0.0015808i,-0.0016359-0.0024255i,-0.00065251-0.0019848i,0.00054429-0.00038841i,0.0012711+5.0559e-05i,0.00067068-0.00029523i,7.172e-05-0.00029014i,0.00080554-0.00055395i,0.00056493-0.00018525i,-0.00073218+0.00034267i,-0.0014063+0.00039823i,-0.00083916+0.00045647i,-0.00032035+0.00080273i,-2.3277e-05+0.00066839i,-0.00096522-0.00016112i,-0.002408-0.00061401i,-0.0016238+0.00024023i,9.8597e-05+0.00028988i,0.00041252-0.00036584i,0.00084349+0.00036102i,0.00080126+0.0012084i,0.00033526+0.00036816i
-0.0025202-0.0017064i,-0.001354-0.00019609i,0.00025+0.001149i,0.0016496+0.0021127i,0.0023061+0.0013124i,0.0019956+0.00042279i,0.00083599+0.00030212i,0.00033049+3.6323e-05i,0.00096045-0.00041032i,0.00072206-0.0011784i,1.4434e-05-0.0014212i,-0.00070611-0.0011261i,-0.0010432-0.00032378i,7.2251e-05-7.2401e-06i,0.0013339-4.5969e-05i,0.001657-0.00066076i,0.001128-0.00093953i,0.00092452-0.00047954i,0.0010706-4.3493e-05i,0.00030684+0.00046986i,-0.00019734+5.0534e-05i,2.3919e-05+0.00062528i,-0.00016232+0.0013094i
-0.00017119+0.00096136i,-0.0020367+0.0012271i,-0.0027602+0.0010509i,-0.002669+0.0009345i,-0.0016615+0.00079063i,-0.00104+0.00048931i,-0.0014707+0.000533i,-0.00079759+0.001058i,0.00025491+0.00064945i,-4.6728e-05-0.00028407i,-0.00083566-0.00056596i,-0.001321-0.00061889i,-0.0010769-0.00039081i,-0.0010576+0.00018922i,-0.00068469+0.0006845i,0.00029962+0.0012278i,0.0005489+0.00079419i,0.00077001+0.00053174i,0.0010209+0.00072856i,0.00059624+0.00055452i,0.00027886+0.00052201i,0.00023879+0.0007568i,-0.00030835+0.00028288i
-0.0015647-0.0011295i,-0.0019293-0.0013584i,-0.001677-0.0017376i,-0.0013548-0.001944i,-0.00058294-0.0016703i,0.00026167-0.0013104i,-0.00019668-0.00017917i,6.1858e-05+0.00038505i,0.00096664-0.0004039i,0.00054637-0.00064644i,-0.00023877-0.00098224i,-0.00078302-0.0014162i,-0.00088293-0.0012721i,0.00020989-0.00017983i,0.00076395+0.00039303i,0.00057171-0.00026998i,0.00038016-0.0007621i,0.00053377-0.00046874i,0.00082465-7.7486e-06i,0.00033275-6.4297e-05i,-0.00043428+0.00021034i,-0.00031263+0.00023568i,0.00033787-0.00074396i
0.0017775+0.0024802i,0.002803+0.0022789i,0.0051927+0.0020156i,0.0074582+0.00038466i,0.007181-0.0018059i,0.0037055-0.0022426i,0.0017725-0.0013413i,0.0016263-0.00025312i,0.0017138-5.2788e-05i,0.0013871-0.000551i,0.0002105-0.0018101i,-0.00072525-0.0025245i,-0.0009673-0.0015651i,-0.00091609-0.00033043i,-0.00024505+0.00013425i,0.00026188+0.00085091i,0.00031281+0.0015554i,0.00038108+0.0021866i,0.00108+0.0020971i,0.001537+0.00071277i,0.00049818-0.00026877i,-0.00032873-0.00028851i,0.00054551-0.00032029i
0.0022058-0.00055764i,0.00145+2.5138e-05i,0.00018536+0.00085273i,-0.0013663+0.0011008i,-0.0021522+0.00015247i,-0.002184-0.00039629i,-0.0012655+0.00040562i,0.00044167+0.0012133i,0.0009776+1.7861e-05i,-5.0182e-05-0.0011962i,-0.00061731-0.00091201i,-0.00084349-0.00089647i,-0.00056405-0.00020587i,-0.00013193+0.0012958i,-7.3182e-05+0.0022217i,-0.00098754+0.0021208i,-0.0019485+0.0017097i,-0.0014931+0.0016137i,0.00044434+0.001755i,0.0017999+0.0012093i,0.0010614+0.00084586i,0.00065853+0.00083016i,0.00035868+0.00011629i
-0.001068-0.00083111i,-0.0020342+0.00061779i,-0.0041689+0.00045542i,-0.0038299-0.0016115i,-0.0013135-0.0019841i,-0.00083829-0.0010352i,-0.0016375-0.00032525i,-0.0007614+0.00045349i,0.00024683-2.2172e-06i,0.00011845-0.00043787i,-5.8821e-05-0.00093146i,-0.0014278-0.00057923i,-0.0023535+0.00046064i,-0.0016465+0.00081398i,-0.00068245+0.00039097i,-0.00059091-0.00040194i,-0.0018806+6.5386e-05i,-0.0024484+0.0009945i,-0.0016324+0.00073583i,-0.00064622+0.0011302i,-0.00090924+0.0016304i,-0.00095487+0.000899i,2.1839e-05+0.00049457i
-0.00011609+0.00098141i,0.00035717-0.0012547i,0.002714-0.002344i,0.0051657-0.0011029i,0.0055788-0.00064366i,0.0034388-0.00037545i,0.0021001+0.00048064i,0.0014606+0.00067363i,0.001327+1.6208e-05i,0.0015658-0.0012647i,0.00053682-0.0011703i,-0.0008151-0.00050596i,-0.0016947-0.0004574i,-0.0015931-0.0010182i,-0.0002121-0.00093556i,0.00090368-0.0016236i,0.0011034-0.002203i,0.0011964-0.0019136i,0.0011683-0.0015688i,0.00058676-0.00099879i,-0.0002396-0.00047129i,-0.00093486-0.00015597i,-0.00065674+0.00033009i
-0.00039528-0.001136i,-0.00087792-3.4795e-06i,-0.0016422+0.0022778i,-0.0017816+0.0043816i,-0.0016933+0.0032592i,-0.00067828+0.0012164i,-0.0001422-0.00032697i,0.00016756-0.00069965i,0.00096745-0.00022559i,0.00059628-0.00032724i,-0.00079955-0.0010109i,-0.0010648-0.0008454i,-0.00094469-0.00042826i,-0.00072557+0.00072765i,0.00082982+0.0015875i,0.0023769+0.00094395i,0.0015394-0.00049569i,0.00025219-0.00047675i,0.00056037+0.00014947i,0.00076867-0.00026464i,-8.3051e-06-0.00018682i,-0.0009082-0.00050818i,-0.00057124-0.0011178i
0.00097161-0.00091857i,-0.00043855-0.001365i,-0.0037918-0.0017976i,-0.0058255-0.0041042i,-0.0031587-0.0050393i,-0.00024789-0.0025781i,0.00057623+0.00020044i,0.00050631+0.0015815i,0.00059135+0.00097679i,7.7896e-05-0.00042131i,-0.0007235-0.0011528i,-0.001099-0.0013423i,-0.00074753-0.0017647i,-6.2055e-05-0.00057122i,0.00027715+0.0011962i,0.00034473+0.0011654i,0.00020733+0.00049904i,0.00037894-0.00042029i,0.00059778-0.00050791i,0.00032946+0.00023797i,-9.2358e-05+0.00063309i,0.00031479-0.00027537i,0.0010639-0.00070942i
-0.0010351-0.0017606i,-0.001291-0.0026516i,0.0014874-0.0030413i,0.0049629-0.0016291i,0.0050523-0.00012301i,0.0025753+0.0005468i,0.00098446+0.00079136i,0.0013085+0.0015053i,0.0016535+0.0022219i,0.0009573+0.0013987i,0.00023004+0.00047748i,0.00026846-0.00024217i,0.0011362-0.00078203i,0.0014038-0.00025632i,0.00088498-0.00024653i,0.0001009-0.00057692i,-5.4176e-05+0.00075834i,0.00055342+0.0017962i,0.0014409+0.0020582i,0.0019852+0.0022651i,0.0015609+0.0010512i,0.0013217+0.00049185i,0.001083+0.00036374i
0.00054943-0.0014751i,0.00075494-0.00037557i,0.0010896+0.0022509i,0.00036481+0.0052244i,-0.00086258+0.0046651i,-0.0010503+0.0018357i,-0.0013341+0.00025486i,-0.00099888-9.4859e-06i,-0.00045374-0.00013934i,-0.00038091-0.0003956i,-0.0006486-0.00084124i,-0.001081-0.0015328i,-0.00017044-0.0008678i,0.00066726+0.00067653i,0.00093053+0.00078414i,0.00047778+0.00035477i,-0.00038969+0.0016165i,0.00035847+0.0036132i,0.0011714+0.0037548i,0.0011386+0.0023536i,0.00014194+0.00096634i,-0.00094948+0.00045845i,-0.00087704+0.00070841i
0.0016069+0.001622i,0.00056764+0.00080637i,-0.0014042-0.00054292i,-0.0040112-0.0033898i,-0.0037995-0.0048456i,-0.0023323-0.0028418i,-0.0017596-0.00071331i,-0.00074213-0.00021671i,0.0010028-0.00031234i,0.0012562-0.00089243i,-0.00019415-0.0016345i,-0.0019459-0.00098314i,-0.0030901+0.00043703i,-0.0028576+0.00081362i,-0.0018808-6.2765e-06i,-0.002124-0.0014802i,-0.0029276-0.0022271i,-0.0020923-0.0013801i,-0.0012207-0.00061511i,-0.0011072-0.00037571i,-0.00080011+0.00039414i,-0.0004271+0.00079617i,0.00018278+0.00015614i
0.0012041-0.00054736i,0.0027657-0.0012624i,0.0031187-0.0026995i,0.0047336-0.0045684i,0.0054414-0.0043747i,0.002891-0.0034334i,0.0015231-0.0024576i,0.0014174-0.0020463i,0.0011738-0.002337i,0.00070594-0.0015083i,-0.00013274-0.00022486i,-0.00081461+0.00030381i,-0.0012522+0.00089319i,-0.0012292+0.00098434i,0.00019389+0.0001878i,0.0022713-0.00025242i,0.0025801-0.00010364i,0.001443-0.00060471i,0.0011638-0.00094699i,0.0013236-0.00073583i,0.00093009-0.00099278i,0.00011694-0.00128i,-0.00066326-0.00040709i
-0.00016619+0.00036928i,0.00036412+0.00086712i,0.0025241+0.0040375i,0.002976+0.007121i,0.0016871+0.0055409i,0.00021042+0.0021579i,-0.00085418+0.000704i,-0.00049376+0.00093497i,-0.0001402+0.00053828i,-0.00010909-0.00061251i,-0.00033365-0.001083i,-0.0011185-0.0015355i,-0.0010403-0.001733i,0.00036812-0.00035988i,0.0016929+0.0012274i,0.0022491+0.0011242i,0.0021449-0.00016045i,0.0014533+0.00023089i,0.001241+0.0013836i,0.0017344+0.0011023i,0.001243+0.00036366i,-0.00030954-0.00032199i,-0.0016138-0.0012253i
-0.0021753+0.0015691i,-0.0036039+0.0023147i,-0.0064345+0.0042721i,-0.0070596+0.003606i,-0.0029019+0.0016911i,0.0013017+0.0011322i,0.0014219+0.00069951i,0.0013579+0.00069703i,0.0014685+0.0014334i,0.00059451+0.00074389i,0.00029679-0.00052326i,0.00073439-0.0016684i,0.00066806-0.0022723i,0.00017227-0.0012046i,-0.00041844-0.00032584i,-0.00024999-0.00024488i,-0.00029876+0.00011644i,-0.0015274+0.00056949i,-0.0016536+0.0014011i,-0.000129+0.0018657i,0.0013355+0.0012648i,0.0017239+0.0003706i,0.001883+3.4909e-05i
-0.00050472-0.00077424i,-0.0010721-0.0024022i,0.00051176-0.0061582i,0.003022-0.0088014i,0.0040165-0.0070556i,0.0022191-0.0031908i,0.00010821-0.00070602i,0.00039056-7.7109e-05i,0.00081357-0.00036753i,0.0010451-0.00033907i,0.0012492-0.00078057i,0.001339-0.0013442i,0.0010513-0.0006785i,0.00032935+0.00039965i,-0.00011129+0.00065441i,1.9358e-05+0.0010447i,0.00063726+0.00157i,0.0021746+0.0017395i,0.0030718+0.0010088i,0.002261+0.00048153i,0.0020192+0.00056536i,0.0021224-0.00011887i,0.0019239-0.001156i
-0.00091325-0.0011184i,0.00060882+5.2207e-05i,0.0027992+0.0029887i,0.0038968+0.0078112i,0.0023201+0.008406i,0.0012181+0.0053956i,0.0013334+0.0027415i,0.00033763+0.0015731i,9.1977e-05+0.00053965i,-0.00010806-0.00032793i,5.7354e-05-0.00048093i,-0.00012834-1.7693e-05i,-0.0012285+0.00038189i,-0.0013233+0.00019023i,-0.00049317-0.0007334i,-0.0002593-0.0012047i,-0.00046234-0.00017793i,-0.0010535+0.0012596i,-0.00061808+0.0017574i,0.00047741+0.0014687i,-0.00061888+0.001042i,-0.00097999+0.0013121i,0.00045067+0.0015071i
0.00079846+0.0015086i,-0.00086695+0.0021163i,-0.0035981+0.0034376i,-0.0060382+0.0036805i,-0.0053401+0.00059516i,-0.0021341-0.0016334i,-0.00138-0.00027479i,-0.00063167+0.00069949i,0.0012632-0.00095707i,0.00082838-0.002697i,-0.0011973-0.0024136i,-0.0026342-0.0018612i,-0.0031771-0.00077931i,-0.002717+0.00087851i,-0.0010279+0.00064039i,3.0986e-05-0.0011976i,-0.0015233-0.0020078i,-0.0020201-0.0011717i,-0.0012091+0.00022185i,-0.0012464-1.2262e-05i,-0.00090926-9.7328e-06i,-0.00078392+0.0005074i,-0.0010209+0.00053136i
-6.4557e-05-0.0016073i,-0.0010474-0.0037771i,-0.00093279-0.0085165i,0.00033766-0.012273i,0.0022896-0.0099994i,0.0018615-0.00449i,-0.00020066-0.0016823i,-0.00052971-0.001418i,0.0010495-0.0016173i,0.0015469-0.0015379i,0.00022467-0.0013938i,-0.0012101-0.00089158i,-0.002025+8.7454e-05i,-0.0011435+0.00066234i,0.00031784+0.0012931i,0.00073729+0.0014392i,0.00026145+0.00052171i,-7.2109e-05-0.00035163i,0.00015387-0.00033164i,0.00089177-0.00069036i,0.0005078-0.0015355i,0.00018814-0.001395i,0.00018038-0.00086254i
-0.0010667-0.0020882i,0.0009839-0.0025117i,0.0042141-0.00019716i,0.0076651+0.0055233i,0.0073331+0.0070906i,0.004124+0.0032696i,0.0013001+0.0011406i,0.00066166+0.0013809i,0.0013363+0.0012177i,0.0015999+0.00069437i,0.0012106+0.00015129i,0.00018536-0.00081181i,0.00015921-0.0010322i,0.0013203-2.98e-05i,0.0015978+0.00071724i,0.00099155+0.00085897i,0.00024454+0.00077139i,-0.00039784+0.0011079i,-0.0002082+0.0023608i,3.838e-05+0.0022091i,-0.0001433+0.00076154i,-0.0010005+0.00025258i,-0.0016064-0.00059706i
