0.0008624-0.00023659i,0.0014539-0.00076098i,-0.00038657-0.0010092i,-0.0011893-0.00047306i,-0.0014459+0.00021538i,-0.0012648-0.00045012i,0.00013126-0.0013569i,0.00061801-0.0012485i,0.00059683-0.00071018i,0.00089937-0.0010146i,0.00089829-0.0015719i,0.00050953-0.0015569i,-6.7656e-07-0.001043i,-0.00063121+3.9546e-05i,-0.00097076+0.00017954i,-0.00063127-0.00019275i,0.00015256-0.00029258i,0.00095654-0.00036543i,0.00064163-0.00029446i,6.1394e-05-0.00026973i,-9.2936e-05+1.9255e-05i,-0.00014283-0.0002731i,-0.00016376-0.00082004i
-0.00088631+0.0005881i,-0.00092195+0.00087478i,-0.00047071+0.0010348i,-2.0753e-05+0.0012503i,0.00033276+0.0002031i,0.00052651-0.00089047i,0.00063896-0.00082335i,0.00056881-0.0013558i,-4.2182e-05-0.0017029i,0.00036574-0.0012581i,0.0017754-0.00093013i,0.0018757-0.00058947i,0.00032617-0.00036586i,-0.0003706+8.8262e-05i,-0.0004134+0.00041927i,-1.7765e-05+0.00055883i,0.00059733+0.00052166i,0.00034847-9.4002e-06i,0.000138-0.00042852i,0.00042777-0.00022615i,0.00049013-0.000659i,0.00029857-0.00087268i,0.00073416-0.0001909i
-0.0016657+0.0017797i,-0.0012401+0.00070727i,-0.0011746+0.0013303i,-0.00045164+0.0016731i,0.00053518+0.00060416i,0.00026798-0.00076374i,-0.00045499-0.0018088i,-0.00074418-0.0023472i,-0.00031509-0.0016482i,0.00056-0.00064034i,0.00037695+0.00026439i,-0.00020182+0.00077385i,-4.7581e-05+0.00022309i,0.00033156-0.00032127i,0.00056547-0.00010098i,0.00065583-0.00025138i,0.00079563-0.00028872i,0.0006911+0.0001904i,0.00015394+0.00035756i,0.00010923+0.00027439i,0.00057527+0.00070171i,0.00086714+0.00083342i,0.00055554+0.00014192i
-0.0021528+0.00020627i,-0.0013807+0.00041682i,-0.0011623+0.0008258i,-0.0011926-0.0002701i,0.0001175-0.00049071i,0.00074874+6.6987e-05i,0.00031376+1.6644e-05i,-7.5861e-05-9.6636e-05i,-0.00062953-3.9374e-05i,-0.00040664-3.6437e-05i,2.9019e-05+0.00028012i,-0.00017035-2.0404e-05i,-0.00013901-0.00071737i,0.00016156-8.1591e-05i,0.00029898+0.001021i,-2.1027e-05+0.0015561i,-0.00068767+0.0010962i,-0.00037491+0.00069354i,-0.00054935+0.00059756i,-0.00097343+5.7329e-06i,-0.00047663-0.00022418i,-0.0005197+0.00036141i,-0.00078574+0.00065614i
-0.0026019-0.0012128i,-0.0029819-0.002417i,-0.002826-0.0019741i,-0.00056325-0.0014912i,0.0012313-0.00074325i,0.0012892-0.00042027i,0.00088312-0.001199i,0.00019334-0.0014975i,-0.00017407-0.00089177i,-5.3113e-06-1.2605e-05i,0.00075427+0.00055596i,0.0011065+0.00054331i,1.417e-05+0.00052335i,-0.00078535+0.00051824i,-0.00065857+0.00013077i,-0.00034427-0.000285i,-0.00062337+0.00057364i,-0.00060414+0.0012432i,0.00047775+0.00093234i,0.00097467+0.00058901i,0.00017312-9.1476e-05i,-0.0014772-0.00054076i,-0.0014611-0.00042125i
-0.0016934+0.0012338i,-0.00014968+0.0020656i,3.8863e-06+0.0031143i,3.9152e-05+0.0031178i,0.00042563+0.0018886i,-5.3942e-06+0.00028454i,-0.000657-0.0013354i,-0.00083761-0.0014278i,-0.00045459-0.00067317i,0.00031578-0.00045585i,0.00064523-2.2248e-05i,0.0011686+0.00053085i,0.0019349+0.00017477i,0.0012473-0.00074581i,0.00089645-0.0010384i,0.00081355-0.00015143i,0.00048246+0.00016421i,0.00027119-0.00019394i,-0.00030989+0.00014993i,-0.00020889+0.00045152i,0.00015559-0.00041582i,0.00026591-0.0011377i,-0.00015067-0.0007806i
-0.00038804+0.0014463i,-0.0014897+0.0013564i,-0.00206+0.0013107i,-0.0021177-0.00046969i,-0.0015829-0.0022318i,-0.00021569-0.0021606i,0.00052113-0.0014623i,-0.00030897-0.0013237i,-0.0012124-0.0011722i,-0.00037422-0.00073838i,0.00077804-0.00070885i,0.001198-0.00064008i,0.0012598-9.6555e-05i,0.00040944-9.9403e-05i,-0.00072039-0.00021733i,-0.00061153-7.3538e-05i,-5.0257e-05-0.00024739i,0.00026054+7.3447e-05i,0.00013303+0.00074533i,-0.00013356+0.00032936i,3.7387e-05-0.00035552i,0.00040811-0.00043527i,0.00045119-0.00037582i
0.0024116+0.00074299i,0.0035235+0.00034798i,0.0044652+0.00086436i,0.0041835+0.00035768i,0.0023463-0.00089017i,0.001053-0.0014481i,4.7154e-07-0.0013468i,-0.0010447-0.0016016i,-0.0014765-0.0016758i,-0.0009473-0.0013917i,2.2518e-05-0.0012197i,0.00019685-0.00015087i,0.0005391+0.00056352i,0.00052813+0.0003105i,-0.00013197-0.00021249i,-0.00019564-0.00013207i,-0.00022439-0.00018672i,-0.00038074+0.00044536i,0.00036301+0.00076169i,0.0012493+0.00031843i,0.0010926+3.6962e-05i,0.00032607-0.00062117i,0.00049214-0.00094378i
-0.0011413-0.0023004i,-0.00052823-0.0021963i,-0.0010007-0.0020747i,-0.00017829-0.00086216i,0.00064353+5.9637e-05i,0.00078844+0.00066017i,0.00086149-4.5507e-05i,-0.00020855-0.00075544i,-0.0015458-0.0012907i,-0.0012962-0.0014401i,-0.00077077-0.0001024i,0.00016322+0.0010878i,0.00058073+0.0012526i,0.0003455+0.0004958i,-0.00015254+5.5728e-05i,-0.0007153-0.00052136i,-0.00047965-0.0003151i,-0.00092706+0.00036197i,-0.0011844+9.2413e-05i,-0.00065886-0.00030305i,-0.00035259-0.00032464i,-0.0010017+0.00018742i,-0.0013422+9.1054e-05i
-0.003342-9.1226e-06i,-0.0026683-0.00058612i,-0.0023437-0.0003575i,-0.0015838-0.00012925i,2.5798e-05-2.7549e-05i,0.0007118-0.00052404i,0.0004881-0.0011554i,-0.00029618-0.00075499i,-0.0010523-0.00043514i,-0.00012281-0.00013877i,0.0010792+0.00046059i,0.001333+0.00082229i,0.00037688+0.0011635i,-1.3727e-06+0.0010085i,0.00037854+0.000564i,-0.00022807+0.00042688i,-0.00011076+0.00045179i,0.00051191+0.00092696i,0.00017732+0.00070445i,-0.0003483+0.00010449i,3.9193e-05-0.00066057i,0.00036254-0.00068887i,-0.00029129-0.00037624i
0.0026341+0.0022809i,0.0023136+0.0020369i,0.0038955+0.00066959i,0.003688-0.0012447i,0.0025184-0.0026051i,0.0012095-0.0026714i,0.00040866-0.0020786i,0.0002844-0.0013728i,0.00081384-0.0012043i,0.00055833-0.0014623i,0.0012982-0.00029211i,0.0022548+0.00037111i,0.00094055-0.00021827i,0.00014679+0.00060066i,0.0009576+0.0011067i,0.0013136+0.00018844i,3.0171e-05-0.00040634i,-0.00097119-0.00088082i,-0.00031306-0.00059081i,0.00011229+0.00029226i,-0.00020049+0.00084227i,-0.00021346+0.00084613i,-0.00066895+0.00073864i
-0.0022142-0.0012393i,-0.0024192-0.0010792i,-0.0010966+0.00011874i,0.00036716+0.0014513i,0.00068077+0.00087592i,0.00075155-3.2663e-05i,0.00011564-0.00060103i,-0.00059106-0.0013634i,-0.00066533-0.0011533i,-0.00031996+6.5162e-06i,0.00071778-8.3732e-05i,0.0013382-0.00070138i,0.00079041-0.0011728i,6.5202e-05-0.00054792i,-0.0004312+0.00018948i,-0.00027718+1.2385e-06i,-3.0715e-05+0.00035667i,8.4522e-05+0.0010107i,0.00014581+0.0010506i,0.00015766+0.00021852i,-5.5733e-05-0.00066294i,-0.00051763-0.00088198i,-0.00018008-0.00017851i
-0.0011202-0.0016765i,-0.0011977-0.002629i,-0.0017161-0.0015231i,-0.0021284-0.00027631i,-0.001823-0.00054855i,-0.00092434-0.00043792i,-0.00052656-0.00054128i,-0.0011577-0.00091813i,-0.0015688-0.0011976i,-0.0015912-0.00093757i,-0.0011336-0.00049127i,0.0001395-0.00037119i,0.0008966-0.00016536i,0.00043509+0.00013243i,1.732e-05+0.00039428i,0.00027795+0.0004723i,0.00021941+0.00029872i,-2.3307e-05-0.00024099i,0.00012297-0.00065675i,-0.00011251-0.00076304i,-0.00037405-0.00053476i,-2.985e-05-0.00012884i,0.00018378-6.8476e-05i
-0.00043292-0.0016041i,2.7029e-05-0.0013575i,0.00021952-0.0013314i,0.0013128-0.0015706i,0.0019152-0.0015076i,0.001347-0.0011631i,5.8503e-05-0.0013287i,-0.00080736-0.0015171i,-0.00096483-0.0010659i,-0.00067724-0.00097581i,-0.00020118-0.0010597i,-0.00011663-0.0010467i,8.8189e-05-0.0013567i,0.00018282-0.0009818i,2.6089e-05-9.4421e-06i,-0.00034235+0.00020542i,-0.0006061+8.4653e-05i,-0.00054422+0.00044371i,-0.0002176+0.00058427i,-6.0476e-05-0.00044268i,-0.00022402-0.00078176i,0.0001771-0.0010196i,0.00090016-0.00098046i
-0.00023695-0.0027794i,-0.00061246-0.0026509i,-0.0010991-0.002043i,0.00012341-0.0010581i,0.00077627-0.00036649i,0.0007897-0.00036807i,0.00053647-0.00046145i,-0.00060881-0.00055192i,-0.0012362-0.00025967i,-0.001061-0.0003037i,-0.00057621-0.0005471i,0.00045411-0.0001818i,0.00037829+0.00016532i,-0.00073141+0.00052303i,-0.00033671+0.00090569i,3.4065e-05+0.0011423i,-0.00072369+0.0014569i,-0.00057817+0.00054365i,-0.00014875-1.6491e-05i,3.4349e-05+0.00025053i,0.00017552+0.00023746i,-7.3243e-06+0.00031353i,0.00057498+0.00030241i
0.00035212-0.00029795i,0.00034714-7.5823e-05i,6.2334e-05+0.00024997i,0.00026908-0.00015698i,0.0010739-0.00054982i,0.0016788-0.00089818i,0.0013497-0.0015119i,0.00063857-0.0020005i,-0.00015004-0.0019026i,-0.00032333-0.00083546i,-4.1676e-05-0.00012631i,9.5126e-05-0.00058311i,-0.00013229-0.00050354i,-0.00015147+0.00026964i,-0.00020796+0.00032528i,-0.0005873-0.00026385i,-0.0010012-0.00084532i,-0.00074615-0.00099219i,-1.5973e-05-0.00050258i,0.001002-0.00031769i,0.001686+4.59e-05i,0.0015869+0.00010076i,0.00089288-0.00026578i
-9.6408e-05+0.00088947i,0.00048291+8.9914e-05i,0.0013392+0.00070531i,0.00089378+0.0011759i,0.00014517+6.1374e-05i,0.00015906-0.0013971i,-0.00026803-0.0023621i,-0.0011082-0.0024479i,-0.00089311-0.0013239i,0.00018357-0.00082676i,0.00080624-0.001189i,0.0010184-0.00057032i,0.00034001-0.00018517i,-0.00022259+2.4765e-05i,-0.00088923-0.00010321i,-0.0010182-0.00035115i,0.00010412+0.00066745i,0.00031867+0.00095057i,-0.00012828+0.00046572i,0.0001045+9.6727e-05i,-0.00020751+0.00038752i,-0.00065606+0.00010423i,2.5899e-05-0.000569i
-0.00067426-0.00069852i,-0.00085838-0.00037034i,-0.0011787+0.00025724i,-0.0011268+0.00055868i,-3.3269e-05-0.00026224i,0.0012519-0.00099767i,0.00079274-0.0010003i,-0.00026253-0.0015007i,-0.00089814-0.0013728i,-0.00041695-0.00042364i,0.00056135+0.000466i,0.00019947+0.0010063i,-0.00053153+0.0011373i,-0.00026468+0.00063095i,-0.00013796-0.0005326i,-0.00053266-0.0012108i,-0.00042585-0.00087576i,0.00011832+0.00033104i,-1.8342e-05+0.00045173i,-0.00018761+0.00070512i,-0.00035407+0.0010987i,-6.1256e-06+0.00099508i,0.00031332+0.00071006i
0.00030528+0.0015834i,0.0012022+0.0018556i,0.0014029+0.0016728i,0.00047927+0.00064795i,0.00067455-0.0003036i,0.00096426-0.00076951i,0.00042261-0.0012633i,2.918e-05-0.0016212i,-0.00019635-0.0012605i,-0.00011936+0.00012259i,0.00072184+0.00071364i,0.0012383+0.0010641i,0.0006815+0.00088481i,0.00058778-0.00030096i,0.00042022-0.00058725i,-5.3641e-05+0.00031054i,-0.00019716+0.00093808i,-0.00029904+0.0010607i,-0.00039597+0.00072051i,0.00017874-7.8327e-06i,0.0010922-3.1934e-05i,0.00064353+7.7346e-05i,0.00053061+0.00013264i
0.00025989-0.00066456i,0.0013208-0.0010927i,0.00131-0.001437i,0.00035682-0.00070978i,-0.00034547+7.3009e-05i,-0.00073679+2.8402e-06i,-0.00070493-0.00081548i,-0.00042288-0.001081i,9.458e-05-0.00072765i,0.00064474-0.0005017i,0.00133-0.00034044i,0.0012832-0.00015125i,0.00047515-0.0004781i,0.00022083-0.00033213i,-0.00023342+0.00033983i,-0.00039184+0.00011229i,-3.8371e-05-0.00056951i,0.00012965-0.00018628i,-0.00033089+0.0011464i,-0.00050399+0.001072i,-5.3081e-05+0.0004031i,-3.2163e-05+0.00016714i,-2.7883e-05-0.00052369i
-0.00036339-0.00076202i,-0.001587-0.0010709i,-0.0010625-0.002015i,-2.5667e-05-0.00097283i,-0.00016042-0.00014806i,-0.00069688-0.00070288i,-0.00011087-0.0013782i,-0.00035588-0.0019344i,-0.0010813-0.0016813i,-0.00067956-0.00054567i,0.00031705-0.00019894i,0.0006739-0.00012444i,0.00044282-0.00046628i,-0.00027597-0.00046975i,-0.0005977+0.00021665i,-0.00029601+0.00031652i,-0.00030474+0.00065855i,-0.00032055+0.00097931i,0.0009262+0.0014484i,0.0014263+0.00080822i,0.00017179-0.00026649i,-0.00058375-0.00043243i,9.6183e-05-2.7872e-05i
-0.00089196+0.00086042i,-0.00086092+0.00058017i,-0.00053972+0.00077946i,0.0010248+0.00093721i,0.0019699+0.00035424i,0.0015787-8.5931e-05i,0.0004945-0.00066031i,-0.00073689-0.0013548i,-0.00080098-0.001375i,-0.00027954-0.00058741i,0.00073415+0.00013746i,0.0010106+1.6995e-05i,-0.00013781-0.0011097i,-0.00081651-0.0013243i,-0.00056693-0.00042342i,-0.00064332+0.00052707i,-7.892e-05+0.00066266i,2.9494e-05+0.00035227i,-0.00045007-7.3988e-05i,-3.0441e-06-9.5019e-06i,-0.00052769+0.0003251i,-0.00056618+0.00010182i,0.00030909-9.3569e-05i
0.00078123-0.0015853i,0.0012998-0.0015278i,0.0005438-0.0013208i,-0.00025618-0.0014379i,-0.00022153-0.00079239i,9.0769e-05+0.00025309i,0.00070679+8.3877e-05i,0.00026683-0.0011166i,-0.00073939-0.0016315i,-0.0011244-0.0012457i,-0.00079091-0.00066231i,0.00028033-0.00027456i,0.00068167+1.4902e-05i,0.00054283+0.00030532i,0.00058721-0.00015033i,0.00068131-0.00084041i,0.00018159-0.00096995i,0.00021885-0.00025432i,0.00087431+0.00061648i,0.00047364+0.00033669i,-0.00014306+7.3472e-06i,-0.00019984-0.00017653i,0.00031474-0.00050726i
0.00067931-0.00067876i,0.00029246-0.0014608i,-0.00014341-0.002047i,-0.00017809-0.0013597i,0.00029056-0.00068758i,0.0012637-0.0011297i,0.00095733-0.0020431i,-0.00042698-0.0028748i,-0.00018802-0.0025209i,0.0007458-0.00072562i,0.00061978+0.00011011i,0.00095943+0.00013448i,0.0013384+0.00032598i,0.00073195+0.00083751i,0.00017046+0.00064973i,9.6904e-05-0.00046348i,-3.6525e-06-0.00069037i,0.0004205-0.00063754i,0.00072633-0.00073874i,0.00035218-0.00073277i,-0.00021952-0.00092188i,-0.00052967-8.6611e-06i,-0.00067146+0.0005205i
-0.00040078-0.00021499i,1.1563e-05+0.0010284i,3.2261e-05+0.00090832i,0.0010911+0.00050861i,0.0022358+0.0005759i,0.0013785-5.5337e-05i,0.00015435-0.00041521i,-0.00034486-0.00036705i,-0.00029405-0.00053086i,0.00030134-0.00023142i,0.0005247+0.00031006i,0.00037873+0.00031668i,0.0005231+0.00016756i,0.0004624+9.2764e-05i,9.6897e-05+0.00018982i,0.00063487+3.1086e-05i,0.00065933-0.00031307i,-0.00029885-0.00027234i,-0.00040504-0.00049523i,0.00023966-0.00067388i,0.00066256+7.5994e-05i,0.00052396+0.00048031i,0.00057828+0.00018618i
0.00079726+0.0010577i,0.00041132+0.00065906i,0.0015541+0.0011717i,0.002388+0.00034552i,0.0028335-0.00093584i,0.0020926-0.001394i,0.00072911-0.0016162i,0.00023736-0.0022512i,-7.3416e-06-0.0018237i,-0.00021642-0.00085989i,0.00019362-0.00031628i,0.0017131-0.00034059i,0.0027718-0.00076122i,0.0013748-0.00082322i,0.00032336-0.00015249i,0.00041744-0.00023891i,0.00011435-0.00010185i,-0.00055106+0.00039648i,-0.00075885-0.00032847i,-0.00059839-0.00047201i,-0.0007493+0.00033641i,-0.00048403+0.00012835i,7.1488e-06-0.00038541i
0.0012568+0.0025468i,0.0014923+0.0028578i,0.001814+0.0028575i,0.0022834+0.00241i,0.002403+0.00098414i,0.001073-0.0001372i,-0.001296-0.00030236i,-0.0014877-0.0012348i,-0.00020908-0.0013265i,0.0011805-0.00063692i,0.0016081-0.00023111i,0.0013561-0.00020754i,0.0011263-0.0012315i,-0.00020554-0.0016716i,-0.0015154-0.0011716i,-0.0011493-0.0013222i,-0.00013194-0.0015408i,0.00058794-0.0011337i,0.00085346-0.00049269i,0.00080342+7.9121e-05i,0.00094896+0.00077604i,0.0007188+0.0003023i,-3.3075e-06-0.00065273i
0.00015043-0.0025725i,0.00018877-0.0023172i,0.00047018-0.0022069i,0.00075468-0.0022276i,0.00072922-0.002019i,0.00082806-0.0010405i,0.00051488-0.00096619i,-0.00022485-0.0012547i,-0.00067998-0.00070426i,-0.00071088+0.0001188i,0.0001292+6.5585e-05i,0.00088155-0.00049174i,0.00062355-0.00043785i,-8.5259e-05+0.00020756i,-0.00037322+0.00030783i,-0.00013984+0.00011164i,-0.00079582+4.9295e-05i,-0.00052595+0.00027367i,0.00037018+0.00049905i,0.0001623+0.00014299i,8.5717e-05+0.0005623i,-0.00046362+0.0012903i,-0.00074846+0.0014381i
0.0013177+0.0010973i,0.0023055+0.00026131i,0.0016429-0.00061032i,0.00062254-0.0011397i,0.00040342-0.0011416i,6.3563e-05-0.0018178i,3.752e-06-0.0019413i,0.00030703-0.0010052i,0.00015761-2.0108e-05i,0.00055506+0.00067975i,0.00075056+0.00075514i,0.00065156+4.2044e-05i,0.00060443-0.00022923i,0.00024158-0.00036997i,-0.00025656-0.0003828i,-0.00034156-5.6142e-05i,0.00019029-0.00062131i,-0.00016338-0.00071883i,-0.00066063+9.6524e-05i,-0.00057559+0.0004367i,8.5685e-05+0.00012285i,0.00072744+3.9254e-05i,-7.4904e-05-5.3621e-05i
-0.00010563+0.0014477i,0.00029936+0.00019972i,0.00034548-0.00048073i,0.00067562-0.0011089i,0.0016993-0.0014302i,0.0011631-0.001632i,0.00013492-0.0020462i,0.00026746-0.0023193i,-0.00012223-0.0018997i,-0.00040278-0.001142i,0.00047415-0.0007244i,0.0011514-0.00027475i,0.00047039+0.00068202i,4.4283e-05+0.00056248i,-9.1961e-05+9.4287e-05i,-0.00036562-0.00026865i,-0.00032231-9.0616e-05i,-0.00044706+0.0006587i,-0.00027362+0.00045647i,-0.00021027+1.8178e-05i,-0.00075048-0.00040759i,-0.0009132-0.00072125i,-0.0010028-0.00037069i
0.0010185+0.00032713i,0.0014031+0.00034013i,0.002616+0.0016028i,0.0026292+0.0019098i,0.0021033+0.0021019i,0.001508+0.0014195i,0.00092324-0.00021045i,0.00026786-0.0013982i,0.00027435-0.0013075i,0.00052525-0.0007521i,-0.00021047-0.00015783i,-0.00058116+0.0001198i,0.00025944-6.8014e-05i,0.00085171-0.0007203i,0.00021774-0.00080424i,-0.00020572+1.1277e-05i,-0.00028431+0.00038764i,-0.00019812+4.8203e-05i,0.00018783-0.00013813i,-0.00013221+0.00017519i,-0.00050733-0.00043727i,-0.0002493-0.00084815i,-0.00012698+9.3368e-05i
-0.00054325-0.00041332i,-0.0014242-0.0010483i,-0.0017767-0.0013147i,-0.00031399-0.0012049i,0.0010829-0.00093311i,0.0014061-0.00033696i,0.00022969+0.00027134i,-0.00083461+0.00011332i,-0.00042826-0.0011163i,-0.00012649-0.00072686i,0.00023354+0.00017824i,0.00065273+0.00027191i,0.0012248+0.00016909i,0.0010786-0.00067124i,0.00013532-0.00093855i,0.00016846-0.00034836i,0.00066624+1.7173e-05i,0.0005607+8.3611e-05i,-5.3262e-05+8.3641e-05i,-0.00028738-9.3738e-05i,-0.00039332-6.4623e-05i,-0.0010083+0.00019815i,-0.0016632-0.00032339i
0.0012681-0.0017575i,0.0014755-0.00079132i,0.00047809-0.00084263i,-0.000894-0.00019521i,-0.001774-0.00011944i,-0.0017613-0.0012763i,-0.00030787-0.0018217i,0.00073666-0.0010487i,0.00010748-0.00052132i,-0.0010761-0.00016344i,-9.4097e-05+0.000501i,0.0010242+3.45e-05i,0.00066308-0.00058826i,5.2178e-05-0.0009142i,-0.00093975-0.0013085i,-0.0014929-0.00093729i,-0.00064531+3.1991e-05i,-0.00033571+0.00045001i,-0.0011191-2.3918e-05i,-0.0010595-0.00054623i,-0.00071889-0.00058051i,-0.00072533+1.5554e-06i,-0.00077279+0.00031979i
0.0012091+0.0013988i,0.0010148+0.0018985i,0.0014959+0.00079437i,0.0018962-0.0003655i,0.00064533-0.00050883i,0.00038195-0.00082529i,0.0010499-0.0013464i,0.0014811-0.0014851i,0.0007986-0.00079885i,0.0001554-0.00058022i,0.0010956-0.00051144i,0.0013843-4.1638e-05i,8.9334e-05+3.2025e-05i,-0.00034659-0.00038897i,-0.00043374-0.00024391i,-0.00074642+7.7669e-05i,-0.00040929+0.00056723i,0.00033307+0.0011545i,0.0010919+0.0008139i,0.00085248+0.0003267i,-0.00026208+0.00037515i,-0.00056321+0.00094965i,-6.1096e-05+0.00072096i
-0.00020748+0.00085551i,-0.00049048+0.00093082i,-0.00072532+0.0016076i,0.00054033+0.0012756i,0.001534+0.00080959i,0.0014817+0.00043117i,0.0015219-0.0012318i,0.0014999-0.002152i,0.00080699-0.0013528i,0.00048453-0.00023792i,0.0015331+0.00060388i,0.0023189+0.00020145i,0.0016665-0.00042695i,0.00096193-0.00025407i,0.00076717+5.4754e-06i,0.00028689+5.7573e-05i,-0.00043063+0.00015623i,-0.00017876+0.00034785i,0.00029048+1.2631e-05i,0.00015407-0.00023181i,-0.00029782-0.00035076i,5.2973e-05-0.00051272i,0.00038993-0.00049933i
0.00046263-0.0018604i,0.00091777-0.0011673i,0.0018674+0.00070805i,0.0022972+0.0002031i,0.0022337-0.0012263i,0.0013972-0.0018149i,0.00011453-0.0027894i,-9.0499e-05-0.002607i,-0.00026751-0.0016574i,0.00027584-0.0010033i,0.00089156-0.00015623i,0.00040656-1.1078e-05i,0.00063442-0.00061837i,0.00063353-0.0010165i,0.00032469-0.00055599i,-0.00017418+0.00027664i,-0.00026097+8.3457e-05i,0.00058775-0.00010353i,0.00050422+0.00011295i,0.00033392-0.00010068i,0.0007011-8.9648e-05i,0.00059135+0.00016666i,0.000329+0.00022909i
0.001439+0.0035822i,0.0014993+0.0027706i,0.0020562+0.0031862i,0.0015475+0.0027615i,0.0015377+0.0011577i,0.0012628-0.00022204i,0.0003768-0.00096934i,8.2604e-05-0.0014096i,3.8835e-05-0.00064504i,0.0003386-0.00025955i,0.0008864-0.0008802i,0.0012313-0.001287i,0.0010344-0.00089643i,5.0804e-05-0.00074078i,-0.00021947-0.00049506i,-0.00053697-0.00061528i,-0.00081755-0.00048264i,-0.00062013+0.00025837i,3.9698e-05-2.9927e-05i,0.00062815-9.6336e-05i,0.00032773-0.00019103i,3.7652e-05-0.0010311i,-0.00066919-0.00056264i
-7.9303e-05+0.00030222i,-4.059e-05+0.00021888i,-0.00040563+0.00055993i,0.00015468+8.4219e-05i,0.00087431-0.00065178i,0.00068767-0.0015277i,3.46e-05-0.0016334i,0.00022034-0.0013684i,0.00016651-0.0017869i,7.6552e-05-0.0015252i,0.00074879-0.00037987i,0.0011632+0.00035518i,0.00060489+0.00035974i,-0.00042053+0.00039716i,-8.7877e-05+0.00048849i,0.00050111+0.00033478i,-0.00021785-1.1919e-05i,-0.00015624+0.00031433i,-0.00013573+0.00065363i,2.9953e-05+0.0001336i,0.00022192-0.0001544i,-9.3564e-05-0.00031466i,-0.00051801-0.00015509i
0.00052744+0.00078311i,0.0012606+0.00054664i,0.0004903-3.1277e-05i,0.00032795-0.00080818i,0.0019691-0.0017582i,0.0022125-0.0017951i,0.00095124-0.0011323i,0.0001594-0.00089607i,0.00049852-0.00064923i,0.00032142+0.00026452i,0.00011731+0.00097422i,0.0011428+0.0011415i,0.0014467+0.00074178i,0.001367+0.00027695i,0.0015459+0.0003866i,0.0013209+0.00035419i,0.00035787+5.4347e-05i,0.00021506+0.0005936i,0.00029807+0.00059455i,0.00039145+0.00065354i,0.0011175+0.00055582i,0.00070102+0.00029636i,-0.00064075+0.00022086i
0.00051805+0.0025996i,0.0004627+0.0023362i,0.0018646+0.001711i,0.0027281+0.00031826i,0.0027005-0.00073922i,0.0016646-0.0010141i,0.00036317-0.0010013i,-0.00053256-0.0012426i,-0.0014924-0.0019408i,-0.00066917-0.001198i,0.00088183-0.00034031i,0.0014203-0.00030945i,0.0016172-5.5587e-05i,0.0008594-0.00011713i,6.4532e-06-0.00042855i,0.00041143-0.00023023i,0.00050921+0.00072543i,-0.00058688+0.0011356i,-0.001311+0.00061434i,-0.00048263-0.00029396i,0.00041983-0.00062499i,0.00051762-0.00049196i,6.8173e-05+0.00024507i
0.00045154-0.0011994i,2.3839e-05-0.00064317i,0.00061991-0.00057539i,0.00071102-0.00019303i,-0.00046824-0.00033424i,-0.00032996-0.0014552i,-0.00027609-0.0013126i,-0.00086937-0.0011746i,-0.00032168-0.0016077i,9.8749e-05-0.0010455i,0.00060645+3.6104e-05i,0.0012285-0.00023119i,0.00051214-0.00051743i,-6.3083e-05-0.00013331i,-7.5811e-05+0.00027352i,0.00012864-0.00026782i,-1.4858e-05-0.00024553i,-0.00071865+0.00010113i,-0.00054195+8.3217e-05i,8.1937e-05+0.0012776i,0.00085473+0.0011832i,0.00071658-0.00018974i,-0.00033399-0.0009078i
0.00092101+0.00044025i,0.00075839+0.00059033i,0.0025261+0.00072834i,0.0031636+0.00099059i,0.0026932-4.6675e-05i,0.0029476-0.00048028i,0.0022743-0.00095941i,0.0012403-0.0015089i,0.0005095-0.0011222i,0.00036191-0.00060245i,0.00053403-0.00021871i,0.0011424+9.6722e-05i,0.0010481-0.000115i,-0.00041875-0.00079147i,-0.00064874-0.0011813i,-0.00018018-0.00071785i,-0.00022997-0.00035579i,0.00039869+4.5007e-05i,0.00071076-0.00020305i,0.00043783-0.00014619i,0.00061935-1.879e-06i,0.00029231-9.2406e-06i,-0.00021362-0.00019276i
-0.00058703-0.0013316i,-0.0015269-0.0013606i,-0.0023649-0.00033512i,-0.0019071+0.0010666i,-0.0013408+0.0013639i,-1.0428e-05+0.00015818i,0.0004556-0.00076203i,-0.00036736-0.0007936i,-0.00086288-0.0010211i,-0.00056379-0.00041946i,-0.0007585+0.00015052i,-0.00052823-0.00062324i,0.00043446-0.0011491i,0.00065653-0.00040969i,0.00072204+0.0005331i,0.00052526+0.00063478i,-0.00010074+0.00030079i,-0.00056594+0.00022496i,0.00025847+0.00063667i,0.00047286+0.00014467i,0.00032062-0.00056674i,0.00024736-0.00033098i,7.4715e-05+0.00034717i
-0.00090897+6.7423e-05i,-0.0010154-7.598e-06i,-0.00064603-4.0725e-05i,0.00055431-0.00059296i,0.0014036-0.00050497i,0.0018625-5.3028e-05i,0.0015844-0.00066528i,0.00062862-0.00083724i,0.00015373-0.00016771i,0.00070806+0.00030599i,0.00075199+0.00044713i,0.0006413+0.00057228i,0.00078497+0.0002321i,0.00044863-0.00046136i,-6.4502e-05-0.00057107i,-0.00011851+5.8785e-06i,0.00044321+0.00037153i,0.00063935+0.00013539i,0.00036196+0.00012492i,-4.9701e-05+3.5061e-05i,-4.6789e-05-0.00063626i,0.00023961-0.00054827i,-0.00039595-9.8058e-05i
