-0.000584+8.7232e-05i,-8.2641e-05-0.0018019i,-0.0019849-0.0017409i,-0.0025928-0.0011401i,-0.0022166-0.00024341i,-0.0021293+0.00083918i,-0.0017477+0.00090522i,-0.0011794+0.00071524i,-0.00024777+0.00069443i,0.00091679+0.00057119i,0.0010127-0.00024687i,0.00038112-0.00074198i,0.00010739-0.0012001i,-0.00014437-0.0014121i,-0.00021352-0.0010322i,-0.00013844-0.00037102i,-0.00058886+0.00022962i,-0.00017712-0.00019797i,0.00045825-0.00088534i,0.00027894-0.0014137i,8.4026e-05-0.00076495i,-0.00038561+0.00026871i,2.7419e-05+0.0003916i
0.0029823+0.00062425i,0.0028047-0.00073972i,0.0018612-0.0019554i,0.00066986-0.0028474i,-0.00019243-0.0030281i,-0.0011319-0.0022833i,-0.0021831-0.0010285i,-0.0021248+0.00010599i,-0.00015434+3.159e-06i,0.00021119-0.00067623i,-0.0004091-0.00067252i,-0.00080675-3.1776e-05i,-0.0010666+0.00038687i,-0.001452+0.00017207i,-0.0017473-0.0002749i,-0.0013711-0.00052446i,-0.0011839-0.0004387i,-0.00099247+0.00023427i,-0.001134+0.00019432i,-0.0010399-8.2919e-05i,-0.00054344+0.00012082i,-0.00044696+3.1029e-05i,-0.00042053+0.00045801i
0.0038152+0.00058889i,0.0020925-0.00054206i,0.0016453-0.0012997i,0.00072996-0.001524i,-0.00088799-0.0013839i,-0.0014891-0.00070316i,-0.00094273-0.0010057i,-0.00087091-0.0012367i,-0.00061775-0.00086687i,0.00022183-0.00065002i,3.312e-05-0.0004989i,0.00025607-0.00075234i,0.00046986-0.00037312i,-0.00056948-0.00023636i,-0.0015009-0.00039966i,-0.0018316+8.8991e-05i,-0.0017709+0.00050275i,-0.0010831+0.00076654i,-8.8472e-05+0.0013642i,0.00010614+0.0011076i,-7.3413e-05+0.00022996i,0.00050832+0.00030619i,0.0011243+0.0012329i
0.0014137-0.0035965i,-0.00043117-0.0047701i,-0.0019475-0.0029063i,-0.0029246-0.0012009i,-0.0018534-0.00075654i,-0.0011282-0.0010212i,-0.001726-0.0015866i,-0.0013259-0.0014227i,-0.00036285-0.00068848i,0.00013863-0.00063378i,0.00038338-0.00070015i,0.00049339-0.0004368i,0.0001961-0.0001612i,-0.00086073+0.00082483i,-0.0014284+0.00093193i,-0.0011284+0.00042648i,7.7762e-06-4.9092e-05i,0.0012136-0.0002029i,0.00084159+0.00040607i,-0.00019145+0.00068168i,0.00019234+0.00062299i,0.00099056+0.0005657i,0.00073866+0.00032096i
0.0030958-0.0009842i,0.0013664-0.0025625i,-7.4094e-06-0.0047804i,-0.0012349-0.0036408i,-0.001349-0.0012673i,-0.0011135+1.7908e-05i,-0.001157+0.00049207i,-0.0015981+0.00042136i,-0.0016639+0.00039697i,-0.0012637+0.00054018i,-0.00030352+0.00035302i,0.00012181+0.00042027i,0.00019951+0.00042661i,7.6118e-05+0.0003505i,-0.00078944-8.7471e-05i,-6.0318e-05-0.00083569i,0.00072868-0.00090923i,0.00050884-0.00041968i,-5.774e-05+0.0005795i,-5.8646e-05+0.0011113i,0.00016664+0.00022505i,0.00030537-0.00082883i,0.0010754-0.00023863i
-0.00067081-0.00025063i,-0.00060699-0.00014717i,-0.00085831+0.00072476i,-0.00091218+0.0011578i,-0.00032204+0.00099573i,8.1621e-05+0.00013726i,-0.00056095-0.0003047i,-0.00070043-5.4267e-05i,-4.3829e-05+0.00058719i,0.00022497+0.001339i,0.00025503+0.0010846i,0.00040735+0.00035211i,0.0008163-2.2148e-05i,0.00060648-0.00093109i,-0.00026227-0.0012136i,-0.00068853-1.3126e-05i,-0.00026461+0.0005277i,-0.00026625-1.9775e-05i,-0.00048531-0.00019828i,8.7669e-06+0.00032074i,-0.00021009+0.0007088i,-0.00058474+0.00046817i,-9.6063e-05+0.0001906i
0.00079686-0.00138i,0.001148-0.0036266i,0.0017978-0.0028386i,0.00096302-0.0015173i,-0.00011261-0.0016172i,-0.0004271-0.0014024i,-0.00095686-0.00035924i,-0.0012945+0.00053825i,-0.00051556+0.00035099i,0.00030935+0.00013261i,0.00047889+0.00049547i,4.8906e-05+0.00060451i,-0.00051331+0.0002248i,-0.00083254-0.00058595i,-0.0011027-0.0013508i,-0.00092353-0.00063554i,-0.00090842-0.00032173i,-0.00074509-0.00095128i,-0.00012247-0.00052126i,-0.00034103-0.00057436i,-0.00071565-0.00055002i,-0.00029455-0.00023624i,3.8611e-05-0.0008576i
0.001152-0.0021444i,0.00086348-0.0033023i,0.00041367-0.00264i,-0.00021017-0.00083532i,3.5897e-05-0.00091568i,-8.5494e-05-0.0013156i,-0.00056197-0.0011038i,-0.00041267-0.0001741i,-0.00060438+0.00063895i,-0.00064939+0.00055449i,-0.00073668-0.00021679i,-0.00087807-0.0012047i,-0.00064455-0.00069196i,0.00018479+0.00011405i,0.00031419-3.4874e-05i,6.5951e-05-0.00012318i,-0.00023175-0.00044594i,6.8926e-05-0.0013364i,-6.6266e-05-0.0010506i,-0.00078111+4.6844e-05i,-0.00040506+0.00054809i,-0.00010244+0.00074464i,0.00065938+0.00022021i
0.00082732-0.0014917i,0.0010746-0.0015807i,-0.00035659-0.0010656i,-0.00094321-0.00085543i,-0.00069669-0.00023935i,-0.0010433-3.8987e-05i,-0.0012631-0.00038409i,-0.00093666-0.00074619i,-0.00070001+5.9462e-05i,-0.00038397+0.00011087i,6.2472e-05-0.00077905i,0.00071255-0.00048855i,0.0014404+1.5115e-05i,0.00054213-0.00015454i,-0.00086606+0.00016575i,-0.00074914+0.0006473i,1.7379e-05+0.00076548i,0.00018816+0.00088128i,-0.00018158+0.00089469i,0.00061932+0.00071832i,0.0014684+0.000765i,0.00029467+0.00052327i,-0.00095938+0.00060904i
-0.001166-0.0010534i,-0.0018588-0.0026551i,-0.00081947-0.0028719i,-0.00081956-0.0013637i,-0.0011405-0.0010466i,-0.00091597-0.0019136i,-0.0011252-0.0022571i,-0.0012588-0.0014167i,-0.00079966+3.7137e-06i,-0.00016897+0.00031605i,0.00042177+4.03e-05i,0.00050315+0.00021915i,0.00034361-0.00013406i,2.1626e-06-0.0011192i,-0.00043349-0.0015483i,-1.7821e-05-0.0011702i,-9.2514e-05-0.0010872i,0.00011014-0.00064281i,0.00063416+0.00015063i,0.0001825+0.00018472i,-0.00027002+0.00064429i,-0.00048874+0.0011129i,-0.0003921+0.0011799i
0.0009133-0.0017106i,-0.00039509-0.0014228i,-0.0001443-0.00063031i,0.00073003-0.00010043i,0.0014226+0.00042152i,0.0009207-0.00014611i,-0.00062627-0.001157i,-0.0010852-0.0010027i,-0.00075767-0.00030307i,-0.0008648+0.00011258i,-0.00020541+0.00057793i,0.00071049+0.001432i,0.00087922+0.00079191i,0.00071867-0.00066781i,0.00040559-0.0013221i,0.000181-0.00019468i,-0.00048154+0.00074087i,-0.0011681+0.00031994i,-0.00084265-0.00017271i,0.0001445-0.00013759i,0.00053992+0.00021622i,0.00048272+0.00064663i,0.00054799+0.00045687i
0.0010528-0.00032283i,-0.00031882-0.00036559i,-0.00068706-0.0016738i,-0.00099772-0.0020938i,-0.0010602-0.0012923i,-7.5859e-05-0.00070789i,-5.3518e-05-5.8878e-05i,-7.0887e-05-7.9764e-05i,-0.00039539+4.4751e-05i,-0.00018586+0.00026799i,0.00075934-0.00015896i,0.00045857-0.00023905i,2.7205e-06-1.0616e-06i,-7.8679e-05+0.00034834i,-0.00010203+0.00081531i,-0.0003972+0.00066165i,-0.00024077+0.0006008i,0.00028519+0.00033707i,1.6629e-05-0.00031845i,-8.4826e-05-0.00051113i,0.00022373+0.00022273i,-2.0847e-05+0.00096582i,-7.0966e-05+0.0011769i
0.0019164-0.0005931i,0.00048334-0.0017623i,-0.00021409-0.0013331i,-0.0012392-0.00088483i,-0.0017283-0.0012003i,-0.0018092-0.00098489i,-0.0026782-0.00038305i,-0.0024762-0.00024644i,-0.00062304-0.00018961i,-0.0001889-0.00011003i,-0.00016648-0.00054873i,-1.0756e-06-0.00064582i,-0.00047052-0.00042804i,-0.001346-0.00024275i,-0.0018028+3.5478e-05i,-0.0009035+3.9582e-05i,9.3207e-05-0.0003006i,6.3485e-05-3.1706e-05i,-0.00019396+0.00018473i,-0.00051644-0.00045126i,-0.00052098-0.00064628i,0.00020031+0.00015986i,0.00063872+0.00031838i
-0.0002643-0.0019988i,-0.00066518-0.0013852i,-0.00080063-0.00096076i,-0.00042767-0.00087552i,-0.00015966-0.0010216i,7.4484e-05-0.0013901i,-0.00081699-0.0010608i,-0.0012374-0.00092285i,-0.0001391-0.0003966i,0.00017053+0.00045517i,-0.0004424-0.00011225i,-0.00042742-7.961e-05i,-3.8149e-05+0.0010164i,0.00035475+0.00072481i,2.0207e-05+8.1142e-05i,-0.00059615+6.1254e-05i,-0.00018381+0.00037812i,-0.00017335+0.00020977i,-0.00039251-0.00017426i,-0.00017015-0.0004215i,-0.00058801-9.3762e-05i,-0.0010801+0.00080204i,-0.00082017+0.0014759i
0.0023056-0.00051458i,0.0012003-0.0031138i,0.00018928-0.0040133i,-0.0010997-0.0029148i,-0.0016933-0.0021074i,-0.0010274-0.001564i,-0.0010902-0.00091059i,-0.00053701-0.00012354i,-0.00011419+0.00015972i,-0.00041802-0.00030798i,0.00020511-0.00012157i,0.00093287+0.00011332i,0.00050986+0.00010108i,-0.00031643+0.0009263i,-0.00033853+0.001009i,-0.00047786+7.0412e-05i,-0.00019913-0.00012228i,0.00046795+0.00014417i,0.00054414+0.00025058i,-0.00046502-0.00010133i,-0.00076085-0.00039881i,-0.00017608+0.00054183i,0.00013121+0.0010987i
0.0026973+0.0005416i,0.0027225-0.0013575i,0.0015218-0.0023308i,-0.00074601-0.0013451i,-0.0019797-0.00059907i,-0.0011687-0.00062009i,-0.00047247-0.00051478i,-0.00063331+8.5065e-05i,-0.0010111+0.00018022i,-0.0011312+8.1624e-05i,-0.00013375+0.00035406i,0.00060598+0.00047627i,5.4332e-05+0.00025338i,-0.00031268+0.00025485i,-6.5964e-05-0.0002365i,0.00033938-0.00056776i,0.00032231-0.00064634i,-0.00020495-6.5665e-05i,-0.0004032+0.0009591i,0.00017734+0.00049621i,0.00012956-3.8256e-05i,-0.00080593+6.6685e-05i,-0.0013399+0.00057336i
-0.00050383+0.0027421i,7.7608e-05+0.0019418i,0.0012745+0.0010454i,0.0023174-0.00034215i,0.0021903-0.0012524i,0.0010538-0.0022391i,-0.0001386-0.002726i,-0.00094504-0.001404i,-0.00069915-1.8831e-05i,4.1022e-05+0.0007126i,0.00042921+0.001052i,0.00017105+0.00020786i,-0.00014687-0.00097439i,-0.00051631-0.0008105i,-0.00027618-0.00048175i,0.00054852-0.00015414i,0.00072612-0.00025531i,0.00010764-0.00070135i,-0.00077912-0.00039808i,-0.00095318-0.00016659i,-0.00030706+4.2113e-05i,0.00038147+0.00018989i,0.00068049+0.00027824i
0.0015718+0.00037358i,0.0013986-0.00021838i,0.00060503-0.0012695i,0.00010071-0.0018569i,-0.00019847-0.0011846i,-0.0012888-0.00024383i,-0.0019205-0.00029961i,-0.00098328-9.7877e-05i,-0.00011439+2.5607e-05i,-0.00013626-0.00032745i,-0.00052887-0.00041798i,-0.0012946-0.0004185i,-0.00080476-0.00041256i,-0.00043665-0.00038248i,-0.0010746+0.00024486i,-0.00060303+0.00044789i,0.00025219+0.00045668i,0.00062616+0.00091381i,0.00077674+0.00086676i,5.5558e-05-9.0422e-05i,-0.00099166-0.00020939i,-0.00066605+0.00026411i,-0.00055461+0.00019631i
0.00041145+0.0010407i,-0.00069653-0.00067011i,-0.00090561-0.0013993i,0.00073094-0.0010649i,0.0014841-0.00080276i,0.0009301-0.0009018i,-0.00029476-0.00038677i,-0.00071919+0.00023437i,-0.00085593+0.0011775i,-0.0012522+0.00095348i,-0.00094311+0.00026372i,-0.00037095+5.598e-05i,3.6179e-05-0.00071484i,0.0003142-0.0009699i,2.4036e-05-0.0011397i,-0.00014694-0.00073289i,0.0003084-0.00033935i,0.00013292-0.00031723i,0.00037328+0.0006863i,5.4571e-05+0.0012704i,-0.00083979+0.00055766i,-0.00069511+0.0007866i,-5.6194e-05+0.0016094i
0.0030418-0.00037914i,0.0023373-0.0014661i,0.0013886-0.0023979i,0.0011366-0.0010918i,0.00068886-0.00059528i,-0.00056328-0.0011553i,-0.0013918-0.00088879i,-0.0015407+8.5987e-05i,-0.0010082+0.00058609i,-0.00024917+0.00075372i,8.8661e-05+0.00061368i,0.00015639+0.0003219i,-6.1266e-05+9.7872e-05i,-0.00054083+5.9737e-05i,-0.00057778+0.00026156i,-0.00062135-1.1623e-05i,-0.00042597+0.00015564i,-0.00044742+0.00042956i,-8.4735e-06+0.00016548i,0.00056246-1.5966e-05i,0.00028985-0.0002444i,-0.00010241-0.00083924i,0.00013851-0.00048863i
0.00053992+0.0014175i,0.00077219+0.0010187i,0.0010078+9.6541e-06i,0.00056997-0.001329i,-0.00036604-0.0020619i,-0.0012467-0.0021572i,-0.0013362-0.001304i,-0.0015096-0.00068743i,-0.0014807-0.00017399i,-0.0007259+0.00038738i,6.9779e-05+0.00024079i,0.00075326+0.00032321i,0.00085523-0.00048435i,0.00048073-0.0016016i,0.00022256-0.001361i,0.0010262-0.00086708i,0.0013256-0.00075007i,-7.3891e-05-0.00042178i,-0.00099431+0.0004713i,-0.0011523+0.0012359i,-0.0005041+0.00018794i,0.00082218-0.0010595i,0.001648-0.00038465i
0.0019425+0.00089136i,0.0018998-0.0011347i,0.002198+4.5078e-05i,0.0017488-7.5451e-05i,0.00085629-0.0015475i,-0.0012657-0.0030723i,-0.0023615-0.0032016i,-0.0023071-0.0016401i,-0.0010637-0.00070812i,0.00058472-0.00052206i,0.0010687-0.00022188i,0.0006809+8.0077e-05i,-1.022e-05+5.5857e-05i,-0.00078631+0.00037151i,-0.0013142+0.0003944i,-0.0010558-3.8035e-05i,-0.00011844+0.00052343i,0.00026814+0.0016912i,-0.0001121+0.0013387i,-0.0003823-0.00035959i,9.7584e-05-0.0005976i,2.3064e-06+0.00014522i,-3.4069e-05+0.00036721i
0.0015841-0.00099591i,0.00054904-0.0017638i,0.00027733-0.0018021i,-0.00024659-0.00046191i,-0.0005823+9.684e-05i,-0.00017872-0.00054144i,-0.00046791-0.00044355i,-0.0010168+2.8641e-05i,-0.00029206+0.00033131i,-0.0005644+0.00050223i,-0.0011602+0.00067342i,-0.00087882+0.0015365i,-0.0011119+0.0017051i,-0.0012622+0.00081521i,-0.0012457+0.0002026i,-0.0010838+0.00044553i,-0.0011844+9.8701e-05i,-0.001282-0.00016871i,-0.00094627+0.00035266i,-0.0010805+0.00072389i,-0.0006217+0.00068195i,0.00053354+9.4848e-05i,0.00047987-0.00015879i
-0.0013212+0.00033281i,-0.0005411-0.00031503i,-0.00071115+0.00027723i,-0.0017443+0.00055904i,-0.0012999+0.00068117i,-0.0008347+0.00081118i,-0.00185-0.00015277i,-0.0023228-0.0011196i,-0.0017422-0.00074075i,-0.0011886+0.00019358i,-0.0010938+0.00054571i,-0.00054494-0.00029957i,6.9658e-05-0.00096412i,0.00016849-0.00067864i,-0.0002911-0.0002255i,-0.00016221-0.00029184i,-9.6546e-05-0.00020554i,-6.4e-05-0.00029238i,0.00056186-0.00035826i,0.00046204-0.0004868i,-0.00016412-0.0003038i,-0.00068968+0.00034993i,-0.00092109+0.0008015i
-8.8979e-05-2.166e-05i,-0.00077212-8.372e-05i,-0.0016355+0.0010636i,-0.00157+0.0015973i,-0.00054997+0.00091071i,-0.00055518-0.00045766i,-0.0013302-0.00066153i,-0.0018979-4.9844e-05i,-0.0016712-0.00031435i,-0.0012118+0.00024285i,-0.00021062+0.00052491i,0.0001683-0.00015505i,0.00033085-0.00074632i,0.00076458-0.001121i,0.00019595-0.0012168i,-0.00023693-0.0007564i,0.00034422-0.00042246i,0.00062487-8.6902e-05i,0.00034274-0.00019201i,0.00026418-0.0003624i,-9.828e-05-5.3777e-05i,0.00020984+0.00053697i,0.00061025+0.0008647i
0.00025505-0.0027549i,-0.00051401-0.0039145i,-0.0011249-0.0040229i,-0.0014077-0.0026152i,-0.0014377-0.0013539i,-0.001317-0.0010474i,-0.0010851-0.0012217i,-0.0013735-0.00096288i,-0.0015236-0.00051342i,-0.0010117-0.00098759i,-0.00012661-0.0013488i,0.00077879-0.0003777i,0.00097507+4.0641e-06i,0.00018308-0.0002382i,-0.00021443-0.00033241i,0.00017051+5.8414e-06i,-0.00034048+0.00043281i,-0.00083428+0.00025477i,-0.00040127+0.00019624i,-0.00080552+0.00021378i,-0.00067641+0.00013643i,-0.00053652+0.00038049i,-0.00048762+0.00031484i
-0.0010283-0.0023434i,-0.00090935-0.0040385i,-0.0016005-0.003554i,-0.001935-0.0011079i,-0.0012339+0.0002799i,-0.00032458-0.00033366i,-0.0011329-0.00066164i,-0.0015148-0.00088753i,-0.00048907-0.00098652i,-0.00022026-1.4534e-05i,-6.3798e-05+0.0008141i,0.00050481+0.001569i,-8.0003e-05+0.0022152i,-0.00066894+0.0015972i,-0.00012652+0.00062116i,0.00047876+0.00024735i,0.00012052+0.00024048i,0.00015872+0.00028306i,0.00041457+0.00056124i,-7.7162e-05+0.00093254i,-0.00067126+0.0011762i,-0.00081138+0.00079921i,-0.0011218+0.00041555i
0.0028814-0.00075696i,0.0037139-0.0027633i,0.0030378-0.0031906i,0.0018729-0.0024308i,-5.1379e-05-0.00084966i,-0.0021263-0.00053237i,-0.0022728-0.00051605i,-0.0012823+3.8985e-05i,0.00019922+0.00029135i,0.00046294+0.00018356i,-5.6036e-05+0.00058771i,-0.0006087+0.0015041i,-0.00048307+0.0011645i,-0.00042783-9.2651e-07i,-0.00088374+0.00026545i,-0.00084038+0.0009187i,-0.00022972+0.00042122i,-0.00054948-0.00046894i,-0.0011262-0.00087741i,-0.00060691+0.00029128i,0.00039803+0.00083987i,0.0014968-0.00015177i,0.0010409-1.2851e-05i
0.0009163-0.00077716i,0.00078084-0.0010531i,-0.00054764-0.0016018i,-0.0016311-0.0020888i,-0.0010593-0.0013577i,-0.0016668-0.00065583i,-0.0021417-0.00086143i,-0.00121-0.0007996i,-0.00020527+0.00021795i,-0.00031061+0.00071883i,-0.00067198-7.9149e-05i,-0.00059019-0.00035934i,-0.00036506-0.00085514i,-0.00073253-0.0011961i,-0.0004893-0.0014408i,-1.537e-05-0.00089592i,-0.00018585-0.00026405i,-0.00041958-2.7723e-05i,-0.00032219-0.00032284i,0.00015411-0.00090546i,0.00077657-0.00060766i,0.000568+0.00025149i,0.00039883+0.00060719i
0.0011917-0.00077831i,-0.00039173-0.00065275i,-0.0027326+0.00028266i,-0.0020505+0.00032244i,-0.00085012+0.0002489i,-0.0010334+0.00025227i,-0.0016699+0.00035928i,-0.0021777+0.00047811i,-0.0019651+0.00053536i,-0.0014231+0.00037314i,-0.00081444+8.7178e-05i,0.00022683-0.00046591i,0.00063524-0.0010042i,0.00049435-0.00087921i,0.00027089-0.000413i,-0.00023627+0.00021041i,-0.00034265-0.00030414i,8.4062e-05-0.0006897i,0.00011708+0.00026149i,3.9356e-05+0.00026551i,8.4426e-05+0.00024657i,-0.00018103-8.0511e-05i,-0.00036464-0.00026544i
0.0027093+0.00012541i,0.0022557-0.00014986i,0.0016574-0.0011876i,0.00054879-0.0020329i,-0.00061971-0.0016313i,-0.0010041-0.0012458i,-0.0013372-0.00089445i,-0.00099844-0.00023201i,0.00015825-0.00075279i,0.00091902-0.001526i,0.00067196-0.0010716i,0.00068064-0.00037891i,0.00040227+0.00029168i,-0.0012612+0.00023654i,-0.0019027-0.00043471i,-0.001058-0.0011172i,-0.00052555-0.0013642i,-8.591e-05-0.00033434i,0.00030677-3.3175e-05i,0.00074541-0.00053935i,0.00084472-7.0648e-05i,-0.00015506-3.0981e-06i,-0.0011477-0.00067905i
0.00011413-0.00083465i,-0.00065146-0.0024885i,-0.0014542-0.0026985i,-0.000765-0.001644i,0.00012322-0.0015509i,0.0001345-0.0012902i,-0.00055969-0.0010931i,-0.0012529-0.00055217i,-0.0011559+0.00077451i,-0.00027403+0.00089517i,0.00035126+0.0010363i,0.0007323+0.0013203i,0.00038983+0.0007315i,-0.0001984+9.6797e-05i,-0.00049411-0.00080244i,-0.000506-0.00076631i,-0.00072402+0.00024406i,-0.00059458+0.00025353i,7.3002e-05-0.00024174i,0.00057206-0.0012715i,0.00028554-0.0014988i,-0.00045414-0.00051356i,-0.00073899-0.00021161i
0.0016551-0.00013304i,0.002402-0.0015172i,0.0023406-0.0016244i,0.00041957-0.0022716i,-0.00020085-0.0017684i,7.5076e-05-0.0015827i,-0.00064555-0.0018753i,-0.0015794-0.00083531i,-0.0015271+0.00024538i,-0.0012689+0.00080081i,-0.0014765+0.0012264i,-0.0016424+0.00080076i,-0.0011946+0.00032821i,-0.0012414+0.00079224i,-0.0014118+0.00085345i,-0.00094459+0.00061344i,-0.00052813+0.00093322i,-0.00028467+0.00046301i,-3.3374e-05-0.00032257i,3.6972e-05-0.00030943i,-0.00012213-0.00021524i,6.4643e-05+0.00041959i,-0.00044351+0.0012128i
0.0016661+0.0015238i,0.0016749+0.0007093i,0.0013643+0.00052532i,0.00048497+0.00058124i,-0.0008779+6.377e-05i,-0.0010953-0.00062075i,-0.0007742-0.001212i,-0.0011918-0.00081792i,-0.0015235+0.00044255i,-0.0013101+0.0013078i,-0.0019331+0.0016118i,-0.0020243+0.00050377i,-0.00086185-0.0012401i,-0.00030044-0.00149i,-0.00042821-0.0014614i,0.00015698-0.0011293i,0.00040196-0.00016765i,0.00021056+0.00055733i,-0.00040911+0.00045645i,-0.00069349+0.00029968i,-0.00025417+0.00042823i,-7.6492e-05+0.00095373i,-0.00050453+0.0012853i
-0.00091187+0.0011354i,-0.0019736+0.0010733i,-0.0022883+8.7832e-05i,-0.0012229-0.00094661i,-0.00066687-0.00066525i,-0.00031719-0.00061514i,-0.00095245-0.0009686i,-0.0016928-0.00054267i,-0.001758-0.00034417i,-0.00098282-0.00042779i,-0.00031919-0.00024799i,0.00019362-0.00051495i,-0.00056024-0.001321i,-0.00090079-0.0016228i,-0.00016391-0.0010861i,-0.00058858-4.1729e-07i,-0.0008558+0.00026068i,-0.00026101+0.00046777i,-9.7296e-05+0.00065291i,-2.5205e-05-0.00013861i,-0.00055736+2.6023e-05i,-0.0006427+0.00085035i,-0.00019491+0.00047755i
-0.0013963+0.00060767i,-0.001662-0.0003996i,-0.0021059-0.0008204i,-0.0011239-0.00060136i,0.0003663+0.0001831i,0.00026533-0.00020437i,-0.00080331-0.0009379i,-0.0015747-0.00034553i,-0.00027352+0.0001559i,0.00096898+0.0002551i,0.0016367+0.00028948i,0.002201-0.00058712i,0.0013889-0.0010894i,6.5002e-06-0.0011226i,8.7637e-05-0.0018144i,-0.00031997-0.0014496i,-0.0015042-0.00055652i,-0.001318+0.00022567i,-0.00073998+0.00028607i,-0.00051792-0.00040809i,0.00022437-8.6626e-05i,0.0001637+0.00018312i,8.3004e-05-3.5131e-05i
0.0011754-0.0027863i,0.00099923-0.0044187i,-0.00066353-0.004329i,-0.001704-0.0018237i,-0.0011765+0.00050527i,0.00021392+0.00066402i,5.5123e-05-0.00098207i,-0.00067728-0.0015021i,-0.00054834-0.00070945i,-0.00019609-8.2169e-05i,0.00074269+0.0013524i,0.00094326+0.0022275i,0.001493+0.0014901i,0.0016553+0.00079405i,0.00032874+0.00092675i,-7.0981e-05+0.00066042i,-0.00025184-0.00042052i,0.00030726-0.00057422i,0.0012867+0.00018609i,0.00053021+9.6359e-06i,-0.00010118+6.6338e-05i,-0.00012861+0.00044421i,-0.00029974+0.00070411i
0.001819+0.0023522i,0.0014073+0.0013498i,0.0019536+0.0001909i,0.001232-0.00056161i,-0.00095143-0.0012994i,-0.0012485-0.0016789i,-0.0017575-0.00030514i,-0.0022386+0.001396i,-0.0016095+0.0018588i,-0.00061604+0.0013643i,-0.00029136+0.0010212i,-0.00020423+0.00060021i,-7.8401e-05+0.00043294i,-0.00047759+0.00025593i,-0.00088015+0.00011362i,-0.00076355-0.00049926i,-0.00012375-0.00042648i,1.5951e-05+0.00031665i,-0.00017269+0.00066122i,-0.00028557+0.00085336i,-0.00065582-0.00020486i,-0.00030941-0.0013088i,0.00095109-0.00061849i
7.4941e-05+0.0026926i,0.00054014+0.0022771i,0.00085212+0.0018735i,0.00050682+0.00015946i,0.00029732-0.00017298i,0.00067257-0.00025598i,0.00023458-0.0012412i,-0.00043552-0.0014977i,-0.00016805-0.0011958i,-0.00032759-0.0012149i,-0.0011777-0.001403i,-0.0013949-0.00087463i,-0.0010001-0.0008305i,-0.00033262-0.0008298i,0.0001333-0.00061685i,-0.00031201-0.00048896i,-0.00069056-0.00017369i,-0.00017949+0.00051299i,-0.00045281+0.00083866i,-0.00080163+0.00046819i,-0.0001052+0.00049733i,0.00059886+0.00022617i,0.00082891-0.00014404i
0.00089563-0.002149i,-0.0010239-0.0039629i,-0.0021436-0.0032281i,-0.0018555-0.0015359i,-0.00050298-0.0018662i,9.4134e-05-0.0013984i,-0.0010578-0.00061766i,-0.0015688-0.00041497i,-0.0013951-0.00018339i,-0.00083636-0.00047897i,-0.00012051-0.0012812i,-9.1671e-07-0.002013i,0.00015611-0.0015144i,0.00053323-9.2303e-05i,0.00039269+0.00049467i,2.6913e-05+0.00032606i,-5.4084e-05-0.00013389i,-0.00039927-0.00015681i,-0.00038851-6.1597e-05i,0.00033979-0.00045868i,0.00045165-0.00022692i,0.00070922+0.00011758i,0.00073181-0.0002722i
0.0023655-0.0024445i,0.0026744-0.0029839i,-0.00012742-0.002148i,-0.0017744-0.0014011i,-0.0012116-0.00064476i,-0.0018251-0.00061646i,-0.0024465-0.0011045i,-0.0016364-0.0012795i,-0.00069314-0.0014782i,-8.8954e-05-0.0017527i,0.00086202-0.0017266i,0.001602-0.00091102i,0.0015369+0.00046362i,0.0010317+0.00048173i,0.00023669-0.00014197i,-7.4376e-05-0.00015989i,-0.00062097+0.00044197i,-0.00052564+0.00049025i,-8.4017e-06+0.00023949i,-0.00042717-0.00031917i,-0.00065664-0.00049175i,-2.9546e-05-8.1868e-05i,0.00012871+0.00019423i
-0.00028522-0.00042495i,-0.00034781-0.0008099i,-0.00080925-0.0013638i,-0.00064698-0.0016791i,-0.00037887-0.0016328i,5.358e-06-0.0012547i,-0.00050255-0.00091017i,-0.0015658-0.00037236i,-0.0010938+0.00026172i,0.00020365+0.00061794i,0.0015187+0.0012246i,0.0019853+0.0016956i,0.0016006+0.0018368i,0.00057216+0.00096434i,-2.3668e-05+4.8826e-05i,-0.0002501-3.0411e-05i,-0.00093361-0.00036852i,-0.00080743+0.00057529i,-0.00013117+0.00086146i,-0.00023966-0.00017841i,-0.00069304-0.00029585i,-0.00090606-0.00066137i,-0.00069249-0.00089055i
-0.00033069-0.0014981i,-0.00059247-0.0035272i,-0.00026642-0.0040937i,-0.00079708-0.0029176i,-0.0010067-0.00083421i,-0.00051907+0.00076685i,-0.00087234+0.00030438i,-0.0014333-0.00017122i,-0.0010908+0.00015207i,-0.0013155+0.0014066i,-0.0020916+0.0027473i,-0.0017581+0.0027295i,-0.00052084+0.0015326i,0.000626+0.00030369i,0.00047751+0.00022708i,-6.8297e-06+0.00022849i,-0.00031438+0.00010428i,-0.00057117-0.00043422i,-2.1669e-05-0.0012704i,0.00042158-0.00091526i,0.0001349+0.00017987i,-0.00038568+0.00055911i,-0.00045139+0.00031244i
