0.00035059-0.0005771i,0.0012341-0.0021122i,0.00062504-0.0043699i,-0.000835-0.0037004i,-0.0022367-0.0017367i,-0.0030589+0.001291i,-0.0016322+0.0024652i,-8.1035e-05+0.0017206i,0.00048413+0.0014362i,0.00056295+0.00088689i,0.00065604+5.4478e-05i,0.00046292-0.00021453i,-0.00054991+8.5383e-05i,-0.000942+5.4227e-05i,-0.00024902-0.00022114i,-0.00022142+0.00039823i,-0.00047033+0.00057708i,-0.00033984-0.00056349i,0.00013851-0.0005048i,-0.00018701+0.00072246i,-0.00063394+0.0009291i,-0.00048462+5.275e-05i,-0.00064084-0.00010307i
0.0017616+0.0010796i,0.0021298+0.0011304i,0.0012475-0.000256i,-0.00015044-0.0013502i,-0.00089555-0.0019431i,-0.001167-0.0015285i,-0.0012626-0.00016489i,-0.00085683+0.00031974i,-0.0003624+0.00092723i,-0.00034498+0.001374i,-0.00039978+5.663e-05i,-1.6235e-05-0.00017319i,0.00045312+0.0010209i,0.00053981+0.00080326i,-0.00017123+1.16e-05i,-0.00075469-0.00047594i,-0.00022946-0.0002741i,0.0002674+0.0006176i,0.0006733+0.00040464i,0.00087161+8.2059e-05i,0.00022034-0.00020446i,-0.00067259-0.00031357i,-0.00066233+1.0257e-05i
-0.0016803+0.00069484i,-0.0010548+0.00039623i,0.0008937+0.0007459i,0.001663+7.472e-06i,0.0012512-0.0014614i,0.00071043-0.00092257i,0.00026336+0.00015023i,0.00018533+0.00023473i,-8.3581e-05-8.1304e-05i,0.00014344-0.00025884i,0.00081957-0.00067139i,0.00020465-4.4192e-05i,-0.00070666+5.5577e-05i,-0.0011656+9.6128e-06i,-0.0010418+0.0003067i,-0.0010039-0.00012784i,-0.00033963-0.0003639i,0.0012166+0.00087804i,0.0014152+0.0010418i,0.0010043+0.00025342i,0.00083473+0.00035319i,-0.00011541+0.00039556i,-0.0010323+0.00041824i
-0.00051184-0.00057871i,-0.00050683-0.00038202i,-0.00018921+0.00046582i,0.00093589+0.00060157i,0.0012689-0.00077306i,0.00023837-0.001475i,-2.7322e-05-0.00057614i,0.00065703+0.00038638i,0.00096394+0.0010885i,0.00051842+0.00052543i,1.2535e-06-0.00083571i,0.00048487-0.001168i,0.00059947-0.00060147i,-0.00013414+6.2942e-05i,-0.00043871+0.00038738i,-0.00028214+0.00050802i,0.00030239+0.00020114i,0.00041903-0.00016759i,0.00011366-0.00020461i,0.00015726-0.00031579i,0.00036323+3.2368e-05i,0.00030125-0.00013343i,0.00026246-0.00053856i
0.00081754+0.0014779i,-0.00018028+0.00085485i,-0.0010308+5.0294e-05i,-0.00025177-0.00042434i,2.8387e-05-0.00029748i,-0.00010079-0.00010969i,0.0002039+0.00085602i,0.00065252+0.0012282i,0.00072302+0.00074589i,7.5482e-05+0.00094534i,0.00021724+0.00056254i,0.00052834-0.00043939i,0.00052576-0.00070189i,0.0001094-0.00051141i,-0.00095296-0.00017712i,-0.00085257-0.00021594i,-0.00039819-9.7778e-05i,-0.0001985+0.00032199i,-0.00047414+0.00021074i,-0.0005548-0.00057139i,-0.00013289-0.00079778i,0.00062856-0.00073749i,-2.7132e-05-0.00070148i
-0.00069338+0.0030851i,0.0011585+0.0024449i,0.0022774+0.00026792i,0.0014975-0.0013256i,0.00057991-0.0020835i,0.00040943-0.0017791i,0.00034413-0.00041608i,-0.00012217+0.0004061i,-0.00011029+0.0002667i,0.00047189+7.7013e-05i,0.00063835+0.00060494i,-1.9777e-05+0.00074902i,-0.0010679+0.00022726i,-0.0013117+0.00018773i,2.9625e-05-4.9688e-05i,0.00087469-0.00072091i,0.00058315-0.0012247i,0.00051427-0.00074484i,0.0011481+0.00052963i,0.0011729+0.00053104i,0.00053134-9.4518e-05i,4.5864e-05-5.2527e-05i,-0.0002953-0.00046719i
-0.0018348-0.00064616i,-0.00085452+0.00040136i,0.00021989+0.0013786i,0.00032198+0.00026122i,0.00047775-0.001202i,0.0011694-0.0013531i,0.0010862-0.00061073i,3.5269e-05-4.2393e-05i,-0.00018367+0.00031949i,0.00037728+0.00041089i,0.0003145+0.00057038i,6.4802e-05+0.00012316i,-0.00013377-0.00087478i,-0.00058789-0.00083169i,-0.00045484-0.00035332i,5.1649e-05-0.00057809i,0.00065143-0.00049958i,0.0008975+0.0003587i,0.00046981+0.00096113i,-0.00016742+0.0014579i,-0.00014961+0.0012964i,0.00057433+0.00019534i,0.0011627-0.00055311i
0.00099528+0.0011563i,0.00059608+0.0013026i,0.00089014+0.0012639i,-2.2956e-05-6.7763e-05i,-0.00074992-0.0015019i,1.1624e-06-0.00084605i,0.00017976+0.00049551i,-5.6377e-05+0.0003174i,-0.0004139-0.00014694i,-0.00048336+0.00015829i,-0.00029753+0.00033585i,4.9249e-05-2.038e-05i,0.00015512-0.00040594i,4.442e-06-0.00057847i,0.00014063-0.00065772i,-4.0225e-05-0.000365i,-0.00023339-0.00016658i,-0.00021753+0.00034515i,-0.00033086+0.00064221i,-0.00054505+0.00077516i,-0.00052179+0.00076383i,-0.00065177+0.00023441i,-0.00055203+0.00073837i
-0.00064076-0.0003479i,0.0010728-0.0012173i,0.0010385-0.0025143i,-0.00025888-0.0031821i,-0.0013375-0.0025143i,-0.001172-0.0013859i,-0.00031839-0.00041868i,9.09e-05+0.00052584i,-4.99e-05+0.0011408i,-0.00031075+0.0007071i,0.00059201-0.00028609i,0.00053729+8.3737e-07i,0.00067194+0.00029172i,0.001256+0.00034101i,0.00049171+0.00071624i,-0.00043887+0.0004927i,-0.00020495+1.0116e-05i,0.00019401-0.00017062i,0.00017744+0.0005076i,-7.2894e-05+0.00050023i,-0.00061209+0.00010806i,-0.0011663+0.00064883i,-0.0016566+0.00066983i
-0.00082383-0.0023932i,-0.0014879-0.0018485i,-0.0014751-0.00097008i,-0.00091219-0.0011981i,-0.0006206-0.0016709i,-0.00039241-0.0017691i,-0.00070775-0.0010244i,-0.00035573-0.00048468i,-0.00054423-0.0008294i,-0.00066742+0.00012598i,-0.00019818+0.0011853i,-0.00021598+0.00089812i,-0.00099196+6.1146e-05i,-0.0013289-0.00071828i,-0.00060535-0.00067951i,-4.1423e-05+8.0046e-05i,-0.00048022+0.00098666i,-0.00045391+0.00071017i,-0.0001902+0.00046087i,-0.00089904+0.00072973i,-0.0008442+0.00081641i,-0.00046784+0.00089571i,-0.00062139+0.00084146i
-0.0016102+0.00050093i,-0.0008216+0.0008432i,-0.00052855+0.0019638i,0.00013231+0.001856i,0.00033494+0.00032075i,0.00071353-0.00012625i,0.00058055+0.00020837i,-0.00037036+0.00026177i,-0.00083693+1.9357e-05i,-0.00082471+0.00012382i,-0.00042492-5.7316e-05i,-0.00014082+2.7826e-05i,-0.0002865+0.00013224i,3.7828e-05-0.00045416i,0.00040067-0.0006152i,-0.00015133-0.00065845i,-0.0001613+0.00010433i,0.00031598+0.00052365i,0.00038875+0.00018782i,0.00034817-8.5294e-05i,6.2206e-05-0.00040591i,-0.00029597-0.0005179i,0.00035529-0.00040824i
-0.00098781+0.0015488i,-4.6382e-05+0.0010973i,0.00067789-0.00012448i,0.00054423-0.0014624i,0.00026652-0.0011606i,0.00065846-9.2355e-05i,0.00045043+0.00041725i,-0.00010315+3.0299e-05i,4.994e-05-0.00030542i,0.00022466+0.00036874i,0.0001569+9.3151e-05i,0.00053349-0.00091372i,0.00088154-0.00070881i,0.00078851-0.00016622i,0.00061007-0.00039374i,0.00029928-0.00038733i,-0.00013274+0.00016683i,-0.00048776-0.00021099i,-0.00048727-0.00071458i,-0.00077472-0.0004081i,-0.00036444+0.0001303i,0.00021631+0.0002926i,-4.8452e-05+0.00010759i
-0.00064946-0.00056777i,-0.00026601-0.0010925i,0.0014056-0.00075354i,0.0018786-0.0010154i,0.00078204-0.0016153i,0.00013902-0.00089046i,-9.8648e-05+9.5597e-05i,1.8036e-05+0.00023703i,0.00088417+0.0003805i,0.00055666-0.00021798i,-0.0002662-0.0010363i,-5.5213e-05-0.0010611i,-0.0006858-0.00090889i,-0.0011722-6.5552e-05i,-0.001034+0.00045129i,-0.00040169-0.00017742i,0.00041175-0.00023978i,0.00027984+0.00064697i,-0.0002704+0.00065976i,-0.00071403-0.00027257i,-0.00067187-0.00061486i,-0.00014752-7.4349e-05i,-5.707e-05+0.00053963i
-1.3462e-05+0.0015274i,-0.00070346+0.0011135i,0.00021243+0.00057881i,0.0005955-0.0012713i,-4.0678e-05-0.0024739i,-0.00011632-0.0017017i,0.0005031-0.00037567i,0.0011891+0.00045368i,0.00088967+0.00037663i,0.00029546+1.4833e-05i,0.00059771-0.00020441i,0.00032447-0.00054108i,-0.00014106-0.00079652i,-6.6681e-05-0.00066012i,0.00021274-0.00018171i,-0.00047988+0.00030389i,-0.0001244+0.00034971i,0.00055415+0.00022848i,-9.0643e-05+0.00053423i,-0.00082494+0.00023643i,-0.00051164-0.00055254i,0.00015498-0.0010089i,0.00026625-0.00055494i
0.00078058+0.00047202i,0.0030632+0.00046035i,0.0028791+2.127e-05i,0.0017429-0.00036775i,0.0010387-0.00082819i,8.1976e-05-0.00097819i,-4.9067e-05+4.0789e-05i,0.00031755+0.0006937i,0.00057395+0.00056324i,0.0002187+0.000182i,0.00025093-0.00025849i,0.00015392-0.00047349i,0.0002045-0.00051463i,0.00031668-0.00019895i,0.00088432-0.00030042i,0.0017345+9.3358e-05i,0.0010112+0.00054881i,3.848e-05+0.00034305i,0.00035377-0.00035164i,0.00066903-0.00072869i,0.00069496-0.00018903i,0.00065111-0.00015497i,0.00040415-0.00039634i
0.00054208-0.0010051i,-7.0924e-05-0.00085439i,-0.0011744-0.00095633i,-0.0017707-0.0011315i,-0.00093068-0.0003179i,-0.00032076+0.00057891i,-0.0010115+0.0011015i,-0.00044738+0.0015116i,0.00037934+0.0014907i,-8.5418e-05+0.00082399i,0.00020347-0.00029392i,0.00046835-0.00035595i,-9.5275e-05-0.00071229i,-4.7332e-05-0.00089982i,-0.00048103-0.00025059i,-0.00047794-0.00019834i,-0.00019568-0.00073004i,-0.00029216-0.001342i,-0.00032343-0.0010094i,-1.4467e-05-0.00042899i,5.0386e-05-0.00016544i,-0.00051596+0.00021454i,-0.00048205+0.00036022i
-0.00092299-0.00071624i,-0.0014117-0.0018273i,-0.0014396-0.001443i,-0.00072968-0.0020315i,-5.1781e-05-0.0021416i,-0.00022154-0.0012226i,-0.00017255-0.0006672i,-4.1566e-05-0.00012519i,-7.1516e-05+0.00022503i,0.00068359+0.00031027i,0.00050539+0.00018751i,-0.00035923-0.0010408i,-0.00045169-0.0016519i,-0.00043775-0.00040409i,-0.00069148+0.00034713i,-0.00073156+0.00019768i,-0.00062296+0.00012105i,-0.00045254+0.00020801i,-0.00017813+0.00016613i,0.00022563+0.00034915i,-0.00028915+0.00059863i,-0.00089911+0.00040563i,-0.00027363+0.00019049i
0.0015729+0.00070585i,0.0023009+1.7174e-05i,0.0021736-0.0017781i,0.0011642-0.0028582i,0.0005301-0.0027656i,-0.00019243-0.0014921i,-0.00064763+0.00016704i,-0.00045106+4.5352e-05i,-0.00026375+7.051e-05i,0.00020225+0.0011396i,-0.00031193+0.00089224i,-0.00059997-0.00017866i,7.1969e-05+0.00012877i,0.00057382+0.00049889i,0.00078317+3.8531e-06i,0.00090065-0.00011045i,0.00063693+0.00056258i,-0.00044023+0.00047724i,-0.00090392+8.6865e-05i,-0.0010037-0.00034494i,-0.0010999-0.00051589i,-0.00079826-0.00014278i,-0.00024085-0.00020949i
-0.00071681-3.9988e-05i,-0.00040499-7.3136e-05i,0.00012619-5.382e-05i,-0.00069387-2.1294e-05i,-0.0016906-7.5672e-05i,-0.00045721-0.00010931i,0.00014783-0.00024641i,0.00010218-0.00069207i,0.00011259-0.00046548i,-0.00055561+0.00046011i,-0.00014859+0.00070792i,0.00082957+0.00063855i,0.00074371+0.00044147i,0.00065845-0.00026231i,0.00094406-0.00078606i,2.3912e-05-0.00081701i,-0.00052003-0.00075426i,-0.00017285-0.0011169i,-7.3443e-05-0.00028101i,-0.00028386+0.00027465i,8.8184e-05-0.00081189i,-4.7217e-05-0.00093876i,-0.00011184-0.00040113i
-0.0006612-0.00036009i,-0.0001679-0.0012115i,-2.1002e-05-0.0010159i,-0.00066918-0.0012851i,-0.00079351-0.0011727i,-0.00086668-0.00027974i,-0.00070787-0.00036524i,0.000455+6.6241e-05i,0.00043702+0.00094459i,-0.00016867+0.0005277i,-0.00051726+0.00031607i,-0.00067738+0.0011403i,-0.00040791+0.00095686i,1.7072e-05-6.8077e-07i,0.00011172-0.00086338i,0.00053292-0.001233i,0.00083786-0.0010093i,0.00053831-0.00057175i,0.00043491-0.00032433i,0.0003111-0.00067148i,-0.00029162-0.00087461i,-0.00019819-0.0006071i,4.7108e-05-0.00036536i
0.0008761-0.00094383i,0.0015001-0.0016634i,0.0016501-0.0029273i,0.0003183-0.0030029i,-0.0007226-0.0020456i,-0.00057672-6.8091e-05i,5.552e-05+0.0013112i,-1.5879e-05+0.0008648i,0.00012595+0.00016563i,0.00048445+0.00018492i,0.00022404+0.00086085i,0.00016556+0.0013277i,0.000307+0.00039417i,0.0004054+0.00038366i,0.00090335+0.00017079i,0.001088-0.00068745i,0.00081913-0.00034684i,0.00067029+0.00089545i,0.00049227+0.0010819i,0.00026777+0.0003771i,0.00018014+8.4238e-05i,0.000363+8.6472e-05i,-8.7978e-05+0.00021609i
0.0009476-0.002439i,0.001397-0.0028022i,-0.00036201-0.0027551i,-0.0016975-0.0015643i,-0.0019772-0.0011516i,-0.0011329-0.00060965i,-2.1283e-05+0.00076749i,0.0003417+0.0013298i,-3.1548e-05+0.00045043i,-0.00062131-1.4749e-05i,-0.00065423+0.00065258i,-0.00014389+0.00063098i,0.00030414+0.00023807i,8.2121e-05-4.2099e-05i,-0.00020038-0.00016914i,-0.00037892-0.00063966i,-0.00024327-0.00079712i,0.00057455-0.00069226i,0.00070833-0.0013588i,5.04e-05-0.0015829i,0.00036805-0.00076505i,0.00029875-0.00020113i,-0.00038676-0.0002666i
0.00081684+0.0010735i,0.0007388+0.00071765i,0.0016786-0.00053731i,0.0011061-0.001568i,-0.00073949-0.0017356i,-0.00081346-0.00078795i,0.00043378+0.00041362i,0.00061881+0.0008258i,-9.6391e-05-5.9133e-06i,-0.00065881-2.1914e-06i,-0.00048286-2.3932e-05i,-0.00035667-9.4903e-05i,-0.00028126+0.00029339i,-0.00019563-8.4216e-05i,-0.00057975-0.00090155i,-0.00084274-0.00039101i,-0.001101-1.6222e-06i,-0.00035342-0.00055446i,-3.8307e-05-5.3817e-05i,-0.0001319+0.0002111i,-0.00022085+6.1623e-05i,-0.00055442-0.00029123i,-2.8557e-05-0.00055373i
0.0016645+0.00029769i,0.00071402-8.867e-05i,0.001066-0.0015221i,0.00080654-0.0032097i,-0.00031578-0.0030189i,-0.0011931-0.00073935i,-0.0012579+0.0011002i,-0.00037349+0.0013109i,-5.357e-05+0.00040226i,-6.5351e-05+0.00014968i,0.00020085+4.6312e-05i,0.00018395+7.7558e-06i,-3.6046e-05+0.00069384i,-0.0004445+0.00051176i,-0.00032506+0.00064173i,-0.00024573+0.0011695i,-0.00042+0.00081102i,-0.0001823+0.0010832i,0.0003262+0.0013301i,0.00063364+0.00080086i,3.2686e-05+0.00076988i,-0.00051492+0.0006021i,-0.00074952+0.00047241i
0.0014409-0.0012187i,0.0017941-0.0013772i,0.0010689-0.00076685i,0.0013245-0.00085358i,0.0013775-0.001983i,0.00032815-0.0021925i,-0.00059792-0.0008003i,-0.00085393+0.0001086i,-0.00014896+7.9304e-05i,0.00040373-0.00017578i,0.00045766-0.00046049i,0.00035993-0.00058197i,0.00035481-0.00024553i,-0.00022459-8.6115e-05i,-0.00079155-0.00018398i,-0.00011205+0.00016229i,-0.00016762+0.00051629i,-0.00023477+6.6168e-05i,0.0002742+6.605e-05i,0.00094847+0.00066965i,0.00094628+0.00051307i,0.00064306+0.00026466i,0.00071825+0.00020355i
-0.00016567+0.00042029i,0.00089515+0.0006169i,0.0018969+0.00074452i,0.00043375-0.00040645i,-0.0011674-0.0013859i,-0.00099546-0.0010892i,-0.00073358-0.00078309i,-0.00039966-3.9307e-05i,0.00039032+0.00044666i,0.00036987+0.00061346i,-4.037e-06+0.00080951i,0.0005993+0.00052774i,0.00052515+0.00043185i,0.00045593-0.00014116i,-0.00010777-0.00080468i,-0.00071498-0.00066109i,-3.8802e-05-0.00037241i,0.00047629-9.4166e-05i,0.0010198-0.00031337i,0.00055554-0.00046674i,-0.00025061-0.00054221i,-0.00015808-0.0004647i,-0.00092467-7.4345e-05i
-0.0011561+0.0020622i,-0.00054128+0.0030261i,0.00037197+0.0027237i,0.0019599+5.7516e-05i,0.0023915-0.001528i,0.00080845-0.000992i,-0.00054176+0.00078193i,-0.00093268+0.0015884i,-0.00050702+0.00054818i,-0.00020736-0.00094656i,0.00029223-0.0013445i,0.00024835-0.0012397i,-0.00017482-0.00086911i,-0.00074227-0.00041281i,-0.00067285-0.00043312i,9.0715e-05+0.0002918i,0.00025694+0.00037207i,0.00031383-0.00011822i,0.00042987-0.00017724i,0.00050997-2.7095e-05i,0.00045448+0.00094755i,-0.00029395+0.0009673i,-0.00067102+5.531e-05i
0.0018059-0.0018687i,0.00099632-0.0024769i,-0.00050214-0.0028962i,-0.0015974-0.0028869i,-0.0021795-0.0015735i,-0.00055797+0.00052214i,0.00068358+0.0011555i,0.0003495+0.00014697i,6.9011e-05+6.2928e-05i,-0.00061583+0.00040134i,-0.0012483+0.00051582i,-0.00081227+0.00087672i,-0.00037975+0.00089143i,-0.00013597-3.6242e-05i,0.00015045-0.00067909i,0.00037223-0.00010319i,0.00019824+7.2488e-05i,-0.00041887+0.00049864i,-0.00036826+0.00078421i,0.00041745+8.3306e-05i,0.00074978+0.00043954i,7.956e-05+0.0013008i,-0.000438+0.00098063i
0.0018572-0.00054244i,0.00090254-0.00076965i,0.00064653-0.0012778i,0.00015384-0.0025319i,-0.0011355-0.0032956i,-0.00083389-0.0017845i,-7.2422e-06+0.00018112i,-0.00032062+0.00033034i,-0.00016825+0.00035134i,9.995e-05+0.00067717i,0.0004037+0.00059162i,0.00045965+0.0011887i,-0.00044908+0.0012453i,-0.00067535+0.00051097i,-3.4091e-05-5.7005e-06i,0.00035455+5.7915e-05i,0.00033187+0.00030702i,-9.3874e-05+0.00087713i,-0.00012977+0.0002744i,-0.00046423-0.00082117i,-0.00076997-0.00054631i,-0.00042963-0.00029034i,-0.00018451-0.00052201i
-0.001107-0.00033135i,-2.9095e-05-0.00094862i,0.0012151-4.8656e-05i,0.00083686-0.0011137i,6.1434e-05-0.0023417i,-0.00071082-0.0015002i,-0.00079292-0.00040798i,-3.2717e-05-8.0847e-05i,-9.422e-05+0.00068022i,-0.00038211+0.00083433i,0.00018537-7.4025e-05i,8.6805e-05-0.0011631i,0.00042001-0.0012981i,0.00051967-0.00073661i,0.00012454-0.00058479i,0.00037745-5.0127e-05i,0.00079395-0.00020224i,0.00056023-0.00060697i,0.00069298-0.00039983i,0.00075885-0.00049846i,-0.0005153-0.00059229i,-0.0010429-0.00050548i,-0.00052718-0.00078862i
0.0029521-0.0017527i,0.0027064-0.0014188i,0.0010833-0.00077925i,-0.00024065-0.0011394i,-0.0020686-0.0018254i,-0.0025092-0.0012456i,-0.00083332-0.00013471i,-0.00010645+0.0004649i,-0.00032116-0.0002972i,-0.00048802-0.0006695i,-0.00043674+3.5451e-05i,0.00010022+0.00045392i,0.0001594+0.00022249i,-0.00031087-0.0003236i,-0.00033616-0.00044727i,-6.0269e-05+0.00013957i,0.00016511-0.00016333i,0.00020341-0.00057426i,2.5034e-05-0.00024435i,-0.00017867-0.00044686i,-0.0002323+2.7621e-05i,-0.00033286+0.00068362i,0.00014756+0.00053273i
0.0036166+0.0016628i,0.0027736-4.6141e-05i,0.001424-0.0014323i,0.0010529-0.0018923i,0.0012034-0.001618i,0.00061881-4.3746e-05i,-0.00023178+0.0012104i,-3.8494e-05+0.00073136i,1.8192e-05+0.00012601i,-4.6777e-05+1.3539e-05i,0.00016987-0.00062317i,0.0001382-0.00096523i,2.4436e-05-0.00086957i,-0.00019996-0.00064408i,-0.00017324-0.0006156i,0.00019558-0.0011143i,0.00010002-0.0010279i,0.00011993-0.0010785i,0.00050081-0.0013404i,0.0014573-0.0005477i,0.00084391+0.00055302i,9.1392e-05+7.4473e-05i,0.00093567-0.00033391i
-0.0034395+0.00045245i,-0.0019484+0.00011556i,-0.00041057+4.3035e-05i,0.0004431-0.00031847i,0.00070014-0.00066827i,0.00064621-0.0002871i,0.00091443+0.00070905i,0.00063607+0.0009095i,0.00038709+0.00072564i,8.5545e-05+0.00049867i,-0.00020618+7.1662e-05i,0.00015621-1.1078e-05i,0.00029493-0.00019985i,0.00059054-0.00074617i,0.0007238-0.0011735i,0.00083154-0.0011518i,0.00079943-0.00029832i,0.00094899+7.844e-05i,0.00078621-0.00017144i,-0.0002163-0.00056135i,-0.0004342+4.6628e-05i,-0.0004531+0.00086359i,-0.00052503+0.00082447i
-0.0003964+0.0005206i,0.0012368+0.0012741i,0.001703+0.00096114i,0.0010525-0.00020896i,0.00054005-0.001006i,5.9772e-05-0.0006763i,-0.00070485+0.00034922i,-0.00088984+0.00070255i,0.00031096+0.00031628i,0.0011341-0.00015648i,0.00043481-0.00029277i,0.00035192-0.00021467i,0.0007083+7.4323e-05i,1.6154e-05-0.00031367i,-0.00092268-0.00043392i,-0.00072303+0.00023473i,-0.00015474+0.00034364i,0.00031072-0.00040517i,-7.8279e-05-0.00011968i,-0.00044464+0.0011018i,-0.00023244+0.0013256i,0.00012957+0.00031395i,-0.00013647-7.7512e-05i
0.0016914+0.0024286i,0.002352+0.002907i,0.0033207+0.0012205i,0.0016904-0.00086291i,-0.00022298-0.0021194i,4.7476e-05-0.0018286i,0.00035987-0.00059999i,-0.00018751+0.00028196i,-0.00078534+0.00012954i,-0.0011069-0.00065192i,-0.00024035-0.0013327i,0.00091924-0.00084366i,0.00079753+0.00041491i,-0.0004164-1.746e-05i,-0.0013865-0.00069798i,-0.0012762-0.00022249i,-0.00085932+0.0003296i,-0.00064595+0.00045151i,-0.00070928-0.0003828i,-0.00099778-0.00038908i,-0.0011258+0.00025853i,-0.00093608+0.00042287i,-0.00086621+0.0001457i
-0.0029163-0.0019146i,-0.0027651-0.0023069i,-0.0015631-0.0023034i,-0.00034873-0.001675i,0.00030286-0.0011431i,0.00076897-0.0005243i,0.00086979+0.00042284i,0.00088354+0.0011967i,0.00059277+0.00066432i,0.00076187-0.0008657i,0.001228-0.0013629i,0.00031789-0.00091657i,-0.00055777-0.00063298i,-0.00038892-0.0001347i,-4.2065e-05+0.00012259i,-0.00046659+0.00044668i,-0.0010518+0.00048799i,-0.00072318+0.0004103i,-0.00012871+0.00023031i,-2.8795e-05-0.00018727i,-0.00016568-0.0001828i,6.5944e-06-0.00049196i,0.0001836-0.00054363i
-0.0018126-0.00013547i,-0.0021269+0.0016537i,-0.0026776+0.003546i,-0.0021811+0.0029385i,-2.2875e-05+0.0011228i,0.0010384-6.7366e-05i,0.0010879-0.00062957i,0.00095827-0.00059453i,0.00027598+1.7954e-05i,0.00010926+0.00087384i,0.00029575+7.4272e-05i,0.00070069-0.0014238i,0.00095549-0.0011522i,0.00037565-0.00071147i,-0.00021677-0.00097004i,3.6481e-05-0.00081596i,0.0001963-0.00020364i,0.0008063+1.6331e-05i,0.0013277-0.00039032i,0.00073693-0.0003683i,-7.2702e-05-0.00031289i,7.987e-05-0.00044028i,0.00019171-0.00024739i
0.0029202+0.00078613i,0.0039346-0.00048207i,0.0032985-0.0012304i,0.0018096-0.0020276i,0.00074205-0.0031418i,-4.8857e-05-0.0017384i,0.00034756+0.00091542i,0.0010923+0.0013212i,0.00054195+0.0010519i,-0.0004037+0.0010282i,-0.00077769+0.00046806i,-0.00032788-0.00015188i,-4.8073e-05+0.00019757i,-0.00041204+0.00028321i,-0.00051814-3.8546e-05i,-6.4887e-05+0.00012073i,0.00044254-0.00037985i,0.00024242-0.0016468i,-0.00020228-0.001323i,-0.00037857-0.00067479i,3.5784e-05-0.00049148i,0.00010209-0.00016524i,-0.00020219-0.00012678i
-0.00029471+0.0018301i,0.0019663+0.00085816i,0.003281-0.0022749i,0.0019938-0.0044136i,2.5246e-05-0.004523i,-0.00075823-0.0032017i,-0.00070985-0.0009921i,-2.7348e-05+0.00018182i,0.00071068+0.00050451i,0.0010111-0.00013205i,0.0013353-0.00067455i,0.0007387-0.00069559i,-0.00059331-0.00080113i,-0.0010581-0.00072486i,-0.0016074-0.00025132i,-0.0016549+0.00042791i,-0.0007713+0.00055595i,-9.753e-05+0.00015473i,-0.00065078+0.00046625i,-0.0011905+0.0010005i,-0.00052306+0.00084574i,-0.00010493+0.0011893i,-6.5346e-05+0.0018657i
0.0017792-0.0025947i,0.0020133-0.0020295i,0.0023204-0.0017726i,0.0011967-0.0028417i,0.00017595-0.0026528i,-0.00031619-0.00065999i,-0.00058767+0.00061587i,-0.00082837+0.00072525i,-0.00072423+0.00054795i,-0.0005299+4.0611e-06i,-0.00066296+0.00011652i,-0.00046085+0.00068466i,-0.00016721+0.00095987i,-0.0003266+0.0011144i,0.00012749+0.00097449i,0.00057795+0.00020159i,-4.2535e-06-0.00052899i,-0.00044018-0.00059651i,0.00010632+0.00013722i,0.0004846+0.00052772i,0.00019796+3.6168e-05i,-0.00019673-0.00014629i,0.00033895+0.00048824i
0.0012123+0.003574i,0.00089454+0.002699i,-0.00053268+0.0010093i,-0.00086432+0.00033833i,-1.9146e-05-0.00032485i,-8.3927e-05-9.1469e-05i,-0.00026847+0.0014111i,-0.00010482+0.0015053i,-0.00078606+0.00087199i,-0.00078237+0.00041984i,9.5417e-05-0.00017208i,0.00031354-0.00064701i,-0.00030106-0.0010279i,-0.00059405-0.00056643i,-0.00047898+0.00016883i,-9.0525e-05+0.0004057i,8.1951e-05+0.00085715i,0.00073642+0.001045i,0.0006262+0.00054932i,0.00033673-0.00035249i,0.00086885-0.00077189i,0.00036101+0.00035629i,-0.00045714+0.00077301i
-0.0049109+0.0012145i,-0.0042797+0.0013617i,-0.0015941+0.00099864i,0.0005169-0.0005114i,0.00044478-0.0012901i,-0.00058524-0.0010182i,-0.00075919-0.00037753i,-0.00028853+0.00086284i,4.296e-07+0.0010369i,0.00063253+0.00032829i,0.0013429+0.00012125i,0.00075923+0.00035784i,-6.6248e-05+0.00065724i,8.4656e-06+0.00076473i,0.00011894+0.00083841i,-7.9108e-05+0.00056444i,-8.6551e-05+0.00015944i,-0.00025176+0.00030209i,-0.0004161+0.00017952i,-0.00038094+0.0004602i,-0.00076363+0.00032419i,-0.00021273+0.00065526i,0.00033705+0.0009719i
0.0021511-0.0016845i,0.0015721-0.0014194i,0.0013462-0.0020467i,0.001016-0.0028187i,0.000318-0.0023824i,-0.00029752-0.0012302i,-0.00038791-3.0703e-06i,-0.0001472+0.001099i,-6.5405e-06+0.0017407i,-0.00061141+0.0014648i,-0.00034652+0.00044421i,0.00018956+0.00082123i,0.00027171+0.00079005i,0.00094599-0.00011086i,0.00095153-0.00034962i,9.3279e-05-0.00061198i,-0.00013275-0.00057434i,-0.00010961-0.00059785i,0.00037426-0.00067483i,0.00042-7.8849e-06i,0.00073717-0.00015062i,0.00043987-3.923e-05i,-0.00060809-1.2468e-05i
