-0.0043827+0.00092128i,-0.0035805+0.00065346i,-0.0035127+0.001154i,-0.0024019+0.0020508i,-0.00089425+0.0028724i,0.00017019+0.0027246i,-0.00031594+0.0024156i,-0.0012258+0.0023925i,-0.0009772+0.0022798i,-0.00010623+0.0015609i,0.00076983-1.6263e-05i,0.0010028-0.0011027i,0.0004152-0.0010343i,-0.00017315-0.00092852i,-0.00056224-0.0004037i,-0.00095733+0.00060123i,-0.001364+0.00070555i,-0.00097688+0.00010247i,0.00011075+6.6713e-05i,0.00065064+0.00019652i,0.00029612-0.00014513i,-0.0002772-0.00026261i,-0.0001747+0.00011877i
-0.00097738-0.0014185i,-0.0011198-0.0008195i,-0.00065462+0.00022078i,-6.0256e-05+0.0015214i,0.00017493+0.0027713i,0.00063129+0.002755i,0.00056878+0.0020183i,0.00023635+0.00092895i,0.00012162-0.00011715i,0.00038957-0.00088122i,0.00023415-0.00094347i,-0.00049817+0.00020423i,-0.0010392+0.0010535i,-0.0015226+0.00070108i,-0.00096631-7.1383e-05i,-0.00026311-6.6787e-05i,-0.00040783+0.00010688i,0.00011596-0.0001428i,0.00048043-0.00041626i,0.00041865+0.00053344i,0.00021212+0.0012937i,6.8848e-05+0.0011431i,0.00015119+0.0010705i
0.00063456+0.0001163i,-0.00012091-0.00034285i,-0.0017197-0.00034836i,-0.0014716-0.00022768i,-0.000615+0.00027881i,-0.00078865-0.00046027i,-0.00081499-0.00104i,-0.00036475-0.00099782i,-0.00044241-0.0010437i,-0.00070836-0.00037459i,-0.00066291-9.4035e-05i,-0.00078136-0.00067745i,-0.00063231-0.00031281i,-0.00018364-0.00023157i,0.00015437-8.7821e-05i,-0.00021995-3.0618e-05i,0.00020794-0.00064023i,0.00019064-0.0008368i,-0.00067602-0.00015115i,-0.00083341+0.00080718i,-0.00062191+0.0010215i,-0.00066536+0.00021825i,-0.00029842+0.00016493i
-0.00087224+0.00051712i,-0.0010903-0.001374i,-0.001152-0.0028863i,-0.0007825-0.0027597i,-0.00096494-0.0017469i,-0.001219-0.0012977i,-0.00036779-0.00138i,-0.00036351-0.0012106i,-0.0001192-0.00044239i,0.00015545-0.00029278i,8.5056e-06-0.000281i,-0.00015762+0.0010674i,-0.00011272+0.0014476i,0.00044647+0.0010252i,0.00013371+0.00090436i,-0.00015517+0.00085272i,0.00067549+0.00053383i,0.0011316+0.00017149i,0.00070672+5.6991e-05i,0.00026612+0.00024765i,-9.0345e-06+0.00034764i,-6.155e-06+0.00043858i,0.00010594+0.00087648i
0.0012509-0.00055052i,0.0017415-0.00069038i,0.0018929-0.00091485i,0.0012476-0.0012212i,4.1603e-05-0.00077109i,-0.0003187-0.00018922i,9.0235e-05-0.00076857i,-0.0002248-0.0012964i,-0.00027676-0.0015844i,0.00019226-0.0020437i,0.00057384-0.00093097i,0.00064358+0.00078489i,0.00015545+0.0011126i,-9.6472e-05+0.00073562i,0.00014773+0.00050737i,-0.00028919+0.00050517i,-0.00053335-0.00020698i,7.4687e-05-0.00061969i,0.00062894-2.5915e-05i,0.00059283-0.00031394i,0.00022932-0.00082172i,0.00047813-0.00056618i,0.00068137+0.00032286i
-0.0010543+0.00061268i,-0.0011062+0.00074138i,-0.0003346+0.0007355i,0.00024348+0.00058275i,-0.0006891+0.001154i,-0.00075496+0.0016794i,0.00029384+0.00063847i,0.00034828-0.00037547i,-0.00017054-0.0005975i,-0.00035468-0.00065063i,-0.00023406-0.0005874i,-0.00027273-0.00088945i,-0.00027108-0.00054046i,-0.00066836-0.00016642i,-0.00070847-0.00035408i,-0.00021101-0.00044837i,-0.00027246+0.00020313i,-0.00018551+0.00061721i,3.4936e-05-0.00027481i,0.0003236-0.00053819i,0.00056878-0.00046682i,0.00062246-0.00013723i,0.0010049+8.894e-05i
0.00034844-0.0010693i,0.00059939-0.0017561i,0.0010154-0.0025974i,0.00033799-0.0018251i,-0.00080882-0.00031191i,-0.0011374+0.00033402i,-0.0004629+0.00023745i,0.00051321+7.096e-05i,0.00094676-0.00069957i,0.00054497-0.0008567i,-0.00023033-8.6141e-05i,-0.00045006+0.00040193i,-0.00021451+0.00051192i,-0.00018863+0.00044864i,3.7973e-05+5.7897e-05i,0.0007898-0.00057167i,0.0013021-0.00010421i,0.00092386+3.6036e-05i,0.00063487-0.00063475i,0.00080361-0.0010837i,0.0004317-0.00085418i,0.00023653-0.00086845i,0.00028186-0.0011718i
0.0026188-0.0009909i,0.0021429-0.00069967i,0.0012328-0.0025403i,-0.00027162-0.0040904i,-0.001096-0.0038668i,-0.001664-0.0019594i,-0.0020363-0.00041504i,-0.00095334-0.00067869i,0.00039348-0.0014619i,0.00031118-0.0016582i,-9.3677e-05-0.00099007i,0.00034318+0.00040174i,0.00026714+0.0012227i,0.00024554+0.00093027i,0.00047431+0.00040122i,3.3605e-05+0.00060415i,-0.00054785+0.001038i,-0.00071113+0.0010199i,-0.00028665+0.0010612i,6.5024e-05+0.00053027i,0.00017877-6.0275e-05i,0.00076444-0.00027841i,0.00069118-0.0001119i
0.002119-0.00034073i,0.0023408-0.0015309i,0.0014709-0.0026872i,-0.0002903-0.0023326i,-0.0028113-0.0018177i,-0.0033307-0.0012539i,-0.001812-0.00091991i,-0.0012378-0.001548i,-0.0012339-0.0018103i,-0.0011163-0.0012042i,-0.0010068+0.00019153i,-0.0017652+0.00087381i,-0.0020015+0.00069644i,-0.00082715+0.00051785i,-0.00046228+0.00051569i,-0.0014854+0.00015635i,-0.0018944-8.6596e-05i,-0.001319-0.00024795i,-0.00061633-0.00024291i,-0.00011399+0.00014004i,0.00010091+0.00063595i,0.00040752+0.00068574i,0.0006854+0.00070116i
-0.0001037+0.0009291i,0.00064197+0.00023773i,0.0007307-5.6492e-05i,0.00019067-0.0001644i,0.00010691-5.3088e-05i,0.00022481+0.0007134i,0.00043237+0.00070075i,0.00061714-0.00017116i,0.00058505-0.0011006i,7.0706e-05-0.0010204i,-0.0006396-0.00026789i,-0.00011104+3.7084e-05i,0.00064906-3.9285e-05i,0.00015991+0.00053627i,-0.00048005+0.00067427i,-4.4868e-05+0.00056959i,-0.00026671+0.0010066i,-0.00074243+0.00088407i,-0.00077369+0.00017033i,-0.0012392-0.00023627i,-0.0004992+0.00034125i,0.00061078+0.00079472i,0.00042677+0.00017041i
-0.0010792+0.00057859i,0.00099216+3.9958e-05i,0.0025857-0.00020749i,0.0015653-0.00041417i,-0.00022803-0.00073175i,-0.0010247-0.00014027i,-0.00050657-0.00016015i,0.00054895-0.0011065i,0.00050543-0.0016138i,0.00039941-0.0010119i,0.00061099+9.8394e-05i,0.00062152+0.00064203i,0.00040722+0.00076214i,-0.00021443+0.00076173i,-0.0013561+0.00062808i,-0.0023829+0.0010663i,-0.0022173+0.0012322i,-0.00070854+0.0011078i,0.00064575+0.00092475i,0.00051211+0.00050822i,-0.0003651-0.00023271i,-0.0011075-0.00066641i,-0.0010031-0.00046063i
0.0011795-0.00091825i,0.0002908+0.00033836i,-0.0010994-0.00017341i,-0.0016899-0.00075372i,-0.0022286+0.00077562i,-0.0023126+0.0011021i,-0.001296+0.00022058i,-0.00085761-0.0007399i,-0.00031605-0.001837i,0.00020002-0.0017437i,-0.00033074-0.00013838i,-0.00036248+0.00096895i,-0.00069763+0.00053935i,-0.00072554-0.00032387i,-4.1396e-05-0.0007614i,2.6936e-05-0.00075186i,0.00038722+6.8704e-05i,0.00082408+0.0010504i,0.00091729+0.0010711i,0.00048883+0.00027226i,0.00024601-0.00054029i,-5.5008e-06-0.00062187i,-0.00029233+0.0003488i
0.0015871-0.00011695i,0.00058183-0.00054293i,-0.00020194-0.0021419i,-0.00057831-0.0022759i,-0.00070634-0.0016199i,-0.00034535-0.00049594i,-0.00056128+0.00065452i,-0.00081216+0.00028932i,-0.0001-0.00078436i,0.00015198-0.00083477i,-0.00037769-0.0011034i,-0.0011813-0.001137i,-0.00075778+3.4434e-06i,-7.051e-05+0.00057113i,0.00058193+0.00049753i,0.0011345-0.00042401i,0.00086099-0.00082526i,-8.3768e-05+3.612e-05i,0.00038941-0.00014243i,0.000681-0.0004202i,0.00055671-0.00019089i,0.00050489-0.00052015i,-7.563e-05-0.00083035i
0.00026284-0.00033406i,-3.8773e-06-0.0011986i,-0.0010017-0.0018163i,-0.0015568-0.0016106i,-0.0019764-0.00092025i,-0.0019049-0.00080751i,-0.0013507-0.00072835i,-0.00059341-0.0013141i,-0.00049914-0.001395i,-0.00024053-0.001238i,-5.6267e-05-0.0012011i,-0.00037659-7.2708e-05i,-0.0003784+0.0011699i,-0.000568+0.0013588i,-0.0001655+0.0007924i,0.00034057+0.0012684i,6.9287e-05+0.0016906i,-0.00029008+0.00081442i,0.0004253-0.00012056i,0.00067522-6.0902e-05i,0.00023823+0.0002213i,2.5191e-05+9.2745e-05i,-0.0003996+0.00022227i
-0.0018953+0.0018568i,-0.0013698+0.0028436i,-0.00027704+0.0034233i,0.00063977+0.0023122i,0.00025684+0.0018657i,0.00012329+0.0019361i,0.0010092+0.00039577i,0.00074473-0.00027875i,3.7322e-05+0.00051126i,-0.00026766+0.00075051i,-0.00046196+0.00045746i,0.00010519+0.00043727i,0.0005877+0.00028743i,-0.00049546-0.0006467i,-0.0018316-0.00067899i,-0.0020738+0.0004194i,-0.0017776+0.00082249i,-0.00080581+0.0010143i,0.00097383+0.00041215i,0.00088482-0.00012373i,-0.00044711+0.00034874i,-0.00053944+0.00016058i,-0.0005597+0.0004941i
-0.00061362+0.00011768i,0.00049684+0.00035653i,0.0012664-2.1719e-05i,0.0017344-0.00089652i,0.0021278-0.00089134i,0.0019658-0.001304i,0.0013586-0.0015859i,0.00082139-0.00092005i,0.00082619-0.0002343i,0.00049975-7.8719e-05i,-0.00060904+0.00015962i,-0.0012803+0.00058338i,-0.00041318-0.00034712i,6.7487e-06-0.0011904i,-0.00022584-0.00096706i,-0.00044193-0.00065924i,-0.00081367-0.00013663i,-0.00088744+0.00062359i,-0.00055279+0.00070338i,-0.00018664+8.0841e-05i,0.00030833+4.8281e-05i,0.00039234+0.00051796i,0.00042895+0.00040589i
-0.0012346+0.00048364i,-0.0017214-0.00026869i,-0.001599+0.00027506i,-0.00094732+0.0012269i,-0.0015415+0.0013441i,-0.0017515+0.00066419i,-0.0016603+0.00047462i,-0.0010081+0.00071041i,-5.6055e-05-0.0003613i,-9.9309e-05-0.0013685i,0.00037625-0.00085444i,0.00078589-0.00026247i,0.00048977-0.00020318i,0.00020557+0.00037471i,5.4733e-05+0.0015322i,-0.00027311+0.0012638i,-0.00030368+0.00035851i,-2.6199e-05+0.00047079i,-0.00049261+0.00060418i,-0.0004608+0.00027561i,-0.00039132-0.00012954i,-0.00015447+0.0002378i,0.00079382+0.00041913i
-0.0016169+0.001298i,-2.8198e-05+0.0024287i,0.00063273+0.0034111i,0.001269+0.0025184i,0.0013092+0.0019521i,0.00062634+0.0014358i,0.00029521+7.3519e-06i,7.5311e-05-0.00056194i,0.00033385-0.0003279i,0.00081393-0.00046592i,0.0011329-0.0010125i,0.00087402-0.0011562i,0.00017968+0.00014613i,-0.00064902+0.0016257i,-0.0014301+0.0013277i,-0.0018463+0.0004908i,-0.00089519+0.00033985i,0.00010496+0.00049861i,0.0001545+0.00019037i,0.00023399-0.00033476i,0.00042955-0.00075514i,0.00048815-0.001331i,-3.3071e-05-0.0011985i
0.0028438+0.0005835i,0.002912+0.00033995i,0.0018808-0.0014396i,-0.00017742-0.0031032i,-0.00070413-0.0033349i,-0.0003314-0.0027094i,-0.00057429-0.0019651i,-0.00055603-0.0016496i,-0.00030285-0.00094104i,6.7273e-05-0.00057048i,-7.7013e-05-0.0003676i,-0.00069324+0.0002203i,4.2983e-05+0.00025459i,0.00016028-0.00035332i,-0.00097581-0.00056475i,-0.0011339-0.00090513i,-0.00093941-0.0013885i,-0.00058466-0.0011442i,-1.0403e-05-6.7637e-05i,0.00015102+0.000351i,-0.00017134+0.00025368i,-7.948e-05+0.0001842i,0.00071668+3.1944e-05i
0.00036116+0.0015587i,0.0011915+1.2218e-05i,0.0015793-0.00028623i,0.0011606-0.001161i,0.00034432-0.0023973i,-0.0003021-0.0015341i,-0.0010352+6.8356e-05i,-0.00069605-0.00025206i,0.00012203-0.00040787i,0.00013153-0.00012003i,-0.00068274+0.00012051i,-0.00057737+0.00029588i,0.00038118-0.00028537i,0.00097044-0.00090852i,0.00082371-0.0001204i,0.00028179+0.00047457i,0.00010811-0.00015601i,-0.00012288-0.00016419i,-0.00019934-0.00018015i,0.00039267-0.0002556i,0.00056806+3.5785e-05i,0.00043447-0.00010868i,0.00051827+0.00016906i
-0.00017684+0.00058377i,0.0011658+0.00054729i,0.0011666-0.00042603i,0.00039159-0.001117i,0.00053003-0.00070367i,0.00088288+0.00025809i,0.0005651+0.00033303i,0.00025844-0.00024644i,0.00017414-8.1193e-05i,0.00083425-0.0004837i,0.0016364-0.0011381i,0.0016005-0.00033224i,0.0016177-0.0002411i,0.00092406+8.5456e-05i,-0.00050774+0.0012483i,-0.0012571+0.0019997i,-0.0011099+0.0022349i,-0.00031817+0.00188i,0.00024518+0.0013182i,0.00019272+0.00085312i,0.00019066+0.00029333i,9.1938e-05+0.00012621i,-0.00011497+0.00028672i
0.0033975-0.00026661i,0.0033784+0.00075337i,0.0026749+0.00021685i,-8.0485e-05-0.0015214i,-0.0027001-0.0011611i,-0.0030573+0.00027011i,-0.0015274-1.0873e-05i,-0.00035154-0.00070435i,0.00071616-0.00106i,0.0014501-0.00024187i,0.0005092+0.00079738i,0.00030609+0.0011597i,0.0010645+0.00084471i,0.00038427+0.00025001i,-0.0002252-0.00052684i,0.00019646-0.00027408i,6.5595e-07+0.00039993i,0.00025633-7.9688e-05i,2.9484e-05-0.00023175i,-0.00041301+0.00041409i,-0.00025056+0.00031457i,0.00016597-0.00032739i,0.00078446+8.8912e-05i
-0.00068434+0.00035933i,-0.00039136+0.00042898i,-0.0012414+9.4713e-05i,-0.0019019+3.3631e-06i,-0.0025094+0.00041715i,-0.0021786+0.00011924i,-0.00047115-0.0005841i,-0.00013686-0.0011067i,-0.0010791-0.0014725i,-0.001285-0.001641i,-0.00060602-0.00094255i,-0.00049485-0.00047217i,8.6614e-05-0.00040075i,0.0005715-0.00040224i,-0.00011506-0.00011648i,-0.000342+0.00013262i,0.00040855+0.0005977i,0.00063223+0.00065495i,-2.4666e-05+0.0005197i,0.00023414+0.00037405i,0.00040941-8.4612e-05i,0.00043062-0.00013477i,0.00017065-0.00015212i
0.0021344+0.0010298i,0.0018688-0.0018123i,0.002069-0.0039029i,0.0024498-0.0035472i,0.0020284-0.0027708i,0.0010677-0.002864i,-1.2698e-05-0.0018386i,-0.00025381-0.00042844i,0.00023597-0.00031276i,0.00029261-0.00039661i,-0.00047843-0.0011886i,-0.00078753-0.0012701i,-0.0002185-7.9023e-05i,0.00012064+0.00072328i,0.00056302+0.0004377i,0.00075099+0.00048578i,0.00036433+0.001242i,0.00067846+0.00077501i,0.000355+0.0002478i,-0.00019857+4.4889e-05i,0.00012333-3.6099e-05i,9.4808e-05+0.00040399i,-0.00024663+0.00057441i
0.0017129-0.0010839i,0.0026967-0.0021891i,0.0034485-0.0026003i,0.001773-0.0020434i,4.7836e-05-0.00082573i,-0.0010099+0.00064085i,-0.00096729+0.00033856i,-0.00012673-0.00092519i,0.00014588-0.0012154i,0.00048099-0.0010493i,0.00072792-0.00045312i,-0.00023651+0.00069252i,-0.00045074+0.0015317i,-0.00010206+0.0013033i,-0.00047079+0.00049145i,-0.0013516-5.5875e-05i,-0.0017327-0.00031357i,-0.00073261+0.0001167i,0.00019617+0.00085663i,-0.00046656+0.00062708i,-0.00056077-2.3602e-06i,0.00039995+0.00037796i,0.00058288+0.00082334i
0.0014168+0.0023194i,0.0032972+0.002305i,0.0030806+0.0019482i,0.00052303+0.0011103i,-1.2219e-05-0.00013484i,0.00093282-0.00050696i,0.0009082-0.00054132i,0.00024813-0.00028503i,-0.00012936-0.00037852i,-0.00014516-0.0004614i,-0.00021956-8.4742e-06i,-4.8119e-05+0.00033127i,0.00026109+0.00019232i,-0.00019754-0.00025291i,-0.00028273+1.6636e-05i,0.00037605+0.00076301i,9.6232e-05+0.00075058i,-0.00067916+1.4481e-05i,-0.00086847-0.00066166i,-0.00015252-0.0004551i,0.00076089+0.00049249i,0.00023273+0.00074691i,-0.00063527+0.00078946i
-0.0027999-0.0010183i,-0.0046985-0.0012505i,-0.0043244-0.0014126i,-0.0027634-0.0016347i,-0.0016357-0.00043013i,-0.00080826+0.00089069i,-0.00012504+0.00063324i,-0.00025485-3.4171e-05i,-0.00049969-0.00069282i,-0.00064363-0.0013649i,-0.00092339-0.0013426i,-0.00086094-0.00067709i,0.00033461-0.00041897i,0.00164-0.00055692i,0.002076-0.00062281i,0.0014397-0.00053664i,0.00047868-2.8288e-05i,0.0011101+0.00041746i,0.0015547+0.00067296i,0.00033876+0.00094284i,0.00038735+0.0005054i,0.0011304-0.00017918i,0.00081041-0.00027093i
0.0015134-0.001912i,0.0019188-0.0033264i,0.0017313-0.0029236i,0.0013794-0.0019407i,0.0016541-0.0011832i,0.00087087-2.9611e-05i,-0.00032562-0.00043511i,5.7662e-06-0.00076506i,-0.00041092-0.00082726i,-0.00029363-0.0012045i,0.0010413-0.0014259i,0.0023032-0.00098065i,0.0023255+0.00034662i,0.000606+0.00077592i,-0.0012153+0.00055798i,-0.0013981+0.00019107i,-0.00047738-0.00037058i,-0.00024066+4.2684e-05i,0.00045037+0.00043204i,0.001194+0.00019684i,0.0011283-0.00028058i,0.0012539-0.00047189i,0.0007433-0.00014403i
0.0032892+0.0025043i,0.0039366+0.0024356i,0.0044166+0.00059572i,0.0023997-0.00014946i,4.4937e-05-0.00033308i,-0.00155-0.00047442i,-0.0014788-0.00033645i,-0.00070303-0.00042637i,-0.00059866-0.00071827i,-0.00023288-0.0006018i,0.00062127+0.00021418i,0.00043126+0.00085092i,-0.00010326+0.0011799i,2.3012e-05+0.0013263i,-8.0464e-05+0.00055585i,-0.00043263-0.0007485i,-0.00064502-0.00070522i,-0.00046797+0.00023085i,5.6036e-05+0.00070694i,0.00043196+0.0013044i,0.00069112+0.0011105i,0.00035498-2.4217e-05i,0.00024387-0.00045042i
-0.0022753-0.002117i,-0.0037122-0.00038151i,-0.0043349+0.00070641i,-0.0039525+0.0016299i,-0.0030535+0.0015322i,-0.0014682+0.0012252i,-0.00063703+0.0010167i,-0.00049234-0.00048695i,-0.00025168-0.0011365i,-0.0010799-0.00071182i,-0.0017457-0.00043398i,-0.0015779+0.00016268i,-0.00039204+0.00087795i,0.00067628+0.00052362i,0.00024219-0.00014065i,0.00043654-0.000166i,0.00094803-7.2866e-05i,0.00052446+4.7826e-05i,0.0001734-0.00034054i,0.00082644-0.00048093i,0.00095607-0.00043083i,0.00044529-0.00045406i,-0.00018189-0.00045342i
-0.0021941-0.0014621i,-0.0012467-0.0024502i,-0.00043651-0.0027489i,-0.00056702-0.0024544i,-0.00055021-0.0015666i,0.0010694-0.00044517i,0.00099337-9.4933e-05i,-0.00016282-0.00067739i,-0.00051714-0.00045825i,1.4656e-05-0.00022567i,0.0007821+3.7659e-05i,0.00071834+0.00024193i,0.00026434-0.00028555i,-0.00041198-0.0007403i,-0.00085275-0.0010036i,-0.00097891-0.00020776i,-0.00094699+0.00095519i,-0.00090186+0.0013575i,-0.0010358+0.00062907i,-0.00074111-9.2249e-05i,0.00088622-0.00039048i,0.0016479-5.6132e-05i,0.00090887+0.00081876i
0.0021287+0.001544i,0.0052592+0.00040868i,0.0069174-0.0010392i,0.0045214-0.0027406i,0.00075513-0.0030629i,-0.00079285-0.0017177i,-0.00058077-0.0011865i,0.00074468-0.00092642i,0.0010986-0.00058333i,0.00066643-0.00051534i,0.00039787-0.00029858i,0.00031173-9.588e-05i,0.00049075+0.00030008i,-6.0018e-05+0.00059935i,-0.0011335+0.00071887i,-0.0016269+0.00051276i,-0.0014254+0.0001482i,-0.00067549+0.00042094i,0.0003902+0.0006051i,0.001274+0.00042273i,0.00093001+0.00020749i,0.00042887+0.00014691i,0.00069894+0.00011985i
-0.00076987+0.0013205i,-0.00036747+0.0025139i,-0.00056402+0.0024805i,-0.00016991+0.0011177i,0.0004668+0.0002905i,-4.8211e-05+0.00061427i,-0.00058197+0.0003574i,-0.00025352-0.00062791i,-3.2512e-05-0.0013536i,0.0011129-0.0010928i,0.0011679+0.00020024i,-0.00017787+0.00059187i,-0.00098154+6.7385e-05i,-0.001577-2.212e-05i,-0.0013952-0.00049984i,-0.00052783-0.00084065i,0.00028765-0.00089902i,8.9124e-05-0.00061733i,-0.0005882-0.00018228i,-0.0004183-0.00048172i,0.00042161-0.00025351i,0.00026493+0.00015259i,-1.1975e-05-3.8329e-05i
-0.0010987-0.00062864i,-0.0016888-0.0016921i,-0.0018243-0.0027118i,-0.002046-0.0022473i,-0.0013084-0.0024204i,-0.00065939-0.0022123i,-0.0014027-0.00089349i,-0.00080197-0.00083086i,0.00028786-0.0015067i,0.00055904-0.0013803i,7.3097e-05-0.00073057i,-0.00064559-2.4652e-05i,-0.00033393+0.00023267i,-0.00028864+0.00029754i,-0.00063778+0.00064207i,-0.00014199+0.0010466i,0.00011181+0.0011101i,-1.7199e-05+0.00053324i,-0.00035506-0.00016504i,0.00044731-0.00027503i,0.0012476-0.00021183i,0.00092711+0.00042373i,0.00036892+0.00066458i
0.0034533-0.0015911i,0.0049798-0.0036381i,0.0051058-0.0050264i,0.0027294-0.0040036i,0.0002282-0.00076049i,-0.00011186+0.00099364i,0.00050788+0.00060491i,0.00049079-0.00077278i,0.00058991-0.00098524i,0.001198-0.00080976i,0.0012979-0.00089243i,0.0010181-0.00012193i,0.00073484+1.9588e-05i,0.00031908-0.00069369i,-0.0006086-0.00033287i,-0.0011721+7.271e-05i,-0.0014209+0.00042816i,-0.0015611+0.00089871i,-0.00042526+0.00058663i,0.00042337-0.00040005i,1.1751e-05-0.00051217i,-0.00011884+0.00028521i,7.0541e-05+0.00043878i
5.934e-05+0.00016669i,0.0019606+0.0021393i,0.0025762+0.0024328i,0.00097628+0.00060138i,0.0002566-0.00017074i,-0.00048648+0.00083505i,-0.00092413+0.0001871i,-0.00013981-0.00074569i,0.00038486-0.00035351i,0.00010369-0.00045962i,-0.00034905+0.00012119i,-8.2431e-05+0.0016182i,0.0007609+0.0017394i,0.00073198+0.00038824i,-2.1132e-05-0.00064212i,-0.00042265-0.001181i,-6.2872e-05-0.0013802i,8.4293e-05-0.00082272i,-0.000338-0.00055142i,-5.7365e-06-0.00061381i,0.00041995-0.0004306i,0.00029946-5.9862e-05i,2.1166e-05-0.00069594i
-0.0029227+0.0012978i,-0.0032267+0.0018775i,-0.0037793+0.0018777i,-0.0032369+0.00087308i,-0.002364-0.00066435i,-0.0020036-0.0012068i,-0.00093225-0.0012429i,0.00030481-0.0010824i,0.00026783-0.0005061i,-0.00047196-0.00071681i,-0.00070183-0.00080262i,-0.00072543-0.00025684i,0.00047465+0.00050218i,0.00084883+0.00021672i,0.00056868-0.00024242i,0.00065097+8.2261e-05i,0.0006463+4.5683e-05i,0.00058358+0.00055351i,0.00044882+0.00054528i,0.00012188+0.00020104i,-2.424e-05+0.00055078i,-0.00013848+0.00017904i,0.00026971-0.00050296i
-0.00065878-0.0019507i,-0.000116-0.0041349i,0.0010302-0.0048986i,0.0011085-0.0034654i,0.00020286-0.0015537i,0.00012843-0.00031414i,0.00014142-0.00063229i,-0.00010345-0.0010707i,0.0004564-0.00090885i,0.0011784-0.00089918i,0.00091911-0.0011127i,-0.00083312-0.0013095i,-0.0016005-0.0010107i,-0.0011697-0.00048004i,-0.00087628-0.00036401i,-0.0017406+0.00029307i,-0.0023892+0.0012471i,-0.0015026+0.0012611i,0.00014813+0.00098242i,0.00073834+0.00063593i,0.00051441+0.00018829i,0.00028102+0.00052632i,0.00051327+0.00075142i
0.0016085+0.0010629i,0.0046257+0.0018384i,0.0058825+0.0010992i,0.0046475+0.00017668i,0.0023984+0.00032961i,0.00065962+0.00080961i,4.2908e-05-0.00024872i,0.00024973-0.0014277i,-4.2895e-05-0.0011834i,0.00022616-0.00048552i,0.00077924-0.00067544i,0.00034334-0.00063228i,0.00039518-0.00038911i,0.00042359-0.0011062i,-0.00023951-0.00045334i,-0.00063804-5.6812e-05i,-0.00048534-0.00070445i,-0.0002603-0.00013038i,-0.00049409+0.00068016i,-0.0010836+0.0003454i,-0.00066893-2.0589e-05i,0.00034505+2.7393e-05i,0.00030023+0.00024578i
-0.0027249+0.00063574i,-0.0041812+0.0030375i,-0.0058225+0.0034138i,-0.0048682+0.0020734i,-0.0042958+0.0013269i,-0.0038666+0.00063498i,-0.001213-2.6999e-05i,0.00014472-0.00050388i,-0.00033163-0.0007011i,-0.00039461-0.00033219i,-0.00013894+0.0002343i,-0.0001001+0.00096644i,-0.00023995+0.00061795i,-0.00033816-0.00012353i,0.00014743-0.00038544i,0.00086093+0.00012918i,0.001146+1.7401e-05i,0.00054476-0.0011567i,0.00018261-0.0012919i,0.00051633-0.00030659i,0.00016285+0.00018423i,-0.00048779-0.00038245i,-0.00018561-0.00065957i
-0.0017516-0.0019362i,-0.0024615-0.0045452i,-0.0024814-0.0062963i,-0.0011612-0.0037718i,0.00033664-0.00075971i,0.0011314+0.0010796i,0.00077783+0.0010983i,9.4285e-05-1.41e-05i,0.00024723-0.0013992i,0.00085783-0.0015449i,0.00033793-0.00050452i,-0.000599+0.00018312i,-0.0010089+0.00013983i,-0.0015456-0.00030688i,-0.001599-0.00050371i,-0.0015233+0.00019157i,-0.0012847+0.0012421i,-0.00094284+0.0015627i,-0.00044065+0.00096651i,6.2349e-05+0.00032311i,0.00062109+0.00015384i,0.0003604-4.5233e-05i,-0.00022823-1.7335e-05i
0.0015875+0.0032551i,0.0053009+0.0020596i,0.007255+0.00044756i,0.0047952-0.0011314i,0.0021357-0.0013003i,0.0011973-0.0017299i,-0.00018285-0.0024836i,-0.0011149-0.0018946i,-0.0010386-0.00052738i,-0.0004075-9.3813e-05i,0.00078815-0.00090628i,0.0016208-0.001789i,0.0013935-0.0012636i,0.0008406-0.00056401i,0.0001253+4.5532e-05i,-0.00098422-6.6301e-05i,-0.0016664-0.00049996i,-0.0018997-0.00013822i,-0.0020202-0.00046284i,-0.0010185-0.0010106i,-7.898e-05-0.0004271i,-0.00048978-0.00011609i,-0.00037707+0.00013027i
0.00068001+0.0020586i,0.00048478+0.0043962i,0.00017939+0.0050062i,1.0578e-05+0.0018388i,-0.0010871-0.00070655i,-0.0014658-0.0011633i,-0.00056465-0.00033556i,-0.00060421+0.00082928i,-0.00089561+0.00051668i,-0.00073332-4.2095e-06i,-0.000748+0.00070381i,-5.0441e-05+0.0013955i,0.00072641+0.0013077i,0.00075223+0.0010107i,0.00087695+0.00078758i,0.00088249-0.00017882i,0.0007461-0.00094949i,0.00034615-0.00068998i,0.00044035-1.1299e-05i,0.00082243+0.0004871i,0.0011738+0.00050245i,0.00081252+0.00023362i,6.9891e-05+0.00060219i
-0.0026539-0.00056295i,-0.0032525-0.0020071i,-0.0039237-0.0010346i,-0.0020701+0.0011255i,-0.00050439+0.0024228i,0.00011847+0.0016666i,0.0010208+0.00010463i,0.00059364-0.00086995i,-5.1956e-05-0.00102i,0.00088094-0.0009177i,0.00070883-0.00077684i,-0.00041703+0.00038706i,-0.0011595+0.0010376i,-0.002409+0.0010591i,-0.0020481+0.0011794i,-0.00082775+0.0010994i,-0.0007408+0.0014456i,-0.00096778+0.0014357i,-0.00022843+0.0011504i,0.00077637+0.00046852i,0.00068242-0.00031412i,0.00072246-0.00020951i,0.00061928+0.00036282i
