-0.001587+0.00095115i,-0.00046857+0.00017638i,-0.00010329+0.00011302i,0.0007936-7.6362e-05i,0.00042827+0.00062063i,-0.00057701+0.0014797i,-0.00023335+0.0018593i,0.0010659+0.0016916i,0.0017233+0.00069857i,0.0010815-0.00079508i,8.5016e-07-0.0010061i,-0.0010522-0.00043011i,-0.0015842+4.005e-05i,-0.0011615-0.00044191i,-0.00032208-0.0012089i,-1.339e-05-0.0010299i,0.00074293-0.00060497i,0.0013519+5.6926e-05i,0.00064624+0.0011163i,3.605e-05+0.0012952i,-0.00026671+0.00023031i,-0.00075697-0.00030483i,-0.00070256+7.7857e-05i
0.00047006+0.0022541i,-0.00033544+0.00041428i,-0.0003757-8.9459e-05i,5.1633e-05+0.0010761i,-0.00030667+0.00094171i,-0.00077329-0.00017116i,-0.00053077-0.00035464i,-0.00033762+0.00015853i,0.00035951+0.00031623i,0.00094171+0.00053444i,0.00033823+0.00016743i,9.2869e-05-0.00089922i,-0.00041195-0.0015636i,-0.0013641-0.00050444i,-0.0012181+0.00019263i,-8.477e-05+0.00041045i,0.00080485+0.00067214i,0.0013736+0.00057145i,0.00089835+0.00084504i,1.6693e-06+0.00068604i,-0.00039721+0.00067023i,-0.00024441+0.00093499i,0.00037415+0.00047196i
0.0024974+0.0020318i,0.0033662+0.00078308i,0.004503+0.00044491i,0.0033791-6.9473e-05i,0.001825-0.00062551i,0.0013966-2.3919e-05i,0.00076778+9.886e-05i,0.00043043+0.00073439i,0.00045346+0.0005096i,8.9545e-05-0.00083591i,-0.00051685-0.00046474i,-0.00038506-0.00056269i,0.00012143-0.0012527i,-0.00016345-0.00089842i,0.00025337-0.00014902i,0.00073771+0.00098164i,0.00018679+0.001571i,7.7031e-05+0.0010538i,-9.2036e-05+0.00086103i,-0.00018723+0.0011744i,0.00041208+0.0008301i,0.00037846-0.00029971i,0.00021672-0.00046002i
-0.0026555-1.7357e-05i,-0.0026044+0.0013762i,-0.0025405+0.0026405i,-0.003011+0.0031383i,-0.0022789+0.0024976i,-0.00029861+0.0010865i,0.00038375+0.00043608i,0.00034785+7.5026e-05i,0.00048442-0.00032705i,0.00040172-0.00086792i,0.00043526-0.00091638i,0.00045173-0.00076995i,0.00014078-0.0012736i,0.00015022-0.0012693i,0.00087709-0.0010116i,0.00063-0.00057104i,-0.00039413-0.00069434i,0.00015618-0.0010076i,0.0010915-0.00078383i,0.00072552-0.00057027i,-5.3414e-05-0.00077199i,-6.9502e-07-0.00024117i,-0.0002446+2.6281e-05i
0.00073051+0.0015491i,0.0011459+0.00029758i,0.0015284-0.00097866i,0.0021385-0.0018541i,0.0016119-0.0014599i,-0.00038143-0.0009356i,-0.00094449-0.00013655i,-0.00024484+0.0010544i,0.00085808+0.0011565i,0.0019451+0.00029319i,0.0015274-0.00077391i,0.00025202-0.0015248i,-0.0002507-0.0017396i,-8.9418e-06-0.00058027i,7.2484e-05+0.00047137i,0.00040551+0.00051313i,0.00035457+0.00036871i,0.0002627+0.00027429i,0.00053622-0.0002874i,-1.8975e-05-0.00061494i,-0.00073649-0.00060559i,-0.00083567-0.00038341i,-0.0008648+5.5646e-05i
0.0025805+0.0011363i,0.0025948-0.00040586i,0.0032125-0.0012607i,0.0030493-0.0018855i,0.0025151-0.0027593i,0.0014431-0.0013882i,0.00016782+0.00041261i,-3.4995e-05+0.00040994i,0.00031831-0.00017195i,0.00081822-0.00066768i,0.00082299-0.00035337i,0.00017842-0.00024089i,-0.00042012+8.6343e-05i,-0.00075605+0.00072756i,-0.00049228+0.0009033i,-6.5715e-05+0.00066332i,0.0002409+0.00030113i,0.00085562+1.2224e-05i,0.00088739-0.00063296i,-0.000126-0.00099156i,-0.00071121-0.00064287i,-0.00044245-0.00030107i,0.0003013-0.00013338i
-0.0009619+0.0020887i,-0.0010995+0.0023274i,0.00015408+0.0020282i,0.0011976+0.00091457i,0.0016616-0.00081058i,0.0012927-0.00064854i,0.00034479+2.0422e-05i,1.2846e-05+0.00033779i,0.00011301+1.6024e-07i,-4.0292e-05-0.00052032i,-0.00033659-0.00093163i,-0.00062227-0.0014913i,-0.001023-0.00091578i,-0.0017955-0.00015989i,-0.0016682+8.5829e-05i,-0.00016618+0.00029049i,0.0010167+0.00077752i,0.0003361+0.00060389i,-0.00028366-0.00048671i,0.00010716+0.00011018i,0.00033864+0.00057016i,0.00099642+0.00046714i,0.00060185+0.0009635i
-0.00092358+0.00171i,-0.0011225+0.0027201i,-0.0012724+0.003954i,0.00072249+0.0042175i,0.0030918+0.0037128i,0.0031522+0.0022999i,0.0011139+0.00099715i,-3.9899e-05+0.00088998i,0.0010844-1.2582e-05i,0.0011559-0.00048629i,-2.2303e-05-0.00078589i,-0.00028508-0.0020231i,-9.9063e-06-0.0023901i,-0.00027717-0.0016524i,4.3659e-05-0.00021111i,0.0002268+0.0010265i,-0.0005681+0.00088767i,-0.00063615+0.00073387i,-0.00046774+0.000367i,-0.00031272-0.00059288i,0.00022248-0.0005965i,0.00042012-2.6167e-05i,-1.0034e-05+0.00049888i
-0.0015825-0.0014711i,-0.00163-0.0012743i,-0.0011021-0.0015707i,-0.0011823-0.0019463i,-0.00041904-0.0013989i,8.9108e-06+0.00031973i,-0.00045648+0.00099152i,-0.00036821+0.00051986i,0.00021067+9.9011e-05i,0.00016277-0.0005297i,-0.00015953-0.0010825i,-0.00040118-0.0013479i,-0.00016219-0.0017162i,0.00054373-0.0017439i,0.00039892-0.001149i,-0.00048958-0.00026492i,-0.00081997-0.00037862i,-0.00076229-0.00089856i,-0.00042125-0.00043264i,9.1712e-05-0.00024167i,-0.00011884-0.00047831i,-1.0292e-05-0.00064445i,0.00034915-0.00055937i
0.0012697-4.9124e-05i,0.00046958+0.00048874i,0.00084286-0.00064478i,0.0014139-0.00021361i,0.0013035+0.00076898i,0.00076907+0.0017849i,0.00058681+0.0019544i,0.00062905+0.0010759i,0.00033952-0.00013667i,-9.542e-05-0.00076795i,-0.001177-0.00039855i,-0.00079935-4.0235e-05i,2.0615e-05+0.0002599i,-0.00042682+0.00039119i,-0.00073787+0.001164i,0.00019385+0.0012696i,0.00050181+0.00079892i,0.00062545+0.00020063i,0.00076697-0.0007371i,-4.1569e-05-0.00060926i,-0.00019862-0.00024152i,-8.4561e-05-2.2044e-05i,-0.0002156+0.00028526i
0.0016336+0.0018231i,0.0020512+0.0018084i,0.0030185+0.00033234i,0.0026735-0.0013674i,0.0016021-0.0019902i,0.00058053-0.0016076i,7.4098e-05-0.00087966i,8.9999e-05-0.00031353i,0.00025152-0.00045291i,0.00015849-0.00089929i,0.00013571-0.0015645i,-0.00045111-0.00062138i,-0.00095116+0.00012828i,-0.00094516+0.000294i,-0.00068143+0.00075224i,0.0003115+0.00085059i,0.0011642+0.0010117i,0.0013995+0.0011718i,0.0012021+0.00021991i,-0.00016703-0.0004914i,-0.00085065-0.00035174i,-7.0453e-05+0.00028672i,6.9347e-05+0.00061545i
0.00014798+0.00099392i,0.00089756+0.0016538i,0.0015447+0.0023621i,0.0016422+0.0018186i,0.0017221-3.0354e-05i,0.0010933-0.00077125i,0.00017392-2.541e-05i,0.00037087+0.00046375i,0.0004237+0.00069532i,0.00056616+0.00072847i,0.00064419+0.0005459i,0.00086459-0.00087367i,0.0012215-0.0016773i,0.00054111-0.00023606i,0.00012027+0.00032993i,0.00023012+0.00017998i,-3.6691e-05+0.00051035i,0.00014106+0.00041915i,0.00065893+0.00012107i,0.00062895-0.00018598i,0.0005468-5.6863e-05i,0.00020613+0.00028385i,-5.093e-05+0.00067368i
-0.00077366-0.00021476i,-0.0021912+0.00022161i,-0.0021085-0.00052282i,-0.00045881-0.001108i,0.00026479+0.00021411i,-1.382e-05+0.0012658i,2.9587e-05+0.0014183i,0.0002783+0.0011102i,0.00087639+0.00035282i,0.00046153-0.00064748i,-0.00056324-0.0011621i,-0.00061932-0.00069799i,-0.00071059-0.00040697i,-0.0014409-0.0007097i,-0.0012845-0.0010049i,-0.00033827-0.00046182i,0.00016179+0.00038091i,5.4192e-05+0.00016127i,-0.00058304-0.00034539i,-0.00071511+0.00035891i,0.00056483+0.0010707i,0.0006186+0.00052288i,0.00065687+3.3768e-05i
0.0025548-0.001235i,0.0028222-0.0029999i,0.0023546-0.0043036i,0.0019848-0.0032584i,0.0015194-0.0010488i,0.0011287-4.2519e-05i,0.00058466+0.00092965i,-0.00010201+0.001731i,-0.00023475+0.00088107i,0.00050605-2.5671e-05i,0.00093525-7.2771e-05i,0.00026986+2.469e-05i,-1.761e-05+5.5772e-06i,-0.00018811+0.00011712i,-0.00069831+0.0001511i,6.274e-05+0.00049943i,0.00079248+0.00096304i,7.4823e-05+5.2259e-05i,-0.00048177-0.00070156i,1.9051e-06-0.00055663i,0.00071788-0.0002744i,0.00028221-0.00013464i,-0.00031098-0.00032179i
-0.00071729+0.00036033i,0.00012565+0.0010178i,0.00070402+0.0018824i,0.00043659+0.0024974i,0.00015238+0.0020956i,-0.0001692+0.00056575i,-0.00095623+0.00016854i,-0.00065825+0.00063907i,0.00044674+0.0006051i,0.00080693+0.00018455i,0.0010413-0.001095i,0.0008165-0.0018267i,0.00064222-0.0012331i,0.00086865-0.00020085i,0.00080164+0.00061213i,0.00032859+0.00095483i,0.00055253+0.00048597i,0.00062816-0.0002696i,-0.00032069-0.0004419i,-0.00070188+0.00039701i,-0.00030714+0.00057042i,9.0959e-05-0.00023253i,2.6955e-05-0.00075587i
-0.0012055-0.0007029i,-0.0028185+0.00085869i,-0.0039322+0.0019448i,-0.0019979+0.00034223i,-0.00058275-0.00097622i,-0.00066638-0.00056084i,-0.0008242+0.00020222i,-0.00050894+0.00017659i,-0.00012102-3.9677e-05i,-0.00071213-0.00021474i,-0.00075675-0.0014582i,-0.00022309-0.0016838i,-0.00022266-0.00095933i,-0.00037237-0.00076494i,-0.00059836-2.3435e-05i,-0.00061966+0.0011045i,-0.00048278+0.0017227i,5.7e-05+0.0009811i,0.00018786+0.00013025i,-4.7738e-05-0.00018862i,0.00010122-0.00034066i,0.00041518-0.00066475i,0.00052697-0.00092352i
-0.0001542+0.00078244i,-0.0003847+1.0051e-05i,-0.00023694-0.00066088i,0.0005686-0.00025549i,0.0018705-2.5788e-05i,0.001565+0.00011498i,-7.7928e-05+0.00047575i,-0.00041849+0.00020931i,0.00060568-5.8758e-05i,0.00057853-0.0009129i,-4.4044e-05-0.0016369i,-0.00016293-0.0012231i,-0.00031748-0.00076669i,-0.00072886-0.00014058i,-0.00096373+0.00046048i,-0.00035757+0.00036677i,0.00053391+0.00048391i,0.00048688+0.00074577i,0.00046802-7.1472e-05i,0.00073628-0.00046158i,0.00033033+0.00030789i,-0.00041886+0.0006083i,-0.00011367+0.00033314i
0.0022152-0.00025823i,0.0020642-0.0013451i,0.0018346-0.0027686i,0.00014207-0.0026041i,-0.00099703-0.001421i,-0.00077884-0.00012304i,-0.00064937+0.00075643i,-0.001044+0.00076395i,-0.00096237+0.00016156i,-0.00026956-0.00043667i,-3.2589e-06-0.00016241i,-0.00035218-0.00056746i,-0.00017542-0.0013277i,0.0001485-0.0006918i,-2.3279e-05-0.00028858i,-2.0178e-05-0.00064695i,-0.00024542-0.00061971i,-0.00033671-0.00047569i,1.8004e-05-0.00021181i,-5.4937e-05-2.1256e-05i,-4.0847e-05+0.00010692i,0.00016445+0.00035029i,0.00040165+0.00051369i
0.0016552+0.00050565i,0.0013078+0.0008833i,0.0020965+0.0017472i,0.0033205+0.0024273i,0.0030729+0.001844i,0.0013216+0.0019193i,5.569e-05+0.0021103i,-0.00037099+0.0013263i,-0.0009041-7.4009e-05i,-0.00021609-0.0013218i,-9.7931e-05-0.0012617i,-0.00027893-0.00053859i,-0.00022567-0.00018652i,-0.00026882+0.00020114i,-0.0004439+0.00041628i,-0.00024408-0.00012413i,0.00046257-0.00080102i,0.0010117-0.001486i,0.00093895-0.0014647i,-3.8203e-05-0.00039768i,-0.0010128+0.00076824i,-0.0013569-0.00012048i,-0.00070359-0.00093407i
0.00010094+0.00015527i,-0.0005886+0.00026754i,-0.00036519+0.00044059i,1.3768e-05+0.00031084i,-0.00056532+0.00030211i,-0.00086271-0.00027438i,-0.00068326+0.00065873i,-0.00033351+0.0014742i,0.00020432+0.00055978i,-0.00026206-0.00031812i,-0.00045165-0.00088081i,-8.6304e-05-0.001072i,-0.00015854-0.00040769i,-0.00043037+0.00015198i,0.00052795+0.00058294i,0.0021385+0.00032925i,0.0022018-0.00057036i,0.0014563-0.00077156i,0.00051316-0.00026345i,-0.00033642+2.1041e-05i,-0.00076845-0.00059106i,-0.00064757-0.00076372i,-0.00027369+4.9452e-05i
-0.0024171-0.0012759i,-0.0029031-0.0013379i,-0.004233-0.00062277i,-0.0042638+4.0953e-05i,-0.0016753+5.3945e-05i,6.278e-05+5.1683e-05i,-4.2925e-05-0.00026361i,-0.00014275+4.3754e-05i,-0.0001992+0.00052858i,-0.00014422-0.00083241i,0.00048792-0.0018114i,0.00057118-0.0016176i,-0.00016305-0.00083715i,-0.0008299+0.00026942i,-0.00099479+0.00094874i,-0.00040096+0.00083141i,-0.00025562+0.0010655i,-0.00066+0.0015619i,-1.2756e-05+0.00043575i,0.0006296-0.00065791i,0.00013136-0.00061097i,-0.00056134-0.00038639i,-0.00040284-0.00061756i
-0.0010481-0.0011496i,-0.00058932-0.00094516i,0.00012766-0.00088635i,0.0020038-0.0012283i,0.0021902-0.00086516i,0.00081025+3.9652e-05i,-0.00020572+0.00039852i,-0.00027496+0.00024297i,0.00013966-0.00030161i,0.00075946+3.5274e-05i,0.00041514-0.00061848i,-0.00079314-0.0012396i,-0.0012591-0.00090932i,-0.001576-0.00041076i,-0.0021593+0.00054438i,-0.0020004+0.0011339i,-0.0015754+0.00081019i,-0.00037184+0.0003124i,0.00064565+0.00073532i,0.00098014+0.0011317i,0.00072467+0.0011438i,0.00074508+0.0010504i,0.00097445+6.3897e-05i
-0.0010016+0.0011107i,0.00059554+0.0030227i,0.0013931+0.0040942i,0.0026524+0.0024195i,0.0034411+0.0016313i,0.0026581+0.0012837i,0.00174+0.0012057i,0.0011424+0.0011024i,0.00063456+0.00032102i,0.00051635-0.00030148i,0.00050315-0.00082338i,0.00016276-0.001223i,-0.00043692-0.00099803i,-0.00023258-0.00031648i,-0.00067664-0.00034269i,-0.0011098-0.00081166i,-0.001074-0.0014204i,-0.00066055-0.001477i,-0.00038946-0.00028016i,-0.0010157-0.00016774i,-0.0010074-0.00040684i,-2.6329e-05+0.00032378i,0.00051385+0.00094451i
-0.00093786-0.00079995i,-0.0016861+0.00071453i,-0.0011104+0.0010353i,-0.00097685+0.001251i,-0.00079311+0.0012859i,-0.00082484+0.00082272i,-0.00099367+0.00063771i,-0.0010195+0.00070266i,-0.00046893+2.0085e-05i,-0.00042147+1.3346e-06i,-0.00045867+0.00016291i,0.00015466-0.00013128i,0.00025405+0.00035687i,0.00036874+0.00012627i,0.00084408-0.00082848i,0.00098628-0.0016889i,0.00079998-0.0018534i,0.00094064-0.0010791i,0.00089224-0.00054428i,0.00041407-0.00025354i,5.4089e-05+0.00036489i,-0.0003332+0.00025642i,1.0159e-05-0.00015342i
0.0020536-0.0032685i,0.0010747-0.0042099i,-0.00047205-0.006119i,-0.0017581-0.0045463i,-0.002667-0.0012778i,-0.0020092+0.00016147i,-0.00062583+0.00073277i,-2.6846e-05+0.00066317i,9.4342e-06+0.0003301i,0.00012106-2.7827e-07i,0.00021722-0.00020614i,-0.00020074-8.7349e-05i,-0.00017814+0.00017917i,0.00038051+0.0011211i,0.00072036+0.0014523i,0.0011292+0.0016027i,0.0012038+0.0020319i,0.00032299+0.00097224i,-0.00016309-0.00071773i,-0.0003119-0.001138i,-0.00047759-0.00059237i,-0.00087804-0.00017734i,-0.00096195-0.00090911i
-0.0024076-0.00034717i,-0.001346-0.00039155i,-0.0007086+0.00016294i,-0.0008366+0.00072664i,-0.0007377+0.0011755i,0.00026208+0.0013767i,0.0012255+0.0013526i,0.00063161+0.00086626i,0.00025843-7.9664e-05i,0.00052048-6.7461e-05i,0.00047455-0.00031764i,0.0003352-0.0012036i,-0.00020236-0.0012625i,-0.00070168-2.3476e-05i,-0.00068425+0.001207i,0.00020985+0.0015302i,0.00083365+0.0012475i,-0.00016742+0.00061597i,-0.00060252+8.4306e-05i,0.00010109-8.1609e-05i,0.00061638-4.526e-05i,0.00052154+0.00033907i,-0.00039683+0.00027484i
0.00019823+0.00027194i,7.6058e-05+0.0010436i,0.0012726+0.0033622i,0.0012311+0.002395i,0.00076475+0.00037671i,4.9483e-05+0.00092857i,-0.0006763+0.0016658i,-0.00043866+0.0010972i,-0.00033125-0.0001066i,-0.00020013-0.0011674i,0.00018244-0.0022766i,-0.00018075-0.0023784i,-0.00084165-0.0019866i,-0.00094823-0.0018765i,-0.00078624-0.0013267i,-0.00077025-0.00019853i,-0.00094217+0.00020044i,-0.00072457-0.00029488i,0.00040735-0.00015449i,0.00074656+0.00082166i,0.00049681+8.5045e-05i,0.00085958-0.00063253i,-4.6854e-05-0.00072002i
-0.0011088+0.00030455i,-0.0014041-0.00041049i,-0.0010152+0.00024098i,-5.5144e-05-0.00051118i,0.00086112-0.001159i,0.00016153-0.0013427i,-0.00062652-0.00077644i,-0.00064949-0.00043614i,-0.00089203-0.0015524i,-0.00067256-0.0016265i,0.00029581-0.001039i,0.00037207-0.00094783i,-0.00063694-0.00094993i,-0.0013541-0.00096569i,-0.0011608-0.00028601i,-0.00045896-0.00025158i,0.00012163-0.0013379i,0.0010419-0.0018103i,0.00059178-0.00093801i,-0.00083301+0.00013486i,-0.0013933+0.00017936i,-0.000924-2.7285e-05i,0.0001821+0.00050553i
-0.0020554+0.00093737i,-0.00015124+0.000648i,0.00089232+0.0024875i,-0.00050728+0.0031708i,-0.00022994+0.0022098i,0.0010783+0.001464i,0.00080645+0.0010914i,0.00026811+0.00075504i,0.00061901+3.9447e-06i,0.0011036-0.00085823i,0.0010823-0.0013651i,0.001015-0.0012426i,0.00096705-0.00079984i,0.0010577-0.00070294i,0.0010001-0.00029841i,0.00059972+0.00018231i,0.00075735-0.00019573i,0.0012156+8.8026e-05i,0.0011159+0.0010149i,0.00067822+0.00085305i,0.00066652+8.1828e-05i,0.00055894-1.3611e-05i,0.00041354+7.063e-05i
0.00096817+0.00034793i,0.00090263+0.00052488i,0.00020787+0.00062216i,-0.00036736+0.00065307i,-0.0010418+0.00047369i,-0.00051668+0.00032581i,0.00027335+2.2344e-05i,0.00074892+0.00026932i,0.00090653+0.00034509i,0.00068928-0.00056914i,0.00014585-0.00117i,0.00021148-0.0010101i,0.00030247-0.00044601i,0.0005137-0.00029691i,0.0008175+0.00044528i,0.00026371+0.0016064i,-0.00022469+0.0015935i,-0.00026636+0.00075608i,-0.00011501-0.00052216i,0.0003114-0.00096151i,0.0003724-0.00079905i,0.00027677-0.00088658i,0.00027247-0.00066824i
0.00029073-0.0036371i,-0.00032357-0.0019878i,-0.0004483-0.0023236i,-0.00017709-0.0025094i,-0.00050881-0.0021637i,-0.0012795-0.00074458i,-0.00072955+0.00083935i,9.2482e-05+0.00084433i,-2.9091e-05-0.00048799i,4.792e-06-0.0012431i,-0.00013918-0.00057908i,-0.0006416-0.00064926i,-0.00097253-0.00082691i,-0.00031753-0.00017706i,0.00019006+0.00057817i,-2.5162e-05+0.00067974i,-0.00054453+0.00049661i,-0.00090095+0.00024688i,-0.0006217+0.00015618i,0.00017994-0.00013834i,0.00078618-0.00013661i,0.00059989-0.00062025i,0.00046979-0.00058979i
-0.0026687+0.0022193i,-0.0030251+0.0023207i,-0.0027005+0.002588i,0.000166+0.0032629i,0.0029463+0.0029851i,0.0027995+0.0020815i,0.00085566+0.0017594i,0.00011527+0.0017313i,0.00051183+0.0011165i,0.00031266-0.00062266i,7.9825e-06-0.0014388i,-0.00054354-0.00085726i,-0.0014526+5.4671e-06i,-0.0017486-0.00029804i,-0.0014964-0.0012356i,-0.00088391-0.001044i,-0.0011256-0.00071072i,-0.0012237-0.0010365i,0.00032535-0.001185i,0.0012955-5.4939e-06i,0.00032076+0.00036825i,0.00026151-0.00018879i,0.0007469+0.0001335i
-0.00083176-0.0013947i,-0.0020268-0.00089231i,-0.0021552-0.00043249i,-0.0015747+0.00028812i,0.00027252+0.00049845i,0.00078214+3.038e-05i,0.00014827-0.00041213i,0.00028726+0.0001413i,-9.595e-05-2.1915e-05i,-4.1685e-05-0.0013428i,5.0463e-05-0.0013946i,-0.00041777-0.0010423i,-0.00060775-0.0012253i,-0.00030144-0.0011888i,-0.00015172-0.0014125i,0.0005845-0.0012195i,0.00097343-0.00050004i,0.00053306-0.00025546i,-4.0937e-05-0.00071107i,-0.00038714-0.0005529i,-7.1969e-05+0.0003765i,1.2722e-05+0.0008765i,-0.00039207+0.00080543i
-2.1876e-05+0.0018934i,0.0017476+0.00050621i,0.0032644+7.1924e-05i,0.0029412+0.00038081i,0.0024636+0.00090254i,0.0014281+0.00069044i,0.00022145+0.00029243i,-0.00017188+0.00062546i,-8.9092e-05+0.00021239i,7.9853e-05-0.00025322i,0.00016477-0.00051124i,-1.5375e-05-0.0011757i,-0.00037467-0.0013958i,-6.4143e-05-0.0011514i,0.0013913-0.00074947i,0.0020688-0.00023151i,0.0028305+3.5039e-05i,0.0023774+0.0012332i,0.00064375+0.0015279i,0.00031128+0.00049049i,-0.00010927+8.0075e-05i,-0.00058498+0.00040857i,-0.00065416+0.00058117i
-0.00011482+0.0031466i,0.0001762+0.0043859i,9.8258e-05+0.0049394i,0.00066608+0.0025684i,0.0011643-8.6926e-06i,0.00057362-0.00013801i,0.00030348+0.00042227i,0.00034256+0.00041009i,-0.00018276+4.6578e-05i,-4.643e-05-0.00075224i,0.00048776-0.0015078i,0.00025069-0.0018406i,-0.00024845-0.0012613i,-0.00092338+0.0001543i,-0.00028609+0.00044754i,0.00062022+0.00019224i,0.00074049+0.00065878i,5.0417e-05+0.00030336i,-0.00061985+0.00017285i,-0.00039601-0.00010333i,-4.947e-05-0.0011449i,4.7327e-05-0.0007527i,3.7245e-05+0.00029457i
0.0010597+0.0012319i,-0.00019268-2.5239e-05i,-0.00044987-0.0011523i,-0.00047582-0.0010031i,-0.00083786-0.00081574i,-0.0018473-0.00022856i,-0.00082263+0.001166i,0.00039475+0.0023746i,-9.8378e-05+0.001191i,-0.00087214-0.00025241i,-0.0015253-0.00062086i,-0.0012069-0.00036082i,-0.00076283+0.00011704i,-0.0015109+0.00054489i,-0.0017514+0.0011679i,-0.001048+0.00083572i,-0.00078928-0.00051641i,-0.00096618-0.0011493i,-0.00044012-0.00057239i,-0.00019859-0.00037236i,-0.00012269-0.0003806i,0.00025219+1.3427e-05i,0.00042766+8.8914e-05i
0.0023385+0.0039439i,0.0034322+0.0010646i,0.0047335-0.0003659i,0.0045546-0.0024473i,0.0030983-0.0042941i,0.0010843-0.0036823i,9.9691e-05-0.0018247i,0.00046801-0.0010757i,0.00049669-0.00098217i,0.00059974-0.0012001i,0.00061645-0.001543i,1.8116e-05-0.0020735i,-0.00068261-0.001164i,-0.00092793-1.4855e-05i,-0.00109-0.00097256i,-0.00038289-0.0015638i,0.00039858-0.0018925i,0.00077965-0.001771i,0.00093543-0.0010188i,0.00078404-3.4315e-05i,0.0011361+0.0013716i,0.0012881+0.0012081i,0.00099239+7.7626e-05i
0.0014483-0.00047738i,0.0022022+0.00080379i,0.0032215+0.0014908i,0.0034584+0.0013115i,0.0020556+0.0012946i,0.00078275+0.00053285i,-5.9565e-05+0.00050362i,0.00013336+0.0014515i,0.00099681+0.0012487i,0.00068242-8.4604e-06i,-0.00010595-0.0012977i,-0.00077001-0.0018539i,-0.00057093-0.0016846i,-0.00057252-0.0010149i,-0.00027225-0.00042394i,0.00033815+0.0005825i,0.00012496+0.00093868i,0.00054789-0.0002563i,0.0017692-0.00041548i,0.0012708+0.00033552i,-0.00022953+0.00092239i,-0.00016175+0.00067775i,0.00052133+0.00017055i
-0.00092602+0.0012572i,-0.0013837+0.0022778i,-0.0014566+0.0035529i,-0.00013903+0.0025775i,0.0010085+0.00049113i,0.00083421-6.9405e-05i,-0.00047908+0.00081336i,-0.00064228+0.00099526i,8.9357e-05-0.00036066i,5.704e-05-0.001601i,0.00053207-0.0016648i,0.00091846-0.0013422i,0.00016733-0.0016426i,-0.00046497-0.0010359i,2.1876e-05+3.5407e-05i,0.00070768+0.00065582i,0.00078027+0.001539i,0.00032649+0.0013094i,-0.00022505+0.00076448i,-0.00067949+0.00086019i,-0.00088272+0.00070086i,-0.0010025+0.00084928i,-0.0013826+0.0008652i
7.3372e-05+0.0011396i,-0.00035439-0.00021028i,-0.0007462-0.0016967i,0.0007298-0.0013371i,0.0020332-0.00068052i,0.00088217-0.00019072i,0.00058906-0.00031339i,0.001451+0.00040452i,0.0014068+0.0007155i,9.3969e-05-0.00067344i,-0.00093175-0.001383i,-0.00069944-0.0009941i,-0.0002522-0.0006293i,-0.00011378+0.00028008i,-0.00047078+0.0010317i,-0.0010669+0.00096315i,-0.0010849+0.00091342i,-0.00038004+0.00074035i,-0.00013923+0.00080238i,-0.00017683+0.00051383i,0.00014457-0.00048661i,0.00053609-0.0011618i,0.00046785-0.0010565i
-0.0017485+0.0016505i,-0.0013905+0.0015153i,-0.00050679+0.00010957i,0.00025568-0.00078232i,0.00046305-0.00029108i,-0.00014207+0.0010509i,-0.0013089+0.0012105i,-0.0014242+0.00036373i,-3.7902e-05+0.00026158i,0.00097159-8.2144e-05i,0.00025218-0.00062887i,-0.00033896-0.00095582i,-6.8159e-05-2.0161e-05i,-0.00068881+0.00085458i,-0.0012843-3.3711e-06i,-0.0006614-0.0010634i,-0.00014342-0.0012483i,-0.00013403-0.0010334i,-0.00077594-0.0011746i,-0.0010242-0.00090154i,-0.00093374-0.00032791i,-0.00082965-0.00038393i,-0.00059402+0.00052903i
0.0029393-0.0022757i,0.0026238-0.0015344i,0.0033804-0.0018806i,0.0031445-0.0014289i,0.0010929-0.0013687i,-0.00050215-9.265e-05i,-0.00028893+0.0012236i,0.00058071+0.00094172i,0.00066913+9.0806e-05i,0.00015174-0.0010293i,-0.00027963-0.0004688i,-0.0011141+0.00019722i,-0.001319-0.00013542i,-0.0011712-0.00069896i,-0.0013132-0.00066711i,-5.1987e-06-0.0003379i,0.0011176+4.2212e-05i,0.0013085+0.00055346i,0.00095523+0.00016398i,0.00076788-0.00069208i,0.00086721-0.0010989i,0.00052341-0.00077477i,0.00020074-0.00056935i
0.00079416+0.0021556i,0.0018691+0.0029951i,0.0033799+0.0032958i,0.0039661+0.0022313i,0.0026703+0.00034053i,0.0011086-0.00034542i,0.00078703+0.00062302i,0.00026834+0.0012411i,-0.00014446+0.00055182i,-5.4164e-05-0.00040227i,0.00048794-0.00093908i,0.00065414-0.00065766i,-0.00011916-0.00071945i,-0.00021161-0.00097543i,6.6195e-05-0.00058908i,0.00056386+0.00063945i,0.0010216+0.00056779i,0.00094526-0.0005184i,0.0014162-0.00075203i,0.00058628+3.8017e-05i,-0.00033119+0.00041016i,0.00023146+0.00069659i,0.00064245+0.00072676i
-0.00039891-0.0014481i,-0.0022243-0.00040711i,-0.0034402-0.0001564i,-0.0030939+0.00011707i,-0.00098084-0.00045214i,-0.00034024-0.00054438i,-0.00071207+0.0008037i,-0.00092108+0.0016199i,-0.00098227-5.1711e-05i,-0.00040257-0.0015229i,-1.8672e-05-0.0011863i,0.00078849-0.0004787i,0.0013658+0.00012231i,0.00048745+0.00048598i,-1.6463e-05+0.00041751i,0.00036323+0.00093714i,0.00018284+0.0011092i,-0.0003575+0.00097318i,-0.0010008+0.00075283i,-0.0012386-0.00015642i,-0.00064031-0.00038106i,0.00021612+0.00030166i,0.00029038+0.00025504i
