-0.0017607+0.00059019i,-0.0001784-0.00077423i,0.0012421-0.0028261i,0.002626-0.004173i,0.0021698-0.0045852i,0.00027892-0.0025846i,-0.00029994+0.00025185i,0.00030155+0.00085986i,0.00046505+0.00018405i,0.00046947-0.0001776i,7.4172e-05-0.00068281i,-0.00060406-0.00085606i,-0.001085-0.0009199i,-0.0013808-0.00063096i,-0.0011318-0.00017495i,-0.00047815+0.00045945i,-9.8055e-05+0.00066051i,-0.00032784+8.38e-05i,0.00016893+7.0716e-05i,0.00056013+0.00046591i,0.00043384+0.00076326i,0.00060422+0.00015381i,0.00041848-0.00082936i
0.00013764+0.00020942i,0.00012724+0.00082205i,0.0023681+0.0011878i,0.0056122-0.00054736i,0.0053745-0.0020085i,0.0020039-0.0013263i,-4.6166e-05-0.00060303i,0.0003037-4.0074e-05i,0.00049734+0.00037473i,0.00075361-0.0001346i,0.00038266-0.00042734i,-0.00023745-0.00022439i,-0.00046966+0.00049221i,-0.0009311+0.00083292i,-0.0012609+0.0003522i,-0.0013656-0.00040891i,-0.001235-0.00091844i,-0.00075323-0.00049717i,-0.0005095+4.7021e-05i,-0.00045735-0.00019777i,-0.00069481-0.0003039i,-0.0010615-0.00066605i,-0.00025116-0.00047636i
0.00060823-0.00076687i,0.0017505-0.0017453i,0.0032998-0.0014897i,0.0054472-0.00090644i,0.0047042-0.001132i,0.00223-0.00059118i,0.00056892-0.00016958i,-0.00018078-0.00010611i,2.5207e-05+3.1987e-05i,-3.159e-07+0.00067654i,-0.00065047+0.00024488i,-0.00085383-0.00040729i,-0.00075795-0.0003074i,-0.00096943-0.00016186i,-0.0013456+0.00032879i,-0.00056811+0.00079408i,-0.0003525+0.00039601i,-0.001185-0.00011043i,-0.0014432+8.8452e-05i,-0.0015061+0.00047716i,-0.00074012+0.0001738i,0.00023307-5.5794e-05i,0.00028268+0.00036927i
-0.00012718-0.00076477i,0.0015821-0.00049751i,0.0034296-0.00071399i,0.0056178-0.00078208i,0.004728-0.00066958i,0.0016905+6.7728e-05i,0.000107+5.4665e-05i,-0.00052158-0.00077214i,-0.00056718-0.00097024i,-0.00059716-0.00066987i,-0.00062233-0.0006682i,-0.00055253-0.00054798i,-0.00076731-0.00017577i,-0.0007492-0.00061953i,-0.00091967-0.00096149i,-0.0010232-0.00012083i,-0.00076802+3.546e-05i,-0.00051043-0.00054444i,-5.7438e-05-2.1125e-05i,-0.00074452+0.00096348i,-0.0011825+0.00046091i,-0.00028769-0.00045752i,0.00053589-0.00028828i
0.0014022+0.00033213i,0.0032907+0.0015148i,0.005371+0.0023203i,0.00684+0.0012897i,0.0056734-0.00031008i,0.0030116-0.0010712i,0.00084128-0.00041709i,-0.00035726+0.00081273i,-0.00019571+0.00053528i,0.00045247+0.00036109i,0.00082283+0.00079558i,0.00037256+0.00019238i,0.00023744-0.00045594i,0.00061049-0.00012975i,-0.00067304+0.0010892i,-0.0014916+0.0011209i,-0.0011014+0.00039061i,-0.00088741-5.5712e-05i,-0.00044833+0.00019459i,0.00010376+0.00016212i,0.00047578+0.00010581i,7.9225e-05+0.00033748i,-0.00010657+0.00057657i
0.000506-5.0494e-05i,0.00060949+0.0012429i,0.0038375+0.00065116i,0.0060252-0.0008231i,0.0044742-0.002219i,0.0016456-0.0018443i,0.00017817-0.00059662i,0.00010437-0.00012708i,5.0673e-05+0.00017059i,0.00031029-0.00041091i,0.00048694-0.00045589i,-0.00023625+0.00023969i,0.00037204+0.00058311i,0.0006941+0.0008397i,-0.0002761+0.0006523i,-0.00053914+0.00045403i,0.00022757+0.00084103i,0.00045951+0.00039487i,-4.3996e-05+3.5588e-05i,-0.00055691+0.00068069i,-0.00017386+0.0008581i,0.00040884+0.00024517i,5.3792e-05-0.00050574i
-0.0014629-3.3719e-05i,0.00022134-0.0006788i,0.0038939+0.00052742i,0.0063216+0.0012778i,0.004917-9.9018e-05i,0.0024635-0.00071316i,0.0011735-0.00034432i,0.00049654-2.2047e-05i,4.086e-05-7.2507e-05i,0.00047251-0.00025433i,0.00041073-0.00052743i,3.8641e-05-0.00062176i,0.00018189-0.00024719i,6.1748e-05-3.0367e-05i,-0.00026753+0.00055306i,-0.00058153+0.00061299i,-0.00090889+0.0002364i,-0.00083651+0.0007335i,-0.0010344+0.00040182i,-0.00084849+0.00013572i,-0.00041336+0.00051097i,-0.00020616+0.00026256i,-0.00047545-0.00019836i
0.0013258-0.0010296i,0.0024945-0.00019126i,0.0049088-0.00042578i,0.0057977-0.0012602i,0.0039012-0.0023383i,0.0021571-0.0021285i,0.00066108-0.00079967i,-4.9322e-05-0.00023717i,0.00032991-0.00043472i,0.00086398-0.00023444i,0.00081262-0.00018944i,0.00048654-0.00081954i,0.00077503-0.00061917i,0.00096174-9.9837e-05i,0.00057924-0.00047054i,-0.00021919-0.00030951i,-0.00047692+0.00078157i,-0.00062938+0.00099968i,-0.00056347+0.00055356i,-0.00054056+0.00012818i,-0.001094-0.000133i,-0.00059028-0.00097439i,0.00013453-0.0014783i
0.00034175+0.0004581i,0.0010297+0.0013604i,0.0035066+0.0025256i,0.0055574+0.0016749i,0.0049212-7.8436e-05i,0.0015478+5.7887e-06i,-0.00097775+0.0004371i,-0.00084692+0.0004196i,-0.00034117+0.00032349i,0.00032378-4.6645e-05i,0.0001901-0.0003639i,-0.00046237+0.00011383i,-0.00062615+0.00052939i,-0.00062349+0.00050893i,-0.00054793+0.00066325i,-0.00069067+0.00081069i,-0.00094358+0.0011279i,-0.001064+0.0012366i,-0.0003953+0.00049865i,-8.3819e-05-0.00020712i,0.00018323+6.0268e-05i,0.00083967+0.00038823i,0.0010676+0.0003356i
0.0011626+0.00055691i,0.0021771+0.0011229i,0.0054181+0.0005836i,0.0074354-0.00057633i,0.005088-0.0013693i,0.0013581-0.00074345i,-0.00049268+0.00017024i,1.2113e-05-5.1482e-05i,0.00034127+1.4337e-05i,0.00050889-0.00024875i,0.00049677-0.0008422i,1.6407e-05-0.0013488i,-5.6321e-05-0.0010154i,0.00022165-0.00050377i,5.4477e-05+0.00028771i,-0.00034336+0.00038093i,-0.001126-0.00031352i,-0.00087902-3.7204e-05i,-5.3373e-05+0.00013296i,-0.00020574+2.5424e-05i,-8.2022e-06+0.00062192i,-0.00012495+0.00083153i,-0.00050859+0.00011787i
-3.6988e-05-0.0013727i,0.00036228-0.00056267i,0.0030122+0.00046091i,0.0054109+8.7922e-05i,0.0048848-0.0011048i,0.0022247-0.00073028i,-0.00039553-0.00059718i,-0.00091738-0.0016063i,-0.00048782-0.0013049i,-5.7901e-07-0.00052558i,-2.3307e-05-0.00015066i,-0.0009239+0.00033678i,-0.00058919+0.00039645i,0.00065447+0.00027513i,0.00039963+0.00012632i,-4.4493e-05+0.00026565i,-4.2145e-05+0.0008562i,-0.0006053+0.00089059i,-0.00084691+0.00050422i,-0.00042432+0.00023005i,-0.00037732+0.00022673i,-0.00035376+0.00052638i,8.0904e-05+0.00028307i
0.00042932-0.00089737i,0.0016932+0.00029542i,0.0034619+0.00094951i,0.0050894+0.00051589i,0.0047132-0.00014421i,0.0023775-0.00017829i,-2.3963e-05+0.00011436i,-0.00089739-0.0003825i,-9.8225e-05-0.00075929i,0.00033417-0.00018803i,0.00020489+4.429e-05i,0.00053297-0.00017293i,0.00046334-0.00012794i,0.00036964+7.764e-05i,-0.00034613+0.00010529i,-0.0009726-2.345e-05i,-0.00054978+0.00018828i,4.6932e-05+0.00010725i,-0.00038915-0.00029307i,7.9347e-05-0.00034446i,0.00087273+0.0005046i,0.0012405+0.00091632i,0.0013598+0.00066557i
0.000236+0.0011051i,0.0029524+0.0011027i,0.0049837+0.00046203i,0.0062716+0.00018708i,0.0053544-0.00053522i,0.0023722-0.00065934i,0.00087462-0.00062083i,0.00042232-0.00070388i,0.00037393-0.00067994i,0.00057629-0.00022692i,-5.4094e-05+6.6112e-05i,-0.00019422-0.00025961i,0.00042949-0.00018457i,0.00031119-0.00049821i,-6.6732e-05-0.00045551i,-0.0011069+0.00064013i,-0.0018177+0.00095571i,-0.0017303+0.00055962i,-0.001266-0.00041402i,-0.00012038-0.001008i,0.00056272-0.00029572i,-4.2067e-05-4.8308e-06i,-0.00030729+0.00012613i
-0.00067278+0.000554i,0.0015208+0.002712i,0.0047735+0.0030029i,0.0073743+0.0011517i,0.0060182+5.0312e-05i,0.002348+0.00013649i,0.00053083-0.00034941i,0.00037875-0.0005929i,4.3027e-05-0.00078285i,-9.7397e-05-0.00048517i,-6.8251e-05-0.0003176i,-0.00013996-0.00087498i,-0.000274-0.00069232i,-0.00038925-0.00043401i,-0.00072513-0.00014534i,-0.0012071+0.00039236i,-0.00075746+0.00058565i,-9.1296e-05+0.00080137i,-0.00055759+0.0011886i,-0.00044764+0.00091611i,-0.000117+0.0003382i,-0.00031312-7.4319e-05i,-0.0010833-0.00025528i
-0.0023731-0.00034388i,-0.0019298-0.0007245i,0.00059704+0.00087783i,0.004465+0.00081815i,0.0050403-6.6433e-05i,0.0027615-0.0009861i,0.00045399-0.00086934i,-0.00080839-0.0010788i,-0.0012579-0.001114i,-0.0006075-0.00021021i,0.00019523-3.5215e-05i,0.00029952-0.00049201i,-0.00014066-0.00032926i,-0.00051282-0.00057928i,-0.00068466-0.00061742i,-0.00098571-0.00046611i,-0.0010503+0.00019487i,-0.00054894+0.00072667i,-0.00036278+0.00016249i,-0.00054202-3.3363e-05i,-0.00076165+0.00012307i,-0.00027303+0.00022402i,0.00035786-8.8369e-05i
-0.00078688-0.0007794i,0.0014972-7.5047e-05i,0.0048269+0.0026777i,0.0066645+0.0028649i,0.0057777+0.0011502i,0.0025933-0.00048202i,0.00036352-0.0003276i,0.00032394+6.8983e-05i,0.00019367-0.0002409i,0.00086512-0.00010211i,0.0011864-0.0004629i,0.0007272-0.00051173i,0.00028094-0.00014096i,-0.0003281-0.00015812i,-0.0011822-0.00034625i,-0.00092206+2.2757e-05i,-0.00082197+0.00052721i,-0.00069088-0.00014558i,-0.00066069+5.6655e-05i,-0.00091631+0.0011369i,-0.00051969+0.00063677i,0.00033193-0.00063879i,0.00081428-0.00092968i
0.0016532-0.00070074i,0.0043478+0.00060898i,0.0055936+0.00098701i,0.0066506+0.00029777i,0.0055317-0.00052288i,0.002687-0.0010031i,0.00064456-0.00081994i,0.0004428-0.00081948i,0.00019034-0.0012715i,-0.00030222-0.0009778i,0.00023536-0.0001563i,9.4264e-05-6.7537e-05i,-0.00021753-0.00052281i,-0.00034328+0.00032996i,-0.00020579+0.00091634i,-3.0065e-05+0.00053541i,-0.00095645+0.00013342i,-0.00074251+0.00034255i,-8.6401e-05+0.00050668i,-0.0001099+0.00015338i,0.0002645+0.00025156i,0.00043838+0.00033069i,-0.00013946-0.00017285i
0.00047795+0.00050999i,0.00045906+0.0016575i,0.0034238+0.0019117i,0.0057691+0.00064641i,0.0036933-0.0010806i,-0.00062851-0.0011062i,-0.0024137-0.00032605i,-0.002009+0.00061671i,-0.0012569+0.001248i,-0.00032761+0.00050782i,6.7564e-05-0.00057958i,0.00012084-0.0008664i,0.0012199-0.0005418i,0.001236+2.2905e-05i,0.00021394+9.2165e-05i,0.00034738+0.00029576i,-0.00015744+0.00068826i,-0.00087578+0.0005145i,-0.00077224+0.00039844i,-0.0010393-0.00038933i,-0.0011753-0.00069509i,-0.00064983-0.0005445i,7.3748e-05-0.0012312i
-0.00088937+0.0022698i,0.00013931+0.0017023i,0.0036794+0.0024052i,0.0060664+0.0015795i,0.004393-4.5862e-05i,0.0021174-0.0011896i,0.00067546-0.0011794i,-0.00018051-0.00024898i,-0.00027278-0.00074965i,0.00031196-0.0016943i,0.00059057-0.0015038i,2.9266e-05-0.00078052i,-0.00032316-0.00075733i,-0.0006311-0.00099549i,-0.00066636-0.0012818i,-0.00069485-0.00033353i,-0.00096828+0.00089708i,-0.0011325+0.0011197i,-0.00071395+0.0005716i,-0.00053885+5.1389e-05i,-6.3166e-05+0.00068645i,-0.00039311+0.00076613i,-0.00096975-0.00057283i
-4.3882e-05-0.00079285i,0.00069538-0.00042542i,0.0019266+0.0012077i,0.0046273+0.0020721i,0.0057283+0.0016818i,0.0032073+0.00053514i,0.001157-0.00022116i,0.0011672-0.00023193i,0.00094007+0.00023454i,0.00098473+0.00053067i,0.0010238-0.00037621i,0.00028243-0.00029653i,0.00032072-0.00034667i,0.00080314-0.00038569i,0.00011184-0.00013631i,-0.00080146-0.00022209i,-0.00074079-0.00030059i,-0.00073682+0.00013968i,-0.00064155+0.0011758i,7.8263e-05+0.0011511i,0.00064908+0.00039027i,0.00026161+0.00037421i,-0.00018029+0.00032162i
0.0014603-0.00096816i,0.0030686-0.00042143i,0.005198-0.0010441i,0.0055961-0.00071424i,0.0040635-0.00077063i,0.0018838-0.000218i,0.00036641+0.00090066i,-0.00025505+0.00075003i,-0.00029474-0.00040477i,-0.00014002-0.00060763i,-0.00018728-0.0012834i,-0.00011771-0.0012283i,0.00042577+8.1391e-05i,0.00076377+0.00046765i,0.00024268+0.0003138i,-0.00026446-7.4327e-05i,-5.5969e-05-0.00075958i,9.6695e-05-0.00025438i,-4.0492e-05+0.00086604i,-5.1273e-05+0.0012464i,-0.00072228+0.00108i,-0.00058051+0.00048833i,-0.00022448-0.00024931i
-2.5654e-05+0.00094506i,0.0014641+0.0013805i,0.0046028+0.00041713i,0.0069728-0.00028651i,0.0065641-0.0010452i,0.0045612-0.00090866i,0.0022321-0.00083762i,0.00048837-0.00074795i,-0.0004384-0.00085419i,-9.5717e-05-0.00067277i,0.0007748-9.4163e-05i,0.00074923-1.4619e-05i,0.00026829+0.00012085i,-8.9182e-05+0.00020877i,-3.8051e-05+0.00018598i,0.0001478+0.00035673i,-1.9744e-05+0.00045381i,-0.00021668+0.00015103i,-9.704e-05+0.00028096i,0.00042854-6.1142e-05i,0.00095178-0.00038497i,0.00070069-0.00036992i,4.3725e-05-0.00010664i
-0.00085281+0.00034822i,0.00014288+0.0014027i,0.0025554+0.0034678i,0.004556+0.0030552i,0.0047867+0.00084585i,0.0025662+0.00044407i,0.00027589+0.00071635i,-6.3318e-05+1.444e-05i,0.00063874+0.00010156i,0.0007022+0.0005142i,0.00039831-0.00014597i,0.00019657-0.0001518i,0.00025274+0.00037677i,0.00049542+0.00057394i,-0.00025103+0.00070338i,-0.0010519+0.0005056i,-0.00088421-8.0074e-05i,-0.00018355-0.00021566i,9.7672e-05+9.4569e-05i,2.4153e-05+0.00033974i,0.00025687-8.5802e-05i,-0.00021533+5.9202e-05i,-0.00030238+0.0001577i
0.00091667-0.00073527i,0.0032607+0.00034845i,0.0056413+0.0012726i,0.0068027-2.6547e-05i,0.0049093-0.0010341i,0.0021479-0.0004901i,0.00065146+0.00015754i,-0.00028551-0.00024837i,-0.00019604-0.001181i,0.00049626-0.00090021i,8.487e-05-0.00031641i,-2.6531e-05+0.00016061i,-7.5521e-05+0.00019478i,-0.00053007-0.00055773i,-0.00053019-0.0010015i,-0.00040434-0.00064566i,-0.00065393-7.6773e-05i,-0.00064239+0.00027722i,-0.00020568-3.6665e-06i,-0.00039573+3.1201e-05i,-0.00076234+0.00052671i,-0.0003847-0.00021656i,0.00019035-0.00093565i
4.129e-05+0.00052446i,0.001427+0.0018997i,0.0039766+0.0030005i,0.007168+0.0020362i,0.0064618+1.3036e-05i,0.0032034-0.00072763i,0.0012151-0.00034861i,4.0831e-05-0.00041776i,-0.00015229-0.00048002i,-0.00030251-0.00012066i,-0.00025571-0.00022274i,-3.2953e-05-0.0011931i,0.00021336-0.0013809i,0.00044068-0.00075088i,0.00023596+4.4965e-05i,-6.9073e-05-0.00024513i,0.00028144-0.00068608i,0.00025937-0.00028026i,-0.00041159-1.4471e-05i,-0.00023855+0.00025163i,-0.00034513+0.00023493i,-0.0009465-4.2445e-05i,-0.00025561-0.00034447i
-0.0015879+2.1243e-05i,-0.00044696+0.00093991i,0.002279+0.0019686i,0.0050494+0.0014336i,0.0044219+0.00051758i,0.0017438+0.00041399i,0.00011164-6.1809e-05i,-0.00037722-0.00083317i,-0.00029241-0.0013449i,-2.6863e-05-0.001117i,0.00052201-4.991e-06i,0.00014448+0.00074201i,-0.0006921+0.0003952i,-0.00044852+0.0001899i,9.2301e-05+0.00028491i,-0.00041059-0.00013089i,-5.1888e-05-0.00022959i,0.00079205+0.00039383i,0.00060963-0.00016729i,0.00057334-0.00083839i,0.0004673-3.7483e-05i,0.00048887+7.4622e-05i,0.00059476+8.9078e-05i
0.00095116-0.00094789i,0.001003+0.00022994i,0.0023499+0.0007415i,0.0041547+0.0004681i,0.0035648-0.00066652i,0.0016322-0.0009412i,0.00069621-0.00038727i,0.00033305-3.8718e-05i,1.1122e-05-2.4634e-05i,0.00069798+5.7809e-05i,0.00070621+0.00026144i,0.00011422+0.00018614i,0.00048757+0.00035125i,0.00075212+0.00067683i,0.00048335+0.00037211i,0.00068831+0.00062694i,0.00038854+0.00050027i,-0.0001334+6.0833e-05i,-0.00041818+8.0961e-05i,-0.00078007+0.00024184i,0.00032664-3.0364e-05i,0.0011454-0.00030005i,0.00078768+0.00028132i
0.0020954-0.0012008i,0.0026376-0.00093819i,0.0038025-0.0010057i,0.0055867-0.0013197i,0.0059511-0.0014088i,0.0025935-0.00068738i,-0.00033477+0.00027045i,-0.00042925+0.00082663i,-0.00066068+0.00086862i,-0.00023934-8.7098e-05i,0.00070397-0.0010205i,0.00027225-0.00094423i,0.00049207-0.00050447i,0.00072788-0.0007762i,0.00057836-0.00087667i,0.00086331-0.00080239i,0.00046173-0.00014448i,7.0079e-05+0.00017517i,-8.0089e-05+0.00016047i,0.00031843+0.00028468i,0.00066004-0.00020624i,0.00038355-0.00074794i,0.00081633-0.00035091i
0.0011934+0.0025762i,0.0028371+0.0023295i,0.0050649+0.0027869i,0.0067784+0.0017373i,0.0058797+0.00020416i,0.0023452-0.00057002i,-0.0007732+1.4387e-05i,-0.0013757+7.8874e-05i,0.00011303-0.00031686i,0.0004849-0.00039271i,-4.1667e-05-0.001094i,-0.00010829-0.0010648i,-1.5277e-05-1.1671e-05i,-3.4208e-05+0.00038837i,-7.7797e-05+0.00021312i,-0.00056962+0.00036311i,-0.00060557+0.00054206i,-0.0003616+0.00045191i,-0.00044425+3.0233e-05i,-0.00065976-0.00062613i,-0.00062422-0.00059294i,0.00084613-0.00028874i,0.0013545-0.00041962i
-0.00026372+0.0012226i,0.0014244+0.0016489i,0.0037827+0.0021988i,0.0055+0.0012557i,0.0051874-0.0007639i,0.0021494-0.00095427i,0.00013911+9.5501e-05i,-1.9282e-06+0.000327i,-1.4805e-06+0.0004484i,0.00015284+0.00013539i,-0.00017516-0.00047476i,-0.00071251+0.00025624i,-0.0012241+0.00058221i,-0.0013409-0.00043041i,-0.00089176-0.00085197i,-0.0007339+0.00023355i,-0.0010936+0.0011134i,-0.0010518+0.00028838i,-0.00047224-0.00052981i,-0.00061087+0.000156i,-0.00095898+0.00072887i,-0.0011274+0.00025996i,-0.00046399-0.00059258i
-0.0012152+0.00070804i,0.00055487+0.0014261i,0.0037787+0.0016997i,0.0059343-0.00030261i,0.0056083-0.0022744i,0.0024327-0.0022556i,-0.00067932-0.0010784i,-0.0008676-0.0010383i,-0.00021325-0.0008784i,0.00012771+8.7616e-05i,0.00030208+0.00049335i,0.00011387+0.00019252i,-0.00044143-0.00012711i,-0.00040703-5.5023e-05i,-0.00083378-6.6851e-05i,-0.0016324+2.8591e-05i,-0.0016439+0.00030818i,-0.0012022-0.00022082i,-0.00068752-7.6582e-06i,-0.00071023+0.00014363i,-0.00076385-0.00056427i,-0.00026412-0.0007481i,0.0005567-0.00011883i
0.0016056+0.00011411i,0.0024202+0.0013134i,0.0051407+0.0022502i,0.00757+0.0010863i,0.0061239-0.00078873i,0.0020799-0.00084897i,-0.00016033-0.00052357i,-0.00025997-0.00068192i,0.00033791-0.00014509i,0.00052115+0.00012155i,0.00014694-0.00045463i,-0.00060721-0.00024951i,-0.00095156+0.00081689i,-0.00052613+0.0010917i,-0.00064169+0.00084831i,-0.0004614+0.000187i,-0.00043618-0.00042517i,-0.00047117-0.00023636i,-0.00056412+0.00043909i,-0.0011124+0.00040242i,-0.00051868+3.0491e-05i,0.00037874+6.8574e-05i,0.0007573-0.00011968i
0.0010527+0.00027959i,0.0002429+0.0014647i,0.0020557+0.0017777i,0.0040875+0.0011091i,0.0034357+0.0003019i,0.00081588+8.9694e-05i,-0.0011851-0.0003805i,-0.00047821-0.00094578i,0.00098814-0.00023408i,0.00056736+0.00028883i,4.6663e-06-1.0057e-05i,-0.00024265-0.0006105i,-7.9651e-06-0.00090412i,0.0002784-0.0011218i,-0.00015296-0.00044099i,-0.00065991+0.00015619i,-0.00046117+0.00011326i,0.00062885-0.00046229i,0.00057934-0.00089053i,-4.6307e-05-0.00055097i,-0.00026575-0.00025453i,-0.00047992+0.00016244i,-0.00026017+0.00024948i
0.00084591+0.00070882i,0.0015134+0.0012025i,0.0042852+0.0006971i,0.0067155-0.00014651i,0.00479-0.0014171i,0.0013717-0.0016288i,-0.0003765-9.607e-05i,-1.7703e-06-0.00022826i,0.0011697-0.0010999i,0.00083975-0.00034016i,0.00016224-0.0001655i,0.00034393-0.00062178i,0.00067064-0.0004572i,0.00066075+0.00011474i,0.00022847+0.00013463i,-0.00077955+4.6185e-05i,-0.0010544+3.8958e-05i,-0.00076991+9.488e-05i,-0.00048626+0.00020942i,0.00017326+0.00044649i,0.00023136+9.3907e-05i,-2.8793e-05+0.0001374i,-0.00023722+0.00011398i
-0.00148-0.00018843i,0.00052549+0.00020054i,0.0040472+0.00076544i,0.0065004+0.00074844i,0.0056043-0.00051777i,0.0021329-0.0011552i,0.0001539-0.00098599i,-1.268e-05-0.00057659i,-0.00028156-0.00026124i,-0.00041277-0.00027501i,-0.00047466-0.00013912i,-0.00032384+0.0004732i,8.1519e-05+0.00015829i,0.00022808-0.00038351i,-0.00063056+0.00015476i,-0.00071607+0.00059608i,1.1472e-08-0.00018149i,-0.00048501+0.00016984i,-0.00055872+0.00040256i,-0.00011302-0.00055954i,2.0019e-05-0.00094369i,-0.0001736-0.00019817i,-0.00039414+0.00054589i
-0.00019178-0.0009746i,0.00038224-0.00026824i,0.0014058+0.00023842i,0.0037961+0.0010495i,0.0041632+0.00083592i,0.0026909-5.162e-05i,0.0011887+3.0151e-05i,3.0495e-05+0.00029196i,-0.0007213+5.567e-05i,-0.00098595-0.00046589i,-0.00035661-0.00072723i,0.00031695-0.00052211i,0.00026101-0.00053389i,0.00032177-0.00082583i,1.7442e-05-0.00073267i,-0.00058643-4.5181e-05i,-0.00078704-9.5271e-05i,-0.00040621-0.00020272i,-0.00031631+0.00020319i,-0.00012515+0.0002796i,0.00018071-0.00029576i,7.4833e-05-0.00019712i,0.00067253+0.00021764i
0.00082497+0.00066014i,0.0029309+0.00062638i,0.0057764+0.0012132i,0.0081123+0.00017627i,0.0066581-0.00070216i,0.0032893-0.00069171i,0.0019304-7.2584e-05i,0.00162+3.0909e-05i,0.00069275+0.00010114i,0.00071131+0.00026052i,0.00080391+0.00014538i,8.0587e-05+0.00036032i,0.00017377-5.4178e-05i,0.0010196-0.00091436i,0.00049177-0.00079534i,-0.00045161+8.8896e-05i,-0.00078127+0.00026627i,-0.0015301+0.00032693i,-0.0011703+0.001297i,-0.00033911+0.00083458i,-6.4743e-05-0.00059248i,-8.1739e-05-0.00055062i,0.00016199-0.0004202i
-0.00024938+0.0025348i,0.0012173+0.0030869i,0.0036284+0.0028873i,0.0054839+0.0011013i,0.0051918-0.0012562i,0.002564-0.00060192i,-0.00024416+0.00042614i,-0.00087915-5.1973e-05i,-0.00028189-0.00043005i,0.00053288-0.001058i,0.0011421-0.00095395i,0.00076155-0.00063303i,-0.00011667-0.00077518i,-0.00042919-0.00059963i,-0.000113-0.00015138i,5.5919e-05+6.1505e-06i,7.6613e-05+0.00054798i,-9.0213e-05+0.00055471i,-0.00012615+0.0007039i,0.00056461+0.00089463i,0.00088119+2.7114e-05i,0.00028423-0.00041618i,-0.00024197+0.0001314i
-0.00028606+0.00039935i,0.00097269+0.0012288i,0.0040152+0.0026022i,0.0074619+0.0016651i,0.0065815-0.00051774i,0.0022642-0.00095793i,0.00082503+0.00015511i,0.0016878+0.00058307i,0.00093774+0.00026496i,0.00021241+0.00035409i,4.6231e-05-0.0003652i,-0.00032314-0.0015106i,4.8845e-06-0.00059411i,0.00018847+0.0003342i,-2.7472e-05-0.00030987i,-0.00055392-7.5226e-05i,-0.00086803+0.001138i,-0.00017305+0.0014238i,0.00036843+0.00053977i,0.00021683+3.83e-05i,-6.9833e-05+0.00022877i,-0.00051256+0.00022558i,-0.00016715-0.00058568i
0.0010857-0.0014573i,0.0020203-0.0012311i,0.003814+7.4099e-06i,0.0052487-0.00074235i,0.0042832-0.0024177i,0.001849-0.0021526i,0.00018567-0.0013402i,-0.00018089-0.00035992i,-0.00040758+0.00027365i,-0.00037631+0.00033572i,0.0006111+0.00031798i,0.00042864+0.0001752i,-0.0010749+0.00021484i,-0.0012608+0.00023947i,-0.00043896-0.00030723i,0.00016647-0.00050959i,-0.00017936+0.00026364i,-0.00050561+0.00067321i,-0.00045155+0.00057028i,-0.00059868+0.00036984i,-0.00087449+0.00035909i,-0.00024417-0.00052945i,0.00098619-0.00043345i
0.0018703+0.0014286i,0.0029717+0.0019189i,0.004454+0.0032545i,0.0060816+0.0026517i,0.005654+7.3614e-06i,0.0024556-0.0022051i,0.0013955-0.0020267i,0.0012535-0.00034i,0.00072415+0.00031651i,0.00044717-0.00048126i,0.00053084-0.00075677i,0.00056299-0.00053569i,0.00030132-0.00062756i,-0.00076881-0.00043124i,-0.0013432-1.1645e-05i,-0.00066795+0.00059411i,0.00011529+0.00059912i,0.00041205+0.0003131i,0.00052256+0.00044194i,0.00057873+0.00024406i,0.0003447-0.00021219i,-0.00031699-0.0004702i,-0.00010113+0.0001556i
0.00055478+0.0016961i,0.0016102+0.0025261i,0.0041318+0.0016404i,0.0059299-9.9878e-05i,0.0045916-0.0012554i,0.0015473-0.00091539i,4.2419e-05+4.8656e-05i,-6.1012e-05+4.8145e-06i,0.00022499-0.00058866i,0.00020297-0.0006743i,-3.5616e-05-0.000402i,6.09e-06-0.00026904i,-0.00035502-5.2075e-06i,0.00024162+0.00034136i,0.00040118+0.00020003i,-0.00058891-0.00018957i,-0.0010332-0.000162i,-0.0010816-0.00018373i,-0.00096057-0.00068746i,-0.00054545-0.0011187i,2.5634e-05-0.00036196i,0.0009061+0.00047224i,0.00086516+0.00018349i
0.0009938+0.0023235i,0.00042235+0.0024367i,0.0030927+0.0026005i,0.0061975+0.0010954i,0.005252-0.00028362i,0.0011631+1.707e-06i,-0.00066763+0.00037165i,0.00015217+0.00027649i,0.00075197+0.00017383i,0.0011338+0.00057424i,0.00079392+0.00027579i,0.00020675-3.5129e-05i,-0.00013762+0.00044356i,-0.00063204+5.5897e-05i,-0.0010835-0.00060692i,-0.00086778+9.2275e-05i,-0.00035812+0.00065153i,0.00018774+0.00077432i,-5.5464e-05+0.00056496i,-0.00079858+0.00034131i,-0.00091468+6.2812e-05i,-0.00062158-0.0006536i,0.00027488-0.0012706i
-0.0010636-0.0013386i,0.00090936-0.0010074i,0.003727+0.0001078i,0.0053875+0.00042229i,0.004087-0.00040384i,0.0013718-0.0010679i,-0.00015349-0.0015341i,2.1928e-05-0.00050646i,-0.00030693+0.00069i,0.00018167+0.00079189i,0.0011294+0.0001869i,-5.0328e-05-0.0003849i,-0.00067723-0.00082321i,-6.9879e-05-0.0003822i,-1.2233e-05+0.00038446i,-0.00042525+0.00040221i,-0.00027563-0.00017333i,-0.00028851-0.00030221i,-0.00044175-0.00027932i,5.7286e-05+0.00030039i,0.00013617+0.00084378i,0.0003443+0.00041532i,0.0002327-7.0024e-05i
