0.00029116+0.00014099i,-0.00011679-0.00076526i,0.00054933-0.0024682i,-0.00017667-0.0025054i,-0.0011571-0.0011436i,-0.00097237+0.00037032i,8.9319e-05+0.0018948i,0.00045889+0.0023682i,0.00060135+0.0012352i,0.00085443-0.00040767i,0.0010164-0.00095562i,7.3841e-05-0.00071084i,-0.00068402-8.7909e-05i,0.00016916+0.00021672i,-0.00031295+0.00051473i,-0.001171+0.00063937i,-0.0012142+0.00016781i,-0.00091714-0.00067212i,-9.7125e-05-0.00059205i,-0.00016594+0.00092253i,-0.0012603+0.0012811i,-0.0018163+3.6834e-05i,-0.0011726-0.00043142i
-0.0021974+0.00018265i,-0.0025447+7.0945e-05i,-0.0028762-0.00092458i,-0.002818-0.00045268i,-0.0012207+0.00057087i,0.0009303+0.0012002i,0.0010885+0.00063753i,-4.4265e-05-0.00059341i,-0.00084157-0.00048741i,-0.00056305+0.00029998i,-5.4866e-05+0.00087163i,0.00019137+0.0010146i,0.00026164-0.00028601i,0.00057081-0.0011695i,0.00039783-0.0010162i,-0.00031068-0.000202i,-0.00027182+0.00040646i,0.00020069-6.4659e-05i,-0.00019606-0.00062346i,-0.00071269-0.00039998i,-0.00016349-0.00067799i,0.00047086-0.00085409i,1.7645e-05+7.6565e-05i
0.0021907+0.002756i,0.0041894+0.0017201i,0.0049363+0.0010576i,0.0039993+0.00074131i,0.002227+0.00076301i,0.0018884+0.00070282i,0.0018998+0.00028579i,0.00025888-0.00019596i,-1.7096e-05-0.00050035i,-5.8393e-05-0.0004666i,-0.00071981-0.00077786i,-0.00078217-0.0010941i,-0.0010646-0.00025672i,-0.0012011-0.00020985i,-0.00086405+0.00032649i,-0.00049971+0.0010636i,-0.00041116+0.00072579i,-0.00045735+0.00043148i,-0.00015442+0.00043409i,-0.00022477+0.00039017i,9.6041e-05-1.3368e-05i,0.00048172-6.9852e-05i,-8.3858e-05-0.00026265i
-0.0021475-0.0016102i,-0.0020907+0.00010706i,-0.0014206+0.0010075i,-0.00098963+0.00068877i,-0.00038529+0.00030223i,0.00081657+0.0015406i,0.0013742+0.0017872i,0.0010431+0.0010551i,0.00026831+0.00012331i,-0.00089142-0.00025437i,-0.00068988+0.00010434i,4.9982e-05-0.00026108i,-7.4132e-05-0.00072348i,0.00078277-0.00069294i,0.00070005-0.00070477i,-0.00065123-0.0008353i,-6.7467e-05-0.00066413i,0.00080142-1.0987e-05i,0.00068869+9.9424e-05i,0.00035496-0.0001954i,8.841e-05-0.00061117i,0.00042189-0.00091376i,-9.5741e-05-0.00073138i
0.00041017-0.0014351i,-5.305e-05-0.0017119i,-0.0013486-0.00086353i,-0.0017307+0.0011147i,-0.0015671+0.0028202i,-0.00055573+0.0028839i,0.00041602+0.0017443i,0.00029212+0.00049951i,-0.00070196+9.7752e-05i,-0.0011695+0.00062248i,-0.0011462+0.00097548i,-0.00093454+0.0005217i,-0.00048585+9.0956e-05i,3.2892e-05+0.00039089i,0.00054117+0.00056766i,0.00076555+0.00027174i,0.00060499-0.00074203i,-0.00030288-0.00093075i,-0.00023552+0.00045145i,0.0004841+0.00032504i,0.00043194-0.00072848i,0.00024257-0.00011969i,0.0004514+0.00025912i
-0.0009098-2.6875e-05i,-0.00022486-0.00066386i,0.00042113-0.0012733i,0.00072353-0.00069752i,0.00091986+0.00059515i,0.00091513+0.0008752i,0.00027139+0.0010713i,-0.00069139+0.0012209i,-0.00035157+0.00065028i,0.00011103-2.7817e-05i,8.2245e-05-9.3117e-05i,-0.00032365+0.00053114i,-0.00028395+0.0008457i,-6.1882e-05+0.00045174i,0.00010576-5.8926e-05i,0.00065344-0.00033037i,0.00078592+0.00037709i,0.00016774+0.0009822i,-0.000147+0.00070792i,0.00053166+0.00054923i,0.00088416+0.0003648i,0.00079873-0.00019811i,0.00070263-0.00022457i
-0.00053503-8.7646e-05i,0.00033444+0.0010583i,0.00074571+0.0022824i,-4.6932e-05+0.0021363i,-0.00019525+0.0020901i,-7.3779e-05+0.0019229i,0.00026207+0.00083995i,1.2398e-05+0.00055743i,-8.5597e-05+0.00062859i,1.0922e-05+0.00015547i,0.00044488-0.00037073i,0.00082758-0.00083319i,0.00040125-0.00076063i,-0.00045186-0.00030321i,-0.00057854-0.00018981i,-5.8279e-05-0.00013788i,-0.00015855-9.8656e-05i,-8.4772e-05+6.2138e-05i,-1.5799e-05-0.00013714i,-0.00085618-0.00052453i,-0.0011901+0.0003566i,-0.00083686+0.00027808i,-0.00017365+5.7237e-05i
0.00015516+0.0010241i,-0.0010932+0.0024281i,-0.00054504+0.0034429i,-0.0002597+0.00317i,0.00011784+0.0023063i,0.0020104+0.0022772i,0.0025307+0.0011768i,0.0007731-0.00033915i,-0.0008967-0.0005894i,-0.0011374-0.00036292i,-0.00035731-0.00043912i,7.3905e-05-0.00018552i,1.2118e-05+0.0001146i,-0.00031995-0.0001228i,-0.00057665-0.00028861i,-0.00031759-2.602e-05i,5.6519e-06+0.0004537i,0.00065375+0.00032367i,-0.00015493-0.00045629i,-0.0012178-0.00062337i,-0.0012748-0.0005443i,-0.0010831-0.00076719i,-0.00035663-0.00052416i
-0.0023361-0.00045248i,-0.002386-0.00019929i,-0.002386-0.00061025i,-0.00073739-0.0011276i,0.0010394-0.00042008i,0.0016473+0.00065419i,0.0016427+0.0010415i,0.0011043+0.00089919i,-8.2699e-05+0.00097555i,-0.00090203+0.00088193i,-0.00089674+0.00011755i,-0.00013045+9.3483e-05i,-0.00039906+0.00070176i,-0.0011457+0.00021967i,-0.00072472-0.00043867i,-0.00058679+8.3676e-05i,-0.0011113+0.00060864i,-0.00040641+0.00035032i,0.0001734-0.00045331i,0.00024712-0.00086874i,0.00058116-0.00057602i,0.00092835-0.00064975i,0.0012298-0.00041038i
-0.001437-0.00091404i,-0.00096842-0.0004069i,-0.00023267-0.00053143i,2.3183e-05+0.0014792i,0.00048023+0.0039904i,0.0012506+0.0036894i,0.0013707+0.0010073i,0.0010203-0.0010814i,0.00027902-0.00082502i,-0.00049385+7.071e-07i,-0.00079495+0.00011345i,-3.2436e-05+0.0001083i,0.00065019+0.00017583i,0.00064373+0.0003885i,0.00031459+0.00027564i,2.0205e-05-0.00051162i,-0.00063673-0.00066184i,-0.00072695-0.00032184i,-0.00032024-0.00015214i,0.00010375-0.00066822i,0.00056914-0.0012082i,0.0012996-0.00058463i,0.001326+3.38e-05i
0.0011393-0.001663i,0.0022955+0.00010829i,0.0031804-8.9311e-05i,0.0019375-0.00098045i,-2.2661e-05-0.00043298i,0.00037727+0.00075673i,0.00093471+0.00031301i,0.00081387-0.00043547i,-0.00014125-0.00066153i,-0.00084703-0.00081599i,-0.00090812-0.00090195i,-0.00084967-0.00088052i,-0.00035903-0.0001909i,0.00045979+0.00016534i,0.00087848+0.00052064i,7.2235e-05+0.00064229i,-5.9406e-06+0.00023383i,0.00047623+0.0002467i,9.9598e-05+0.0001126i,-0.0008733-0.00037351i,-0.0010247-0.000564i,-0.00017258-0.00053281i,-3.4413e-05-0.00012184i
0.0013115+0.0011478i,-0.0013787+0.0012855i,-0.0018197+3.4847e-05i,-0.0012305-0.0010911i,-0.00067115-0.00068186i,0.00054712+0.00066218i,0.0013967+0.0012175i,0.0010263+0.00027639i,0.00058433-0.00065348i,-0.00019794-0.00085676i,-0.0010548-0.00088271i,-0.00096299-0.00019044i,-0.00046809+0.00050905i,-0.0010465+0.00074784i,-0.0021669+0.0008481i,-0.0022042+0.0003438i,-0.0011924+0.00034532i,-0.00017922+0.00045589i,-0.00028155+0.00019688i,0.00021762-4.125e-05i,0.00091517-0.00076204i,0.00041141-0.00074486i,-0.00036476+0.00060425i
-0.0006857+0.00029907i,-0.0015577+0.00035602i,-0.00064157+0.00062146i,0.00069954+0.00095285i,0.0013234+0.0012003i,0.0017901+0.0021276i,0.0015392+0.0026526i,0.00086207+0.0016683i,6.5576e-05+0.00054397i,-0.00065133+0.0005696i,-0.00078884+0.00091532i,-0.00072944+0.00079423i,-0.00070881+0.00030554i,-0.00035093+0.00070211i,-0.00025693+0.00073297i,0.0003772+0.00018028i,0.0010953+0.00061743i,0.00059269+0.0013639i,-0.00011495+0.0014751i,-0.00038094+0.00074798i,-0.00066136+0.00025026i,-0.00070179+0.00024937i,-0.00097809-6.8078e-05i
-0.0019559-0.0010849i,-0.00040262-0.0014975i,0.00038105-0.0010483i,0.00043139+0.00049834i,0.00027299+0.0019877i,0.0010154+0.0014944i,0.0013763+7.8772e-05i,0.00017776-0.00012781i,-0.0007267-0.00010745i,-0.00071107-0.00025442i,-0.00056865-0.000322i,0.00041155-0.00028508i,0.0010663-0.0003189i,0.00058216-0.00089254i,0.00022321-0.0006978i,-0.00021813-0.00059525i,-0.00055076-0.00042652i,-0.00078126-0.00045218i,-0.00093179-0.00079965i,-0.0012697-0.00036785i,-0.0013316+0.00044797i,-0.00095075+0.00048044i,-7.9965e-05+0.00026247i
-0.00089473+0.00022383i,-0.0005654+0.0012448i,-0.00088083+0.0024509i,-0.0010698+0.0025991i,-0.00020032+0.0034051i,0.0012657+0.0031893i,0.0014135+0.0010395i,0.00065782-0.00045039i,-6.1054e-06-0.00095775i,-0.00016927-0.0010109i,-0.000385-0.0008487i,0.00017273-0.00018444i,0.0010049-0.00021846i,0.0011535-0.0009369i,0.00048548-0.00067264i,0.00081943-8.6596e-05i,0.0015104+2.9449e-05i,0.0011102-0.00057749i,0.00060561-0.00046693i,-4.8826e-05+0.00018726i,-0.00026456+0.00014616i,-6.3497e-05-0.00052338i,-0.00027365-0.00032018i
0.0018084+0.0035669i,0.0022375+0.0042831i,0.0026712+0.003934i,0.0015737+0.0019588i,2.4991e-05+0.00087786i,0.00038403+0.0015231i,0.0017476+0.0014928i,0.0016333+0.00017355i,0.00040512-0.00038158i,-0.00064681+0.00038614i,-0.0010862+0.00028511i,-0.00081241-0.0003837i,0.00021139-0.0011054i,0.00023485-0.00047515i,-0.00095059+0.0007576i,-0.00094874+0.00028046i,-0.00021604-0.00017281i,0.00021689+0.00010593i,0.00052013-5.4667e-05i,8.6199e-06-0.00082965i,-0.00054501-0.0010457i,-0.00040319-0.00080252i,-0.00036608-0.00095477i
-0.0043483-0.00079186i,-0.0055217-0.00059564i,-0.0045532-0.00032329i,-0.0019179+0.0004143i,-2.3586e-05+0.0021095i,0.0012333+0.0021719i,0.0013872+7.4522e-05i,0.00034619-0.0010563i,-0.00043966+0.00010033i,-0.0007055+0.0013153i,-0.00048265+0.0011703i,-7.662e-05+0.00099059i,-3.6815e-05+0.00060242i,4.3363e-05-0.00020747i,-0.00039631-0.00049713i,-0.00029387-0.00028971i,-2.4335e-05+0.00032278i,-0.00020861+0.00039634i,6.9985e-05-0.00043046i,-0.00013622-0.00057107i,-0.00094763-0.00065539i,-0.00027085-0.00052362i,0.00080795+4.7723e-05i
-2.966e-05-0.0001817i,0.00036715+0.00050167i,0.00031413+0.00094156i,-0.0002323+0.001647i,-0.00017875+0.0020787i,-7.6486e-05+0.0017131i,5.9915e-07+0.0012364i,0.00022392+0.0003718i,-3.3862e-05+9.5508e-05i,-0.0007563-1.45e-05i,-0.0012778-0.00047041i,-0.0009556-0.00056969i,-0.00022125-0.00031026i,0.00027242-0.00051755i,0.0005945-0.00071557i,-4.8674e-05-0.0010027i,-0.00085609-0.00037249i,-0.00031023+0.00074965i,3.6615e-05+0.00093961i,0.0001581+0.0012753i,0.00040243+0.00065721i,0.00045279-0.0005251i,0.00048374-0.00025317i
-0.00047812+0.0010453i,0.00066208+0.0014486i,0.0022656+0.0012523i,0.002677+0.0005213i,0.0027634+0.00098775i,0.0025265+0.0015349i,0.00242+0.00050644i,0.001271-0.00035818i,-0.00031526-0.00039505i,-4.4632e-05-0.00047526i,0.00044602-0.00025386i,0.00018119-0.0001528i,0.00016895-0.0010288i,0.00046505-0.001769i,7.3126e-05-0.0018284i,-0.0004635-0.0012518i,7.7204e-05-0.00043466i,0.00022118+0.0003511i,-0.00033772+0.00015297i,-0.00021511-0.00050779i,0.00055777-0.00012302i,0.00019847-0.00032229i,0.00015417-0.00037898i
-0.0024837+0.0013979i,-0.0013692+0.0021911i,0.00020795+0.0026567i,0.0016995+0.0028263i,0.0027413+0.0023569i,0.0031034+0.0018914i,0.0021767+0.0014977i,0.00010778-0.00022798i,-0.0011159-0.001015i,-0.00083877+0.00025229i,-0.0010242+0.00083418i,-0.00046387+0.00017811i,0.0010426-0.00016923i,0.0016892-0.00030009i,0.00030379-0.00018873i,-0.00040039+0.00014488i,0.00024541-0.00010388i,0.00057381-0.00015235i,-2.3762e-06+0.00016392i,-0.00039306-0.00028095i,0.0003007-0.00031106i,0.00030727-7.5767e-05i,-0.00015059-0.00044684i
0.00022048+0.00056186i,0.00023944+0.0026633i,0.0010015+0.0029912i,0.0012366+0.0025936i,-0.00069495+0.0024038i,-0.00097067+0.0025829i,0.0010194+0.0014014i,0.00097297+0.0001294i,-0.00082802-0.00042756i,-0.0020658-0.00033639i,-0.0011672+0.00033349i,-0.00050461+0.00018202i,-0.00046482-8.9661e-05i,-0.00026739-7.4564e-05i,-0.0005588-0.000342i,-0.00075749-0.00034942i,-0.00052589+0.00054136i,0.00019217+0.0010996i,0.00027592+0.00086415i,0.00025002+8.2115e-06i,0.00025243-0.00024569i,3.7871e-05+0.0003912i,-1.1066e-05+9.0889e-05i
0.00067851-0.00077948i,-0.00017586-0.00097287i,-0.0011213-0.0011801i,-0.0010599-0.00047394i,0.00056772-8.5536e-05i,0.0011242+0.00031307i,0.0020396+0.00015263i,0.0020341-0.0004334i,0.0014333-0.0003204i,0.0010175-0.00032428i,0.0011069-0.0011921i,0.0010443-0.0017876i,0.00029832-0.0012626i,-0.00082779-0.000713i,-0.0011529-5.2015e-05i,-0.00053941+0.00043915i,0.00032602+0.00043979i,0.00066938+0.00021973i,0.0003904+8.1295e-05i,0.00066696+0.00021097i,0.00071558-5.9025e-05i,0.00049713-3.4586e-05i,0.0007122+0.00030951i
0.00092968+0.0013043i,0.00037462+0.0019238i,0.0004995+0.00071816i,0.00038239+0.00019691i,8.3935e-05+0.0017432i,4.6894e-05+0.002319i,-9.9621e-07+0.0016192i,6.4887e-05+0.00086761i,-6.4281e-05+0.00039342i,-0.00061764-0.00014673i,-0.00080447+0.0002531i,-0.00056903+0.00075598i,-0.00024195+0.00033933i,-9.1454e-05-0.00066485i,4.504e-05-0.001481i,-0.00021994-0.0010934i,-0.00040392-0.00050365i,-4.0896e-05-0.0001316i,2.7742e-05+0.00045929i,-8.6405e-06+0.00014522i,0.00011723-0.00032479i,0.00022894-0.00057396i,0.00018226-0.00047504i
0.00052585-0.0021433i,0.0019041-0.0022152i,0.002925-0.0018099i,0.0025204+0.00025192i,0.0010576+0.0019394i,0.0009606+0.0019967i,0.00191+0.00028367i,0.0011276-0.0008962i,-0.00038179-0.00070821i,-0.00067943-0.00035347i,-0.0011645+0.00027179i,-0.0016711+0.0012158i,-0.0012282+0.0014212i,-0.00082742+0.0014235i,-0.0015628+0.0012918i,-0.0013858+0.00054028i,0.00041465-1.5003e-07i,0.0015418-0.00013524i,0.00073871-0.00013054i,-0.00018214-0.00018648i,-0.00016612+5.4506e-05i,-0.0004945+0.00010382i,-0.001027-0.00052715i
0.00018129-0.0030014i,-0.00049854-0.0018386i,-0.0017199+0.00024564i,-0.0024709+0.0028213i,-0.0023738+0.0038607i,-0.00060293+0.0039648i,0.0018363+0.0025335i,0.0017222+0.00059195i,0.00050742+3.5223e-05i,-0.00061024+0.0006213i,-0.0014768+0.00082635i,-0.00073964+0.00067767i,0.00020383+0.00018599i,0.00069799+0.00017813i,0.0012782+0.0012693i,0.00047256+0.0014716i,0.00015895+0.00067541i,0.00025647+0.00029647i,-0.00047804+0.00053013i,-0.00086389-0.00036019i,-0.00070763-0.0015595i,-0.00042715-0.0013174i,-0.00042633-0.00055978i
0.0019607+0.00029498i,-0.0007224-0.00016905i,-0.0019109-0.0013409i,-0.0021221-0.00047678i,-0.0023672+0.0010261i,-0.00087006+0.0022359i,0.00063877+0.0021601i,0.00065709+0.00034628i,-0.00024573-0.0012425i,-0.00077585-0.0012028i,-0.00049753-0.00040402i,-0.00010064+0.00075677i,-0.00046448+0.0015635i,-0.0012611+0.0011412i,-0.0012892+0.00088605i,-0.0011249+0.00078285i,-0.0008868+0.00083457i,-0.00031246+0.00089756i,-4.2086e-05-0.00036385i,-5.5751e-05-0.0015199i,-0.00023513-0.0014327i,-9.7864e-05-0.00074456i,-0.00073366-6.5953e-05i
-0.0011996-0.0023623i,4.8587e-05-0.0017861i,0.0010042-0.0030336i,-0.00073138-0.0029891i,-0.0012269-0.00016002i,-4.1882e-05+0.0018196i,0.0011132+0.0015093i,0.0015745+0.00019619i,0.00048168-0.0010995i,-0.00016864-0.00090459i,0.0001316+0.00016357i,0.00032599+0.00020475i,0.00065297-0.00023062i,0.00074854+8.1501e-05i,0.0008332-0.00013266i,0.00067957-0.00022697i,-0.00033604-0.00010261i,-0.0016261-0.0011397i,-0.0016419-0.00061635i,-0.00054969-0.00029908i,0.00022401-0.00063785i,0.0003136-0.00047442i,0.00057813+0.0002205i
7.9995e-05-0.0022141i,0.00052776-0.00087064i,0.0012784-0.00014339i,0.0011227+0.00027571i,0.00028511+0.0015307i,0.00048511+0.002746i,0.001462+0.0021023i,0.0011379+9.3029e-05i,0.00031483-0.00090816i,-0.00081787-0.00029288i,-0.0012375+0.00019066i,-0.00083182+0.00045906i,-0.00098903+0.00075323i,-0.00064452+0.0012311i,9.9456e-06+0.00095637i,9.8935e-05+0.00014487i,-0.00062429+0.00024885i,-0.00082693-0.00033615i,0.00031706-0.00023784i,0.00091747+0.00021556i,0.00083672-2.807e-06i,0.00036993+0.00030635i,-2.7913e-05+0.00014345i
0.00065151+0.0034422i,0.0016909+0.0044851i,0.0042144+0.0051498i,0.0036089+0.0039133i,0.001673+0.0016819i,0.0016043+0.00065837i,0.0021625+1.6723e-05i,0.0012676-0.00024976i,-0.000257+0.00048828i,-0.00054345+0.00010578i,-0.00071644-0.00061617i,-0.0011919-0.00083789i,-0.00091914-0.00074743i,-0.00023017-0.00068572i,-0.00022316-0.00091475i,-0.00043876-0.0013722i,4.1595e-05-0.0007583i,-0.00041501+0.00028457i,-0.00044267+0.00038712i,0.00016199+0.00024489i,-0.00041671-0.00046588i,-0.00065045-0.00067682i,4.1431e-05-0.0005961i
-0.0014612-0.0014274i,-0.0021985-0.00124i,-0.0025912-0.00025256i,-0.0017463+0.0015909i,-0.00079535+0.0034667i,0.00031065+0.002909i,0.001201+0.00084548i,-6.5175e-05-0.00052633i,-0.00077305-0.0010434i,-0.00074691-0.0010061i,-0.00068623-0.00093724i,-0.00047835-0.00079249i,-0.0011392-0.000668i,-0.001469+3.828e-05i,-0.0010779+0.0010104i,-0.00091894+0.00077714i,-0.00061983+0.00044141i,-0.00041578+0.00032966i,-0.00040621+0.0002583i,-0.00015186+3.5385e-05i,-0.00018449-0.00012312i,-0.00014535+7.7286e-05i,-0.00063453+0.0004191i
-0.0019951-0.0024337i,-0.0037222-0.0016934i,-0.0050667-0.0012432i,-0.0050006-3.9218e-05i,-0.0030341+0.0014303i,0.0002835+0.0019564i,0.0020163+0.001592i,0.00064299+0.00087789i,-0.0010366-0.0003205i,-0.0011721-0.00078509i,-0.00067886+0.00063033i,-0.0010096+0.0012533i,-0.00072003+0.00025686i,0.00032371+0.0002829i,0.00041143+0.00061186i,4.8293e-06+0.00049941i,-0.0002886-6.7212e-05i,-0.000198-0.00022986i,5.0767e-05+0.00066183i,0.00011098+0.00081086i,0.00034151+9.1965e-05i,-0.00013787-0.00034078i,-0.00022271+0.00026798i
0.0042046-0.00057701i,0.0054776-0.0012201i,0.0064546-0.0022859i,0.0045738-0.0013238i,0.0013837+0.00039189i,0.001323+0.0010508i,0.0022989+0.00082173i,0.00139+0.00058865i,0.00067296+0.0002816i,-8.6998e-05+0.00022316i,-0.0013777-0.00015893i,-0.001009-9.2658e-05i,-0.00051409+0.0010824i,-0.00035117+0.0018454i,-0.00039391+0.0018802i,-0.00046188+0.0014653i,-0.00023176+0.00061309i,-0.00013051+8.323e-05i,0.00035707+3.769e-06i,0.00015565-0.00025799i,-0.00049205-0.00054558i,-0.00038616-0.00075932i,9.5041e-05-0.00080204i
-0.00038939-0.00096238i,0.0001468-0.0001217i,-9.2782e-05+0.00016818i,-0.00087998-0.00038023i,-0.0011393+0.00060761i,-1.9564e-05+0.0022143i,0.0010792+0.0020325i,0.0011502+0.00097207i,0.00086165-0.00041274i,-0.00064042-0.00085493i,-0.0016426-0.00064838i,-0.00068157-0.00073949i,0.00022421-0.0005899i,-0.00032363-0.00042842i,-0.00058598+4.6222e-05i,-0.00015539+0.00020719i,-0.00020543+0.00038131i,-0.00049729+0.00046332i,-0.00022084+0.00018889i,-0.00024254+0.00056591i,-0.00065112+0.00026202i,-0.00069341-0.00022228i,-0.0011099+0.00012839i
3.4382e-05+0.00090536i,-0.00093002+0.0018822i,-0.00051603+0.0033436i,-0.00025757+0.0025132i,-0.00026156+0.001227i,0.0002748+0.0014722i,0.0016148+0.00041187i,0.0020885-0.0012528i,0.00084171-0.0017569i,-0.0010112-0.0014838i,-0.0015543-0.001018i,-0.00091791-0.0012764i,-0.00058031-0.0016762i,-0.0014653-0.00075784i,-0.0020674+0.00029519i,-0.0014065+0.00028608i,-0.00068574-0.00013264i,-0.00030323-0.00023058i,0.0001822+0.00012272i,0.00028098-0.00035654i,3.3877e-06-0.00028852i,-0.00039148-0.00012994i,-0.00048018+5.5905e-05i
0.00054491-0.0032469i,0.00043257-0.0030285i,-0.0001686-0.0028748i,-0.0010719-0.0015908i,-0.0015792+0.00039955i,-0.00064404+0.0014828i,0.00053641+0.0014859i,0.00041944-0.00032172i,-0.00027278-0.002198i,-0.00067562-0.0016365i,-0.00012008-0.00041816i,0.00045791+0.0010242i,0.0017103+0.0019004i,0.0015066+0.0014447i,0.0001698+0.00062707i,-0.00029805-0.0002946i,-2.5964e-06-0.00011114i,7.8497e-05+0.00051945i,0.00021916-0.00012361i,0.00084491-0.0012835i,0.00070642-0.0014283i,0.00046102-0.00072645i,-3.9104e-05-0.00027916i
0.0024699-0.00028288i,0.0021987-0.001651i,0.0011027-0.0030762i,-0.00010687-0.0028221i,0.00043102-0.00017502i,0.00099172+0.001682i,0.0013283+0.0016719i,0.0014959+0.0014086i,0.0010042+0.00078518i,0.00037808-0.00014808i,0.0001856+0.00070938i,-0.00043589+0.0017546i,-0.00063124+0.00159i,-0.00095722+0.0014187i,-0.0012903+0.00048772i,-0.00070789-0.00022589i,-0.0005544-0.00082585i,-0.00095447-0.0011122i,-0.0001467-0.0012001i,0.00061124-0.0012748i,0.00024217-0.00070907i,8.5247e-06-0.0006627i,-0.00022843-0.0008085i
-0.0011153+0.0012955i,-0.0026241+0.0035116i,-0.001287+0.0047242i,0.0012529+0.0042841i,0.0017035+0.0030684i,0.0013951+0.0024903i,0.001104+0.0020123i,0.0002803+0.00065524i,-9.1496e-05-0.00069649i,-0.00054709-0.0014515i,-0.0019077-0.0011904i,-0.0025869-0.00108i,-0.0014183-0.0013795i,-0.0010375-0.0010377i,-0.0010785-0.00029843i,-0.00015524-0.0002094i,0.00060358+7.0409e-05i,-0.00013587+0.00044245i,-0.00059897+0.00055072i,-3.9843e-05+0.00068275i,-0.00022412+0.00019449i,-0.00058787-0.0002555i,0.00017879-0.00079961i
-0.00066434-0.0037657i,0.00027959-0.0027755i,0.0010603-0.00071378i,-0.00029394+0.0017175i,-0.00185+0.0028515i,-0.0010202+0.0028819i,0.000404+0.0017492i,-8.7692e-05+0.00039385i,-0.0013448-0.00065181i,-0.0017723-0.0017404i,-0.0012669-0.0028567i,-0.00012116-0.002846i,0.0001842-0.0014484i,0.00015764-0.00032913i,0.00051079+0.00035463i,0.00010769+0.00057463i,-0.00067452+0.00044535i,-0.00067252+0.00085912i,0.00029218+0.00078266i,0.00056544-1.3299e-05i,0.00035092-0.00078995i,0.00063829-0.0011328i,0.00063418-0.00082054i
9.6446e-05+0.00028128i,-0.00052561-0.00041811i,-0.0017404-0.00087826i,-0.0024244+0.00054409i,-0.0016522+0.001947i,-0.00022242+0.0024229i,0.00062055+0.0017598i,5.4638e-06+0.00013922i,-0.0010326-0.00098022i,-0.00026505-0.0012279i,0.0011939-0.00053601i,0.0017684+0.00074537i,0.0016452+0.00043726i,0.0015282-0.00072182i,0.0013805-0.00087597i,0.00049367+0.00012503i,-4.2885e-05+0.00073123i,0.00057517+0.00068913i,0.0011496+0.00037846i,0.00074805+0.00013558i,0.00067288-0.00090426i,0.00082674-0.0014382i,0.00042581-0.0010352i
0.0010443+0.0003237i,0.001701+0.0030538i,0.00089729+0.0038521i,-0.00080986+0.0016519i,-0.0013092+0.00097574i,-2.3718e-05+0.0018313i,0.00085598+0.0011413i,0.00011426+0.00038135i,-0.00025518-0.00045682i,-0.00032106-0.00033308i,-0.00057794+0.0011764i,-0.00080019+0.0017927i,-0.0016594+0.0018321i,-0.0015049+0.0016651i,-0.00057719+0.0010469i,-0.00020229+0.00045179i,-0.00037133+0.00014694i,-0.0010417+0.00030556i,-0.0013002+0.00043502i,-0.00051669-0.00017931i,-0.00010942-0.00065445i,0.00051508-0.00066025i,0.0016325-0.00024073i
-0.0019747-0.00063256i,-0.0023335-0.0014749i,-0.00013941-0.0023865i,0.00074859-0.00085537i,-0.00011934+0.00168i,0.00018822+0.0026668i,0.0019092+0.0020232i,0.001188+0.00056263i,-0.00091325-0.00010352i,-0.0013766-0.00011049i,-0.0012743-3.1517e-05i,-0.0011399+0.00049835i,-0.00094833+0.00057253i,-0.0007539-3.933e-05i,-0.00085416+3.5753e-05i,-0.0010933+0.00096868i,-0.0012486+0.00070624i,-0.0011233+0.00010882i,-0.00068981+0.00026791i,-7.7924e-05+0.00045418i,7.6285e-05-0.00043966i,0.00062367-0.00029523i,0.0014154+7.225e-05i
-0.0013857-0.0011151i,-0.002763-0.0013649i,-0.0023706-0.0016502i,-0.0012928-0.0018833i,-0.0002784-0.00078971i,0.00086739+0.0015977i,0.001284+0.0020276i,0.00053842+0.00061004i,-0.00063574-0.00083708i,-0.0015001-0.0011171i,-0.0017233-0.0013337i,-0.00083921-0.0020757i,0.00010532-0.0019137i,6.9145e-05-0.0016354i,0.00037302-0.0022897i,0.00068769-0.0023298i,0.0001235-0.00097135i,-0.00074569-7.4352e-05i,-0.0017733-0.00022688i,-0.0014907-0.00094234i,-0.00057189-0.0012341i,-0.00015179-0.00032527i,0.00070565+0.00075917i
-3.8777e-05+0.0015649i,0.0039202+0.0034699i,0.0069004+0.0053394i,0.0053016+0.0052169i,0.0022437+0.0038723i,0.0011266+0.0027636i,0.0014414+0.001951i,0.00056034+0.001523i,-0.00055121+0.0009462i,-0.00016315-0.00036249i,0.0011276-0.00063013i,0.0022564-0.00051219i,0.002581-0.00088456i,0.0018295-0.0011308i,0.00015795-0.001111i,-0.00031778-0.00083276i,-0.00040998+7.2396e-05i,-0.00058748-7.6455e-05i,-3.1115e-05-0.0011954i,-0.00020731-0.00068623i,-0.0010765+0.00013688i,-0.00042707+0.00054788i,0.00037011+0.0010225i
-0.0026789+0.0011106i,-0.0014279+0.0016124i,0.00037386+0.00221i,0.0013647+0.0022802i,0.0012485+0.0022078i,0.00078398+0.0014428i,0.0011532+5.4346e-05i,0.0010698-0.00036619i,0.00044842+1.1678e-05i,0.0005927+0.0011677i,0.0016073+0.0025117i,0.0013221+0.0032466i,-2.4903e-05+0.0024308i,-0.00067553+0.00093379i,-0.00058738+0.00022345i,1.8019e-05-0.00059065i,0.00018703-0.00091064i,-0.00027023-0.00093023i,-8.8567e-05-0.0011861i,0.00050474-0.00077204i,0.00062573-7.9547e-05i,0.00092565+0.00015772i,0.00084889-0.00018892i
